"Aaron Herrmann","Rennergasse 9
1150 Gmünd" 
"Samuel Lang","Hahngasse 109
8664 Bleiburg"
"Daniel Fichtinger","Aurora-Knaus-Gasse 1/9
6797 Frohnleiten"
"Theo Stern","Schatzlstraße 207
3464 Zistersdorf"
"Isabelle Lamprecht-Reitbauer","Kurzmannring 034
7119 Innsbruck"
"Lennard Amon-Kuhn","Hutterplatz 545
8306 Melk"
"Estelle Wirth","Fercherweg 52
3017 Baden"
"Univ.Prof. Erik Lichtenegger","Lotte-Kofler-Straße 17
6985 Wels"
"Nils Meier","Karina-Hagen-Gasse 49
4771 Grieskirchen"
"Laurenz Posch-Schramm","Erik-Schwarzinger-Gasse 9/8
7510 Ferlach"
"Teodor Scheidl","Finkring 765
6427 Waidhofen an der Ybbs"
"Merlin Hofmann","Eleonora-Lipp-Platz 403
5471 Kapfenberg"
"Lena Wallner","Lilian-Wild-Weg 3/4
9115 Bruck an der Leitha"
"Merlin Ecker","Straußring 4
9294 Althofen"
"Maksim Bodner","Seifertstraße 5/3
1313 Traun"
"Joseph Maurer","Geigerstr. 0/8
8667 Grein"
"Charlotte Zöchling","Frida-Fürst-Gasse 787
7931 Laa an der Thaya"
"Lisa-Marie Platzer","Metzlergasse 816
6243 Friedberg"
"Leonardo Kral","Wieserring 460
1284 Lienz"
"Laurenz Sulzer","Kollerstr. 256
1768 Weitra"
"Pia Bruckner","Stroblgasse 76
8456 Eggenburg"
"Univ.Prof. Chris Pfeiffer","Neugebauerstr. 4/6
3787 Gloggnitz"
"Leo Luttenberger-Mühlböck","Darko-Bayer-Straße 89
6154 Straßburg"
"Tim Neuhold-Obermayr","Domenica-Held-Ring 0/9
3076 Sankt Pölten"
"Ariana Ofner","Lea-Sophie-Plank-Platz 3/1
6931 Ansfelden"
"Ronja Ludwig","Schimplstr. 9/1
8111 Kufstein"
"Phillip Grill","Oliver-Pilz-Gasse 8
9129 Sankt Veit an der Glan"
"Linus Huber","Klinglerstr. 708
7577 Frauenkirchen"
"Dipl.-Ing. Martin Mair","Lennard-Eisl-Platz 577
3453 Leibnitz"
"Laurenz Wohlmuth","Kuhnweg 75
1169 Ebreichsdorf"
"Florentin Schachinger","Haslauerweg 0
7486 Raabs an der Thaya"
"Univ.Prof. Emma Schrammel","Elsa-Wegscheider-Weg 101
7364 Ried im Innkreis"
"Bastian Stocker-Trattner","Dilara-Neulinger-Platz 4/3
7434 Traun"
"Herr Mateo Schweiger","Klausgasse 4
7173 Traiskirchen"
"Prof. Leonie Schubert","Isa-Pfeifer-Straße 7/2
7197 Bad Radkersburg"
"Marco Zeiler-Mohr","Cornelius-Kronberger-Platz 16
2632 Salzburg"
"Elsa Probst","Höglingerstr. 6
3417 Grieskirchen"
"Dr. Mark Kappel","Strohmeierplatz 4/3
3890 Hardegg"
"Univ.Prof. Liliane Steidl","Schulerstr. 8
6495 Radstadt"
"Laurin Krall-Stoiber","Mario-Mayerhofer-Ring 203
1561 Völkermarkt"
"Carlo Hödl","Leithnerring 82
1003 Sankt Valentin"
"Elona Richter","Nadja-Pock-Straße 524
9113 Hall in Tirol"
"Lola Dorn","Steinbacherplatz 3
3124 Kapfenberg"
"Zara Jäger","Nicole-Trauner-Gasse 973
9884 Wieselburg"
"Ruben Walter","Hausergasse 0
1072 Deutschlandsberg"
"Dr. Nikolina Karl","Alma-Prem-Ring 5/8
5893 Graz"
"Pascal Steinberger","Hegerweg 2/1
2550 Graz"
"Dipl.-Ing. Lilly Hölzl","Baumannweg 80
8630 Bregenz"
"Elyas Obermüller-Dirnberger","Matteo-Plattner-Gasse 7/9
5270 Tulln an der Donau"
"Laurin Lercher-Ringhofer","Maya-Reiterer-Ring 78
4828 Mank"
"Soraya Pokorny","Krammerplatz 39
8955 Bad Leonfelden"
"Adriano Reiner","Mitterstraße 3/0
7115 Wörgl"
"Mariana Knapp","Joshua-Schiestl-Ring 41
2952 Bad Aussee"
"Nikola Lengauer-Lehner","Klara-Holzknecht-Gasse 0
6469 Frauenkirchen"
"Finn Schatzl-Thurner","Nikola-Kirschner-Ring 419
2705 Sankt Pölten"
"Prof. Anton Ramsauer","Bodnerstraße 4/4
5600 Neumarkt am Wallersee"
"Dipl.-Ing. Justin Mader","Mina-Weber-Straße 75
1191 Rohrbach in Oberösterreich"
"Danilo Handl","Jovanovicstraße 7/5
6702 Gmünd in Kärnten"
"Nikola Ortner","Annabell-Schandl-Straße 0/6
2677 Peuerbach"
"Laurin Müllner","Parzergasse 366
4558 Bruck an der Mur"
"Arda Kriegl","Fritzstraße 49
9486 Allentsteig"
"Prof. Adriano Paier","Vito-Lampl-Straße 7/4
8446 Oberpullendorf"
"Manuel Kloiber-Grünwald","Scherzweg 6/4
4526 Schärding"
"Boris Eisl","Winklerring 191
4211 Pöchlarn"
"Armin Schütz","Weisergasse 1
6856 Stadtschlaining"
"Joseph Pendl","Paula-Klug-Ring 547
1950 Zwettl"
"Nisa Eisner","Schmidingerstr. 37
7570 Radstadt"
"Niklas Vogt","Hofingerstr. 795
1701 Schwechat"
"Leah Gasser-Stern","Thurnerweg 4/7
8101 Wolkersdorf"
"Laurin Scherer-Neubacher","Laurin-Ortner-Gasse 27
8122 Marchtrenk"
"Rachel Schwarz","Emilia-Pölzl-Straße 7
8382 Eisenerz"
"Maximilian Klaus","Frühwirthstraße 6
2102 Voitsberg"
"Andrej Riedler","Wilfingerstr. 463
6568 Eferding"
"Angela Bayer-Kraxner","Lukas-Lercher-Weg 0/4
1378 Wolfsberg"
"William Schwarzl","Hörlstr. 2/7
5978 Ebenfurth"
"Isabell Amann-Kreiner","Pfeifferring 8/9
3054 Freistadt"
"Nikolas Kerschbaum","Felicitas-Hirsch-Straße 3
2064 Villach"
"Viola Kaspar","Finkweg 16
2438 Bad Hall"
"Lennard Kastner","Liliana-Kain-Gasse 7
4356 Melk"
"Laurin Stelzer","Mittereggerstr. 52
6470 Bad Ischl"
"Elias Brugger","Igor-Geiger-Ring 9
4748 Spittal an der Drau"
"Ing. Viktoria Margreiter","Griesserstr. 9
6915 Mureck"
"Arda Kreiner","Timon-Lindorfer-Ring 87
8947 Tulln an der Donau"
"Aylin Pfleger","Jamie-Gritsch-Gasse 631
3057 Eggenburg"
"Mark Hörl","Igor-Sagmeister-Platz 5
8175 Gloggnitz"
"Elma Thaler","Schwaigerweg 608
9624 Bregenz"
"Mike Streicher-Hagen","Rita-Kammerer-Gasse 081
2231 Bleiburg"
"Constantin Pfeifer","Pühringerring 6
1041 Traun"
"Marius Strohmayer","Reinischring 524
4718 Zistersdorf"
"Lea Hebenstreit","Grünwaldring 259
8696 Wolkersdorf"
"Dipl.-Ing. Mike Oberhofer","Fichtingerstraße 550
1684 Pinkafeld"
"Lucas Vogel-Fritz","Blümelstraße 268
8998 Knittelfeld"
"Jennifer Pollak","Sara-Eichinger-Platz 569
2577 Amstetten"
"Helene Fuchs-Rosner","Valentin-Höglinger-Gasse 6/4
2926 Herzogenburg"
"Claudia Sailer","Kainstr. 5
6223 Ried im Innkreis"
"Aleksander Haller","Selina-Stangl-Straße 4
8809 Leoben"
"Ing. Lucas Forster","Strohmeierring 40
9024 Zell am See"
"Victor Platzer","Constantin-Stock-Weg 5/9
8108 Ebreichsdorf"
"Michelle Pirker-Auer","Stadlerstraße 4
2256 Wilhelmsburg"
"Lea Schulz-Pointner","Hübnerring 15
8822 Sankt Andrä im Lavanttal"
"Jan Pölzl-Buchberger","Moritz-Schweitzer-Weg 7/5
8022 Wolfsberg"
"Lilia Hartmann-Eichinger","Postlplatz 5
9341 Spittal an der Drau"
"Axel Brunner","Tamara-Hartl-Weg 3
3518 Poysdorf"
"Annalena Oberhauser","Kraftstraße 36
5351 Graz"
"Hubert Erhart","Haidingerstraße 789
8122 Purbach am Neusiedler See"
"Dr. Florin Holzer","Melisa-Tischler-Platz 924
3028 Ternitz"
"Aurelia Gabriel","Bachmannstr. 2
7948 Scheibbs"
"Eduard Meyer-Riener","Carla-Schiestl-Platz 24
5196 Klagenfurt"
"Ronja Gamsjäger","Sabine-Lintner-Platz 3
9899 Oberpullendorf"
"Lea-Sophie Gartner","Mayerhofergasse 121
6187 Ansfelden"
"Soraya Steinkellner-Prem","Noah-Draxler-Weg 2/0
7561 Mariazell"
"Victoria Schaller-Decker","Rechbergergasse 811
7279 Geras"
"Luca Prenner","Theo-Handler-Gasse 9
8650 Friesach"
"Andrea Feichtenschlager","Luisa-Fleischmann-Straße 6/6
4726 Mannersdorf am Leithagebirge"
"Dr. Ella Fichtinger","Binderring 82
1525 Neunkirchen"
"Mathias Strohmayer","Zotterring 9/9
2629 Deutschlandsberg"
"Philippa Seifert","Reicherstr. 8/1
7879 Dürnstein"
"Kai Stütz","Seiwaldweg 70
3879 Klagenfurt"
"Carlo Grill","Weißplatz 985
5073 Hardegg"
"Lea-Sophie Lang","Teodor-Himmelbauer-Weg 5/0
3333 Pulkau"
"Carina Adler-Weiss","Nadia-Lengauer-Straße 6/9
2755 Lilienfeld"
"Frederik Ostermann-Kreuzer","Mert-Tanzer-Platz 92
4842 Schrattenthal"
"Lucie Fitz","Klotzstr. 85
9897 Weiz"
"Prof. Stephanie Pesendorfer","Lorena-Pfeffer-Ring 490
5304 Klagenfurt"
"Ing. Damian Steindl","Olivia-Holzmann-Weg 532
5366 Straßburg"
"Annabelle Berthold","Pfeifferstr. 7/0
4730 Graz"
"Univ.Prof. Gabriela Unterweger","Simon-Walder-Gasse 6
3392 Schrattenthal"
"Adriano Leber-Burtscher","Jannis-Reichel-Gasse 1
4996 Radstadt"
"Laurin Eisl","Claudia-Krainz-Platz 1/0
4286 Graz"
"Lea-Sophie Rossmann","Julia-Gärtner-Ring 90
3980 Schwaz"
"Norah Reich","Fleischmannstr. 5
9644 Köflach"
"Herr Rene Zechmeister","Dorferring 87
9387 Litschau"
"Jennifer Froschauer","Finn-Paulitsch-Ring 0
7910 Waidhofen an der Ybbs"
"Sahra Kain","Löfflerplatz 1/7
6992 Ebenfurth"
"Lola Sonnleitner","Salzmannweg 2
6446 Mödling"
"Frau Vera Kellner","Matheo-Stütz-Straße 3
2961 Oberpullendorf"
"Erwin Hummel","Lea-Sophie-Kopf-Straße 49
9514 Enns"
"Patrik Köll","Pichlerring 0
6803 Klosterneuburg"
"Aron Punz","Sauerring 048
9721 Groß-Siegharts"
"Lea-Sophie Walcher-Suppan","Schneiderplatz 7
4559 Langenlois"
"Carlotta Heindl","Christine-Forster-Straße 8
1931 Neusiedl am See"
"Prof. Mona Gutmann","Spreitzerring 9
3887 Mürzzuschlag"
"Eva Postl","Sena-Santner-Weg 3
6893 Liezen"
"Nadin Haidinger","Angelina-Oberleitner-Weg 1
1087 Mürzzuschlag"
"David Scheidl","Christian-Angerer-Platz 8
5074 Waidhofen an der Ybbs"
"Vanessa Berner","Thomas-Stöger-Ring 1
2850 Sankt Johann im Pongau"
"Dr. Lea-Sophie Vogl","Ava-Krainer-Gasse 02
1662 Dürnstein"
"Tina Sieberer-Bischof","Paul-Mörth-Platz 8/9
3001 Ternitz"
"Ferdinand Gasser","Haberlring 1
4748 Schrems"
"Leah Hinterleitner","Eric-Schnabl-Ring 70
5119 Ferlach"
"Ines Pucher","Jasper-Hutterer-Weg 610
1118 Wien"
"Jacob Reindl","Stephanie-Koller-Weg 4
6570 Sankt Johann im Pongau"
"Emilian Blum-Stöckl","Sebastian-Punz-Weg 025
5745 Schrems"
"Elina Dünser","Lennart-Dengg-Platz 649
6393 Schladming"
"Ralph Hubmann-Ott","Koberring 2
4066 Retz"
"Pauline Karl","Weningerstraße 6/6
6860 Mannersdorf am Leithagebirge"
"Adriano Klug-Hagen","Kilian-Grabher-Gasse 0/0
7707 Weiz"
"Benedict Steinacher-Paulitsch","Florentin-Hemetsberger-Gasse 7/1
6781 Stockerau"
"Madeleine Schramm-Keller","Luana-Schartner-Platz 84
7716 Amstetten"
"Leah Prenner","Schüllergasse 22
9691 Mattighofen"
"Emilia Rath","Zachweg 8/5
1122 Judenburg"
"Dipl.-Ing. Timo Knaus","Nikita-Koller-Weg 7/3
1772 Hartberg"
"Marie-Louise Zechmeister-Ullmann","Aaron-Kuhn-Gasse 0/1
5887 Pöchlarn"
"Raffael Prohaska","Klugstraße 726
1118 Trieben"
"Univ.Prof. Karl Galler","Damian-Gschaider-Ring 52
2868 Waidhofen an der Ybbs"
"Herr Aurelio Steinberger","Marie-Louise-Hoffmann-Platz 83
7193 Sankt Veit an der Glan"
"Ing. Ariana Dorn","Heinzstr. 2/8
8115 Groß-Gerungs"
"Jamie Dittrich","Rennerstraße 393
1431 Korneuburg"
"Dipl.-Ing. Calvin Lindinger","Kristina-Galler-Straße 6
9265 Steyregg"
"Leah Toth","Heiglstr. 884
6277 Groß-Enzersdorf"
"Justus Loibl-Pointner","Igor-Grünberger-Gasse 3/3
6497 Friesach"
"Isa Kronberger","Josefine-Hammer-Gasse 77
2922 Pinkafeld"
"Lea Sattler-Neumann","Nemethgasse 64
5123 Knittelfeld"
"Luise Heinrich-Strobl","Anastasia-Petz-Gasse 8/9
1113 Neusiedl am See"
"Vito Peham","Pammergasse 1/7
8364 Dornbirn"
"Bernhard Hahn-Schönberger","Brunnerring 7/1
4931 Freistadt"
"Ralph Zöchling","Karla-Fercher-Platz 63
9564 Friedberg"
"Lilian Hölzl","Hallerstr. 340
7690 Gmünd in Kärnten"
"Frau Marijana Rauscher","Nikola-Puchner-Gasse 2
5767 Kindberg"
"Leah Zeller","Melek-Prager-Ring 97
5587 Leoben"
"Univ.Prof. Estelle Ertl","Natalia-Wachter-Platz 477
8525 Ternitz"
"Emanuel Schön","Raphael-Ebner-Straße 62
3119 Eferding"
"Emilija Lindorfer-Strohmeier","Riedmanngasse 4
1437 Neulengbach"
"Isabella Lehner-Ringhofer","Leonhartsbergerstr. 4
5222 Althofen"
"Dipl.-Ing. Nathalie Heller","Leebstraße 101
3375 Fehring"
"Larissa Steininger","Bernadette-Mörth-Weg 55
5654 Traun"
"Univ.Prof. Janine Wilhelm","Kernplatz 00
9555 Mistelbach an der Zaya"
"Axel Dorner-Leeb","Hofstättergasse 61
2656 Trieben"
"Nisa Danner","Niederlring 758
2963 Sankt Andrä im Lavanttal"
"Lean Dorn","Lola-Engel-Ring 14
4758 Peuerbach"
"Clemens Hölzl","Domenica-Hofstetter-Gasse 6
3706 Mureck"
"Jonathan Keller","Horakstraße 035
6343 Peuerbach"
"Daniel Sailer","Rosenbergerstraße 18
6899 Zistersdorf"
"Diana Griesser","Dannerplatz 1/7
2273 Zeltweg"
"Levi Stöckl","Mariana-Ertl-Platz 54
9138 Gmünd in Kärnten"
"Marc Renner","Larissa-Reichl-Straße 8/1
7071 Schrems"
"Emil Schuster","Mathilda-Schranz-Straße 170
2201 Bad Sankt Leonhard im Lavanttal"
"Finn Strohmayer","Kainzweg 21
8748 Oberwälz"
"Nicole Holl-Hufnagl","Peerweg 09
3174 Gallneukirchen"
"Lean Göschl-Reichel","Ralph-Meindl-Platz 341
8600 Neusiedl am See"
"Madeleine Brenner","Neumeisterplatz 4
5028 Sankt Veit an der Glan"
"Linnea Frisch","Robin-Oberleitner-Gasse 01
2855 Gföhl"
"Mia Kollmann-Mohr","Jovana-Zotter-Weg 7/0
5034 Litschau"
"Dr. Fabian Fink","Bognerring 2/3
8421 Neulengbach"
"Emilija Kerschbaum","Bernadette-Schmidinger-Straße 1
4097 Krems an der Donau"
"Lilia Schiefer","Theresa-Höller-Ring 907
9792 Krems an der Donau"
"Dilara Grassl","Niko-Humer-Ring 5/9
9299 Laakirchen"
"Louise Rudolf","Paul-Eichberger-Gasse 9
4996 Fehring"
"Nika Kern-Neumann","Hellergasse 2
6688 Grieskirchen"
"Lean Stöger-Beck","Johann-Waldner-Straße 1/4
6320 Feldkirch"
"Erik Penz","Fritschgasse 03
3068 Eisenerz"
"Fernando Herbst","Johannes-Uhl-Weg 9
6218 Frauenkirchen"
"Linda Herzog-Pühringer","Reichmannplatz 7
4503 Rohrbach in Oberösterreich"
"Mariella Widmann","Nicholas-Fröhlich-Ring 5
1621 Allentsteig"
"Lionel Gahleitner","Gollnerring 9
3328 Marchegg"
"Joshua Schulz","Schöffmannplatz 9/2
4255 Traun"
"Marlene Graf","Joseph-Marx-Platz 20
5412 Mannersdorf am Leithagebirge"
"Bernadette Walder","Knollweg 0
2654 Rohrbach in Oberösterreich"
"Joel Putz","Höflerring 0
1286 Schwechat"
"Leander Lindner-Fellner","Marie-Louise-Wiesner-Weg 0/1
3872 Mattersburg"
"Aurelia Engl","Dornstraße 367
3507 Traismauer"
"Marijana Sonnleitner","Grillstr. 5/3
5483 Zistersdorf"
"Marius Schneider","Leander-Siller-Ring 2/7
1125 Bad Vöslau"
"Helene Schiller","Feiglstr. 9
7845 Knittelfeld"
"Mara Schalk-Klug","Carolina-Köberl-Straße 9
9920 Radstadt"
"Leticia Lammer","Heiglplatz 327
2964 Stockerau"
"Viola Neumayer","Lippstr. 3
5968 Spittal an der Drau"
"Jonathan Wimmer","Fuhrmannstraße 92
1491 Perg"
"Armin Rosner-Muhr","Maierhoferring 3/9
7017 Hartberg"
"Leander Mittermayr-Franz","Baumannplatz 8
8968 Ebenfurth"
"Cristina Schuster","Pollakring 7
3832 Ansfelden"
"Leona Gabriel","Julius-Eisl-Weg 639
4913 Dornbirn"
"Jan Moosbrugger","Schafferweg 89
5455 Knittelfeld"
"Charlotte Ramsauer","Schullerstraße 8/9
5985 Purkersdorf"
"Ing. Kristian Lettner","Fleckring 2
8693 Gföhl"
"Dipl.-Ing. Vanessa Kitzler","Mayrhoferstr. 946
7051 Stockerau"
"Mike Fichtinger","Malena-Raab-Platz 18
4084 Baden"
"Dr. Alexa Greiner","Schüllerstraße 495
7838 Linz"
"Nicolas Klement","Boris-Wiener-Straße 656
8600 Gerasdorf bei Wien"
"Leander Rieger","Jöbstlgasse 51
3519 Perg"
"Pascal Grünwald","Stockingerring 4/0
8399 Zistersdorf"
"Dipl.-Ing. Phillip Gmeiner","Kaufmannring 4
5343 Stadtschlaining"
"Elisabeth Hauser","Mona-Köck-Ring 451
9684 Allentsteig"
"Marie-Sophie Redl","Gollnerplatz 5/2
3933 Oberpullendorf"
"Leni Eichberger","Kerstin-Klammer-Gasse 459
3091 Schwechat"
"Marius Schrenk-Neuhauser","Noah-Ludwig-Platz 64
6653 Waidhofen an der Ybbs"
"Daniela Seitz","Wöhrerstr. 4
3943 Baden"
"Frau Anita Knoll","Hartmannweg 0/2
9253 Weiz"
"Ing. Mia Herbst","Fitzplatz 7
2300 Bad Aussee"
"Leander Schmied-Engel","Catharina-Widmann-Straße 0/5
3702 Gmünd in Kärnten"
"Catharina Bartl","Johann-Feichtenschlager-Ring 8
8859 Rattenberg"
"Carina Muhr","Lindingergasse 4
4449 Bad Hall"
"Karina Riener","Lamplstraße 115
4773 Zwettl"
"Andjelina Fiedler","Schweighoferstr. 1
9838 Ebreichsdorf"
"Ariana Hofstetter","Carina-Thaller-Gasse 50
2360 Fürstenfeld"
"Prof. Nadine Winter","Lilly-Gross-Straße 42
8623 Enns"
"Nico Kopf","Stieglerstr. 2/0
1416 Oberwart"
"Magdalena Seifert-Haderer","David-Strobl-Straße 63
7832 Krems an der Donau"
"Prof. Liliana Kaspar","Fernando-Widmann-Weg 32
6476 Bruck an der Leitha"
"Leander Steinwender","Tauberplatz 58
8806 Voitsberg"
"Natan Lutz-Prem","Sulzerplatz 00
6174 Wilhelmsburg"
"Florian Mayr","Aleksandra-Pock-Weg 00
2980 Gföhl"
"Laetitia Hofinger","Richard-Lorenz-Gasse 8/3
7430 Vöcklabruck"
"Milo Stockinger-Bacher","Emilie-Galler-Gasse 30
4000 Vöcklabruck"
"Cecilia Klaus","Sailerweg 61
2836 Klagenfurt"
"Bastian Brenner","Pacherweg 18
9925 Traiskirchen"
"Emilian Stummer","Bodnerweg 5
3434 Herzogenburg"
"Marko Kral","Leberplatz 3
5318 Bleiburg"
"Gabriela Kessler","Seitzstr. 5/4
4469 Bärnbach"
"Leandra Beck","Sieberstraße 0
9875 Kufstein"
"Katarina Posch","Hammererring 0/8
8949 Imst"
"Prof. Andrej Hirschmann","Feichterplatz 3/7
3181 Purkersdorf"
"Timon Schantl","Mika-Grill-Ring 884
8419 Melk"
"Jannik Unterberger","Koberplatz 364
4689 Hall in Tirol"
"Alara Bäck","Matthias-Stifter-Gasse 2/0
3630 Schwechat"
"Marius Reitinger","Leonardo-Dallinger-Ring 47
9365 Bruck an der Mur"
"Tea Hutter","Eckerstraße 214
4763 Oberwart"
"Lars Yilmaz","Dilara-Ulrich-Ring 517
8141 Altheim"
"David Koch","Klementring 7
5905 Wieselburg"
"Leandra Kummer","Hollplatz 172
7857 Linz"
"Mara Gartner","Sabrina-Lutz-Weg 1/5
9211 Oberndorf bei Salzburg"
"Sven Reichel","Selin-Rudolf-Platz 4/8
9782 Korneuburg"
"Emely Ecker-Riedl","Stephan-Kronberger-Gasse 9/1
9900 Wolkersdorf"
"Filip Macher-Fuchs","Leonard-Pucher-Weg 8/9
1760 Lilienfeld"
"Katharina Schmidinger","Hanna-Seiser-Weg 1
7086 Mautern an der Donau"
"Cornelius Schulz-Gasser","Mühlböckstraße 759
5394 Althofen"
"Kerstin Oswald","Vanessa-Geiger-Ring 502
1684 Laakirchen"
"Juliane Grasser","Philippa-Loidl-Weg 7/9
2609 Peuerbach"
"Marco Haiden","Taucherring 9
9934 Litschau"
"Lena Koch","Lucas-Danninger-Weg 7/9
5806 Villach"
"Max Unger","Franz-Kastner-Gasse 3/9
1592 Spittal an der Drau"
"Kristina Thaller","Katja-Pfister-Gasse 6
7405 Stockerau"
"Ing. Annabelle Brugger","Viola-Reif-Weg 72
1488 Gföhl"
"Nico Mitterer","James-Linder-Platz 5/7
1467 Vils"
"Bernhard Hebenstreit","Patricia-Kasper-Weg 8/5
7367 Bad Leonfelden"
"Maria Kastner","Kalcherweg 358
4045 Dornbirn"
"Bernhard Gross","Luna-Hutterer-Straße 01
2546 Stadtschlaining"
"Lotte Fuhrmann","Haindlstr. 30
9027 Straßburg"
"Ing. Cecilia Rieder","Anabella-Postl-Gasse 2/2
2605 Grein"
"Lena Krainz","William-Hauser-Weg 160
7386 Radstadt"
"Kristian Hübner","Liliana-Lindinger-Straße 72
7139 Pöchlarn"
"Melissa Steger","Veitstr. 606
6943 Zistersdorf"
"Alara Platzer-Dünser","Manuela-Linder-Platz 112
1978 Sankt Veit an der Glan"
"Nikola Hosp-Heinz","Gruberring 71
1059 Bad Ischl"
"Sam Erber-Reiner","Fitzstraße 67
7672 Fischamend"
"Bianca Rauter","Faschingstr. 64
7547 Litschau"
"Lena Penz-Prinz","Müllergasse 714
6757 Güssing"
"Mariana Steinbacher","Meixnerplatz 5
1804 Sankt Pölten"
"Theo Zöhrer","Markstr. 8
1927 Rottenmann"
"Lena Paulitsch-Herzog","Jasmina-Friedrich-Gasse 6/4
5572 Kapfenberg"
"Felicitas Forstner-Wiesner","Jungwirthweg 721
9441 Judenburg"
"Peter Leopold","Jana-Bergmann-Platz 589
1121 Schwaz"
"Dipl.-Ing. Leon Fischer","Emanuel-Knapp-Straße 9/1
1241 Sankt Pölten"
"Vera Kessler-Schreiber","Liliane-Pohl-Ring 70
7411 Gloggnitz"
"Lea-Sophie Heinzl","Bernadette-Fröhlich-Weg 766
2302 Köflach"
"Melanie Jöbstl","Tim-Widhalm-Gasse 05
7136 Eferding"
"Emmanuel Holzknecht-Stifter","Chris-Schöpf-Gasse 598
8077 Gmünd in Kärnten"
"Mika Pfister","Konstantin-Geisler-Platz 9
5459 Mödling"
"Ben Neubacher","Dorferstraße 1/4
2880 Klagenfurt"
"Lena Wenger-Rettenbacher","Aichingergasse 199
7993 Neusiedl am See"
"Liam Paul","Matilda-Kaltenböck-Straße 5
1342 Eggenburg"
"Romy Artner","Frederik-Kastner-Platz 6
6154 Zistersdorf"
"Darius Höfer-Schuller","Adelina-Hofmeister-Ring 5
3995 Althofen"
"Elias Wimmer-Lampl","Bastian-Eberhard-Ring 197
3912 Traiskirchen"
"Leander Luttenberger-Riepl","Biedermannstr. 38
2172 Hainburg an der Donau"
"Marissa Staudacher","Romy-Jahn-Gasse 1
6238 Mattersburg"
"Jannis Singer","Glaserstr. 3/3
6721 Fehring"
"Beni Kiss","Vogtstraße 80
2811 Hainfeld"
"Leo Schranz","Gschaiderstr. 76
4691 Poysdorf"
"Leni Pöschl","Schmidtstr. 3/7
6873 Scheibbs"
"Catharina Huter","Leonhartsbergergasse 07
1995 Krems an der Donau"
"Kai Mitter","Hutergasse 51
5856 Berndorf"
"Natan Jandl","Yasmina-Stecher-Weg 1/3
2440 Braunau am Inn"
"Univ.Prof. Mateo Santner","Wienerstraße 945
8884 Litschau"
"Noah Macher-Veit","Marcel-Karrer-Straße 5/6
7056 Purkersdorf"
"Luana Böck","Linus-Hinteregger-Weg 788
1825 Fehring"
"Frau Rita Niederl","Mathilda-Forster-Ring 34
7140 Zell am See"
"Anton Hammerl-Unterberger","Marcel-Schrempf-Platz 774
1141 Bad Leonfelden"
"Madeleine Putz-Lamprecht","Lilian-Lehner-Straße 443
7565 Vils"
"Lennard Böck","Nadja-Hacker-Weg 5
4079 Retz"
"Daniel Hammerl-Fuchs","Paul-Eisl-Ring 2
1134 Gänserndorf"
"Prof. Christian Baumann","Kraftstr. 3/2
4928 Haag"
"Marko Edlinger-Haiden","Gamsjägergasse 55
9465 Villach"
"Luisa Adler","Jasmina-Steinbacher-Gasse 3/9
5054 Tulln an der Donau"
"Marcus Schauer","Kaufmannplatz 5
9120 Innsbruck"
"Felix Krall","Punzring 266
4782 Gallneukirchen"
"Lionel Kahr","Eda-Putz-Ring 547
5329 Gloggnitz"
"Maya Gattringer","Christine-Schober-Straße 1
8504 Voitsberg"
"Beatrice Hutterer","Höllergasse 980
6397 Mank"
"Lennard Fröschl","Griesserstraße 6
6174 Fehring"
"Armin Schuh","Gratzergasse 74
9873 Gloggnitz"
"Samuel Ladner","Adriano-Berger-Ring 494
3434 Zell am See"
"Arthur Reif-Dietl","Beerstraße 00
9598 Güssing"
"Annika Rausch","Kösslerplatz 043
4101 Traiskirchen"
"Mila Pokorny","Traxlerstraße 3/2
7934 Melk"
"Anika Pfeffer","Rabitschstraße 93
5860 Schrattenthal"
"Damian Stückler","Vivian-Siller-Ring 39
6982 Hainburg an der Donau"
"Jasmine Lipp","Lechnerweg 080
6773 Pinkafeld"
"Kerstin Pilz","Tauberplatz 53
4950 Attnang-Puchheim"
"Lennard Steindl","Mateo-Kober-Straße 85
5977 Eisenstadt"
"Kristian Brandtner","Burtscherring 917
5429 Hardegg"
"David Wurm","Lisa-Marie-Perner-Straße 8/8
9003 Wilhelmsburg"
"Emma Neureiter","Wagnerplatz 382
6839 Feldkirchen"
"Frau Andjela Reichmann","Richterstr. 2
8235 Eggenburg"
"Dipl.-Ing. Christoph Wieser","Deutschmannring 5
6575 Herzogenburg"
"Frau Madeleine Bayer","Hornplatz 087
2788 Köflach"
"Lea-Sophie Kollmann","Niklas-Maierhofer-Straße 679
3190 Trofaiach"
"Lotta Geisler","Huberstr. 6
7303 Korneuburg"
"Valentino Rupp","Carina-Rausch-Ring 13
8795 Hallein"
"Lennard Strauss","Wohlmuthgasse 20
7699 Braunau am Inn"
"Marcel Kurz","Mannstraße 31
4701 Klagenfurt"
"Adrian Fleischmann","Bräuergasse 603
9127 Melk"
"Dominik Gabriel-Jäger","Paulina-Kahr-Gasse 11
8090 Retz"
"Amanda Reif","Leonie-Sailer-Straße 229
6698 Klosterneuburg"
"Dipl.-Ing. Justin Prohaska","Kainring 9
9847 Grein"
"Herr Nicolai Reinbacher","Rosa-Brandner-Straße 51
1580 Marchegg"
