"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg" 
"Lea-Sophie Maier"	"Penzstr. 84
3046 Kapfenberg"
"Lino Windisch"	"Aichingerstraße 358
4757 Vils"
"Christoph Polzer"	"Peter-Neuhauser-Gasse 987
1503 Grieskirchen"
"Jacob Lamprecht-Pölzl"	"Nico-Mitter-Gasse 4/4
8755 Oberpullendorf"
"Dr. Tiffany Fabian"	"Samuel-Zauner-Weg 280
8317 Korneuburg"
"Univ.Prof. Pia Bader"	"Annabell-Frisch-Weg 58
6233 Zell am See"
"Raffaela Schauer"	"Mira-Prantl-Platz 1/5
2337 Kufstein"
"Magdalena Reithofer"	"Kuglerring 715
6844 Eisenerz"
"Ing. Georg Renner"	"Paulina-Lercher-Straße 4
5643 Rattenberg"
"Marcel Lettner"	"Manuel-Fleischhacker-Ring 165
6881 Hainfeld"
"Prof. Maurice Schmied"	"Jan-Bernhard-Straße 14
4938 Mistelbach an der Zaya"
"Linus Hofbauer-Horak"	"Joshua-Gruber-Platz 5
6580 Graz"
"Nick Gmeiner-Kreidl"	"Lengauerring 7/0
2914 Neusiedl am See"
"Nikola Gritsch"	"Breuergasse 757
4073 Mürzzuschlag"
"Ava Gasser-Koch"	"Maierhoferweg 2/8
9421 Gföhl"
"Jennifer Schwarzinger"	"Straussweg 50
9294 Gänserndorf"
"Sebastian Wiener"	"Wengergasse 2
8677 Litschau"
"Justus Pohl"	"Schwaighoferstr. 606
2257 Imst"
"Francesca Peham"	"Mühlbergerstraße 7/4
3799 Waidhofen an der Ybbs"
"Sven Friedrich"	"Rösslerplatz 47
9731 Purkersdorf"
"Lucie Raab"	"Böckweg 3/8
8714 Groß-Gerungs"
"Linus Kremser"	"Eric-Steinbauer-Ring 031
1453 Zell am See"
"Aron Scherzer"	"Fuhrmannstr. 814
4430 Mistelbach an der Zaya"
"Ing. Florentina Schuler"	"Heissenbergerring 228
5124 Perg"
"Laurenz Karl"	"Hintereggerring 7
1815 Waidhofen an der Thaya"
"Nicole Mitteregger"	"Stelzerring 780
6894 Melk"
"Prof. Rita Rupp"	"Dornergasse 004
7000 Völkermarkt"
"Boris Kern-Dengg"	"Lilia-Zimmermann-Straße 2
6582 Trofaiach"
"Marie-Louise Pollak"	"Pfefferstraße 2/3
5139 Steyregg"
"Marco Haberl"	"Joel-Nussbaumer-Platz 70
5412 Berndorf"
"Lucia Fitz-Hofmann"	"Dora-Burtscher-Gasse 0
2734 Althofen"
"Linus Langer"	"Lassnigring 325
1278 Groß-Gerungs"
"Julia Burgstaller"	"Finn-Lagler-Ring 409
3863 Oberwart"
"Frau Karolina Häusler"	"Gamsjägerstraße 3
6596 Oberndorf bei Salzburg"
"Martin Schneeberger"	"Nemethstraße 41
1787 Ansfelden"
"Andjela Strohmeier"	"Klotzweg 42
6869 Graz"
"Hubert Kirchner"	"Victor-Stefan-Ring 3/7
9436 Radstadt"
"Emanuel Haslauer"	"Lammerplatz 06
7261 Bregenz"
"Xavier Sorger"	"Michael-Walder-Straße 786
1384 Rottenmann"
"Clemens Kramer"	"Nicole-Meyer-Platz 08
2047 Salzburg"
"Maurice Hebenstreit-Beer"	"Stockingerstraße 924
4510 Grieskirchen"
"Linus Wittmann-Mayrhofer"	"Kaiserweg 320
7212 Wiener Neustadt"
"Clara Nagl-Wallner"	"Lammerweg 4/3
8523 Herzogenburg"
"Univ.Prof. Ronja Reindl"	"Sattlerweg 2/3
6963 Attnang-Puchheim"
"Leyla Reinprecht"	"Haasstraße 501
7745 Steyr"
"Lotta Huber"	"Janischstr. 5
9706 Zell am See"
"Ing. Mariana Kolb"	"Krugstr. 1/4
3500 Gleisdorf"
"Aurelio Haiden"	"Rottensteinergasse 7/7
8185 Schladming"
"Leonard Suppan-Vogler"	"Cecilia-Brandner-Ring 6/8
9177 Laa an der Thaya"
"Herr Karl Zenz"	"Zeinerring 87
5067 Feldkirch"
"Rosa Unger"	"Schüllerstr. 2
5987 Marchtrenk"
"Lionel Niederl"	"Beni-Zeilinger-Weg 0/8
6901 Gloggnitz"
"Filip Gutmann"	"Valentin-Gross-Platz 4
4712 Deutschlandsberg"
"Anna Scherr"	"Stiftergasse 7/8
8587 Weiz"
"Finn Walch"	"Julijana-Röck-Ring 779
7348 Lilienfeld"
"William Scherz"	"Walserstr. 576
8584 Sankt Pölten"
"Tiffany Bösch-Köberl"	"Reinprechtring 0
1018 Bad Ischl"
"Henrik Buchegger-Petz"	"Kunzplatz 29
8442 Tulln an der Donau"
"Johanna Bodner"	"Lean-Kraft-Straße 7
7287 Langenlois"
"Nisa Kunz"	"Steven-Pieber-Weg 62
1312 Purkersdorf"
"Nora Kugler"	"Viktor-Schaffer-Gasse 4
3905 Ebenfurth"
"Lionel Payer"	"Elvira-Kain-Ring 2
9594 Villach"
"Katharina Aichinger"	"Melisa-Weber-Gasse 3
5540 Herzogenburg"
"Dipl.-Ing. Jannik Pöschl"	"Annika-Leibetseder-Weg 2
1583 Bad Leonfelden"
"Annika Lercher"	"Maryam-Grassl-Gasse 47
5908 Dornbirn"
"Prof. Severin Trummer"	"Lena-Hofmeister-Gasse 0/2
5279 Frohnleiten"
"Ruth Bruckner"	"Karl-Hübner-Ring 498
9220 Klosterneuburg"
"Marco Bader"	"Riedlstr. 88
6930 Deutschlandsberg"
"Dipl.-Ing. Selin Windhager"	"Stephanie-Petz-Weg 984
6996 Eggenburg"
"Anna Schmidt"	"Angela-Binder-Ring 54
5725 Wels"
"Prof. Sofie Pfeiffer"	"Schmidlweg 6
1973 Sankt Pölten"
"Lionel Schüller-Mann"	"Franzgasse 8
6450 Bad Vöslau"
"Richard Koppensteiner"	"Leon-Klaus-Platz 4
5597 Weitra"
"Lora Rieser"	"Isabelle-Toth-Gasse 544
9234 Mistelbach an der Zaya"
"Ruth Schachner"	"Fröschlring 15
6326 Wilhelmsburg"
"Dr. Leona Winter"	"Karolina-Lagler-Gasse 3/3
9177 Bischofshofen"
"Univ.Prof. Rachel Rath"	"Marc-Taferner-Ring 51
3397 Wolfsberg"
"Dr. Emanuel Koller"	"Horakring 5/4
7185 Mariazell"
"Isa Nagl"	"Gustav-Pfeiffer-Platz 3/8
4928 Oberwälz"
"Nicole Raab"	"Steinbergerweg 104
2284 Schrems"
"Prof. Bernhard Hermann"	"Oscar-Weber-Platz 4/9
5755 Allentsteig"
"Lionel Tischler"	"Tina-Eichhorn-Ring 6
9129 Schrattenthal"
"Vera Zeller"	"Klementstr. 3
5577 Bärnbach"
"Lennart Riepl-Schrempf"	"Elias-Gindl-Straße 80
6758 Weitra"
"Jakob Eberharter-Schaller"	"Messnergasse 6
3524 Feldbach"
"Robert Decker"	"Marie-Sophie-Niederl-Straße 49
5458 Hall in Tirol"
"Univ.Prof. Rene Fiedler"	"Stella-Egger-Ring 7
8248 Wels"
"Domenica Decker"	"Maryam-Waldner-Platz 76
8504 Sankt Pölten"
"Leander Reiterer"	"Fridolin-Wohlmuth-Gasse 38
2390 Bad Radkersburg"
"Dipl.-Ing. Philip Unger"	"Danningerstraße 3/6
9924 Neulengbach"
"Univ.Prof. Florentin Zangerl"	"Nikolai-Bichler-Ring 29
4380 Deutsch-Wagram"
"Lisa Brugger"	"Joel-Schreiner-Platz 60
5264 Mureck"
"Fridolin Grundner"	"Weiglstraße 07
5929 Maissau"
"Prof. Lydia Pohl"	"Heldplatz 7
2565 Hartberg"
"Dr. Xavier Reiterer"	"Soraya-Jahn-Weg 377
9061 Wolkersdorf"
"Aron Peham"	"Fridolin-Heissenberger-Ring 9
8856 Zwettl"
"Ines Strauss"	"Vanessa-Steinkellner-Gasse 0
3938 Schwanenstadt"
"Daniela Fankhauser"	"Alice-Rieser-Weg 64
9028 Herzogenburg"
"Sandro Schwaiger"	"Gartnerstr. 098
9260 Sankt Andrä im Lavanttal"
"Igor Kramer"	"Maida-Pokorny-Straße 975
2868 Heidenreichstein"
"Lara Greiner"	"Kröllgasse 605
1402 Gallneukirchen"
"Lisa Haid-Wurzer"	"Reitingerplatz 44
5974 Bischofshofen"
"Matteo Bösch-Eisl"	"Irma-Keplinger-Ring 9/9
2128 Frohnleiten"
"Maximilian Baumgartner-Albrecht"	"Gstreinring 9
4516 Gmunden"
"Vanessa Deutschmann"	"Amannweg 97
9235 Neunkirchen"
"Lotte Biedermann"	"Stockhammerstr. 2/1
1880 Laa an der Thaya"
"Frau Maida Pollak"	"Schrittwieserplatz 1
1465 Eisenstadt"
"Sofie Maurer"	"Raffael-Schenk-Gasse 3
9082 Ybbs an der Donau"
"Soraya Binder"	"Julian-Schiefer-Ring 2
3456 Gleisdorf"
"Henrik Rechberger"	"Kilian-Tauber-Ring 572
5124 Litschau"
"Charlotte Böck"	"Dietrichring 31
8677 Kapfenberg"
"Lisa Handler-Fritsch"	"Fröhlichweg 9/2
6348 Bad Vöslau"
"Eva Kaspar"	"Nikolaus-Scherer-Platz 6
3837 Hall in Tirol"
"Verena Weiß"	"Norah-Fuhrmann-Straße 5/1
7233 Schrems"
"Rita Forster-Rauscher"	"Alex-Geiger-Platz 43
8466 Pregarten"
"Jonathan Payer-Hechenberger"	"Bertholdring 4
1121 Hainburg an der Donau"
"Dipl.-Ing. Zara Brugger"	"Freyplatz 4
5100 Bischofshofen"
"Mariella Bodner"	"Petzgasse 4/7
9382 Zwettl"
"Nicolai Widhalm"	"Bernadette-Schäfer-Straße 1
3169 Lilienfeld"
"Axel Zehetner-Becker"	"Catharina-Rieser-Straße 59
4106 Drosendorf-Zissersdorf 1"
"Diana Probst"	"Zoey-Sieberer-Ring 9
9815 Hardegg"
"Lisa Leonhartsberger"	"Hackergasse 2/5
8179 Straßburg"
"Cecilia Schwab"	"Steinwenderstraße 41
9304 Saalfelden am Steinernen Meer"
"Dr. Kai Scheer"	"Leithnerring 8
5482 Liezen"
"Miriam Riedmann"	"Igor-Leibetseder-Straße 3
9721 Schrems"
"Ing. Gregor Hell"	"Francesca-Kager-Ring 268
9034 Eggenburg"
"Aleksander Bösch-Reiner"	"Lara-Seiwald-Platz 59
6650 Bleiburg"
"Sophie-Marie Rottensteiner"	"Mohrring 9
9502 Murau"
"Valentin Glück"	"Fröschlstraße 9/2
6443 Marchegg"
"Mark Trimmel"	"Catharina-Schindler-Straße 23
3134 Rust"
"Karolina Kopf"	"Ronja-Haderer-Platz 83
7249 Jennersdorf"
"Lisa Riener"	"Paulitschplatz 9/5
4377 Poysdorf"
"Bernhard Rieser"	"Alexia-Müller-Gasse 4
1101 Herzogenburg"
"Elina Kraft-Geiger"	"Cecilia-Teufl-Gasse 400
6674 Weitra"
"Joseph Neumeister"	"Sieglplatz 2/7
9569 Maissau"
"Ing. Beni Stern"	"Widhalmplatz 0/8
6202 Kapfenberg"
"Jonas Hagen"	"Tauberring 358
4392 Mureck"
"Ing. Henry Rosner"	"Bichlerstraße 18
8598 Hartberg"
"Aurora Payer"	"Martha-Geisler-Ring 9
6112 Freistadt"
"Frau Melissa Neuwirth"	"Plankring 4/0
7221 Maissau"
"Selma Brandstetter"	"Maida-Fitz-Platz 66
5364 Bischofshofen"
"Lisa Walcher"	"Kreuzerstr. 383
5213 Hallein"
"Lora Ringhofer"	"Zoey-Ebner-Straße 03
8110 Bischofshofen"
"Martin Dittrich"	"Steiningerplatz 137
8015 Zell am See"
"Maya Forster"	"Laurenz-Rosner-Platz 44
5786 Hallein"
"Christoph Haiden"	"Ellie-Eibl-Ring 9
5349 Neumarkt am Wallersee"
"Univ.Prof. Mika Schatz"	"Lettnerweg 323
4574 Graz"
"Konrad Rainer"	"Henrik-Mitterer-Platz 8/9
4612 Poysdorf"
"Alex Kammerer"	"Ronja-Schiller-Straße 0
6401 Bad Radkersburg"
"Bernadette Meister"	"Ulrichgasse 032
7284 Neulengbach"
"Herr Theodor Ernst"	"Reichergasse 512
7674 Enns"
"Lisa-Marie Schranz"	"Brandtnergasse 3/1
9604 Salzburg"
"Natascha Linder"	"Peerstraße 8
3228 Ansfelden"
"Nathan Maurer"	"Anja-Reiter-Weg 7
5802 Klosterneuburg"
"Univ.Prof. Jakob Schatz"	"Herbststraße 6/2
3081 Ternitz"
"Paula Reitinger-Schartner"	"Putzstr. 995
3922 Wieselburg"
"Andreas Peham-Ladner"	"Lotta-Leonhartsberger-Straße 7
9264 Fürstenfeld"
"Lilian Thurner"	"Kochgasse 57
8291 Mannersdorf am Leithagebirge"
"Jasmina Vogl"	"Annika-Reinbacher-Gasse 46
3284 Mödling"
"Lola Mühlböck"	"Wildplatz 6
6553 Grein"
"Tom Zimmermann"	"Denkplatz 93
4758 Eisenerz"
"Lola Gruber-Gratzl"	"Larcherplatz 830
1759 Bad Sankt Leonhard im Lavanttal"
"Marijana Wiedner"	"Mariana-Kargl-Ring 7/3
5275 Grieskirchen"
"Marco Kager"	"Emanuela-Hattinger-Weg 342
8850 Raabs an der Thaya"
"Lars Lammer"	"Strohmayerring 475
6589 Ferlach"
"Angelina Walch"	"Altmannring 813
8034 Feldkirchen"
"Marc Grabner"	"Leontina-Froschauer-Weg 157
8869 Salzburg"
"Prof. Nico Steinbauer"	"Nina-Klement-Straße 45
4485 Weitra"
"Ing. Fridolin Hirsch"	"Annabell-Gangl-Ring 8/8
4737 Traiskirchen"
"Constantin Pammer"	"Amelia-Hutter-Gasse 552
2976 Langenlois"
"Dipl.-Ing. Lean Spindler"	"Mika-Mayer-Weg 87
4390 Mank"
"Lora Steiger"	"Dora-Baumann-Platz 419
7733 Steyregg"
"Henri Dobler-Pammer"	"Lenzplatz 86
8669 Sankt Pölten"
"Martin Winkler-Eberhard"	"Aleksandra-Bitschnau-Weg 029
3002 Steyregg"
"Dr. Lena Kraft"	"Mörthring 27
1080 Schwanenstadt"
"Timon Hörmann"	"Gamsjägerstraße 78
3327 Kufstein"
"Prof. Clarissa Neumayr"	"Lamprechtstraße 3
2991 Sankt Johann im Pongau"
"Dr. Ajna Wiener"	"Milo-Schuller-Platz 1
4392 Wels"
"Marta Zechner"	"Emmanuel-Meindl-Ring 5/3
3575 Litschau"
"Univ.Prof. Evelyn Wiesbauer"	"Barbara-Wagner-Platz 4/3
1774 Weiz"
"Alex Rieser-Macher"	"Luis-Friedl-Straße 41
2696 Litschau"
"Lorena Beer"	"Hirschgasse 854
5468 Knittelfeld"
"Valentina Schmied"	"Lebergasse 2
5795 Laakirchen"
"Marina Lechner"	"Widhalmplatz 6
3901 Innsbruck"
"Lars Dittrich-Konrad"	"Aylin-Paier-Weg 8
9472 Freistadt"
"Fiona Huber"	"Wenzlgasse 0
8141 Groß-Gerungs"
"Mathilda Haindl"	"Haberlplatz 964
3145 Gloggnitz"
"Sandra Köhler-Kocher"	"Höflergasse 0
5677 Köflach"
"Nikola Riedler"	"Christopher-Kofler-Ring 8
4588 Bruck an der Mur"
"Diana Gross"	"Martestraße 7/6
5906 Pregarten"
"Elyas Hemetsberger"	"Oscar-Brandstätter-Gasse 9
5023 Gerasdorf bei Wien"
"Lorena Schranz"	"Philippweg 8/5
1847 Steyregg"
"Tristan Farkas"	"Lara-Sophie-Hämmerle-Ring 5/6
9141 Wolfsberg"
"Ilias Lammer"	"Bruggergasse 7/7
8768 Leibnitz"
"Luis König"	"Lea-Sophie-Jungwirth-Platz 49
3553 Fürstenfeld"
"Anastasia Keplinger"	"Sara-Erler-Weg 752
4178 Friedberg"
"Ronja Freitag"	"Valentino-Staudacher-Ring 0/1
8447 Rattenberg"
"Laura Leutgeb"	"Hanna-Sperl-Gasse 511
2507 Bad Radkersburg"
"Alexander Zeilinger"	"Kaingasse 6
1335 Berndorf"
"Florentina Steinwender"	"Seitzplatz 601
2830 Friesach"
"Dr. Justus Klammer"	"Nicholas-Pühringer-Ring 8
9838 Traun"
"Lorenz Grabher"	"Tothweg 667
1062 Ebenfurth"
"Nico Nagl"	"Stockhammerstraße 9
9889 Sankt Andrä im Lavanttal"
"Aleksandra Eder"	"Isabelle-Löffler-Straße 5/2
5030 Gallneukirchen"
"Jovana Hofstetter"	"Michelle-Kriegl-Weg 1/8
5427 Salzburg"
"Lara Stöger"	"Ottweg 936
4567 Wien"
"Leonie Friedl-Obermayr"	"Ellie-Hofstätter-Platz 7
7878 Scheibbs"
"Josef Lehner-Schuler"	"Andjelina-Hofstetter-Platz 796
3051 Mürzzuschlag"
"Milo Hainzl-Holzinger"	"Tothstr. 6
1664 Bärnbach"
"Edda Hauer"	"Xavier-Kober-Straße 121
9439 Neusiedl am See"
"Kevin Schön"	"Reindlstr. 9/0
9768 Eisenstadt"
"Lorenz Horak"	"Pachlerstr. 0/3
4212 Zwettl"
"Stella Grünberger-Riepl"	"Schweitzerplatz 4
5260 Köflach"
"Philipp Brenner"	"Steidlstraße 365
7637 Purbach am Neusiedler See"
"Ruben Bittner"	"Larchergasse 9
8241 Voitsberg"
"Leonie Schöpf"	"Severin-Rauch-Gasse 56
1286 Maissau"
"Liam Falkner"	"Schieferweg 2
2996 Gerasdorf bei Wien"
"Leander Rettenbacher-Werner"	"Emilia-Weninger-Ring 3/5
8720 Sankt Pölten"
"Univ.Prof. Mariam Grabner"	"Maurice-Rechberger-Gasse 0/2
9170 Sankt Andrä im Lavanttal"
"Nicole Vogt"	"Löfflerplatz 25
7004 Gänserndorf"
"Friedrich Felder-Kopf"	"Erbergasse 2/8
9275 Frohnleiten"
"Lorenz Ott"	"Zeilerring 9
7137 Drosendorf-Zissersdorf 1"
"Daniela Schuster"	"Emma-Pollak-Platz 86
2120 Traun"
"Felix Krug"	"Filip-Perner-Platz 3/2
8568 Fehring"
"Chris Jauk"	"Theo-Wieser-Gasse 000
4419 Schwechat"
"Marc Grabher"	"Steidlring 8/8
4130 Gföhl"
"Franz Kugler"	"Anne-Gschwandtner-Straße 1/5
1573 Jennersdorf"
"Ajna Meixner"	"Schererplatz 3/1
8309 Sankt Andrä im Lavanttal"
"Ruben Gamsjäger"	"Gahleitnergasse 2/8
5056 Attnang-Puchheim"
"Univ.Prof. Maya Krammer"	"Hinterleitnerweg 4
5340 Traismauer"
"Dipl.-Ing. Irina Kratzer"	"Alexandar-Maierhofer-Ring 5/4
7718 Hainburg an der Donau"
"Lorenz Sammer-Zimmermann"	"Fiona-Aigner-Weg 4/4
1927 Retz"
"Elias Stockinger"	"Brennerring 2/8
3340 Frohnleiten"
"Sophia Brandl"	"Manuel-Lintner-Straße 41
8823 Wörgl"
"Mateo Sperl"	"Staudingerweg 9/9
7494 Bleiburg"
"Max Widhalm"	"Glaserring 0/4
8945 Klagenfurt"
"Darko Hoffmann"	"Hammererplatz 4
1019 Mattighofen"
"Anne Blauensteiner-Wirth"	"Ofnerring 33
4751 Ternitz"
"Aurelia Klement"	"Schmidingerring 5/8
9298 Weiz"
"Dipl.-Ing. Emma Prager"	"Meixnerstr. 6/4
6250 Hardegg"
"Julius Wandl-Augustin"	"Leyla-Kirchner-Straße 8/7
2956 Villach"
"Lorenzo Himmelbauer"	"Stefanie-Mühlberger-Straße 74
1423 Feldbach"
"Anna-Maria Richter"	"Kohlstraße 7
4058 Bruck an der Mur"
"Leonie Vogl"	"Andjelina-Zeiler-Ring 65
3485 Villach"
"Nikolas Buchinger"	"Kösslergasse 19
6618 Landeck"
"Lotte Zechmeister-Pertl"	"Sven-Dobler-Ring 325
4366 Schwanenstadt"
"Antonella Seifert"	"Tom-Stefan-Gasse 0
8430 Zistersdorf"
"Frau Katja Seitz"	"Dornstr. 170
5462 Judenburg"
"Elma Schweitzer-Müller"	"Gahleitnerring 0/0
9711 Neulengbach"
"Pascal Klingler"	"Nelly-Hosp-Ring 431
6551 Ferlach"
"Ing. Mike Riedmann"	"Philip-Schulz-Ring 7
2310 Schrems"
"Lorenzo Hinterberger"	"Alexandar-Heiss-Platz 6/0
8920 Grein"
"Ing. Ronja Hacker"	"Schatzlstr. 40
4248 Linz"
"Prof. Emanuela Seidl"	"Lino-Rudolf-Platz 96
5997 Güssing"
"Nina Steinacher"	"Aron-Bitschnau-Gasse 918
2478 Lienz"
"Salma Taferner"	"Elyas-Philipp-Ring 7
3594 Gmünd"
"Dipl.-Ing. Marie-Louise Schatz"	"Meierplatz 2
3562 Melk"
"Yasmina Radl"	"Aurelia-Schuler-Straße 7
3607 Groß-Siegharts"
"Leander Schweighofer-Heiss"	"Winklerring 4/5
2505 Amstetten"
"Dipl.-Ing. Maria Hofbauer"	"Emilian-Pilz-Gasse 999
2799 Zwettl"
"Rosa Wenger"	"Klingerring 5/9
2645 Zeltweg"
"Lorenzo Knapp"	"Widmannring 5
6698 Kufstein"
"Karla Frank"	"Haberlweg 0/1
5750 Ebreichsdorf"
"Milan Weninger"	"Joseph-Berthold-Straße 0/6
9586 Feldkirchen"
"Katarina Stangl"	"Oscar-Mark-Straße 7
6014 Poysdorf"
"Levi Koller"	"Steinacherstr. 88
9365 Haag"
"Marko Kaiser"	"Freudenthalerring 6/4
3645 Hainburg an der Donau"
"Danilo Ender"	"Kronbergerstraße 91
8076 Korneuburg"
"Nikolaus Horn"	"Jessica-Schinnerl-Gasse 3/6
2918 Allentsteig"
"Aurora Böhm-Haas"	"Schrempfring 3/9
2041 Gleisdorf"
"Richard Zechner"	"Annabell-Richter-Weg 31
4512 Kufstein"
"Lorenzo Kopf"	"Kasperring 90
9232 Voitsberg"
"Elias Schweighofer"	"Nußbaumerstr. 220
5716 Bruck an der Leitha"
"Tea Widhalm"	"Steinwendergasse 24
4897 Villach"
"Frida Kainz"	"Wechselbergerstraße 04
9458 Gloggnitz"
"Cecilia Schmölzer"	"Pfeiferstraße 08
8998 Bludenz"
"Justin Wagner"	"Stützring 031
1552 Schwaz"
"Univ.Prof. Calvin Kober"	"Scherzweg 7
9655 Rottenmann"
"Lea-Sophie Ferstl"	"Foidlstraße 1/4
7297 Fürstenfeld"
"Univ.Prof. Hannah Schindler"	"Nick-Oberhauser-Gasse 55
3486 Klosterneuburg"
"Dr. Paul Schiller"	"Romy-Adler-Ring 3/2
5373 Leoben"
"Lorenzo Steger"	"Geislerstraße 044
3841 Scheibbs"
"Frau Katja Bader"	"Rieplweg 664
9710 Knittelfeld"
"Univ.Prof. Lean Zechner"	"Mathilda-Weninger-Straße 07
8161 Bruck an der Leitha"
"Marvin Bock-Strohmeier"	"Kollerweg 17
7794 Pöchlarn"
"Sigrid Obermayr"	"Kesslergasse 0/3
3212 Grieskirchen"
"Sascha Klinger"	"Annabella-Weinberger-Straße 017
5740 Wolkersdorf"
"Violetta Scheucher-Stückler"	"Anne-Pircher-Gasse 72
4843 Krems an der Donau"
"Angelo Guggenberger"	"Philip-Marte-Weg 96
1078 Traun"
"Zoe Eibl"	"Hübnerring 7
5296 Zeltweg"
"Yvonne Kaiser-Schreiner"	"Fabian-Zöhrer-Weg 4
1964 Scheibbs"
"Lorenzo Zöhrer-Pöll"	"Valentino-Langer-Weg 60
5759 Dornbirn"
"Teodor Gosch"	"Alma-Erber-Ring 8
3391 Oberwart"
"Maurice Wieser"	"Barthring 5
7795 Zistersdorf"
"Mateo Schöpf"	"Nils-Mühlbacher-Straße 167
2821 Stockerau"
"Juliana Klingler"	"Philip-Mühlberger-Weg 30
3669 Sankt Andrä im Lavanttal"
"Valentin Rechberger"	"Tim-Schöpf-Straße 1/7
9265 Gloggnitz"
"Cristina Reinthaler-Fleck"	"Stockingerweg 4/1
1894 Oberpullendorf"
"Manuel Beck"	"Eislstraße 2
4348 Gerasdorf bei Wien"
"Mariana Albrecht"	"Spieglstr. 1/2
1002 Heidenreichstein"
"Juliana Rieder-Haberl"	"Krammerstr. 6
7308 Zeltweg"
"Lotta Gosch"	"Tim-Löffler-Gasse 76
5824 Rust"
"Lionel Feichter"	"Hegerplatz 810
3904 Allentsteig"
"Lean Göschl"	"Schweitzerplatz 3
6143 Hainburg an der Donau"
"Paula Becker"	"Maida-Strohmeier-Straße 72
8552 Geras"
"Klara Nowak"	"Spindlerplatz 763
8707 Weitra"
"Gabriela Ringhofer"	"Carla-Zach-Weg 38
3865 Mariazell"
"Prof. Mia Baumgartner"	"Röckring 494
9993 Neusiedl am See"
"Jonathan Bösch"	"Adriano-Friedl-Ring 0
9776 Bad Hall"
"Paul Burger"	"Kalcherweg 9
3463 Lilienfeld"
"Aaron Thaler"	"Madeleine-Lehner-Gasse 89
2894 Waidhofen an der Thaya"
"Lotta Hermann"	"Steindlweg 44
3068 Korneuburg"
"Frau Alice Harrer"	"Theo-Stoiber-Straße 1
8462 Gmunden"
"Ilias Fuhrmann"	"Mathilda-Pammer-Weg 42
6992 Mattersburg"
"Nadia Wöhrer"	"Lilia-Sulzer-Gasse 2/6
3084 Bischofshofen"
"Fiona Loibl"	"Maria-Glück-Gasse 8
9633 Zeltweg"
"Mona Engl"	"Klockergasse 0/4
3992 Mureck"
"Ines Mayerhofer"	"Lampertplatz 601
4896 Amstetten"
"Herr Kilian Mitterlehner"	"Ellerring 5/0
9970 Hartberg"
"Philip Santner"	"Mert-Kahr-Weg 8/9
6112 Dornbirn"
"Ruth Schüller"	"Iris-Hinteregger-Gasse 395
5212 Landeck"
"Lotta Kral"	"Linnea-Scheiber-Gasse 13
2804 Güssing"
"Univ.Prof. Thomas Gahleitner"	"Straußstr. 717
7465 Neulengbach"
"Florian Höglinger-Pfleger"	"Ringhoferstr. 287
7945 Gmunden"
"Fabio Scholz"	"Christian-Scherer-Gasse 7
7590 Bad Radkersburg"
"Cristiano Ender-Juen"	"Kevin-Oberhauser-Ring 59
4499 Bruck an der Mur"
"Oliver Neuner-Trummer"	"Emanuel-Moser-Platz 531
8376 Mattersburg"
"Laureen Pucher-Hinterberger"	"Lara-Kraus-Gasse 8
1905 Voitsberg"
"Clemens Hell"	"Daniel-Reinthaler-Weg 18
4127 Leoben"
"Leo Stark-Heinz"	"Cristiano-Fürst-Ring 1
1284 Korneuburg"
"Ing. Lennard Bogner"	"Ungerweg 58
7036 Oberndorf bei Salzburg"
"Lotta Schmidinger-Kirchmair"	"Stöcklring 99
7692 Salzburg"
"Sandro Friedl"	"Stögergasse 1
3706 Wiener Neustadt"
"Elina Forster"	"Schwaighoferring 431
4082 Neulengbach"
"Leticia Maier"	"Nikolas-Hofinger-Ring 90
2076 Kapfenberg"
"Leontina Walser"	"Tauberplatz 6
9281 Feldbach"
"Finn Spitzer"	"Polzerstr. 1/1
5972 Landeck"
"William Santner"	"Niko-Klocker-Ring 7/5
5843 Allentsteig"
"William Eisner"	"Sara-Luger-Straße 44
2401 Ebreichsdorf"
"Mario Burgstaller"	"Stefan-Auinger-Gasse 20
4957 Schladming"
"Elvira Ringhofer-Neuner"	"Mika-Hammerl-Ring 0/5
6953 Waidhofen an der Thaya"
"Lotte Lettner"	"Rothweg 2/0
6502 Laa an der Thaya"
"Vivian Weber-Schwab"	"Leonora-Albrecht-Platz 475
3708 Bad Vöslau"
"Kevin Bucher"	"Ritterplatz 3
1334 Ebreichsdorf"
"Phillip Eberharter"	"Blümelweg 6/9
5499 Pinkafeld"
"Aylin Rohrmoser-Lipp"	"Timo-Thurner-Ring 3/2
5637 Ebenfurth"
"Carl Zöhrer"	"Franziska-Juen-Straße 7
4248 Spittal an der Drau"
"Maida Knapp"	"Konstantin-Fischer-Platz 568
7942 Eisenerz"
"Michael Stadler"	"Nathan-Prohaska-Weg 346
5857 Wolfsberg"
"Emil Eisl"	"Karnerstr. 5
9166 Sankt Veit an der Glan"
"Justus Gritsch-Brugger"	"Schobergasse 820
5718 Althofen"
"Louis Lintner"	"Elena-Trummer-Weg 5/4
9762 Dürnstein"
"Marcel Pfeifer"	"Pflegerring 7
2298 Kufstein"
"Amanda Thurner"	"Sigrid-Scholz-Ring 07
7856 Radenthein"
"Isabell Haiden"	"Emilie-Radl-Weg 4
3546 Hartberg"
"Prof. William Enzinger"	"Gahleitnerplatz 374
7131 Zwettl"
