"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid" 
"Katarina Javornik"|"Majorja Lavriča ulica 539
8235 Slovenj Gradec"
"Hasan Kuhar"|"Friškovec 32
7341 Izola"
"Živa Hrovat"|"Polje, cesta XXX 7
7582 Vipava"
"Edvard Rožman"|"Ulica 9. junija 7
5484 Žalec"
"Antonija žagar"|"Drenikova ulica 7a
9361 Slovenj Gradec"
"Romana Turk"|"Tabor 9c
2526 Murska Sobota"
"Sandi Cvetko"|"Plemljeva ulica 1a
9947 Logatec"
"Mark Medved"|"Černigojeva ulica 9c
7823 Šentjur"
"Bojan Jarc"|"Krmeljeva ulica 5a
9117 Žalec"
"Liljana Zajc"|"Dvorakova ulica 7c
8154 Žiri"
"Metod Toplak"|"Vrhovci, cesta XVIII 0b
7599 Železniki"
"Nejc Čuk"|"Veršičeva ulica 9c
7475 Brežice"
"Anton Kokol"|"Tobačna ulica 2
5967 Slovenska Bistrica"
"Hasan Krajnc"|"Mekinčeva ulica 8c
4167 Žalec"
"Rajko Kočevar"|"Štula 9c
9524 Sežana"
"Marica Kranjc"|"Pri mostiščarjih 8c
9537 Tržič"
"Jernej Markovič"|"Pločanska ulica 9b
8010 Mengeš"
"Iris Sitar"|"Kočenska ulica 7c
5018 Prevalje"
"Miro Gorenc"|"Belačeva ulica 9c
0748 Žalec"
"Liljana Zalokar"|"Ingličeva ulica 98
9526 Gornji Grad"
"Lidija Bajc"|"Gozdna pot 0a
9831 Radeče"
"Darko Mrak"|"Krivec 86
4995 Šoštanj"
"Roza Rupnik"|"Hribernikova ulica 8a
2541 Ravne na Koroškem"
"Tine Hrovat"|"Keržičeva ulica 6b
1967 Sevnica"
"Matilda Markovič"|"Šivičeva ulica 918
5543 Ribnica"
"Slavko Sušnik"|"Bavdkova ulica 4c
6242 Piran"
"Darja Tomažič"|"Pot na Golovec 4
8394 Vrhnika"
"Karel Hozjan"|"Čopova ulica 82
1164 Slovenske Konjice"
"Miroslava Bizjak"|"Verovškova ulica 4
4599 Lendava"
"Liljana volk"|"Cesta v Šmartno 7b
2495 Radeče"
"Jani Simonič"|"Cesta v Hrastje 771
9313 Bovec"
"Mihaela Kaučič"|"Slovenska cesta 9
7369 Trebnje"
"Darko Eržen"|"Novinarska ulica 4c
1485 Laško"
"Polonca Primožič"|"Kriva pot 2c
0741 Brežice"
"Josip Kokalj"|"Godeževa ulica 2b
6172 Prevalje"
"Roza Zajc"|"Baznikova ulica 9c
9929 Hrastnik"
"Gorazd Hočevar"|"Dvorni trg 2b
5734 Vrhnika"
"Igor Petrovič"|"Bleiweisova cesta 6
8534 Slovenske Konjice"
"Nikola Fras"|"Osterčeva ulica 9b
2852 Kočevje"
"Liljana Žibert"|"Vrhovci, cesta XXVI 212
0985 Vrhnika"
"Tadeja Rupnik"|"Dolomitska ulica 7a
6561 Medvode"
"Tina Hribernik"|"Periška cesta 195
8451 Vrhnika"
"Mirko Rožman"|"Hladnikova cesta 1b
4784 Metlika"
"Viktorija žagar"|"Novo Polje, cesta X 968
3543 Ljutomer"
"Tjaša Kranjc"|"Dolgi most 881
2513 Kočevje"
"Elvis Kovač"|"Ulica Jožeta Japlja 1c
4892 Vipavski Križ"
"Karmen Leskovar"|"Pot v hribec 45
9557 Rogaška Slatina"
"Jernej Jovanović"|"Ulica bratov Škofov 1c
4009 Ptuj"
"Matjaž Zakrajšek"|"Arkova ulica 74
9375 Ilirska Bistrica"
"Ljubica Bajc"|"Križna ulica 8c
0326 Slovenj Gradec"
"Darko Košir"|"Burnikova ulica 0b
5143 Žiri"
"Nik Pavlin"|"Nanoška ulica 583
0705 Velenje"
"Nataša Zakrajšek"|"Tesarska ulica 3a
8094 Višnja Gora"
"Alojzija Bezjak"|"Ulica 4. julija 16
7145 Kočevje"
"Branko Hafner"|"Steletova ulica 8b
9514 Trbovlje"
"Klara Lesjak"|"Tomačevo 3
6653 Tržič"
"Leopold Lešnik"|"Rakuševa ulica 4a
3029 Železniki"
"Domen petek"|"Novo Polje, cesta V 1b
3263 Turnišče"
"Matjaž Marolt"|"Bobenčkova ulica 5a
1434 Kobarid"
"Ljubica Cvetko"|"Veršičeva ulica 709
3987 Medvode"
"Izidor Jenko"|"Ravna pot 469
7122 Medvode"
"Pavel Jereb"|"Za vasjo 4c
1443 Ljutomer"
"Nik Furlan"|"Arkova ulica 1b
5426 Šoštanj"
"Anže Pintar"|"Ižanska cesta 526
4121 Tržič"
"Cecilija Klemenčič"|"Cesta v Hrastje 122
1145 Slovenska Bistrica"
"Metka Kocjančič"|"Stožice 0a
3441 Litija"
"Zdenka Tratnik"|"Dečkova ulica 9a
4268 Šoštanj"
"Polonca Rožman"|"Drenikova ulica 74
9576 Cerknica"
"Erika Likar"|"Pri mostiščarjih 3b
5474 Ormož"
"Ljubica Gorenc"|"Pavšičeva ulica 8c
2840 Šentjur"
"Klemen Lebar"|"Pod ježami 2a
2688 Vrhnika"
"Maruša Cerar"|"Rožna dolina, cesta XIII 4a
5571 Ilirska Bistrica"
"Bogomir ribič"|"Razgledna steza 540
0781 Grosuplje"
"Sebastjan Pirc"|"Ameriška ulica 0
0941 Tržič"
"Maksimiljan Kosi"|"Lorenzova cesta 82
0099 Mengeš"
"Darinka Sitar"|"Kadilnikova ulica 48
8955 Metlika"
"Vera Hozjan"|"Pot Rdečega križa 1c
7786 Prevalje"
"Lara Černe"|"Gestrinova ulica 4
0935 Novo mesto"
"Mirsad Zemljič"|"Romavhova ulica 2a
9146 Ravne na Koroškem"
"Ljubica Rozman"|"Stari trg 475
2963 Šoštanj"
"Vanja Mrak"|"Krivec 56
9639 Lenart v Slovenskih goricah"
"Pavel Turk"|"Medarska ulica 3c
7322 Krško"
"Vlasta Sitar"|"Letališka cesta 6
1469 Slovenska Bistrica"
"Nevenka Kocjančič"|"Ulica bratov Rozmanov 7c
1345 Bled"
"Matic Maček"|"Verovškova ulica 4b
6776 Maribor"
"Silvo Pavlič"|"Ulica Goce Delčeva 6
8070 Žalec"
"Stanko Golob"|"Muzejska ulica 0b
5328 Slovenska Bistrica"
"Milica Bajc"|"Rožna dolina, cesta I 8a
9243 Sežana"
"Anita Jerič"|"Lajovčeva ulica 6a
7500 Šempeter pri Gorici"
"Ljubica Zorko"|"Koreninova ulica 9
8501 Železniki"
"Blanka Zemljič"|"Bičevje 1b
3077 Sevnica"
"Ljudmila Demšar"|"Novo Polje, cesta XI 3c
8864 Prevalje"
"Aleksandar Perko"|"Rožanska ulica 9a
9685 Kranj"
"Magda Kranjc"|"Pečarjeva ulica 32
1340 Grosuplje"
"Martina Bregar"|"Merčnikova ulica 76
1006 Krško"
"Vladimir Demšar"|"Rožna dolina, cesta VIII 2a
6038 Škofja Loka"
"Frančišek kuhar"|"Trg francoske revolucije 5a
7783 Škofja Loka"
"Bojan Vidmar"|"Kamnogoriška cesta 4c
5057 Murska Sobota"
"Jasmina Kaučič"|"Božičeva ulica 6b
2777 Bled"
"Ljubica Zver"|"Štefančeva ulica 26
9297 Ajdovščina"
"Lucija Tavčar"|"Lepodvorska ulica 8b
3663 Laško"
"Andreja Zemljič"|"Preradovićeva ulica 5c
7582 Turnišče"
"Danilo Dolenc"|"Vošnjakova ulica 468
4852 Laško"
"Milica Babič"|"Perkova ulica 0a
8961 Cerknica"
"Marjan petek"|"Bravničarjeva ulica 4b
1194 Kostanjevica na Krki"
"Feliks Hrovat"|"Ulica bratov Martinec 7a
4674 Žalec"
"Franc Lavrič"|"Cesta na Brinovec 7c
4538 Trbovlje"
"Lara Zorman"|"Vidičeva ulica 446
2164 Mengeš"
"Leon žagar"|"Kamniška ulica 309
2601 Vipava"
"Ljudmila Eržen"|"Cesta v hrib 458
4183 Trbovlje"
"Tatjana Miklavčič"|"Bizjanova ulica 412
1895 Bled"
"Silvo Golob"|"Kočenska ulica 5
5680 Ruše"
"Jure Lazar"|"Vrhovci, cesta XIX 197
0620 Krško"
"Leopold Mlakar"|"Smrekarjeva ulica 260
3307 Kobarid"
"Matjaž Mavrič"|"Poklukarjeva ulica 4a
9189 Ptuj"
"Anka Žibert"|"Gornji Rudnik II 2
3406 Šempeter pri Gorici"
"Franci Pavlin"|"Ulica Jožeta Japlja 40
9639 Postojna"
"Tilen Dolinar"|"Gortanova ulica 703
4606 Kobarid"
"Lovro Hozjan"|"Dolinarjeva ulica 0b
8140 Kranj"
"Ljudmila Kobal"|"Gasilska cesta 3a
1653 Višnja Gora"
"Ljubica Vodopivec"|"Pavlovčeva ulica 19
3588 Zagorje ob Savi"
"Jan Kolarič"|"Novo Polje, cesta I 9a
1426 Lendava"
"Igor Miklavčič"|"Kastelčeva ulica 3a
9643 Jesenice"
"Cecilija Cvetko"|"Ziherlova ulica 7b
2406 Izola"
"Nevenka Mlakar"|"Mala ulica 401
2433 Kobarid"
"Anka Košir"|"Grobeljca 8c
4392 Krško"
"Janko Zupanc"|"Hribernikova ulica 5a
5785 Mežica"
"Romana Sušnik"|"Pilonova ulica 453
1588 Bled"
"David Rozman"|"Kantetova ulica 0c
2506 Ajdovščina"
"Ljudmila Koželj"|"Polje, cesta XLVI 7
5880 Ruše"
"Mirjam Rožman"|"Brodska cesta 564
8379 Kostanjevica na Krki"
"Zvonko Krajnc"|"Danile Kumarjeve ulica 8a
5049 Metlika"
"Lidija Krajnc"|"Plemljeva ulica 691
7598 Sežana"
"Jelka Mlakar"|"Jakhljeva ulica 8b
5443 Krško"
"Marijana Bizjak"|"Španova pot 278
2585 Žiri"
"Rozalija Javornik"|"Španova pot 634
1767 Velenje"
"Martin Janežič"|"Zakotnikova ulica 5b
8396 Koper"
"Adrijana Logar"|"Pipanova pot 6a
8487 Škofja Loka"
"Ksenija Cerar"|"Robbova ulica 907
0961 Litija"
"Ljudmila Pavlič"|"Cesta vstaje 9a
3003 Kamnik"
"Tatjana Kos"|"Grška ulica 3c
3135 Izola"
"Jelena Kranjc"|"Križna ulica 9b
8708 Bled"
"Štefan Lesjak"|"Cesta na Brinovec 3b
2101 Cerknica"
"Lilijana Rozman"|"Vrhovci, cesta XXXII 81
5451 Ljutomer"
"Marjanca Blažič"|"Polje, cesta II 2a
9521 Gornji Grad"
"Bogomir Hočevar"|"Ulica Žanke Erjavec 56
8238 Šempeter pri Gorici"
"Sašo Jenko"|"Tesovnikova ulica 454
0417 Grosuplje"
"Blanka Zupančič"|"Polje, cesta XXIV 1a
1864 Vrhnika"
"Lilijana Medved"|"Kekčeva ulica 4b
9294 Črnomelj"
"Ljudmila ribič"|"Šumarjeva ulica 7
9841 Kobarid"
"Danijela Eržen"|"Mala ulica 6c
1915 Brežice"
"Joško Pintar"|"Na požaru 3c
0780 Škofja Loka"
"Taja Lavrič"|"Cesta na Brinovec 5a
9683 Kamnik"
"Erna Hodžić"|"Cesta na Brinovec 7a
4152 Slovenska Bistrica"
"Žiga Hočevar"|"Kovaška ulica 9c
7331 Trebnje"
"Bernarda Jerič"|"Ribji trg 4b
2639 Krško"
"Sonja Dolinšek"|"Prašnikarjeva ulica 1
3300 Celje"
"Slavko Fras"|"Potokarjeva ulica 85
3300 Kranj"
"Marijana Žižek"|"Merčnikova ulica 2
3502 Ptuj"
"Lovro Božič"|"Ilovški štradon 54
7922 Domžale"
"Matija Breznik"|"Avstrijska ulica 3a
1032 Metlika"
"Zvonko Kovač"|"Vrhovci, cesta XVIII 3a
0591 Tolmin"
"Janko Hribernik"|"Grafenauerjeva ulica 1b
4000 Vipava"
"Štefka Lebar"|"Vegova ulica 5
3799 Slovenska Bistrica"
"Damjana Miklavčič"|"Kavčičeva ulica 76
7820 Ormož"
"Milica Kramar"|"Pipanova pot 06
1232 Ruše"
"Hana Markovič"|"Novo Polje, cesta XI 2c
0567 Velenje"
"Larisa Kosi"|"Parmova ulica 0b
8085 Ribnica"
"Nika Kolenc"|"Čanžekova ulica 4b
3719 Tržič"
"Lovro Fras"|"Šarhova ulica 87
4257 Hrastnik"
"Anže Bizjak"|"Pot na goro 8c
5315 Vipava"
"Katja Perko"|"Strossmayerjeva ulica 8a
3245 Maribor"
"Jadranka Klemenčič"|"Aškerčeva cesta 266
0468 Ljubljana"
"Mojca Kokol"|"Cesta na Bellevue 55
5990 Rogaška Slatina"
"Hedvika Tomšič"|"Steletova ulica 8b
9860 Krško"
"Gal Krivec"|"Peršinova cesta 0c
8789 Kočevje"
"Simona Skok"|"Čopova ulica 54
2486 Škofja Loka"
"Vid Resnik"|"Rožna dolina, cesta XII 012
7120 Ljutomer"
"Veronika Kokol"|"Pribinova ulica 2c
5116 Dravograd"
"Lovro Zajc"|"Miklavčeva ulica 6c
1351 Slovenj Gradec"
"Jožica Zupan"|"Šturmova ulica 204
2608 Ptuj"
"Davorin Jerič"|"Mestni trg 7a
2882 Lenart v Slovenskih goricah"
"Andreja Kastelic"|"Hladnikova cesta 761
7305 Kočevje"
"Cecilija Kobal"|"Ob pristanu 2a
6884 Kočevje"
"Dejan Dolinšek"|"Šlosarjeva ulica 4
2376 Šoštanj"
"Aljoša Hribar"|"Snebersko nabrežje 74
9134 Kamnik"
"Viljem Mlinar"|"Novo Polje, cesta XXI 7b
2285 Ilirska Bistrica"
"Aleks Žnidaršič"|"Jakšičeva ulica 8a
5358 Gornji Grad"
"Žan Jereb"|"Vegova ulica 1a
1591 Kobarid"
"Lovro Zemljič"|"Cesta na Bokalce 9c
7465 Idrija"
"Anže Jenko"|"Danile Kumarjeve ulica 3a
4757 Šentjur"
"Silva Blažič"|"Miklavčeva ulica 91
7901 Koper"
"Marjeta Jereb"|"Koželjeva ulica 6a
8083 Mengeš"
"Iris Korošec"|"Vrhovci, cesta II 7c
3054 Litija"
"Marko Simonič"|"Kocenova ulica 1
5255 Ruše"
"Karolina Krivec"|"Dvorni trg 111
1560 Velenje"
"Drago Vodopivec"|"Koprska ulica 3b
6251 Vipavski Križ"
"Albert Žagar"|"Poklukarjeva ulica 947
4979 Gornji Grad"
"Žiga Zver"|"Italijanska ulica 5c
7149 Ruše"
"Lovro Žagar"|"Tržna ulica 7b
1839 Slovenj Gradec"
"Rudi Černe"|"Židankova ulica 65
4197 Domžale"
"Jasmina Sever"|"Cesta v Prod 7
3129 Prevalje"
"Mirsad Ambrožič"|"Pot v hribec 9b
0338 Novo mesto"
"Aleksander Šinkovec"|"Peščena pot 9a
8487 Turnišče"
"Danijela Tavčar"|"Borutova ulica 4
4883 Kočevje"
"Vincenc Nemec"|"Predjamska cesta 7b
4086 Ormož"
"Sašo Miklavčič"|"Dolenjska cesta 283
4821 Višnja Gora"
"Sonja Kolenc"|"Hrvaška ulica 212
5134 Ajdovščina"
"Patricija Mavrič"|"Berdajsova ulica 6c
4296 Maribor"
"Lucija Golob"|"Ribniška ulica 95
8632 Sežana"
"Anej Tratnik"|"V Karlovce 1c
3963 Kobarid"
"Adolf Hafner"|"Letališka cesta 5a
0794 Zagorje ob Savi"
"Eva Bizjak"|"Lepodvorska ulica 423
5112 Vrhnika"
"Marjan Dolenc"|"Cesta v Dvor 1
2552 Sežana"
"Gal Logar"|"Trg republike 3b
9118 Tolmin"
"Simon Rus"|"Lepodvorska ulica 27
3087 Postojna"
"Bogdan ribič"|"Zelenova ulica 0c
3407 Kobarid"
"Anej Lešnik"|"Kremžarjeva ulica 6
3665 Škofja Loka"
"Martina Kolenc"|"Pot heroja Trtnika 8a
8539 Krško"
"Lucija Gorenc"|"Layerjeva ulica 67
6438 Turnišče"
"Albina Toplak"|"Pot na Gradišče 1a
3043 Cerknica"
"Simon Kaučič"|"Šentviška ulica 48
9191 Šentjur"
"Izidor Babič"|"Valjavčeva ulica 0b
0351 Kranj"
"Alenka Klemenčič"|"Srebrničeva ulica 5c
2340 Ruše"
"Zdravko Zajc"|"Kudrova ulica 668
8896 Slovenj Gradec"
"Borut Gorenc"|"Proletarska cesta 5b
3490 Ruše"
"Lilijana Blatnik"|"Ocvirkova ulica 9b
3041 Slovenske Konjice"
"Alojzija Kos"|"Mire Lenardičeve ulica 0b
3760 Medvode"
"Mihael Hafner"|"V Murglah 417
3374 Kranj"
"Lucija Javornik"|"Pot k studencu 6
7157 Kranj"
"Radovan Eržen"|"Cimpermanova ulica 6a
0794 Višnja Gora"
"Štefanija Železnik"|"Strossmayerjeva ulica 8c
3390 Grosuplje"
"Rok Rupnik"|"Madžarska ulica 0b
5403 Dravograd"
"Rajko Mlinar"|"Stegne 9b
5107 Trebnje"
"Bruno žagar"|"Pod gozdom 2b
2715 Maribor"
"Frančišek Kramar"|"Spodnji Rudnik I 5
2050 Ruše"
"Tadeja Cvetko"|"Omejčeva ulica 038
1608 Cerknica"
"Erik Kolar"|"Tomišeljska ulica 339
4121 Koper"
"Tatjana Leban"|"Vipotnikova ulica 3c
7594 Metlika"
"Lucija Kranjc"|"Vošnjakova ulica 33
6710 Idrija"
"Goran Žnidaršič"|"Štradon čez Prošco 9c
6003 Gornja Radgona"
"Mihael Pavlin"|"Layerjeva ulica 9a
4951 Domžale"
"Rozalija Jug"|"Vrhovci, cesta X 9
4085 Jesenice"
"Milan Blatnik"|"Rožanska ulica 0
9195 Trebnje"
"Mira Kočevar"|"Za Garažami 1b
6127 Zagorje ob Savi"
"Živa Leban"|"Hotimirova ulica 7
9708 Vrhnika"
"Nina Čeh"|"Pri malem kamnu 1a
1263 Trebnje"
"Ernest Čeh"|"Groharjeva cesta 780
8872 Velenje"
"Maruša Rozman"|"Pod Kamno gorico 9b
7547 Tržič"
"Lucija Lah"|"Vozna pot na Grad 7b
3333 Radeče"
"Željko Volk"|"Mala vas 2b
6835 Turnišče"
"Sabina Bregar"|"Cesta v Legarico 184
5530 Laško"
"Rozalija Volk"|"Polje, cesta III 4b
2222 Trebnje"
"Janez Bregar"|"Adamič-Lundrovo nabrežje 30
1981 Jesenice"
"Brigita Mihelič"|"Zupanova ulica 6a
2904 Velenje"
"Urška žagar"|"Bognarjeva pot 5b
9193 Hrastnik"
"Anica Ilić"|"Podgrajska cesta 346
2931 Metlika"
"Ajda Kos"|"Cesta v Hrastje 3
5498 Lenart v Slovenskih goricah"
"Marta Rožman"|"Kerševanova ulica 1a
1786 Žalec"
"Lucija Mlinarič"|"Gradnikova ulica 5
4295 Domžale"
"Stojan Vidmar"|"Lahova pot 1b
3538 Idrija"
"Robert Bizjak"|"Valjavčeva ulica 5a
7244 Maribor"
"Roman Gorjup"|"Za gasilskim domom 9b
2090 Lendava"
"Ciril Primožič"|"Goriška ulica 38
3355 Ormož"
"Borut ribič"|"Ulica 24. avgusta 3
6408 Cerknica"
"Monika Hrovat"|"Kropova ulica 6b
6767 Novo mesto"
"Eva Jelen"|"Janševa ulica 9
9424 Hrastnik"
"Davorin Lebar"|"Ulica Konrada Babnika 804
2091 Tolmin"
"Nika Zupančič"|"Eipprova ulica 86
2926 Kobarid"
"Lucija Toplak"|"Pot do šole 45
9409 Kostanjevica na Krki"
"Sebastijan Vodopivec"|"Ulica Lovre Klemenčiča 3c
7109 Vrhnika"
"Valentina Petek"|"Arkova ulica 999
7525 Hrastnik"
"Ludvik Zalokar"|"Grafenauerjeva ulica 83
9680 Hrastnik"
"Eva Zupančič"|"Kolmanova ulica 4a
6715 Cerknica"
"Goran Zorman"|"Bizjanova ulica 6
7451 Škofja Loka"
"Nikola Rožman"|"Na Palcah 517
7622 Ajdovščina"
"Jerica Gorjup"|"Kratka pot 8
0553 Murska Sobota"
"Matevž Koren"|"Kašeljska cesta 2b
2541 Laško"
"Silvo Lesjak"|"Obrežna steza 5c
1300 Izola"
"Lucija petek"|"Lazarjeva ulica 88
8645 Tolmin"
"Daniel Jug"|"Obirska ulica 8c
3563 Murska Sobota"
"Anže Mavrič"|"Žolgerjeva ulica 802
7440 Ilirska Bistrica"
"Lovro Blažič"|"Setnikarjeva ulica 7b
4938 Ruše"
"Mihaela Leban"|"Kajuhova ulica 171
4407 Gornja Radgona"
"Matej Hrovat"|"Novo Polje, cesta VI 71
6720 Ljutomer"
"Feliks Pečnik"|"Derčeva ulica 291
8219 Lendava"
"Anka ribič"|"Vrhovci, cesta II 915
7901 Radovljica"
"Albin Zalokar"|"Bregarjeva ulica 8a
8612 Piran"
"Lidija Žibert"|"Bobrova ulica 718
3197 Medvode"
"Ludvik Furlan"|"Mačkov kot 0
6070 Grosuplje"
"Patricija Tratnik"|"Švegljeva cesta 8c
8951 Grosuplje"
"Slobodan Maček"|"Blasnikova ulica 3c
7131 Logatec"
"Samo Zajc"|"Tobačna ulica 6c
1493 Laško"
"Zora Kovačič"|"Slape 3b
5674 Gornji Grad"
"Aljaž Markovič"|"Zadnikarjeva ulica 8a
9772 Lendava"
"Tim Fras"|"Železna cesta 9a
5400 Trbovlje"
"Vera Kos"|"Mlake 8b
8877 Kranj"
"Milan Tomažič"|"Vrhovci, cesta XI 796
1083 Ormož"
"Nada Maček"|"Ob pristanu 4b
1623 Ljubljana"
"Ludvik Godec"|"Lorenzova cesta 2
9822 Domžale"
"Ema Medved"|"Blasov breg 3a
2847 Lendava"
"Kristjan Lazar"|"Pot heroja Trtnika 64
5637 Cerknica"
"Hermina Pavlič"|"Zeljarska ulica 6a
3194 Zagorje ob Savi"
"Zora Fras"|"Argentinska ulica 0
6264 Gornja Radgona"
"Polona Jarc"|"Mirje 57
2010 Črnomelj"
"Jerneja Kolarič"|"Juvanova ulica 41
3440 Kamnik"
"Stanislav Zakrajšek"|"Kadilnikova ulica 3a
0854 Sežana"
"Damir Zakrajšek"|"Pod topoli 8
5808 Dravograd"
"Sandra Potočnik"|"Trdinova ulica 463
1806 Slovenske Konjice"
"Ludvik Krajnc"|"Kumerjeve ulica 48
5582 Litija"
"Janez Čeh"|"Šinkov štradon 7c
2934 Ljutomer"
"Albina Eržen"|"Vrtna ulica 7
3391 Ajdovščina"
"Julijana Golob"|"Ocvirkova ulica 9
0661 Jesenice"
"Franjo Zupan"|"Gorjančeva ulica 2c
4438 Tolmin"
"Vlado Černe"|"Švegljeva cesta 2c
7696 Murska Sobota"
"Alen Tomažič"|"Rudnik III 9
2585 Žiri"
"Aljoša Mlakar"|"Pod bukvami 8
0100 Prevalje"
"Aleksandar Petek"|"Tbilisijska ulica 50
3963 Gornji Grad"
"Stjepan Hafner"|"Podjunska ulica 3b
0768 Kočevje"
"Ludvik Tomažič"|"Mazovčeva pot 8b
1673 Zagorje ob Savi"
"Mira Zemljič"|"Vrtnarska cesta 4c
0902 Škofja Loka"
"Marjana Rožman"|"Grško 5
7416 Lendava"
"Tatjana Miklavčič"|"Lemeževa ulica 1c
6314 Jesenice"
"Frančišek Pavlin"|"Grintovška ulica 4c
9327 Zagorje ob Savi"
"Tea Jerman"|"Završje 15
6459 Turnišče"
"Cecilija Gregorič"|"Polje, cesta VIII 5
3934 Kočevje"
"Mirsad Babič"|"Kumrovška ulica 4b
9459 Jesenice"
"Bogdan Filipič"|"Brilejeva ulica 41
0122 Gornja Radgona"
"Hasan Maček"|"Mizarska pot 20
9078 Velenje"
"Luka Cerar"|"Španova pot 4
6624 Žalec"
"Justina Eržen"|"Marice Kovačeve ulica 5
6937 Domžale"
"Miha Dolenc"|"Čebelarska ulica 123
5959 Bovec"
"Srečko Erjavec"|"Trbeže 2a
6154 Radeče"
"Nives Maček"|"Cesta v Prod 4c
9719 Kamnik"
"Matilda Kranjc"|"Majorja Lavriča ulica 34
2871 Železniki"
"Luka Božič"|"Zajčevi dvori 2
0625 Kostanjevica na Krki"
"Maruša Sitar"|"Magistrova ulica 61
8749 Kočevje"
"Sandi čeh"|"Ključavničarska ulica 0a
8495 Sevnica"
"Lilijana Lazar"|"Gustinčarjeva ulica 7b
8472 Rogaška Slatina"
"Luka Jarc"|"Baragova ulica 97
3442 Ljutomer"
"Slavica Sitar"|"Zvezda 0b
2096 Vipavski Križ"
"Aleks Kočevar"|"Vošnjakova ulica 700
7294 Slovenska Bistrica"
"Taja Ramšak"|"Krištofova ulica 13
0489 Šoštanj"
"Filip Fras"|"Koblarjeva ulica 0c
8226 Slovenj Gradec"
"Marjanca Zorko"|"Tbilisijska ulica 233
2761 Laško"
"Mateja Gorenc"|"Medenska cesta 33
0723 Celje"
"Simon Korošec"|"Železna cesta 0a
5292 Sežana"
"Barbara Rožman"|"Cimermanova ulica 236
2353 Kostanjevica na Krki"
"Nina Kocjančič"|"Za opekarno 547
9612 Domžale"
"Luka Jenko"|"Novo Polje, cesta VII 0a
4550 Dravograd"
"Aleksandar Bevc"|"Kovaška ulica 362
8157 Turnišče"
"Štefan Breznik"|"Draga 79
1416 Lenart v Slovenskih goricah"
"Dušanka Volk"|"Glinška ulica 5c
7121 Murska Sobota"
"Ljudmila Blatnik"|"Ravna pot 0b
1345 Celje"
"Maša Skok"|"Chengdujska cesta 3c
9561 Izola"
"Karol Furlan"|"Ulica 15. maja 1
2420 Brežice"
"Sabina Marolt"|"Omersova ulica 3b
7752 Ribnica"
"Luka Resnik"|"Cigaletova ulica 0a
2934 Slovenska Bistrica"
"Ciril Maček"|"Zidarjev štradon 6a
9978 Litija"
"Luka Kolenc"|"Jarnikova ulica 7b
0157 Radeče"
"Uroš Hodžić"|"Krakovski nasip 3c
8727 Slovenska Bistrica"
"Danijel Nemec"|"Kokaljeva ulica 575
4760 Hrastnik"
"Ivana Sitar"|"Arkova ulica 1b
2677 Bled"
"Dominik Miklavčič"|"Zarnikova ulica 0
5275 Rogaška Slatina"
"Jožef Šmid"|"K reaktorju 3b
5193 Izola"
"Aleksandra Novak"|"Trg republike 3c
1731 Ptuj"
"Mark Pirc"|"Na Rojah 4
3425 Ormož"
"Štefka Bukovec"|"Vegova ulica 859
6701 Ptuj"
"Sonja Mihelič"|"Velnarjeva ulica 7a
0340 Šentjur"
"Luka Kovačič"|"Pod bukvami 2b
7582 Trbovlje"
"Larisa Kobal"|"Pod vrbami 93
5239 Žalec"
"Nada Debeljak"|"Kantetova ulica 7c
3183 Dravograd"
"Polonca žagar"|"Zasavska cesta 2a
2335 Mežica"
"Justina Mlinarič"|"Ulica Žanke Erjavec 082
7111 Radovljica"
"Bogomir Bukovec"|"Sternadova ulica 7a
5940 Koper"
"Mirjam Leban"|"Cesta na Loko 2
1369 Škofja Loka"
"Matevž Hafner"|"Groharjeva cesta 5
3184 Slovenska Bistrica"
"Žiga Blatnik"|"Veliki štradon 0a
8046 Velenje"
"Angela Cerar"|"Petkova ulica 212
8299 Dravograd"
"Luka Tratnik"|"Kumerdejeva ulica 6a
5283 Koper"
"Samo Vodopivec"|"Ulica Milana Majcna 46
4726 Kočevje"
"Drago volk"|"Ribji trg 6a
9431 Jesenice"
"Timotej Tavčar"|"Nova ulica 6
7183 Tolmin"
"Cecilija Čeh"|"Na produ 2b
9515 Železniki"
"Peter čeh"|"Mesesnelova ulica 04
7442 Hrastnik"
"Alja Šmid"|"Hribovska pot 4
6783 Kobarid"
"Nikola Lazar"|"Reboljeva ulica 5a
9653 Velenje"
"Mirko Simonič"|"Reška ulica 4
3174 Slovenske Konjice"
"Marjana Cvetko"|"Melikova ulica 9c
2790 Škofja Loka"
"Luka volk"|"Kongresni trg 7a
7003 Sevnica"
"Jan Jereb"|"Frenkova pot 954
3057 Izola"
"Lucija Rutar"|"Cankarjev vrh 9
8892 Gornja Radgona"
"Maks Turk"|"Čučkova ulica 58
8386 Piran"
"Nives Čeh"|"Kumerdejeva ulica 3a
7410 Koper"
"Cecilija Rozman"|"Vodovodna cesta 9b
6388 Jesenice"
"Jan Zupan"|"Sovretova ulica 523
6722 Vrhnika"
"Nada Kotnik"|"Kogojeva ulica 984
4510 Ravne na Koroškem"
"Nikola Volk"|"Grška ulica 948
9002 Ilirska Bistrica"
"Nejc Popović"|"Kolarjeva ulica 6
9012 Žalec"
"Magda Bezjak"|"Glinška ulica 4c
5342 Litija"
