"Aaron Allen"	"PO Box 19
Wekanui 5389" 
"Kenneth Street"	"Flat 89
4 Allerby Highway
Kowhaiwhaka 8888"
"Lynette Carpenter"	"953 Gregory Street
Wekataikowhai 8293"
"Garry Donald"	"5 Blair Avenue
Angelaside 8047"
"Matilda Williams"	"470 Wallace-Alve Avenue
Tereiti 5365"
"Gary Smith-Anderson"	"23 Carter Road
RD 1
Adamshaven 8207"
"Christopher Jackson-Fletcher"	"30 Rongoteremaunga Street
Wakawhenua 9711"
"Hope Rodgers-Wood"	"PO Box 51
Wakamoko 8148"
"Michael Butler"	"PO Box 85
Beattiehaven 6185"
"Kayla Lee"	"57 Bridget Road
Christine Hill 8465"
"Jason Blake-Fuller"	"Unit 22
6 Nicol Drive
McCallumleigh 2352"
"Joanne Fulton"	"1 William Beach Road
RD 8
Bellland 2009"
"Lynette Cresswell"	"65 Gibson-Broughan Avenue
Ngaurunui 9311"
"Sarah Hayward"	"886 Bell Place
RD 2
Waipuke 9272"
"Samuel O'Brien-Martin"	"PO Box 44
Philippaside 2101"
"Patrick Porter"	"706 Wharematawhenua Street
RD 9
West Flats 6989"
"Phillip Conway"	"PO Box 28
Terehope 6142"
"Douglas Shand-Kendall"	"8 Lucas Street
Tahirangiwaka 9406"
"Sheryl Reynolds"	"355 Tangipapapaawa Place
Rutherfordfort 6940"
"Danielle Smith-Francis"	"Flat 60
8 Kerr Place
Wekamoko 9628"
"David Martin-Osborne"	"5 Browne Road
Larsenings 8193"
"Garry Peters"	"5 Harris Drive
Aratanga 5283"
"Lynette Greer"	"109 Kieran Place
RD 10
Morrisberg 3294"
"Sandra Marshall"	"Unit 70
6 Papaparangi Street
Rongomakau 2602"
"Kyle O'Connor-Allerby"	"5 Bell Street
Horoiti 5879"
"Angus Robb"	"Level 2
6 Carpenter Range Road
Prattland 5826"
"Gavin Wong"	"8 Thomas Park
Wattsside 9320"
"Hamish Middlemiss"	"PO Box 21
Darrynneath 6025"
"Huia Moore"	"Suite 333
998 Rebecca Range Road
Lynetteside 1789"
"Jeanette Healey"	"PO Box 96
Davisbury 5540"
"Bruce Lane"	"PO Box 461
Arakowhairoa 7185"
"William Harris"	"66 Procter Range Road
Awarua 6945"
"Lynette Manning"	"4 Wekapo Avenue
Sandersburgh 6416"
"Frances Tucker-Cragg"	"80 Kawatau Bypass
Kawataikoro 3004"
"Gregory Butcher-Currie"	"1 Watt Highway
Cliffordburgh 2026"
"Shannon Francis"	"64 Rohekowhai Drive
RD 7
New Robertshaven 5276"
"Marcus Gullery"	"5 Higgins Street
Turnerbury 3346"
"Benjamin MacDonald-Johnston"	"PO Box 8
Simmondsbury 8406"
"William Spencer"	"714 McManaway Alley
Rickardfort 6438"
"Hamish Paton-Spencer"	"662 Whangatere Road
High O'Briening 9571"
"Sarah Ingram"	"PO Box 27
Roheiti 3469"
"Brian Griffin"	"62 Awahororoto Arcade
Annaport 8500"
"Lynette Williams-Knight"	"PO Box 8
McCallummouth 3733"
"Andrew Kelly"	"3 McPherson-Whyte Terrace
RD 1
Larsenland 2382"
"Melissa Lamb"	"5 Burton-Potter Street
Port Donaldhaven 8030"
"Madison Taylor"	"PO Box 5
Smithings 6030"
"Lucy Jordan-Lyons"	"PO Box 692
Davidbury 0113"
"Karen Blick"	"6 Rangimoko Gardens
Wardleigh 5371"
"Dylan Turner-Murphy"	"PO Box 5
Pukemakau 8548"
"Alexander Stokes-Kendall"	"Unit 79
278 Freeth-Holloway Road
Lawsoning 9218"
"Daniel Campbell"	"2 Bell-O'Brien Street
Rangimaunga 7548"
"Callum Gill-Pearson"	"8 Hart Anchorage
RD 2
Papapakawa 8870"
"Lynley Rutherford"	"92 McEwen Road
RD 2
Arnottton 5039"
"Peter Rees"	"PO Box 56
Wakarotomakau 5816"
"Linda Spencer"	"9 Connor Cross
RD 7
East Humphreybury 8633"
"Samuel Hayes"	"491 Manawawhanga Alleyway
Wharepapapa 9250"
"Samuel Lyons"	"3 Pamela Street
Manawahoro 8432"
"Charlotte Clarke"	"2 Moore Highway
Rangitipuara 2532"
"Harmony Edwards"	"PO Box 881
Reneeberg 5258"
"Peter Jordan-Christiansen"	"70 Hubbard Way
Floodside 5715"
"Martin McLean"	"79 Samantha Trail
RD 10
Fordburgh 8607"
"Hannah Pickering"	"145 Maungarotonui Arcade
RD 1
Mokotai 9766"
"Maddison Patchett-Wall"	"PO Box 97
Stevensfort 4884"
"Ian O'Leary-Williams"	"40 O'Connell Street
Roherongo 6414"
"Andrew Paul-Brown"	"93 Francis Crescent
RD 10
Port Hartborough 8016"
"Megan McEwen"	"17 Jackson-Bailey Gardens
RD 7
South Thompsonberg 4234"
"Scott Taylor"	"32 Burgess Line
Hansenborough 8992"
"Jennifer Simmons"	"884 Meads Road
Pollardberg 9681"
"Christine Hickey"	"356 Papapawaka Road
Ngaurumanawaroto 6925"
"Anne Simpson"	"48 Jones Anchorage
Maungarohe 0897"
"Steven Jamieson"	"9 Morrison Street
Taylor Flats 8870"
"Kevin O'Neill"	"Suite 844
339 Coley-Taylor Street
Sullivanhaven 8995"
"Madeline Munro"	"26 Rush-Lane Street
RD 2
New Kennedystone 2470"
"Troy Williams"	"Level 3
7 Paul Road
Curtisburn 2344"
"Violet McIsaac"	"Flat 46
42 Tahiwhangawhitu Park
Lake Davisside 6497"
"Gabrielle Cresswell"	"54 Barbara Trail
Taitiputahi 2020"
"Kelly North"	"PO Box 56
East Robertsmouth 9782"
"Susan Laurenson-Graham"	"PO Box 4
Marianeath 7964"
"Margaret Fairhall-Jennings"	"613 Gleeson-Bush Terrace
RD 6
Awakoro 9405"
"Suzanne Bull"	"Level 6
65 Duncan Square
Mortonland 2083"
"Andrea Stevenson"	"5 Awamokokiwi Square
Edwardsport 9496"
"Raewyn Taylor"	"PO Box 479
Whakatau 6173"
"Madeline O'Brien-Hudson"	"Flat 71
41 Tereroto Square
Gilchristberg 2491"
"Paige McLeod"	"626 McLeod-Adams Arcade
RD 6
Whanganuku 8562"
"Debbie West"	"86 Taimanawa Crest
Andersonmouth 2068"
"Charlie McIsaac"	"4 Patterson Drive
Stephenfort 1199"
"Wendy Gee-Knight"	"890 Kawamanawatai Beach Road
RD 7
Sinclair Hill 9467"
"Kevin Henry"	"172 Ramsay-Cameron Crescent
Motukiwi 8120"
"Lisa McFarlane-Atkinson"	"2 Muir-Rees Arcade
Waiwakaara 2244"
"Lance Taylor"	"PO Box 2
Puketanginuku 8948"
"Sophia Smith-Fletcher"	"1 Murphy Grove
Forrestton 2632"
"Hugo Cresswell"	"PO Box 38
Davisburn 6249"
"Madison Ferguson"	"42 Connor Approach
Terearatai 8144"
"Amanda McEwen"	"71 Marsh-Russell Crescent
Horomaungatahi 8045"
"Kirsty Harris"	"Suite 819
69 Matawhenua Court
Koropuke 8421"
"Jade Shannon"	"65 Baker Beach Road
Henderson Flats 2358"
"Paul Cook"	"PO Box 7
Thompson Flats 8176"
"Steven Scott"	"6 Linton Point
RD 8
Wongbury 5568"
"Kevin Thompson"	"54 Ethan Place
Motupoara 5357"
"Megan Godfrey"	"10 Smith Street
Whakaiti 9224"
"Suzanne Price-Forrest"	"4 Jamieson Road
Harting 6914"
"Frances Jackson"	"49 Motumaungamakau View
McDonaldton 8967"
"Maia Schwass"	"PO Box 549
Arapo 5540"
"Glen Spelman"	"46 Gail Circle
RD 9
Gordonport 7580"
"Robyn Simpson"	"9 Papapangauru Broadway
RD 7
Beverleygate 9699"
"Zachary Shepherd"	"9 Toms Road
Jacquelineside 3481"
"Michael Healey"	"9 Papapamata Cross
Simmons Hill 6229"
"Alison Smith-Collis"	"1 Graham Crescent
Horotai 2357"
"Mark Thomas"	"23 O'Sullivan-Evans Beach Road
Smithgate 2605"
"Leanne Wells"	"Suite 870
9 Moturongonui Highway
Horonui 6071"
"Graeme Clifford-Kennedy"	"370 Wakatere Drive
Kowhaimotukawa 9778"
"Michael Hamilton"	"5 Garry Beach Road
Lake Evansland 2547"
"Maia Wong"	"PO Box 93
Whangapo 7570"
"Amelia McGregor"	"PO Box 7
Jasminefort 9061"
"Andrea Willis-Carr"	"84 Nicola Place
RD 2
Bradleyings 3591"
"Matthew Henderson"	"PO Box 6
Horoawa 9777"
"Sam McLeod"	"600 Horotaikiwi Street
Carrleigh 5224"
"Victoria Laing-Claridge"	"Apt. 363
760 Carpenter Copse
North Wattside 9470"
"Aaron Fox"	"PO Box 1
Mount Wattshaven 4329"
"Andrea Rogers"	"416 Dick Circuit
Prenticeborough 8141"
"Harrison Green"	"691 Owen Road
Mortonleigh 8942"
"Donna Scott"	"5 Taiaraawa Terrace
Jamesburn 8843"
"Malcolm Baldwin-Oliver"	"98 Rotohoro Corner
RD 9
Taiiti 8422"
"Lawrence Brooks"	"Unit 17
7 Pukeiti Cove
Tahirohewhero 0924"
"Stuart Smith-Stace"	"55 Simpson Arcade
Coxberg 4859"
"Sarah Kelly-McNabb"	"65 Davis Place
RD 9
Awarohe 8133"
"Jayden Cole"	"PO Box 54
Lower Baileyhaven 8052"
"Glenda Taylor"	"913 Wekakowhairohe Road
RD 8
Kawangauruwhenua 6921"
"Anna Waghorn"	"9 Roheroto Street
RD 10
Barnestown 5549"
"Jack Funnell-Brown"	"PO Box 73
Millerleigh 8920"
"Samuel Gibbons"	"Apt. 552
273 Taihoro Street
Tereroto 5521"
"Georgina Chapman"	"37 Tipumatarua Mews
High Strattonport 8532"
"Malcolm Coleman"	"Level 3
93 Awatere Bypass
Tangitere 8412"
"Sandra Hills"	"Apt. 219
3 Thomas-Murphy Street
Tangitipu 8825"
"Elizabeth Black"	"27 Scott Esplanade
Millerfort 8567"
"Caroline Nolan"	"9 Jones Road
Middlemissings 5201"
"Peter Sowman"	"235 Scott-Stewart Amble
Rangirua 5088"
"Nicholas Smith"	"60 Dean Flats
RD 4
Horn Flats 2189"
"Flynn Nielsen"	"PO Box 16
Twidleleigh 2623"
"Quinn Little"	"PO Box 4
Manawahope 7009"
"Niko Brooks"	"321 Awatahi Line
Ngauruwaitere 9755"
"Gabriel Marfell"	"5 Whakatangi Line
Upper Oliverside 5181"
"Manaia Burton"	"PO Box 52
Coleyburgh 9840"
"Josh Evans"	"650 Wharekawa View
Maungamoko 5284"
"Sophia Murphy"	"35 Davis Road
Motunui 9259"
"Isla Herd"	"PO Box 442
Wattsing 2174"
"Olivia Rossiter"	"PO Box 69
Natalieport 9803"
"Caitlin Thornton"	"52 Papapatanga Alley
Holloway Flats 1897"
"Kahurangi Browne-Jellyman"	"3 Manawamakau Drive
Farlandfort 2136"
"Liam Dean"	"708 Tahimakau Street
Wharewhare 8674"
"Mark Patterson"	"1 Tangimata Street
Awapuke 9393"
"Michelle Gunn"	"5 Papapawhangangauru Road
Kowhaikororua 2045"
"Manaia Campbell"	"Level 9
94 Ryan Street
Priceleigh 9286"
"Morgan Butler"	"2 Pukeroa Close
RD 2
Lower Shepherding 5859"
"Murray Gore"	"777 Manawawhitu Highway
Stratfordborough 5206"
"Kim Wood"	"PO Box 862
Gaskinport 3832"
"Blair Collis-Gore"	"226 Wekamotu Road
Taylorbury 8266"
"Vicki Tucker-Turner"	"PO Box 7
Pearsoning 5704"
"Benjamin Russell"	"Unit 67
967 Smith Road
Healystone 5513"
"Patricia Simonsen-Bassett"	"883 Koropukepuke Street
RD 2
Millerburn 8991"
"Stephanie Ford"	"5 Field-Graham Avenue
RD 7
Koromotuwhanga 6971"
"Peter Thompson"	"9 Karl Way
Allanleigh 2405"
"Manaia Douglas"	"4 Mokotere Mews
Sallyside 6197"
"Daniel Lane-Smith"	"Suite 423
2 Tererua Approach
Maungahoropo 6169"
"Liam Stratton"	"26 Blick Crescent
RD 3
Tangiwaihoro 9652"
"Robert Morgan"	"3 Dick-Middleton Trail
Websterbury 8197"
"Joshua Linton"	"832 Motuawapuke Cross
Port Murdochton 5244"
"Shane Bailey"	"609 Kennedy Avenue
Masonville 9280"
"Amanda Ingram"	"26 Tipukawa Road
Waiawa 9043"
"Michael Guthrie"	"PO Box 29
Taiwhangatere 9778"
"Lisa Knight-Andrew"	"PO Box 37
Hartburn 9023"
"Robert Gordon-Morton"	"87 Wakapukemanawa Esplanade
Fowlerings 6169"
"Manaia Jackson"	"39 Smith Street
Awawakatapu 0856"
"Christopher McGrath-Johnston"	"Apt. 478
89 Rotomanawa Beach Road
Richardsmouth 2374"
"Ann Moran-Low"	"7 Awamaungamotu Broadway
Burgessleigh 9060"
"Maria Allerby"	"934 Hannah Drive
Upper Nicholasburgh 3702"
"Logan McIsaac"	"164 Beattie Road
Taimatamoko 5137"
"Graham Harris"	"92 Justin Cross
Whangatapu 8052"
"Bridget Smith"	"Suite 706
8 McKay Street
Awawai 8269"
"Peter Ryan"	"56 Kowhaitau Way
Awamoko 8252"
"Lisa Lloyd"	"Suite 612
16 McGregor Range Road
Riabury 6487"
"Marie Parker"	"Apt. 379
613 Perry Road
Kennedyleigh 8546"
"Manaia Johnstone"	"2 Mokowhenua Street
Gordonfort 9648"
"Charles McDonald"	"Unit 38
995 Wakamoturangi Road
Maryside 6210"
"Adam Day"	"7 Horotahi Keys
Rongokoro 2004"
"Aroha Bruce-Forrest"	"865 Waikowhai Pass
Mount Morrisonneath 1591"
"Tania Knight"	"373 Michelle Avenue
Taingaurungauru 9434"
"Connor Curtis"	"9 Rangimoko Street
Taitapu 2113"
"Ashton Priest-Barr"	"5 Tipuwhenua Street
Hillsstone 8891"
"Jessica Evans"	"55 Martin Bypass
Upper McCarthymouth 8845"
"Rose Bailey"	"Flat 23
5 Jones Cutting
Adamsfort 5550"
"Christopher Fulton"	"Flat 32
27 Emma Crossing
Davisport 2122"
"Manaia Sanders"	"9 Kowhaiweka Reserve
Tahinuku 2635"
"Timothy Morrison"	"Apt. 643
4 Waiwharewhitu Street
Ngaurupotanga 5181"
"Peter Jarvis"	"PO Box 95
Cherylings 9230"
"Dylan Burns"	"428 Stewart Road
Maryland 9035"
"Gary Doyle"	"579 Elliott Mews
Maungapuke 2603"
"Jane Donald"	"PO Box 98
Petersonside 2329"
"Jack Cox"	"908 McLean Street
Ryanside 8954"
"Jeremy Wells"	"Flat 76
21 Johansen Court
Motumaunganui 9286"
"Andrew Scott-Tucker"	"585 Wakamanawangauru Reserve
Brownland 2186"
"Andrew Hodson"	"304 Mia Line
Dickborough 4183"
"Manaia Wilkinson"	"PO Box 53
East Moorefort 8599"
"Gail Rogers-Boyle"	"337 O'Sullivan-Turnbull Street
Manning Flats 2528"
"Mareikura Adams"	"Apt. 202
820 Pomaunga Mews
Alexanderbury 8058"
"Lisa Chambers"	"22 Ararohe Beach Road
Rongomata 8600"
"Georgia Smith"	"Level 7
2 Perrin Avenue
Mokowaka 2608"
"Julie Collis"	"658 Scott Close
McMillanburgh 5311"
"Elizabeth Taylor"	"1 Awawhenua Crest
Whakawhero 6285"
"Ryan Goodwin"	"7 Terekiwi Pass
Martin Flats 9554"
"Kimberley Reid"	"4 Nigel Place
Rongomanawapapapa 5784"
"Laura Moran"	"9 Tahirohe Keys
Arapuke 2516"
"Manawa Bailey"	"Unit 62
7 Thomas Square
Richardbury 6172"
"Donna Clarke"	"4 Green Street
RD 1
Perryborough 2098"
"Charlotte Henderson-Gardiner"	"9 Aratangiwhenua Street
Moturoto 2492"
"Adrienne Patterson"	"PO Box 470
Dawickton 7736"
"Raewyn Parsons"	"PO Box 5
Whangangauru 6170"
"Christina Dickson"	"Suite 700
85 Awawhero Avenue
O'Brienmouth 0837"
"Timothy Dickson"	"7 Dyer Track
Tauiti 2251"
"Luke McNabb"	"1 Olsen Avenue
RD 2
Tahiwekaroto 0497"
"Colleen Ward"	"1 Page Drive
Wairongo 5324"
"Susan Barnes-McGregor"	"PO Box 40
Kawaawatau 4876"
"Maraea MacDonald"	"PO Box 1
MacDonaldburgh 4566"
"Annette Fisher-Rush"	"38 Rangiwaka Park
RD 4
Awapotoa 5279"
"Wendy North"	"PO Box 375
Haymouth 6259"
"John Taylor"	"Suite 424
57 Dalton Reserve
Harrisside 6052"
"Morgan Hansen"	"PO Box 473
Holdawaymouth 4157"
"Grant Smith-Knight"	"PO Box 416
Awatere 9874"
"Robyn Jamieson"	"5 Kawaawa Mews
Dunnside 8864"
"Joshua Elliott"	"21 Nash Rise
Moore Hill 5382"
"Samuel Olsen"	"32 Ngaurutipu Crescent
RD 1
Brentland 5032"
"Andrea Bell"	"PO Box 79
Roheawa 5525"
"Maree Cameron"	"12 Smith Arcade
Kawanui 7523"
"Hamish Davey"	"593 Tahitau Grove
Manawawhanga 2140"
"Peter McGregor"	"127 Benjamin Centre
Fullering 2074"
"Louise McMurray"	"9 Tipukoromoko Rise
RD 8
Simonsenville 6480"
"Margaret Anderson"	"4 Tererohewhare Crest
Kowhaimotu 2420"
"Ariana Smith"	"9 Tanginui Plaza
Maungarongo 5746"
"Bruce Weston"	"756 Forrest Cutting
Potaikiwi 5720"
"Amy Mason-Holmes"	"Suite 192
21 James Amble
Carroll Flats 6229"
"Margaret Dixon"	"4 Pukeiti Street
Dianneburn 1376"
"Ryan Smith-Baker"	"7 Harrison-Rowlands Street
North Chingmouth 5206"
"Maree Hayward"	"363 Rangitoa Lane
Mokotere 9247"
"Sally Tait"	"PO Box 386
Mokotauiti 9064"
"Keira Rowe"	"52 Elliott Road
RD 4
Donnafort 8990"
"Nicole Smith-Mason"	"667 Carpenter Reserve
Horotanga 9275"
"Ariana Hanson"	"7 Puketere Mews
Joneshaven 8100"
"Andrew Smith"	"1 Alex Trail
Simonsenside 5568"
"Linda Baldwin"	"47 Wharewakahoro Street
Tayloring 5331"
"Lucy Henry-Gardiner"	"365 Richards Corner
Healyfort 8672"
"Bruce Taylor-McMillan"	"PO Box 69
New Robertsville 9222"
"Rebekah Davey"	"3 Esson Corner
Taipuke 5384"
"Mareikura Scott"	"48 Connolly Avenue
Tahitoa 1008"
"Ashleigh Moore"	"PO Box 328
Poole Hill 2062"
"Rachel Thompson"	"Suite 811
84 Tangihoro Drive
Koropapapa 3935"
"Katrina Bailey"	"PO Box 6
Wekaawa 8971"
"Paul Rush"	"Unit 32
7 Whakakowhaiwhaka Circuit
Carrmouth 6166"
"Barbara Jamieson"	"366 Maungatere Avenue
RD 4
Manawatipu 6251"
"William MacDonald-Davey"	"271 Simpson View
Hollandfort 9878"
"Martin Berkahn"	"917 Thompson Street
RD 3
Taitangi 9622"
"Matthew Lang"	"Level 9
55 Cairns-Procter Highway
Horonui 9552"
"Brent Miller"	"Unit 14
26 Nicholson Arcade
Taunui 2533"
"Mareikura Stubbs"	"64 Matahope Beach Road
RD 6
Robertsstone 4938"
"Leanne Donaldson"	"398 Woods Street
Wairongo 5226"
"Catherine Gullery"	"346 Bailey Street
Pikefort 8253"
"Jonathan Ferguson-Brown"	"Suite 387
51 Tangiiti Track
Rongowhare 9808"
"Bella Leslie"	"502 Tipurangi Circuit
RD 7
Mokomanawanui 9555"
"Ariki MacDonald"	"Suite 254
3 McCormick Point
Edwardsville 8558"
"Fiona Baird"	"4 Wekawhare Way
Papapatahi 8259"
"Charlotte Foley"	"85 Horonui Avenue
Wekarangi 2091"
"Katie O'Connor"	"49 Maungawekamata Street
RD 1
Sullivanfort 5324"
"Matthew Martin"	"4 Khloe Crescent
Thomasneath 6101"
"Margaret Clarke"	"740 Hope Drive
Wakawaka 3952"
"Trevor Lewis"	"584 Craven Gardens
RD 1
Taiterenui 5220"
"Joshua Norman"	"6 Motumotu Heights
Smallneath 2263"
"Tyler Lane"	"Flat 47
576 Awarangi Circuit
Horowhitu 5369"
"Paul Cameron-May"	"375 Korokawa Pass
High Wilkinson Flats 5198"
"Leslie Jenkins-Gilbert"	"35 Stevens Keys
Whakatau 9457"
"Timothy Stewart"	"10 McLean-Hodson Way
Sheridantown 9306"
"Dylan Nicholson-Jones"	"611 Taipoiti Place
Korotangitai 9388"
"Jacob Pritchard"	"1 Cooke-Henderson Street
RD 10
Taimakau 8456"
"William Russell"	"103 David Point
McFarlaneside 9533"
"Margaret Henderson-Gibbons"	"3 Kawawhenua Rise
Rangingaurunuku 4183"
"Emma Lancaster"	"Flat 13
8 Price Mews
Kowhaimotuhope 9085"
"Kaye Bishop"	"432 Carter Keys
Papapamaunga 5811"
"Mitchell Carr"	"57 Jones Street
RD 3
Awapo 9231"
"Aaron Harris"	"87 Terewhangangauru Point
Scottings 5182"
"Michael Pollard"	"PO Box 16
Turnerfort 6292"
"Catherine Reardon"	"440 Tipuwharewhitu Bypass
Anderson Flats 5365"
"Sophia McEwen"	"PO Box 84
Dawickhaven 6100"
"Glen Millar"	"29 Tipupapaparoa Crescent
Horomotu 8939"
"Tanya Steele"	"Flat 20
69 Horonui Road
Pukeiti 4200"
"Margaret Perry"	"Apt. 174
74 Furness Beach Road
Grayville 8807"
"Suzanne Kennedy"	"PO Box 43
Woodside 7252"
"Kathryn O'Brien"	"53 Anderson Street
Whakakiwi 6239"
"Rachel Parker"	"8 Brown Street
Bartlettburn 6448"
"Michelle Page"	"6 O'Neill Road
RD 3
Munroburn 7924"
"Emily Perry"	"33 Farland Esplanade
Williamsings 8560"
"William Todd"	"188 Korotau Concourse
Koroiti 2219"
"Louise Jones"	"565 Tipuwharepuke View
Awaroa 8218"
"Suzanne McEwen"	"53 Peter Street
Andrewings 8161"
"Paige Campbell"	"379 Miles Cove
Montgomerytown 9209"
"Margaret Watt"	"PO Box 768
Wallisville 8971"
"Joshua Smith-Campbell"	"94 Tairoa Road
Roheara 8941"
"Joanne Curtis"	"206 Powell Place
Hudsonburgh 2615"
"Carol Perry"	"11 Papapawhare Alleyway
RD 7
Lower Andersonside 1927"
"Hunter Brown"	"6 Miller Street
Bellgate 2636"
"Jeffrey Carr"	"287 Rangiwhenua Street
Tauwaka 9052"
"Ruby Jordan-Moore"	"426 Cameron Range Road
RD 3
Wrattbury 5064"
"Hannah Steele"	"PO Box 917
Gillies Hill 7658"
"Andrew Brown"	"Suite 583
166 Paul Gardens
Conwaymouth 5769"
"Christine Miller"	"70 John Place
Potapu 9071"
"Maria Matheson"	"Apt. 153
978 Terengauru Close
New Jonestown 8642"
"Philip Greer-Middleton"	"7 Cameron Grove
RD 9
Jamesstone 8065"
"Shane Morgan"	"97 Anderson Keys
Hororotowhero 5043"
"Thomas Smith"	"126 Wakaiti View
RD 2
Mayoton 8203"
"Kevin Mitchell"	"649 Puketai Park
Rotowhareiti 8128"
"Janice Gillespie"	"4 Hororua Track
Parkerside 2171"
"Kim Hanson"	"Flat 63
48 Hororoto Street
Harrisonton 0914"
"Peter Stewart-Stevenson"	"3 Jones Street
Holdawaystone 5742"
"Deborah Hudson-Doyle"	"94 Horomatatau Lane
Mataroto 1682"
"Jessica Anderson"	"Unit 60
9 Motuwhanga Road
Zoeing 5851"
"Maria McDonald"	"51 Gray-Price Reserve
RD 8
Gilmorebury 9609"
"Summer Page"	"Apt. 182
955 Poroto Road
Smartbury 9271"
"Brett Gibb-Gray"	"Apt. 180
516 Terewhare Drive
Andersonmouth 8211"
"Roger Stratford"	"PO Box 2
Nealhaven 9206"
"Tracy Esson"	"10 Kowhainui Plaza
RD 5
Awarua 6289"
"John Moore"	"Apt. 322
2 Knowles Mews
Whakakowhai 8823"
"George Wills"	"6 Moore Avenue
RD 1
Mitchellton 2304"
"Andrew O'Connor"	"277 Pukekowhaiwhaka Road
North Popeburn 2360"
"Patricia Woods"	"976 Nicole Point
Awamotu 9597"
"Brett Hudson"	"4 Davis Street
Ngaurutangi 8666"
"Maria Rose"	"136 Whakawhero Arcade
RD 9
Simpsongate 8464"
"Abigail Jeffries-Dillon"	"251 Moore Street
Webbmouth 6161"
"Olivia Wong-Smart"	"PO Box 19
Grahamburn 8830"
"Stephen Perry"	"PO Box 697
Amandahaven 5831"
"Anthony Hook"	"979 George Crescent
Matawhenua 6954"
"Richard Anderson-Jacques"	"Apt. 658
90 Kororohehope Terrace
Poole Flats 9213"
"Cameron Whittaker"	"PO Box 165
Southeeport 0436"
"Justin Wilkinson"	"Unit 85
1 Matanui Circuit
Wharewaka 7145"
"Katherine McCarthy"	"PO Box 69
Matapapapa 6219"
"Karen Hayward-Christie"	"7 Rotopukeroa Street
RD 2
Mokoara 9316"
"Marie Carter"	"333 Taylor-Dawick Beach Road
Pukenuku 6139"
"James Faulkner"	"19 Hopkins Way
Williamsbury 5808"
"Louise Edwards"	"Suite 125
6 Whangawhero Heights
Burnsborough 8405"
"Nicola Kemp-Webb"	"347 Whangangauru Point
RD 8
Lower Wardneath 5834"
"Deborah Short"	"PO Box 691
Kowhaitipuiti 5044"
"Katherine Lee"	"PO Box 5
Rotorongo 2112"
"Evelyn Field"	"858 Taylor Street
Freeman Hill 6072"
"Joel McMillan"	"929 Christie Pass
RD 7
Cresswellberg 8017"
"Peter Smith-Kirk"	"655 Field Corner
Korowaka 5339"
"Madison Barker"	"289 Papapatai Road
Rototau 8276"
"Marie Davidson-Lucas"	"830 Ingram Terrace
Manawapuketere 0674"
"Lynne Craven"	"Unit 35
94 Thomas Beach Road
Crawford Flats 5247"
"Julia Tapp"	"13 Reader-Paton Beach Road
RD 6
Lammasleigh 5565"
"Tiare Carter"	"554 Kawahope Beach Road
RD 10
East Schwassburn 5287"
"Dylan Williams"	"679 Mokorongowhitu Cutting
Awamanawaawa 9583"
"Kenneth Little"	"9 Craig Avenue
Awataukowhai 6427"
"Sienna Curtis"	"Unit 63
666 Graham-Green Crescent
Lynetteleigh 5000"
"Kathleen Sinclair"	"783 Gill Way
Manawakawatanga 9353"
"James Craven"	"482 Kowhaitiputanga Crescent
RD 4
Jamesfort 5071"
"Amy Turner"	"Level 6
8 McDonald Beach Road
Wellsport 8100"
"Marie Ryan-Brown"	"4 Drummond Gardens
Pedersenmouth 9568"
"Sharon Cole"	"Flat 12
9 Davis-Morris Way
Hamburgh 2095"
"Andrea Black"	"Unit 96
501 Ireland Street
Martinmouth 5732"
"Robert Craven-Smith"	"PO Box 42
Wallisburgh 5140"
"Alyssa Ferguson"	"7 Rotowaka Way
Boyceing 9762"
"Daniel Hume"	"160 Lily Place
RD 6
Baxtertown 7868"
"Charlotte Hamilton"	"9 Stuart Avenue
RD 3
Roherua 9318"
"Cheryl Forsyth"	"23 Gardiner-Adams Terrace
Rohetoa 6191"
"Brian Pratt"	"6 Porohe Avenue
RD 8
Southeehaven 6428"
"Michelle Ward"	"PO Box 65
Scottleigh 8538"
"Mark Allen"	"PO Box 272
Awawhanga 4939"
"Brett Gill"	"8 Larsen Gardens
Morrisings 8113"
"Heather Kendall"	"226 Oliver Avenue
RD 10
O'Sullivanfort 6033"
"Brendon Turner-Wood"	"65 Rangiponui Gardens
Scotttown 2165"
"James Dalton"	"80 Kathryn Mews
Wakatahiwhero 8261"
"Kenneth Reed"	"PO Box 6
East Coleings 9673"
"Corey MacDonald"	"PO Box 3
Tahiwakarua 9883"
"Lily Rodgers"	"PO Box 151
Wayneside 9250"
"Anna Dixon"	"60 Sarah Street
RD 9
Nolanside 9798"
"Cole Davison"	"613 Kowhaimatawhanga Way
Wainui 5722"
"Mark Anderson-West"	"Apt. 454
687 Tanginui Copse
Patrickville 8453"
"Sarah Rutherford-Fairhall"	"Unit 77
327 Michelle Street
Rohekiwi 2478"
"Te Koha Healey"	"Suite 771
6 Duncan Crescent
Tipupapapa 6193"
"Amelia Dawick"	"370 MacDonald Bypass
Jeremyborough 6198"
"Charlotte Avery"	"70 Miller Highway
Pukewhanga 8971"
"Christopher Buckley"	"Apt. 664
78 Scott Crescent
Awarangimata 2695"
"Lisa Turner"	"715 Allen-McDonald Heights
Waiwhero 6006"
"Noah Jackson"	"551 Pratt Quay
Papapaiti 2499"
"Katherine Jones"	"2 Evans Approach
Bell Flats 2026"
"James Blake-Edmonds"	"7 Grant Grove
West Gardinerville 6033"
