"Aaliyah Day","PO Box 48
Ryanmouth 9450" 
"Jonathan Craw","8 Lewis-Baird Road
George Hill 2442"
"Stephen Larsen-Reid","43 Tipuwhitu Ridge
Tauroto 9607"
"Margaret Knowles","822 Lewis Grove
Knoxton 5589"
"Christine Smith","63 Jacques Terrace
Rotongaurutoa 2699"
"Joanne Fleming","8 Kowhaiiti Mews
Wakakiwi 9644"
"Blake O'Neill","Flat 63
59 Awatangiwhare Street
Terepapapatipu 8288"
"Logan Edmonds","PO Box 89
Jenkinsberg 4046"
"Liam MacKay","Suite 708
558 Anderson Range Road
Wairua 6944"
"Patricia Knight","Unit 27
8 Kerr Ridge
McCallumton 6216"
"Simon Francis-Rowe","25 Jan Place
RD 1
Carpenterside 8234"
"Jacob Powell","284 Wall Place
RD 8
Whakaiti 6435"
"Timothy Henderson","Flat 13
8 Gerard Arcade
Carterburgh 3108"
"Murray Street","600 Whakamaunga Crescent
Whakatoa 9611"
"Jessica Jensen","38 Rohetangipo Street
Lower Graytown 2031"
"Christopher Williams-Spencer","804 Rongotahiroa Street
Wharewhitu 8184"
"Julie Davidson","772 Wairangimakau Place
Matthew Hill 7971"
"Lois Currie","41 Williams Terrace
Scottbury 2522"
"Nikora O'Neill","45 Maungapapapatere Track
Popukengauru 9288"
"Ryan Norman","8 Maungapotipu Trail
RD 5
Lower Smithton 8521"
"Ben Jefferies-McIntosh","Suite 183
8 Pohanga Drive
Whangangauruawa 8150"
"Joshua McPherson","9 Motuwhare Avenue
RD 4
Alveborough 2153"
"Scott Ritchie","172 Manawapapapa Reserve
Cameronhaven 9230"
"Anne Miles","8 Herd Street
RD 9
Hansenmouth 6180"
"Heather Robson","18 Poole Street
East Roweburgh 8485"
"Dean Bell","8 Wharewhaka Square
Port O'Connellstone 9737"
"Connor Graham","807 Rohetau Bypass
Wekamoturangi 5383"
"Lois Rasmussen","60 Moore Road
RD 7
Lake Simpsonleigh 4659"
"Hannah Flood-Gray","27 Richards-Mitchell Way
Wekawekamata 2136"
"Samantha Armstrong","Unit 58
50 Irving Amble
Horopukehanga 5568"
"Karen Cook","3 O'Brien-Esson Grove
Carterville 9851"
"Maria West","20 Little Street
Bartlettborough 6012"
"Kate Jones","97 Jones-Dawick Street
Whangamotu 4222"
"Karen Walton","PO Box 263
Turnergate 8462"
"Liam Page-Hepburn","Apt. 491
9 Miller Road
New Hendersonville 8643"
"Ella Cook","PO Box 80
Tahimakau 2378"
"Zoe McCormick","PO Box 151
Saunders Flats 5599"
"Lorraine Hughes","129 Whangaarawhare Arcade
Greenside 2464"
"Lisa Chapman","546 Cole Road
Shorting 2154"
"Louise Tucker","Apt. 157
421 Manawatapu Arcade
Wakatau 8051"
"Mark Mears","4 Katie Crescent
Whakaara 0999"
"Linda Findlay","443 Smith Terrace
RD 4
Rongowhakanuku 9774"
"Tamati Roberts-Dillon","6 Rototanga Avenue
RD 5
Horotanga 8254"
"Deborah Middleton","26 Ngaurutai Access
RD 1
Lyndahaven 5552"
"Morgan Cook-Bryant","23 O'Neill Grove
Ingramland 1218"
"Paul Berry","PO Box 513
Priestburgh 2054"
"Ella Baker-Barnes","91 Sullivan-Cook Street
Teremotutipu 6071"
"Lorraine Paul","1 Cameron Heights
RD 9
Grahamton 9471"
"Leanne Black","349 Wayne Anchorage
Walshland 9344"
"Tia Jackson","57 McDonald Drive
Matanui 5708"
"Georgina McDowall","6 Kerr Avenue
RD 2
Williamsonleigh 9030"
"Mark Huddleston","50 Maungamakau Street
Hoodfort 2473"
"Maria Sheridan","2 Awarangi Mews
Ngauruwhero 7658"
"Terina Smith","PO Box 170
Jonesport 9663"
"Pamela Oliver","354 Aratoa Place
RD 1
Tangingauru 8569"
"Nicola Smith","PO Box 35
Gardnerport 9653"
"Rachel Pickering-Way","98 Rohenui Drive
RD 7
East Waters Flats 8031"
"Louise Dunn","643 Morris-Meads Arcade
RD 5
Potterings 8022"
"Lisa Campbell","454 Thomas Terrace
Mount Casey Flats 9504"
"Michelle Baldwin","2 Taiawa Mews
RD 5
Whakawhakamaunga 8630"
"Jessica Black","2 Price-Berry Cove
Burns Flats 9761"
"Samuel Perrin","24 Ferguson-Olsen Road
RD 2
Harrismouth 9823"
"Sandra Smith","PO Box 118
Rotokoro 9620"
"Jennifer Patchett","6 Ararangi Street
RD 7
Moturohe 8083"
"Christopher Woolley","186 Aramanawaiti Place
New Mitchellside 5000"
"Elizabeth Coleman","Suite 681
329 O'Keefe Line
Ranginui 8192"
"Shaun Donald","33 Drake Drive
Craigings 1937"
"Louise Ferguson","129 Shailer-Horn Avenue
Pearsonfort 9442"
"Lydia Nelson","39 Buchanan Street
Lukeings 9445"
"Jessica Bell","900 McLean Crescent
Wakapo 5513"
"Janine Fox-Batchelar","8 Smith-Lawson Beach Road
Reedport 9375"
"Olivia Stratton-Bryant","432 Tahihanga Track
Korotautanga 9704"
"Kayla Tanner","100 Peyton Street
RD 1
Arakiwi 9730"
"Wendy Kennedy","91 Burgess Avenue
RD 3
Rutherfordport 8040"
"Andrew Blake","Apt. 646
80 Hemi Alleyway
Masonhaven 3555"
"Bernard Freeth","80 Smith Crescent
RD 5
Kawakowhaitai 1831"
"Joanna Hubbard","16 West Street
South Kempside 8009"
"Louise Herd","385 Tane Copse
Carrleigh 2639"
"Margaret Taylor","Flat 75
72 Teretere Cove
Tererohe 6088"
"Julia McManaway","Level 9
2 McCarthy Street
Morrisontown 5711"
"Sara Jenkins-Chandler","PO Box 7
Thompsontown 6092"
"Luke Pedersen-Cooksley","PO Box 306
Buchananbury 5110"
"Jessica Williams","Suite 439
595 Smith Circuit
Campbellburn 8298"
"Kaia Parker","38 Burke Way
RD 8
Derekmouth 5192"
"Natasha Christiansen","4 Arnold-Jeffries Concourse
Olsenport 0197"
"Scott Wratt","24 Rongotanga Anchorage
Gillespieing 9335"
"Michelle Fulton","PO Box 2
Potterneath 5521"
"Louise Lambert","Apt. 182
6 Kororoto Street
Tairohe 9384"
"Frances Baird","67 Gardiner Street
Smithstone 9771"
"Emily Healy","PO Box 62
Simmonsburgh 0776"
"Renee Perry","PO Box 5
Hororua 3338"
"Pauline Lewis","Suite 756
884 Whyte-Harris View
Prattside 9483"
"Scott Cameron-Bell","1 Norman Drive
Awatapu 5755"
"Kate Berry","72 Evans Terrace
RD 9
Davidport 9514"
"Michael Gill","PO Box 33
West Andersonfort 8089"
"Nicola Parker","5 Bowater Arcade
Evansneath 4087"
"Mitchell O'Connor","PO Box 529
Rohewekakiwi 8064"
"Louise Marsh","PO Box 77
Horonui 9649"
"Matthew O'Connor-Armstrong","66 Koroara Beach Road
Awatipupo 2527"
"Christina Stokes","99 Nicola Terrace
Popukemakau 4653"
"Glenn Ward","525 Wharewhitu Heights
Whangahorotipu 9574"
"Christopher Short","309 Mokomata Square
Taurangiwhanga 2360"
"Robert Currie","61 Kowhaitauwhenua Mews
Wekamoko 9351"
"Shelley Jamieson","409 Bryant Cross
Carter Hill 4169"
"Claire Mason","859 Mokohope Beach Road
Aramakau 5221"
"Angela Dixon","1 Hope Street
Wharekowhai 9487"
"Warren Cameron-Millard","2 Karen Terrace
McKayville 5855"
"Louise Scott","PO Box 6
East Gray Flats 5175"
"Erin Gardner","Apt. 658
5 Carter-Eglinton Street
Rongowaka 8476"
"Grant Chandler","68 Pukerotowhanga Street
Burkestone 9321"
"Holly Coutts","Unit 97
66 Monique Beach Road
Tahikowhaiwai 9433"
"Kathryn Holdaway","PO Box 862
Glenside 8016"
"Teresa Nicholson-Jellyman","241 Kayla Beach Road
RD 8
Matakororongo 2306"
"Glenn Gardner","Unit 57
79 Jones-Smith Road
Arakorowhaka 2289"
"Renee Thomas","PO Box 627
Parkering 5281"
"William Morton","Suite 419
510 Mokopapaparohe Mews
Kawaaramata 6125"
"Graeme Chandler","7 Tautaihoro Road
Bryantmouth 0991"
"Louise Thomas-Gifford","70 Waiiti Street
Moturoto 8441"
"Aaron Fletcher-Shaw","48 Warren Esplanade
Kowhainui 5395"
"Stephen Pedersen","PO Box 6
Russellstone 2352"
"Christopher Taylor","3 Moore-Kirk Gardens
RD 5
Meadsberg 6165"
"Kathryn O'Connell","5 Barnett Street
Thomas Flats 5107"
"Cooper Wood","Suite 684
135 Shepherd Place
Gregoryborough 3553"
"Leah Gunn","806 McKay-Ferguson Square
Ngauruwhangarongo 5808"
"Joseph Smith","402 Matamanawaara Beach Road
Tangikoro 6029"
"Jamie Butler","PO Box 72
Ngaurunui 3174"
"Caroline Crawford","PO Box 64
South Campbellfort 9258"
"Luca Gill","PO Box 47
Martinport 6029"
"Michael Moore","659 Hyde-Shepherd Street
Knoxmouth 5294"
"Sofia Hills","PO Box 761
Ryanfort 8479"
"Mark Duncan","200 Pukerangi Place
Wekataitipu 3145"
"Anita Stewart","267 Waimaunga Beach Road
Graying 9676"
"Bruce Williams","1 Simmons-McMillan Grove
Bestneath 2675"
"Timothy Cresswell","PO Box 908
Rohewhanga 9488"
"Beverley Olsen","97 Rongotairohe Cross
Tahimanawa 2151"
"Maia Lawson","40 Hart Court
Fordbury 5041"
"John Sanders-Pedersen","Level 6
2 Justine Road
Averyburgh 6029"
"Lucas Joe","3 Anderson Drive
Korowhero 2542"
"Stephen Knight","97 Papapahoro Road
RD 6
Daveyborough 2638"
"Nicole Watts-Porter","48 Tauwhaka Pass
Rotoiti 8296"
"Grant Tait-Moody","490 Lorraine Avenue
RD 3
Lucasburn 5054"
"Tania Brown","Level 9
15 Sophie Mews
Wakaiti 9031"
"Te Ariki Davies-Price","PO Box 1
Awataikawa 8295"
"Louis Jackson","82 Campbell Gardens
Papapatanga 0139"
"Aaliyah Eden","5 Healy Place
Hororotomata 9476"
"Tracey Dyer","98 Aramotuhope Road
Whangahope 9328"
"Lynnette Bishell-Rowland","Apt. 193
577 Smith Pass
Ngaurumakau 4193"
"Lucas Lloyd","3 Mason Street
Pukemata 9038"
"Bailey Hayward","PO Box 6
Rongowaka 5751"
"Tania Campbell-Mason","Unit 64
11 Farland Street
Waiwhakahope 1165"
"Bruce Wilkinson","Level 9
2 Janet Range Road
Tiputanga 8853"
"Natasha Davidson-Stevens","8 Stevens Street
RD 2
Terenui 6068"
"Peter Atkinson","PO Box 23
Kowhaimaunga 5832"
"Jonathan Harper","1 Stevens Road
RD 10
Terewhitu 8083"
"Jessica Cameron","9 Papapawekahanga Close
Nealville 9328"
"Charlie Thompson","3 Korowhenua Mews
Hansenmouth 8529"
"Mila Powell","Suite 703
510 Connolly-Evans Track
Markberg 8989"
"Lucia Rush","4 Guy Terrace
O'Donnellside 8014"
"Warren Shailer","Level 9
93 Arawhakakoro Broadway
Grayside 6195"
"Catherine Evans-Scott","406 Harris Road
RD 3
Bellstone 2685"
"Helen McGregor","Flat 36
94 Lowe Drive
Mokomanawatangi 4804"
"Jayden O'Leary-Bryant","57 Pope-O'Brien Pass
Holmesbury 8426"
"Michael Guy","Apt. 466
9 Moturohe Keys
Arangaurukoro 4295"
"Dianne Russell","95 Tipukiwi Avenue
Scottburgh 2605"
"Ruby Steele","11 Tauwekamanawa Crest
Blakeside 5802"
"Mark Woods","PO Box 773
Smithmouth 5397"
"Jacqueline Smith","5 Patrick Terrace
Rohetapu 8847"
"Lucy Hansen","25 Hewitt-Bright Avenue
Teretipukiwi 2454"
"Rebecca Mudgway","PO Box 79
Wakawakamotu 8422"
"Pamela Turner","45 Peterson-Gaskin Copse
Andersonbury 8437"
"Patricia Harris","125 Smith Place
RD 5
Blakestone 5588"
"Scott Harrison","PO Box 317
Taihope 7128"
"Natasha Whyte","Unit 13
99 Timothy Pass
Boydville 9377"
"Stewart Mitchell","2 Thompson Bypass
RD 10
Joanneport 5866"
"Jared Stewart","85 Moore Line
Webbside 5171"
"Jane Claridge","Level 8
49 Horotere Bypass
Maungaawamaunga 6105"
"Victoria Greig","2 Pope-Martin Terrace
RD 5
Matawaka 9272"
"Luke Burns","269 Tangiweka Parade
RD 8
Jenningsville 8440"
"Timothy Rogers","65 Wekaroa Avenue
Andersonport 5001"
"Paul Smith","Unit 26
5 Rohewharepapapa Road
Tahiwharenui 8080"
"Wayne Carr","7 Allan-Ireland Avenue
New Haywardhaven 5112"
"Jessica Stratford","535 Sullivan Way
Manntown 9419"
"Riley Harris","3 Powhero Beach Road
RD 7
Tangiwaiiti 2204"
"Ronald Simpson-Read","PO Box 47
Waiara 6418"
"Trevor Manning","Level 3
4 Tangitoa Cutting
Gillburgh 2389"
"Lisa Williams","Apt. 822
2 Watt Court
Taumatanui 6050"
"Martin Edwards","96 Wood-Humphrey Concourse
RD 10
Burnsing 1644"
"Luke Dick","22 Matthew View
Whakaaraweka 5085"
"David Martin","2 Turner-Middlemiss Road
Horokowhai 9450"
"Hunter Rickard","3 Martin Corner
Christiansenton 8965"
"Scott Schwass","PO Box 947
Lake Curriehaven 6067"
"Karen Newman","68 O'Brien-Fisher Street
Pukeroto 5332"
"Joel Wall","9 Taylor Street
Rangikoro 8643"
"Ryan Reynolds","Suite 162
7 McGregor Avenue
Whangaroa 2184"
"Helen Waugh","7 Chapman-Morris Crescent
Pukewhaka 5845"
"James Grant","Suite 797
127 Costello Street
Motunui 6439"
"Paul Lloyd","PO Box 30
Wakatipu 5715"
"Luke Gray-Stewart","583 Smith Gardens
Wakahope 2278"
"Valerie Marshall-Gullery","174 Booker Alleyway
Blairing 2104"
"Hazel Godfrey","7 Pike Street
North Baldicktown 5091"
"Joshua Drew","435 Richards-Roberts Reserve
Horopapapawaka 5252"
"Hannah West","90 Holland-Jones Circuit
Simpson Flats 0116"
"Cody Newman","Suite 491
938 Rongomaunga Crescent
Aranui 9506"
"Sarah Kelly","31 Rohenui Terrace
RD 9
Higginsfort 9681"
"Karen Turner-Eglinton","96 Wakawaka Close
Baxterburn 8466"
"Robyn Gordon","837 Terewhaka Avenue
RD 3
Araawarangi 2087"
"Joel Manning","90 Arawhaka Road
Millardburgh 6900"
"Luke Herd","Unit 55
75 Fleming Crescent
Teretapu 8873"
"Matthew Price","267 Sutton Alleyway
Taitau 8534"
"Joseph Eden","3 Millar-Smith Street
Tahirangi 8842"
"Aaliyah Thompson-Claridge","PO Box 4
Mokowhitu 3173"
"Bradley Thompson","153 Waiwhenua Way
RD 1
Smithton 5116"
"Michael Rush","39 Carter Street
Wekatangi 8555"
"Stuart Williams-Simmons","84 Jack Arcade
Maungarohe 9542"
"Donald Boyce-Giles","Unit 23
62 Anderson Street
South McLachlanville 5279"
"Amber Hart","Level 6
658 Ching Road
Koromotu 2226"
"Aaron Phillips","7 McManaway Street
Donaldstone 1055"
"Luke Jordan","87 Evans Cutting
RD 6
Wallaceside 9596"
"Linda Bradley","166 Andrew Street
Campbelltown 8402"
"Donald Baker","PO Box 211
Wakanui 5025"
"Michelle Baxter","Flat 96
34 Paul Broadway
Murphyside 5354"
"Ellie Murphy","29 Awakawa Access
Knowlesville 8400"
"Robert Seymour-Ford","Apt. 450
9 Gray Street
Lintontown 6453"
"Campbell Forsyth","58 Taiara Crescent
Tahiterewhanga 5551"
"Mia Lee","7 Ryan Quay
RD 3
Nicholsonport 1955"
"Madeleine Harris","532 Korongaurumakau Rise
RD 1
Mokokawanuku 2342"
"Samantha Neal","499 Barr Avenue
Christinastone 8175"
"Luke Whittaker-Jackson","7 Priest-Fletcher Street
Kawapuke 8533"
"Philip Satherley","Suite 267
9 Jones Trail
O'Connorgate 2581"
"Sonya Martin","131 Poole Flats
Pedersenborough 8425"
"Danielle May-Martin","7 Tahiweka Road
Smith Flats 9512"
"Manaia McCormick","213 Graham Bypass
Poiti 4357"
"Kelly Bell","PO Box 7
Blickmouth 8211"
"Nicholas Stubbs","71 Smith Mews
RD 1
Harrisland 0326"
"Andrew Landon-Lane-Smith","1 Matakowhai Street
Potipu 9316"
"Alyssa Nash","PO Box 857
Taiawa 9321"
"Sharon Wood","4 Williams Street
RD 6
Grayside 8292"
"Lydia McMahon","8 Tauhanga Trail
Whangawekatai 8165"
"Leanne Edwards","415 Nelson Alley
Steering 5867"
"Chloe Stewart","20 Porangi Cross
Pedersengate 2436"
"Linda Miller","29 Smith Crescent
Thomasstone 2051"
"Ethan Nicol","252 Matthew Alley
RD 4
Rongowhangatai 3878"
"Ian Schwass","789 Nelson Track
Matthewsmouth 1358"
"Susan Morgan-Jenkins","98 Gullery-Holloway View
RD 4
Motumaunga 1105"
"Henry Brown","22 Olsen Place
Ngauruwhaka 9492"
"Alan Skinner","661 Wakamanawa Range Road
Baldwinville 3559"
"George Simpson","PO Box 92
Tipukiwi 6437"
"Lynda Davey","64 Campbell Place
Woolleyville 8599"
"Jean O'Connor-Smith","17 Samuel Street
Williamsing 8948"
"Nicholas Jackson","1 Martin-Matthews Trail
RD 4
Pricegate 0362"
"Mary Lloyd-Hamilton","46 Kowhaitahi Approach
RD 2
Patchettburn 6948"
"Michael Martin","PO Box 63
Kawatipu 6907"
"Rosemary Willis","61 George Anchorage
RD 6
Healeystone 2190"
"Matthew Dobson","7 Harrison Terrace
Taimokowhitu 2637"
"Chloe Campbell","PO Box 1
Motutau 9261"
"Sarah Blair","PO Box 708
Motuwhero 9748"
"George Wilton-Trask","1 Potter Copse
RD 7
Whangatau 8590"
"Lynda Jackson","14 Pratt Access
Taukowhai 2635"
"Margaret Gibson-Ward","Flat 77
4 Motunuku Copse
Rongowhakanui 2639"
"Brooke Richards","5 Motuwairoa Way
RD 9
Motutoa 4654"
"Patricia Thompson-Knight","1 Carter Crest
RD 9
Maungamakau 5736"
"Mark Greig-Grant","951 Stokes Street
Manawatipu 2574"
"Charlotte Curtis","PO Box 3
Thomasland 8957"
"Donna Smith","907 Rohetangipuke Crest
Donaldsonside 9239"
"Isaac Kelly","311 Kennedy Street
Hoggtown 9840"
"Courtney Holland","34 Brown Street
Whangatauawa 6962"
"Susan Hansen","2 Wekawhenua Road
Edwardsstone 8662"
"Lynette Alexander","4 Ford Road
RD 1
Andersonneath 8812"
"Colleen Bell","Apt. 643
745 Wekanuku Avenue
Hickeyburgh 8138"
"James MacKay-Boyd","197 Ngaurumakau Square
RD 2
Pukepotanga 2004"
"William Lucas-Ward","8 Natasha Circuit
RD 4
MacDonaldbury 2541"
"Maureen Miles","Suite 549
67 Tipuroto Heights
Dixonside 8902"
"Robert Spencer","Flat 35
63 Waingauru Street
Scottgate 9637"
"Natasha Bush","PO Box 8
Manawarua 9595"
"Rosemary Anderson","81 Maungawhangatoa Bypass
RD 4
Munroville 8403"
"Jack Wratt","PO Box 45
Rangitangi 8426"
"Dylan Cresswell","Unit 65
45 Webster Highway
Jonesbury 5177"
"Lynette Phillips","242 Pope Beach Road
RD 6
Kowhaiweka 8876"
"Holly Hume-Morgan","PO Box 9
Coley Flats 9347"
"Helen Steer-Holmes","22 Parkes Highway
RD 1
Lake Warnerborough 8026"
"John Jeffries","917 Hughes Drive
RD 2
Gibbonsbury 9375"
"David Ball","PO Box 224
Whakapapapakawa 9320"
"Andrew Bowden","8 Kowhaitangi Cove
Tiputanga 4403"
"Kathryn Smith-Gibb","7 Jackson Anchorage
Papaparohe 6249"
"Belinda Oliver-Grant","916 Maungatahi Crescent
RD 10
Mokotipuwhaka 2452"
"William Forrest-Conway","56 Tangikowhai Centre
Port Murphytown 4079"
"Ezra Phillips","PO Box 8
McCallumton 5842"
"Lynette Smart","PO Box 393
Taitahikoro 9237"
"Stella Price-Day","Apt. 635
629 Trask Road
Rangiwaiwhenua 9355"
"Peter Conway","PO Box 29
Lake Bookerborough 9578"
"Melanie George","9 Todd Place
Whangatipuhoro 2066"
"Shirley Williams","Flat 22
7 Motuawakowhai Way
Whangatai 5518"
"Kerry Davidson","34 Horowaiwhenua Arcade
RD 1
Korotaikiwi 8846"
"David McCarthy","PO Box 914
Leeburgh 9843"
"Mary Brown","PO Box 86
Williamsburgh 2285"
"Nina Webb","883 Rongopo Street
RD 5
Williamsmouth 8256"
"Amy Donaldson","2 Davey Broadway
Matawhitu 9336"
"Lynette Williams","PO Box 741
Jarvis Hill 9552"
"Emily Middlemiss","566 Tipuhanga Corner
Kawapapapatoa 9377"
"Shane Waugh","4 Margaret Arcade
Waikawa 1039"
"Natalie Jennings","36 Neville Street
RD 6
Johnstonebury 8559"
"Stephen Rose-Parker","418 Kowhaiwhero Centre
Maungaroto 6418"
"Toni Lee","4 Horomanawapuke Circuit
RD 6
Kawamata 2566"
"Lilly Phillips-Gibbons","31 Vicki Flats
West Watkinsings 9576"
"Gregory Reynolds","57 Rotoawa Lane
RD 10
Awamotu 8190"
"Andrew Holloway","Unit 16
452 Love-Brown Place
Andersoning 2475"
"Stephen Hughes","3 Hooper-Barnes Road
RD 2
Wakarangi 9365"
"Lynne Newton-Kerr","284 Allen Approach
Waiweka 9306"
"Mary Clunies-Ross","1 Turner Arcade
Andersonville 8894"
"Donna Mortimer","950 Burrell Crossing
Waimoko 8074"
"Luke Berry","447 Wekamakau Line
Wekatangitai 2686"
"Tracey Jamieson","PO Box 965
Rongowhare 2652"
"Samuel Forrest","Suite 774
412 Poroto Beach Road
Low Flats 2390"
"Nigel Gibbs","5 Wekaara Beach Road
RD 3
Whakahoro 8461"
"Chase North-Anderson","1 Maungakawa Esplanade
Sophiatown 6420"
"Kerry Pearson","7 McFarlane Copse
Morrisonborough 5851"
"Josephine Wallis","4 Pukekiwi Road
Manawatahinuku 5038"
"Lynne Patterson","51 Newman-Terry Causeway
Lower Aitken Hill 9206"
"Brendan Marsh","73 Smith Drive
Wellsneath 8619"
"Craig Moody","796 Dunn Crescent
Rongomoko 6160"
"Noel Jones","Suite 447
986 Rohehorowhare Broadway
Taiwhenua 2652"
"Julie Carter","256 Hamilton Avenue
Taukiwi 8299"
"Stephanie Forrest","PO Box 59
Gillbury 9839"
"Helen Hodson","28 Saunders Street
Whangawakakoro 5123"
"Tane O'Leary","PO Box 31
Ngauruwharemoko 8060"
"Michael Gilmore","56 Best Beach Road
Popo 2678"
"Debra Jones-Nielsen","590 Roberts-Ball Crescent
Papapaiti 9369"
"Lynne Seymour","PO Box 2
East Mooreville 5514"
"Carolyn Stevens","888 Lang Terrace
Koroterenui 6466"
"Ava Spencer","371 Wakahoro Mews
Ritchieburn 8267"
"Michelle Newton-Gleeson","25 Mokotanga Amble
Brighthaven 2016"
"Lance Bell","3 Webster Crossing
Matthewing 2119"
"Paul Wall","52 Ward-Reed Copse
Rohetaikawa 9218"
"Peter Hills","Apt. 102
689 Lyon-Todd Broadway
Angelagate 5760"
"Aria McDonald","6 Liam Road
Tahikowhaikoro 7234"
"Jarrod Robson","712 Jensen Avenue
RD 6
Rotowaka 5327"
"Rachel Wallace","Apt. 884
82 Elliott Bypass
Laurensonburgh 9240"
"Lynne Wratt","3 Kawataupapapa Centre
Mokomanawa 3866"
"Anaru Meads","Suite 397
9 Irving Alley
Donald Flats 2086"
"Sheree Turner","712 Thompson-Thompson Road
Berkahnhaven 9424"
"Bronwyn Jellyman","377 Jensen-Brown Corner
RD 8
Hawkinsbury 5194"
"David Chandler","38 Manawangaurukowhai Place
Streetfort 8061"
"Nicole Wall","4 Jellyman Mews
High Kennyberg 9898"
"Stephen Aitken","3 Scott-Stevens Street
Wakarongo 8205"
"Darren Lucas","Level 6
5 Matthew Crossing
Laneville 2302"
"Sharon Griffiths","8 Mokonui Street
Mokokowhairua 9242"
"Maria Ryan","846 Smith Beach Road
Pukerangi 8133"
"Mackenzie Webb","Flat 62
13 Barrett Avenue
Port Guthriebury 2247"
"Ashleigh Dillon","1 Green Heights
Fultonton 2101"
"Nathan Jackson","19 Horongauru Crescent
Masonhaven 5841"
"Matthew Christie","34 Wekamanawawhare Park
Horomoko 6427"
"Bruce Stewart","6 Rongoiti Esplanade
Rotongauruhope 2548"
"Max Fletcher","86 Manawawai Road
Irelandville 9611"
"Wendy Smith-Carter","3 Davenport Centre
Bowdenville 2678"
"Shaun Wilton","Suite 125
8 Lambert Drive
Hoggleigh 3408"
"Mitchell Curtis","19 Gibbs Crossing
Tairoa 0434"
"Grant Read","Flat 58
28 Wallace Trail
Tautahi 8964"
"Maddison Bartlett","Flat 26
8 Rohemakau Street
Rotopapapaweka 9604"
"Mitchell Williams","70 Harris Grove
Hookland 7610"
"Hunter Turner-Millar","8 Lowe Avenue
Tairoa 8053"
"Thomas Williams-Griffiths","5 O'Keefe Place
Olsenside 8157"
"Peyton Hughes","2 Taihorokiwi Rise
Motumaunga 8847"
"Kelly Aberhart","2 Pollard Copse
Korohoromaunga 8049"
"Shane Allen","Suite 525
628 Awatipu Circle
Koropukekoro 5035"
"Louise Brown-Patchett","912 Dyer-McManaway Beach Road
RD 2
Sinclairtown 6133"
"Lee Lewis","PO Box 98
Ryanmouth 7987"
"Joel Morrison-Howell","716 Blackwell Crossing
Aramanawakawa 9599"
"Madeline Dobson","777 Whangakowhai Cutting
RD 3
MacKenziestone 8808"
"Phillip Armstrong","669 Rangikawanui Street
Teremaunga 2390"
"Marie Russell-Dillon","PO Box 44
Stewartville 8438"
"Douglas Bassett-Jones","21 Wharemotu Reserve
Wiltonburn 8698"
"Chelsea Burnett","327 Davison Crossing
RD 6
Allantown 8484"
"Jayden Caldwell","Level 2
7 Boyce Arcade
Carterbury 2478"
"Kayla Brown","1 Kowhaimata Quay
RD 4
Gardnerville 2527"
"Tamati Williams-Moore","Level 4
4 Potter-Oliver Keys
Johntown 9625"
"Cheryl Larsen","76 Pollard Corner
RD 2
New Juddhaven 9829"
"Sophie Rogers","PO Box 13
Tipuwhanga 2015"
"Madison Ellery","964 Oliver Bypass
RD 7
Brettleigh 8276"
"George Brown","343 Martin Street
Meredithings 8083"
"Timothy Moran","393 Awatauiti Street
Korotahi 5722"
"Rachael Richards","2 Rachael View
Leon Hill 4661"
"Vanessa Scott","PO Box 278
Lyonfort 8466"
"Cameron Nielsen","77 Hart-Smith Point
East Clarkebury 2681"
"Richard Gordon","PO Box 759
Terry Flats 5188"
"Rachel Jellyman","2 Laura Anchorage
South Murphymouth 6488"
"Elaine Aldridge","Apt. 712
6 Wakarangi Track
Wharewaitai 2473"
"Paige Horn","5 Matapuke Road
Matapapapa 5589"
"Madison Robson","1 Manawawhangawhaka Ridge
Hydeville 9390"
"Adam Rush-Brown","742 Whangapapapa Terrace
Wainui 6072"
"Leanne Cameron","4 Lawson Road
Mearshaven 5228"
"George Sixtus","2 Haines-Sowman Rise
Jacquesbury 2650"
"Blake Moore","PO Box 4
Tiputipurua 9460"
"Mia Webb-Bell","PO Box 30
Greerport 8967"
"Logan Christiansen","717 Ryan Avenue
RD 5
Perrinleigh 5015"
"Douglas Drew","529 David Amble
Rangikorowhaka 2458"
"John Bird-Rowland","7 Simonsen Mews
Nealneath 8032"
"Lincoln Hubbard","PO Box 85
Stewartside 2472"
"Maia Elliott-Christie","PO Box 7
Taitangi 6070"
"Helen Jenkins","81 O'Donnell Esplanade
Waitahimanawa 6147"
"Adam Mann","PO Box 67
Wharekoro 4177"
"Patrick Smith","555 Wood Approach
Gilmoreport 9821"
"Morgan McKay","4 Motukowhai Parade
Smith Hill 2148"
"Justine Sinclair-Ryan","9 Taukowhai Terrace
Tiputipu 1050"
"Ethan Parker","521 Ferguson Mews
Ryanings 2343"
"Michael Beattie-Moore","65 Lawson Place
Upper Nicholsonland 5097"
"Karl Patterson","30 Waitangi Alleyway
Korotoa 9431"
"Michelle Harris","941 Campbell Cutting
Manawapapapa 2602"
"Maia Fowler","Flat 28
3 Turner Plaza
Dalzielfort 2475"
"Angus Stevens-Simpson","2 Manawaweka Street
Tangirototapu 7076"
"Jennifer Gibbons","PO Box 5
Dohertyland 7575"
"Melissa Lowe","Suite 345
678 Tahikowhai Alley
Wardtown 7417"
"Maia Ritchie","82 Wallace Cross
Awawhanga 3755"
