"Aaliyah Ritchie"|"467 Korokawa Anchorage
Smithleigh 6493" 
"Fiona Wheeler"|"120 Ritchie Cutting
Lake Carterings 2609"
"Stephanie Dickson"|"410 Pukepapapapuke Beach Road
South Terryings 5014"
"Eva Holloway"|"47 Berry Avenue
Maungahoro 6211"
"Amanda Baldick-West"|"Suite 771
846 Johnston-Carson Gardens
Taumotumotu 8081"
"Riley Hart"|"483 Ian Street
Carpenterton 5595"
"Jamie Banks"|"4 Rotorua Street
Beattieport 6905"
"Alice Turner"|"Unit 39
44 Brown Drive
Wakawakatanga 2214"
"Carolyn Chandler"|"21 Adams Copse
Pikeborough 5336"
"Deborah Matthews"|"758 Wilkinson Crescent
Tahiwhenua 2235"
"Adrienne Linton-Freeman"|"36 Bary-McDowall Mews
RD 2
McKinnonbury 5500"
"Kim Fowler"|"PO Box 556
Mokowhanga 9260"
"Jessica Davis"|"35 Tiputipu Lane
Awawekatahi 5831"
"Suzanne Barnes"|"Apt. 169
80 Ward Street
Koromanawa 1856"
"Emily Freeman"|"84 Robb Street
Tangimoko 8482"
"Ashleigh Turner-Rose"|"738 Evans Avenue
Perrystone 1556"
"Jamie Greer"|"2 Ann Place
Wakatahiwaka 9098"
"Susan Henry"|"6 Tiputanga Drive
Ngauruwaka 2324"
"Corey McKay"|"PO Box 160
Koronui 9350"
"Mark Wong"|"2 Lucy Drive
Gardnerhaven 7958"
"Glenda Porter"|"22 Arawhenua Terrace
Koromaungakowhai 8591"
"William MacDonald-Ford"|"5 Horokoro Beach Road
Whangawhakangauru 9264"
"Emma Berry"|"531 Searle Rise
RD 9
Morrison Flats 4499"
"Caleb Fisher"|"PO Box 456
Rongomoko 9831"
"Wendy Richards"|"78 Taylor Park
Broughanburn 5317"
"Katrina Bird"|"663 Puketaiwhenua Cutting
Melaniemouth 5543"
"Jamie McIntosh-Wong"|"7 Horokoro Street
Wekatapu 5302"
"Sandra Henderson"|"58 Smith Rise
Motutangi 8262"
"Noah Christie"|"8 Anderson Street
Gardinering 6020"
"Catherine Holloway"|"52 Madison Court
Russellhaven 5569"
"Caleb Johnston"|"6 Rohewhitu Street
RD 3
Upper Curriestone 5099"
"Angela Marsh"|"9 Hyde Heights
RD 3
Tahirohetapu 5896"
"Callum Cook"|"8 Rogers Street
O'Connorborough 8446"
"Graeme Fulton"|"Flat 45
5 Mokoweka Beach Road
Toniport 8906"
"Michele Jamieson"|"70 Sixtus Broadway
Rongotipu 2520"
"Ashley Hepburn"|"53 Spelman Avenue
Caitlinville 2428"
"Jamie Smith"|"562 Schwass Approach
RD 2
Kowhaiwakakoro 5360"
"Sarah Neal"|"17 Patterson-Butler Way
Brightside 2665"
"Gregory Dickson-Anderson"|"Flat 52
35 Whakarangimata Street
Howellhaven 6425"
"Sarah Thompson-Dillon"|"64 Bright Street
Motuwai 0481"
"Diana O'Leary"|"Suite 130
5 Tahitahi Park
Kendallberg 8867"
"Karen Logan-Gray"|"171 Griffin Place
RD 7
Simpsonland 9793"
"Nicola Humphrey"|"62 Terenui Terrace
Sonyaburgh 2037"
"Deborah Cresswell-Moore"|"4 Carter Square
Wharepo 5182"
"Kim Doyle"|"Level 6
85 Manawaarawhanga Street
Manawatangihoro 1347"
"Monique Thomas"|"681 Tipuwhare Cutting
RD 5
Tahitaurongo 9364"
"Jamie Wallis-Hoskins"|"335 Papapawhakaara Arcade
Horowhitu 5068"
"Cameron Reid"|"3 Horoaranuku Street
Horohoromanawa 2520"
"Allan Leslie"|"74 Vercoe Mews
Gibsonside 9367"
"Rebecca Huddleston"|"Suite 643
484 Tipupukewhenua Road
Lower Caseyburgh 8659"
"Anthony Dixon"|"796 Thomas Avenue
Boyceborough 8855"
"Rachel Gifford-Higgins"|"PO Box 60
Watkinstown 2568"
"Richard Morton-Joe"|"381 Morgan Beach Road
Daviesborough 9739"
"Rochelle Cooksley-Taylor"|"39 Mokotere Crescent
Davenportside 9240"
"Brent Butcher"|"9 Wakaroto Drive
Rongotipu 9573"
"Connor Greer"|"39 Morton-Williams Line
RD 4
Matawhero 8465"
"Jan Furness"|"718 Kawawakaiti Beach Road
RD 6
Fairhallneath 8503"
"Michelle Phillips"|"529 Wakamanawatahi Beach Road
RD 1
Taimoko 1554"
"Louise Ham"|"43 Mokoawa Crescent
Richards Flats 2548"
"Joseph Johansen"|"130 Eden-Turner Causeway
Findlaymouth 5886"
"Brandon MacKay"|"744 Rongokororoto Street
Pukewaka 2554"
"Heather Smith"|"254 Martin-Neal Street
Wattsside 5188"
"Cherie Elliott-Grant"|"PO Box 315
Burrings 9754"
"Simon Morris-West"|"7 Matamakau Way
Horohorotapu 5077"
"Andrew Jackson"|"Level 9
107 Knight Street
Rangikawa 9084"
"Dominic Strawbridge-Campbell"|"762 Papapawhangarongo Street
Thomasbury 8284"
"Jan McDonald"|"42 Dickson Terrace
Tipuhoro 7778"
"Tania Simpson"|"4 Webby-Russell Corner
Rangipapapanui 6210"
"Jeffrey Anderson"|"2 Alexandra Line
RD 3
Tangikowhai 9528"
"Katherine MacDonald"|"84 Harris-Nicholson Court
McLeanport 2444"
"David Matthews"|"85 Ngaurupuketoa Street
McMillanside 8696"
"Joshua Cunningham"|"545 Barnett Plaza
Rohepukerohe 0576"
"Glenn Mitchell"|"494 Rangiawa Road
Jonesberg 3259"
"Brittany Stevens-Thompson"|"11 Rongonui Track
Waipapapa 8627"
"Christopher Lowe"|"55 Pedersen Causeway
Aratipu 8886"
"Alana Stevenson"|"Unit 42
114 Taihope Heights
West McCallumhaven 8136"
"Jane Bond"|"14 Smith-Morrison Crescent
RD 4
Upper Lewisburgh 5329"
"Jonathan Graham"|"PO Box 936
Crawhaven 9746"
"David Dunn"|"Flat 87
8 Brown Road
Motukoro 9283"
"Jessica Landon-Lane"|"Apt. 435
6 Wekamatapo Avenue
Smithmouth 8010"
"Patricia Forbes"|"5 MacPherson Arcade
Rohetipu 0522"
"Matthew Jones"|"PO Box 2
Rongohoro 5077"
"Peter Simmons"|"2 Hood Road
Dalzielings 9430"
"Sharon Graham"|"58 Tahimoko Street
South Rickardstone 6290"
"Lucy Bell"|"Suite 909
4 Rangiteretanga Point
North Blair Flats 5829"
"Thomas Olsen-McGill"|"784 Kingston Terrace
RD 8
Haywardmouth 2659"
"Jane Bradley"|"35 Tia Crescent
Priceborough 9270"
"Theodore Farland-Stevenson"|"8 Horotangi Road
RD 7
Wainui 9034"
"Rachel Gardner"|"PO Box 57
Dixon Flats 8295"
"Sarah Williams"|"875 Smith Circle
Manawatai 5852"
"Julie Harris"|"Flat 31
2 Gray-Richards Circle
Birdtown 5009"
"Andrew Nash"|"PO Box 191
New Thompsonhaven 5729"
"Susan Brown"|"124 Whangamanawarangi Ridge
Russellgate 6410"
"Benjamin Fowler"|"Flat 44
7 Dick Road
Knowles Flats 8115"
"Annette Pope"|"PO Box 844
Chapmanhaven 8146"
"Elizabeth Dillon"|"Apt. 280
8 Barnett Mews
Whakangauru 8648"
"Jane Higgins"|"14 Matawhitu Street
Marshallland 9637"
"Matthew Cumming"|"Flat 47
27 Wharewai Copse
Stewartport 5510"
"Cameron Hopkins"|"330 Tangiweka Street
Mokowaka 8163"
"Craig Green"|"138 Rogers Mews
South Adamsport 3901"
"Natasha Martin"|"9 Bell Avenue
Turnbullmouth 9011"
"Jesse Smith"|"5 Ham Street
Gilchristfort 0697"
"Luke Lang"|"Flat 46
5 Knox Circle
Motuwhanganui 5286"
"Harry Doyle"|"16 Matthews-Ball Road
Stephanieport 2035"
"Janice Cairns"|"1 Wilton Causeway
Ryanhaven 2271"
"Jessica Short"|"271 Shepherd Cutting
Rotowhanga 2325"
"Jane Jones"|"PO Box 3
Kawarongo 9025"
"Suzanne Jenkins"|"7 Taiweka Street
Lake Douglasfort 9265"
"Brian Hope"|"Apt. 285
15 Helen Street
Mokowai 5045"
"Megan Edmonds-Jeffries"|"Suite 402
850 O'Neill-Craven Reserve
Hydefort 5255"
"Kate Armstrong"|"9 Waiawanui Avenue
Simpsonton 5038"
"Susan O'Neill"|"239 Bell-Bartlett Street
Rongonui 2015"
"Andrew Black-Trask"|"99 Webb Bypass
Tautere 9644"
"Sean Morgan-Mitchell"|"Apt. 993
7 McGrath Crescent
Puketanga 9884"
"Kayla Smith"|"612 David Access
Donaldson Hill 9425"
"Alison Moore"|"27 Rohehoroweka Way
Kaydenbury 2671"
"Jane MacKenzie-Davis"|"1 Stewart Mews
Mokotangi 5709"
"Louise Hansen"|"Flat 64
1 Edward Centre
Lachlanleigh 8217"
"Jonathan Love"|"Apt. 615
51 Montgomery Parade
Whakamaunga 6285"
"Sarah Healey-McCormick"|"PO Box 7
Papapaawa 2124"
"Rachel Johnston"|"72 Turner Drive
Bell Flats 2374"
"John Hills"|"6 Vercoe Highway
South Daymouth 3156"
"Emily Davis"|"2 Gardiner-McKay Centre
Teretoa 9545"
"Colin Hamilton-Patchett"|"Apt. 421
440 Jones Range Road
Seymourmouth 9487"
"Lisa Oliver-Eden"|"763 Parker Copse
Tautanga 5851"
"Christine Hodson"|"24 Ngaurumoturohe Cutting
Cameronville 6437"
"Jane Matthews"|"2 Morris Avenue
MacDonaldside 8678"
"Richard Eden-Edwards"|"7 Alexander Park
Rohetanga 9528"
"Paul Jarvis-Osborne"|"486 Carmen Street
Laneland 8848"
"Nathan Price"|"Level 5
34 Kerr Street
Jacksonport 8940"
"Sarah Anderson"|"4 Andrew Square
RD 9
Baxterburn 8479"
"Wayne Morgan"|"3 Waiawa Range Road
Tangiwhenua 5219"
"Susan Waugh"|"5 Russell-Armstrong Road
RD 2
Lucastown 6112"
"Sandra Arnold"|"Suite 774
6 McKinnon Line
Suttongate 8478"
"Samuel Horton"|"81 Taihanga Keys
RD 10
High Edwardsing 0168"
"Bernard Neilson"|"PO Box 29
Foxville 7801"
"Jane Mortimer"|"217 Gifford-Kerr Circuit
RD 2
Patchettstone 6110"
"Lily Johnstone"|"Suite 815
808 Wharetahirohe Street
Boydings 6257"
"Philip Bassett"|"71 Gray Street
RD 6
Dawsonside 9435"
"James Priest"|"17 Tangipokawa Street
Jenkinsfort 7553"
"Mareikura Burton"|"PO Box 76
Barnesport 8245"
"Rachael O'Brien-Wills"|"18 Lewis Beach Road
Rototahitau 5549"
"Dean Cooksley"|"5 Dillon Place
Pukemoko 2300"
"Sarah Carr"|"2 McGrath Beach Road
Korohanga 4752"
"Diane Fletcher-Murphy"|"45 Bright Street
Davisonbury 5044"
"Nathan Williams"|"9 Brown-Burgess Crescent
Stephenborough 5152"
"Janet Davis"|"66 Turner Street
RD 1
Tipuawa 0138"
"Angela Hawkins"|"536 John Amble
Whangarotoiti 9796"
"Emma McCarthy"|"523 Kowhaiwhaka Avenue
Arapapapa 6050"
"Michael Taylor-McCallum"|"9 Reeves Terrace
RD 6
McKinnonside 2019"
"Harper Howell"|"PO Box 364
Tahitere 9862"
"John Anderson"|"217 Mokohoro Cross
RD 5
Dawickbury 9516"
"Cole Burnett-Williams"|"PO Box 7
Rileyberg 9751"
"Michael Adams"|"990 Allerby Plaza
Ngauruwekaiti 8094"
"Sheryl Clarke"|"Suite 486
830 Pukepapapamaunga Avenue
Waughside 2636"
"Ross Phillips"|"PO Box 65
Peterstone 9661"
"Janet Gardiner"|"31 Wekarohe Mews
Dillonneath 3153"
"William Ham"|"565 Aramanawawhaka Avenue
Rongomanawa 5173"
"Danielle Henderson"|"754 Fisher Flats
Manawanui 0841"
"Sharon Richards"|"PO Box 99
Baileyfort 5289"
"David Butler"|"PO Box 55
Davenporting 9644"
"Daniel Grant"|"51 Douglas Centre
RD 1
Terewai 2249"
"Thomas Anderson"|"17 Wells-Powell Trail
Hendersonfort 2342"
"Rebecca Saunders"|"60 Matatanga Mews
RD 10
Bakerport 2601"
"Georgia Stewart"|"Flat 84
46 Wekatau Heights
Tahikoro 5364"
"Sam Hansen"|"61 Russell Anchorage
Andersonton 8413"
"Janet Nicholson"|"Apt. 236
140 Michelle Road
Wharepuke 5533"
"Heather Murphy"|"Level 6
5 Price Parade
Harrismouth 8125"
"Natasha Paton"|"54 Jensen Terrace
RD 6
Reidhaven 5324"
"Malcolm Jeffries"|"9 Matawai Range Road
Mitchellberg 6948"
"Ethan Lane"|"Level 7
86 Taitereweka Street
Sinclairbury 9060"
"Trevor Middlemiss-Page"|"5 Emma Plaza
Scotthaven 8058"
"Grant Hughes"|"Unit 92
573 Jack Way
Pratt Flats 2016"
"Tiare Davison"|"17 Warren Drive
Mearsings 2228"
"Laura Hodson"|"8 Burgess Gardens
RD 5
Tererotorohe 2176"
"Kelly Little"|"2 Papapamokomata Drive
RD 5
Karenbury 9407"
"Janet Watts-Pickering"|"8 Pohorokoro Circle
Duncanborough 9277"
"Jamie Short"|"2 Donna Concourse
Rongonui 8546"
"Michael Hawkins"|"175 Matapapapa Terrace
Papapahoro 8633"
"Deborah Matheson"|"PO Box 914
Whakarohe 4185"
"Sarah Sheridan"|"37 Rodgers-Collis Avenue
Taylaland 8457"
"Stephanie Horn"|"53 Munro Avenue
Pomaungapapapa 5765"
"Jordan Butler"|"87 Williamson Place
Wrattberg 2066"
"Michael Newton"|"8 Wharetanga Range Road
Burtonport 3523"
"Julian Williams"|"203 Koropukerangi Circle
Timothying 5250"
"Chelsea Horn"|"PO Box 49
Blackberg 6256"
"Janet Wood-Bryant"|"PO Box 36
Arapuke 8472"
"Shane Sheridan"|"1 Mokopapapatere Alleyway
RD 10
Horowhare 7495"
"Rachel Gill-Dean"|"24 Zimmerman Street
Moturangi 9820"
"Charlie Frost-McKay"|"6 Freeman-Cresswell Reserve
Pedersenfort 6212"
"Samantha Morris"|"PO Box 72
Terengauru 8847"
"Hannah Burgess"|"10 Tipuwaka Cove
RD 4
Nicoleneath 9419"
"Catherine Lee"|"36 Boon Beach Road
RD 8
Mount McCallumborough 8665"
"Paige Funnell"|"51 Pukekoro Drive
Stewart Flats 5104"
"Ashlee McNabb-Cameron"|"335 Scott-Ewart Way
Pukemotuwai 9413"
"Hayley Hawkins"|"Flat 96
817 Waitangiara Causeway
Nealings 9879"
"Janine Graham"|"937 Crawford Grove
McDonaldhaven 8490"
"Sarah Rowland"|"267 Sandra Mews
South Edwardsneath 1393"
"John Dillon"|"615 Rutherford Anchorage
Pukeweka 5701"
"Connor Taylor"|"211 Morris Street
Tahipo 9660"
"Geoffrey Hart"|"6 Gibson Crescent
RD 6
Hubbardgate 6296"
"Hannah Moore-Smith"|"PO Box 81
Fergusonborough 6288"
"Keith Dobson"|"501 Horowhitu Court
RD 8
Rongowaka 9477"
"Marie Foote-Jackson"|"Level 6
69 Ireland Flats
Lake Findlayburn 8901"
"Logan Rogers"|"1 Goodwin-Parker Street
Leehaven 5558"
"Melissa McEwen"|"86 Pukenui Way
RD 8
Manawatapu 2210"
"Jarrod Butler"|"Apt. 251
85 Pukekowhai Place
Mount Hughesburgh 9535"
"Jessica Adams-Greer"|"30 Shailer Circle
Morganburn 6081"
"Karl Black"|"Level 7
3 Browne Square
Awarohe 6407"
"Mary Gardiner"|"380 Marshall Beach Road
East Rossiterport 5844"
"Bruce McCormick"|"Unit 72
43 Rotomata Crossing
Strawbridgeville 2274"
"Timothy Lane"|"831 Jessica Avenue
RD 9
Meadsland 2521"
"Adrian Cook"|"Unit 44
9 Hayward Avenue
Collising 2246"
"William Parker"|"4 Kevin Plaza
Martinleigh 6189"
"Aaron George"|"76 Taitere Street
Marking 8631"
"Finn Carter"|"PO Box 63
Donaldsonneath 6418"
"Jarrod Knowles-Stace"|"Suite 764
9 Hubbard-Scott Street
Mokomakau 8692"
"Suzanne Potter"|"5 Bowden-Davis Esplanade
RD 2
Whakakowhai 2679"
"Shirley Sheridan-Aitken"|"Level 8
7 Thomas-Burton Street
Tauwaiawa 2178"
"Helen Hills"|"Unit 42
216 Rongonui Causeway
Goodwinmouth 6940"
"Brent Chambers"|"Unit 69
6 Armstrong-Richards Access
Tiputapu 8418"
"Daniel Shailer-Bailey"|"2 Lyons Concourse
Whakapukepo 6210"
"Jill Watts-Cooksley"|"459 Kowhainuku Road
Papaparua 8859"
"Nicola Shaw-Smith"|"46 Brown Street
Awangauru 9683"
"Simon Gullery"|"41 Fuller Line
Jonesmouth 9672"
"Anaru Boyd"|"783 Knight-Smith Centre
RD 3
Kowhairohe 0816"
"Jasmine Duncan-Watkins"|"PO Box 2
Donaldsonstone 2598"
"Tracey McDowall"|"Apt. 414
841 Nicholas-Morrison Drive
Cooksleyborough 8258"
"Julie McMahon"|"PO Box 263
Koroiti 9660"
"Ross Foley"|"120 Fisher Highway
Taylorings 6093"
"Benjamin Pope"|"Suite 317
6 Freeman Flats
Wakatahi 7680"
"Robert Woolley-Ingram"|"PO Box 4
Furnessbury 8628"
"Hannah Gill"|"5 Wakatau Road
Pukenui 2385"
"Brendan Coley"|"PO Box 762
Morrisonhaven 2170"
"Bruce Gilchrist"|"67 Millie Beach Road
Awanui 6044"
"Tony Wilkinson"|"882 Joseph Road
North George Flats 2620"
"Jasmine Jenkins"|"74 Scott Square
Murphyside 2223"
"Paul Fisher"|"30 Moore Cutting
RD 2
Wekapapapa 9366"
"Ashleigh Stevenson"|"38 Tauwaiweka Street
Wekamanawakowhai 9487"
"Rebecca Stratford"|"55 Buick Way
Mount Harrisonburgh 3298"
"David Satherley"|"1 Taiwhitu Street
Roheiti 2436"
"John Watts"|"45 Crawford Place
Aratahi 9610"
"Stephen Fitzgerald"|"45 Tipumatawhaka Crossing
Jacksontown 2344"
"Mark Neal"|"Level 2
38 Horongauru Corner
Waimoko 2185"
"Joshua Wratt-McFarlane"|"9 Powakawhitu Range Road
Cliffordtown 2246"
"Bruce Drake"|"9 Little Terrace
Whangapohope 1559"
"Jasmine Newton"|"PO Box 30
Maungapuke 6447"
"Nigel Campbell"|"82 Wairua Cutting
Roheroa 8956"
"Kerry Manson"|"197 Alexis Street
Tahitangi 9869"
"Dean Anderson"|"Unit 94
63 Ngaurutau Access
North Collisborough 2311"
"Glenn Taylor"|"PO Box 747
Edmondsburn 5315"
"Jacqueline Holland"|"PO Box 309
Healeyleigh 6487"
"Deborah Stevens"|"416 Greer Avenue
Ngaurunui 5302"
"Anaru Healy"|"PO Box 82
Willsneath 5892"
"Flynn Paton"|"Level 7
7 Beattie-Lancaster Road
Tautau 9672"
"Summer Hutchinson"|"779 Perry Avenue
New Andersonmouth 5555"
"Jason Atkinson-Small"|"PO Box 917
Matatapu 5105"
"Stella Burton"|"PO Box 841
Pukekiwi 9720"
"Melissa Vercoe"|"4 Knight Place
Arawhakanui 5715"
"Stacey Healy"|"3 Buchanan Road
RD 8
Cookland 2329"
"Kate Baker"|"PO Box 511
Robsongate 2090"
"Pauline Berry"|"84 Edwards Road
RD 7
Jessica Flats 9521"
"Craig Rose-Williamson"|"PO Box 824
Wharepukekiwi 9426"
"Brent Scott"|"3 O'Sullivan Close
Rangikowhairongo 5081"
"Russell Gifford"|"860 Herd View
Turner Flats 9688"
"Stephen Elliott"|"7 Cameron-Cooksley Mews
RD 8
Motuaratangi 2573"
"Jason Gifford-Scott"|"18 Hume Way
Webbberg 9045"
"Hayden Booth"|"710 Dick Road
RD 6
Wakatahitipu 5360"
"Gregory Chapman"|"7 Learmonth Arcade
Clunies-Rossside 9701"
"Samantha Higgins"|"925 Glenn Cross
RD 4
Cook Flats 2065"
"Dylan Rose"|"174 Kowhainuku Road
RD 9
Smithburgh 8668"
"James Flood-Booker"|"Unit 55
1 Sheridan Crossing
Reidings 6444"
"Joshua Rodgers"|"467 Matatere Street
Burtongate 2021"
"Paige Smith"|"682 Smith-Hart Avenue
Wakarangi 8921"
"Tamati Hart-Sutton"|"248 Jackson Road
RD 1
Smithneath 9693"
"Peter Jackson"|"17 Mokotere Mews
Port Haywardtown 2576"
"Jason Gray"|"745 Andrew Avenue
RD 4
Hamiltontown 0762"
"Rachel Scott"|"Flat 90
4 Wood-Davies Quay
Loganmouth 8664"
"Thomas Davison"|"213 Ireland Street
Brooksgate 9402"
"Noel Humphrey"|"890 Papapatahi View
Gilesgate 5796"
"Blake Gifford"|"Flat 34
1 Spencer Avenue
Pukewhareiti 9657"
"Deborah Read"|"442 Anderson-Waller Square
Korotapu 8661"
"Neil McIntosh"|"PO Box 104
Kowhaimotunui 2603"
"Mikayla Short"|"607 Martin-Fuller Street
Powhare 6242"
"Anthony Saunders-Mitchell"|"33 Whakawhanga Alley
Port Harrisgate 8549"
"Lynda Barnett-Green"|"6 O'Connell Esplanade
Whangawhenua 9053"
"Jason Hills"|"189 Smart-Chapman Road
Oliverborough 2406"
"Nicola Patchett"|"307 Tiputangitapu Arcade
Chapmanhaven 9586"
"Paul Schwass"|"Flat 72
97 Aramakau Crescent
High Hendersongate 1926"
"Shirley Thompson"|"PO Box 4
Haygate 2250"
"Diane Andrew-Godfrey"|"25 Aramokorangi Parade
RD 10
Ngauruhanga 2105"
"Daniel Sutton"|"PO Box 34
Kawaara 5282"
"Colin Watts"|"PO Box 33
Paulland 9475"
"Robert Parker"|"PO Box 464
Koropapapa 5207"
"David MacPherson"|"613 Tiputoa Cove
Whareawa 2313"
"Sarah Wood"|"81 Botham Bypass
Sinclairfort 1084"
"Jason Long"|"93 Korowaiwaka Copse
Schwassside 6411"
"Karen Jones"|"PO Box 576
Wharemotumakau 6138"
"Alison Twidle"|"PO Box 55
Hollowayville 6245"
"Mark McIntosh-Huddleston"|"PO Box 49
Hollowayburgh 2323"
"Joseph Jones"|"99 Rangirototipu Bypass
RD 3
O'Brienside 6995"
"James Webby"|"538 Green Avenue
RD 7
Martintown 9444"
"Carla Clifford"|"Flat 51
60 Teretangi Drive
Wakakawatipu 2093"
"Ross Francis"|"140 Awaweka View
Masonhaven 2222"
"Julie Bassett"|"35 Mataawawai Range Road
Roherongo 9821"
"Helen Edwards"|"5 Oliver Road
Motukawa 2070"
"Jason Marsh"|"PO Box 2
Whangamoko 6462"
"Bryan Sutton-McEwen"|"793 Wekatahi Corner
Taitaiwhaka 9701"
"Adrian McKinnon"|"Level 5
64 Kay Plaza
Rongorua 9460"
"Ben Flood"|"PO Box 8
Vercoegate 8561"
"Alexander Rose"|"684 Matatangihanga Mews
Matawhakatau 2668"
"David Bright-Matthews"|"43 Maunganuku Crest
Hollowaytown 5598"
"Lauren McGregor"|"874 Waiwhero Street
Awanui 8154"
"Joshua Simpson"|"978 Benjamin Place
Matahope 5755"
"Matilda Boyd"|"PO Box 881
Kawamaungangauru 2246"
"Lauren Thompson"|"Suite 397
5 Bartlett-Thompson Street
Robertsburn 5225"
"Jason Moore"|"33 Lewis Avenue
Kennyburgh 8475"
"Paige Horn"|"89 Mokopukepapapa Causeway
RD 5
Couttston 4876"
"Nicola McManaway"|"PO Box 4
Tauhope 8967"
"Daniel Webster"|"3 Doyle-Black Gardens
Curtising 8197"
"Dylan Morris"|"953 Rongotererangi Avenue
North Forrestings 5854"
"Reuben Roberts"|"423 Miles Crescent
Robertsside 7558"
"Kevin Harrison-Simmons"|"99 Teremaunga Way
Woodmouth 2336"
"Colleen Gordon"|"PO Box 50
Horotangitai 8811"
"Connor Little"|"45 Martin Street
Louisburn 9255"
"Isobel Brown"|"PO Box 94
Rototapu 6239"
"Jason Schwass"|"883 Coleman-Jones Street
New O'Brienmouth 5092"
"Anthony Griffin"|"7 Hogg Reserve
RD 4
Webbymouth 7141"
"Ruby Hickey"|"PO Box 536
Wakamaunga 5791"
"Liam Griffin"|"854 Whakawhero Alleyway
Maungaawahope 6194"
"Christopher O'Brien-Bush"|"8 Shannon Lane
RD 3
Prattmouth 7087"
"Julie Perano"|"84 Mataawatoa Range Road
RD 6
Wekamata 6959"
"Casey Buchanan"|"PO Box 2
Garyside 8929"
"Anthony Hickey"|"360 Shand Way
Tahitapu 2167"
"Ella Lloyd"|"93 Ashleigh Alley
RD 4
Johansenside 2567"
"Sarah McDonald"|"7 Monique Plaza
Duncan Hill 9381"
"Jason Smith"|"641 Brown Drive
RD 7
Teretaimakau 3228"
"Ian Chambers"|"48 McManaway Avenue
Satherleyland 9048"
"Matthew Douglas-MacDonald"|"PO Box 432
Tipuawa 9720"
"Michelle Pope"|"Suite 588
4 Rush Range Road
Rongopapapamanawa 9283"
"Lisa Price-Newton"|"26 Matawhare Street
Lawsoning 9057"
"Thomas Larsen"|"PO Box 58
Motuhope 6455"
"Anna Lucas"|"4 Nathan Cross
RD 1
Ngauruwhangarangi 6183"
"Lynda Cook-MacKenzie"|"Unit 59
3 Booth-Stevenson Crescent
Richardsleigh 9031"
"Dylan Black"|"206 Motutai Heights
Rongorangi 6482"
"Vivienne Holland"|"868 Boyd Street
RD 2
Claridgemouth 6962"
"Jason Ward-Gilbert"|"Unit 38
657 Awakawa Street
Hannahton 9582"
"Grace Fleming"|"Unit 19
84 Chambers Reserve
Horohanga 6047"
"Lisa Mason"|"9 Smith Gardens
Patersonleigh 8415"
"Summer O'Donnell"|"9 Webster Way
Tangitahi 5733"
"Tony Arnold"|"PO Box 251
Sullivanborough 2467"
"Paul Ham"|"PO Box 67
Popeside 5715"
"Andrew Armstrong-Osborne"|"2 Poole Highway
RD 9
Tautaimoko 2214"
"Jordan Clifford"|"97 Carson Anchorage
RD 1
Wayneleigh 5774"
"Scarlett Jamieson"|"23 O'Neill-Thompson Avenue
Wharewhero 8486"
"Jordan Flood"|"799 Whangarohe Avenue
Vanessaside 9489"
"Jason Warner"|"569 Nicholson Cove
Korongaurumotu 9627"
"Sandra Anderson-Olsen"|"16 Kororua Centre
Mokonui 6408"
"Carolyn Evans"|"Flat 86
29 Kororua Avenue
Awatapu 9608"
"Jeffrey Hayes"|"537 Aramaunga Street
Tahitauhope 2621"
"Rachel Gordon-Williamson"|"8 Stuart Street
RD 7
Terewhanga 6099"
"Chloe MacDonald"|"Level 3
9 Maungakawa Crescent
Smithland 6451"
"Andrew Clunies-Ross"|"3 Sean Park
RD 9
Maungawekatapu 8672"
"Sarah Edwards"|"Suite 205
901 Emma Reserve
Jackburgh 5792"
"Tai Hudson"|"9 Rongoteretoa Avenue
Taylorside 6064"
"Brendan Martin-Moran"|"Apt. 689
763 Smith Drive
Maungawakatahi 6092"
"Jaxon Tanner-Gill"|"492 Reed-Jones Place
Michelle Flats 5386"
"Karen Newman"|"Apt. 445
98 Lammas Drive
Matawhitu 5057"
"Dean Larsen"|"1 Davis Mews
Kendallings 8419"
"Melanie Thompson"|"18 Korotau Close
Pukenui 5059"
"Suzanne Jackson"|"42 Leslie Terrace
RD 1
Upper Davisings 5843"
"David Eaton"|"962 Nolan Arcade
Kawawai 8105"
"Christine Coley-Martin"|"63 Peter Arcade
RD 3
Kaitlynhaven 2468"
"Lily Gill"|"28 Hodson Corner
Arnoldburn 6987"
"Madeleine Hooper"|"17 Stevens Mews
Rohekawa 2251"
"Joanna Jackson"|"725 Ngaurukiwi Trail
Tangiwhero 3746"
"Jayden Harris"|"1 Whakahanga Crescent
Michelleing 2017"
"Olivia Williamson"|"4 Brown Place
Rongokoro 8611"
"Stuart Smart-Fenton"|"Apt. 893
68 Max Crescent
Samuelgate 8402"
"Lucy Watt"|"549 Henderson Way
Papapamoko 9675"
"Jacob Cragg"|"597 Horoawa View
Gilbertland 4600"
"Colin Botham"|"PO Box 73
Papapawaikoro 7110"
"Matilda McDowall"|"180 Stephen Range Road
RD 10
East Allen Hill 3651"
"Jessica Weston"|"PO Box 40
Rongotangi 9218"
"Hemi Pickering-MacDonald"|"175 Johnston Street
Osbornestone 6299"
"Joseph Bell"|"640 Tipuawatanga Flats
RD 6
Whangatai 2213"
"Jayden Harrison"|"13 Hayes Drive
RD 1
Tipuwhero 8483"
"Katherine Gilchrist-Stewart"|"3 Aratoa Drive
Hillsberg 2550"
"Raymond Faulkner"|"Apt. 280
481 Tererohe Range Road
Awamanawangauru 5750"
