"Albina Begonja"|"Kapucinske 8
75605 Duga Resa" 
"Marina Burčul"|"Vinogradska 3c
15881 Hrvatska Kostajnica"
"Ika Kovačević"|"Ružičnjak 8b/2
48206 Prelog"
"Lovre Volarić"|"Horvatovac 6b
26776 Samobor"
"Pavao Brcko"|"Medveščak 6a/4
75809 Sveti Ivan Zelina"
"Lea Špišić"|"Mala 7c
86844 Belišće"
"Katica Gržinčić"|"Dverce 4
11859 Cres"
"Vlado Tolj"|"Zavojna 9
45862 Beli Manastir"
"Nevenka Crevar"|"Ribnjak 2b
29531 Đurđevac"
"Ivka Lučić"|"Mesnička 3
89462 Velika Gorica"
"Vlado Sošić"|"Jabukovac 8a/9
84909 Pag"
"David Marasović"|"Vinogradska 7a/8
19578 Lipik"
"Sara Surać"|"Pantovčak 6a/6
02908 Rovinj"
"Lovre Branković"|"Čačkovićeva 2c/3
40453 Crikvenica"
"Tatjana Škugor"|"Zamenhofove 278
20149 Novalja"
"Lea Županić"|"Perivoj biskupa Stjepana II. 4c/4
62312 Glina"
"Željka Amidžić"|"Gradec 545
20559 Otok"
"Karla Štimac"|"Gradec 3c/8
38997 Krapina"
"Marta Šestak"|"Gračanska 19
15729 Vrbovsko"
"Branka Varga"|"Nova Ves 3a
31168 Požega"
"Zlatko Filipčić"|"Svibovac 4
65564 Komiža"
"Vladimir Stipanović"|"Paunovac 3b/1
15901 Ozalj"
"Andrija Šelendić"|"Nova Ves 0c/3
57177 Delnice"
"Zorka Oršulić"|"Jezuitski trg 6
20201 Čabar"
"Miroslav Ladavac"|"Zamenhofova 3a/3
72852 Kutina"
"Leon Abičić"|"Šestinski vijenac 36
50060 Supetar"
"Dino Malnar"|"Jadranska 2b/2
12814 Novi Vinodolski"
"Miroslav Vrban"|"Kožarska 81
45846 Rijeka"
"Renata Putinja"|"Ljubinkovac 8b/8
14770 Poreč"
"Zdenka Mišak"|"Mirogojska 0b/6
81750 Nova Gradiška"
"Duje Poropat"|"Jurkovićeva 3c/7
46304 Hrvatska Kostajnica"
"Vjekoslav Kršanac"|"Kapucinske 0c/9
88693 Stari Grad"
"Jasna Zelić"|"Lisinskoga 594
93808 Koprivnica"
"Patrik Resanović"|"Perivoj biskupa Stjepana II. 7c/1
75323 Vukovar"
"Mare Đurašević"|"Kapucinske 807
67106 Ogulin"
"Leon Blažičko"|"Palmotićeva 0b/6
11203 Vodice"
"Slavko Komar"|"Vlaška 50
55578 Ilok"
"Andrea Bosilj"|"Mirogojska 476
95678 Virovitica"
"Anđela Kopjar"|"Wickerhauserova 7b
94099 Kutina"
"Maria Cvenić"|"Strossmayerovo šetalište 9b/2
35680 Novi Vinodolski"
"Antonio Kostelac"|"Krvavi most 8c/2
32283 Otok"
"Vesna Vuljak"|"Mala 0b
80822 Lipik"
"Milena Štimac"|"Šestinski vijenac 190
63953 Dugo Selo"
"Ivanka Labaš"|"Jadranska 9c/0
83803 Solin"
"Pavao Jerković"|"Strossmayerovo šetalište 0b/5
77895 Novi Vinodolski"
"Leon Bučanac"|"Višnjičke 3
71704 Komiža"
"Janko Mihalić"|"Zeleni dol 7c/7
40939 Krk"
"Lucija Britvec"|"Gornje Prekrižje 912
35895 Ogulin"
"Mislav Miletić"|"Mihaljevac 8
94075 Slavonski Brod"
"Duje Piljek"|"Pantovčak 6b/0
88855 Beli Manastir"
"Nina Šeparović"|"Zamenhofove 1b
45969 Daruvar"
"Katarina Vučetić"|"Bakačeva 2a/1
65299 Trogir"
"Biserka Pleše"|"Vijenac 516
40899 Cres"
"Nevenka Kadija"|"Pod zidom 74
79276 Šibenik"
"Boris Filar"|"Dverce 5b
07232 Opuzen"
"Leon Kevo"|"Tkalčićeva 8c/0
36588 Samobor"
"Mare Žunec"|"Perivoj srpanjskih žrtava 3b
59867 Slunj"
"Dušan Adžijević"|"Horvatovac 126
41334 Donja Stubica"
"Jasna Bertoša"|"Zelenjak 2
51692 Vrbovsko"
"Maja Matahlija"|"Jurjeve 5b
25420 Čakovec"
"Joško Makovac"|"Mesnička 7a/8
80733 Vodice"
"Veronika Žufika"|"Tuškanac 8a
74519 Požega"
"Duje Žunec"|"Gradec 7a
95243 Koprivnica"
"Martin Staničić"|"Istarska 6
74839 Hrvatska Kostajnica"
"Ljiljana Šurbek"|"Pod zidom 3b
41395 Koprivnica"
"Leon Mesić"|"Javorovac 217
46661 Buje"
"Milena Antonić"|"Ružičnjak 8b
19559 Belišće"
"Bara Vugdelija"|"Vijenac 6c/6
78305 Glina"
"Aldo Bernardić"|"Vrazovo šetalište 1a
24058 Čabar"
"Dušan Forjan"|"Mašekova 6a/1
40728 Kutjevo"
"Gordana Škrtić"|"Gornje Prekrižje 82
49936 Rab"
"Zdenka Frketić"|"Remetska 5b
13701 Kutina"
"Renata Vižintin"|"Ribnjak 1
83977 Benkovac"
"Duje Matković"|"Demetrova 3b/8
33337 Opuzen"
"Bruno Roce"|"Dolac 0b
36144 Obrovac"
"Leon Raspor"|"Istarska 060
92243 Vrlika"
"Veronika Peruško"|"Šestinski vrh 665
01220 Solin"
"Darko Filar"|"Kozarčev vijenac 8c
64474 Vodnjan"
"Slavko Vukobratović"|"Goljak 248
07746 Trilj"
"Joso Brlek"|"Podgaj 84
92886 Ilok"
"Alen Matijević"|"Srebrnjak 2b/1
64079 Krapina"
"Stana Brandić"|"Demetrova 04
91224 Novi Marof"
"Marijan Gulan"|"Mlinarska 3a/1
24040 Otočac"
"Igor Antolković"|"Jurkovićeva 105
13649 Vrbovsko"
"Anđela Kuveždić"|"Gradec 1b
99953 Slavonski Brod"
"Leon Risek"|"Opatovina 209
29637 Otočac"
"Siniša Jakopec"|"Kaptol 870
81836 Skradin"
"Ema Marinović"|"Bosanska 99
68455 Karlovac"
"Željko Sabljak"|"Vijenac 4c/4
32555 Beli Manastir"
"Kristijan Mihić"|"Zavojna 6a
72778 Nova Gradiška"
"Ema Kupsjak"|"Šilobodov put 4c
38006 Zagreb"
"Elizabeta Pecotić"|"Slavujevac 5b
63601 Sveti Ivan Zelina"
"Ankica Peroš"|"Pod zidom 738
59717 Slavonski Brod"
"Marijana Tomljanović"|"Slavujevac 2b
66393 Kaštela"
"Lana Rahija"|"Šestinski vijenac 3
49628 Trogir"
"Leon Županić"|"Cmrok 0c
06619 Velika Gorica"
"Saša Kuveždić"|"Bijenička 0a/3
05252 Ivanić-Grad"
"Albina Birkić"|"Kozarčev vijenac 7b
40586 Šibenik"
"Mateja Barac"|"Draškovićeva 294
05984 Skradin"
"Biljana Ivanović"|"Grič 1b
87519 Pleternica"
"Gordana Pedišić"|"Zamenhofove 1c/3
68579 Krk"
"Valter Friščić"|"Orlovac 17
84450 Skradin"
"Dragan Zgorelec"|"Tuškanac 6a
02410 Đakovo"
"Ilija Dominković"|"Mihaljevac 2
93939 Krapina"
"Danijel Šarić"|"Kraljevečki odvojak 7b/4
28522 Kaštela"
"Lidija Akmačić"|"Mašekova 86
97399 Čabar"
"Elvis Bolčević"|"Goljačke 4a
04306 Solin"
"Marina Božiković"|"Zvonarnička 2b
52720 Bjelovar"
"Draga Gegić"|"Rokov perivoj 197
73388 Ludbreg"
"Branka Bogadi"|"Krležin gvozd 8c/9
60817 Zlatar"
"Nenad Štimac"|"Wickerhauserova 5b
03847 Karlovac"
"Josip Leščić"|"Mlinske 144
06248 Zagreb"
"Mato Bijelić"|"Šalata 7b/6
57395 Supetar"
"Nevenka Mamić"|"Svibovac 9c/0
94788 Omiš"
"Suzana Vretenar"|"Draškovićeva 2c
80306 Novalja"
"Lidija Brandić"|"Zelengaj 1a
86502 Nin"
"Sanja Plantek"|"Jagodnjak 9c
34279 Varaždin"
"Laura Jakovljević"|"Goljak 8a
67042 Opuzen"
"Lea Vučetić"|"Naumovac 5
76973 Nin"
"Veronika Moslavac"|"Zeleni dol 98
39973 Ogulin"
"Viktor Jozić"|"Kaptol 030
97426 Čabar"
"Barica Maraš"|"Ksaverska 8c/2
35101 Novigrad"
"Fuma Milas"|"Donje Prekrižje 52
39327 Opatija"
"Luka Zrilić"|"Jagodnjak 0b/1
00069 Dubrovnik"
"Marica Kelić"|"Dvoranski prečac 4c/0
39961 Imotski"
"Lidija Grba"|"Nemetova 8a
30777 Varaždinske Toplice"
"Mile Glasnović"|"Mašekova 7a
19982 Umag"
"Renata Rijetković"|"Kraljevec II. 8a/2
79544 Rab"
"Mira Hanžek"|"Šestinski vijenac 4b/5
94949 Varaždinske Toplice"
"Matija Sokol"|"Klanac Grgura Tepečića 0c
52295 Donji Miholjac"
"Sara Kraljević"|"Krležin gvozd 9b
60489 Ozalj"
"Lana Stošić"|"Slavujevac 3a/0
02162 Dugo Selo"
"Dejan Sladonja"|"Streljačka 1a/2
18652 Benkovac"
"Nikola Prelec"|"Jurjevska 5a/9
99982 Garešnica"
"Domagoj Barešić"|"Dolac 8a/5
74710 Kaštela"
"Lidija Kocijančić"|"Kraljevečki odvojak 0
46741 Ilok"
"Josip Ušić"|"Voćarsko naselje 5a
70076 Ivanić-Grad"
"Mijo Pajur"|"Kraljevečki ogranak 3b/4
05058 Dugo Selo"
"Jadranka Bajan"|"Wickerhauserova 7b
15984 Kastav"
"Božica Damijanić"|"Zamenhofova 96
05543 Prelog"
"David Zebec"|"Višnjica 6b/7
74160 Kutjevo"
"Mato Meić"|"Rokova 467
01260 Korčula"
"Snježana Čović"|"Čačkovićeva 9b
48491 Delnice"
"Manda Boban"|"Šestinski vijenac 8
06791 Ludbreg"
"Toni Madunić"|"Petrova 675
73808 Solin"
"Lidija Močibob"|"Kurelčeva 2c
95815 Poreč"
"Anita Roca"|"Rokov perivoj 51
36997 Crikvenica"
"Lana Gržetić"|"Mašekova 4c
08944 Prelog"
"Anđela Fuček"|"Opatička 0a/8
32733 Belišće"
"Andrija Zakinja"|"Magdićeve 0b/2
46416 Novi Vinodolski"
"Elizabeta Varga"|"Rokova 4b
18604 Oroslavje"
"Valentina Jovanovac"|"Draškovićeva 2a/2
03946 Križevci"
"Dario Ukić"|"Kraljevec 1b
86197 Ozalj"
"Mare Norac"|"Mirogojska 20
69148 Popovača"
"Bara Pokas"|"Mesnička 0
43097 Donja Stubica"
"Lidija Pavlović"|"Slavujevac 6c/3
94020 Vis"
"Štefanija Eršek"|"Zvonarnička 2b
08251 Pazin"
"Mateja Buršić"|"Zvonarnička 4c/1
20900 Prelog"
"Josipa Tomić"|"Dvoranski prečac 4b
65203 Čazma"
"Dalibor Majdenić"|"Male 4a
25854 Benkovac"
"Dragutin Krpan"|"Kamaufova 406
85859 Ploče"
"Mijo Maretić"|"Mesnička 7b
36689 Belišće"
"Janja Špoljarić"|"Horvatovac 7b/1
75347 Labin"
"Slavko Josipović"|"Vijenac 7b
50209 Buzet"
"Dalibor Kirinčić"|"Kraljevec II. 356
41604 Đakovo"
"Lidija Stražičić"|"Ilica 404
65300 Garešnica"
"Vlado Glavan"|"Tošovac 0b/4
86235 Zlatar"
"Rozalija Bosilj"|"Klanac Grgura Tepečića 77
69177 Zaprešić"
"Matea Vrabelj"|"Šalata 72
49224 Rovinj"
"Lorena Mužić"|"Naumovac 8b
50770 Orahovica"
"Terezija Merkaš"|"Bijenička 0
22038 Zlatar"
"Bara Šalić"|"Skalinska 17
28388 Čazma"
"Biserka Birtić"|"Male 7
50611 Popovača"
"Katarina Buzov"|"Ljubinkovac 35
85159 Poreč"
"Lucija Vrhovec"|"Grič 5b
66058 Krapina"
"Lidija Zrinski"|"Dverce 9
62321 Zagreb"
"Viktor Stolnik"|"Gupčeva zvijezda 5b/0
74347 Valpovo"
"Ivana Debelić"|"Davor 7a
09910 Čazma"
"Franjo Bertoša"|"Radnički dol 6
86375 Rijeka"
"Dino Golubić"|"Golubovac 50
36869 Otok"
"Marina Bogović"|"Jurkovićeva 7c
37129 Belišće"
"Ivanka Stojnić"|"Rikardove 2a/0
87775 Pregrada"
"Đuro Urlić"|"Krvavi most 2b/3
45057 Stari Grad"
"Roko Cafuk"|"Male 0a/9
98439 Koprivnica"
"Snježana Urlić"|"Podgaj 2a
18328 Opatija"
"Lidija Šupraha"|"Dverce 12
93099 Dugo Selo"
"Dejan Mudri"|"Mlinske 8c
02232 Pleternica"
"Manda Čović"|"Rikardove 88
92221 Labin"
"Kata Ribičić"|"Vijenac 2a
31735 Vrgorac"
"Anton Majstorović"|"Zavojna 9a/4
41488 Bakar"
"Hana Tuđa"|"Mašekova 1a
33939 Split"
"Leon Pavić"|"Gornje Prekrižje 2b
28538 Zagreb"
"Mirjana Zrilić"|"Ksaver 6c
46554 Ivanić-Grad"
"Lucija Triplat"|"Opatovina 473
84328 Garešnica"
"Dragan Šverko"|"Opatička 2b
61148 Kraljevica"
"Ljiljana Golubić"|"Opatovina 7a
85573 Pregrada"
"Jozo Huljev"|"Kurelčeva 580
15029 Ploče"
"Lovre Kovačević"|"Strossmayerovo šetalište 2a
52199 Vrgorac"
"Ivana Nižetić"|"Ružičnjak 178
56079 Pleternica"
"Kate Jonjić"|"Demetrova 9a/8
64769 Senj"
"Matej Matovina"|"Davor 2b/4
17354 Mali Lošinj"
"Eva Bralić"|"Ksaverska 677
64452 Komiža"
"Sanja Kralj"|"Krležin gvozd 7b
63309 Ivanec"
"David Rađenović"|"Jurišićeva 0
50899 Daruvar"
"Zdravko Kadija"|"Draškovićeva 2b
89226 Čabar"
"Ljiljana Lisica"|"Tuškanac 7b/9
55850 Pregrada"
"Lea Roso"|"Remetska 19
68577 Klanjec"
"Marina Čuljak"|"Kurelčeva 4b/9
28189 Kaštela"
"Kata Liber"|"Zvonarnička 2
55715 Kutjevo"
"Martin Sokić"|"Nemetova 91
08634 Kutina"
"Dušan Ferenac"|"Splavnica 59
87597 Komiža"
"Vera Matković"|"Visoka 834
49677 Slavonski Brod"
"Bara Rašić"|"Zvonarnička 093
74654 Pregrada"
"Tomo Baksa"|"Zeleni dol 7c
08255 Samobor"
"Rudolf Ljubetić"|"Dvoranski prečac 70
59955 Bjelovar"
"Ljiljana Mihić"|"Tuškanac 1b
61078 Sinj"
"Elvis Stolnik"|"Arnoldova 6a
67749 Popovača"
"Mato Darojković"|"Arnoldova 3
66173 Nin"
"Andrea Bajan"|"Tuškanac 505
67812 Pula"
"Janko Ćorić"|"Zelenjak 32
56973 Ploče"
"Vjekoslav Petek"|"Pantovčak 7c/4
35286 Umag"
"Mara Solomun"|"Zvonarnička 2c
75959 Buzet"
"Lovre Keleković"|"Petrova 0
83564 Krapina"
"Anita Maloča"|"Golubovac 9b
23849 Čazma"
"Julijana Jelavić"|"Gračanska 9b
33098 Vinkovci"
"Ljiljana Pedišić"|"Gupčeva zvijezda 4b
72387 Zadar"
"Darko Čulina"|"Perivoj srpanjskih žrtava 9b
00604 Knin"
"Marko Mišak"|"Rokov perivoj 3
58267 Karlovac"
"Josipa Tolj"|"Palmotićeva 7b/3
78341 Vodnjan"
"Zlatko Tepeš"|"Zamenhofove 0a/0
60436 Velika Gorica"
"Mate Barac"|"Draškovićeva 4c/1
25199 Đurđevac"
"Marica Vojković"|"Tkalčićeva 0a/5
45487 Vis"
"Jele Zakinja"|"Golubovac 0c
80060 Metković"
"Lana Grgurević"|"Vinogradska 368
05502 Gospić"
"Julijana Ivšić"|"Slavujevac 7c/1
67921 Hrvatska Kostajnica"
"Ljiljana Radman"|"Istarska 6a
69140 Đurđevac"
"Ivo Piljek"|"Vlaška 5a/3
96434 Zabok"
"Matea Božičević"|"Mala 8a/0
24862 Grubišno Polje"
"Fuma Priselac"|"Demetrova 5
22086 Imotski"
"Davor Terlević"|"Paunovac 9a
17604 Cres"
"Albina Hršak"|"Skalinska 88
03048 Križevci"
"Aldo Horvatinec"|"Tkalčićeva 7a/4
36677 Vodnjan"
"Marina Čargonja"|"Kožarska 48
59107 Grubišno Polje"
"Mateo Vrban"|"Višnjica 1a/4
84101 Ilok"
"Zora Šargač"|"Medveščak 0
40967 Kaštela"
"Ljiljana Sedlar"|"Kraljevec II. 5c
13468 Senj"
"Mirjana Jović"|"Jagodnjak 377
85470 Zadar"
"Slavko Kahlina"|"Ksaverska 6c
90143 Biograd na Moru"
"Anita Papak"|"Vrazovo šetalište 4
13397 Korčula"
"Gordana Barbieri"|"Nova Ves 4c/7
41040 Opuzen"
"Jasminka Pavelić"|"Zmajevac 2
17807 Novi Vinodolski"
"Marina Žužić"|"Ribnjak 615
75294 Rovinj"
"Snježana Zubčić"|"Jagodnjak 9c
38647 Senj"
"David Norac"|"Krvavi most 3c
64586 Novi Vinodolski"
"Matea Krpan"|"Kamaufova 7c/3
29087 Varaždinske Toplice"
"Ljiljana Šoštarić"|"Donje Prekrižje 8c/9
52149 Novalja"
"Snježana Klarin"|"Paunovac 6c/3
65316 Ogulin"
"Antun Totić"|"Kamenita 6c/1
11554 Kaštela"
"Jana Ćorić"|"Perivoj srpanjskih žrtava 0c/1
17336 Solin"
"Marko Vidaković"|"Pantovčak 6a/8
15101 Omiš"
"Sara Beletić"|"Rikardove 9b/3
81465 Donja Stubica"
"Vlado Boljkovac"|"Kožarska 8c
09970 Solin"
"Katica Borak"|"Goljačke 6b/6
55203 Velika Gorica"
"Nataša Hrvojić"|"Srebrnjak 6c/0
20732 Vrlika"
"Mara Dolić"|"Bijenička 5b/5
16311 Omiš"
"Ljubica Filipčić"|"Ljubinkovac 2c/1
63559 Omiš"
"Franjo Kinkela"|"Pantovčak 38
61231 Valpovo"
"Elizabeta Jasprica"|"Voćarsko naselje 742
74460 Beli Manastir"
"Iva Huljev"|"Hercegovačka 1b/8
34628 Ilok"
"Aldo Žunec"|"Dolac 49
11894 Biograd na Moru"
"Albina Žagar"|"Tkalčićeva 7
86417 Velika Gorica"
"Nikola Labinjan"|"Medvedgradska 8
93666 Delnice"
"Snježana Sršen"|"Zmajevac 9a/9
01315 Pleternica"
"Branko Barišić"|"Voćarsko naselje 1c
91715 Imotski"
"Mara Palić"|"Kraljevečki ogranak 30
90652 Split"
"Ljubica Hrvojić"|"Skalinska 7b
84979 Samobor"
"Barbara Miloslavić"|"Bosanska 8b/6
43175 Ozalj"
"Danijela Kuzmić"|"Palmotićeva 46
20507 Klanjec"
"Karlo Vidas"|"Dvoranski prečac 19
42590 Donja Stubica"
"Katarina Debelić"|"Tkalčićeva 3a/7
06901 Crikvenica"
"Sanja Stražičić"|"Rikardove 2c/2
00549 Korčula"
"Patrik Raspor"|"Mlinovi 0c
52854 Ludbreg"
"Erik Legović"|"Nemetova 37
97575 Nin"
"Goran Marinković"|"Magdićeve 1a/2
98336 Ludbreg"
"Igor Bačak"|"Jagodnjak 6
20376 Solin"
"Ljubica Hrženjak"|"Mala 9c
11499 Glina"
"Slavica Mraović"|"Klanac Grgura Tepečića 2
84181 Trogir"
"Romano Vučković"|"Voćarska 39
87814 Donji Miholjac"
"Danijela Turina"|"Zamenhofova 9a/7
78314 Opatija"
"Marijana Peroš"|"Mlinovi 9c
85990 Novi Marof"
"Kristijan Božanović"|"Šestinski vrh 0c/5
53660 Dubrovnik"
"Božica Božiković"|"Klenovac 667
84743 Skradin"
"Maria Žunec"|"Opatička 9b
99483 Varaždinske Toplice"
"Nenad Kovaček"|"Orlovac 2a/1
66429 Varaždin"
"Dušan Bjeliš"|"Vlaška 4
67888 Makarska"
"Ljubica Jasprica"|"Ksaverska 1c/1
74372 Ivanić-Grad"
"Domagoj Ergotić"|"Klenovac 0a/6
68288 Ozalj"
"Ante Matulin"|"Kapucinske 00
44591 Đakovo"
"Mislav Malnar"|"Orlovac 3b/5
41509 Gospić"
"Mare Bošnjak"|"Kamenjak 4c
89152 Crikvenica"
"Dragutin Barković"|"Zvonarnička 2b
50039 Glina"
"Anto Kupsjak"|"Draškovićeva 1
29530 Ludbreg"
"Ivan Solomun"|"Mlinovi 058
46915 Sinj"
"Nikša Čukman"|"Palmotićeva 18
86200 Petrinja"
"Tomo Kadija"|"Zelenjak 9c
63677 Rijeka"
"Ljubica Jelavić"|"Jadranska 0a/5
81802 Virovitica"
"Danijela Birtić"|"Orlovac 0a
99829 Novalja"
"Nika Buzov"|"Tkalčićeva 06
70241 Pregrada"
"Maria Vuljak"|"Pod zidom 712
90288 Vodice"
"Dino Tomljanović"|"Voćarska 2a/9
29167 Ludbreg"
"Jure Šelendić"|"Jurjevska 737
19103 Čazma"
"Maja Šimunović"|"Paunovac 9b
37148 Vukovar"
"Tea Bogović"|"Hercegovačka 0a/4
29333 Komiža"
"Petar Sabol"|"Ksaver 1a/9
11203 Otok"
"Slavica Jonjić"|"Svibovac 3a/1
12879 Mursko Središće"
"Ljubica Liber"|"Streljačka 2b
13044 Drniš"
"Ružica Mihaljević"|"Kamaufova 844
74137 Pazin"
"Ankica Aničić"|"Dverce 5
33756 Crikvenica"
"Mate Radović"|"Šumski prečac 1c
98695 Vrlika"
"Mato Mustač"|"Mesnička 1b/8
40142 Pazin"
"Danica Vidas"|"Medveščak 3c
12564 Vinkovci"
"Lovro Dvojak"|"Pantovčak 8c
58310 Ivanec"
"Lucija Štefanec"|"Visoka 3a/1
58237 Metković"
"Josip Sokol"|"Palmotićeva 21
91697 Vukovar"
"Tatjana Pribanić"|"Remetska 7c
24471 Čakovec"
"Ljubica Lovrić"|"Ksaver 0a
31433 Đurđevac"
"Terezija Živić"|"Donje Prekrižje 8a/7
70088 Bakar"
"Viktor Grgurić"|"Kožarska 0
14407 Senj"
"Tomislav Mišak"|"Palmotićeva 9
03481 Nova Gradiška"
"Anka Rijetković"|"Rockefellerova 9
04174 Crikvenica"
"Dominik Milas"|"Dolac 5b
98152 Vodice"
"Erik Grgurević"|"Novi Goljak 91
35984 Slavonski Brod"
"Siniša Petrović"|"Golubovac 3c
57516 Ilok"
"Jasminka Grgurovac"|"Skalinska 0b/1
80031 Samobor"
"Zdenka Dončević"|"Strossmayerovo šetalište 307
29294 Đakovo"
"Ljubica Marasović"|"Šumski prečac 6c
71829 Trogir"
"Pavao Dizdar"|"Šilobodov put 7a
23215 Slavonski Brod"
"Ruža Ugrinić"|"Srebrnjak 6b
39702 Zagreb"
"Dino Kostelac"|"Jadranska 83
87773 Trogir"
"Kristina Klarin"|"Male 7a
10958 Donji Miholjac"
"Mare Ćorić"|"Pantovčak 8b
43418 Otočac"
"Iva Andrijević"|"Horvatovac 2a
14973 Pregrada"
"Marina Liber"|"Voćarska 057
38399 Cres"
"Denis Križan"|"Pod zidom 5a
43402 Vrbovsko"
"Sara Šipić"|"Splavnica 72
04373 Split"
"Ljubica Maričević"|"Jezuitski trg 8
91084 Šibenik"
"Marko Maletić"|"Golubovac 17
28059 Lepoglava"
"Joso Viljevac"|"Perivoj srpanjskih žrtava 4b
05041 Komiža"
"Alen Vidov"|"Nemetova 2c/8
92069 Vrgorac"
"Dino Lukša"|"Dvoranski prečac 3c/5
13481 Zadar"
"Dragica Andrijević"|"Palmotićeva 5b/8
07470 Donji Miholjac"
"Tatjana Birtić"|"Ilica 0c/7
92757 Ploče"
"Niko Drakulić"|"Vitezovićeva 1b
02416 Otočac"
"Miroslav Guštin"|"Paunovac 4a
63117 Grubišno Polje"
"Lidija Radman"|"Skalinska 9c
16371 Mali Lošinj"
"Ljubica Matahlija"|"Višnjica 0b
74316 Čakovec"
"Filip Vladislavić"|"Jabukovac 601
41519 Mursko Središće"
"Bruno Mužić"|"Bakačeva 768
34014 Đakovo"
"Milka Kalazić"|"Lisinskoga 005
81056 Čabar"
"Iva Peruško"|"Klenovac 3b
63555 Rijeka"
"Albina Polović"|"Paunovac 5c/8
15574 Dugo Selo"
"Lovre Batrnek"|"Šestinski vijenac 8
70600 Kraljevica"
"Ilija Vojković"|"Jurišićeva 3b/9
68134 Kutjevo"
"Mate Fuček"|"Nova Ves 124
97571 Glina"
"Anto Žužić"|"Arnoldova 4a/0
23881 Vrbovec"
"Ljubica Rašić"|"Šestinski vijenac 7c
43742 Novi Vinodolski"
"Božo Kovačević"|"Mirogojska 1c/1
69694 Novska"
"Josipa Šupraha"|"Klanac Grgura Tepečića 3a/1
13603 Kastav"
"Domagoj Živković"|"Jadranska 392
63845 Supetar"
"Dragica Lovrić"|"Medveščak 1b
23869 Buje"
"Milan Rendulić"|"Zamenhofova 97
24282 Ludbreg"
"Duje Vlašić"|"Mihaljevac 7a/2
16276 Čakovec"
"Snježana Lukšić"|"Jurkovićeva 964
80303 Sveta Nedelja"
"Siniša Tolj"|"Remetska 465
44132 Senj"
"Eva Obradović"|"Tkalčićeva 3a
41496 Velika Gorica"
"Ljubica Čizmić"|"Bučarova 8c
27859 Nova Gradiška"
"Ivica Lukinić"|"Male 502
43644 Daruvar"
"Vera Jović"|"Klenovac 8b
82986 Drniš"
"Kristijan Kokorić"|"Višnjica 6c
20239 Đurđevac"
"Mia Rubinić"|"Kraljevec II. 1c/9
47500 Čabar"
"Rudolf Kresonja"|"Lobmayerove 9c
28286 Šibenik"
"Vesna Ljubičić"|"Mihaljevac 8a/7
08377 Vrbovsko"
"Ivana Dizdar"|"Ksaverska 9a
02317 Ogulin"
"Franciska Belošević"|"Donje Prekrižje 02
65709 Ozalj"
"Antonija Žuvela"|"Tuškanac 8a
64125 Pazin"
"Ljubica Čuček"|"Mlinovi 2b
50581 Jastrebarsko"
"Rozalija Aničić"|"Splavnica 5c/2
62146 Sinj"
"Anto Tuškan"|"Pantovčak 566
56212 Ivanec"
"Darko Kirinčić"|"Gradec 0a/9
88637 Dubrovnik"
"Boris Morić"|"Zelenjak 186
61489 Komiža"
"Tomo Lisica"|"Hercegovačka 143
50877 Križevci"
"Kristijan Miše"|"Ljubinkovac 5
67694 Velika Gorica"
"Ilija Bajan"|"Goljačke 966
62872 Vrbovec"
"Anton Milotić"|"Goljak 4
80092 Rovinj"
"Đuro Makovac"|"Zmajevac 10
05779 Samobor"
"Ljubica Šimunović"|"Gradec 0b
11090 Knin"
"Mateja Stipanović"|"Ilica 818
64469 Cres"
"Hana Matošević"|"Draškovićeva 44
16036 Drniš"
"Mirko Šuran"|"Jurjeve 193
30181 Umag"
"Kristijan Čargonja"|"Mletačka 915
73014 Ozalj"
"Josipa Birkić"|"Remetska 6c/3
90396 Sinj"
"Luka Jonjić"|"Paunovac 6
10346 Popovača"
"Mirko Blagaić"|"Horvatovac 5c
27107 Vis"
"Karlo Baksa"|"Bijenička 5
06551 Pregrada"
"Luka Rendulić"|"Gornje Prekrižje 483
33585 Prelog"
"Ljubica Štifanić"|"Ksaverska 085
79606 Novi Marof"
"Viktor Marasović"|"Pantovčak 18
59630 Čazma"
"Lovre Starčević"|"Svibovac 8b
95177 Lepoglava"
"Mia Jemrić"|"Ljubinkovac 2
76968 Novi Marof"
"Ivanka Turk"|"Kraljevec 9a/2
52538 Biograd na Moru"
"Đuro Banko"|"Dubravkin 5
48701 Novska"
"Suzana Kokanović"|"Kožarska 8a
65039 Grubišno Polje"
"Ivana Koščević"|"Dvoranski prečac 9b/0
92258 Crikvenica"
"Dragica Blažičko"|"Rokova 3c/0
02282 Hrvatska Kostajnica"
"Tomo Pešić"|"Bučarova 4c/0
09382 Čazma"
"Lorena Bučanac"|"Wickerhauserova 332
77429 Split"
"Andrija Radolović"|"Tuškanac 3b
52374 Makarska"
"Zlatko Balatinac"|"Klesarski put 8
29880 Bakar"
"Nikola Gregov"|"Streljačka 6c/4
85244 Novigrad"
"Ika Leščić"|"Mala 530
88963 Novska"
"Ilija Šegović"|"Harmica 1b
46678 Zagreb"
"Mirko Jakopović"|"Skalinska 1a/2
95496 Split"
"Ilija Mičetić"|"Zmajevac 2c/6
30159 Ilok"
"Elvis Karamarko"|"Bakačeva 4a/3
88911 Oroslavje"
"Katarina Šupraha"|"Svibovac 8b/3
60578 Krk"
"Lorena Obratov"|"Šalata 3b/7
59029 Vodice"
"Lidija Rastija"|"Ilica 131
42581 Velika Gorica"
