"Albina Babić","Davor 19
73856 Novska" 
"Pavao Filipčić","Gornje Prekrižje 19
44604 Varaždinske Toplice"
"Rudolf Dabo","Mala 7c/6
19032 Virovitica"
"Božo Mofardin","Gupčeva zvijezda 375
11498 Makarska"
"Mario Miklečić","Mesnička 8c/6
28284 Otočac"
"Sanja Lukša","Donje Prekrižje 2b/4
09534 Petrinja"
"Josipa Jurić","Dubravkin 9a
14907 Ilok"
"Biljana Maričević","Šalata 544
71960 Krapina"
"Jozo Hrženjak","Zavojna 358
25408 Pula"
"Ljubica Karlović","Mašekova 0a/2
95356 Križevci"
"Vera Polonijo","Draškovićeva 2c
46011 Trogir"
"Hrvoje Jurčić","Visoka 2a
60608 Popovača"
"Zdenka Barbir","Gornje Prekrižje 44
65652 Sisak"
"Štefanija Borošak","Strossmayerovo šetalište 5a/8
64323 Buje"
"Mile Škara","Grič 4b/5
98730 Virovitica"
"Terezija Meić","Kamenjak 7b
95409 Pakrac"
"Josipa Kirinčić","Bijenička 1a/0
13556 Otočac"
"Davor Blažek","Orlovac 5b
17094 Slunj"
"Nataša Karlović","Svibovac 95
09661 Ludbreg"
"Biljana Sirotić","Ružičnjak 3a
86272 Poreč"
"Nataša Paparić","Ružičnjak 6b/1
22484 Delnice"
"Tomo Kolarec","Medveščak 1b/9
45574 Daruvar"
"Stjepan Vižintin","Vinogradska 6b
73741 Vodice"
"Bruno Dolić","Kamenjak 3c
53674 Delnice"
"Lara Blažek","Dolac 5b
33539 Pazin"
"Ružica Vugec","Mirogojska 51
72369 Stari Grad"
"Josipa Kos","Klesarski put 5c/0
35265 Jastrebarsko"
"Boris Pamić","Jurjeve 0a/2
80130 Slatina"
"Maria Jagarinec","Zmajevac 097
45570 Ivanec"
"Marija Horvatić","Šilobodov put 128
40766 Hrvatska Kostajnica"
"Marko Magić","Draškovićeva 49
03784 Duga Resa"
"Rozalija Drakulić","Orlovac 4c
19592 Buje"
"Andrija Lazar","Mlinarska 4c/1
55140 Ivanić-Grad"
"Roko Krznarić","Mala 373
93723 Klanjec"
"Slavko Žugec","Kamaufova 7a
19007 Krk"
"Matija Erceg","Splavnica 4c/2
95401 Ludbreg"
"Josipa Kupsjak","Slavujevac 2b
32915 Varaždinske Toplice"
"Draga Paradi","Splavnica 1a
04495 Krapina"
"Tea Cestarić","Naumovac 0b/9
27237 Varaždin"
"Roko Jelavić","Golubovac 6b
94345 Korčula"
"Patrik Špoljarić","Paunovac 2c
79764 Kaštela"
"Jelena Požega","Ksaver 2c/1
37005 Slunj"
"Nevenka Balinčić","Vinogradska 1b
14140 Pregrada"
"Đurđica Tomić","Šilobodov put 7b
44358 Jastrebarsko"
"Franjo Šimunović","Medvedgradska 7b
98687 Cres"
"Josipa Dretvić","Ilica 3c
20413 Zaprešić"
"Josipa Marušić","Jurkovićeva 32
86505 Krapina"
"Mihael Leščić","Goljak 8c/1
43595 Vrgorac"
"Danijel Frketić","Mletačka 4b
71329 Trilj"
"Franciska Koški","Krležin gvozd 5c/7
19739 Komiža"
"Veronika Stupalo","Ribnjak 2a
83140 Mali Lošinj"
"Matija Jakovac","Perivoj biskupa Stjepana II. 2
39770 Vinkovci"
"Lorena Turk","Goljačke 5c
64698 Korčula"
"Sara Pintarić","Mihaljevac 5
89376 Novska"
"Maria Dražić","Jurišićeva 3b
46834 Pazin"
"Viktor Stolnik","Vitezovićeva 27
47239 Požega"
"Josipa Mihalić","Zavojna 7a
46607 Krapina"
"Sandra Jakopović","Šumski prečac 7b/3
96980 Čazma"
"Jure Kresonja","Podgaj 324
74063 Donji Miholjac"
"Valentina Jelavić","Kraljevečki ogranak 1c/9
39459 Slatina"
"Mira Požega","Kozarčev vijenac 3b/8
73416 Senj"
"Ljubica Mišak","Slavujevac 3
38573 Split"
"Andrija Viljevac","Bosanska 8
27630 Đurđevac"
"Josip Krznarić","Medvedgradska 5a/2
26164 Velika Gorica"
"Marina Salopek","Mesnička 2b/1
72185 Hvar"
"Ivica Gržinčić","Šilobodov put 439
19659 Umag"
"Josipa Mirt","Čačkovićeva 1b/3
16045 Poreč"
"Matej Skupnjak","Kozarčev vijenac 1c
96499 Beli Manastir"
"Anđa Milotić","Podgaj 0b/5
72775 Pazin"
"Katarina Žugec","Rokova 1a
02042 Novi Vinodolski"
"Hrvoje Tomić","Mlinarska 7a/9
99285 Bakar"
"Marija Baljak","Lobmayerove 496
54779 Velika Gorica"
"Milena Kupsjak","Perivoj biskupa Stjepana II. 5c
13111 Krk"
"Iva Čop","Vrazovo šetalište 0b
84804 Buje"
"Janja Jurić","Mašekova 8a
06115 Požega"
"Mirko Močibob","Kurelčeva 45
68512 Novalja"
"Josipa Smoković","Palmotićeva 62
84785 Krk"
"Božica Gabud","Jabukovac 0b
11107 Kastav"
"Mario Botica","Goljačke 902
60157 Donja Stubica"
"Mateo Ćurić","Mirogojska 5a
58477 Zagreb"
"Mare Vukušić","Dvoranski prečac 1a/2
42387 Korčula"
"Karlo Zgorelec","Mlinske 4a/3
16618 Sinj"
"Zorka Oršoš","Naumovac 1c
15049 Vinkovci"
"Lidija Predovan","Istarska 8c/8
37543 Stari Grad"
"Ankica Kalanjoš","Svibovac 9a
09018 Krk"
"Ljubica Vrhovec","Zvonarnička 3a/7
57823 Slunj"
"Josipa Ćurić","Jurkovićeva 18
50854 Zagreb"
"Ilija Krpan","Donje Prekrižje 5c
38872 Sinj"
"Albina Prpić","Mletačka 4a/3
08114 Zaprešić"
"Mladen Dragojević","Jurišićeva 2c/8
51688 Mursko Središće"
"Milena Šimunić","Zelenjak 1b
08998 Solin"
"Ivo Babić","Grič 9
32685 Ilok"
"Mara Vugdelija","Streljačka 397
64198 Đurđevac"
"Štefica Madunić","Golubovac 0b
22847 Pakrac"
"Franciska Žerjav","Bakačeva 5b
22889 Bjelovar"
"Lucija Ilić","Javorovac 7b
45426 Ivanec"
"Josipa Čop","Bakačeva 8
72422 Oroslavje"
"Zdenka Živić","Dubravkin 1
67652 Vrbovsko"
"Miroslav Beraković","Jabukovac 0b/6
58396 Virovitica"
"Zlatko Pavković","Medvedgradska 3
61059 Trogir"
"Nina Jukić","Petrova 0
02939 Split"
"Jasminka Simić","Kožarska 4c
68666 Čabar"
"Zlatko Branković","Zeleni dol 39
91848 Kaštela"
"Toni Godinić","Dvoranski prečac 91
42083 Supetar"
"Anica Ciganović","Zmajevac 790
11610 Našice"
"Dragica Lisica","Bakačeva 1
90160 Slatina"
"Josipa Šinković","Jurkovićeva 0c/6
57253 Ivanić-Grad"
"Danijel Vozila","Dolac 1c/1
15425 Vrbovsko"
"Mia Ljubić","Podgaj 4b/0
46145 Osijek"
"David Bošnjak","Mihaljevac 0a
12419 Pula"
"Zvonko Pikec","Golubovac 1c
58292 Popovača"
"Božena Jakopović","Nova Ves 9c
85837 Imotski"
"Ivan Stražičić","Kožarska 315
55832 Poreč"
"Mijo Puljiz","Zvonarnička 4b
93594 Kastav"
"Lovre Balatinac","Jurkovićeva 3a/7
10987 Novalja"
"Sara Culi","Visoka 5a
09932 Korčula"
"Joso Baksa","Zeleni dol 196
40807 Kastav"
"Filip Cestarić","Horvatovac 3a/5
65799 Ogulin"
"Lana Dragojević","Remetska 7a/4
35067 Rovinj"
"Martin Čagalj","Mesnička 8
49097 Biograd na Moru"
"Đuro Ivšić","Splavnica 1c
84663 Ivanić-Grad"
"Kristijan Kurtoić","Zmajevac 8a/2
34345 Đakovo"
"Zdenka Komar","Mlinovi 30
57064 Virovitica"
"Eva Gregov","Jurišićeva 8
53413 Trogir"
"Štefica Šargač","Klanac Grgura Tepečića 4b/1
32046 Vodice"
"Petar Galić","Klenovac 99
88532 Rab"
"Joso Jurišić","Bučarova 1b
93446 Slatina"
"Ljubica Mužić","Mihaljevac 6b
74410 Krapina"
"Nataša Šurina","Čačkovićeva 3
45431 Skradin"
"Toni Semialjac","Hercegovačka 3c/5
03937 Ivanić-Grad"
"Marija Dujmović","Grič 0c
19876 Ivanić-Grad"
"Mia Staničić","Šumski prečac 1c
56155 Sveta Nedelja"
"Dragan Ladavac","Dubravkin 4c
16266 Donja Stubica"
"Igor Abičić","Klanac Grgura Tepečića 47
16932 Klanjec"
"Željka Karmelić","Medvedgradska 6a/6
34832 Bakar"
"Sanja Macan","Šestinski vrh 8c
09959 Hrvatska Kostajnica"
"Joso Kosić","Draškovićeva 1c
37916 Rijeka"
"Karla Ugrinić","Jurišićeva 1c/4
45832 Otok"
"Mirko Lukšić","Šumski prečac 2a/0
96419 Krapina"
"Pero Ladavac","Vinogradska 0a/1
42099 Petrinja"
"Anđa Rijetković","Petrova 832
12662 Novigrad"
"Nikola Smoković","Petrova 1a
40449 Kutjevo"
"Nikolina Ergotić","Male 2a
40648 Krk"
"Marta Svetličić","Nemetova 3b
64241 Knin"
"Kata Koški","Wickerhauserova 0a/5
09013 Slavonski Brod"
"Mario Vrban","Klanac Grgura Tepečića 92
90687 Vrbovsko"
"Joso Kunac","Streljačka 7b/7
08516 Zagreb"
"Marko Guštin","Donje Prekrižje 50
03672 Orahovica"
"Dragica Maletić","Kamenjak 00
80707 Labin"
"Željko Borak","Mlinovi 0a
56016 Vrbovsko"
"Dejan Stolnik","Cmrok 2c/4
87898 Kutjevo"
"Mirko Hanžek","Jurjeve 3
24648 Vinkovci"
"Saša Pongrac","Mesnička 7
46708 Rovinj"
"Valter Magić","Rikardove 5c/3
04803 Crikvenica"
"Ankica Kolić","Vončinina 085
81664 Cres"
"Kristijan Andrijević","Magdićeve 0
25146 Ludbreg"
"Joso Penić","Harmica 7b/0
22704 Krk"
"Lidija Strinavić","Donje Prekrižje 9c
51825 Donja Stubica"
"Elvis Križan","Kozarčev vijenac 1a
99080 Trilj"
"Petra Adžijević","Višnjičke 9b/1
78367 Crikvenica"
"Pavao Bolčević","Opatovina 0a/7
28603 Metković"
"Terezija Stanić","Jurjeve 9b/3
23443 Slavonski Brod"
"Zlatko Jurlina","Mlinske 4a
29929 Pag"
"Lucija Cukon","Bučarova 9b
29112 Čabar"
"Jasminka Paparić","Orlovac 8c/1
96835 Ludbreg"
"Mirjana Grgurić","Remetska 1b/1
09116 Ogulin"
"Joso Radman","Vijenac 671
64528 Vodice"
"Jasminka Herceg","Tuškanac 2c/2
88634 Komiža"
"Valter Močibob","Jadranska 9b
39317 Metković"
"Mira Kovaček","Voćarska 0
37920 Korčula"
"Mihael Jovanovac","Opatička 2
37337 Duga Resa"
"Ivica Miklečić","Jabukovac 0c/7
13603 Split"
"Ljubica Šoštarić","Lisinskoga 938
53377 Đakovo"
"Matea Cvetnić","Wickerhauserova 4
93837 Opatija"
"Nika Poropat","Zvonarnička 2a
77922 Novalja"
"Hrvoje Blažičko","Streljačka 5
98978 Pula"
"Jozo Crneković","Streljačka 9c/0
45896 Novska"
"Davor Perak","Paunovac 44
75757 Belišće"
"Kate Liber","Ksaverska 421
27401 Donji Miholjac"
"Tatjana Viljevac","Nemetova 1
56173 Vinkovci"
"Pero Madunić","Jezuitski trg 5b
32602 Delnice"
"Antonio Šoštarić","Zelengaj 40
85056 Petrinja"
"Mateja Ignac","Jurišićeva 7
53646 Vodnjan"
"Kristina Seršić","Jadranska 5a/0
36032 Ilok"
"Nikolina Čotić","Šestinski vijenac 4b
72706 Pakrac"
"Anđa Hećimović","Krvavi most 9a/2
26808 Đurđevac"
"Jozo Dobrić","Jurišićeva 0a
23073 Krapina"
"Rozalija Forjan","Istarska 5a/5
31152 Sveti Ivan Zelina"
"Antun Ušić","Kraljevec 5a/9
28682 Vodice"
"Vera Cindrić","Voćarsko naselje 5a
99143 Ilok"
"Lovre Radočaj","Jurjevska 962
72396 Novi Vinodolski"
"Jana Pavin","Vijenac 23
23187 Orahovica"
"Vera Koški","Jagodnjak 3a/9
47789 Buzet"
"Katica Popović","Gradec 4c
08412 Nova Gradiška"
"Dino Jakovac","Slavujevac 9a
59199 Vodice"
"Josipa Burić","Bijenička 1a/0
54857 Ozalj"
"Jozo Jonjić","Kraljevečki ogranak 1b/8
47477 Novska"
"Aldo Kolić","Mirogojska 1a/9
75740 Novalja"
"Valentina Jukić","Mlinske 9
12175 Donja Stubica"
"Elvis Terlević","Jurjeve 733
51793 Zadar"
"Katica Čović","Ksaverska 994
78357 Popovača"
"Lea Banovac","Kraljevečki ogranak 5
22698 Sisak"
"Barica Rojnić","Male 2a
98658 Beli Manastir"
"Petar Amidžić","Petrova 08
98475 Trilj"
"Hrvoje Ćurić","Javorovac 3c
32205 Pakrac"
"Denis Bašnec","Ružičnjak 1c/7
31773 Prelog"
"Jozo Karamarko","Medvedgradska 2c
31721 Otočac"
"Željko Tonc","Gupčeva zvijezda 9b/7
74856 Kutina"
"Nikola Barušić","Mala 3c/8
90513 Duga Resa"
"Marina Sardelić","Petrova 1b/8
31945 Kastav"
"Lana Oršulić","Perivoj srpanjskih žrtava 216
33290 Opatija"
"Martin Perišić","Draškovićeva 3a
69522 Mursko Središće"
"Mirko Pešić","Magdićeve 5a/0
84555 Valpovo"
"Lovro Polonijo","Jurjeve 1b/9
29095 Nova Gradiška"
"Erik Rebić","Lisinskoga 6c
52300 Makarska"
"Janja Ferenac","Rokova 4c
57321 Đakovo"
"Jozo Petrić","Čačkovićeva 9c/0
05000 Velika Gorica"
"Mira Kocijančić","Jurjevska 4c/4
16965 Rovinj"
"Tomislav Palić","Donje Prekrižje 9a
23988 Kastav"
"Mijo Sakač","Mlinarska 4
32897 Benkovac"
"Đuro Knežević","Medvedgradska 2c/3
42196 Kastav"
"Kristina Stanić","Gupčeva zvijezda 5a
18190 Pakrac"
"Mateo Šverko","Mlinovi 936
58757 Sinj"
"Dario Ivandić","Kamenjak 5a/3
44899 Velika Gorica"
"Ivka Stiperski","Tuškanac 6b/5
24331 Glina"
"Veronika Vaci","Cmrok 1a
41481 Rab"
"Jozo Poljak","Mlinske 735
76394 Buzet"
"Gordana Oršoš","Paunovac 6a/4
10550 Skradin"
"Danijela Žunec","Dvoranski prečac 6
05483 Komiža"
"Jadranka Oršolić","Jezuitski trg 9b/0
71132 Donji Miholjac"
"Snježana Matulić","Svibovac 46
94889 Pleternica"
"Davor Leščić","Jurkovićeva 014
07127 Zagreb"
"Pavao Tomić","Dolac 3
49642 Bjelovar"
"Ankica Tonc","Mletačka 7a
56468 Rijeka"
"Igor Rubeša","Rokov perivoj 5c/3
40589 Komiža"
"Štefanija Hinić","Mirogojska 8a
93520 Petrinja"
"Jozo Stošić","Zmajevac 180
86565 Dubrovnik"
"Zora Katić","Jurjeve 6
05082 Prelog"
"Jakov Ilić","Zeleni dol 45
92315 Našice"
"Laura Mamić","Lisinskoga 4a/8
98490 Delnice"
"Viktor Popović","Gračanska 4c
74682 Novalja"
"Ljiljana Jelavić","Gračanska 2a/4
49357 Kastav"
"Branko Forjan","Istarska 2
91785 Vrbovsko"
"Nevenka Kligl","Golubovac 4c
25325 Vodnjan"
"Mirjana Bradić","Jurišićeva 49
12428 Vrgorac"
"Jele Baričević","Voćarsko naselje 31
40734 Đakovo"
"Jozo Stupalo","Remetska 9c
44152 Dugo Selo"
"Dragica Dukić","Klanac Grgura Tepečića 0
53988 Novigrad"
"Matea Burčul","Bučarova 4b
89742 Ivanić-Grad"
"Ljubica Rahija","Splavnica 8a
00944 Crikvenica"
"Andrija Matulić","Vinogradska 8a
13222 Zabok"
"Željka Birtić","Kurelčeva 0b/4
17753 Labin"
"Anica Norac","Voćarska 171
77253 Vodnjan"
"Antonio Stiperski","Bosanska 2
69458 Prelog"
"Ruža Sinožić","Hercegovačka 4a/6
32416 Đakovo"
"Nika Milas","Vitezovićeva 1
43974 Rab"
"Jozo Zeba","Višnjičke 1b
50122 Novi Vinodolski"
"Ema Blažek","Palmotićeva 5c/0
21282 Velika Gorica"
"Đuro Barić","Podgaj 1c
97092 Crikvenica"
"Elvis Sobota","Bosanska 2a
43239 Orahovica"
"Petar Antolković","Skalinska 5a
74868 Pakrac"
"Valentina Popović","Tošovac 54
44521 Kaštela"
"Vjekoslav Grgić","Opatovina 2c
86591 Vrgorac"
"Mario Matošević","Jurišićeva 716
51122 Dubrovnik"
"Stjepan Balić","Dolac 0b/1
76806 Ozalj"
"Laura Babić","Krležin gvozd 3a/0
27794 Grubišno Polje"
"Jozo Đurašević","Goljačke 8c/2
78265 Pazin"
"Marko Čargonja","Lobmayerove 6a
29867 Kutina"
"Slavko Sabol","Istarska 2c/1
05290 Solin"
"Sara Koščević","Grič 3b/9
01180 Čabar"
"Ružica Škrlin","Šestinski vijenac 61
53954 Delnice"
"Suzana Jagarinec","Bijenička 3
69065 Popovača"
"Antonio Barbieri","Kamenita 6c/8
35737 Dubrovnik"
"Mislav Jurčić","Tuškanac 3b/8
04204 Pazin"
"Nikola Štrbac","Dvoranski prečac 04
58330 Novalja"
"Joško Sokić","Jurjevska 2b/7
27425 Trilj"
"Jozo Šibalić","Harmica 8b/0
77850 Daruvar"
"Manda Ribić","Mirogojska 95
67048 Omiš"
"Tomislav Šegović","Mletačka 5a
94061 Ludbreg"
"Milica Milina","Nemetova 6b
80107 Kutina"
"Slavica Matana","Perivoj srpanjskih žrtava 7a/3
39730 Umag"
"Petar Škrnički","Cmrok 8c
09999 Vrbovec"
"Ana Darojković","Klenovac 0b/5
51469 Novi Marof"
"Domagoj Juretić","Bakačeva 8
03493 Ozalj"
"Janko Nedić","Gradec 7c
34339 Rab"
"Pero Palić","Kraljevec II. 9b/4
43073 Kaštela"
"Joško Barnaba","Davor 5c/7
19408 Ogulin"
"Kata Šelendić","Orlovac 59
93619 Makarska"
"Lovro Vojković","Donje Prekrižje 6a/6
69794 Ivanec"
"Jozo Gudelj","Mlinarska 85
53802 Gospić"
"Andrea Stolnik","Magdićeve 6a
36528 Ogulin"
"Mateja Varga","Mlinovi 8a
76517 Klanjec"
"Mile Papak","Kamenita 4b
34549 Osijek"
"Boris Koščević","Lisinskoga 0b/0
12366 Nin"
"Ivana Antić","Kamenita 8b
39023 Delnice"
"Anto Lukinić","Mihaljevac 7a
92210 Samobor"
"Joško Dragobratović","Mašekova 0a/4
28066 Našice"
"Lana Mimica","Mletačka 6a/8
55760 Popovača"
"Dario Dvojak","Vončinina 2c/7
02722 Crikvenica"
"Nenad Buljan","Vijenac 9a/0
90227 Pag"
"Tea Popović","Čačkovićeva 345
28205 Dugo Selo"
"Antun Dvojak","Orlovac 0c/3
91451 Čakovec"
"Štefica Antić","Mašekova 4
40121 Karlovac"
"Slavica Dominković","Krležin gvozd 1c
75625 Novalja"
"Milica Lešković","Remetska 4a
37736 Novigrad"
"Valter Vuljak","Voćarsko naselje 0b
55068 Buzet"
"Joško Kirinčić","Ribnjak 8a
37187 Umag"
"Luka Mišak","Perivoj srpanjskih žrtava 9
55320 Mali Lošinj"
"Matea Toić","Golubovac 5b
51807 Šibenik"
"Ružica Žuvela","Petrova 0b/7
12834 Umag"
"Sara Poslon","Voćarska 11
81621 Karlovac"
"Jelena Matulin","Šilobodov put 1b/2
14043 Sveta Nedelja"
"Ivka Galić","Lisinskoga 6a/4
23806 Novalja"
"Vesna Palić","Hercegovačka 5c/8
39939 Vrlika"
"Iva Radojković","Nova Ves 6b
05386 Dubrovnik"
"Miroslav Jurić","Rokova 6c/3
81980 Donja Stubica"
"Joško Rebić","Bakačeva 5a
33746 Beli Manastir"
"Božo Hrabar","Srebrnjak 9a
53056 Vrbovsko"
"Romano Antolković","Zmajevac 2c
59189 Varaždin"
"Nika Vladislavić","Kurelčeva 8c/4
77260 Đakovo"
"Ilija Pavković","Vlaška 0b
87648 Orahovica"
"David Jović","Voćarsko naselje 1b/6
70180 Zlatar"
"Mira Gabud","Zmajevac 0
48603 Orahovica"
"Biljana Grgurević","Opatička 2c/8
27183 Korčula"
"Stana Dukić","Palmotićeva 8a
20414 Sveti Ivan Zelina"
"Katarina Ilinović","Klesarski put 8b/5
33720 Duga Resa"
"Joško Vuk","Cmrok 4c/4
53730 Vrlika"
"Anka Majdenić","Petrova 7c
97843 Skradin"
"Nina Boljkovac","Zeleni dol 677
52922 Cres"
"Janja Gregov","Nemetova 6c/1
31962 Novalja"
"Matea Matijević","Ribnjak 9b/7
66967 Umag"
"Draga Ivšić","Klenovac 4b/7
62136 Vrgorac"
"Dora Rajčić","Mirogojska 8c
96885 Delnice"
"Biserka Piljek","Demetrova 7a
97751 Novska"
"Terezija Milina","Palmotićeva 1c/9
68997 Rijeka"
"Mateo Ivandić","Streljačka 6c/6
17857 Novska"
"Julijana Barac","Kapucinske 541
71311 Rab"
"Katarina Mustač","Kamenjak 51
78524 Pula"
"Ane Jurković","Jurišićeva 936
82504 Sveti Ivan Zelina"
"Maja Amanović","Harmica 2a/0
40288 Split"
"Antonio Žerjav","Vitezovićeva 3a/4
27305 Poreč"
"Anka Buršić","Skalinska 6a
46746 Dubrovnik"
"Karla Tepeš","Medveščak 1b
89690 Krk"
"Jozo Lukša","Skalinska 202
71728 Delnice"
"Lucija Blažek","Tošovac 4c
61990 Zaprešić"
"Siniša Botić","Vitezovićeva 2c
98413 Komiža"
"Julijana Boljkovac","Medvedgradska 9a/9
63452 Sinj"
"Vesna Koščević","Wickerhauserova 9c
32931 Pag"
"Stana Škara","Gračanska 5c/2
54515 Metković"
"Bruno Sardelić","Višnjičke 8b
87598 Ivanec"
"Ivka Radolović","Gupčeva zvijezda 1b/0
27560 Opuzen"
"Katica Lorencin","Golubovac 2b/7
16089 Korčula"
"Ivo Herout","Lisinskoga 331
26752 Valpovo"
"Marko Mudronja","Gupčeva zvijezda 511
02646 Ozalj"
"Suzana Pavković","Paunovac 97
06395 Vrbovec"
"Danica Kraljević","Istarska 7
24359 Umag"
"Julijana Cvitan","Tošovac 2b/4
12243 Đurđevac"
"Danica Mikić","Rokov perivoj 6a/4
49946 Kaštela"
"Dražen Sobota","Jadranska 1a
71232 Vodnjan"
"Barica Jakopović","Jezuitski trg 9a/8
30967 Metković"
"Ivo Vučin","Pod zidom 00
65023 Ogulin"
"Domagoj Žunec","Vijenac 3c
58058 Krk"
"Sandra Jović","Ribnjak 128
97114 Mursko Središće"
"Nikša Vincetić","Rokova 9a
21708 Novi Vinodolski"
"Jozo Šipić","Podgaj 7a/2
89432 Đakovo"
"Tomo Borak","Mirogojska 1c
25430 Karlovac"
"Julijana Krajcar","Šestinski vrh 9c
82463 Makarska"
"Marijana Liović","Kurelčeva 9a
73160 Sveta Nedelja"
"Mile Rastija","Vrazovo šetalište 15
78889 Hvar"
"Pero Valentić","Kapucinske 98
23053 Gospić"
"Dragan Baksa","Kamenjak 5c/8
57146 Požega"
"Mirjana Matković","Dubravkin 0
62367 Novi Vinodolski"
"Maja Hrastinski","Golubovac 1b
18623 Nova Gradiška"
"Niko Kevo","Mesnička 57
95137 Koprivnica"
"Mijo Glasnović","Jurjeve 7c/8
42467 Hvar"
"Stjepan Kostelac","Jabukovac 8b/2
84560 Popovača"
"Julijana Maršić","Male 8a
74029 Vrlika"
"Darko Kovaček","Lobmayerove 8b/1
78566 Varaždinske Toplice"
"Filip Carić","Kamenjak 220
39735 Cres"
"Branka Maraš","Novi Goljak 7b
10759 Donji Miholjac"
"Ivica Hinić","Ksaver 5c/2
39927 Ludbreg"
"Dražen Prelec","Paunovac 1b/4
99400 Split"
"Ankica Abramović","Podgaj 8c
38262 Hvar"
"Jana Blažičko","Bakačeva 3b
83942 Senj"
"Martin Horvatek","Svibovac 9
01564 Pag"
"Ane Šibalić","Podgaj 5a/8
42212 Jastrebarsko"
"Julijana Pavin","Mlinske 562
90388 Delnice"
"Ljubica Boljkovac","Zelenjak 021
73869 Slunj"
"Valentina Valjetić","Nova Ves 9b/9
02747 Novalja"
"Ankica Turčinov","Gupčeva zvijezda 7b
98670 Vinkovci"
"Domagoj Barbir","Golubovac 3
55912 Crikvenica"
"Milka Stipanović","Gradec 9c
81393 Sinj"
"Terezija Stupalo","Draškovićeva 3c
53214 Zabok"
"Lana Vuković","Voćarsko naselje 4a
91135 Opuzen"
"Renata Tuškan","Lisinskoga 6c/0
86382 Petrinja"
"Karla Mikić","Vijenac 9
60625 Križevci"
"Julijana Rubinić","Mletačka 890
36832 Makarska"
"Rozalija Ignac","Strossmayerovo šetalište 1c/5
23574 Kutina"
"Nikša Brajković","Lisinskoga 2a
77335 Popovača"
"Mira Sokić","Vlaška 5
16349 Popovača"
"Milan Andrašek","Opatovina 417
48287 Novigrad"
"Duje Pandurić","Šalata 26
54575 Crikvenica"
"Štefanija Maretić","Zamenhofove 3c/2
06860 Solin"
"Niko Cvitan","Mašekova 4c
91912 Vodice"
"Ema Jukić","Jezuitski trg 9a
39428 Popovača"
"Petra Čargonja","Palmotićeva 8
67666 Pakrac"
"Julijana Stančin","Kraljevečki ogranak 6c/3
26062 Čabar"
"Luka Staničić","Draškovićeva 8b/9
82047 Gospić"
"Sanja Vranić","Ksaver 6b
61975 Pakrac"
"Dragica Mišković","Jadranska 5b
61108 Senj"
"Nikolina Macan","Mletačka 4c/7
44519 Dubrovnik"
"Zvonko Odobašić","Rikardove 3b
74179 Rab"
"Jana Šurina","Zamenhofove 1b
40623 Osijek"
"Stana Banko","Glogovac 4c/2
92488 Klanjec"
"Albina Perčić","Mesnička 662
03085 Samobor"
"Dalibor Ozimec","Šumski prečac 5b/4
04177 Vukovar"
"Juraj Barković","Zeleni dol 1
43102 Buzet"
"Josip Tudor","Gupčeva zvijezda 1b/5
77052 Kutina"
"Anton Barbieri","Mala 8b/3
74070 Valpovo"
"Roko Jovanović","Kraljevec II. 1a/5
53847 Glina"
"Katica Čuljak","Jurjevska 817
18851 Donja Stubica"
"Mate Hren","Višnjica 739
68450 Našice"
"Zdravko Vojković","Zamenhofova 0a
99301 Ivanec"
"Dragutin Mustapić","Male 00
55676 Duga Resa"
"Veronika Baničević","Male 5b/3
80186 Donji Miholjac"
"Franjo Štrbac","Hercegovačka 4
16525 Drniš"
"Juraj Begonja","Vijenac 1a
50533 Samobor"
"Mato Buršić","Mlinske 5b
38603 Pag"
"Biljana Jovanovac","Magdićeve 2c
86820 Virovitica"
"Ivanka Pešić","Rockefellerova 6b
97568 Lipik"
"Sanja Kligl","Donje Prekrižje 98
75566 Koprivnica"
"Niko Živić","Istarska 81
58384 Delnice"
"Romano Antić","Grič 1
04761 Drniš"
"Kata Glavor","Slavujevac 5b
40220 Trogir"
"Antonio Čiš","Goljak 0a
73103 Dubrovnik"
"Dražen Lucić","Jadranska 81
80849 Zaprešić"
"Juraj Božanić","Jurjevska 7c
96467 Pleternica"
"Rozalija Kralj","Gradec 0c
46009 Đakovo"
"Vera Abramović","Horvatovac 3c/5
82431 Zlatar"
"Đuro Rumora","Podgaj 134
73685 Otočac"
"Stjepan Hrabar","Demetrova 9a/0
74783 Korčula"
"Lidija Trbović","Šalata 6b
60285 Vis"
"Filip Moscarda","Paunovac 3
06235 Popovača"
"Joško Peroš","Zelenjak 4c
00241 Skradin"
"Milena Papak","Klesarski put 5c/2
26558 Zlatar"
"Anka Škara","Lobmayerove 8b
54109 Nin"
"Juraj Filipović","Svibovac 5
99190 Vrlika"
"Dragica Turina","Zmajevac 3a/0
88332 Rijeka"
"Sanja Ribić","Perivoj biskupa Stjepana II. 4b/7
26236 Zlatar"
"Valter Bošnjaković","Cmrok 5c
51640 Lipik"
"Zlatko Bernardić","Perivoj biskupa Stjepana II. 8a/6
49963 Buje"
"Lana Čulina","Šumski prečac 57
93192 Korčula"
"Anto Eršek","Lisinskoga 1c
58684 Krapina"
"Jadranka Oršulić","Goljačke 6c
49193 Prelog"
"Jele Sokol","Donje Prekrižje 9c
31227 Buje"
"Josipa Banko","Opatovina 166
06272 Trogir"
"Juraj Gredičak","Istarska 9a
47064 Biograd na Moru"
"Snježana Mičetić","Opatovina 2b/7
84017 Ozalj"
