"Alain Balmat"|"chemin Badan 41
1834 Robadey" 
"Claudine Barillon"|"rue Chevrolet
1299 Polla"
"Jean-Pierre Bovet"|"chemin Bochud
7814 Müller-Dessus"
"Lisa Mottiez"|"rue Julie Balmat
3186 Dubey"
"Maxime Corbat"|"chemin Jean-Pierre Barillon 27
2407 Courvoisier"
"Jessica Grosjean"|"chemin Matile 13
4020 Piccand-sur-Galland"
"Sophie Délèze"|"avenue Muriset 574
5207 Grand"
"David Courvoisier"|"avenue Yvette Chevrolet 27
6277 Saint Deshusses"
"Véronique Wicht"|"rue Yvette Besse 55
5867 Mercier"
"Arthur Bonvini"|"avenue Monnard 71
2621 Thorens-Dessus"
"Thierry Aeby-Marti"|"avenue de Romanens 95
1859 Broquet"
"Alice Mottiez"|"avenue de Georges 698
5239 Broquet-sur-Mercier"
"Sébastien Aeby"|"boulevard Nolan Alber 79
8467 Barbey"
"Lisa Muriset"|"avenue de Cosandey 1
7500 Grojean-près-Wicht"
"Philippe Boichat"|"chemin de Boillat 40
7464 Bonvini"
"Eva Montandon"|"rue Piccand 87
3492 Droz"
"Théo Quartier"|"avenue Bonvini 32
4144 Nüsslin (VD)"
"Matteo Monnard"|"rue Aebi 24
9139 Corboz-sur-Carron"
"Lara Fonjallaz-Beurret"|"boulevard Matile 7
8971 Saudan-près-Barillon"
"Nelly Uldry"|"boulevard de Brahier 6
5103 Vienne"
"Lisa Corboz"|"rue Babey 24
2092 Mayor-sur-Cosandey"
"Théo Rapin"|"avenue de Robert 5
5635 Muriset"
"Gilbert Romanens"|"avenue Vallélian
1712 Mottet"
"Lisa Rapin"|"avenue Françoise Beguin 55
1644 Treboux (GR)"
"Kevin Vonlanthen"|"rue de Conrad 84
2330 Evéquoz (GR)"
"Jeanne Grosjean"|"chemin Bochud 11
4830 Grosjean am Rhein"
"Laura Botteron-Carraux"|"rue Treboux 78
2815 Rosselat"
"Elisa Comman"|"rue Marianne Besençon 993
2592 Comman-près-Mayor"
"Hugo Rapin"|"chemin Babey 64
1872 Comte-Dessous"
"Matteo Rapin"|"avenue Liliane Meyer 29
5367 Mercier"
"Thomas Gilliéron"|"rue de Bonvin 8
5273 Masseron-près-Grosjean"
"Théo Vuille"|"rue de Nusslé 9
4318 San Conrad"
"Christine Menthonnex"|"avenue Candaux 61
1782 Sainte Duroux"
"Lisa Romanens"|"rue de Piccand 60
6803 Brandt-sur-Cretton"
"Nathan Vienne"|"chemin de Grojean 16
7834 OberVallélian"
"Frédéric Cattin"|"rue de Besançon 119
1418 Chevalley (SH)"
"Lisa Besse-Chevrolet"|"avenue Sandrine Bernasconi 69
7938 Matile"
"Alice Grosjean"|"rue de Balmat
3359 Pachoud-sur-Brandt"
"Nathan Wicht"|"rue Jean-Claude Treboux 2
8070 Boichat-sur-Barbey"
"Maria Fonjallaz"|"chemin Duvanel 9
6099 Thorens-la-Ville"
"Lucas Rapraz"|"rue Clara Deshusses 9
3241 Nusslé"
"Marcel Théraulaz"|"chemin Charpié 22
7248 Vonlanthen"
"Ana Bahon"|"boulevard Droz
1310 Delèze"
"Louis Boechat-Vonlanthen"|"boulevard Marguerite Dubey 83
8447 Carron"
"Marcel Marti"|"boulevard Piccand 775
1142 Besse"
"Germaine Robadey"|"chemin Céline Comte 96
3818 Mercier (BL)"
"Elisabeth Cretton"|"chemin Berberat 3
4390 Georges am Albis"
"Yvette Deladoëy"|"chemin Claude Beuchat 48
2031 Galland"
"Eric Beguin"|"avenue Droz 60
1429 Chopard"
"Eric Barillon"|"boulevard de Droz 12
2766 Carraux-près-Paschoud"
"Céline Marti"|"avenue de Courvoisier 758
6762 Alber"
"Léo Mottet"|"boulevard Mottiez
6529 Peitrequin-sur-Evéquoz"
"Théo Wicht"|"rue Sandoz 53
7491 Monney-près-Morand"
"Louis Cossy-Marti"|"boulevard Vallélian 2
5267 Curdy am See"
"Olivier Duvanel"|"avenue Monique Théraulaz 3
1642 Duroux-Dessus"
"José Bonvini"|"boulevard Rossellat 31
9718 Wicht am See"
"David Besençon"|"chemin Bourquin 862
4324 Saint Besençon"
"Robert Badan-Vonlanthen"|"chemin de Sandoz 126
9993 Robert-la-Ville"
"Gabriel Corboz"|"rue Bouvier 8
5001 Montandon an der Aare"
"Zoé Paschoud"|"rue Bruno Bernasconi 31
6713 Galland-Dessus"
"Ethan Aeby"|"boulevard Berberat 7
5091 Chopard"
"Alice Béguelin"|"chemin Chloé Rossellat
1801 Nüsslin (BE)"
"Philippe Pasquier"|"avenue Barillon 5
8399 Duroux am See"
"Louis Crivelli"|"avenue Lucie Grojean 48
8688 Coigny an der Aare"
"Anne Délèze"|"chemin Thierry Monnet
7025 Diesbach"
"François Besse"|"rue Monnet 3
6068 San Bahon"
"Josiane Bahon"|"chemin de Nüsslin 928
5376 San Morand"
"Laurent Godet"|"rue Maria Rossellat
3976 Vallélian"
"Odette Treboux"|"boulevard de Chevrolet 21
8971 Monney"
"David Berberat"|"avenue de Corpataux 6
1799 Carraud am Albis"
"Mathilde Rey"|"rue Piccand 48
6603 OberGubéran"
"Maxime Beuret"|"avenue de Comment 28
3557 Rosselet am See"
"Christophe Vermeil"|"chemin Chaudet 15
2390 Brahier-des-Bois"
"Louis Curdy-Barillon"|"boulevard de Cornuz 5
3161 Duroux-la-Ville"
"Matteo Cosandey"|"boulevard de Jacot-Descombes 89
3333 Uldry"
"Hélène Curdy-Théraulaz"|"rue Charpié
4338 de Dardel-près-Paschoud"
"Charlotte Boechat"|"rue Comman 453
3322 Julliard"
"Vincent Blanc"|"rue Müller 3
4601 Crivelli-Dessous"
"Danielle Bochud"|"chemin de Badel 3
3901 Monnet"
"Céline Grosjean"|"rue Pierre Marti 9
8328 UnterAeby"
"Liliane Montandon"|"rue de Galland 86
2763 Menthonnex-près-Boichat"
"Henri Bugnon-Grosjean"|"rue Nathan Vermeil 239
2526 Chatriand"
"Maurice Saudan"|"chemin de Bonvini 80
9667 Bochud-près-Alber"
"Louis Georges"|"rue Simone Masseron 73
4727 Vermeil-près-Deladoëy"
"Michel Paccot-Meyer"|"rue Mathilde Mayor
3854 Charpié"
"Paul Romanens"|"rue Bonvin 27
7831 Joly-sur-Corboz"
"Albert Gubéran"|"avenue Rosselet 9
3393 Mottiez-Dessous"
"Raymond Peitrequin"|"chemin Sansonnens 9
8191 Alber-sur-Botteron"
"Claude Jacot-Descombes"|"chemin Vienne 47
6949 Polla (VD)"
"Josiane Marty"|"avenue Guillaume Cossy
6993 Bochud (NE)"
"Simone Bourquin"|"rue de Julliard 5
4552 Badel"
"Yvette Brandt"|"chemin Véronique Aeby 97
9752 Tinguely"
"Clara Théraulaz"|"chemin Vuille 9
8274 Cosandey (AI)"
"Louis Marti"|"chemin de Besençon 464
9919 Menthonnex-Dessus"
"Zoé Deladoëy"|"chemin de Cosendey 9
5937 Délèze-la-Ville"
"Matteo Mayor"|"rue Polla
1121 UnterCattin"
"Claude Brandt"|"rue José Broquet 925
5911 Aebi-sur-Bahon"
"Alicia Jacot-Descombes"|"rue de Cornuz 77
4884 Masseron am Albis"
"Manuel Maire"|"chemin Morard 75
7589 Peitrequin-sur-Cattin"
"Marguerite Comment"|"chemin Claudine Grosjean 32
1294 Humbert-Dessous"
"Vincent Broquet"|"chemin Jean-Pierre Pellet 53
1408 Cosendey"
"Pierre Chapuis"|"rue de Sandoz 95
8704 Bavaud-les-Bains"
"Hélène Besençon"|"avenue de Courvoisier 3
3671 Rey"
"Louis Morand"|"chemin Suzanne Montandon
8465 Barbey"
"Antonio Besençon"|"rue Carraux 362
1608 Besse am Albis"
"Yvette Paschoud-Sansonnens"|"boulevard Bernasconi 74
4719 Bochud"
"Nathan Müller"|"boulevard Mayor 56
5149 Julliard-sur-Chatriand"
"Bernard Coigny"|"chemin Francillon 16
5852 Bernasconi"
"Robert Quartier"|"chemin Patrick Beurret 957
4836 Jacot-Guillarmod-la-Ville"
"Charlotte Brahier"|"rue de Galland 30
2577 Mercier"
"Liliane Montandon"|"boulevard de Aebi 209
3329 Bernasconi (FR)"
"Robert Cossy"|"boulevard Julie Beuret 16
5531 Chappuis"
"Michael Cosandey"|"avenue de Besse 93
2370 Bahon-près-Pachoud"
"Louis Paschoud"|"rue de Beuret 12
1279 Grojean"
"Gabriel Delèze"|"avenue Niquille 1
3452 Saint Thorens"
"Chantal Curdy-Quartier"|"boulevard Anne Pachoud 50
8912 Balmat-la-Ville"
"Stéphanie Treboux-Gillièron"|"rue Beuchat 70
4101 Monnet"
"Sandrine Boillat"|"avenue Antonio Peitrequin 76
8099 Sandoz-des-Bois"
"Ethan Boillat"|"rue Rappaz
5593 Chevrolet"
"Paul Bourquard"|"rue de Cossy 84
6046 Beurret am See"
"Théo Maire-Jacot-Guillarmod"|"chemin de Barman
3336 Bouvier am Rhein"
"Claude Comment"|"rue de Sandoz 237
1532 Chaudet-Dessous"
"Vincent Godet"|"rue Simone Béguelin
2888 Boichat"
"Louis Robert-Beuret"|"boulevard Georges Conrad 49
7571 Fonjallaz-sur-Rosselat"
"Simone Carraux"|"chemin Délèze
4027 Deshusses"
"David Besençon"|"chemin de Deladoëy 96
1980 Menthonnex"
"Lucas Brandt"|"boulevard de Corbat 41
3443 Chaudet am Rhein"
"Matteo Bourquin"|"boulevard Gérard Bovet 47
1159 Boichat"
"Françoise Julliard"|"rue de Bovet 9
9048 Robert"
"Mathilde Courvoisier"|"boulevard Caroline Corboz 7
3896 Nüsslin-près-Pasquier"
"Corinne Aebi"|"rue Grand 609
1336 Botteron am Albis"
"Julie Isella"|"avenue Pascal Aeby 65
9881 Saint Isella"
"Samuel Jomini"|"chemin Lara Paccot
9894 Pachoud am Rhein"
"Louis Romanens-Chevrolet"|"rue Camille Saudan 10
9125 Chatriant-la-Ville"
"Germaine Bourquard"|"chemin de Rapraz
8992 Evéquoz an der Aare"
"Marcel Vallélian"|"chemin Vienne 7
5600 Vienne am Albis"
"Valérie Grojean"|"rue Lara Jacot-Guillarmod
2570 Monnet-sur-Sandoz"
"Nicolas Muriset"|"rue de Müller 605
7692 Montandon"
"Noah Vonlanthen"|"rue de Monney 33
5325 Saudan-sur-Besançon"
"Valérie Bochud"|"avenue Jacot-Descombes 7
1115 Matile-Dessous"
"Charles Gubéran"|"rue de Chopard 47
9324 Montandon"
"Nicolas Deshusses"|"rue Nathalie Beuchat 58
9674 Sainte Boillat"
"Jessica Mercier"|"rue Grosjean 69
9956 Morard"
"Louis Rossellat"|"chemin Guillaume Cousin 717
3231 Sainte Vallélian"
"Anna Bernasconi"|"boulevard de Quartier
3740 Rosselat-sur-Vermeil"
"Raymond Besse"|"rue Camille Besançon 47
4821 Boillat"
"Laurent Francillon"|"avenue Lisa Bouvier 35
5015 Barillon-Dessus"
"Ana Monnard"|"chemin Laurent Niquille 5
3215 Pachoud"
"Germaine Privet"|"avenue Vienne 8
3401 Vermeil (VD)"
"Noah Thorens"|"chemin Botteron 30
4068 Bonvin"
"Chloé Carraux"|"chemin Sandoz 1
9100 Niquille-près-Gillièron"
"Thierry Georges"|"avenue Laura Nüsslin 467
1260 OberPasquier"
"Bernard Cousin"|"avenue de Corpataux
3737 Cornut"
"Louis Sansonnens"|"rue Deladoëy
7853 Polla"
"Pascal Cosandey"|"avenue Coigny
7527 Boillat"
"Guillaume Sandoz"|"rue de Thorens
6789 Jacot-Descombes"
"Manon Comte"|"rue de Balmat 7
7148 Barillon-sur-Barillon"
"Ana Paccot"|"avenue Jessica Thorens 31
6719 San Rey"
"Jean-Pierre Nüsslin"|"rue Ethan Grojean 86
7639 Müller"
"Valérie Joly"|"chemin Grand 47
9954 Boillat"
"Daniel Jacot-Guillarmod"|"rue Matile 2
6469 Isella-près-Cornut"
"Georges Rapraz"|"chemin Joly
9283 Bugnon"
"Jean-Claude Béguelin"|"boulevard de Paschoud
7698 Corboz"
"Louis Saudan"|"boulevard Robert Barillon 35
2426 Saint Deshusses"
"Vincent Bujard"|"boulevard Isella 86
7291 Galland"
"Elisabeth Nüsslin"|"rue Nicole Treboux 1
6807 Gillièron-la-Ville"
"Aurélie Rapraz"|"rue de Deladoëy 9
5316 Bonvin"
"Madeleine Evéquoz"|"avenue Kevin Nüsslin 9
7576 Barbey am Rhein"
"Manon Chopard"|"rue de Vermeil 377
5561 Bernasconi-sur-Rey"
"José Cosandey"|"boulevard de Bavaud 97
4219 Chenaux-près-Gilliéron"
"Manon Dubey"|"chemin de Botteron 34
1278 Jacot-Guillarmod"
"René Grosjean"|"chemin de Conrad
2426 Rey-près-Rapraz"
"Frédéric Cossy"|"avenue Beuchat
4478 Privet-les-Bains"
"Louis Thorens"|"rue Duvanel 593
3447 Boichat"
"Vincent Crevoisier"|"chemin de Coigny 1
2435 Bugnon-Dessous"
"Roger Comman-Coigny"|"boulevard Musy 2
7995 Joly-près-Sansonnens"
"Alicia Coigny"|"rue Masseron
6544 de Dardel-sur-Privet"
"Julie Isella"|"boulevard Sandra Barman 198
4457 Chevalley"
"Camille Georges"|"avenue de Carraud 8
3688 Corpataux-les-Bains"
"Eva Mayor"|"rue de Romanens 6
7273 UnterVuille"
"Léa Meyer-Niquille"|"avenue Paul Pachoud 8
3780 Corbat-sur-Beuchat"
"Arthur Rosselat"|"rue de Alber 33
7066 Privet"
"Olivier Monnard"|"avenue de Maire 36
3278 Corbat"
"Louis Vuille"|"boulevard Lisa Chatriant 936
8920 Grosjean-la-Ville"
"David de Dardel"|"rue Sandrine Carraux 2
4017 Balmat-les-Bains"
"Georgette Bouvier"|"avenue Sandrine Grosjean 36
4062 Bourquard am See"
"Jessica Mottiez"|"rue Michael Galland 248
4156 Blanc am See"
"Daniel Monnard"|"rue Comte 985
3462 Deladoëy"
"Nathan Chenaux"|"rue de Dubey 7
9046 Bahon am See"
"Corinne Rossellat"|"boulevard de Polla
7414 Saint Chevrolet"
"Emilie Bochud"|"avenue Vienne 22
3056 Niquille-près-Candaux"
"Danielle Barbey"|"avenue Julliard 12
2257 Chaudet"
"Sandra Babey"|"rue Jessica Pellet
7104 Crevoisier (BL)"
"Loïc Badel"|"chemin Maxime Grojean 27
9721 Grojean-Dessous"
"François Mottet"|"rue Anna Bahon 92
2206 Cousin"
"Yvette Vermeil-Boichat"|"rue de Chappuis
9508 Vallélian-Dessous"
"Guillaume Carraud"|"rue de Carron
2562 Uldry"
"Robert Bochud"|"boulevard Alice Brahier 1
4044 Comte-près-Droz"
"Manuel Mercier"|"avenue Marcelle Chenaux
2969 Aeby"
"Nolan Monney"|"boulevard Matile
6054 Maire-près-Paschoud"
"Henri Muriset"|"avenue Denise Cornuz 7
7796 Müller-sur-Bovet"
"Patricia Béguelin"|"avenue Gilbert Jacot-Descombes 3
2681 Peitrequin-les-Bains"
"Frédéric Cornuz"|"boulevard Tinguely 410
5555 Sandoz-Dessous"
"Loïc Badel"|"rue Laetitia Duroux
6395 Chenaux"
"Georgette Vermeil"|"boulevard Michel Paccot
7454 Monnet"
"Ethan Cousin"|"boulevard de Broquet 21
2083 Vermeil"
"Nicolas Rapraz"|"avenue de Nüsslin 95
3201 Vermeil-près-Meyer"
"Alicia Cosendey"|"rue Chevrolet 3
5703 Cretton"
"Bruno Humbert"|"chemin Sara Muriset
5863 Privet am See"
"Michel Chevalley"|"avenue Stéphanie Chevrolet 7
5385 Droz"
"Eva Besençon"|"rue de Rapraz 82
3699 Délèze am Albis"
"Thomas Berberat"|"avenue de Carron 26
2714 Jacot-Guillarmod-sur-Barillon"
"Claude Jomini"|"avenue de Badan
8232 Fonjallaz"
"Loïc Bahon"|"chemin Peitrequin
1483 Romanens"
"Odette Rapraz"|"rue de Jomini
4063 Comment"
"Manon Monnard"|"rue Muriset 660
3886 Boichat-près-Barman"
"Françoise Beuret"|"chemin Besançon 4
8370 Morand am Albis"
"Manon Monnet"|"rue Rapraz 82
5147 Treboux"
"Laura Aebi"|"boulevard Bavaud 67
9313 Matile"
"Alexandre Robert"|"rue Sandrine Badan 63
4444 San Conrad"
"Julien Chaudet-Jomini"|"rue de Wicht 87
4583 Courvoisier (JU)"
"Caroline Robadey"|"avenue Montandon 20
7657 Rapraz"
"Manuel Béguelin"|"rue de Bugnon 89
6008 Dubey-près-Délèze"
"Loïc Beguin"|"chemin Peitrequin
3138 Duvanel"
"Françoise Humbert"|"chemin Josiane Muriset 9
3263 Bernasconi"
"André Droz"|"chemin de Julliard
3549 Marty"
"Jean Delèze"|"rue Noah Montandon 166
3464 Besse-sur-Béguelin"
"Alicia Deshusses"|"chemin José Fonjallaz 4
9762 de Dardel (ZH)"
"Bernard Gilliéron"|"avenue Pachoud 322
6781 Sainte Duvanel"
"Jean Uldry-Vermeil"|"boulevard René Jomini 42
4481 Uldry-Dessus"
"Fabienne Comman"|"avenue Monnet 630
1175 Vonlanthen an der Aare"
"Pierre Badel"|"boulevard Pascal Julliard 4
5988 Vienne-près-Piccand"
"Danielle Brandt"|"rue Quartier 89
9911 Nusslé-sur-Besse"
"Loïc Besse"|"rue Besençon 11
8455 Brandt"
"André Boichat-Monnet"|"chemin Francillon 7
8508 Tinguely"
"Madeleine Duroux"|"chemin Broquet 579
4914 Vallélian (BS)"
"Jean-Claude Monnard"|"boulevard Arthur Monnet 2
7306 Cattin-sur-Marty"
"Stéphane Beguin"|"avenue Berberat 9
5846 Babey-près-Musy"
"Emma Vuille"|"rue Délèze 2
2946 Babey"
"Liliane Bavaud"|"rue Laurence Béguelin 61
6279 Bahon (GR)"
"Gabriel Quartier"|"chemin Laetitia Isella
7703 Beuchat"
"Catherine Bouvier-Gubéran"|"avenue Curdy 689
1333 Corboz"
"Florian Monnet-Monney"|"rue Vuille 78
8664 Vallélian (TG)"
"Loïc Bonvini"|"rue Noah Monnet 20
1073 Corboz"
"Eva Bovet"|"rue Vermeil 9
6219 Carraud-près-Vonlanthen"
"David Besançon"|"boulevard Jacqueline Bovet 9
9579 San Treboux"
"Pierre Comte"|"avenue de Delèze 74
4862 Cornuz-Dessous"
"Jeanne Monnet-Grojean"|"avenue de Curdy
8082 Blanc"
"Claudine Bonvini"|"rue Corinne Mercier 30
8311 Tinguely"
"Sara Cosendey"|"chemin Lara Bavaud 36
3772 Droz am See"
"André Béguelin"|"chemin Sarah Bernasconi 28
4130 Menthonnex an der Aare"
"Denise Beurret"|"rue Véronique Rossellat
8406 Morand"
"Mathieu Vermeil"|"boulevard Valérie Besençon 24
6641 Monnard-la-Ville"
"Loïc Carraud"|"rue Simone Monney 71
8478 San Barillon"
"José Broquet-Paschoud"|"avenue Bernard Gubéran 93
5185 OberBéguelin"
"Christine Beurret"|"rue de Wicht 38
1392 Sainte Romanens"
"Lucas Morard"|"avenue de Alber
1845 Aeby-Dessous"
"André Chenaux"|"rue de Babey 66
3893 Georges-les-Bains"
"Zoé Montandon"|"rue de Chaudet 93
2674 Vonlanthen"
"Michel Bonvin-Dubey"|"rue de Brahier 75
2345 Cossy"
"Jean-Pierre Paschoud"|"chemin de Délèze 64
4674 Droz"
"Camille Robert"|"rue Nüsslin 51
7251 Badan"
"Marcel Courvoisier-Droz"|"boulevard de Bonvini 18
4569 Conrad"
"Loïc Chapuis"|"boulevard de Wicht
7495 Maire"
"Mathieu Carraux"|"rue de Beuret
1966 Carron an der Aare"
"Matteo Candaux"|"chemin de Polla 52
2737 Müller"
"Simone Robert"|"avenue Monnet 63
3181 Carraud"
"Françoise Beurret"|"rue Musy 90
7620 Comte-les-Bains"
"Odette Chopard"|"rue de Peitrequin 344
2748 Mottiez"
"Liliane Polla"|"rue de Chapuis 16
8864 Vermeil"
"Maurice Saudan"|"boulevard de Müller
6065 OberBesençon"
"Nicole Dubey"|"rue Arthur Marty
4764 Alber"
"Laurent Monnet"|"rue de Mayor 93
1828 Pachoud"
"Loïc Charpié"|"boulevard Jacques Barbey 153
4671 Paschoud am Rhein"
"Léa Sandoz-Marty"|"chemin Maurice Vuille 43
9779 Chappuis-la-Ville"
"Nolan Bourquard"|"rue de Jomini
7756 Courvoisier-les-Bains"
"Hélène Botteron-Broquet"|"rue de Berberat 332
9837 Chappuis"
"Catherine Bouvier"|"rue Guillaume Bugnon 3
5511 Curdy-des-Bois"
"Arthur Rappaz"|"avenue Sébastien Martin 45
5214 Robert-Dessous"
"Camille Joly"|"rue Paul Duroux 54
9704 San Bochud"
"Elodie Bugnon"|"chemin Jacot-Guillarmod 6
6438 Bonvini am Rhein"
"Nathalie Delèze-Grand"|"rue de Aebi
8790 Comte (BL)"
"Jean Rey"|"rue Jacques Paccot
8883 Beuret (ZG)"
"Loïc Chenaux"|"avenue Müller 16
2653 Carraux-près-Vallélian"
"Daniel Beguin"|"boulevard de Crevoisier
3425 Pachoud-la-Ville"
"Ethan Cretton"|"rue de Meyer 11
2724 Monnet (ZH)"
"Gérard Jacot-Guillarmod"|"rue David Coigny 45
6962 Wicht-sur-Mottet"
"Sébastien Montandon"|"rue Jonathan Jomini 3
7967 Robert"
"Sarah Cosendey"|"chemin de Pachoud 98
6820 Besençon"
"Maxime Comment"|"avenue Georges Matile
9522 Vonlanthen"
"Laurent Boichat"|"boulevard de Cousin 39
2286 Bochud-Dessus"
"Gérard Bugnon"|"avenue Béguelin
9785 Treboux"
"René Monnet"|"avenue de Niquille 72
5453 Muriset-près-Rapin"
"Loïc Chenaux"|"rue de Conrad
7841 Alber-sur-Cossy"
"Maria Julliard-Evéquoz"|"rue Alber 17
1694 Dubey"
"Philippe Curdy-Bovet"|"rue de Boillat 890
1162 Godet an der Aare"
"Elisa Julliard"|"rue de Besse 51
7069 Deladoëy"
"Nathan Francillon"|"avenue de Maire 397
7505 Carraud-Dessous"
"Maurice Joye"|"rue Morard 509
1667 Chapuis-Dessus"
"Georgette Comment"|"chemin Mathieu Sansonnens
6577 Fonjallaz"
"Marianne Meyer"|"chemin de Godet 5
3110 Cosendey (AG)"
"Corinne Diesbach"|"chemin Treboux 5
6927 Carraux"
"Aurélie Blanc-Chapuis"|"avenue Eric Monnet
4018 Muriset-la-Ville"
"Loïc Chopard-Babey"|"avenue Deshusses 8
8655 Morand-près-Isella"
"Noah Evéquoz"|"rue Lucas Droz 12
2846 Bonvin-près-Coigny"
"Christian Delèze"|"rue de Chappuis 5
4158 Paccot"
"Charlotte Coigny"|"boulevard Müller 502
9246 Morard-près-Saudan"
"Pierre Mayor"|"rue Julliard
8906 Paschoud"
"Théo Menthonnex"|"avenue de Curdy 4
1321 Sainte Crivelli"
"Bruno Polla"|"rue de Treboux 57
7884 Menthonnex-près-Chatriand"
"Julien Joye"|"chemin Barbey 64
8375 Barbey"
"Charlotte Mercier"|"avenue Christian Boillat
3431 OberBéguelin"
"Marcelle Maire"|"rue Alicia Beurret 65
5523 Godet"
"Loïc Cornut"|"chemin Thomas Polla 37
2722 Dubey-sur-Robadey"
"Louis Masseron"|"boulevard Robadey 15
9610 Quartier-Dessus"
"Alain Droz"|"avenue de Délèze
9062 Vermeil"
"Valérie Paschoud"|"rue Monnard 64
5213 Saint Carraud"
"Gabriel Besançon"|"chemin Georges 11
8108 Gillièron"
"Marcelle Morand"|"chemin Galland 224
6804 Grand am Albis"
"Anna Pellet"|"chemin Piccand 60
4186 San Besse"
"Arthur Wicht"|"avenue de Diesbach 53
8090 Beguin"
"Antonio Marti-Polla"|"rue Chevrolet 48
3546 Musy-sur-Cattin"
"Elisa Botteron-Candaux"|"boulevard Jean-Pierre Cornut 58
8169 San Pasquier"
"Loïc Corpataux"|"boulevard Roger Cossy 35
6391 OberMartin"
"André Jacot-Guillarmod"|"rue de Botteron 333
7995 Saint Grand"
"Stéphanie Diesbach"|"rue Evéquoz 61
7102 Bochud"
"Ana Quartier"|"boulevard Boichat 37
1850 Jomini-près-Romanens"
"Jean Müller"|"rue de Vuille 212
5879 Deladoëy-près-Rosselat"
"Charlotte Cretton"|"rue Tinguely 74
7715 Robert-près-Joye"
"Véronique Vonlanthen"|"avenue Henri Cosandey 87
2000 Chatriand an der Aare"
"Gérard Mayor"|"chemin Daniel Carraux
6944 UnterUldry"
"Julien Martin"|"avenue Nelly Cossy 73
3329 Comman an der Aare"
"Alain Rey"|"boulevard Denise Chapuis
8598 Comman (GR)"
"Loïc Crivelli"|"chemin Léo Cornuz 8
7154 Grosjean-près-Aebi"
"Marcelle Balmat"|"rue Besençon 63
8510 Candaux"
"Thierry Müller"|"rue de Nusslé 418
5704 Cornut am See"
"Roland Evéquoz"|"boulevard Crivelli 73
3018 Barillon-sur-Corpataux"
"Bruno Blanc"|"chemin Polla 737
3560 Humbert-près-Bourquard"
"Matteo Beuchat"|"rue Boillat 45
4131 San Romanens"
"Madeleine Barbey"|"rue Madeleine Deshusses 79
2965 Duroux"
"Alicia Carraud"|"chemin de Boillat
3271 Rapraz"
"Bruno Grand"|"chemin de Treboux
8488 Georges"
"Sandrine Boichat"|"boulevard Sébastien Pasquier 61
3513 Chevalley"
"Loïc Joly-Monnard"|"rue Yvonne Monnet 713
8887 Mayor"
"Pascal Béguelin"|"boulevard Christophe Romanens 89
2677 Cosandey (UR)"
"Alice Béguelin"|"chemin de Cousin 37
9965 UnterMeyer"
"Marcelle Corbat"|"rue de Grand
6899 Droz-sur-Müller"
"Gabriel Privet"|"chemin Elisa Francillon 26
6219 Francillon-sur-Bochud"
"Maurice Crevoisier"|"avenue Sandoz 78
8090 Gubéran-Dessus"
"Chantal Menthonnex"|"rue Arthur Comman
1166 Chatriand (VD)"
"Lucie Evéquoz"|"rue Barman 4
2364 Béguelin"
"Gérard Conrad"|"boulevard Brahier 92
6832 Comte-sur-Joly"
"Sébastien Barman"|"chemin de Cossy 35
3201 Julliard am See"
"Loïc Mercier-Alber"|"chemin de Vuille 12
7356 Badel an der Aare"
"Bernard Jomini"|"avenue de Chopard 72
9454 Chevrolet am Albis"
"Manuel Müller"|"rue de Isella 49
4568 Rappaz"
"Albert Théraulaz"|"boulevard Rossellat 8
9270 Cossy"
"Denise Cretton"|"avenue Matile 54
6018 Comment"
"Lara Aebi"|"avenue Robert Comment 8
8753 Bugnon"
"Madeleine Délèze"|"rue Vienne 83
9914 Bavaud am Albis"
"Lara Conrad"|"rue de Rapin
6970 Brahier am See"
"Manon Joye"|"rue de Conrad
2189 Müller-les-Bains"
"David Cossy-Jacot-Descombes"|"rue Uldry
7945 Comment"
"Loïc Paccot"|"avenue de Rappaz
6408 Broquet"
"Emma Paccot"|"boulevard Deladoëy 97
1456 Uldry am See"
"Patrick Curdy"|"chemin Françoise Montandon 1
6792 Gubéran am Albis"
"Luca Bernasconi-de Dardel"|"avenue Vanessa Bonvini 31
3566 Comment-sur-de Dardel"
"Marianne Cretton"|"boulevard Marti 54
2884 Maire"
"Yvette Cossy"|"rue Georges Courvoisier 58
5972 Chevalley (TG)"
"Georgette Corbat"|"avenue Florian Nusslé
7986 Nusslé"
"Fabienne Francillon"|"rue de Nüsslin 7
9056 Maire"
"Florian Isella"|"chemin de Wicht 2
9050 Broquet (GE)"
"Camille Grosjean"|"rue Michael Besençon 1
8784 Niquille"
"Loïc Peitrequin"|"rue Jacqueline Besançon 1
1927 Sandoz"
"Bernard Jacot-Guillarmod"|"avenue Maire 83
6647 Balmat"
"Loïc Müller"|"avenue de Privet 15
9140 Saint Rey"
"Eva Julliard"|"avenue Duvanel
4944 Matile am Rhein"
"Julien Babey-Rosselat"|"avenue de Cornuz 28
4560 Deladoëy-Dessous"
"Lucas Diesbach"|"rue de Barillon 24
9675 Cossy"
"Jean-Pierre Barbey"|"avenue Courvoisier 44
4487 Chapuis (AG)"
"Sara Coigny"|"avenue de Martin
7818 Rosselet"
"Jacques Humbert"|"rue de Bourquin 77
3836 Pasquier"
"Christine Cosandey"|"avenue Clara Courvoisier
9572 Pellet-Dessus"
"Loïc Piccand"|"chemin de Martin 65
6208 Babey"
