"அகண்டலன் எட்டப்பன்"|"746 இசைவேந்தன் ஷம்பு
தாவண்கரே 748806" 
"அகிரா"|"8/1 இசைச்செல்வம்
ஜோத்பூர் 014932"
"வடிவழகி தங்கபாப்பா"|"91/411 பசவராஜ்
சிலிகுரி 801467"
"பச்சையப்பன் தனக்கோட்டி"|"3/9 கனிமொழி இசைக்கலை
ஆக்ரா-825085"
"ஏகாங்கா ஸ்டீபன்"|"5 தனுஷா
நெய்வேலி-743730"
"நம்பெருமாள்"|"7 நம்பெருமான் யாழரசன்
ராஜமுந்திரி-577767"
"சங்குமணி"|"43/6801 ஐயா ஷரினி
திண்டுக்கல் 196589"
"ஷதாக்ஷி"|"19/525 சங்கு ஏழிசைப்புதல்வி
ரூர்கேலா-091629"
"ஷந்தோஷி வண்ணக்கதிர்"|"6/5 சசிதரன் கடல்வேந்தன்
ஹுப்ளி-தர்வாத் 589297"
"பகவதி"|"27/7607 ஏழிசைமுரசு ராஜேஷ்வரி
அலகாபாத் 987548"
"ஏழிசைக்குமரி இசைத்தேவி"|"0/4 ராஜ்குமார்
நான்தேட் 055535"
"யஷ்வந்த் சக்திவேல"|"5 தங்கமணி
குல்பர்கா-819582"
"கண்ணப்பன்"|"8 கண்மதியன்
கோட்டா 231312"
"நடராஜன்"|"83 தணிகைமுருகு ஏழிசைமணி
லூதியானா-375096"
"ஷ்னேகல்"|"6/7 ஏழிசைதேவி
ராஜமுந்திரி-235034"
"எழிலரசன்"|"73/7561 ஸுப்ரீத் வசனா
துர்காபூர் 457268"
"சங்குமாலை அகற்கண்ணன்"|"8347 வரதராஐன் ஊர்ஜித்
வேலூர் 390404"
"ரக்ஷனா"|"6516 உதியஞ்சேரல் ஸுபத்திரை
மாலேகான்-427340"
"அக்னிகுமாரன் ஆனந்த"|"75/0803 இசையரசு ஸுரபி
கயா 473497"
"உத்கர்ஷா"|"47/489 தங்கமகன் அஜந்தா
ஓசூர் 669918"
"ராஜி"|"89/4380 பவளமலை
பிரோசாபாத் 401335"
"நல்ல கங்கை"|"34 இசைவளன் ஸுரபி
நாகப்பட்டினம் 339258"
"ஆகர்ணா,"|"28/212 உலக
தாவண்கரே-999767"
"சங்குமணி"|"61 சத்ருகணன் ஏழிசைத்தென்றல்
மதுரா-486466"
"பத்மா யாழின்"|"5 சங்குமணி தங்கத்தமிழன்
புதுச்சேரி-772138"
"வல்லரசு"|"3/1 கடம்பன்
வதோதரா-599845"
"சங்குமாலை"|"3/0 வர்ஷா இக்ஷூ,
கடலூர் 644518"
"சத்யமூர்த்தி வசந்த்"|"0/6 மணிப்பவளம் ஏழிசைக்கலை
நெய்வேலி 808399"
"நக்கீரன்"|"89/043 தணிகைவேல்
கோயம்புத்தூர் 624724"
"இசையழகன் பத்ருஹரி"|"16/184 அக்னி
ஜெய்ப்பூர்-953835"
"ஏகலைவன்"|"97/3183 ஆனந்தசாகரன்
அலிகார் 149617"
"பவளக்கொடி"|"9/1 ரகுபதி
திண்டுக்கல்-332369"
"இந்திரா"|"0 வாணன் ஆடற்செல்வி
ஜம்மு-261825"
"அகல்யா"|"293 உதயவன் அங்கதன்
லக்னோ-201266"
"ஆசிரா ஒட்டக்கூத்தர்"|"98/1093 அச்சுதானந்தன்
உஜ்ஜைன் 126741"
"உன்னதி அஜய்"|"46 யோகலட்சுமி
கோலாப்பூர்-011393"
"சங்கெழில்"|"78/320 வானமாமலை
லக்னோ-949662"
"மணிமகள் ஏகாங்கா"|"9752 ஆதிமொழி ஸ்ரீகாந்த்
கோலாப்பூர் 057400"
"உதயாதி"|"11/9167 ரீட்டா
காஜுவாகா 669616"
"ராஜலட்சுமி"|"557 இக்ஷூ, நல்ல
ராஜ்கோட் 068353"
"யாழினி"|"45/764 ஷைலேந்திரா
புனே-993264"
"உமயாள் பன்னீர்"|"23/126 சகுண்
தேராதூன்-016948"
"ஸ்மிருதி"|"9 பதுமனார்
திருப்பூர்-141953"
"ஊர்மிளா"|"0 பகவத்
அகமத்நகர் 715712"
"அகண்டலன்"|"385 ஷைலேஷ் ஏழிசைக்கனி
பெல்காம் 569849"
"சங்கெழில்"|"83/98 மணிமொழியன்
மும்பை பெருநகர்-548478"
"சங்கொலி ஆகமா"|"9004 இந்துமதி
அலகாபாத்-209987"
"தனுஷ்ரி"|"9 பவளமல்லி
விசாகப்பட்டினம் 715135"
"யாழ்மொழி ஊர்மிளா"|"605 வள்ளுவன் ஸ்னேஹல்
நாகப்பட்டினம்-018075"
"ஸ்மிருதி ஆனந்ததேவன்"|"0 மங்கை
சாங்கலி-984021"
"ஹஸிதா ராபர்ட்"|"19/565 கண்ணாயிரம் ராஜேஷ்வரி
திருவண்ணாமலை-251612"
"ஷியாம்"|"6766 நடவரசி
காரைக்குடி-708164"
"ஆதிசேஷா"|"3 தங்கத்தமிழன் மகஷேவரி
ஜான்சி-060327"
"தங்கத்தமிழ்"|"52 ஆதிகுணா
இராணிப்பேட்டை-700131"
"மணவாளன்"|"79/4087 சசிரேகா
லக்னோ 969690"
"பகவத் அக்ஷிதா"|"99/401 வஞ்சிக்கொடி
கொல்கத்தா பெருநகர் 415591"
"சங்கொலி"|"83 நாகமணி
வேலூர் 546137"
"வஞ்சிமகள் ஷாலிகா"|"86/62 ஷமா வண்ணநிலவன்
குல்பர்கா 593121"
"எமில்டா பந்துல்"|"0/7 கனகா கங்கா
அலிகார்-485563"
"நறுமலர் எழினி"|"1/8 ஏழிசைமுரசு யூகேஷ்
அகோலா-119442"
"இசைமறை"|"575 உத்பலா
திருநெல்வேலி 950543"
"இசைவாணி ஆகமா"|"83 ஸ்ரீவல்லி தமயந்தி
கொச்சி 457417"
"நன்மொழியன்"|"03/02 மணிமுகில்
திருவண்ணாமலை 151284"
"ஷியாம் ஹேமலதா"|"942 இசைக்கோமகள்
நான்தேட்-092443"
"கடற்கோ"|"6 உலகிறை
தேராதூன்-724765"
"ஆஞ்சனேயா"|"711 ஷ்யாம்
கும்பகோணம்-317648"
"சசிகலா மணிப்பவளம்"|"52/47 மணிச்சுடர் ஆடல்
கோர்பா-001203"
"நம்பியூரான்"|"96/68 உதயா தணிகைச்செல்வன்
வாரணாசி-310735"
"இசையழகன்"|"58/863 கனகவள்ளி தங்கேஷ்வரன்
மும்பை பெருநகர் 031204"
"ஏழிசைக்குமரி"|"86/302 அகவன்
தூத்துக்குடி 036843"
"ஷாமினி"|"49/318 ஷாஷினி, சத்யா
கரூர் (கரூர் மாவட்டம்)-049102"
"இசைமாமணி ஷியாம்"|"483 உன்மேஷ் தணி;சேரன்
நாக்பூர்-112884"
"ரஷஷுத்"|"8/9 இசைமுரசு
திருச்சிராப்பள்ளி 341598"
"அக்மல்,"|"94 உமையம்மை
நான்தேட் 356486"
"ஸ்ரீனா"|"2 எழிற்கோமகன் அகிலேஷ்வரி
திருவண்ணாமலை-533426"
"மஞ்சனா"|"14/1326 ராஜா
ரூர்கேலா-402341"
"சசிகலா"|"27/7306 ஷண்சிலாதேவி
துர்காபூர்-420274"
"அகில் ஆதர்ஷா"|"7939 ஸ்ப்ரிஹா ஆதிமூர்த்தி
திண்டுக்கல்-488861"
"அகிரா"|"26/683 யாழின் இசைத்தம்பி
கடலூர் 881988"
"பசந்த்"|"88/167 ரட்சகா
ஜபல்பூர் 875581"
"அக்னிமுகி"|"69/960 ஏழிசைச்செல்வம்
விசாகப்பட்டினம்-442449"
"சத்யவாணன்"|"74/165 ராஜேஷ்வரி ஸ்ரீயாதித்யா
மதுரா 104013"
"ரக்ஷனா ஹன்யா"|"5/0 ஆதிசேஷா
பரேலி-863420"
"யாளினி தனுஷ்கா"|"49/081 பரமேஷ்வரி எழிலேந்தி
அஜ்மீர் 849027"
"ஷரினி"|"25/4856 மணியன் ஹாசினி
பெங்களூரு-117559"
"தங்கவேலன்"|"13/652 ஸ்ரீகாந்த் ஏழிசைப்புதல்வி
ஹுப்ளி-தர்வாத்-664878"
"சசிகலா"|"4551 பகுதானன் நம்மாழ்வார்
திருப்பூர்-125740"
"வடிவேலன் அகவொளி"|"6 ஸ்ரீதேவி
அகமத்நகர்-748729"
"சங்காரம்"|"502 ஏந்திழை
வாரணாசி-977004"
"தக்ஷேஷ்"|"146 ஏழிசைமுரசு
பிலாய் 738727"
"யூவராஜ் ஷிஷிர்"|"60/00 மகிழ்வதனி ஆதித்யபிரபா
கோரக்பூர் 632945"
"ஆசிரா யஷ்வினி"|"921 மணிக்கதிர்
புதுச்சேரி-168672"
"ஸ்ரீசிவநாராயணன் உத்தியா"|"82/95 உச்சிதா ஷாஷினி,
இராஜபாளையம், விருதுநகர் மாவட்டம்-158036"
"தணிகைச்செல்வி"|"482 எழினி அகிரா
குவாலியர்-791271"
"இசை"|"9267 வதனா தங்கமதி
ராஞ்சி 074444"
"எழிலகன்"|"21 வருணி
வேலூர்-953434"
"சசிகலா"|"67/375 மணிநிலவன்
அகமதாபாத் 081410"
"அக்ஷயா"|"2479 யஷ்வினி இசைவளன்
லூதியானா-370062"
"எழிலேந்தி"|"5084 சசி
கோலாப்பூர் 828786"
"அகல்விழி"|"19/998 உன்னத் சத்தியலிங்கம்
திருச்சிராப்பள்ளி-154018"
"ஆனந்தசாகரன்"|"25/158 ஷ்யாம் ஆண்டர்ஸன்
திருப்பூர்-374254"
"எழில்மங்கை தங்கத்தமிழ்"|"49/4375 ஆதிமகள்
சென்னை பெருநகர்-307341"
"உலகோவியம்"|"3 வஷிஷ்டர் ஆத்மஜா,
கண்ணூர் 927102"
"ராஜலட்சுமி ஹஷ்விந்ரன்"|"71/6033 ஸ்ரீநிவாசன்
சோலாப்பூர்-467839"
"யோஹிதா"|"07/3652 எழிலழகி
பொகாரோ-525701"
"சதீஷ்"|"35 ஸ்ரீவித்யா
அகமதாபாத்-841402"
"சசிகாந்த் வண்ணமதி"|"12/079 கடம்பா
ஜல்கான்-976560"
"மங்களம்"|"19/62 மணிக்கோவன் ஆதிசேஷா
ஐதராபாத் 418112"
"பக்தவச்சலம்"|"805 மணிவண்ணன்
குவாலியர்-467740"
"வள்ளல்"|"89/52 உதித் இசையேந்தல்
தில்லி-802527"
"ஸ்ரீகா யோஸ்னிதா"|"6 மஞ்சரி சந்தானலட்சுமி
வாணியம்பாடி-154017"
"ஷிங் வசந்தா"|"0 இசைக்கலை நர்மதா
குண்டூர் 155542"
"சக்தி"|"08 இந்திரகுமார் கடம்பன்
ஜலந்தர்-744491"
"வடிவுக்கரசி அக்ரோதனன்"|"0/5 சகுண்
கோழிக்கோடு 824082"
"தனபாக்கியம் உதியன்"|"48/9177 ஏகாங்கா அங்கையர்க்கரசி
புவனேசுவர் 389937"
"அகிலேஷ்வரி"|"5 பகுப்ரியன் வண்ணமதி
திருவண்ணாமலை 279032"
"சசிகாந்த்"|"43 உலக ஆதியரசி
அகோலா-884706"
"நம்பிகுட்டுவன்"|"56 கணியன் இசைமறை
ஜம்மு 572176"
"உபதேஷ் ரக்ஷனா"|"885 பகத் வடிவேல்
அம்ரித்சர் 357438"
"ஷரினி தனக்கோட்டி"|"0 ஹரி எழிலன்
துர்காபூர் 316420"
"நந்திதா"|"2/8 சஜீத் ஷம்பு
சேலம் 692252"
"தணிகைத்தம்பி யாழரசி"|"54/46 எழிலாம்பல்
தாவண்கரே-832654"
"ஸ்ரீலேகா"|"3/3 அகற்கண்ணன் எயினி
அம்ரித்சர் 189106"
"வணங்காமுடி கண்ணதாசன்"|"3/5 நச்சினார்க்கினியர் ஷானன்
உஜ்ஜைன் 849227"
"தனபாக்கியம்"|"64 எழில்மலை
உஜ்ஜைன் 256893"
"ஐயம்பெருமான்"|"01/3169 பத்மநாபன்
ஜலந்தர்-005755"
"சசிகுமார் மகிழ்வதனி"|"87/39 எகாம்பரம்
பெங்களூரு 552343"
"மகிழ்"|"4 பவழமொழி
வாரணாசி 018585"
"கதிர் ஷ்யாமல்"|"58/424 மணிக்கொடி ரகுவரன்
கோயம்புத்தூர்-177402"
"சங்கரி"|"4 ஸ்ரீதேவி
உதகமண்டலம்-468322"
"உண்மைவிளம்பி"|"2 இசையரசி
ஜான்சி 644616"
"யசோதா"|"52 ஆதித்தமிழ்
நான்தேட் 840457"
"ஷாலிகா ராஜகோபால்"|"06/904 நடவரசன் அகில்
திருநெல்வேலி 308446"
"யாமினி"|"5 வடிவேல் உலக
குவாலியர்-887561"
"யசோதா"|"32/611 எழிலகன் பகுப்ரியன்
உதயப்பூர்-475841"
"உபமன்யூ சஞ்ஜோக்"|"27/5211 உதயா சஞ்சு
திருச்சிராப்பள்ளி-743148"
"சசிகுமார்"|"746 தங்கமகள்
பெல்காம்-458995"
"ஆனந்தகிரி ஆடலரசன்"|"86/0410 தணிகைச்செல்வி
அலிகார் 495500"
"இசைவளவன் ஹர்ஷினி"|"6485 ராஜசேகர் பகுகுனன்
உதயப்பூர்-962645"
"எழிற்கோமகள்"|"73 ஆஞ்சனேயா சதிஷ்வரன்
கோயம்புத்தூர்-742781"
"தங்கமகன்"|"26/590 யூசுப் எரியீட்டி
காரைக்குடி-057106"
"வசுமதி ஆதித்தா"|"3 மணிச்சுடர் ராஜ
கான்பூர்-589835"
"நன்மொழி"|"95/4496 ரீட்டா
தேராதூன்-153837"
"ஷ்யாம்"|"6 பரிமளா
பாட்னா-180974"
"இந்தரஜித்"|"625 ஏந்தல் ஆனந்ததேவன்
ராஜமுந்திரி-395235"
"வள்ளுவன்"|"93/65 இந்துமுகி அகரன்
கோர்பா-679766"
"சசிரேகா இசைமுரசு"|"7545 ஆகாஷ் உண்மைவிளம்பி
பொகாரோ 596777"
"பதிரன் எழிற்செல்வி"|"8/4 ஆதித்தி மணிமகள்
பாவ்நகர் 884619"
"ஸகஸ்ரா"|"83/612 ஸ்ரீனா வஞ்சிக்கொடி
ராமகுண்டம் 173386"
"ஷா பபிதா"|"443 யஷ்வந்த்
நெல்லூர் 642541"
"மணிமன்றவாணன்"|"93/34 கணேஷ் வரதராஜ்
கரூர் (கரூர் மாவட்டம்)-931259"
"ஏழிசைக்கனி"|"18/8604 ஷ்யாமல் அகுல்,
சிவகாசி-951923"
"பழகுத்தமிழ்"|"01/63 தங்கம்
கொல்கத்தா பெருநகர்-578499"
"இந்துமதி"|"07/78 ஆதிநாதன் மணிமுகில்
கொல்கத்தா பெருநகர்-468751"
"சங்கவை"|"90/51 பகுகுனன்
வாணியம்பாடி-291117"
"மகிழினி அகிலன்"|"3/6 இசைத்தம்பி
லூதியானா 794206"
"சச்சி"|"71/4766 அக்ஷரா ஸரளா
கோயம்புத்தூர்-362718"
"உஜாகர் ஐஸக்"|"93 ஆடற்கோமகள்
இராணிப்பேட்டை-049930"
"ராமசாமி கதிர்மாமணி"|"81/0473 ஸ்ரீலக்ஷ்மி ஆசிரா
பரேலி-790195"
"கடர்"|"867 இந்திரகுமார்
தன்பாத்-052624"
"ஷரணி"|"77/790 எழிலரசன்
சகாரன்பூர்-108192"
"ஆதிநாராயணா நம்பெருமான்"|"162 எழிலன்பன் மணிமாறன்
ஜாம்நகர் 492904"
"ஷந்ஸா"|"65/703 ஷ்னேகல் ரீட்டா
ஸ்ரீநகர்-991457"
"சந்திர"|"07/370 ஏழிசைக்கொடி
காஜுவாகா-867996"
"வண்ணக்கதிர்"|"62 நறுமுகை வகேஷ்வரி
ஸ்ரீநகர் 284004"
"அக்ரோதனன்"|"28/7023 யூகேந்திரன் சசிதரன்
திருச்சிராப்பள்ளி 478648"
"சச்சிதாநந்தம்"|"68/3159 ஆதிமூர்த்தி ஆதித்தி
கொச்சி-809561"
"இசையமுது நன்மொழியன்"|"84/1635 யேகம்மை
அகமத்நகர்-322322"
"நாகமதி"|"9/6 சதிகா ஸுபத்திரை
பாட்னா 268301"
"ஷானவாஸ் ஆண்ட்ரு"|"2459 எயினி ஸ்னேஹல்
கயா-677545"
"ராஜேஷ்வரி"|"7/5 தங்கமகள் வர்ணவதி
கோயம்புத்தூர்-636948"
"வடிவேல்முருகன்"|"9607 உஜிலா
நாகப்பட்டினம்-213170"
"இந்திரஜா மணிமொழி"|"045 ஆதிசங்கரா
திருப்பூர் 699290"
"அகில் கதிரழகி"|"8066 இசைமகள்
அகோலா 583006"
"எழிலி சக்தி"|"41/302 நம்பியருள் ஆதிகுணா
ராய்ப்பூர் 710740"
"மகிணன்"|"83/17 உட்கர்ஷ் ஏழிசைமணி
பெல்காம் 716719"
"சச்சிதாநந்தம்"|"90 உலகநேயம் நாகம்மை
திண்டுக்கல் 053899"
"அக்னிகா"|"4/2 தனுஷ்ரி மணிக்கதிர்
நான்தேட் 832813"
"உன்னதி"|"20/5646 வகேஷ்வரி தடாகை
சென்னை பெருநகர் 419548"
"ஷதாக்ஷி"|"33/573 ஷம்பு சந்திர
பிரோசாபாத்-489761"
"இந்திரகுமார் பசவராஜ்"|"83 ஸத்யா மணிச்சுடர்
தேராதூன் 836407"
"ரீஜா"|"71/66 ஆதிநாராயணா
பொகாரோ-548847"
"கடற்கோமகள்"|"4/2 ஸ்மிருதி வடிவரசி
சூரத்-859491"
"மணிகண்டன் யோகேஷ்"|"91 யோகராணி ஆதிகுணா
நாசிக்-702938"
"தங்கபுஷ்பம்"|"68/18 ஷிஷிர் ஆடலழகி
சோலாப்பூர் 616391"
"ஷலின்"|"54/8253 உன்மைமொழி ஹன்யா
கான்பூர் 801433"
"சஜனி ஹவினாஷன்"|"61/8594 நாகமணி
குல்பர்கா-879031"
"தங்கமதி"|"0892 ஷ்யாம்
தில்லி 090588"
"தணிகேவேலன் ஹிரண்யா"|"59 இந்துகலா
குவஹாத்தி-973029"
"ஆதியரசி அகரன்"|"9/7 ஆதியரசி எழிற்செல்வம்
தில்லி 811127"
"நடவரசி ரவி"|"5/1 உதயகுமார்;
நாசிக் 679357"
"அகண்டலன் ஷோபன்"|"8 சசிதரன் பன்னீர்செல்வி
பரேலி 326400"
"நம்பியருள்"|"37/42 ஆடற்செல்வி
கண்ணூர்-367811"
"கடல்வேந்தன்"|"8/0 தணிகைமணி
கோழிக்கோடு 791118"
"ஏழிசைச்சுடர்"|"85/466 யேவான்
இராஜபாளையம், விருதுநகர் மாவட்டம் 812486"
"ஷைல்"|"40/80 வசந்த்குமார்
கோட்டா 764918"
"சஜனி"|"00/71 ஷமா
உஜ்ஜைன் 500957"
"கண்மதியன்"|"49 யோகேஷ் யூகேஷ்
காஞ்சிபுரம் 790976"
"கனல்மொழி"|"591 வசுதாரிணி உதயன்
இந்தோர்-381882"
"தணிகைமுருகு ஷலின்"|"958 மணிவண்ணன்
கோயம்புத்தூர்-182465"
"ஹாசினி"|"01 ரஞ்சிதா ஆகேந்திரா
பாட்னா 683919"
"ஒளிமுகம் மணவாளன்"|"36/2361 நாகம்மாள் பச்சையம்மாள்
தஞ்சாவூர்-230105"
"கசரா நன்மாறன்"|"674 நன்மணி ஷிஷிர்
கும்பகோணம்-655069"
"இந்திகாப்"|"17/0089 பவளம் ஷர்வானி
ஆக்ரா-065071"
"ஸௌரா"|"9/5 உதயா
வதோதரா 713092"
"ஏழிசைமதி"|"39/855 யாளினி எழிலன்
நான்தேட்-572262"
"சஜனி"|"1 எழிலரசன் ராஜசேகர்
நெய்வேலி-079215"
"ஒளிசுடர யோகராணி"|"10/680 கடலிறை ஊர்வசி
பெங்களூரு 629887"
"நற்றிணை"|"9/6 பகுமித்ரன் உதயாதி
ஜம்சேத்பூர்-168856"
"ஏகராஜ் யமுனா"|"3/0 மஞ்சனா
ஈரோடு-115132"
"ரமேஷ்"|"98 ஆதி
திருநெல்வேலி-251400"
"தங்கமணி உலகம்மை"|"44/9063 தங்கராஐ; ராஜ்குமார்
பிகானேர் 918854"
"ஸ்ரீலா"|"0/6 உதயகுமார்;
குவஹாத்தி 686966"
"ஸுப்ரீத்"|"31/08 சங்குப்பூவழகி
லூதியானா 509600"
"ஏழிசை நந்திகா"|"79/266 பத்மா ஆட்டநத்தி
சென்னை-942896"
"மணிமேகலை"|"0150 உதயன் அக்ஷரா
திருப்பூர்-280934"
"சஜீத் ஆக்னேயா"|"10/9508 உதயகுமார்; உச்சிதா
விசாகப்பட்டினம்-748003"
"பத்ராகன்"|"4177 ஸரளா
ஜான்சி 068085"
"உதய் ஏக்ராம்"|"9/9 எழிலோவியம்
தில்லி 840097"
"தங்கமகன் ஸயூரி"|"514 சஜனி
ஆம்பூர் 840591"
"இசைக்கலைவாணன்"|"79 ஸ்ரீலேகா நன்முத்து
லக்னோ-507543"
"எழிற்கோமகள்"|"2 கனிகா ஸ்கந்தா
நாசிக்-152873"
"மணிக்கோவன் தங்கமணி"|"47 கதிரவன் உதித்
அம்ரித்சர்-494562"
"உலகமதி ஆண்டாள்"|"74/3764 வகேஷ்வரி சத்யேந்திரா
நான்தேட் 853374"
"எழிலரசி எல்லி"|"6/0 மணிமகள்
ராஞ்சி-196747"
"எழிலேந்தி பத்மினி"|"77/27 மணிமலை ஆனந்தகிரி
குண்டூர் 885349"
"சஞ்சு ரதவனி"|"0 இடைக்காடன் ஏழிசைமதி
நாக்பூர்-091849"
"ஸுரபி இந்துகலா"|"3/1 எழில்மலை சங்கவி
கொல்லம் 320007"
"உபாஸனா"|"71/480 மங்கையர்க்கரசி ஸ்கந்தா
காஜுவாகா 541810"
"வடிவேலன் ஷஷி"|"4 தணி;சேரன்
காஜுவாகா-448243"
"ரஞ்சிதா ரஞ்சிதா"|"3/8 கனல் ஆதித்யவர்த்தன்
குவஹாத்தி 442475"
"இசைநேயம் இந்துஜா"|"91/3892 தசரதன் அகமணி
பெங்களூரு-388361"
"சசிதரன் தங்கவேல்"|"01/3428 யோஹிதா பவழமொழி
சேலம் 858980"
"ஆகமா"|"53/69 எழிற்கதிர்
இராஜபாளையம், விருதுநகர் மாவட்டம் 234327"
"அச்சுதானந்தன் நறுமுகை"|"54 ஷைலேந்திரா வண்ணக்கதிர்
புவனேசுவர்-718377"
"வண்டமிழ்"|"94/9011 கடர் தங்கமதி
ஹுப்ளி-தர்வாத் 291815"
"சஞ்சு"|"80/6544 யோகேஷ் வருனிதா
மொரதாபாத்-411901"
"உதயபரிதி"|"7/9 சச்சி எழிலாம்பல்
ஜலந்தர் 742819"
"கடம்பா நாகதேவி"|"07/4555 ஆதிசக்தி
மதுரை-140183"
"தங்கமணி"|"7466 ஆதித்தா ஆனந்தசாகரன்
ஈரோடு 756361"
"எயினி தத்தை"|"6052 கடர் ஸரஸ்வதி
காஜுவாகா 607569"
"அகில் ஏழிசைக்கொடி"|"2 ஆதிநாதன் யோகலட்சுமி
திருவண்ணாமலை 194359"
"ஏழிசைமுரசு"|"9 ஸ்ரீராம்
ராஜமுந்திரி 761411"
"இசையேந்தல்"|"45/219 பத்ருஹரி சங்குப்பூவழகி
உதகமண்டலம் 984845"
"ஹசினிகா"|"3 ஆகர்ணா, ஆடற்கொடி
நாசிக்-164821"
"தனலட்சுமி"|"68 வருணி
ஈரோடு-598780"
"சடகோபன் அகவழகு"|"66 ஹஸினா
பிலாய் 890953"
"சங்குப்பூவழகி"|"4/3 நர்மதா சங்கமித்ரா
சென்னை 723661"
"வாணன் உமா"|"57/9507 ஷ்ராவண்
அகமதாபாத் 827634"
"ஹெலன் நவிதா"|"22/644 எழிலோவியம் ஸ்ராவனி
திருவண்ணாமலை-709637"
"உதயாதி"|"10 ஊர்மிளா
சென்னை-160323"
"அங்கவை உதீப்"|"9 உதய்
தன்பாத் 642567"
"சந்தனம்"|"83 சச்சிதாநந்தம்
உதயப்பூர்-249969"
"தங்கத்தமிழ் மணிக்கொடி"|"6/0 அகத்தியன்
கொச்சி-130754"
"ஆதிகுணா"|"8 ஸத்வரி ரீஜா
பெல்காம் 642200"
"பகவதி ஆடலரசு"|"44/1504 ஸ்டீபன்
திருநெல்வேலி-513451"
"சடகோபன்"|"10/0508 ஏகாபரனா கதிரவன்
போபால்-437594"
"சத்யவாணன்"|"15/673 இந்திவார் மணி
ராய்ப்பூர்-408147"
"ஷர்மிளா வஞ்சிப்பாமகள்"|"7582 அகில்
ஐதராபாத்-707232"
"கடல்வேந்தன்"|"30/9020 ஏழிசைக்கோமகள்
ஆசன்சோல்-867750"
"நன்மொழியன் நப்பசலையார்"|"9 ரீட்டா
அமராவதி 393810"
"தங்கமதி"|"8/3 நாதவேணி
கண்ணூர் 092257"
"இசைக்கோ"|"37/44 ஆடற்கோமகள் ஆடற்செல்வி
திருநெல்வேலி-028573"
"பனிமலர்"|"21/2410 ஹெலன் உலகொளி
ஜல்கான்-776041"
"சக்தி அகற்கண்ணன்"|"55/424 மகிழ்வதனி இந்துகா
ஓசூர் 936363"
"பஜன் மணிமேகலை"|"06 வசுதா ஏகாங்கா
குடியாத்தம் 152459"
"சடகோபன்"|"5703 நடவரசன் அகமணி
சிலிகுரி 014613"
"இசைமகள்"|"023 தங்கராஐ; ஏழிசைமுரசு
திருவண்ணாமலை 390272"
"சத்யா"|"16/10 ரத்தினம்
குடியாத்தம் 085139"
"கஜோல் வசந்த்குமார்"|"0799 எழிலிசை
வாரங்கல்-361892"
"எழிற்கண் ஆதிகுணா"|"0/5 ஹரிதா
ராஜ்கோட்-354608"
"மணிமுடி சத்யவாணன்"|"8/1 ஸகஸ்ரா
புவனேசுவர் 684427"
"ஹரி தங்கச்சுடர்"|"1/6 எழினி
மீரட்-585845"
"தணிகேவேலன் எழிற்குமரன்"|"55/165 ரஜினி இந்துமதி
அலிகார் 243316"
"வருனேஷ்"|"60/547 ஐக்கியா ஹம்சவர்த்தினி
கோட்டா 753519"
"வள்ளுவன்"|"90/0704 எழிலம்மை சசிகுமார்
மங்களூர்-970954"
"சதிகா ஷ்வேதங்க்"|"3 ஏழிசைக்கொடி நற்றிணை
சோலாப்பூர்-425757"
"எழில்மணி"|"0188 எழிற்கோமகன் ஏழிசைக்கலை
கண்ணூர் 793430"
"ஏழிசைப்புதல்வி"|"78/2081 ராணி
சென்னை பெருநகர்-811843"
"பஞ்சாமிர்தம் நன்னூலன்"|"12/174 ஸ்ரீநிதி
பிகானேர் 665228"
"தணிகைச்செல்வி"|"74/419 யூதிகா
புனே 210791"
"பக்தவச்சலம் ஏழிசைக்கனி"|"01/2506 இசைக்கோமகள்
புவனேசுவர் 902587"
"தங்கச்சுடர் நக்கீரத்தமிழன்"|"69/49 ஏகசந்திரா
சோலாப்பூர்-384935"
"ஸ்ரீநிவாசன்"|"0531 ஹரிதாஸ் அகாத்
புவனேசுவர்-919467"
"தத்தை கடர்"|"3/9 ஏழிசை ஆதிசங்கரா
குடியாத்தம்-615066"
"ஹர்ஷா சங்கு"|"217 ஹேமலதா
சேலம்-278426"
"சதிகா"|"298 ஷா ஹரிதா
திருவண்ணாமலை-908998"
"ஸத்யா சந்தனு"|"16/922 ஹரிதாஸ் பஞ்சாமிர்தம்
அவுரங்கபாத் 732070"
"ஆடற்கோமகள்"|"91/8486 அகவொளி உன்னத்
மும்பை பெருநகர் 153628"
"ஐயன்"|"35/035 எழில்மணி மகிழ்வதனி
கோயம்புத்தூர் 757688"
"இசைமணி"|"1/8 எழில்மங்கை ஆகர்ணா,
போபால் 703458"
"ஸத்யா"|"5/7 ஸத்யா நற்றிணை
கான்பூர்-566386"
"யசோதா"|"86/841 யாழ்ப்பாணன் வடிவேற்கரசன்
மதுரா-885680"
"பக்தவச்சலம்"|"80/7031 உபதேஷ் உத்தம்
தன்பாத்-638802"
"பவித்ரா இக்ஷிதா"|"78/9147 மணவாளன் ஹஸிதா
சாங்கலி-720785"
"ஒளியழகன்"|"336 கனகா
துர்காபூர் 027451"
"சதிகா"|"90/457 இந்திரஜா
வேலூர் 792982"
"கதிரழகி"|"8 அங்கால ஆடற்செல்வி
நெய்வேலி-784470"
"வஞ்சிப்பாமகள் மணிமலை"|"1/2 கணேஷ்
விஜயவாடா 844535"
