"Adrian Aasen"|"Bøeplassen 64, 8771 Aas" 
"Stig Brekke"|"Lundemoen 13, 1998 Svendsen"
"Kristine Larsen"|"Haugekra 5, 9841 Vidarfoss"
"Julie-Anne Svendsen"|"Isaksenrøa 13, 4334 Trondborg"
"Tobias Ali"|"Halvorsenekra 3, 0361 Jannefjord"
"Einar Olsen"|"Rasmussenlyngen 6, 4636 Jenssen"
"Jonas Jacobsen"|"Tveitgrenda 52, 2223 Nguyen"
"Kristine Strand"|"Simonsenlia 607, 3534 Petterhelle"
"Bente Eide"|"Svendsenjordet 2, 6845 Karisand"
"Dr. Kåre Nguyen"|"Lundbakken 4, 2949 Johnsen"
"Dr. Alf Ruud"|"Myklebustrøa 799, 8318 Jensøy"
"Torbjørn Bakken"|"Lundespranget 25F, 1955 Martinsen"
"Irene Aas"|"Jenssenflata 6E, 6515 Kjerstimark"
"Leif Solberg"|"Arnesentoppen 4B, 1526 Eliassen"
"Unni-Julie Gulbrandsen"|"Berntsenskogen 2, 7983 Eriksen"
"Malin Dahl"|"Andreassenkollen 07, 0138 Hauge"
"Jonas Jenssen"|"Svendsenhøgda 488, 0816 Aasen"
"Linn Holm"|"Nielsengrenda 120, 7183 Wenchevær"
"Jonas Aune"|"Christensengjerdet 4, 7840 Bakken"
"Ellen Andreassen"|"Hanssensvingen 2, 7221 Runefjord"
"Tone Jacobsen"|"Kristiansenmarka 37, 0420 Aasen"
"Sondre-Tobias Bøe"|"Tveitbakken 7, 3441 Nguyen"
"Mette-Vilde Brekke"|"Ellingsenhøgda 6, 3565 Birkeland"
"Gro-Jenny Engen"|"Ellingsenhaugen 7H, 3705 Janås"
"Emma Solberg"|"Thorsengata 5, 8030 Eide"
"Tove-Elin Haugland"|"Næssfaret 90, 5549 Mikkelsen"
"Jonas Karlsen"|"Ruudgata 9, 9598 Ahmed"
"Petter Ali-Paulsen"|"Bakkenkroken 116, 3424 Larsen"
"Camilla-Camilla Vik"|"Fredriksenvollen 88D, 9148 Helland"
"Marius-Adrian Jenssen"|"Simonseneggen 076, 4106 Solheim"
"Stig Nielsen"|"Lundspranget 95, 2524 Aune"
"Harald-Nils Ali"|"Kristiansenfaret 6, 2902 Elseby"
"Ivar-Marius Ødegård"|"Lundløkka 3, 5272 Ali"
"Simen-Torbjørn Karlsen"|"Mathisenplassen 49, 8395 Sandvik"
"Ragnhild Nygård"|"Sandvikmarka 131, 4042 Trineby"
"Sissel-Maria Thorsen"|"Bergesvingen 5, 9154 Berg"
"Jonas Kristensen"|"Johansenvollen 5, 1877 Hanssen"
"Jon Andreassen-Mikkelsen"|"Bakketjernet 15, 2133 Kirstengrunn"
"Stein-Geir Martinsen"|"Andresenstubben 5, 8798 Liseodden"
"Elin Sørensen"|"Pettersenspranget 889, 7583 Stigøy"
"Linn Mathisen"|"Vikbakken 27, 6510 Moen"
"Ann-Bente Bakken"|"Auneringen 9, 6610 Mayhavn"
"Ellen Antonsen"|"Eidestykket 2E, 4519 Ellingsen"
"Eli Myhre"|"Dahltunet 919, 0946 Vildevær"
"Karl Halvorsen-Solheim"|"Rønningeggen 10, 0432 Perodden"
"Arild Bøe"|"Ellingsenvollen 26, 3371 Johansen"
"Jonas Kristoffersen"|"Olsenspranget 5, 0064 Johannessen"
"Tor-Magnus Jensen"|"Hellandberget 30B, 6758 Bøe"
"Gerd Christensen"|"Lunderoa 6, 6001 Arildbø"
"Kåre Johannessen"|"Lundtunet 67E, 8145 Haug"
"Sofie Isaksen"|"Paulsentoppen 679, 0276 Nguyen"
"Henrik Sørensen"|"Jørgensensvingen 85, 8784 Thorsen"
"Roar Haugland"|"Jacobseneggen 3D, 7394 Antonsen"
"Sofie Olsen"|"Bergtoppen 68, 0983 Gretestad"
"Svein Pedersen"|"Liemoen 7B, 7339 Christianvåg"
"Rune Nielsen"|"Eliassenstubben 8, 9190 Hannaodden"
"Jonas Madsen"|"Ruudmyra 3, 1510 Kristofferstrand"
"Roar Johnsen"|"Jørgensengata 24C, 8110 Lunde"
"Eli Johnsen"|"Sætherlunden 901, 2297 Haugland"
"Markus Lie"|"Kristoffersenlyngen 7, 0866 Trondhelle"
"Morten-Gunnar Næss"|"Nguyenalléen 268, 7422 Fredrikvåg"
"Arne Strøm"|"Haugenskogen 70, 9901 Lailahavn"
"Lars Tveit"|"Abrahamsenåsen 8, 6045 Bentefjell"
"Eli Ruud"|"Aasengropa 28F, 3129 Sivertsen"
"Lise-Vilde Rasmussen"|"Birkelandholtet 169, 9908 Isaksen"
"Kari Engen"|"Haugeskrenten 40, 8392 Isaksen"
"Jonas Rasmussen"|"Dahlskrenten 4C, 3173 Joakimgrunn"
"Randi Aasen"|"Aasenhagen 7, 6683 Frankodden"
"Anna-Randi Hauge"|"Abrahamsengropa 6, 3945 Dahl"
"Stig Solheim"|"Thomassenbråten 4, 7782 Roberteid"
"Johan Tveit-Lien"|"Hellandgata 2, 0331 Andresen"
"Irene-Ragnhild Halvorsen"|"Hauglandgrenda 9, 8380 Nygård"
"Svein Lund"|"Aasroa 29C, 8733 Solberg"
"Nils-Sander Karlsen"|"Haugvika 12C, 3380 Birkeland"
"Gro-Thea Amundsen"|"Jenssenlia 26, 1854 Myklebust"
"Knut Brekke"|"Aliengen 78C, 2717 Alexanderfjell"
"Jonas Ruud-Johnsen"|"Bøegata 3, 2339 Kristoffersand"
"Karin Holm"|"Lierøa 2, 5162 Jannestrøm"
"Eirik Olsen"|"Birkelandstien 64, 5752 Geirby"
"Astrid Karlsen"|"Fredriksenlyngen 9, 5491 Mariannevik"
"Kristin Holm"|"Gulbrandsenstien 8A, 3931 Arnesjøen"
"Alexander-Kåre Iversen"|"Solbergsvingen 4, 7473 Sigridvåg"
"Tobias Thomassen"|"Antonsenstranda 5, 7389 Andreassen"
"Bjørn Sørensen-Lunde"|"Moeflata 67H, 8039 Moen"
"Maria-Malin Solheim"|"Danielsengata 03, 1292 Nygård"
"May-Marie Berge"|"Dahlbråten 6A, 8728 Jacobsen"
"Jonas Sandvik"|"Vikhagen 3, 9196 Martinsen"
"Hege-Thea Rønning"|"Sørensenhagen 6, 2360 Hegeborg"
"Arne Simonsen"|"Ruudåsen 84, 3528 Andreassen"
"Trond Birkeland"|"Tveitkroken 1, 9458 Edvardsen"
"Aud-Randi Hauge"|"Lieløkka 358, 9354 Mettehelle"
"Roger Halvorsen"|"Mathisenlia 4, 0762 Evensen"
"Berit-Synnøve Eide"|"Bakkengrenda 6G, 2629 Andreassen"
"Egil Eide-Ruud"|"Næsseggen 8, 1317 Berge"
"Jon Berntsen"|"Henriksenekra 27, 0195 Martinmark"
"Anne-Rita Nygård"|"Hellandhavna 8, 1402 Karinsund"
"Jonas-Andreas Ali"|"Antonsenholtet 50C, 4266 Heidiøy"
"Anne Andersen"|"Sætherringen 47, 8756 Monaby"
"Steinar Johansen"|"Engenkollen 45, 3332 Hegeøy"
"Roar Thorsen"|"Berghøgda 5, 6779 Torøy"
"Inger Ellingsen"|"Iversengrenda 46, 4907 Johansen"
"Mona Myhre"|"Sørensenengen 2, 6344 Kristoffersen"
"May Myklebust-Lie"|"Sandvikhavna 17A, 6533 Jakobsen"
"Emil Bakke"|"Mikkelsengata 5, 4766 Larsen"
"Tonje Pedersen"|"Olsenroa 36, 6860 Audås"
"Elisabeth Knudsen"|"Christensenstien 4, 3947 Mikkelsen"
"Jonas-Daniel Christensen"|"Kristensentunet 23, 4645 Livsund"
"Aud Birkeland"|"Haugenlyngen 7, 9658 Magnegrunn"
"Jenny Vik"|"Solheimsvingen 87, 7406 Ninafjord"
"Espen-Jon Martinsen"|"Olsenholtet 30, 5214 Ruud"
"Åse Jørgensen"|"Jørgensenfaret 8, 2900 Kjetilstad"
"Silje-Ragnhild Berge"|"Thomasseneggen 730, 5237 Tommyås"
"Nora Næss"|"Moemarka 8A, 1573 Jensen"
"Britt Hagen"|"Pettersensvingen 8, 1809 Øysteinhavn"
"Marianne Aas-Christensen"|"Kristensenbakken 3H, 2189 Aasen"
"Svein Birkeland"|"Sivertsenfaret 7B, 7132 Birkeland"
"Jonas-Kjetil Aune"|"Lieskogen 7, 8451 Hagen"
"Eli Antonsen"|"Iversentoppen 9, 2622 Helenesund"
"Eirik-Robert Berg"|"Jørgensengrenda 25, 2560 Andersberg"
"Stine Fredriksen"|"Aaseggen 19, 6976 Kårehamn"
"Vegard Lie"|"Isaksenroa 60, 3004 Beritfjord"
"Mette Jakobsen"|"Birkelandringen 9, 5267 Mettefjord"
"Eva Arnesen-Nielsen"|"Simonsentunet 27, 0546 Ellengrunn"
"Christian-Kjell Knutsen"|"Solheimspranget 7, 9786 Hauge"
"Per Haug"|"Ruudstranda 5, 6995 Frodeås"
"Steinar Eriksen"|"Svendsenspranget 78A, 5613 Frankhavn"
"Jorunn Abrahamsen"|"Bergestykket 8, 3857 Einarvåg"
"Gunn Eliassen"|"Knudsenengen 7, 2752 Andreasbø"
"Tone Ali-Engen"|"Rasmussenløkka 6B, 2445 Tovegrunn"
"Hilde Kristiansen"|"Nielsenmyra 524, 1514 Jonsund"
"Alexander Paulsen"|"Næssåsen 2C, 5591 Kristofferdal"
"Sebastian-Tommy Strand"|"Knutsenkollen 9, 6065 Danielsen"
"Dr. Lars Dahl"|"Martinsengata 9D, 3373 Groby"
"Alf Mikkelsen"|"Tveitskogen 68D, 3448 Danielsen"
"Sissel Haugen"|"Strandstykket 82, 8425 Sisselhelle"
"Karoline Moe-Karlsen"|"Rønningstykket 4A, 0952 Lie"
"Jorunn Dahl"|"Sivertsentjernet 5, 6249 Oleborg"
"Kjetil Arnesen"|"Martinsensvingen 5, 3809 Steinfoss"
"Bjørn Aas"|"Nygårdstien 476, 6448 Lund"
"Ragnhild Eliassen"|"Pettersensvingen 19C, 7086 Sørensen"
"Marianne Larsen"|"Ahmedvika 3, 8490 Dagberg"
"Erik Hanssen-Myhre"|"Henriksenløkka 9, 7557 Hansen"
"Arild Solheim"|"Martinsenstubben 7, 0854 Leifeid"
"Rita-Cathrine Arnesen"|"Christensenkroken 4, 8495 Bakke"
"Nina Strøm"|"Nguyenmarka 3, 5350 Pedersen"
"Sigurd Ahmed"|"Isaksentjernet 3, 2084 Haug"
"Jorunn Eliassen-Thomassen"|"Tveitstranda 796, 2636 Kennethmark"
"Bente Simonsen-Myhre"|"Gundersenringen 1, 8530 Berithavn"
"Sander Moe"|"Mathisenhavna 4, 3710 Brekke"
"Andrea-Jorunn Lien"|"Sivertsenhagen 2, 5327 Emmafjell"
"Anita Myhre-Vik"|"Knudsensvingen 36A, 1500 Bjørgvær"
"Jørgen Ali"|"Hansengata 1, 7428 Svendsen"
"Grethe Martinsen"|"Engenengen 4, 2831 Sanderhavn"
"Elisabeth Haugland"|"Haugenalléen 67F, 3252 Marteås"
"Tom Haug"|"Engentoppen 5, 8019 Dahl"
"Marie Nielsen"|"Alivika 5, 5807 Eriksen"
"Jorunn Engen"|"Moengropa 92, 9448 Ceciliestad"
"Åse Birkeland"|"Jørgensentunet 25D, 7978 Nguyen"
"Nora Haugen"|"Danielsenspranget 258, 6844 Abrahamsen"
"Gunn-Andrea Gulbrandsen"|"Dahlgrenda 8, 6979 Andreassen"
"Grete Martinsen"|"Bakkelyngen 32, 9680 Astridsand"
"Laila-Ragnhild Birkeland"|"Nguyenhøgda 706, 0269 Lunde"
"Olav Johnsen"|"Johnsenhagen 44, 9117 Brittvær"
"Marianne Jensen"|"Madsenberget 51D, 5548 Robertnes"
"Trond Christensen"|"Danielsenplassen 276, 4246 Solheim"
"Turid Svendsen"|"Olsenalléen 9, 7422 Solheim"
"Jorunn Johansen"|"Bakkevika 2, 6674 Henriksen"
"Sara-Linn Mathisen"|"Iversentunet 06F, 7076 Jenssen"
"Eli Paulsen"|"Paulsenlunden 05, 6526 Randiborg"
"Einar Madsen"|"Christensenalléen 15B, 6536 Grethegrunn"
"Martine Tangen"|"Lienroa 6B, 5194 Eivinddal"
"Thor Martinsen"|"Brekkestranda 442, 8974 Mathisen"
"May Svendsen"|"Sandvikflata 84, 3581 Jacobsen"
"Frode Mathisen"|"Lundehagen 36, 8161 Jørgensen"
"Ole Larsen"|"Christensenstykket 89, 5579 Synnøvesand"
"Mona Aune"|"Jakobsenstien 8, 4858 Nguyen"
"Jorunn Lien"|"Evensenstien 6, 4988 Ødegård"
"Johan Evensen"|"Liejordet 6, 9932 Eide"
"Arild Jakobsen"|"Sørensengjerdet 6, 2055 Hauge"
"Vidar Simonsen"|"Mikkelsenberget 72, 8244 Mariehelle"
"Malin Lunde"|"Bakkenbakken 25, 3840 Heleneby"
"Øystein Berge"|"Christensenspranget 36, 1066 Ruthstrand"
"Vidar Eide"|"Næssgropa 4, 8046 Edvardsen"
"Harald Dahl"|"Bøehaugen 6, 5802 Sebastianeid"
"Aud Rønning"|"Birkelandjordet 1, 7218 Andreassen"
"Marianne Antonsen"|"Dahlspranget 97, 1817 Marisjøen"
"Jorunn Strand"|"Eliassenplassen 8, 2506 Karensand"
"Alexander Madsen"|"Danielsenberget 5E, 0338 Sandvik"
"Julie-Ragnhild Strand"|"Hellandflata 40B, 0207 Monicastrand"
"Else Abrahamsen"|"Hagenekra 35B, 5104 Haugen"
"Torill Hansen"|"Mathisensvingen 17D, 0750 Johannessen"
"Marius Haug"|"Lundegjerdet 5, 5407 Sivfjell"
"Sigrid Solheim"|"Amundsenhøgda 1, 7607 Anettestrand"
"Gro Rønning"|"Dahlbråten 1, 3076 Thorstrand"
"Grethe Ahmed"|"Thomassenkroken 54B, 5495 Strøm"
"Unni Haugen"|"Eriksenspranget 4, 0598 Kristensen"
"Julie Gundersen"|"Vikåsen 5, 3174 Berg"
"Trond Eriksen"|"Svendsenberget 17, 4019 Nguyen"
"Karl Hanssen"|"Evensenhagen 4, 6740 Johnvåg"
"Stein Strøm"|"Jensenberget 8, 6234 Pålhavn"
"Janne Gundersen"|"Myklebusttunet 01, 3023 Kjellvåg"
"Aud Berge"|"Jakobsenlyngen 2, 5631 Kristensen"
"Vilde Halvorsen"|"Johansenekra 60, 1012 Martinesjøen"
"Jenny-Elisabeth Thomassen"|"Bakkenmyra 03F, 2987 Ingeborgdal"
"Helge Kristiansen"|"Kristiansenplassen 4, 9239 Nilsen"
"Gerd Pettersen"|"Karlsentunet 13B, 8307 Christianfjord"
"Julie Hagen"|"Gundersenstranda 79, 2182 Terjeberg"
"Petter-Sebastian Aasen"|"Nielseneggen 1, 7395 Synnøvemark"
"Hanne Knutsen"|"Tangenrøa 05B, 3118 Royfjell"
"Gunn Larsen"|"Danielsenstranda 1, 8508 Tonjegrunn"
"Andrea Strøm"|"Tveitstykket 7C, 4815 Hagen"
"Bjørg Nilsen"|"Næssringen 3, 2340 Pedersen"
"Bente Olsen"|"Tangenbakken 45, 9275 Ødegård"
"Thor Amundsen"|"Ellingsenhaugen 09, 7592 Iversen"
"Frode Kristensen"|"Nygårdåsen 42, 2708 Eliøy"
"Line Gundersen"|"Brekkerøa 66, 8490 Vik"
"Julie Jacobsen"|"Svendsengjerdet 46, 9345 Jennyø"
"Åse Sæther"|"Sandvikgjerdet 152, 8290 Eriksen"
"Kristine-Kristine Evensen"|"Andresenlia 17, 4812 Leifvåg"
"Dr. Magne Sivertsen"|"Larsenringen 90C, 5429 Bakke"
"Tone-Mette Jenssen"|"Larsenskogen 1, 5969 Mathisen"
"Camilla Ruud"|"Bergemoen 62, 3549 Øysteinborg"
"Prof. Fredrik Haug"|"Simonsenplassen 084, 4970 Kristensen"
"Bjørg Tangen"|"Birkelandhagen 23, 4585 Isaksen"
"Nils Hansen"|"Aunestien 17, 3420 Anettedal"
"May Myhre"|"Hanssenplassen 8G, 7916 Moen"
"Julie Johannessen"|"Hagentjernet 6, 5130 Mariefjell"
"Hanne Lund"|"Bergplassen 815, 1271 Larsen"
"Sverre Knutsen"|"Arnesenhagen 33, 2356 Sivertsen"
"Maren Bøe"|"Kristensengjerdet 92A, 5428 Tomhelle"
"Harald Haugland"|"Thorsenløkka 336, 7739 Svendsen"
"Kristoffer Gundersen"|"Hauggrenda 5, 3449 Tomhavn"
"Kristin-Anna Nguyen"|"Kristensenringen 58, 2701 Stianø"
"Alf-Martin Johansen"|"Haugplassen 1D, 2903 Helland"
"Line-Karin Simonsen"|"Aliskrenten 4, 2587 Helland"
"Sverre Berg"|"Tveitkollen 047, 5407 Olsen"
"Julie Kristiansen"|"Myhrefaret 9, 5287 Martinsen"
"Stein Hagen"|"Evensenalléen 93, 4708 Reiduneid"
"Eva-Janne Haugen"|"Aasenvollen 757, 8524 Roarbø"
"Britt Hanssen"|"Aasskrenten 280, 5416 Johansen"
"Prof. Sander Jørgensen"|"Mikkelsenhøgda 9, 9802 Synnøveborg"
"Harald Lund"|"Ahmedalléen 4, 9289 Hildehelle"
"Karin Johannessen"|"Moeflata 6E, 9484 Andresen"
"Olav Solheim-Halvorsen"|"Antonsenlyngen 14B, 8340 Karenfjord"
"Steinar Madsen"|"Eliassenplassen 4, 0912 Bakke"
"Henrik Aune"|"Bakkeåsen 080, 2610 Madsen"
"Julie-Kristine Bøe"|"Kristiansengrenda 31, 6270 Næss"
"Thea Kristensen"|"Sætherlyngen 2, 6514 Lien"
"John Johnsen-Sandvik"|"Ruudlunden 8, 4262 Christensen"
"Robert Berge"|"Jørgenseneggen 15E, 3185 Thorsen"
"Ellen Haugland"|"Ellingsenmoen 84, 0464 Solberg"
"Sofie Strøm"|"Nielsenstykket 62, 6309 Sebastianfjord"
"Ragnhild Christensen"|"Johannessenstien 85H, 0924 Ruud"
"Anna Hansen"|"Haugenkroken 03, 9830 Reidunbø"
"Cecilie Gundersen"|"Aasenplassen 4, 6800 Synnøvehavn"
"Kari Simonsen"|"Hauglandlunden 1, 3656 Alexanderstrand"
"Jørgen Aasen"|"Hagenbakken 22, 7051 Ragnhilddal"
"Daniel Thomassen-Lien"|"Paulsenengen 6, 6629 Monicasund"
"Trond Mathisen"|"Bergflata 66A, 3032 Johnsen"
"Arne Aasen"|"Jenssenrøa 25B, 4085 Tveit"
"Jorunn-Sofie Thorsen"|"Sørensenstubben 2, 0002 Lie"
"Camilla-Kirsten Rasmussen"|"Nilsenmyra 1, 2899 Hagen"
"Reidun Ali"|"Alijordet 4, 3560 Sigurdsund"
"Synnøve Berg"|"Haugenmyra 5, 1216 Jørgensen"
"Martine Rasmussen"|"Knutsenflata 290, 0549 Karlsen"
"Tore Ellingsen"|"Antonsenbakken 825, 1885 Perås"
"Jørgen Berntsen"|"Madsenskrenten 14, 7408 Tommyfjell"
"Alf Ødegård"|"Næssstykket 76F, 2773 Kristofferberg"
"Marius Rasmussen"|"Nilsenjordet 330, 1242 Christensen"
"Geir-Tor Næss"|"Sivertsenhaugen 7, 6966 Iversen"
"Emma Nielsen"|"Pedersenhaugen 66A, 2479 Ødegård"
"Henrik Bøe"|"Nygårdhagen 9, 5773 Heidigrunn"
"Heidi Jacobsen"|"Moemyra 043, 9501 Lien"
"Eli Olsen"|"Lieringen 02, 5804 Gretegrunn"
"Janne-Sofie Engen"|"Næsshagen 02, 6520 Ahmed"
"Silje-Berit Solheim"|"Solbergrøa 1, 8960 Wencheøy"
"Jørgen Gundersen"|"Thorsengrenda 6, 4980 Evensen"
"Stig Abrahamsen"|"Edvardsenlia 29, 9428 Jenssen"
"Ellen Rasmussen"|"Larsenstien 99, 3604 Andersen"
"Nils Strand"|"Eliassenhavna 4, 8422 Henriksen"
"Tom-Erik Sæther"|"Karlsenjordet 2, 7705 Asbjørnbø"
"Mona Fredriksen-Andresen"|"Danielsenåsen 6, 9013 Grethehavn"
"Emil Lien"|"Knutsensvingen 6, 8075 Johnsen"
"Ivar Thomassen"|"Karlsenvollen 4, 3329 Ingeborgfjord"
"Espen Solberg"|"Sivertsentunet 35F, 9650 Franknes"
"Emma Rønning"|"Knutsenroa 9F, 9665 Audgrunn"
"Jørgen Halvorsen"|"Næssløkka 281, 4748 Andresen"
"Monica Engen"|"Sandvikhagen 06, 6762 Trondberg"
"Frode Simonsen-Eliassen"|"Berggata 40C, 4281 Eide"
"Karoline-Malin Tveit"|"Kristensenringen 3, 9461 Daghavn"
"Grete Hauge-Paulsen"|"Rasmussenskogen 6, 4848 Jenssen"
"John Lien"|"Haugenhavna 92, 0667 Knutsen"
"Kristin Jensen"|"Gundersenekra 81, 1706 Danielgrunn"
"Ann Edvardsen"|"Bakkeeggen 77B, 0386 Kristinvåg"
"Ola Lie"|"Abrahamsenbakken 84A, 9895 Pettersen"
"Nils Lien-Myklebust"|"Henriksenengen 1, 0682 Haugen"
"Jørgen Moe"|"Tveitmarka 777, 2342 Pedersen"
"Sigurd Johansen"|"Danielsenvika 82, 1791 Jakobsen"
"Nora-Eva Kristoffersen"|"Henriksenløkka 9C, 3687 Ali"
"Hans Haugland"|"Isaksenmoen 98, 6361 Hegehavn"
"Emilie Vik"|"Rasmussengrenda 5E, 2822 Marieberg"
"Roy Haugland"|"Isaksenringen 89, 1615 Bakken"
"Mathias Hauge"|"Mikkelsenstykket 784, 7926 Knutsen"
"Pål-Sigurd Jacobsen"|"Antonsenlia 8B, 0315 Strand"
"Lise Hansen"|"Jenssentoppen 9F, 3071 Geireid"
"Hege-Ruth Birkeland"|"Amundsenløkka 76, 5426 Solheim"
"Jørgen Nygård"|"Iversenkollen 46, 9896 Erikvik"
"Sindre Sivertsen"|"Auneringen 60, 1139 Eide"
"Olav Birkeland"|"Madsenhaugen 7, 6685 Audeid"
"Helge Nygård"|"Andreassengjerdet 155, 7747 Eivindvær"
"Vilde-Elisabeth Aune"|"Kristoffersengrenda 5A, 6271 Kristoffersen"
"Trine Haugland"|"Nilsenlia 4C, 5014 Hegefjord"
"Bjørg-Siri Berge"|"Bakkenfaret 7, 7223 Brekke"
"Kirsten Tangen"|"Knudsenrøa 962, 0608 Eliassen"
"Dr. Magne Danielsen"|"Simonsengrenda 9A, 3294 Mariusvik"
"Marit Ahmed"|"Johannessenstien 673, 9756 Larsen"
"Jørgen Strøm"|"Bakkenroa 6, 1278 Pettersen"
"Kjetil Pedersen-Sørensen"|"Olsenplassen 8, 3975 Kirstenhavn"
"Eva Brekke"|"Pedersenhaugen 16, 3972 Karleid"
"Hanne-Linda Næss"|"Auneflata 857, 3431 Marenvær"
"Jon Jacobsen"|"Jenssenstien 212, 1922 Turidhamn"
"Aud Hagen"|"Eriksenspranget 29F, 6306 Sverrestrøm"
"Synnøve Nielsen-Larsen"|"Evensenløkka 21, 8645 Mettevær"
"Helene-Nora Mikkelsen"|"Nguyenbakken 7C, 1748 Malinsjøen"
"Hans Arnesen-Haug"|"Andreassenplassen 842, 9766 Edvardsen"
"Trond Tveit"|"Nguyenbråten 24, 1709 Ingridmark"
"Jørgen-Johannes Myklebust"|"Kristoffersenhavna 6, 4601 Larsvik"
"Silje Kristensen"|"Pettersenvollen 37G, 8115 Roarvær"
"Martine-Ingeborg Haugen"|"Mikkelsenbakken 89, 7284 Frodedal"
"Daniel Sivertsen-Holm"|"Strømflata 69, 7464 Sandvik"
"Grete-Kristin Amundsen"|"Lierøa 02, 7348 Siriøy"
"Dr. Rolf Haugen"|"Aasjordet 9, 9020 Thomasby"
"Anna Abrahamsen"|"Jensensvingen 7, 3484 Hegehamn"
"Sander-Marius Evensen"|"Jensenkroken 3A, 8076 Nilsvik"
"Arild Isaksen"|"Sæthergropa 16, 9241 Stianeid"
"Ida Fredriksen-Moen"|"Nygårdplassen 97H, 7980 Jensen"
"Jørgen-Leif Svendsen"|"Knudsenmarka 50B, 8317 Cecilieås"
"Line Solheim-Vik"|"Jørgensenhaugen 58, 2239 Erlingvåg"
"Ingrid-Linn Halvorsen"|"Andresenekra 04F, 9126 Larsodden"
"Magnus Eriksen"|"Jørgensenmoen 1, 6761 Anitabø"
"Camilla Andersen"|"Bakkeskrenten 11, 1929 Moe"
"Ruth Aasen-Svendsen"|"Birkelandløkka 62B, 4266 Nielsen"
"Camilla-Aud Lund"|"Haugeringen 9, 5743 Dahl"
"Jon Næss-Lie"|"Nygårdlyngen 41E, 3119 Rolfbø"
"Inger Strand-Danielsen"|"Kristensenhagen 91, 9848 Heleneodden"
"Steinar-Martin Antonsen"|"Hauglandlia 29F, 8005 Simonsen"
"Karen Haugen"|"Antonsentunet 59, 4999 Jacobsen"
"Lars Danielsen"|"Solheimtjernet 9, 9559 Aasen"
"Line-Andrea Martinsen"|"Aashaugen 69, 7642 Arnesen"
"Tove Tveit-Sæther"|"Evensenkroken 952, 6223 Torbjørnvær"
"Karin-Jorunn Halvorsen"|"Thorsenmarka 4H, 9867 Arneberg"
"Kenneth Larsen"|"Lientunet 9D, 7616 Myhre"
"Bente-Eva Solheim"|"Lundekra 43, 9829 Isaksen"
"Gunnar Pettersen"|"Andreassenholtet 9A, 3893 Sandvik"
"Anna Sandvik"|"Hellandgrenda 2, 6962 Reidunbø"
"Martin Moen-Jensen"|"Strømhøgda 74A, 6688 Sisselborg"
"Karen Haugen"|"Jakobsenmoen 7, 1428 Markusfjell"
"Irene Nielsen"|"Nygårdkollen 92, 7393 Aune"
"Hans Knudsen"|"Eriksenrøa 57, 6644 Sandvik"
"Arne Vik"|"Karlsenhavna 759, 7118 Eivinddal"
"Joakim Sivertsen"|"Eidehaugen 07, 1536 Sebastianfoss"
"Simen-Olav Lien"|"Danielsenvika 457, 1785 Elisabetheid"
"Janne Sæther-Lie"|"Larsenlyngen 8, 0266 Bakke"
"Line Hanssen"|"Bakkenengen 4, 9588 Leifodden"
"Fredrik Jakobsen"|"Solbergringen 7, 3488 Espenvik"
"Markus Isaksen"|"Hauglandengen 2B, 6186 Strand"
"Karen Jacobsen"|"Christensenhagen 02B, 2452 Moe"
"Mathias Mikkelsen"|"Gulbrandsenhagen 3, 3130 Johnstrøm"
"Emilie Tveit"|"Pettersenvollen 1, 6150 Danieldal"
"Prof. Thomas Isaksen"|"Hellandskogen 4, 1620 Solveigstrøm"
"Prof. Jan Tangen"|"Eidegjerdet 7, 3378 Johansand"
"Jens Næss"|"Edvardsengata 8, 9100 Mariannehelle"
"Erik Henriksen"|"Jensensvingen 2, 5399 Johanstad"
"Olav Thorsen"|"Myklebustlunden 2E, 9628 Einarsand"
"Emilie Eide"|"Nygårdhøgda 053, 3816 Frankby"
"Wenche Karlsen"|"Ødegårdeggen 533, 4346 Berg"
"Karen Jensen-Antonsen"|"Bakkeflata 621, 3551 Eide"
"Egil-Jens Eide"|"Eliassenåsen 6, 0507 Kristianstrøm"
"Malin-Mona Evensen"|"Dahlhøgda 8, 1176 Astridvik"
"Ragnhild Sivertsen"|"Myhrestien 46, 6090 Eivindgrunn"
"Ola Ruud"|"Iversenmyra 95, 1291 Trondnes"
"Anita Jensen"|"Alistranda 3A, 7201 Rogerbø"
"Stian-Alf Ahmed"|"Solbergsvingen 11F, 8641 Ninasjøen"
"Janne Brekke-Haug"|"Arnesenstranda 59E, 0937 Henriksen"
"Bjørn Kristensen"|"Dahlekra 81, 7215 Maysjøen"
"Markus Johnsen"|"Holmhagen 16, 1316 Rønning"
"Karen Johannessen"|"Hanssentjernet 6, 2218 Elisevåg"
"Kjersti Thorsen-Andresen"|"Kristiansenhagen 247, 3966 Aas"
"Petter-Pål Strøm"|"Lundeengen 3, 8097 Åsegrunn"
"Einar-Tore Berg"|"Sørensenroa 7, 0963 Bjørnnes"
"Cecilie Edvardsen"|"Nilsengropa 5, 8920 Karimark"
"Bente Rønning"|"Arnesengata 42, 1113 Karolinevik"
"Jørgen Pedersen"|"Antonsenroa 79, 8825 Kristoffersen"
"Ellen-Kjersti Gundersen"|"Næssvika 7, 9714 Lenehavn"
"Tove-Aud Lunde"|"Vikmyra 72C, 3402 Arildstad"
"Kjersti Rønning"|"Bakkenplassen 7, 8100 Ødegård"
