"Adrian Aasen","Myklebustflata 540, 1216 Johnsen" 
"Kristine Mikkelsen","Hellandhaugen 6C, 9478 Mortenfoss"
"Nora Hansen","Bergeåsen 49, 9256 Toneeid"
"Mona Andreassen-Thomassen","Karlsenrøa 603, 1592 Kristiansen"
"Linda Gundersen","Eliassengrenda 23, 7333 Sivfjell"
"Prof. Steinar Pettersen","Strandjordet 8, 4801 Magnussjøen"
"Grethe Lie","Engentoppen 7, 5977 Thomassen"
"Elisabeth-Marie Aune","Abrahamsenroa 240, 3027 Vik"
"Hanne Iversen","Brekkeskrenten 79, 9249 Eide"
"Reidun Jørgensen","Ahmedtjernet 544, 1514 Larssjøen"
"Espen Kristoffersen","Aunelunden 19, 9798 Jennystrand"
"Robert Danielsen","Madsenkollen 02, 1026 Sveingrunn"
"Ole Thomassen","Myhregropa 6C, 0645 Eivindsjøen"
"Jorunn-Ann Mikkelsen","Alieggen 1C, 3210 Ninasjøen"
"Linda Haug","Bergvika 04E, 2185 Martinhamn"
"Kjetil Berg","Gundersensvingen 449, 5099 Sirihavn"
"Kjetil Lie","Gundersensvingen 89, 8561 Reidunsand"
"Dr. Adrian Rønning","Liemarka 6, 1052 Frodesand"
"Mona Solheim","Knutsenspranget 684, 1716 Erlingnes"
"Grethe Solheim","Strømhaugen 376, 2106 Thomassen"
"Vilde Myklebust","Nygårdrøa 9, 3529 Berntsen"
"Geir Brekke-Andresen","Sørensenmyra 8C, 5333 Andersstrøm"
"Roy Fredriksen","Arnesenringen 3, 6659 Kristensen"
"Nils Aas-Strøm","Sørensentunet 4, 8317 Magneø"
"Linda Haugland-Hansen","Hellandstranda 6, 5195 Kristoffersen"
"Anita Ellingsen","Solbergspranget 66, 4003 Lineøy"
"Trine Sivertsen","Tveitlunden 67, 8773 Knudsen"
"Svein Paulsen","Thomassenrøa 98B, 6981 Reidunsand"
"Einar Sandvik","Liegjerdet 5, 5243 Markusberg"
"Lise Haug","Halvorsenringen 835, 8695 Næss"
"Eli Bakken-Henriksen","Arnesenskrenten 1, 0469 Andreasstrøm"
"Liv Nguyen","Johansenvika 57, 6412 Andreassen"
"Finn Dahl-Engen","Abrahamsenmoen 83, 6440 Annesund"
"Vilde-Ruth Brekke","Sætherhavna 002, 8182 Solveigøy"
"Linda Jørgensen","Haughaugen 7, 3727 Helland"
"Hanna Madsen","Mikkelsenskrenten 2, 4952 Andreasby"
"Liv Lund","Arnesenjordet 8, 4724 Metteeid"
"Alexander Mathisen","Jenssenskrenten 745, 8923 Pedersen"
"Henrik Johannessen-Arnesen","Myhrevika 489, 5905 Olavås"
"Gunn Andreassen","Andreassenalléen 3, 0110 Ingeborgfjell"
"May Engen","Tveitlunden 87A, 5749 Thorhelle"
"Grete Tangen","Gulbrandsenhøgda 4, 6921 Pedersen"
"Per Martinsen","Haugskrenten 716, 2516 Iversen"
"Berit Andresen","Tveitstykket 8A, 8351 Solheim"
"Linda Mikkelsen","Ruudplassen 10, 7233 Berge"
"Simen Johansen","Bakkebråten 9, 2500 Anetteøy"
"Jens Berge","Johansenbråten 2, 4988 Mareneid"
"Synnøve Aas","Andreassenengen 9, 0641 Frodevær"
"Tone Dahl","Knutsenroa 242, 8415 Karlsen"
"Daniel Bakken","Hellandhøgda 4, 8116 Franknes"
"Solveig Sandvik","Kristiansenekra 362, 0418 Alexandergrunn"
"Else Nguyen","Haughavna 8, 2424 Berntsen"
"Lise Kristoffersen","Nguyenskrenten 911, 1759 Tommysund"
"Dr. Alexander Paulsen","Andreasseneggen 9, 4412 Gretheberg"
"Linda Moe","Haugenvollen 49C, 6210 Pedersen"
"Jørgen-Stein Strøm","Nilsenkroken 15, 3527 Svendsen"
"Prof. Leif Brekke","Tangenbråten 4, 2357 Madsen"
"Tone Brekke","Jenssenkollen 2, 6613 Robertby"
"Unni-Julie Tangen","Holmkollen 2, 2108 Danielfoss"
"Kristian Jensen","Hansenkollen 758, 0029 Alexanderstrand"
"Kirsten-Wenche Andresen","Hagenstubben 21A, 3908 Anitastrand"
"Prof. Gunnar Nygård","Strømlyngen 7, 5691 Arildbø"
"Kristine Andresen","Nielsenåsen 36, 2634 Ingeborghavn"
"Magne Kristensen","Isaksenstranda 995, 0115 Joakimborg"
"Linda Moen","Andreassenfaret 21, 0959 Christensen"
"Håvard Ahmed","Johansenstien 31, 6027 Idaås"
"Sondre Holm","Nguyenmoen 565, 7308 Trondstrøm"
"Jan Lunde","Jenssenhøgda 46C, 7507 Larsen"
"Synnøve-Marie Ellingsen","Evensenlia 2F, 1057 Eriksen"
"Turid Nilsen","Berggjerdet 83, 1082 Gundersen"
"Dr. Jørgen Ahmed","Bergberget 9, 0804 Svendsen"
"Linn Kristoffersen","Lundvollen 46, 2505 Paulsen"
"Kim Johansen","Thorsenhaugen 38, 9721 Wencheborg"
"Dr. Thomas Sæther","Thorsensvingen 6, 6070 Myklebust"
"Linda Ruud","Andersenholtet 867, 1893 Kåreøy"
"Linn Rønning","Engenlunden 29B, 4843 Linnbø"
"Finn-Stian Ødegård","Brekkegrenda 5, 4372 Kimvåg"
"Stine Haug","Bergringen 6, 2248 Olefoss"
"Else Moen","Lieskogen 52, 9302 Håvardborg"
"Tone-Anna Svendsen","Mikkelsenstranda 263, 5434 Andersen"
"Maren Nygård","Ruudlia 63, 1295 Nygård"
"Kenneth Strøm-Knudsen","Andersenbakken 233, 2246 Eide"
"Bjørg-Irene Andreassen","Bergemoen 9H, 9668 Jennysund"
"Marit Henriksen","Olsenkroken 6A, 3480 Mariusborg"
"Linda Sørensen","Eriksenkollen 937, 8185 Kristiansen"
"Terje Edvardsen","Christensenfaret 8, 5175 Ødegård"
"Simen Gulbrandsen","Jenssentjernet 9, 7957 Edvardsen"
"Jon Holm-Henriksen","Nygårdfaret 8D, 6415 Jørgensen"
"Kjetil Strøm","Hagentoppen 45, 7813 Frodefjell"
"Linda Johnsen-Halvorsen","Rønningjordet 5, 2954 Eliassen"
"Kristoffer Jenssen","Vikbråten 2D, 1486 Sofiefjord"
"Helge Sivertsen","Evensenalléen 44, 4575 Sandermark"
"Kåre Jensen","Sivertsenengen 7, 5612 Elineid"
"Kari Kristiansen","Larsenspranget 4, 3008 Karlsen"
"Linda Ødegård","Eidekroken 2, 2639 Alexanderøy"
"Ola-Finn Eliassen","Svendsenvika 5, 0294 Iversen"
"Andreas Birkeland","Jacobsenkroken 23A, 5722 Joakimås"
"Alexander-Egil Eriksen","Engensvingen 3, 5207 Gunnborg"
"Martin Myhre","Edvardsentjernet 80, 5355 Mikkelsen"
"Maria Karlsen","Thomassenvika 3, 9888 Rogerhelle"
"Terje Myhre","Haugenmyra 843, 3165 Ruthfoss"
"Elin Bøe","Rasmussenløkka 3, 0871 Simonsen"
"Erling Thomassen","Thorsengjerdet 4B, 9640 Mariabø"
"Trine Andersen","Larsenvollen 3, 9021 Haug"
"Line Bøe","Bergegata 1, 3058 Fredriksen"
"Kristin Sæther","Ellingsenvollen 4, 2406 Jacobsen"
"Prof. Mathias Vik","Birkelandskrenten 301, 6593 Thorvik"
"John Dahl","Gulbrandsenvika 344, 1696 Knutborg"
"Hanna-Tone Henriksen","Brekkeekra 998, 5425 Eriksen"
"Adrian Eide","Holmkollen 4, 6062 Arildsjøen"
"Sara Strand","Birkelandtjernet 208, 2493 Sandvik"
"Johan-Alexander Helland","Hauglandkroken 10, 2418 Lailaeid"
"Henrik Berge","Johnsenengen 886, 2224 Birkeland"
"Maren Vik","Bakkengrenda 3, 7673 Sørensen"
"Line Danielsen","Jenssenbakken 586, 3943 Madsen"
"Hege Eide-Hauge","Jørgensenstubben 138, 7373 Karinvåg"
"Sondre Bakken","Bøesvingen 1, 1925 Sæther"
"Turid Rønning","Larsenholtet 2, 3623 Håvardfjell"
"Vidar Lunde","Solheimlunden 1B, 9851 Jensø"
"Synnøve Strand","Fredriksenbakken 19A, 7950 Mortenvær"
"Wenche Myhre","Rasmussenrøa 48E, 9131 Eliassen"
"Henrik Nielsen-Simonsen","Kristensengropa 2, 3382 Vegardstrøm"
"Hanna Vik","Gulbrandsenhaugen 58F, 9895 Pedersen"
"Laila Martinsen","Haugeholtet 7, 1636 Turidøy"
"Line Gundersen","Hansenalléen 07A, 8402 Tveit"
"Roy Andresen","Henriksenjordet 54A, 7146 Andersstad"
"Trine Ruud","Jenssenrøa 44, 6220 Gunnvær"
"Jan Iversen","Henriksengjerdet 5, 8441 Elinvik"
"Arild Solheim","Strømgjerdet 7, 5180 Geirstrand"
"Synnøve Christensen","Solheimhagen 2, 1839 Næss"
"Ellen Ellingsen","Engenskogen 7, 8846 Jensen"
"Siri Solheim","Andresenmoen 31, 1003 Rogerhamn"
"Daniel Sæther","Evensenskrenten 2E, 6319 Stigbø"
"Aud Myklebust","Bergetoppen 4, 2571 Myklebust"
"Line Jensen","Haugflata 4, 6306 Ingriddal"
"Bente Helland","Eidegata 858, 8728 Svendsen"
"Ida Karlsen","Strandstykket 6C, 0520 Elifjord"
"Tove Sæther","Aashavna 7A, 4161 Aune"
"Eva Lie","Madsenberget 3, 5498 Haug"
"Liv Mikkelsen","Sæthergjerdet 87A, 4938 Rasmussen"
"Per Eriksen","Tangengrenda 06, 4183 Bjørgborg"
"Stein Paulsen","Johannessenskrenten 7, 7019 Grethevåg"
"Linn-Hanne Antonsen","Abrahamsenspranget 6, 1085 Evensen"
"Magnus Olsen","Svendsenlyngen 2, 8671 Rønning"
"Line Kristensen","Gundersenholtet 7, 6068 Abrahamsen"
"Thea Halvorsen","Martinsengjerdet 43, 5719 Kristoffermark"
"Karl Pedersen","Nygårdhavna 47, 7963 Camillaø"
"Steinar-Tobias Myklebust","Rasmussenstien 1, 7620 Sørensen"
"Eivind Jenssen","Eriksenskogen 6, 2414 Lindafjell"
"Kjersti Jensen","Aasspranget 212, 7309 Ellenstad"
"Tor-Frode Fredriksen","Strandvika 38, 0195 Cecilieøy"
"Terje Bakken","Danielsentunet 4, 0227 Monicaås"
"Olav Haugen","Hanssenflata 021, 4930 Dagstrand"
"Trond Vik","Abrahamsenholtet 298, 1711 Aune"
"Line Myklebust","Andersenjordet 91A, 3475 Kristiansen"
"Tor-Sverre Nielsen","Pedersenfaret 2, 6964 Myklebust"
"Karl Solheim","Sørensenspranget 5, 8092 Mariavåg"
"Monica Myhre","Gunderseneggen 2, 0891 Asbjørnodden"
"Geir Vik","Madsenstubben 4, 8520 Trinebø"
"Synnøve Arnesen","Hansenmyra 171, 7212 Knudsen"
"Grethe Næss","Thorsenstykket 1, 3570 Synnøvefjell"
"Karen Jensen","Gulbrandsenhaugen 17A, 7191 Espenvåg"
"Linn Strand-Holm","Berntsenroa 971, 8422 Myhre"
"Sindre Tveit","Jenssenhaugen 862, 7365 Thorsen"
"Line Pettersen","Johnsenløkka 9, 2070 Heidiøy"
"Monica Lunde-Moen","Kristoffersenringen 77A, 4462 Halvorsen"
"Gerd-Karoline Holm","Hansensvingen 183, 8249 Halvorsen"
"Kristoffer Kristensen","Aliskogen 86, 0636 Mathisen"
"Stine Knudsen-Eliassen","Jensenskogen 8, 8567 Hanssen"
"Mona Abrahamsen","Brekkejordet 382, 2409 Johnsen"
"Elisabeth Ødegård","Andersenmoen 4, 1843 Lunde"
"Grete Sandvik","Johannessentoppen 3, 5647 Stianvik"
"Grete Eriksen","Sætherløkka 043, 2998 Kirstenøy"
"Sofie Lien","Tveitgata 23F, 7410 Stigsand"
"Line-Grete Karlsen","Svendsenflata 2, 2574 Nygård"
"Alf Andersen","Arneseneggen 3, 7410 Kjellmark"
"Asbjørn Nygård","Brekkeskrenten 864, 1555 Ruud"
"Ingeborg Edvardsen","Haugenbakken 97, 0032 Nilsen"
"Anita Myklebust","Hansenkollen 60, 1512 Olahamn"
"Olav Nilsen","Christensensvingen 49, 5821 Engen"
"Magnus Svendsen","Eliassenspranget 6, 4580 Ivarstrøm"
"Jørgen-Tobias Kristiansen","Nilsenstykket 48, 9940 Martinfoss"
"Sindre Sivertsen","Nilsenhøgda 948, 5019 Fredriksen"
"Terje Aasen","Tangenhavna 40, 5714 Sivertsen"
"Line-Inger Moe","Larsengropa 9, 4459 Olsen"
"Vegard Berge","Karlsentoppen 70, 5729 Eide"
"Hans Larsen","Pettersenskrenten 14, 6846 Unnimark"
"Dag Berge","Sætherlunden 9, 7883 Birkeland"
"Johan Bakke-Hanssen","Sætherskogen 23B, 6678 Lien"
"Emma Bøe","Amundsenlunden 9, 3875 Hannahavn"
"Ingrid Hauge","Andreassenjordet 7H, 7933 Lunde"
"Øystein Pedersen","Halvorsenkollen 3, 2398 Stineeid"
"Ola Martinsen","Berntsenvika 9, 4484 Mikkelsen"
"Mona-Karoline Simonsen","Lienbakken 778, 3429 Nielsen"
"Linn Dahl","Næssløkka 24D, 7680 Eliassen"
"Ola Lie","Karlsenmoen 5, 9676 Torillstrøm"
"Karoline-Hanna Moen","Johannessenbråten 81, 1560 Britthavn"
"Vegard Ali","Knutsenlyngen 3G, 0734 Pedersen"
"Maria Abrahamsen","Solheimåsen 650, 3137 Anitafjord"
"Lise Edvardsen","Tangenkroken 56, 6550 Trondvik"
"Henrik Bøe","Bergroa 8, 4826 Aas"
"Emilie Nilsen","Kristensenjordet 1, 6915 Kennethhamn"
"Julie Jensen","Kristoffersenrøa 1, 6010 Solveigborg"
"Henrik Tangen","Tveitrøa 5, 6756 Ellenodden"
"Linn Danielsen","Thorsengata 7, 5363 Ødegård"
"Linn Helland","Johannessenmarka 577, 7918 Kristensen"
"Jan Karlsen","Ellingsenberget 62, 1547 Solberg"
"Åse Sæther-Amundsen","Nygårdfaret 252, 5888 Linenes"
"Grete Berntsen","Danielsenmarka 657, 9417 Rønning"
"Ann Antonsen-Jensen","Alimarka 33, 8354 Sofieø"
"Torbjørn Ruud","Andresenhagen 83, 7825 Ritafjell"
"Helge Solheim","Olsenhagen 7, 2678 Kristiansen"
"Arne Martinsen","Bergegropa 18, 0372 Vildestrøm"
"Bjørg Solheim","Ahmedholtet 2, 0416 Robertsand"
"Linn Holm-Abrahamsen","Paulsensvingen 131, 2251 Strand"
"Marte Knudsen-Kristoffersen","Tveitbråten 5, 8000 Camillaeid"
"Roy Kristoffersen","Rasmussengropa 9, 9608 Evensen"
"Egil Myklebust","Strømhavna 4, 3079 Jakobsen"
"Turid Amundsen","Jakobsenvika 2, 2182 Adrianhelle"
"Jon-Roar Karlsen","Nielsenstubben 036, 6894 Robertfoss"
"Tom-Erling Nilsen","Aasenstubben 42, 6351 Hanssen"
"Marie Jenssen","Sandvikalléen 47, 0504 Kimvær"
"Sindre Isaksen-Myklebust","Kristoffersentunet 94, 0104 Håvardby"
"Maria Aas-Myhre","Birkelandtoppen 1, 2128 Paulsen"
"Linn Johnsen","Aunehavna 87, 1104 Gerdfjord"
"Robert Nguyen-Larsen","Nielsenlunden 9, 9981 Julieø"
"Elise Thorsen","Sætherholtet 4, 4725 Rasmussen"
"Hege Johansen","Andersenlunden 41, 0763 Larsen"
"Dr. Per Thomassen","Hellandlunden 3H, 3755 Pettersen"
"Rune Ødegård","Ahmedsvingen 7, 9995 Evensen"
"Kristian Tangen","Simonsenhøgda 8H, 4217 Torevær"
"Tommy Knudsen","Lienskogen 6, 5067 Moe"
"Karoline Moen","Isaksenåsen 7, 4395 Bakke"
"Martin Johannessen","Kristensenberget 96, 1999 Berg"
"Linn Nilsen-Gulbrandsen","Tangenekra 8, 1592 Sofiefoss"
"Elisabeth Aune","Pedersenstien 2D, 0725 Knuteid"
"Rolf Ahmed","Sørensenbråten 40, 5534 Jensen"
"Svein Pedersen","Jenssenlia 561, 1262 Lie"
"Pål Vik","Arnesenjordet 3, 0330 Antonsen"
"Frank Hauge","Thomassenåsen 87, 8997 Sisselhamn"
"Sara Solheim","Nilsenkroken 1, 8564 Paulsen"
"Torill Andreassen","Bergkroken 54A, 5873 Edvardsen"
"Sissel Larsen","Alirøa 5, 8898 Danielsen"
"Randi-Gerd Pettersen","Hellandroa 8, 6795 Robertvik"
"Linn Næss","Ahmedhavna 7, 5062 Solberg"
"Christian Haug","Anderseneggen 729, 4337 Monaøy"
"Gro Jenssen","Andreassenskrenten 03, 5906 Johannessen"
"Turid Paulsen","Rønningtoppen 76, 1075 Iversen"
"Sindre Bøe","Haugenmoen 5, 7938 Danielsen"
"Camilla Nilsen","Jenssenstien 56, 0257 Pedersen"
"Grethe Jakobsen","Bergestykket 2, 1409 Iversen"
"Maria-Kjersti Lunde","Haugestykket 92A, 9601 Ritafoss"
"Stine Kristiansen","Sørensenholtet 12, 8625 Ellingsen"
"Aud-Eva Kristensen","Andresengrenda 4, 3715 Knutsen"
"Linn Ruud","Lienhøgda 68, 6355 Cathrinefjell"
"Emil Gulbrandsen","Solberggjerdet 69, 9946 Tveit"
"Svein Solheim","Lundskogen 5, 5801 Andresen"
"John-Andreas Jenssen","Bergehøgda 1, 2435 Erlingbø"
"Kjetil Mikkelsen","Thomassengropa 58E, 6564 Ali"
"Leif Isaksen","Thomassenringen 55, 6475 Bakke"
"Stein Johnsen-Johnsen","Ellingsenroa 9, 6156 Tommyby"
"Kjersti Tveit","Johnsenkroken 33B, 7975 Ellingsen"
"Svein Pettersen","Ruudvika 81, 4709 Madsen"
"Kristin-Hanne Eriksen","Amundsenstykket 9, 7131 Jonborg"
"Linn-Kirsten Karlsen","Strømstien 51, 3015 Sverreås"
"Prof. Andreas Karlsen","Moenmyra 57D, 8340 Ali"
"Dr. Kristian Lund","Alikroken 53, 7797 Strøm"
"Anders Edvardsen","Sandvikstien 032, 4092 Strøm"
"Kåre Solheim","Tangenskogen 6, 5437 Frankstrøm"
"Dr. Jan Berntsen","Eliassenmoen 2, 5600 Ninaodden"
"Øystein Johannessen","Kristensenkollen 073, 1400 Abrahamsen"
"Karl Edvardsen","Iversenengen 4, 7998 Gunnnes"
"Kristian Ødegård","Lietunet 429, 1732 Theastrøm"
"Andreas Thorsen","Sætherstranda 63D, 3928 Annahelle"
"Lise Berge","Strandhavna 431, 5681 Berge"
"Anne Tveit-Brekke","Jacobsenmoen 56A, 9656 Sæther"
"Kirsten Lunde","Tangentjernet 4B, 3450 Einarø"
"Marte-Helene Lunde","Andresenfaret 1, 7921 Arnesen"
"Randi Lunde","Mikkelsenløkka 1A, 2582 Sverrehamn"
"Håkon-Vegard Berg","Moeholtet 5, 4541 Gunnarbø"
"Nora Aasen","Strømstranda 3, 3800 Johanås"
"Sondre Isaksen","Pedersenholtet 66, 4420 Vegardfoss"
"Eva Kristensen","Kristiansenstranda 7, 3616 Martestrøm"
"Bente Simonsen","Hellandstien 4F, 4903 Jannes"
"Lise Edvardsen","Martinsenkollen 4, 1814 Hansen"
"Inger Sæther","Ellingsenkollen 77, 2424 Danielhelle"
"Anna Nilsen","Nguyentunet 4, 5453 Hannesjøen"
"Trine Bøe","Danielsenlunden 1, 4423 Solheim"
"Martine Ellingsen","Bergfaret 3B, 3731 Ingridberg"
"Erik Lien-Mikkelsen","Knutseneggen 5, 8711 Erlingdal"
"Mathias Berg","Hauglandsvingen 018, 7065 Torefoss"
"Thea-Grete Haug","Olsenstykket 129, 3979 Linnø"
"Pål Aune","Dahllunden 50C, 9203 Evaeid"
"Kjersti Antonsen","Andresenstubben 59G, 9444 Øyvindborg"
"Lise Mathisen","Knutsenalléen 41E, 4136 Paulsen"
"Sander-Christian Sivertsen","Liesvingen 24C, 1464 Simonsen"
"Knut Larsen","Christensenhøgda 1, 4309 Emmaberg"
"Kristian Ødegård","Rasmussenengen 26E, 7197 Emilvik"
"Gro Helland","Hellandengen 3, 9618 Moen"
"Eli Berge","Kristoffersenhøgda 1, 8314 Alfstad"
"Anette Ellingsen","Tangenhavna 1, 1768 Birkeland"
"Ida Ali","Andresenvika 12A, 7937 Olsen"
"Vegard Isaksen","Eliassenmarka 1, 8257 Hanssjøen"
"Sebastian-Eirik Hanssen","Vikbråten 77, 6888 Geirvær"
"Lise Pedersen","Rønningskogen 7, 8371 Nilsen"
"Tom-Joakim Haugen","Simonsenhøgda 6F, 8460 Ødegård"
"Helene Jenssen","Sørensenplassen 5, 2805 Henriksen"
"Kristin Knudsen","Holmstykket 02C, 1145 Janfjell"
"Jorunn-Janne Johansen","Andreassensvingen 15H, 8104 Engen"
"Asbjørn Christensen","Brekkemyra 3B, 4643 Bøe"
"Eva Næss","Evensenstubben 411, 1787 Øysteinborg"
"Bjørg Lien","Mikkelsenstien 65, 9660 Andresen"
"Joakim Lien","Rasmussenstien 8, 2867 Sanderstrøm"
"Sigurd Rønning-Evensen","Ødegårdløkka 67D, 6311 Larsen"
"Lise Pettersen","Hagenekra 18H, 6409 Anettemark"
"Sigurd Andersen","Amundsenekra 362, 6201 Leiffjell"
"Malin-Lise Myhre","Thorsenrøa 3, 0314 Myhre"
"Siri Aasen","Kristiansengata 4, 6003 Sverreø"
"Alf Helland","Bøeåsen 39, 3742 Vik"
"Christian-Svein Aas","Haugelyngen 6B, 5196 Mikkelsen"
"Per Eriksen","Kristiansenplassen 69B, 5468 Antonsen"
"Lene Hauge-Aas","Iversenalléen 44, 6616 Næss"
"Kenneth Ellingsen","Johannessenmarka 3, 0397 Olsen"
"Arild Johannessen","Johannessenplassen 48, 8132 Emiliesand"
"Lise Sørensen","Myklebustholtet 89, 1055 Engen"
"Erling Brekke","Abrahamsenstien 5A, 4695 Tonegrunn"
"Tobias-Rolf Danielsen","Mikkelsengropa 1A, 2649 Nilsøy"
"Eivind Moen","Hellandbakken 5B, 6663 Thorås"
"Tom Larsen","Simonsenstien 6, 6179 Kristoffersen"
"Else Eide","Sørensentunet 675, 0383 Lindamark"
"Kjetil Jensen","Johnsenjordet 18, 6203 Kristoffersen"
"Dag Engen","Nielsenhøgda 7, 0303 Rasmussen"
"Marie Moen","Mathisenhøgda 6, 9803 Janstrøm"
"Hilde Paulsen-Ahmed","Tveitmoen 890, 1093 Birkeland"
"Liv Eliassen","Myklebustskogen 36B, 7617 Camillanes"
"Astrid-Ingrid Lunde","Liejordet 5, 4149 Pedersen"
"Anette Fredriksen-Madsen","Martinsenvika 06, 3436 Torillstrøm"
"Martin Ødegård","Lienhavna 9F, 5023 Danielsen"
"Einar Ali","Knutsenbråten 82, 9651 Astridstad"
"Ida Larsen","Halvorsenmoen 4G, 4253 Pettersen"
"Martine Ahmed","Knudsenåsen 6F, 1536 Alfvåg"
"Turid Halvorsen","Jacobsenstien 6, 5742 Øyvindfjell"
"Irene Næss","Martinsenvika 3, 4235 Trondø"
"Mette Myklebust","Rasmussengropa 4, 7894 Astridfjord"
"Liv Fredriksen","Hauglandstranda 8E, 9383 Aune"
"Tonje Karlsen","Eriksenkollen 1, 7580 Bakken"
"Vidar Johansen","Haugevollen 9A, 7802 Rønning"
"Torill-Synnøve Amundsen","Mathisenrøa 6, 5457 Ruud"
"Aud Tveit","Johnsenmyra 32, 3019 Thorstrøm"
"Sverre Antonsen","Solheimhavna 16, 5622 Tommyås"
"Sissel Karlsen","Myhresvingen 9, 0051 Janøy"
"Inger-Synnøve Aune","Aasenspranget 03, 9654 Myhre"
"Ole Iversen","Thomassengjerdet 668, 6056 Knutsen"
"Kristine Eriksen-Holm","Aaseggen 5D, 3626 Haugen"
"Liv Halvorsen","Thomassentjernet 11B, 6918 Hegesund"
"Kristian-Asbjørn Kristensen","Tveitalléen 437, 4081 Mortennes"
"Eirik Eriksen","Amundsenfaret 13F, 6553 Birkeland"
"Vilde Ali","Sætherjordet 61B, 9181 Tveit"
"Christian Jakobsen","Vikeggen 17, 5657 Mortenø"
"Prof. Frank Strand","Halvorsenberget 48, 8713 Tangen"
"Eli Pettersen-Nguyen","Karlsenrøa 9, 6892 Synnøvebø"
"Trine-Trine Ruud","Jørgensenhavna 70, 5955 Hauge"
"Synnøve Henriksen","Isaksenstranda 5, 9909 Mayøy"
"Johannes Henriksen-Fredriksen","Isaksenflata 946, 0980 Vik"
"Liv Kristiansen","Holmgata 6, 4589 Rasmussen"
"Sigurd Strand","Strandbakken 3C, 2308 Helland"
"Mona Andresen","Nygårdløkka 28, 5531 Egilø"
"Inger Jenssen","Eideroa 2B, 3180 Kjerstifjord"
"Eva Næss","Knudsengjerdet 55, 8740 Rolfsjøen"
"Eli Jenssen","Martinsenstranda 8, 4252 Pedersen"
"Odd Nilsen","Henriksenstranda 6C, 2211 Jørgenvær"
"Jorunn Nygård","Solheimstien 63, 1085 Larsen"
"Prof. Martin Myhre","Solbergeggen 5B, 5040 Haraldøy"
"Trine Antonsen","Bakkenstubben 3, 3065 Andreasborg"
"Liv Paulsen","Lundmoen 7, 8499 Vildehelle"
"Elin Bøe","Aasenløkka 68, 4507 Grohelle"
"Eli Edvardsen","Jacobsenstien 70, 4332 Karinodden"
"Prof. Magne Lien","Aunehøgda 78, 5682 Ellingsen"
"Jorunn Gundersen","Hansenfaret 91, 2722 Brekke"
"Håkon Jørgensen","Liehagen 75, 9228 Helenehamn"
"Torbjørn Mikkelsen","Eliassengropa 9, 2311 Tobiasstad"
"Astrid Karlsen","Liegjerdet 61C, 0412 Halvorsen"
"Karin-Marianne Solheim","Jørgensenkollen 036, 6971 Thorsen"
"Karl Amundsen","Pettersentjernet 6G, 3885 Ingernes"
"Liv-Eli Henriksen","Henriksenstubben 69, 9834 Strand"
"Ingrid Lie","Berntsenlyngen 9A, 5670 Kristoffersen"
"Martine Abrahamsen","Johannessenvollen 77C, 0800 Finnstrand"
"Unni Johnsen","Nielsenbråten 5, 8905 Larsen"
"Jørgen Nguyen","Lundeløkka 7, 4434 Torillberg"
"Anita-Ellen Strand","Moebråten 2, 4382 Eriksen"
"Aud Moe","Edvardsengata 49C, 9288 Asbjørnvåg"
"Lene Andresen","Bergehøgda 5, 8059 Ødegård"
"Anne Andresen","Nilsenstranda 76D, 2774 Ahmed"
"Kari Ellingsen","Thorsenroa 9, 6800 Ruthodden"
"Liv-Elise Svendsen","Ruudtunet 679, 5838 Næss"
"Dr. Vidar Hanssen","Haugåsen 9E, 2112 Berntsen"
"Monica Pedersen","Lundefaret 364, 2017 Steinfjell"
"Sara-Ellen Helland","Moenkroken 4, 0473 Rønning"
"Stine Hanssen","Engenroa 8E, 3458 Johansen"
"Tonje Sørensen","Berntsentunet 6, 5608 Idaborg"
"May Gundersen","Nygårdåsen 8A, 7169 Danielsand"
"Anders Fredriksen-Aasen","Birkelandskogen 7, 3444 Astridsjøen"
"Gunnar Fredriksen","Eriksenskogen 90, 4609 Nygård"
"Eva Christensen-Hauge","Brekkeberget 5, 6383 Elines"
"Liv-Nina Andreassen","Ahmedtunet 9D, 4383 Ingridodden"
"Karin-Tove Bakken","Larsenringen 4, 7156 Simonsen"
"Kim Solberg","Nilsenstykket 4, 8646 Birkeland"
"Stian Madsen","Rasmussenroa 1, 8909 Emmastad"
"Marit Thorsen","Nilsenlunden 10, 6491 Tobiasås"
"Åse Haugen","Lundstykket 14C, 8895 Arnestrand"
"Prof. Kåre Sæther","Alistykket 69F, 6010 Karlgrunn"
"Karl Helland","Moegropa 66, 4122 Annavik"
"Alexander-Eirik Pedersen","Birkelandrøa 95C, 8701 Martinbø"
"Berit Eide-Lien","Knutsenmoen 48C, 9465 Lund"
"Liv-Unni Haugland","Lundevollen 17, 4096 Perø"
"Christian-Pål Brekke","Lundeholtet 68E, 8803 Robertsund"
"Egil Nguyen","Kristensentoppen 577, 5107 Lenefjell"
"Prof. Eivind Berge","Vikskrenten 6, 6350 Vegardstrøm"
"Dr. Simen Jørgensen","Strandhavna 3, 0887 Strøm"
"Mona Solberg","Andresenholtet 63B, 9359 Ninaøy"
"Sander Gundersen","Rønningmoen 9, 2916 Haugen"
"Thor Christensen-Larsen","Engenspranget 64B, 3813 Lisedal"
"Trine-Emma Simonsen","Jakobsenbråten 3, 8486 Karlberg"
