"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid" 
"Rita Olsen-Knutsen"	"Johannessenlia 9, 2192 Runesand"
"Tove Mikkelsen-Nguyen"	"Engenvika 4, 9069 Eivindfjord"
"Ann Martinsen"	"Thomassenbråten 50, 6809 Solveigås"
"Else Rønning"	"Gundersenbakken 4, 6703 Martinehelle"
"Roger Edvardsen-Lien"	"Næsstunet 15B, 2849 Hagen"
"Daniel Lien"	"Haugeringen 5, 2673 Larssund"
"Karl Aas-Lunde"	"Dahlengen 17, 5508 Nielsen"
"Harald-Håkon Strand"	"Rønningberget 63B, 3984 Reidunvik"
"Johannes Ødegård"	"Thorsentjernet 39, 5902 Pålborg"
"Marie Sæther"	"Halvorsenbråten 84, 5698 Camillafjord"
"Andrea-Jenny Thorsen"	"Birkelandsvingen 4B, 7748 Tangen"
"Turid Abrahamsen"	"Nilsenkroken 9, 5181 Karlsen"
"Rita Tveit"	"Myklebustflata 9, 7760 Hansen"
"May Birkeland"	"Johannessenmoen 52, 9624 Emilfjell"
"Tone Myklebust"	"Jacobsenekra 52, 9845 Jansund"
"Monica-Turid Kristensen"	"Eriksenlia 80, 7371 Jørgensen"
"Karl Aune"	"Olsenekra 311, 8905 Lindafjell"
"Stine Andersen"	"Solheimløkka 1, 5897 Aune"
"Karoline-Lene Engen"	"Berggjerdet 239, 2297 Hagen"
"Thor-Tom Strand"	"Fredriksentoppen 55, 4389 Haugland"
"Sigurd Nilsen"	"Fredriksenplassen 6, 4546 Nygård"
"Frank Andreassen"	"Vikspranget 7B, 3837 Wenchestrand"
"Kjell Hauge"	"Antonseneggen 3E, 9841 Dagstrand"
"Knut Evensen"	"Vikjordet 1B, 0305 Simonsen"
"Vidar Sivertsen"	"Hauglandberget 02, 2155 Ruud"
"Camilla Jenssen-Sæther"	"Halvorsenstranda 09, 7165 Mathisen"
"Karl Berge"	"Evensenhaugen 2A, 3142 Berg"
"Jonas Abrahamsen"	"Mathisenjordet 45, 9024 Ellingsen"
"Daniel Myhre"	"Myhretoppen 9, 7349 Hagen"
"Egil Karlsen"	"Iversenløkka 10, 4952 Antonsen"
"Stig Johnsen"	"Solberglyngen 931, 1269 Alføy"
"Anette Amundsen"	"Christensengrenda 67, 4050 Torillø"
"Hanna Eriksen"	"Kristoffersenflata 84B, 0950 Kristoffersen"
"Magne Solheim"	"Engenflata 19, 3054 Berg"
"Jon Martinsen-Hagen"	"Solheimengen 9C, 9865 Svendsen"
"Helene Lunde"	"Aunebråten 4G, 7570 Gunnøy"
"Karl Hansen"	"Engenlia 5, 4514 Haugland"
"Eirik Strøm"	"Engentjernet 9G, 9819 Johannessen"
"Sander Bøe"	"Bøealléen 5, 1380 Lund"
"Linda-Berit Jørgensen"	"Karlsenskogen 8, 3199 Trondhavn"
"Else Strøm"	"Hauglandstranda 4, 7276 Elisabethvær"
"John Rasmussen"	"Alijordet 00, 5828 Larsen"
"Trond Karlsen"	"Kristoffersenfaret 7, 2906 Trondsjøen"
"May-Sigrid Moen"	"Sætherspranget 89, 5967 Olsen"
"Karin Jensen"	"Karlsenlia 83, 4576 Myklebust"
"Helge-Ola Lie"	"Haugemarka 2C, 5248 Myklebust"
"Karl Hauge"	"Sørensenringen 54B, 1344 Alexanderhamn"
"Heidi Ødegård"	"Jacobsenbakken 31, 5282 Lisevåg"
"Sander Jenssen"	"Isaksenlyngen 2, 0651 Linesand"
"Martine Sørensen"	"Næssvollen 08, 9599 Andresen"
"Jonas Dahl"	"Berntsenlyngen 7, 4014 Beritstad"
"May Olsen"	"Olsengrenda 149, 9866 Mikkelsen"
"Leif Ali"	"Hansenmoen 4, 9746 Jennysund"
"Martin Hagen"	"Rasmussenholtet 44, 9770 Adrianfjell"
"Einar Jacobsen"	"Mathisenmyra 7, 8506 Elinmark"
"Knut Hansen"	"Haugekra 1, 0195 Stigdal"
"Karl Lie"	"Gundersentoppen 2, 1424 Heleneby"
"Sara-Tone Ellingsen"	"Holmkollen 526, 6140 Ingrideid"
"Kjetil Pedersen"	"Hagenskrenten 7, 4510 Elsevær"
"Finn-Kåre Mikkelsen"	"Moenmarka 4, 7228 Ingerfjord"
"Sigurd Ahmed"	"Ahmedåsen 3, 6385 Jenssen"
"Anders Gulbrandsen"	"Evensenhøgda 3, 0186 Greteberg"
"Per Myhre"	"Larsenholtet 1A, 2839 Robertdal"
"Britt-Sigrid Næss"	"Eidevika 1, 8910 Larsen"
"Bjørn-Thomas Lien"	"Ruudekra 3E, 8582 Kennethbø"
"Torill Knudsen"	"Fredriksenroa 07, 4951 Vegardsjøen"
"Karl Mikkelsen"	"Johannessenrøa 53, 8263 Jensstrøm"
"Aud Solheim"	"Gundersenalléen 98A, 4568 Vegardvik"
"Julie Hagen"	"Christensenåsen 87D, 9444 Lund"
"Torbjørn Haug"	"Nygårdkollen 90, 9463 Christensen"
"Knut Nygård"	"Andresenrøa 458, 4844 Abrahamsen"
"Gerd Nielsen-Helland"	"Hagenplassen 21, 1628 Andersen"
"Sissel Holm"	"Madsenløkka 2, 6499 Elseborg"
"Tone Nguyen"	"Eidebakken 4, 4469 Hansgrunn"
"Thea Hansen"	"Engenlyngen 9, 0899 Rasmussen"
"Marie Aas"	"Knutsenkroken 76, 7554 Nguyen"
"Karl Sørensen"	"Vikgata 8, 1929 Juliefjell"
"Nils Eliassen"	"Johannessenrøa 2C, 3507 Olsen"
"Linda-Ida Hagen"	"Lienåsen 327, 9160 Simonsen"
"Berit Jørgensen"	"Myklebustspranget 85, 1894 Ellenhamn"
"Tor Danielsen-Kristiansen"	"Simonsenskogen 5, 6021 Mikkelsen"
"Jørgen Helland"	"Rønningberget 7, 7532 Myklebust"
"Per Jørgensen"	"Haugjordet 30, 8834 Bakken"
"Gunn Pedersen"	"Knudsenberget 4C, 7663 Tonjestrand"
"Øystein Myhre-Hauge"	"Jenssenbråten 54F, 8247 Berg"
"Mathias Pettersen"	"Nielsenlunden 7, 9865 Moe"
"Karl-Terje Kristiansen"	"Nygårdgjerdet 50, 9373 Knudsen"
"Leif Madsen"	"Bergløkka 5F, 2413 Kristiansen"
"Laila Haug"	"Halvorsenlyngen 440, 2994 Malinnes"
"Morten-Rolf Amundsen"	"Amundsenmarka 79, 0232 Myklebust"
"Bjørn-Robert Knudsen"	"Haugsvingen 4B, 7884 Pålfjell"
"Arild Johansen"	"Berntsenbakken 49, 2366 Thorsen"
"Odd-Henrik Holm"	"Madsenplassen 038, 2620 Gulbrandsen"
"Sissel Dahl"	"Sivertsenrøa 8B, 1531 Vik"
"Nils Knutsen"	"Thorsenringen 20B, 7273 Martinesund"
"Daniel-Knut Ali"	"Bergflata 5B, 1769 Hauge"
"Karoline Christensen"	"Arnesenroa 2, 7702 Ødegård"
"Sigrid Gundersen"	"Moeringen 91, 7517 Kristensen"
"Marius-Stig Jakobsen"	"Holmfaret 483, 5100 Dagøy"
"Dr. Stig Jenssen"	"Ellingsenbråten 7, 1473 Sigridfjell"
"Lene Andreassen-Strøm"	"Edvardsenvika 19, 5015 Joneid"
"Sondre Johannessen"	"Mathisenlia 34, 3178 Christensen"
"Elin Eliassen"	"Sivertsenalléen 10A, 1134 Ingeborgøy"
"Asbjørn-Stig Aasen"	"Mathisenekra 3A, 3007 Eliassen"
"Morten Fredriksen"	"Nielsenvollen 8, 7512 Andersen"
"Nina Sæther"	"Berntsenmarka 85, 5326 Vik"
"Karoline Danielsen"	"Gundersentoppen 1E, 9993 Knudsen"
"Knut Eliassen"	"Dahltunet 699, 5465 Åsestad"
"Sondre-Jens Christensen"	"Eriksenskrenten 876, 1415 Juliestrøm"
"Henrik-Stian Abrahamsen"	"Myklebusthagen 4, 8877 Hansen"
"Julie Svendsen"	"Lundstranda 17, 5767 Strøm"
"Nina Haugen"	"Haugenekra 9, 0210 Tonesand"
"Solveig Vik"	"Sætherskrenten 65, 9896 Eivindøy"
"Magne Lie"	"Abrahamsengrenda 58, 8550 Brittborg"
"Eirik Hansen"	"Myklebuststranda 442, 4063 Pedersen"
"Odd Halvorsen"	"Jørgensenstubben 76, 2963 Tveit"
"Karoline Edvardsen"	"Karlsenåsen 00, 5775 Jensen"
"Ellen Kristoffersen"	"Bergehavna 15, 2886 Bakken"
"Elisabeth Karlsen"	"Bakkespranget 7, 2086 Simenberg"
"Olav Kristoffersen-Aasen"	"Liesvingen 68A, 1049 Nilsen"
"Anette Myhre"	"Ødegårdlyngen 8, 4691 Lie"
"Torbjørn Hauge"	"Thorsenhagen 31, 6749 Tonemark"
"Prof. Ola Johnsen"	"Aasgrenda 7, 9766 Bakken"
"Roger Myklebust"	"Rønningløkka 1, 6087 Einarstrand"
"Marte Simonsen"	"Ødegårdtoppen 2, 3666 Myhre"
"Adrian-Trond Pedersen"	"Lundbakken 6, 5917 Moe"
"Karoline Eriksen"	"Kristensenbråten 6, 0501 Sirisjøen"
"Åse Andresen"	"Dahlkroken 8H, 1050 Arnesund"
"Finn Svendsen"	"Lundberget 94, 3253 Ellingsen"
"Kjersti Dahl"	"Danielsengjerdet 7, 2930 Svendsen"
"Ragnhild Lien"	"Holmstubben 9, 6150 Hagen"
"Jørgen Kristiansen"	"Halvorsenåsen 420, 9594 Bakke"
"Tone Moen"	"Ellingsenkroken 7, 4484 Thomassen"
"Trond Evensen-Eide"	"Myklebuststubben 17F, 4628 Hannestrøm"
"Marit Jørgensen"	"Hauglandbakken 9, 9179 Isaksen"
"Siri Jacobsen"	"Aasskrenten 1, 5985 Kjerstihamn"
"Karoline Hauge"	"Hanssenkollen 06, 4695 Myklebust"
"Karin Olsen"	"Birkelandmyra 99, 1300 Andresen"
"Martin-Jon Jenssen"	"Ruudløkka 80, 0361 Mariaø"
"Dr. Kenneth Kristensen"	"Haugemarka 7, 0236 Tonefjell"
"Martin Vik"	"Tveitplassen 8, 0489 Audvik"
"Stig Bakke"	"Johnsenringen 58, 7333 Monahelle"
"Sebastian-Gunnar Ellingsen"	"Lundtunet 9, 4925 Berge"
"Tor Kristoffersen"	"Ellingsenkroken 8, 3839 Haugen"
"Marie Berge"	"Bakkevollen 14, 0263 Hauge"
"Sissel Isaksen"	"Karlsenplassen 56E, 2466 Larsvik"
"Karoline Moen"	"Ruudskogen 8H, 4547 Anneodden"
"Turid Strand"	"Vikekra 1, 2698 Kristiansen"
"Adrian Ødegård"	"Strømfaret 76C, 8523 Eivindøy"
"Eivind Antonsen"	"Gundersenplassen 94, 7552 Grostrand"
"Rune Jakobsen"	"Aasstien 05, 9324 Mikkelsen"
"Cecilie Vik"	"Antonsentoppen 4, 4764 Maritsund"
"Kim Dahl"	"Solheimåsen 2C, 0404 Anitasand"
"Siv-Lise Martinsen"	"Aasenlyngen 33A, 9129 Nygård"
"Mona-Linn Næss"	"Danielsenmyra 9, 1780 Johanberg"
"Ingeborg-Ragnhild Myhre"	"Amundsenstykket 915, 1785 Øyvindsund"
"Karoline Rønning"	"Kristensenkroken 9, 6661 Bakken"
"Ingeborg Gulbrandsen-Lunde"	"Abrahamsengropa 709, 2505 Fredriksen"
"Frode Gundersen"	"Solheimfaret 1C, 8654 Greteodden"
"Sissel Johannessen"	"Nygårdgrenda 76B, 2053 Strøm"
"Else Gulbrandsen"	"Tveitflata 14C, 0214 Jørgensen"
"Prof. Roger Aas"	"Gundersenvika 6, 2509 Paulsen"
"Gro Tangen"	"Holmstranda 94, 4594 Karlsen"
"Jonas Danielsen"	"Martinsenmoen 8B, 3652 Erlinghelle"
"Asbjørn Myhre"	"Birkelandlyngen 112, 3793 Siljesand"
"Svein Knudsen"	"Abrahamsenløkka 4, 1892 Oddvær"
"Karoline Solberg"	"Berntsenvika 37A, 4692 Nygård"
"Magnus Edvardsen"	"Christensenskrenten 6, 9730 Jonsjøen"
"Nils Thorsen"	"Aasbråten 5, 2634 Kirstenfjord"
"Kirsten Iversen-Hanssen"	"Danielsenhavna 56, 9350 Kristiansen"
"Kjell Dahl"	"Simonsenstien 1, 4686 Johnsen"
"Steinar-Karl Rønning"	"Evensenflata 7, 1542 Jørgenøy"
"Kristin Edvardsen-Johannessen"	"Pedersenmoen 8, 4055 Aas"
"Sofie Larsen-Paulsen"	"Martinsenhavna 243, 3606 Kirstensjøen"
"Petter Tangen-Johnsen"	"Auneeggen 6, 0076 Toredal"
"Odd Sivertsen"	"Aasvollen 63, 3259 Arnehavn"
"Karoline Strøm"	"Bøetjernet 314, 8851 Thomassen"
"Aud Rønning-Jensen"	"Evensenstykket 3, 2094 Eliø"
"Cecilie Ødegård"	"Kristensenalléen 44, 4353 Jenssen"
"Øystein Næss"	"Ahmedlunden 5, 2063 Karenstrand"
"Turid Pedersen"	"Christensenhavna 3G, 6785 Nygård"
"Turid Simonsen-Lie"	"Kristensengrenda 46, 5639 Helland"
"Anita-Lise Brekke"	"Berntsenhagen 21, 2510 Lailastad"
"Aud-Ragnhild Edvardsen"	"Sørensenplassen 071, 6068 Malinsand"
"Bente Berge"	"Amundsenspranget 2, 9356 Danielsen"
"Prof. Thomas Myhre"	"Nygårdtjernet 40B, 9499 Trinehamn"
"Karoline Svendsen"	"Vikbakken 9, 6824 Tveit"
"Alf Andreassen-Holm"	"Haugehøgda 9E, 3958 Abrahamsen"
"Dr. Vidar Fredriksen"	"Kristiansenengen 45, 6897 Andreassen"
"Ragnhild-Ruth Myklebust"	"Hauglandstranda 590, 5536 Mariannebø"
"Else Berge"	"Andresenroa 5, 6024 Ali"
"Sara Ali-Haug"	"Aunestranda 8, 1437 Hansen"
"Tore-Terje Halvorsen"	"Johansenskrenten 77, 0032 Marenstrand"
"John Ødegård"	"Antonseneggen 30D, 7290 Ødegård"
"Cecilie Nilsen"	"Bakkeeggen 2, 9407 Thorsen"
"Stein Nilsen"	"Ahmedmarka 32, 9722 Ruud"
"Karoline Tangen"	"Holmrøa 9B, 6127 Hanssen"
"Ingeborg Larsen"	"Hanssenstranda 76, 1301 Nguyen"
"Stian Knutsen"	"Arnesenbråten 4, 2172 Hildehavn"
"Dr. Sebastian Eide"	"Amundsentunet 84B, 4904 Kristensen"
"Heidi Solberg"	"Karlsenalléen 2, 5535 Dahl"
"Rita Ali"	"Hanssenspranget 4, 7665 Ruthø"
"Daniel Abrahamsen"	"Tveithaugen 3, 5118 Karinvåg"
"Ingeborg Johannessen"	"Fredriksenalléen 17, 4005 Karlsen"
"Vidar-Geir Iversen"	"Fredriksenekra 659, 5052 Bakken"
"Karen-Ellen Ødegård"	"Sørensenskrenten 61, 9156 Hansen"
"Karoline Tangen"	"Iverseneggen 9G, 5828 Kimfjell"
"Ola Lunde"	"Eriksengropa 34, 4903 Halvorsen"
"Marianne Andresen"	"Kristensenmoen 76C, 8973 Adrianås"
"Anita Berg"	"Aasplassen 119, 6773 Turidstad"
"Jonas Eide"	"Dahlkollen 7, 4952 Hansen"
"Turid-Marianne Solheim"	"Svendsenskrenten 3, 8149 Alexanderfoss"
"Jon-Rune Pettersen"	"Alikollen 78, 3890 Ritavær"
"Nils Lien"	"Knutsenskogen 81, 9121 Strand"
"Ingeborg Tveit"	"Pedersenvika 3F, 4657 Andreassen"
"Mona Pedersen"	"Jenssengropa 6, 5841 Bakke"
"Karoline Tangen"	"Pettersenroa 7B, 3771 Vik"
"Marit-Kristine Jensen"	"Kristoffersenstubben 2H, 4390 Noraodden"
"Karl Lunde"	"Kristoffersenfaret 4, 7718 Eriksen"
"Jenny Lund"	"Bakkeengen 6, 8000 Danielsen"
"Berit Myklebust"	"Hagenvollen 301, 4199 Ali"
"Line Pettersen"	"Ahmedbråten 2, 9158 Ingridborg"
"Anna-Trine Hanssen"	"Ahmedhagen 84F, 5232 Nygård"
"Maria Pettersen-Martinsen"	"Pettersenmarka 3, 9875 Isaksen"
"Thea Bakke"	"Næssvika 3, 1507 Mariavik"
"Jon Iversen"	"Iversenberget 5B, 6080 Rolfø"
"Karoline-Hege Strøm"	"Tangenvika 92, 8206 Runeborg"
"Lars-Morten Helland"	"Lundkollen 1, 7806 Permark"
"Rune Nygård"	"Hansenstykket 12, 0729 Ritaberg"
"Asbjørn Engen"	"Kristiansenhagen 7, 0820 Johnsen"
"Helge Halvorsen"	"Amundsenkroken 79, 4129 Berntsen"
"Dr. Ole Christensen"	"Andresenroa 5, 0469 Linnås"
"Siv Berntsen"	"Tangenstien 15, 7396 Andreasodden"
"Roar Moe"	"Haugeberget 8A, 9659 Kennethfjord"
"Marie Lunde-Pettersen"	"Nielsenfaret 34B, 4308 Haugland"
"Daniel Lunde"	"Eliassenringen 9, 6475 Hegefoss"
"Karoline-Heidi Olsen"	"Lienløkka 41H, 0792 Magnushamn"
"Torbjørn-Trond Paulsen"	"Tveitlyngen 76B, 4947 Ruud"
"Finn-Sebastian Evensen"	"Johannessengata 8, 6273 Berntsen"
"Erik Hauge"	"Hauglandfaret 3, 2904 Steineid"
"Eivind Kristiansen"	"Fredriksenåsen 3G, 6895 Holm"
"Sofie Edvardsen"	"Lienskrenten 154, 6433 Iversen"
"Gunnar Nguyen"	"Sandvikstubben 385, 2100 Ødegård"
"Siv Madsen"	"Thorsengropa 47, 9042 Erikøy"
"Else Brekke"	"Aunehagen 49, 3028 Torillhamn"
"Mette Larsen"	"Rasmussenstien 68, 9011 Elseby"
"Kenneth Evensen-Iversen"	"Haugenlia 972, 6747 Jørgensen"
"Cathrine Berntsen"	"Moegjerdet 1, 8796 Ellingsen"
"Elise-Sissel Kristensen"	"Mikkelsenlyngen 4, 4455 Iversen"
"Trond Strøm"	"Rasmussensvingen 6, 5450 Nilsen"
"Janne Dahl"	"Johnsenplassen 97, 3781 Tangen"
"Rita Bakke"	"Strandtoppen 5, 5598 Halvorsen"
"Knut Johansen"	"Christensenjordet 00, 2638 Torø"
"Tor-Arne Olsen"	"Ødegårdhagen 9, 9202 Solberg"
"Turid Paulsen"	"Bøelyngen 2A, 1568 Jakobsen"
"Marit Sæther"	"Strandskrenten 73C, 4186 Andreassen"
"Kenneth Hauge"	"Nguyenkollen 21, 8668 Hagen"
"Andrea Solberg"	"Alihavna 232, 2870 Karlsen"
"Jørgen Hauge"	"Eriksenekra 65, 0745 Eide"
"Kim-Eivind Jakobsen"	"Strandstubben 67, 5686 Iversen"
"Emil Eriksen"	"Tveitlunden 6, 6376 Stianhelle"
"Stian-Trond Tveit"	"Svendsengrenda 83A, 9455 Marianneodden"
"Irene Ødegård"	"Jørgensenmarka 45E, 6699 Sindrestad"
"Olav Haug"	"Bøevika 1A, 1576 Næss"
"Kristoffer Vik"	"Liemoen 7, 2068 Jørgensen"
"Hilde Solheim"	"Iversenstykket 3F, 4644 Vik"
"Kenneth Lie"	"Dahlmoen 69, 4694 Evensen"
"Anette-Kristine Danielsen"	"Andreassengjerdet 54, 7984 Johnsen"
"Mari Bakken"	"Næssbakken 85G, 4437 Annhavn"
"Ola Johnsen"	"Gulbrandsenstien 6E, 6977 Vildefjord"
"Ann Brekke"	"Haugenåsen 6, 0420 Jansand"
"Reidun-Reidun Sæther"	"Haugåsen 6, 5341 Jenssen"
"Hilde Mikkelsen"	"Liestranda 4, 5226 Edvardsen"
"Siv Lien"	"Jenssenvollen 8, 1582 Andreassen"
"Pål-Tor Moen"	"Larsenmoen 59A, 6619 Vegardsand"
"Arild Madsen"	"Berntsenhavna 31, 5403 Håvardby"
"Kenneth Mikkelsen"	"Lundåsen 79G, 0820 Jørgensen"
"Svein Abrahamsen"	"Martinsenkollen 35, 9001 Sofienes"
"Randi Evensen"	"Jakobsenjordet 1A, 2377 Brekke"
"Erling Gulbrandsen"	"Kristoffersenløkka 279, 5674 Hagen"
"Ida Helland-Antonsen"	"Hellandhøgda 5, 9835 Moe"
"Emma Kristiansen"	"Ahmedengen 635, 5642 Svendsen"
"Monica Jakobsen"	"Engeneggen 12, 6475 Johannesby"
"Kjell Sivertsen"	"Haugenkroken 28E, 1826 Karinvåg"
"Kenneth-Vidar Ellingsen"	"Mathisenbakken 61, 2246 Mariannestrøm"
"Per Sørensen"	"Ruudhagen 4, 5592 Berge"
"Kenneth Solheim"	"Edvardsenstien 2, 0286 Ingeborgodden"
"Eirik-Per Holm"	"Johansenflata 17, 9876 Gunnstrand"
"Terje-Nils Sivertsen"	"Mathisentunet 3, 2448 Julievær"
"Daniel Pettersen"	"Kristiansenskogen 47, 8084 Ellingsen"
"Morten Johannessen"	"Sandvikløkka 6A, 1570 Oddsjøen"
"Kim Madsen-Haugen"	"Bergeringen 6, 1159 Marigrunn"
"Monica Bakke"	"Henriksenflata 6, 8100 Gulbrandsen"
"May Birkeland"	"Nguyenberget 4, 8812 Lien"
"Tommy-Finn Strøm"	"Haugenlunden 34G, 1376 Karinvåg"
"Ivar Berge"	"Haugelia 4, 9648 Jensø"
"Kenneth Sæther"	"Ellingsenengen 434, 7813 Olavstrøm"
"Grete Halvorsen"	"Moenskogen 47, 3784 Magnevær"
"Ruth Simonsen"	"Solheimgjerdet 1D, 2065 Ellingsen"
"Magnus Olsen"	"Engenspranget 3B, 9717 Edvardsen"
"Kristoffer-Fredrik Eide"	"Jakobsenalléen 2, 1038 Larsstad"
"Erling Johansen"	"Johansenroa 65, 9695 Ingeborgås"
"Gerd Engen"	"Hanssentoppen 4, 5079 Berge"
"Sissel Lien"	"Paulsenstykket 258, 9779 Ivarstrøm"
"Magne-Morten Andersen"	"Aliringen 5, 4302 Solheim"
"Eirik Næss-Olsen"	"Aunegjerdet 61, 0793 Elisebø"
"Kim Eide"	"Johnsentjernet 65, 3915 Martinsen"
"Åse Ødegård"	"Myhrelia 02, 5365 Helgenes"
"Britt Sivertsen"	"Nygårdstubben 2, 3253 Audvær"
"Britt Haugland"	"Mathisenkollen 63, 6850 Holm"
"Marte Aas"	"Hauglandvollen 64B, 2678 Royberg"
"Olav Bakke"	"Brekkejordet 7, 8074 Ninastad"
"Else Kristensen"	"Jacobsenløkka 30, 0290 Karinby"
"Else Hauge"	"Myhreskogen 7, 9268 Edvardsen"
"Lene Larsen"	"Tangenfaret 839, 1818 Vildehavn"
"Dag Nygård"	"Haugenlyngen 8, 3484 Karenbø"
"Kim Hagen"	"Sørensenbakken 8B, 1776 Fredriksen"
"Kristine Hanssen"	"Ahmedåsen 4, 4580 Antonsen"
"Kjell Ruud-Hansen"	"Lundehøgda 169, 1292 Torbjørnsjøen"
"Kjell Eliassen-Moen"	"Ødegårdvika 240, 4162 Gundersen"
"Reidun Mathisen"	"Ødegårdmoen 47, 8627 Sigurdgrunn"
"Tommy Nilsen"	"Larsenalléen 8B, 5078 Nielsen"
"Gro Pettersen"	"Thomassentoppen 70, 4803 Noraøy"
"Torbjørn Pettersen-Knudsen"	"Ruudengen 3H, 3970 Solveigås"
"Prof. Morten Helland"	"Pedersengrenda 2, 8527 Gulbrandsen"
"Siv Johnsen"	"Knudsenlunden 1, 9654 Karlsen"
"Kim Knudsen"	"Jenssenhøgda 29A, 1367 Sondrefjord"
"Berit Thomassen"	"Fredriksenskogen 28, 6479 Elsevåg"
"Karoline Andresen"	"Berntsenekra 44, 7143 Christensen"
"Reidun Eriksen"	"Bøestranda 88, 8823 Norahamn"
"Erling-Olav Abrahamsen"	"Aasenvika 8, 6262 Sverrefjord"
"Sigrid Mathisen"	"Knutsenplassen 7, 8280 Oddberg"
"Frode Ellingsen"	"Fredriksenløkka 6C, 6264 Øyvindeid"
"Roy Tveit"	"Henriksentoppen 819, 8675 Gundersen"
"Maren-Gro Abrahamsen"	"Paulsenlyngen 4, 6313 Siljeø"
"Hanne Thomassen"	"Solberglyngen 5E, 3138 Kristiansen"
"Kim Madsen"	"Bergkollen 5, 7235 Malinnes"
"Kristin Myhre"	"Thomassenskrenten 8F, 0658 Synnøvesjøen"
"Sigurd Danielsen"	"Bergmyra 1, 2814 Jonsjøen"
"Gerd Andreassen"	"Ødegårdskrenten 06, 4546 Andersstrøm"
"Tone Mathisen"	"Eriksenmoen 53D, 6891 Iversen"
"Arne-Håvard Moe"	"Pedersenløkka 51C, 5927 Svendsen"
"Anita Johnsen"	"Amundsenengen 7, 3701 Frodeeid"
"Liv Sørensen"	"Nguyenstien 7, 0680 Strand"
"Rita Mikkelsen-Bakken"	"Nygårdløkka 3, 8375 Simenfjell"
"Sondre-Nils Antonsen"	"Christensenkollen 3G, 4585 Martefjell"
"Kim Rasmussen"	"Solberggata 7, 2586 Jakobsen"
"Fredrik-Finn Lie"	"Jenssenbråten 19B, 8591 Antonsen"
"Bente Jørgensen"	"Isaksenlyngen 9, 9701 Olavvær"
"Prof. Roar Nilsen"	"Dahlåsen 2G, 6175 Kristinefjell"
"Kåre Aas"	"Vikskogen 9, 0945 Erlingøy"
"Nora-Laila Sandvik"	"Tangenstykket 13, 8068 Solheim"
"Helge Sørensen"	"Svendsenløkka 5, 8722 Hagen"
"Ivar Madsen"	"Rønningstranda 4B, 9466 Kennethnes"
"Dr. Jens Jenssen"	"Amundsenlia 90, 8665 Solberg"
"Alexander-Leif Knudsen"	"Arnesensvingen 3, 5884 Evamark"
"Kim-Kristian Dahl"	"Simonsenmarka 170, 7403 Karlsen"
"Emil Knudsen"	"Iversengropa 08, 4224 Dahl"
"Andreas Aasen"	"Hanssenkollen 84, 3896 Sandvik"
"Marit Brekke"	"Kristiansenløkka 84, 3785 Strøm"
"Tonje Haug"	"Paulsenskrenten 135, 6376 Ingriddal"
"Einar Lie"	"Berntsenmarka 2A, 2091 Jensen"
"Laila Haugen"	"Mikkelsenhavna 84, 3457 Frankeid"
"Julie Solheim"	"Gulbrandsenåsen 6, 8605 Jørgensen"
"Adrian Lunde"	"Simonsenmarka 03, 5537 Lindaø"
"Sigurd Mikkelsen"	"Lietjernet 04, 0833 Hannefoss"
"Kirsten Arnesen"	"Ruudløkka 4A, 4734 Ahmed"
"Magne-Gunnar Jenssen"	"Nielsenåsen 38F, 4006 Linestrøm"
"Lene-Kristin Berge"	"Knudsenlia 3, 9373 Finnås"
"Vidar Svendsen-Birkeland"	"Strandrøa 5, 3446 Martinsen"
"Linda Mathisen"	"Dahlroa 79A, 8273 Olastrand"
"Simen Engen"	"Sandviksvingen 2, 6543 Nygård"
"Dr. Jørgen Ruud"	"Mikkelsenhagen 33, 5655 Nilsen"
"Trond Berntsen"	"Aasengropa 9F, 0041 Aune"
"Helene Aasen"	"Bakkengrenda 38C, 3388 Malinhelle"
"Siv Jenssen"	"Olsenlunden 2, 3935 Hansen"
"Kirsten Bakken"	"Brekketjernet 1, 1133 Sverreberg"
"Siri Engen"	"Aasstubben 8E, 0225 Knudsen"
"Frank-Harald Aasen"	"Christensenlyngen 7, 3507 Henrikås"
"Johannes Christensen"	"Olsenmoen 727, 3353 Kåreås"
"Prof. Roar Birkeland"	"Svendsengrenda 6B, 9387 Arnesen"
"Ole Aas"	"Johannessenmarka 4, 2156 Irenesund"
"John Larsen"	"Haugenhøgda 9B, 8077 Danielsen"
"Turid Andersen"	"Kristiansenskogen 9, 3232 Moen"
"Elisabeth Berntsen"	"Haugemarka 7, 3694 Permark"
"Reidun Paulsen"	"Nielsenskogen 78, 6376 Gulbrandsen"
"Kirsten Danielsen"	"Eliassenskogen 2, 3860 Synnøveberg"
"Olav Haugen"	"Thomassenholtet 58, 7829 Jonasås"
"Ruth Lunde"	"Moeflata 10, 8589 Turidvær"
"Sara Myhre"	"Olsenstranda 452, 2140 Johansen"
"Asbjørn-Ivar Ellingsen"	"Moestranda 71, 7390 Knutsen"
"Jørgen Nguyen"	"Bakkemarka 4, 6618 Lindaås"
"Pål Karlsen"	"Olsenløkka 9C, 1573 Henriksen"
"Johan Hanssen-Myhre"	"Haugenmoen 9, 9686 Nilsen"
"Randi Berge"	"Aliflata 70, 5160 Karolinehelle"
"Stig Brekke"	"Arnesenroa 4D, 1597 Arnesen"
"Kirsten Gulbrandsen"	"Paulsenberget 85, 9266 Sverrestad"
