"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520" 
"आकांक्षा भोसलेजी","6/4 शिंदे
जळगाव 377722"
"श्रीमती उमेश साने","68 निखिल साळुंखे
रत्नागिरी-115420"
"ईश्वर ठाकूरजी","0861 उमा माने
पिंपरी-चिंचवड-318353"
"ईश्वर चव्हाण","52/69 पाटील
उस्मानाबाद-392282"
"आशा सानेजी","8/8 महाजन
ठाणे 147937"
"श्रीमती पूजा कदम","92/073 प्रकाश पवार
पुणे-139238"
"आकांक्षा भोसलेजी","70 आकाश साने
नागपूर 147352"
"श्रुती ओकजी","36/0885 सुरेश कोल्हे
मुंबई-386960"
"दीपक मोरेजी","70/09 कांबळे
नांदेड 331370"
"श्री भूषण भोसले","92/069 अहेर
सातारा-617189"
"संदीप देशमुखजी","806 इशिता जोशी
चंद्रपूर 213622"
"पंकज चौगुलेजी","79 फडके
मिरज 164299"
"श्रीमती प्रिया पवार","72/11 जितेंद्र शिंदे
यवतमाळ-888236"
"शिल्पा कदमजी","4251 विकास साळुंखे
नागपूर-328966"
"संदीप जगताप","5009 विकास कोल्हे
रत्नागिरी-521401"
"श्रीमती दीपाली जोशी","2/1 ज्योती जाधव
पुणे 665823"
"निलेश आगरकर","7 नेहा पाटील
अकोला-502376"
"विकास अहेर","94/093 रोहित देशपांडे
अहमदनगर-357582"
"दीपक राऊत","8 ईश्वर कदम
अकोला-409625"
"अपर्णा राऊतजी","11/46 प्रकाश कुलकर्णी
गोंदिया-201875"
"भूषण आगरकर","7 आशा गायकवाड
रत्नागिरी-506524"
"कीर्ती सानेजी","76/997 मकरंद अहेर
लातूर 724588"
"गणेश शिरसाटजी","16 सावंत
चंद्रपूर-463896"
"श्रीमती भूषण कदम","79/008 नेहा राऊत
चंद्रपूर 111128"
"श्री वैशाली सावंत","2/1 गणेश चौगुले
नवी मुंबई 384494"
"स्नेहा मोरे","16/88 फडके
लातूर 422278"
"निखिल अहेर","2/6 स्नेहा महाजन
यवतमाळ-143052"
"विनायक फडके","8 फडके
अहमदनगर-552838"
"दीपक राऊतजी","84/85 अरुण चव्हाण
पिंपरी-चिंचवड 933044"
"मेघा देशपांडे","3547 अहेर
मुंबई-584934"
"जितेंद्र फडके","76/30 अनुष्का भोसले
सांगली 266732"
"रोहित आगरकर","55/926 भूषण कांबळे
नांदेड-398990"
"श्री दीपक जोशी","8921 मीनल सावंत
जळगाव-075686"
"मेघा मानेजी","21/0356 देशमुख
सांगली-315384"
"अनिता मोरे","3 कांबळे
औरंगाबाद-317799"
"कुमारी निखिल सावंत","8/1 मेघा ओक
मिरज 702006"
"आकाश आगरकर","99/403 सुरेश अहेर
जळगाव-762312"
"विनायक मोरे","83/9962 आगरकर
पिंपरी-चिंचवड 562224"
"दीपक शिंदे","86/829 जगताप
ठाणे 633330"
"श्री चेतन भोसले","68/51 शिल्पा ओक
अमरावती 377556"
"आदित्य जोशी","3/7 साळुंखे
सातारा-213283"
"श्री कल्पना कोल्हे","23/1534 साळुंखे
नवी मुंबई-068294"
"श्रीमती अरुण जगताप","9 गौरव माने
सांगली-294956"
"अनिल कदम","2/0 प्रवीण मोरे
उस्मानाबाद-698582"
"हर्षदा मोरे","7011 मंगेश माने
नांदेड-956270"
"श्रीमती रोहित पाटील","772 मोरे
नागपूर 745543"
"इशिता अहेरजी","84 मीनल कांबळे
नवी मुंबई 429261"
"श्रीमती ज्योती गायकवाड","8/6 निखिल गवळी
रत्नागिरी-793668"
"दीपक शिरसाट","50/313 किरण ठाकूर
अमरावती 570656"
"चेतना पवार","68/437 माधव चौगुले
चंद्रपूर-646594"
"दत्तात्रेय जोशी","2/5 कल्पना पवार
अकोला-362953"
"श्रीमती आकांक्षा सावंत","8300 चव्हाण
उस्मानाबाद-202435"
"अरुण अहेरजी","9 आदित्य शिरसाट
धुळे-755770"
"कुमारी मेघा देशपांडे","464 आकांक्षा चौगुले
अमरावती 279674"
"श्रीमती माधव कुलकर्णी","4 चव्हाण
यवतमाळ-407152"
"मीनल कुलकर्णीजी","4168 कुलकर्णी
उस्मानाबाद-119615"
"श्री वैशाली कोल्हे","37 भूषण गायकवाड
उस्मानाबाद 021146"
"सुरेश साळुंखे","11/9361 तन्वी कुलकर्णी
हिंगोली 442136"
"दीपाली कांबळेजी","17/1561 गौरी पाटील
लातूर 426676"
"श्री अरुण शिंदे","07/4077 राहुल ठाकूर
परभणी-673445"
"कुमारी माधुरी जोशी","2522 अनुष्का पवार
सांगली-250678"
"आशा सानेजी","24/0674 साने
नाशिक 038827"
"श्रीमती अमोल ठाकूर","74/708 जोशी
सांगली 411256"
"प्रशांत कदमजी","47/06 चव्हाण
रत्नागिरी 537830"
"गौरव पाटील","5564 विकास राऊत
मिरज 971709"
"कोमल गायकवाड","30/143 कदम
कोल्हापूर 342523"
"चेतन जगतापजी","9/4 इशिता पवार
लातूर 501803"
"कीर्ती चव्हाणजी","8/8 गायकवाड
वसई-098157"
"दीपाली कोल्हेजी","3/3 गौरव पाटील
लातूर 190577"
"माधुरी पाटील","6 अरुण साने
सातारा 570227"
"अभिषेक फडके","76/69 सावंत
मुंबई 471852"
"श्रीमती अपर्णा भोसले","3011 चौगुले
ठाणे 739174"
"श्री अरुण ओक","97/27 प्रकाश महाजन
अहमदनगर 442492"
"स्नेहा ठाकूरजी","2297 जोशी
चंद्रपूर-541527"
"चेतना जगतापजी","4004 गणेश कुलकर्णी
नाशिक 833881"
"कुमारी कविता गायकवाड","76 ठाकूर
अहमदनगर 284696"
"अमित ठाकूर","70 उमेश जगताप
मुंबई 584885"
"आशा ओक","03/025 अमोल शिरसाट
बीड 256076"
"दीपाली चव्हाण","9 हर्षदा मोरे
सांगली-527053"
"निलेश आगरकर","24 गणेश चव्हाण
जळगाव 542467"
"श्री मानसी गायकवाड","87/3765 स्वाती जाधव
धुळे-633780"
"मेघा कोल्हे","5 निखिल फडके
कोल्हापूर-295234"
"विवेक कोल्हे","3810 ठाकूर
सोलापूर-559670"
"तन्वी पवारजी","62/86 गवळी
गोंदिया 767373"
"धनंजय देशपांडे","22/58 कदम
पुणे-529885"
"कुमारी स्नेहा आगरकर","94 ओक
मिरज 976195"
"इशिता जगतापजी","5/8 आकाश देशपांडे
नवी मुंबई 136815"
"चेतना गवळीजी","68/580 दीपाली भोसले
पुणे-217453"
"दीपाली चौगुलेजी","2 किरण शिंदे
बीड-072425"
"कल्पना कदमजी","4/4 ओक
गोंदिया-367823"
"कुमारी माधुरी देशपांडे","53/1412 चेतन देशपांडे
वसई-248852"
"दीपक पाटीलजी","514 कदम
नवी मुंबई-680782"
"सचिन सानेजी","532 देशपांडे
नाशिक-626006"
"श्रीमती कैलास पाटील","27/0180 कांबळे
कोल्हापूर 114809"
"श्री पल्लवी चौगुले","05/4325 देशपांडे
अमरावती-202485"
"अंजली जोशी","8 कदम
सोलापूर-658039"
"दीपक शिंदेजी","42 सुनील फडके
नांदेड 271528"
"श्रीमती स्वाती महाजन","94/685 पल्लवी सावंत
बीड-797240"
"दीपाली जगताप","9011 जोशी
रत्नागिरी 461802"
"उमा कदमजी","7/4 पूजा माने
अमरावती 581533"
"प्रज्ञा भोसले","92/79 पाटील
पिंपरी-चिंचवड-029146"
"प्रवीण ठाकूर","5 पवार
नवी मुंबई-412774"
"स्मिता कांबळे","7389 स्मिता साळुंखे
नवी मुंबई 468806"
"उमा जगताप","1/0 ठाकूर
पिंपरी-चिंचवड-723015"
"लता फडकेजी","9577 रोहित कांबळे
परभणी 452946"
"श्री हर्षद ठाकूर","70/8077 पवार
अमरावती-993534"
"कैलास महाजनजी","8/9 नेहा जाधव
धुळे 985444"
"श्रीमती अशोक सावंत","69/0294 पवार
मुंबई 651026"
"दीपाली जाधवजी","06/5796 मकरंद मोरे
हिंगोली 702498"
"श्रीमती विकास गायकवाड","6/2 मकरंद चौगुले
हिंगोली 996946"
"श्री प्रशांत शिंदे","430 शिंदे
यवतमाळ 015421"
"श्रीमती मिलिंद जोशी","92/3376 अभिजीत राऊत
उस्मानाबाद 795308"
"श्रीमती गौरव माने","03/5398 मानसी जोशी
कोल्हापूर-960913"
"उमेश फडके","04 आशा साळुंखे
हिंगोली 731157"
"कुमारी रोहित शिंदे","18/0874 सचिन अहेर
यवतमाळ-503813"
"अभिजीत ठाकूरजी","51/6383 चव्हाण
वसई-700194"
"चेतना महाजनजी","1 धनंजय सावंत
पिंपरी-चिंचवड-955204"
"कल्पना सावंत","0093 मोरे
अहमदनगर-354580"
"दीपाली ठाकूर","3/0 जगताप
सातारा 926100"
"हर्षदा जगताप","830 ठाकूर
बीड 486046"
"श्रीमती शिल्पा कुलकर्णी","5894 अमोल देशमुख
औरंगाबाद-973460"
"कुमारी पंकज साळुंखे","8976 साने
पुणे 264168"
"कुमारी शिल्पा साने","50/8491 निखिल जोशी
सांगली-959364"
"कोमल ठाकूरजी","696 कांबळे
नवी मुंबई 387092"
"कुमारी अनिता आगरकर","95/7078 शिरसाट
कोल्हापूर 265911"
"कुमारी प्रकाश आगरकर","3 जगताप
धुळे-511038"
"मोहन फडकेजी","99/4126 श्रुती चव्हाण
वसई-591855"
"दीपाली कोल्हे","640 ठाकूर
नांदेड 264189"
"दीपाली देशपांडेजी","5 शिरसाट
नागपूर 154066"
"मंगेश आगरकरजी","35/2383 जोशी
रत्नागिरी-880891"
"विनायक देशपांडेजी","6/0 आदित्य साने
मिरज-397177"
"कुमारी प्रशांत सावंत","54/01 फडके
नवी मुंबई 753511"
"श्री मीनल पवार","2/7 ईश्वर चव्हाण
अमरावती-351511"
"दीपाली साने","75/864 जगताप
अमरावती-550309"
"मीनल फडकेजी","980 दत्तात्रेय कांबळे
लातूर-443084"
"श्री मानसी देशपांडे","28 आगरकर
अमरावती 253390"
"समीर भोसलेजी","065 देशमुख
उस्मानाबाद-141459"
"भूषण जगताप","800 हर्षद साने
बीड 394552"
"दीपाली पवार","0022 राऊत
नांदेड 380465"
"श्रीमती ज्योती शिंदे","939 देशपांडे
गोंदिया-027717"
"तन्वी देशमुखजी","47 चव्हाण
अमरावती 658524"
"सचिन कुलकर्णीजी","65/821 ईश्वर कोल्हे
यवतमाळ-010059"
"मिलिंद देशपांडेजी","027 शिरसाट
उस्मानाबाद 300979"
"उमेश राऊतजी","647 मकरंद सावंत
उस्मानाबाद-874819"
"श्रीमती किरण कांबळे","6/7 कोल्हे
ठाणे 969538"
"प्रज्ञा आगरकरजी","22/1413 कदम
हिंगोली 130212"
"गौरव जोशीजी","0434 भोसले
वसई 620074"
"अमोल चव्हाणजी","57 शिंदे
पिंपरी-चिंचवड-364796"
"दीपाली पाटीलजी","3256 दत्तात्रेय माने
जळगाव 602063"
"पंकज राऊतजी","1/6 रेणुका राऊत
चंद्रपूर 047126"
"रोहित मोरे","0 साने
अमरावती 428597"
"अभिजीत साने","13/086 राऊत
बीड 288453"
"कुमारी प्रज्ञा देशमुख","59/503 महाजन
औरंगाबाद 058207"
"संदीप भोसलेजी","96/1848 चेतना पवार
पुणे-968364"
"पल्लवी जगतापजी","42 कोल्हे
पिंपरी-चिंचवड 144852"
"कुमारी अभिषेक कोल्हे","90 सचिन कदम
सातारा-849891"
"प्रकाश शिरसाटजी","26/5149 अशोक कोल्हे
बीड-252205"
"विकास जाधव","14 कांबळे
चंद्रपूर 558719"
"दीपाली फडकेजी","80/18 पवार
जळगाव 882381"
"श्री चेतना राऊत","131 पाटील
अकोला 303857"
"श्रीमती गौरी अहेर","587 माने
पुणे-809816"
"श्री वैशाली पवार","44/469 जोशी
नांदेड-387657"
"वैशाली शिंदेजी","86 पवार
पिंपरी-चिंचवड 401566"
"प्रकाश ठाकूरजी","27 मानसी पाटील
पिंपरी-चिंचवड 369924"
"श्रीमती विवेक आगरकर","10/41 अंजली सावंत
नांदेड-950613"
"श्री स्नेहा अहेर","8882 रोहित पवार
मुंबई-715725"
"अमित चव्हाण","427 जोशी
औरंगाबाद-751260"
"स्नेहा पाटीलजी","45/65 आशा साळुंखे
सोलापूर 798419"
"दीपाली मोरेजी","17/173 अंजली राऊत
अकोला 100121"
"पल्लवी महाजनजी","14 अहेर
रत्नागिरी-934384"
"श्रीमती जितेंद्र फडके","40 स्वाती साळुंखे
बीड-168119"
"श्री प्रकाश कांबळे","7415 अरुण कदम
हिंगोली 333023"
"कुमारी मानसी देशपांडे","523 माने
उस्मानाबाद 111157"
"जितेंद्र पाटील","61/4613 श्रुती चौगुले
औरंगाबाद-313230"
"श्री आदित्य भोसले","28/83 सुनील मोरे
मिरज-733691"
"माधुरी चव्हाणजी","2 चेतन कांबळे
हिंगोली-286561"
"निखिल कदम","41/4714 देशमुख
लातूर 290477"
"कोमल माने","7589 मानसी कुलकर्णी
औरंगाबाद-980486"
"दीपाली शिंदेजी","61 अहेर
नागपूर-250839"
"कुमारी सचिन ओक","5 कांबळे
कोल्हापूर 583918"
"उमेश गवळीजी","7/0 गवळी
उस्मानाबाद 149040"
"कुमारी मकरंद गायकवाड","47/3180 गणेश कदम
सांगली 374474"
"श्रीमती गौरव देशपांडे","74 मीनल ओक
हिंगोली-961277"
"कुमारी पंकज भोसले","3/1 माधव अहेर
नागपूर 949034"
"ईश्वर भोसलेजी","20/721 कोल्हे
यवतमाळ-452696"
"गणेश शिरसाट","165 गायकवाड
अकोला 115570"
"हर्षद जगताप","949 साने
चंद्रपूर-650376"
"श्री अभिषेक चौगुले","26/453 प्रशांत साळुंखे
अहमदनगर 786397"
"दीपाली सावंतजी","4 सावंत
नागपूर-102678"
"चेतना ठाकूरजी","80/36 निलेश चौगुले
हिंगोली-387895"
"कुमारी उमेश ओक","5664 स्वाती शिंदे
अकोला 251642"
"समीर गवळी","64/21 विवेक ठाकूर
बीड 510066"
"आकाश सावंतजी","08/0374 अंजली चव्हाण
बीड 924698"
"कुमारी मानसी जोशी","31/6501 साळुंखे
नागपूर-596084"
"कुमारी प्रकाश सावंत","2/9 जगताप
गोंदिया 945607"
"कुमारी अभिजीत महाजन","10 कीर्ती फडके
धुळे 630441"
"कविता साळुंखे","0/9 विनायक महाजन
परभणी 427363"
"प्रवीण आगरकरजी","42/41 माने
यवतमाळ 290663"
"धनंजय अहेरजी","30/5221 निलेश कोल्हे
पुणे-495242"
"तन्वी सानेजी","66/7868 चव्हाण
नागपूर-569129"
"अनिल साळुंखे","49/117 जगताप
सातारा 298451"
"अभिजीत चौगुलेजी","857 पवार
सोलापूर-612149"
"श्रीमती लता कदम","06 सावंत
अमरावती-353938"
"प्रकाश देशमुखजी","80/5136 कोल्हे
सांगली 232028"
"कैलास मोरेजी","97 पाटील
अकोला 147347"
"रीमा देशपांडेजी","0/5 कदम
औरंगाबाद-898397"
"रीमा गवळी","12/088 अहेर
हिंगोली-529960"
"श्री विनायक जोशी","3296 मंगेश अहेर
चंद्रपूर 009359"
"धनंजय ओकजी","58/0369 पवार
सातारा-322921"
"वैशाली सानेजी","23/5837 कल्पना ठाकूर
रत्नागिरी-087715"
"श्री कीर्ती देशपांडे","32/2434 हर्षद ओक
मिरज-470345"
"उमा महाजनजी","0 गौरी पाटील
जळगाव-566079"
"स्मिता ओकजी","459 गायकवाड
ठाणे 657370"
"कुमारी आदित्य चव्हाण","62/57 कांबळे
चंद्रपूर 867531"
"श्रीमती तन्वी कांबळे","956 देशपांडे
पिंपरी-चिंचवड-395106"
"अनिरुद्ध चौगुले","90/0008 जोशी
हिंगोली-138095"
"स्नेहा अहेरजी","26/7822 रोहित कदम
परभणी 401459"
"शिल्पा शिरसाटजी","90/62 महाजन
यवतमाळ-490916"
"धनंजय कुलकर्णी","24/21 अंजली भोसले
सांगली 100934"
"विवेक देशमुखजी","97 सावंत
परभणी-816292"
"मीनल शिरसाटजी","404 अभिषेक पवार
हिंगोली-147832"
"सुरेश पाटीलजी","74 देशपांडे
नवी मुंबई 907083"
"तन्वी गवळीजी","3 आगरकर
सोलापूर-189223"
"श्रीमती निलेश चौगुले","4 कल्पना ओक
अकोला 602798"
"मीनल जगतापजी","6 कैलास साने
यवतमाळ-176099"
"प्रिया साळुंखेजी","88/23 पाटील
उस्मानाबाद 236424"
"श्री मानसी देशमुख","9381 जाधव
यवतमाळ-935637"
"किरण देशपांडे","19 अनिरुद्ध जगताप
लातूर-455777"
"धनंजय गवळी","97/498 वैशाली राऊत
यवतमाळ-272906"
"माधव देशपांडे","8/0 मानसी जोशी
नवी मुंबई-511525"
"उमा फडकेजी","5/7 स्मिता गवळी
गोंदिया 312345"
"अरुण कोल्हे","487 कांबळे
अमरावती 098290"
"इशिता सावंत","06/937 रेणुका कुलकर्णी
बीड-916565"
"उमेश जाधव","71/530 दीपक गायकवाड
पुणे 724109"
"पल्लवी भोसले","2/9 राऊत
पिंपरी-चिंचवड-186060"
"कीर्ती चौगुले","3545 ज्योती कदम
अमरावती 093968"
"कुमारी चेतन देशपांडे","5 कोल्हे
जळगाव-229792"
"निखिल साळुंखेजी","4 अशोक आगरकर
गोंदिया 233107"
"धनंजय गायकवाडजी","22/60 मोरे
परभणी 338529"
"धनंजय देशमुख","8/6 साने
उस्मानाबाद 889485"
"श्रीमती मोहन शिरसाट","88/411 अहेर
पुणे 985591"
"मकरंद गवळीजी","958 मानसी जगताप
सांगली 276203"
"विकास गवळी","80/235 मोरे
सातारा-222493"
"संदीप महाजनजी","0 देशमुख
सोलापूर 595832"
"कुमारी अभिजीत जोशी","8174 धनंजय ओक
नाशिक-772251"
"कैलास माने","81/64 फडके
मिरज 371401"
"मकरंद पवार","6/9 जोशी
सांगली-237363"
"श्री आकांक्षा ठाकूर","6479 अहेर
गोंदिया-403897"
"धनंजय चव्हाण","4/8 कांबळे
बीड-142116"
"गौरी अहेरजी","6/9 कांबळे
रत्नागिरी-536957"
"अभिजीत साने","8/7 अरुण कांबळे
अमरावती 873741"
"श्री अनिल ठाकूर","99/087 गणेश देशपांडे
लातूर-490549"
"अमित जोशी","49 साळुंखे
वसई 979293"
"उमेश अहेरजी","11/400 प्रकाश साळुंखे
वसई-073807"
"इशिता कांबळेजी","1687 सुनील जगताप
लातूर 593585"
"माधव देशमुखजी","81/167 चेतना भोसले
रत्नागिरी-893558"
"प्रिया महाजनजी","8/8 पाटील
लातूर-556101"
"प्रिया साळुंखे","8/3 प्रशांत आगरकर
पिंपरी-चिंचवड 572706"
"धनंजय चव्हाण","99/5283 मंगेश राऊत
वसई 645891"
"वैशाली सानेजी","2057 माने
नांदेड-630862"
"मीनल जाधवजी","554 जगताप
हिंगोली 652089"
"कुमारी आकांक्षा देशमुख","84 प्रशांत ओक
चंद्रपूर 306767"
"श्री मकरंद शिरसाट","225 इशिता गायकवाड
गोंदिया 921668"
"समीर देशमुखजी","40 उमेश शिरसाट
पुणे-069530"
"अपर्णा मोरे","62 संदीप जोशी
रत्नागिरी 708695"
"श्रीमती मोहन पवार","3/7 कांबळे
नागपूर 120297"
"श्री पूजा पवार","16 नेहा सावंत
नाशिक-228925"
"आकांक्षा पवारजी","8/5 गायकवाड
अकोला-169932"
"धनंजय चव्हाणजी","87/30 प्रिया कांबळे
सोलापूर 097001"
"गौरी ठाकूरजी","53/670 लता जाधव
मिरज 990215"
"श्री कविता देशपांडे","4380 देशपांडे
कोल्हापूर-358612"
"नेहा कदम","64 इशिता भोसले
रत्नागिरी-592825"
"कुमारी विनायक देशमुख","132 महाजन
यवतमाळ-258242"
"श्री मकरंद पवार","24/658 जगताप
नांदेड 457748"
"दीपाली मोरेजी","8/2 दीपाली चौगुले
नवी मुंबई-312559"
"रेणुका चव्हाणजी","2426 पवार
रत्नागिरी 000876"
"आकांक्षा सावंतजी","05/21 कदम
मुंबई-683297"
"कविता महाजनजी","93 ठाकूर
जळगाव 272843"
"धनंजय चौगुलेजी","99/8537 ईश्वर जगताप
औरंगाबाद 871738"
"विवेक ओक","94/9483 रोहिणी शिंदे
सातारा-167350"
"श्री हर्षदा कदम","8 शिरसाट
सातारा 179824"
"गणेश अहेरजी","1 पवार
हिंगोली 521503"
"सुनील कुलकर्णी","6/5 राऊत
उस्मानाबाद-919476"
"प्रज्ञा सावंत","46/6401 माने
गोंदिया 048678"
"रोहित पवारजी","587 जाधव
धुळे-714498"
"कुमारी हर्षद आगरकर","1796 अरुण देशपांडे
मिरज-753865"
"अनिरुद्ध चव्हाणजी","68 अहेर
मुंबई 747817"
"कल्पना गायकवाडजी","03/741 जोशी
नांदेड-932192"
"धनंजय जगतापजी","87 मंगेश माने
रत्नागिरी-042902"
"रोहिणी पाटील","887 राऊत
सातारा 487820"
"राहुल पाटील","019 भोसले
उस्मानाबाद-273164"
"कुमारी निखिल गायकवाड","35/9759 साळुंखे
पुणे-883317"
"प्रज्ञा पाटीलजी","112 पाटील
गोंदिया-874941"
"अभिषेक सानेजी","01/111 पूजा पाटील
सांगली 582277"
"मेघा जगतापजी","938 मोरे
लातूर-372169"
"कुमारी अंजली कुलकर्णी","38/1955 कांबळे
कोल्हापूर-021225"
"श्रीमती पूजा अहेर","23 धनंजय चौगुले
पिंपरी-चिंचवड-311089"
"श्री अमित अहेर","98 रेणुका शिरसाट
नाशिक 991686"
"धनंजय जाधवजी","5140 साने
औरंगाबाद 312869"
"श्रीमती ईश्वर फडके","038 चौगुले
नागपूर-818417"
"संदीप माने","515 महाजन
पिंपरी-चिंचवड 585212"
"अनिल अहेरजी","02/1392 राऊत
अमरावती-632305"
"चेतन पवारजी","07 कैलास सावंत
नांदेड 489207"
"श्री भूषण कांबळे","74 कोमल जोशी
चंद्रपूर-447495"
"मिलिंद आगरकरजी","4/5 प्रकाश फडके
हिंगोली-438893"
"सुनील भोसलेजी","14/961 गवळी
जळगाव 821035"
"आशा देशमुख","57/044 पवार
ठाणे-332075"
"माधुरी कदम","9/1 देशमुख
नागपूर 004691"
"धनंजय जोशी","36/28 पूजा फडके
अकोला-537765"
"आकांक्षा मानेजी","174 सचिन पाटील
जळगाव-424683"
"श्री मेघा कोल्हे","29/369 आगरकर
नांदेड 611740"
"संदीप जगताप","54/204 कविता देशपांडे
परभणी-043362"
"प्रिया कोल्हे","94/71 साळुंखे
मिरज 548726"
"श्रीमती अनिरुद्ध फडके","60/8268 कदम
परभणी-527903"
"श्रीमती रोहिणी अहेर","7/9 कविता जाधव
जळगाव-422931"
"संदीप सावंत","2/5 मिलिंद भोसले
सांगली-514725"
"श्रीमती रेणुका कुलकर्णी","696 अनिल साळुंखे
उस्मानाबाद 809041"
"मेघा जाधव","6253 कुलकर्णी
लातूर-324349"
"धनंजय जोशीजी","20 राऊत
रत्नागिरी 485836"
"सचिन सावंतजी","59/5099 पवार
बीड-203746"
"तन्वी फडके","8846 चौगुले
लातूर-336761"
"तन्वी कोल्हे","68 माधव सावंत
जळगाव 505539"
"श्रीमती संदीप मोरे","547 अनिरुद्ध राऊत
रत्नागिरी-529709"
"लता आगरकर","25/202 राहुल चौगुले
पुणे-303699"
"सचिन चव्हाणजी","34/784 ठाकूर
हिंगोली 672426"
"निखिल पवारजी","1/5 निखिल कोल्हे
जळगाव-236472"
"कुमारी चेतन फडके","85/2713 मोहन महाजन
धुळे-824238"
"अभिजीत आगरकरजी","44 स्मिता फडके
पुणे-126274"
"धनंजय ठाकूरजी","05/3324 जगताप
लातूर 890433"
"कविता राऊतजी","1 रीमा गायकवाड
अमरावती 063390"
"अनिरुद्ध सावंत","025 पाटील
अमरावती-401782"
"स्वाती पवार","23/4106 आगरकर
मिरज-604091"
"कुमारी पल्लवी राऊत","2979 गौरव गवळी
पुणे 537716"
"प्रशांत जाधवजी","84/079 पवार
बीड 030745"
"धनंजय गवळी","50/447 भोसले
सातारा 114420"
"प्रिया जाधवजी","390 राहुल चव्हाण
सातारा-480535"
"अभिषेक देशपांडे","002 शिंदे
सोलापूर 861824"
"श्री गौरी माने","03 भोसले
सातारा-954923"
"धनंजय फडके","8 गवळी
सोलापूर 968583"
"भूषण मानेजी","8056 शिरसाट
हिंगोली 694095"
"कुमारी मानसी जाधव","11/97 हर्षदा चौगुले
यवतमाळ 585902"
"मंगेश गायकवाड","04/16 मीनल गवळी
अहमदनगर 113584"
"श्रुती पाटीलजी","5118 साने
उस्मानाबाद 972494"
"श्री मानसी फडके","3038 अपर्णा आगरकर
सांगली-658976"
"माधव देशमुख","714 प्रकाश फडके
सोलापूर-394516"
"श्री विकास जोशी","3387 साळुंखे
अहमदनगर 833185"
"चेतना सावंतजी","34/3133 रोहित पवार
सातारा 350453"
"श्री निलेश साने","39/120 अनिरुद्ध गायकवाड
सोलापूर-457954"
"धनंजय फडकेजी","7738 अहेर
लातूर 895704"
"स्मिता शिंदेजी","455 शिल्पा सावंत
अहमदनगर 841230"
"श्रीमती धनंजय शिंदे","8 अमोल गायकवाड
बीड 111335"
"श्री प्रवीण ओक","5/6 चौगुले
वसई-091018"
"अभिजीत पवार","5/1 महाजन
मिरज 670263"
"अभिजीत माने","7455 फडके
अकोला-017756"
"अनुष्का अहेर","18/16 शिरसाट
जळगाव 133641"
"श्री निलेश भोसले","647 अभिषेक जाधव
धुळे 176938"
"मीनल साळुंखेजी","20/990 जोशी
लातूर-568133"
"मानसी राऊत","9855 रोहित साळुंखे
परभणी-496447"
"धनंजय भोसलेजी","89 देशपांडे
ठाणे-029618"
"रीमा कोल्हेजी","2959 वैशाली कुलकर्णी
मिरज 472704"
"कुमारी अभिजीत सावंत","9 कदम
जळगाव-855659"
"भूषण शिंदे","20 देशमुख
अहमदनगर 318667"
"कुमारी दीपक कांबळे","21/52 भोसले
नवी मुंबई 438619"
"मंगेश साने","73 राहुल मोरे
अमरावती 897531"
"अशोक देशपांडे","0788 सावंत
अहमदनगर-178592"
"निलेश मोरे","2463 निखिल शिंदे
पुणे 058581"
"रोहिणी भोसलेजी","876 पवार
पुणे-004505"
"मानसी देशमुखजी","22/746 गणेश मोरे
अमरावती 601759"
"धनंजय माने","21/80 अभिजीत देशपांडे
धुळे 468415"
"हर्षद आगरकरजी","54/77 गायकवाड
नाशिक 003032"
"दीपाली कदमजी","47/976 माधुरी चौगुले
अकोला 520822"
"पंकज फडकेजी","58/4930 मानसी ठाकूर
कोल्हापूर-693305"
"पल्लवी अहेर","18/82 ठाकूर
औरंगाबाद 249805"
"कुमारी अरुण पवार","82 चेतना भोसले
पुणे-695587"
"दीपाली शिरसाट","9/8 फडके
ठाणे-302632"
"अनिल चौगुले","95/99 शिंदे
मिरज-467355"
"अपर्णा कुलकर्णी","38/318 रेणुका पवार
नागपूर 107239"
"श्री ईश्वर चौगुले","599 जगताप
रत्नागिरी 232981"
"धनंजय माने","6 देशमुख
नागपूर 862035"
"श्रीमती निखिल जगताप","8844 अहेर
उस्मानाबाद 038322"
"अंजली कुलकर्णी","02/597 माधुरी फडके
मिरज 177600"
"श्रीमती मोहन देशपांडे","242 अमित कदम
यवतमाळ-503926"
"श्री कैलास कदम","810 अनुष्का पवार
सांगली-798391"
"तन्वी कोल्हे","012 प्रवीण कुलकर्णी
वसई-241504"
"अंजली राऊत","42/201 चव्हाण
बीड 663025"
"अनुष्का जोशीजी","733 रोहिणी ठाकूर
अकोला-222600"
"श्री हर्षदा राऊत","96/893 ईश्वर चव्हाण
सांगली 253014"
"रोहिणी चव्हाणजी","55/977 प्रकाश फडके
ठाणे 123821"
"धनंजय शिंदेजी","0800 देशमुख
नागपूर 182713"
"अमोल सानेजी","59 जोशी
चंद्रपूर 117298"
"श्री अपर्णा जाधव","20/8937 देशपांडे
औरंगाबाद 018193"
"श्रीमती श्रुती मोरे","4 अभिजीत जगताप
नांदेड-511944"
"निखिल पाटील","95/1488 सुरेश राऊत
मिरज-215274"
"अपर्णा राऊतजी","8723 अपर्णा गवळी
नाशिक 677863"
"पल्लवी जगताप","95/78 कदम
सांगली-863288"
"कुमारी श्रुती जोशी","154 चौगुले
यवतमाळ-257400"
