"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757" 
"उमा कांबळे","0773 आदित्य कदम
उस्मानाबाद-028010"
"प्रज्ञा साळुंखेजी","4932 पाटील
अहमदनगर-358257"
"श्रीमती शिल्पा साने","0/9 मीनल जोशी
अहमदनगर-993852"
"माधव भोसले","94/324 मोरे
नांदेड 854043"
"अरुण मोरेजी","9400 श्रुती चव्हाण
नागपूर-344769"
"रोहित फडकेजी","10/24 चव्हाण
नांदेड-199912"
"कुमारी विवेक चव्हाण","1 साने
अहमदनगर 394170"
"मानसी महाजनजी","406 रोहिणी कांबळे
सोलापूर-339632"
"श्रीमती चेतन शिंदे","64/480 स्वाती ओक
सांगली-434741"
"उमेश आगरकरजी","3 प्रिया फडके
वसई 325868"
"कुमारी अंजली महाजन","31/9651 किरण मोरे
गोंदिया-500178"
"कुमारी कविता महाजन","57/874 चेतन कदम
पुणे 797019"
"गणेश पाटील","62/54 राऊत
औरंगाबाद-274602"
"कुमारी रीमा फडके","0 ठाकूर
परभणी 757909"
"मिलिंद जगतापजी","63/069 फडके
ठाणे-021877"
"रीमा जाधव","29/42 शिरसाट
धुळे 037287"
"कुमारी मंगेश साने","4746 गौरी कोल्हे
पिंपरी-चिंचवड 967358"
"मानसी साने","07 संदीप गायकवाड
वसई 935848"
"कुमारी गौरी गवळी","9814 दीपाली चौगुले
सातारा 609454"
"शिल्पा आगरकरजी","23/515 चेतन पाटील
अकोला-429364"
"श्रीमती अमोल गवळी","052 दीपाली साळुंखे
मुंबई-090965"
"स्वाती जाधव","58/57 कुलकर्णी
जळगाव-053576"
"पूजा कदम","07/1705 दीपक आगरकर
नागपूर-348171"
"श्रीमती तन्वी कोल्हे","3226 कांबळे
पुणे 818651"
"वैशाली साळुंखे","49/744 महाजन
गोंदिया-265400"
"अपर्णा देशमुखजी","37/6048 देशपांडे
ठाणे 660931"
"स्वाती मोरेजी","94 राऊत
जळगाव-475106"
"मिलिंद कुलकर्णीजी","78/01 संदीप गायकवाड
कोल्हापूर-809050"
"माधुरी गवळीजी","85/823 चेतना देशपांडे
जळगाव-151896"
"श्रीमती इशिता साळुंखे","261 पवार
सोलापूर 316900"
"अमोल साळुंखेजी","12/7293 मकरंद चौगुले
ठाणे 976537"
"मिलिंद शिंदेजी","89/311 उमेश फडके
सातारा-507841"
"स्नेहा शिंदे","32/1641 गायकवाड
उस्मानाबाद-431502"
"ईश्वर ठाकूर","14/2526 प्रशांत शिरसाट
अहमदनगर 201081"
"मीनल देशपांडेजी","7 माधव साने
गोंदिया 069908"
"शिल्पा मोरे","3 राहुल चौगुले
लातूर-728321"
"श्री रीमा चव्हाण","25/285 फडके
नांदेड 881847"
"मिलिंद चौगुलेजी","32 नेहा पवार
जळगाव 424801"
"मकरंद फडकेजी","2685 निलेश चव्हाण
पिंपरी-चिंचवड-118155"
"हर्षदा जाधव","9/7 धनंजय जोशी
सातारा-936492"
"गौरव चौगुले","96/4831 पूजा देशपांडे
अकोला-492242"
"श्री किरण जगताप","38 किरण शिरसाट
पुणे 025855"
"विवेक चौगुलेजी","211 माने
अमरावती-432491"
"कुमारी माधव गायकवाड","895 अपर्णा चव्हाण
सोलापूर 334450"
"श्री अनिरुद्ध अहेर","66/65 अंजली जाधव
यवतमाळ 920060"
"गौरव साळुंखे","22/9573 चेतन कदम
अमरावती 855540"
"माधव गवळी","59/81 गौरी गायकवाड
सातारा-839749"
"मिलिंद जगताप","73/138 चौगुले
सोलापूर 536869"
"संदीप पाटील","96 मोरे
हिंगोली 827625"
"निखिल कोल्हे","31/633 आगरकर
उस्मानाबाद 099065"
"श्री आकांक्षा सावंत","01/76 कोल्हे
चंद्रपूर 382234"
"रीमा चौगुले","3/1 ईश्वर देशपांडे
बीड-570257"
"दत्तात्रेय मोरेजी","3/4 संदीप अहेर
वसई-488668"
"श्री माधुरी गायकवाड","9072 अनिरुद्ध कोल्हे
नांदेड-849163"
"कुमारी मकरंद ठाकूर","84 दीपक सावंत
ठाणे-340816"
"अनुष्का जाधव","5 आकांक्षा जाधव
रत्नागिरी-398502"
"श्रीमती कैलास फडके","99 फडके
अकोला 204583"
"मिलिंद जगतापजी","3622 अशोक जोशी
रत्नागिरी-780627"
"इशिता फडकेजी","57 चौगुले
लातूर 092314"
"कीर्ती आगरकर","5/6 पल्लवी महाजन
नांदेड-911559"
"समीर ठाकूर","86 कांबळे
वसई-257422"
"विनायक गवळी","2404 रोहिणी ओक
सातारा 834563"
"श्री निलेश देशपांडे","5791 देशपांडे
वसई-577487"
"निखिल अहेर","45/9451 कदम
सांगली 298104"
"विनायक सावंतजी","75/219 माने
मुंबई-027977"
"श्रीमती रोहित देशपांडे","57/494 चव्हाण
परभणी-607287"
"कुमारी श्रुती शिरसाट","90/688 पाटील
नांदेड 448013"
"मिलिंद जोशीजी","19 माने
वसई-302803"
"निखिल गायकवाड","06 कुलकर्णी
कोल्हापूर 605729"
"भूषण ओकजी","882 ठाकूर
औरंगाबाद-811524"
"स्नेहा ठाकूरजी","518 गणेश शिंदे
वसई 122403"
"मानसी कोल्हेजी","52/7299 नेहा गायकवाड
पिंपरी-चिंचवड 770537"
"मेघा ओक","3 ओक
धुळे-069236"
"कविता मोरे","181 सुरेश देशमुख
लातूर-603307"
"कुमारी निलेश शिरसाट","32 चव्हाण
अमरावती-599882"
"विवेक पाटीलजी","78/721 मोरे
सोलापूर-508211"
"श्री उमा माने","33/66 देशमुख
अहमदनगर 595106"
"मिलिंद ठाकूर","3772 अशोक पाटील
लातूर-208490"
"अनुष्का अहेरजी","51/049 साने
गोंदिया 065588"
"कुमारी अशोक गायकवाड","49 प्रकाश गवळी
उस्मानाबाद-298419"
"प्रिया गायकवाड","4157 अभिषेक साने
मिरज 283733"
"दत्तात्रेय सावंत","5 दीपाली साळुंखे
सोलापूर 943568"
"प्रशांत जाधव","10/4499 शिरसाट
अहमदनगर 291884"
"श्री गौरव सावंत","20/2631 अनिता महाजन
अहमदनगर-738615"
"अमित साळुंखेजी","8532 सचिन कांबळे
नांदेड 230605"
"सुनील शिंदे","15/5987 गवळी
नवी मुंबई 342267"
"वैशाली आगरकर","5/3 गायकवाड
अहमदनगर-263346"
"मिलिंद देशपांडेजी","44 गायकवाड
कोल्हापूर 659544"
"पूजा चव्हाण","0/0 विकास सावंत
धुळे 592214"
"सुरेश राऊत","8/4 आगरकर
ठाणे 586424"
"अमोल मोरेजी","32/0751 मिलिंद देशमुख
नांदेड 853560"
"अमित जगताप","72 कदम
अकोला-965385"
"कोमल देशमुख","2/3 सुनील भोसले
नांदेड 652590"
"श्रीमती स्वाती साने","31/3538 पूजा पवार
यवतमाळ-669601"
"प्रवीण जोशी","39/594 साने
मिरज 554713"
"अमित फडकेजी","7/4 माने
लातूर-338783"
"मीनल शिरसाटजी","1/6 अभिषेक कुलकर्णी
पुणे 502012"
"मिलिंद देशमुखजी","9 देशमुख
पुणे-455367"
"मंगेश जोशी","7/1 शिंदे
सोलापूर 574758"
"कुमारी अनिता चौगुले","06/5711 राऊत
सांगली 889022"
"श्रीमती ईश्वर महाजन","28/781 राऊत
सातारा-170823"
"अंजली पवार","351 प्रज्ञा पाटील
पुणे 209330"
"श्री अरुण साळुंखे","8 महाजन
वसई-290623"
"भूषण मानेजी","6/2 जोशी
यवतमाळ 132963"
"अशोक चव्हाण","14 ओक
औरंगाबाद-305124"
"भूषण सावंत","85/89 साने
रत्नागिरी-791360"
"अनिल आगरकरजी","529 चव्हाण
अमरावती-708296"
"मिलिंद फडके","238 चव्हाण
पुणे 681186"
"हर्षद ओकजी","95/371 मोहन चौगुले
यवतमाळ 261173"
"अनिरुद्ध गवळी","3212 धनंजय राऊत
नवी मुंबई-260409"
"मंगेश गायकवाड","27/54 संदीप शिरसाट
रत्नागिरी 775273"
"भूषण फडकेजी","4/5 साळुंखे
सोलापूर-438393"
"तन्वी देशपांडेजी","0 विवेक ओक
मुंबई 622894"
"अभिजीत मोरेजी","72/538 आकांक्षा पवार
धुळे 702705"
"श्रीमती वैशाली जाधव","76 मोहन कोल्हे
अमरावती-399156"
"मोहन गवळी","22/12 शिंदे
लातूर 960211"
"दत्तात्रेय कोल्हेजी","09/692 माधुरी ओक
अमरावती 509347"
"मिलिंद फडके","80 साने
सांगली 696284"
"अमोल गायकवाडजी","081 पल्लवी गायकवाड
औरंगाबाद 318571"
"गौरव कांबळेजी","6015 अनिरुद्ध देशमुख
यवतमाळ-722862"
"लता चौगुले","7 अपर्णा पवार
हिंगोली-576404"
"प्रकाश सानेजी","98 मोरे
औरंगाबाद 789935"
"कुमारी कैलास महाजन","68 दीपाली शिरसाट
उस्मानाबाद 495079"
"शिल्पा देशपांडेजी","9093 दीपक ओक
नाशिक 260690"
"स्मिता मोरेजी","3 अमित जोशी
सातारा 452556"
"स्नेहा साने","22/00 जगताप
नांदेड-774828"
"विवेक कुलकर्णीजी","7728 शिल्पा देशमुख
सातारा 127067"
"मिलिंद राऊतजी","6 शिल्पा चव्हाण
वसई 642764"
"मंगेश चव्हाणजी","25/2142 अरुण चौगुले
अहमदनगर-367841"
"माधुरी जाधवजी","0 माने
नागपूर 766389"
"अनुष्का महाजनजी","2/6 मकरंद ओक
नवी मुंबई 413170"
"कीर्ती साळुंखे","42/930 कुलकर्णी
अहमदनगर-496571"
"चेतना ठाकूर","1153 अहेर
पुणे 691914"
"अमोल चव्हाण","351 रोहिणी गवळी
नाशिक-333325"
"श्री आकांक्षा सावंत","59 मंगेश देशमुख
सोलापूर-800995"
"उमा पवार","82/16 कल्पना चौगुले
नाशिक-953710"
"अनिता गवळीजी","03/185 अमित देशपांडे
बीड-799280"
"मिलिंद साळुंखेजी","89/1882 गौरी देशपांडे
ठाणे 107600"
"श्रीमती श्रुती शिंदे","8 जगताप
नाशिक 344460"
"विकास देशमुख","67/830 पंकज आगरकर
यवतमाळ-297124"
"माधुरी ठाकूर","2 मंगेश ओक
सांगली 406797"
"श्री आदित्य साळुंखे","2/5 फडके
औरंगाबाद-133237"
"मीनल गायकवाडजी","33/1018 साळुंखे
धुळे-802982"
"दीपाली जोशीजी","081 माधुरी साळुंखे
रत्नागिरी-445122"
"ईश्वर जोशीजी","9 प्रिया कांबळे
धुळे 089187"
"वैशाली कोल्हे","68 मीनल फडके
औरंगाबाद-189268"
"वैशाली गवळीजी","5617 आशा आगरकर
पुणे-170649"
"मीनल आगरकरजी","292 गायकवाड
धुळे 845240"
"इशिता जाधव","0 रीमा राऊत
नवी मुंबई-776542"
"श्रीमती मानसी कोल्हे","17/99 आशा माने
वसई-317940"
"पल्लवी गायकवाड","9 आगरकर
लातूर 709444"
"कुमारी पंकज चव्हाण","725 कांबळे
उस्मानाबाद 436606"
"कुमारी स्वाती गवळी","2899 ओक
वसई-582417"
"प्रशांत पवारजी","09/6726 अनिरुद्ध पाटील
नागपूर 920441"
"कीर्ती मानेजी","61/5923 मंगेश कुलकर्णी
यवतमाळ 820828"
"रेणुका गवळी","94/9297 प्रशांत गायकवाड
लातूर-687246"
"श्री अनिता मोरे","60 राऊत
अहमदनगर-177756"
"मीनल ओकजी","20/27 पवार
जळगाव 138871"
"कविता जोशीजी","14/160 सुरेश पाटील
कोल्हापूर 981886"
"सुनील साळुंखे","35/52 आदित्य भोसले
उस्मानाबाद 522411"
"प्रज्ञा सावंतजी","4580 सुनील जाधव
पिंपरी-चिंचवड-628977"
"धनंजय साळुंखे","046 अनिरुद्ध जगताप
नवी मुंबई-133589"
"कुमारी रीमा माने","3172 कांबळे
अमरावती 385214"
"दत्तात्रेय शिरसाट","7/2 मकरंद देशमुख
पुणे 439182"
"सुरेश गवळीजी","651 आकाश माने
सांगली-855440"
"अरुण गवळीजी","18 अमोल माने
मुंबई-484339"
"श्री प्रशांत कोल्हे","10/051 महाजन
कोल्हापूर-692238"
"मीनल गवळीजी","02/5821 महाजन
रत्नागिरी 596849"
"धनंजय राऊत","2 जगताप
बीड-991519"
"जितेंद्र चव्हाण","3411 दीपाली आगरकर
गोंदिया 360112"
"प्रशांत गवळी","92/157 देशपांडे
सोलापूर 385064"
"आदित्य शिरसाट","03/73 सावंत
बीड-093271"
"श्री अनुष्का जोशी","0/9 प्रवीण देशमुख
सांगली-878102"
"निखिल जाधवजी","37/459 गौरव गवळी
गोंदिया-324280"
"श्री प्रकाश मोरे","592 मोरे
रत्नागिरी-697109"
"अरुण गायकवाड","0/0 ओक
नाशिक 026281"
"अशोक आगरकर","99/73 विकास महाजन
यवतमाळ-488438"
"मीनल चव्हाण","9 उमेश ओक
वसई 836567"
"रोहित देशमुख","02/8678 माधुरी देशपांडे
पुणे 267163"
"निखिल मोरे","63/615 शिरसाट
पिंपरी-चिंचवड-044306"
"अशोक भोसलेजी","61 कुलकर्णी
परभणी-701579"
"रीमा ठाकूर","81/8702 ओक
नांदेड-014047"
"श्री आकांक्षा भोसले","73/902 भोसले
पिंपरी-चिंचवड 708576"
"गणेश देशमुखजी","82 मकरंद महाजन
सांगली-851238"
"श्री दीपाली देशमुख","1 अहेर
हिंगोली 308424"
"दीपाली देशपांडे","44 जगताप
रत्नागिरी 314905"
"रोहिणी सानेजी","4/1 साने
वसई-624685"
"मीनल जोशीजी","013 गौरव कदम
पुणे-007021"
"कुमारी रीमा साने","36 चौगुले
वसई 838006"
"अभिषेक जगताप","0/0 माने
धुळे-870689"
"अनुष्का देशपांडे","411 गौरव जाधव
गोंदिया-130274"
"स्मिता महाजन","28 फडके
नवी मुंबई-201025"
"स्वाती कदमजी","94 ठाकूर
पिंपरी-चिंचवड 629567"
"कीर्ती अहेर","37/27 सावंत
अकोला-975368"
"राहुल जोशीजी","536 कांबळे
कोल्हापूर 336767"
"गौरी साळुंखे","311 अशोक देशपांडे
हिंगोली 400737"
"श्री मोहन भोसले","307 गवळी
नागपूर 681235"
"मीनल ठाकूर","82/11 फडके
बीड-322680"
"विवेक कुलकर्णीजी","06/48 पवार
सोलापूर-473433"
"धनंजय भोसले","5 जाधव
जळगाव-590177"
"सुरेश महाजनजी","093 ओक
मिरज 543659"
"रेणुका जगताप","465 साने
नांदेड 499379"
"श्री स्वाती कांबळे","8221 चौगुले
पिंपरी-चिंचवड 870716"
"स्वाती कांबळे","9372 कल्पना साने
नवी मुंबई-942957"
"सुनील अहेर","7773 मेघा साने
मिरज-802915"
"निखिल कोल्हेजी","34/0401 जोशी
रत्नागिरी 105586"
"श्रुती जोशीजी","64/45 वैशाली कुलकर्णी
कोल्हापूर 311129"
"मीनल शिरसाटजी","0/3 अमित महाजन
रत्नागिरी 412504"
"श्रीमती तन्वी देशपांडे","6623 कांबळे
बीड 950149"
"रोहिणी कांबळेजी","13/12 भोसले
रत्नागिरी-434286"
"मीनल जोशीजी","753 अमित देशपांडे
सातारा-670609"
"कुमारी अंजली देशमुख","2647 महाजन
अहमदनगर-835105"
"इशिता सावंत","80/90 जितेंद्र शिंदे
पुणे 474704"
"रोहिणी शिरसाट","1346 मेघा पाटील
नाशिक-925337"
"श्रीमती नेहा भोसले","378 भोसले
जळगाव-334717"
"अनिल फडकेजी","15 मोरे
नाशिक 376869"
"प्रिया जगताप","5/0 रोहित गवळी
यवतमाळ 786785"
"मीनल साने","0945 शिरसाट
कोल्हापूर-436843"
"दीपाली देशमुख","94/00 गौरी पाटील
अकोला-687449"
"चेतना गवळी","49/2416 राऊत
यवतमाळ 917184"
"मीनल पवारजी","96 ओक
मिरज-961572"
"श्री निलेश ओक","2102 कुलकर्णी
यवतमाळ 262666"
"विकास जोशी","13/60 सचिन महाजन
वसई-145051"
"ईश्वर पाटील","8551 मोहन राऊत
नवी मुंबई-893338"
"आदित्य सानेजी","28 प्रशांत पाटील
नाशिक 286109"
"श्री अभिषेक गवळी","2002 कल्पना कदम
अकोला-610527"
"प्रकाश जगतापजी","15/066 पवार
चंद्रपूर 712387"
"मीनल साळुंखेजी","2/4 जोशी
यवतमाळ-797759"
"विनायक चौगुलेजी","2/3 सावंत
नवी मुंबई 891475"
"कुमारी सुरेश जोशी","8/1 शिरसाट
रत्नागिरी-254720"
"कुमारी चेतन जगताप","1 साने
सोलापूर 074301"
"रोहिणी कदमजी","236 कीर्ती कोल्हे
जळगाव-665874"
"गौरव जगताप","7581 दीपक साळुंखे
बीड 218465"
"कुमारी रेणुका जाधव","17/41 शिरसाट
नांदेड-108642"
"श्री निलेश जोशी","3711 अभिजीत जोशी
नागपूर-444884"
"प्रिया कुलकर्णी","307 ओक
मुंबई 320754"
"उमा गवळी","003 आकांक्षा पाटील
यवतमाळ-871193"
"मीनल सावंतजी","49/90 कल्पना पवार
अकोला-342968"
"इशिता गवळीजी","00/519 पाटील
धुळे 887214"
"कैलास जगताप","03/981 लता महाजन
लातूर-481990"
"श्रीमती विनायक शिरसाट","62/154 निलेश राऊत
औरंगाबाद-874431"
"श्री उमेश जोशी","59 कांबळे
कोल्हापूर 942180"
"माधुरी जाधव","1/6 अपर्णा गवळी
मिरज 787956"
"ईश्वर कोल्हे","6/5 शिरसाट
पुणे-131302"
"श्रीमती निलेश कुलकर्णी","4 शिरसाट
लातूर 345615"
"मिलिंद गवळी","89/7914 शिंदे
अहमदनगर-420749"
"प्रज्ञा जगतापजी","34/1414 प्रकाश चौगुले
हिंगोली 005067"
"मेघा अहेर","61/33 अशोक देशमुख
धुळे 873314"
"श्रीमती आकाश कांबळे","95/13 शिंदे
यवतमाळ 622894"
"कल्पना फडके","59 लता कदम
लातूर-277092"
"दीपाली कुलकर्णीजी","83/1733 प्रिया ओक
लातूर 896137"
"लता देशमुख","1357 साने
उस्मानाबाद-571903"
"कुमारी अरुण कदम","97/4474 गौरव भोसले
अकोला 023225"
"श्रीमती गौरव देशमुख","0160 कोल्हे
बीड 262954"
"श्री नेहा राऊत","16/84 कोमल कोल्हे
नवी मुंबई-028091"
"राहुल गायकवाडजी","5/8 कुलकर्णी
औरंगाबाद-850328"
"स्नेहा भोसलेजी","13 शिंदे
पिंपरी-चिंचवड 378976"
"मेघा आगरकर","2/2 ठाकूर
ठाणे-689873"
"धनंजय जोशी","36/4456 लता चौगुले
पुणे 858733"
"श्री अभिषेक माने","8 माधव पवार
अहमदनगर-696892"
"अरुण चौगुलेजी","0480 मोरे
नागपूर 280642"
"मोहन देशपांडे","5/4 हर्षदा कांबळे
हिंगोली 099832"
"अमोल कदमजी","11/276 संदीप गायकवाड
परभणी 322815"
"अमित शिरसाट","6 शिरसाट
वसई 386897"
"किरण माने","99/7118 जगताप
कोल्हापूर 864794"
"रेणुका जाधवजी","419 गायकवाड
चंद्रपूर 273258"
"श्रीमती प्रकाश शिरसाट","79/752 कोल्हे
यवतमाळ 241256"
"मेघा ओकजी","53/3961 जाधव
अहमदनगर-344124"
"श्रीमती दत्तात्रेय मोरे","94/7412 माने
सातारा 266678"
"श्री सुरेश कदम","22/47 गणेश आगरकर
पिंपरी-चिंचवड-351081"
"रोहिणी आगरकर","12 ईश्वर कदम
पिंपरी-चिंचवड 471806"
"आकांक्षा कदमजी","2/5 चौगुले
कोल्हापूर-669427"
"ज्योती कदम","71 प्रिया जाधव
अमरावती-769893"
"माधुरी देशमुखजी","37/6373 फडके
मिरज-912079"
"भूषण गायकवाड","224 जगताप
परभणी 200757"
"अनिल सावंत","61/1242 मोरे
नागपूर 392805"
"कैलास शिरसाटजी","01 गौरी जगताप
अमरावती-463999"
"मेघा कदम","059 साळुंखे
अमरावती 433248"
"कीर्ती पाटील","2031 सुरेश चौगुले
नांदेड-077191"
"स्वाती अहेर","78/234 उमेश गवळी
गोंदिया-488113"
"आदित्य पवारजी","767 प्रिया साळुंखे
मुंबई 370195"
"श्रीमती गौरव देशमुख","87/8606 वैशाली देशपांडे
उस्मानाबाद 075929"
"कुमारी स्मिता ओक","198 कांबळे
नवी मुंबई 044538"
"वैशाली राऊत","6/4 विवेक कुलकर्णी
रत्नागिरी-794256"
"मकरंद मानेजी","2997 अनिल जगताप
धुळे-819169"
"कुमारी कोमल ओक","77/76 आगरकर
जळगाव 939391"
"अनिता ओकजी","6 देशमुख
अकोला 614153"
"मेघा कदमजी","26/514 ठाकूर
उस्मानाबाद-840869"
"कविता ओक","130 महाजन
लातूर 303368"
"श्री रोहिणी कोल्हे","936 वैशाली देशपांडे
नाशिक 623698"
"ईश्वर देशमुखजी","64/33 कल्पना जाधव
लातूर-631224"
"कुमारी माधुरी कोल्हे","7 विनायक जाधव
अकोला 795797"
"प्रिया चव्हाण","0864 उमेश शिरसाट
पिंपरी-चिंचवड 189182"
"कुमारी अनुष्का देशमुख","3 अशोक शिरसाट
ठाणे-622047"
"सुनील अहेरजी","18/57 चौगुले
पुणे-552785"
"श्री हर्षदा शिंदे","10/174 भोसले
ठाणे 849774"
"कुमारी निलेश गवळी","647 अहेर
उस्मानाबाद-817721"
"मेघा कांबळेजी","23/767 ठाकूर
सांगली-607174"
"अभिषेक भोसलेजी","82/6414 फडके
रत्नागिरी 132259"
"पल्लवी आगरकर","2/9 सावंत
हिंगोली-486110"
"दीपाली जगतापजी","3/7 कुलकर्णी
सांगली 704225"
"तन्वी साने","8918 आगरकर
सोलापूर 521603"
"सुनील जगताप","05/10 गवळी
परभणी 493378"
"श्रीमती मोहन शिरसाट","863 मानसी कुलकर्णी
हिंगोली-170422"
"अमित जाधवजी","65 मोरे
यवतमाळ 700740"
"मेघा भोसलेजी","52/53 पवार
लातूर-673711"
"विनायक गवळी","85/2978 मोरे
अमरावती 730573"
"मेघा कुलकर्णीजी","0 स्वाती गायकवाड
अकोला 340082"
"समीर शिंदेजी","86/787 कदम
मुंबई-252900"
"सचिन पवारजी","150 अमोल गायकवाड
हिंगोली-516429"
"गणेश कुलकर्णी","79/7800 राऊत
नागपूर-188652"
"श्री मेघा शिरसाट","5346 कीर्ती चव्हाण
सोलापूर-438425"
"दीपाली देशपांडेजी","3692 गवळी
ठाणे 297664"
"कुमारी प्रशांत गायकवाड","900 भोसले
चंद्रपूर-120346"
"नेहा कोल्हे","1/5 चौगुले
उस्मानाबाद-692831"
"श्रीमती वैशाली शिंदे","66 अभिषेक ठाकूर
उस्मानाबाद 987354"
"श्री अपर्णा शिरसाट","8/5 अनिरुद्ध कदम
नागपूर 649262"
"मेघा कोल्हे","915 तन्वी कांबळे
चंद्रपूर 745621"
"गणेश जगतापजी","60/329 अनिरुद्ध ओक
धुळे-427611"
"कुमारी शिल्पा ओक","35 रीमा शिंदे
बीड 987710"
"मंगेश शिंदेजी","9/7 सावंत
सातारा-892524"
"दीपाली आगरकरजी","32/305 पवार
चंद्रपूर-347486"
"अशोक अहेरजी","8 गायकवाड
परभणी 840278"
"अभिजीत कांबळेजी","07/49 किरण गायकवाड
रत्नागिरी-879445"
"आशा गायकवाडजी","79/2535 दीपाली चौगुले
औरंगाबाद-501319"
"श्री कैलास साने","32/773 कुलकर्णी
सातारा 794923"
"कुमारी अनिरुद्ध अहेर","2 मानसी महाजन
रत्नागिरी 119724"
"मेघा कोल्हेजी","62/958 देशमुख
पुणे-664883"
"रोहित कुलकर्णीजी","795 अनिरुद्ध साने
पुणे-680535"
"ईश्वर जगतापजी","31/73 माधव पवार
धुळे 092770"
"रेणुका शिरसाटजी","0 प्रज्ञा कुलकर्णी
जळगाव-214790"
"अपर्णा राऊत","00/76 जगताप
जळगाव 869146"
"शिल्पा गवळीजी","1964 जगताप
पिंपरी-चिंचवड-505590"
"कुमारी अनिरुद्ध देशमुख","84/8773 पल्लवी कुलकर्णी
मुंबई-019282"
"श्रीमती दीपाली ओक","91/831 फडके
औरंगाबाद 323497"
"प्रज्ञा महाजन","40/92 जितेंद्र राऊत
चंद्रपूर-644819"
"सुरेश अहेरजी","25/79 पल्लवी ठाकूर
लातूर 518975"
"मेघा चव्हाण","0 हर्षद महाजन
मुंबई-312405"
"माधुरी देशपांडे","1/5 तन्वी देशमुख
नागपूर-394538"
"अरुण साळुंखेजी","2797 साळुंखे
ठाणे-464241"
"श्री अभिजीत मोरे","8 दत्तात्रेय देशपांडे
अमरावती 362024"
"श्री चेतना गायकवाड","4260 भोसले
नांदेड-784650"
"श्री उमेश कुलकर्णी","3936 गायकवाड
धुळे 150605"
"सचिन देशपांडे","047 हर्षद महाजन
नांदेड 382383"
"कुमारी आशा कुलकर्णी","01/569 अहेर
गोंदिया 502436"
"मकरंद साळुंखे","3/8 चेतना कांबळे
लातूर 242506"
"आदित्य मानेजी","9/1 इशिता अहेर
नाशिक 679752"
"मेघा चव्हाण","876 महाजन
यवतमाळ-260391"
"गौरव कोल्हेजी","8/3 सावंत
सातारा 677021"
"कुमारी गणेश राऊत","1118 माधुरी मोरे
हिंगोली 951601"
"भूषण शिंदे","53/28 साळुंखे
अहमदनगर 838735"
"गौरी शिंदे","744 चव्हाण
सातारा-374293"
"स्नेहा गायकवाड","276 इशिता कुलकर्णी
पिंपरी-चिंचवड-906314"
"आकांक्षा देशमुख","873 उमेश चौगुले
ठाणे-385062"
"निखिल अहेर","117 कुलकर्णी
वसई 151961"
"गणेश गायकवाडजी","19/95 चौगुले
पिंपरी-चिंचवड 644478"
"रोहित ठाकूर","7 पवार
नवी मुंबई 905313"
"मेघा चौगुलेजी","786 कुलकर्णी
अमरावती-359375"
"उमेश भोसलेजी","24/0703 कोल्हे
हिंगोली 819858"
"स्नेहा देशपांडेजी","67/0096 सुनील जाधव
नाशिक-847932"
"निलेश शिरसाटजी","82/39 मोहन देशमुख
पिंपरी-चिंचवड-735327"
"कीर्ती शिरसाटजी","36/0173 पंकज साने
औरंगाबाद-367100"
"श्रीमती स्मिता फडके","93 देशमुख
गोंदिया 810503"
"हर्षदा पवार","2975 कोल्हे
नवी मुंबई 824760"
"राहुल पवार","381 चव्हाण
नागपूर 537526"
"मकरंद साळुंखेजी","495 मोहन फडके
कोल्हापूर-790570"
"पंकज सानेजी","14/2438 साळुंखे
गोंदिया 722975"
"मेघा देशपांडे","7/8 स्वाती शिरसाट
औरंगाबाद-846953"
"मोहन जगताप","560 पूजा महाजन
लातूर 063211"
"अनुष्का कांबळे","71/75 गायकवाड
वसई 837265"
"अनिता जोशीजी","8266 रोहिणी देशमुख
नागपूर-248649"
"कुमारी इशिता अहेर","70/5405 धनंजय राऊत
ठाणे 425929"
"अनिरुद्ध चौगुले","43/5808 विकास जाधव
लातूर 680805"
"विवेक चव्हाणजी","3 हर्षदा कुलकर्णी
गोंदिया 929862"
"ईश्वर शिरसाटजी","78/40 गौरी जोशी
चंद्रपूर-909120"
"कुमारी नेहा राऊत","388 संदीप भोसले
नवी मुंबई 872660"
"कैलास गवळीजी","8 भोसले
सांगली-794430"
"मेघा देशमुख","30/8557 फडके
ठाणे 028965"
"श्रीमती गणेश कोल्हे","3940 कोल्हे
अमरावती 191747"
"श्री आशा देशपांडे","3/2 भोसले
उस्मानाबाद 748270"
"प्रवीण गायकवाडजी","43/88 कल्पना फडके
गोंदिया 113391"
"श्रीमती आकाश ओक","65 ओक
नागपूर-668379"
"समीर महाजनजी","49/44 साने
वसई 030198"
"स्मिता कांबळेजी","02/07 शिरसाट
हिंगोली-140574"
"आकाश देशपांडेजी","94 अनिल अहेर
मुंबई 733668"
"कुमारी हर्षद कोल्हे","4954 साळुंखे
चंद्रपूर-257572"
"आशा साळुंखे","525 देशमुख
मिरज-707957"
"मेघा पाटील","87 प्रकाश अहेर
उस्मानाबाद 853398"
"उमा देशमुखजी","8 सावंत
चंद्रपूर 670641"
"पूजा कांबळेजी","23 साळुंखे
अकोला-592859"
"श्रीमती रीमा जाधव","62/236 मंगेश राऊत
ठाणे-251880"
"गौरी राऊतजी","1911 गायकवाड
अहमदनगर-529624"
"माधव माने","42/921 अहेर
धुळे 540731"
"श्री आशा पाटील","77 पवार
जळगाव 270958"
"मकरंद राऊतजी","93/215 अरुण फडके
मिरज 543767"
