"अंजली आगरकर"|"7225 जाधव
नांदेड-416315" 
"श्रीमती मकरंद जोशी"|"85/239 समीर राऊत
अहमदनगर 598971"
"अभिजीत जगताप"|"409 अहेर
रत्नागिरी-597494"
"राहुल चौगुले"|"895 सुनील शिरसाट
उस्मानाबाद-329655"
"मोहन मोरे"|"84/43 कांबळे
मिरज 256740"
"उमा शिरसाटजी"|"3 अमित साळुंखे
हिंगोली-977009"
"माधव चव्हाणजी"|"38 पाटील
पुणे-192806"
"श्रीमती कोमल भोसले"|"98/00 जोशी
अहमदनगर 729272"
"श्री स्वाती जाधव"|"2137 ज्योती कदम
सोलापूर-170387"
"श्री किरण शिंदे"|"1 स्नेहा महाजन
नागपूर 344209"
"आदित्य सावंत"|"94 कल्पना महाजन
सांगली-065075"
"चेतना मोरे"|"13/669 सावंत
हिंगोली-394611"
"दत्तात्रेय महाजन"|"7/3 भूषण माने
हिंगोली 003888"
"आकांक्षा भोसलेजी"|"000 गणेश कुलकर्णी
नांदेड 653119"
"मोहन शिरसाट"|"9870 विकास जोशी
औरंगाबाद-160449"
"रोहिणी कोल्हेजी"|"4 अभिजीत शिरसाट
गोंदिया 351830"
"कुमारी मीनल ठाकूर"|"6 राहुल पवार
गोंदिया-250750"
"गणेश पाटीलजी"|"6827 कविता भोसले
अमरावती-817138"
"स्वाती जगतापजी"|"4145 चेतना कुलकर्णी
उस्मानाबाद 057589"
"आशा मोरे"|"50/196 अभिजीत अहेर
परभणी 118628"
"अंजली गवळी"|"48/11 कैलास मोरे
हिंगोली 037505"
"श्री प्रिया मोरे"|"9 पूजा चौगुले
लातूर-645195"
"प्रशांत शिरसाटजी"|"4219 अनिता जगताप
परभणी 256310"
"श्री हर्षद गायकवाड"|"4/7 पवार
उस्मानाबाद 217600"
"मोहन साने"|"01/912 कदम
गोंदिया-110693"
"प्रज्ञा आगरकर"|"98/42 मोहन जोशी
पुणे-704294"
"कुमारी अरुण पाटील"|"75/08 हर्षद फडके
सातारा-602954"
"निलेश कांबळेजी"|"46/6020 महाजन
नाशिक 629294"
"आशा चव्हाणजी"|"15/08 कोल्हे
नागपूर 367352"
"उमा साने"|"2480 निलेश महाजन
गोंदिया 205701"
"श्रीमती उमा अहेर"|"17/4460 आगरकर
बीड-158935"
"सुरेश महाजन"|"0902 भोसले
अहमदनगर-276117"
"श्री पूजा महाजन"|"72/30 पल्लवी जाधव
परभणी 005982"
"उमेश गवळीजी"|"5014 गवळी
ठाणे-521859"
"मोहन साळुंखेजी"|"8/5 जोशी
परभणी 132669"
"गौरी सावंत"|"6/7 सचिन गवळी
कोल्हापूर-729431"
"गौरव भोसलेजी"|"89/1357 ओक
सोलापूर-828685"
"विनायक चव्हाण"|"94/223 शिंदे
सातारा 999693"
"कुमारी ईश्वर गायकवाड"|"34 पाटील
वसई 499561"
"कुमारी प्रवीण कदम"|"9 दीपक देशपांडे
पिंपरी-चिंचवड 572687"
"श्रीमती गौरव कुलकर्णी"|"55/230 मोरे
औरंगाबाद-782681"
"कुमारी रोहिणी देशपांडे"|"29/91 विनायक माने
यवतमाळ-529423"
"श्रीमती कविता महाजन"|"12 रेणुका जगताप
रत्नागिरी 825337"
"मकरंद कदम"|"65/5719 साने
नागपूर 985632"
"मोहन सावंत"|"5 आगरकर
ठाणे-407420"
"अनिरुद्ध ओकजी"|"34 राहुल ठाकूर
सांगली-924097"
"श्री प्रकाश शिंदे"|"68/316 कांबळे
गोंदिया 446403"
"स्मिता देशपांडे"|"948 गवळी
बीड-287614"
"कुमारी प्रवीण महाजन"|"904 मीनल मोरे
ठाणे 138872"
"अपर्णा देशपांडे"|"921 अंजली भोसले
धुळे 495617"
"अनिता राऊत"|"69/7819 माने
ठाणे 974929"
"समीर चौगुलेजी"|"89/131 देशमुख
धुळे-609486"
"कुमारी अनिता देशपांडे"|"1995 कविता देशमुख
नागपूर-213240"
"मेघा शिरसाटजी"|"58/9124 माने
पिंपरी-चिंचवड 434710"
"मोहन सावंत"|"5/1 चौगुले
पुणे 730084"
"रोहिणी जोशी"|"4 फडके
वसई-047057"
"मेघा जोशी"|"50/3637 गायकवाड
नाशिक 783473"
"गौरव चौगुलेजी"|"2977 कदम
नागपूर-099481"
"वैशाली शिरसाटजी"|"725 मानसी माने
पिंपरी-चिंचवड-445623"
"कल्पना कोल्हेजी"|"0954 अपर्णा राऊत
ठाणे 181715"
"श्रीमती अनिल राऊत"|"46/137 प्रशांत आगरकर
लातूर 030693"
"श्री मेघा साळुंखे"|"357 माने
पिंपरी-चिंचवड 726827"
"अनिरुद्ध ओकजी"|"1/0 मेघा गायकवाड
नाशिक-088688"
"आदित्य भोसलेजी"|"15/9615 आदित्य साळुंखे
जळगाव-156856"
"राहुल ओक"|"69/762 देशपांडे
अमरावती-128277"
"निखिल सावंत"|"01/5852 कीर्ती साने
जळगाव 652350"
"श्री सुनील सावंत"|"71/9869 तन्वी कोल्हे
नांदेड 515620"
"सुनील मानेजी"|"2/6 श्रुती मोरे
अकोला-342202"
"श्री अभिजीत देशपांडे"|"6737 प्रशांत साने
ठाणे 280962"
"श्री नेहा कुलकर्णी"|"2/0 सचिन चव्हाण
उस्मानाबाद-698393"
"कोमल कोल्हे"|"238 भोसले
परभणी-153213"
"कुमारी कैलास शिरसाट"|"28/987 गौरव जोशी
बीड-638318"
"प्रिया कोल्हे"|"6/8 पल्लवी गायकवाड
अहमदनगर 404759"
"रोहिणी जाधवजी"|"751 पंकज शिरसाट
पिंपरी-चिंचवड-976893"
"राहुल ओकजी"|"946 निलेश कोल्हे
अहमदनगर-673199"
"कुमारी प्रशांत साळुंखे"|"7/9 देशमुख
पिंपरी-चिंचवड-538200"
"प्रज्ञा गवळी"|"4 गौरी सावंत
नागपूर-397861"
"मिलिंद फडकेजी"|"70/4988 दत्तात्रेय चौगुले
कोल्हापूर 250280"
"उमेश कुलकर्णीजी"|"41/274 देशमुख
हिंगोली-651417"
"कीर्ती आगरकर"|"0 राऊत
ठाणे-796666"
"अपर्णा आगरकर"|"0/3 उमेश कुलकर्णी
पुणे 510795"
"अनुष्का पाटीलजी"|"0 स्नेहा पवार
चंद्रपूर 433154"
"चेतना फडके"|"6 मीनल गवळी
रत्नागिरी 318597"
"निखिल मोरेजी"|"7 गणेश सावंत
यवतमाळ-304255"
"राहुल कदमजी"|"05/72 मोरे
अकोला 362395"
"श्रीमती प्रिया माने"|"99/52 कोल्हे
लातूर-980562"
"कुमारी आकांक्षा कदम"|"7 पंकज जाधव
उस्मानाबाद-974469"
"श्री कैलास पवार"|"7 माने
मिरज 220023"
"श्रीमती संदीप महाजन"|"71/75 जोशी
गोंदिया-499138"
"श्रीमती किरण गवळी"|"12/38 कांबळे
नागपूर-568632"
"प्रज्ञा देशमुखजी"|"1/8 देशपांडे
नांदेड-466444"
"कुमारी मीनल चव्हाण"|"1132 गौरव चव्हाण
सांगली-896292"
"रीमा पाटील"|"46 ठाकूर
हिंगोली-731429"
"श्रीमती नेहा साळुंखे"|"52/304 फडके
लातूर-467536"
"राहुल कदमजी"|"8127 सावंत
सोलापूर-992810"
"स्वाती शिंदे"|"09/05 देशपांडे
यवतमाळ 232082"
"पूजा फडके"|"9608 आदित्य जगताप
हिंगोली 426551"
"विनायक आगरकरजी"|"20 कदम
सातारा-622242"
"श्री अंजली देशपांडे"|"29 पाटील
हिंगोली-337066"
"कुमारी रोहिणी माने"|"1/2 रीमा फडके
कोल्हापूर-903934"
"निलेश ठाकूरजी"|"43 कोल्हे
अकोला-900043"
"संदीप सावंत"|"3/7 राहुल ओक
औरंगाबाद-719981"
"श्री मेघा कदम"|"2/6 कुलकर्णी
औरंगाबाद 345223"
"मीनल सावंतजी"|"7 आकाश जगताप
नांदेड 009120"
"राहुल गवळी"|"6 अमित गवळी
पुणे 484766"
"अनिता भोसलेजी"|"0/1 आगरकर
रत्नागिरी 966752"
"कुमारी अंजली गायकवाड"|"34/5057 चेतना गायकवाड
नवी मुंबई 712876"
"श्रीमती पंकज जाधव"|"4 रोहित सावंत
पुणे 153589"
"चेतन माने"|"64/87 जोशी
पिंपरी-चिंचवड 851851"
"श्री दत्तात्रेय कोल्हे"|"20/412 मीनल देशपांडे
अहमदनगर-975326"
"श्री वैशाली गवळी"|"538 महाजन
उस्मानाबाद-804532"
"श्रुती साने"|"3784 कुलकर्णी
परभणी-791040"
"अशोक कांबळेजी"|"8 माने
धुळे 463485"
"कुमारी जितेंद्र चौगुले"|"70/83 जोशी
सोलापूर-256814"
"राहुल गायकवाड"|"11/807 अरुण ठाकूर
कोल्हापूर-593768"
"कुमारी राहुल शिंदे"|"51/664 साने
लातूर-657138"
"विकास कांबळे"|"4/1 पवार
अहमदनगर-828019"
"स्नेहा पाटीलजी"|"0 जाधव
सातारा 970901"
"उमा अहेर"|"362 साळुंखे
अहमदनगर-281148"
"श्री किरण माने"|"95/762 कीर्ती महाजन
मिरज-894358"
"श्री हर्षद गायकवाड"|"9503 तन्वी सावंत
लातूर 885444"
"प्रकाश कदम"|"9/4 साळुंखे
सोलापूर-980445"
"श्री सुनील फडके"|"196 अभिजीत ओक
धुळे-912288"
"कुमारी उमा सावंत"|"4/2 विवेक भोसले
कोल्हापूर 889367"
"राहुल गायकवाड"|"264 कदम
सोलापूर-632514"
"विवेक कांबळेजी"|"0/4 भूषण सावंत
नांदेड 526401"
"श्रीमती संदीप फडके"|"4 विनायक देशपांडे
वसई 856091"
"नेहा शिरसाट"|"36/897 आशा जगताप
गोंदिया-823409"
"ईश्वर सावंत"|"6 देशमुख
बीड 203688"
"गौरी ठाकूरजी"|"26/185 पाटील
नांदेड-950751"
"सुनील गायकवाडजी"|"5/2 निखिल गायकवाड
रत्नागिरी 648518"
"आदित्य राऊतजी"|"17/2522 देशपांडे
सोलापूर 327641"
"श्रीमती अशोक साने"|"875 देशपांडे
मिरज-329485"
"श्री गौरी फडके"|"5/4 ओक
हिंगोली 653492"
"राहुल जोशी"|"59/9047 कदम
लातूर 445627"
"प्रिया महाजन"|"2/7 अभिजीत चव्हाण
अहमदनगर-364584"
"शिल्पा मोरेजी"|"77/40 महाजन
अकोला 194638"
"किरण पवार"|"7/3 मकरंद राऊत
नागपूर 677595"
"पंकज शिरसाटजी"|"391 जितेंद्र महाजन
अमरावती 097063"
"निलेश महाजनजी"|"7235 चौगुले
नवी मुंबई-246319"
"श्री उमेश शिंदे"|"24/894 जगताप
अमरावती-123023"
"अनुष्का माने"|"1802 शिरसाट
पिंपरी-चिंचवड-067120"
"अंजली राऊत"|"43/39 मीनल जाधव
नवी मुंबई 134114"
"कुमारी कोमल पवार"|"979 माने
नवी मुंबई-468802"
"राहुल देशमुख"|"24/56 जितेंद्र शिंदे
जळगाव-742198"
"निखिल देशमुख"|"1062 गवळी
अहमदनगर 443416"
"कुमारी दीपाली गायकवाड"|"1194 जाधव
कोल्हापूर 060419"
"प्रवीण कोल्हेजी"|"7/8 चौगुले
हिंगोली-340123"
"भूषण फडके"|"72/32 साळुंखे
बीड 744587"
"जितेंद्र कोल्हे"|"5547 पूजा जोशी
कोल्हापूर 088087"
"आशा शिरसाटजी"|"57 कदम
नाशिक 666130"
"कोमल चव्हाणजी"|"933 माने
जळगाव-831497"
"कैलास सावंतजी"|"00/99 ईश्वर चव्हाण
उस्मानाबाद 591527"
"अभिजीत आगरकरजी"|"16/4939 मिलिंद कांबळे
जळगाव-117684"
"राहुल देशमुखजी"|"2284 गवळी
नवी मुंबई 400553"
"कुमारी दीपाली जाधव"|"84/6972 शिंदे
धुळे-444902"
"मंगेश भोसले"|"88 शिंदे
जळगाव-905553"
"श्री कोमल गवळी"|"01/93 शिंदे
अकोला 539455"
"हर्षदा जोशीजी"|"0628 चौगुले
नवी मुंबई 636159"
"कुमारी आशा कांबळे"|"5/2 महाजन
नागपूर 071620"
"हर्षदा सावंतजी"|"558 गौरव शिरसाट
अहमदनगर-506610"
"राहुल फडके"|"79/85 कुलकर्णी
अहमदनगर-394254"
"इशिता सावंत"|"17 ईश्वर मोरे
यवतमाळ 183972"
"विवेक आगरकर"|"01/405 कांबळे
उस्मानाबाद-637445"
"राहुल भोसले"|"654 भोसले
नागपूर-491251"
"श्रीमती सचिन भोसले"|"8/6 महाजन
नांदेड-383516"
"गणेश सानेजी"|"35/5790 जाधव
वसई-419051"
"विनायक आगरकर"|"57/6152 कदम
परभणी-637554"
"पल्लवी जगताप"|"4/6 इशिता चव्हाण
अकोला 978704"
"विकास अहेर"|"20/1984 अंजली भोसले
गोंदिया 525890"
"मोहन सानेजी"|"43/354 इशिता जाधव
नागपूर 265228"
"कल्पना गवळी"|"8144 फडके
ठाणे-520280"
"श्री शिल्पा महाजन"|"41/8625 गणेश कांबळे
अकोला 600033"
"सुरेश साने"|"57/540 मोहन देशपांडे
नवी मुंबई-885815"
"राहुल मानेजी"|"18/639 ओक
उस्मानाबाद 582735"
"स्वाती ठाकूरजी"|"64/0992 राहुल चव्हाण
बीड 227416"
"कुमारी पल्लवी शिंदे"|"54/309 लता शिंदे
उस्मानाबाद-967559"
"स्मिता शिरसाटजी"|"0 पूजा ओक
उस्मानाबाद-545112"
"श्रीमती सुनील कुलकर्णी"|"8 कोल्हे
परभणी 455784"
"अभिजीत जगताप"|"8 विवेक अहेर
ठाणे 629185"
"श्री आकाश राऊत"|"6 गायकवाड
औरंगाबाद 261967"
"कुमारी स्मिता शिंदे"|"86/569 समीर जोशी
अकोला 104639"
"श्रीमती चेतना अहेर"|"17/8204 वैशाली गवळी
बीड-911818"
"श्री मंगेश फडके"|"8 गौरी ठाकूर
कोल्हापूर-435407"
"राहुल साळुंखे"|"731 कैलास भोसले
नागपूर 898719"
"प्रशांत फडकेजी"|"76/6853 कदम
रत्नागिरी-970422"
"कुमारी दीपाली कांबळे"|"6/4 पाटील
कोल्हापूर 127258"
"अमोल अहेर"|"318 जगताप
पिंपरी-चिंचवड 365285"
"श्रुती मानेजी"|"2/9 मीनल देशपांडे
यवतमाळ-080173"
"प्रकाश साळुंखे"|"2/1 शिंदे
सोलापूर-403933"
"अरुण देशपांडेजी"|"348 कैलास मोरे
मिरज 900366"
"कुमारी मकरंद अहेर"|"3/1 धनंजय आगरकर
परभणी-859244"
"श्रीमती सचिन मोरे"|"85/104 देशपांडे
अहमदनगर-220604"
"अरुण महाजनजी"|"41/27 देशमुख
यवतमाळ 999008"
"राहुल सावंतजी"|"88/2850 देशपांडे
पिंपरी-चिंचवड 412842"
"धनंजय साळुंखेजी"|"37/19 वैशाली ओक
अकोला-180805"
"कुमारी विनायक महाजन"|"11/55 जोशी
कोल्हापूर 926031"
"समीर ठाकूरजी"|"6 आशा फडके
औरंगाबाद-766756"
"मिलिंद पवारजी"|"5/5 दत्तात्रेय ठाकूर
सातारा 503724"
"कुमारी गौरव आगरकर"|"57/27 कीर्ती जगताप
अकोला-727261"
"श्री गणेश कुलकर्णी"|"5771 देशमुख
उस्मानाबाद-558495"
"मीनल कुलकर्णीजी"|"493 अशोक कांबळे
सांगली 745256"
"गौरी फडकेजी"|"88/236 महाजन
जळगाव 293720"
"दत्तात्रेय पाटील"|"14 अमोल सावंत
वसई-265288"
"रीमा अहेरजी"|"46 देशमुख
पिंपरी-चिंचवड 782343"
"कल्पना जाधवजी"|"71/57 ओक
औरंगाबाद 567313"
"श्रीमती गणेश शिरसाट"|"108 महाजन
सांगली-047431"
"माधुरी साने"|"29/02 राऊत
जळगाव 360649"
"कुमारी आशा मोरे"|"0 विकास भोसले
अकोला-634533"
"प्रिया शिंदे"|"6786 आकांक्षा गवळी
ठाणे-376877"
"रीमा सानेजी"|"4667 कांबळे
जळगाव-910084"
"रोहिणी ओक"|"2370 कोमल ओक
नाशिक 406548"
"श्री सचिन कदम"|"5 राहुल जगताप
सोलापूर-734033"
"अरुण शिंदे"|"3 मेघा राऊत
कोल्हापूर-542453"
"रीमा कदमजी"|"69/4781 पवार
ठाणे 535499"
"उमेश पवारजी"|"68/2093 शिंदे
सातारा 347901"
"राहुल साळुंखेजी"|"458 अनिल राऊत
नागपूर 564227"
"कविता ओकजी"|"7171 मोरे
यवतमाळ-546285"
"किरण कांबळेजी"|"71/2689 जाधव
उस्मानाबाद-863991"
"कुमारी मेघा जोशी"|"7256 विवेक माने
उस्मानाबाद 916174"
"रेणुका कोल्हेजी"|"9867 ओक
पुणे-086970"
"श्री भूषण जगताप"|"32 मीनल चौगुले
अमरावती 905624"
"कुमारी मोहन कांबळे"|"75/42 चेतन गायकवाड
नांदेड 271771"
"प्रज्ञा चौगुलेजी"|"58/80 आकांक्षा राऊत
अमरावती 260219"
"रीमा कुलकर्णीजी"|"0/9 कीर्ती साळुंखे
वसई-046912"
"विनायक ओकजी"|"6/4 देशमुख
नाशिक 237604"
"श्री नेहा महाजन"|"23 प्रवीण आगरकर
बीड 743405"
"श्रीमती अशोक चौगुले"|"0814 विनायक कुलकर्णी
हिंगोली 008888"
"कल्पना कुलकर्णीजी"|"2/0 गायकवाड
सांगली-092985"
"वैशाली चौगुलेजी"|"95/90 चौगुले
मिरज 617438"
"श्री समीर कुलकर्णी"|"41 फडके
यवतमाळ 415422"
"कुमारी प्रिया सावंत"|"08/1171 चौगुले
पुणे-441547"
"कुमारी इशिता महाजन"|"758 कुलकर्णी
परभणी 005545"
"विकास कांबळे"|"07/3079 पवार
अमरावती-133492"
"रीमा कोल्हेजी"|"41/190 भोसले
कोल्हापूर 828676"
"दीपक ओकजी"|"677 विनायक पवार
अमरावती-782330"
"श्री कल्पना गायकवाड"|"2/7 जोशी
अमरावती 160879"
"स्मिता कोल्हेजी"|"1059 कदम
अमरावती 388386"
"माधुरी कांबळेजी"|"14/763 दीपाली मोरे
सातारा 816713"
"श्री मानसी माने"|"413 चौगुले
सोलापूर-521560"
"आशा मोरे"|"249 कांबळे
पुणे 110501"
"ज्योती ओक"|"2/8 महाजन
नांदेड-580577"
"किरण पवारजी"|"507 अरुण गवळी
परभणी 743062"
"सुरेश देशमुख"|"28/7773 सुनील फडके
परभणी 210997"
"रीमा गायकवाडजी"|"66/851 पाटील
धुळे-334195"
"कुमारी कैलास महाजन"|"50/425 रेणुका चव्हाण
अमरावती 786502"
"रोहिणी गवळी"|"96/450 ईश्वर साने
नांदेड-581422"
"आदित्य पाटीलजी"|"276 शिरसाट
बीड 565903"
"श्री अभिषेक कुलकर्णी"|"87 भोसले
चंद्रपूर 125118"
"विवेक गायकवाडजी"|"526 प्रकाश साने
पुणे-362108"
"सुरेश महाजन"|"0/3 गौरी भोसले
अमरावती 277453"
"प्रकाश ओक"|"452 कोल्हे
वसई 241091"
"अनुष्का मानेजी"|"99/571 आगरकर
जळगाव-548705"
"प्रिया ठाकूर"|"05/702 कैलास जाधव
पुणे 209332"
"रीमा देशमुखजी"|"3/1 सुनील कांबळे
नांदेड-909055"
"श्रीमती अपर्णा सावंत"|"7 अरुण आगरकर
रत्नागिरी-449473"
"रोहित साळुंखे"|"02/6420 धनंजय अहेर
पुणे 868066"
"जितेंद्र साळुंखे"|"20/1537 ठाकूर
औरंगाबाद-922237"
"आकांक्षा अहेर"|"77/43 महाजन
ठाणे 977046"
"आशा महाजन"|"2/1 हर्षदा साने
पिंपरी-चिंचवड-229349"
"आकांक्षा पाटील"|"80/3393 गणेश कदम
मुंबई 890997"
"रोहिणी देशमुखजी"|"29 इशिता चव्हाण
ठाणे 061937"
"अमोल देशपांडेजी"|"99/27 जाधव
नांदेड 500304"
"गौरव सावंत"|"6/1 श्रुती पवार
रत्नागिरी 043427"
"रीमा भोसले"|"16 माने
धुळे 106920"
"कुमारी अमोल कांबळे"|"98/39 प्रकाश चव्हाण
मिरज 680804"
"मिलिंद देशपांडे"|"0/5 आशा महाजन
गोंदिया 295775"
"पंकज ओकजी"|"87/179 ओक
सांगली-288369"
"पंकज अहेर"|"9/0 अहेर
परभणी-050722"
"श्री दत्तात्रेय सावंत"|"63 नेहा कुलकर्णी
नवी मुंबई-338091"
"दत्तात्रेय पाटील"|"521 मोरे
लातूर 457312"
"जितेंद्र पवार"|"6/9 इशिता सावंत
ठाणे 476982"
"प्रज्ञा सानेजी"|"51 स्वाती कोल्हे
वसई-098640"
"कुमारी कीर्ती जगताप"|"6302 जाधव
जळगाव-082791"
"रीमा भोसले"|"64/7018 भोसले
बीड 089677"
"श्रीमती पूजा जाधव"|"59/225 ओक
मिरज-690822"
"कोमल कांबळेजी"|"10/416 गौरव शिरसाट
हिंगोली-381316"
"कुमारी अशोक भोसले"|"63 निखिल अहेर
मिरज-294479"
"श्री अनिल शिंदे"|"19/26 निलेश कांबळे
वसई-489814"
"सुनील गायकवाडजी"|"49/55 धनंजय पवार
बीड-534507"
"श्री मीनल माने"|"124 सावंत
मिरज 841419"
"कुमारी मानसी पाटील"|"526 रीमा कदम
बीड-627601"
"दत्तात्रेय फडके"|"1 माने
नांदेड 509176"
"मीनल साळुंखेजी"|"01/08 पाटील
कोल्हापूर-783093"
"रीमा मानेजी"|"77 देशपांडे
पिंपरी-चिंचवड 220553"
"निखिल शिरसाटजी"|"5/3 जितेंद्र पाटील
मिरज-315370"
"लता साळुंखेजी"|"1781 अंजली अहेर
लातूर 377490"
"ईश्वर ओकजी"|"1501 विकास कोल्हे
रत्नागिरी 354770"
"प्रिया सावंत"|"21/28 रेणुका शिंदे
औरंगाबाद-108673"
"रोहित देशमुखजी"|"67/6662 पाटील
अहमदनगर-076015"
"कैलास चव्हाण"|"74 कोल्हे
सोलापूर 711560"
"आकाश महाजनजी"|"28 पवार
अहमदनगर 236513"
"नेहा जाधवजी"|"555 जगताप
नाशिक 756672"
"भूषण गवळीजी"|"4/2 राहुल कदम
अकोला 974577"
"रीमा मोरे"|"8/3 शिंदे
मिरज 604034"
"कविता पवार"|"3363 अरुण कोल्हे
अहमदनगर 192820"
"श्रीमती अनिरुद्ध अहेर"|"06/790 राऊत
सोलापूर-262181"
"अनिता आगरकर"|"11 अमित जोशी
अकोला-061815"
"अनिरुद्ध शिरसाट"|"954 भोसले
सांगली-374254"
"श्रीमती निखिल राऊत"|"6769 प्रशांत कांबळे
बीड-632810"
"प्रवीण जोशीजी"|"37/1627 अमित देशमुख
मुंबई-170986"
"श्री स्वाती ठाकूर"|"0281 जगताप
बीड-894017"
"कुमारी अपर्णा शिंदे"|"97/7370 चव्हाण
वसई 791463"
"हर्षदा फडके"|"9/0 राऊत
मुंबई 388420"
"रीमा राऊत"|"6/3 कांबळे
यवतमाळ-862949"
"श्री मिलिंद चौगुले"|"13 जितेंद्र पाटील
मिरज-719550"
"किरण गायकवाड"|"7073 साळुंखे
उस्मानाबाद 413664"
"श्रीमती पूजा भोसले"|"78/8631 कदम
बीड 153560"
"श्री हर्षद ओक"|"32/64 प्रिया पाटील
जळगाव-947694"
"ईश्वर माने"|"7855 चव्हाण
औरंगाबाद-234162"
"अनिल कदमजी"|"441 पवार
यवतमाळ-367836"
"श्री स्मिता कोल्हे"|"371 माने
मिरज-418963"
"मोहन सानेजी"|"791 स्वाती कदम
औरंगाबाद-198765"
"विकास देशपांडेजी"|"56/18 अपर्णा शिरसाट
मिरज-332355"
"रीमा राऊतजी"|"08/89 मिलिंद महाजन
पिंपरी-चिंचवड 795071"
"गणेश साळुंखेजी"|"31/5158 माधव महाजन
हिंगोली-142620"
"कुमारी राहुल गवळी"|"3977 फडके
नवी मुंबई 599664"
"विवेक जाधव"|"2/7 जाधव
औरंगाबाद 286574"
"कुमारी अमोल गवळी"|"470 गायकवाड
कोल्हापूर 020178"
"स्नेहा ठाकूरजी"|"7/0 सचिन जाधव
उस्मानाबाद-833803"
"सुनील शिरसाट"|"3 रेणुका सावंत
चंद्रपूर-653811"
"निलेश फडकेजी"|"50 तन्वी जोशी
ठाणे 876350"
"श्री इशिता महाजन"|"6/9 अभिजीत देशमुख
लातूर 977605"
"पंकज गवळी"|"7/8 कोमल कोल्हे
लातूर 701897"
"रीमा साने"|"41/0018 विवेक चौगुले
हिंगोली-843644"
"समीर पवार"|"06/6517 ईश्वर चौगुले
ठाणे-886144"
"श्री कोमल गवळी"|"44/268 सुरेश जोशी
वसई-017050"
"उमेश मोरे"|"81/146 देशपांडे
नांदेड-381963"
"कुमारी माधुरी साळुंखे"|"09/2104 हर्षद ओक
चंद्रपूर-884748"
"आकांक्षा जाधव"|"02/7626 महाजन
अकोला-275554"
"भूषण राऊत"|"735 शिरसाट
अहमदनगर 736957"
"राहुल चव्हाणजी"|"96/81 पंकज शिरसाट
नाशिक 885640"
"राहुल जाधव"|"36/2232 संदीप गवळी
परभणी 803123"
"उमेश राऊतजी"|"13/480 मोरे
वसई-599693"
"रीमा साळुंखेजी"|"155 कोल्हे
पिंपरी-चिंचवड 576649"
"श्रीमती विनायक गायकवाड"|"3 जगताप
नांदेड 836484"
"श्रीमती ईश्वर सावंत"|"56 अहेर
लातूर 720309"
"आकांक्षा गवळीजी"|"0/6 देशमुख
नवी मुंबई 495521"
"माधव कांबळेजी"|"3 रेणुका पवार
ठाणे-153322"
"राहुल अहेर"|"85/49 अपर्णा देशमुख
सांगली 856037"
"विवेक ओक"|"77 समीर भोसले
मिरज 298375"
"माधुरी अहेरजी"|"29/988 फडके
ठाणे 209254"
"दीपक जोशीजी"|"1/6 शिंदे
ठाणे-544016"
"गणेश पाटीलजी"|"81/68 स्नेहा पवार
रत्नागिरी 507892"
"रीमा सावंत"|"5/1 कोल्हे
धुळे 349288"
"कुमारी चेतन जगताप"|"384 अरुण ओक
रत्नागिरी 940981"
"निलेश गायकवाडजी"|"93 मेघा माने
हिंगोली 218669"
"गणेश ओकजी"|"01/1017 कुलकर्णी
हिंगोली 271572"
"अशोक कुलकर्णी"|"33/50 फडके
धुळे 427170"
"दीपक जोशीजी"|"67/0388 आगरकर
धुळे-345997"
"श्री संदीप भोसले"|"34/62 माधुरी देशपांडे
यवतमाळ 978985"
"स्मिता कांबळे"|"7/0 पवार
नागपूर 875440"
"रोहिणी फडके"|"3 गायकवाड
धुळे 759209"
"कुमारी पूजा साने"|"23/8412 कदम
ठाणे-061393"
"रेणुका ओक"|"19/89 मकरंद साने
वसई 236324"
"सचिन कदम"|"36/85 देशमुख
अकोला-353507"
"कुमारी श्रुती देशपांडे"|"03/61 साने
सोलापूर 608893"
"दीपाली जाधव"|"7508 फडके
धुळे 471934"
"कुमारी माधुरी कदम"|"2 साळुंखे
ठाणे 786311"
"श्रीमती वैशाली कदम"|"1575 महाजन
धुळे-698283"
"विकास कोल्हेजी"|"1/8 कदम
औरंगाबाद-382438"
"अमोल कुलकर्णी"|"340 पूजा राऊत
पिंपरी-चिंचवड 261730"
"श्री कैलास जाधव"|"0801 नेहा महाजन
रत्नागिरी 786378"
"मीनल अहेर"|"35/826 चव्हाण
उस्मानाबाद 455900"
"रेणुका कोल्हे"|"85/83 मकरंद चौगुले
यवतमाळ-491893"
"कुमारी मीनल जगताप"|"839 स्मिता कदम
चंद्रपूर 920876"
"श्रीमती गणेश अहेर"|"5/3 फडके
ठाणे-453544"
"रोहिणी जाधवजी"|"75/2318 रीमा कुलकर्णी
लातूर 800176"
"श्री अंजली साळुंखे"|"609 साने
मुंबई-081265"
"श्री कीर्ती कदम"|"88/804 सावंत
चंद्रपूर-063881"
"श्री ईश्वर कोल्हे"|"1863 राऊत
अहमदनगर-350033"
"श्री राहुल पाटील"|"87 फडके
अहमदनगर-543523"
"प्रशांत राऊत"|"36 चव्हाण
बीड-407504"
"वैशाली जगतापजी"|"0 चौगुले
उस्मानाबाद-936084"
"रेणुका गवळी"|"5 अनिल कुलकर्णी
अकोला 040814"
"कविता ठाकूरजी"|"17/900 पवार
लातूर-235631"
"प्रशांत मोरेजी"|"85/586 दीपक कांबळे
यवतमाळ-406513"
"सुनील चौगुले"|"40/61 लता कदम
ठाणे 805949"
