"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი" 
"დათო ენუქიძე"|"იმედაშვილი გაიოზის ქ. 41, დმანისი"
"ედუარდ ლობჯანიძე"|"არმაზის ქ. 83, ოჩამჩირე"
"როზა ფხაკაძე"|"ნიზამის ქ. 16, გურჯაანი"
"ნორა ფერაძე"|"იმერეთის ქ. 22, ტყვარჩელი"
"ნიკა ჟღენტი"|"ფოთის ქ. 71, ფოთი"
"სოფიკო თედორაძე"|"სარკინეთის ქ. 31, ახალციხე"
"მაყვალა ღამბაშიძე"|"ხვინგიას ქ. 76, ოჩამჩირე"
"თემურ ლატარია"|"სიხარულიძის ქ. 51, ახალქალაქი"
"იური ბიბილაშვილი"|"ტრიკოტაჟის ქ. 13, ზუგდიდი"
"ცირა გობეჯიშვილი"|"გუმათჰესის ქ. 57, ჭიათურა"
"ნოდარ ბუკია"|"შინდისის ქ. 55, ქუთაისი"
"ელისო ნიქაბაძე"|"ნაქერალას ქ. 45, სენაკი"
"ნაზიბროლა ჯანჯღავა"|"იოსებიძის ქ. 69, ჯვარი"
"არჩილ სანიკიძე"|"გამცემლიძე შოთას ქ. 96, ქარელი"
"ვიოლეტა მაღრაძე"|"იზაშვილის ქ. 84, გურჯაანი"
"აკაკი ლაცაბიძე"|"ანტონოვსკაიას ქ. 56, ბათუმი"
"თემურ ხმალაძე"|"ბაქრაძე დიმიტრის ქ. 40, ვანი"
"ნატალია მახარაძე"|"მცხეთის ქ. 96, ოჩამჩირე"
"იური გიორგობიანი"|"მუხრანის ქ. 92, გუდაუთა"
"ციალა ონიანი"|"თოდრიას ქ. 05, წალენჯიხა"
"ვალერიან ვაშაკიძე"|"წუწუნავას ქ. 89, ამბროლაური"
"ლილი ბაქრაძე"|"თერგის ქ. 11, გარდაბანი"
"ჯემალ ვალიევა"|"კალოუბნის ქ. 99, სიღნაღი"
"ვერიკო ხურცილავა"|"მიქატაძის ქ. 37, ახმეტა"
"შოთა გოგსაძე"|"უწერის ქ. 79, ოზურგეთი"
"ედუარდ მაჭარაშვილი"|"ერისთავი თორნიკეს ქ. 96, ქუთაისი"
"ნინელი ზარანდია"|"ბესიკის ქ. 63, ქობულეთი"
"ნონა ქართველიშვილი"|"მოსაშვილის ქ. 42, ტყიბული"
"იური გოგალაძე"|"გრუზინსკი პეტრეს ქ. 98, სენაკი"
"ვიქტორ ჯანაშია"|"არბოს ქ. 81, სიღნაღი"
"რიტა ნემსაძე"|"ურბნისის ქ. 19, გურჯაანი"
"კონსტანტინე ლომთაძე"|"თუმანიანის ქ. 43, თელავი"
"ციცინო კაკაბაძე"|"ბროლოსანის ქ. 70, სოხუმი"
"ალექს სირბილაძე"|"ვანის ქ. 81, ჭიათურა"
"სოფიკო შამუგია"|"გოგიბერიძის ქ. 89, ნინოწმინდა"
"მაყვალა უგრეხელიძე"|"აბო ტბილელის ქ. 05, ახალქალაქი"
"ლევან კაციტაძე"|"ალიხანიანის ქ. 45, გაგრა"
"რატი ბერაია"|"დმანისის ქ. 24, ქარელი"
"იური გოგია"|"ზიჩი მიხაის ქ. 69, ზესტაფონი"
"სოფია ბარბაქაძე"|"მ. ლებანიძის ქ. 42, გაგრა"
"მარო პაპუაშვილი"|"ტაშკენტის ქ. 97, ზესტაფონი"
"ელზა კილასონია"|"ახმეტის ქ. 66, ვალე"
"ვერიკო ლაბაძე"|"ბეთლემის ქ. 47, ოჩამჩირე"
"მერი ბეგიაშვილი"|"პასტერის ქ. 85, გალი"
"ქეთო ალიევა"|"ცინცაძე კალისტრატეს ქ. 63, დუშეთი"
"ვალერიან ბურჯანაძე"|"ბაქოს ქ. 80, მცხეთა"
"ელგუჯა მეფარიშვილი"|"განთიადის ქ. 45, წალკა"
"ვეფხვია დავითაძე"|"აბაშიძე დოდოს ქ. 47, თბილისი"
"იური ილურიძე"|"ტუსკიას ქ. 96, ხონი"
"რიმა ტყეშელაშვილი"|"ტრაქტორის ქ. 77, ხობი"
"ბიძინა ჟორჟოლიანი"|"ევდოშვილის ქ. 78, ახალციხე"
"სოფიო ნაჭყებია"|"მარჯანიშვილი კოტეს ქ. 32, თელავი"
"კონსტანტინე ხარჩილავა"|"ხიდისთავის ქ. 64, ლაგოდეხი"
"ვახტანგ ქობულაძე"|"გრიშაშვილის ქ. 68, ოზურგეთი"
"უშანგი მიქაბერიძე"|"ბაქრაძე დიმიტრის ქ. 32, ზესტაფონი"
"ნუცა ვეკუა"|"ქართველიშვილი ლევანის ქ. 25, ჭიათურა"
"ილია ღონღაძე"|"აგლაძე რაფიელის ქ. 51, მარნეული"
"ოლია თურმანიძე"|"ალიხანიანის ქ. 19, ქობულეთი"
"იური კვანტალიანი"|"სამამულო ომის გმირების ქ. 43, წნორი"
"ლუდმილა ბიბილაშვილი"|"ასათიანი ლადოს ქ. 79, ოჩამჩირე"
"ცირა არაბული"|"ახალდაბის ქ. 81, რუსთავი"
"ტარიელ კოხრეიძე"|"მარუაშვილი გიორგის ქ. 96, ვანი"
"ზვიად შალამბერიძე"|"ენგურის ქ. 86, ახმეტა"
"ელგუჯა ჩაჩანიძე"|"ენუქიძის ქ. 49, გორი"
"დალი ბექაური"|"სუვოროვის ქ. 16, ახალი ათონი"
"ცისანა კვერნაძე"|"სანავარდოს ქ. 38, ბაღდათი"
"ნანი რეხვიაშვილი"|"ისნის ქ. 38, დმანისი"
"მარო ზურაბაშვილი"|"ხევსურეთის ქ. 52, წნორი"
"იური კვერნაძე"|"ძოწენიძის ქ. 42, სიღნაღი"
"ელიზა აბულაძე"|"გონაშვილი ჰამლეტის ქ. 70, ახალციხე"
"გვანცა ტყებუჩავა"|"სამამულო ომის გმირების ქ. 20, ხობი"
"ქრისტინე გაფრინდაშვილი"|"ჩაიკოვსკის ქ. 24, დედოფლისწყარო"
"ბონდო კვერნაძე"|"ზანდუკელი მიხეილის ქ. 20, ოჩამჩირე"
"ელიზა მაღლაკელიძე"|"ახალქალაქის ქ. 41, ცხინვალი"
"ასლან წულუკიძე"|"ქობულეთის ქ. 62, მარნეული"
"ჟუჟუნა შუბითიძე"|"კრწანისის ქ. 77, წალენჯიხა"
"ბესიკ მაღრაძე"|"იდუმალას ქ. 68, დუშეთი"
"ანჟელა გვასალია"|"გარე კახეთის ქ. 17, საგარეჯო"
"იური ნარიმანიძე"|"ახალქალაქის ქ. 43, დმანისი"
"ლაშა ნადირაძე"|"ბერიაშვილის ქ. 89, ვალე"
"სიმონ კვარაცხელია"|"სურგულაძის ქ. 50, კასპი"
"ლაშა ალადაშვილი"|"ფილიას ქ. 41, ლანჩხუთი"
"რუსუდან თედორაძე"|"აბაშიძე ჰეიდარის ქ. 73, გუდაუთა"
"ომარ ანთაძე"|"ტყიბულის ქ. 33, მარტვილი"
"სულიკო ჭითანავა"|"ქუთათელაძის ქ. 41, სამტრედია"
"ჟანა სურმანიძე"|"ცაბაძე გიორგის ქ. 52, ახმეტა"
"მარინა ახალაძე"|"თუმანიანის ქ. 13, ტყიბული"
"ვანო რამიშვილი"|"წინანაურის ქ. 60, სენაკი"
"იური როსტიაშვილი"|"კიკეთის ქ. 04, საჩხერე"
"თამუნა სოფრომაძე"|"სართიჭალის ქ. 80, სენაკი"
"ნადეჯდა ქართველიშვილი"|"კობახიძის ქ. 42, ლანჩხუთი"
"ილია მოსიაშვილი"|"შარტავა ჟიულის ქ. 08, ონი"
"სიმონ ბეჟანიძე"|"ტრიკოტაჟის ქ. 01, ცხინვალი"
"მზია ლომთაძე"|"მგალობლიშვილის ქ. 19, ტყვარჩელი"
"აკაკი ბოჭორიშვილი"|"კაკაბაძეების ქ. 08, ზუგდიდი"
"კარლო კილასონია"|"ასურეთის ქ. 32, აბაშა"
"გივი მერაბიშვილი"|"წურწუმიას ქ. 67, ცხინვალი"
"ჟუჟუნა პაპაშვილი"|"წალენჯიხის ქ. 00, დმანისი"
"იური სოფრომაძე"|"დეკაბრისტების ქ. 74, ონი"
"იზა ალადაშვილი"|"ზაქარიაძე სერგოს ქ. 40, ნინოწმინდა"
"ივანე ადეიშვილი"|"ბაღნარის ქ. 49, ონი"
"ბესიკ კირთაძე"|"ვეძინის ქ. 16, თერჯოლა"
"გია ყოლბაია"|"ლორთქიფანიძის ქ. 85, საგარეჯო"
"გალინა რეხვიაშვილი"|"ხანძთელი გრიგოლის ქ. 30, თბილისი"
"ლუდმილა ჩხარტიშვილი"|"კეცხოველი ნიკოს ქ. 80, წნორი"
"გვანცა ირემაძე"|"ნიაბის ქ. 97, გორი"
"ბესარიონ ჯოხაძე"|"კნოლევის ქ. 23, გუდაუთა"
"ელმირა ხაჩატურიანი"|"კონდოლის ქ. 12, ქობულეთი"
"იური ფიფია"|"რევოლუცის ქ. 72, ხაშური"
"ანა წერეთელი"|"კაკაბაძეების ქ. 41, წყალტუბო"
"ციცინო ჭიღლაძე"|"საბაშვილის ქ. 09, აბაშა"
"მინდია ფარცვანია"|"ბაკურციხის ქ. 73, ცაგერი"
"რამაზ წიქარიშვილი"|"ყირიმის ქ. 54, ზუგდიდი"
"ბელა ბერაია"|"წრომის ქ. 28, წყალტუბო"
"ნუკრი კაპანაძე"|"ხონის ქ. 63, ხაშური"
"სოფიკო გოგალაძე"|"მოლოკოვის ქ. 66, ქუთაისი"
"ნანული ხარაიშვილი"|"წრომის ქ. 55, ხონი"
"როზა მუსაევი"|"გუნიას ქ. 57, ვალე"
"იური ქარდავა"|"კვერნაულის ქ. 94, ლანჩხუთი"
"მაკა მამულაშვილი"|"ხვიჩია იპოლიტეს ქ. 59, ახალი ათონი"
"პავლე ავალიანი"|"ზაზიშვილი გიგოს ქ. 77, ცაგერი"
"ვასილ დავითაშვილი"|"ტელეგრაფის ქ. 08, დედოფლისწყარო"
"ირაკლი მესხი"|"ბაქრაძე დავითის ქ. 55, ოზურგეთი"
"ოლღა მაზმიშვილი"|"გულისაშვილის ქ. 86, წალენჯიხა"
"მთვარისა ადუაშვილი"|"მიროტაძის ქ. 36, წყალტუბო"
"იზოლდა მიქელაძე"|"გურიელის ქ. 26, ახმეტა"
"ნოდარ ყურაშვილი"|"მაღაროს ქ. 94, ონი"
"დემურ ლაბაძე"|"ჩარხის ქ. 66, ბორჯომი"
"იური ჩინჩალაძე"|"ქარელის ქ. 57, გორი"
"ლენა დიასამიძე"|"კანდელაკის ქ. 30, ხაშური"
"დარეჯან შეყილაძე"|"ლერწმის ქ. 67, რუსთავი"
"ლარისა შუბითიძე"|"ქინქლაძე ოთარის ქ. 67, კასპი"
"იამზე მახარაძე"|"მარჯანიშვილი კოტეს ქ. 85, სამტრედია"
"სერგო ხურციძე"|"ამაღლების ქ. 05, ამბროლაური"
"მალხაზ მგალობლიშვილი"|"როსტომაშვილის ქ. 37, საგარეჯო"
"ალა ნეფარიძე"|"ბეღლეთის ქ. 94, კასპი"
"ტატიანა ნიკოლეიშვილი"|"ვორონინის ქ. 17, ვანი"
"დიმიტრი დალაქიშვილი"|"მთავარანგელოზის ქ. 32, ცხინვალი"
"კარინე ბეჟანიძე"|"მიტინგის ქ. 42, წალკა"
"ალექსანდრე ჭუმბურიძე"|"კურნატოვსკის ქ. 61, წნორი"
"ასლან მიქაძე"|"ინაშვილის ქ. 63, თეთრიწყარო"
"ნიკოლოზ სარალიძე"|"ბორბალოს ქ. 26, ჭიათურა"
"ვასილ ქორიძე"|"ლაილაშის ქ. 35, ცხინვალი"
"გოჩა კაცაძე"|"თოფურიას ქ. 13, დმანისი"
"თენგიზ არაბიძე"|"დიდი ჯიხაიშის ქ. 56, მცხეთა"
"რომან ლომსაძე"|"ბუხაიძის ქ. 72, ლაგოდეხი"
"კობა ლომიძე"|"ღამბაშიძის ქ. 54, ბაღდათი"
"მარინა ნიკოლაიშვილი"|"სათემოს ქ. 30, მარტვილი"
"კარინე ვალიევი"|"უჯარმის ქ. 69, მცხეთა"
"შორენა ჯიბლაძე"|"ეფრემ მცირის ქ. 49, დმანისი"
"რიმა ჩაკვეტაძე"|"ძმობის ქ. 88, დუშეთი"
"მიხეილ ლომაძე"|"კუმისის ქ. 61, თერჯოლა"
"შაქრო კუპატაძე"|"ლუბლიანას ქ. 68, საგარეჯო"
"მირიან კვაჭაძე"|"ხეჩუაშვილის ქ. 35, საგარეჯო"
"ნაზიკო ჩაფიძე"|"მაჭრის ქ. 54, ლაგოდეხი"
"მიხეილ მერებაშვილი"|"საჩხერის ქ. 76, ახალციხე"
"მალხაზ ბასილაძე"|"კონდოლის ქ. 81, ლანჩხუთი"
"ელიზა გაბაიძე"|"ბათუმის ქ. 91, ჭიათურა"
"კარინე კაკულია"|"აკურის ქ. 16, წნორი"
"გენადი ოქროპირიძე"|"ხვედელიანის ქ. 57, გაგრა"
"ფიქრია კვერნაძე"|"სვირის ქ. 86, მარტვილი"
"მარი ძნელაძე"|"თელავის ქ. 90, ფოთი"
"მარი გულუა"|"როსტოვის ქ. 51, ბათუმი"
"ზაზა ბიგვავა"|"გუდარეხის ქ. 70, ხობი"
"ნინო ცომაია"|"იაშვილი პაოლოს ქ. 47, სიღნაღი"
"მურმან ბარბაქაძე"|"ნიშნიანიძის ქ. 92, თელავი"
"ლალი შაინიძე"|"მოსულიშვილის ქ. 47, გარდაბანი"
"ვალენტინა ლობჟანიძე"|"ეფრემ მცირის ქ. 62, ხონი"
"კარინე მუსაევა"|"წინანაურის ქ. 72, ფოთი"
"გოჩა კოპალიანი"|"ბახმაროს ქ. 53, რუსთავი"
"ვეფხვია მუშკუდიანი"|"სათემოს ქ. 45, ჭიათურა"
"ნათია კუხიანიძე"|"ოქროყანის ქ. 52, ქარელი"
"მარგალიტა კობერიძე"|"გ. სვანიძის ქ. 91, ხონი"
"უშანგი დარბაიძე"|"დიდგორის ქ. 08, ბაღდათი"
"ხატია როსტიაშვილი"|"მეუნარგიას ქ. 76, ახალი ათონი"
"იამზე ნუცუბიძე"|"ედისის ქ. 76, მარნეული"
"მთვარისა კობახიძე"|"აჯამეთის ქ. 49, გუდაუთა"
"კობა გაგუა"|"მოსტკოვის ქ. 91, ყვარელი"
"კარინე ნადირაძე"|"აფხაზეთის ქ. 54, დმანისი"
"არტურ ვარდოსანიძე"|"გოგებაშვილის იაკობის ქ. 25, ბორჯომი"
"ნუგზარ ალიევი"|"არაგვის ქ. 33, გურჯაანი"
"მიხეილ ქართველიშვილი"|"მიქელაძის ქ. 53, ბათუმი"
"ბორის ქევხიშვილი"|"ბროლოსანის ქ. 70, თეთრიწყარო"
"რიტა გაჯიევი"|"ოჟიოს ქ. 42, ბაღდათი"
"ია ზურაბაშვილი"|"ზანდუკელი მიხეილის ქ. 82, თეთრიწყარო"
"ვიქტორ ადამია"|"მუკუზანის ქ. 52, დედოფლისწყარო"
"უშანგი მაღრაძე"|"პასტერის ქ. 26, ლანჩხუთი"
"ვალერიან ბერიაშვილი"|"ყუშიტაშვილის ქ. 39, ონი"
"კარინე ფეიქრიშვილი"|"ვეზიროვის ქ. 86, ბორჯომი"
"ლანა კირთაძე"|"ჭრელაშვილის ქ. 74, ჯვარი"
"თამთა ბუჩუკური"|"ტიხონოვის ქ. 99, ამბროლაური"
"შოთა კუბლაშვილი"|"ბენდელიანი ჭიჭიკოს ქ. 87, საგარეჯო"
"ემზარ ქავთარაძე"|"სევანის ქ. 55, ახმეტა"
"ანზორ ჯღარკავა"|"თეკლათის ქ. 23, აბაშა"
"მირანდა მანაგაძე"|"გოთუას ქ. 40, თბილისი"
"ვერა აფციაური"|"გვაზაურის ქ. 21, მარტვილი"
"ვასილ გაჯიევი"|"ორპირის ქ. 83, გუდაუთა"
"თამაზ კილასონია"|"ანტონ კატალიკოსის ქ. 00, საგარეჯო"
"კარლო ანთაძე"|"უკლება კირილეს ქ. 50, ბაღდათი"
"ვაჟა ნიკოლაიშვილი"|"მექანიზაციის ქ. 81, ჯვარი"
"უშანგი ჩოხელი"|"ჩიქოვანის ქ. 18, თელავი"
"მირანდა ჯინჭარაძე"|"ჩოხატაურის ქ. 33, ყვარელი"
"ვერა გრიგალაშვილი"|"სიხარულიძის ქ. 54, ხონი"
"სოფიო გოგინაშვილი"|"საყვირის ქ. 63, ბაღდათი"
"ვანო კილასონია"|"გურიელის ქ. 85, გორი"
"რუსუდან შამუგია"|"ბედიის ქ. 37, ოჩამჩირე"
"ლალი მარგველაშვილი"|"შხეფის ქ. 74, თბილისი"
"ბონდო ცაავა"|"ინანიშვილი რამაზის ქ. 27, ოჩამჩირე"
"კარლო ახობაძე"|"დირსიჭალას ქ. 31, ცაგერი"
"ნოდარ ბიგვავა"|"ვერცხლის ქ. 85, დედოფლისწყარო"
"რუსუდან ჯიქია"|"ხეჩუაშვილის ქ. 07, გუდაუთა"
"ნინელი თედორაძე"|"მუხაძის ქ. 23, ჭიათურა"
"იაგო კალანდაძე"|"ათონელის ქ. 49, გურჯაანი"
"მამუკა ცაავა"|"არსენალის ქ. 43, ამბროლაური"
"არტურ ვაშაკიძე"|"ლომაურის ქ. 78, აბაშა"
"მეგი ძიძიგური"|"ჟორესის ქ. 37, ხაშური"
"ნუგზარ კობერიძე"|"ხორავა აკაკის ქ. 16, ქუთაისი"
"ვასილ გელაძე"|"საიათნოვას ქ. 94, გაგრა"
"კარლო ვასაძე"|"ყარყარაშვილის ქ. 85, რუსთავი"
"ტარიელ ინასარიძე"|"ჩეჩელაშვილის ქ. 74, ქუთაისი"
"ანნა მამალაძე"|"ალვანის ქ. 44, ბორჯომი"
"ვეფხვია მელაძე"|"შავი ზღვის ქ. 45, საჩხერე"
"ლეილა ჯინჭარაძე"|"სულიაშვილის ქ. 18, დმანისი"
"მედიკო დვალი"|"კლდიაშვილის ქ. 98, სამტრედია"
"მზია კობიაშვილი"|"ციმაკურიძის ქ. 60, ახალციხე"
"გრიგოლ ჩაკვეტაძე"|"კოკინაკის ქ. 25, ამბროლაური"
"ნუნუ გუმბერიძე"|"ლაღიძე მიტროფანეს ქ. 30, ქობულეთი"
"ვერიკო მახარაშვილი"|"პეტრიაშვილის ქ. 65, გურჯაანი"
"კარლო ინასარიძე"|"ინგოროყვა პავლეს ქ. 05, მარნეული"
"თორნიკე ხარშილაძე"|"გამრეკელის ქ. 35, თერჯოლა"
"იური ხიმშიაშვილი"|"ჩერნიშევსკის ქ. 38, გაგრა"
"ჯუმბერ ბენდელიანი"|"კანდელაკის ქ. 43, საჩხერე"
"ომარ გაბელია"|"ჟინვალის ქ. 83, სენაკი"
"ტატიანა იმნაძე"|"ბალადინის ქ. 03, გუდაუთა"
"სიმონ მათიაშვილი"|"პეტრე იბერის ქ. 68, დმანისი"
"რამაზ გელაძე"|"საჭილაოს ქ. 20, ბათუმი"
"სულიკო ნეფარიძე"|"კიშინიოვის ქ. 19, ზუგდიდი"
"ვალერიან კონცელიძე"|"აკოფიანის ქ. 42, ხაშური"
"კარლო ლიპარტელიანი"|"ქინძმარაულის ქ. 81, ვალე"
"თინათინ ხაჭაპურიძე"|"პატარძეულის ქ. 57, ფოთი"
"ნორა მგელაძე"|"არარატის ქ. 92, ქობულეთი"
"ჟუჟუნა ბოჭორიშვილი"|"ტეხურის ქ. 89, დედოფლისწყარო"
"კარინე ხვედელიძე"|"საიათნოვას ქ. 65, სამტრედია"
"გალინა ბერიაშვილი"|"ბესიკის ქ. 92, ბოლნისი"
"ირინა ხვიჩია"|"შილდის ქ. 59, გარდაბანი"
"რეზო მუსტაფაევი"|"ჩუბინიძის ქ. 40, ჭიათურა"
"ზვიად ღარიბაშვილი"|"შანიძე აკაკის ქ. 19, თბილისი"
"ილია გულიაშვილი"|"ვარდევანის ქ. 75, თელავი"
"კარლო საჯაია"|"აბანოს ქ. 83, კასპი"
"ევგენია ფეიქრიშვილი"|"ბოტანიკურის ქ. 33, თბილისი"
"ბელა გობეჯიშვილი"|"მანგლისის ქ. 62, ფოთი"
"ნადეჯდა ცარციძე"|"ბოჭორმის ქ. 37, ხობი"
"იაგო საჯაია"|"სოხუმის ქ. 72, მარნეული"
"სიმონ წულუკიძე"|"ათონელის ქ. 26, წყალტუბო"
"ელენე ხეცურიანი"|"სტურუას ქ. 77, ახალქალაქი"
"ვლადიმერ გოგიძე"|"ხახანაშვილის ქ. 20, ტყიბული"
"კახა ვარდოსანიძე"|"წერნაკის ქ. 45, სენაკი"
"ლაშა ქავთარაძე"|"სარაჯიშვილი პეტრეს ქ. 72, დმანისი"
"კარლო ფიფია"|"შირაქის ქ. 41, თელავი"
"დათო ნიქაბაძე"|"ნუცუბიძის ქ. 43, ხაშური"
"ციცინო მჭედლიშვილი"|"ლანჩხუთის ქ. 39, ცაგერი"
"გიგლა ყიფიანი"|"აწყურის ქ. 16, თელავი"
"ბელა არაბიძე"|"ხრესილის ქ. 92, სამტრედია"
"რუსუდან ქანთარია"|"კობახიძის ქ. 44, ბაღდათი"
"რატი კუპრაშვილი"|"შანშიაშვილის ქ. 34, გალი"
"ნინო ალადაშვილი"|"ბოცვაძის ქ. 87, თბილისი"
"დარეჯან ძნელაძე"|"ჩაიკოვსკის ქ. 82, ცაგერი"
"ნონა გუმბერიძე"|"მარტყოფის ქ. 95, ბათუმი"
"კარლო ჩხიკვაძე"|"ნოვოროსისკის ქ. 62, ახალქალაქი"
"კახა ნაბიევი"|"გიორგაძის ქ. 55, ქობულეთი"
"ნესტან ზედგინიძე"|"ჩოლოყაშვილი ქაიხოსროს ქ. 85, ნინოწმინდა"
"დიანა კირკიტაძე"|"ხანძთელი გრიგოლის ქ. 52, ქობულეთი"
"რიმა დვალი"|"ბუხაიძის ქ. 57, წალენჯიხა"
"ოლია ჭანტურია"|"თუმანიანის ქ. 57, ქარელი"
"გვანცა კუპატაძე"|"პისარევის ქ. 19, ჯვარი"
"ბონდო გელაშვილი"|"ბარისახოს ქ. 35, ოჩამჩირე"
"ედუარდ კირთაძე"|"აბაშიძის ქ. 04, ბათუმი"
"მურთაზ კუბლაშვილი"|"საჩხერის ქ. 32, ხაშური"
"კახა ბიბილაშვილი"|"სადმელის ქ. 86, ქობულეთი"
"გოგი ჯანჯღავა"|"შარტავა ჟიულის ქ. 99, რუსთავი"
"ემზარ ბერიძე"|"ბალანჩივაძე მელიტონის ქ. 66, დედოფლისწყარო"
"ია ბოკუჩავა"|"უნივერსიტეტის ქ. 17, თერჯოლა"
"გალინა ვასაძე"|"გუმათჰესის ქ. 04, ხაშური"
"მაია მაჭარაშვილი"|"ჟონეთის ქ. 60, ონი"
"არტურ ქირია"|"გოგებაშვილის იაკობის ქ. 31, სამტრედია"
"ზაირა ბერულავა"|"მაღალაშვილის ქ. 91, ამბროლაური"
"გიორგი მეფარიშვილი"|"ბოჭორმის ქ. 82, ხაშური"
"ალა ხურცილავა"|"კარგარეთელის ქ. 29, წალკა"
"კახა გაბედავა"|"მამკოდის ქ. 95, კასპი"
"თეიმურაზ რუხაძე"|"სამურზაყანოს ქ. 11, წყალტუბო"
"ვასილ სიჭინავა"|"რატილის ქ. 99, ხაშური"
"ზინა ჭითანავა"|"სარკინეთის ქ. 04, ცხინვალი"
"ნესტან ბიწაძე"|"ნინიძის ქ. 48, ტყიბული"
"ვენერა ალიევა"|"ლ. ელიავას ქ. 23, დმანისი"
"მადონა მაზმიშვილი"|"ტოლსტონოგოვის ქ. 43, ჯვარი"
"დემურ ბერაძე"|"აბზიანიძის ქ. 17, ახალციხე"
"ტარიელ ლომიძე"|"მაიაკოვსკის ქ. 60, თბილისი"
"ვარდო ხაჩატურიანი"|"ცინცაძე კალისტრატეს ქ. 52, ზუგდიდი"
"კახა გობეჯიშვილი"|"გამრეკელის ქ. 17, ტყიბული"
"აკაკი ზედგინიძე"|"მიტინგის ქ. 71, ბორჯომი"
"ვენერა ბერაძე"|"ცხვედაძის ქ. 55, წნორი"
"მზია შარაშიძე"|"ხვიჩია იპოლიტეს ქ. 06, ტყიბული"
"ვეფხვია სამუშია"|"შერვაშიძის ქ. 01, წალენჯიხა"
"ჟანა ყურაშვილი"|"გივიშვილის ქ. 51, სოხუმი"
"ელგუჯა ელბაქიძე"|"ლისაშვილის ქ. 17, გუდაუთა"
"ნელი კინწურაშვილი"|"გლინკას ქ. 64, თბილისი"
"ნათელა მამულაშვილი"|"ჩოხელის ქ. 65, რუსთავი"
"გელა ტალახაძე"|"ცურტაველი იაკობის ქ. 15, ახალქალაქი"
"კახა ვაშაკიძე"|"კიკეთის ქ. 56, კასპი"
"გენადი ახობაძე"|"როდენის ქ. 04, ახმეტა"
"აკაკი ჭინჭარაული"|"ლერმონტოვის ქ. 65, გუდაუთა"
"ასმათ რეხვიაშვილი"|"ზოვრეთის ქ. 41, ყვარელი"
"ნანული სანიკიძე"|"დირსიჭალას ქ. 26, ოჩამჩირე"
"თინა ბლიაძე"|"წუწუნავას ქ. 80, ტყიბული"
"ვასილ ყაველაშვილი"|"თხინვალის ქ. 00, ახალი ათონი"
"გოგა ჩხარტიშვილი"|"ნავთლუღის ქ. 49, მცხეთა"
"ნადია გრიგალაშვილი"|"გვეტაძე რაჟდენის ქ. 70, ოზურგეთი"
"აკაკი წულუკიძე"|"ლალიონის ქ. 85, ფოთი"
"კახა პაპიაშვილი"|"ფოთის ქ. 05, ოჩამჩირე"
"ავთანდილ ჯავახიშვილი"|"ივლეთის ქ. 80, ნინოწმინდა"
"მთვარისა ჯიბლაძე"|"ძეგამის ქ. 67, თბილისი"
"თამაზ მეტრეველი"|"თერგის ქ. 16, დმანისი"
"იოსებ ხატიაშვილი"|"ქსოვრელის ქ. 29, მარნეული"
"ნუცა თოფურია"|"არსენალის ქ. 56, ახალციხე"
"ნანული ხურციძე"|"ქურხულის ქ. 88, ხობი"
"ცისანა გაჯიევა"|"საქანელას ქ. 26, ხობი"
"ელისო ოქრუაშვილი"|"სპანდარიანის ქ. 87, ახალქალაქი"
"რიტა მუსტაფაევა"|"თავაძე ფერდინანდის ქ. 35, გუდაუთა"
"კახა სირაძე"|"ტატიშვილის ქ. 08, სამტრედია"
"ნიკა გუჯაბიძე"|"ციხისძირის ქ. 72, ჯვარი"
"თემურ გაბედავა"|"მამკოდის ქ. 98, ვანი"
"გენადი ხიმშიაშვილი"|"გარე კახეთის ქ. 08, თბილისი"
"ნადია მოსიაშვილი"|"ლაილაშის ქ. 56, გარდაბანი"
"ომარ ქარჩავა"|"სულხანიშვილის ქ. 83, ხონი"
"დარეჯან კუჭავა"|"თარხნიშვილის ქ. 16, ოზურგეთი"
"თეა დანელია"|"რაზმაძის ქ. 07, გალი"
"მარია ჯიბლაძე"|"წიკლაურის ქ. 62, ახმეტა"
"ვიქტორ ზარქუა"|"ჩარგლის ქ. 76, ხაშური"
"კახა ტყეშელაშვილი"|"არეშიძის ქ. 08, სამტრედია"
"ილია ქევხიშვილი"|"სკოლის ქ. 34, სიღნაღი"
"გენადი კუპატაძე"|"თოდრიას ქ. 75, ზუგდიდი"
"რუსუდან ჭითანავა"|"გედევანიშვილის ქ. 96, ქობულეთი"
"ფატიმა ჯინჭარაძე"|"ქებურიას ქ. 94, გორი"
"მარგალიტა მუსტაფაევი"|"ქვალონის ქ. 52, დმანისი"
"ელისო ლიპარტელიანი"|"კიკვიძის ქ. 40, ხონი"
"ტარიელ მაჭარაშვილი"|"ხონის ქ. 31, ვანი"
"ვახტანგ ნარიმანიძე"|"ექიმის ქ. 88, წალკა"
"გრიგოლ კოპალიანი"|"გოგაშენის ქ. 25, დუშეთი"
"კახა შენგელია"|"ბერიძე ვუკოლის ქ. 70, ხონი"
"თათია იაშვილი"|"ჩუბინიძის ქ. 07, ზუგდიდი"
"კლარა გაბუნია"|"კავთისხევის ქ. 16, წალკა"
"ვენერა კალანდია"|"წურწუმიას ქ. 94, ტყვარჩელი"
"ელიზა მღებრიშვილი"|"წერნაკის ქ. 55, ჯვარი"
