"Aaron Kälin","Staufferstrasse 96
5052 Val-de-Travers" 
"Sibylle Zehnder","Gfellerstrasse 51
3505 Bülach"
"Rafael Schaller-Lutz","Wettsteinstrasse 1
9454 Allschwil"
"Marcus Flückiger","Meisterstrasse 95
3481 Bellinzona"
"Prof. Amra Stutz","Grobstrasse 3
4086 Burgdorf"
"Mats Bosshard","Schochstrasse 81
6610 Lutry"
"Jari Lang-Bühler","Baumannstrasse 186
7633 Locarno"
"Hans-Peter Jäggi","Hugstrasse 6
2399 Thônex"
"Gianna Isler","Favrestrasse 462
2675 Monthey"
"Romy Grob Frick","Moserstrasse 58
9561 Lutry"
"Leano Müller-Frei","Schwarzstrasse 61
3991 Herisau"
"Elke Herzog Ammann","Schochstrasse 6
4099 Neuhausen"
"Dusan Zbinden","Leustrasse 3
8559 Aigle"
"Prof. Stefan Kohler","Stuckistrasse 34
5440 Lenzburg"
"Géraldine Vogt","Freystrasse 7
1503 Bulle"
"Dr. Ingrid Zehnder","Kochstrasse 468
5509 Wald"
"Angelika Brunner","Braunstrasse 81
8077 Thônex"
"Hans-Peter Stutz","Betschartstrasse 547
8132 Bern"
"Artur Schmid","Wyssstrasse 3
7558 Oftringen"
"Leonora Schweizer","Beckstrasse 32
4765 Kloten"
"Mael Frey-Hartmann","Kohlerstrasse 39
1622 Chêne-Bougeries"
"Brigitta Braun Schweizer","Wettsteinstrasse 811
6216 Val-de-Travers"
"Steve Steiner","Gerberstrasse 24
5983 Adliswil"
"Claus Stocker","Rothstrasse 119
5237 Arth"
"Nael Schlatter","Wüthrichstrasse 257
2462 Rheinfelden"
"Karine Isler","Steigerstrasse 96
4194 Sarnen"
"Slavisa Steiger","Mettlerstrasse 34
7106 Horw"
"Hans-Ulrich Martin-Baumann","Schmidstrasse 864
9399 Meilen"
"Gani Grob-Stocker","Felberstrasse 8
9086 St. Gallen"
"Rina Leu","Schumacherstrasse 70
7024 Maur"
"Ilija Hoffmann","Roosstrasse 71
7415 Neuenburg"
"Myrta Brun","Friedlistrasse 98
8533 La Chaux-de-Fonds"
"Prof. Remo Felder","Gigerstrasse 2
3373 La Chaux-de-Fonds"
"Concetta Bucher","Amreinstrasse 98
1884 Münsingen"
"Miranda Bucher","Bühlmannstrasse 6
5955 Winterthur"
"Dr. Celia Gloor","Merzstrasse 5
4750 Küsnacht"
"Josette Schuler","Staufferstrasse 34
2243 Burgdorf"
"Hanspeter Kunz","Siegriststrasse 1
1252 Zollikon"
"Adrian Hug","Furrerstrasse 8
6078 Mendrisio"
"Leni Favre","Schlatterstrasse 771
7252 Freiburg"
"Luz Steffen","Mayerstrasse 7
3590 Lutry"
"Rebekka Egger Steffen","Ernistrasse 261
8655 Bern"
"Josephine Bader","Schumacherstrasse 6
5521 Richterswil"
"Samuel Winkler","Felberstrasse 72
2857 Baar"
"Nina Maier Jäggi","Stadelmannstrasse 59
5014 Horgen"
"Nils Seiler","Forsterstrasse 531
4405 Romanshorn"
"Noemi Bosshard Stauffer","Pfisterstrasse 91
2267 Allschwil"
"Hanspeter Maier","Baumgartnerstrasse 95
9540 Luzern"
"Danijel Zehnder","Lehmannstrasse 963
3906 Dietikon"
"Stefanie Wenger","Lüthistrasse 353
8961 Lausanne"
"Claudio Steffen","Wolfstrasse 90
8228 Horw"
"Milo Wüthrich","Herzogstrasse 74
9388 Bellinzona"
"Sadik Baur","Schneiderstrasse 19
5651 Wald"
"Christophe Frey-Favre","Haasstrasse 329
4904 Worb"
"Laetitia Wüthrich","Hartmannstrasse 2
5997 La Chaux-de-Fonds"
"Elia Thommen","Kälinstrasse 71
4910 Amriswil"
"Lukas Bianchi","Hafnerstrasse 9
9068 Wettingen"
"Hanspeter Steffen","Grossstrasse 42
5689 Zofingen"
"Prof. Rahel Imhof","Imhofstrasse 15
8498 Villars-sur-Glâne"
"Annina Kälin","Zieglerstrasse 82
3901 Baden"
"Mohammad Kuhn","Schwabstrasse 418
6496 Amriswil"
"Yvonne Wirz Benz","Lanzstrasse 80
4877 Schaffhausen"
"Ingrid Steiner","Stettlerstrasse 2
1795 Belp"
"Rodrigo Wagner","Zürcherstrasse 88
9953 Thalwil"
"Dr. Jara Stauffer","Meyerstrasse 315
6480 Steffisburg"
"Marta Zimmermann","Zieglerstrasse 956
9987 La Tour-de-Peilz"
"Yasmina Albrecht Keller","Sutterstrasse 92
4552 Veyrier"
"Hanspeter Steinmann","Ritterstrasse 477
6870 Zug"
"Marielle Sidler","Baumannstrasse 96
6762 Ebikon"
"Anastasia Kuhn-Näf","Gloorstrasse 85
5672 Wallisellen"
"Angela Baumgartner Wyss","Schärstrasse 77
2776 Pully"
"Prof. Colin Martin","Furrerstrasse 81
7534 Brugg"
"Nathalie Schäfer","Schochstrasse 30
5823 Baden"
"Julian Bieri","Gloorstrasse 639
9034 Baden"
"Agathe Kunz","Ottstrasse 24
9792 Maur"
"Nael Egli","Stettlerstrasse 18
4785 Maur"
"Dr. Victor Erni","Schmidstrasse 118
9149 Prilly"
"Hansruedi Fuchs-Roth","Ottstrasse 144
7319 Delsberg"
"Rodrigo Kern","Maurerstrasse 229
1588 Crans-Montana"
"Verena Fankhauser Zingg","Rüeggstrasse 16
6302 Reinach"
"Shpresa Senn","Baumgartnerstrasse 4
1613 Bülach"
"Aline Schoch-Kunz","Benzstrasse 80
8169 Muttenz"
"Prof. Saskia Geiger","Eichenbergerstrasse 78
6034 Oberwil"
"Mariana Ziegler","Hugstrasse 40
8039 Payerne"
"Nikolaos Bosshard","Sennstrasse 4
4042 Luzern"
"Klaus Zürcher","Bergerstrasse 25
9458 Pratteln"
"Prof. Paulo Friedli","Schweizerstrasse 382
1324 Wald"
"Hansruedi Mettler","Baumgartnerstrasse 31
1447 Glarus"
"Oliver Weibel","Schochstrasse 906
9000 Davos"
"Suzana Roth","Hoferstrasse 36
1140 Ebikon"
"Janick Müller","Geigerstrasse 41
2218 Siders"
"Noemi Amrein","Steigerstrasse 131
2377 Rüti"
"David Scheidegger-Gut","Zinggstrasse 95
4261 Vernier"
"Annelies Giger Gerber","Probststrasse 99
2506 Kriens"
"Anisa Meili","Christenstrasse 101
9891 Hinwil"
"Mariusz Merz-Erni","Hoffmannstrasse 6
2193 Volketswil"
"Tenzin Favre-Baumgartner","Lüthistrasse 313
3204 Reinach"
"Hansueli Bachmann","Bärstrasse 325
2287 Einsiedeln"
"Ekrem Christen","Seilerstrasse 977
2844 Pratteln"
"Jeanine Kägi","Lehmannstrasse 857
1408 Steinhausen"
"Denis Wegmann","Ottstrasse 68
4153 Winterthur"
"Elias Steinmann","Beckstrasse 508
3729 Morges"
"Silke Fehr Schuler","Schmidtstrasse 48
7480 Flawil"
"Karl Ackermann","Mäderstrasse 4
9097 Cham"
"Carlos Gerber","Gutstrasse 69
3660 Pfäffikon"
"Margit Forster","Rüeggstrasse 14
6372 Sitten"
"Ayse Bär","Sennstrasse 33
5910 Altstätten"
"Hansueli Stadelmann","Vogtstrasse 753
4441 Brugg"
"Prof. Kaspar Hofer","Betschartstrasse 8
2179 Risch"
"Prof. Marie-Louise Schweizer","Wettsteinstrasse 59
8988 Urdorf"
"Susanne Sigrist Meili","Stuckistrasse 560
2955 Pfäffikon"
"Lotte Fischer","Zimmermannstrasse 94
4464 Gossau"
"Stjepan Suter-Braun","Zimmermannstrasse 90
4643 Risch"
"Frieda Roos","Toblerstrasse 58
5209 Chêne-Bougeries"
"Jade Hoffmann Lustenberger","Kuhnstrasse 24
5323 Luzern"
"Tara Moser","Bosshardstrasse 36
5646 Dietikon"
"Anna-Maria Meyer","Martinstrasse 7
9120 Meilen"
"Hansueli Zimmermann","Bauerstrasse 37
1633 Zollikofen"
"Joséphine Hauser Gut","Freistrasse 8
3476 Freiburg"
"Frieda Huber","Sennstrasse 55
8942 Plan-les-Ouates"
"Jakub Hofstetter","Kägistrasse 59
1338 Brig-Glis"
"Zoran Ritter","Mäderstrasse 626
3318 Horgen"
"Eduardo Wehrli","Kaufmannstrasse 92
4903 Volketswil"
"Margret Maier-Roth","Gigerstrasse 554
9435 Freienbach"
"Moritz Jenni","Scheideggerstrasse 570
4730 Meyrin"
"Dr. Gianna Sigrist","Gerberstrasse 30
6817 Kriens"
"Cindy Fehr","Jennistrasse 74
6813 Maur"
"Harald Hasler","Hodelstrasse 28
6389 Naters"
"Gordana Bianchi Lang","Bauerstrasse 244
3257 Wallisellen"
"Patricia Bosshard-Hug","Mettlerstrasse 9
2850 Genf"
"Dr. Carmela Meister","Wettsteinstrasse 35
2504 Einsiedeln"
"Ken Lehmann","Küngstrasse 100
2600 Weinfelden"
"Luka Blaser","Fankhauserstrasse 662
8990 Carouge"
"Levin Wyss-Bosshard","Jäggistrasse 7
5458 Freiburg"
"Bernadette Fuchs Maier","Sutterstrasse 16
9526 La Chaux-de-Fonds"
"Jeton Hofmann","Vogtstrasse 24
8725 Cham"
"Prof. Giuseppa Staub","Stockerstrasse 83
6298 Meyrin"
"Haris Studer-Baur","Kaiserstrasse 17
3658 Lutry"
"Baris Mettler","Schallerstrasse 30
8830 Vernier"
"Dr. Lisbeth Bader","Schmidtstrasse 19
3192 Frauenfeld"
"Ayse Roos","Favrestrasse 39
4860 Zollikofen"
"Priscilla Geiger","Gfellerstrasse 4
9358 Münchenbuchsee"
"Michela Brunner Michel","Schallerstrasse 74
3475 Köniz"
"Luigi Küng","Zinggstrasse 1
9824 Zug"
"Dr. Gerda Tanner","Staufferstrasse 12
5343 Altstätten"
"Prof. Amra Baumgartner","Freistrasse 257
8606 Chêne-Bougeries"
"Thorsten Winkler","Staubstrasse 5
6844 Hinwil"
"Hartmut Aebi","Wolfstrasse 85
7750 Steffisburg"
"Nadja Schweizer","Steigerstrasse 66
8425 Pratteln"
"Sigrid Schmidt Brunner","Bieristrasse 21
2267 Küsnacht"
"Monica Bolliger-Kuhn","Felderstrasse 79
3200 Aarau"
"Theresa Suter","Martistrasse 242
6652 Rapperswil-Jona"
"Mato Wyss","Fischerstrasse 4
5668 Meilen"
"Laura Kunz","Brunstrasse 34
2486 Emmen"
"Rafaela Suter","Peterstrasse 77
9879 Thônex"
"Zeljko Bianchi","Pfisterstrasse 6
8470 Villars-sur-Glâne"
"Aude Schumacher","Weberstrasse 16
8701 Regensdorf"
"Hartmut Käser","Wengerstrasse 261
7260 Münchenbuchsee"
"Hilda Wegmann-Studer","Wirzstrasse 797
6872 Versoix"
"Naser Favre","Kochstrasse 66
1064 Weinfelden"
"Aylin Gerber","Merzstrasse 370
4296 Sarnen"
"Sabine Steinmann","Martistrasse 858
5408 Kriens"
"Predrag Eichenberger","Steffenstrasse 336
9517 Bern"
"Dragana Jenni","Vogelstrasse 85
5664 Dübendorf"
"Monika Sidler","Moserstrasse 44
9614 Hinwil"
"Géraldine Sutter","Bosshardstrasse 64
2223 Wil"
"Dr. Anna Rey","Christenstrasse 956
2451 Männedorf"
"Hartmut Leunberger","Friedlistrasse 221
8644 Locarno"
"Till Steiger","Ferraristrasse 71
7275 Meyrin"
"Kim Kaufmann Beck","Suterstrasse 26
1315 Richterswil"
"Sinisa Bachmann","Käserstrasse 436
2959 Maur"
"Petra Maier Hess","Schärstrasse 69
7353 Olten"
"Jannis Rey-Gfeller","Lustenbergerstrasse 80
3659 Burgdorf"
"Prof. Valentina Hauser","Probststrasse 20
6101 Wil"
"Giovanni Friedli","Haslerstrasse 41
5040 Aesch"
"Viktor Brunner","Roosstrasse 67
8909 Versoix"
"Agnese Kohler","Wirthstrasse 6
8779 Uzwil"
"Hartmut Sidler","Schwarzstrasse 35
9478 Bernex"
"Nicola Grob","Gfellerstrasse 86
7393 Affoltern"
"Viviana Hoffmann","Stalderstrasse 57
7147 Meyrin"
"Ursina Frei","Ammannstrasse 1
6265 Liestal"
"Nicole Schwarz Ammann","Kälinstrasse 40
5538 Arbon"
"Alisa Blaser Staub","Schärerstrasse 6
6814 Rüti"
"Sheila Schärer","Betschartstrasse 64
6126 Pfäffikon"
"Carmen Blaser","Bauerstrasse 4
7635 Männedorf"
"Prof. Mirlinda Weber","Schmidstrasse 158
3272 Suhr"
"Luka Tanner","Eichenbergerstrasse 35
2332 La Chaux-de-Fonds"
"Hatice Knecht","Blumstrasse 5
5510 Montreux"
"Kristin Knecht","Lüthistrasse 1
6751 Renens"
"Milo Scheidegger-Felber","Maierstrasse 19
4393 Pully"
"Kastriot Frey","Eugsterstrasse 38
3710 Urdorf"
"Gaia Weibel","Furrerstrasse 7
4434 Glarus"
"Maddalena Pfister","Gutstrasse 96
4915 Rheinfelden"
"Marin Schär-Weibel","Imhofstrasse 9
7275 Muttenz"
"Jacob Kaufmann","Meisterstrasse 445
8072 Locarno"
"Beat Leunberger","Hodelstrasse 37
1047 Ebikon"
"Regina Studer","Beckstrasse 29
2856 Herisau"
"Hatice Steiner-Erni","Gerberstrasse 62
7950 Glarus"
"Prof. Antonietta Hafner","Sigriststrasse 527
1719 Val-de-Travers"
"Prof. Ricardo Kälin","Zehnderstrasse 27
3977 Val-de-Ruz"
"Ahmad Brun","Albrechtstrasse 8
4013 Thun"
"Harald Hasler","Ernistrasse 625
4960 Gossau"
"Gerd Hunziker","Studerstrasse 607
1744 Wetzikon"
"Jeffrey Bucher","Zehnderstrasse 11
5209 Buchs"
"Michaela Steiger","Frickstrasse 64
1555 Plan-les-Ouates"
"Dr. Jan Schweizer","Hugstrasse 319
1691 Versoix"
"Amanda Albrecht","Steinerstrasse 5
3570 Delsberg"
"Hava Maier","Haasstrasse 96
1744 Muri"
"Hasan Berger","Mettlerstrasse 904
9014 Kreuzlingen"
"Zlatko Wyss","Flückigerstrasse 11
1034 Pratteln"
"Dr. Hava Isler","Schmidtstrasse 77
3722 Bellinzona"
"Nathalie Schlatter","Ferraristrasse 62
2275 Renens"
"Adrian Giger","Imhofstrasse 99
6722 Delsberg"
"Dr. Dijana Isler","Knechtstrasse 86
4555 Reinach"
"Lola Zimmermann","Zieglerstrasse 25
4422 Olten"
"Ramon Winkler","Knechtstrasse 1
1928 Sarnen"
"Ronald Sidler","Hoferstrasse 35
7812 Yverdon-les-Bains"
"Hedwig Friedli","Küngstrasse 49
1068 Riehen"
"Carina Lustenberger","Ritterstrasse 85
2852 Altstätten"
"Michèle Schmid Bühler","Eggerstrasse 64
9576 Monthey"
"Rouven Bucher","Meyerstrasse 650
8360 Horgen"
"Kristian Lehmann-Leu","Ottstrasse 96
7380 Dietikon"
"Paul Berger","Müllerstrasse 29
7332 Spreitenbach"
"Fabiola Herzog Haas","Grossstrasse 54
3833 Zug"
"Dr. Ruben Geiger","Bucherstrasse 33
8237 Martigny"
"Simone Hofmann","Hermannstrasse 9
8705 Bern"
"Dr. Coralie Siegrist","Schwarzstrasse 75
5116 Affoltern"
"Heidi Schmidt Seiler","Bärstrasse 28
7359 Oberwil"
"Miroslav Brunner","Moserstrasse 292
2658 Altstätten"
"Sigrid Felber Graf","Spörristrasse 24
5270 Gossau"
"Ricardo Zingg","Freistrasse 71
8850 Onex"
"Jason Stucki","Schwabstrasse 69
4753 St. Gallen"
"Annalisa Kessler","Wüthrichstrasse 85
2374 Vernier"
"Krzysztof Brunner","Roosstrasse 50
7301 Delsberg"
"Ardian Roos","Staufferstrasse 253
1838 Muttenz"
"Niklas Jenni","Bärstrasse 97
5152 Nyon"
"Gonçalo Schwarz","Lustenbergerstrasse 98
5606 Frauenfeld"
"Heidy Schwab Favre","Bergerstrasse 344
2665 Küssnacht"
"Dr. Rafaela Maier","Furrerstrasse 19
2316 Mendrisio"
"Olga Moser","Haasstrasse 592
7834 Frauenfeld"
"Andrea Hasler Fankhauser","Näfstrasse 147
7828 Morges"
"Prof. Marc Furrer","Hirtstrasse 37
8081 Uster"
"Margareta Schweizer","Ferraristrasse 23
6108 Burgdorf"
"Florin Lanz","Hessstrasse 41
9387 Dübendorf"
"Delia Schneider","Grossstrasse 27
3858 Payerne"
"Prof. Annette Bühler","Schumacherstrasse 61
1542 Montreux"
"Michaela Scherrer","Reystrasse 98
5321 Rapperswil-Jona"
"Heike Schumacher","Hessstrasse 3
8437 Meilen"
"Olivier Betschart-Hirt","Hoffmannstrasse 24
1761 Chêne-Bougeries"
"Josiane Weibel Kaufmann","Schäferstrasse 414
3256 Wetzikon"
"Dominik Forster","Fehrstrasse 8
9520 Brig-Glis"
"Berthe Marti","Schweizerstrasse 30
8325 Brig-Glis"
"Bujar Hauser","Grobstrasse 81
1315 Frauenfeld"
"Reinhold Fischer-Meier","Winklerstrasse 42
6886 Veyrier"
"Leopold Vogel","Felberstrasse 383
4931 Sarnen"
"Dr. Jill Favre","Walterstrasse 77
2711 Ostermundigen"
"Marion Grob Bader","Sigriststrasse 577
8127 Meilen"
"Helen Berger Zingg","Favrestrasse 1
1667 Basel"
"Radmila Aebi","Blaserstrasse 71
1379 La Tour-de-Peilz"
"Arsim Ritter","Wolfstrasse 422
3297 Oberwil"
"Patrik Winkler-Stutz","Kohlerstrasse 32
6137 Adliswil"
"Nikolaus Stalder","Scherrerstrasse 121
5150 La Tour-de-Peilz"
"Elvira Probst","Baderstrasse 486
5396 Wallisellen"
"Lias Schaub","Leunbergerstrasse 44
5945 Köniz"
"Camilla Gloor","Joststrasse 19
9256 Neuhausen"
"Ana Wagner","Huberstrasse 2
6962 Monthey"
"Linda Sigrist","Siegriststrasse 86
7962 Veyrier"
"Helena Gloor","Fuchsstrasse 7
2435 Aarau"
"Nebojsa Schürch","Wettsteinstrasse 3
4842 Hinwil"
"Aurélie Schaub","Winklerstrasse 49
1235 Buchs"
"Dr. Merlin Braun","Bieristrasse 66
2396 Olten"
"Dr. Mehdi Schneider","Bachmannstrasse 74
6525 Oftringen"
"Caspar Bühlmann","Betschartstrasse 22
3423 Volketswil"
"Dunja Meister","Tannerstrasse 52
5774 Riehen"
"Manuel Frey","Zimmermannstrasse 150
5584 Thônex"
"Irmgard Hotz","Amreinstrasse 21
2023 Köniz"
"Mathilde Kuhn Bieri","Hugstrasse 755
8538 Opfikon"
"Helena Siegrist-Hotz","Hafnerstrasse 35
3139 Rüti"
"Olivier Lustenberger-Schlatter","Baderstrasse 68
1674 Solothurn"
"Elisabetha Lutz","Gloorstrasse 9
5092 Villars-sur-Glâne"
"Till Schenk","Suterstrasse 1
6102 Köniz"
"Silvana Fankhauser Haas","Pfisterstrasse 80
7727 Sursee"
"Esra Zbinden","Meisterstrasse 41
3457 Amriswil"
"Timon Mettler","Kuhnstrasse 48
7384 Richterswil"
"Katarzyna Koch","Bolligerstrasse 8
9074 Lutry"
"Cosimo Hafner","Meyerstrasse 917
4560 Pully"
"Georg Meili-Leu","Steffenstrasse 737
3265 Burgdorf"
"Helena Stocker","Steigerstrasse 9
5259 Brugg"
"Dr. Olaf Zehnder","Rothstrasse 949
3856 Gland"
"Kelly Flückiger","Vogtstrasse 57
1288 Basel"
"Liam Vogel","Hauserstrasse 8
2279 Meilen"
"Leyla Schweizer","Grossstrasse 624
9410 Aesch"
"Fabrice Wirz","Mäderstrasse 3
9337 Romanshorn"
"Dr. Daisy Hofstetter","Bolligerstrasse 56
6350 Solothurn"
"Enzo Schürch","Kesslerstrasse 10
9008 Pfäffikon"
"Rachel Gut Steiger","Wettsteinstrasse 90
8663 Wetzikon"
"Letizia Gerber","Schochstrasse 45
8410 Liestal"
"Helene Bieri","Kochstrasse 7
8901 Binningen"
"Beat Frei","Kesslerstrasse 31
5327 Thalwil"
"Lina Hafner","Reystrasse 3
4988 Richterswil"
"Joy Wehrli Lüscher","Zehnderstrasse 8
8166 Wetzikon"
"Ramadan Egger","Schürchstrasse 9
3611 Muri"
"Dr. Tim Schmidt","Lüscherstrasse 38
4097 Lausanne"
"Prof. Karine Gross","Bühlmannstrasse 9
7184 Männedorf"
"Josefine Ritter Gross","Walterstrasse 324
4403 Zofingen"
"Marlène Grob","Weibelstrasse 237
3383 Suhr"
"Emmanuel Schumacher","Baderstrasse 9
2374 Wettingen"
"Helene Kunz","Hartmannstrasse 19
2911 Pfäffikon"
"Noelia Bieri Schär","Zieglerstrasse 49
5897 Zofingen"
"Yusuf Frick","Gerberstrasse 1
6536 Hinwil"
"Pasquale Herzog","Hugstrasse 98
3251 Münsingen"
"Michel Favre","Toblerstrasse 942
2440 Neuhausen"
"Angelika Kägi","Itenstrasse 95
2658 Bern"
"Liselotte Iten","Islerstrasse 75
5703 Bulle"
"Prof. Sophie Zimmermann","Bättigstrasse 38
3911 Uster"
"Cedric Kägi","Forsterstrasse 73
3020 Risch"
"Jose Schenk","Merzstrasse 47
1496 Langenthal"
"Hendrik Meister","Winklerstrasse 76
6130 Schlieren"
"Michal Schwab","Herzogstrasse 86
9834 Veyrier"
"Vreneli Kälin-Friedli","Blaserstrasse 563
1503 Wil"
"Evelyne Bernasconi","Ackermannstrasse 48
4123 Aesch"
"Jaël Tobler-Stadelmann","Bättigstrasse 187
5844 Siders"
"Tuana Steffen","Brunnerstrasse 17
3374 Münchenbuchsee"
"Christopher Schaub-Gross","Lutzstrasse 83
7360 Martigny"
"Merita Ackermann","Staubstrasse 15
6309 Lenzburg"
"Franz Schärer","Itenstrasse 71
6012 Bern"
"Lejla Wehrli","Langstrasse 693
9642 Binningen"
"Henriette Fuchs","Felberstrasse 40
4167 Küsnacht"
"Prof. Gani Zbinden","Hoferstrasse 31
7955 Reinach"
"Kevin Winkler","Forsterstrasse 40
3302 Plan-les-Ouates"
"Prof. Volkan Bader","Schürchstrasse 3
5033 Hinwil"
"Pablo Bolliger","Wettsteinstrasse 630
9533 Rheinfelden"
"Antonio Kaufmann","Langstrasse 71
3622 Sursee"
"Bekim Käser","Bosshardstrasse 50
6169 Einsiedeln"
"Aleksandar Tanner","Siegriststrasse 88
4866 Crans-Montana"
"Susanne Spörri","Jennistrasse 9
1268 Maur"
"Prof. Altin Zingg","Kochstrasse 58
2382 Biel/Bienne"
"Henriette Näf","Schlatterstrasse 52
1343 Chêne-Bougeries"
"Prof. Bernard Lustenberger","Sennstrasse 982
5631 Rapperswil-Jona"
"Joana Schumacher","Steinmannstrasse 48
6946 Crans-Montana"
"Agnes Stucki","Schulerstrasse 7
3006 Grenchen"
"Margit Sidler","Bärstrasse 86
2425 Montreux"
"Ajla Näf-Hoffmann","Bühlerstrasse 35
4324 Ittigen"
"Shania Bolliger Imhof","Islerstrasse 5
4236 Aigle"
"Jolanda Herzog","Wettsteinstrasse 96
4995 Val-de-Travers"
"Ellen Gerber","Freystrasse 68
8037 Thônex"
"Dino Mayer","Lüthistrasse 33
9263 Zürich"
"Henriette Vogt","Schumacherstrasse 95
6523 Thalwil"
"Hansjörg Vogel","Eichenbergerstrasse 176
4823 Chêne-Bougeries"
"Altin Hess","Stuckistrasse 86
7915 Belp"
"Jaqueline Schmidt","Martistrasse 438
2371 Ecublens"
"Ivo Schaub","Knechtstrasse 81
6798 Aesch"
"Burak Schärer","Imhofstrasse 6
5396 Kloten"
"Rouven Michel","Bianchistrasse 48
9922 Glarus"
"Yasemin Meili Scheidegger","Arnoldstrasse 8
4038 Bassersdorf"
"Joyce Maurer","Kernstrasse 85
8106 Spiez"
"Karl Meier","Kunzstrasse 29
3115 Stäfa"
"Henrik Bolliger","Wettsteinstrasse 37
8291 Binningen"
"Adele Käser","Maierstrasse 26
5702 Siders"
"Daria Kunz","Steinerstrasse 252
2101 Zollikofen"
"Sanja Schaller Berger","Gigerstrasse 44
4402 Olten"
"Dr. Diogo Erni","Favrestrasse 4
8217 Rheinfelden"
"Zuzana Furrer-Ackermann","Freistrasse 96
2774 Gossau"
"Mariana Lutz-Hafner","Michelstrasse 65
6912 Küsnacht"
"Ernest Zürcher","Wehrlistrasse 25
4124 Aesch"
"Sinan Martin","Suterstrasse 58
2905 Freienbach"
"Karine Felber-Wirth","Benzstrasse 98
6063 Affoltern"
"Henrik Hotz","Scherrerstrasse 71
3339 Opfikon"
"Meryem Zehnder","Gigerstrasse 45
2321 La Chaux-de-Fonds"
"Viktor Sutter","Hunzikerstrasse 57
4647 Vernier"
"Florim Haas","Blumstrasse 499
2183 Pratteln"
"Marcos Roth","Rüeggstrasse 9
1694 Zollikon"
"Harry Rey","Forsterstrasse 532
5048 Risch"
"Prof. Cosimo Hafner","Gigerstrasse 47
7970 Glarus"
"Giada Senn","Eichenbergerstrasse 656
4693 Wald"
"Jelena Ziegler Imhof","Meilistrasse 6
4671 Thônex"
"Meryem Müller","Schumacherstrasse 473
4250 Kloten"
"Henrik Leu","Schärstrasse 1
9680 Carouge"
"Dr. Pierrette Hug","Kernstrasse 41
3354 Thun"
"Jonah Steiger-Wüthrich","Thommenstrasse 87
9812 Pfäffikon"
"Till Bachmann","Ernistrasse 5
2111 Pully"
"Gabriele Amrein Bolliger","Schmidtstrasse 40
9782 Freiburg"
"Miroslav Schwab","Leunbergerstrasse 49
9437 Affoltern"
"Noëlle Ammann","Suterstrasse 350
7884 Aesch"
"Vincenzo Ferrari-Lustenberger","Schäferstrasse 31
7924 Rüti"
"Cédric Frey","Knechtstrasse 55
2342 Wallisellen"
"Zoltan Thommen","Gasserstrasse 9
6653 Emmen"
"Hermine Schlatter","Islerstrasse 89
7465 Lausanne"
"Nives Zbinden","Stutzstrasse 55
2094 Arbon"
"Eugenio Hofer","Gigerstrasse 252
1077 Arth"
"Kushtrim Schaub-Frick","Ritterstrasse 83
3429 Herisau"
"Karl Zollinger","Bucherstrasse 861
8150 Wohlen"
"Prof. Jaël Knecht","Martistrasse 7
3863 Ostermundigen"
"Jetmir Haas","Hoffmannstrasse 96
5052 Ittigen"
"Margaret Amrein Tanner","Baumgartnerstrasse 5
7169 Olten"
"Lydie Lang","Walderstrasse 191
8907 Münsingen"
"Moreno Kaiser-Blum","Frickstrasse 26
8939 Arth"
"Herta Hauser","Schallerstrasse 16
9188 Wil"
"Myriam Kaufmann","Geigerstrasse 30
5506 Siders"
"Federico Roth","Merzstrasse 561
1983 Maur"
"Zora Tobler","Hofstetterstrasse 66
6351 Richterswil"
"Prof. Dafina Bieri","Schenkstrasse 91
5664 Luzern"
"Katerina Peter Schweizer","Meilistrasse 34
4325 Meyrin"
"Naim Bühler-Jäggi","Spörristrasse 364
8128 Lutry"
"Heidy Sutter","Freystrasse 975
9475 Montreux"
"Dr. Florin Jost","Huberstrasse 88
4210 Zürich"
"Florence Iten","Schwabstrasse 41
1756 Cham"
"Hildegard Gerber-Hauser","Gerberstrasse 355
8778 Chêne-Bougeries"
"Levi Burri","Bucherstrasse 42
8830 Einsiedeln"
"Federica Schnyder","Ammannstrasse 59
6955 Gland"
"Milorad Burri","Walderstrasse 9
6746 Worb"
"Dr. Lukas Beck","Siegriststrasse 21
4448 Männedorf"
"Manuela Keller","Amreinstrasse 624
5786 Muttenz"
"Lirim Ziegler","Hermannstrasse 1
7079 Oftringen"
"Amelia Studer Lüscher","Bättigstrasse 62
6013 Spiez"
"Pietro Schär-Gasser","Bachmannstrasse 51
9588 Onex"
"Carole Schmidt","Imhofstrasse 53
4104 Glarus"
"Holger Hug","Zieglerstrasse 7
1001 Romanshorn"
"Marietta Hirt","Eggerstrasse 98
8194 Zofingen"
"Prof. Ghislaine Schärer","Küngstrasse 41
7852 Risch"
"Alex Walter","Steffenstrasse 1
5926 Olten"
"Odette Baur","Geigerstrasse 21
5707 Risch"
"Devin Mettler","Fehrstrasse 5
8420 Frauenfeld"
"Marica Lanz Steiger","Steigerstrasse 232
9096 Adliswil"
"Steven Stöckli-Schweizer","Lehmannstrasse 225
3688 Glarus"
"Margaret Stutz Bättig","Zehnderstrasse 2
2236 Romanshorn"
"Mathilda Egger","Maurerstrasse 54
7421 Vevey"
"Hubert Stettler","Grossstrasse 5
2984 Versoix"
"Victor Braun","Schallerstrasse 207
2394 Illnau-Effretikon"
"Prof. Kim Schaub","Stadelmannstrasse 82
3432 Männedorf"
