"אביאל אברמוב"|"צוקית 29, ברקת, 9769678" 
"עומר גרין"|"ישועת דוד 81, פקיעין חדשה, 8499958"
"מיכאל שביט"|"עולש מצוי 41, כפר אחים, 4210636"
"מאיה לוי"|"המורד 50, מרחביה )מושב(, 9551799"
"דן שורץ"|"החצב 69, נתיב השיירה, 8727237"
"אורי פוגל"|"אזור תעשייה מזרח 73, פוריה - נווה עובד, 4485378"
"גלי ווקנין"|"דרך הגן 00, משמר העמק, 3004017"
"אמה חאג'"|"אהרון מאיר מזיא 94, מלאה, 9553752"
"יונתן כספי"|"סמ עין גנים 56, נטע, 5329651"
"פנחס טל"|"שאר ישוב 21, טל-אל, 8982511"
"איליי מזרחי"|"לביא אריק 28, כסלון, 9899199"
"אביב רוזנטל"|"קרל נטר 64, מזכרת בתיה, 7396582"
"איתי שמש"|"מעלה כגן הלנה 40, נתיב השיירה, 8294966"
"איילה משולם-כהן"|"נאות אשכול 81, בית הלוי, 6909673"
"יוגב מרקוביץ"|"מישאל 12, פוריידיס, 8413046"
"אלמוג אבו טיר-אלבז"|"חלמיש 04, עמוקה, 2557862"
"חמזה בנימין"|"אברהם ברזילי 65, עמקה, 0751005"
"יערה אבו ריא"|"החסידה 35, גונן, 4783390"
"יונתן נגר"|"עבד אל-גני 66, בני ציון, 5048973"
"סילין מאיר-חורי"|"גבע 53, רחוב, 4769250"
"הילל שטיין"|"האילן 88, ברקאי, 6058131"
"איתמר מנסור"|"גפן 83, ברקאי, 4657944"
"אלון חטיב"|"ש ציונים כלליים 10, חצור הגלילית, 0064145"
"אורי לוגסי"|"פרי חדש 43, בית חנניה, 4704038"
"מיכאל בן דוד"|"מישאל 97, ברקאי, 4011164"
"אוריאן שרביט-מזור"|"צובה 62, כפר מסריק, 6351105"
"ג'וד כהן"|"מעבר לים 86, נחלה, 3263857"
"אדל בוסקילה-שבתאי"|"פרומקין גד 06, מסד, 0628182"
"יונתן נועם ברמן"|"חרת א בוס 56, מעונה, 3977967"
"שרבל יעקובוב"|"התקוה 29, עצמון שגב, 6335243"
"נועה אילוז"|"אל-פארוק סמ2 57, עמקה, 4826045"
"ירדן חורי"|"צובה 75, טל-אל, 2499949"
"נטע יאסין"|"משעול נקר 73, ברקת, 7398268"
"אדל כהן"|"נאות אשכול 39, זוהר, 8738476"
"מוחמד קורן"|"הרב ניסים 75, נחלה, 3060019"
"אייל לוי"|"גיבתון חנוך 32, בית חנן, 7325476"
"אגם ברגר"|"רח 16 04, אליקים, 4870138"
"אושרי לוי"|"תרס""ח 36, עזר, 3748490"
"יונתן סלימאן"|"שוהם 67, אטרש )שבט(, 3904686"
"רחל זינגר-איבגי"|"שמחוני אסף 35, עזר, 5572555"
"תהילה בן חמו"|"עובדי הנמל 33, גנות הדר, 7400463"
"חיה אביטל"|"אל זיתון סמ2 06, עספיא, 4293565"
"יאיר עטיה"|"השיח 92, אל סייד, 7987121"
"חוה ברוך"|"הנרד 06, רימונים, 8697096"
"מיכאל פרידמן"|"נחל סרפד 94, מסד, 1380019"
"אלישבע אריאל כהן"|"זיגורד 88, כפר הנוער הדתי, 1824949"
"ישראל כהנא"|"רח 7038 09, גן שורק, 0864931"
"עומרי כהן"|"סמ הרכבת 07, סגולה, 5471217"
"יונתן סלע"|"בית היוצר 63, מגאר, 7447928"
"מעיין שרעבי"|"רחבת פנינה 37, לקיה, 7139583"
"רום יונס"|"חזון איש 83, כסלון, 8083816"
"יהודה נעים"|"אלסריס 88, האון, 7458569"
"פאטמה פרידמן"|"אלתין 75, עין השופט, 6434988"
"אורי לוי"|"עוגן 55, שדי תרומות, 5866661"
"אחמד ממן"|"קרית עקרון 61, נורדיה, 5491925"
"עתי אוחיון"|"גרטרוד קראוס 68, כפר הנוער הדתי, 7521847"
"תולין משה"|"שכ הרכבת 37, אביבים, 7151052"
"עבד כהן"|"בשמת 91, חצור הגלילית, 7168264"
"יונתן שחר"|"ש אסבסט צפון 44, כפר סירקין, 6432740"
"ליאם אלסייד"|"משעול פארן 89, מכמורת, 2875569"
"רומי בדארנה"|"בן ישי 13, גינתון, 5020613"
"אפרת קורן"|"סמ מסילה א 24, מעונה, 0565385"
"יואב צדוק"|"רח 1043 56, שתולים, 9553109"
"אפרת רפאל"|"עובדי הנמל 52, עמוקה, 5277552"
"יהלי סגל"|"מבוא חיים מקובנה 50, חשמונאים, 6006303"
"עידו פנחס"|"הרב ניסים 38, ורד יריחו, 3170559"
"אסתר אלקרינאוי"|"ש""ץ גרשון 62, דולב, 1751948"
"יעל נגר"|"הרותם 49, חשמונאים, 5569953"
"יונתן שטרן"|"הרותם 62, פוריה - נווה עובד, 7756025"
"איילה וקנין"|"אלכרום 63, פוריידיס, 1998653"
"ארי ח'טיב"|"ש בבלי 36, גנות הדר, 9565235"
"מאורי סלמאן"|"לביא אריק 76, פוריה - נווה עובד, 0393465"
"גאיה גולדברג"|"טאבליא 90, בית חשמונאי, 9982186"
"רואי מלול"|"שני 77, בית הלוי, 1129839"
"נועם שפירא"|"רח 6020 96, גני מודיעין, 6008198"
"מאיה גבארה"|"התקוה 85, צורית, 9766667"
"יאיר אוחיון"|"כהנא 58, זוהר, 3488068"
"אברהם נועם גולדמן"|"צפרירים 70, חשמונאים, 5778654"
"יונתן שטרן"|"יששכר 49, בית חשמונאי, 7592520"
"שמואל אהרוני"|"אלוורוד 69, מעונה, 3193597"
"אביגיל סלאמה"|"מבוא חיים מקובנה 15, מעונה, 4134866"
"סילא מועלם"|"האורנים 32, עין השופט, 9459841"
"לאון חדד"|"דרך הגן 59, שומרה, 5351734"
"יהלי אהרוני"|"הורדים 03, שדות מיכה, 7020450"
"יהונתן טויטו"|"ברזיל 31, דוב""ב, 8041787"
"תבור סולומון-אשר"|"בן ישי 97, בית חנן, 3945702"
"אלדר סויסה"|"קנין הארץ 21, משמר העמק, 0155501"
"אדל מנסור"|"רח 14 78, עמקה, 8062733"
"יוסף אבו מוך"|"דיה 15, סגולה, 7694373"
"איתי מאיר"|"משעול אבוקדו 33, אור הנר, 7103854"
"רות אברהם"|"הופרט יעקב 17, דולב, 4866888"
"יצחק מאור"|"גרינבוים 18, שדי תרומות, 9071774"
"נדב רון"|"סיתוונית 19, טל-אל, 8224916"
"אייל כספי"|"המאה ואחד 91, תלמי אליהו, 3810759"
"יהב אדרי"|"אלישר 48, מגאר, 6334862"
"מלכה קפלן"|"שבזי 09, בית חשמונאי, 3758371"
"שירה לוי"|"ש רמת אביב 99, חיננית, 7023788"
"ליה כהן"|"המשור 71, גרופית, 6790129"
"יוסף אבו ראס"|"הרדוף 74, מגן, 4862222"
"בתיה הלל-גוטמן"|"אסא המלך 76, גנות הדר, 0519794"
"אריאל עאמר"|"בילינסון 36, אטרש )שבט(, 8614851"
"דניאל מיכאלי"|"המרגנית 00, הסוללים, 6306783"
"שירה רוזנטל"|"כנרת 97, גן שורק, 7142677"
"עמית חסן"|"יאפא 47, דולב, 5219424"
"פנינה אבני"|"ש הפועלים 41, צורית, 3899902"
"ליה בוחבוט"|"בועז 38, שומרה, 6902532"
"אריאל גולדנברג"|"הנוטר 05, מגן, 7828465"
"אחמד שלום"|"התקוה 87, אור הנר, 5305397"
"יוסף אביב"|"דריפוס 16, שדה אליהו, 5266834"
"נתן מסיקה"|"יהודה הלוי 15, אליקים, 3388342"
"רחל אזברגה"|"דרב אלברג' 51, רימונים, 0787756"
"נריה לוי"|"הברוש 23, גנות הדר, 8262527"
"מרים דראושה"|"חוף הים 74, אבו רובייעה )שבט(, 7231104"
"נועה חי-כהן"|"סמ בני ברית 23, כפר סירקין, 7162180"
"עלמה גוטמן"|"הרב עוזיאל 75, רימונים, 2277314"
"דוד שוויקי"|"אלעמשקה 26, שדה אליהו, 2097828"
"מעיין אנגל"|"הר עצמון 77, ריינה, 8950674"
"דוד שור"|"החמנית 56, בית חנן, 9835439"
"יוסף אדלר"|"האילנות 77, עמוקה, 1298587"
"אור יעקב-מועלם"|"המנוע 06, עצמון שגב, 2658237"
"יאיר זועבי"|"אלמנשיה-מושירפה 48, שעב, 3924518"
"דוד טולדנו"|"צפת 49, בני ציון, 1830106"
"לין פרידמן"|"החותרים 82, נחלה, 8357960"
"שלמה ג'בארין"|"טופז 94, עצמון שגב, 0497028"
"דניאל גוטליב"|"מופק דיאב 64, רמות מנשה, 9756458"
"דניאל עמרם"|"אל-מחאג'ר סמ3 00, עמקה, 5802644"
"מוחמד הרשקוביץ"|"הרקפת 77, הסוללים, 0270412"
"איילה מסרי-פוגל"|"המגינים 47, תלמי אליהו, 3642492"
"יוסף אטיאס"|"עידו הנביא 91, כפר יונה, 6013890"
"אביהו עזרא"|"רח 7035 75, בית ברל, 0183070"
"אביטל קוגן"|"סמ השחף 83, נתיב השיירה, 7878803"
"יהלי גולדנברג"|"גפן 48, דולב, 8881775"
"ליעם אלבז"|"שביל קליפות התפוזים 76, סער, 0162259"
"רומי גוטליב"|"חרת א בוס 96, גבעת כ""ח, 3068880"
"שגיא בן חיים"|"רמב""ן 30, עין צורים, 2585218"
"זוהר מנשה"|"חושן 90, כפר הנוער הדתי, 9847458"
"חנה עואודה"|"אלחרש 82, חצור הגלילית, 1678493"
"תהל דיין"|"רח 68 32, פוריה - נווה עובד, 8522841"
"יוסף אלבז"|"ירושלים 62, מגאר, 1963369"
"אורי טאהא"|"השעורה 66, גנות הדר, 4756119"
"איילה גור"|"אלסריס 08, מירון, 3179052"
"אליהו כהן"|"בילינסון 48, משמר העמק, 6898782"
"נעמה שקד"|"שביל קליפות התפוזים 15, גרופית, 4952066"
"נהוראי מחמוד"|"סמ השחף 98, בית חנניה, 9932520"
"יזן סגל"|"דריפוס 38, אבו רובייעה )שבט(, 3457639"
"גפן הלל"|"התקוה 70, נווה חריף, 3616017"
"שיראל בנימין"|"החרוב 83, עדי, 6752501"
"שי אור"|"גפן 05, נחלה, 4775549"
"יוסף אפשטיין"|"צמחי היהודים 18, גונן, 4521848"
"שהד לוי"|"פטדה 22, דולב, 4019232"
"כרם אביטל"|"סמבורסקי דניאל 85, ברקת, 6535033"
"הניה עובד-סלומון"|"אלמנשיה-מושירפה 90, משמר העמק, 9755330"
"נעמי אורן"|"ש רמת אביב 73, לוזית, 9013524"
"תהל שטיינברג"|"נוה עוז 20, אורטל, 8549193"
"אלמוג בר"|"ריחאניה 44, מלאה, 5724916"
"מאור יחזקאל"|"משה דיין 84, נורדיה, 6042282"
"רפיף דרור"|"דרב אלברג' 37, גינתון, 3656799"
"יולי ביטון"|"ככר נחשון 62, חצור-אשדוד, 8205567"
"יוסף אריה גולדברג"|"השיח 84, חצור הגלילית, 1636100"
"הללי גל"|"עולש מצוי 72, העוגן, 6318870"
"אהרון טוויל"|"משעול המחתרות 29, בית חנניה, 3836635"
"ליה שמעוני"|"כרם חמד 22, בני ציון, 5542498"
"מוחמד אלבז"|"חוחית 95, אביבים, 8230257"
"נועה יוסף"|"ירקון 44, אטרש )שבט(, 8196173"
"אגם מרציאנו"|"פנינה 25, כפר מסריק, 2367094"
"יובל עדי כהן"|"הנורית 67, בני ציון, 4615302"
"מאור ח'טיב"|"תפארת ישראל 56, מרחביה )מושב(, 5591005"
"מרים מוראד"|"חתוכה יורם 37, עמיר, 0078437"
"יוסף בוזגלו"|"הנורית 05, אביחיל, 7225558"
"הילה יונה"|"אביגיל 31, בית חנן, 7216307"
"שירה כהן"|"אלעקבה 23, גרופית, 6547605"
"מאיר אברגל"|"אל-מחאג'ר סמ3 04, נחלה, 2055584"
"אוריה תמיר"|"אל זיתון סמ2 64, זוהר, 7061835"
"דוד דוד"|"שכ חפצי בה 11, כפר מסריק, 0519141"
"איילה שיבלי"|"לסקוב חיים 92, עדי, 8393385"
"רומי מסרי"|"חזן יעקב 86, רמות מנשה, 1232278"
"תמיר נחום"|"ויקטור ויוליוס 08, צפרירים, 6349268"
"דניאלה גל"|"משעול המחתרות 55, גני מודיעין, 5285514"
"יוסף בן משה"|"מנזר המארונים 21, ורד יריחו, 1561249"
"תמר כץ"|"לח""י 64, שעב, 4180159"
"אור בן עמי"|"המייסדים 28, גבעת כ""ח, 5212050"
"דניאל דהן"|"רמת כרמים 91, אטרש )שבט(, 7075097"
"נועם שרעבי"|"מגלן 58, אליקים, 7768870"
"נויה קליין"|"המבריא 54, גבעת ח""ן, 9888793"
"יעקב פורת"|"החותרים 92, מרחביה )מושב(, 7366025"
"יונתן אבראהים"|"הורדים 45, מירון, 2269005"
"רומי שטיינברג"|"חצב 00, גבעת השלושה, 6982342"
"יעל דביר"|"לבקוביץ 92, נורדיה, 3107962"
"יוסף גבאי"|"אלזאבוד 40, צורית, 7392818"
"איילה מיכל מלמד"|"קרית עקרון 01, ברקאי, 4657231"
"חיה הורוביץ"|"אזור תעשיה א' 81, סגולה, 0128828"
"פרח גנאים"|"הפרדס 77, ברקת, 7077859"
"אביב חוג'יראת"|"זגגי 46, סער, 6541835"
"אביגיל אוחיון"|"הל""ה 23, רחוב, 1012128"
"יאיר יאסין אלקיים"|"ש ציונים כלליים 12, זוהר, 7601598"
"אחמד חביבאללה"|"אלסריס 66, תלמי אליהו, 8799312"
"אביב פרקש"|"אל-מקפה סמ9 68, צורית, 8790583"
"מאי שקד"|"לבקוביץ 44, אבו רובייעה )שבט(, 8347504"
"יוסף גולדברג"|"האורנים 83, הר אדר, 5218637"
"אופק עובד"|"ש ציונים כלליים 40, ורד יריחו, 2097210"
"חנה בצלאל"|"ברגמן אליעזר 70, גרופית, 6265722"
"עומרי שדה"|"סמ הרכבת 29, כפר הנוער הדתי, 2160458"
"ליה חאג'"|"אביב 06, כפר מסריק, 6273005"
"יסכה נאסר"|"הגפן 63, כסלון, 3495314"
"לאה כהן"|"שכ קחאוש 93, עין צורים, 7028695"
"משה קאופמן"|"מעבר לים 49, דולב, 8633361"
"אביגיל חי"|"משעול פארן 34, מסד, 4129524"
"רפיף כהן"|"רח 12 57, גני מודיעין, 4434795"
"יוסף דדון"|"נתן 91, הר אדר, 7430218"
"הדס יצחקי"|"אלתרמן 58, סגולה, 0196410"
"הודיה ארז"|"צור 71, נתיב השיירה, 2144707"
"מנחם ברוך"|"חוף הים 99, גונן, 9814257"
"הילל עזרא"|"ביכורים 76, בית חנן, 4308416"
"סופיה פישמן"|"אלעקבה 58, צורית, 6330193"
"אורי חביבאללה"|"אל-מחאג'ר סמ4 64, שדה אליהו, 9210862"
"אבראהים מחאג'נה"|"מעונות ים 48, ברקאי, 0757839"
"קוסאי כץ"|"כזיב 01, מעונה, 3742001"
"אמיר פדידה"|"מרווה 83, פוריה - נווה עובד, 9619796"
"יוסף דוידוב"|"קנין הארץ 51, עלי זהב, 7352852"
"זינב מושקוביץ"|"הר עצמון 27, חצור הגלילית, 9539424"
"אייל גל"|"מבוא הדס 39, דוב""ב, 9757579"
"שי-לי ישראלי"|"היוזם 34, אביבים, 3920386"
"טליה שילת זינגר"|"זיגורד 45, עין השופט, 6487659"
"צור עבוד"|"אדמון 93, אודם, 5681999"
"נועם ביטון"|"רח מו כ שלם 77, דוב""ב, 1782308"
"בנימין דהן"|"משעול פארן 79, רימונים, 3525780"
"נתן כהן"|"החבל 14, עמיר, 5211723"
"ירדן הורוביץ"|"בועז 86, ורד יריחו, 4979327"
"יוסף יונתן כספי"|"נחל פארן 05, גיתית, 9497806"
"נתן אטיאס"|"הגבורה 99, כפר אחים, 4943829"
"עומר דיין"|"אברבנאל 36, אליקים, 1766913"
"איה קדוש"|"חרת א בוס 78, רחוב, 6633273"
"ליאה וייס"|"כאבול 07, זוהר, 5919132"
"עופרי ביטון"|"דריפוס 33, צורית, 2366274"
"אביב עודה"|"המברק 21, נירן, 8690842"
"ישראל ויסמן"|"אהרון מאיר מזיא 10, שתולים, 7926525"
"ליאל ביטון"|"מבצע חירם 22, גנות הדר, 0770329"
"שרה עווד"|"פרופס 86, עין צורים, 5071868"
"יוסף יעקב"|"המלאכה 60, יד רמב""ם, 2724549"
"מוחמד יאסין"|"זיגורד 64, תלמי אליהו, 5757801"
"אביגיל אליהו"|"י""א באדר 04, גן שורק, 4097873"
"מיקה ותד"|"רח מו כ שלם 06, באר מילכה, 1488256"
"אבישג ברקוביץ"|"ג'ו עמר 94, רגבה, 5158964"
"עלמה שירי שרעבי"|"רח 16 59, כפר מסריק, 2327329"
"יהב טל עיסא"|"משעול מוריה 30, ריינה, 0943225"
"אחמד בניה אביטן"|"המלכים 49, נורדיה, 7184293"
"איילה ראובן"|"סמ עין גנים 47, כפר אחים, 7280371"
"שילה אבוטבול"|"נתיב הפורצים 41, גינתון, 9855333"
"יוסף כהן"|"נאות הדקל 75, מכמורת, 7465809"
"אוריה אסיל ברגר"|"השדות 78, כסלון, 3655895"
"הלל כהן"|"האלונים 16, לקיה, 6337769"
"תמר פרידמן"|"זגגי 94, עין אל-אסד, 5871377"
"אמיר קפלן"|"האודם 14, רחוב, 0438376"
"ג'נא ממן"|"אימבר 13, יד רמב""ם, 4415581"
"תום דהן"|"יהודה הלוי 37, כפר אחים, 2350078"
"עדן אזולאי"|"חיטה 22, חצור-אשדוד, 5186323"
"אור שבתאי"|"המרגנית 12, בית הלוי, 4995177"
"ישי זהבי"|"אלישר 51, חיננית, 2140745"
"יוסף כהן"|"סביונים מכבים רעות 21, עזר, 9315554"
"שרה כהן"|"הרותם 05, חשמונאים, 3389899"
"איימי ברנשטיין"|"יואב 59, נירן, 2395280"
"הודיה אטרש"|"גבע 27, רגבה, 7871121"
"עידו גוטמן"|"העבודה 22, מסד, 6249785"
"שקד אטיאס"|"סמ עין גנים 91, נווה חריף, 9102656"
"למאר משולם"|"עירית 71, צורית, 5235598"
"גאיה כהן"|"כזיב 57, שתולים, 8765373"
"מיכל זמיר"|"אל-פארוק סמ2 00, נטע, 9386458"
"נתנאל מסרי"|"נחלת צדוק 43, נורדיה, 9860142"
"יוסף כהן"|"רחבת פנינה 99, מעונה, 3640758"
"שירה כהן"|"ש אסבסטונים 57, שדי תרומות, 5176899"
"רוני פרץ"|"צפת 74, בית חנניה, 0137672"
"רבקה חיימוב"|"הממונה 73, גבעת כ""ח, 8090416"
"אחמד יפרח"|"שביל קליפות התפוזים 21, רמות מנשה, 5661359"
"נועם יוסף"|"מעלה כגן הלנה 47, רמות מנשה, 7237525"
"צבי בוסקילה"|"יד העפלה ממרוקו 55, מזכרת בתיה, 5007477"
"בר עזאם"|"אלמזדלפה 85, עמקה, 8074733"
"אלירן גאבר"|"גבע 30, זוהר, 8434849"
"דוד מרדכי"|"העבודה 19, חשמונאים, 2333508"
"יוסף כהן"|"שמעון המכבי 98, מגן, 4225380"
"חלא לביא"|"הורקנוס יוחנן 06, אביחיל, 1699244"
"אוהד וינברג"|"אירוס 21, סגולה, 8598888"
"רבקה אבו ראס"|"ברוריה 62, בית ברל, 7675691"
"פלג כץ"|"יאפא 23, נווה חריף, 5078440"
"יונתן חלבי"|"עובדי הנמל 44, נתיב השיירה, 5632783"
"פלג פרץ"|"ברזיל 76, גיתית, 6460888"
"ריתאג' אלון-סעדי"|"אתגר 93, מגן, 6940343"
"אביגיל ביטון-גולדשטיין"|"השעורה 66, ברקאי, 5062912"
"אגם צמח"|"גבע 41, נירן, 3933110"
"יוסף מכלוף"|"האילן 98, גבעת השלושה, 7706544"
"רוני מאיר"|"תאנה 80, אביחיל, 3950139"
"תהל חזן"|"צדוק הכהן 00, בית הלוי, 7061076"
"יאיר מור"|"החבל 63, באר מילכה, 0683191"
"צביה ג'בארין-לוי"|"התקוה 90, מירון, 6091412"
"ביסאן לוי"|"רח 6020 64, עין אל-אסד, 5701742"
"ליאן מושקוביץ"|"אביגיל 98, כפר אחים, 5113752"
"יונתן עבדאללה"|"רבקה אמנו 57, אודם, 8247993"
"עידו בן סימון"|"מירון 37, שיטים, 5885713"
"מאיה קליין"|"החשמל 42, דוב""ב, 2396640"
"יוסף עבדאללה"|"המבריא 59, כפר אחים, 2977650"
"יהונתן משה"|"לח""י 77, נחלה, 5267954"
"מעיין הורביץ"|"הורקנוס יוחנן 61, הסוללים, 8181131"
"מתן בקר"|"בן לברט 54, ורד יריחו, 2665389"
"יהונתן קוגן"|"ש הפועלים 35, שדות מיכה, 7872031"
"כרמל ביטון"|"חתוכה יורם 43, הר אדר, 2190102"
"אוריה אהרן"|"אל-חראיק סמ3 07, גונן, 5442844"
"מוחמד פרץ"|"סמ עין גנים 87, רימונים, 7234345"
"אריאל מזרחי"|"היוזם 66, חשמונאים, 7627403"
"תמר ישראלי"|"רח 14 82, תלמי אליהו, 2157674"
"יוסף עמאש"|"רח 7035 39, אורטל, 7014950"
"נהוראי ברנשטיין"|"סמ הרכבת 93, דולב, 3734059"
"צופיה שוויקי"|"צופית 82, חיננית, 2370335"
"מיכל סלמאן"|"הר צרור 19, רימונים, 2530422"
"אורי שרעבי"|"צוקית 71, חצור הגלילית, 1154968"
"שילה חלבי"|"השיח 81, עמוקה, 8329611"
"שי-לי מנצור"|"חוחית 87, האון, 1123733"
"חנה פינטו"|"אלוורוד 32, דולב, 2266213"
"גיטל לוי"|"החותרים 70, עין השופט, 7896189"
"הודיה עליאן"|"אתגר 35, שעב, 6809240"
"יוסף צברי"|"רח 101 25, גינתון, 4449662"
"גיא נסאר"|"הולצברג שמחה 96, לקיה, 9640715"
"ג'וד רז"|"המסגר 76, מגן, 4259997"
"טליה משה"|"האלונים 29, פוריידיס, 2501681"
"עתי נתשה"|"ברקת 71, העוגן, 3229942"
"תאלא אדרי"|"השיזף 30, אביבים, 6609818"
"יעל ביטון"|"אלכרום 64, חשמונאים, 0148164"
"חלא עזרא"|"החבל 23, גן שורק, 3572696"
"חיה בן עמי"|"הנוטר 14, משמר העמק, 6510084"
"ליבי אמיר"|"הצבעוני 97, עין השופט, 6441490"
"יוסף קדוש"|"בן צבי יצחק 88, בני ציון, 8227576"
"דן אוחיון"|"שז""ר זלמן 72, זוהר, 2031448"
"רבקה ספיר"|"דולצ'ין אריה 44, ברקאי, 6177844"
"אלישבע פריד"|"המאה ואחד 85, מירון, 3109291"
"מאיה חלבי"|"נתן 65, אודם, 4625438"
"יאיר אשכנזי"|"חוף הים 81, צורית, 5045980"
"מעיין חלפון"|"אביב 76, אור הנר, 5770323"
"אלמה אוזן"|"המשור 58, תלמי אליהו, 4150475"
"יונתן נתן"|"הרב בידאני עובדיה 10, נחלה, 7350983"
"נעמה בן דוד"|"לח""י 85, כפר אחים, 8940659"
"יוסף רז"|"הרדוף 00, בית חשמונאי, 0707303"
"ארבל לוי"|"מירון 73, דולב, 1997841"
"מיכל אשכנזי"|"אתר חפץ חיים 52, בית הלוי, 1814810"
"רפאל גאנם"|"התאנה 94, אודם, 5479153"
"רומי בסול"|"הר צרור 70, בית ברל, 1253307"
"אסתר שחאדה"|"המלכים 22, עין אל-אסד, 9256223"
"חנה כהן"|"אח""י אילת 59, גינתון, 5821691"
"מיכאל ביטון"|"העבודה 49, חצור הגלילית, 0473882"
"מלאק הלל"|"יזרעאל 31, הסוללים, 3666851"
"אחמד מאיר"|"שכ זאב 92, בית חשמונאי, 8397613"
"יוסף שוקרון"|"ההגנה 71, נטע, 7137190"
"יואב שמואלי"|"גפן 81, מגאר, 0636881"
"מאיה דרורי"|"רח 1043 46, עין צורים, 1952131"
"שחר כהן"|"מזרחי יוסף 95, גבעת ח""ן, 7519062"
"בן אהרוני"|"מבצע חירם 87, פוריידיס, 8579336"
"מרים אגבאריה"|"אל חגאג בן יוסף 29, כפר סירקין, 3959724"
"ליאורה צברי"|"לח""י 86, עין השופט, 4593724"
"יונתן וקנין"|"משעול פארן 50, עמוקה, 3912493"
"אביהו סבג"|"עפולה 23, אטרש )שבט(, 0392952"
"ניקול מועלם"|"אלסריס 97, מלאה, 5671758"
"יוסף שטיין"|"שביל הרקפות 26, ברקאי, 2861893"
"רחל מויאל-יחזקאל"|"צפרירים 46, מעונה, 8936957"
"מרים אבו ריא"|"הר עצמון 81, חשמונאים, 1761466"
"איתן דויטש"|"תרס""ח 67, חיננית, 2247626"
"מוחמד עמרם"|"ענזה 22, חצור הגלילית, 3878045"
"יהונתן מוחמד לוי"|"בורסת היהלומים 37, בני ציון, 7150098"
"אחמד רחמים"|"אתר חפץ חיים 92, עמוקה, 3570714"
"דניאל איתמר יעקב"|"סמ עין גנים 43, מירון, 1838206"
"יוסף אברגל"|"הדרך האמריקאית סמ12 54, עזר, 3875530"
"רימא גאבר"|"סמ בני ברית 42, אל סייד, 9024596"
"יותם עמר"|"השדות 99, שומרה, 1961489"
"שירה כהן"|"נחל ערוגות מ""ר 00, מרחביה )מושב(, 8700207"
"איתמר רוזן"|"שיזף 66, כפר סירקין, 9227469"
"אריאל פרנקל"|"החרוב 83, גינתון, 4278333"
"מאיר מילר"|"לסקוב חיים 32, נווה חריף, 7220321"
"ריאן חורי"|"הופרט יעקב 21, עמוקה, 1520254"
"אדם כהן"|"דריפוס 51, עספיא, 0228890"
"משה מחאמיד"|"הרימון 31, סער, 6159860"
"גבריאל מסרי"|"מזל שור 72, עלי זהב, 2906815"
"עמית פלג"|"אלתין 81, נטע, 4547919"
"יזן טולדנו"|"בן יהודה 78, גבעת ח""ן, 3342009"
"חנה עוזרי"|"הפעמון 33, שדה אליהו, 5042214"
"יצחק אברהם"|"אלעמשקה 20, לקיה, 3289454"
"יגל אסולין"|"נצרת עילית 64, מגאר, 1692529"
"תאלא גיל"|"טופז 36, מגאר, 7618939"
"מירא בן חיים"|"שוהם 71, סגולה, 6978548"
"דניאל חסן"|"רח ה 25, גנות הדר, 7226888"
"ג'נא וינברג"|"הזיתים 81, ברקת, 8392985"
"טליה בדר"|"אל זיתון סמ2 93, מסד, 0333180"
"אסתר בוחבוט"|"אלסלילמה 76, צפרירים, 9125163"
"יזן מזרחי"|"המעיין 40, עזר, 9488646"
"רום כץ"|"החשמל 83, גבעת השלושה, 3395360"
"מלכה סגל"|"שכ היובל 22, מרחביה )מושב(, 7154227"
"לנא סויסה"|"רח 101 95, תלמי אליהו, 0207572"
"מוחמד מרקוביץ"|"עובדי הנמל 13, שדי תרומות, 7138413"
"עמית אילוז"|"גרטרוד קראוס 68, מגאר, 1776472"
"זוהר גרינברג"|"תאנה 11, רגבה, 0471307"
"ראובן חיון-אטיאס"|"יואב 29, בית הלוי, 8465379"
"אליה ליבוביץ"|"ההגנה 04, עמוקה, 1359113"
"סופיה זועבי"|"אלזיתונה סמ7 63, מעונה, 7580874"
"יזן סרחאן"|"אל-זהרא' 93, אליקים, 2934440"
"תהל רוזנברג"|"האילן 48, אל סייד, 9680779"
"יסמין מלול"|"רח 7035 49, מלאה, 1775051"
"מרים גולדנברג"|"האילן 14, כסלון, 5722273"
"איתן כספי"|"אל זיתון סמ2 17, גנות הדר, 0795568"
"אווה אגבאריה"|"שד יוספטל גיורא 07, יד רמב""ם, 4885257"
"אביאל יאסין בשארה"|"חתוכה יורם 77, זוהר, 7538557"
"אורין בן הרוש"|"מרכז 37, בית חנן, 7410905"
"סתיו מאיר"|"רח 7038 78, שפר, 1859860"
"אדל דבש"|"השעורה 66, גבעת כ""ח, 0651581"
"יחזקאל יעקובי"|"אשדוד 18, עמוקה, 6192880"
"ירדן רוט"|"צור 59, אל סייד, 7429123"
"מעיין אזולאי"|"ש רמת אביב 27, גבעת ח""ן, 7903903"
"יואב קדוש"|"ע הלל 03, גינתון, 6498985"
"אורי נגר"|"שכ קחאוש 76, שומרה, 0084117"
"אסיל הרשקוביץ"|"הקישון 79, כפר יונה, 9228879"
"עטרת וייס"|"המגינים 28, גבעת כ""ח, 2874100"
"ליאל נסאר"|"גבע 87, נירן, 3604643"
"צבי ליבוביץ"|"שכ מחניים 58, צורית, 9989994"
"עברי מדר"|"נצרת עילית 77, אביחיל, 5219984"
"יחיא סלומון"|"תל חי 95, עמוקה, 7450111"
