"Aada Viitala"|"Fallpakankatu 8
84238 Lohja" 
"Irja Korhonen"|"Tuulilasinkuja 334
40459 Polvijärvi"
"Jere Laaksonen"|"Järkälebulevardi 62
53369 Nokia"
"Esko Vuorinen"|"Uudenkaupunginkuja 69
23058 Honkajoki"
"Marko Saarela"|"Haahkakatu 3
80986 Lappeenranta"
"Helena Rautio-Suominen"|"Gyldénintie 820
61902 Kaavi"
"Leena Mattila"|"Wavulininkuja 535
31019 Loppi"
"Eija Pietilä-Nieminen"|"Laakavuorenpolku 9
25752 Salla"
"Liisa Hämäläinen-Parviainen"|"Rukoushuoneenkatu 849
53121 Merikarvia"
"Armas Juvonen"|"Vanha Rajatie 315
82494 Laitila"
"Ilmari Hyvärinen-Hirvonen"|"Wecksellintie 73
47037 Föglö"
"Susanna Harju"|"Eerik Pyhän katu 87
94159 Pieksämäki"
"Nina Jokela-Parviainen"|"Katajaharjuntie 5
97135 Savonlinna"
"Kullervo Suominen"|"Hankasuonbulevardi 078
93129 Kurikka"
"Ahti Haapala"|"Wäinö Aaltosen polku 0
15670 Kauniainen"
"Tapio Seppälä"|"Poikasaartenkatu 642
80711 Suonenjoki"
"Tanja Rajala"|"Vesakkotie 2
81620 Teuva"
"Juhani Viitanen"|"Osuuskunnanbulevardi 019
71808 Kempele"
"Liisa Järvinen"|"Fahlanderin puistotie 542
71754 Lieksa"
"Johanna Koponen"|"Oravatie 53
66732 Vesilahti"
"Ritva Hietala-Laitinen"|"Vaarnakuja 250
22806 Kajaani"
"Petteri Kärki"|"Salamapolku 8
15565 Suomussalmi"
"Emmi Karlsson"|"Lemunbulevardi 2
45792 Taipalsaari"
"Aune Luoma-Väisänen"|"Jägerhorninbulevardi 31
20593 Tervola"
"Antero Haavisto"|"Wecksellinpolku 89
51298 Kruunupyy"
"Eemil Kinnunen"|"Hankasuontie 11
10075 Rovaniemi"
"Annikki Keränen-Pekkarinen"|"Uunisepänbulevardi 6
31576 Rautalampi"
"Tuulikki Grönroos"|"Winqvistinkatu 600
62935 Merikarvia"
"Liisa Koivisto"|"Rukopolku 03
22994 Taivalkoski"
"Marjo Hämäläinen"|"Castréninpolku 405
06999 Kouvola"
"Tapio Harju"|"Orisaarenbulevardi 4
41295 Kangasniemi"
"Simo Karppinen"|"Yhteiskouluntie 812
37873 Föglö"
"Aulikki Repo"|"Bergantie 226
03180 Halsua"
"Kyllikki Huhtala"|"Freesentie 72
66003 Paimio"
"Elias Rautiainen-Holopainen"|"Elonpolku 77
41441 Kittilä"
"Mikko Aalto"|"Elonkatu 75
40933 Nousiainen"
"Petteri Mäkelä-Seppälä"|"Oravabulevardi 655
14603 Kokkola"
"Verneri Nieminen"|"Rapakiventie 428
51741 Iisalmi"
"Liisa Konttinen"|"Saramäenkuja 2
08983 Lapua"
"Tomi Kovanen"|"Kimmonbulevardi 707
04689 Sund"
"Maria Korhonen"|"Fastbölenkuja 234
38270 Loppi"
"Rauno Hirvonen"|"Chydeniuksenbulevardi 89
26361 Säkylä"
"Anna Heiskanen-Turpeinen"|"Porekatu 59
39585 Kalajoki"
"Tapani Aaltonen"|"Waseniuksen puistokatu 39
25706 Kerava"
"Sakari Koivisto"|"Birger Kaipiaisen katu 884
27144 Kuopio"
"Irmeli Heikkinen"|"Elisabeth Kochin kuja 4
23947 Rauma"
"Taina Kettunen"|"Uunilinnuntie 40
77401 Vieremä"
"Helena Kaikkonen"|"Santerlankatu 035
50746 Rovaniemi"
"Liisa Laaksonen"|"Vellikellonbulevardi 4
62030 Ypäjä"
"Kaarina Nieminen-Kuusela"|"Granfeltinbulevardi 8
77649 Pöytyä"
"Juha Laakso"|"Eduskuntakatu 41
22784 Orivesi"
"Tuomas Leppänen"|"Granfeltinpolku 8
82487 Kemi"
"Kyllikki Sutinen"|"Sapilaskuja 44
15557 Polvijärvi"
"Valtteri Salonen-Rinne"|"Benktanbulevardi 9
61370 Kannus"
"Erkki Hakkarainen"|"Urkurinkuja 206
55759 Ylivieska"
"Kullervo Peltonen"|"Katajaharjunbulevardi 690
87855 Juuka"
"Johanna Ihalainen"|"Nils Westermarckin kuja 4
35331 Saltvik"
"Jani Puranen"|"Salakkakuja 4
19923 Kurikka"
"Liisa Laurila"|"Yhteiskoulunpolku 03
55285 Kinnula"
"Ari Kulmala"|"Wallininbulevardi 43
05352 Pello"
"Antero Kokko"|"Tuulilasinpolku 6
42777 Pieksämäki"
"Heikki Hokkanen"|"Jätkäsaarenbulevardi 29
38641 Savukoski"
"Ilmari Kujala"|"Yhteiskoulunbulevardi 209
75640 Koski Tl"
"Olavi Mikkonen"|"Gneissipolku 4
96321 Orivesi"
"Ritva Pennanen-Helin"|"Ylänköpolku 8
67558 Kuhmoinen"
"Kai Järvi"|"Louhentie 885
17682 Haapavesi"
"Johannes Jäntti-Leinonen"|"Runonlaulajantie 785
14767 Rautjärvi"
"Juhani Salmela"|"Degermosanbulevardi 080
67109 Laitila"
"Liisa Lehtola"|"Kuhankeittäjäntie 7
33444 Toholampi"
"Marjatta Paavilainen"|"Otermanpolku 5
32100 Uusikaarlepyy"
"Juuso Kinnunen"|"Gunnel Nymanin katu 24
07453 Pyhäntä"
"Toni Mäkinen"|"Lemuntie 276
33203 Leppävirta"
"Eemeli Syrjälä"|"Kolsinbulevardi 1
24502 Närpiö"
"Pia Toivanen"|"Lepolankatu 458
89573 Haapajärvi"
"Jari Lehtola"|"Adolf Lindforsin tie 146
50314 Mynämäki"
"Jouni Ahola-Simola"|"Betleheminkuja 19
82096 Juupajoki"
"Juhani Karjalainen"|"Haapabulevardi 20
63048 Riihimäki"
"Petri Martikainen"|"Eerik Pyhän bulevardi 810
33613 Vehmaa"
"Liisa Leinonen"|"Puuskakatu 239
96888 Lemi"
"Sami Koskinen"|"Nordenskiöldinbulevardi 84
91717 Koski Tl"
"Terttu Kallio-Koistinen"|"Runoilijanpolku 83
17044 Teuva"
"Paula Andersson"|"Vaakalinnunkatu 9
98291 Tammela"
"Johannes Mikkola"|"Yhteiskoulunbulevardi 5
14047 Helsinki"
"Matias Hiltunen"|"Puusepänpolku 0
68727 Lahti"
"Aino Hakala"|"Porekuja 49
97773 Siikainen"
"Marika Turunen"|"Haahkakatu 6
44426 Parikkala"
"Juhani Takala-Ikonen"|"Eljaksenpolku 2
63917 Paltamo"
"Tauno Luukkonen"|"Katajaharjunpolku 57
81571 Ilomantsi"
"Liisa Luoma-Nuutinen"|"Lentokapteenin polku 88
44119 Puumala"
"Kirsti Honkanen"|"Döbelninbulevardi 658
74766 Pello"
"Eino Lindström"|"Otermanpolku 62
64596 Brändö"
"Marja-Leena Malinen"|"Bengalintie 348
11176 Ranua"
"Anna Suominen"|"Granfeltinkatu 77
89697 Utajärvi"
"Pauli Ranta"|"Runonlaulajankuja 99
35491 Kangasniemi"
"Päivikki Heikkilä"|"Fastbölenkatu 93
08727 Lappajärvi"
"Toni Vesterinen"|"Ilotulituskatu 04
41525 Keminmaa"
"Anita Andersson"|"Haravapolku 15
03234 Ylivieska"
"Margit Pulkkinen"|"Neulapadonkuja 375
30207 Siikainen"
"Liisa Mäkelä"|"Nordenskiöldinkatu 532
65535 Uusikaupunki"
"Arto Tuomi"|"Veräjämäenbulevardi 01
46652 Lumijoki"
"Alexandra Mattila-Hämäläinen"|"Capellan puistopolku 60
02783 Padasjoki"
"Orvokki Miettinen"|"Werner Wirénin polku 730
26881 Karijoki"
"Petteri Karvonen"|"Gunnel Nymanin katu 37
63923 Kihniö"
"Tuomas Lehtonen"|"Sapilaskuja 50
14876 Mustasaari"
"Anita Oksanen"|"Kiitäjänbulevardi 8
26793 Kauhajoki"
"Ensio Lankinen"|"Neontie 09
89054 Kauhava"
"Helena Karvonen"|"Dosentinkuja 330
94830 Pyhäjoki"
"Tuulikki Oinonen-Pulkkinen"|"Neonbulevardi 9
91217 Suomussalmi"
"Liisa Mäkinen"|"Willebrandinbulevardi 16
06505 Raisio"
"Pekka Ahola"|"Fallkullanbulevardi 6
81211 Kuopio"
"Oliver Jaakkola"|"Otermankuja 52
76489 Pedersören kunta"
"Jarkko Salminen-Salo"|"Ehrensvärdinpolku 2
71296 Valkeakoski"
"Viivi Saarela-Hakkarainen"|"Niitynperänpolku 25
65078 Seinäjoki"
"Väinö Tikka"|"Haravatie 029
29605 Loimaa"
"Susanna Saastamoinen"|"Gunnel Nymanin kuja 774
57308 Paimio"
"Marianne Virta"|"Poikasaartenkatu 48
42983 Alavus"
"Mirjam Ruuskanen"|"Iltaruskonbulevardi 3
94567 Pukkila"
"Arto Martikainen-Hyvönen"|"Mamsellimyllyntie 77
14345 Oripää"
"Liisa Peltola"|"Haakoninlahdenkuja 29
77133 Ruovesi"
"Aila Kettunen"|"Porinpolku 281
45886 Ulvila"
"Anja Toivanen"|"Wecksellintie 28
08822 Ylitornio"
"Kirsi Alanko"|"Malminkartanonpolku 30
46555 Muonio"
"Jaakko Jalonen"|"Malminkartanonpolku 2
42925 Lappajärvi"
"Heikki Venäläinen"|"Vesakkopolku 06
42587 Outokumpu"
"Maarit Nieminen-Holmström"|"Tahtitie 275
69901 Jomala"
"Tarja Aho"|"Yläkaskenpolku 052
67912 Kuopio"
"Johan Viljanen"|"Nervanderintie 416
27314 Kivijärvi"
"Taneli Laakso"|"Böstaksenkuja 5
84898 Kaavi"
"Liisa Saarinen"|"Dunckerinpolku 1
13298 Toivakka"
"Uolevi Seppälä"|"Puuskapolku 42
11339 Hammarland"
"Hannele Mäenpää"|"Nikonkatu 830
19397 Hammarland"
"Ville Pitkänen"|"Sahaajankuja 272
61262 Kempele"
"Petteri Nurmi"|"Agroksentie 103
13073 Kristiinankaupunki"
"Katariina Leinonen"|"Rapakiventie 584
23709 Enontekiö"
"Petteri Hakala"|"Gustav Pauligin katu 7
86958 Orimattila"
"Annikki Manninen-Salmi"|"Mamsellimyllynpolku 4
32690 Ulvila"
"Kristiina Keinänen"|"Maasälvänbulevardi 1
91744 Loimaa"
"Jani Komulainen-Kuusela"|"Sahaajankatu 429
89980 Parikkala"
"Liisa Salmi"|"Ilotulitustie 15
12325 Sund"
"Anna Laitinen-Kallio"|"Usvatie 39
06966 Lapua"
"Minna Kuronen"|"Biologinbulevardi 551
01981 Forssa"
"Samuel Kosonen"|"Gunillantie 4
20891 Luhanka"
"Petteri Myllymäki"|"Gunnel Nymanin polku 6
18998 Pukkila"
"Raimo Kuusisto"|"Louhikkopolku 30
18091 Viitasaari"
"Leila Luoma-Karjalainen"|"Gunillantie 998
07838 Valtimo"
"Tuula Nurminen"|"Urkurinbulevardi 573
79037 Finström"
"Eelis Laakkonen-Koistinen"|"Runonlaulajankuja 498
22686 Kannus"
"Jukka Heino"|"Rantavarastonbulevardi 169
31875 Parkano"
"Liisa Suomalainen"|"Adolf Lindforsin tie 19
53933 Keminmaa"
"Anneli Niemi-Miettinen"|"Fallkullankuja 575
92229 Taivassalo"
"Mauri Haapala"|"Birger Kaipiaisen tie 12
75938 Kökar"
"Pirkko Aho"|"Elonkuja 5
69381 Maarianhamina"
"Maria Haataja"|"Pohjolankatu 484
84737 Mynämäki"
"Henry Juntunen"|"Saparonbulevardi 335
17546 Inari"
"Sami Lahtinen"|"Bengalintie 2
15572 Jomala"
"Sinikka Räisänen"|"Mamsellimyllynpolku 0
18377 Sievi"
"Kullervo Immonen"|"Pyörökivenkuja 430
24336 Teuva"
"Aino Räty"|"Porintie 112
42475 Mustasaari"
"Liisa Suominen"|"Purjetuulentie 07
57856 Vesilahti"
"Juhani Leskinen"|"Maapadonkuja 45
37689 Hyvinkää"
"Tellervo Lehtinen"|"Ilvestie 417
45119 Kauniainen"
"Iida Turunen"|"Vanha Rajatie 46
94613 Taipalsaari"
"Niina Kukkonen"|"Granfeltinkuja 8
39998 Hausjärvi"
"Aulis Auvinen"|"Uussillanpolku 1
26295 Vimpeli"
"Arto Seppä"|"Uunisepänkuja 800
67011 Kotka"
"Peter Pennanen-Nikula"|"Orapihlajakatu 114
39697 Lieto"
"Karoliina Laiho"|"Katajaharjuntie 27
04659 Parainen"
"Ritva Rytkönen"|"Sahaajankuja 29
55291 Tuusula"
"Liisa Turpeinen"|"Wallininbulevardi 8
79267 Hämeenkyrö"
"Sebastian Huotari"|"Oravakuja 78
88404 Siikajoki"
"Johanna Kosonen"|"Berganpolku 64
08725 Ulvila"
"Johannes Vuori"|"Niemikuja 7
52678 Keuruu"
"Kirsi Laakso"|"Yrjönkuja 2
94335 Salo"
"Juho Saastamoinen"|"Nervanderinkuja 47
63283 Oulainen"
"Hannele Marttila"|"Ilveskuja 512
38671 Laihia"
"Hannu Nieminen"|"Jänkäkuja 250
53466 Kökar"
"Tapani Ojanen-Repo"|"Poikasaartenkuja 80
00710 Jämijärvi"
"Antti Hyvönen"|"Urkurinkuja 8
58645 Haapavesi"
"Liisa Uotila-Ikonen"|"Gustav Pauligin katu 686
06223 Petäjävesi"
"Juhani Jäntti"|"Verkkokuja 31
24326 Suomussalmi"
"Eemeli Kulmala"|"Eljaksenkatu 1
15560 Kauhava"
"Hannele Lehtinen"|"Bengalinkuja 725
11648 Tampere"
"Kalevi Rautio"|"Sahaajantie 00
84774 Juupajoki"
"Helmi Mattila-Salonen"|"Jättiläisentie 251
22600 Lieto"
"Helena Räisänen"|"Rantavarastonpolku 694
61622 Inari"
"Henri Halonen-Kemppainen"|"Orapihlajakatu 4
39123 Luoto"
"Joni Ranta-Kämäräinen"|"Jämsäntie 987
45961 Vaasa"
"Tanja Virtanen-Vuorinen"|"Vellikellonkuja 02
80068 Haapavesi"
"Liisa Vainio"|"Kolutie 1
38853 Forssa"
"Tauno Pulkkinen"|"Immolankuja 8
17476 Veteli"
"Mari Välimäki"|"Orasbulevardi 4
70937 Siikalatva"
"Kimmo Haverinen"|"Maatullinpolku 1
90223 Tyrnävä"
"Katja Mattila"|"Yrjö-Koskisen tie 346
31170 Outokumpu"
"Jorma Muhonen"|"Salamapolku 78
71993 Juva"
"Lauri Lehtinen"|"Disantie 586
72330 Luoto"
"Sinikka Ahokas"|"Maasälväntie 750
03668 Eurajoki"
"Liisa Kokko"|"Kukkaniitynbulevardi 5
11339 Keitele"
"Timo Kivelä"|"Kolsintie 68
32223 Rautjärvi"
"Lilja Väänänen"|"Sadetie 33
31149 Siuntio"
"Markus Soini"|"Nikontie 093
35974 Savitaipale"
"Johannes Heikkilä-Tamminen"|"Ahvenkoskenkatu 7
50731 Miehikkälä"
"Ilmari Niemelä"|"Salakkabulevardi 3
79062 Kokkola"
"Pertti Salonen"|"Maabulevardi 330
55981 Suonenjoki"
"Tapio Kivimäki"|"Kolukatu 45
30224 Enontekiö"
"Vilho Kortelainen"|"Gunnel Nymanin tie 658
86811 Kauhajoki"
"Pekka Laine"|"Rukoushuoneenbulevardi 37
01916 Hämeenkyrö"
"Karoliina Moilanen-Palomäki"|"Willebrandinbulevardi 5
32959 Lieksa"
"Venla Karlsson"|"Urpupolku 3
68520 Multia"
"Linda Lampinen-Partanen"|"Vaakalinnunkuja 311
90875 Pyhtää"
"Joona Hämäläinen"|"Nervanderinkuja 5
31776 Helsinki"
"Johannes Markkanen"|"Vaarnabulevardi 400
85487 Parikkala"
"Mirjami Huttunen"|"Kimalaiskuja 1
86558 Luhanka"
"Otto Hirvonen"|"Taavetti Laitisen bulevardi 3
99137 Kemiönsaari"
"Kaisa Mikkola"|"Bergankuja 2
40977 Ähtäri"
"Ilmari Ahola"|"Agnetankuja 5
89465 Orivesi"
"Heikki Silvennoinen"|"Rukoushuoneenpolku 292
63553 Kalajoki"
"Maria Taipale"|"Agronominkuja 684
35601 Vimpeli"
"Aurora Väyrynen"|"Ilvesbulevardi 657
42974 Pyhäjoki"
"Linda Latvala"|"Uurtajankuja 2
91832 Kolari"
"Tarja Koskinen-Rytkönen"|"Lepolankuja 66
89907 Outokumpu"
"Aino Asikainen"|"Urheilukatu 0
41419 Ylitornio"
"Aleksanteri Holopainen"|"Kolukuja 627
61920 Kokkola"
"Aino Berg"|"Jälsikatu 3
34611 Salla"
"Pauliina Marttila"|"Ida Ekmanin kuja 2
70999 Paimio"
"Jarkko Taskinen"|"Wäinö Aaltosen tie 3
27041 Kontiolahti"
"Viivi Järvenpää-Hyvärinen"|"Wecksellinbulevardi 152
64958 Karvia"
"Riku Rönkkö"|"Laakavuorenkuja 2
67674 Jyväskylä"
"Vilhelm Koski"|"Immolantie 48
59462 Tampere"
"Linnea Haataja"|"Ilmattarentie 720
25894 Ilomantsi"
"Raimo Niemi"|"Betonipolku 6
64414 Pukkila"
"Aurora Härkönen"|"Lautamiehenpolku 920
83239 Helsinki"
"Markku Johansson"|"Agricolantie 71
38300 Kuhmo"
"Ville Moilanen"|"Ilomäenkatu 3
98238 Parainen"
"Timo Kanerva"|"Runonlaulajanpolku 862
98241 Kuusamo"
"Laura Tuovinen-Ronkainen"|"Bysantinpolku 48
57263 Ranua"
"Amanda Halonen"|"Biologinkatu 205
25612 Pielavesi"
"Timo Koistinen"|"Agroksenkuja 364
47262 Pyhtää"
"Eila Mäki-Lepistö"|"Maasälväntie 934
25121 Kolari"
"Linnea Kanerva"|"Uskalikonpolku 298
78714 Rusko"
"Raili Lahti"|"Maanmittarinpolku 37
86456 Vaasa"
"Leena Huttunen"|"Laajasalonpolku 5
64484 Karijoki"
"Ilmari Ikonen-Tervo"|"Fahlanderin puistopolku 87
87341 Valtimo"
"Kalevi Ruotsalainen"|"Pyörökivenpolku 5
44287 Rautavaara"
"Markus Koskinen"|"Aidasmäenbulevardi 92
57010 Kempele"
"Erik Kolehmainen"|"Uudenkaupungintie 008
55420 Kontiolahti"
"Hannele Nylund"|"Tyynylaavankuja 103
08608 Laihia"
"Mauno Haapaniemi"|"Ilotulituspolku 72
03941 Salla"
"Marko Eloranta"|"Chydeniuksentie 049
66378 Pedersören kunta"
"Linnea Koivisto"|"Kolsinkuja 525
95060 Kalajoki"
"Tomi Viljanen"|"Haakoninlahdenbulevardi 75
84080 Heinävesi"
"Seija Kokkonen"|"Otermanpolku 28
37792 Joroinen"
"Tapani Nissinen-Viitanen"|"Laurinniitynkatu 03
07249 Oripää"
"Samuli Väisänen-Virtanen"|"Ehrensvärdinpolku 0
79751 Hailuoto"
"Uolevi Heiskanen"|"Bergantie 5
52887 Joutsa"
"Kalervo Lähteenmäki"|"Runeberginkuja 79
43194 Orimattila"
"Alisa Markkanen"|"Franzénintie 73
24203 Lapinlahti"
"Sara Anttila"|"Maasälvänbulevardi 286
68987 Myrskylä"
"Aino Rajala"|"Taavinkuja 4
37497 Kangasala"
"Linnea Laitinen-Salmi"|"Ylä-Fallin bulevardi 013
12501 Kärsämäki"
"Mauno Ahola-Valtonen"|"Orapihlajabulevardi 34
75579 Somero"
"Allan Mäkinen"|"Ilvestie 22
28583 Vaala"
"Risto Takala-Miettinen"|"Caloniuksenkuja 531
43723 Sonkajärvi"
"Teemu Hietala"|"Niemipolku 3
77231 Raisio"
"Eino Tuovinen"|"Jättiläisenkatu 9
22884 Kangasala"
"Tuula Turunen-Mattsson"|"Lepolankatu 51
47719 Kemiönsaari"
"Juhani Turunen"|"Hannukselankatu 082
32145 Porvoo"
"Anneli Nuutinen-Valkonen"|"Jänkäpolku 80
43906 Lapinjärvi"
"Annikki Tuominen"|"Gadolininkuja 185
53422 Hanko"
"Linnea Savolainen"|"Jägerhornintie 726
52161 Kyyjärvi"
"Marjaana Mattila"|"Bengalinbulevardi 46
62464 Helsinki"
"Sirpa Jääskeläinen"|"Niitynperäntie 82
92802 Lieksa"
"Johannes Andersson"|"Vesakkobulevardi 87
59279 Tuusula"
"Tuula Salmi"|"Wavulininkuja 32
23238 Paltamo"
"Tapio Lindström"|"Yrttimaanpolku 25
00959 Laitila"
"Antero Rantanen"|"Urkurintie 29
72606 Toholampi"
"Kimmo Parviainen"|"Vaakalinnuntie 53
34190 Nokia"
"Irma Ranta-Rantanen"|"Laurinniitynpolku 627
05044 Juuka"
"Amanda Suomalainen"|"Jätkäsaarenkatu 686
28336 Kinnula"
"Linnea Virtanen"|"Versokuja 374
30966 Salo"
"Tapio Ahola"|"Jyväpolku 0
58766 Puumala"
"Eemeli Toivonen-Lepistö"|"Urpupolku 59
68303 Aura"
"Seija Savolainen-Nieminen"|"Iltaruskontie 6
08000 Tervola"
"Katariina Kauppinen"|"Urkurinkuja 3
80214 Multia"
"Aaro Leskinen"|"Runokylänkatu 788
74616 Sipoo"
"Pekka Nieminen"|"Gyldéninkatu 5
22980 Paimio"
"Jari Holmström"|"Gunnel Nymanin katu 327
07504 Sund"
"Kristiina Räisänen"|"Hannukselanpolku 1
83357 Isokyrö"
"Maria Paavola-Heikkilä"|"Järkälekuja 7
62444 Padasjoki"
"Lotta Karppinen"|"Urheilutie 23
41811 Riihimäki"
"Kristiina Heinonen"|"Agronomintie 2
45061 Kurikka"
"Arttu Auvinen"|"Harakkamyllynpolku 880
44844 Ylitornio"
"Sari Koskinen"|"Biologintie 71
65039 Tornio"
"Tapani Määttä"|"Disantie 8
28069 Ylöjärvi"
"Raija Mäkelä"|"Bertel Jungin bulevardi 76
81664 Kaavi"
"Lauri Kaikkonen"|"Fahlanderin puistotie 594
35581 Padasjoki"
"Tellervo Leskinen"|"Yläkaskenbulevardi 4
97268 Puolanka"
"Jaakko Nylund"|"Hannukselanbulevardi 32
15035 Savonlinna"
"Daniel Laakso-Saarinen"|"Saramäentie 173
88536 Tervola"
"Lotta Matilainen"|"Sadebulevardi 314
25999 Viitasaari"
"Eveliina Silvennoinen"|"Urpubulevardi 799
24855 Forssa"
"Aurora Heikkilä"|"Porkkalanbulevardi 819
27551 Puolanka"
"Mikael Heinonen"|"Willebrandinpolku 527
70761 Kuhmo"
"Mikko Niemi"|"Fahlanderin puistokuja 202
19129 Lemland"
"Anton Lahtinen"|"Pohjolanpolku 22
29214 Juupajoki"
"Aukusti Liukkonen-Ranta"|"Ylätuvankuja 61
73204 Lappeenranta"
"Marja Lindgren"|"Maakatu 14
81701 Reisjärvi"
"Petteri Honkanen"|"Bertha Pauligin kuja 069
48041 Luumäki"
"Maritta Heiskanen"|"Maasälvänkuja 641
54404 Enontekiö"
"Lotta Oksanen"|"Rapakivenbulevardi 1
83168 Karstula"
"Joonatan Eskola"|"Lemunpolku 80
97927 Koski Tl"
"Olavi Koskinen"|"Kolsinbulevardi 0
03256 Imatra"
"Mari Ahola"|"Vaarnatie 6
91215 Luoto"
"Aleksi Hämäläinen"|"Berganpolku 0
28223 Oulu"
"Petteri Nevalainen-Hartikainen"|"Uudenkaupunginkuja 656
33515 Kuhmoinen"
"Ella Honkanen"|"Tukkisillankuja 56
27598 Haapajärvi"
"Olavi Reinikainen"|"Tyynylaavankatu 9
90072 Kihniö"
"Samuli Korhonen-Laukkanen"|"Fallkullanpolku 07
10991 Kemiönsaari"
"Hannu Pekkala"|"Gunillankuja 60
25819 Pyhäjoki"
"Lotta Rönkkö"|"Gunnel Nymanin kuja 056
20030 Tampere"
"Mari Heiskanen"|"Puroniityntie 0
63995 Loimaa"
"Anja Seppä"|"Veropellonpolku 774
70718 Pukkila"
"Heidi Mattila"|"Willebrandintie 18
27896 Jomala"
"Jaakko Tiainen"|"Walentin Chorellin bulevardi 765
73168 Luumäki"
"Eeva Miettinen-Laiho"|"Tuomarinkylänkuja 35
13916 Hankasalmi"
"Janne Tolonen"|"Osmonpolku 04
91349 Lieksa"
"Harri Nevalainen"|"Yllästunturintie 1
08259 Tuusniemi"
"Susanna Ikonen-Sillanpää"|"Maatullinkuja 27
21680 Paltamo"
"Tuula Virtanen"|"Iltaruskontie 55
16014 Kemi"
"Lotta Väyrynen-Juntunen"|"Uussillankatu 18
25750 Kökar"
"Esa Niemi-Savolainen"|"Haahkatie 5
89851 Paltamo"
"Pirjo Valkama"|"Nils Westermarckin polku 7
35200 Mäntyharju"
"Markku Manninen"|"Iltaruskonkuja 5
62585 Pomarkku"
"Mikael Manninen"|"Benktankuja 65
50425 Harjavalta"
"Anni Peltola"|"Wallinintie 3
76046 Ilmajoki"
"Elina Mäki"|"Orastie 6
12794 Pukkila"
"Anna-Liisa Tikkanen"|"Sadetie 21
53094 Vehmaa"
"Mauri Vuori"|"Poikasaartenkuja 468
33436 Pöytyä"
"Kaarina Salo"|"Kuhankeittäjänkatu 326
35440 Sievi"
"Maaria Lahtinen"|"Bengalinkatu 0
51102 Uusikaupunki"
"Aino Soini"|"Oravatie 94
18793 Keuruu"
"Anja Rytkönen"|"Aidasmäentie 75
49149 Hankasalmi"
"Hannele Hirvonen"|"Uunilinnuntie 07
81449 Lapua"
"Jukka Peltonen-Rautiainen"|"Purjetuulenpolku 17
21435 Karkkila"
"Inkeri Airaksinen"|"Castrénintie 18
23759 Oripää"
"Eija Leino-Lappalainen"|"Haagan pappilankatu 1
55100 Kouvola"
"Marjatta Nurmi"|"Haakoninlahdenkuja 597
04516 Vantaa"
"Seppo Koivula"|"Vesakkopolku 26
54811 Outokumpu"
"Erkki Lehtinen-Ojala"|"Ormuskuja 7
35287 Soini"
"Maaria Leppänen"|"Aidasmäenkatu 5
94797 Geta"
"Emil Laurila"|"Edelfeltinkuja 509
93109 Luhanka"
"Juhani Rantanen"|"Ilomäenbulevardi 9
19716 Konnevesi"
"Jenna Tiainen"|"Benktantie 309
85446 Lapinlahti"
"Mauno Hautala"|"Nervanderinpolku 790
75405 Vihti"
"Juhani Kinnunen"|"Gyldéninkatu 76
55782 Ylivieska"
"Helena Laurila"|"Louhikkokatu 25
02008 Soini"
"Kari Penttilä-Ruotsalainen"|"Nelikkopolku 578
87061 Suonenjoki"
"Pekka Aaltonen"|"Nordenskiöldinkuja 844
75636 Föglö"
"Kalevi Kallio"|"Degermosankatu 77
78178 Tuusniemi"
"Maaria Rajala"|"Hannukselankatu 99
29348 Iisalmi"
"Marjo Heikkilä-Vainio"|"Kolvikuja 802
96103 Juupajoki"
"Aada Salonen"|"Gunillankatu 3
74505 Pyhäjoki"
"Helena Viljanen"|"Gustav Pauligin bulevardi 9
94068 Lohja"
"Matias Kallio"|"Böstaksenbulevardi 7
98810 Pyhäjoki"
"Orvokki Varis-Rajala"|"Verkkokatu 145
73753 Paltamo"
"Jaana Mäkelä"|"Yrjönbulevardi 219
96934 Askola"
"Johanna Karttunen-Nieminen"|"Kolvipolku 285
59487 Ylivieska"
"Maarit Lehtonen"|"Fahlanderin puistokatu 575
52702 Rääkkylä"
"Niklas Lehto-Saarela"|"Zaidankuja 081
52877 Marttila"
"Maaria Ronkainen"|"Veropellonkatu 859
47628 Honkajoki"
"Helena Komulainen"|"Haagan pappilankatu 712
73638 Halsua"
"Maria Mäkinen"|"Maapadonbulevardi 063
08919 Parainen"
"Anneli Räsänen"|"Agroksenbulevardi 94
37096 Padasjoki"
"Marjatta Mikkonen"|"Castrénintie 610
98477 Alavus"
"Aleksandra Pehkonen"|"Haagan pappilantie 5
26906 Kivijärvi"
"Jouko Laakso"|"Dosentintie 05
12640 Tohmajärvi"
"Tapani Saarinen-Pelkonen"|"Kiitäjänpolku 6
76542 Tuusula"
"Armas Huttunen"|"Salavabulevardi 84
59689 Tyrnävä"
"Edvard Savolainen"|"Rantavarastonpolku 209
20998 Raahe"
"Maarit Järvinen"|"Santerlanpolku 802
31238 Pielavesi"
"Juhani Räisänen"|"Saramäentie 68
30157 Parikkala"
"Tarja Nissinen"|"Capellan puistokuja 0
03200 Pirkkala"
"Kaarina Luukkonen"|"Lukkarimäentie 13
44807 Paimio"
"Taneli Laaksonen"|"Wäinö Aaltosen tie 58
20548 Varkaus"
"Anu Varis-Turpeinen"|"Haaksitie 02
52362 Joroinen"
"Maria Kuusisto-Tuomi"|"Agnetankatu 545
64836 Riihimäki"
"Helena Aaltonen-Nurminen"|"Saparonbulevardi 110
81210 Lemland"
