"Aapo Niemi","Döbelninpolku 9
54183 Närpiö" 
"Marjaana Heikkilä","Hankasuonkatu 06
54705 Muurame"
"Mikko Saari","Agnes Sjöbergin katu 379
32217 Varkaus"
"Lotta Haavisto","Haakoninlahdenbulevardi 8
45477 Multia"
"Anneli Hänninen","Mamsellimyllynkatu 3
79518 Iisalmi"
"Taneli Kivelä","Maakatu 1
59939 Soini"
"Hanna Manninen","Nervanderinpolku 629
37352 Ruokolahti"
"Sinikka Laakso","Orapihlajakatu 096
16071 Luoto"
"Tapani Lepistö","Vesalantie 6
80356 Alavieska"
"Jouni Pulkkinen","Salavakuja 9
82782 Siikainen"
"Päivi Matikainen","Elisabeth Kochin katu 32
09827 Inkoo"
"Linda Lindström","Jämsänkatu 9
94145 Sulkava"
"Maaria Kangas","Graniittikatu 36
39744 Kökar"
"Lotta Järvinen","Gustav Pauligin katu 905
28609 Vaala"
"Tuomas Väisänen","Birger Kaipiaisen bulevardi 865
24413 Inari"
"Markus Myllymäki-Määttä","Bertha Pauligin katu 6
59068 Mäntsälä"
"Julia Suominen","Saparonkuja 55
91163 Merikarvia"
"Riikka Luukkonen-Lindholm","Lepolanpolku 52
11551 Ilomantsi"
"Tuomas Makkonen","Eljaksenkuja 558
17473 Puolanka"
"Marja Saarinen","Taimistontie 5
36606 Veteli"
"Kristiina Timonen","Ilotulituskuja 37
57962 Brändö"
"Eelis Räsänen","Urkurintie 9
28904 Lappajärvi"
"Sara Haverinen-Heinonen","Nelikkotie 46
90398 Kaavi"
"Lotta Viitala","Betonitie 46
68154 Vaasa"
"Jussi Kiviniemi","Yrjö-Koskisen kuja 802
29801 Hanko"
"Raija Alanen","Kolvikuja 4
99591 Rautalampi"
"Maarit Savolainen","Maatullintie 550
33984 Lohja"
"Sakari Hirvonen","Kukkaniitynbulevardi 555
36149 Saarijärvi"
"Esko Hakala","Agronominpolku 300
72398 Soini"
"Atte Pirinen","Willebrandinkuja 5
61965 Laitila"
"Jasmin Ruotsalainen","Maapadonkuja 75
52562 Kökar"
"Hannele Salo","Hankasuonkuja 2
63887 Multia"
"Petteri Hakkarainen-Eklund","Salamakuja 22
34950 Porvoo"
"Maaria Huttunen","Usvatie 987
77020 Kärkölä"
"Juho Hirvonen","Saparonkuja 6
13532 Kittilä"
"Tapio Heikkilä","Uurtajanbulevardi 6
15302 Tammela"
"Kalevi Peltola-Hämäläinen","Aidasmäentie 173
38539 Paimio"
"Niilo Nykänen-Niemi","Otermanpolku 7
82616 Miehikkälä"
"Hannele Tuominen","Rukotie 5
80806 Joroinen"
"Juhani Viitala","Yrjöntie 43
41138 Nokia"
"Pentti Huotari-Mäkinen","Fabianinpolku 643
43288 Kerava"
"Sinikka Tikkanen","Rapakivenkatu 549
85983 Kitee"
"Raili Keskitalo","Tukkisillankatu 4
17808 Multia"
"Maaria Kantola","Veropellontie 78
54229 Ilomantsi"
"Rasmus Kämäräinen","Fallpakankatu 58
78617 Hartola"
"Annikki Makkonen-Puustinen","Runonlaulajankuja 0
37276 Maarianhamina"
"Vilho Ojala","Degermosanbulevardi 4
23935 Jämsä"
"Pauliina Aalto","Järkäletie 47
80529 Ristijärvi"
"Aleksandra Tolvanen","Tahtikatu 84
58993 Padasjoki"
"Rasmus Nurminen","Wallininkatu 1
26670 Sulkava"
"Timo Nyman","Ylipalonkatu 5
58322 Jämijärvi"
"Mervi Ahonen-Mäenpää","Eljaksentie 8
91736 Kaustinen"
"Arvo Koskinen","Louhikkobulevardi 24
16884 Pöytyä"
"Maaria Karvonen","Jänkätie 722
64343 Alavus"
"Anita Aaltonen","Uurtajanpolku 48
12820 Kruunupyy"
"Anita Kinnunen","Laurinniitynpolku 739
70519 Kaarina"
"Jussi Latvala-Karjalainen","Poikasaartentie 92
23759 Pukkila"
"Kaarina Laitinen-Virtanen","Jännebulevardi 76
57846 Tervola"
"Anna Mäkelä","Adolf Lindforsin polku 1
65265 Savukoski"
"Tellervo Kangas","Laajasalonbulevardi 3
41543 Huittinen"
"Henrik Paavilainen","Sapilastie 4
82483 Kihniö"
"Helena Nyman","Yhteiskoulunkuja 1
04041 Pelkosenniemi"
"Johannes Immonen","Jäkäläpolku 3
44183 Lumparland"
"Maaria Lehtinen-Sipilä","Tukkisillanbulevardi 616
92705 Maarianhamina"
"Hilkka Mäkelä","Ylänkökatu 31
95256 Ulvila"
"Anu Hytönen-Tiainen","Saanatunturinkuja 8
45928 Imatra"
"Hannele Kauppinen","Oravatie 10
56442 Vehmaa"
"Veikko Korhonen","Runonlaulajankatu 271
84015 Rovaniemi"
"Kirsti Paavilainen","Louhenbulevardi 549
01769 Vaasa"
"Hannele Marttinen","Uudenkaupunginkatu 416
38837 Hammarland"
"Erik Väyrynen","Niittylänpolku 0
82074 Jomala"
"Hellevi Mustonen","Maatullinkuja 257
20032 Värdö"
"Mervi Seppälä","Haravapolku 3
26130 Pielavesi"
"Maaria Pennanen","Järkälekatu 921
60428 Sonkajärvi"
"Topias Moilanen","Agricolankatu 531
47632 Luoto"
"Jan Vuori","Orisaarenkuja 35
40436 Kemi"
"Vilho Kanerva-Rantala","Ormuspolku 152
09045 Utsjoki"
"Elisabeth Kiviniemi-Anttila","Elonbulevardi 172
49218 Kivijärvi"
"Hannele Korhonen","Jämsänpolku 931
61598 Saarijärvi"
"Hannu Parkkinen","Laurinniitynkuja 7
20556 Mäntsälä"
"Jaakko Kuusisto-Huhtala","Niemikuja 779
58001 Eurajoki"
"Maarit Tuominen","Betonipolku 62
22442 Taivalkoski"
"Viljo Vuori","Cygnaeuksentie 30
87952 Virrat"
"Maaria Toivanen","Laurinniityntie 612
72559 Punkalaidun"
"Marko Kantola","Döbelninkatu 137
67673 Ikaalinen"
"Elisa Puhakka","Kimalaisbulevardi 44
42585 Alavus"
"Raimo Karjalainen","Uunisepänkatu 972
16331 Kangasala"
"Outi Pirinen","Santerlantie 2
00856 Pälkäne"
"Anita Mäkelä-Mäenpää","Versokatu 248
24133 Pielavesi"
"Maria Eriksson","Kilpolanpolku 2
79199 Kuhmoinen"
"Joni Leinonen","Rukkilantie 0
44484 Kerava"
"Petteri Salonen-Lindholm","Katajaharjunpolku 07
23532 Uusikaupunki"
"Antero Mäki","Nervanderinkuja 1
79442 Siikajoki"
"Maarit Heinonen","Haapakatu 417
45982 Virolahti"
"Annika Laitinen","Orastie 3
95582 Siilinjärvi"
"Rauno Lahtinen","Edelfeltinkuja 18
07410 Uusikaarlepyy"
"Anneli Savolainen-Kemppainen","Poikasaartenbulevardi 29
36539 Suonenjoki"
"Johanna Jokinen","Järkälebulevardi 829
13937 Oulu"
"Lauri Lahti","Urkurinpolku 28
69325 Brändö"
"Kari Konttinen","Vaakalinnunbulevardi 48
65401 Forssa"
"Antti Heikkilä-Niemi","Mamsellimyllyntie 70
58012 Eckerö"
"Jari Rautio-Tuomi","Sadetie 248
62600 Huittinen"
"Johanna Ruotsalainen","Vanha Rajapolku 81
21844 Kemi"
"Maarit Helminen","Graniittikuja 7
94400 Taivalkoski"
"Juhani Marttila","Willebrandinpolku 7
54186 Karkkila"
"Juhani Toivanen","Damaskuksenkuja 26
42871 Pyhäntä"
"Juhani Mattila-Järvinen","Saanatunturinbulevardi 6
21734 Asikkala"
"Veikko Mustonen","Fallpakanpolku 862
75899 Rautavaara"
"Tuulia Pelkonen","Malminkartanonkuja 01
84826 Vantaa"
"Petteri Huttunen","Orapihlajakuja 7
09000 Kurikka"
"Eemeli Partanen","Jätkäsaarentie 11
80582 Lumparland"
"Elsa Lahtinen","Waseniuksen puistokuja 0
45441 Loviisa"
"Pekka Lappalainen","Winqvistinpolku 48
03895 Joutsa"
"Maarit Huttunen-Niemi","Jägerhorninpolku 6
53213 Laihia"
"Josefiina Hiltunen","Gyldéninbulevardi 230
10901 Urjala"
"Mauri Karhunen","Betleheminbulevardi 3
15524 Mänttä-Vilppula"
"Antero Andersson","Tyynylaavanpolku 09
93583 Rovaniemi"
"Taneli Korhonen","Ylänköpolku 8
59622 Ruokolahti"
"Maria Nurmi","Pohjolankatu 6
57862 Jämijärvi"
"Eveliina Niemelä","Disankatu 679
42610 Pyhäranta"
"Pirjo Aalto","Iltaruskonpolku 427
99963 Lemland"
"Ilmari Koivunen","Haravakatu 58
67698 Tampere"
"Kullervo Tuominen","Gotlanninkatu 9
82060 Isojoki"
"Maarit Karttunen","Kolsinkuja 10
99518 Nousiainen"
"Essi Kosonen","Jänkätie 4
94238 Hankasalmi"
"Tarja Toivanen","Eduskuntatie 64
33836 Askola"
"Vilho Malinen","Nelikkopolku 0
82345 Naantali"
"Anneli Salminen","Bengalinkatu 640
64631 Kaavi"
"Arja Virtanen","Osuuskunnanpolku 93
81553 Mäntsälä"
"Tero Hämäläinen","Runokylänkatu 501
36270 Oripää"
"Aleksi Lampinen","Böstaksenkuja 5
81983 Savitaipale"
"Mika Ketola","Dosentinbulevardi 0
57297 Halsua"
"Tommi Lindgren-Salminen","Gunillantie 00
90502 Vimpeli"
"Maarit Koivisto","Verkkokatu 903
90211 Pedersören kunta"
"Tapani Luukkonen-Ketola","Louhenkuja 7
88995 Kotka"
"Jorma Aaltonen","Dosentintie 5
81671 Sipoo"
"Päivi Kanerva","Veropellontie 4
97673 Harjavalta"
"Pekka Rantala","Berganbulevardi 768
70506 Ikaalinen"
"Jarno Tuovinen","Wavulininpolku 1
80720 Simo"
"Lauri Laurila","Adolf Lindforsin polku 6
79108 Vieremä"
"Elisa Kemppainen","Nikonkatu 918
56339 Keitele"
"Alexandra Mäkelä-Karjalainen","Orisaarentie 24
47786 Kauhajoki"
"Olavi Kärki","Ormustie 520
82131 Miehikkälä"
"Maarit Koponen","Vesalanpolku 0
19106 Suonenjoki"
"Terttu Rantanen","Gunillantie 7
33024 Tohmajärvi"
"Sini Henriksson-Takala","Niittyläntie 82
89694 Kittilä"
"Seija Tanskanen","Jännetie 61
09554 Kuhmoinen"
"Leena Rissanen-Virtanen","Willebrandinkatu 655
53194 Hirvensalmi"
"Johannes Mäkelä","Tuohikoivunkuja 668
51404 Lapua"
"Veikko Lehtonen-Latvala","Lemunkatu 7
30042 Rautalampi"
"Ilmari Seppälä-Huuskonen","Haakoninlahdenkuja 121
85464 Toholampi"
"Sakari Heinonen","Ostosbulevardi 81
76435 Rautavaara"
"Marjatta Miettinen","Bengalinkatu 336
61418 Pello"
"Maarit Koskinen","Järkälepolku 36
34858 Kauniainen"
"Keijo Perälä","Ieskatu 522
54091 Ylivieska"
"Sari Halonen","Louhenpolku 772
27221 Joutsa"
"Leena Markkanen","Nils Westermarckin katu 066
40342 Eurajoki"
"Juhani Salo","Neulapadonbulevardi 4
92879 Vimpeli"
"Jani Mustonen","Hankasuonpolku 56
22397 Vaasa"
"Riitta Hänninen-Niemelä","Niittylänkuja 6
18081 Pedersören kunta"
"Olavi Lindberg","Ilotulituskatu 16
42526 Pyhäntä"
"Kaarina Mustonen-Laakso","Runokylänpolku 2
58352 Rusko"
"Veikko Nevalainen","Taimistonbulevardi 5
93716 Nousiainen"
"Maarit Lehtinen","Maapadonkatu 960
36053 Juva"
"Helinä Rissanen","Hannukselankuja 00
17862 Espoo"
"Heikki Ikonen-Puranen","Saramäenkuja 69
54705 Kokemäki"
"Tuomo Heiskanen","Edelfeltinkatu 1
24570 Savonlinna"
"Antero Suominen","Orapihlajakatu 30
80375 Konnevesi"
"Aleksi Savolainen","Ilmattarenkatu 2
25976 Punkalaidun"
"Petri Rossi","Jätkäsaarenpolku 55
26037 Kemijärvi"
"Atte Salminen","Versopolku 0
93478 Hammarland"
"Johannes Virtanen-Saari","Kimalaisbulevardi 73
25924 Kauniainen"
"Anna Turunen","Dunckerintie 272
00242 Pihtipudas"
"Maarit Manninen","Maasälvänkatu 7
42048 Taipalsaari"
"Milla Väyrynen","Edelfeltinbulevardi 4
20355 Vöyri"
"Irma Tanskanen","Tyynylaavankatu 1
30242 Kuhmo"
"Taina Martikainen-Kinnunen","Orapihlajapolku 179
50737 Kuortane"
"Tapani Karppinen-Hirvonen","Waseniuksen puistokuja 1
82698 Halsua"
"Päivikki Ranta","Ylipalonbulevardi 6
14882 Kouvola"
"Matti Jokinen","Uunilinnuntie 3
37134 Huittinen"
"Iiris Keskitalo","Caloniuksentie 449
17362 Tammela"
"Marjaana Anttila","Benktantie 06
27656 Ilmajoki"
"Emilia Syrjälä","Sadetie 9
04149 Hämeenkyrö"
"Maarit Penttinen-Laine","Rukkilantie 671
99317 Lohja"
"Aukusti Savolainen-Heikkilä","Nordenskiöldintie 318
00209 Pielavesi"
"Jari Huttunen","Santerlanpolku 848
24280 Iisalmi"
"Maria Pakarinen","Salamabulevardi 436
79028 Urjala"
"Liisa Ahonen","Versobulevardi 073
50477 Lestijärvi"
"Matti Eronen-Leinonen","Jägerhorninkuja 54
85062 Vesilahti"
"Mikael Heinonen-Koponen","Urpukuja 532
33547 Masku"
"Petri Lampinen","Rapakivenbulevardi 647
04242 Ruovesi"
"Johanna Korpela","Porkkalanpolku 61
03403 Jämijärvi"
"Birgitta Mustonen","Döbelninbulevardi 985
33389 Sastamala"
"Maarit Pulkkinen","Santerlantie 1
11763 Saltvik"
"Anna Laaksonen","Maasalontie 60
85775 Savitaipale"
"Olivia Virtanen","Ormustie 53
30048 Valkeakoski"
"Anneli Riikonen-Hakala","Aidasmäenkatu 02
88880 Paltamo"
"Emma Sjöblom","Yrjö-Koskisen kuja 244
20794 Polvijärvi"
"Veli Nykänen","Gyldéninbulevardi 55
12924 Keitele"
"Lauri Saari-Viitala","Rapakiventie 59
94270 Porvoo"
"Riitta Nissinen","Saparonpolku 10
02265 Korsnäs"
"Hannele Jääskeläinen","Wecksellinbulevardi 6
20364 Kerava"
"Marja-Leena Karjalainen","Haakoninlahdenpolku 02
10214 Merikarvia"
"Maarit Salomaa","Uskalikonpolku 109
69858 Kuhmo"
"Maire Mäkinen","Haahkakatu 81
48495 Reisjärvi"
"Matti Laine","Haaksikatu 5
49701 Jokioinen"
"Sinikka Pulkkinen","Kuhankeittäjänkuja 132
81324 Kihniö"
"Maria Nurminen","Urheilutie 1
06288 Pyhtää"
"Juhani Koivunen","Haaksikatu 75
06240 Kerava"
"Marianne Berg","Hannukselantie 20
20872 Karvia"
"Petteri Konttinen","Ieskuja 68
78275 Riihimäki"
"Juhani Ahonen","Fagottikuja 24
76723 Pudasjärvi"
"Väinö Helminen","Salakkatie 5
00886 Multia"
"Maarit Simola","Maasalontie 70
86791 Lohja"
"Pentti Tolonen","Veräjämäenbulevardi 5
99206 Tammela"
"Anne Hänninen","Kolsintie 3
64180 Nivala"
"Vesa Rantanen","Jännekatu 9
03012 Varkaus"
"Erkki Venäläinen","Adolf Lindforsin kuja 282
33394 Rautavaara"
"Einari Holopainen-Mononen","Saramäenbulevardi 7
33443 Isojoki"
"Henrik Koponen","Birger Kaipiaisen bulevardi 61
30330 Inari"
"Kristiina Järvinen","Maapolku 252
00597 Kirkkonummi"
"Kalevi Hyttinen-Rantanen","Gunnel Nymanin kuja 5
68184 Halsua"
"Asko Heinonen-Laine","Jännekatu 69
97293 Sauvo"
"Maarit Virtanen","Orisaarenkuja 634
72269 Kauniainen"
"Marjut Kainulainen","Kolvikatu 04
94959 Brändö"
"Anna Hämäläinen","Jännekatu 1
13891 Ranua"
"Katja Ryynänen","Oraspolku 444
10480 Siuntio"
"Marjatta Koskela","Damaskuksenkatu 675
70626 Raisio"
"Kyllikki Sirviö","Yllästunturinkatu 042
26855 Raasepori"
"Antero Alanko","Harakkamyllynkatu 3
33038 Vaala"
"Pirjo Kuusela","Pohjolantie 141
55168 Ylöjärvi"
"Jan Kinnunen","Verkkotie 527
18816 Ristijärvi"
"Tuomas Makkonen","Jägerhornintie 30
34938 Raasepori"
"Maija Andersson","Fredrikinbulevardi 4
88412 Lumparland"
"Veikko Peltola","Louhikkokatu 55
32790 Haapajärvi"
"Merja Viitala","Eduskuntapolku 1
46176 Ruokolahti"
"Seppo Pakarinen","Nervanderinbulevardi 51
16255 Oripää"
"Valtteri Niemelä","Kolukatu 2
48808 Janakkala"
"Aili Niskanen","Laurinniitynkatu 773
18627 Turku"
"Otto Eskola","Elisabeth Kochin kuja 809
79965 Kajaani"
"Helena Tiainen","Ilotulituskuja 377
55223 Tervo"
"Elisa Salonen","Gunnel Nymanin polku 166
11507 Puumala"
"Lilja Mustonen","Runoilijankatu 267
14183 Rautalampi"
"Maija Heikkinen","Mannerheiminpolku 633
02485 Kempele"
"Arttu Tuominen","Maanmittarinpolku 0
83452 Tohmajärvi"
"Markku Ranta","Orisaarenpolku 253
07088 Outokumpu"
"Marja-Liisa Jääskeläinen","Ylänkökatu 831
05499 Eurajoki"
"Mika Keinänen","Louhentie 79
33101 Eura"
"Eila Niskanen-Nevalainen","Puusepänkatu 119
85171 Marttila"
"Erik Heinonen","Usvabulevardi 7
61719 Liperi"
"Henna Lindström-Seppä","Vesakkokuja 671
29124 Joutsa"
"Tiina Turunen","Uussillanpolku 87
91581 Äänekoski"
"Maria Vuori","Bertha Pauligin kuja 72
86259 Kirkkonummi"
"Maija Huttunen","Immolanbulevardi 389
45615 Eckerö"
"Niina Pelkonen","Betonibulevardi 924
81946 Karvia"
"Eemeli Pelkonen","Salamakatu 5
23516 Varkaus"
"Sirpa Salminen","Urkurinkatu 600
30870 Haapajärvi"
"Tuulikki Holmström","Yhteiskoulunkuja 3
92822 Hämeenkyrö"
"Kalevi Sillanpää","Rantavarastonkatu 475
39318 Hartola"
"Esa Koskinen","Taimistonkuja 4
12099 Pyhäranta"
"Heli Niemelä","Yrjönkuja 696
02746 Kärsämäki"
"Eero Laukkanen","Birger Kaipiaisen bulevardi 4
99925 Pihtipudas"
"Christina Salmi","Salamakatu 0
09103 Saltvik"
"Maija Niemi","Vesalanbulevardi 0
92714 Föglö"
"Katariina Nyberg","Haakoninlahdenkatu 95
28483 Laihia"
"Helena Rantala-Hakala","Niemitie 30
16743 Harjavalta"
"Olavi Rantanen","Agricolanbulevardi 597
99033 Värdö"
"Aleksanteri Kolehmainen","Porekuja 372
49920 Punkalaidun"
"Pirjo Laukkanen","Yrjö-Koskisen kuja 502
21582 Sund"
"Sakari Vuorinen","Biologinpolku 5
56706 Kurikka"
"Marjaana Paavilainen-Voutilainen","Gustav Pauligin katu 442
30970 Kouvola"
"Pentti Heiskanen","Caloniuksentie 7
27753 Kaskinen"
"Maria Ketola","Osmonkatu 1
46371 Kangasniemi"
"Maija Nurminen","Tukkisillantie 55
94145 Hailuoto"
"Tellervo Hyvönen","Granfeltinbulevardi 18
90391 Juuka"
"Antti Laiho","Immolankuja 7
46401 Kittilä"
"Antero Jokela","Otermankuja 444
34248 Rautalampi"
"Leila Mikkola","Kiitäjänbulevardi 159
88703 Liminka"
"Kalervo Niiranen","Malminkartanonkuja 49
79066 Parikkala"
"Aino Lahti","Dunckerinbulevardi 9
10726 Nurmes"
"Kerttu Hämäläinen-Kuisma","Gunnel Nymanin polku 33
06873 Kitee"
"Kerttu Nevalainen-Kuisma","Capellan puistokatu 99
32695 Muonio"
"Johan Mäki","Taimistonkatu 097
98135 Karkkila"
"Maija Peltola","Iltatähdenpolku 74
78181 Valkeakoski"
"Tellervo Karhu-Hirvonen","Fallpakankuja 8
13514 Eurajoki"
"Juhani Eskelinen","Nikonbulevardi 433
68779 Luoto"
"Antero Immonen","Fabianinkuja 8
70997 Raasepori"
"Minna Koski","Capellan puistopolku 2
99323 Vesanto"
"Eetu Hyvärinen","Ilotulitusbulevardi 298
38500 Paimio"
"Johannes Rantala","Betonipolku 421
60506 Ylitornio"
"Petri Pennanen","Gyldéninpolku 503
67048 Tammela"
"Peter Haataja","Orisaarenkatu 6
24258 Hirvensalmi"
"Eija Kokkonen","Osmonbulevardi 6
35631 Mänttä-Vilppula"
"Maija Sillanpää","Caloniuksenpolku 2
29157 Ii"
"Kimmo Niemi","Granfeltinpolku 2
10159 Nousiainen"
"Marjatta Salo","Yllästunturinkatu 3
46742 Kaarina"
"Emilia Rintala","Immolantie 65
27418 Vieremä"
"Johannes Repo-Kukkonen","Vaarnatie 3
10813 Liperi"
"Hillevi Leskinen","Aidasmäentie 733
46774 Petäjävesi"
"Juhani Honkanen","Rapakivenkatu 759
55792 Outokumpu"
"Aune Koponen","Orapihlajakuja 218
18352 Ähtäri"
"Esko Rautiainen","Saramäentie 660
58321 Maalahti"
"Annika Oksanen","Rukopolku 9
99997 Kemijärvi"
"Maire Eklund","Betleheminpolku 632
22868 Sievi"
"Olli Linna","Ormusbulevardi 656
55529 Ypäjä"
"Hannele Soininen-Mustonen","Berganbulevardi 53
69723 Kemijärvi"
"Anu Kärkkäinen","Eerik Pyhän polku 626
52954 Mänttä-Vilppula"
"Elina Andersson-Rantanen","Tyynylaavanbulevardi 448
55700 Pihtipudas"
"Elina Mäkinen","Urkurinbulevardi 6
26087 Mäntyharju"
"Mikael Eriksson","Poretie 4
58571 Polvijärvi"
"Aleksi Sallinen","Salavatie 53
58153 Lemi"
"Hannele Salmela","Döbelnintie 544
03953 Isojoki"
"Toni Salminen","Järkälekatu 7
80113 Lemi"
"Maire Rantanen-Simola","Rukokuja 5
87439 Eckerö"
"Kati Ruotsalainen","Oravatie 4
39931 Virrat"
"Allan Pöllänen","Wavulininkatu 359
00132 Koski Tl"
"Henrik Nieminen","Salamakuja 5
94010 Kaavi"
"Tapani Valkonen","Uurtajantie 08
02230 Tervola"
"Helena Keränen","Santerlankuja 65
67957 Kemijärvi"
"Leo Laine","Mamsellimyllynkatu 3
58765 Pornainen"
"Petteri Lindström","Werner Wirénin kuja 217
46940 Ylivieska"
"Leevi Luoma-Makkonen","Taavetti Laitisen polku 9
21876 Tuusula"
"Kari Heikkilä","Kilpolankatu 200
67727 Hamina"
"Margareta Ahonen","Eerik Pyhän tie 236
73947 Somero"
"Marjatta Räsänen","Haahkakuja 6
46939 Kouvola"
"Juhani Malinen","Uskalikonbulevardi 3
43042 Askola"
"Orvokki Partanen","Uunilinnunkatu 9
76171 Lestijärvi"
"Matti Järvinen-Hannula","Runebergintie 3
44323 Vaasa"
"Markku Rönkkö","Harakkamyllynkuja 41
08457 Masku"
"Johanna Syrjälä-Jokinen","Wäinö Aaltosen tie 4
24301 Vihti"
"Maria Piirainen-Tuomi","Bertel Jungin tie 6
60762 Muurame"
"Juhani Salmi","Niemikatu 200
99212 Laukaa"
"Juha Laitinen","Ostospolku 7
42388 Koski Tl"
"Margareta Anttila","Rapakivenpolku 978
19440 Kaskinen"
"Christian Eklund-Lipponen","Hankasuonkatu 43
33218 Kumlinge"
"Kalle Karjalainen","Elontie 28
15516 Masku"
"Eija Virtanen","Katajaharjunbulevardi 873
78889 Parikkala"
"Juhani Korhonen-Lehto","Ylätuvankatu 6
98690 Sonkajärvi"
"Sinikka Seppänen","Haakoninlahdenpolku 342
53185 Ruokolahti"
"Maria Korhonen","Oravabulevardi 627
29450 Kaavi"
"Marika Tikkanen","Laurinniitynkuja 837
67352 Inari"
"Kustaa Karvonen","Maanmittarinbulevardi 409
74213 Veteli"
"Veeti Pulkkinen","Kiitäjänkuja 141
80910 Hamina"
"Margareta Elo","Maneesikuja 417
15904 Utajärvi"
"Marianne Karhunen","Neonbulevardi 1
52704 Juuka"
"Eino Rajala","Saramäenkuja 233
60921 Ruovesi"
"Maria Mikkola-Toivanen","Lepolankuja 367
43463 Sotkamo"
"Jani Hakala","Elonkatu 74
23928 Nousiainen"
"Teuvo Niemi","Niemibulevardi 0
17233 Mynämäki"
"Kalevi Penttinen","Urpubulevardi 56
78215 Lieksa"
"Viivi Kallio","Jätkäsaarentie 63
60088 Jyväskylä"
"Tapani Lehto-Kivistö","Benktankatu 077
07007 Tervola"
"Anne Kovanen","Agnetanbulevardi 28
83593 Nousiainen"
"Margareta Parviainen","Lautamiehentie 3
52966 Ikaalinen"
"Topias Haataja","Järkälebulevardi 209
04271 Raasepori"
"Tapani Laakkonen-Kinnunen","Ilmattarenkuja 1
34032 Kotka"
"Riitta Kosonen","Kukkaniitynkuja 04
56934 Hanko"
"Niko Anttonen","Bertel Jungin tie 311
72402 Vaala"
"Johanna Salmela","Jättiläisenbulevardi 94
78060 Kristiinankaupunki"
"Janne Holappa","Jätkäsaarenbulevardi 18
25739 Kuhmo"
"Eveliina Koskinen","Poikasaartenbulevardi 138
71702 Valtimo"
"Marianne Lappalainen","Eerik Pyhän bulevardi 995
89939 Pyhtää"
"Antero Mustonen","Adolf Lindforsin kuja 430
40343 Kuhmoinen"
"Mari Anttila","Yhteiskoulunpolku 873
43772 Vesanto"
"Heikki Harju","Adolf Lindforsin katu 0
28369 Raasepori"
"Jukka Ranta-Nevalainen","Damaskuksenbulevardi 79
89945 Lemland"
"Anni Salonen","Maapadonbulevardi 986
03764 Janakkala"
"Jaana Karjalainen-Helminen","Eerik Pyhän tie 24
62515 Askola"
"Aulis Nieminen","Jättiläisenbulevardi 7
94159 Padasjoki"
"Matias Sainio","Niemikatu 4
55025 Siilinjärvi"
"Otto Lehtinen","Runokylänkuja 575
16609 Kaskinen"
"Sakari Väisänen","Nordenskiöldinbulevardi 4
87194 Rusko"
"Kalervo Laine","Lukkarimäenpolku 859
42102 Ii"
"Mari Lehtinen-Andersson","Poikasaartenpolku 8
87699 Geta"
"Inkeri Taipale-Ruuskanen","Usvakuja 75
16391 Tammela"
"Juhani Lehtinen-Koivula","Fagottikuja 6
34068 Aura"
"Emilia Harju","Haravatie 981
17748 Kauhava"
"Anders Räisänen-Lehtonen","Elonkatu 0
92570 Kemiönsaari"
"Kristiina Honkanen","Haahkatie 38
18454 Vesanto"
"Juhani Kovanen","Bengalinkatu 52
33823 Mustasaari"
"Ellen Penttinen","Rapolankatu 75
39063 Lestijärvi"
"Henri Saarinen","Neulapadontie 4
88303 Pomarkku"
"Juhani Seppänen","Fallinbulevardi 6
83795 Pudasjärvi"
"Mari Lindberg","Lautamiehenpolku 772
38838 Puolanka"
"Mikko Salminen","Orisaarenpolku 7
48936 Vaasa"
"Tero Parkkinen","Santerlantie 138
90128 Lappajärvi"
"Roosa Savolainen","Ilotulitustie 843
67375 Merijärvi"
"Eeva Kosonen","Lukkarimäenkatu 7
61783 Reisjärvi"
"Oskari Halonen-Jääskeläinen","Wäinö Aaltosen bulevardi 25
50921 Kaarina"
"Mari Leinonen-Sallinen","Benktantie 1
21981 Pieksämäki"
"Esko Koskinen-Häkkinen","Puroniitynkuja 03
53024 Inari"
"Hannele Hietanen-Nuutinen","Neulapadontie 5
48544 Hankasalmi"
"Paula Laiho","Jännekuja 1
95321 Vihti"
"Mari Ollikainen","Degermosanpolku 5
22137 Kokkola"
"Aulis Hirvonen","Elisabeth Kochin tie 8
98472 Merijärvi"
"Asko Kokko","Agnes Sjöbergin tie 20
22426 Kemi"
"Annika Pöllänen","Kimmonbulevardi 932
56931 Brändö"
"Johanna Tolonen","Lukkarimäenpolku 0
81355 Ranua"
"Janne Kumpulainen","Cygnaeuksenbulevardi 5
91888 Honkajoki"
"Marja Järvinen","Gotlanninbulevardi 963
21500 Kinnula"
"Juha Kolehmainen","Wecksellinpolku 0
32583 Pudasjärvi"
"Olavi Perälä","Jämsänkuja 81
62022 Joroinen"
"Ida Hirvonen","Agnes Sjöbergin tie 13
86147 Pyhäjoki"
"Mari Rantala","Veropellonbulevardi 1
75052 Joroinen"
"Seppo Rantanen","Puroniitynkatu 11
42980 Paimio"
"Riitta Nurmi","Neulapadonkuja 6
00397 Kolari"
"Elias Heikkilä","Rapolantie 23
28722 Kärkölä"
"Johan Karlsson","Edelfeltinkatu 2
76138 Kokemäki"
"Sakari Kemppainen","Immolantie 747
22481 Mäntsälä"
"Rainer Määttä-Jansson","Ahdekaunokinkuja 6
49924 Imatra"
"Eero Virta","Porinkuja 696
98337 Laitila"
