"Ada Bazydło"|"ul. Jagodowa 52
84-438 Żyrardów" 
"Cyprian Gasz"|"plac Plater 05
01-486 Gdynia"
"Hubert Pietryga"|"pl. Kusocińskiego 18
28-956 Nowy Targ"
"pan Fabian Budner"|"ul. Drzymały 63
97-565 Rzeszów"
"Eliza Toś"|"ul. Lubelska 50/83
70-149 Zgorzelec"
"pan Marcin Kordus"|"al. Pogodna 88
63-292 Śrem"
"Kaja Szyjka"|"plac Malczewskiego 77
16-527 Łódź"
"Kajetan Fijak"|"pl. Niepodległości 871
93-760 Ciechanów"
"Karol Nitkiewicz"|"plac Rejtana 812
51-407 Nysa"
"Natan Kołodziejak"|"plac Solidarności 820
73-972 Piła"
"Kamil Szkatuła"|"ul. Zachodnia 91/71
68-817 Biała Podlaska"
"Dariusz Białous"|"plac Lelewela 75/30
99-118 Ełk"
"Dagmara Chachaj"|"al. Agrestowa 531
63-517 Chojnice"
"pani Ewelina Sudnik"|"plac Jana Sobieskiego 01/51
54-056 Ełk"
"Przemysław Gotfryd"|"plac Miłosza 16/09
47-566 Wieluń"
"Damian Drewniok"|"plac Ściegiennego 01
87-767 Zambrów"
"Kacper Bystrek"|"al. Jeżynowa 88
20-440 Wodzisław Śląski"
"Kajetan Janowiak"|"ul. Tuwima 531
39-397 Ełk"
"pan Oliwier Widuch"|"ul. Dębowa 911
40-848 Bochnia"
"Grzegorz Nawrotek"|"aleja Kamienna 09
20-417 Szczytno"
"Tymoteusz Łodej"|"ul. Koralowa 191
78-516 Chojnice"
"Eryk Luks"|"pl. Skłodowskiej-Curie 162
08-236 Rybnik"
"Marek Ofiara"|"al. Szkolna 27/88
39-134 Knurów"
"pan Ernest Koźlak"|"aleja Starowiejska 28/70
22-521 Giżycko"
"Karina Klamka"|"pl. Wojciecha 623
32-735 Tarnów"
"Adrian Nowotka"|"plac Narutowicza 287
56-320 Czerwionka-Leszczyny"
"pani Sara Spychaj"|"ulica Polna 356
17-664 Szczecin"
"Kajetan Kobza"|"pl. Świerczewskiego 32
49-264 Świebodzice"
"Michał Ciereszko"|"pl. Staffa 866
70-453 Świdnica"
"Wiktor Koziatek"|"ul. Nadrzeczna 22/98
38-438 Tarnowskie Góry"
"Damian Mendak"|"ul. Bociania 945
10-570 Wyszków"
"Tola Fabiańczyk"|"ul. Sikorskiego 36
67-021 Chojnice"
"Aniela Szoka"|"al. Władysława Łokietka 55/29
54-697 Bielawa"
"pani Apolonia Paczos"|"pl. Bolesława Krzywoustego 754
62-729 Kościan"
"Tymon Magier"|"pl. Bolesława Krzywoustego 72
71-974 Nowa Ruda"
"Gustaw Wołoszyk"|"al. Jadwigi 740
58-181 Gliwice"
"pani Marianna Stawowczyk"|"plac Daszyńskiego 43/47
19-988 Zamość"
"Kajetan Korbel"|"aleja Rajska 123
04-294 Jarosław"
"Fabian Brzykcy"|"al. Średnia 95
78-120 Wieluń"
"Janina Żółkiewicz"|"aleja Wierzbowa 613
89-509 Krosno"
"pani Aniela Niewiara"|"ulica Zapolskiej 302
95-421 Wieluń"
"Gustaw Dytko"|"ulica Letnia 84/51
52-636 Zielona Góra"
"Miłosz Majewicz"|"aleja Nadrzeczna 23
78-260 Chrzanów"
"Krzysztof Majos"|"plac Wyszyńskiego 313
85-961 Przemyśl"
"Tomasz Mućko"|"ul. Koralowa 33/83
96-601 Koło"
"Karol Paszkowiak"|"plac Armii Krajowej 977
52-441 Stargard Szczeciński"
"Natan Tadeusiak"|"aleja Okrzei 93
79-617 Skierniewice"
"Kajetan Maciocha"|"ulica Sosnowa 82/54
46-685 Łódź"
"Roksana Pałac"|"plac Reja 40/87
69-889 Jaworzno"
"Nicole Kluczek"|"pl. Malczewskiego 517
54-577 Mikołów"
"Antoni Ochal"|"ul. Drzymały 25/13
69-241 Cieszyn"
"Tymoteusz Preś"|"aleja Witosa 33/79
68-473 Olkusz"
"Marianna Kijas"|"ulica Kościuszki 43/13
48-606 Oleśnica"
"Robert Płócienniczak"|"plac Pułaskiego 47/04
90-910 Brodnica"
"Angelika Kruzel"|"al. Chełmońskiego 643
80-104 Siemianowice Śląskie"
"Oskar Jaźwiec"|"ulica Poznańska 76
73-532 Swarzędz"
"Apolonia Wujek"|"ul. Górska 01/46
97-394 Augustów"
"Kajetan Masłoń"|"ul. Pogodna 053
24-125 Tarnowskie Góry"
"Tymoteusz Gryszkiewicz"|"aleja Hutnicza 15/70
50-260 Pruszcz Gdański"
"Emil Siwczak"|"aleja Żytnia 74
60-505 Zgorzelec"
"Konstanty Białach"|"ulica Błękitna 096
87-196 Oleśnica"
"Klara Wiraszka"|"ul. Kruczkowskiego 311
13-859 Świętochłowice"
"Witold Geisler"|"ul. Dobra 54
33-035 Jaworzno"
"Jeremi Błasik"|"plac Traugutta 898
44-447 Jaworzno"
"Leonard Tomaszuk"|"aleja Reymonta 950
32-547 Gorlice"
"pan Ryszard Kliber"|"al. Szymanowskiego 10
94-159 Kłodzko"
"pan Łukasz Groborz"|"ul. Chełmońskiego 02/41
27-039 Jelenia Góra"
"Kajetan Panasiewicz"|"pl. Wojska Polskiego 502
36-541 Kwidzyn"
"pani Marika Sinkiewicz"|"plac Broniewskiego 07
10-599 Biała Podlaska"
"Eliza Oskroba"|"ulica Tylna 168
27-074 Września"
"Anastazja Cyrulik"|"al. Chełmońskiego 37
66-939 Zgorzelec"
"Gustaw Hanus"|"aleja Kraszewskiego 36/79
39-081 Ostrów Wielkopolski"
"Anita Kurnik"|"pl. Powstańców Śląskich 74
57-280 Radom"
"pani Marcelina Kiwior"|"aleja Bema 98
99-547 Chorzów"
"pan Paweł Kalinka"|"ul. Żwirki i Wigury 06
77-545 Bydgoszcz"
"pani Marika Cyrulik"|"ulica Brzozowa 08/84
59-917 Kraków"
"pan Mikołaj Zawiasa"|"plac Skargi 31
02-512 Zambrów"
"Kajetan Sady"|"ul. Daleka 880
47-593 Bielsko-Biała"
"Monika Miętka"|"pl. Rejtana 074
40-695 Siemianowice Śląskie"
"pani Julianna Pastuła"|"al. Jana III Sobieskiego 274
29-883 Bochnia"
"pani Marcelina Pospiech"|"ul. Daszyńskiego 49/04
75-076 Jastrzębie-Zdrój"
"Ada Niemczuk"|"pl. Chełmońskiego 72
82-317 Grodzisk Mazowiecki"
"Marcin Ziegler"|"al. Rataja 99
21-761 Dąbrowa Górnicza"
"pan Wojciech Majczyna"|"ulica Waryńskiego 86
05-865 Piła"
"Ada Jasnoch"|"ul. Miodowa 220
79-931 Świdnica"
"pan Mateusz Ziemak"|"aleja Lipca 457
31-093 Otwock"
"Antoni Szłapa"|"pl. Malczewskiego 27/90
21-589 Kędzierzyn-Koźle"
"Kajetan Szczypiór"|"pl. Wróblewskiego 91
38-278 Pruszcz Gdański"
"Nataniel Dumin"|"ulica Żwirki i Wigury 08/88
78-883 Piła"
"Kornel Gruszczyk"|"plac Makuszyńskiego 927
01-909 Bytom"
"Mateusz Korzekwa"|"aleja Nałkowskiej 21/63
63-338 Nysa"
"Patryk Hałat"|"aleja Modrzewiowa 57
11-527 Wodzisław Śląski"
"Adam Teter"|"pl. Jana Sobieskiego 09/69
54-594 Tczew"
"Cyprian Sobków"|"ulica Długosza 49/98
23-946 Sanok"
"Krystyna Kosowicz"|"plac Jana Sobieskiego 444
92-602 Żywiec"
"Fryderyk Podkowa"|"al. Krasickiego 77
65-860 Bartoszyce"
"Oskar Bednarowicz"|"plac Powstańców Wielkopolskich 95/99
60-936 Luboń"
"Kajetan Ziętal"|"pl. Wróblewskiego 04/38
56-522 Wejherowo"
"pan Bruno Uziębło"|"plac Baczyńskiego 941
81-001 Radom"
"Aleks Wożniak"|"aleja Torowa 494
62-964 Biłgoraj"
"pan Grzegorz Markiel"|"plac Staffa 058
78-274 Czeladź"
"Tobiasz Osik"|"plac Kazimierza Wielkiego 382
19-120 Czerwionka-Leszczyny"
"Sandra Oleśkiewicz"|"al. Turystyczna 23/01
46-534 Gliwice"
"pan Marek Lelito"|"ulica Klonowa 33
06-903 Police"
"Michał Gadzała"|"ul. Jana Pawła II 28
55-767 Jarosław"
"pan Gabriel Podleśna"|"pl. Żwirki i Wigury 50/05
68-198 Bielsko-Biała"
"Dagmara Doroba"|"pl. Korfantego 264
79-042 Szczecinek"
"Kalina Duszczyk"|"pl. Wróblewskiego 93/33
85-090 Kłodzko"
"Błażej Maziarczyk"|"al. Jana Sobieskiego 96
81-586 Sopot"
"Błażej Gębura"|"ulica Miarki 45
11-171 Ząbki"
"Lidia Osada"|"ul. Kruczkowskiego 52
43-990 Piaseczno"
"Antoni Witaszek"|"plac Jana Sobieskiego 15/55
86-808 Rumia"
"Krystyna Gzyl"|"ulica Batalionów Chłopskich 22/97
81-395 Środa Wielkopolska"
"Konrad Kraszkiewicz"|"ulica Jana III Sobieskiego 39
58-378 Tychy"
"Olaf Grotek"|"ulica Lipowa 271
11-084 Skierniewice"
"Paweł Banek"|"ulica Jeziorna 197
56-041 Skarżysko-Kamienna"
"pan Natan Łabaj"|"plac Traugutta 94/07
48-975 Ostrów Wielkopolski"
"Kalina Fularczyk"|"plac Jana Sobieskiego 10
64-517 Świętochłowice"
"Justyna Konat"|"ul. Słoneczna 563
79-226 Jawor"
"Gabriel Witko"|"al. Norwida 60
91-600 Kętrzyn"
"Stefan Bork"|"ulica Storczykowa 84
10-189 Nysa"
"pan Karol Majczyna"|"pl. Norwida 70
23-893 Racibórz"
"Konrad Fogiel"|"ul. Krasińskiego 40
63-662 Płońsk"
"pani Justyna Sołoducha"|"ulica Drzymały 13/73
33-564 Iława"
"Norbert Strama"|"aleja Żeglarska 40/05
17-016 Żywiec"
"Urszula Nowotny"|"al. Wojska Polskiego 52/57
84-735 Leszno"
"pan Artur Miechowicz"|"aleja Klasztorna 414
89-640 Pruszków"
"Kalina Grochowina"|"ul. Kruczkowskiego 18/09
32-594 Krosno"
"Inga Giedrojć"|"ulica Narcyzowa 26
10-322 Zawiercie"
"Melania Rok"|"plac Maczka 66/62
20-071 Zambrów"
"Ewa Kiełbus"|"aleja Złota 346
56-947 Bydgoszcz"
"pani Elżbieta Barszczak"|"ulica Wyspiańskiego 40/66
17-522 Ostrowiec Świętokrzyski"
"Róża Cichowlas"|"ulica Morelowa 43/55
89-069 Łaziska Górne"
"Anna Maria Tofil"|"aleja Rejtana 983
28-985 Świętochłowice"
"Julian Latek"|"ulica Malczewskiego 630
42-130 Gdynia"
"pan Robert Jarmużek"|"al. Poziomkowa 03/56
61-282 Czechowice-Dziedzice"
"Rafał Bartela"|"ulica Prusa 19
48-631 Wągrowiec"
"Kalina Jachimczyk"|"pl. Korczaka 653
28-785 Września"
"Kamil Orpel"|"ulica Kościuszki 61
88-625 Zawiercie"
"Przemysław Cymbała"|"ul. Starowiejska 83/69
74-532 Wrocław"
"pan Alex Sidorczuk"|"ulica Prusa 55/20
95-401 Kłodzko"
"Sandra Mainka"|"ul. Tartaczna 62/04
65-712 Ząbki"
"Dawid Szafarz"|"ul. Wschodnia 03
93-609 Szczecinek"
"Leon Trąbka"|"ulica Zakole 81
91-362 Grodzisk Mazowiecki"
"pani Kornelia Wota"|"ul. Ściegiennego 75
41-689 Knurów"
"Patryk Przewoźniak"|"aleja Żwirki i Wigury 83
04-922 Katowice"
"pani Krystyna Lepak"|"al. Liliowa 92/84
92-440 Kwidzyn"
"Kalina Klemens"|"aleja Harcerska 42
37-434 Kalisz"
"Malwina Siedlaczek"|"al. Norwida 889
98-529 Wejherowo"
"Gustaw Grabara"|"pl. Tuwima 98/70
30-988 Augustów"
"pan Aleksander Konat"|"plac Konstytucji 3 Maja 39/49
06-114 Myszków"
"pani Ida Kacperczyk"|"ulica Magnoliowa 77/49
72-837 Grudziądz"
"pani Karina Szyja"|"pl. Kazimierza Wielkiego 51/50
65-839 Zgorzelec"
"Norbert Łusiak"|"plac Krasińskiego 047
84-954 Płońsk"
"Wojciech Mosiołek"|"aleja Jaskółcza 80/40
77-948 Piekary Śląskie"
"Maksymilian Jakóbiak"|"aleja Wilcza 802
70-546 Polkowice"
"Karol Mućka"|"aleja Hutnicza 476
45-284 Toruń"
"Kalina Kosno"|"ul. Kilińskiego 63
73-202 Otwock"
"Apolonia Konieczek"|"pl. Wojska Polskiego 237
63-425 Szczecinek"
"Olga Welenc"|"aleja Malczewskiego 63/03
58-025 Kłodzko"
"pan Dariusz Podkowa"|"ulica Handlowa 724
26-582 Wałcz"
"pani Dorota Długozima"|"al. Magnoliowa 15
35-980 Wrocław"
"Ewa Surdel"|"al. Kilińskiego 84
53-765 Knurów"
"Aniela Kubrak"|"plac Ściegiennego 23
13-213 Śrem"
"Błażej Kloska"|"plac Bolesława Chrobrego 630
87-014 Kraśnik"
"Witold Zaraś"|"aleja Robotnicza 11/06
21-422 Czerwionka-Leszczyny"
"Łukasz Godzisz"|"al. Jana Pawła II 62
95-546 Sandomierz"
"Kalina Kowaluk"|"plac Świerczewskiego 70
87-311 Zgorzelec"
"Alan Kononowicz"|"pl. Norwida 85
27-781 Warszawa"
"Jan Fiołek"|"ul. Młyńska 804
21-011 Starachowice"
"Konstanty Saj"|"aleja Bukowa 544
37-310 Głogów"
"Radosław Praczyk"|"al. Wrzosowa 04
39-364 Warszawa"
"Nela Larysz"|"al. Brzechwy 612
32-018 Chojnice"
"Kamila Damek"|"ul. Wróblewskiego 145
72-147 Białystok"
"Oliwier Foit"|"plac Chopina 816
54-251 Pruszków"
"pani Janina Karwan"|"pl. Czarnieckiego 87/24
07-816 Nowy Dwór Mazowiecki"
"Konstanty Gowin"|"ulica Wróblewskiego 32
44-769 Otwock"
"Kalina Krzyk"|"plac Skłodowskiej-Curie 654
75-700 Białystok"
"pani Angelika Wołk"|"ul. Ściegiennego 133
28-811 Mysłowice"
"pani Marianna Błaziak"|"aleja Lelewela 59/85
35-497 Piekary Śląskie"
"Ewelina Fidura"|"ulica Poniatowskiego 80
82-380 Marki"
"Melania Małycha"|"plac Bema 360
11-526 Skawina"
"Alan Pajda"|"aleja Rejtana 84
57-197 Czechowice-Dziedzice"
"pan Nikodem Niksa"|"al. Mieszka I 61/68
09-842 Dąbrowa Górnicza"
"Kajetan Filusz"|"pl. Wojska Polskiego 206
69-422 Słupsk"
"Stefan Kopyt"|"plac Lelewela 09/75
76-224 Legnica"
"Mateusz Szczypek"|"aleja Drzymały 78
96-373 Kalisz"
"Kalina Maksym"|"ulica Żeromskiego 80/27
85-740 Łuków"
"Mariusz Kruzel"|"al. Wiślana 96
83-913 Oleśnica"
"Wojciech Szczepaniuk"|"al. Pszenna 165
03-026 Opole"
"Anna Maria Jaje"|"ul. Warszawska 98/05
79-294 Świebodzice"
"Alan Mizak"|"plac Staffa 84
40-375 Kalisz"
"Olaf Mędrala"|"ulica Daszyńskiego 47
20-823 Tarnów"
"pan Krzysztof Sawko"|"plac Kołłątaja 35/35
09-205 Piastów"
"pani Nela Durlik"|"aleja Reja 621
82-585 Kutno"
"Józef Durys"|"ulica Jana Sobieskiego 85
81-470 Oleśnica"
"Bruno Lampart"|"al. Cmentarna 47/38
81-919 Kalisz"
"Kalina Marko"|"al. Kaszubska 79/38
70-480 Świdnik"
"Natasza Księżyk"|"al. Władysława Łokietka 899
52-188 Rumia"
"Daniel Doktór"|"al. Rózana 756
59-362 Białogard"
"Alex Mateńko"|"al. Jeziorna 063
87-827 Wołomin"
"pani Tola Szoka"|"pl. Bolesława Krzywoustego 429
53-760 Toruń"
"Blanka Pałęga"|"pl. Mickiewicza 55
31-782 Olsztyn"
"Konstanty Stypka"|"ul. Floriana 206
90-579 Czerwionka-Leszczyny"
"pani Róża Zeman"|"ulica Rolnicza 35/21
64-627 Bielsk Podlaski"
"Kornel Niemira"|"ul. Zacisze 58/99
01-463 Warszawa"
"Ignacy Szambelan"|"plac Szymanowskiego 08
37-959 Jasło"
"Kalina Osial"|"ulica Wieniawskiego 93
33-591 Częstochowa"
"pani Rozalia Taciak"|"aleja Malczewskiego 55/45
57-839 Zgorzelec"
"pan Oskar Działak"|"pl. Żwirki i Wigury 41
75-148 Pszczyna"
"Sonia Żuchowicz"|"ulica Kosynierów 85
47-531 Nowy Targ"
"pan Ksawery Cich"|"pl. Witosa 42/11
69-786 Inowrocław"
"Adam Godzik"|"plac Skłodowskiej-Curie 235
95-405 Augustów"
"pani Ida Parzyszek"|"plac Mieszka I 08
64-730 Oświęcim"
"Jakub Pietrusiak"|"ulica Mostowa 87
43-375 Turek"
"Marianna Okraska"|"pl. Bolesława Krzywoustego 01/39
74-591 Pszczyna"
"Miłosz Styn"|"plac Kraszewskiego 118
57-894 Chrzanów"
"Kamil Droździk"|"ulica Solidarności 85/26
47-497 Wałbrzych"
"Aurelia Bejm"|"aleja Zbożowa 90
30-011 Knurów"
"Damian Turoń"|"plac Chełmońskiego 186
17-724 Bielsk Podlaski"
"Malwina Motak"|"plac Kasprowicza 442
07-912 Legionowo"
"pan Grzegorz Rduch"|"ul. Kasprowicza 304
97-795 Kościerzyna"
"Janina Kalisiak"|"al. Narutowicza 36/62
96-037 Konin"
"Ernest Klorek"|"al. Zaciszna 473
99-732 Stalowa Wola"
"pani Sara Kurzydło"|"ulica Sikorskiego 82/56
78-415 Luboń"
"Albert Zyga"|"al. Robotnicza 76/07
14-162 Żagań"
"Konstanty Kojder"|"pl. Konarskiego 59/96
57-989 Inowrocław"
"Kamil Fiołka"|"plac Matejki 914
04-117 Września"
"Fabian Steckiewicz"|"ulica Kossaka 01/60
83-020 Świebodzice"
"Apolonia Oskroba"|"plac Sienkiewicza 32/94
89-589 Piastów"
"Eliza Nieścioruk"|"pl. Sikorskiego 34/42
56-798 Świdnik"
"Wiktor Roczniak"|"pl. Wieniawskiego 58
16-804 Tarnowskie Góry"
"Apolonia Pitala"|"al. Grabowa 24
06-966 Ełk"
"Marika Pituła"|"ul. Prosta 077
21-358 Piła"
"Anita Tłuczek"|"al. Malczewskiego 797
03-560 Gdynia"
"Natan Nicewicz"|"pl. Kołłątaja 121
45-714 Ostrowiec Świętokrzyski"
"pani Sonia Komuda"|"ul. Mieszka I 71/05
16-431 Ostróda"
"Kamil Gabryelczyk"|"plac Wybickiego 32/94
44-940 Wałcz"
"pan Ryszard Dybaś"|"aleja Szafirowa 81/25
23-402 Stargard Szczeciński"
"Lidia Fijoł"|"aleja Zakątek 98
07-766 Słupsk"
"pani Marika Wiak"|"pl. Kraszewskiego 648
18-165 Szczecin"
"pani Marianna Łyjak"|"pl. Popiełuszki 59
21-116 Konin"
"Adam Stawczyk"|"pl. Wyspiańskiego 23
66-357 Czerwionka-Leszczyny"
"Dagmara Jeka"|"pl. Słowicza 63
29-263 Kalisz"
"Adrianna Wojtach"|"aleja Reja 994
83-551 Ostrowiec Świętokrzyski"
"Leon Wawrzynowicz"|"aleja Paderewskiego 338
05-772 Ostrołęka"
"Iwo Materek"|"al. Północna 846
66-636 Marki"
"Kamil Kocoł"|"aleja Korfantego 10
67-257 Ostrów Wielkopolski"
"pan Dariusz Hanc"|"plac Solidarności 73/27
93-252 Wieluń"
"pan Mateusz Radzio"|"plac Kołłątaja 80/19
55-898 Świebodzice"
"Arkadiusz Szeszko"|"plac Maczka 62
92-770 Nysa"
"Melania Młodzik"|"ulica Krakowska 633
93-167 Chojnice"
"Kacper Miara"|"ulica Rózana 638
79-693 Zambrów"
"Bianka Ciepłuch"|"pl. Makuszyńskiego 76/45
99-355 Jelenia Góra"
"Julita Minkiewicz"|"ul. Sarnia 39
32-489 Kętrzyn"
"Józef Szlaga"|"pl. Stycznia 836
12-230 Kraków"
"Marek Bobak"|"aleja Borowa 53/08
47-133 Bielsko-Biała"
"Kamil Korek"|"ul. Lisia 825
50-945 Białystok"
"Gaja Wydrych"|"ulica Kalinowa 75/27
71-179 Białogard"
"Maksymilian Starek"|"plac Wojska Polskiego 699
22-900 Zgierz"
"Roksana Kosela"|"ulica Klasztorna 19/80
50-514 Kraśnik"
"Paweł Kuza"|"ul. Wróblewskiego 34/88
01-491 Sochaczew"
"Sylwia Lorens"|"ul. Towarowa 17
77-597 Zgierz"
"Eryk Turoń"|"ulica Wałowa 79
23-519 Opole"
"pani Dorota Bzymek"|"pl. Kosynierów 48
89-955 Ruda Śląska"
"Hubert Kurpisz"|"plac Wyzwolenia 39/97
48-326 Ełk"
"Angelika Postawa"|"ul. Plater 779
56-091 Kędzierzyn-Koźle"
"Kamil Krężołek"|"al. Wiślana 95
99-246 Inowrocław"
"Anna Maria Staśko"|"aleja Baczyńskiego 402
37-993 Wyszków"
"Michał Sibiga"|"al. Sikorskiego 75/85
84-531 Jaworzno"
"pan Ignacy Hanus"|"ul. Korfantego 697
56-122 Łaziska Górne"
"Maurycy Skała"|"al. Głowackiego 231
39-095 Zambrów"
"Tola Saj"|"plac Tuwima 67
51-549 Pabianice"
"Marek Szram"|"aleja Wiatraczna 10
47-285 Tomaszów Mazowiecki"
"Krystian Wabik"|"aleja Młynarska 84
24-200 Bielsko-Biała"
"Sara Lica"|"al. Hutnicza 86
07-289 Tychy"
"pani Rozalia Gadzała"|"plac Władysława Jagiełły 62/10
53-006 Tomaszów Mazowiecki"
"Kamil Latko"|"plac Fredry 05
29-273 Szczecinek"
"Jeremi Krasa"|"al. Władysława Łokietka 539
59-649 Kutno"
"Błażej Hanus"|"pl. Rynek 16
33-601 Wrocław"
"Miłosz Kałwa"|"plac Kazimierza Wielkiego 41/73
10-853 Swarzędz"
"Krystyna Achtelik"|"al. Azaliowa 647
28-620 Płońsk"
"Aleks Muniak"|"aleja Zaułek 994
65-243 Tarnów"
"Kamila Bączkiewicz"|"ulica Słowicza 057
20-801 Sochaczew"
"Stanisław Bojdo"|"ul. Pszenna 496
95-339 Lubliniec"
"pan Leon Buszkiewicz"|"plac Plater 91/64
38-323 Pabianice"
"Hubert Ciepłuch"|"al. Konstytucji 3 Maja 62
23-932 Sanok"
"Kamil Małż"|"plac Kościuszki 48
34-339 Nysa"
"Jan Stąpor"|"pl. Andersa 23/84
81-278 Zakopane"
"pan Aleks Bek"|"plac Malczewskiego 802
34-935 Gdańsk"
"Lidia Witas"|"ulica Andersa 047
01-228 Żory"
"Kacper Bednarowicz"|"aleja Bolesława Chrobrego 32
31-323 Police"
"Eliza Hanzel"|"ulica Pałacowa 91/70
86-026 Zgorzelec"
"Michał Kośnik"|"plac Staszica 63/46
37-927 Bielawa"
"Rafał Reiter"|"ulica Partyzantów 20/60
51-752 Wrocław"
"Maksymilian Morawiak"|"al. Mickiewicza 911
81-053 Lublin"
"Hubert Lazarek"|"pl. Skłodowskiej-Curie 312
45-609 Częstochowa"
"Kamil Minta"|"plac Skargi 46
27-451 Tarnów"
"Gabriel Lalak"|"al. Szewska 89/26
28-676 Łódź"
"Nataniel Smykla"|"al. Chopina 33
06-441 Gdańsk"
"Eliza Kwarciak"|"plac Wyszyńskiego 14/85
45-480 Mińsk Mazowiecki"
"Kornelia Powałka"|"plac Skargi 283
13-634 Czerwionka-Leszczyny"
"pan Mikołaj Twardzik"|"pl. Kościuszki 68
46-171 Kościan"
"Adrianna Dubel"|"ulica Szafirowa 04
63-368 Racibórz"
"Anita Sołtysek"|"plac Tuwima 14/31
94-528 Bochnia"
"pan Leonard Romaniak"|"ulica Cisowa 94/85
83-849 Chojnice"
"Marcel Kucharzyk"|"pl. Słowackiego 08/63
14-431 Pszczyna"
"Kamil Miąsik"|"plac Krasickiego 33/82
63-934 Słupsk"
"Aleks Byra"|"plac Asnyka 22/64
50-985 Czechowice-Dziedzice"
"pani Anita Kuczak"|"ulica Fredry 725
10-306 Malbork"
"Kamil Waluk"|"pl. Bolesława Krzywoustego 356
88-158 Oświęcim"
"pan Łukasz Zadka"|"pl. Dąbrowskiej 98/07
77-880 Giżycko"
"Jakub Magryta"|"ul. Powstańców Śląskich 48
60-453 Nowa Ruda"
"Ewa Bluszcz"|"al. Wczasowa 96
01-905 Kościan"
"Liwia Trzpil"|"al. Kopernika 698
33-984 Koszalin"
"Dorota Kolendo"|"al. Floriana 25/92
45-092 Chorzów"
"Fabian Siwka"|"al. Grzybowa 013
26-347 Katowice"
"Kamil Preś"|"plac Maczka 01
73-253 Wałcz"
"Gaja Szczudło"|"ulica Reja 60/32
50-641 Skarżysko-Kamienna"
"Karol Bitner"|"pl. Grottgera 326
20-061 Warszawa"
"Anita Naumiuk"|"pl. Nałkowskiej 200
36-688 Żory"
"Oskar Poleszak"|"plac Kochanowskiego 050
18-315 Jaworzno"
"pan Albert Furga"|"pl. Daszyńskiego 97
71-653 Chorzów"
"Maciej Tyczka"|"al. Majowa 81/72
64-886 Łomża"
"pani Julita Chochół"|"ulica Rynek 686
09-468 Włocławek"
"pan Fryderyk Swaczyna"|"ul. Zaułek 48
12-335 Mielec"
"Cyprian Grotek"|"ul. Drzymały 61
59-543 Mińsk Mazowiecki"
"Kamil Schwarz"|"plac Sienkiewicza 04/67
60-004 Katowice"
"pani Roksana Armatys"|"pl. Makuszyńskiego 51/91
67-931 Żyrardów"
"Elżbieta Dorociak"|"plac Kazimierza Wielkiego 90/66
02-685 Kołobrzeg"
"pan Ksawery Rosołek"|"pl. Powstańców Śląskich 02/99
46-288 Częstochowa"
"Kornelia Jargiło"|"plac Sienkiewicza 758
21-184 Świdnik"
"Ksawery Dzierwa"|"ul. Sawickiej 36/78
62-332 Siemianowice Śląskie"
"Stefan Machowicz"|"aleja Kaszubska 588
01-397 Radomsko"
"Malwina Ornat"|"al. Skłodowskiej-Curie 46/73
22-705 Ostrowiec Świętokrzyski"
"Agnieszka Wiertel"|"pl. Ściegiennego 44
15-891 Legnica"
"pan Ksawery Bona"|"plac Słowackiego 82
26-119 Czerwionka-Leszczyny"
"Kamil Wojtera"|"pl. Stycznia 65/58
70-056 Piaseczno"
"Nikodem Błasik"|"ulica Wyzwolenia 67/52
78-380 Ostróda"
"Iwo Morek"|"al. Łąkowa 735
77-914 Katowice"
"Karina Bąkiewicz"|"ul. Daszyńskiego 07
70-861 Zambrów"
"Krystyna Macias"|"ul. Kreta 20
51-793 Koło"
"Alan Ryguła"|"aleja Słowicza 78
51-654 Sosnowiec"
"Przemysław Szymonik"|"pl. Wojska Polskiego 678
02-516 Olkusz"
"pani Sylwia Tolak"|"plac Broniewskiego 94
67-569 Legionowo"
"Dorota Bogumił"|"plac Grottgera 90
65-380 Puławy"
"Klara Pietryga"|"ul. Sikorskiego 72
92-749 Skarżysko-Kamienna"
"Kamila Buszko"|"aleja Staszica 03
99-160 Tomaszów Mazowiecki"
"Artur Wardzała"|"ulica Popiełuszki 74/75
66-190 Cieszyn"
"Konrad Kontny"|"ulica Narutowicza 84/86
54-148 Zambrów"
"Julian Miara"|"plac Poniatowskiego 162
96-868 Jelenia Góra"
"Rozalia Rzeszut"|"al. Wiejska 19/23
93-528 Gdynia"
"pan Marcin Głuszko"|"plac Wróblewskiego 737
79-998 Sandomierz"
"Stefan Ławniczek"|"ul. Owocowa 477
82-201 Piekary Śląskie"
"Przemysław Bartela"|"al. Podmiejska 698
46-354 Kraków"
"Nataniel Stochaj"|"pl. Sienkiewicza 76
90-581 Lębork"
"pani Aniela Kansy"|"al. Wrocławska 567
31-929 Zakopane"
"Kamila Cader"|"aleja Truskawkowa 44/72
04-834 Malbork"
"Maksymilian Łusiak"|"aleja Żwirki i Wigury 31
95-952 Kościerzyna"
"pani Urszula Warchał"|"plac Słowicza 618
68-619 Olkusz"
"Emil Jarmuła"|"pl. Głowackiego 18
06-060 Iława"
"Ksawery Gradek"|"pl. Nałkowskiej 352
13-234 Nowy Targ"
"pan Mikołaj Bluszcz"|"aleja Zaułek 07
34-892 Ruda Śląska"
"pan Bartek Kielan"|"plac Witosa 29/49
27-750 Radom"
"pani Malwina Niedbał"|"al. Tuwima 029
71-599 Tomaszów Mazowiecki"
