"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice" 
"Rafał Matla","ulica Jana Pawła II 287
96-551 Wałbrzych"
"Kamila Jędraszczyk","pl. Rynek 885
80-192 Jelenia Góra"
"Cyprian Krysta","pl. Miłosza 80/49
69-047 Turek"
"Leonard Szatko","al. Wyspiańskiego 68
08-107 Czerwionka-Leszczyny"
"Agnieszka Roter","pl. Kościuszki 703
82-461 Piekary Śląskie"
"Radosław Głuszko","pl. Reja 06
66-233 Ciechanów"
"Szymon Warzybok","ulica Kraszewskiego 99/98
67-221 Brodnica"
"Monika Galica","aleja Cegielniana 748
83-051 Myszków"
"Krzysztof Piszcz","ul. Stycznia 06/26
76-842 Świdnica"
"Grzegorz Kwapis","ul. Krasińskiego 96/13
56-758 Skierniewice"
"Sylwia Krüger","plac Szarych Szeregów 63/65
88-601 Zakopane"
"pani Dorota Boksa","aleja Chopina 228
31-697 Ostrowiec Świętokrzyski"
"Julianna Wika","aleja Drzymały 09/85
96-233 Zawiercie"
"Gaja Laskus","pl. Grottgera 042
59-972 Myszków"
"pan Mariusz Dawidczyk","aleja Kościuszki 92/41
76-155 Jawor"
"Aleks Ludwiniak","ulica Norwida 84/79
36-715 Tarnowskie Góry"
"pan Alex Noszczyk","aleja Daleka 40/26
77-098 Łaziska Górne"
"Monika Hinca","aleja Korczaka 39/85
87-755 Wałcz"
"pan Krystian Macias","al. Chełmońskiego 09
64-484 Kutno"
"Józef Dziewa","aleja Rumiankowa 872
11-459 Siemianowice Śląskie"
"Antoni Robaszkiewicz","plac Słowackiego 406
59-969 Żyrardów"
"Mikołaj Kuciak","aleja Konopnickiej 459
92-025 Białogard"
"Robert Sulich","plac Floriana 52
65-573 Łowicz"
"Olaf Kretek","pl. Bolesława Krzywoustego 09/23
21-551 Świętochłowice"
"pan Iwo Maciejewicz","ul. Sienkiewicza 593
35-643 Goleniów"
"Jan Koloch","al. Kołłątaja 62/78
29-528 Lublin"
"Oliwier Gogola","ul. Kamienna 13
30-064 Oleśnica"
"Monika Hołysz","aleja Gałczyńskiego 54/96
35-782 Świnoujście"
"Jeremi Ciarka","plac Hallera 30/27
22-792 Brzeg"
"pani Adrianna Szalast","plac Szarych Szeregów 700
60-659 Wałbrzych"
"Oskar Lesik","ulica Tartaczna 03
31-531 Racibórz"
"Nikodem Boduch","al. Wesoła 89
76-197 Radomsko"
"Tobiasz Pawliczak","ulica Rynek 258
20-758 Racibórz"
"pan Julian Smal","ulica Norwida 558
47-487 Wałbrzych"
"pan Dariusz Teper","ul. Żeglarska 66/14
13-226 Bełchatów"
"Przemysław Maron","aleja Jana 269
66-141 Żary"
"Alex Dyszkiewicz","plac Kosynierów 489
40-607 Piekary Śląskie"
"Monika Kielczyk","pl. Brzechwy 05
58-352 Środa Wielkopolska"
"pani Ada Sysło","al. Kruczkowskiego 478
76-693 Tomaszów Mazowiecki"
"Daniel Piątkiewicz","aleja Szarych Szeregów 66/28
94-039 Inowrocław"
"Nicole Chuchla","ul. Stawowa 780
96-360 Police"
"Cyprian Mitera","plac Piłsudskiego 82
73-824 Żyrardów"
"Julian Dzierwa","pl. Hallera 813
98-581 Ostrowiec Świętokrzyski"
"pani Aniela Wittbrodt","ulica Mazurska 206
47-397 Środa Wielkopolska"
"Damian Grygo","ulica Mickiewicza 139
07-426 Chojnice"
"Juliusz Muniak","pl. Traugutta 23
27-423 Kędzierzyn-Koźle"
"Szymon Klamka","ul. Torowa 661
08-807 Sochaczew"
"Monika Leszcz","ulica Handlowa 18
55-153 Śrem"
"Adrian Ludwiniak","ul. Maczka 94
33-953 Reda"
"Krzysztof Krzysztoszek","aleja Kruczkowskiego 80
98-986 Gniezno"
"Artur Graban","ul. Działkowa 773
81-778 Oświęcim"
"pani Anna Maria Więckiewicz","plac Paderewskiego 82
16-012 Czechowice-Dziedzice"
"Ignacy Andreasik","ul. Jana Sobieskiego 47
19-978 Częstochowa"
"pani Ewa Gołota","ulica Tysiąclecia 96
18-436 Swarzędz"
"Igor Bartłomiejczyk","plac Stefana Batorego 86/48
92-151 Łódź"
"Adam Zdobylak","ulica Sadowa 98/70
36-767 Ostrołęka"
"pan Dariusz Kretowicz","aleja Środkowa 86
52-558 Środa Wielkopolska"
"Monika Siemieniec","pl. Powstańców Śląskich 40/69
92-764 Biała Podlaska"
"pan Mikołaj Berus","pl. Wyzwolenia 971
70-302 Luboń"
"Ewa Świętoń","al. Orkana 42
36-510 Skarżysko-Kamienna"
"Karol Pastuszek","pl. Broniewskiego 38
97-281 Goleniów"
"Józef Gołek","plac Nałkowskiej 24
35-772 Poznań"
"Anna Maria Wowra","al. Wybickiego 33
01-016 Konin"
"Kamila Woronko","aleja Gdańska 34
38-638 Lubartów"
"pan Daniel Szczerbiak","ulica Truskawkowa 533
81-719 Rybnik"
"pan Ernest Zieniewicz","aleja Gajowa 42
56-983 Szczecinek"
"Rafał Dziełak","al. Robotnicza 66
09-422 Zgierz"
"Monika Smoter","pl. Tuwima 44/55
70-704 Starogard Gdański"
"pan Gustaw Krzywoń","ul. Wojciecha 798
65-238 Stargard Szczeciński"
"Ernest Szmajda","aleja Daleka 67
83-118 Piastów"
"Wojciech Zimniak","aleja Krokusowa 843
68-790 Jasło"
"pani Urszula Lament","pl. Miłosza 881
95-325 Olkusz"
"Eliza Jarmuła","aleja Matejki 029
78-895 Zduńska Wola"
"pan Wojciech Trybała","ulica Kaliska 90/71
54-531 Zgorzelec"
"pani Rozalia Młyńczyk","ulica Wyzwolenia 97/67
62-512 Szczecinek"
"Igor Wawrzynek","aleja Orla 96
13-681 Mikołów"
"Aurelia Mateusiak","pl. Wojciecha 907
49-754 Czerwionka-Leszczyny"
"Monika Szpara","pl. Kusocińskiego 020
99-131 Kędzierzyn-Koźle"
"pan Damian Mizia","aleja Traugutta 88/45
68-212 Białogard"
"pan Adam Miara","pl. Plater 11
27-826 Sandomierz"
"Ernest Zbrzeźniak","ul. Północna 57/01
10-756 Bielsko-Biała"
"Liwia Cywka","al. Maja 11/70
94-070 Olkusz"
"Sylwia Kośka","ulica Jesionowa 376
17-286 Iława"
"Juliusz Hanc","ulica Wczasowa 618
36-025 Pszczyna"
"Ignacy Wąsek","ulica Młyńska 80
35-169 Sieradz"
"Dariusz Frydel","plac Wyzwolenia 54
37-255 Żary"
"Aniela Czopik","al. Orla 979
58-775 Bełchatów"
"Natan Burchard","plac Powstańców Wielkopolskich 388
15-913 Bełchatów"
"pani Karina Stypuła","plac Piłsudskiego 63/44
66-775 Katowice"
"Maks Wawrzyczek","al. Kasprowicza 11/72
98-697 Tarnowskie Góry"
"Melania Zysk","ulica Stolarska 51
87-584 Mysłowice"
"Jacek Gwizdek","aleja Brzechwy 76
83-557 Kluczbork"
"Borys Rembacz","pl. Jana 80
72-028 Szczecinek"
"Marika Łuczyk","ulica Jesionowa 20
07-535 Ełk"
"Michał Gabryel","al. Paderewskiego 31
04-473 Świdnik"
"Robert Posmyk","plac Batalionów Chłopskich 69
65-938 Katowice"
"Jacek Żołądkiewicz","ulica Miła 71/59
13-431 Tarnowskie Góry"
"Natan Iwańczyk","ul. Chełmońskiego 25
42-636 Starachowice"
"Dominik Ekert","aleja Jagodowa 02
21-538 Polkowice"
"Antoni Andryszczyk","pl. Paderewskiego 60/45
98-240 Piekary Śląskie"
"pan Maurycy Cygal","pl. Korczaka 39
44-837 Wejherowo"
"Maksymilian Pyrz","plac Wyspiańskiego 50/96
97-685 Knurów"
"Elżbieta Bąbel","al. Brzozowa 455
27-927 Krotoszyn"
"Klara Plona","ul. Turkusowa 773
51-146 Płock"
"Bartek Andryszczyk","ul. Kasprowicza 69/51
58-504 Kalisz"
"Gaja Łuksza","ulica Północna 74
63-191 Ciechanów"
"Olgierd Sypek","pl. Grottgera 93
27-481 Ostrów Mazowiecka"
"Natan Jędrasiak","pl. Waryńskiego 33
18-643 Pruszków"
"pan Alan Ułanowicz","ul. Skłodowskiej-Curie 77
81-233 Będzin"
"Sylwia Tryc","aleja Krańcowa 73/22
76-398 Piotrków Trybunalski"
"pan Marcin Giersz","plac Wyspiańskiego 017
72-475 Ostrów Mazowiecka"
"pan Iwo Banachowicz","pl. Wieniawskiego 01
32-697 Koszalin"
"pan Eryk Jop","ulica Paderewskiego 025
52-057 Świdnik"
"Gaja Rychel","plac Matejki 121
68-046 Wągrowiec"
"pan Ryszard Zagrodnik","ul. Opolska 710
76-306 Puławy"
"Dominik Zadora","ulica Pszenna 52/17
79-490 Świecie"
"Kamil Franków","al. Strzelecka 69
22-987 Świętochłowice"
"Natan Krzyśków","al. Powstańców Wielkopolskich 27
25-377 Chrzanów"
"Liwia Orzeszek","aleja Fiołkowa 822
63-080 Kutno"
"Cezary Maron","pl. Nałkowskiej 24/06
87-414 Reda"
"Eryk Bors","plac Sienkiewicza 087
51-173 Ciechanów"
"pani Elżbieta Dębniak","ul. Kopernika 93
67-761 Kwidzyn"
"Maksymilian Bohdanowicz","aleja Korczaka 73
50-473 Bydgoszcz"
"Dagmara Chmara","ulica Władysława Jagiełły 74
48-378 Jasło"
"Dominik Witkowicz","al. Mała 489
69-885 Grudziądz"
"Eryk Bisaga","aleja Azaliowa 93
78-843 Śrem"
"Angelika Czerniec","pl. Sucharskiego 82
38-879 Mińsk Mazowiecki"
"Natan Prokopczyk","pl. Sawickiej 19/29
48-869 Tczew"
"Tomasz Małys","ul. Jodłowa 89/62
62-992 Toruń"
"Paweł Bejnarowicz","ulica Matejki 287
04-739 Oświęcim"
"Stanisław Staciwa","al. Wierzbowa 11/60
07-476 Wrocław"
"pani Ida Haremza","ulica Broniewskiego 90/91
88-677 Kłodzko"
"Karol Mateusiak","al. Miodowa 48
67-896 Kołobrzeg"
"Maks Chojak","aleja Wrocławska 10/85
31-519 Radomsko"
"Igor Bak","pl. Makuszyńskiego 44/22
73-888 Bolesławiec"
"pani Sandra Kansy","ul. Wieniawskiego 522
22-801 Ostrów Mazowiecka"
"pani Sonia Wożniak","ulica Moniuszki 15
02-095 Tczew"
"Natan Radko","al. Plater 356
72-147 Zawiercie"
"Dariusz Gorgol","pl. Korczaka 055
46-379 Świdnica"
"Cyprian Rajczyk","ulica Andersa 73/45
37-265 Piotrków Trybunalski"
"Ksawery Bulanda","plac Piłsudskiego 03/89
58-054 Zielona Góra"
"pani Karina Cyganik","aleja Długosza 340
02-848 Nowy Sącz"
"pani Malwina Tylek","ulica Orzeszkowej 95
30-214 Zgierz"
"Marianna Cukier","plac Konarskiego 592
81-480 Swarzędz"
"Michał Nitkiewicz","plac Kilińskiego 942
51-686 Brzeg"
"Gaja Maciejuk","plac Świerczewskiego 37/39
42-951 Tomaszów Mazowiecki"
"Tymoteusz Łaszcz","plac Grottgera 46/03
35-422 Radomsko"
"Natan Witoń","pl. Wyspiańskiego 25
85-071 Gniezno"
"Fryderyk Linkiewicz","ulica Leśna 59/58
19-474 Włocławek"
"pan Oliwier Schwarz","al. Willowa 90/35
49-131 Augustów"
"Sara Kozica","aleja Gołębia 302
37-403 Ruda Śląska"
"pani Agnieszka Rutowicz","ul. Zachodnia 575
01-902 Oleśnica"
"Maksymilian Łasica","plac Niepodległości 954
29-158 Gdańsk"
"pan Leonard Honkisz","pl. Hallera 324
01-357 Żywiec"
"Grzegorz Kwasek","ul. Korfantego 48
45-924 Iława"
"Gustaw Koziarz","aleja Tysiąclecia 36/35
69-659 Mława"
"Rozalia Wujec","pl. Bolesława Krzywoustego 656
61-337 Świecie"
"Nataniel Goliszek","ulica Okulickiego 22/49
15-140 Piotrków Trybunalski"
"Sebastian Ciapa","aleja Sucharskiego 70/54
46-477 Olsztyn"
"Eliza Kukuczka","pl. Norwida 80
33-052 Giżycko"
"pani Agnieszka Nowotka","ul. Reja 02/34
74-760 Łowicz"
"pan Krystian Świtaj","ul. Olchowa 735
64-425 Łomża"
"pan Mieszko Pinda","ul. Żwirowa 93
59-444 Piekary Śląskie"
"Damian Kosno","aleja Listopada 539
25-448 Sieradz"
"Dawid Pacyga","ul. Pomorska 52
31-531 Kościan"
"Kornelia Liedtke","ulica Szewska 731
89-505 Nowy Targ"
"pan Józef Kroll","aleja Dąbrowskiej 03/24
13-952 Wodzisław Śląski"
"Nataniel Hasiak","ul. Cisowa 55
81-996 Warszawa"
"Borys Matura","ulica Wojciecha 82
32-542 Kościan"
"Robert Prokurat","ulica Solidarności 63
53-830 Sosnowiec"
"Bianka Trybała","al. Wróblewskiego 15
61-192 Radomsko"
"Maurycy Klejna","ul. Drzymały 93
94-239 Katowice"
"pani Lidia Gill","ul. Słowicza 81/10
73-155 Białogard"
"Bruno Kudra","ulica Szarych Szeregów 863
44-982 Częstochowa"
"Cezary Indyk","aleja Jana Pawła II 72
60-205 Ząbki"
"Igor Smorąg","pl. Czarnieckiego 63/90
61-907 Kielce"
"Jerzy Grygorcewicz","plac Jana III Sobieskiego 44/85
76-467 Głogów"
"Nataniel Hołysz","al. Kochanowskiego 532
54-342 Kutno"
"Robert Moj","ul. Dąbrowskiej 118
02-274 Świętochłowice"
"pan Błażej Feliniak","plac Maja 67/07
03-633 Nowy Targ"
"Miłosz Różak","aleja Kilińskiego 43
98-664 Łódź"
"Marcelina Smykla","ulica Krasickiego 53/17
12-677 Ruda Śląska"
"Krzysztof Bieniak","pl. Chełmońskiego 66
33-437 Przemyśl"
"Klara Walocha","aleja Powstańców 576
59-458 Mikołów"
"Józef Hołysz","al. Wiatraczna 56/65
47-587 Pabianice"
"pan Kajetan Kulma","pl. Norwida 746
14-142 Wieluń"
"Kaja Karaśkiewicz","ulica Makuszyńskiego 343
72-885 Pszczyna"
"Nataniel Litewka","aleja Bursztynowa 71
47-526 Bełchatów"
"Julianna Siwczak","plac Staffa 142
67-576 Olkusz"
"Eryk Manista","al. Jeziorna 039
86-832 Myszków"
"pan Kacper Pilipczuk","ulica Pogodna 68
99-054 Środa Wielkopolska"
"pani Sara Letkiewicz","ulica Zielna 41
58-757 Żagań"
"Liwia Walencik","ulica Wojciecha 781
49-186 Ostrołęka"
"Ignacy Trepka","pl. Fredry 351
10-851 Nowa Sól"
"Alan Stuglik","plac Andersa 391
62-304 Kraśnik"
"pan Nataniel Snoch","ul. Dworcowa 56/42
40-539 Jasło"
"pani Natasza Bieszke","ulica Partyzantów 41/11
56-708 Kościerzyna"
"Nataniel Litwińczuk","pl. Maczka 73/85
53-635 Gniezno"
"pani Malwina Staniewicz","ul. Jagiellońska 23/94
65-941 Jelenia Góra"
"Natasza Kunc","plac Rynek 87
55-162 Gorlice"
"pan Tymoteusz Przewoźnik","aleja Andersa 87
32-966 Tomaszów Mazowiecki"
"pan Marek Ekert","pl. Kołłątaja 598
23-192 Racibórz"
"Tymoteusz Jop","plac Korfantego 88/44
32-663 Siemianowice Śląskie"
"Mateusz Stroka","al. Urocza 90/34
13-077 Ostrów Wielkopolski"
"pani Sara Pogorzelec","ul. Rajska 47/37
79-872 Pszczyna"
"Ignacy Kut","pl. Słowicza 76
77-124 Iława"
"Daniel Turlej","plac Reja 30/37
40-227 Katowice"
"Nataniel Nagel","pl. Kruczkowskiego 93/38
49-966 Gniezno"
"Dagmara Plewnia","ul. Wróblewskiego 22/15
25-022 Giżycko"
"Gustaw Kurant","pl. Pułaskiego 63
04-262 Wałcz"
"pan Piotr Hus","plac Niepodległości 74
12-261 Ełk"
"Fryderyk Kurcz","pl. Słowicza 478
11-890 Koło"
"pani Karina Cyroń","aleja Jesienna 25/11
19-912 Kłodzko"
"Ryszard Hadam","ulica Młyńska 43
02-524 Sieradz"
"Klara Kuffel","al. Sarnia 092
74-368 Police"
"Konstanty Szłapa","plac Konarskiego 67
21-331 Biała Podlaska"
"pan Dariusz Kozień","ul. Lubelska 11/71
67-580 Świętochłowice"
"Nataniel Piotrowiak","pl. Chopina 82/51
73-836 Piaseczno"
"pan Cezary Wawrzynek","ul. Kasprowicza 82
15-193 Piaseczno"
"Tymon Wiaderek","ulica Słowianska 57/36
66-816 Jarosław"
"Piotr Wojtaszak","plac Słowicza 53/43
83-431 Ciechanów"
"Adrian Trzcionka","al. Miłosza 49/91
11-661 Gniezno"
"Natan Jachimczyk","plac Wróblewskiego 169
09-830 Skawina"
"Marcin Jankowicz","plac Solidarności 136
72-240 Skarżysko-Kamienna"
"Adrianna Rezler","pl. Kossaka 521
85-106 Żory"
"pani Kalina Bartocha","plac Władysława Jagiełły 41
35-811 Kołobrzeg"
"Tomasz Feliksiak","ulica Malczewskiego 67
23-253 Toruń"
"Nataniel Radzewicz","ulica Leśna 47/76
46-481 Tarnobrzeg"
"pani Rozalia Mycek","ul. Borowa 88/74
49-453 Legnica"
"pan Karol Pawlos","plac Korfantego 54/71
60-063 Białogard"
"Leon Mroczko","aleja Maja 700
71-419 Warszawa"
"pan Jan Taczała","ul. Jadwigi 97
78-623 Jasło"
"Cezary Hornik","al. Kopernika 561
40-137 Ostrów Mazowiecka"
"Aurelia Wołkowicz","ul. Żwirki i Wigury 47/24
90-654 Jelenia Góra"
"Michał Sojda","al. Kalinowa 31
87-567 Tarnobrzeg"
"Borys Goworek","ul. Plater 02/84
07-109 Elbląg"
"Michał Ogłaza","ul. Poniatowskiego 209
64-884 Sandomierz"
"Nataniel Rychel","al. Księżycowa 173
37-813 Środa Wielkopolska"
"Stefan Witkowicz","pl. Stefana Batorego 91
54-557 Piotrków Trybunalski"
"Kalina Gamoń","ul. Słoneczna 98
86-422 Czeladź"
"Kacper Wajdzik","pl. Orzeszkowej 465
67-197 Knurów"
"Ernest Deptuch","aleja Górna 51
74-987 Knurów"
"Monika Naglik","ulica Stefana Batorego 356
25-381 Zduńska Wola"
"Albert Kolarczyk","pl. Witosa 930
65-295 Mława"
"Jan Marosz","ul. Kosynierów 98/27
54-565 Mława"
"Kalina Żal","ul. Stefana Batorego 114
98-678 Zambrów"
"pan Łukasz Mazanek","pl. Czarnieckiego 18/60
91-688 Mysłowice"
"Nataniel Surdel","ulica Władysława Jagiełły 59
90-067 Piła"
"Melania Beker","ul. Bankowa 97
05-831 Bielawa"
"Gustaw Sieg","plac Krasickiego 15/62
68-910 Mińsk Mazowiecki"
"Mariusz Macha","aleja Grottgera 04/26
77-051 Kalisz"
"Ada Kaszkowiak","ulica Kochanowskiego 90/97
82-820 Oświęcim"
"Adrian Mordal","plac Armii Krajowej 06
28-788 Bielawa"
"pan Ryszard Szóstak","aleja Podleśna 51/08
72-084 Rybnik"
"Julianna Szajek","ulica Kossaka 050
27-903 Białogard"
"Agnieszka Fac","aleja Długa 23
58-974 Radomsko"
"Józef Kapciak","aleja Kosynierów 62/44
07-441 Rzeszów"
"Nataniel Łaciak","ulica Kusocińskiego 82
79-611 Pruszków"
"Grzegorz Bajko","pl. Wojciecha 70/13
76-764 Krosno"
"Kajetan Czupryna","ul. Wiązowa 54
75-016 Reda"
"Róża Cherek","al. Rejtana 33/88
20-490 Koło"
"Maksymilian Oleszczak","ulica Reja 252
48-078 Żory"
"pani Lidia Dytko","aleja Wierzbowa 062
96-726 Zambrów"
"pani Nicole Duniec","pl. Jana Sobieskiego 10/57
36-317 Ostrołęka"
"Ewelina Mijas","al. Władysława Łokietka 269
31-675 Czeladź"
"Ksawery Frelek","pl. Wyspiańskiego 52
54-287 Lębork"
"pani Karina Obst","aleja Jastrzębia 556
03-271 Jastrzębie-Zdrój"
"Nataniel Żbik","ul. Długosza 095
08-609 Toruń"
"pani Roksana Łapaj","ulica Turkusowa 62/82
73-500 Mysłowice"
"Paweł Lesisz","plac Jana Sobieskiego 739
27-415 Piekary Śląskie"
"Dominik Bulanda","aleja Rajska 70/14
88-984 Dzierżoniów"
"Cezary Stanisławek","aleja Stolarska 82/67
17-619 Gliwice"
"Olgierd Pietrak","aleja Gałczyńskiego 11
56-913 Bartoszyce"
"pani Anita Stempniak","plac Waryńskiego 98/25
18-832 Zielona Góra"
"Marek Kontny","ul. Spokojna 729
92-449 Łuków"
"Sebastian Dywan","ul. Brzechwy 648
20-278 Konin"
"Bruno Drabczyk","ulica Makuszyńskiego 733
83-766 Radomsko"
"Natasza Bartoszak","ul. Daszyńskiego 50
50-181 Świdnica"
"Adam Wenda","ul. Spółdzielcza 18
48-761 Jasło"
"Maksymilian Strycharz","plac Wojska Polskiego 63/26
43-898 Olsztyn"
"Janina Cholewka","plac Wybickiego 75
44-667 Grudziądz"
"Norbert Zagożdżon","aleja Cicha 795
07-312 Świdnik"
"Apolonia Fiołek","ul. Paderewskiego 13/50
86-473 Chojnice"
"Olgierd Lichoń","plac Skargi 12
77-278 Starachowice"
"Tymon Sadlak","pl. Kościuszki 52
32-442 Mielec"
"Tobiasz Dziewit","plac Grottgera 279
14-078 Olkusz"
"Oskar Kowalak","ul. Sawickiej 610
58-590 Kędzierzyn-Koźle"
"Natasza Bicz","plac Gałczyńskiego 32/95
28-870 Myszków"
"Józef Słonka","aleja Grottgera 63
74-917 Świdnica"
"Piotr Trzop","al. Wieniawskiego 45
78-585 Piastów"
"Łukasz Siwczak","aleja Słowicza 07/59
45-032 Chorzów"
"Igor Lazarek","al. Długosza 67/25
36-193 Kościan"
"Róża Stanisławczyk","ul. Reja 989
87-071 Piaseczno"
"pani Ewa Pera","plac Kruczkowskiego 952
83-857 Jaworzno"
"pan Arkadiusz Gajcy","plac Chopina 79
17-864 Biała Podlaska"
"Miłosz Zbrzeźniak","ul. Kossaka 923
45-831 Białystok"
"Adam Taczała","pl. Staffa 69/80
81-943 Siemianowice Śląskie"
"Natasza Bors","al. Boczna 918
02-454 Sanok"
"pan Grzegorz Działak","al. Harcerska 90
16-373 Marki"
"pan Kazimierz Szabla","al. Dąbrowskiej 40
64-649 Marki"
"Marcel Kryza","aleja Krucza 85/25
24-634 Ostrów Mazowiecka"
"Mieszko Opyrchał","pl. Armii Krajowej 14/95
67-727 Świebodzice"
"Ksawery Dłubak","ulica Jaśminowa 950
76-387 Tczew"
"Robert Kostek","aleja Listopada 65/49
90-975 Wodzisław Śląski"
"Olga Prażuch","pl. Wojciecha 00
63-402 Biała Podlaska"
"Elżbieta Kołton","aleja Żabia 14/11
67-333 Tychy"
"Maurycy Sądej","plac Tuwima 27/77
73-120 Czechowice-Dziedzice"
"Natasza Cichowlas","ulica Andersa 681
18-998 Skarżysko-Kamienna"
"pani Blanka Bojarczuk","aleja Szymanowskiego 527
28-906 Ząbki"
"pani Krystyna Kołton","plac Chełmońskiego 065
08-865 Radom"
"Konstanty Tałaj","ulica Wybickiego 51/02
81-181 Puławy"
"Tymon Piechura","aleja Ogrodowa 86
43-717 Kołobrzeg"
"Adrianna Dankiewicz","ul. Szarych Szeregów 586
04-556 Białystok"
"Nicole Lepak","plac Staffa 35
39-001 Konin"
"pani Inga Makurat","al. Bolesława Krzywoustego 23/85
60-926 Ostrów Wielkopolski"
"Tymon Sieg","al. Narutowicza 720
76-959 Świebodzice"
"Dawid Smyl","aleja Borowa 901
21-875 Mysłowice"
"Natasza Denkiewicz","pl. Grottgera 22/57
01-111 Ostrów Wielkopolski"
"Ewa Kwarciak","aleja Krasickiego 19
32-277 Tarnowskie Góry"
"Błażej Langa","ulica Sosnowa 952
03-050 Wodzisław Śląski"
"Liwia Berg","ulica Broniewskiego 60/62
06-978 Kędzierzyn-Koźle"
"Nataniel Rejniak","aleja Perłowa 191
52-383 Ciechanów"
"pani Anastazja Korta","al. Lawendowa 780
59-968 Mława"
"Witold Glaza","ulica Cmentarna 03/56
60-191 Sanok"
"Dominik Klemens","plac Kossaka 973
16-948 Puławy"
"Artur Kubina","aleja Bema 236
47-944 Krotoszyn"
"Kornelia Barej","al. Targowa 07/42
85-727 Zgierz"
"Natasza Frelich","ul. Szkolna 26/04
41-922 Bielawa"
"Roksana Nurek","al. Skargi 068
07-782 Brodnica"
"Agnieszka Smoczyk","plac Kołłątaja 99/36
58-240 Legionowo"
"Liwia Przewoźnik","ul. Jana 123
64-890 Czerwionka-Leszczyny"
"Tobiasz Rychel","ul. Orzechowa 19/12
99-141 Brodnica"
"Łukasz Maciejko","al. Olchowa 53
40-313 Lębork"
"pan Szymon Golenia","al. Sucharskiego 225
95-790 Gniezno"
"Iwo Fidler","ul. Słowicza 92
12-424 Szczecin"
"pan Marcin Dmoch","ulica Willowa 116
26-508 Nowy Targ"
"pan Robert Karpik","plac Paderewskiego 83
56-795 Ostrowiec Świętokrzyski"
"Natasza Molga","ul. Wieniawskiego 42/58
02-840 Bolesławiec"
"Kaja Andrzejuk","pl. Kraszewskiego 735
23-761 Grodzisk Mazowiecki"
"pani Adrianna Rejmak","pl. Prusa 647
91-361 Myszków"
"pani Karina Dworczak","al. Floriana 80
29-844 Sosnowiec"
"Norbert Pych","al. Jarzębinowa 78
12-223 Żary"
"pan Jeremi Polaszek","ul. Żeglarska 696
83-711 Częstochowa"
"Szymon Materek","pl. Kusocińskiego 14/44
18-284 Kraśnik"
"pani Liwia Kozdrój","al. Drzymały 47
96-886 Zakopane"
"Hubert Żok","aleja Krasińskiego 98
41-393 Koło"
"pani Elżbieta Czuryło","aleja Hallera 567
15-069 Jarosław"
"Natasza Prasek","ulica Krasickiego 73/16
98-079 Wałbrzych"
"Adam Damps","al. Malczewskiego 21/62
78-288 Płońsk"
"pan Ignacy Rzeźniczak","plac Poniatowskiego 88/59
46-371 Bielsko-Biała"
"pani Gaja Waszczyk","plac Wolności 93
24-573 Radomsko"
"pan Borys Domian","plac Sawickiej 52
52-150 Wyszków"
"pani Blanka Fleszar","ulica Tulipanowa 17
17-371 Wołomin"
"Aleksander Zięciak","al. Konstytucji 3 Maja 92/08
10-591 Wrocław"
"Roksana Garczarek","al. Łabędzia 28
53-237 Warszawa"
"Alex Syroka","pl. Daszyńskiego 898
38-222 Szczecinek"
"pani Angelika Gałach","pl. Wyszyńskiego 58/64
09-914 Płock"
"Natasza Roskosz","al. Sikorskiego 53
59-441 Brzeg"
"Gabriel Gasek","plac Chopina 277
40-558 Gorzów Wielkopolski"
"Anna Maria Hein","ul. Czereśniowa 410
40-287 Chojnice"
"pani Ida Staręga","al. Rózana 320
21-140 Tychy"
"Olgierd Maciejewicz","pl. Długosza 40
37-737 Żory"
"Cyprian Sobel","al. Myśliwska 19
27-727 Szczytno"
"Aleksander Ceran","ul. Mazurska 728
27-356 Stargard Szczeciński"
"pani Kornelia Zdziech","pl. Wybickiego 92
24-771 Żyrardów"
"Kamil Szuta","al. Kossaka 00/57
97-109 Zambrów"
"Olaf Merda","ulica Partyzantów 61
21-538 Nowy Sącz"
"Natasza Skupin","ul. Chopina 14/55
25-784 Bełchatów"
"Natasza Gągała","ulica Witosa 892
07-088 Wałcz"
"Jan Szulim","ul. Grottgera 543
38-080 Jastrzębie-Zdrój"
"Szymon Posłuszna","al. Robotnicza 070
32-870 Świebodzice"
"pan Dawid Męcik","aleja Okrężna 278
08-154 Żyrardów"
"Stanisław Krzempek","pl. Daszyńskiego 803
28-142 Jastrzębie-Zdrój"
"pan Olgierd Burzec","plac Makuszyńskiego 950
82-657 Piła"
"pan Mikołaj Rurarz","ul. Bolesława Chrobrego 65
67-204 Kościan"
"Hubert Szłapka","plac Mieszka I 571
21-605 Poznań"
"Olgierd Gzyl","al. Popiełuszki 87
53-176 Skierniewice"
"Nela Domińczak","aleja Zakątek 58/23
74-083 Zambrów"
"Cyprian Podgórna","al. Klasztorna 07
46-561 Bielsk Podlaski"
"pan Olaf Pazera","al. Majowa 197
31-483 Brodnica"
"Rozalia Pioch","al. Rejtana 33
64-020 Świdnica"
"pani Marianna Lang","ulica Rybacka 258
82-290 Płońsk"
"pani Marika Molga","ulica Turkusowa 68/38
14-036 Łowicz"
"pan Kajetan Cyrulik","aleja Ciasna 56
48-359 Tarnowskie Góry"
"Miłosz Paszkowiak","plac Bolesława Chrobrego 781
88-017 Nysa"
