"Abdul Roos"	"Meyerstrasse 916
8900 Val-de-Travers" 
"Dafina Bosshard"	"Furrerstrasse 2
4581 Vevey"
"Besart Müller-Käser"	"Widmerstrasse 32
4161 Sitten"
"Mirlinda Bachmann"	"Reystrasse 11
9428 Meilen"
"Arif Hess"	"Jennistrasse 58
2349 Naters"
"Eleonore Wirth"	"Bucherstrasse 93
1074 Baar"
"Jeremy Stutz"	"Stöcklistrasse 7
9285 Zofingen"
"Prof. Karen Lang"	"Favrestrasse 88
1769 Genf"
"Corina Baumann"	"Fischerstrasse 6
5238 Steffisburg"
"Gzim Hug"	"Hofstetterstrasse 223
2888 Suhr"
"Magali Stöckli"	"Gutstrasse 94
2481 Zürich"
"Umberto Bader"	"Hoferstrasse 20
8740 Küssnacht"
"Roberta Fankhauser"	"Schlatterstrasse 5
8038 Romanshorn"
"Andri Ammann"	"Knechtstrasse 11
6370 Neuenburg"
"Horst Koch"	"Staufferstrasse 73
7604 Aesch"
"Francisco Felder"	"Hafnerstrasse 50
6432 Muttenz"
"Valentino Bär"	"Stadelmannstrasse 16
9113 Richterswil"
"Manuel Gross"	"Leustrasse 21
4964 Männedorf"
"Prof. Melisa Steffen"	"Hoffmannstrasse 664
2552 Spreitenbach"
"Simone Küng"	"Wirthstrasse 36
7973 Illnau-Effretikon"
"Magali Zollinger"	"Haasstrasse 33
5667 Naters"
"Ghislaine Marti"	"Baderstrasse 26
6804 Suhr"
"Fanny Brunner"	"Steigerstrasse 57
4886 Winterthur"
"Massimiliano Keller"	"Geigerstrasse 452
9954 Wädenswil"
"Roberto Meyer"	"Hessstrasse 29
5589 Delsberg"
"Altin Steiner"	"Itenstrasse 201
2557 Neuhausen"
"Dr. Ricardo Käser"	"Michelstrasse 47
9655 Baden"
"Jean Tobler-Sidler"	"Meyerstrasse 44
7087 Aigle"
"Raquel Wolf Kuhn"	"Zürcherstrasse 30
4855 Grenchen"
"Natasa Michel"	"Jennistrasse 11
6324 Reinach"
"Magda Schürch"	"Maierstrasse 2
5480 Pfäffikon"
"Ella Thommen Bachmann"	"Leustrasse 2
5997 Luzern"
"Rosmarie Schmid Lanz"	"Blumstrasse 23
5060 Aarau"
"Murielle Scheidegger"	"Favrestrasse 27
2004 Le Grand-Saconnex"
"Chloé Koch"	"Schmidstrasse 43
2831 Arth"
"Jovana Scherrer"	"Schmidstrasse 928
7564 Schlieren"
"Anne-Lise Koch"	"Müllerstrasse 76
3653 Olten"
"Ginette Eugster"	"Gfellerstrasse 113
3067 Horw"
"Damjan Steinmann"	"Gutstrasse 8
1781 Frauenfeld"
"Prisca Wagner"	"Maierstrasse 35
1907 Romanshorn"
"Mahmut Kaufmann"	"Mayerstrasse 928
2730 Küsnacht"
"Clarissa Fankhauser"	"Hofstetterstrasse 313
4785 St. Gallen"
"Rina Studer"	"Grafstrasse 9
3794 Zofingen"
"Florim Frey"	"Ernststrasse 3
3899 Oberwil"
"Gennaro Bühler"	"Schaubstrasse 53
9386 Basel"
"Elvis Stucki"	"Amreinstrasse 318
3299 Mendrisio"
"Jael Graf"	"Bergerstrasse 51
6772 Freiburg"
"Dafina Steiner"	"Hirtstrasse 7
1073 Biel/Bienne"
"Johann Blum"	"Hofstetterstrasse 7
9937 Glarus"
"Maja Spörri-Haas"	"Hoffmannstrasse 70
3803 Zug"
"Mahmut Tanner-Mayer"	"Brunnerstrasse 60
3737 Weinfelden"
"Dr. Lejla Huber"	"Hauserstrasse 64
3716 Baden"
"Jean-Claude Studer"	"Bauerstrasse 675
8487 Lancy"
"Shpresa Stauffer"	"Grobstrasse 2
9358 Renens"
"Andrew Roos"	"Mäderstrasse 48
6893 Adliswil"
"Naser Häfliger-Braun"	"Betschartstrasse 9
5120 Arth"
"Victoria Spörri"	"Flückigerstrasse 159
4485 Neuhausen"
"Yasmine Schär"	"Hofmannstrasse 32
5736 Dübendorf"
"Ewa Spörri"	"Islerstrasse 7
2143 Val-de-Travers"
"Prof. Violeta Merz"	"Furrerstrasse 68
8306 Küsnacht"
"Malea Sutter Martin"	"Schärerstrasse 8
9010 Worb"
"Vincenza Meier"	"Fischerstrasse 58
4498 Pfäffikon"
"Prof. Erion Kern"	"Schwarzstrasse 3
1735 Riehen"
"Viktoria Eugster Spörri"	"Lanzstrasse 57
6351 Zofingen"
"Margit Bosshard"	"Lanzstrasse 87
4569 Lutry"
"Petr Erni"	"Staubstrasse 677
9607 Ebikon"
"Tara Weber"	"Brunstrasse 75
9646 Männedorf"
"Gabriele Hartmann"	"Hermannstrasse 14
2738 Davos"
"Marco Probst"	"Wengerstrasse 48
3803 Kriens"
"Enya Keller"	"Schenkstrasse 9
3706 Wädenswil"
"Malgorzata Schmid"	"Kägistrasse 69
9738 Schaffhausen"
"Prof. Fatmire Schwarz"	"Moserstrasse 15
2110 Lancy"
"Dieter Schürch"	"Wagnerstrasse 2
7318 Burgdorf"
"Helga Bühlmann"	"Zimmermannstrasse 47
7525 Muri"
"Marthe Fehr"	"Freystrasse 22
5762 Mendrisio"
"Dr. Serena Eugster"	"Zimmermannstrasse 203
8621 Münchenstein"
"Bernadette Stutz"	"Brunnerstrasse 1
1581 Zollikon"
"Helene Hermann Hoffmann"	"Hoferstrasse 6
4465 Richterswil"
"Lotte Meier-Schneider"	"Sidlerstrasse 87
3781 Männedorf"
"Marlise Zehnder"	"Schaubstrasse 86
9783 Yverdon-les-Bains"
"Malik Schneider-Frick"	"Walderstrasse 54
2400 Pratteln"
"Adelheid Benz-Schmid"	"Grossstrasse 8
1298 Männedorf"
"Sebastiano Spörri"	"Mettlerstrasse 35
4072 Wil"
"Dr. Josua Kern"	"Eggerstrasse 73
7534 Horgen"
"Danny Wyss"	"Schürchstrasse 38
6953 Nyon"
"Mehmet Weber"	"Wirzstrasse 24
9737 Lenzburg"
"Andreia Bader"	"Huberstrasse 2
9819 Zofingen"
"Dr. Antonella Stocker"	"Furrerstrasse 202
8558 Solothurn"
"Kilian Erni"	"Rüeggstrasse 3
4431 Lancy"
"Dr. Faruk Meyer"	"Zieglerstrasse 85
1533 Thônex"
"Malika Lustenberger"	"Studerstrasse 79
2947 Suhr"
"Josefa Brun Knecht"	"Weibelstrasse 5
9463 Villars-sur-Glâne"
"Angela Blum"	"Peterstrasse 17
1791 Einsiedeln"
"Gani Schmid"	"Ernststrasse 575
4841 Pfäffikon"
"Muriel Hess-Wehrli"	"Haasstrasse 81
6672 Herisau"
"Aron Winkler"	"Albrechtstrasse 61
5400 Frauenfeld"
"Dr. Filomena Stauffer"	"Hirtstrasse 94
1365 Muri"
"Natasha Giger"	"Hermannstrasse 46
5089 Flawil"
"Gerardo Schürch"	"Schäferstrasse 30
2908 Volketswil"
"Maeva Marti"	"Schmidtstrasse 83
8438 Wald"
"Malika Schwab-Frey"	"Bosshardstrasse 51
5823 Freiburg"
"Lotte Ammann"	"Bättigstrasse 181
3082 Wallisellen"
"Aldo Seiler"	"Staubstrasse 95
8966 Vevey"
"Mirjana Frei Weber"	"Itenstrasse 81
3367 Neuhausen"
"Hanife Lang Maier"	"Jäggistrasse 86
4198 Thalwil"
"Paola Bianchi"	"Flückigerstrasse 68
7870 Burgdorf"
"Gerold Giger"	"Ferraristrasse 6
1466 Birsfelden"
"Jean-Marc Zehnder-Ernst"	"Meilistrasse 8
7471 Arth"
"Paul Zbinden"	"Gigerstrasse 2
9722 Brugg"
"Claudio Bühlmann-Wenger"	"Lüscherstrasse 50
9688 Horgen"
"Malin Bianchi"	"Stöcklistrasse 46
1397 Wald"
"Josefina Hartmann"	"Zehnderstrasse 845
3485 Köniz"
"Déborah Hasler"	"Stuckistrasse 56
4379 Wald"
"Ina Käser-Zbinden"	"Roosstrasse 66
4598 Risch"
"Dragana Lang-Wyss"	"Hartmannstrasse 26
7508 Mendrisio"
"Prof. Pablo Stutz"	"Baumgartnerstrasse 34
4647 Siders"
"Therese Bättig Kern"	"Wengerstrasse 47
9748 Aesch"
"Othmar Schenk"	"Steffenstrasse 846
2111 Crans-Montana"
"Alexis Meyer"	"Zimmermannstrasse 79
1987 Küssnacht"
"Aurore Fuchs"	"Eichenbergerstrasse 97
5385 Reinach"
"Manon Wolf-Steinmann"	"Lüscherstrasse 61
7931 Prilly"
"Fabiana Herzog Bader"	"Hürlimannstrasse 7
2590 Biel/Bienne"
"Dr. Angelica Eichenberger"	"Eggerstrasse 211
1696 Herisau"
"Vreneli Kaiser"	"Hotzstrasse 87
1753 Baar"
"Enver Bättig"	"Müllerstrasse 9
6673 Muttenz"
"Stephan Kuhn"	"Aebistrasse 9
4847 Bernex"
"Marinette Gut"	"Schmidtstrasse 83
2086 Zürich"
"Domenic Gasser-Schaub"	"Hessstrasse 16
4437 Möhlin"
"Lilly Lüthi"	"Hafnerstrasse 261
4123 Basel"
"Daniela Hunziker"	"Schäferstrasse 4
2350 Einsiedeln"
"Manuela Mäder"	"Walterstrasse 17
6837 Veyrier"
"Curdin Geiger"	"Fischerstrasse 13
2318 Villars-sur-Glâne"
"Leonora Stalder"	"Knechtstrasse 28
5333 Pully"
"Prof. Daniela Michel"	"Baurstrasse 53
5622 Emmen"
"Dr. Marcela Wolf"	"Hessstrasse 14
6830 Aigle"
"Marcos Stöckli"	"Blumstrasse 23
3906 Flawil"
"Vittoria Stutz"	"Müllerstrasse 57
7140 Ecublens"
"Ljubica Mettler"	"Felderstrasse 537
4277 Zürich"
"Annemarie Vogt"	"Siegriststrasse 38
9636 Brugg"
"Eduard Martin"	"Mayerstrasse 17
1270 Luzern"
"Manuela Wettstein"	"Felberstrasse 51
7945 Belp"
"Cristiana Bucher"	"Hoffmannstrasse 4
7491 Neuenburg"
"Tomás Moser"	"Kaufmannstrasse 557
7390 Meyrin"
"Anke Schäfer"	"Braunstrasse 78
3541 Aigle"
"Sereina Walder-Stadelmann"	"Friedlistrasse 1
7814 Prilly"
"Cristina Weber Bucher"	"Meyerstrasse 5
8332 Ecublens"
"Björn Hirt"	"Rothstrasse 29
1763 Arbon"
"Hannes Bader"	"Wettsteinstrasse 69
9314 Spiez"
"Belinda Beck"	"Schnyderstrasse 34
3672 Thônex"
"Stefano Spörri"	"Stockerstrasse 92
5689 Kreuzlingen"
"Marcel Wettstein"	"Küngstrasse 54
3537 Pfäffikon"
"Dr. Amanda Felder"	"Vogelstrasse 29
9532 La Tour-de-Peilz"
"Eveline Ritter Furrer"	"Gutstrasse 94
8501 Uster"
"Hans-Jürgen Fankhauser"	"Mayerstrasse 93
5080 Villars-sur-Glâne"
"Natalia Häfliger Tanner"	"Hunzikerstrasse 78
8313 Pully"
"Ornella Ritter"	"Benzstrasse 46
8340 Cham"
"Lenny Iten"	"Betschartstrasse 701
9401 Aigle"
"Juri Schlatter"	"Scherrerstrasse 77
1455 Sarnen"
"Blerta Schaller"	"Widmerstrasse 75
3490 Dübendorf"
"Neo Blum"	"Ernistrasse 57
1774 Biel/Bienne"
"Marcela Eichenberger Frey"	"Wettsteinstrasse 7
4686 Buchs"
"Jara Wirth"	"Käserstrasse 95
9937 Liestal"
"Heinz Siegrist-Forster"	"Geigerstrasse 1
7498 Steinhausen"
"Léa Ackermann"	"Haasstrasse 9
2798 Richterswil"
"Vilma Merz Siegrist"	"Bucherstrasse 9
5647 Renens"
"Marin Furrer"	"Hoferstrasse 53
5354 Münsingen"
"Kira Burri"	"Freystrasse 980
1059 Olten"
"Celina Vogt"	"Hodelstrasse 82
6844 Carouge"
"Annelies Hodel Christen"	"Hoffmannstrasse 59
4533 Renens"
"Dr. Bruna Meili"	"Rüeggstrasse 14
5096 Arbon"
"Marcela Tanner Isler"	"Bättigstrasse 178
6091 Rüti"
"Constantin Roth"	"Häfligerstrasse 52
6509 Weinfelden"
"Leandra Bär-Schmidt"	"Walderstrasse 80
8341 Meyrin"
"Slobodan Wettstein"	"Bachmannstrasse 21
9212 Adliswil"
"Laurent Ritter"	"Schwarzstrasse 89
7474 Villars-sur-Glâne"
"Emir Mettler"	"Kaufmannstrasse 95
6080 Arth"
"Elea Wüthrich"	"Merzstrasse 31
4403 Schaffhausen"
"Prof. Muhamet Jenni"	"Maurerstrasse 45
6834 Burgdorf"
"Meryem Friedli Hermann"	"Ferraristrasse 844
6230 Spiez"
"Patric Baumann"	"Zbindenstrasse 645
4749 Richterswil"
"Marcella Fehr"	"Gerberstrasse 29
1930 Liestal"
"Joaquim Gloor"	"Schlatterstrasse 24
2063 Urdorf"
"Eduard Maier"	"Jennistrasse 60
8403 Opfikon"
"Celia Gloor"	"Flückigerstrasse 15
4779 Morges"
"Oscar Furrer"	"Ferraristrasse 735
5915 Rapperswil-Jona"
"Hussein Widmer-Gfeller"	"Zbindenstrasse 12
4546 Thalwil"
"Prof. Ariane Bühlmann"	"Walterstrasse 87
9919 Urdorf"
"Amir Bättig"	"Hoferstrasse 94
6977 Männedorf"
"Franziska Lutz"	"Bolligerstrasse 100
6457 Neuenburg"
"Ramazan Scheidegger"	"Favrestrasse 52
6793 Richterswil"
"Marcella Probst"	"Schmidtstrasse 98
9564 Wetzikon"
"Hermine Widmer-Schoch"	"Kaiserstrasse 22
6959 Carouge"
"Margarete Baur"	"Bosshardstrasse 76
7007 Maur"
"Urs Studer-Steiner"	"Portmannstrasse 75
5331 Basel"
"Prof. Christine Vogel"	"Steinmannstrasse 962
3462 Uzwil"
"Mehmet Bär"	"Eichenbergerstrasse 23
5905 Versoix"
"Lian Albrecht"	"Ackermannstrasse 44
2158 Muri"
"Sheila Geiger"	"Müllerstrasse 272
3610 Payerne"
"Stefano Bauer"	"Geigerstrasse 844
5548 Zollikofen"
"Prof. Tomasz Stocker"	"Felderstrasse 91
7242 Baden"
"Marcello Gerber"	"Portmannstrasse 23
7184 Thônex"
"Diane Wüthrich"	"Lutzstrasse 54
7588 Küsnacht"
"Michèle Schwab"	"Fischerstrasse 14
8055 Thun"
"Prof. Nicholas Schaub"	"Lustenbergerstrasse 884
8930 Thônex"
"Marthe Lustenberger"	"Schenkstrasse 426
3475 Ebikon"
"Jacques Leunberger"	"Widmerstrasse 34
1068 Zollikofen"
"Chris Seiler"	"Geigerstrasse 16
5569 Altstätten"
"Meret Steiner"	"Lustenbergerstrasse 80
3054 Birsfelden"
"Yael Steffen Baumann"	"Hartmannstrasse 94
2952 Dübendorf"
"Ada Maurer Kuhn"	"Kälinstrasse 86
1726 Pully"
"Marcelo Schweizer-Bühler"	"Hofmannstrasse 5
9007 Zollikofen"
"Rainer Schnyder"	"Maurerstrasse 828
2028 Regensdorf"
"Henrik Bolliger"	"Sutterstrasse 6
2131 Sarnen"
"Raphael Brun"	"Beckstrasse 23
2164 Maur"
"Giuliana Lustenberger Wolf"	"Rothstrasse 5
4607 Aesch"
"Dr. Belinda Baur"	"Schäferstrasse 929
2196 Sitten"
"Dr. Mehdi Pfister"	"Käserstrasse 45
3035 Lenzburg"
"Umberto Merz"	"Zbindenstrasse 69
3532 Brig-Glis"
"Irmgard Roth"	"Stettlerstrasse 11
4013 Binningen"
"Marie-Christine Stucki Haas"	"Brunnerstrasse 97
1936 Villars-sur-Glâne"
"Marcin Hodel"	"Ferraristrasse 40
4181 Kloten"
"Leana Bättig Hodel"	"Haasstrasse 20
3318 Glarus"
"Faton Graf"	"Freistrasse 45
7572 Versoix"
"Friedrich Küng"	"Bühlerstrasse 98
4489 Urdorf"
"Prof. Heidy Maurer"	"Wagnerstrasse 19
7326 Wetzikon"
"Andrea Blaser"	"Winklerstrasse 33
4584 Buchs"
"Heike Grob"	"Grossstrasse 46
7022 Schlieren"
"Julie Maier"	"Leunbergerstrasse 548
3749 Burgdorf"
"Lean Hürlimann-Schuler"	"Eugsterstrasse 4
4972 Wohlen"
"Edina Bieri-Walder"	"Lutzstrasse 6
4343 Lenzburg"
"Marcin Steinmann"	"Huberstrasse 9
5463 Frauenfeld"
"Marjorie Winkler-Bühler"	"Hodelstrasse 3
4881 Delsberg"
"Agathe Egger-Fankhauser"	"Wüthrichstrasse 91
5207 Wallisellen"
"Luzia Spörri Stadelmann"	"Eglistrasse 2
5834 Spreitenbach"
"Dagmar Leunberger"	"Meierstrasse 2
3211 Muri"
"Aferdita Jäggi Bucher"	"Maurerstrasse 916
2693 Illnau-Effretikon"
"Stéphanie Kern"	"Hessstrasse 485
1118 Riehen"
"Steffen Merz"	"Gerberstrasse 391
3333 Pully"
"Paula Amrein"	"Maurerstrasse 633
9883 Herisau"
"Jaime Wagner"	"Schulerstrasse 260
5583 Aigle"
"Marcus Burri"	"Merzstrasse 45
3443 Oftringen"
"Nadia Graf"	"Schaubstrasse 44
2280 Lenzburg"
"Marlies Haas"	"Vogtstrasse 24
1906 Payerne"
"Emma Moser Haas"	"Itenstrasse 34
1013 Aesch"
"Bianca Schoch"	"Hofstetterstrasse 80
7208 Lugano"
"Tino Kohler"	"Sigriststrasse 46
8395 Langenthal"
"Danijela Gloor-Wyss"	"Wirzstrasse 938
9974 Horw"
"Stephanie Kaufmann"	"Bosshardstrasse 10
3115 Möhlin"
"Irina Gloor-Ackermann"	"Christenstrasse 99
9383 Wallisellen"
"Evan Zollinger"	"Merzstrasse 53
4782 Zug"
"Marcus Friedli"	"Knechtstrasse 47
8767 Muri"
"Astrid Wyss"	"Bieristrasse 9
5695 Cham"
"Fatime Lüscher Ammann"	"Wyssstrasse 10
3785 Payerne"
"Suzana Leunberger"	"Jennistrasse 84
9933 Muttenz"
"Egzona Aebi"	"Betschartstrasse 5
2220 Wil"
"Eloïse Maurer"	"Meilistrasse 627
8508 Rüti"
"Laura Studer"	"Lustenbergerstrasse 90
5642 Affoltern"
"Vreneli Wirth"	"Hofstetterstrasse 18
9457 Bellinzona"
"Prof. Ladina Kunz"	"Baderstrasse 99
6559 Bernex"
"Antonietta Küng Michel"	"Islerstrasse 96
5334 Emmen"
"Marcus Moser"	"Frickstrasse 76
9347 Möhlin"
"Katarzyna Berger"	"Sennstrasse 44
8634 Möhlin"
"Sereina Studer Hoffmann"	"Fehrstrasse 322
3076 Locarno"
"Florentina Schenk"	"Imhofstrasse 3
7417 Neuhausen"
"Tara Weber Zbinden"	"Kellerstrasse 496
3032 Aesch"
"Ana Zingg"	"Suterstrasse 13
5750 St. Gallen"
"Ruben Leu"	"Steinmannstrasse 26
8662 Sursee"
"Slavica Meier"	"Schulerstrasse 70
7592 Bern"
"Prof. Sérgio Bader"	"Lehmannstrasse 50
1394 Zürich"
"Chantal Geiger Wagner"	"Schallerstrasse 413
8226 Altstätten"
"Marcus Zimmermann"	"Huberstrasse 39
9108 Chêne-Bougeries"
"Cristiana Staub-Jenni"	"Studerstrasse 75
6032 Reinach"
"Prof. Gerlinde Schwab"	"Hotzstrasse 15
9296 Lenzburg"
"Ardita Stettler Koch"	"Müllerstrasse 822
1074 Lancy"
"Käthe Gfeller"	"Aebistrasse 71
5151 Sitten"
"Rosaria Koch"	"Gloorstrasse 3
6622 Pratteln"
"Dimitri Frick"	"Kellerstrasse 45
6202 Uzwil"
"Zuzana Hartmann-Wüthrich"	"Wehrlistrasse 96
9517 Chêne-Bougeries"
"Ladina Wirz-Graf"	"Gigerstrasse 97
6574 Rapperswil-Jona"
"Vanessa Lanz"	"Haslerstrasse 33
9136 Renens"
"Margaret Rüegg"	"Imhofstrasse 59
8459 Pratteln"
"Mirela Seiler"	"Martistrasse 335
6156 Zofingen"
"Lou Schwab"	"Mayerstrasse 99
3457 Meyrin"
"Romana Ziegler Steiner"	"Steffenstrasse 31
6314 Sarnen"
"Tamás Bühler"	"Geigerstrasse 5
1678 Küsnacht"
"Gian-Luca Küng"	"Mäderstrasse 647
2895 Langenthal"
"Coralie Maurer Zehnder"	"Freystrasse 88
2466 Flawil"
"Naim Kaiser"	"Bernasconistrasse 2
2898 Pfäffikon"
"Rino Portmann"	"Schumacherstrasse 37
5122 Meilen"
"Dr. Danijel Schürch"	"Stutzstrasse 5
6554 Suhr"
"Margareta Favre Winkler"	"Ackermannstrasse 67
8509 Köniz"
"Halil Ott"	"Vogtstrasse 18
5364 Münsingen"
"Massimo Zollinger"	"Lüscherstrasse 53
7450 La Tour-de-Peilz"
"Ewa Steiger"	"Amreinstrasse 1
4050 Montreux"
"Catherine Steiner-Wenger"	"Betschartstrasse 6
5521 Gossau"
"Fabia Christen Jost"	"Scheideggerstrasse 44
1997 Gland"
"Joy Jenni"	"Bosshardstrasse 45
2472 Biel/Bienne"
"Klaus Häfliger"	"Schwabstrasse 51
1739 Worb"
"Meinrad Geiger"	"Roosstrasse 706
7012 Reinach"
"Dr. Kaan Gloor"	"Bieristrasse 62
8647 Martigny"
"Margarida Felder-Flückiger"	"Wagnerstrasse 7
7537 Brugg"
"István Schär"	"Steinerstrasse 18
9439 Villars-sur-Glâne"
"Merlin Senn"	"Staubstrasse 80
2505 Wohlen"
"Giorgio Hauser"	"Bernasconistrasse 1
3487 Delsberg"
"Huguette Wenger Bühler"	"Freistrasse 32
8306 Vevey"
"Véronique Marti"	"Blumstrasse 717
5783 Allschwil"
"Luzia Baumgartner"	"Islerstrasse 74
8892 Volketswil"
"Dr. Beatrix Isler"	"Imhofstrasse 37
7447 Muttenz"
"Nick Lutz"	"Ernistrasse 94
7767 Vernier"
"Sheila Hofstetter"	"Kohlerstrasse 12
3034 Rüti"
"Margarita Seiler"	"Wüthrichstrasse 70
9744 Flawil"
"Natacha Brun-Tanner"	"Kernstrasse 6
5119 Lenzburg"
"Adele Hess"	"Bachmannstrasse 29
6596 Val-de-Travers"
"Carol Erni"	"Siegriststrasse 678
2199 Ecublens"
"Mihajlo Weibel"	"Stutzstrasse 76
2952 Kriens"
"Arthur Fankhauser"	"Hunzikerstrasse 96
2309 Basel"
"Gonçalo Braun"	"Weberstrasse 518
1980 Muttenz"
"Prof. Elfriede Burri"	"Schochstrasse 9
6910 Gossau"
"Eugen Schneider"	"Wirthstrasse 915
4029 Lancy"
"Eduard Ferrari"	"Martinstrasse 91
5044 Allschwil"
"Margarita Vogt"	"Lustenbergerstrasse 4
5486 Naters"
"Prof. Horst Ott"	"Stutzstrasse 63
6478 Münsingen"
"Gerd Merz"	"Islerstrasse 90
3243 Stäfa"
"Odette Stauffer"	"Kunzstrasse 82
3886 Val-de-Ruz"
"Milica Merz-Frick"	"Betschartstrasse 72
2051 Kloten"
"Prof. Laurin Winkler"	"Hartmannstrasse 88
9027 Yverdon-les-Bains"
"Marguerite Schwab"	"Stalderstrasse 63
4887 Zug"
"Heidi Lutz"	"Pfisterstrasse 48
6888 Wohlen"
"Adele Vogt"	"Ottstrasse 19
2734 Olten"
"Evelin Bättig Wenger"	"Roosstrasse 893
3038 Solothurn"
"Margaritha Gerber"	"Felberstrasse 193
7651 St. Gallen"
"Labinot Bernasconi-Schwarz"	"Bühlerstrasse 73
7703 Thônex"
"Udo Gloor"	"Hoferstrasse 91
5811 Möhlin"
"Gianfranco Gerber-Koch"	"Kellerstrasse 20
2525 Naters"
"Annette Baumgartner"	"Studerstrasse 340
9504 Oftringen"
"Marie-France Iten"	"Hartmannstrasse 19
9648 Sitten"
"Stanislav Schmid"	"Kälinstrasse 213
1974 Zürich"
"Micha Stettler"	"Lustenbergerstrasse 168
6130 Lutry"
"Dagmar Näf Ferrari"	"Leunbergerstrasse 947
7117 Bern"
"Elizabeth Marti"	"Freystrasse 5
4419 Oftringen"
"Margaritha Sidler"	"Stettlerstrasse 56
6816 Winterthur"
"Prof. Danièle Baumgartner"	"Betschartstrasse 641
8715 Stäfa"
"Dr. Rinor Keller"	"Schallerstrasse 25
8522 Kloten"
"Joyce Leunberger"	"Schmidstrasse 526
2458 Lyss"
"Amra Zingg"	"Stockerstrasse 48
2384 Schwyz"
"Friederike Lüthi"	"Schärerstrasse 9
3882 Oberwil"
"Joséphine Baumgartner-Wehrli"	"Maurerstrasse 764
8483 Vevey"
"Prof. Melina Schaub"	"Roosstrasse 49
5992 Basel"
"Luke Schenk"	"Bättigstrasse 14
4112 Delsberg"
"Fatma Hauser Rey"	"Roosstrasse 22
8351 Kloten"
"Margaux Gerber"	"Bianchistrasse 1
9123 Lugano"
"Heinrich Hunziker"	"Baumannstrasse 622
1066 Gossau"
"Corina Beck"	"Studerstrasse 96
7165 Lenzburg"
"Dr. Raffaela Gloor"	"Scheideggerstrasse 6
4978 Luzern"
"Anastasia Egli"	"Küngstrasse 15
2361 Riehen"
"Giuseppa Bühlmann"	"Leunbergerstrasse 8
7174 Ebikon"
"Markus Brunner"	"Hafnerstrasse 16
2179 Männedorf"
"Werner Walder"	"Friedlistrasse 16
9111 Belp"
"Corinne Wolf Hess"	"Gloorstrasse 5
7730 Altstätten"
"Agnès Schaub"	"Baumannstrasse 811
1553 Oftringen"
"Margaux Vogt"	"Widmerstrasse 38
8373 Regensdorf"
"Claudia Bühler"	"Schärerstrasse 59
4140 Kloten"
"Tamara Schär"	"Vogtstrasse 27
5722 Emmen"
"Laure Eugster"	"Wirzstrasse 70
3046 Grenchen"
"Lavinia Hürlimann"	"Brunnerstrasse 106
3605 Sitten"
"Elvis Hofstetter"	"Imhofstrasse 914
8039 Muttenz"
"Prof. Ada Baumann"	"Forsterstrasse 34
6471 Affoltern"
"Meryem Grob Meister"	"Hofstetterstrasse 74
4871 Renens"
"Caterina Mayer"	"Wegmannstrasse 27
9081 Gland"
"Adis Erni"	"Widmerstrasse 975
8735 Baden"
"Margherita Näf"	"Haslerstrasse 65
2643 Regensdorf"
"Carlo Keller"	"Flückigerstrasse 51
8635 Crans-Montana"
"Maximilian Ackermann"	"Walterstrasse 66
6336 Wohlen"
"Cornel Fuchs"	"Forsterstrasse 55
5452 Opfikon"
"Dr. Erwin Schlatter"	"Rüeggstrasse 38
7952 Montreux"
"Vittorio Grob"	"Beckstrasse 57
6532 Bern"
"Vera Giger"	"Lustenbergerstrasse 22
4402 Regensdorf"
"Gabrielle Ferrari"	"Eglistrasse 3
5221 Delsberg"
"Tenzin Suter"	"Toblerstrasse 36
9984 Zug"
"Diego Hafner"	"Bergerstrasse 8
5386 Spreitenbach"
"Margit Forster Eugster"	"Haslerstrasse 4
1429 Villars-sur-Glâne"
"Margrit Jenni"	"Hoferstrasse 64
8119 Baden"
"Luciano Marti"	"Steffenstrasse 4
2322 Bulle"
"Margarita Portmann Wagner"	"Meierstrasse 4
7559 Brig-Glis"
"Ahmad Mettler"	"Kohlerstrasse 36
1743 Frauenfeld"
"Gabriela Studer"	"Blaserstrasse 54
2189 Lutry"
"José Koch"	"Ritterstrasse 95
5328 Affoltern"
"Artan Mettler"	"Gloorstrasse 37
4148 Brugg"
"Jochen Steiger"	"Sennstrasse 870
3907 Gossau"
"Egon Erni"	"Bolligerstrasse 3
3251 Ostermundigen"
"Margot Kälin"	"Sigriststrasse 663
9164 Chur"
"Prof. Robert Blum"	"Furrerstrasse 973
3174 Freiburg"
"Senad Stalder"	"Grossstrasse 65
2030 Ecublens"
"Corinne Marti"	"Wagnerstrasse 16
7364 Baden"
"Dr. Cláudia Winkler"	"Walterstrasse 93
3211 Binningen"
"Léon Wagner-Imhof"	"Zürcherstrasse 38
7352 Altstätten"
"Ronald Schlatter"	"Hoffmannstrasse 9
8808 Frauenfeld"
"Yasin Vogt-Vogel"	"Gloorstrasse 4
1860 Davos"
"Mirella Hotz"	"Scherrerstrasse 8
2496 Ostermundigen"
"Arben Zollinger"	"Bühlerstrasse 774
3190 Pully"
"Margret Grob"	"Schürchstrasse 85
6273 Aesch"
"Prof. Sebastiano Lehmann"	"Moserstrasse 1
1087 Pfäffikon"
"Liana Wenger Hasler"	"Häfligerstrasse 98
5501 Villars-sur-Glâne"
"Catia Bachmann"	"Freistrasse 57
9474 Biel/Bienne"
"Sibylle Siegrist Spörri"	"Bättigstrasse 2
5207 Glarus"
"Rosalia Mettler-Peter"	"Hunzikerstrasse 142
2910 Dübendorf"
