"Aaron Lercher"|"Anabella-Pilz-Gasse 7
7053 Schwechat" 
"Mathilda Artner-Gratzer"|"Kronbergerplatz 1/1
3672 Lilienfeld"
"Aurelia Lassnig"|"Armin-Haderer-Platz 9/6
2477 Radenthein"
"Jannis Hofer"|"Brandnerweg 67
2099 Steyr"
"Nisa Loidl"|"Elyas-Mitterlehner-Straße 6/7
2119 Zistersdorf"
"Sandro Tischler"|"Klausstr. 9/7
1018 Eisenstadt"
"Kristian Köll"|"Beckerstraße 4/4
3762 Oberwälz"
"Frau Laureen List"|"Alice-Fink-Straße 56
7752 Bad Vöslau"
"Calvin Rieder"|"Meisterstraße 3/1
9624 Völkermarkt"
"Univ.Prof. Jennifer Wiesbauer"|"Seitzweg 4
2317 Salzburg"
"Alexia Kraft"|"Hörmannstr. 59
9846 Hardegg"
"Florentin Feichtenschlager"|"Pollakring 2/4
9406 Raabs an der Thaya"
"Irina Kerschbaum"|"Klinglerstraße 1
8257 Güssing"
"Dr. Viktoria Rabitsch"|"Greinerstr. 3
8366 Wieselburg"
"Paula Freudenthaler"|"Schmidlstraße 0/3
6613 Hardegg"
"Niko Lutz"|"Rebecca-Denk-Ring 0/8
9718 Feldkirchen"
"Kristian Macher"|"Stecherplatz 95
8957 Herzogenburg"
"Joel Neumann"|"Meierstraße 7/6
6866 Freistadt"
"Gregor Scharf"|"Vito-Schröder-Weg 80
2468 Scheibbs"
"Anika Brandstätter"|"Emmanuel-Schöller-Platz 0
1906 Geras"
"Joshua Walcher-Berchtold"|"Martha-Wurm-Platz 6/3
9986 Weitra"
"Matthias Lipp"|"Maria-Vogel-Platz 4
8406 Radenthein"
"Prof. Anna Karl"|"Pachlerplatz 221
5880 Feldkirch"
"Henri Pfister"|"Riedlgasse 6
1719 Schrems"
"Helene Danninger"|"Schrittwieserweg 8
7511 Salzburg"
"Anton Pendl"|"Mitterlehnerplatz 8/2
3121 Bad Sankt Leonhard im Lavanttal"
"Kristian Suppan"|"Listweg 66
9963 Fischamend"
"Nathan Bitschnau"|"Hofstätterweg 9
1977 Linz"
"Vanessa Rössler"|"Poschgasse 075
2006 Radstadt"
"Julijana Mayer"|"Viktor-Kirchmair-Straße 7
6034 Marchtrenk"
"John Bacher"|"Laura-Taucher-Platz 1
7273 Stockerau"
"Mateo Mader"|"Huberstr. 9/3
6707 Altheim"
"Anja Mair"|"Nicolai-Putz-Straße 8/3
5524 Bruck an der Mur"
"Leon Muhr"|"Mateo-Hutter-Platz 488
1061 Stadtschlaining"
"Kalina Reich"|"Krennstraße 7/8
6179 Liezen"
"Merlin Wittmann"|"Carolina-Dobler-Weg 4
3717 Wolfsberg"
"Kristian Wittmann"|"Aurelio-Stelzer-Weg 6/0
7805 Laakirchen"
"Dr. Florentin Gartner"|"Kollmannweg 6/9
3719 Rohrbach in Oberösterreich"
"Igor Springer"|"Laila-Ott-Weg 10
8244 Mureck"
"Univ.Prof. Xavier Knapp"|"Evelyn-Pokorny-Weg 256
1616 Heidenreichstein"
"Dr. Karl Lampert"|"Traxlerstr. 63
1558 Graz"
"Matthias Herbst"|"Kronbergerplatz 2/3
8568 Neusiedl am See"
"Adriano Fleischhacker-Schöberl"|"Schilcherstr. 3/7
2060 Purbach am Neusiedler See"
"Theresa Klammer"|"Lara-Gangl-Straße 37
5107 Litschau"
"Ismail Bergmann"|"Carolina-Lorenz-Ring 06
5337 Bad Radkersburg"
"Luise Perner-Niederl"|"Levi-Maurer-Gasse 3
6545 Kufstein"
"Kristina Metzler-Keplinger"|"Leonie-Pohl-Weg 0/8
8984 Bleiburg"
"Dipl.-Ing. Juliana Mitterlehner"|"Juliana-Leitner-Gasse 8
9298 Peuerbach"
"Selina Peham"|"Claudia-Haderer-Weg 9/6
6341 Waidhofen an der Thaya"
"Jovana Schulz"|"Schweigergasse 5
4237 Wolfsberg"
"Sam Kaindl"|"Anton-Waltl-Gasse 6
4263 Retz"
"Natalia Bader"|"Puchnerplatz 6/6
4709 Zistersdorf"
"Ruth Nemeth"|"Trummergasse 274
8116 Wilhelmsburg"
"Niko Scharf"|"Vito-Denk-Straße 687
2422 Gänserndorf"
"Rachel Graf"|"Jasper-Hartl-Gasse 377
5270 Oberndorf bei Salzburg"
"Erina Walcher-Schönauer"|"Fuhrmannring 6
5214 Mank"
"Kristina Schlögl-Pichler"|"Melek-Koppensteiner-Ring 5
6219 Deutschlandsberg"
"Miriam Becker"|"Postlstraße 614
8792 Friedberg"
"Hannah Leopold"|"Hochleitnerweg 98
6423 Drosendorf-Zissersdorf 1"
"Victor Tauber-Fankhauser"|"Klotzstraße 91
3204 Baden"
"Irina Strohmaier"|"Maierring 53
9806 Korneuburg"
"Florian Köberl"|"Martin-Engel-Ring 5
7251 Oberwart"
"Marvin Stefan-Lindner"|"Leonhartsbergergasse 1
5601 Mautern an der Donau"
"Adam Lindinger"|"Nikolina-Reinbacher-Gasse 5
7175 Weitra"
"William Wandl-Bachinger"|"Bayerplatz 9
4744 Bad Ischl"
"Merlin Wögerbauer"|"Hammererring 1
8289 Güssing"
"Kyra Bogner"|"Marxstr. 0/6
7809 Sankt Johann im Pongau"
"Finn Mitteregger"|"Leontina-Schmidinger-Weg 7
7271 Schladming"
"Emil Siegl"|"Nicholas-Schuler-Gasse 6
7368 Wiener Neustadt"
"Selma Hochleitner"|"Platzerweg 408
3962 Amstetten"
"Florian Gartner"|"Robin-Weidinger-Weg 8
7215 Mistelbach an der Zaya"
"Constantin Oberhofer"|"Lukas-Siller-Straße 570
3226 Mattersburg"
"William Dangl"|"Amanda-Mühlberger-Platz 2
1701 Waidhofen an der Ybbs"
"Clara Hofstetter"|"Kuhnring 4
9202 Enns"
"Francesca Platzer"|"Steurerplatz 552
3065 Bad Radkersburg"
"Laura Schöffmann"|"Wimmerring 735
9340 Radenthein"
"Laetitia Hubmann"|"Tom-Schuh-Ring 28
1566 Vöcklabruck"
"Christian Rauch-Kohl"|"Iris-Werner-Weg 7
7922 Mattersburg"
"Dr. Jakob Schiller"|"Hörlstr. 70
4257 Leoben"
"Natalie Heinz"|"Spindlergasse 9/1
2605 Bad Vöslau"
"Stefan Siller"|"Köckstraße 0
2327 Rottenmann"
"Katharina Zöhrer"|"Samuel-Jungwirth-Gasse 616
9560 Groß-Enzersdorf"
"Claudia Buchinger"|"Freyplatz 2/6
2396 Bischofshofen"
"Laureen Mühlbacher"|"Leonie-Bachinger-Platz 7/5
4953 Wörgl"
"Fiona Reichl"|"Rayana-Spiegl-Platz 3
6199 Ybbs an der Donau"
"Michael Martin"|"Wohlmuthplatz 0
7545 Leoben"
"Laetitia Hummer"|"Martestraße 6
8327 Grein"
"Florian Seebacher"|"Tanja-Seifert-Platz 0
2594 Landeck"
"Mila Neumüller"|"Binderring 6/2
6456 Köflach"
"Franz Bürger-Laimer"|"Isabella-Schatzl-Gasse 5
9094 Sankt Andrä im Lavanttal"
"Lilly Kolar"|"Mittereggerstraße 25
6029 Feldbach"
"Dr. Xavier Hosp"|"Müllnerstraße 780
7045 Frauenkirchen"
"Lea Schuh-Rauter"|"Siglweg 6/9
9642 Wilhelmsburg"
"Beatrice Forstner"|"Maierhoferstraße 5
4255 Bad Ischl"
"Gregor Steinberger"|"Joseph-Anderl-Platz 1
7282 Heidenreichstein"
"Selma Egger"|"Mariam-Rauter-Platz 46
2802 Schwechat"
"Laetitia Höfer"|"Aurora-Blauensteiner-Straße 21
3836 Oberwälz"
"Justus Fröschl"|"Dora-Ertl-Straße 23
3453 Scheibbs"
"Emanuel Mohr-Hutterer"|"Meistergasse 728
9091 Eisenerz"
"Aaron Fellner"|"Holzmanngasse 19
6125 Wels"
"Lia Rudolf"|"Ella-Leitgeb-Weg 87
6563 Heidenreichstein"
"Ing. Gloria Gross"|"Jägergasse 3/0
1429 Landeck"
"Bernhard Kohl-Schröder"|"Weissring 4
3330 Schärding"
"Annabelle Ramsauer"|"Lean-Buchegger-Straße 0/0
2068 Gmünd"
"Sandro Mühlbacher"|"Kaufmannstraße 184
5269 Weiz"
"Alma Seiwald"|"Katja-Rieger-Gasse 8
1743 Schwaz"
"Laetitia Stangl"|"Konradstr. 521
7321 Trofaiach"
"Franz Lechner"|"Sperlstraße 237
9835 Zistersdorf"
"Lilia Walser-Varga"|"Gallerring 9
4049 Enns"
"Rene Heindl"|"Katja-Geisler-Weg 243
7325 Retz"
"Raffael Schweighofer"|"Hartmannstr. 43
4867 Kapfenberg"
"Marie-Sophie Gratz"|"Sophie-Ernst-Platz 44
3675 Mariazell"
"Ismail Bacher"|"Harrerweg 77
6327 Traismauer"
"Helena Klein"|"Theresa-Scherz-Gasse 4
8045 Trieben"
"Beni Schimpl"|"Löfflerstr. 379
5217 Knittelfeld"
"Dr. Denise Klaus"|"Selena-Schlögl-Ring 989
3845 Sankt Johann im Pongau"
"Lana Veit-Böhm"|"Annabelle-Weissenböck-Platz 908
5131 Kufstein"
"Selina Reithofer"|"Stefanstraße 2/9
9377 Friedberg"
"Herr Ricardo Rieder"|"Zara-Kölbl-Straße 5/5
5535 Marchegg"
"Leah Herzog"|"Richard-Rauter-Ring 34
5293 Köflach"
"Antonio Plattner"|"Kolarstraße 3
3545 Murau"
"Miriam Winter"|"Viktor-Hammerl-Straße 6/9
3573 Rust"
"Clara Hollaus"|"Tom-Felber-Platz 29
4954 Purbach am Neusiedler See"
"Christian Pauer"|"Emanuela-Tiefenbacher-Platz 7/0
2502 Ebreichsdorf"
"Ronja Artner"|"Louisa-Klement-Straße 2
2597 Fürstenfeld"
"Fabio Widhalm"|"Kevin-Windisch-Straße 148
4960 Poysdorf"
"Lara Erhart"|"Lean-Ludwig-Platz 8/2
4739 Zell am See"
"Ing. Julius Tauber"|"Maida-Neuhold-Ring 9
6389 Gmünd in Kärnten"
"Leo Schober-Wimmer"|"Mert-Franz-Platz 85
4587 Zell am See"
"Karolina Ringhofer-Hofmeister"|"Bernhard-Mitterer-Platz 43
6609 Ternitz"
"Severin Jöbstl"|"Elma-Mittermayr-Gasse 6
3291 Freistadt"
"Noah Eichinger"|"Tristan-Mayrhofer-Platz 94
3226 Herzogenburg"
"Ing. Nils Gratzer"|"Sieberplatz 6/7
7674 Landeck"
"Daniel Breuer"|"Klementplatz 4/1
9057 Villach"
"Johannes Wilfinger"|"Nadja-Herbst-Gasse 7
9755 Waidhofen an der Ybbs"
"Gabriela Günther"|"Mittermayrring 3/7
2875 Neusiedl am See"
"Lara Strohmayer"|"Marina-Kager-Weg 1/6
1793 Bregenz"
"Juna Windhager"|"Lara-Kaspar-Weg 99
8815 Oberndorf bei Salzburg"
"Dipl.-Ing. Alexandar Zechmeister"|"Gustav-Zechner-Straße 71
7716 Groß-Siegharts"
"Melissa Pieber-Kaltenbrunner"|"Ronya-List-Weg 43
6266 Frohnleiten"
"Prof. Bernhard Kober"|"Darko-Höfler-Platz 5
1055 Judenburg"
"Isa Scherer"|"Mühlbacherring 319
6816 Klagenfurt"
"Liliana Veit"|"Tischlerweg 00
6213 Bad Vöslau"
"Nico Rottensteiner-Reinthaler"|"Hospweg 453
1506 Hainfeld"
"Lydia Holzmann"|"Christopher-Stiegler-Weg 4/3
2839 Mödling"
"Henri Mitteregger-Lederer"|"Emanuela-Buchegger-Weg 06
8139 Scheibbs"
"Lara Zimmermann"|"Danningerweg 236
2069 Lienz"
"Jan Hosp-Zangerl"|"Lara-Sophie-Schuster-Ring 753
5326 Graz"
"Dr. Lotta Kral"|"Stecherweg 2/8
1207 Fischamend"
"Paulina Kastner"|"Schinaglgasse 79
6617 Bad Aussee"
"Isa Knaus"|"Antonio-Dietl-Platz 7/6
7848 Mank"
"Valentino Lindinger"|"Alma-Prohaska-Straße 4
4246 Fürstenfeld"
"Nadine Hütter"|"Zöchlingweg 3/7
9657 Mattighofen"
"Ing. Angela Glaser"|"Erberplatz 995
1101 Lilienfeld"
"Raffaela Fehringer"|"Scherzstraße 2/1
9051 Lienz"
"Dipl.-Ing. Ava Pendl"|"Patricia-Toth-Ring 6/4
9265 Gmünd"
"Lara-Sophie Bergmann-Draxler"|"Denise-Haas-Platz 3/3
9148 Bad Ischl"
"Dominik Reischl-Steidl"|"Anita-Forstner-Gasse 5
7081 Gmünd in Kärnten"
"Amelie Neuhold"|"Elias-Pöll-Weg 6/9
3709 Salzburg"
"Laila Keplinger-Redl"|"Jöbstlplatz 0
9157 Vils"
"Kevin Eisl"|"Antonio-Hinterleitner-Platz 82
6313 Mattighofen"
"Lino Kreiner"|"Darko-Baldauf-Ring 5
1877 Zell am See"
"Dipl.-Ing. Pia Ulrich"|"Finkstr. 21
9503 Hartberg"
"Leonard Grünberger"|"Steinböckweg 283
9554 Retz"
"Leon Muhr-Kern"|"Maderring 0
5204 Neusiedl am See"
"Dr. Laila Tiefenbacher"|"Ariane-Hämmerle-Gasse 675
5787 Peuerbach"
"Larissa Loidl"|"Nikolai-Zöchling-Straße 839
1557 Melk"
"Natalia Reich-Hofer"|"Suppanweg 48
9004 Ansfelden"
"Karoline Resch"|"Ben-Neuwirth-Straße 2/7
7207 Althofen"
"Johann Breuer"|"Laureen-Mitterer-Gasse 4/7
2862 Leoben"
"Ing. Alexander Schober"|"Schmidingerring 441
7716 Gallneukirchen"
"Lionel Kaspar-Roth"|"Jahnstraße 4/5
8453 Ebreichsdorf"
"Mika Kolb"|"Weberstr. 0/9
4985 Wieselburg"
"Damian Loibl"|"Lilli-Geyer-Straße 0
8869 Neunkirchen"
"Leoni Reicher"|"Reinprechtgasse 410
7032 Mattighofen"
"Univ.Prof. Noah Pammer"|"Schiestlgasse 82
4118 Oberpullendorf"
"Larissa Mairhofer-Heinz"|"Victoria-Denk-Weg 679
5302 Traiskirchen"
"Herr Fabian Jauk"|"Stella-Stolz-Weg 920
3269 Imst"
"Bruno Jungwirth-Messner"|"Goschstr. 989
8893 Althofen"
"Irma Landl"|"Natascha-Koppensteiner-Ring 918
8527 Baden"
"Christopher Mader-Kopf"|"Mühlböckstraße 2
2125 Gallneukirchen"
"Lorena Ludwig"|"Prinzstraße 5/1
6469 Bischofshofen"
"Nadin Grünwald-Grabher"|"Rudolfstraße 42
4805 Bludenz"
"Lina Steinwender-Seitz"|"Riederstr. 5/1
3913 Sankt Valentin"
"Naomi Stifter"|"Bastian-Gratz-Ring 78
1230 Leoben"
"Irma Sturm"|"Oberhoferstraße 816
7090 Wieselburg"
"Larissa Reichel-Kucera"|"Lilli-Schmölzer-Ring 6/3
9029 Zeltweg"
"Florentina Fischer"|"Klammerweg 1/0
3406 Vöcklabruck"
"Nick Brenner"|"Laimerweg 3/0
8634 Gmünd in Kärnten"
"Dipl.-Ing. Lia Winkler"|"Hirschplatz 5/0
5893 Oberwälz"
"Annabell Hebenstreit"|"Maja-Kitzler-Ring 8/0
5415 Zell am See"
"Ela Auinger"|"Leonie-Frisch-Weg 9
7998 Dornbirn"
"Anita Waltl-Kammerer"|"Heidi-Karrer-Platz 0/7
7834 Imst"
"Frederik Dorfer"|"Larcherplatz 30
2800 Hallein"
"Dr. Esther Heinzl"|"Yasmina-Schauer-Weg 6
2495 Grein"
"Claudia Steinböck"|"Leah-Kraus-Weg 1
1099 Enns"
"Larissa Ritter"|"Samuel-Schröder-Weg 592
4328 Enns"
"Mathias Schmuck"|"Mike-Puntigam-Gasse 4/6
6150 Linz"
"Georg Luttenberger-Klammer"|"Magdalena-Blum-Platz 6/7
7081 Völkermarkt"
"Felix Schramm"|"Aleksander-Froschauer-Weg 0
7414 Groß-Siegharts"
"Johanna Glatz"|"Stadlerstraße 1
5703 Wieselburg"
"Mara Wiesner"|"Sofija-Bischof-Weg 6/4
5755 Berndorf"
"Ing. Niko Wenger"|"Lionel-Hackl-Weg 262
5804 Maissau"
"Nika Marte"|"Milica-Mairhofer-Ring 8/8
3884 Fischamend"
"Florin Gartner"|"Annabell-Gritsch-Weg 2
4472 Korneuburg"
"Eva Hochreiter"|"Adrian-Feichtenschlager-Straße 40
7031 Sankt Veit an der Glan"
"Larissa Schönauer-Zeiler"|"Geiergasse 0/0
5095 Heidenreichstein"
"Rayana Bader"|"Jovana-Gschwandtner-Gasse 65
7269 Vöcklabruck"
"James Lengauer"|"Annabelle-Oberleitner-Straße 5
7411 Schrems"
"Annalena Scharinger"|"Christopher-Bergmann-Platz 377
3388 Althofen"
"Joel Jungwirth"|"Rita-Pfleger-Weg 151
6529 Drosendorf-Zissersdorf 1"
"Alexa Leonhartsberger"|"Viktor-Loidl-Weg 67
9446 Frohnleiten"
"Robert Danninger"|"Schöpfstraße 75
3568 Heidenreichstein"
"Dipl.-Ing. Amelie Schenk"|"Lucie-Schalk-Ring 3/6
4224 Melk"
"Prof. Soraya Niederl"|"Manuela-Walder-Gasse 258
2974 Gloggnitz"
"Leah Heissenberger"|"Walterring 66
5258 Althofen"
"Lars Engl"|"Ringhofergasse 1/7
6768 Pulkau"
"Anne Mitteregger"|"Enzingerring 0
4817 Pulkau"
"Hugo Knaus-Sigl"|"Rieglerplatz 01
4736 Villach"
"Benedict Klinger"|"Reisingerstraße 139
5627 Leoben"
"Filip Unterberger-Loidl"|"Thallerstraße 3
3982 Ried im Innkreis"
"Marcus Schinagl"|"Kainzplatz 70
9506 Grein"
"Emanuel Eichhorn"|"Oscar-Hainzl-Weg 31
9102 Grieskirchen"
"Pascal Wegscheider"|"Martha-Singer-Ring 208
1119 Sankt Andrä im Lavanttal"
"Anita Hackl"|"Isabel-Kugler-Weg 637
6051 Gallneukirchen"
"Leontina Philipp"|"Mitterweg 8/8
3245 Waidhofen an der Ybbs"
"Lars Hackl-Rabitsch"|"Norah-Hütter-Gasse 1/9
4964 Radstadt"
"Selin Feichter"|"Calvin-Hinterberger-Ring 7
9981 Korneuburg"
"Herr Erik Müller"|"Gratzgasse 67
3235 Traun"
"Peter Friedl"|"Xavier-Schubert-Platz 509
5061 Liezen"
"Liliane Horn"|"Dünserstr. 235
3101 Wien"
"Stefan Kraus"|"Alex-Spreitzer-Gasse 60
3047 Maissau"
"Erwin Kaltenbrunner"|"Wiesbauergasse 8
9979 Weiz"
"Roman Schinagl"|"Matilda-König-Ring 5
6047 Mannersdorf am Leithagebirge"
"Sonja Holzmann"|"Leona-Petz-Weg 860
8285 Schladming"
"Dr. Luca Amon"|"Andrea-Buchner-Straße 803
9328 Pinkafeld"
"Lars Moosbrugger"|"Dornweg 5/1
3377 Bleiburg"
"Eva Geiger"|"Levi-Wohlmuth-Platz 711
5640 Mistelbach an der Zaya"
"Sandra Brunner"|"Veronika-Ferstl-Weg 6
7201 Wörgl"
"Levi Reindl"|"Victoria-Forstner-Gasse 807
5211 Fischamend"
"Dr. Niko Krainz"|"Hubert-Kober-Weg 0/7
5776 Pregarten"
"Carina Hummer"|"Schüllerstr. 201
4788 Liezen"
"Nikita Stangl"|"Johanna-Pröll-Gasse 53
5970 Pulkau"
"Emilie Weninger-Steinkellner"|"Finn-Frey-Straße 83
7473 Ried im Innkreis"
"Herr Elias Spreitzer"|"Hirschmanngasse 444
8627 Pulkau"
"Leonhard Hinteregger"|"Dannerplatz 5/0
3029 Salzburg"
"Lars Sturm"|"Erberweg 060
9076 Knittelfeld"
"Oskar Schilcher"|"Annabella-Kuhn-Platz 91
9535 Mureck"
"Louisa Dietl"|"Kolmgasse 3
2564 Zistersdorf"
"Ronya Kreiner"|"Elma-Mayr-Straße 1/9
4856 Bad Radkersburg"
"Elsa Schatzl"|"Neuhauserstr. 7/1
3701 Wilhelmsburg"
"Raffaela Gattringer"|"Probststr. 8/1
4665 Sankt Andrä im Lavanttal"
"Siena Deutschmann"|"Patrik-Köhler-Platz 021
9681 Trofaiach"
"Carolina Reicher-Scheiber"|"Natalie-Weber-Platz 920
4260 Braunau am Inn"
"Lara-Sophie Hinterleitner"|"Hellergasse 8
2981 Mariazell"
"James Mann"|"Florentina-Gärtner-Straße 9/6
2768 Spittal an der Drau"
"Laura Lercher-Neuwirth"|"Maksim-Polzer-Platz 6
2743 Perg"
"Lina Kohl"|"Constanze-Koller-Ring 612
1353 Köflach"
"Constantin Wiesinger"|"Zeilerstr. 78
2303 Wels"
"Maria Altmann-Paulitsch"|"Katja-Wiesner-Ring 011
8462 Perg"
"Gabriela Albrecht"|"Lorenzo-Fuhrmann-Weg 256
2731 Rottenmann"
"Marco Gahleitner"|"Lean-Lenz-Ring 1/3
5844 Pinkafeld"
"Eric Wiesinger-Rossmann"|"Bergmannring 1/3
4192 Schärding"
"Sven Bachinger"|"Zimmermannstr. 06
6945 Steyregg"
"Valentina Pertl"|"Therese-Koch-Straße 2
2952 Innsbruck"
"Lilian Dallinger"|"Elias-Tauber-Gasse 6
6263 Klosterneuburg"
"Laura Wiesner"|"Bräuergasse 64
8414 Oberwart"
"Florentin Heinz"|"Melek-Pfister-Ring 5
1898 Fehring"
"Univ.Prof. Anna Fellner"|"Josefine-Reinprecht-Ring 339
8219 Gmünd in Kärnten"
"Maryam Lengauer-Lenz"|"Herbstplatz 9/5
9678 Leibnitz"
"Herr Leo Hackl"|"Clarissa-Ackerl-Ring 39
1553 Waidhofen an der Ybbs"
"Dipl.-Ing. Danilo Erber"|"Häuslerplatz 6/8
3511 Deutsch-Wagram"
"Peter Amann"|"Reindlring 52
8406 Bad Ischl"
"Sarah Zechmeister-Langer"|"Stefan-Rainer-Weg 517
4482 Straßburg"
"John Schranz"|"Hofingerplatz 892
5127 Murau"
"Aleksandra Uhl"|"Huberring 3
1086 Sankt Andrä im Lavanttal"
"Laureen Dietrich"|"Staudacherstr. 5/9
5484 Feldkirch"
"Karina Posch"|"Beckerstr. 438
4899 Spittal an der Drau"
"Aron Zauner"|"Salzmannring 98
7143 Krems an der Donau"
"Univ.Prof. Emmanuel Augustin"|"Neumeisterstr. 95
5119 Rottenmann"
"Elona Meusburger"|"Simon-Walser-Platz 4
2323 Stockerau"
"Eric Leitner-Böhm"|"Melisa-Kolm-Straße 71
9456 Gänserndorf"
"Vanessa Humer"|"Marius-Leonhartsberger-Platz 6
3769 Langenlois"
"Jakob Löffler"|"Nikita-Rossmann-Ring 84
9260 Vils"
"Dilara Koller"|"Christian-Schäfer-Weg 01
5143 Purkersdorf"
"Justin Walter"|"Grillplatz 064
7444 Gföhl"
"Laureen Scherzer"|"Stecherstraße 582
4351 Mattersburg"
"Emilian Reichel"|"Andrea-Stückler-Straße 5
4722 Gmünd in Kärnten"
"Marcus Kloiber"|"Valentino-Paul-Gasse 258
9875 Friesach"
"Edda Schiefer"|"Leithnerplatz 36
5795 Purbach am Neusiedler See"
"Pascal Böck-Stern"|"Ganglweg 298
2419 Perg"
"David Klotz"|"Riedmannstr. 64
9668 Mannersdorf am Leithagebirge"
"Niko Kargl"|"Aleksandra-Blümel-Gasse 74
9389 Bregenz"
"Viktoria Hinteregger"|"Gritschgasse 775
4672 Stadtschlaining"
"Prof. Sarah Brugger"|"Schrempfplatz 49
4453 Gföhl"
"Nikola Hofstetter"|"Nagelring 542
1581 Gleisdorf"
"Laureen Steinberger"|"Andreas-Grüner-Weg 3
9437 Heidenreichstein"
"Emma Lerch"|"Katarina-Pieber-Weg 10
7620 Friesach"
"Karim Prinz"|"Ledererstr. 396
8560 Litschau"
"Nikolai Lampert-Reicher"|"Mika-Nöbauer-Platz 884
1052 Oberwälz"
"Leander Kopp"|"Lara-Sophie-Scherzer-Weg 59
9394 Radenthein"
"Luise Haiden"|"Hollplatz 832
3665 Schwechat"
"Franz Handl"|"Philipp-Landl-Weg 7
1969 Deutschlandsberg"
"Frau Leah Kreuzer"|"Sofie-Baier-Platz 48
4956 Mödling"
"Irma Kapeller"|"Krainzgasse 84
3628 Rattenberg"
"Simon Schartner"|"Lacknerstr. 31
4602 Rohrbach in Oberösterreich"
"Laurenz Mayr"|"Eberhardplatz 5/5
4387 Gföhl"
"Julian Schöpf-Klaus"|"Martingasse 4/8
1453 Neunkirchen"
"Dilara Steiner-Pacher"|"Nathalie-Bartl-Weg 44
3156 Ebenfurth"
"Stephanie Lettner"|"Rebecca-Böhm-Gasse 43
8679 Steyr"
"Aurelio Gutmann"|"Joststr. 081
7013 Knittelfeld"
"Angela Mayrhofer"|"Hallerring 81
9435 Mistelbach an der Zaya"
"Henrik Haider"|"Fischerplatz 6/0
6440 Wolkersdorf"
"Karl Kraft"|"Elvira-Feigl-Weg 2/0
1522 Pregarten"
"Konstantin Pammer-Steinkellner"|"Joshua-Windhager-Platz 6
5719 Oberwart"
"Nino Rössler"|"Marissa-Schneider-Gasse 6
7701 Traiskirchen"
"Laurin Pertl"|"Carolina-Hebenstreit-Gasse 4
3067 Freistadt"
"Univ.Prof. Georg Breuer"|"Julius-Hafner-Weg 717
3486 Laa an der Thaya"
"Annika Berchtold"|"Reinbachergasse 917
4283 Neunkirchen"
"Nino Hofinger"|"Scharingerplatz 01
1588 Peuerbach"
"Sahra Simic"|"Nico-Fasching-Ring 8
1655 Zistersdorf"
"Mika Jenewein"|"Riedlweg 3
8363 Laa an der Thaya"
"Dr. Melanie Hagen"|"Mariana-Meyer-Gasse 2
3156 Vils"
"Ella Putz"|"Leberweg 3
7865 Murau"
"Sebastian Bischof"|"Wittmanngasse 93
3881 Steyr"
"Juliane Nemeth-Zangerl"|"Benjamin-Neuner-Ring 51
4521 Murau"
"Laurin Reischl-Jenewein"|"Bognerplatz 9
8618 Schwechat"
"Jovana Prinz"|"Zara-Meier-Gasse 83
2227 Ternitz"
"Elisabeth Bernhard"|"Philipp-Walter-Straße 926
9853 Drosendorf-Zissersdorf 1"
"Oliver Muhr"|"Maksim-Schuh-Straße 9/2
7586 Herzogenburg"
"Prof. Maximilian Spiegl"|"Finn-Hölzl-Straße 58
7792 Zwettl"
"Annalena Ramsauer"|"Mayerhofergasse 774
7488 Wörgl"
"Mathilda Gangl-Burgstaller"|"Lucie-Raab-Weg 34
9443 Enns"
"Konstantin Juen"|"Anastasia-Jauk-Platz 053
4489 Hartberg"
"Bernadette Herbst-Scherz"|"Lassnigplatz 874
3485 Rattenberg"
"Angela Gritsch"|"Emanuel-Gritsch-Weg 84
7059 Wiener Neustadt"
"Laurin Walder"|"Nagelring 1
8358 Graz"
"Martina Reischl-Hebenstreit"|"Tobias-Frey-Weg 66
9554 Köflach"
"Leonie Kaiser"|"Adrian-Heigl-Weg 398
7950 Oberwart"
"Sascha Fleischhacker"|"Henry-Raab-Gasse 6
1502 Eisenstadt"
"Ruth Nowak-Simic"|"Alice-Wild-Gasse 1
4534 Bludenz"
"Laura Luger-Rottensteiner"|"Haumerstraße 99
8528 Sankt Valentin"
"Daniel Burger-Heinz"|"Carlotta-Sauer-Platz 99
4688 Purkersdorf"
"Ela Hirschmann"|"Schalkgasse 239
4887 Wien"
"Manuela Löffler"|"Carla-Schrenk-Ring 123
5431 Sankt Pölten"
"Adelina Neuwirth"|"Kevin-Schöberl-Straße 6/2
1795 Ebenfurth"
"Lea Hödl"|"Schönbergerplatz 2
4887 Schwechat"
"Isa Lechner-Schäfer"|"Lisa-Marie-Karner-Platz 9/2
6304 Herzogenburg"
"Aron Bergmann"|"Amelie-Altmann-Platz 74
6046 Traun"
"Frau Raffaela Neuhold"|"Matheo-Zeiler-Platz 03
3911 Lienz"
"Oscar Hager"|"Pollakgasse 14
8747 Braunau am Inn"
"Angelika Käfer-Walcher"|"Jacob-Penz-Ring 409
5037 Melk"
"Luise Lassnig"|"Stecherstraße 6
6351 Mödling"
"Aurelio Schinnerl"|"Oberndorferstr. 786
6816 Hartberg"
"Dipl.-Ing. Nadin Haring"|"Luka-Loibl-Straße 769
8997 Straßburg"
"Denise Kaltenböck"|"Olivia-Schneider-Weg 17
6104 Bruck an der Leitha"
"Lea Pock"|"Seilergasse 49
8276 Pulkau"
"Eva Schlögl"|"Niklas-Höglinger-Gasse 1/9
1766 Ried im Innkreis"
