"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346" 
"विवेक ठाकूर"	"32/4214 देशपांडे
धुळे-446603"
"कुमारी उमा भोसले"	"7679 कोल्हे
औरंगाबाद 541805"
"विकास कोल्हे"	"59/76 कांबळे
अहमदनगर-936744"
"रीमा मोरेजी"	"8067 जगताप
बीड 018732"
"कुमारी अंजली पवार"	"5 राऊत
गोंदिया-639168"
"दीपक पवारजी"	"6977 रोहिणी जगताप
नागपूर-034353"
"कल्पना आगरकरजी"	"914 समीर कदम
यवतमाळ 594186"
"शिल्पा माने"	"065 पूजा देशमुख
उस्मानाबाद 611354"
"दीपक चव्हाण"	"8 विकास अहेर
अकोला 430152"
"राहुल ओकजी"	"03/2775 गौरव जोशी
लातूर 469348"
"कोमल राऊतजी"	"70/04 अरुण देशमुख
अहमदनगर-057363"
"चेतना जाधव"	"2963 कुलकर्णी
नवी मुंबई-893071"
"विकास कोल्हेजी"	"7979 अहेर
धुळे 183965"
"गौरव मानेजी"	"0 अनिता राऊत
मिरज 978520"
"चेतना कांबळे"	"20 सुरेश सावंत
अमरावती 880214"
"प्रज्ञा कुलकर्णीजी"	"579 पाटील
अकोला-908304"
"अशोक साळुंखे"	"87/0028 राऊत
परभणी-246581"
"अनिल पाटील"	"4586 मीनल कदम
बीड-701582"
"श्रुती शिरसाटजी"	"3013 ओक
मुंबई 748465"
"दीपक देशपांडेजी"	"2 हर्षदा पाटील
जळगाव-722752"
"श्रीमती स्नेहा चव्हाण"	"54 मिलिंद साने
मुंबई 402764"
"अनिता ठाकूरजी"	"554 पाटील
ठाणे-870629"
"विकास गवळी"	"746 आगरकर
जळगाव 904012"
"श्रीमती कोमल जगताप"	"79 दत्तात्रेय मोरे
सातारा 017543"
"समीर राऊत"	"95/204 ओक
परभणी 796107"
"मकरंद सावंत"	"01/81 माधुरी माने
परभणी 018727"
"इशिता देशपांडेजी"	"0 मकरंद देशपांडे
सांगली-395514"
"माधुरी मोरेजी"	"72 उमा साळुंखे
नाशिक-614293"
"श्री सचिन देशमुख"	"4936 अपर्णा राऊत
नाशिक-266998"
"धनंजय देशपांडे"	"3 गौरव माने
उस्मानाबाद 516966"
"मानसी मानेजी"	"8145 फडके
जळगाव-231134"
"श्रुती चौगुलेजी"	"9/3 कोल्हे
सातारा 058052"
"विकास गवळीजी"	"88/7578 ठाकूर
परभणी 406145"
"दीपाली भोसले"	"6931 दीपाली माने
हिंगोली 980172"
"अरुण फडके"	"1/5 अशोक माने
लातूर-995303"
"श्री हर्षदा चौगुले"	"45 जितेंद्र भोसले
पुणे-698471"
"अभिजीत चौगुले"	"92 जोशी
सोलापूर 026364"
"पंकज ठाकूर"	"10/56 ज्योती जोशी
वसई-147727"
"उमेश महाजनजी"	"665 नेहा शिरसाट
मुंबई-666861"
"पूजा राऊत"	"222 कदम
धुळे 793119"
"सुनील साळुंखे"	"720 कांबळे
हिंगोली 663491"
"दीपक गायकवाड"	"0 फडके
कोल्हापूर-804149"
"विकास गायकवाडजी"	"6241 पूजा जाधव
पुणे 701271"
"मकरंद चौगुलेजी"	"41/5327 जगताप
यवतमाळ-439355"
"कुमारी इशिता राऊत"	"6279 गायकवाड
नागपूर-506312"
"नेहा कांबळे"	"8884 मोरे
पिंपरी-चिंचवड-850520"
"अंजली कोल्हेजी"	"72/1980 गौरी कांबळे
अकोला 642035"
"चेतना महाजनजी"	"34 साने
परभणी 322888"
"कोमल ओक"	"04/041 आकांक्षा फडके
पिंपरी-चिंचवड-950232"
"निलेश भोसलेजी"	"94/6713 अमित सावंत
बीड-243991"
"गणेश राऊतजी"	"18/4367 आगरकर
सातारा-815181"
"श्री अमोल कुलकर्णी"	"07/239 आकाश गवळी
जळगाव-453332"
"विकास जगताप"	"42/84 देशपांडे
परभणी 992191"
"अरुण जोशीजी"	"32/54 आकांक्षा जगताप
यवतमाळ 339937"
"श्री इशिता भोसले"	"0/0 विवेक राऊत
सातारा 991452"
"जितेंद्र देशमुखजी"	"24/13 आकाश ठाकूर
सांगली-643134"
"उमा चव्हाणजी"	"3 मीनल जाधव
बीड 444782"
"मीनल चव्हाणजी"	"56 चौगुले
नांदेड-954546"
"अरुण कुलकर्णी"	"3880 मोरे
सातारा-626595"
"स्मिता शिंदेजी"	"27 चव्हाण
नांदेड 759238"
"कुमारी आदित्य अहेर"	"9714 प्रज्ञा कुलकर्णी
सोलापूर-794880"
"स्वाती जगताप"	"80/60 पल्लवी कदम
सोलापूर 784894"
"विकास जाधवजी"	"0 कांबळे
नवी मुंबई 175867"
"कुमारी माधुरी कांबळे"	"88/723 वैशाली फडके
मुंबई 885575"
"समीर कदम"	"2/9 साने
जळगाव 284975"
"दीपक शिरसाटजी"	"5104 चौगुले
हिंगोली-423319"
"श्रीमती संदीप देशपांडे"	"0/3 चेतना गायकवाड
धुळे-418285"
"चेतना शिंदे"	"48/135 मोरे
मिरज-682135"
"अमित शिंदेजी"	"30/595 ठाकूर
जळगाव-923509"
"जितेंद्र कुलकर्णी"	"363 आकाश भोसले
नांदेड 365545"
"पल्लवी जगतापजी"	"96/03 अहेर
नांदेड-098761"
"श्री किरण जाधव"	"66/5331 उमेश पवार
ठाणे 441701"
"विकास ठाकूरजी"	"015 चौगुले
नाशिक-916110"
"रोहित गायकवाड"	"5 जितेंद्र पाटील
रत्नागिरी 223535"
"श्री गणेश कोल्हे"	"51/9898 किरण जोशी
मिरज-092785"
"कुमारी समीर शिंदे"	"619 देशपांडे
बीड 785150"
"जितेंद्र जोशीजी"	"24/155 महाजन
पुणे-014278"
"समीर देशमुखजी"	"2/2 माने
अकोला 358236"
"श्रीमती आकांक्षा चव्हाण"	"2313 ज्योती गवळी
नागपूर-929864"
"जितेंद्र साने"	"4/1 ज्योती कांबळे
नवी मुंबई-709802"
"कुमारी किरण गवळी"	"20/8165 चेतन ठाकूर
अहमदनगर 959761"
"आकांक्षा गायकवाडजी"	"40 चेतना ओक
गोंदिया 394247"
"विकास ठाकूरजी"	"13/071 कोमल चव्हाण
सोलापूर 147010"
"पूजा साने"	"33/52 समीर राऊत
अहमदनगर 239899"
"वैशाली कुलकर्णीजी"	"17/3855 शिंदे
सांगली-918182"
"श्रीमती पूजा जोशी"	"28/215 सचिन गायकवाड
अकोला-131472"
"श्री स्नेहा भोसले"	"5/2 रीमा ठाकूर
मिरज-968256"
"नेहा शिरसाट"	"34 उमेश सावंत
पुणे 804282"
"हर्षदा पवारजी"	"8975 अभिषेक राऊत
नांदेड-318149"
"श्रीमती सुरेश फडके"	"342 राहुल राऊत
मिरज-481939"
"श्रीमती समीर कांबळे"	"627 साने
बीड-723566"
"अनुष्का राऊतजी"	"60/619 देशपांडे
औरंगाबाद-484091"
"विकास देशपांडे"	"4/1 इशिता शिरसाट
मुंबई-040086"
"निलेश जाधव"	"64 उमा गवळी
लातूर 161973"
"श्री नेहा माने"	"48/7175 इशिता शिंदे
बीड-589937"
"आकांक्षा कांबळेजी"	"627 कुलकर्णी
धुळे-559887"
"सुरेश साळुंखेजी"	"334 नेहा चौगुले
धुळे-377390"
"श्री समीर साने"	"867 आगरकर
अकोला 318031"
"सचिन सावंतजी"	"48/164 राऊत
मुंबई-274260"
"निखिल कोल्हेजी"	"43/39 ज्योती देशमुख
बीड-624355"
"श्रीमती अभिषेक कुलकर्णी"	"41 कैलास शिरसाट
पुणे 060522"
"प्रिया देशमुखजी"	"44 गणेश आगरकर
कोल्हापूर-004837"
"विकास देशपांडे"	"64 माधव चौगुले
बीड 997316"
"श्रीमती ज्योती कुलकर्णी"	"39/426 हर्षदा शिरसाट
नांदेड 614020"
"मिलिंद जोशीजी"	"50/9696 देशमुख
हिंगोली 709313"
"कुमारी रोहिणी कांबळे"	"099 श्रुती आगरकर
बीड-162044"
"श्रीमती प्रकाश चव्हाण"	"00/547 चौगुले
ठाणे-767113"
"अशोक चव्हाण"	"5546 दीपक मोरे
अकोला 219108"
"पंकज अहेर"	"8 मंगेश कोल्हे
पिंपरी-चिंचवड 026390"
"श्री रेणुका भोसले"	"0 जोशी
पिंपरी-चिंचवड-168185"
"श्रीमती स्मिता राऊत"	"814 गौरव कदम
लातूर 067629"
"मोहन जोशी"	"0192 पवार
ठाणे-066113"
"विकास देशमुख"	"185 गणेश पवार
सोलापूर 091900"
"श्रीमती माधुरी ओक"	"99/70 जगताप
चंद्रपूर 957550"
"सचिन साळुंखेजी"	"62 अरुण चव्हाण
धुळे 958841"
"कोमल गायकवाडजी"	"0/4 जोशी
धुळे 859245"
"अमित पाटीलजी"	"0 जगताप
धुळे-222178"
"आशा माने"	"54/3003 कांबळे
सातारा 877240"
"श्री आशा चव्हाण"	"481 पल्लवी गायकवाड
पिंपरी-चिंचवड 749394"
"श्री विकास शिंदे"	"09/778 धनंजय साने
गोंदिया 234521"
"माधुरी जगतापजी"	"899 निखिल मोरे
नांदेड 175704"
"जितेंद्र पवारजी"	"2067 हर्षदा अहेर
औरंगाबाद-601088"
"विकास देशमुख"	"6/9 ठाकूर
मिरज-682436"
"निखिल पाटील"	"2/5 चेतना जगताप
रत्नागिरी 929446"
"राहुल राऊत"	"3 ज्योती देशमुख
लातूर-441971"
"श्री ज्योती गायकवाड"	"521 गणेश शिरसाट
अमरावती 732908"
"उमा राऊतजी"	"51/43 अशोक मोरे
ठाणे-617920"
"अनिल साने"	"235 दत्तात्रेय जाधव
कोल्हापूर-044546"
"श्रीमती अमित पवार"	"16/4263 कीर्ती मोरे
पुणे 740252"
"श्री अमित चव्हाण"	"27/55 रेणुका अहेर
सोलापूर 964502"
"श्रीमती हर्षदा मोरे"	"13/9667 रेणुका सावंत
धुळे 843482"
"कुमारी इशिता जोशी"	"8/7 मेघा पाटील
ठाणे 054042"
"विकास राऊतजी"	"50 अपर्णा गवळी
मिरज 134892"
"श्रीमती प्रज्ञा गायकवाड"	"17/707 पाटील
सातारा-929949"
"श्री अनिरुद्ध माने"	"428 कोल्हे
ठाणे-851963"
"कुमारी तन्वी ठाकूर"	"025 आकांक्षा देशमुख
धुळे-250500"
"श्रीमती इशिता सावंत"	"78/9825 देशपांडे
सांगली 785749"
"श्रीमती प्रवीण महाजन"	"91 अनिता देशपांडे
बीड 136504"
"श्रीमती निखिल पाटील"	"62/9451 प्रज्ञा ठाकूर
अकोला-839109"
"सचिन साने"	"54 गायकवाड
अकोला-707575"
"स्मिता महाजन"	"0 कविता मोरे
चंद्रपूर 791409"
"आकाश भोसले"	"38 शिरसाट
बीड-978401"
"विकास शिरसाट"	"286 माधव मोरे
बीड-130149"
"श्रीमती निखिल देशपांडे"	"19/15 आकाश जाधव
गोंदिया-526084"
"स्मिता ठाकूर"	"829 जगताप
नागपूर-800954"
"श्री निखिल देशपांडे"	"6/2 कीर्ती गवळी
हिंगोली-173224"
"कुमारी आकाश जगताप"	"83/8617 मंगेश भोसले
लातूर-190565"
"श्री भूषण साळुंखे"	"636 समीर जाधव
पुणे 614727"
"प्रकाश ओक"	"56/97 धनंजय अहेर
वसई 394094"
"रोहित आगरकरजी"	"3363 प्रकाश अहेर
यवतमाळ 449495"
"पल्लवी शिंदे"	"904 माने
चंद्रपूर 126716"
"हर्षदा पाटील"	"01/2332 मोरे
सोलापूर 110837"
"विकास शिरसाट"	"44/23 जितेंद्र माने
अमरावती-762499"
"मकरंद महाजन"	"150 गवळी
नांदेड 422690"
"वैशाली गायकवाड"	"51/8381 कैलास गायकवाड
नाशिक-568479"
"श्री रेणुका पाटील"	"2/1 पाटील
मिरज 803710"
"श्रीमती चेतन चव्हाण"	"77 गायकवाड
सोलापूर 527210"
"श्रीमती निलेश मोरे"	"04/25 इशिता ठाकूर
कोल्हापूर-111391"
"दीपक देशमुखजी"	"8 जोशी
अकोला-201538"
"श्री रोहित ओक"	"4 चव्हाण
औरंगाबाद 942609"
"गणेश गायकवाड"	"48 मकरंद महाजन
उस्मानाबाद 543033"
"श्री रेणुका चव्हाण"	"49/244 कांबळे
ठाणे-664733"
"विनायक अहेर"	"2/9 विनायक साळुंखे
कोल्हापूर 737881"
"अनुष्का चौगुले"	"48/25 माधव जगताप
नागपूर-844017"
"दत्तात्रेय देशपांडे"	"74 मोरे
यवतमाळ 100124"
"श्रीमती आकाश शिंदे"	"46 चव्हाण
परभणी-242517"
"मोहन राऊतजी"	"9/4 पाटील
रत्नागिरी-945412"
"श्री निखिल साने"	"024 उमेश महाजन
अकोला 923607"
"सुनील जोशीजी"	"8090 माधुरी चव्हाण
यवतमाळ-405316"
"कल्पना ठाकूर"	"03/9321 कदम
ठाणे 453112"
"मानसी राऊत"	"9/5 विवेक कांबळे
औरंगाबाद-118531"
"कुमारी अरुण मोरे"	"7118 पल्लवी ओक
गोंदिया-884418"
"विनायक अहेरजी"	"6 जगताप
अमरावती-578503"
"श्री दीपाली चव्हाण"	"59 उमेश गवळी
लातूर 083955"
"सचिन सावंत"	"0534 प्रवीण सावंत
अमरावती-591098"
"श्रीमती कैलास जगताप"	"1/1 अमोल कदम
औरंगाबाद-525254"
"प्रवीण कुलकर्णी"	"2/2 विनायक पवार
लातूर 156439"
"श्रीमती शिल्पा ठाकूर"	"0 कदम
सातारा-749578"
"कुमारी तन्वी मोरे"	"0 अभिजीत महाजन
सांगली-152880"
"कोमल पाटील"	"52/17 अंजली ठाकूर
चंद्रपूर 267782"
"सुनील साने"	"0747 चेतना साळुंखे
हिंगोली 495138"
"गौरव जोशीजी"	"39/664 तन्वी कदम
ठाणे 420480"
"विनायक चौगुले"	"3781 अनिता सावंत
धुळे 678883"
"कविता जगताप"	"0 माने
जळगाव 391758"
"स्नेहा गवळी"	"24/0459 हर्षदा कोल्हे
अकोला-473853"
"मिलिंद शिरसाटजी"	"0768 पाटील
सातारा-882078"
"कुमारी अमित कांबळे"	"34/9061 सचिन राऊत
पुणे 159878"
"कल्पना गवळीजी"	"7125 अभिजीत पाटील
नवी मुंबई-261347"
"श्री अनिता चव्हाण"	"8/8 मीनल साळुंखे
नवी मुंबई 747223"
"अरुण चव्हाण"	"47/555 चव्हाण
यवतमाळ 910798"
"आकाश गायकवाड"	"22/9738 कोमल देशमुख
औरंगाबाद 635220"
"रोहित साने"	"92 चौगुले
नाशिक 186003"
"विनायक जगतापजी"	"14 अंजली चव्हाण
कोल्हापूर-062856"
"रेणुका शिरसाट"	"82/5540 शिल्पा माने
चंद्रपूर-662525"
"श्री सचिन कोल्हे"	"94/143 पवार
नागपूर 924056"
"निखिल फडके"	"6740 माधव शिरसाट
मुंबई-225224"
"कुमारी जितेंद्र साने"	"9762 ओक
उस्मानाबाद 901303"
"कुमारी माधव गवळी"	"68 मोरे
सोलापूर-832971"
"श्रीमती तन्वी ओक"	"82/648 हर्षदा माने
लातूर-833967"
"श्री कोमल कोल्हे"	"3640 ठाकूर
परभणी-625061"
"दत्तात्रेय ठाकूर"	"2298 आदित्य साने
नवी मुंबई-430953"
"अभिजीत देशपांडेजी"	"1/9 कोल्हे
जळगाव 516908"
"विनायक जोशी"	"91 देशपांडे
पुणे 920871"
"श्रीमती धनंजय ठाकूर"	"90/13 महाजन
जळगाव 291298"
"आदित्य सावंत"	"25/767 कांबळे
नवी मुंबई 806170"
"श्रीमती दीपाली भोसले"	"77/075 कुलकर्णी
रत्नागिरी 810465"
"मानसी अहेर"	"391 गवळी
अमरावती 803852"
"श्रीमती दीपाली जगताप"	"8/6 पाटील
ठाणे 609735"
"अमोल फडके"	"557 जगताप
कोल्हापूर-748406"
"निखिल शिरसाट"	"90 विवेक कांबळे
चंद्रपूर 402420"
"माधव देशमुखजी"	"5/3 भोसले
औरंगाबाद 890023"
"कुमारी माधव साने"	"46 भूषण कोल्हे
चंद्रपूर-920802"
"विनायक पवार"	"1 राऊत
सांगली-535942"
"कोमल अहेरजी"	"1/4 आदित्य कोल्हे
वसई 608925"
"भूषण गायकवाड"	"09 प्रिया साळुंखे
धुळे-249263"
"कुमारी रेणुका कांबळे"	"6900 अनिरुद्ध साळुंखे
पिंपरी-चिंचवड 639145"
"किरण गवळी"	"87/79 हर्षदा साने
हिंगोली-579841"
"समीर जाधव"	"2 सावंत
सातारा 202657"
"रोहित माने"	"72/1472 माने
नवी मुंबई-414108"
"निलेश जगतापजी"	"7854 शिरसाट
उस्मानाबाद-575591"
"मिलिंद गवळीजी"	"58/9019 चव्हाण
सातारा-387991"
"माधव देशपांडे"	"6509 पवार
चंद्रपूर 278889"
"विनायक पवारजी"	"093 मंगेश ठाकूर
पुणे 392177"
"अशोक कदमजी"	"339 साने
मिरज-501618"
"कुमारी कल्पना कोल्हे"	"36/77 अनिता देशमुख
औरंगाबाद-110529"
"कुमारी प्रज्ञा देशमुख"	"9/0 ईश्वर शिंदे
हिंगोली-762453"
"रोहिणी कोल्हेजी"	"48 इशिता चव्हाण
मिरज-574162"
"अनिता गायकवाड"	"13/310 अशोक शिरसाट
वसई-494827"
"श्रीमती गौरी कोल्हे"	"7331 रेणुका कोल्हे
यवतमाळ 758699"
"ज्योती कदमजी"	"93 तन्वी पवार
नाशिक-070450"
"विवेक चव्हाणजी"	"57/095 दीपाली गवळी
कोल्हापूर-837239"
"पल्लवी देशमुखजी"	"15/3913 सावंत
औरंगाबाद 141993"
"विनायक पाटील"	"9/0 महाजन
परभणी 220941"
"भूषण कोल्हेजी"	"2 लता कांबळे
पुणे-604758"
"माधुरी जाधव"	"3 पाटील
नांदेड-698384"
"प्रशांत जगतापजी"	"65/23 आगरकर
परभणी 940559"
"हर्षदा देशमुख"	"07/08 कोल्हे
धुळे 447470"
"कुमारी अशोक कदम"	"7 स्वाती फडके
नवी मुंबई-420107"
"शिल्पा चौगुलेजी"	"31/30 रेणुका सावंत
मुंबई 789690"
"श्री अरुण कदम"	"27/96 कल्पना देशपांडे
हिंगोली 150084"
"पल्लवी जगतापजी"	"9 शिंदे
नागपूर 989447"
"श्री विकास आगरकर"	"06/0293 ठाकूर
यवतमाळ 789477"
"विनायक शिंदेजी"	"6543 भोसले
गोंदिया-266672"
"गौरी ठाकूर"	"0556 समीर अहेर
यवतमाळ-798003"
"प्रकाश कुलकर्णीजी"	"46/94 रोहित आगरकर
चंद्रपूर 915957"
"श्रीमती सुनील जोशी"	"864 फडके
नवी मुंबई-721379"
"मानसी जोशीजी"	"523 मंगेश आगरकर
चंद्रपूर 832508"
"चेतना सानेजी"	"078 लता माने
अहमदनगर-431317"
"कुमारी विवेक देशपांडे"	"5 ईश्वर कदम
अहमदनगर 577069"
"पूजा पवारजी"	"1 ईश्वर पाटील
धुळे-954663"
"अभिजीत अहेरजी"	"31/968 साळुंखे
नागपूर-109502"
"चेतन साने"	"819 शिंदे
अमरावती 046957"
"विवेक अहेरजी"	"5/9 पल्लवी ओक
रत्नागिरी-207979"
"श्रीमती माधव आगरकर"	"5/2 हर्षदा पाटील
मुंबई 620680"
"श्रीमती सुनील देशपांडे"	"58/88 भूषण देशपांडे
हिंगोली 132217"
"लता कुलकर्णी"	"99/3226 ओक
अहमदनगर-362951"
"मेघा शिंदेजी"	"213 शिंदे
सोलापूर 596908"
"कल्पना सावंत"	"3636 महाजन
गोंदिया 125354"
"जितेंद्र साळुंखे"	"35/90 साळुंखे
यवतमाळ 141967"
"श्री विकास चौगुले"	"974 आकांक्षा साळुंखे
सोलापूर-884920"
"अरुण राऊतजी"	"0/1 अशोक महाजन
ठाणे 211319"
"अभिजीत साळुंखे"	"855 अमित राऊत
सांगली-382725"
"विवेक आगरकरजी"	"4/6 राऊत
बीड 558723"
"स्नेहा जाधव"	"69/3413 भूषण साळुंखे
लातूर 413957"
"श्री रोहिणी राऊत"	"3/3 लता गायकवाड
पिंपरी-चिंचवड-645275"
"चेतना जगतापजी"	"7 हर्षद सावंत
वसई-246572"
"श्रीमती उमेश जगताप"	"66/936 पवार
लातूर-278311"
"श्रीमती अनिता शिरसाट"	"09/19 पंकज भोसले
जळगाव 691834"
"रीमा देशमुखजी"	"93/55 लता जगताप
गोंदिया 156435"
"अमोल गायकवाड"	"42/24 जोशी
अमरावती-604523"
"श्री लता कदम"	"4/5 सावंत
औरंगाबाद 106814"
"कुमारी कोमल ओक"	"7 हर्षद मोरे
औरंगाबाद-447040"
"विवेक कुलकर्णीजी"	"18/9029 मोरे
मिरज-770830"
"शिल्पा अहेर"	"84 अनिता साळुंखे
औरंगाबाद-855972"
"संदीप चव्हाण"	"9 कदम
मुंबई-510463"
"सचिन भोसलेजी"	"22/5842 माने
सांगली 153585"
"रोहिणी देशपांडेजी"	"87/81 साळुंखे
औरंगाबाद 291568"
"अनिता देशपांडे"	"9/7 आदित्य कोल्हे
परभणी 549339"
"श्रीमती हर्षदा फडके"	"36/379 सावंत
औरंगाबाद-680427"
"श्री अरुण गवळी"	"2 कदम
यवतमाळ-721031"
"सुरेश देशपांडेजी"	"7651 देशमुख
पुणे 113882"
"निखिल आगरकरजी"	"8 ठाकूर
नागपूर 807724"
"विवेक कोल्हे"	"87 पूजा पाटील
पिंपरी-चिंचवड 297152"
"श्री अभिजीत जगताप"	"257 दीपाली भोसले
अमरावती-639794"
"श्रीमती उमा जोशी"	"13 भोसले
सांगली-493364"
"आशा शिंदेजी"	"2 जाधव
पिंपरी-चिंचवड-464800"
"श्री माधुरी भोसले"	"56 मानसी साळुंखे
अकोला 711416"
"मंगेश चव्हाण"	"9/0 देशमुख
नाशिक-654609"
"श्रीमती अंजली अहेर"	"76/853 रोहिणी गायकवाड
नागपूर-567616"
"कुमारी जितेंद्र जाधव"	"8090 विनायक कदम
नाशिक-321505"
"अपर्णा पवारजी"	"22/582 मोरे
उस्मानाबाद 563746"
"प्रज्ञा ठाकूरजी"	"63 गवळी
परभणी-696393"
"विवेक गायकवाडजी"	"24/99 अभिषेक जाधव
यवतमाळ 385574"
"शिल्पा भोसलेजी"	"02/91 प्रशांत कुलकर्णी
नांदेड-532027"
"श्रीमती स्नेहा जगताप"	"8 ओक
पिंपरी-चिंचवड 133483"
"अमित गवळी"	"152 चव्हाण
नागपूर 595445"
"आकांक्षा चौगुले"	"05/4260 रोहित कांबळे
कोल्हापूर 511773"
"कुमारी मानसी अहेर"	"6632 चौगुले
वसई-865628"
"स्नेहा पाटीलजी"	"8 आगरकर
अहमदनगर-155549"
"अरुण ओक"	"12/35 अशोक देशपांडे
जळगाव-529654"
"श्रीमती हर्षद कोल्हे"	"62 आकांक्षा कुलकर्णी
मिरज 569667"
"विवेक चव्हाण"	"2/7 गवळी
मिरज-859643"
"विवेक गायकवाडजी"	"956 अशोक महाजन
धुळे-585057"
"हर्षदा पाटील"	"4466 प्रशांत शिंदे
पुणे 251351"
"गणेश राऊतजी"	"2 चेतन साने
बीड 882496"
"कुमारी कविता जगताप"	"5 जोशी
सातारा-017873"
"गौरव भोसले"	"71/8847 राऊत
नांदेड 250740"
"श्री दत्तात्रेय पाटील"	"85/5046 हर्षदा माने
मुंबई 005434"
"श्री रोहित देशमुख"	"9949 लता अहेर
चंद्रपूर 677400"
"रोहिणी गायकवाड"	"76/4692 मीनल फडके
औरंगाबाद 570057"
"श्री संदीप देशमुख"	"1/8 गवळी
गोंदिया-649575"
"कीर्ती पाटीलजी"	"88/75 रोहित आगरकर
परभणी 459445"
"विवेक चव्हाण"	"5/7 चौगुले
वसई 519129"
"चेतन चव्हाण"	"79/945 पल्लवी जाधव
ठाणे 379217"
"कीर्ती कांबळेजी"	"973 जितेंद्र शिंदे
जळगाव-625306"
"समीर चौगुलेजी"	"21/6255 माने
रत्नागिरी-912590"
"मकरंद कदम"	"4/7 चव्हाण
मुंबई 638729"
"कुमारी विवेक राऊत"	"49 दीपाली साळुंखे
नांदेड-223987"
"श्री पूजा सावंत"	"9501 आगरकर
सोलापूर 010702"
"श्री रोहित फडके"	"33 कांबळे
अहमदनगर-993727"
"जितेंद्र मोरेजी"	"33 देशमुख
उस्मानाबाद-230611"
"श्रीमती प्रज्ञा कांबळे"	"63/8023 स्नेहा गवळी
वसई 227748"
"विवेक ठाकूर"	"057 कुलकर्णी
अकोला-154753"
"मीनल ठाकूरजी"	"27/6926 आशा पवार
हिंगोली-958534"
"कोमल ठाकूरजी"	"7271 सुरेश माने
अमरावती 733795"
"कुमारी श्रुती आगरकर"	"53/4709 शिरसाट
मुंबई 851390"
"श्री जितेंद्र चव्हाण"	"7/4 विवेक साळुंखे
गोंदिया 232314"
"श्रीमती अभिषेक साने"	"06 श्रुती पाटील
वसई-411597"
"अनुष्का पवारजी"	"364 कल्पना फडके
गोंदिया 633729"
"पूजा साळुंखे"	"202 कदम
अहमदनगर-238740"
"प्रज्ञा भोसले"	"1/7 भोसले
नवी मुंबई 638743"
"श्री धनंजय ठाकूर"	"30/93 माने
नांदेड 326274"
"विवेक पाटीलजी"	"03/365 फडके
नांदेड-751434"
"कुमारी स्नेहा अहेर"	"7153 चौगुले
पिंपरी-चिंचवड 074136"
"श्रुती गवळीजी"	"92/978 अनिरुद्ध गवळी
ठाणे-822446"
"राहुल महाजन"	"93/76 सावंत
अमरावती 941586"
"शिल्पा महाजनजी"	"37/08 राऊत
अकोला-017304"
"आदित्य आगरकरजी"	"605 अनिल शिरसाट
सांगली-857664"
"श्री वैशाली भोसले"	"8842 भोसले
सातारा-555577"
"अपर्णा जोशी"	"7693 प्रकाश मोरे
नवी मुंबई-202044"
"प्रिया चव्हाणजी"	"4/5 शिंदे
सोलापूर 690224"
"श्री मीनल गवळी"	"5787 साळुंखे
पुणे 164643"
"विवेक भोसलेजी"	"49 देशमुख
धुळे-188829"
"कोमल फडके"	"0601 कल्पना माने
नांदेड 577437"
"लता ठाकूर"	"53/76 शिंदे
मुंबई-089938"
"प्रकाश पाटील"	"3204 चौगुले
नवी मुंबई-517843"
"गौरव सानेजी"	"6/6 अनिता गवळी
धुळे 940978"
"इशिता कोल्हेजी"	"7 भूषण चौगुले
बीड 120229"
"प्रकाश कांबळेजी"	"1989 माधव गायकवाड
अहमदनगर 100959"
"हर्षद मोरे"	"65 गायकवाड
यवतमाळ 589099"
"कल्पना राऊतजी"	"365 पाटील
यवतमाळ 263219"
"आकांक्षा चव्हाण"	"87/57 संदीप फडके
औरंगाबाद 215663"
"विवेक माने"	"66/2169 ज्योती देशपांडे
सोलापूर-697189"
"प्रवीण सानेजी"	"42/07 माने
नाशिक 515546"
"कुमारी कीर्ती भोसले"	"68 कांबळे
वसई-871729"
"कुमारी कोमल साने"	"0 आगरकर
धुळे-687928"
"श्री अनिता गायकवाड"	"6 संदीप फडके
रत्नागिरी-069472"
"कुमारी पूजा राऊत"	"8 सुरेश जोशी
पिंपरी-चिंचवड-953870"
"श्रीमती इशिता गायकवाड"	"85/54 कुलकर्णी
मुंबई 914000"
"अमित भोसलेजी"	"0 कदम
यवतमाळ-628684"
"तन्वी माने"	"6235 लता देशमुख
सातारा-433213"
"अनिता महाजन"	"0498 ओक
कोल्हापूर-718357"
"विवेक राऊत"	"034 गणेश साळुंखे
सातारा 467294"
"श्री स्वाती जाधव"	"96/2016 भूषण पवार
सोलापूर-354086"
"आकांक्षा भोसलेजी"	"445 जाधव
परभणी 034712"
"कुमारी गणेश कोल्हे"	"73/659 दीपक शिरसाट
पुणे 803477"
"ज्योती ठाकूर"	"6/6 मोरे
नवी मुंबई 633686"
"हर्षदा आगरकर"	"0 विवेक सावंत
नांदेड-091188"
"अरुण मोरे"	"741 मोरे
नवी मुंबई 476809"
"रोहिणी पवारजी"	"69/4644 फडके
मिरज-019408"
"श्रीमती सुनील कदम"	"0 भोसले
उस्मानाबाद-021379"
"कुमारी मीनल जाधव"	"22/0864 चव्हाण
अहमदनगर 851444"
"विवेक राऊतजी"	"40 चव्हाण
कोल्हापूर 326163"
"कुमारी रोहिणी कोल्हे"	"98/8275 हर्षदा चव्हाण
कोल्हापूर-294986"
"शिल्पा ओकजी"	"6273 अहेर
गोंदिया 333558"
