"Aaron Ceulemans","Lisasteeg 10
6043 Tertre" 
"Wim De Moor","Maaikeboulevard 93
1074
Dudzele"
"Ella Daniels","Sigridstraat 841
1611 Viemme"
"Karin Geuens De Pauw","Karenlei 52
2560
Turnhout"
"Matteo Van den Broeck","Luclaan 205
4386
Kortemark"
"Karina Wynants Debruyne","Patriciaboulevard 353
2404
Jemeppe-sur-Meuse"
"Luc Vermeire","Albertboulevard 1
8166 Scheldewindeke"
"Julie De Groof","Lievenstraat 07
2097
Piétrebais"
"Stéphane Reynders","Daisyhof 2
9293
Handzame"
"Kurt Theys","Sarahboulevard 66
1801 Sijsele"
"Elke Meert","Marthahof 5
3802
Le Roeulx"
"Stijn Wellens","Sarahsingel 2
3983 Hulshout"
"Sylvia Janssen","Ludolei 4
7880 Meyerode"
"Kenneth Daems","Freddysteeg 6
4374 Comblain-Fairon"
"Anne Jacobs","Hildelei 8
1567
Faimes"
"Thomas De Meyer","Samweg 3
5921
Heppenbach"
"Luca De Waele","Ericweg 63
3760 Denée"
"Matthew Hendrickx Demuynck","Peterpad 0
2682
Nederbrakel"
"Rita Dewulf","Noëllahof 91
7527 Sainte-Marie-sur-Semois"
"Rayan Goossens","Beatriceweg 115
6752 Rollegem-Kapelle"
"Laura Geerts","Ginostraat 9
4974 Bagimont"
"Sami Wellens","Verastraat 14
8710
Ragnies"
"Mauro Ali","Marcdreef 11
9823 Thommen"
"Isabel Peeters","Patriciasingel 5
2472 Deurne"
"Annette Smets","Gilbertstraat 783
4251 Montleban"
"Koen Blomme","Josephusboulevard 43
2799
Linkebeek"
"Lucas Cools","Magdalenahof 81
7410
Nivelles"
"Max Willems","Katrijnlaan 9
4882 Sohier"
"Gerry Peeters","Jeannedreef 133
4830
Ogy"
"Liliane Timmermans Jacobs","Carladreef 09
6962 Wattripont"
"Marijke Van Hoof","Marcdreef 17
2026
Hoeke"
"Theodoor Leys","Christopheweg 97
9333 Bekegem"
"Brigitte Martens","Edouardsingel 70
5909 La Hestre"
"Xavier Claes","Isabellehof 336
4337
Mechelen"
"Stefanie Devriendt","Robertring 413
6184
Sautour"
"Lotte Vandenberghe","Koenboulevard 7
1986 Neufmaison"
"Lucas Op de Beeck","Evystraat 65
9447 Zevergem"
"Christian Willems","Alfonshof 34
7452
Gavere"
"Michael Van den Bergh","Kathysingel 4
1752
Fauroeulx"
"Petrus De Winter","Annbaan 406
3667 Deurne"
"Erik De Schutter","Koenbaan 25
2095
Morlanwelz-Mariemont"
"Sabine Lippens","Margauxlaan 0
6371 Brûly"
"Johny De Smedt","Yvesstraat 886
8770 Sint-Kornelis-Horebeke"
"Lena Baele","Myriamring 16
9300 Saint-Médard"
"Gustaaf Dierick","Gustaafpad 91
2755
Uitbergen"
"Sofie Adriaensen","Chantaldreef 5
8256
Ivoz-Ramet"
"Lucas Peeters Engels","Anitahof 291
6883 Kerksken"
"Kamiel Mertens Vandeputte","Françoisdreef 78
3202
Erps-Kwerps"
"Laura Yilmaz","Nicoledreef 594
3273
Grandmenil"
"Marc Janssen","Patricksingel 28
2430
Vlekkem"
"Sara Nijs","Ayoubbaan 90
9639
Houthem"
"Axel De Schrijver","Michaeldreef 6
6870
Beveren-Roeselare"
"Lena Coppens","Adamlei 19
3398
Elene"
"Marie-Louise Dewaele","Ilsebaan 304
3016
Outer"
"Florent Dobbelaere","Ronnydreef 72
7223
Masnuy-Saint-Pierre"
"Albert Willekens","Maxlaan 1
8466 Meerbeke"
"Lucas Verheyen","Sylviedreef 692
8247
Oedelem"
"René Coppens","Rositastraat 12
4630
Desselgem"
"Lars Vermeersch","Marcpad 10
3295 Familleureux"
"Ann Verstraete","Sarahboulevard 782
9105
Matagne-la-Petite"
"Frederick Vleugels","Michèledreef 49
3552
Bourlers"
"Dina Van Roy Verheyden","Mauricehof 7
2388
Bambrugge"
"Adam Cools","Stijnboulevard 85
8475
Nokere"
"Marc Naessens","Casbaan 92
6096 Chaussée-Notre-Dame-Louvignies"
"Carine Janssens De Coninck","Samstraat 5
3601
Châtillon"
"Alain De Bock","Mohamedring 432
1540
Mornimont"
"Lucia Verdonck","Jacquelinebaan 71
8984 Bouwel"
"Leen Goovaerts","Marcstraat 4
8174 Buissonville"
"Sofie Van de Velde Peeters","Lisehof 0
5799 Brustem"
"Brigitte Verheyden","Micheldreef 69
6641 Nederename"
"Toon Debruyne","Hendrikring 23
3740
Zellik"
"Sara Van den Eynde","Catharinaring 39
4637
Thy-le-Bauduin"
"Frederik Rosseel","Ingridsteeg 313
5973
Herten"
"Céline Mariën","Yvesstraat 00
1819
Upigny"
"Carl Wouters","Jolienpad 534
8596
Lombise"
"Debby De Boeck","Loreweg 489
3495 Binche"
"Lucien Philips","Bartdreef 03
4015
Jollain-Merlin"
"Ward Aerts","Moniquelei 85
3265
Opprebais"
"Gert Moerman","Gregoryweg 9
6426 Bonneville"
"Alain Blomme","Lienlaan 7
1726 Eigenbilzen"
"Wilfried Vandekerckhove","Moniquedreef 853
1084
Middelburg"
"Tania Claes Loos","Mariebaan 9
5279 Hillegem"
"Eric Timmerman","Silkehof 533
4968
Hompré"
"Dave Faes","Zakariaring 25
2629
Tavigny"
"Tim Roose","Margarethasteeg 0
5757
Emblem"
"Esther Bruneel","Rudiring 5
9175 Olmen"
"Lucienne De Vos","Rosettedreef 654
3671
Buvingen"
"Johannes Maes","Karinering 66
9305 Rutten"
"Rosalia Lievens","Augustring 856
4016
Kanegem"
"Peter Vereecken","Brentsingel 27
6008 Gérompont"
"Filip Ceulemans","Janring 96
1174 Opont"
"Simon Dillen","Gustaafhof 094
3437
Céroux-Mousty"
"Kristel Daniels","Yvetteweg 71
2623 Winksele"
"Elke Claes","Olivierpad 7
7949 Montignies-sur-Roc"
"Vera Callens","Lydiaring 107
2609
Orroir"
"Liliana Van Campenhout","Andrélei 10
1392 Zonnegem"
"Lucienne Smits","Pascalboulevard 396
1691 Bailleul"
"Julie Verbeeck","Bernadettestraat 467
2406
Zemst"
"Danny Ceulemans Callewaert","Wilfriedpad 251
1533 Polleur"
"Nicole De Bock","Elifring 7
4332 Housse"
"Arlette Claes","Nathaliestraat 01
9567 Honnay"
"Paul De Boeck","Françoisering 2
8260 Hargimont"
"Jeannine De Moor","Johanlei 58
5891 Duffel"
"Charlotte Stroobants","Karinstraat 01
7826
Ecaussinnes"
"Bertha Deckers","Gunterboulevard 3
9259 Langdorp"
"Françoise Yildirim","Andrésteeg 77
7194 Etikhove"
"Ludo De Groote","Leonring 4
1002 Wolkrange"
"Steven Jonckheere","Lucienweg 0
4618 Sautour"
"Rob Gillis","Daansingel 2
7832
Emines"
"Lukas Fransen","Hugodreef 20
6043 Rocourt"
"Wouter Daems Van Goethem","Marie-Clairesteeg 628
5211 Sint-Maria-Lierde"
"Viviane Smets Wouters","Janlaan 623
5698
Bellecourt"
"Ivan De Vos","Rosaring 174
5041 Saint-Jean-Geest"
"Sarah Belmans","Mathiasbaan 58
3620 Jandrain-Jandrenouille"
"Geert Neyens","Sergelaan 0
5355 Avekapelle"
"Sammy Tack Liekens","Sarahpad 69
5497
Bonsin"
"Ludo De Rycke","Peggyboulevard 0
1824
Genval"
"Sofie Vandevelde","Antoniusweg 5
7700
Mesvin"
"Hendrik Van de Voorde","Elsbaan 46
1261 Ordingen"
"Simon De Smet","Michiellei 4
9175
Gosselies"
"Frank Staelens","Mariahof 2
6809 Ellignies-lez-Frasnes"
"Tine Maes Verschueren","Dirkdreef 9
2650 Nieuwenhove"
"An Willaert","Elinedreef 03
3851
Kain"
"Charlotte Kaya","Bartstraat 52
5592 Eprave"
"Pieter Baeyens","Glennhof 1
6235
Fleurus"
"Maarten Theunis","Bartweg 33
3832
Grez-Doiceau"
"Ludo Schepers","Yvespad 69
6212 Leke"
"Shana Diallo","Mariesingel 8
1269 Termes"
"Agnes De Smet","Eliaslaan 178
2763
Retinne"
"Nadine Van Gestel","Biancaweg 908
8171
Hour"
"Kelly Naessens","Maaikedreef 3
8472
Jehonville"
"Lea Coene","Godelievelei 55
2158 Dessel"
"Bart Heylen","Godelievaboulevard 788
9150
Virelles"
"Marie-Jeanne Hendrickx","Sanderlei 16
7607 Zandbergen"
"Mike Verwimp","Bryanweg 24
5687 Lobbes"
"Jonas Stas","Kimberlylei 76
3845 Nederzwalm-Hermelgem"
"Ludovicus Demuynck","Astridring 53
3730
Kalken"
"Kurt Van Dyck","Auréliehof 7
1529
Bouwel"
"Paul De Backer","Quintensteeg 30
2164 Piringen"
"Joost Nys","Dieterpad 16
2530
Ganshoren"
"Rosa Roose","Tomhof 4
6583
Niel"
"Fleur De Ridder Van den Bossche","Doriensingel 764
6716 Suxy"
"Joannes Rottiers","Marijkebaan 78
4685
Chercq"
"Tommy Vanhove","Stevering 49
2662
Lotenhulle"
"Sonja De Vos","Zitaboulevard 947
2011 Korbeek-Dijle"
"Yolanda Christiaens","Claudiadreef 56
5190 Moulbaix"
"Ludovicus Denys","Mariaweg 41
6465
Villers-le-Gambon"
"Jef Segers","Joanneshof 432
7720 Marbehan"
"Ilse Boone","Gilbertbaan 00
1219
Bouwel"
"Jan Claes","Andrésteeg 1
1272 Onkerzele"
"Walter Reynders","Martijndreef 922
9319 Goutroux"
"Milan Janssens","Arlettesingel 083
2015 Thumaide"
"Andy Timmermans","Louisalei 95
2811
Laarne"
"Suzanne Peeters Singh","Krispad 550
9083
Sint-Pieters-Kapelle"
"Eline Vandendriessche","Josephinaring 468
7804 Rocourt"
"Maria Peeters","Johnstraat 04
2272 Sint-Gillis-Waas"
"Ludwig Boone","Jorensteeg 0
4907 Colfontaine"
"Elisabeth De Graeve","Patriklei 6
1163 Heks"
"Petra Lauwers","Ronnydreef 741
2962
Gingelom"
"Mathias Verhaegen","Guyboulevard 48
5007 Poucet"
"Linda Adriaenssens","Louishof 21
3507 Dilbeek"
"Katrien Houben","Chrisdreef 42
7651 Tintange"
"Samuel Thijs","Sandersingel 40
4863
Framont"
"Emmanuel Tack Dubois","Mariesingel 5
8017 Grandhan"
"Marc Houben De Clercq","Angeloring 7
1812
Horebeke"
"Christophe Hermans","Pierrestraat 2
2509
Noville-sur-Méhaigne"
"Lukas De Wachter Jacobs","Annelei 2
8079 Boorsem"
"Cecile Eeckhout","Mariasingel 7
3741 Hundelgem"
"Stephanie Sels","Edouardstraat 172
8140
Grotenberge"
"Aurélie Feys","Louisstraat 64
3770
Gerin"
"Agnes Van de Velde Moreels","Taniaring 61
7707
Woumen"
"Noël Luyckx","Petrussteeg 543
9216
Vurste"
"Tamara Rogiers","Wouthof 87
1816
Libin"
"Paul Van Dessel","Ferdinandbaan 09
6657 Saint-Jean-Geest"
"Nicole Pauwels","Geertsteeg 14
3838
Pont-à-Celles"
"Yannick Pauwels","Nicopad 322
2919
Presgaux"
"Luna Huybrechts","Christasteeg 5
1692
Frasnes-lez-Buissenal"
"Ingrid Vandekerckhove","Juliasingel 69
9098 Burst"
"Odette Mertens","Pierredreef 2
4005 Ransart"
"Wout Michiels","Lucaboulevard 49
4804
Méan"
"Wendy De Bock","Mariaring 948
7059 Rosée"
"Danny Vandecasteele","Sandradreef 8
5364 Masnuy-Saint-Jean"
"Marc Cools","Marie-Josépad 44
3688
Halle"
"Suzanne De Cock","Nicolehof 8
5354 Ranst"
"Juliette De Wilde Roels","Eddyweg 2
3106 Oeren"
"Wilfried De Keyser","Bernardhof 317
7632 Koersel"
"Lutgarde Bollen Bosmans","Simonsteeg 84
5385
Waasten"
"Sven Geerts","Sophieboulevard 9
4066 Jollain-Merlin"
"Leo Wauters","Joëllesteeg 1
6823
Haltinne"
"Geert Michielsen","Ayoubdreef 531
2178 Izegem"
"Emma Vanderstraeten","Wendysteeg 91
4196
Herchies"
"Veerle De Cuyper","Johnstraat 86
6697 Gibecq"
"Floor Willems","Khalidsingel 730
7574
Ressaix"
"Ines Verelst","Pollaan 14
2039
Goutroux"
"Maria Verhaegen","Annelaan 64
9437
Elen"
"Carine Claesen","Jorispad 58
3788
Lemberge"
"Lutgarde Cornelis","Joannastraat 1
1721
Wijnegem"
"Marijke Van de Velde","Jansteeg 9
7504
Noville-sur-Méhaigne"
"Katrien Tanghe","Mariampad 494
2383
Ronquières"
"Jürgen Sterckx","Sylviesingel 810
7534 Stevoort"
"Kevin De Neve","Lilianepad 756
2032 Waha"
"Yves Dierckx","Anweg 5
9846 Loonbeek"
"Stefaan Driesen","Jurgenboulevard 464
6565
Rollegem-Kapelle"
"Jeroen De Meyer","Fabiennepad 358
4055
Weillen"
"Amir Peeters","Annasteeg 023
9266
Bassevelde"
"Tania Tack","Marcpad 1
3029 Astene"
"Lutgarde De Roeck","Filipstraat 4
5605
Nalinnes"
"Sander Janssens Cools","Ritasingel 237
9749 Achêne"
"Nadine Goethals","Noradreef 055
6965 Dailly"
"Gina Tack","Evelineweg 98
9400
Serville"
"Nicole Vermeire","Brendabaan 4
8099
Sint-Joris-Nieuwpoort"
"Erik De Schrijver","Luciepad 619
8150
Ethe"
"Arlette Smets","Williamstraat 154
5918
Moorsel"
"Nadia Bogaert","Bramboulevard 0
3428 Veurne"
"Mathias Proost","Godelievepad 19
2955
Saint-Remy"
"Lutgarde Hermans","Ambersteeg 63
5444 Jemeppe-sur-Sambre"
"Lutgarde De Wilde","Magdapad 556
6709
Verviers"
"Anne Coene","Anitabaan 38
8898
Eben-Emael"
"Vera Janssens","Vanessadreef 2
6326 Oleye"
"Mohamed Wouters","Ilyaspad 7
6884 Brûly-de-Pesche"
"Geert Moonen","Maartenlaan 0
3806 Ebly"
"Rosa Nijs","Amberdreef 508
5480
Braibant"
"Lutgart Claes","Noorhof 9
8239 Nerem"
"Mike Van den Bergh","Anjapad 19
2879 Afsnee"
"Evelien Smets","Elssingel 98
6633
Hollogne-aux-Pierres"
"Christine De Muynck","Jozefweg 6
7080 Heusden"
"Lydia Cools","Gabriellei 072
5524 Lede"
"Elza Peeters","Gerarduslei 7
7895
Tielt-Winge"
"Maria Goossens","Fatimahof 45
9239
Groot-Bijgaarden"
"Miranda Martens","Dannyboulevard 778
5091 Houdremont"
"Britt Smeets","Barbaralaan 107
6854
Langdorp"
"Diane Bruneel","Gregorystraat 993
9341 Kachtem"
"Thor Van Hecke","Marijkepad 4
6811 Waregem"
"Wim Bruyninckx","Ahmeddreef 0
9451
Wangenies"
"Hanna Sels","Marchof 40
2366
Vliermaalroot"
"Els Janssen","Florisbaan 924
3540 Neigem"
"Lydia Goossens","Karinering 95
9193
Grimbergen"
"Mia Tack De Bock","Milanhof 857
1294 Mariakerke"
"Axelle Callebaut","Marcostraat 524
3436 Liezele"
"Etienne Decoster","Moniqueboulevard 4
5210
Leut"
"Evy Claessens","Françoiselaan 383
2265
Queue-du-Bois"
"Daniel Van Damme","Irmaring 7
2717
Courrière"
"Martine Moens","Vincentdreef 343
6492 Gages"
"Philippe Maris","Patrickring 028
9233
Henri-Chapelle"
"Emmanuel Van Rompaey","Jandreef 41
4145
Ghislenghien"
"Cecilia Devos","Lucweg 0
7845
Vliermaalroot"
"Lydie Meeus","Kobehof 112
6358 Sautin"
"Louise De Smet","Patricksteeg 48
3712
Moerzeke"
"Isabelle Stevens","Timothybaan 215
5501 Quaregnon"
"Sonja De Cock","Klaasboulevard 12
9699
Haine-Saint-Pierre"
"Marc Matthys","Wouterstraat 9
3198
Hees"
"Ruben Lippens","Hermanpad 62
8128 Seneffe"
"Liliane Verhaegen Verheyen","Rooslei 9
5660
Oizy"
"Ingrid Claes","Nataschadreef 5
4653 Elewijt"
"Erik Theunis Smets","Bartsteeg 33
2768 Grazen"
"Casper Dewitte","Paulahof 2
7533
Luttre"
"Léon Peeters","Jessepad 171
5183
Sint-Lievens-Houtem"
"Stephanie Wuyts","Zoëlaan 288
5686 Heusy"
"Léon Peeters","Manuellaan 7
9824 Châtelineau"
"Ann Vanderheyden","Yvettebaan 22
9562
Herchies"
"Willy Vereecken","Michaeldreef 0
1869
Saint-Vincent"
"Frans Deceuninck","Jarnestraat 4
6509
Laforêt"
"Rita De Moor Janssens","Sennepad 1
8960 Wagnelée"
"Maria D'hondt","Michelsteeg 1
6017 Houdeng-Aimeries"
"Fien Verfaillie","Deanpad 1
9906
Molenbeersel"
"Ludo Mortier","Philippehof 9
4192
Trembleur"
"Maaike Wouters","Samlaan 2
9938
Scy"
"Kenneth Ceulemans","Janasingel 8
4518 Spermalie"
"Arne Van Gorp","Robinring 730
6761
Viesville"
"Lars De Graeve De Cock","Josephring 4
8143 Testelt"
"Julie Poppe","Dominiquebaan 0
4624 Blankenberge"
"Beatrice Schepers","Leonbaan 678
2869 Dave"
"Nadia Vandenbussche Rombouts","Jacquelinelei 21
8572 Julémont"
"Marie-Louise Janssens Van Parys","Patriciapad 739
7952
Sint-Kruis-Winkel"
"Jeroen Temmerman","Mustaphapad 743
7772
Braffe"
"Thibault Faes","Johnlei 80
3586 Ravels"
"Maarten Callens","Carolineweg 8
4926
Elsegem"
"Bram Smeets Wauters","Antoinettelei 189
5659
Schaarbeek"
"Dennis Celis","Aliweg 137
2840
Weismes"
"Robert Deprez Poppe","Nathalieweg 243
1650 Zétrud-Lumay"
"Benoit Colman Lambrecht","Dennispad 4
6488
Herzele"
"Nadine Laenen Steyaert","Koensingel 570
6819
Folx-les-Caves"
"Reinhilde Verschueren","Karllei 1
1089
Tielrode"
"Thomas De Schepper Hanssens","Fransboulevard 20
4433
Ransberg"
"Gitte Maes","Kevinlaan 2
6520 Bouvignies"
"Rosette Vermeersch","Carinehof 107
7237 's-Gravenwezel"
"Maarten Cools Feys","Bjorndreef 405
2587 Glons"
"Katja Verbiest","Annysteeg 05
8660
Remagne"
"Jonathan Houben","Kasperring 684
1324 Houthalen"
"Ali Goossens","Rolandboulevard 2
6530 Sint-Lenaarts"
"Sophie Van Daele","Dominiqueboulevard 6
7473
Gent"
"Amélie Driesen","Evalei 96
8414 Mons-lez-Liège"
"Kris Pauwels","Seppering 3
4910
Soumoy"
"Charlotte Pauwels","Loresteeg 58
1180 Marcinelle"
"Lucienne Somers","Martinesingel 7
1831
Lamain"
"Silke Vermeulen Thijs","Noahlei 3
4280 Court-Saint-Etienne"
"Maarten Decoster","Janalaan 50
9253 Dolembreux"
"Jeroen Helsen","Mohammedhof 27
9248 Seloignes"
"Tom Maes","Eriksingel 760
8067
Gages"
"Vic Verhulst","Peterbaan 465
5838
Zonnebeke"
"Louisa Schepens","Willystraat 6
9762
Lichtervelde"
"Catherine Martens","Raymonddreef 62
7828 Burg-Reuland"
"Mieke Wuyts","Eddyring 214
7016 Fontaine-l'Evêque"
"François Hendrickx","Moniquelei 266
1094 Izier"
"Hanne Timmermans","Aaronlaan 016
1275
Ledeberg"
"Jasper Bogaerts","Annlei 354
8582 Meeuwen"
"Maarten Loos","Mauricesingel 3
7598 Rosée"
"Kristof Borremans","Ninalei 536
6257
Eppegem"
"Rita Goris","Casdreef 9
7713 Houtain-le-Val"
"Lieve Nijs","Wimbaan 707
3854
Marcinelle"
"Levi Van Dyck","Marthasingel 9
2955 Basècles"
"Filip Verstraeten","Mariamboulevard 42
5766 Teuven"
"Silke Van Roy","Jenshof 5
3787 Soy"
"Maria Claes","Lieselotbaan 564
3949 Basse-Bodeux"
"Stijn Polfliet","Veraboulevard 093
5256 Offagne"
"Xavier Goris","Dirkweg 7
3092
Marenne"
"Maarten Stevens","Robbelaan 70
2477
Haacht"
"Olivier Lemmens","Clairelaan 6
6673
Stambruges"
"Annelies Smolders","Etiennelaan 7
7067 Linkhout"
"Jean Loos","Elisabethsingel 533
2676
Erembodegem"
"Karel Nuyts","Josephinaweg 545
7638
Maizeret"
"Jos Vervoort","Toonsingel 29
2414 Munte"
"Guido Stevens","Ivoweg 184
1938 Meix-le-Tige"
"Laura De Smet","Anthonylaan 07
6273 Sluizen"
"Rik Wauters","Mathildepad 293
4480
Carnières"
"Luka Hellemans Jacobs","Marleenlaan 0
8525
Evrehailles"
"Maarten Vermeylen","Bramstraat 6
8369 Branchon"
"Marcella Van de Voorde","Sonjastraat 381
3348 Lombardsijde"
"Hanne Devriendt","Nicoleboulevard 694
1545
Sint-Huibrechts-Lille"
"Agnes Boonen","Christelbaan 7
8712 Sint-Gillis-Waas"
"Katrien Melis","Marie-Christinepad 90
7017 Bonneville"
"Denis Claesen","Grietboulevard 1
1556
Grazen"
"Mila Cox","Antoniohof 133
4216 Genk"
"Andrea Martens","Lisalaan 35
3764 Namêche"
"Kris Moerman","Tonyweg 6
7245
Villers-le-Bouillet"
"Jan Vervoort","Jilllaan 2
3233 Scherpenheuvel"
"Madeleine Jacobs","Jonassingel 5
3931
Welkenraedt"
"Elke Vandamme","Adriaanpad 436
7304
Lincent"
"Lena Verhaeghe","Maudboulevard 933
4427
Onze-Lieve-Vrouw-Lombeek"
"Liliane De Cock","Laurenslaan 36
2835 Sint-Kruis"
"Silke Feys","Jamalboulevard 33
6360
Wansin"
"Freddy Kaya","Standreef 6
6214 Melsen"
"Lydia Maertens","Hansstraat 33
9545
Bousval"
"Kimberly Vervaeke","Laurenceweg 8
4826
Thieu"
"Steven Van Parys Michiels","Kristofpad 542
9483
Haut-le-Wastia"
"Nils Van Goethem","Riaboulevard 4
1580 Lesdain"
"Madeleine Van Hoof","Cynthiasteeg 2
2394 Bagimont"
"Walter Vrancken","Guybaan 460
1537
Baillonville"
"Amber Van de Velde","Arnolddreef 06
8788 Hees"
"Astrid Callebaut","Cynthiapad 65
4495 Heppenbach"
"Natascha Martens","Joshuahof 16
4039 Ruiselede"
"Christof De Winter","Rogerboulevard 95
1239 Wonck"
"Ella Peeters","Annypad 68
4463
Voorde"
"Emilie Reynaert","Irenabaan 1
1754
Arbrefontaine"
"Chris De Mey","Margueritering 74
1613
La-Roche-en-Ardenne"
"Carl De Sutter","Peterbaan 0
5294 Zarren"
"Magda Bouckaert","Paulstraat 52
2614
Malmedy"
"Nathalie De Clercq","Brigittehof 5
9593
Trivières"
"Marleen Vissers","Arthursingel 1
3248 Saint-Servais"
"An Roosen","Veerlepad 3
1378 Lobbes"
"Mila De Clerck","Julesring 80
2811 Limont"
"Carla Van Poucke","Daisyweg 075
1280 Sint-Martens-Lennik"
"Nathan De Roo","Edithdreef 110
5618 Dion"
"Carine Baeyens","Jessicalei 20
4513 Cambron-Casteau"
"Elif Van Looy Van Bogaert","Peterring 205
7502 Rosières"
"Maria Willems","Rubenboulevard 6
3254 Damme"
"Magda Claus","Hermanring 05
9783 Tielt-Winge"
"Paula Desmet","Elisaring 289
9727
Hoegaarden"
"Philippe Van Gorp","Gretapad 212
1233
Ghislenghien"
"Ingrid Segers","Brunodreef 0
6811 La Louvière"
"Marie-Louise Fierens","Wernersingel 4
4080
Knesselare"
"Tamara Heylen","Jeanring 9
9697
Berzée"
"Els Vermeulen","Saidboulevard 627
1139
Duisburg"
"Gilles De Smet","Stevenstraat 7
1245
Falmignoul"
"Maria Singh","Marie-Clairebaan 681
3770
Hoeilaart"
"Danny Van Daele","Ginodreef 167
1669
Boussu"
"Magda Gillis Vranckx","Paulring 26
6971 Zandvliet"
"Elien Martens","Nelesteeg 5
2043
Meulebeke"
"Katelijne Smits","Simonweg 595
7034 Lessive"
"Monique Loos","Kimstraat 840
6616 Biesme"
"Daniel Dejonghe","Evelienstraat 798
2941
Denderbelle"
"Mario Vaes","Veroniquering 0
7270 Kalmthout"
"Maurice De Bock","Driessteeg 3
7453 Ham-sur-Heure-Nalinnes"
"Marleen Wouters","Ninabaan 09
4774 Gerin"
"Amélie Stroobants","Annickweg 13
5889 Limelette"
"Herman De Bruyne","Ivonnepad 89
6601
Orcq"
"Magda Hermans Van Campenhout","Boweg 808
1522 Sorinne-la-Longue"
"Hilda De Keyser","Barbaralaan 25
9221 Hasselt"
"Valérie Thys","Liseweg 01
5063
Waasten"
"Jozef Neirynck","Debbysteeg 823
8708 Marbais"
"Marie Van de Voorde","Juliettelaan 33
4538 Steenhuize-Wijnhuize"
"Jan Hens","Nicksingel 75
8574
Feschaux"
"Roger Cox","Hannelaan 528
5413 Bissegem"
"Peggy Govaerts","Lindaweg 63
5126
Voort"
"Koenraad Vanhove","Nellyhof 4
3306
Chapon-Seraing"
"Katrien Van Assche","Aichaboulevard 34
2950
Houyet"
"Magda Swennen De Sutter","Fiendreef 0
5016
Houdremont"
"Marc Goris","Nadinehof 95
8705 Frasnes-lez-Buissenal"
"Luna Aerts Deleu","Marinalaan 1
3908 Voeren"
"Magali Engels","Jennifersteeg 2
3760 Wechelderzande"
"Sofie Staelens","Marcring 9
8006 Wasmes-Audemez-Briffoeil"
"Sonia Leysen","Lucsingel 982
3145 Bois-d'Haine"
"Ingrid Dupont Casteleyn","Brigittedreef 83
1902 Orsmaal-Gussenhoven"
"Marie Vandenbussche","Julielei 730
8218 Sleidinge"
"Christel Van Acker","Karinedreef 3
7563
Zoutenaaie"
"Rita De Pauw","Thierrybaan 70
8943 Piétrain"
"Magda Verbeeck","Hélènebaan 06
5766 Opoeteren"
"Niels Peeters Beckers","Lunahof 775
5840
Castillon"
"Charlotte Moonen","Bernardpad 821
2899 Wilsele"
"Marc Janssens Debruyne","Jeanweg 0
7757
Meise"
"Jozef Verheyen","Annapad 1
8813 Knokke-Heist"
"Maria Van den Bossche","Geerthof 75
4069 Aywaille"
"Micheline De Smedt","Elsbaan 99
4978 Mesen"
"Rudy Lambrechts","Agneslei 9
7799 Kooigem"
"Maria Vranken","Sonjasingel 702
7576
Brielen"
"Fien Mertens","Nadinesteeg 44
7988
Blaregnies"
"Magda Vermeiren","Elisahof 135
9067
Outer"
"Geert Baeten","Brigittesingel 78
9516
Naninne"
"Annick De Groote","Lukasboulevard 587
4890
Assent"
"Amber Tack","Lindasteeg 267
6766
Bioul"
"Liesbeth Coenen","Stefaanpad 1
4511 Villers-la-Ville"
"Emma Lambrechts","Annapad 4
2366 Moresnet"
"Marina Maes","Evelynelei 389
6329 Tourpes"
"Kim Colpaert","Monikalaan 1
7716 Ramskapelle-Nieuwpoort"
"Dean Simons","Mariaboulevard 5
6945 Jauche"
"Etienne Degryse","Emielbaan 49
5134 Ucimont"
"Magdalena Declercq","Wilfriedweg 8
5451 Estinnes"
"Christiane Houben","Simonsteeg 1
9313
Lisogne"
"Jean Goethals","Hanslei 620
1209 Saint-Mard"
"Rebecca Vermeersch","Jelleweg 7
8525 Ramskapelle-Nieuwpoort"
"Yolanda Belmans","Dominiquesteeg 65
4151 Houtvenne"
"Cathy De Roeck","Annlei 484
6867 Otrange"
"Laura De Keyser","Rogerdreef 012
3054 Eben-Emael"
"Arne Vandaele","Kathleenbaan 358
3159
Focant"
"Yvonne Vermeire","Didiersteeg 4
9408 Grand-Hallet"
"Mieke Cuyvers Van den Brande","Fatimasteeg 28
7503
Letterhoutem"
"Magdalena Desmet","Jeannineweg 942
3427
Wansin"
"Kristof De Graeve","Alfonsdreef 0
7948 Fize-le-Marsal"
"Myriam Cornelis","Martinasingel 098
5751 Molenbaix"
"Gunther Peters","Silviaring 361
2151
Belgrade"
"Olivia De Boeck","Marthalaan 0
1478
Beigem"
"André De Decker","Janaring 36
7675 Ambly"
"Yolande Bruyninckx","Antoniushof 74
4461
Mohiville"
"Denise Horemans","Lindasteeg 33
2565 Baugnies"
"Daphne Wouters","Dorinestraat 627
8441 Wimmertingen"
"Annie Bruyninckx","Jadedreef 502
5864 Cornesse"
"Magdalena Goethals","Claudinelei 154
3038 Sint-Agatha-Rode"
"Marc Baert","Johanhof 850
5151 Lint"
"Lutgart Lammens Gielen","Nicklei 6
8495
Tournay"
"Nancy Beckers","Paulsteeg 286
8238
Wéris"
"Véronique Nijs","Ahmetpad 8
3051
Sankt-Vith"
"Sofia Simons","Lanastraat 569
7064 Bovelingen"
"Marleen Martens","Marleenpad 83
1702 Peer"
