"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven" 
"Said Joos","Petersteeg 1
8302
Weismes"
"Evelyne De Schepper","Yvesboulevard 75
4515
Muizen"
"Erna Verhaegen","Elsdreef 65
1687
Spiere-Helkijn"
"Erik Poelmans","Yvonnestraat 8
1517
Zellik"
"Peter De Roeck De Roeck","Ritapad 672
3501 Amberloup"
"Jeannine Wauters","Nielslei 92
3213
Hompré"
"Louisa Vrancken","Willysteeg 7
8436
Sint-Huibrechts-Lille"
"Linda Van Acker","Annickbaan 0
3169 Harmignies"
"Cindy Van Laer","Vickyring 9
4422 Habay-la-Neuve"
"Helena Peeters","Krisweg 2
9291 Vosselaar"
"Patrick Smets Verbruggen","Jozefstraat 821
1813
Huppaye"
"Jolien De Ridder","Nicolering 17
5703 Gondregnies"
"Geert Verhaegen","Hildepad 86
2622
Hemptinne"
"Ruben Singh De Ridder","Lucpad 668
7898
Wijgmaal"
"Marleen Bervoets","Gustaafhof 579
6155 Tintigny"
"Paula Vandeputte","Samlei 197
1798 Moregem"
"Louise Coppens","Mireilleweg 90
8218
Haneffe"
"Sofie Vanhove","Robertlei 71
2298
Beuzet"
"Bart Schoofs","Pieterhof 8
4294
Luingne"
"Brigitte De Vos","Jeannehof 2
9117
Hingeon"
"André Peeters Geerts","Nicolelei 91
5446 Ivoz-Ramet"
"Yassine Baeten","Shanabaan 796
3128
Libin"
"Cornelia Declerck","Alicebaan 24
5649 Dikkelvenne"
"Linda Vanneste","Tomring 20
9103 Ernage"
"Geert Van Laere","Rositabaan 891
4216
Beffe"
"Anouk Verstraete","Pierrepad 4
4439
Elouges"
"Louise De Smet","Yveslei 5
1078 Adinkerke"
"Mehmet Wuyts","Koenbaan 182
4389 Sars-la-Buissière"
"Eduard Gielen","Luchof 3
7138 Ledeberg"
"Gaston Depuydt","Helenalei 5
2810
Ville-sur-Haine"
"Joseph Mahieu","Philippeboulevard 999
9477 Nettinne"
"Christina Boone","Marieboulevard 5
4757 Keumiée"
"Marie François","Stephaniering 26
5344
Eliksem"
"Raphaël De Ryck Van Gorp","Bartring 80
1060 Neervelp"
"Stéphanie Van Baelen Theys","Kristofdreef 81
6828
Smuid"
"Nico Melis Jacobs","Jeaninestraat 76
1293
Roisin"
"Louise Hendrickx","Peterbaan 7
2198
Achet"
"Wim De Roo","Emmaboulevard 651
6655
Dave"
"Thomas Vanhee","Kristoflei 605
3913 Opoeteren"
"Anne-Marie Van den Bossche","Waltersteeg 301
2096
Ramskapelle-Knokke-Heist"
"Yannick Yilmaz","Mariasteeg 84
5648 Oostmalle"
"Michel Vanhove Janssens","Thierrysingel 697
8971 Piétrain"
"Mona Aerts","Lorebaan 39
5289 Elsegem"
"Theo Verelst De Wolf","Christinehof 36
7601
Vieux-Waleffe"
"Maria Jans","Antoinesingel 4
3924
Liezele"
"Bram Dierckx Vermeire","Tanjapad 692
2008 Veerle"
"Louise Jonckheere","Célinering 314
5112
Enines"
"Thierry David","Claudialei 735
8419 Begijnendijk"
"Evelien De Wachter Smets","Cindyring 830
5368
Vurste"
"Mieke De Smet","Baslaan 0
6813
Moustier-sur-Sambre"
"Franciscus Pauwels","Wilfriedhof 0
4987
Ardooie"
"Inge Verboven","Danielhof 7
7498
Lierde"
"Stéphanie Van Loon","Michielweg 504
8603
Mariekerke"
"Glenn Van den Berghe","Lutgardelaan 591
9225
Nouvelles"
"Tessa De Meyer","Helenaring 69
2027
Familleureux"
"Nadia Somers","Jeroenboulevard 19
9830 Crupet"
"Louise Van Hulle","Cindybaan 2
1124 Thy-le-Bauduin"
"Giovanni Willems","Bennysingel 35
2332
Freux"
"Steven Braem Geens","Yaralei 299
8379
Wolkrange"
"Karin Roose","Lottepad 17
3351
Lichtervelde"
"Julie Bogaert","Pauladreef 01
6497
Mechelen-aan-de-Maas"
"Bernadette Naessens","Fransbaan 49
4021
Bleid"
"Jean Jonckheere","Daviddreef 81
6835
Bovenistier"
"Herman Van Poucke","Svenstraat 2
5859 Olsene"
"Peter Heylen","Katrienbaan 17
5061 Driekapellen"
"Maxime Moons","Marcbaan 1
4483 Sint-Katelijne-Waver"
"Louise Vermeulen","Lodeweg 2
8012 Engelmanshoven"
"Anna Christiaens","Alistraat 0
1082
Marcinelle"
"Sofie Vanhove","Mariaweg 08
2712 Braffe"
"Fabienne Mertens","Mariapad 494
9422
Vlijtingen"
"Claude Geuens Rombaut","Frédérichof 515
9127 Attenhoven"
"Barbara Boeckx","Anniestraat 80
5904
Hemptinne-lez-Florennes"
"Kobe Dierickx","Liesbethsteeg 55
9737 Saint-Ghislain"
"Vicky Van Dyck","Ankesteeg 9
5271
Gijzelbrechtegem"
"Sandra De Smet","Katrienlei 2
4369
Erquennes"
"Toon Geudens","Tinelei 5
5103 Suxy"
"Louise Vermeulen","Rafhof 37
2535 Neufchâteau"
"Joris De Moor","Elenabaan 493
1635 Malmedy"
"Marcel Coppens","Ilseweg 2
1918
Bossuit"
"Aaron De Bock","Wimbaan 53
4764
Vinkem"
"Fabienne Verheyen","Jeffreyhof 405
2974 Widooie"
"Etienne Bossuyt","Renéstraat 903
7607
Tourinne"
"Thomas Verhaeghe","Lindahof 4
1057 Pellenberg"
"Elza Ooms","Jeanineboulevard 8
3943 Beveren-aan-den-Ijzer"
"Leon Temmerman","Francinelei 259
8213
Leest"
"Anne Leroy","Jesseboulevard 33
3360
Aarsele"
"Luc Bracke Verbist","Katrienbaan 4
1016 Zonnegem"
"Frank Janssen Decoster","Sonjabaan 0
9419
Dampremy"
"Ariane De Sutter","Christiaanweg 895
8734
Burcht"
"Vic De Coster","Jozeflei 1
7504 Richelle"
"Paul Smits","Ceciliaweg 039
2564 Luttre"
"Julie Hermans","Woutstraat 803
3934 Heure"
"Godelieve Vanhee","Marianneweg 6
6394 Noville"
"Ann Janssens","Ingridboulevard 662
5831
Fontenoille"
"Myriam Eeckhout","Tessalei 98
5595
Vaulx-lez-Chimay"
"Robbe Ali","Ferredreef 70
4622 Fronville"
"Luc Breugelmans","Patrickstraat 136
7433 Vresse-sur-Semois"
"Steffi Vermeir","Stellabaan 489
5430 Ayeneux"
"Jozef Temmerman","Seppelaan 911
2471
Zulte"
"Gaëlle Gevaert","Adamsingel 13
7937 Massemen"
"Paula Pieters","Elenahof 8
9808 Dendermonde"
"James Colman","Karinering 216
9466 Parike"
"Sara Vranckx","Arletteweg 47
8536
Weelde"
"Christiane Van Loo","Elisedreef 095
7436 Kallo-Kieldrecht"
"Viviane Andries","Mariastraat 166
1552 Epinois"
"Wouter Simons","Elkeweg 20
4044
Agimont"
"Luc Cools","Norbertweg 3
5152
Strijtem"
"Yolande Deceuninck","Ivanpad 982
5361
Verrebroek"
"Diana Devriendt","Dieterbaan 10
6390 Niel-bij-Sint-Truiden"
"Lars Van Belle","Lenaweg 4
5265
Laarne"
"Ayoub Maes","Jelledreef 91
8608
Kaulille"
"Christiane Michiels","Juansingel 42
1284
Chaussée-Notre-Dame-Louvignies"
"Kurt Jacobs","Mariastraat 9
1087 Vaucelles"
"Georges Goossens","Irènering 1
6212 Oostmalle"
"Danny De Block","Camilleweg 68
1685 Veldwezelt"
"Amelie Matthys","Jozefboulevard 6
5585 Dikkelvenne"
"Luc Cuypers","Georgespad 491
5440 Kachtem"
"Khalid De Smet","Marcsteeg 882
9229
Schorisse"
"Hilda Depuydt","Kurthof 187
5326 Arc-Ainières"
"David Knockaert","Jacquelinebaan 42
9933 Marche-les-Dames"
"Sandra Verhelst","Magdaweg 450
7805
Petit-Roeulx-lez-Nivelles"
"Véronique Van Hecke","Elzastraat 988
3305 Schilde"
"Frank De Leeuw De Bock","Cyrielboulevard 3
2819 Bagimont"
"Christine Declercq","Monadreef 54
8853 Krombeke"
"Cornelia Houben","Joanneslaan 8
8894 Mont-Gauthier"
"Mike Smeets","Annieweg 2
4081 Quenast"
"Luc De Neve","Walterstraat 96
3253 Vlezenbeek"
"Sylvia Mariën","Antoinestraat 0
7361
Wadelincourt"
"Marleen Goethals","Aysedreef 21
1304
Marbaix"
"Nathalie Van Loon","Arlettestraat 484
2300 Biesmerée"
"Monique De Wilde","Jeroenlaan 67
6661
Londerzeel"
"Fran Vercauteren","Jeanstraat 15
2285 Desteldonk"
"Karel Derycke","Charlottepad 75
7051
Ruien"
"Lize Maes","Nathanboulevard 06
9166
Isières"
"Sandra Van Hulle Claes","Wimsingel 3
3517 Wancennes"
"Ivo Deceuninck","Stefaansingel 996
3723
Tavier"
"Luc De Roeck","Mariastraat 419
9644 Houtave"
"Katelijne De Mulder","Robinlaan 805
4133
Marke"
"Cas Holvoet","Daandreef 944
3822
Ramsel"
"Nancy Verhaeghe","Nadiahof 425
1542
Beselare"
"Ann Vanneste","Sammylaan 313
9734
Koolkerke"
"Sophie Rombaut","Johnnyweg 1
2864 Eghezée"
"Joris Vermeire","Frederikbaan 4
4317 Poesele"
"Nore Cox","Hermansteeg 2
2303
Brussegem"
"Hendrik De Rycke","Lievensteeg 386
1256 Arbre"
"Ivo Bogaert","Matthiasbaan 4
9919
Attenhoven"
"Luc Goossens","Mariepad 077
7941 Matagne-la-Grande"
"Johan Moreels","Nelelaan 2
6258
Oostende"
"Tim Van Goethem Everaert","Lisettestraat 145
2109 Watou"
"Arno Claes","Lisahof 63
3280 Welden"
"Greet Smets","Jonasdreef 91
2335 Herfelingen"
"François Faes","Samweg 313
9026 Aineffe"
"Jordy Mertens","Mauricelei 3
2309 Haut-le-Wastia"
"Marie-José Blondeel","Nadineboulevard 76
9117
Haneffe"
"Josephina Kaya","Felixdreef 39
8657
Nieuwkapelle"
"Rosa Vanbrabant","Walterweg 864
9284 Merbes-Sainte-Marie"
"Luc Heremans","Annickbaan 81
4135
Nadrin"
"Finn Roels","Elianedreef 9
6829
Sinaai-Waas"
"David Ahmed","Vickysteeg 2
9527 Herent"
"Françoise Demeyere","Marialei 1
1802 Grimbergen"
"Jayden Moreels Declerck","Jessicasingel 438
6607
Hoevenen"
"Margot De Pauw","Ellapad 058
2747 Mabompré"
"Wilhelmus Hendrickx","Mariasingel 64
5966
Roesbrugge-Haringe"
"Zeynep Lambrecht De Vos","Thomaspad 57
8971 Moeskroen"
"Dean De Cock","Alinadreef 617
4158
Loncin"
"Emilie Matthys","Rubenweg 8
4095
Velzeke-Ruddershove"
"Luc Jacobs","Yolandesingel 041
9276
Cour-sur-Heure"
"Olivier Aerts","Wimboulevard 8
8572 Namêche"
"Leona De Keyser","Piethof 1
3942 Ophain-Bois-Seigneur-Isaac"
"Eddy Thomas","Rudybaan 221
2126 Corroy-le-Grand"
"Rosa Peeters","Wendyboulevard 3
1557
Laar"
"Hans Verschueren Demeyere","Frankbaan 589
6398
Gottignies"
"Dieter Goovaerts","Victorboulevard 072
9746
Felenne"
"Viviane Verhulst Janssens","Sarahbaan 9
2870 Vencimont"
"José Heylen","Barthof 770
9862
Erneuville"
"Anne Dupont","Geertstraat 3
1256 Neufchâteau"
"Luc Lammens","Ilonasingel 0
2025
Adegem"
"Marie Coenen","Yannickhof 3
5298
Mont"
"Magda Van Loo","Sarahsteeg 0
7215 Velaine-sur-Sambre"
"Lore Verlinden","Gillesboulevard 20
2563
Beauwelz"
"Thomas De Schepper","Karellei 857
8265
Weerde"
"Luc Verheyen Maes","Catherinering 834
6137
Jallet"
"Christiana Degroote","Rubenhof 2
3350 Vissenaken"
"Josse Dewulf","Stefanielaan 9
5643 Tienen"
"Edgard Maes","Geertpad 963
4696 Briegden"
"Julia De Jonghe Vermeulen","Wilfriedring 29
9851
Oudekapelle"
"Luc Meersman","Martinering 8
9053
Thisnes"
"Raf Dewulf","Andreaslaan 0
8164 Tildonk"
"Julien Desmet","Josephinabaan 8
3178 Custinne"
"Koenraad Ceulemans Bruneel","Ronaldlaan 8
4776
Gavere"
"Nicky Thijs","Janring 0
8798 Mont-Sainte-Geneviève"
"Maria Vercruysse","Maxsteeg 44
3934
Ormeignies"
"Rita Deckers","Georgesbaan 00
4292 Keiem"
"Martine Vansteenkiste","Boboulevard 75
1368
Thuin"
"Dirk Geerts","Jeanbaan 30
4255
Knesselare"
"Martine Janssen","Lievensingel 449
5744 Hastière"
"Luc Meyers","Annhof 744
6980 Frameries"
"Franciscus Proost","Myriamdreef 50
4220
Wagnelée"
"Arlette Aerts","Sambaan 8
9860 Herk-de-Stad"
"Cindy Vissers","Lorelaan 263
7952 Namur"
"Yannick Claeys","Julessteeg 15
9488 Houthulst"
"Wim Hermans Huysmans","Robinweg 2
4446
Volkegem"
"Birgit De Clercq","Yvesdreef 359
2638 Vosselare"
"Joeri Tack","Claudiaweg 54
7472
Wielsbeke"
"Wesley Van Damme","Yvonneboulevard 298
8011
Opvelp"
"Lynn Geerts Vermeire","Wardlaan 85
6356
Wenduine"
"Luc Neirynck","Annaweg 5
2879
Wervik"
"Jules Vranken","Gerardhof 976
4203 Henis"
"Nicole Cools","Chloésteeg 6
9920
Lanklaar"
"Michel Joos","Jadelaan 530
8486 Maaseik"
"Adam Janssen","Jorissingel 86
7770 Avernas-le-Bauduin"
"Tim Leys","Didierpad 70
9802
Lokeren"
"Ann Beckers","Cécilering 4
7329
Ardooie"
"Alain Pauwels","Lucdreef 45
9458
Neufmaison"
"Emilia Peeters","Jacquelinestraat 8
9252 Redu"
"Johan Bogaert","Ansingel 910
8981
Elversele"
"Luc Pauwels","Nickbaan 1
9591 Hoogstade"
"Chantal Hermans","Miekesteeg 82
7221 Bizet"
"Laura Wuyts","Luchof 0
2638
Etalle"
"Freddy Vermeiren","Jeroenlaan 5
6562 Wiesme"
"Bart Bruyninckx","Tomweg 3
1075
Hamoir"
"Bart De Waele","Kristelstraat 4
7608
Ollignies"
"Florence Leroy","Marijkedreef 433
5312
Chevron"
"Eric Goossens","Brahimbaan 00
9461 Retie"
"Els Meyers","Nathaliepad 629
3987 Housse"
"Rebecca Van de Velde Schepens","Bartring 6
3958
Felenne"
"Luc Philips","Jensweg 15
8642 Purnode"
"Marjan De Backer","Jolienlei 3
6686 Wadelincourt"
"Albert Smet","Fatimadreef 044
3247
Beaumont"
"Tineke Callens","Lynnsingel 770
7616 Eernegem"
"Agnes Verdonck","Janstraat 1
2249 Anseremme"
"Dorine Vaes","Georgesring 19
6953 Ganshoren"
"Christel Yilmaz","Gilbertepad 63
9057
Vossem"
"Elke Goossens","Marialaan 06
9363
Welkenraedt"
"Greta Jans","Monicaboulevard 0
8726 Tohogne"
"Christine De Schepper","Marceldreef 9
7379 Limont"
"Luc Samyn Maes","Davidbaan 7
4654
Binche"
"Ana Smets","Elsweg 80
1527
Lauwe"
"Julia Janssens","Hugosteeg 9
5317 Roselies"
"Peggy Horemans","Godelievahof 392
4113 Marchienne-au-Pont"
"Linda Hermans","Danielsingel 5
1945
Orcq"
"Jeroen Jacobs","Nadineweg 786
8888
Hundelgem"
"Danielle De Coninck","Alexlei 1
4908
Buissenal"
"Joren Hermans De Decker","Jennyring 28
3347 Aarsele"
"Lise Van Bogaert","Monapad 350
2146
Neufvilles"
"Johan Verhoeven","Kristoflei 2
6538
Esen"
"Luc Snauwaert","Sanderdreef 21
2610 Villers-lez-Heest"
"Augusta Ceulemans","Martinestraat 96
4967 Falmignoul"
"Carine Depoorter","Jurgensingel 9
8005 Rukkelingen-Loon"
"Veerle Celis","Ericbaan 58
7599
Ermeton-sur-Biert"
"Godelieve Goovaerts","Nickhof 46
8428
Thommen"
"Cindy Mortier","Frankysingel 473
9704
Barvaux-sur-Ourthe"
"Bo Pauwels","Tomboulevard 0
1847
Tongeren"
"Jimmy Vermeulen","Jeroenhof 836
5969
Klerken"
"Aaron Depoorter","Inepad 6
8081
Mont-Sainte-Aldegonde"
"Jenny De Clercq","Karenlei 9
3617
Sint-Pieters-Rode"
"Luc Van den Brande","Kimstraat 1
1115 Cuesmes"
"Peter Claeys","Stefanieboulevard 507
5529
Fauvillers"
"Jacques Somers Segers","Sophiahof 2
5734 Wavreille"
"Ida De Roeck","Sarastraat 51
7139
Comblain-Fairon"
"Frank Standaert","Ingridweg 3
6937
Baulers"
"Frank Smets","Sarahstraat 74
9308
Buvingen"
"Adrian Martens","Brunosteeg 9
5083 Kobbegem"
"Serge De Backer","Ilsesteeg 613
4033 Villers-lez-Heest"
"Peter Aerts","Paulalei 077
8999
Merchtem"
"Catherine Vranken","Carlostraat 82
7503 Strépy-Bracquegnies"
"Luc Verhaeghe","Marcstraat 17
6251 Dranouter"
"Bernard Vermeulen","Marleenboulevard 72
6976
Lantremange"
"Kurt De Schrijver","Dirklaan 330
2272 Bas-Oha"
"Fatma Mariën","Nickstraat 248
4505
Horebeke"
"Alexander Moens","Patrickpad 816
9820
Veurne"
"Erna Dierckx","Rudibaan 5
1407
Moerzeke"
"Dieter Rombaut","Leaweg 9
6851
Wintershoven"
"Daniel Van Dijck","Emileboulevard 529
2781
Ath"
"Zita Bracke","Emmalei 457
3514
Warcoing"
"Cornelia Van Damme","Peterweg 15
3277
Wakken"
"Luc Vermeulen","Jefbaan 1
6550
Batsheers"
"Patricia De Ridder","Ingering 267
7019
Malèves-Sainte-Marie-Wastines"
"Luc Willems","Karellei 9
5352
Custinne"
"Victor Lievens","Mariedreef 3
7147 Rijkhoven"
"Tessa Wynants","Geertsingel 1
4278
Grand-Reng"
"Veerle De Keyser","Petrapad 36
2284
Vinkt"
"Fleur Smet","Marinadreef 34
7256 Grand-Manil"
"Stefanie Vanderlinden","Katleenring 711
5198
Heure"
"Ilse Peeters","Deniselaan 19
2946
Westende"
"Kato Verstraete Dewitte","Juandreef 88
1478
Avin"
"Luc Vervoort","Jansingel 9
8270 Vrasene"
"Lea Peeters","Philipring 374
9455
Maurage"
"Wim Bogaert","Jadeweg 840
1524 Fontaine-l'Evêque"
"Anthony Ooms","Gabriellei 76
6390
Zerkegem"
"Hans Leysen","Johandreef 218
7011 Brielen"
"Maurice Vanderstraeten","Kattyhof 940
7950 Ressegem"
"Martine Mertens","Sylviepad 00
3247 Moulbaix"
"Noor Wouters","Brunoweg 66
5161 Tillet"
"Nathalie Reynders","Frankstraat 64
4563 Trivières"
"Mustafa Marien","Norasingel 308
8202 Stave"
"Luc Vranken","Ronyboulevard 0
9760
Erpe-Mere"
"Bram Vercauteren","Runeweg 18
8040 Nijlen"
"Valérie De Baere","Kevinstraat 5
2966
Tourinne"
"Younes Heremans","Agneslei 612
6976 Huy"
"Tibo Reynders Vissers","Daansteeg 050
8834
Les Waleffes"
"Rachel De Wit De Jonghe","Sandyboulevard 8
6084 Jurbise"
"Laura Van Impe De Wolf","Janbaan 516
7943
Tournai"
"Frans Nys","Emilebaan 963
2704
Wiesme"
"Marcel Declerck De Cock","Hildestraat 54
9690 Wijer"
"Monica De Ridder","Moniquedreef 49
7284
Lincent"
"Luca Bruyninckx","Mohamedlaan 0
8176
Herquegies"
"Noëlla Huysmans","Yvonneweg 74
2507 Passendale"
"Ilona Thys","Dorienstraat 938
7405 Focant"
"Cindy Timmermans","Mariahof 58
3009
Marche-en-Famenne"
"Annie Nys","Daisypad 26
5783 Steenhuffel"
"Diana Op de Beeck","Stijnlaan 51
6889 Handzame"
"Nick Lambrechts","Tonystraat 8
9892
Buken"
"Erik Meert","Edithring 25
8538 Heusden-Zolder"
"Thibaut De Wilde","Alfonshof 7
5395 Grandmetz"
"Laurent Vercammen","Petrussingel 83
8882
Bavegem"
"Luca Driesen Jansen","Mariahof 74
2188
Ooigem"
"Patrick Huysmans","Kimstraat 805
9999
Schriek"
"Bruno Van Damme","Marieweg 4
7319
Saint-Remy-Geest"
"Gabrielle Peeters","Matteosteeg 68
6539
Opitter"
"Martine Buelens","Wouterring 96
5555
Maisières"
"Freya Van Hecke","Hildestraat 24
1791 Berneau"
"Tuur Driesen","Isabellepad 3
4342
Overboelare"
"Etienne Vanneste","Johnnydreef 9
1410 Geest-Gérompont-Petit-Rosière"
"Hans Luyten","Wendypad 92
2733
Evegnée"
"Willy Peeters Jansen","Alainpad 597
9353
Gerpinnes"
"Lucas De Roeck","Robinweg 489
2081 Sart-Dames-Avelines"
"Dominique Mertens","Nicksingel 544
2994
Seneffe"
"Martine Claes","Thomasboulevard 45
3178
Louveigné"
"Mireille Mestdagh","Ilselei 870
8319
Sensenruth"
"Johnny Berghmans","Kimhof 28
3207 Heuvelland"
"Anja Van de Velde","Kaatlei 2
7991 Archennes"
"Jean-Marie Faes","Sophiebaan 30
2851
Maubray"
"Jeroen Van Looy","Cornelisring 72
8221 Petit-Thier"
"Jonas Braem","Jeannineboulevard 4
4385
Gingelom"
"Carla De Muynck","Hansboulevard 4
1859 Gimnée"
"Lucas Hermans","Lauradreef 4
1229 Bekkevoort"
"Wim Vandewalle","Alicialei 0
4162
Rachecourt"
"Koen Deleu","Steflei 752
5760 Nobressart"
"Marianne Wouters","Guidopad 6
4373 Kortessem"
"Didier Van Loock Van den Bossche","Tomlaan 3
6972 Villers-la-Ville"
"Vic Snauwaert","Friedasingel 1
4970
Hoelbeek"
"Jean Deckers","Sanderbaan 51
5574
Torhout"
"Dirk Casteleyn","Moniquehof 6
5006
Moeskroen"
"Daisy Claes","Daandreef 5
8364
Julémont"
"John Liekens","Theodreef 48
1868
Moorslede"
"Lucas Nuyts","Paulaboulevard 4
1215
Lavoir"
"Albert Schoofs","Frankyring 308
8913
Komen-Waasten"
"Hanne Cuypers","Claudiaring 318
8357 Soumagne"
"Ella Baeyens","Adamsingel 2
1565
Alleur"
"Monique Peeters","Heididreef 900
3549 Westerlo"
"René Peeters","Peterbaan 20
7298
Néchin"
"Valère Timmermans","Nancyhof 4
8043 Beervelde"
"Ahmet Ceuppens","Svenbaan 536
2025
Thys"
"Annelies Meeus","Godelieveboulevard 218
3691
Haneffe"
"Kris Vandenbussche","Maartenstraat 8
6156
Houtem"
"Lucia Vandenbussche","Jorispad 8
7798
Onnezies"
"Rita Willems","Sebastianbaan 683
7741
Oekene"
"Joris Vermeulen","Mathieustraat 631
1940 Rèves"
"Warre Van Herck","Sanderdreef 216
8594
Arendonk"
"Rita Marien","Davidhof 8
5557 Anhée"
"Stella Schoofs","Luchof 44
1114
Ooike"
"Vicky Claeys","Celinesteeg 5
5774 Aaigem"
"Adriana De Groof","Dominiquepad 67
1656
Berchem"
"Josephina Op de Beeck Gevaert","Stanlei 04
6705 Dikkele"
"Anna Bekaert Verheyen","Christianesingel 5
8939
Malmedy"
"Lucie Janssens","Wimlaan 90
7545 Hamont"
"Simonne Van Dooren","Juliesingel 72
6959
Sinsin"
"Amélie Goovaerts","Arnauddreef 356
7343 Langdorp"
"Floris De Wulf","Josephaboulevard 56
2110
Werchter"
"Eduard Smets","Agnèsdreef 854
4799 Calonne"
"Yvette Van den Broeck","Quintenring 520
7036
Barry"
"Dirk Kerkhofs","Deniseboulevard 583
1589
Moustier"
"Emile Verhulst","Jozefpad 962
8095 Grandmetz"
"Alain Janssens Maes","Patricklaan 1
4916
Gerpinnes"
"Kato Verhelst","Rolandboulevard 53
9448 Tinlot"
"Lucie Peeters","Denisboulevard 2
4981 Saint-Vincent"
"Xander De Clerck","Jozefpad 43
3885 Meeswijk"
"Lara Broeckx","Emmasteeg 06
6389 Tielt"
"Simonne Ceulemans","Joannahof 883
9263
Virton"
"Romy Hermans Bollen","Davidlei 60
2474 Ettelgem"
"Laura Driesen","Emmahof 7
1637 Velm"
"Michael De Cock","Rikstraat 11
4455
Fize-Fontaine"
"Annie Neirynck","Paullei 0
7264 Ombret"
"Mohamed Roels","Samilaan 378
2868
Kanne"
"Jean-Pierre Leys","Abdullaan 6
6329
Framont"
"Lucien Heyvaert","Anneliesboulevard 15
8776 Hees"
"Ellen Leys Hellemans","Marcweg 25
8852 Petegem-aan-de-Leie"
"Johan Wouters","Ludovicpad 46
9041
Markegem"
"Bas Braem","Sandersteeg 411
9888
Masbourg"
"Luc Van Dessel","Carineboulevard 8
4708 Wancennes"
"Guido Verstraete","Nickdreef 092
2909
Harnoncourt"
"Simon Martens","Loubaan 134
7728 Edingen"
"Hanne Van Hecke","Veerlebaan 154
9274
Retinne"
"Ann Horemans","Vivianering 3
5913 Oostvleteren"
"Bianca Smets","Andyweg 2
2404
Tenneville"
"Lucien Verhaeghe","Koensingel 624
7139 Archennes"
"Nina Van de Velde","Anitaring 5
2006 Menen"
"Stijn Maes","Lindapad 500
2226
Abolens"
"Monique Deman","Freddypad 304
2268 Houdeng-Aimeries"
"Carl Moens","Sonjapad 16
8569 Vieux-Genappe"
"Joeri Lemmens","Anassingel 282
1035 Watervliet"
"Jan Van Loock","Mariasingel 09
7002
Reningelst"
"Thomas De Vos","Karllaan 6
2288
Châtillon"
"Anny Houben","Evastraat 74
2212
Petite-Chapelle"
"Christelle D'Hondt","Godelievaring 49
7509
Freux"
"Ludovicus François","Wouterbaan 605
3440
Sint-Martens-Leerne"
"Kristof Raes","Moniquepad 2
2917 Zarren"
"Agnes Somers","Elisabethlaan 44
5053 Ambly"
"Alexander Wouters","Jacquessingel 3
6719
Diets-Heur"
"Jens Van Nuffel","Michaelsteeg 24
4377 Ruiselede"
"Omer Daems","Runesteeg 581
9430
Soheit-Tinlot"
"Kevin Bogaert","Miekesteeg 5
9164
Afsnee"
"Caroline De Cock","Annaring 937
5297
Sinaai-Waas"
"Mohamed Vandendriessche Adriaensen","Marieweg 5
3297
Aalst"
"Maria Vandevelde","Carinaboulevard 252
1837
Borsbeke"
"Ludovicus Lemmens","Lilianestraat 661
6777
Braine-le-Château"
"Kelly Schoofs Claes","Bartbaan 573
5177 Cuesmes"
"Jordy Verschueren","Daphnebaan 3
9971
Roloux"
"Daniël Moors","Madeleinelaan 284
2873 Kemzeke"
"Debby Vercammen","Sarahpad 48
7342
Bonheiden"
"Viviane Mertens","Iliaspad 3
3757
Havay"
"Valerie Simons","Christophesteeg 6
6561 Isières"
"Jean-Pierre Verhoeven","Stefandreef 58
6468 Ouffet"
"Sofia Jacobs Verheyen","Miasingel 47
1194
Rumsdorp"
"Ignace De Clercq","Robbystraat 8
3592 Neuville-en-Condroz"
"Luka Lemmens","Wardpad 91
3344 Helen-Bos"
"Peter Mertens","Hubertlaan 217
5336 Conneux"
"Vanessa Michiels","Geertpad 10
6760
Thiaumont"
"Inge Vansteenkiste","Etiennelaan 00
8829 Hachy"
"Flore Timmerman","Micheldreef 81
3049
Bouffioulx"
"Jacques De Weerdt","Timstraat 7
7415
Mesvin"
"Pieter Lambert","Louisering 42
7757
Sint-Rijkers"
"Anja Timmerman","Ingridpad 028
2681
Mohiville"
"Edward Ahmed","Michaelweg 81
1415
Couillet"
"Greet De Wilde David","Edmondsingel 2
2340 Lanquesaint"
"Lukas Vereecke","Annicksingel 021
4116
Hévillers"
"Gerda Claes","Kristaweg 2
9419
Arbrefontaine"
"Mia Van Hove","Jeanninepad 229
6579
Stokrooie"
"Guy Wouters","Patrickstraat 62
6423
Hotton"
"Erna De Coninck","Bilallaan 16
3653 Turnhout"
"Liliane Dockx","Berthasingel 3
7434
Oeudeghien"
"Maxime Hendrickx","Peterhof 38
1054
Warquignies"
"Niels Verhoeven","Kimweg 12
6768 Wanne"
"Jeremy Vandamme","Guillaumering 17
3134 Sint-Denijs-Westrem"
"Karine De Schepper","Marialaan 361
8001
Parike"
"Lukas Wuyts","Moniquebaan 02
2717 Waver"
"Kaat De Jonghe Seghers","Koenraadsingel 59
5883 Alveringem"
"Maria Vandenbussche","Marleenboulevard 6
2102 Boirs"
"Jos Diallo Verhelst","Karinstraat 90
6420
Izenberge"
"Bert De Meester","Emilelaan 8
3113 Gages"
"Stefanie Van Herck","Charlottering 45
2218 Ploegsteert"
"Jozef Bertels","Kevinbaan 2
7942 Aisemont"
"Christian Desmet","Emilydreef 0
1682
Ham-sur-Heure-Nalinnes"
"Annelies Tanghe Poelmans","Elssingel 3
7827 Darion"
