"Ѓорги Јовановски"|"Никола Вапцаров 711
87858 Битола" 
"Доне Лазаревски"|"Рибарска 93
90280 Македонска Каменица"
"Г-ца Лилјана Спасова"|"Перо Наков 8
19551 Велес"
"Доне Николов"|"Волгоградска 68
95332 Тетово"
"Др. Влатко Младеновски"|"Булевар Свети Климент Охридски 49
87570 Струмица"
"Проф. Роза Трајковска"|"Едвард Кардељ 1б/4
70218 Струмица"
"Г-ѓа Сара Шакири"|"Востаничка 6в
69310 Струга"
"Проф. Снежана Ѓорѓиевска"|"Хелсинки 8б/4
77521 Неготино"
"Доне Андоновски"|"Ибрахим Темо 044
24572 Струмица"
"Митко Василев"|"Михаило Апостолски 39
64805 Гевгелија"
"Ристо Младеновски"|"Зелезничка 95
26614 Делчево"
"Дарија Јовановска"|"Женевска 0а/9
79730 Струмица"
"Г-н Трајче Спасов"|"Никола Карев 6в
90673 Демир Хисар"
"Даница Арсовска"|"Востаничка 48
23492 Кавадарци"
"Г-ца Роза Димовска"|"Лондонска 2
95477 Берово"
"Јовче Коцев"|"Софиска 147
67936 Тетово"
"Надица Димовска"|"Михаило Пупин 2а/7
45760 Кочани"
"Ана Лазаревска"|"Востаничка 7а/1
49028 Струга"
"Доне Глигоров"|"Варшавска 4
95937 Охрид"
"Г-ѓа Соња Георгиева"|"Виенска 6
87210 Демир Капија"
"Трајче Христов"|"Булевар Партизански одреди 591
41817 Демир Капија"
"Христо Климовски"|"Орце Николов 5б/0
35235 Делчево"
"Крсте Мусијановски"|"Илинденска 877
65879 Штип"
"Г-ца Нина Пановска"|"Волгоградска 4б
53858 Свети Николе"
"Г-н Јован Михајловски"|"Пролетерска 6а
82891 Македонски Брод"
"Г-ѓа Анета Велјанова"|"Глигор Прличев 3в
84561 Валандово"
"Проф. Митко Велјанов"|"Димитар Влахов 4а
30081 Македонска Каменица"
"Г-н Драган Коцев"|"Крушевска 0б
19385 Куманово"
"Доне Зафировски"|"Ибрахим Темо 5б/3
44157 Берово"
"Др. Роза Велјанова"|"Одбранбена 7а
82779 Охрид"
"Дејан Зафировски"|"Стоби 3б
86032 Кратово"
"Др. Наташа Мојсова"|"Петар Поп Арсов 901
96379 Битола"
"Г-ца Анета Јанева"|"Булевар Цветан Димов 9а/9
77812 Гевгелија"
"Марјан Мојсов"|"Благој Давков 930
94056 Демир Хисар"
"Г-ца Марина Поповска"|"Едвард Кардељ 7б
55053 Виница"
"Ѓорче Николов"|"Булевар Гоце Делчев 6а
23736 Богданци"
"Сузана Глигорова"|"Ленинградска 3а
12930 Крушево"
"Проф. Никола Митревски"|"Михаило Апостолски 1в
86112 Делчево"
"Доне Трајковски"|"Шарпланинска 595
09464 Гевгелија"
"Др. Иванка Петковска"|"Булевар Гоце Делчев 4
20779 Кратово"
"Г-н Филип Наумовски"|"Радовишка 1
80845 Кочани"
"Г-ѓа Тања Георгиева"|"Воденска 0б/6
28156 Гевгелија"
"Др. Жарко Димитриев"|"Булевар Цветан Димов 74
89988 Неготино"
"Јасмина Пановска"|"Маршал Тито 308
20045 Крушево"
"Др. Соња Велјанова"|"Зелезничка 79
43186 Неготино"
"Проф. Магдалена Мартиновска"|"Природна 7в
75609 Македонска Каменица"
"Др. Ристо Младеновски"|"Булевар Никола Карев 3а
44411 Тетово"
"Др. Анита Чулева"|"Никола Вапцаров 60
80926 Кочани"
"Др. Ѓорги Спасовски"|"Глигор Прличев 4б
67384 Струмица"
"Ѓорче Ѓорѓиевски"|"Васил Главинов 0в
79211 Куманово"
"Горан Јовчев"|"Виенска 79
43914 Штип"
"Марина Михајловска"|"Софиска 98
99720 Ресен"
"Г-н Слободан Мојсов"|"Никола Вапцаров 3а/8
22160 Берово"
"Проф. Ангела Михајловска"|"Булевар Цветан Димов 0в
51545 Делчево"
"Г-н Томе Димовски"|"Јане Сандански 7б/5
43434 Кавадарци"
"Проф. Симона Ѓорѓиевска"|"Варшавска 3а
41793 Охрид"
"Маја Глигорова"|"Кеј Димитар Влахов 4
15401 Ресен"
"Тања Петровска"|"Шарпланинска 5б
59835 Тетово"
"Др. Ѓорче Дурловски"|"Шарпланинска 4б/9
62920 Крива Паланка"
"Игор Лазаревски"|"Никола Карев 9а
67258 Кавадарци"
"Марко Петковски"|"Николај Коперник 5б/1
26661 Битола"
"Проф. Тијана Зафировска"|"Аристотел 3б/8
63769 Богданци"
"Димитар Димитриев"|"Славеј Планина 6б
58245 Куманово"
"Лазар Цветковски"|"Лондонска 0б/5
37799 Куманово"
"Проф. Марјан Климовски"|"Хелсинки 2а
56459 Дебар"
"Ангела Заева"|"Петар Поп Арсов 8а
61668 Охрид"
"Г-ца Јована Поповска"|"Булевар Александар Македонски 0в
39621 Гевгелија"
"Г-н Лука Тодоровски"|"Радовишка 7б
04691 Дебар"
"Др. Јане Мартиновски"|"Петар Поп Арсов 8б
33099 Пехчево"
"Г-ца Василка Мојсова"|"Лондонска 702
24283 Пробиштип"
"Др. Даница Дамјановска"|"Никола Вапцаров 0б
11946 Пехчево"
"Борче Мусијановски"|"Глигор Прличев 2
13945 Македонски Брод"
"Проф. Наум Поповски"|"Булевар Свети Климент Охридски 9б
66875 Богданци"
"Др. Павле Лазаревски"|"Крсте Мисирков 6в
28823 Струмица"
"Проф. Огнен Стефановски"|"Одбранбена 3б/8
17034 Богданци"
"Кузман Георгиев"|"Зелезничка 7в
81841 Крива Паланка"
"Елизабета Атанасова"|"Крушевска 964
54329 Пробиштип"
"Др. Лука Арсовски"|"Орце Николов 9а/4
55615 Битола"
"Др. Јане Симоновски"|"Булевар Партизански одреди 8
37690 Гостивар"
"Проф. Марјан Ѓорѓиевски"|"Никола Карев 93
79448 Кочани"
"Проф. Христо Ристовски"|"Благој Давков 5а
45114 Дебар"
"Доне Михајловски"|"Зелезничка 2а
40340 Кичево"
"Игор Иванов"|"Маршал Тито 3в
90312 Радовиш"
"Тодор Спасов"|"Пролетерска 4в
05643 Македонски Брод"
"Мартина Матевска"|"Скупи 17
15117 Прилеп"
"Елизабета Гавриловска"|"Трета македонска бригада 925
27475 Валандово"
"Др. Стојан Василев"|"Свети Климент Охридски 383
27551 Гевгелија"
"Арсен Дешановски"|"Букурешка 3
39120 Пехчево"
"Др. Јане Шакири"|"Кеј Димитар Влахов 1а/5
49316 Скопје"
"Проф. Михаил Велјанов"|"Воденска 0
73175 Велес"
"Лина Атанасова"|"Лондонска 5
13513 Пехчево"
"Јована Гроздановска"|"Партизански одреди 236
76364 Прилеп"
"Коста Петровски"|"Луј Пастер 9
25954 Ресен"
"Емилија Мартиновска"|"Рибарска 6а
35990 Радовиш"
"Димитар Јовановски"|"Илинденска 86
83064 Пробиштип"
"Г-ца Невена Симоновска"|"Одбранбена 5а/9
33556 Демир Капија"
"Билјана Христова"|"Славеј Планина 6а
16157 Скопје"
"Слободан Бојаџиев"|"Тодор Александров 9а/6
27885 Тетово"
"Др. Јасмина Василева"|"Бриселска 8б/3
26371 Пробиштип"
"Г-н Митко Христов"|"Луј Пастер 185
27173 Богданци"
"Г-ѓа Марија Бојаџиева"|"Христијан Тодоровски Карпош 26
46138 Берово"
"Проф. Мирјана Матевска"|"Виенска 922
19711 Кичево"
"Др. Снежана Лазова"|"Букурешка 8а
79113 Дебар"
"Ана Крстеска"|"Шарпланинска 582
52343 Кавадарци"
"Г-ца Симона Климовска"|"Аристотел 2в
27083 Куманово"
"Проф. Анета Лазаревска"|"Славеј Планина 1б/8
46294 Гостивар"
"Гордана Крстеска"|"Трета македонска бригада 6а
23751 Гевгелија"
"Проф. Кристина Глигорова"|"Глигор Прличев 7
13309 Велес"
"Др. Јасмина Глигорова"|"Никола Вапцаров 721
38689 Охрид"
"Митко Ѓорѓиевски"|"Партизански одреди 3в
79149 Скопје"
"Невена Ѓоргиева"|"Благој Давков 2а
37333 Битола"
"Стефанија Спасовска"|"Ленинградска 3
57810 Македонски Брод"
"Илија Спасов"|"Булевар Цветан Димов 0б/1
35254 Демир Хисар"
"Др. Кристина Стојановска"|"Кирил Пејчиновиќ 590
05828 Свети Николе"
"Лина Марковска"|"Тодор Александров 311
04807 Свети Николе"
"Горан Илиев"|"Булевар Гоце Делчев 657
36509 Неготино"
"Г-ца Снежана Василева"|"Петар Поп Арсов 067
05657 Пехчево"
"Др. Елена Илиева"|"Булевар Гоце Делчев 0а
37284 Кочани"
"Др. Јасмина Крстеска"|"Јасминска 2в
43901 Ресен"
"Проф. Симона Велјанова"|"Булевар Блаже Конески 845
73486 Струга"
"Др. Данче Заева"|"Дојранска 151
78938 Радовиш"
"Г-ца Милена Христова"|"Ибрахим Темо 7б
70658 Тетово"
"Г-ца Благица Коцева"|"Лазар Личеноски 4в
66895 Гевгелија"
"Проф. Цвета Марковска"|"Востаничка 967
45648 Македонски Брод"
"Проф. Васил Дамјановски"|"Петар Поп Арсов 5
01602 Кичево"
"Сања Глигорова"|"Славеј Планина 1а
69544 Струга"
"Др. Борис Младеновски"|"Булевар Цветан Димов 3
60049 Богданци"
"Г-н Бојан Митревски"|"Перо Наков 7б
66485 Крива Паланка"
"Др. Јован Ѓорѓиевски"|"Даме Груев 0в
41698 Кочани"
"Виолета Мартиновска"|"Димитар Влахов 0б
63516 Куманово"
"Др. Стефан Мартиновски"|"Кирил Пејчиновиќ 0а/4
23549 Македонски Брод"
"Сара Ѓорѓиевска"|"Благој Давков 5б/0
22414 Македонска Каменица"
"Г-н Јовче Ѓоргиев"|"Булевар Блаже Конески 4в
95136 Пехчево"
"Др. Чедо Николов"|"Лондонска 9б
29333 Гевгелија"
"Г-ца Марија Арсовска"|"Булевар Александар Македонски 6а
33922 Крива Паланка"
"Др. Соња Дурловска"|"Булевар Блаже Конески 3б/0
15934 Охрид"
"Мирјана Мартиновска"|"Хелсинки 6б
98188 Куманово"
"Тодор Андоновски"|"Бриселска 1
64079 Кавадарци"
"Др. Јована Георгиева"|"Тодор Александров 64
87850 Кратово"
"Видое Петковски"|"Маршал Тито 10
55657 Тетово"
"Дамјан Глигоров"|"Крсте Мисирков 4в
87526 Охрид"
"Тихомир Велков"|"Илинденска 6а
76829 Прилеп"
"Маја Спасова"|"Женевска 4а
57035 Неготино"
"Г-ца Ана Климовска"|"Будимпештанска 4а/0
28108 Македонски Брод"
"Проф. Дамјан Михајловски"|"Природна 7а
32653 Делчево"
"Г-н Цветан Илиев"|"Михаило Пупин 9а
60705 Радовиш"
"Др. Александра Спасова"|"Орце Николов 7
69344 Неготино"
"Михаил Пановски"|"Радовишка 3
21073 Прилеп"
"Др. Јована Димовска"|"Климент Охридски 2в
00417 Ресен"
"Г-н Горан Христов"|"Перо Наков 4а/6
76347 Битола"
"Проф. Крсте Петровски"|"Никола Вапцаров 6
21339 Демир Хисар"
"Иван Мусијановски"|"Булевар Цветан Димов 11
40672 Македонски Брод"
"Г-ца Ана Трајковска"|"Кирил Пејчиновиќ 1в
57343 Македонски Брод"
"Атанас Христов"|"Кеј Македонија 7в
81562 Богданци"
"Никола Стојановски"|"Христијан Тодоровски Карпош 7б/0
98765 Кавадарци"
"Г-ѓа Тијана Стефановска"|"Букурешка 3в
31442 Делчево"
"Проф. Благој Георгиев"|"Шарпланинска 3а
21226 Берово"
"Г-ца Софија Иванова"|"Ибрахим Темо 8в
53960 Гостивар"
"Др. Јована Петровска"|"Булевар Свети Климент Охридски 0в
71369 Демир Капија"
"Симона Дамјановска"|"Пролетерска 4б/0
03346 Ресен"
"Елизабета Цветковска"|"Бриселска 2б/9
99742 Пробиштип"
"Тања Дешановска"|"Илинденска 5б
42082 Делчево"
"Билјана Поповска"|"Одбранбена 5а
23003 Куманово"
"Проф. Ристо Коцев"|"Кеј Македонија 1
85522 Берово"
"Проф. Бранко Бојаџиев"|"Воденска 4
89056 Македонска Каменица"
"Проф. Лука Симоновски"|"Самоилова 0б/6
19805 Битола"
"Др. Нина Зафировска"|"Рибарска 12
17287 Пробиштип"
"Г-ѓа Гордана Велкова"|"Булевар Цветан Димов 7а
88489 Виница"
"Др. Јована Стојановска"|"Јане Сандански 8
71127 Скопје"
"Кирил Донев"|"Шарпланинска 6в
88950 Велес"
"Др. Сузана Јовчева"|"Хелсинки 7в
22540 Прилеп"
"Лилјана Заева"|"Михаило Пупин 017
99604 Кичево"
"Коста Крстев"|"Михаило Апостолски 12
32541 Кавадарци"
"Г-н Илија Велјанов"|"Дојранска 3б/0
64187 Куманово"
"Г-н Драган Христов"|"Даме Груев 7б/7
33637 Струга"
"Г-н Борче Стојановски"|"Рибарска 49
24545 Свети Николе"
"Г-ца Благица Крстева"|"Булевар Партизански одреди 36
55108 Пробиштип"
"Проф. Ана Лазаревска"|"Едвард Кардељ 7а/3
58143 Радовиш"
"Др. Јовче Димитриев"|"Хелсинки 906
19733 Свети Николе"
"Др. Христо Ѓорѓиевски"|"Булевар Цветан Димов 6а
86590 Кавадарци"
"Г-ѓа Ангела Бојаџиева"|"Наум Охридски 9в
35740 Ресен"
"Проф. Снежана Димитриева"|"Тодор Александров 62
61530 Берово"
"Г-ца Василка Стојановска"|"Булевар Свети Климент Охридски 56
73411 Гевгелија"
"Г-ца Марија Тодоровска"|"Воденска 2а/0
83118 Радовиш"
"Трајче Донев"|"Илинденска 6а
05206 Делчево"
"Др. Стојан Гроздановски"|"Воденска 9
95470 Гевгелија"
"Г-ца Роза Алексовска"|"Воденска 512
86564 Виница"
"Цветанка Димитриева"|"Крсте Мисирков 6а/4
59990 Тетово"
"Др. Јовче Наумовски"|"Васил Главинов 4а
75818 Штип"
"Катерина Трајковска"|"Трета македонска бригада 6в
74304 Охрид"
"Васка Спасовска"|"Дојранска 0а/3
57943 Берово"
"Лилјана Велкова"|"Кирил Пејчиновиќ 8
66321 Пехчево"
"Цветанка Јовчева"|"Букурешка 81
89598 Скопје"
"Роза Ѓорѓиевска"|"Радовишка 5б/3
55193 Охрид"
"Стефан Јовчев"|"Варшавска 5в
66605 Велес"
"Др. Весна Тодоровска"|"Лазар Личеноски 1б/6
84386 Крива Паланка"
"Тијана Спасова"|"Стоби 5а
70706 Дебар"
"Дамјан Заев"|"Волгоградска 62
44356 Берово"
"Др. Александар Марковски"|"Одбранбена 7в
00795 Куманово"
"Даница Михајловска"|"Димитар Влахов 9
72263 Тетово"
"Душан Трајковски"|"Благој Давков 268
26454 Прилеп"
"Сања Михајловска"|"Одбранбена 5б
48956 Богданци"
"Павле Спасовски"|"Јасминска 4в
28865 Битола"
"Г-н Момчило Ѓорѓиевски"|"Тодор Александров 9в
37212 Неготино"
"Г-ѓа Василка Јовановска"|"Никола Вапцаров 9б/1
79974 Велес"
"Проф. Благој Стефановски"|"Скупи 6
66669 Неготино"
"Наташа Чулева"|"Петар Поп Арсов 1
45282 Валандово"
"Др. Симон Цветковски"|"Едвард Кардељ 2б/2
58089 Пехчево"
"Др. Александра Матевска"|"Никола Карев 2б
56784 Битола"
"Г-н Петре Јовановски"|"Стоби 4б/5
64809 Струмица"
"Проф. Елена Илиева"|"Воденска 1б
08957 Македонски Брод"
"Марко Ѓорѓиевски"|"Крсте Мисирков 23
57489 Охрид"
"Г-ѓа Драгана Дурловска"|"Стоби 9а/7
24526 Демир Капија"
"Бојан Бојаџиев"|"Славеј Планина 975
06554 Радовиш"
"Лазар Пановски"|"Крушевска 0
64423 Битола"
"Проф. Ана Чулева"|"Булевар Александар Македонски 6а
52517 Делчево"
"Г-н Арсен Андоновски"|"Рибарска 1б/9
79590 Богданци"
"Невена Лазова"|"Маршал Тито 5а
15556 Македонска Каменица"
"Др. Александра Ристовска"|"Никола Русински 5
27114 Кратово"
"Проф. Јане Лазов"|"Стоби 8а
24402 Валандово"
"Др. Коста Ѓорѓиевски"|"Климент Охридски 3в
56596 Скопје"
"Јасмина Симоновска"|"Одбранбена 701
06574 Штип"
"Г-н Марјан Христов"|"Крушевска 3б
49662 Македонска Каменица"
"Др. Дамјан Шакири"|"Стоби 4
26803 Демир Капија"
"Г-ца Симона Бојаџиева"|"Луј Пастер 4в
56905 Тетово"
"Мартина Иванова"|"Гоце Делчев 0
31482 Крива Паланка"
"Зоран Христов"|"Хелсинки 2б/2
29096 Крива Паланка"
"Благица Симоновска"|"Букурешка 1
10483 Велес"
"Др. Александра Стефановска"|"Аристотел 6а
66402 Пробиштип"
"Соња Климовска"|"Гоце Делчев 09
51975 Гевгелија"
"Проф. Дејан Донев"|"Одбранбена 2б
41907 Струмица"
"Проф. Анита Јовановска"|"Георги Димитров 0
67475 Богданци"
"Горан Марковски"|"Јован Хаџи Константинов Џинот 626
57247 Радовиш"
"Софија Коцева"|"Булевар Партизански одреди 9в
89677 Кичево"
"Борис Лазов"|"Булевар Никола Карев 6а
28330 Тетово"
"Г-н Ѓорче Николов"|"Орце Николов 49
99679 Кавадарци"
"Митко Димитриев"|"Перо Наков 3в
18579 Македонска Каменица"
"Г-ѓа Симона Цветковска"|"Лазар Личеноски 4а/7
13835 Струмица"
"Др. Александра Шакири"|"Зелезничка 83
10597 Куманово"
"Др. Невена Алексовска"|"Луј Пастер 7в
46253 Пробиштип"
"Г-н Зоран Младеновски"|"Аристотел 1а
74933 Богданци"
"Чедо Симоновски"|"Тодор Александров 948
15927 Крушево"
"Софија Петровска"|"Булевар Гоце Делчев 8б
68134 Струмица"
"Тијана Алексовска"|"Стоби 9а/3
38336 Прилеп"
"Г-ѓа Тијана Пановска"|"Наум Охридски 1а
88653 Велес"
"Оливера Христова"|"Крушевска 5б
48033 Прилеп"
"Др. Анета Алексовска"|"Дојранска 0в
50127 Пробиштип"
"Ристо Поповски"|"Николај Коперник 8б/3
95537 Тетово"
"Др. Алексеј Алексовски"|"Софиска 22
71527 Демир Хисар"
"Др. Билјана Дурловска"|"Будимпештанска 00
29342 Гостивар"
"Соња Петровска"|"Лондонска 6в
45816 Скопје"
"Г-н Методи Петровски"|"Илинденска 9а/2
76874 Богданци"
"Трајан Коцев"|"Никола Карев 986
68438 Битола"
"Г-ѓа Маја Христова"|"Јане Сандански 8а
01169 Кавадарци"
"Емил Андоновски"|"Природна 6б/5
86281 Валандово"
"Данче Ѓоргиева"|"Радовишка 3
70989 Кичево"
"Г-ѓа Лилјана Поповска"|"Георги Димитров 2а
45925 Прилеп"
"Др. Катерина Ѓорѓиевска"|"Аристотел 5б/8
61821 Богданци"
"Др. Алексеј Велков"|"Јасминска 5а/4
52461 Кратово"
"Александра Крстева"|"Гоце Делчев 2а/3
03625 Македонска Каменица"
"Проф. Петре Поповски"|"Радовишка 6
05885 Тетово"
"Видое Зафировски"|"Аристотел 7б/9
22681 Крива Паланка"
"Проф. Момчило Коцев"|"Лондонска 489
79978 Гевгелија"
"Лилјана Ѓоргиева"|"Илинденска 5б
81407 Свети Николе"
"Г-н Трајче Василев"|"Христијан Тодоровски Карпош 12
35861 Охрид"
"Марјан Лазов"|"Лазар Личеноски 81
07974 Кочани"
"Др. Огнен Велков"|"Софиска 9в
92816 Крива Паланка"
"Иван Димовски"|"Славеј Планина 6б
11152 Велес"
"Др. Алексеј Крстев"|"Едвард Кардељ 456
47318 Гевгелија"
"Проф. Никола Зафировски"|"Илинденска 3б
90760 Кратово"
"Христо Велков"|"Ибрахим Темо 1а
00053 Македонска Каменица"
"Душан Глигоров"|"Николај Коперник 11
29208 Кавадарци"
"Анита Шакири"|"Зелезничка 1
83579 Кавадарци"
"Бранко Бојаџиев"|"Михаило Пупин 67
75525 Кичево"
"Др. Билјана Коцева"|"Булевар Свети Климент Охридски 7а/0
94077 Крушево"
"Марко Заев"|"Никола Русински 7б/6
59329 Делчево"
"Александра Младеновска"|"Скупи 2б/9
55798 Охрид"
"Огнен Цветковски"|"Булевар Партизански одреди 4в
67473 Прилеп"
"Др. Алексеј Мусијановски"|"Луј Пастер 54
41855 Штип"
"Г-ѓа Билјана Лазова"|"Маршал Тито 9
81569 Кочани"
"Г-ца Ана Тодоровска"|"Едвард Кардељ 8б
31879 Гевгелија"
"Проф. Гоце Петковски"|"Кеј Македонија 905
60353 Демир Хисар"
"Г-н Филип Тодоровски"|"Бриселска 0б/6
52247 Демир Хисар"
"Иван Стојановски"|"Георги Димитров 3
79550 Пехчево"
"Горан Цветковски"|"Букурешка 153
15038 Валандово"
"Г-н Дамјан Илиев"|"Кеј Димитар Влахов 7в
74752 Демир Капија"
"Г-ца Ана Арсовска"|"Крушевска 6
77280 Куманово"
"Проф. Соња Јовчева"|"Питу Гули 04
70197 Крива Паланка"
"Др. Алексеј Спасов"|"Крушевска 870
85593 Македонски Брод"
"Проф. Игор Дешановски"|"Васил Главинов 7
20795 Гостивар"
"Драган Георгиев"|"Крушевска 160
17925 Радовиш"
"Бојан Илиев"|"Хелсинки 583
60306 Кичево"
"Лазар Крстески"|"Благој Давков 6
23246 Штип"
"Г-н Алексеј Ѓоргиев"|"Хелсинки 4а/1
91068 Македонска Каменица"
"Дарко Глигоров"|"Лазар Личеноски 4а
64904 Делчево"
"Др. Ангела Младеновска"|"Воденска 1в
73760 Македонски Брод"
"Проф. Дарко Георгиев"|"Никола Карев 28
86330 Скопје"
"Г-ѓа Анета Апостолова"|"Климент Охридски 875
50529 Пробиштип"
"Др. Алексеј Спасовски"|"Петар Поп Арсов 0а
12507 Дебар"
"Проф. Даниел Христов"|"Николај Коперник 7б/4
69852 Кавадарци"
"Михаил Николов"|"Виенска 0б
94377 Богданци"
"Стефанија Арсовска"|"Луј Пастер 9а/0
42962 Гевгелија"
"Г-н Кирил Дешановски"|"Благој Давков 7б
35173 Крушево"
"Др. Арсен Лазаревски"|"Будимпештанска 7а
95031 Делчево"
"Проф. Бојан Коцев"|"Ленинградска 885
56884 Свети Николе"
"Г-н Ѓорче Спасов"|"Никола Вапцаров 0в
98108 Битола"
"Г-н Даниел Георгиев"|"Гоце Делчев 0б
34593 Ресен"
"Г-ѓа Милена Бојаџиева"|"Женевска 579
62702 Валандово"
"Др. Алексеј Цветковски"|"Наум Охридски 4б/5
88842 Македонска Каменица"
"Г-н Методи Андоновски"|"Христијан Тодоровски Карпош 5б/1
55885 Крушево"
"Даница Михајловска"|"Самоилова 1а/5
14920 Кавадарци"
"Г-ца Цвета Мартиновска"|"Даме Груев 3а/0
83786 Прилеп"
"Г-ѓа Валентина Ристовска"|"Кеј Македонија 27
79832 Кочани"
"Лина Крстева"|"Зелезничка 9б
23326 Крушево"
"Весна Марковска"|"Михаило Пупин 92
33124 Пехчево"
"Г-ѓа Наташа Лазаревска"|"Петар Поп Арсов 3б
47964 Штип"
"Г-н Чедо Михајловски"|"Крушевска 7а/0
24889 Пехчево"
"Дејан Лазов"|"Крушевска 0б
40672 Свети Николе"
"Др. Ана Николова"|"Питу Гули 8
78740 Струмица"
"Томе Георгиев"|"Михаило Пупин 3в
38277 Кичево"
"Емилија Спасовска"|"Христијан Тодоровски Карпош 1а
31403 Дебар"
"Проф. Димка Крстева"|"Глигор Прличев 6б
08622 Битола"
"Г-ѓа Милена Мојсова"|"Трета македонска бригада 78
55058 Битола"
"Христо Георгиев"|"Булевар Свети Климент Охридски 559
25170 Куманово"
"Тијана Јовчева"|"Булевар Гоце Делчев 8в
87248 Пехчево"
"Др. Филип Мојсов"|"Женевска 36
22333 Демир Хисар"
"Михаил Арсовски"|"Ленинградска 5б
75364 Гевгелија"
"Г-н Симон Петровски"|"Кеј Македонија 4а/3
04215 Кичево"
"Др. Ана Пановска"|"Илинденска 3
17658 Пехчево"
"Проф. Васка Спасовска"|"Стоби 87
03296 Македонски Брод"
"Василка Симоновска"|"Волгоградска 5б/0
43789 Берово"
"Невена Мартиновска"|"Дојранска 81
95046 Кочани"
"Г-ѓа Гордана Арсовска"|"Булевар Цветан Димов 3
73960 Гевгелија"
"Јане Зафировски"|"Христијан Тодоровски Карпош 029
39209 Кавадарци"
"Благој Јовчев"|"Булевар Блаже Конески 1б/1
43285 Кратово"
"Др. Борче Гроздановски"|"Ленинградска 5б
02251 Крушево"
"Лука Јовановски"|"Партизански одреди 010
15178 Битола"
"Др. Ѓорги Глигоров"|"Николај Коперник 3в
14722 Демир Капија"
"Др. Ана Петровска"|"Јасминска 158
77372 Тетово"
"Томе Алексовски"|"Илинденска 43
99531 Македонски Брод"
"Стојан Јанев"|"Бриселска 5а/2
17418 Гостивар"
"Г-ѓа Иванка Заева"|"Булевар Гоце Делчев 2в
04073 Битола"
"Г-ѓа Милена Поповска"|"Востаничка 0б
93315 Делчево"
"Г-н Лазар Мојсов"|"Самоилова 0а/5
50253 Струга"
"Атанас Алексовски"|"Пролетерска 8а
62540 Виница"
"Марјан Глигоров"|"Кеј Димитар Влахов 0а/2
74262 Битола"
"Снежана Гавриловска"|"Славеј Планина 3
74391 Свети Николе"
"Г-ѓа Сања Трајковска"|"Дојранска 6а/6
74836 Крива Паланка"
"Др. Ангела Јовановска"|"Даме Груев 3б/3
66828 Крушево"
"Тијана Николовска"|"Димитар Влахов 2б
57768 Виница"
"Проф. Билјана Јовчева"|"Букурешка 632
72426 Неготино"
"Александра Атанасова"|"Волгоградска 965
97571 Демир Хисар"
"Др. Крсте Ристовски"|"Гоце Делчев 1а/7
93649 Кратово"
"Др. Марина Петровска"|"Даме Груев 3в
96333 Радовиш"
"Нина Крстеска"|"Едвард Кардељ 15
58447 Скопје"
"Софија Стефановска"|"Ибрахим Темо 6
38058 Велес"
"Бојан Велјанов"|"Георги Димитров 0
07561 Валандово"
"Томе Мартиновски"|"Христијан Тодоровски Карпош 5а/4
61751 Тетово"
"Др. Ангела Арсовска"|"Булевар Партизански одреди 8б
78500 Струмица"
"Др. Анита Михајловска"|"Радовишка 996
88030 Штип"
"Проф. Мирјана Донева"|"Луј Пастер 879
09712 Валандово"
"Г-ца Сара Михајловска"|"Воденска 5
70936 Битола"
"Борис Пановски"|"Волгоградска 2в
62251 Прилеп"
"Иван Мусијановски"|"Петар Поп Арсов 5
52081 Битола"
"Проф. Трајче Цветковски"|"Михаило Апостолски 05
74778 Тетово"
"Кристина Андоновска"|"Благој Давков 9б/2
75512 Куманово"
"Г-н Васил Георгиев"|"Христијан Тодоровски Карпош 61
88895 Богданци"
"Проф. Лилјана Крстева"|"Питу Гули 6а/0
70816 Прилеп"
"Др. Ангела Ристовска"|"Булевар Александар Македонски 602
40820 Кичево"
"Благој Спасовски"|"Букурешка 3в
78458 Дебар"
"Др. Дарија Лазаревска"|"Никола Русински 7б/0
71976 Делчево"
"Тијана Поповска"|"Васил Главинов 5
29359 Гевгелија"
"Др. Михаил Ѓоргиев"|"Перо Наков 2а/8
60893 Свети Николе"
"Др. Арсен Пановски"|"Благој Давков 8а/2
92956 Гевгелија"
"Методи Пановски"|"Михаило Апостолски 3б
39060 Ресен"
"Огнен Климовски"|"Женевска 4б/1
26804 Свети Николе"
"Г-ѓа Ангела Илиева"|"Воденска 0б
71800 Прилеп"
"Г-н Крсте Мартиновски"|"Воденска 2в
22323 Ресен"
"Др. Ангела Симоновска"|"Васил Главинов 1б
30299 Гостивар"
"Проф. Бојан Матевски"|"Луј Пастер 722
52612 Виница"
"Проф. Нина Михајловска"|"Васил Главинов 917
01827 Македонски Брод"
"Снежана Петровска"|"Јане Сандански 180
25419 Скопје"
"Сашо Алексовски"|"Јане Сандански 5а
33668 Богданци"
"Проф. Ана Поповска"|"Природна 22
13815 Македонски Брод"
"Г-н Ѓорги Чулев"|"Варшавска 24
23152 Делчево"
"Данче Чулева"|"Воденска 76
51343 Скопје"
"Проф. Тихомир Стефановски"|"Дојранска 0б/5
96315 Битола"
"Марко Бојаџиев"|"Лазар Личеноски 258
42195 Тетово"
"Др. Андреј Алексовски"|"Булевар Свети Климент Охридски 945
92260 Велес"
"Данче Василева"|"Јасминска 51
29458 Кратово"
"Г-ца Цветанка Јанева"|"Луј Пастер 9б/4
29431 Гостивар"
"Др. Емилија Христова"|"Хелсинки 74
42728 Штип"
