"Albina Dolić"	"Mesnička 8c
01290 Šibenik" 
"Nika Flego"	"Vrazovo šetalište 4a
06094 Osijek"
"Biljana Birtić"	"Zeleni dol 5a/0
28978 Prelog"
"Mato Nimac"	"Jurjevska 4c/3
20501 Donja Stubica"
"Karla Simić"	"Čačkovićeva 9a
36778 Sveti Ivan Zelina"
"Mara Vučković"	"Ružičnjak 2b/4
84282 Ivanić-Grad"
"Marica Brajković"	"Slavujevac 41
91988 Omiš"
"Marija Šimić"	"Lisinskoga 2b
53612 Hvar"
"Željka Rajčić"	"Rokov perivoj 2
65945 Čazma"
"Željko Žužić"	"Remetska 8a
80301 Senj"
"Matija Špišić"	"Vlaška 1a
30630 Kastav"
"Milan Antonić"	"Medveščak 2c
28918 Oroslavje"
"Kata Cik"	"Šalata 8a/0
84280 Benkovac"
"Dario Sokol"	"Naumovac 9b/7
69944 Trilj"
"Elizabeta Brezjan"	"Mihaljevac 540
06876 Pazin"
"Ante Rašić"	"Zamenhofove 8c
77791 Imotski"
"Franjo Maržić"	"Kožarska 9b
03926 Lepoglava"
"Marijan Jakopović"	"Klanac Grgura Tepečića 0c
41455 Otok"
"Franjo Tuškan"	"Jurišićeva 6c/7
62515 Obrovac"
"Nenad Lučić"	"Kraljevec 8c/3
33879 Samobor"
"Željko Bralić"	"Jagodnjak 7c/4
87223 Duga Resa"
"Rozalija Ilijić"	"Podgaj 7b
49573 Čabar"
"Lucija Franjić"	"Dvoranski prečac 75
59900 Benkovac"
"Janko Kuveždić"	"Dolac 7a/8
65789 Supetar"
"Marijan Božičković"	"Ribnjak 56
74430 Buje"
"Julijana Horvatinec"	"Strossmayerovo šetalište 2c
51195 Petrinja"
"Sandra Guštin"	"Draškovićeva 0b
86639 Belišće"
"Marijan Keleković"	"Mašekova 5a
52895 Osijek"
"Lovre Kurtoić"	"Streljačka 0b/7
27264 Vrlika"
"Jasna Gracin"	"Šalata 9c/5
84277 Popovača"
"Petra Colić"	"Remetska 9b
91064 Ilok"
"Zora Matokanović"	"Streljačka 395
60217 Glina"
"Tatjana Bolčević"	"Nova Ves 39
17988 Donja Stubica"
"Sandra Mesarić"	"Dvoranski prečac 236
45784 Pag"
"Dalibor Marušić"	"Opatička 5a
47060 Benkovac"
"Šime Bošnjaković"	"Opatička 1
81663 Ozalj"
"Slavica Triplat"	"Arnoldova 31
51553 Hvar"
"Marijan Kujundžić"	"Bosanska 6c/8
92930 Mali Lošinj"
"Siniša Kahlina"	"Tuškanac 387
62407 Belišće"
"Jasminka Banko"	"Nemetova 9a/7
67404 Pleternica"
"Manda Meić"	"Kraljevečki odvojak 1b
55915 Hvar"
"Lovro Mesarić"	"Kamenjak 2c/5
08221 Nova Gradiška"
"Zvonko Moscarda"	"Hercegovačka 0
49596 Garešnica"
"Maria Lučić"	"Voćarska 1b
87807 Ilok"
"Nika Rašeta"	"Klenovac 2c
54015 Garešnica"
"Maria Božić"	"Bučarova 0
01816 Karlovac"
"Mario Horvat"	"Zmajevac 4a/7
76073 Solin"
"Marijan Marjanović"	"Kožarska 08
26410 Našice"
"Branka Topić"	"Vončinina 69
28125 Umag"
"Juraj Škara"	"Mlinovi 6c/7
31593 Kastav"
"Matej Starčević"	"Šestinski vrh 6b
59040 Zabok"
"Denis Vitasović"	"Vitezovićeva 7b
38870 Čazma"
"Vjekoslav Radović"	"Mesnička 1c/5
58708 Velika Gorica"
"Maja Borošak"	"Svibovac 8
52778 Opuzen"
"Lovre Pongrac"	"Lisinskoga 4c
27861 Vrgorac"
"Antonija Grgurovac"	"Šumski prečac 1a/1
79581 Opuzen"
"Anđa Jakopec"	"Kraljevečki odvojak 548
89368 Umag"
"Marijan Mirosavljević"	"Kaptol 7a/6
23421 Vodnjan"
"Renata Ercegović"	"Medvedgradska 0c
05950 Beli Manastir"
"Biljana Šitum"	"Vlaška 7c/1
95742 Zaprešić"
"Danica Zmaić"	"Nova Ves 277
70432 Stari Grad"
"Milan Horak"	"Visoka 384
61605 Bakar"
"Ilija Forjan"	"Bučarova 2b
94872 Omiš"
"Zvonko Smoković"	"Rokov perivoj 5
33656 Slatina"
"Kate Mikulčić"	"Krvavi most 94
27702 Dugo Selo"
"Stana Miličić"	"Kožarska 1a/6
53194 Labin"
"Zlatko Mraović"	"Zmajevac 022
60900 Bjelovar"
"Marijan Orlović"	"Ilica 8c
47980 Stari Grad"
"Eva Plantak"	"Male 4b/5
61244 Zlatar"
"Matej Urlić"	"Klanac Grgura Tepečića 5c
65731 Čakovec"
"Dragan Živić"	"Gornje Prekrižje 8b
49789 Križevci"
"Ivka Ilijić"	"Nova Ves 1b
89514 Split"
"Lidija Vidas"	"Višnjica 5b/5
34230 Obrovac"
"Anka Perak"	"Vončinina 6
36014 Vodnjan"
"Božo Čop"	"Ilica 1
94763 Vrbovsko"
"Niko Močibob"	"Jabukovac 517
64686 Ivanić-Grad"
"Dino Horvat"	"Draškovićeva 8
27925 Pag"
"Marijan Šimičić"	"Hercegovačka 948
99667 Kutina"
"Renata Rastija"	"Nova Ves 5b/4
75101 Našice"
"Milka Merkaš"	"Pantovčak 5
59044 Sveta Nedelja"
"Damir Matulić"	"Kraljevečki ogranak 134
53055 Oroslavje"
"Denis Radman"	"Jagodnjak 94
20305 Ogulin"
"Toni Mardešić"	"Mletačka 8a
10160 Grubišno Polje"
"Antun Brezjan"	"Čačkovićeva 2c/0
02088 Vrbovec"
"Božo Zelić"	"Novi Goljak 2c/6
66603 Solin"
"Alen Botić"	"Jurjevska 8b/1
35931 Jastrebarsko"
"Zoran Kraljević"	"Pod zidom 3b/9
74804 Zabok"
"Marijana Dukić"	"Streljačka 3a
99204 Labin"
"Anto Glavan"	"Male 5b/8
39595 Crikvenica"
"Jana Dragobratović"	"Zmajevac 6b
98583 Kastav"
"Terezija Matko"	"Kraljevec II. 5b/9
55841 Novigrad"
"Dražen Bijelić"	"Mihaljevac 3b
33500 Petrinja"
"Pavao Karlović"	"Bijenička 1b
15352 Zabok"
"Miroslav Tuškan"	"Streljačka 4b
29663 Vis"
"Petra Jemrić"	"Tuškanac 0a/1
80749 Sveta Nedelja"
"Željka Kostanić"	"Krležin gvozd 936
15203 Jastrebarsko"
"Boris Rajčić"	"Draškovićeva 4
99401 Požega"
"Marijana Fabijanić"	"Kraljevec II. 9a/8
70362 Mursko Središće"
"Ivka Piljek"	"Višnjica 4b/0
94755 Zaprešić"
"Viktor Predovan"	"Mlinarska 6
19854 Imotski"
"Jozo Novak"	"Palmotićeva 4
54658 Pula"
"Marijan Križan"	"Kapucinske 0c
24483 Kastav"
"Tomo Bunić"	"Goljak 2c/5
67019 Vrbovec"
"Maja Raljević"	"Dubravkin 916
91519 Petrinja"
"Denis Putinja"	"Zelenjak 620
36181 Karlovac"
"Đurđica Debelić"	"Vlaška 0a/3
50421 Đurđevac"
"Danijela Magić"	"Pantovčak 8c
09248 Labin"
"Marijana Franjić"	"Dubravkin 7b
24981 Lipik"
"Miroslav Maržić"	"Male 4c/1
90832 Sisak"
"Ivana Tudić"	"Zamenhofova 8a/7
30055 Lepoglava"
"Pavao Glavor"	"Vitezovićeva 5c
57068 Đurđevac"
"Barica Ivančan"	"Šestinski vrh 9a/2
63886 Križevci"
"Ika Bungić"	"Jabukovac 6a
39798 Mali Lošinj"
"Danica Špika"	"Kozarčev vijenac 75
32628 Jastrebarsko"
"Leon Žiković"	"Svibovac 9a
36073 Delnice"
"Toni Borošak"	"Nova Ves 1b
99326 Nova Gradiška"
"Ivka Damjanović"	"Arnoldova 0a
84094 Benkovac"
"Marijana Friščić"	"Perivoj srpanjskih žrtava 0c/9
49069 Vrlika"
"Biserka Debelić"	"Čačkovićeva 0a/9
77983 Labin"
"Julijana Crneković"	"Tkalčićeva 79
90200 Lipik"
"Ivana Zmaić"	"Pantovčak 6a
27432 Trogir"
"Vjekoslav Koščević"	"Mlinovi 5a
66095 Pregrada"
"Katarina Turudić"	"Male 9a
96075 Nin"
"Dušan Peša"	"Ksaverska 134
23638 Benkovac"
"Šime Karagić"	"Rockefellerova 8a/2
03341 Lepoglava"
"Luka Dragičević"	"Naumovac 7c
97457 Biograd na Moru"
"Mare Šoštarić"	"Višnjica 1a/6
75431 Karlovac"
"Marijana Marinović"	"Orlovac 55
49524 Split"
"Karlo Petrić"	"Mlinarska 9b
03336 Korčula"
"Nina Kahlina"	"Tošovac 4a/4
49304 Otočac"
"Juraj Labinjan"	"Ljubinkovac 4b
04110 Ivanec"
"Dominik Rojnić"	"Kamenita 8c
09259 Lipik"
"Antonio Hranić"	"Bosanska 3a
36640 Trilj"
"Jure Vidas"	"Višnjica 6a
06338 Pula"
"Mare Bogadi"	"Cmrok 5c/8
76774 Karlovac"
"Marin Vaci"	"Kraljevec II. 6a/6
14960 Kastav"
"Antun Kos"	"Novi Goljak 9a
64288 Duga Resa"
"Marijana Mihalić"	"Zmajevac 903
78284 Belišće"
"Sanja Vitasović"	"Javorovac 3a
32238 Dugo Selo"
"Matej Jozić"	"Paunovac 3a/0
08957 Ilok"
"Milka Ladavac"	"Svibovac 6c
88028 Buzet"
"Jasminka Milevoj"	"Svibovac 4c
56804 Valpovo"
"Božica Gabud"	"Srebrnjak 5c
03732 Sveti Ivan Zelina"
"Viktor Mardešić"	"Arnoldova 6b/6
98762 Zlatar"
"Nina Sošić"	"Lisinskoga 9a
64910 Koprivnica"
"Petra Čubrić"	"Ksaverska 35
62059 Grubišno Polje"
"Janja Martinović"	"Ružičnjak 2a
17099 Vodice"
"Marijana Rubeša"	"Zamenhofova 4a
16176 Velika Gorica"
"Danijel Mudronja"	"Svibovac 628
04542 Krapina"
"Štefica Mirt"	"Opatička 750
25052 Ivanec"
"Denis Jagarinec"	"Klesarski put 3c
39675 Kaštela"
"Albina Petrović"	"Wickerhauserova 25
07988 Križevci"
"Ljiljana Kukučka"	"Zamenhofove 1c
86818 Otok"
"Siniša Cvetnić"	"Orlovac 0b/6
00721 Ogulin"
"Anđa Požega"	"Kraljevečki ogranak 1c
23781 Zabok"
"Božica Živić"	"Kapucinske 5a
43932 Valpovo"
"Fran Cestarić"	"Novi Goljak 0c/4
92909 Ozalj"
"Marijana Zrinski"	"Pantovčak 7b/0
28653 Trogir"
"Ante Hrastinski"	"Mesnička 6c/6
77112 Kutina"
"Štefanija Halambek"	"Dverce 037
86072 Daruvar"
"Nataša Trnski"	"Wickerhauserova 191
77580 Hvar"
"Lana Džapo"	"Vitezovićeva 9b/9
32471 Oroslavje"
"Ivanka Barušić"	"Kozarčev vijenac 9b/7
45914 Kaštela"
"Zlatko Barušić"	"Čačkovićeva 4a/5
29962 Vrlika"
"Ivan Hadrović"	"Tuškanac 3
12848 Ogulin"
"Ika Karagić"	"Mletačka 0a/8
88958 Crikvenica"
"Julijana Banovac"	"Orlovac 570
97472 Bjelovar"
"Marijana Šestak"	"Krležin gvozd 5c
87920 Slatina"
"Julijana Rašeta"	"Javorovac 43
28755 Sisak"
"Julijana Mustač"	"Pod zidom 886
65986 Mursko Središće"
"Stjepan Benčić"	"Splavnica 3b/3
68414 Popovača"
"Dalibor Rukavina"	"Donje Prekrižje 42
03377 Novi Vinodolski"
"Jelena Turina"	"Kamenjak 5c
21958 Supetar"
"Danijel Sobota"	"Strossmayerovo šetalište 8b
98232 Samobor"
"Sara Ričko"	"Goljak 6c/0
52557 Korčula"
"Ana Šokčević"	"Kraljevec II. 8
36774 Jastrebarsko"
"Božica Morić"	"Rokov perivoj 8b/8
70965 Mursko Središće"
"Marijana Živković"	"Gornje Prekrižje 42
58911 Sisak"
"Jozo Trutanić"	"Mletačka 788
12686 Čakovec"
"Mateja Ilijić"	"Šilobodov put 6c/6
70481 Buje"
"Boris Dautanec"	"Ružičnjak 8c
31987 Pakrac"
"Toni Cvitan"	"Arnoldova 5c/5
18256 Ivanec"
"Mara Bjeliš"	"Svibovac 9c
86157 Klanjec"
"Jasna Bašnec"	"Jabukovac 0a/5
77796 Delnice"
"Albina Klasić"	"Medvedgradska 8a/2
92896 Nin"
"Vjekoslav Bračun"	"Medveščak 5a
27043 Cres"
"Pero Peterlik"	"Medveščak 4c/0
54630 Pregrada"
"Marin Juretić"	"Davor 682
26769 Trilj"
"Igor Vučetić"	"Gornje Prekrižje 3a
74527 Novska"
"Jakov Carić"	"Nova Ves 65
98201 Mursko Središće"
"Vladimir Triplat"	"Davor 9c
30994 Pleternica"
"Kristina Maršić"	"Ksaver 4c
49318 Slavonski Brod"
"Alen Norac"	"Višnjičke 5c
58767 Oroslavje"
"Ivo Čop"	"Orlovac 6a
01706 Poreč"
"Jelena Lukšić"	"Jadranska 3c
99600 Našice"
"Mara Vlašić"	"Šilobodov put 5c
20610 Delnice"
"Lovre Marasović"	"Mlinarska 771
54626 Korčula"
"Marin Turina"	"Krležin gvozd 8c/1
99630 Nova Gradiška"
"Biserka Žeželić"	"Visoka 6
69555 Otok"
"Hana Kukučka"	"Vinogradska 3c
30062 Zadar"
"Maria Forjan"	"Donje Prekrižje 5a/6
85366 Mursko Središće"
"Bara Crneković"	"Radnički dol 5c
16197 Belišće"
"Lovro Marijanović"	"Remetska 7b
41603 Bjelovar"
"Danijel Branković"	"Rikardove 1c
24040 Sveti Ivan Zelina"
"Petar Kralj"	"Šilobodov put 2c/4
86562 Čakovec"
"Ane Car"	"Zavojna 7b
60263 Otok"
"Juraj Lenić"	"Jabukovac 6
50063 Opatija"
"Marin Vaci"	"Davor 6
45064 Koprivnica"
"Terezija Benčić"	"Zmajevac 9b
48641 Varaždinske Toplice"
"Stjepan Rajčić"	"Krležin gvozd 7c/1
87100 Vukovar"
"Antonio Mikulčić"	"Vlaška 77
34244 Imotski"
"Anka Ljubetić"	"Kapucinske 66
97234 Pazin"
"Šime Bunčić"	"Vinogradska 6b
33280 Otok"
"Jakov Radović"	"Gupčeva zvijezda 1b/0
79120 Benkovac"
"Željka Herceg"	"Kamenita 54
73309 Đurđevac"
"Ankica Rašeta"	"Wickerhauserova 0c
96718 Ludbreg"
"Antonija Soldo"	"Vončinina 4b
30889 Opatija"
"Marin Šegović"	"Pod zidom 820
48492 Makarska"
"Petra Gudelj"	"Rikardove 1a
70756 Pag"
"Franjo Vranić"	"Čačkovićeva 7c
80439 Gospić"
"Aldo Glavan"	"Ksaverska 3c/4
80365 Stari Grad"
"Marta Vorkapić"	"Kamenjak 7
90636 Garešnica"
"Kata Markanjević"	"Šilobodov put 713
65553 Vrlika"
"Nika Markovac"	"Demetrova 7a/2
85752 Mali Lošinj"
"Marica Pavičić"	"Jezuitski trg 2c/2
36499 Belišće"
"Lana Plantek"	"Zeleni dol 67
76199 Đurđevac"
"Nikola Šipek"	"Horvatovac 4c
70691 Pag"
"Marina Birtić"	"Tošovac 8b/9
91386 Đakovo"
"Božica Culi"	"Mirogojska 5
22595 Novska"
"Biljana Barbir"	"Šumski prečac 2a/8
32632 Đurđevac"
"Niko Vrban"	"Novi Goljak 0c/1
38078 Čabar"
"Ljubica Branković"	"Grič 3b/4
00201 Đurđevac"
"Ane Modrić"	"Tošovac 5c/5
34629 Nova Gradiška"
"Juraj Čižmešija"	"Gradec 9
46788 Grubišno Polje"
"Željko Rijetković"	"Istarska 4b
20565 Zagreb"
"Marina Šverko"	"Mesnička 008
24616 Prelog"
"Ivka Juretić"	"Novi Goljak 3c
96435 Vrlika"
"Marina Blažek"	"Demetrova 0a
42040 Mursko Središće"
"Anton Poljak"	"Opatička 2b/8
00239 Vrbovsko"
"Petar Horak"	"Zmajevac 0a/0
60762 Split"
"Mare Amanović"	"Jurjeve 847
21552 Đurđevac"
"Danijel Cindrić"	"Zamenhofova 17
91720 Požega"
"Jana Vrabelj"	"Grič 49
95287 Makarska"
"Elvis Hren"	"Goljak 8c/9
59694 Imotski"
"Zdenka Majstorović"	"Vinogradska 6c/3
38644 Ozalj"
"Janko Kolarec"	"Istarska 2c/1
65819 Ogulin"
"Božena Šeparović"	"Zeleni dol 6b
06663 Mali Lošinj"
"Marina Cvrtila"	"Kamaufova 6
60749 Opuzen"
"Mislav Mirosavljević"	"Javorovac 1b/3
65133 Drniš"
"Marijan Lukša"	"Mihaljevac 3b
41821 Vodnjan"
"Dražen Zrilić"	"Vinogradska 1
94374 Vukovar"
"Barica Čudić"	"Goljak 7a/2
18343 Glina"
"Zdravko Bezić"	"Grič 5
49239 Makarska"
"Rudolf Mesić"	"Harmica 36
59859 Rijeka"
"Iva Makovac"	"Zelenjak 5c
75000 Ploče"
"Luka Flego"	"Kraljevec II. 3a/3
76855 Popovača"
"Anton Hećimović"	"Kozarčev vijenac 460
57882 Pleternica"
"Marina Hranić"	"Jezuitski trg 8b/2
67157 Zabok"
"Ivica Vitasović"	"Medvedgradska 5c
62790 Kutjevo"
"Martina Mesarić"	"Petrova 1b/0
12701 Vrlika"
"Marina Mahnet"	"Arnoldova 1a/9
96587 Zlatar"
"Nikola Perković"	"Zelengaj 1a/9
99763 Prelog"
"Kristijan Baričević"	"Klesarski put 7c
56468 Crikvenica"
"Duje Marinović"	"Čačkovićeva 2a/7
90226 Novska"
"Gordana Kos"	"Vlaška 0c
20995 Rovinj"
"Kristina Terlević"	"Bijenička 7a
91365 Lipik"
"Patrik Rahija"	"Zamenhofova 5
83135 Pakrac"
"Marina Jaković"	"Rockefellerova 385
93059 Otok"
"Tomislav Varga"	"Krvavi most 51
75577 Zlatar"
"Joško Jakuš"	"Svibovac 3b/7
37124 Makarska"
"Renata Bernardić"	"Kamaufova 5a/7
02568 Imotski"
"Iva Požega"	"Medvedgradska 33
90262 Lepoglava"
"Bara Barbir"	"Ilica 438
12028 Donji Miholjac"
"Dario Krčelić"	"Jurišićeva 2c
03918 Petrinja"
"Mirko Pavić"	"Zamenhofove 80
12787 Slatina"
"Zdravko Stojanov"	"Zamenhofova 3b/3
16165 Đurđevac"
"Zdenka Car"	"Zamenhofove 18
05354 Krk"
"Marina Jozić"	"Dolac 105
68136 Sinj"
"Snježana Vrban"	"Ribnjak 5b
08916 Đurđevac"
"Patrik Ilić"	"Vončinina 0c/6
82862 Zaprešić"
"Šime Banovac"	"Višnjica 1c
72274 Đakovo"
"Pero Begonja"	"Zeleni dol 07
59356 Krk"
"Bara Banovac"	"Vinogradska 083
94815 Valpovo"
"Fran Pozder"	"Orlovac 79
97787 Novigrad"
"Branka Dukić"	"Vlaška 68
23345 Solin"
"Mira Pokas"	"Šumski prečac 7a
80113 Sisak"
"Mate Cvrtila"	"Čačkovićeva 3
78295 Hrvatska Kostajnica"
"Marina Kligl"	"Mihaljevac 4
48023 Gospić"
"Saša Zgorelec"	"Jurjevska 3c
91656 Delnice"
"Karlo Džapo"	"Mihaljevac 4c/3
85944 Garešnica"
"Maja Miličić"	"Gornje Prekrižje 2c/8
26393 Kutjevo"
"David Oršolić"	"Ksaverska 9a
29504 Rijeka"
"Darko Radin"	"Opatička 9a
53858 Stari Grad"
"Elizabeta Pavković"	"Strossmayerovo šetalište 2a/8
70856 Gospić"
"Danijel Lucić"	"Klanac Grgura Tepečića 585
90611 Knin"
"Veronika Lukša"	"Svibovac 801
54465 Grubišno Polje"
"Davor Radman"	"Ružičnjak 013
33962 Novi Vinodolski"
"Marina Kovačević"	"Glogovac 0a/3
46428 Varaždinske Toplice"
"Nada Barbić"	"Ilica 6a/4
87060 Slatina"
"Pero Kraljić"	"Perivoj biskupa Stjepana II. 034
48600 Drniš"
"Marta Vižintin"	"Šestinski vijenac 9b/0
88244 Bakar"
"Toni Dubovečak"	"Zelenjak 6a/3
88599 Umag"
"Damir Ilić"	"Kraljevec II. 9a/0
59688 Zabok"
"Nevenka Brlas"	"Rokova 6a/6
59173 Vodnjan"
"Romano Seničić"	"Mletačka 9c/5
43839 Poreč"
"Leon Gulan"	"Jurjeve 4b/4
80707 Novigrad"
"Tomo Kresonja"	"Gornje Prekrižje 9a/3
46913 Zagreb"
"Marina Kovačević"	"Naumovac 0a/6
13212 Supetar"
"Jelena Kunac"	"Srebrnjak 0b/0
46214 Pag"
"Ruža Rojnić"	"Slavujevac 9c/2
30191 Slatina"
"Sandra Grbac"	"Donje Prekrižje 73
69619 Pregrada"
"Dominik Gržinčić"	"Bosanska 51
42056 Pula"
"Franjo Stošić"	"Ksaverska 98
06030 Đurđevac"
"Goran Bolčević"	"Gornje Prekrižje 1c
76007 Sveti Ivan Zelina"
"Laura Bogović"	"Ružičnjak 0c
53698 Duga Resa"
"Jasminka Solomun"	"Radnički dol 4a/2
23313 Dubrovnik"
"Mladen Hranj"	"Jurjeve 7b
00678 Labin"
"Marina Mesarić"	"Kraljevec II. 177
80194 Biograd na Moru"
"Patrik Radelić"	"Medvedgradska 192
78919 Sveta Nedelja"
"Lidija Petričević"	"Gupčeva zvijezda 51
90588 Obrovac"
"Fuma Kirinčić"	"Voćarska 18
81552 Bakar"
"Milica Gabud"	"Jurkovićeva 1b
35356 Umag"
"Jure Josipović"	"Gornje Prekrižje 225
10975 Lepoglava"
"Andrija Bertoša"	"Nemetova 4b
80708 Crikvenica"
"Dejan Prskalo"	"Šestinski vijenac 7c/8
00729 Dugo Selo"
"Milan Barbir"	"Perivoj biskupa Stjepana II. 5b
19821 Vrbovec"
"Mirjana Bezić"	"Ljubinkovac 064
34330 Duga Resa"
"Marina Radman"	"Kaptol 400
67125 Trilj"
"Ruža Bjeliš"	"Šalata 98
58858 Trogir"
"Vjekoslav Batrac"	"Dolac 8b
39783 Vodice"
"Barbara Maršić"	"Goljak 3b
33256 Oroslavje"
"Jele Turudić"	"Vlaška 415
92170 Virovitica"
"Milan Škrlin"	"Zelengaj 1a
36292 Rovinj"
"Danijel Herceg"	"Svibovac 95
45250 Sveti Ivan Zelina"
"Jozo Matovina"	"Demetrova 5a/2
90899 Požega"
"Sanja Marušić"	"Ksaver 1b
37803 Bjelovar"
"Jelena Franjić"	"Arnoldova 9b
22468 Ploče"
"Mario Dautanec"	"Kozarčev vijenac 4
36706 Zlatar"
"Matej Kolega"	"Bučarova 9c
87336 Našice"
"Maja Brlas"	"Vončinina 66
76873 Ozalj"
"Hrvoje Derežić"	"Splavnica 70
62189 Virovitica"
"Gordana Benić"	"Srebrnjak 0b/1
59638 Labin"
"Janja Boljkovac"	"Pantovčak 8c/5
62851 Knin"
"Vesna Brlas"	"Kaptol 6b
15853 Vis"
"Andrea Dvojak"	"Lobmayerove 348
29409 Pazin"
"Mirjana Liović"	"Mirogojska 33
87354 Dugo Selo"
"Mato Kupsjak"	"Vinogradska 6c/4
00218 Novalja"
"Mario Dobrić"	"Zmajevac 6a
16204 Mursko Središće"
"Jasna Putinja"	"Streljačka 086
65941 Čabar"
"Milka Pavković"	"Petrova 8b
91985 Krk"
"Joško Sirotić"	"Glogovac 5b/0
91828 Pazin"
"Mate Blažević"	"Kapucinske 2c
19303 Mursko Središće"
"Mateo Vaci"	"Vitezovićeva 8
58912 Solin"
"Dalibor Jukić"	"Magdićeve 0c/9
90896 Labin"
"Ane Krajcar"	"Zamenhofova 73
44779 Kutjevo"
"Danijel Brlek"	"Lisinskoga 7c
84651 Križevci"
"Patrik Čop"	"Kamenita 3c/8
23106 Zabok"
"Mario Dominiković"	"Lobmayerove 59
37335 Duga Resa"
"Lana Karlović"	"Istarska 3
69260 Krk"
"Lovro Rogošić"	"Ribnjak 1a
94224 Krk"
"Biljana Bogadi"	"Bosanska 2a
63292 Krapina"
"Lovre Beletić"	"Mašekova 6c
49772 Crikvenica"
"Anica Carić"	"Kraljevečki odvojak 71
76439 Ludbreg"
"Lara Vrhovec"	"Višnjica 870
03068 Vodnjan"
"Roko Sršen"	"Vitezovićeva 9a/5
44195 Vrbovec"
"Mateja Tuđa"	"Nemetova 6
35288 Zadar"
"Vera Karuza"	"Vitezovićeva 6a
75596 Mali Lošinj"
"Mario Novosel"	"Petrova 0b
33386 Omiš"
"Gordana Stipanović"	"Kraljevec 812
56711 Opatija"
"Dragan Šurina"	"Dolac 7
88067 Rab"
"Mario Žagar"	"Bakačeva 3b
86965 Sveti Ivan Zelina"
"Davor Jaković"	"Javorovac 4a
60015 Čakovec"
"Vjekoslav Zebec"	"Rockefellerova 422
48958 Slavonski Brod"
"Zorka Štifanić"	"Donje Prekrižje 6a/2
55567 Lipik"
"Anita Gregov"	"Javorovac 2
81600 Oroslavje"
"Zora Makovac"	"Zamenhofova 5c
37558 Zabok"
"Sara Čargonja"	"Kapucinske 4b/3
68611 Buje"
"Mario Šarić"	"Lobmayerove 8c
29224 Pag"
"Dragutin Vorkapić"	"Bosanska 5c
10349 Slunj"
"Mate Roso"	"Rokova 572
25651 Pakrac"
"Goran Borošak"	"Šalata 3a
04713 Opatija"
"Željko Špoljarić"	"Dverce 2a
18227 Umag"
"Romano Botić"	"Zelengaj 2c
25853 Sveta Nedelja"
"Davor Jelavić"	"Slavujevac 8
32136 Metković"
"Vladimir Čudić"	"Kraljevec 56
99629 Mursko Središće"
"Marijana Lučić"	"Šalata 4a
09507 Crikvenica"
"Denis Lisica"	"Goljačke 4
34935 Zadar"
"Mario Šipić"	"Rockefellerova 1a
27336 Đurđevac"
"Mato Darojković"	"Kraljevečki odvojak 4b/6
48320 Samobor"
"Barica Grbac"	"Zavojna 9b
81170 Otočac"
"Marta Rajn"	"Jagodnjak 6
88725 Ploče"
"Ljiljana Stojnić"	"Mlinovi 0a
39961 Mali Lošinj"
"Erik Matijaš"	"Grič 2b
09777 Ivanić-Grad"
"Andrea Kauzlarić"	"Jagodnjak 5c
35437 Drniš"
"Tomo Sršen"	"Cmrok 6b/7
23021 Rijeka"
"Snježana Jurković"	"Medvedgradska 25
77054 Garešnica"
"Branko Lorencin"	"Bijenička 1a/6
92256 Pakrac"
"Marko Bačak"	"Pantovčak 1
43422 Pazin"
"Miroslav Buljan"	"Strossmayerovo šetalište 6a
34134 Slavonski Brod"
"Janko Karuza"	"Dubravkin 412
71735 Novigrad"
"Robert Baljak"	"Donje Prekrižje 2
05883 Kutjevo"
"Dino Barbić"	"Medvedgradska 8a/6
97135 Vinkovci"
"Mateja Pečur"	"Petrova 1
51490 Novi Vinodolski"
"Rudolf Predovan"	"Streljačka 1a/6
43447 Ozalj"
"Mirko Balatinac"	"Streljačka 0a/3
76642 Kutjevo"
"Franjo Kurtoić"	"Ružičnjak 951
32076 Gospić"
"Matej Vidas"	"Tuškanac 3a/3
38354 Zabok"
"Marko Bošnjak"	"Zvonarnička 69
11933 Mali Lošinj"
"Ružica Žagar"	"Tuškanac 0a
03679 Kutina"
"Lucija Sokol"	"Krvavi most 2b
00092 Zadar"
"Karla Škrnički"	"Rokov perivoj 35
60866 Oroslavje"
"Maria Kostanić"	"Šestinski vrh 700
26656 Osijek"
"Ivo Baničević"	"Kraljevec II. 6a
73767 Pleternica"
"Mira Sikirić"	"Vitezovićeva 3b/1
09322 Zadar"
"Milka Šibalić"	"Golubovac 9a/9
52101 Trilj"
"Milan Džapo"	"Davor 1c/9
34955 Senj"
"Janko Ćorić"	"Klenovac 551
66776 Pregrada"
"Marko Cik"	"Jurjeve 0a
22660 Vinkovci"
"Vlado Meić"	"Gupčeva zvijezda 9a/1
67446 Metković"
"Sandra Gracin"	"Višnjičke 5
05882 Đakovo"
"Filip Gregov"	"Kurelčeva 4c/7
78558 Rab"
"Lara Šeparović"	"Male 1b/5
20754 Imotski"
"Laura Drakulić"	"Višnjica 7c
81412 Pakrac"
"Nenad Martinić"	"Mesnička 00
32977 Zaprešić"
"Mato Mamula"	"Donje Prekrižje 3b/2
95978 Popovača"
"Lovre Šitum"	"Palmotićeva 150
98717 Kastav"
"Davor Rojnić"	"Čačkovićeva 4
24022 Rovinj"
"Marko Forjan"	"Dubravkin 8c
57460 Prelog"
"Franciska Perkov"	"Gradec 5a
56985 Duga Resa"
"Jele Mardešić"	"Mlinovi 8a/9
52372 Vrgorac"
