"Albina Barišić","Jurkovićeva 7
44983 Rovinj" 
"Domagoj Grbac","Čačkovićeva 0c/6
03894 Varaždinske Toplice"
"Vlado Morić","Dvoranski prečac 6b/5
05174 Rab"
"Zdravko Akmačić","Petrova 7a
95191 Virovitica"
"Janko Lučić","Višnjica 04
35353 Rijeka"
"Veronika Turčinov","Zavojna 9c/7
88933 Poreč"
"Ružica Vučetić","Krvavi most 0c
34613 Kaštela"
"Katarina Mardešić","Grič 5a
06767 Labin"
"Iva Sršen","Harmica 3c/6
69189 Makarska"
"Đurđica Bertoša","Kamenjak 26
70645 Novigrad"
"Martin Perković","Gradec 2c
88870 Delnice"
"Antonija Štimac","Dubravkin 961
35058 Rovinj"
"Kata Puljiz","Davor 009
64105 Knin"
"Janko Smolić","Kamenita 1b
27400 Otočac"
"Martin Maras","Jagodnjak 7
70987 Garešnica"
"Martina Šošić","Kraljevec 0a/3
82533 Buje"
"Rudolf Damjanović","Kraljevečki odvojak 2b/6
78971 Otočac"
"Katarina Nakić","Čačkovićeva 6c
48766 Virovitica"
"Tomislav Lukša","Mlinovi 1b
04337 Dubrovnik"
"Pavao Đurašević","Goljačke 2
61546 Duga Resa"
"Anđa Trbović","Strossmayerovo šetalište 1b/7
85612 Ivanić-Grad"
"Anđa Božičević","Podgaj 296
83993 Prelog"
"Mia Bijelić","Gornje Prekrižje 9a/5
96468 Imotski"
"Nataša Lukšić","Kaptol 4a/7
06448 Umag"
"Elizabeta Matko","Zelengaj 7a
65381 Ivanić-Grad"
"Danica Hren","Dvoranski prečac 9c
18658 Lipik"
"Božica Mikulandra","Ribnjak 7b
49821 Kastav"
"Katarina Paradi","Kožarska 5a/8
25424 Gospić"
"Marta Cvrtila","Zavojna 696
50880 Našice"
"Jasna Franičević","Jabukovac 7a/1
99448 Zabok"
"Albina Šverko","Javorovac 8a/7
48927 Knin"
"Ankica Smoković","Šestinski vrh 0
92520 Petrinja"
"Ane Stiperski","Višnjičke 5b
28232 Opatija"
"Erik Orlović","Jabukovac 5
69692 Vrgorac"
"Petar Grgurić","Pod zidom 1a
94861 Beli Manastir"
"Erik Tomljanović","Skalinska 4
63646 Vrlika"
"Draga Kupsjak","Ilica 99
00750 Jastrebarsko"
"Katarina Ribić","Skalinska 382
56184 Skradin"
"Jadranka Mužina","Goljak 7c/7
55790 Đakovo"
"Igor Bjeliš","Zmajevac 4a/3
72515 Jastrebarsko"
"Dražen Belošević","Pantovčak 8c
26458 Slatina"
"Hrvoje Kršanac","Voćarsko naselje 9a
07364 Novi Marof"
"Julijana Brandić","Streljačka 98
87368 Trogir"
"Anica Friščić","Mirogojska 7
24739 Jastrebarsko"
"Branka Martić","Mletačka 4c
96219 Sveti Ivan Zelina"
"Marin Lešković","Vlaška 4c
31372 Pag"
"Nataša Novak","Višnjičke 9a/0
06670 Popovača"
"Katarina Roce","Zelengaj 873
50800 Pregrada"
"Karlo Kelečić","Male 7a
38603 Novska"
"Nataša Jović","Medveščak 6
25794 Čabar"
"Ivo Mičetić","Strossmayerovo šetalište 2b/2
21181 Komiža"
"Nevenka Mavra","Mala 0b
26716 Prelog"
"Dino Friščić","Zamenhofova 6c
92742 Našice"
"Marijan Papak","Cmrok 6a
32405 Supetar"
"Martina Mihelčić","Naumovac 5c/6
10902 Metković"
"Zvonko Martinčević","Strossmayerovo šetalište 9b
39230 Slavonski Brod"
"Anita Tudić","Kozarčev vijenac 4c/7
04307 Hrvatska Kostajnica"
"Katarina Sedlar","Perivoj biskupa Stjepana II. 57
00762 Ogulin"
"Ika Valjetić","Streljačka 7c/0
28504 Vinkovci"
"Milka Liber","Mlinske 610
64410 Požega"
"Danijel Kirinčić","Krvavi most 910
45689 Požega"
"Valter Ivandić","Golubovac 1
65245 Crikvenica"
"Nikola Sladonja","Nova Ves 8b/0
61256 Split"
"Patrik Erceg","Magdićeve 4c
22666 Pag"
"Darko Grbac","Strossmayerovo šetalište 0c/4
72387 Pleternica"
"Dejan Soldo","Male 27
43596 Kaštela"
"Zoran Filipčić","Šestinski vrh 0a
19921 Komiža"
"Katarina Stanić","Tkalčićeva 7b/7
46012 Velika Gorica"
"Nenad Mičetić","Dverce 6a
55908 Mali Lošinj"
"Jure Katić","Kozarčev vijenac 4a
15223 Virovitica"
"Mate Dominiković","Bučarova 1c/7
53382 Virovitica"
"Jure Salopek","Dolac 6c
52049 Labin"
"Petar Rendulić","Opatovina 3
49434 Otok"
"Roko Dubovečak","Mlinske 1c
12501 Kastav"
"Nikša Boljkovac","Medvedgradska 9c
92793 Sisak"
"Franjo Žufika","Kraljevečki ogranak 3b
65438 Valpovo"
"Fuma Vaci","Voćarska 6
70384 Slunj"
"Katarina Zmaić","Voćarska 4b/7
74521 Otočac"
"Vedran Božić","Horvatovac 31
41927 Senj"
"Snježana Koščević","Srebrnjak 6a
55321 Vrgorac"
"Jakov Mužina","Zeleni dol 7c/6
08987 Vrbovec"
"Marica Hranj","Jabukovac 736
02820 Senj"
"Barica Štefanec","Šestinski vrh 7c
17321 Zadar"
"Hrvoje Hrabar","Magdićeve 7a
63411 Jastrebarsko"
"Zdenka Vitasović","Hercegovačka 8c/7
57582 Velika Gorica"
"Tea Kršanac","Ksaverska 1a/4
14813 Našice"
"Antonija Ćurić","Novi Goljak 6c
43465 Nova Gradiška"
"Kate Guštin","Davor 6a/1
41112 Daruvar"
"Vladimir Turina","Šestinski vijenac 58
58653 Hvar"
"Milica Pešić","Vinogradska 4a
76626 Sveti Ivan Zelina"
"Zorka Šitum","Zvonarnička 8a/2
13235 Opuzen"
"Zdenka Rogošić","Ružičnjak 4b
24524 Rijeka"
"Đurđica Ribarić","Mlinarska 0b/3
84629 Šibenik"
"Fran Matulin","Višnjičke 397
01958 Pakrac"
"Ilija Sršen","Mlinarska 6
28423 Vodnjan"
"Boris Macan","Wickerhauserova 2
58976 Vrbovec"
"Veronika Žerjav","Petrova 1
87232 Kastav"
"Kate Modrić","Tkalčićeva 5a/7
72013 Stari Grad"
"Toni Turčinov","Višnjičke 9a
16144 Koprivnica"
"Vlado Dončević","Vijenac 2
18973 Senj"
"Sanja Kosanović","Šestinski vrh 4b
33485 Osijek"
"Saša Žeželić","Gradec 9c/4
35747 Dubrovnik"
"Nenad Pandurić","Ksaver 7c
27624 Otočac"
"Nikolina Karuza","Šilobodov put 23
41591 Pregrada"
"Franciska Tomičić","Ružičnjak 2c
66919 Trogir"
"Nika Moslavac","Jadranska 7c/5
64388 Donji Miholjac"
"Filip Veić","Srebrnjak 0b/8
16969 Grubišno Polje"
"Kate Vugdelija","Zamenhofove 3b
39154 Trogir"
"Darko Radman","Vitezovićeva 83
38219 Novi Marof"
"Tatjana Poslon","Male 4b/1
38342 Zabok"
"Sanja Ferenac","Mlinarska 9
51005 Gospić"
"Ivo Kelečić","Zamenhofova 0c/8
63637 Vrgorac"
"Jasna Zmaić","Kapucinske 596
00550 Sinj"
"Suzana Filipčić","Dverce 1b
83768 Sveti Ivan Zelina"
"Dragutin Tolj","Mirogojska 5a/4
62052 Velika Gorica"
"Jadranka Milina","Tuškanac 77
83482 Popovača"
"Bruno Glavan","Krležin gvozd 83
04987 Zaprešić"
"Katica Balić","Medveščak 6a
28449 Ivanić-Grad"
"Maja Filar","Hercegovačka 3
54341 Ogulin"
"Anđa Ergotić","Zmajevac 17
81354 Šibenik"
"Darko Čudić","Mlinske 9
76013 Pregrada"
"Mihael Liović","Goljak 0b
35258 Labin"
"Nada Legović","Lisinskoga 6
51061 Virovitica"
"Martin Mišković","Mala 2
18406 Dugo Selo"
"Josip Grgurević","Kamaufova 068
08706 Zadar"
"Dragica Lojen","Kamenjak 9
11621 Rovinj"
"Josipa Karagić","Nemetova 958
05683 Varaždin"
"Katica Božičković","Svibovac 87
44700 Nova Gradiška"
"Valter Jagečić","Čačkovićeva 075
00948 Karlovac"
"Ane Stošić","Kozarčev vijenac 8a/4
33070 Drniš"
"Božica Horvatinec","Jadranska 1c/7
74076 Beli Manastir"
"Joso Jasprica","Bučarova 87
53867 Pakrac"
"Marin Stanić","Vijenac 3a
64859 Mursko Središće"
"Zorka Mužić","Tkalčićeva 9a/6
42172 Delnice"
"Mile Ričko","Tuškanac 29
82635 Beli Manastir"
"Slavica Jakovac","Dubravkin 9c
15414 Krapina"
"Maria Lešković","Gupčeva zvijezda 0
85279 Imotski"
"Katica Klarić","Mašekova 2c
76974 Poreč"
"Marin Zgorelec","Paunovac 88
56815 Novska"
"Fuma Zrilić","Mesnička 8b/5
01305 Nin"
"Maria Salopek","Donje Prekrižje 0b/5
14242 Požega"
"Mladen Mavra","Rikardove 0c/4
01034 Bakar"
"Biserka Čović","Voćarska 3
04988 Bjelovar"
"Renata Mesarić","Skalinska 3a
55169 Novalja"
"Romano Kelić","Zvonarnička 09
35743 Rab"
"Stjepan Brcko","Jurišićeva 8c
52725 Valpovo"
"Lidija Ugrinić","Vijenac 0a
29376 Ivanec"
"Katica Maletić","Jurišićeva 20
49497 Obrovac"
"Jure Rendulić","Harmica 0b
31334 Sveti Ivan Zelina"
"Anica Lelas","Rikardove 3b/5
49393 Split"
"Roko Bolčević","Rikardove 7c
75356 Mursko Središće"
"Niko Šimunić","Kozarčev vijenac 2a
38858 Ploče"
"Siniša Krčelić","Remetska 9b/7
96290 Komiža"
"David Jurjević","Kraljevečki odvojak 2b/5
46610 Čakovec"
"Dragan Šestan","Opatička 1b
53232 Gospić"
"Aldo Kalazić","Vitezovićeva 5b/8
14752 Sisak"
"Mira Madunić","Javorovac 8b
46543 Kraljevica"
"Katica Matić","Vončinina 6a
29424 Dubrovnik"
"Biserka Tisaj","Tošovac 4c
46196 Split"
"Hrvoje Golubić","Horvatovac 1c
00663 Klanjec"
"Domagoj Lukšić","Vrazovo šetalište 1c/5
19996 Novalja"
"Sandra Risek","Kaptol 0c/9
79860 Kastav"
"Zdravko Obradović","Nova Ves 3c/6
40728 Zaprešić"
"Nikša Gligora","Tošovac 7c
57471 Sveta Nedelja"
"Nina Erceg","Vinogradska 7b/8
04641 Trilj"
"Julijana Rašeta","Jurišićeva 594
56884 Lepoglava"
"Anton Martinić","Bosanska 7b
26352 Novi Marof"
"Katica Paparić","Šilobodov put 9b/6
64678 Knin"
"Erik Tonc","Ljubinkovac 094
64560 Trogir"
"Nenad Liović","Svibovac 9b/8
08562 Đurđevac"
"Eva Dubovečak","Dubravkin 2c
58781 Skradin"
"Lucija Vojković","Zelenjak 2c
15566 Zagreb"
"Leon Živković","Mihaljevac 9c
08360 Drniš"
"Mario Gelemanović","Mesnička 9c/4
64135 Zagreb"
"Niko Šarlija","Mesnička 0
45383 Prelog"
"Jure Piljek","Rockefellerova 7c/9
61759 Sinj"
"Robert Škrlin","Višnjičke 5
61674 Trogir"
"Katica Prtenjača","Slavujevac 6
79741 Supetar"
"Domagoj Vugec","Mletačka 954
15231 Imotski"
"Mateja Soldo","Tkalčićeva 0a
54186 Petrinja"
"Anto Vidović","Perivoj biskupa Stjepana II. 1c
85446 Oroslavje"
"Đuro Bezić","Vlaška 2
69250 Karlovac"
"Valter Hardi","Mesnička 5b
71397 Popovača"
"Tea Šturlan","Opatovina 52
22660 Karlovac"
"Nataša Car","Zamenhofova 6a/3
57863 Dubrovnik"
"Marica Križan","Voćarsko naselje 7c/4
81069 Garešnica"
"Mirko Govorčinović","Radnički dol 1c
05984 Cres"
"Katica Rijetković","Mala 8b/0
62706 Otočac"
"Petra Jelavić","Mletačka 9a
20775 Sinj"
"Željka Stiperski","Mesnička 762
96278 Duga Resa"
"Đurđica Terlević","Golubovac 6a/0
17733 Crikvenica"
"Marija Plantek","Novi Goljak 1a/4
49047 Sveti Ivan Zelina"
"Ljubica Boljkovac","Radnički dol 9
88007 Beli Manastir"
"Dalibor Fuček","Petrova 5
89818 Knin"
"Vladimir Mudri","Zvonarnička 0a/1
01969 Rovinj"
"Mirjana Borošak","Pantovčak 0a
81336 Vodice"
"Mateja Huljev","Vinogradska 708
10748 Zabok"
"Katica Seršić","Harmica 6c/2
33425 Split"
"Dražen Kelić","Vončinina 5c
91574 Đurđevac"
"Dušan Matovina","Kurelčeva 4a/2
92572 Vodice"
"Mirjana Bebić","Krležin gvozd 6c/4
17346 Varaždinske Toplice"
"Matija Hranj","Tuškanac 5b
95351 Krk"
"Jakov Marušić","Medvedgradska 5a
26170 Donji Miholjac"
"Miroslav Šitum","Nova Ves 1
19505 Novska"
"Nenad Franić","Višnjičke 53
42331 Vrbovsko"
"Domagoj Škoda","Zmajevac 9
78637 Komiža"
"Nada Grgurić","Klanac Grgura Tepečića 04
45622 Donja Stubica"
"Katica Staničić","Svibovac 6
17482 Supetar"
"Ivanka Bučanac","Kamaufova 94
61585 Sveta Nedelja"
"Ivo Dolić","Podgaj 3c
70103 Skradin"
"Petra Belošević","Hercegovačka 8a/8
89948 Nova Gradiška"
"Rudolf Gligora","Horvatovac 1a/7
46975 Buje"
"Stana Grbac","Opatovina 98
78058 Bakar"
"Maja Markanjević","Kožarska 9a/6
22997 Kutina"
"Terezija Pozder","Donje Prekrižje 6c/7
33548 Omiš"
"Mare Toić","Bučarova 2a
74311 Slunj"
"Anđela Kalanjoš","Šumski prečac 2
08632 Opatija"
"Katica Toić","Draškovićeva 14
17084 Nova Gradiška"
"Jasna Turudić","Donje Prekrižje 5
25706 Zadar"
"Julijana Bunić","Davor 6a
79472 Cres"
"Tea Moslavac","Demetrova 0b/1
29730 Senj"
"Jasminka Gligora","Ljubinkovac 87
77485 Buzet"
"Ivica Jakuš","Zavojna 0b/0
49151 Senj"
"Ivan Strinavić","Javorovac 3a
70233 Trogir"
"Katarina Nižetić","Davor 0a
61557 Novska"
"Božena Oršoš","Lisinskoga 4a
49133 Slatina"
"Zdravko Bolčević","Nemetova 18
00357 Duga Resa"
"Kristijan Banko","Slavujevac 7c/7
60373 Benkovac"
"Zlatko Ćurić","Višnjica 14
90323 Donji Miholjac"
"Marina Ugrinić","Zeleni dol 0a
26281 Mursko Središće"
"Niko Kupsjak","Zeleni dol 9a/3
20874 Đakovo"
"Duje Klarin","Slavujevac 5a/6
64796 Mali Lošinj"
"Andrija Polić","Svibovac 1b
65863 Obrovac"
"Ivka Paparić","Male 619
50259 Orahovica"
"Biserka Terzić","Draškovićeva 05
88942 Rab"
"Božena Šimunović","Remetska 7b/2
91458 Požega"
"Anton Babić","Vitezovićeva 5c/5
07920 Ivanec"
"Kristijan Carić","Svibovac 2b/1
44350 Ludbreg"
"Petar Grgurovac","Kraljevečki ogranak 0b
72033 Pleternica"
"Juraj Božanović","Svibovac 6a/7
22304 Slatina"
"Slavica Martinčević","Goljak 2a
14563 Našice"
"Ružica Jugovac","Jurišićeva 62
58775 Kraljevica"
"Damir Barbić","Vitezovićeva 8c/3
24908 Zaprešić"
"Danijel Bradić","Nemetova 5b
48237 Virovitica"
"Danica Kovačević","Zelengaj 6c/1
16414 Donja Stubica"
"Anton Balatinac","Tuškanac 6a/7
16442 Osijek"
"Zdenka Raspor","Pantovčak 883
05417 Križevci"
"Kristijan Hadžić","Zvonarnička 4a
41341 Mursko Središće"
"Mia Jakovljević","Bakačeva 95
31024 Zadar"
"Nada Cvetnić","Zamenhofova 8
17393 Ogulin"
"Marijan Mavra","Golubovac 9
94043 Vodice"
"Đuro Milotić","Zmajevac 8c
29508 Varaždin"
"Mislav Hodak","Kraljevec II. 139
07327 Donja Stubica"
"Lucija Andrijević","Klesarski put 3a
78594 Novska"
"Zoran Grubišić","Medveščak 72
51439 Metković"
"Rudolf Cvenić","Cmrok 9c
11646 Orahovica"
"Biserka Požega","Voćarska 9b
14468 Šibenik"
"Kristijan Jerković","Cmrok 1a
70903 Vrbovec"
"Hrvoje Jović","Zamenhofove 5b
97240 Daruvar"
"Valter Hrženjak","Zavojna 1
65712 Novska"
"Joško Šarlija","Kurelčeva 2b
86159 Korčula"
"Lara Perčić","Novi Goljak 6c
49979 Vrbovsko"
"Ivica Plažanin","Male 5c
08680 Novi Marof"
"Slavica Burić","Wickerhauserova 0a/7
25142 Buzet"
"Nataša Bičak","Jurkovićeva 73
01785 Poreč"
"Ante Stiperski","Šestinski vrh 3a
06723 Omiš"
"Nada Puškarić","Perivoj srpanjskih žrtava 08
53038 Vrlika"
"Kristijan Jurlina","Šestinski vijenac 0a/1
31496 Kutina"
"Vladimir Polić","Tkalčićeva 2a
28030 Kutina"
"Rudolf Jonjić","Magdićeve 0b/2
36533 Lipik"
"Anita Tonc","Mala 5c/0
58374 Požega"
"Željka Mudronja","Male 9b
25160 Delnice"
"Anita Balić","Palmotićeva 66
39598 Orahovica"
"Janko Mofardin","Donje Prekrižje 137
15100 Supetar"
"Antonio Kostelac","Streljačka 524
76983 Kutjevo"
"Ane Dizdar","Krležin gvozd 1b
84297 Umag"
"Dušan Solomun","Ljubinkovac 2b/8
07800 Kutina"
"Kristijan Valentić","Rokov perivoj 4
38437 Obrovac"
"Marta Vukušić","Jabukovac 6a
59380 Pleternica"
"Pero Čupić","Tošovac 1
98111 Zadar"
"Erik Rukavina","Šestinski vijenac 6c
88799 Crikvenica"
"Josip Mraović","Višnjica 6b/5
54451 Buje"
"Suzana Kramarić","Svibovac 2a/4
20439 Buzet"
"Luka Prelec","Kamenita 6c/1
73184 Osijek"
"Dalibor Vižintin","Gornje Prekrižje 0a
82122 Bakar"
"Dominik Urlić","Nova Ves 7b
19731 Buzet"
"Lovre Jagečić","Mlinovi 23
16180 Senj"
"Kristina Begonja","Perivoj srpanjskih žrtava 8c/4
59147 Zabok"
"Željka Mustapić","Zelengaj 5b
99533 Pregrada"
"Ana Šimunović","Kamaufova 5b/7
36875 Krapina"
"Anđela Pavičić","Čačkovićeva 0b
85655 Duga Resa"
"Dino Tešija","Kapucinske 5c
60528 Garešnica"
"Anđela Đurašević","Goljačke 2b/9
71212 Supetar"
"Kate Dretvić","Mašekova 9c
68735 Supetar"
"Ankica Sikirić","Srebrnjak 347
78763 Čazma"
"Joso Puljiz","Vončinina 728
97638 Knin"
"Jasna Filipčić","Kurelčeva 2c/4
68255 Kraljevica"
"Kristina Bjeliš","Slavujevac 8b/2
34495 Donja Stubica"
"Toni Mesić","Zeleni dol 0b/2
40106 Ivanec"
"Mladen Balić","Nova Ves 9b
45329 Drniš"
"Lorena Baksa","Jadranska 5a/2
38244 Novi Vinodolski"
"Marijana Perak","Magdićeve 9b/5
78874 Otočac"
"Stjepan Duvančić","Palmotićeva 892
29915 Vrbovsko"
"Marina Gracin","Orlovac 1
46516 Belišće"
"Draga Vorkapić","Klanac Grgura Tepečića 91
75936 Delnice"
"Dražen Gabud","Svibovac 8
21027 Grubišno Polje"
"Lana Baričević","Mlinarska 0
58082 Petrinja"
"Kristina Blažičko","Gračanska 471
01123 Labin"
"Anto Kalazić","Gračanska 3
13340 Buzet"
"Marijan Filipčić","Nemetova 7c/0
25336 Oroslavje"
"Hana Tolj","Bijenička 2a/4
75331 Varaždinske Toplice"
"Jozo Vozila","Vinogradska 20
25133 Virovitica"
"Branko Matovina","Kamenjak 7
87192 Supetar"
"Filip Oršulić","Srebrnjak 2b/7
54989 Petrinja"
"Mijo Nišević","Zmajevac 645
73620 Buzet"
"Bara Bačić","Kurelčeva 4c/1
10524 Zagreb"
"Željko Bazjak","Remetska 7c
88033 Ilok"
"Kristina Damijanić","Harmica 3a
17228 Jastrebarsko"
"Danijela Franušić","Mirogojska 7b
38472 Kaštela"
"Vera Tolj","Vitezovićeva 981
83721 Makarska"
"Zvonko Raguž","Mlinovi 772
60119 Dubrovnik"
"Anica Kereković","Jabukovac 3b
91248 Koprivnica"
"Slavica Zeba","Kožarska 5a/1
52718 Sveta Nedelja"
"Zlatko Maćešić","Slavujevac 23
54899 Zaprešić"
"Franciska Andrijašević","Vlaška 3a
26975 Vis"
"Nika Pajur","Harmica 7c/0
38167 Stari Grad"
"Ana Fuček","Lisinskoga 50
41000 Stari Grad"
"Kristina Ivandić","Opatovina 8a/7
80395 Sveti Ivan Zelina"
"Ante Lešić","Dubravkin 4a/1
05062 Daruvar"
"Božena Borošak","Klesarski put 7c/8
81079 Novska"
"Maria Sokač","Srebrnjak 1c/5
30418 Metković"
"Marta Sakač","Mašekova 1b/8
84417 Komiža"
"Mara Turk","Kapucinske 7c
28297 Čakovec"
"Antonija Kocijančić","Rikardove 59
23610 Vrbovec"
"Vlado Prpić","Kamaufova 682
04117 Sveti Ivan Zelina"
"Nikolina Stiperski","Grič 55
70464 Nova Gradiška"
"Mile Pavin","Mlinovi 6
24815 Gospić"
"Kristina Lazar","Gupčeva zvijezda 4b/0
40888 Lepoglava"
"Franjo Trbović","Jurjevska 5c
45582 Đurđevac"
"Denis Marinović","Zelenjak 607
72644 Split"
"Dino Seničić","Draškovićeva 8b/7
76598 Vrgorac"
"Manda Ćosić","Ksaver 1c
00076 Pleternica"
"Štefanija Jozić","Pod zidom 73
90521 Vodnjan"
"Štefica Matković","Jezuitski trg 5c
61045 Požega"
"Mario Matijaš","Hercegovačka 9b
08840 Nin"
"Mateja Salopek","Ružičnjak 7
35058 Mali Lošinj"
"Snježana Keleković","Zelenjak 3c/9
91421 Omiš"
"Kristina Mirosavljević","Nemetova 61
34021 Pregrada"
"Dominik Rubinić","Jurišićeva 8a/8
64495 Kraljevica"
"Robert Kauzlarić","Zavojna 7
46538 Donja Stubica"
"Ivana Jakuš","Vinogradska 8b
70200 Čakovec"
"Željka Branković","Nemetova 4b
81910 Vukovar"
"Terezija Begonja","Vončinina 0a/5
83603 Otok"
"Božena Friščić","Zmajevac 7c
97814 Požega"
"Andrija Žufika","Kraljevec 4a
71656 Solin"
"Ivo Božiković","Ksaver 2
98949 Kutina"
"Sanja Dragobratović","Ksaver 6a/0
01402 Rab"
"Kristina Tisaj","Horvatovac 0
99358 Bakar"
"Đurđica Štefović","Ljubinkovac 4
71273 Delnice"
"Bara Brandić","Nemetova 5c
50203 Orahovica"
"Karlo Polić","Zelenjak 0c/5
79834 Pakrac"
"Valentina Milatić","Zelenjak 4c/2
03992 Ivanec"
"Jele Baričević","Perivoj biskupa Stjepana II. 4a/9
00013 Cres"
"Vesna Kahlina","Gračanska 5a
34411 Labin"
"Alen Glavan","Ljubinkovac 15
13431 Pleternica"
"Rudolf Mesić","Jadranska 4b
78577 Našice"
"Darko Marin","Kraljevec II. 63
94504 Krk"
"Kristina Šimić","Arnoldova 335
08653 Hrvatska Kostajnica"
"Patrik Rijetković","Šilobodov put 302
22661 Rab"
"Zvonko Pongrac","Čačkovićeva 4a/9
97697 Omiš"
"Jana Barać","Dolac 78
13849 Ozalj"
"Leon Mustač","Horvatovac 8b
74245 Rijeka"
"Sanja Martinčević","Medveščak 831
72893 Dugo Selo"
"Mato Duvančić","Kamenjak 9c/2
94773 Mursko Središće"
"Joso Miočić","Jurjevska 16
81534 Našice"
"Antonija Sošić","Višnjičke 7b/5
77176 Velika Gorica"
"Đurđica Pedišić","Dolac 4a/9
51535 Kaštela"
"Kristina Žerjav","Krvavi most 8b/5
36313 Grubišno Polje"
"Zdenka Čupić","Zmajevac 2c
97934 Čazma"
"Alen Kovač","Dverce 2b
77989 Sveti Ivan Zelina"
"Đurđica Bosilj","Mlinske 2a/4
25903 Lepoglava"
"Kristijan Kuveždić","Mašekova 8
19441 Rab"
"Đurđica Bazjak","Naumovac 7c
09876 Ozalj"
"Leon Antić","Davor 9
69565 Split"
"Matija Piljek","Paunovac 9b/5
33629 Labin"
"Anđa Kevo","Palmotićeva 1a/7
56236 Pag"
"Filip Šoštarić","Medvedgradska 7c
66035 Novigrad"
"Lana Abičić","Višnjica 8c/8
88709 Trogir"
"Marta Jakopović","Perivoj biskupa Stjepana II. 6
36575 Đakovo"
"Branko Modrić","Jagodnjak 7c
34781 Čabar"
"Zoran Mikulčić","Perivoj srpanjskih žrtava 0b/7
54661 Nova Gradiška"
"Mladen Soldo","Tuškanac 4b/3
32864 Ludbreg"
"Šime Roca","Draškovićeva 26
38056 Slavonski Brod"
"Mirko Tomljanović","Davor 9c/3
22614 Vis"
"Ivica Roso","Horvatovac 9b
61796 Hrvatska Kostajnica"
"Ivana Tonc","Podgaj 6b/2
28610 Čakovec"
"Ilija Radošević","Zelengaj 64
06408 Čazma"
"Lana Begonja","Palmotićeva 3c
43949 Đakovo"
"Jelena Risek","Kozarčev vijenac 9a
26138 Dubrovnik"
"Snježana Glavor","Visoka 9c/1
83424 Otok"
"Eva Filipčić","Gradec 12
29406 Poreč"
"Anita Slavica","Petrova 771
10388 Sisak"
"Stana Šunjić","Zelengaj 3
43516 Biograd na Moru"
"Kristijan Ćorić","Šilobodov put 75
12766 Omiš"
"Stjepan Stanić","Dubravkin 7a
07864 Šibenik"
"Zorka Vretenar","Mašekova 6b
26408 Belišće"
"Rozalija Mesarić","Ksaverska 8
61753 Novalja"
"Lana Lukšić","Vončinina 289
57992 Šibenik"
"Ika Morić","Draškovićeva 3
12486 Sveti Ivan Zelina"
"Kate Perak","Goljak 8c
88778 Crikvenica"
"Milena Jelavić","Radnički dol 0b/6
34971 Hrvatska Kostajnica"
"Alen Palić","Zavojna 9c
99836 Pula"
"Marina Bunčić","Opatovina 2b
78254 Otočac"
"Vjekoslav Krčelić","Kamenjak 5c
78888 Osijek"
"Ana Obratov","Tuškanac 0c/3
51433 Stari Grad"
"Tea Šupraha","Mlinovi 2c
07319 Lipik"
"Božena Roso","Naumovac 7
37605 Čazma"
"Lana Mardešić","Vončinina 8c/0
20019 Kraljevica"
"Nenad Ljubetić","Voćarsko naselje 0a
28952 Čabar"
"Elizabeta Stošić","Streljačka 1c/7
47342 Orahovica"
"Marijana Nedić","Vinogradska 083
97497 Novi Marof"
"Jozo Viljevac","Klenovac 7
26238 Sisak"
"Božo Ilijić","Male 7a/3
21517 Glina"
"Lana Bogdan","Jurjevska 4a
62885 Poreč"
"Mato Hanžek","Gornje Prekrižje 947
64222 Knin"
"Jozo Čuljak","Šestinski vrh 4b
98380 Vodice"
"Milica Zubčić","Bijenička 5a/6
02050 Vrgorac"
"Lana Plantek","Tuškanac 0b
83670 Vrbovec"
"Domagoj Sršen","Vlaška 4a/3
92633 Vukovar"
"Miroslav Drandić","Goljak 5
59364 Velika Gorica"
"Denis Šibalić","Zeleni dol 1c
19892 Supetar"
"Branko Mustač","Jurjeve 6a/6
55454 Hrvatska Kostajnica"
"Joso Lukša","Magdićeve 7c
75276 Crikvenica"
"Mara Ugrinić","Javorovac 8c
10163 Zadar"
"Joško Tuškan","Glogovac 4a/5
30882 Karlovac"
"Anka Dautanec","Vrazovo šetalište 6b
70471 Opatija"
"Veronika Lakošeljac","Novi Goljak 1
66540 Opuzen"
"Lana Čuljak","Čačkovićeva 9c
96410 Imotski"
"Sanja Soldo","Petrova 2
38101 Donji Miholjac"
"Snježana Čotić","Mesnička 6a/0
03415 Virovitica"
"Mario Sirotić","Zamenhofova 3a
00528 Vis"
"Toni Čuljak","Vončinina 1b/8
86275 Knin"
"Janko Šantić","Zvonarnička 4c
07869 Orahovica"
"Terezija Šimić","Mesnička 9b
98713 Grubišno Polje"
"Mia Palić","Pantovčak 74
92753 Zaprešić"
"Božena Jakopec","Nemetova 5
72699 Metković"
"Marin Dolinar","Vitezovićeva 708
41020 Dubrovnik"
"Lara Baričević","Arnoldova 2a
13135 Ivanić-Grad"
"Mate Bungić","Šestinski vrh 12
87496 Novska"
"Ilija Majdenić","Mašekova 2c/4
89332 Opatija"
"Dario Fabijanić","Šalata 7c
85510 Umag"
"Ivo Žiković","Jurkovićeva 80
06362 Đurđevac"
"Anita Križan","Rokov perivoj 2a/7
64976 Varaždin"
"Goran Šimunović","Hercegovačka 31
04239 Novska"
"Veronika Mirt","Golubovac 3b/8
99919 Krapina"
"Anica Mamula","Kraljevec 1
14313 Sisak"
