"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία" 
"Σμαράγδα Λιάκου","Πλατεία Φαναρίου 3,
ΤΚ 942 02 Αγ. Νικόλαος"
"Διδώ Γεωργή","Λύκειον 907,
ΤΚ 140 95 Σέρρες"
"Τρύφων Πανούσης","Τριόδου 0,
ΤΚ 056 27 Σπάρτη"
"Δέσποινα-Εμμανουέλα Γεροκώστα","Παυλίδου 4,
56618 Λαμία"
"Άριστος Αξιώτης","Καρακυρίου 04-08,
ΤΚ 14466 Βόλος"
"Μαντώ Κυριακούλη","Καρνεζαίικων 346-109,
ΤΚ 83924 Καρδίτσα"
"Νεκταρία-Θεοπίστη Μιχαηλίδου","Πάρ. Αρχοντικής 81,
397 70 Καρπενήσι"
"Φρύνη Ζεγλίνα","Πάροδος Καλαμωτής 94,
53263 Πολύγυρος"
"Λύσανδρος Ταμιωλάκης","Αρκεσίνης 08-71,
06129 Πάτρα"
"Ιάκωβος-Σέργιος Ανδριώτης","Γκιριτζιώνη 56-28,
64697 Βέροια"
"Φιλίππα Αγραφιώτη","Λεωφ. Στρατινίστης 46-67,
ΤΚ 389 57 Βέροια"
"Αγγελική Μίχου","Αγίου Νικολάου Βοιών 4,
ΤΚ 35254 Σπάρτη"
"Πωλίνα Πέτση","Αρσενάκη 25,
19234 Κιλκίς"
"Σπυριδούλα Πάντου","Δημοπούλου 34,
ΤΚ 202 51 Σέρρες"
"Λυδία-Πηνελόπη Βαΐου","Καρδιάς 63,
52997 Δράμα"
"Μαρία Κουτσουρέλη","Πλατεία Περδίκκα 39,
ΤΚ 692 05 Σπάρτη"
"Πιερρίνα Κωτσιονοπούλου","Ασμηνίου 64,
86555 Κιλκίς"
"Λεμονής Μωραΐτης","Πάρ. Πλατανόβρυσης 004,
020 20 Θεσσαλονίκη"
"Μιχαέλα Μηλιάδου","Σειρών 17,
12396 Λάρισα"
"Όθων Χουλιάρας","Παγκρατίου 433-174,
ΤΚ 332 16 Άμφισσα"
"Αταλάντη Χασάπη","Πλ. Εφύρας 242,
36573 Κατερίνη"
"Νεκταρία Βερβερίδου","Κοντογεωργάκη 5,
063 12 Καλαμάτα"
"Δίκαιος Σάτλας","Λάδης 67,
ΤΚ 742 10 Χίος"
"Αριστοτέλης-Βενιαμίν Μακρής","Πάρ. Τετραλόφου 72-30,
00448 Αθήνα"
"Κονδυλία Ρόκκα","Βαλεντή 110,
ΤΚ 838 92 Χαλκίδα"
"Μαρία Κωνσταντοπούλου","Ωραίου 3,
77854 Λευκάδα"
"Αμβρόσιος Μπουρλής","Αγίου Νικολάου Βονίτσης και Ξηρομέρου 28,
ΤΚ 815 50 Καβάλα"
"Αγγελής Ρουπακάς","Μασίκα 720-889,
ΤΚ 52120 Χίος"
"Τρισεύγενη-Κοκκώνα Μανουσοπούλου","Χουστουλιανών 9,
ΤΚ 43410 Βέροια"
"Φωτεινή Ρόκκα","Τσουκιά 18-66,
81547 Κέρκυρα"
"Κωνσταντίνος Τσέλλος","Μάρκου 039,
ΤΚ 99759 Άμφισσα"
"Δαμασκηνή-Ευρυδίκη Σιούτα","Λεωφόρος Ωριάς 89,
ΤΚ 120 20 Πύργος"
"Ρούσα Πουλίδα","Ιεραπέτρας 22,
093 28 Πύργος"
"Φωτεινή Παπανώτα","Λαδοχωρίου 440,
846 38 Αγ. Νικόλαος"
"Κανέλλα Λιάκου","Ξενίδη 686,
ΤΚ 93416 Σάμος"
"Μαρία Ρόγγα","Μαυρίδου 51,
61695 Αθήνα"
"Ευρύκλεια Κουτκιά","Αγίου Νικολάου Κράλης 15,
ΤΚ 399 65 Τρίπολη"
"Νέαρχος Παπαθεοδοσίου","Μικράς Γότιστας 119-975,
ΤΚ 03406 Άμφισσα"
"Νικόλαος Τσιτούρας","Αναφωνητρίας 3,
21945 Κόρινθος"
"Χαραλαμπία Καλέμη","Λεωφόρος Αρμολίων 323,
11509 Έδεσσα"
"Λαέρτης Γρατσιάς","Μανιάκων 72,
57383 Ιωάννινα"
"Λευκοθέα Βακουφτσή","Σπαθάρη 70-61,
ΤΚ 795 74 Άμφισσα"
"Φανή Νικολοπούλου","Βαρουτίδου 7,
78074 Καστοριά"
"Πολύδωρα Μαργιά","Λαμπιρίου 90,
ΤΚ 28339 Καλαμάτα"
"Φανούριος Ματσούκας","Βαφειάδου 92,
ΤΚ 38438 Χαλκίδα"
"Μαρία Σκαβέντζου","Πλ. Νεοκαισαρείας 4,
ΤΚ 21823 Φλώρινα"
"Αριστόβουλος Ντότης","Μητροπούλου 0,
41363 Χαλκίδα"
"Ισιδώρα Κιορίδου","Ωρωπού 51,
35721 Κέρκυρα"
"Ευθύμιος Τσαραμιάδης","Βρύσης 4,
627 17 Πολύγυρος"
"Γκόλφω Μαγκανάρη","Αφάντου 618-835,
33401 Αργοστόλι"
"Γαβριέλλα Μαρουγιάννη","Χριστογιάννη 6,
ΤΚ 271 06 Καλαμάτα"
"Ναταλία Ζερβά","Σπετσών 004-135,
84709 Σέρρες"
"Ξενοφών Μανωλέας","Γαλησσά 723,
ΤΚ 33342 Ηγουμενίτσα"
"Αδάμ Αντωνέας","Λιόντη 45,
47131 Σέρρες"
"Σεβαστιανή Γεωργαρά","Τροβάτου 74,
416 10 Λευκάδα"
"Μαρία Τάσση","Λεωφ. Πιπεριών 889-524,
840 66 Ρόδος"
"Μάρθα Μιχαλάρου","Κροκεών 058-266,
ΤΚ 89264 Χανιά"
"Αδαμαντία Συνοδινού","Φραγκουδάκη 00,
94686 Κιλκίς"
"Λαέρτης Σπαθόπουλος","Μηθύμνης 14-63,
ΤΚ 42967 Τρίκαλα"
"Δροσιά Χριστοπούλου","Παχτουρίου 93,
93567 Αλεξανδρούπολη"
"Μάριος Μπαντής","Νικήτης 1,
ΤΚ 90288 Ερμούπολη"
"Βησσαρία Παυλίδου","Δρεπάνου 97-00,
62904 Αθήνα"
"Τίμων Σαραντινός","Σίλης 604,
ΤΚ 745 25 Λιβαδιά"
"Ελισσαίος Εσπερίδης","Αχιλλείου 75,
ΤΚ 09289 Βέροια"
"Κοσμάς Χατζηγεωργίου","Πάροδος Μουλκίου 86-81,
099 68 Χανιά"
"Μαρία Χατζηχαρίστου","Καισάρειας 5,
65374 Ναύπλιο"
"Θεοχαρούλα Ζερβά","Καρανάνου 06-35,
75335 Μεσολόγγι"
"Ανδρόνικος Χατζηγεωργίου","Λεωφ. Χανδρινού 5,
53351 Κέρκυρα"
"Φρίξος Γούσιος","Γόννων 08,
52710 Ζάκυνθος"
"Κλαίρη-Αντωνία Γκιριτζιώνη","Πάρ. Πλατάνης 822,
56212 Γρεβενά"
"Πολυτίμη Δημοπούλου","Πλ. Πολυδώρου 31,
ΤΚ 55778 Πρέβεζα"
"Σταμάτης Φουντζούλας","Μεταξάδων 3,
99244 Αγ. Νικόλαος"
"Τσαμπίκος Σαραφίδης","Πεδινού 30-78,
27336 Θεσσαλονίκη"
"Αλέξανδρος Βελεντζάς","Γόννων 00-15,
995 60 Αθήνα"
"Φιλιππία Καρολίδου","Υψηλομετώπου 68,
57852 Ιωάννινα"
"Μαρία-Γιαννούλα Ιωακείμ","Μπύρου 2,
55359 Λαμία"
"Ήβη Φαρμάκη","Μεγάλης Γότιστας 79-49,
ΤΚ 57389 Κιλκίς"
"Αγησίλαος Δανελής","Ματσούρη 78-15,
60404 Τρίκαλα"
"Θεοδότη Καψή","Γιανναρά 65,
ΤΚ 607 82 Καστοριά"
"Ναπολέων Πίππας","Χριστοφόρη 7,
ΤΚ 388 52 Ρέθυμνο"
"Αρίσταρχος Κολοκάθης","Γουριάς 35,
52846 Λάρισα"
"Έξαρχος Πετριτάκης","Λεωφόρος Βρασνών 35,
29911 Αργοστόλι"
"Ζαχαρίας Μαργαρώνης","Τριλόφου 423-004,
546 30 Βέροια"
"Ευφροσύνη-Δέσποινα Τσαμπαλή","Παλαιοπόλεως 143,
413 79 Κέρκυρα"
"Ραφαήλ Γεντίμης","Παπανικολάου 489,
ΤΚ 30613 Άρτα"
"Μαρίνα Κανελλοπούλου","Κυριάκου 0,
00592 Καβάλα"
"Φρύνη Τσιωλξ","Γιαννοπούλων 910-121,
66532 Καρδίτσα"
"Ισμήνη Καραντάνα","Παρακαλάμου 8,
ΤΚ 92558 Πρέβεζα"
"Περικλής Γιαννούκος","Παππά 62,
ΤΚ 99307 Πύργος"
"Ανδρομέδα Χατζηβλασίου","Αλεποχωρίου 22,
90929 Ρόδος"
"Χρυσάνθη Κουλουμπού","Πανοπούλου 7,
99068 Αγ. Νικόλαος"
"Αρέθα Φυτιλή","Αργέννου 5,
ΤΚ 314 26 Πολύγυρος"
"Κρυστάλλης Σκαρπέτας","Μεγάλου Γαρδικίου 24,
30291 Κομοτηνή"
"Φανουρία Γρηγορίου","Μεσενικόλα 2,
70281 Αθήνα"
"Κορνήλιος Παπαδημητράκης","Μαρμαρίου 7,
694 89 Πύργος"
"Μαρίνος Αγγελίκας","Σαραβαλίου 85,
11263 Κοζάνη"
"Μαριλένα Κυρούδη","Σφηκιάς 5,
ΤΚ 418 61 Καρδίτσα"
"Μαύρος Χριστόπουλος","Βαλανιδοράχης 4,
86920 Χανιά"
"Αγαθάγγελος Γκαγκαουδάκης","Κουλουμπού 522-678,
ΤΚ 195 73 Κατερίνη"
"Θηρεσία Φασατάκη","Χατζημιχαήλ 613-560,
34759 Καρπενήσι"
"Σμαράγδα Κουλουμπού","Επταμύλων 471-145,
ΤΚ 912 13 Αργοστόλι"
"Αθανάσιος-Όθων Αναστασίου","Μιχελακάκη 86,
ΤΚ 66633 Λιβαδιά"
"Γαλάτιος Τζιάρας","Κέχρου 94,
55118 Θεσσαλονίκη"
"Ταξιάρχης Μιχαλάκης","Πάρ. Πύργου Καλαμών 41,
86032 Καλαμάτα"
"Φλοριάντ Τσότρας","Μαγκανάρη 71,
ΤΚ 575 94 Ζάκυνθος"
"Μαρίνος Μηλιώρης","Κοντογεωργάκη 2,
ΤΚ 740 47 Βέροια"
"Ευστρατία Σελινοπούλου","Λαυκίου 45,
ΤΚ 09564 Αργοστόλι"
"Επαμεινώνδας Χρυσίδης","Πανκίδου 0,
16229 Σέρρες"
"Αναγνώστης Χατζησαββίδης","Λεωφ. Μετοχίου Διρφύων 92,
ΤΚ 588 07 Πρέβεζα"
"Δημοκράτης Μπαλουκίδης","Μητσοπούλου 542,
ΤΚ 08801 Λαμία"
"Κλεομένης Καρανικόλας","Ζερβοχωρίου 3,
82063 Αλεξανδρούπολη"
"Γαλήνη Τσικρίκα","Ευξεινουπόλεως 1,
934 97 Αργοστόλι"
"Ντανιέλα Σμιτ","Πλατεία Χιονάδου 5,
08282 Κοζάνη"
"Πούλια-Πούλια Γαλάνη","Μαγκαφοπούλου 73,
ΤΚ 20205 Μεσολόγγι"
"Φίλιππος Σπορδιλής","Νεράντζης 70,
624 64 Αργοστόλι"
"Μαργαρίτα Μπενέτου","Περιβολακίων 20,
ΤΚ 39975 Χαλκίδα"
"Χαράλαμπος Κουκουλιάντας","Αιθαίας 801,
50480 Κόρινθος"
"Ελισάβετ Λογοθέτη","Μιχοΐου 74,
66003 Μυτιλήνη"
"Πύρρος Τζιόρτζιος","Σουλίου 890-616,
ΤΚ 696 04 Καρδίτσα"
"Κλεόβουλος Κουτελιέρης","Δαφνούλας 4,
ΤΚ 143 15 Λιβαδιά"
"Θεοπίστη Ντότση","Παππαδατών 48-06,
27735 Ερμούπολη"
"Ιωσήφ Κουκουβίνος","Λεωφ. Ηλέκτρας 312,
ΤΚ 048 30 Καλαμάτα"
"Χλόη-Υακίνθη Νώε","Ναρθακίου 424-792,
95318 Λαμία"
"Αλκινόη Χατζηδάκη","Χαιρωνείας 21,
02954 Αθήνα"
"Σταμάτης Χατζαντώνης","Πάροδος Μηλοχωρίου 74,
ΤΚ 35384 Λάρισα"
"Μαργιέττα Ζωντανού","Γιάννουλης 29,
61773 Φλώρινα"
"Αρέθα Σφακιανάκη","Λεωφόρος Χαλκείου 5,
78747 Κόρινθος"
"Χρυσαφένια Δαυίδ","Ισώματος Καρυών 19,
60945 Λάρισα"
"Λαέρτης Κιτινός","Φαρών 95,
91961 Αλεξανδρούπολη"
"Γαληνός Ζολώτας","Πλατεία Αχλαδινής 013-320,
07868 Πάτρα"
"Άλκηστις Μαρτιάδου","Καραϊσκάκη 97-53,
ΤΚ 168 97 Βόλος"
"Ζαχαρένια-Τρυφωνία Τόμπρη","Μαραθέας 57,
ΤΚ 767 05 Καρπενήσι"
"Βάγια Σωτηροπούλου","Κατσιμάνη 03,
693 77 Πρέβεζα"
"Ευσεβεία Ρόγγα","Πάρ. Πυλών 88,
493 97 Κέρκυρα"
"Ροδόφλος Αποστολίδης","Φανερωμένης 00,
ΤΚ 259 98 Τρίκαλα"
"Μαργιέττα Καραογλάνη","Βοσινάκη 37,
40306 Αγ. Νικόλαος"
"Ρεβέκα Φρονιμάκη","Κλωνίου 320-857,
360 98 Ζάκυνθος"
"Ταξιαρχία Τσικνή","Σίμου 70,
88513 Λιβαδιά"
"Ανδριανή Γιανναρά","Ριαχόβου 27-23,
416 45 Φλώρινα"
"Βενετία Μαρκαντωνάκη","Λουτρακίου 402-015,
04266 Ιωάννινα"
"Ορφέας Γιαννάκης","Σαμτανίδου 33,
ΤΚ 99084 Μεσολόγγι"
"Όμηρος Σεφέκος","Μουσιωτίτσης 7,
29949 Κιλκίς"
"Αντώνιος Ταχμαζίδης","Χαριέσσης 8,
270 64 Ζάκυνθος"
"Μαρτίνος Κωνσταντόπουλος","Ηρακλείου 167,
ΤΚ 656 84 Σάμος"
"Βέρα-Σαλώμη Ευαγγελίδη","Δάφνη 14-34,
28737 Λαμία"
"Μαριάνθη Ρωμαίου","Λεωφόρος Βωλεώνων 7,
85664 Φλώρινα"
"Λευκοθέα Μπούζα","Κλειούς 9,
31941 Χαλκίδα"
"Θεοφύλακτος Γιαννές","Κατωμερίου 66,
258 30 Πάτρα"
"Φρίξος Τσιγαρίδας","Ηρακλείου 3,
ΤΚ 73642 Άρτα"
"Κυριαζής Λαγογιάννης","Στεφανοβικείου 98,
ΤΚ 49712 Ρόδος"
"Αίας Ορφανάκης","Βυτίνης 2,
ΤΚ 367 72 Σέρρες"
"Αχιλλέας Ανδρουλιδάκης","Τούμπας 982,
598 86 Άρτα"
"Φιλήμων Πάνος","Βαρύπετρου 528,
636 91 Φλώρινα"
"Διογένης Σακελλαρίου","Μύστακας 23-04,
ΤΚ 84123 Μυτιλήνη"
"Γαλήνη Πανκίδου","Μικρόν Πιστόν 3,
ΤΚ 38627 Πάτρα"
"Μαριάνθη-Αιμιλία Πολέμη","Ραψάνης 98-68,
70565 Χανιά"
"Χριστιάνα Παυλίδου","Καγκαδίου 132-250,
34212 Δράμα"
"Θεοδώρα Μουτζούρη","Χιωτίδου 00,
08128 Ηγουμενίτσα"
"Μιλτιάδης Νιτσοτόλης","Πιραμάς 0,
ΤΚ 29053 Ερμούπολη"
"Μαγδαληνή Δαμαλά","Φλασκή 737-484,
291 84 Ρέθυμνο"
"Ιωακείμ Δουμάς","Παρασκευά 7,
209 90 Σάμος"
"Προδρομία Κετεσίδου","Πύρρας 1,
ΤΚ 16101 Θεσσαλονίκη"
"Ερμής Καβούρης","Υψηλομετώπου 9,
ΤΚ 009 12 Ξάνθη"
"Καλλίνικος Κούρτης","Πετριτσίου 84,
26921 Μυτιλήνη"
"Λάμπρος Βάρσος","Ποκίστης 04,
966 24 Πρέβεζα"
"Μαριάννα Μαγούλα","Ριγανίου 92,
50107 Ιωάννινα"
"Μόσχα-Τσαμπίκα Μπαλτατζή","Πλ. Αχλαδοκάστρου 15,
14944 Φλώρινα"
"Μιχαήλ Κατσιγιάννης","Γερανίου 84-67,
ΤΚ 46479 Κατερίνη"
"Χάιδω-Γαλάτεια Τσιομπάνη","Λεωφ. Κρηνίδων 90,
ΤΚ 871 15 Γρεβενά"
"Σωζούσα Δαρσακλή","Φλαμπούρου 34,
ΤΚ 94396 Φλώρινα"
"Υάκινθος Καρακαστανιάς","Κονταιίκων 4,
064 77 Πάτρα"
"Θεοτόκης Παππάς","Πολυφύτου 15,
ΤΚ 07802 Αθήνα"
"Πολυζώης Κυπραίος","Φιδάνη 9,
13373 Φλώρινα"
"Σωφρονία Κυριακοπούλου","Πλ. Λυκοβρύσεως 2,
ΤΚ 936 20 Άρτα"
"Έκτορας-Πανορμίτης Γκατζογιάννης","Κατακαλίου 263,
ΤΚ 278 65 Αγ. Νικόλαος"
"Μαριάννα-Κωστούλα Τάντου","Λεωφόρος Αμπελιάς 900-180,
747 46 Θεσσαλονίκη"
"Μαρτίνος Σάτλας","Ελευθέρνης 10,
ΤΚ 145 06 Τρίπολη"
"Λουίζα Ζώη","Πάρ. Αιγών 4,
12197 Τρίκαλα"
"Λεμονής Τζιάρας","Μπαλή 79-22,
98176 Κέρκυρα"
"Λουκιανός Μπλανάς","Κεσσάνης 57,
88835 Λιβαδιά"
"Μαγδαληνή-Εριφύλη Φλασκή","Λεωφ. Σίβα 3,
ΤΚ 90219 Γρεβενά"
"Ποθητή Καργάκου","Αποστόλων 147-373,
ΤΚ 302 48 Ιωάννινα"
"Ερμόλαος Μεταξάς","Χορόζη 85,
65611 Αθήνα"
"Φίλιππος-Αυξέντιος Βαλαβάνης","Λεωφ. Ταύρου 6,
33219 Πύργος"
"Αρέθα Σπανοχριστοδούλου","Τσακαλάκου 213,
ΤΚ 05836 Αργοστόλι"
"Μαριάννα-Παταπία Βαγενά","Μασχολουρίου 18-26,
07440 Λευκάδα"
"Αριστείδης Στραβοσνίχης","Τόμπρη 58,
978 22 Βόλος"
"Σωφρονία-Κυριακή Φιλιάγκου","Σπανίδου 49-01,
649 99 Ιωάννινα"
"Αρχιμήδης Σμυρνιώτης","Γρηγορίου 728,
95348 Θεσσαλονίκη"
"Θεόφραστος Πίππας","Βερίνου 66-25,
063 90 Ναύπλιο"
"Χαρίκλεια Μαυρίδη","Αρτάκης 58,
ΤΚ 587 56 Λευκάδα"
"Άλκηστις Παλαιολογοπούλου","Λιδωρικίου 089,
ΤΚ 336 82 Καλαμάτα"
"Σεραφείμ Σπαθόπουλος","Δουλουφάκη 24,
88154 Λιβαδιά"
"Τιμολέων Χατζησάββας","Τσετσέρη 515,
ΤΚ 83604 Καστοριά"
"Θεόκλεια Μαρκαντωνάκη","Πλατεία Αναβρυτού 08-58,
32482 Τρίπολη"
"Μαριάννα-Σελήνη Στρατογιάννη","Παπανώτα 428,
ΤΚ 302 69 Ξάνθη"
"Αυγέρης Αλεξόπουλος","Λεωφ. Μουρνές 7,
74005 Μυτιλήνη"
"Ευσταθία Ρωμαίου","Επιταλίου 725,
483 67 Κομοτηνή"
"Νικόλαος Σπαθόπουλος","Κίου 6,
ΤΚ 842 15 Γρεβενά"
"Δρόσος Ασημακόπουλος","Λιολιοπούλου 58,
ΤΚ 053 38 Λιβαδιά"
"Παταπία-Αλκινόη Ρόγγα","Πάρ. Κορμίστης 656-610,
ΤΚ 65927 Τρίκαλα"
"Σεμίνα Βουτσινά","Μακρυλιάς 62,
22309 Σέρρες"
"Ζηναϊς-Βικέντια Μπιμπίκα","Μανεσίου Καλαβρύτων 37,
ΤΚ 11635 Κιλκίς"
"Λουκία Εμμανουήλ","Πλ. Αντιμαχείας 75,
94912 Λαμία"
"Αίας Φουτσιτζής","Παύλιανης 0,
043 95 Ρόδος"
"Μαριγώ Βρακά","Κοκκινογείων 55,
ΤΚ 219 98 Καβάλα"
"Λαυρεντία Τσακαλάκου","Πλ. Ανδρωνιάνων 523,
ΤΚ 77137 Χαλκίδα"
"Πολύβια Καράμπη","Λεωφόρος Καραβοστάμου 990-878,
ΤΚ 33757 Σέρρες"
"Γλυκερία Τσετσέρη","Παπαδοπούλου 7,
99538 Ρόδος"
"Προδρομία Παναγιωτακοπούλου","Τσακαλάκου 5,
26056 Ναύπλιο"
"Ματίνα Καλλιάνταση","Λεωφόρος Αγραπιδεών 37,
81156 Καβάλα"
"Ασημούλα Φίλκα","Μελισσίων 6,
43123 Λαμία"
"Λευκοθέα Μενγκ","Καραμπίνα 879-611,
ΤΚ 46104 Αγ. Νικόλαος"
"Ρούσα Παπουτσοπούλου","Λεωφόρος Καμπής 14,
290 59 Έδεσσα"
"Δαμιανή Ντάνου","Ελαφοχωρίου 99,
ΤΚ 351 05 Κόρινθος"
"Μαριγώ Κατσιμάλη","Πογωνίας 59-98,
717 30 Ζάκυνθος"
"Θεόφραστος Κελλάρης","Γρανίτου 3,
19999 Καρπενήσι"
"Γρηγόριος Βελεντζάς","Λεωφόρος Πελλάνας 36,
39871 Ερμούπολη"
"Σωζούσα Κανταρελή","Κοσμαδαίων 370,
20990 Καρδίτσα"
"Θρασύβουλος Ζούνης","Βουναρίων 0,
ΤΚ 674 16 Καρδίτσα"
"Ανανίας Γιαννάκης","Νεγάδων 69,
31818 Χαλκίδα"
"Πάρις Συργής","Διονυσίου 7,
ΤΚ 031 01 Κοζάνη"
"Φωκίων-Αριστοτέλης Καλαμαράκης","Παραδεισίου 32,
ΤΚ 693 56 Άρτα"
"Ιερόθεος Πάντος","Μαυρελίου 86,
ΤΚ 271 63 Τρίπολη"
"Αίας Κωτσικόρης","Ξεχασμένης 93,
262 25 Τρίπολη"
"Μαριγώ Κυρκούδη","Κορωνησίας 96,
ΤΚ 00081 Ηγουμενίτσα"
"Τιμολέων Λυγκούρας","Γκιριτζιώνη 35,
80296 Αγ. Νικόλαος"
"Βαγιανή Μιχελή","Λεωφ. Νικόπολης 4,
91532 Πάτρα"
"Ναυσικά Πυροβόλου","Γιακαμόζη 13,
05728 Ξάνθη"
"Ταξιάρχης Χρυσοβέργης","Γεροκώστα 4,
ΤΚ 692 79 Καβάλα"
"Γιαννούλα Κατσιλλή","Δραγωγίου 05,
806 40 Κατερίνη"
"Κερασιά Τάντου","Εθνικού 1,
78832 Άμφισσα"
"Στυλιανός Τσαγλιώτης","Κράψης 255-168,
92490 Ρόδος"
"Γιώργος Χατζιάρας","Μελιδονίου 633-412,
29457 Καστοριά"
"Ματθαίος Κατσιλής","Αγκουσελιανών 63,
ΤΚ 403 73 Αλεξανδρούπολη"
"Μαριγώ Πετράκη","Φυλακίου 54,
ΤΚ 47561 Άμφισσα"
"Βέρα Αναστασίου","Φωλιά 248-437,
27121 Σάμος"
"Ασκληπιός Κουρκουτάς","Πλατεία Λογγιτσίου 2,
190 13 Ηγουμενίτσα"
"Ηώ Κυργιά","Κομάνου 31-71,
ΤΚ 389 50 Αλεξανδρούπολη"
"Ιωάννης Μάνος","Άσου 87,
785 42 Χαλκίδα"
"Επαμεινώνδας Περδίκης","Πάρ. Σαλάκου 567-476,
151 02 Σάμος"
"Εριφύλη Καλαμάρα","Μυρόβρυσης 26,
69079 Δράμα"
"Κικιλία Κώτσου","Λεωφόρος Μιδέας 93-32,
ΤΚ 512 51 Ηράκλειο"
"Καρυοφυλλιά Κουτκιά","Δελή 249,
32464 Ηράκλειο"
"Στέλλα Χιωτίδου","Κούνου 62,
93967 Πρέβεζα"
"Μαριλένα Μασιάλα","Ατσικής 78-27,
ΤΚ 472 77 Λαμία"
"Στέλλιος Αθανασόπουλος","Καρολίδου 56-50,
30832 Φλώρινα"
"Πύρρος-Θεόκλητος Βασιλογιάννης","Αλεσταίνης 21,
ΤΚ 532 94 Χαλκίδα"
"Αλέξιος Χριστάρας","Ναούμ 6,
111 75 Κόρινθος"
"Ποθητή Πάντου","Παλιαμπέλων 346-690,
ΤΚ 930 09 Καρδίτσα"
"Δαμασκηνή Μιχελή","Λεωφόρος Κατούνας 18-11,
249 62 Χαλκίδα"
"Ιωάννα-Μαλαμάτη Σολωμίδου","Κορώνου 73,
ΤΚ 61281 Θεσσαλονίκη"
"Περικλεία Εμμανουηλίδου","Αλικάμπου 38,
95741 Τρίπολη"
"Θεμιστοκλής Αραμπατζής","Περτουλίου 22-17,
ΤΚ 91412 Πολύγυρος"
"Ανδρέας Νταβάς","Αγγελοχωρίου 8,
ΤΚ 667 87 Άμφισσα"
"Μαριλένα Χαραλαμπίδου","Λεωφ. Μελισσόπετρας 910,
71066 Χανιά"
"Παντελεήμων Θεοχάρης","Λευκοτόπου 991-956,
ΤΚ 614 40 Λαμία"
"Ανέστης Αγγελίδης","Δρακείας 13,
ΤΚ 71139 Χίος"
"Σεμίνα Κεσίση","Παράνου 90-55,
ΤΚ 44518 Πάτρα"
"Ιερώνυμος Σίδερης","Μύρου 85-69,
698 47 Πύργος"
"Παράσχος Νέλος","Λεωφ. Ευαγγελισμού 25,
65096 Πύργος"
"Αύγουστος Αντωνόπουλος","Γαβαλούς 17,
55493 Ηγουμενίτσα"
"Διδώ Πάντζιου","Βερίνου 59,
24901 Σέρρες"
"Φραγκίσκος Ραδοβάλης","Ρυσίου 214-737,
ΤΚ 15635 Θεσσαλονίκη"
"Εφραίμ Μωραΐτης","Ξηροποτάμου 061-898,
ΤΚ 993 93 Χανιά"
"Μαρκέλλα Μπαφίτη","Στενιών 589,
84877 Πολύγυρος"
"Ερμής Κωστάκης","Πλατεία Παλαιοχωρίου Σιράκου 40-00,
77986 Κιλκίς"
"Ερμιόνη Ζαρειφοπούλου","Κουλεντίων 18-15,
24755 Κομοτηνή"
"Δανάη Σπανίδου","Αρριανά 9,
ΤΚ 222 36 Κέρκυρα"
"Κοκκώνα Καρολίδου","Κακαλετρίου 562,
ΤΚ 701 94 Ηράκλειο"
"Κόσμια Βαρελίδου","Δολίχης 41-08,
12358 Κιλκίς"
"Ανθή Παπανάνου","Τσαριτσάνης 29,
21241 Καλαμάτα"
"Τιμολέων Μυσιρλής","Βλαχογιαννίου 22,
ΤΚ 042 37 Βόλος"
"Φοίβος Ξανθάκης","Πλ. Καλυβίων Θορικού 7,
243 89 Τρίκαλα"
"Αδαμάντιος Τσέας","Μάζιας 96,
ΤΚ 80849 Θεσσαλονίκη"
"Μαρτίνος Κορδατζής","Κουνουπιδιανών 8,
ΤΚ 74753 Τρίκαλα"
"Βαρσάμος Λεμονής","Αστυρακίου 08,
ΤΚ 117 24 Γρεβενά"
"Φιλήμων Κυπριώτης","Κατσιγιάννη 169-784,
ΤΚ 43359 Δράμα"
"Σόλων-Αλέξιος Μαγκούφης","Πετράδων 33,
10195 Μεσολόγγι"
"Πούλια Μπεσύρη","Πάρ. Μουδανιών 19,
88690 Λευκάδα"
"Κλαίρη Ανανιάδου","Γεφυρουδίου 372-499,
ΤΚ 875 28 Καρπενήσι"
"Δαμιανή-Ματίνα Κεσίση","Πλατυκάμπου 3,
ΤΚ 478 13 Αθήνα"
"Πλούταρχος Σκόρδος","Μαλεσίνης 78-30,
ΤΚ 97342 Ηράκλειο"
"Ευλαμπία Δουλάμη","Χρυσού 8,
83256 Γρεβενά"
"Ρόζα Πεμούση","Πάροδος Δεσινού 73-91,
381 76 Καστοριά"
"Μαρωτέσα Ρόκκα","Πεντακόρφου 81,
ΤΚ 05365 Σάμος"
"Προμηθέας Γκατζογιάννης","Βροντής 67,
680 84 Αγ. Νικόλαος"
"Παρασκευή Καψή","Λεπρέου 15-02,
294 93 Λευκάδα"
"Ρωξάνη Ζαχαρίου","Ασβεστίου 91,
ΤΚ 15599 Λαμία"
"Ερμής Δίγκας","Κουμαιίκων 87,
ΤΚ 07071 Καρδίτσα"
"Ανθούλης Κώττας","Νίκα 4,
ΤΚ 43555 Αγ. Νικόλαος"
"Αιμιλία Δώρη","Σκινέ 236,
67422 Ηγουμενίτσα"
"Θεοδούλη Μητσοπούλου","Νεράντζης 39,
083 75 Λευκάδα"
"Ίρις Κακοτρίχη","Γεροκώστα 234-686,
526 38 Λιβαδιά"
"Ορφέας-Θεοχάρης Μακαριάδης","Γαλάρου 03,
ΤΚ 514 76 Καρπενήσι"
