"丁冠宇","48302 豐原松山巷94號之3" 
"李鈺婷","64214 太保市龍山寺街744號7樓"
"楊博文","513 北竿大仁街65號9樓"
"林義雄","43219 竹田縣長春路48號9樓"
"王冠宇","99294 褒忠縣和街巷59號之8"
"葉進財","91606 宜蘭縣國凱八德巷2號之4"
"李明德","591 三重縣民富巷416號5樓"
"蕭宥廷","127 豐原市蘆洲街731號之8"
"王素蘭","454 頭份市三民路324號7樓"
"林信宏","588 中壢三民巷695號1樓"
"陳金蓮","491 基隆縣育英街86號2樓"
"陳子晴","287 新竹迴龍路98號之4"
"傅志宏","76659 連江關渡巷71號4樓"
"林義雄","64282 金門中華街61號之3"
"藍明珠","783 汐止市廣慈街3段381號之6"
"游俊賢","644 宜蘭縣學府街205號3樓"
"郭承恩","889 台北成功路5段38號之9"
"謝金龍","18882 大里市自由街3號6樓"
"彭麗雲","207 頭份市東興路230號之7"
"蔡國華","20550 雲林市自立街9號之2"
"林麗華","97173 阿里山府中巷6段97號5樓"
"林語彤","142 大里市芝山路9段40號之3"
"吳志宏","484 桃園五福路590號之7"
"林聰明","13758 新竹昆陽街666號之8"
"蕭淑美","71288 竹北市國凱八德街731號之3"
"林麗雪","41087 草屯永和路90號4樓"
"宋玉玲","16570 苗栗縣信義巷9號之2"
"李宗霖","22888 北斗市福德巷820號9樓"
"方世明","94131 古坑縣中和路648號之0"
"陳佳蓉","91815 新竹縣龍山寺街457號之8"
"王淑敏","40267 北斗太平街8號1樓"
"朱淑美","997 雲林市中興街820號3樓"
"古志雄","45000 草屯縣新北投巷664號之5"
"林聰明","57979 臺東大同街1號9樓"
"蔡家榮","32130 台東縣劍南路5號7樓"
"陳秀蘭","261 苗栗天母路9段191號3樓"
"黃志遠","888 牡丹廣慈路50號之0"
"劉文雄","657 南投文化路684號之0"
"蔡明宏","44113 太保關渡巷9號1樓"
"范志忠","68164 朴子市大坪路8段458號6樓"
"江建志","800 臺中縣北投路9號之4"
"張秀美","79872 馬公民富巷4段8號5樓"
"陳玉英","25256 花蓮市勝利巷9號3樓"
"林聰明","89838 花蓮博愛街4號8樓"
"林冠霖","358 梅山淡水街13號之7"
"陳志明","25188 中和新北投巷7段61號之3"
"黃雅玲","532 基隆光華路122號之3"
"陳玉英","89880 朴子縣關渡巷283號之3"
"吳金龍","543 屏東市莒光巷2號2樓"
"黃志明","369 連江民治街79號2樓"
"劉明輝","149 北港太平街327號之6"
"曾秀蘭","606 太平福德巷128號8樓"
"江世明","994 永康關渡街7號之4"
"林芯語","399 臺東大同街999號8樓"
"李建成","63377 八德公園街210號之0"
"鄭志明","85159 金門縣民有路4號之3"
"唐信宏","882 太保學府路2段645號之0"
"徐文龍","970 中和奇岩街99號6樓"
"羅建華","84021 屏東市大坪巷53號4樓"
"洪承恩","12022 古坑五福街4號0樓"
"莊建中","80282 豐原縣中山街40號之2"
"左勝雄","235 花蓮縣東湖路416號3樓"
"劉榮華","955 竹田縣福安街2段909號6樓"
"林詠晴","50387 南投自立街2號之1"
"凃文章","362 苗栗縣忠孝巷34號之2"
"邱國雄","330 台南文昌巷4號之8"
"劉國華","30293 汐止縣景美路282號2樓"
"江秋香","353 竹北水源巷58號之4"
"楊明珠","307 頭份縣育英路2段41號之5"
"黃秋香","356 苗栗市中山路5段519號4樓"
"謝心怡","812 台中市德路7段28號3樓"
"杜明珠","265 八德育英巷75號之2"
"黃月娥","276 板橋縣民生路3段80號2樓"
"林進發","529 卑南縣民享巷51號之6"
"呂聰明","832 牡丹仁愛路511號9樓"
"羅秀珍","899 台南縣廣慈街97號0樓"
"羅玉英","74443 新竹市芝山街2段382號之9"
"謝志誠","55977 褒忠大同街3號之0"
"林志偉","167 新竹市華興街7號5樓"
"黃正雄","11301 新竹景美巷7號之8"
"林建成","848 八德市大智街5段2號之8"
"李淑娟","278 永康中正路157號之3"
"許建宏","542 連江太平路39號之9"
"林進興","677 新竹縣新北投路45號8樓"
"劉玉珍","11672 苗栗紅樹林巷9段99號之1"
"葉郁婷","359 台東動物園路484號0樓"
"張明德","55495 竹北和平路5號之8"
"劉柏翰","56458 台東市福安巷7段445號之4"
"陳志成","63291 澎湖福德巷7段432號9樓"
"周國雄","79867 中壢忠義巷58號之0"
"陳家銘","598 蘆竹和平街77號之3"
"張家銘","91818 蘆竹大坪巷986號9樓"
"莊明珠","536 平鎮新北投街85號8樓"
"林進興","76602 草屯縣南街7段591號7樓"
"吳俊宏","104 橫山府中巷2段46號4樓"
"廖美惠","632 鳳山市石牌路918號之7"
"湯博文","65440 雲林縣雙連巷5號之5"
"簡志強","207 卑南市東湖街91號之1"
"吳俊雄","68407 新竹市大安街4段38號之1"
"柯冠廷","139 大里關渡街16號8樓"
"蕭佳蓉","818 苗栗昆陽巷6號4樓"
"楊玥彤","500 雲林民權巷51號4樓"
"賴家瑋","893 桃園關渡巷22號2樓"
"林進財","851 臺東縣關渡巷5段626號5樓"
"伍美玲","884 新營南巷7號2樓"
"黃麗香","17254 牡丹劍南巷1號之8"
"王志文","26775 桃園縣廣慈巷91號之5"
"詹俊宇","62407 太保新生巷3段707號0樓"
"張秀梅","15592 古坑大智路9號3樓"
"曾武雄","71060 白沙奇岩街34號1樓"
"陳宥辰","53039 梅山中山巷5號1樓"
"劉玉鳳","322 雲林市中山街1段7號7樓"
"官哲瑋","36655 平鎮紅樹林路960號之0"
"林金龍","31271 中壢中興街8段333號之5"
"張麗玲","10598 朴子縣林森路47號之5"
"張宥廷","93834 中和信義路249號7樓"
"何柏諺","34371 桃園中山巷3段6號3樓"
"陳素琴","29768 光復松山巷97號6樓"
"王秋月","65359 台中市永安街955號之2"
"游玥彤","77977 臺中市育英巷3號8樓"
"尤秀枝","42840 中和北投路2段114號7樓"
"黄麗玲","307 新北大安巷637號之9"
"陳秀琴","96913 草屯中華巷17號9樓"
"林金龍","39008 台南縣迴龍路79號3樓"
"黃玉梅","497 蘆洲北投巷9號0樓"
"王美華","150 北竿市民生街7段66號之2"
"王金鳳","69727 臺中縣福安路277號之1"
"許勝雄","46703 樹林學府路635號2樓"
"康俊廷","81367 褒忠石牌巷43號之1"
"鄧慧玲","951 竹田縣文山街5段2號6樓"
"黃素貞","80647 平鎮光華路2號之4"
"陳志成","92993 平鎮中山巷47號之9"
"林美惠","10166 基隆市和街巷1段352號7樓"
"林金龍","661 鳳山縣光復巷531號8樓"
"李秀琴","96548 台南市國凱八德路82號5樓"
"陳志明","81773 阿里山市古亭路482號8樓"
"楊秀美","64199 北港新生巷5號0樓"
"林家宏","53280 北斗縣龍山寺路492號5樓"
"吳子睿","40375 中壢莒光巷95號之1"
"李美麗","98855 光復中山巷56號之8"
"陳秀蘭","85201 牡丹縣松山路668號之0"
"陳美惠","118 北斗府中路9號8樓"
"王麗珠","854 牡丹水源街1段222號之3"
"林金龍","744 阿里山明德路35號2樓"
"郭素琴","17573 永和劍潭巷6號2樓"
"李月英","52372 台中縣育英路929號0樓"
"吳秀珍","490 梅山市延平路860號2樓"
"張文欽","23464 太保市五福路54號之6"
"廖秀蘭","640 新營市中華巷5段8號2樓"
"王宥廷","727 牡丹廣慈巷791號6樓"
"王志強","69359 褒忠四維路48號之5"
"黃玉蘭","46598 雲林縣府中街8段906號6樓"
"盧俊傑","344 樹林縣劍南路114號之6"
"林雅惠","237 台中廣慈路26號1樓"
"曾進發","432 關山五福巷559號之1"
"彭國雄","229 卑南南街821號之6"
"楊文雄","654 台東仁愛街4段91號之3"
"許雅玲","68465 連江自由街1號之3"
"張文彬","45006 桃園忠孝街316號之4"
"吳嘉宏","323 臺中民享巷5段857號8樓"
"吳寶珠","923 楊梅劍潭街394號0樓"
"陳秀華","20034 屏東文山街45號之0"
"黃正雄","922 桃園石牌路3段19號之2"
"林雅惠","548 關山市雙連巷6段2號7樓"
"邱春美","901 頭份縣太平巷5段9號2樓"
"唐文華","59133 新營市長春巷337號之5"
"顏素貞","423 桃園縣新生街174號之8"
"翁美慧","858 卑南雙連巷4號0樓"
"楊麗雪","832 北竿市民有路32號8樓"
"林金龍","239 台南大同街8號之9"
"陳志豪","10717 桃園縣大勇巷69號之3"
"熊子恩","388 新竹新莊路85號9樓"
"陳志宏","969 太平正義街9段55號之4"
"林雅慧","88171 古坑育英街537號7樓"
"簡玉玲","60021 太平市信義路1段80號之3"
"朱文雄","891 花蓮小碧潭街46號9樓"
"黄俊銘","735 新營府中巷599號4樓"
"吳碧雲","58316 台南復興巷86號之2"
"陳進財","259 關山自強巷9號7樓"
"徐碧霞","56056 竹北北投路34號3樓"
"高雅雯","64923 斗六市德巷67號1樓"
"張秀珠","26111 楊梅市德街20號9樓"
"施世明","288 金門新埔街880號0樓"
"林雅玲","736 北竿頂福州巷14號之3"
"簡秀娟","55841 台東縣新興街3段55號之7"
"陳秀娟","651 連江市雙連路6段958號0樓"
"李月娥","84649 豐原縣太平巷1段1號1樓"
"江信宏","764 澎湖市松山街72號9樓"
"蔡國華","373 白沙縣文化街8段46號2樓"
"李柏翰","53380 阿里山縣和平路29號6樓"
"廖柏宏","30084 竹田縣長春巷624號之7"
"楊建成","712 嘉義長安路28號之3"
"林柏翰","898 豐原仁愛路298號7樓"
"林雅萍","22167 台中縣民治街8段81號9樓"
"曾家豪","26779 竹田縣學府路5號之9"
"鄒志成","984 澎湖市民族路4號之3"
"吳怡君","101 新竹市芝山街381號6樓"
"羅美慧","87546 斗六大安街9號之4"
"陳義雄","691 新營市新生街125號0樓"
"湯秀英","531 三重市公園巷9段976號4樓"
"蔡金龍","62939 竹北市福安街33號6樓"
"蔡詠晴","177 樹林光復巷82號之8"
"賴麗香","14533 臺東市林森巷92號2樓"
"林雅雯","10225 金門中山巷61號之0"
"胡美英","297 褒忠縣新生路1號之7"
"鄭柏翰","793 橫山縣新生路4段302號之7"
"莊志強","40129 宜蘭市新莊街1號之5"
"周佳蓉","511 汐止博愛路9號3樓"
"劉進財","741 蘆竹淡水街25號之4"
"林冠霖","285 平鎮民族路565號之5"
"李正雄","266 橫山新生巷5號之4"
"胡秀蘭","494 新竹縣象山街201號0樓"
"林國榮","475 楊梅北投路4號0樓"
"林雅雯","26304 梅山正義路84號之7"
"楊詩涵","18445 桃園縣奇岩街681號0樓"
"王秀枝","505 宜蘭象山巷703號之0"
"林麗華","52327 新竹縣士林街1號0樓"
"蔡秀鳳","724 澎湖小碧潭街2號之9"
"方建成","75366 太保光華街6號8樓"
"胡文龍","28548 臺東縣石牌路4號2樓"
"王美慧","656 鳳山文化街8號之8"
"郭秀雲","503 金門市永寧巷1號5樓"
"蔡美惠","802 楊梅育英街4號之6"
"林靜宜","117 澎湖市芝山街137號5樓"
"林冠宇","389 員林民享路2號6樓"
"林俊良","253 中壢文化路61號之8"
"許志忠","17489 台中象山街8號9樓"
"陳秀蓮","74484 樹林市東興街2段3號2樓"
"田美珍","241 板橋市民有巷330號之6"
"鍾秋香","15777 北港市四維巷587號4樓"
"詹雨霏","92620 桃園古亭街422號之3"
"李信宏","616 平鎮永和街98號4樓"
"劉秀美","65447 梅山新莊路322號0樓"
"林靜怡","814 太保和平街56號之9"
"潘詩涵","56371 馬公中興街9號之2"
"李政宏","84085 花蓮縣自由路1號之3"
"林麗娟","41775 竹田縣新店巷17號之4"
"劉凱翔","700 屏東永安路30號之1"
"姚秀霞","880 桃園永寧巷222號3樓"
"林詩涵","15496 八德新生街3段6號2樓"
"吳惠美","137 牡丹市新興街9段9號9樓"
"徐志豪","35847 光復縣四維街2段86號之6"
"李冠霖","58261 三重市大橋頭路1段589號之9"
"林麗卿","10973 新北長安街27號之0"
"蘇麗美","57270 永和縣育英巷334號9樓"
"李俊佑","39911 臺中縣大同街699號之7"
"賴秋香","670 金門小碧潭街5號9樓"
"張淑慧","248 新營市廣慈街2號之8"
"潘麗香","68515 台北市光華街112號之4"
"蒲嘉宏","71025 金門市公園路9段7號5樓"
"賴秀霞","92099 卑南光復街7號之3"
"郭禹彤","931 雲林縣永和巷9段92號5樓"
"李家宏","66800 基隆延平路62號之0"
"林麗卿","38150 北港市新埔街5號4樓"
"蕭文傑","40442 北港土城街9段8號4樓"
"陳建銘","392 楊梅古亭巷933號之8"
"陳建華","460 三重市新莊路43號3樓"
"詹怡婷","10218 太保忠義街4段34號之4"
"林秋月","16803 竹北昆陽街10號2樓"
"廖怡婷","745 太平水源街7段3號之8"
"郭秀美","102 三重縣四維巷7號7樓"
"王羽彤","707 連江中正巷101號之8"
"羅建良","410 白沙縣民富街9號2樓"
"林麗娟","683 中和忠孝街4段862號5樓"
"黃月娥","79180 澎湖和街巷10號5樓"
"許玉玲","45289 連江市忠孝街3段614號7樓"
"馬品妤","52249 白沙縣仁愛巷28號之5"
"涂佳蓉","587 高雄縣府中巷454號4樓"
"李麗美","868 中壢建國路5號之0"
"劉家銘","897 卑南縣和街巷11號5樓"
"周志豪","59711 鳳山縣新生巷7號4樓"
"林明德","501 基隆縣林森巷3段591號9樓"
"畢美玲","863 金門和街巷38號5樓"
"林麗玲","301 宜蘭市光明街148號4樓"
"戴俊傑","65362 雲林動物園巷75號之0"
"蔡冠宇","29526 草屯市四維巷79號之2"
"余美麗","29937 連江東興路1段18號8樓"
"莊美雲","473 新營市民富路8段61號7樓"
"陳文彬","225 三重市昆陽巷8段5號之0"
"徐碧珠","329 花蓮中華路3號之3"
"劉宥辰","57054 台北育英街52號4樓"
"湯家銘","745 北竿市學府街3號8樓"
"吳美惠","43012 屏東市新生街23號之5"
"林麗玲","32540 桃園縣忠孝路5號之5"
"盧勝雄","423 金門天母路5號8樓"
"郭明宗","260 台東市光華街178號之1"
"李明宏","244 臺中四維巷773號之4"
"黃宗霖","294 金門象山街2段24號2樓"
"蔡麗華","21560 台南新莊街9段48號0樓"
"張麗美","315 新竹市信義街355號6樓"
"吳雅慧","84157 阿里山縣中興巷422號6樓"
"林宗翰","20421 南投德巷86號之7"
"葉俊宏","982 豐原縣仁愛街50號1樓"
"林麗珍","295 梅山縣建國巷83號之4"
"李麗玉","84050 樹林劍南巷6號0樓"
"劉進財","856 屏東雙連巷51號3樓"
"孫麗香","13538 樹林市國凱八德路29號之3"
"郭明哲","897 高雄五福街2號2樓"
"羅承翰","177 彰化北投街9號8樓"
"王玉梅","63946 白沙大安巷901號之8"
"馮家豪","97573 苗栗中山巷570號之5"
"張文忠","44379 蘆竹動物園街97號之9"
"李美玲","615 宜蘭建國巷37號9樓"
"林麗珍","898 連江縣自立路5號之8"
"許春美","179 橫山興巷639號2樓"
"蘇俊宏","641 花蓮成功街685號9樓"
"陳秀鳳","75587 三重市象山巷6號之1"
"黃秋香","942 桃園市龍山寺街98號6樓"
"陳雅萍","873 阿里山劍南路535號0樓"
"謝柏睿","987 連江縣關渡街965號之3"
"賴文賢","85033 桃園仁愛巷866號2樓"
"張冠廷","306 太保市福德路83號之7"
"劉禹彤","39758 平鎮民權街28號4樓"
"林麗美","96057 朴子縣劍南路374號之6"
"劉麗琴","448 斗六市中央街535號之8"
"林進財","318 梅山市公園路1號7樓"
"汪寶珠","340 馬公松山路307號7樓"
"吳進發","950 三重市太平巷11號之8"
"繆月娥","108 鳳山縣景美街5段75號2樓"
"莊文祥","572 蘆洲德巷307號8樓"
"柯麗娟","54659 員林市迴龍巷514號2樓"
"林冠宇","75517 屏東新生路9號之5"
"施國華","492 嘉義大安路581號3樓"
"林麗雪","619 北港土城街5號3樓"
"許柏翰","895 員林縣中正路91號5樓"
"黃武雄","73390 太平縣大安路39號之0"
"林仁傑","974 阿里山民富街328號8樓"
"林美慧","899 台南永安路16號之8"
"朱淑敏","859 永康縣博愛街826號之2"
"黃淑敏","35912 桃園大智巷1號3樓"
"洪秀鳳","23446 彰化民族巷30號0樓"
"柯建志","221 新營市大坪街47號之9"
"楊雅惠","71047 臺東縣國凱八德巷9號2樓"
"林麗香","26645 朴子新生巷535號4樓"
"郭秀蘭","58048 永和縣民族路7號3樓"
"丁志豪","324 光復劍南巷780號之6"
"尤玉梅","582 關山市明德路3號之1"
"林秀英","42560 卑南市育英巷7段2號7樓"
"吳志成","51062 北竿市士林街3段953號之6"
"白睿恩","49684 苗栗縣頂福州路58號2樓"
"吳惠珍","744 新北縣明德街393號之3"
"余淑芬","47332 雲林縣迴龍巷3段44號之4"
"沈建銘","117 新營太平路669號之8"
"柯佳蓉","578 草屯光明路935號4樓"
"林麗雲","310 雲林象山路35號之9"
"陳宗翰","850 太保新生路6段91號8樓"
"謝怡君","78638 卑南永安巷83號之4"
"黃秀琴","230 澎湖石牌路561號9樓"
"林淑娟","38713 橫山縣新莊路3段340號之1"
"黃志宏","82156 竹北明德路6號1樓"
"鄭秀霞","32208 橫山縣大仁街79號之2"
"張宗翰","584 新營縣大同街452號之8"
"余志偉","62486 桃園縣石牌街2段927號之8"
"柯勝雄","156 連江平和路7段35號6樓"
"陳嘉宏","805 竹田新生路8段2號6樓"
"林進興","39655 新竹縣芝山街7號7樓"
"吳冠霖","21659 新竹大安路6號3樓"
"丁柏翰","232 八德龍山寺路3號3樓"
"凃玉玲","844 樹林縣中山街7號8樓"
"陳淑貞","19909 花蓮林森路8號9樓"
"王子翔","239 彰化市松山街2號3樓"
"張冠宇","46370 基隆市大同街731號之4"
"蔡秀華","423 蘆竹劍南路5號7樓"
"柯勝雄","24281 台南德路2號之3"
"方嘉宏","261 高雄新生街636號5樓"
"鍾志偉","26988 台東縣大勇街1段703號8樓"
"陳淑珍","27725 橫山中和巷507號之3"
"鄭世昌","429 宜蘭蘆洲巷24號5樓"
"詹宇翔","910 樹林福德路22號2樓"
"蔡俊傑","576 臺中縣建國巷870號之4"
"馮靜宜","27930 基隆成功街73號9樓"
"康雅婷","588 大里雙連巷5號之2"
"林雅雯","514 樹林縣迴龍街82號5樓"
"柯志忠","193 新竹頂福州路23號2樓"
"李詩涵","890 光復市光華街874號7樓"
"張政宏","960 屏東縣民權街85號3樓"
"盧美華","56017 中壢縣博愛路744號之1"
"鄭玉美","59240 關山新生巷8號之6"
"楊麗玲","992 彰化縣古亭巷4號之6"
"謝文欽","59597 雲林市天母路7號之6"
"廖金蓮","713 桃園縣華興路4段75號7樓"
"吳麗娟","285 豐原縣古亭路4段9號0樓"
"郭淑芬","12741 新竹中華街8號7樓"
"柯文祥","24386 新營東興路19號2樓"
"葉承恩","984 宜蘭市頂福州路17號之0"
"劉素卿","746 樹林中正街791號9樓"
"許玉鳳","718 板橋頂福州路88號8樓"
"鄭秀美","21628 臺中市萬隆巷47號之5"
"廖建宏","34624 大里大坪巷618號2樓"
"黃金蓮","36462 白沙芝山街5段20號之1"
"張美玉","42232 太平市象山巷728號之2"
"葉美英","793 橫山縣明德巷99號6樓"
"郭志雄","25424 嘉義成功街8段30號之0"
"柯明輝","949 金門市新生街604號之0"
"黃子翔","235 蘆竹市大勇巷510號5樓"
"詹家豪","352 梅山華興巷50號之8"
"莊素蘭","161 永康興街6段6號之9"
"陳月娥","773 光復長安路52號6樓"
"嚴建興","488 草屯民族巷46號之9"
"余淑娟","31196 屏東新埔路39號9樓"
"林秀鳳","35390 平鎮關渡路9段12號之1"
"黃文雄","957 卑南縣士林街39號之4"
"呂冠宇","902 台中縣中和街21號2樓"
"柯淑芬","66733 關山市成功街7段76號之0"
"陳進興","67122 台東東興巷5段23號之7"
"林美珍","55549 台南市民富路660號之5"
"洪宗翰","54720 頭份大同路824號9樓"
"曹秀琴","18765 彰化成功路10號7樓"
"張文祥","58945 太平關渡巷35號之9"
"江俊傑","57494 光復市明德街883號0樓"
"簡秀琴","143 阿里山市正義路831號3樓"
"鄭慧玲","552 太保頂福州街5段469號2樓"
"葉志強","84408 台東縣興路50號1樓"
"柯麗娟","452 汐止市和街路2號之9"
"林素蘭","81939 八德市關渡巷92號之9"
"楊麗美","312 北斗長安巷50號之3"
"廖柏霖","38322 連江縣大橋頭路3段7號0樓"
"李柏霖","982 草屯士林巷54號9樓"
"徐麗美","98087 臺東縣三民街509號1樓"
"陳美華","509 桃園縣動物園街597號3樓"
"謝秀枝","418 北港關渡巷1號之2"
"黃國華","196 連江信義路4號8樓"
"郭素貞","819 朴子東興巷8號0樓"
"柳佳蓉","21022 阿里山市永和路5號之7"
"高碧珠","52964 新營延平路376號1樓"
"馮俊宏","76656 楊梅縣信義巷6段6號0樓"
"黄惠玲","394 中和市中山路46號5樓"
"蕭志明","28129 斗六縣新莊巷953號7樓"
"邱美玲","938 雲林縣東興路288號5樓"
"魯秀梅","108 彰化市林森巷3段5號0樓"
"黃俊傑","66007 基隆天母街782號8樓"
"吳碧雲","36640 嘉義大橋頭路5號6樓"
"謝麗珠","55633 台中市新埔路362號5樓"
"柳宥廷","42699 台中芝山巷7段42號之0"
"張志誠","54631 古坑民有巷8段78號之1"
"陳俊雄","335 關山中山巷8號3樓"
"徐永昌","17706 台東小碧潭巷3號0樓"
"莊淑慧","478 平鎮東興街860號3樓"
"黃文彬","98832 阿里山博愛街15號1樓"
"郭淑玲","57210 太保西門巷4號之4"
"吳麗華","57731 梅山新生巷1號3樓"
"莊宇恩","20366 北港市德路28號2樓"
"蔡麗卿","31849 金門新莊路819號之8"
"梁心怡","419 梅山東興巷8號之4"
"林俊宏","861 太平永和街62號之6"
"李志明","942 新竹水源巷8號6樓"
"謝國榮","57498 高雄縣忠孝路2號之8"
"賴柏翰","781 台中西門街1段26號8樓"
"李麗香","89907 太保市大勇街89號5樓"
"廖麗玉","26769 台中市林森街3號7樓"
"洪俊男","39442 板橋市大橋頭街4號之3"
"侯柏翰","17720 竹田縣永寧巷965號之8"
"許志偉","21152 大里市復興街4號2樓"
"梁志偉","223 台東市萬隆街729號之8"
"吳麗珠","94259 八德長春巷6號6樓"
"吳美玉","108 花蓮民治街2段382號1樓"
"蔣淑惠","546 桃園民有巷489號8樓"
"施秀美","98630 台南縣民族街9段87號之6"
"陳柏宏","39563 三重縣文山巷206號1樓"
"詹麗珠","318 中壢縣民享路8段37號1樓"
"林素蘭","149 大里學府巷3號2樓"
"廖建興","869 中和雙連路3段781號之8"
"王志忠","965 雲林市忠義巷950號之4"
"梁志遠","95506 臺中永寧巷954號之7"
"李俊良","90407 台東縣正義路60號之9"
"洪玉蘭","44827 白沙市關渡街18號之5"
"康子翔","76718 花蓮信義街62號2樓"
"陳建銘","53204 新竹市奇岩巷66號之3"
"邱承恩","306 彰化永安街956號6樓"
"黃麗美","38678 橫山縣石牌街625號6樓"
"林志偉","23085 基隆復興巷6號3樓"
"倪麗珠","878 古坑縣大橋頭路79號之1"
"李俊宏","243 宜蘭自由街2號3樓"
"梁淑娟","25731 梅山建國巷5號0樓"
"朱宇翔","60167 台東新生路49號8樓"
"陳志明","151 板橋市成功路6號6樓"
"蔡慧玲","510 嘉義大安街7號0樓"
"劉淑芬","630 白沙光華巷579號3樓"
"陳冠宇","88511 中和龍山寺巷958號之5"
"郭玉琴","236 平鎮市水源路6號之2"
"魏國華","36241 北斗林森路1號之1"
"蔡子翔","80786 三重新生巷59號之0"
"鄭文正","876 樹林忠義路8號之4"
"梁淑惠","24154 太保和平街873號之6"
"王秀雲","82042 雲林市石牌路2段61號之4"
"李文傑","75700 太保市民權巷9號9樓"
"張建宏","874 關山文山街878號8樓"
"徐麗美","828 嘉義縣文化街3段15號之9"
"謝俊廷","855 頭份縣民治路832號9樓"
"林秀琴","505 新竹市大橋頭巷1號之2"
"許冠宇","948 大里文山路877號之1"
"林玉梅","730 板橋劍南巷478號之0"
"陳雅婷","357 馬公縣新生街10號之0"
"梁淑美","213 金門縣長春路13號之4"
"張志忠","869 雲林新北投路244號之0"
"楊志誠","80784 竹北市自強街4段340號1樓"
"黃雅慧","80709 花蓮忠義巷81號8樓"
"陳明珠","62529 嘉義縣莒光街12號之7"
"李嘉宏","170 阿里山市新北投巷8號4樓"
"謝美華","312 員林華興路622號之9"
"陳志明","121 基隆縣和街巷39號之9"
"蔡美惠","801 頭份縣民治巷5段8號9樓"
"鄭素珍","19756 新竹大智街740號0樓"
"梁淑芬","285 蘆洲市動物園路6段91號之2"
"許秀鳳","458 草屯市頂福州巷14號1樓"
"吳志偉","399 橫山縣莒光路8段45號1樓"
"謝志豪","43334 太平雙連街7段1號之4"
"周建中","71585 台南市和街路584號之8"
"賴宗霖","769 太平新店路4號之0"
"温苡菲","46276 大里天母巷395號3樓"
"李志強","56592 澎湖縣景美路449號之1"
"廖雅婷","507 太保縣紅樹林巷1號之5"
"劉麗玉","64573 馬公縣五福街443號之5"
"梁淑芬","63767 北港市福德巷4段99號之6"
"許宇軒","335 北斗市光華巷7段819號之9"
"郭淑珍","294 台中四維巷39號5樓"
"江素貞","44484 牡丹中山街346號之7"
"徐雅婷","86675 北斗關渡巷222號7樓"
"汪玉玲","413 橫山林森街2號2樓"
"吳文龍","347 台中縣成功巷62號之3"
"林建中","156 桃園市林森街97號之9"
"秦秀琴","56896 光復縣中華巷400號之7"
"林俊男","639 太保縣正義路6號2樓"
"梁淑貞","148 連江育英街5號之8"
"賴淑娟","286 大里新莊巷8段78號1樓"
"李雅婷","131 關山縣中華街633號6樓"
"蔡淑貞","99020 光復縣大坪路7段1號3樓"
"蔡玉珍","63695 朴子文昌路54號之7"
"尹哲瑋","808 平鎮水源街6段827號之0"
"楊志成","591 北竿永寧路139號之0"
"吳玉鳳","62773 新營水源街7號之3"
"廖博文","93520 宜蘭育英路26號之1"
"高淑敏","242 太保市關渡街935號之2"
"梁玉梅","889 臺中市太平街430號6樓"
"王美玲","758 桃園民權路8號9樓"
"林麗雪","159 新竹興巷18號之3"
"高志明","68602 屏東市國凱八德巷1號之7"
"柯文忠","635 汐止市自由路35號4樓"
"張慧玲","394 基隆縣奇岩街5段7號之2"
"魏雅惠","15310 蘆竹市府中巷352號之6"
"張正雄","206 三重東湖街331號0樓"
"吳家銘","10457 草屯市四維街52號2樓"
"吳正雄","773 基隆小碧潭巷949號8樓"
"梁秀珍","43322 斗六和街街325號之2"
"周淑美","458 大里關渡路278號之2"
"何麗香","275 連江中正街411號之0"
"張簡明輝","56873 關山市士林街7號之1"
"曾淑卿","59283 北竿華興路5號0樓"
"徐麗卿","551 永康國凱八德街7號0樓"
"黃文彬","662 澎湖土城街80號之7"
"陳俊傑","72182 梅山文化街6段76號7樓"
"謝麗華","21029 太保縣興路6段190號之8"
"董建中","249 連江市小碧潭路61號之1"
"梁秀琴","90592 太保市興街474號之5"
"李冠宏","96107 平鎮市民治路102號之6"
"林欣妤","71878 南投縣民享路8段222號4樓"
"葉素珍","63151 臺中萬隆路4號之4"
"黃建銘","326 朴子縣文化巷1號8樓"
"陳家豪","724 臺中縣石牌巷6號1樓"
"許秀蓮","983 蘆竹縣福德路59號之4"
"林秀玉","77525 高雄市新莊巷518號之0"
"陳美慧","457 北斗縣萬隆路79號之5"
"陳麗雲","319 中壢福安巷217號之9"
"梁美惠","943 平鎮縣興路63號3樓"
"王家豪","13970 馬公育英街286號之8"
"江志賢","23830 太保市新莊路1段6號之3"
"林聰明","48069 中和延平街7段4號5樓"
"施麗玲","169 光復縣古亭街40號5樓"
"李麗娟","46702 中壢縣景美巷274號9樓"
"林子翔","652 中壢市福德巷11號5樓"
"陳明宏","519 台北縣大安路32號4樓"
"鍾秀美","969 關山中山路31號5樓"
"劉素卿","91035 白沙民生路700號3樓"
"梁麗雪","24279 北港市永安街36號9樓"
"曲淑娟","14853 臺中蘆洲巷1號之3"
"戴秀梅","994 古坑市民享巷96號之5"
"方秀美","58317 八德市長春路278號5樓"
"孫正義","908 頭份文昌路90號9樓"
"劉志雄","45480 中和市永安巷9段89號6樓"
"李文祥","390 永和文昌巷1號之1"
"羅文雄","94644 平鎮昆陽路97號之1"
"王國雄","644 苗栗大同路36號1樓"
"楊秀美","22021 大里市南巷5號8樓"
"楊仁傑","895 新竹縣民生街86號2樓"
