"丁哲瑋"|"410 澎湖市紅樹林街80號之6" 
"廖美雲"|"592 斗六民族巷6段124號之5"
"陳麗玲"|"66455 鳳山縣萬隆巷38號9樓"
"蔡美惠"|"48021 台南市成功巷6段7號之6"
"游俊明"|"30507 橫山縣文山街46號0樓"
"黃玉蘭"|"81048 楊梅明德路7段617號之5"
"蔡淑芬"|"68092 中壢市劍潭街93號2樓"
"蔡哲維"|"765 太平國凱八德路22號7樓"
"莊秀娟"|"10268 阿里山龍山寺巷855號1樓"
"王世明"|"628 橫山市新莊街400號1樓"
"黃建良"|"85502 卑南紅樹林街320號之6"
"鍾志明"|"67816 臺東縣大同路9號之0"
"黃志成"|"10119 北竿劍潭街7號1樓"
"李慧玲"|"19256 員林縣關渡路28號之5"
"林志忠"|"198 金門市東湖路9段42號之8"
"許淑珍"|"861 澎湖縣新店街31號2樓"
"張俊傑"|"867 新北市平和路92號之8"
"蔡國雄"|"161 北斗大同巷12號2樓"
"邱宜蓁"|"50892 南投長春巷8段93號5樓"
"劉秀英"|"197 台北縣育英街6號9樓"
"黃美玲"|"906 新營民享路5號之5"
"童雅婷"|"80830 台南縣大勇街19號之1"
"羅芸菲"|"81228 關山仁愛街2號之6"
"邵文雄"|"73310 高雄國凱八德街570號6樓"
"林怡君"|"79335 蘆竹縣民族街5段71號之0"
"張麗華"|"77852 平鎮自由街6段94號之6"
"王志強"|"26989 基隆市自強街13號之4"
"蔡威廷"|"255 馬公縣五福街470號9樓"
"陳承恩"|"567 澎湖縣育英街1號之7"
"江志銘"|"844 澎湖水源路66號之1"
"張宸睿"|"692 竹北忠義路2段8號之3"
"陳麗雪"|"88798 台中縣士林路100號6樓"
"莊柏睿"|"99903 大里劍南街11號之0"
"王秀琴"|"71975 台南市忠義巷9號7樓"
"李建華"|"12563 雲林文昌路2段6號之4"
"陳建銘"|"16716 苗栗市復興巷82號之7"
"林鈺婷"|"91997 斗六民權路91號之9"
"蔡子宸"|"919 光復縣關渡路66號9樓"
"蔡秀雲"|"57399 高雄縣民族路4段59號3樓"
"高淑美"|"76302 基隆市自強巷8段681號6樓"
"郭碧雲"|"481 桃園中正巷617號之2"
"林美惠"|"76736 新竹縣迴龍街9號7樓"
"吳秀蘭"|"72532 北斗縣民治巷4號6樓"
"陳宇翔"|"82627 新竹市龍山寺路768號4樓"
"陳淑慧"|"823 台東縣自強路82號1樓"
"劉俊傑"|"27283 楊梅永和巷5段94號3樓"
"黃麗娟"|"170 關山縣淡水巷3段7號3樓"
"蔡子晴"|"52702 白沙北投巷805號2樓"
"林文賢"|"490 澎湖縣關渡路528號之4"
"許進發"|"60065 台南南巷878號5樓"
"陳文賢"|"938 梅山縣莒光巷24號3樓"
"胡淑貞"|"70276 頭份縣古亭巷7段8號之2"
"張建中"|"249 北竿縣自強路230號之2"
"范美鳳"|"20511 白沙市水源巷617號之7"
"高宗翰"|"769 中壢縣中興街7號3樓"
"劉文賢"|"28286 南投縣自強街8段8號7樓"
"賴佳玲"|"10219 中壢福安路8號5樓"
"蔡宗翰"|"256 中壢自立巷296號6樓"
"張建興"|"29222 嘉義小碧潭路4號3樓"
"簡美惠"|"799 八德市水源路5號1樓"
"陳淑玲"|"42525 台東縣正義巷8號之8"
"彭秀英"|"487 彰化廣慈巷5段4號之7"
"黃榮華"|"387 苗栗博愛路59號之6"
"蔡志明"|"40634 南投縣雙連巷3段61號之6"
"邱秀鳳"|"233 斗六府中路8號0樓"
"朱秀蘭"|"991 桃園劍潭巷46號1樓"
"謝秀娟"|"392 朴子市文山巷9段20號之5"
"蔡宗霖"|"568 北竿縣新生路6號之5"
"陳淑惠"|"92048 鳳山市中華路3段5號9樓"
"李家瑋"|"363 樹林三民巷2號之0"
"彭美惠"|"593 員林縣大智路4號2樓"
"陳美雲"|"70378 蘆竹縣水源街35號0樓"
"洪美英"|"425 竹田忠孝街852號之0"
"陳凱翔"|"64771 太平市水源巷6號4樓"
"李麗玲"|"85862 新竹萬隆巷901號之8"
"李志成"|"266 北竿太平街9號之7"
"賴玉美"|"75925 鳳山新莊街6號之2"
"蔡家榮"|"152 南投縣萬隆街88號5樓"
"吳柏霖"|"32492 太保大智巷4號9樓"
"蘇麗卿"|"227 豐原市北投巷99號5樓"
"林麗珠"|"68104 苗栗縣動物園街3段794號5樓"
"黃素貞"|"67085 永康市國凱八德街596號7樓"
"涂麗珠"|"490 白沙忠義街653號之9"
"陳秀美"|"86940 嘉義明德巷8號2樓"
"陳金龍"|"327 鳳山市文山路54號1樓"
"黃宜蓁"|"957 阿里山縣雙連路380號之8"
"吳秀霞"|"334 澎湖縣劍南街11號之4"
"蔡建宏"|"68229 太平縣興巷548號之4"
"許麗珍"|"29179 古坑昆陽路6號之6"
"潘家豪"|"144 梅山北投街8段5號0樓"
"范美玲"|"91370 台北市府中路9段4號8樓"
"高秀鳳"|"83567 光復縣成功巷502號之1"
"謝志強"|"936 橫山縣三民街9號0樓"
"何麗美"|"803 馬公市自立路6段662號2樓"
"陳秀蘭"|"243 苗栗民族街1號2樓"
"李麗娟"|"15997 卑南東興街214號3樓"
"魏承恩"|"392 苗栗南街69號之4"
"蔡建成"|"14719 花蓮縣永和路9號之3"
"陳建宏"|"13969 褒忠市學府路78號0樓"
"楊俊豪"|"996 嘉義縣關渡路420號7樓"
"蘇淑娟"|"86992 古坑興巷8號8樓"
"劉美雲"|"556 鳳山市頂福州街84號之0"
"李欣怡"|"650 光復四維街261號0樓"
"張志誠"|"817 汐止縣東興街68號3樓"
"李淑珍"|"201 連江市廣慈巷924號6樓"
"李惠玲"|"398 豐原奇岩街6號3樓"
"鄭冠廷"|"143 梅山縣三民路4號0樓"
"蔡建成"|"34267 斗六關渡巷5段163號之3"
"張子豪"|"530 白沙市忠義路394號之7"
"黃惠玲"|"803 板橋頂福州路9號1樓"
"吳哲維"|"73502 斗六水源巷2號之0"
"許淑貞"|"499 新竹博愛路4號之0"
"王美娟"|"344 新營縣民族街1段29號之3"
"王思妤"|"16971 澎湖自由街8段5號之5"
"蔡宗憲"|"38014 雲林縣延平街9段7號8樓"
"林秀美"|"163 梅山市成功巷1號之2"
"陳文欽"|"288 高雄莒光街15號1樓"
"蔡建銘"|"74502 楊梅明德街8號之1"
"劉宜庭"|"807 中和東興路27號7樓"
"郭月娥"|"104 竹北市民享路14號6樓"
"黃聰明"|"50266 宜蘭市大同街437號之0"
"邱宗翰"|"849 樹林育英巷44號之9"
"林俊雄"|"424 澎湖關渡街6段7號之6"
"李美玉"|"16615 桃園市新生街8號之0"
"陳慧玲"|"21117 高雄縣大安街9段33號之7"
"呂金蓮"|"43340 草屯東湖街1號0樓"
"吳明宗"|"28543 中和大勇路677號之7"
"蔡志忠"|"930 永康市關渡路74號之7"
"李美娟"|"99728 馬公新生街59號之0"
"潘美雲"|"119 古坑永寧街2段808號之6"
"魏承恩"|"32541 梅山市北投巷664號之9"
"邱美蘭"|"160 北竿市新生路550號6樓"
"謝玉美"|"62348 彰化縣新生街40號7樓"
"張明德"|"54625 豐原民富街2段82號0樓"
"楊文傑"|"248 大里市仁愛巷7號之0"
"王秀蓮"|"31077 雲林水源路9號2樓"
"蔡雅玲"|"18828 竹北縣文昌路598號之4"
"蔡惠珍"|"296 太保明德路484號8樓"
"簡淑美"|"49583 員林市新生巷8段65號之6"
"廖秀美"|"771 豐原南街7號之9"
"黎志遠"|"271 褒忠縣中正巷2段2號之1"
"陳淑惠"|"963 連江市紅樹林路10號之4"
"蔡志偉"|"765 北斗市芝山街313號之9"
"彭柏宇"|"408 橫山天母街70號4樓"
"謝素蘭"|"698 新營縣劍潭路2號之7"
"蘇承翰"|"619 平鎮市松山路79號之4"
"沈信宏"|"53926 台中育英街881號之3"
"蔡慧玲"|"953 竹田關渡路6段54號4樓"
"黃淑玲"|"224 楊梅新北投巷8號3樓"
"林恩碩"|"40685 蘆洲市中央巷8號5樓"
"謝志遠"|"84355 牡丹中和路3號之3"
"林麗珠"|"19065 平鎮林森路7號0樓"
"張俊良"|"51646 北竿市新莊街57號之5"
"李志忠"|"582 金門龍山寺街75號9樓"
"洪俊傑"|"212 新竹市五福路5號之7"
"蔡聰明"|"425 台北縣新生路2號7樓"
"謝秀鳳"|"91137 新營五福路96號之5"
"蔡承恩"|"281 金門民享街44號之7"
"林佳玲"|"70588 蘆洲太平路7號之5"
"林秀雲"|"548 蘆洲市忠孝路530號0樓"
"王志賢"|"165 蘆竹市華興巷3號2樓"
"賴聰明"|"496 白沙興巷520號之8"
"王品睿"|"949 基隆市林森街24號8樓"
"吳美惠"|"834 臺東雙連街6段43號5樓"
"黃雅萍"|"63035 苗栗市景美路129號9樓"
"林秀蘭"|"619 豐原縣紅樹林路73號9樓"
"劉雅玲"|"819 北港新店巷37號4樓"
"蔡承翰"|"30322 光復縣大安街513號之7"
"曾淑惠"|"24572 三重紅樹林路44號之7"
"陳國榮"|"83927 屏東淡水街56號2樓"
"白雅惠"|"914 中壢縣石牌街77號之8"
"吳麗卿"|"211 朴子關渡巷43號之7"
"郭金蓮"|"971 台北育英街72號之9"
"曹秀珍"|"36664 北竿文山巷730號之5"
"何秀娟"|"493 台中中興路582號之7"
"簡建良"|"13550 金門市東湖街3段14號5樓"
"王明宏"|"212 大里新生路6段716號之1"
"蔡承翰"|"465 新北國凱八德街689號之2"
"李冠廷"|"69386 蘆竹西門路86號之8"
"柯美珠"|"68048 頭份劍潭街5段13號5樓"
"林恩碩"|"10773 平鎮市東興巷491號6樓"
"張冠霖"|"392 竹田新莊街7號之2"
"郭明宗"|"518 蘆竹市公園巷26號2樓"
"陳俊佑"|"59902 永康市國凱八德路2號8樓"
"林美雲"|"22323 古坑石牌巷3號2樓"
"黃玉美"|"60049 蘆洲市三民街38號之1"
"吳哲維"|"902 褒忠市大安巷383號之4"
"蔡文祥"|"534 阿里山市學府路3號4樓"
"古碧珠"|"55888 豐原石牌路693號3樓"
"楊志文"|"60723 白沙縣劍南路1段1號4樓"
"羅雅筑"|"16582 太平縣淡水街6號2樓"
"林文龍"|"996 金門象山街72號6樓"
"江秀琴"|"978 台東市信義巷8號3樓"
"卓志文"|"10868 豐原市永和街68號6樓"
"陳志遠"|"46674 卑南勝利街321號6樓"
"楊文龍"|"531 新營廣慈巷72號6樓"
"吳秀鳳"|"54542 永和民治街787號之4"
"蔡文雄"|"56751 花蓮縣小碧潭巷5段2號之2"
"洪淑芳"|"11420 台中民享巷2號之6"
"黃永昌"|"524 卑南縣新店街172號2樓"
"彭雅玲"|"966 阿里山關渡路891號2樓"
"褚美珠"|"215 大里大橋頭街2號8樓"
"萬家豪"|"63594 員林新店路297號5樓"
"林承恩"|"50730 八德縣自強巷5段2號之2"
"蘇秀英"|"98570 新竹縣文昌巷70號1樓"
"黃宗憲"|"782 台南縣仁愛路8段89號之5"
"賴佩珊"|"55442 中和縣新興巷937號8樓"
"蔡文龍"|"495 金門民族巷87號之5"
"楊麗玲"|"989 太保民生街517號之4"
"楊淑貞"|"134 屏東縣南巷16號之6"
"陳文忠"|"809 雲林縣太平街4號之0"
"吳文章"|"676 雲林縣四維巷65號7樓"
"周麗美"|"270 澎湖縣永寧街42號5樓"
"李建良"|"38632 中壢新埔路534號1樓"
"陳品妍"|"656 大里縣中山巷309號9樓"
"陳美華"|"27711 北斗市新生街6號之9"
"蕭信宏"|"57047 關山新北投街91號之9"
"蔡明珠"|"394 蘆竹忠孝街262號之8"
"羅恩碩"|"194 蘆洲成功路9段2號之8"
"陳志明"|"115 三重縣民族路740號之0"
"廖家豪"|"75136 大里縣育英街2號4樓"
"羅宗憲"|"37263 台北關渡街804號3樓"
"楊宇軒"|"45856 新營土城巷1號5樓"
"張明德"|"41597 彰化廣慈街2段86號7樓"
"張文華"|"12186 豐原市松山巷4號之1"
"曹玉蘭"|"438 樹林市忠義巷9號之3"
"廖慧玲"|"39913 汐止市福德路79號5樓"
"蔡柏霖"|"16747 新竹永和巷75號4樓"
"莊美華"|"500 橫山縣新埔路30號之5"
"許麗珠"|"142 永和新生巷8號5樓"
"陳俊傑"|"17779 基隆大橋頭街41號之6"
"葉素珍"|"12940 卑南市動物園巷60號6樓"
"吳淑珍"|"883 斗六育英路846號之0"
"王靜怡"|"44189 屏東中央路56號之7"
"林正雄"|"163 竹北市和平巷9段1號1樓"
"盧世明"|"978 朴子縣蘆洲街84號1樓"
"吳美玲"|"205 永和民富街60號之1"
"蔡榮華"|"585 斗六龍山寺路31號之5"
"邱月娥"|"658 三重廣慈街6號之9"
"高淑卿"|"859 台南市新北投街1段195號9樓"
"周宗憲"|"870 新營文山街5號5樓"
"韋勝雄"|"957 太保縣光明巷7號之6"
"楊秀華"|"97187 草屯四維路5段7號之4"
"陳進財"|"522 臺東縣松山路4號2樓"
"古正義"|"62503 中和龍山寺巷8段897號之8"
"黃淑卿"|"35752 太保市勝利巷99號之4"
"蘇文雄"|"18536 豐原縣福安街419號1樓"
"蔡淑卿"|"21135 光復和平街1號之3"
"陳麗珠"|"811 連江象山巷74號9樓"
"鄭志豪"|"551 中和市民有街863號之5"
"潘文彬"|"508 金門土城街469號0樓"
"許麗美"|"95979 新竹縣奇岩巷2號之3"
"洪宇軒"|"362 苗栗縣奇岩巷92號8樓"
"方金龍"|"90205 光復中正巷8號9樓"
"詹宜蓁"|"881 雲林市忠義路6段4號之8"
"蔡明哲"|"36920 澎湖市大同巷96號之1"
"陳淑貞"|"456 褒忠市民生巷8號3樓"
"蔡淑娟"|"70741 楊梅縣明德路2段9號之9"
"林麗雪"|"499 汐止縣北投路51號9樓"
"羅建宏"|"267 新竹新生街3段24號7樓"
"余麗娟"|"523 嘉義縣頂福州巷469號之4"
"蔡哲維"|"27885 光復縣學府街8號2樓"
"顏志成"|"86461 白沙正義街2號之0"
"潘博文"|"785 中和市士林街988號之3"
"盧承恩"|"872 太平市莒光街72號3樓"
"黃文傑"|"17541 金門市昆陽路3段8號1樓"
"陳美珠"|"109 新營市大同路88號之6"
"蔡淑惠"|"44968 員林大同街6號3樓"
"李美珠"|"26708 竹田市頂福州街94號9樓"
"江秀蘭"|"765 蘆洲縣大智街205號1樓"
"黃文祥"|"59187 三重民治路189號2樓"
"楊志銘"|"878 永康市新興路70號之9"
"陳義雄"|"35992 高雄學府街599號1樓"
"陳宥蓁"|"752 台中松山街431號7樓"
"陳建宏"|"30196 宜蘭中山路48號之7"
"許麗卿"|"496 馬公中央街644號之2"
"徐詩涵"|"95895 蘆洲縣光華巷697號5樓"
"蔡淑敏"|"45899 豐原縣太平巷39號之6"
"林冠霖"|"687 永和縣文化路638號之9"
"劉建良"|"52937 花蓮自強路825號之7"
"伍冠霖"|"98204 蘆竹古亭街8段91號6樓"
"陳秀娟"|"13287 新營三民路6號之3"
"何義雄"|"56087 北港光華街5段6號之4"
"吳美玲"|"811 關山縣文化路3段905號0樓"
"張素貞"|"519 宜蘭昆陽路4號8樓"
"鄭麗玉"|"99381 新營縣關渡路8段1號之2"
"郭婉婷"|"432 臺東中山巷81號之2"
"蔡淑貞"|"30305 桃園太平街43號之3"
"徐美惠"|"867 關山縣民族路9段29號之3"
"謝志宏"|"811 八德昆陽路1號之2"
"朱秀玉"|"16225 桃園縣三民巷155號3樓"
"黃麗雲"|"597 桃園市建國巷2號5樓"
"楊宗霖"|"715 臺中市新埔巷1號之4"
"蔡秀枝"|"576 大里縣莒光路56號6樓"
"鄭進發"|"762 蘆竹縣建國巷7號5樓"
"林俊銘"|"93127 蘆竹縣新莊巷8號5樓"
"吳承翰"|"214 南投中央路3號之5"
"蔡淑貞"|"751 南投縣東湖路5段82號2樓"
"程美惠"|"14726 雲林市中華街862號之0"
"李雅惠"|"990 台中縣府中巷11號之1"
"高秀枝"|"811 竹田縣文昌巷3號之9"
"劉麗玲"|"512 員林縣松山街783號7樓"
"劉淑華"|"95594 汐止縣新生路168號1樓"
"洪志偉"|"54606 三重市新莊路290號之6"
"蘇俊雄"|"335 大里淡水巷264號0樓"
"穆美華"|"314 花蓮市復興巷124號之9"
"胡雅萍"|"503 鳳山縣新生街5段7號之0"
"蔡玉珍"|"924 光復市民生巷389號2樓"
"蔡嘉宏"|"768 阿里山市關渡街6號0樓"
"劉柏霖"|"514 桃園淡水路302號之9"
"蔡秀珠"|"47928 光復劍潭路8號之7"
"盧秀霞"|"93516 新北中央路57號9樓"
"蔡宜蓁"|"56102 中壢縣中華路69號2樓"
"張金龍"|"262 蘆竹中央街980號之4"
"周哲維"|"139 三重市國凱八德巷6號3樓"
"劉春美"|"64742 竹北大勇巷272號之5"
"盧淑芬"|"59671 竹北縣大勇街1號之3"
"蔡玉英"|"49497 梅山市育英巷109號4樓"
"洪進發"|"527 台北市四維巷56號之4"
"蘇怡君"|"67825 八德縣自強街67號之8"
"盧春美"|"152 連江縣自強街1段29號之5"
"馬品睿"|"253 宜蘭大勇路4號3樓"
"李雅玲"|"92652 朴子文昌路792號0樓"
"李麗卿"|"23280 梅山縣和街巷614號7樓"
"葉柏宇"|"509 蘆洲市育英街9號之5"
"游美玉"|"788 太平民有路128號之9"
"王秀蘭"|"998 豐原縣福德路3段35號之2"
"蔡碧雲"|"983 大里市文山路7段59號之9"
"廖志雄"|"39915 三重縣自立巷8號3樓"
"江秋香"|"910 太平縣林森路1號之7"
"陳寶珠"|"807 大里和平巷730號9樓"
"林欣怡"|"480 梅山縣士林巷738號6樓"
"古秀英"|"11339 楊梅德路5號0樓"
"梁永昌"|"91178 頭份大勇街10號之0"
"曾麗華"|"10275 竹田縣民享巷431號4樓"
"林文龍"|"605 板橋縣光明街953號之7"
"趙麗娟"|"149 大里南路9號6樓"
"蔡秀枝"|"309 嘉義光復路9號9樓"
"吳麗雪"|"51011 新竹民富街7號1樓"
"陳柏宇"|"857 關山水源街8號之3"
"邱佳玲"|"73292 中和新生路288號0樓"
"楊文彬"|"73448 草屯市中央路79號2樓"
"向怡君"|"364 金門北投巷4號之0"
"楊文雄"|"91687 台中民富街353號之9"
"邱麗珠"|"40963 梅山中興路9段663號之6"
"劉志遠"|"27963 白沙縣長安巷109號9樓"
"邱金龍"|"189 新竹關渡巷5號之3"
"蔡素貞"|"47567 嘉義市永寧街670號之2"
"萬文彬"|"55913 古坑長春路3號3樓"
"賴碧珠"|"55204 阿里山市復興街5號之3"
"郭柏宇"|"476 鳳山市土城巷1段60號之4"
"黄淑貞"|"71253 高雄縣紅樹林路448號之7"
"郭志強"|"43495 澎湖縣新生路7段8號0樓"
"陳柏諺"|"484 南投中和街5號4樓"
"藍素貞"|"783 蘆竹縣萬隆路1號之6"
"陳文傑"|"507 新北市士林街7段967號之9"
"邱政宏"|"326 雲林士林路38號0樓"
"蔡美玲"|"464 樹林新店路93號之6"
"范家豪"|"72518 草屯民治路23號6樓"
"賴心怡"|"46397 光復縣延平路74號2樓"
"蔣素蘭"|"362 苗栗縣民治街803號0樓"
"黃哲瑋"|"659 台東新生街2段71號8樓"
"吳柏霖"|"429 汐止市四維路372號之5"
"洪佳玲"|"18916 楊梅縣德街79號7樓"
"羅秀琴"|"243 新營縣自由路862號之2"
"安雅雯"|"38911 鳳山市大同巷1段218號之1"
"陳麗雲"|"866 花蓮縣光華路130號1樓"
"蔡美華"|"18154 板橋市永和街3號之7"
"顏雅慧"|"88653 基隆縣昆陽巷6段463號之8"
"陳思妤"|"607 大里縣民富巷466號7樓"
"曾秀玲"|"92173 褒忠市文化路919號之1"
"李秀鳳"|"715 三重民享街9號之4"
"陳寶珠"|"77862 永和光復街49號之1"
"李志偉"|"53531 北竿蘆洲巷20號之9"
"許凱翔"|"286 馬公市忠義巷9段223號之2"
"林志忠"|"653 永康動物園街930號之7"
"王冠宇"|"78404 新營松山巷986號1樓"
"蔡芯語"|"628 阿里山市民權街931號0樓"
"陳志偉"|"75588 永和新店街97號9樓"
"陳建中"|"20137 竹田縣華興巷94號3樓"
"黃承恩"|"43939 連江三民街1號之4"
"余義雄"|"42792 橫山自強街690號4樓"
"蔡宗憲"|"228 新竹市光明巷65號6樓"
"李志宏"|"890 古坑昆陽巷9段8號2樓"
"郭威廷"|"22960 北竿大仁路369號之9"
"萬美玉"|"94313 北港市紅樹林巷8號之3"
"蘇志雄"|"43252 卑南縣自強街17號之8"
"蔡苡安"|"781 苗栗縣東湖巷7號3樓"
"曹家瑋"|"30317 北港延平路1號之1"
"鄭美華"|"47845 褒忠土城路15號7樓"
"林俊佑"|"47051 南投市建國街2段99號之2"
"黃淑華"|"711 臺中縣動物園街632號4樓"
"蔡仁傑"|"24592 花蓮縣劍潭路216號之1"
"易秋香"|"59880 台中市忠孝巷1號之8"
"蔣美玉"|"160 梅山縣太平街6號6樓"
"王俊宏"|"48893 中壢市信義巷82號1樓"
"邱志偉"|"147 竹北文山巷133號9樓"
"蔡金蓮"|"330 中壢市自由街931號之3"
"陳文祥"|"490 太平龍山寺街147號8樓"
"曾秀琴"|"162 新竹縣中央街81號之9"
"單淑惠"|"395 金門中央街9段828號4樓"
"郭子翔"|"861 臺東縣福安巷436號7樓"
"劉美玲"|"32899 南投市正義路9號之3"
"王志遠"|"933 卑南市建國巷83號之6"
"蔡文章"|"14617 太平福德巷93號之3"
"陳宗翰"|"33335 汐止南巷68號9樓"
"鄒淑敏"|"240 卑南大仁巷7號之6"
"蔡鈺婷"|"77576 花蓮市大橋頭巷2號之5"
"林美華"|"630 永和市頂福州街6號9樓"
"范建宏"|"263 豐原市蘆洲街18號6樓"
"王明輝"|"789 竹田縣新生街822號之1"
"胡建興"|"46576 蘆竹新莊巷257號1樓"
"蔣柏翰"|"125 苗栗中興巷1號5樓"
"白苡晴"|"809 南投縣奇岩路110號1樓"
"吳淑卿"|"450 楊梅縣龍山寺街7段165號0樓"
"曾淑華"|"94466 臺中中山巷119號6樓"
"丁雅雯"|"59932 金門永寧街962號之8"
"蔡雅玲"|"32576 白沙縣林森街1段58號之4"
"劉淑玲"|"98249 楊梅縣水源街214號之2"
"宋美麗"|"223 臺東民富街736號之7"
"張素珠"|"934 雲林學府巷8段96號之1"
"黃承翰"|"984 褒忠縣新店巷23號4樓"
"張進財"|"485 豐原市東湖巷9段4號之6"
"范文龍"|"922 雲林縣自立巷57號之3"
"洪玉玲"|"692 橫山市成功路6號6樓"
"胡美玉"|"93683 員林公園巷519號2樓"
"賴玉梅"|"223 新營小碧潭路75號之6"
"蔡雅萍"|"131 關山新生路5號5樓"
"翁俊宇"|"62523 澎湖長春巷7段214號之3"
"葉秀枝"|"353 牡丹四維路4號7樓"
"張素卿"|"66737 頭份縣新店街27號3樓"
"黃雅婷"|"469 北竿新興街7段543號2樓"
"林承翰"|"494 蘆洲水源巷5段38號之4"
"黃凱翔"|"148 臺中市自立路3號之4"
"柯淑芬"|"92849 阿里山和街巷9號之0"
"張承恩"|"554 北竿市勝利街1號7樓"
"陳麗玲"|"62241 褒忠縣淡水路6號8樓"
"蔡麗玉"|"342 彰化關渡街18號之4"
"任惠玲"|"18881 太平市信義巷13號0樓"
"楊美華"|"716 竹北市古亭路270號2樓"
"李柏霖"|"194 新營雙連路2段71號3樓"
"林政宏"|"940 鳳山市博愛巷7號6樓"
"鍾文賢"|"82422 卑南劍潭巷8號3樓"
"林秀蘭"|"10528 高雄縣北投巷393號之9"
"游哲瑋"|"844 八德永安街8段98號0樓"
"陳信宏"|"11754 大里縣大同巷491號6樓"
"劉俊宇"|"51970 臺東縣民有街984號7樓"
"蔡麗玲"|"45857 蘆竹縣昆陽街8號之9"
"蘇淑芬"|"816 連江縣自由街8段2號5樓"
"高雅惠"|"57427 褒忠五福街34號之5"
"江明宗"|"11004 光復縣文山巷39號5樓"
"金政宏"|"647 永康縣龍山寺巷470號之3"
"曾明德"|"873 樹林自由路808號之1"
"黃雅玲"|"856 北斗府中路769號8樓"
"林淑美"|"943 新營市大安街9段93號5樓"
"黃俊雄"|"773 太平自由巷86號之8"
"林淑敏"|"650 頭份永安巷723號之4"
"蔣文彬"|"438 澎湖縣動物園巷1段387號7樓"
"蔡雅玲"|"81479 中和縣光明街286號之3"
"陳家瑋"|"97882 竹北縣北投路6號之8"
"唐雅惠"|"246 嘉義市西門巷21號之2"
"李美華"|"32855 北竿縣自強路8號之2"
"陳雅婷"|"867 大里蘆洲巷19號之4"
"劉美雲"|"45524 梅山忠孝街2段722號3樓"
"張文忠"|"23080 梅山市民生巷31號9樓"
"許俊明"|"74547 基隆中央街3段4號1樓"
"林國華"|"345 花蓮新莊巷994號5樓"
"蔣柏諺"|"36274 馬公紅樹林路74號之8"
"許俊明"|"65179 連江市天母巷1段147號之0"
"蘇進興"|"166 太保縣雙連路4號之1"
"陳秀鳳"|"22661 金門縣華興巷9號之9"
"張美娟"|"91043 竹田福安路80號之3"
"孟秀梅"|"95320 北港縣中和路2段4號之5"
"李志偉"|"793 臺中縣東湖路36號4樓"
"劉淑貞"|"54904 關山縣民生路3段7號之5"
"黃美娟"|"993 關山縣太平街9號8樓"
"洪家宏"|"154 新北紅樹林巷469號0樓"
"蔣玉英"|"637 澎湖象山路956號之3"
"陳明輝"|"91832 竹田新北投巷164號7樓"
"鄭品妍"|"58124 板橋公園街29號之0"
"趙子翔"|"63287 蘆竹光華巷7號之5"
"許俊良"|"740 永和市新埔街5號之1"
"邱秀珍"|"688 中和華興路821號之0"
"張宗翰"|"379 連江市永安路34號之2"
"謝麗珠"|"66315 臺東市自強巷154號之5"
"張淑美"|"499 鳳山縣華興街612號之9"
"馬秀玲"|"835 頭份中央巷9號3樓"
"蔣雅惠"|"925 連江蘆洲街36號7樓"
"梁聰明"|"978 台中市龍山寺巷16號9樓"
"宋建宏"|"455 臺東中正巷39號2樓"
"陳玉珍"|"61603 關山公園巷816號之0"
"高雅玲"|"300 頭份縣新店巷23號之6"
"李秀梅"|"577 板橋中山街7段8號9樓"
"陳建成"|"675 台北民有巷6號之8"
"花美蘭"|"503 樹林新埔路75號之7"
"彭秀霞"|"60530 頭份北投巷45號之8"
"許進興"|"42574 蘆洲府中路418號5樓"
"蕭信宏"|"28524 楊梅市大勇街844號之7"
"張柏翰"|"293 北斗市芝山路228號5樓"
"吳俊傑"|"682 臺中縣紅樹林路485號之9"
"徐俊宏"|"489 臺中新興街80號之0"
"張美玲"|"59980 板橋大安巷47號7樓"
"賴宇軒"|"395 橫山市新埔巷123號之4"
"劉慧玲"|"561 古坑市松山路43號4樓"
"黃俊宏"|"920 金門縣東興路259號3樓"
"黃博文"|"48091 褒忠信義路439號之2"
"許承恩"|"83023 斗六縣大勇路2段7號之7"
"蕭宇軒"|"84646 八德自立巷7號9樓"
"譚國華"|"89623 新竹縣新店街8段486號1樓"
"呂俊銘"|"733 三重縣奇岩路778號之1"
"邱麗香"|"76245 雲林縣建國巷41號之8"
"廖文賢"|"56301 中和市府中街8號4樓"
"陳俊男"|"441 員林永安路3段30號4樓"
"樊進興"|"994 斗六縣學府巷814號7樓"
"白俊佑"|"24686 蘆竹中山街7段369號7樓"
"巫秀珍"|"33700 竹田市中興巷263號5樓"
"江雅雯"|"597 永康府中巷262號7樓"
"蕭建宏"|"44870 卑南蘆洲路76號之7"
"康美華"|"190 嘉義天母巷158號之1"
"邱永昌"|"19807 桃園市松山巷72號之5"
"柯俊明"|"43788 鳳山縣新北投街33號4樓"
"高仁傑"|"85122 澎湖自由巷50號9樓"
"吳淑芬"|"111 馬公市雙連巷26號之0"
"謝志成"|"945 新北縣成功路7段8號3樓"
"蔡淑娟"|"15509 關山蘆洲巷651號7樓"
"陳淑芬"|"645 阿里山文山巷79號9樓"
"張建宏"|"703 苗栗象山路9號2樓"
"蕭心怡"|"495 雲林縣博愛街5段2號之3"
"楊品妍"|"709 桃園蘆洲街6號之2"
"林麗華"|"69884 蘆竹中山街6段506號之5"
"楊榮華"|"968 大里廣慈街51號之4"
"黃明哲"|"12161 北港縣長安街90號3樓"
