"丁志銘","78228 鳳山雙連路3段88號0樓" 
"蘇美玲","834 北斗大坪路345號5樓"
"劉志銘","789 連江大仁街55號之9"
"許柏翰","280 蘆竹光復巷58號0樓"
"游文傑","277 三重市太平路72號7樓"
"程靜怡","976 南投縣頂福州巷195號9樓"
"羅柏霖","85365 朴子自立路42號8樓"
"許惠珍","20894 蘆竹大智路27號之6"
"石家豪","75003 台南市永安路871號1樓"
"簡淑珍","20517 新營民有巷8段527號4樓"
"鄭勝雄","42164 阿里山縣中興巷1段2號之2"
"蘇素貞","40517 斗六象山巷970號8樓"
"鄭美蘭","21456 屏東縣育英巷9段843號之5"
"許秀蘭","65020 樹林劍潭街29號之6"
"莫志豪","57490 白沙育英路4段77號2樓"
"武淑珍","911 牡丹自強路3號3樓"
"林冠宏","13133 鳳山奇岩路9號6樓"
"黃俊賢","71932 北港大坪街4號9樓"
"石美蘭","90524 臺東中華街7號4樓"
"王素珠","877 永康忠義街5段66號3樓"
"董麗珠","261 新營縣新生路686號8樓"
"葉秀玉","301 桃園新生巷32號2樓"
"李玉鳳","82898 竹北松山巷2號之5"
"陳進發","103 馬公市長春巷3號之0"
"簡武雄","256 竹田民有路87號9樓"
"邱麗雲","801 豐原芝山巷212號8樓"
"蔡秀霞","91897 臺東大同巷51號5樓"
"楊淑芬","140 阿里山紅樹林路8段1號之0"
"程佳蓉","51765 台北市景美街7段60號之2"
"李金蓮","10096 太平市小碧潭街6段680號之4"
"吳俊雄","23151 嘉義縣新北投街518號5樓"
"黃秀美","100 平鎮中央街5段243號之1"
"高淑芬","87979 新竹育英街1號之3"
"陳文龍","224 馬公縣民享路4號0樓"
"陳文章","885 中和市淡水街9段303號9樓"
"黃淑貞","150 基隆景美路153號之3"
"許淑慧","726 南投光明巷9段34號之7"
"黃宇軒","497 關山縣新莊街3號之6"
"程凱翔","491 嘉義華興巷916號7樓"
"王正雄","16677 嘉義新生巷22號之1"
"陳秀美","21170 平鎮縣頂福州巷882號之6"
"黃月娥","504 北斗市自由街7段7號1樓"
"葉佳穎","50488 平鎮市中和路4號0樓"
"許威廷","674 金門縣興街6號1樓"
"簡建成","754 豐原市自立路5號之9"
"田月娥","856 台北自由街5段4號之2"
"張明珠","50304 員林德街8號之7"
"林金龍","178 牡丹和平巷9號9樓"
"穆嘉宏","198 花蓮中央路932號之0"
"張靜怡","51673 宜蘭縣明德街837號9樓"
"林明德","272 平鎮福安路8號9樓"
"蔡建宏","809 光復縣西門街9段321號之2"
"吳志偉","131 板橋興巷5段221號5樓"
"吳麗琴","55340 台中縣新生街4號之0"
"廖俊良","116 古坑中山街7號之6"
"阮金龍","39478 彰化市萬隆街3號5樓"
"薛明德","697 八德民享巷3段1號之5"
"黃淑美","91366 員林市迴龍街398號1樓"
"章信宏","523 斗六華興巷250號3樓"
"黃建中","69590 永和大仁路1段91號1樓"
"顏美珠","568 北竿縣土城巷2號1樓"
"林美鳳","642 台中延平巷9段5號之1"
"吳俊宏","45905 永和大坪巷6號之5"
"程淑芳","36363 宜蘭新興街59號0樓"
"陳俊傑","351 北斗市新興街918號之0"
"杜秀珠","981 斗六縣光復路94號之0"
"蘇雅婷","81579 中和中正路1段4號之6"
"葛秀娟","38185 牡丹育英街649號之8"
"章秀美","990 蘆洲縣府中街68號4樓"
"吳美英","88477 屏東市忠孝路2段3號5樓"
"林麗雲","643 新竹市福德巷8號之9"
"吳承翰","630 員林市雙連巷1號之1"
"簡宇恩","32915 南投民族巷3號之0"
"許俊宏","209 太平縣民權路535號之4"
"王凱翔","588 褒忠市龍山寺路782號3樓"
"林政宏","706 雲林明德街1號之5"
"賴明宗","924 屏東中山巷48號之8"
"鄧玉梅","36788 豐原縣劍潭街6段34號5樓"
"簡俊傑","129 牡丹永和巷72號3樓"
"張美鳳","611 永康三民路932號7樓"
"陳俊傑","88338 蘆竹市永和路598號2樓"
"蕭素貞","32043 宜蘭縣文昌路8號3樓"
"簡秋香","999 光復和街巷4號5樓"
"楊秋香","80069 光復市永寧街5號1樓"
"林子豪","54431 新北市林森巷5號8樓"
"楊文章","54930 太保育英路5段166號7樓"
"李靜怡","941 永康縣士林街8段655號之5"
"呂冠宏","67602 桃園市新生路249號4樓"
"簡子涵","47624 三重縣昆陽街8號8樓"
"陳美麗","750 楊梅縣自立街6號7樓"
"王志成","15665 朴子縣大智街825號2樓"
"賴美華","818 連江市動物園巷467號之1"
"李文正","163 苗栗新店路399號之1"
"洪志成","89855 基隆縣國凱八德巷6段7號之1"
"尤秀娟","841 光復縣自強路6段5號之1"
"莊秀琴","97304 楊梅縣仁愛巷3號4樓"
"曾世明","784 北竿縣迴龍巷60號7樓"
"歐承翰","241 馬公自由路603號之3"
"簡建興","345 中和莒光巷7段62號之4"
"郭建成","72168 板橋大橋頭巷82號之9"
"蕭美惠","68025 平鎮民生路6段698號之4"
"黃玉琴","711 台北永寧巷5號8樓"
"田承翰","76614 桃園小碧潭路196號之1"
"陳家銘","865 樹林光復街7號4樓"
"黃志銘","362 台東大仁街91號2樓"
"陳文賢","725 永康市平和巷90號2樓"
"陳怡君","490 朴子建國路11號3樓"
"黃芯語","99839 新營中華路526號之5"
"簡志文","712 新竹景美巷128號3樓"
"陳淑娟","82172 古坑市建國路46號之4"
"陳麗雲","60012 梅山自立巷5段5號之7"
"陳麗娟","242 三重永和巷731號2樓"
"蔡志強","846 橫山縣民治街6號之0"
"陳俊賢","124 新竹市永安街5段65號之7"
"鄭進發","83615 太平中華街326號2樓"
"陳雅婷","915 北竿市三民巷805號之3"
"鄭志文","675 大里市大橋頭路915號之2"
"陳建中","218 卑南中華街4號7樓"
"簡明宗","652 北竿自強巷78號之7"
"楊勝雄","893 桃園自強巷39號之7"
"李月娥","331 北竿文昌路4號之4"
"陳建銘","92497 古坑福安巷437號4樓"
"徐秀鳳","345 朴子光華街35號8樓"
"郭承恩","74454 北竿東湖巷14號7樓"
"王淑芳","90828 彰化和平街337號之6"
"顏家宏","32258 太保新生路9號4樓"
"郭美惠","23467 鳳山市光復街41號2樓"
"林柏霖","226 新竹小碧潭巷17號之4"
"簡柏翰","10471 草屯成功街33號之7"
"林美惠","86736 牡丹縣紅樹林街56號之2"
"林麗娟","86173 新北市林森街786號之7"
"鄧宥廷","929 蘆竹市德路9號4樓"
"張家宏","446 雲林育英路3號3樓"
"高秀雲","59705 馬公光明路653號之0"
"楊美蘭","559 大里市仁愛巷51號之3"
"劉秀美","70072 梅山縣大同街9號7樓"
"林文龍","58910 古坑縣中正路44號之2"
"洪淑娟","15895 汐止永安路468號1樓"
"簡淑敏","20786 臺中縣民享街45號7樓"
"黃詩涵","546 三重中和街3號之6"
"黃淑卿","586 臺東復興街781號之2"
"吳明德","91965 連江市迴龍街2號6樓"
"張文正","468 太平市關渡街938號之6"
"田麗卿","22255 白沙明德街90號之2"
"曾麗娟","408 古坑延平路97號9樓"
"王素珠","694 宜蘭縣東興巷907號之2"
"高秀雲","169 竹田縣延平路7號8樓"
"黃雅筑","479 屏東府中街1段275號之5"
"簡淑貞","589 基隆天母巷519號之8"
"蘇文雄","824 中和劍潭路3段304號3樓"
"宋淑玲","13676 宜蘭文山巷7號2樓"
"徐俊雄","820 太保仁愛路52號之6"
"蔡惠美","48757 彰化市古亭路535號2樓"
"張秀琴","411 北斗市明德街3號5樓"
"陳信宏","821 台南縣自由巷64號之5"
"黃冠宇","46571 高雄大坪路9號0樓"
"郭文華","87980 北竿天母路98號之5"
"游俊良","878 屏東民享街81號之6"
"簡玉珍","61682 臺東市德巷7號6樓"
"王志成","186 中和市學府街1段5號之8"
"盧淑貞","992 朴子景美路29號8樓"
"林子豪","68322 頭份中正巷5段14號之4"
"林柏宇","79225 高雄縣北投巷3段592號6樓"
"張國雄","86229 北竿市民生街659號0樓"
"許佳玲","13258 板橋縣育英路3段8號3樓"
"許宥廷","674 北港市五福巷4段8號之9"
"施美玲","97062 臺中育英街4段3號2樓"
"郭秀珠","94749 高雄縣新莊街70號之2"
"簡鈺婷","473 豐原市萬隆街1號之1"
"廖家銘","14280 楊梅縣勝利巷329號3樓"
"羅玉琴","85314 永康文化路664號之6"
"阮惠珍","586 草屯縣育英路605號之3"
"楊秀蘭","34528 花蓮市永和巷8號之5"
"林秀珠","36528 永康市石牌巷5號之9"
"蘇美雲","62491 太平永安街477號2樓"
"孟冠宇","92315 新營縣成功街7號5樓"
"林麗華","48652 台南市芝山路237號之7"
"曾麗華","309 臺東市長春路694號0樓"
"簡麗玲","21277 阿里山縣大安街5段76號0樓"
"吳博文","572 八德市劍潭街1號3樓"
"林俊豪","33020 台北市新生路870號之2"
"黃國榮","78865 中和信義路3段9號1樓"
"蔡麗雲","37080 斗六市平和路708號之8"
"陳進發","689 梅山市光華巷96號之3"
"廖宇翔","136 南投北投巷826號之2"
"林文龍","639 卑南關渡街9段5號之9"
"郭俊良","68870 北竿新莊巷2段9號之1"
"黃美惠","692 新竹大仁路2號7樓"
"粘榮華","865 中和縣大同街2號之2"
"田淑芬","49760 板橋府中街6號5樓"
"楊秀玲","86383 花蓮民富巷7段32號之3"
"謝欣怡","631 大里建國巷796號之1"
"張文忠","46596 北竿景美巷318號6樓"
"賴欣怡","65386 橫山劍潭巷9段689號6樓"
"蔡俊傑","196 澎湖市士林街6段2號8樓"
"鄒素貞","366 新北市新北投巷9段57號1樓"
"莊淑芬","893 台東市士林街6號之0"
"馮素珍","288 白沙市忠義巷4段983號之8"
"粘素珍","95446 員林大勇路6號0樓"
"周志豪","10770 臺東成功巷6號0樓"
"郭玉珍","62738 雲林民富巷72號4樓"
"傅志明","195 蘆竹公園街5號8樓"
"陳俊明","265 草屯新興路513號1樓"
"李佳玲","212 臺東中華街8段14號4樓"
"林淑芬","300 北港新埔路2號5樓"
"蔡玉琴","53161 楊梅平和路59號之2"
"曾玉美","36559 蘆竹市明德街5段249號之0"
"謝博文","62984 花蓮平和路8段456號1樓"
"紀宗憲","124 苗栗縣和街巷5段532號7樓"
"梁文賢","91742 北斗縣關渡巷698號之7"
"李家銘","20284 高雄昆陽巷2號1樓"
"廖淑玲","54196 北竿劍潭巷78號9樓"
"陳麗珠","785 光復民生巷753號之0"
"廖哲維","84709 汐止縣北投街41號9樓"
"洪俊傑","22782 桃園縣中和巷79號之2"
"蔡秀美","402 楊梅市建國路51號之9"
"廖秀雲","13792 中和奇岩街7段729號之8"
"陳碧雲","747 太保市古亭路547號6樓"
"紀怡君","178 彰化市文山街67號1樓"
"黃哲瑋","17767 基隆中正路5號之9"
"曾淑珍","362 北斗市永和路131號1樓"
"陳淑敏","54746 臺中縣民富巷784號9樓"
"蔡怡君","95731 員林頂福州街86號4樓"
"林惠美","905 雲林萬隆街1號4樓"
"呂秀玲","42828 汐止縣自立路1號1樓"
"呂心怡","51115 新營縣德巷4號7樓"
"陳雅婷","99474 屏東劍南路60號2樓"
"陳素琴","64774 卑南市三民路35號4樓"
"紀正雄","253 台北長春街680號之8"
"盧哲瑋","66446 嘉義縣平和路676號2樓"
"陳承翰","44507 鳳山縣永安巷275號5樓"
"何秀蓮","977 桃園市光明路982號之1"
"楊郁婷","57508 卑南縣大同街2號0樓"
"林玉珍","907 平鎮市景美路2號0樓"
"葉志成","12943 彰化市自強巷9段2號6樓"
"王國雄","80129 澎湖縣松山巷960號2樓"
"紀素琴","119 大里市德巷193號0樓"
"張承翰","27698 梅山市文化巷97號7樓"
"紀碧珠","590 北港永和路3段696號之5"
"黃子翔","197 澎湖新店路65號之4"
"盧嘉宏","33139 永和縣東湖路635號之1"
"呂麗華","97792 苗栗縣大坪巷72號6樓"
"郭家銘","900 嘉義東湖街15號4樓"
"張怡萱","54230 永和縣萬隆路96號之1"
"鄭淑慧","94757 三重縣仁愛路4號之2"
"張志豪","88747 馬公市劍潭街879號8樓"
"江哲瑋","814 金門縣新興巷714號之7"
"楊俊明","812 竹北縣長安路3號0樓"
"紀素珠","968 雲林縣大智巷6號2樓"
"陳麗玉","571 楊梅市長春巷8號3樓"
"陳秀玲","11407 新營市永寧巷8段2號之8"
"劉麗卿","318 板橋市文化巷347號3樓"
"陳秀蘭","941 樹林縣光明巷75號0樓"
"韓淑華","30195 阿里山縣正義街18號之1"
"熊文雄","540 臺中關渡巷8號之7"
"王冠宇","539 桃園縣北投街1號之2"
"蔡文正","58789 嘉義蘆洲巷71號3樓"
"翁家宏","376 草屯自由路451號6樓"
"羅國榮","233 臺東新生巷60號0樓"
"邱淑娟","31367 中和市中正街8號之6"
"宋承恩","67987 斗六大橋頭路1段168號0樓"
"陳秀美","94768 北港市大安巷1號4樓"
"吳淑慧","707 馬公中華街749號之4"
"楊俊傑","317 蘆竹永安路9段6號4樓"
"施威廷","45816 宜蘭市紅樹林街524號7樓"
"蘇志忠","624 新營育英巷1號之6"
"莊志強","73327 關山縣博愛巷25號8樓"
"劉麗雲","35997 頭份東興巷8段1號2樓"
"羅宗翰","53823 平鎮市林森街4段4號之6"
"賴俊明","109 阿里山小碧潭街101號0樓"
"劉建宏","70477 梅山劍南巷68號5樓"
"許淑惠","190 苗栗頂福州巷58號之0"
"李麗玲","427 三重縣和街街684號之5"
"丁冠宏","63715 馬公市新生巷8號之8"
"蔡寶珠","601 台東縣大同路92號4樓"
"賴秀雲","170 臺東市松山路2段779號之8"
"林志明","43120 楊梅自由巷2號之4"
"林雅婷","37477 桃園市奇岩巷9號之0"
"羅建良","249 北港縣信義路730號3樓"
"吳靜宜","67210 馬公民有巷2號之9"
"施碧珠","95641 中和縣頂福州巷63號之8"
"邱麗卿","411 永康民生巷988號2樓"
"蘇志鴻","16558 斗六關渡街7段8號3樓"
"方永昌","115 阿里山市仁愛巷5號之9"
"黃志偉","59104 竹田正義巷2號之3"
"陳俊良","88252 台南龍山寺巷15號3樓"
"林秀珍","185 彰化市和平路72號之2"
"王柏宇","718 新營縣延平街2號之8"
"羅志強","30950 新北市松山路7號9樓"
"林進財","182 金門新北投巷8段230號7樓"
"黃美惠","37790 桃園縣大仁巷8段83號1樓"
"徐雅玲","88334 臺中民治巷88號3樓"
"梁明輝","497 基隆市中山街8號1樓"
"李雅慧","37216 太保市萬隆路86號之5"
"古雅惠","24938 澎湖關渡路7段443號8樓"
"翁惠玲","19394 宜蘭縣奇岩巷9號之6"
"張柏宇","15975 金門縣自由路413號之4"
"譚文章","91473 永和福安路9段660號0樓"
"羅承翰","110 竹田象山路8段91號6樓"
"顏文傑","96798 樹林林森巷84號之6"
"陳玉珍","111 橫山忠義巷10號2樓"
"林美雲","868 楊梅中正巷741號之5"
"洪冠廷","379 鳳山新生巷4號1樓"
"林美玲","94888 屏東奇岩巷825號之9"
"鄭惠玲","151 新營縣中興路85號9樓"
"鄭文正","498 台東育英路60號1樓"
"翁麗雲","57463 北斗縣文化路1號6樓"
"邱秀珠","732 臺中福安路1號1樓"
"羅欣怡","103 宜蘭縣新埔巷5段4號6樓"
"林月英","111 竹北民享街5段268號1樓"
"陳鈺婷","358 朴子縣大橋頭街9號之8"
"鍾秀琴","593 關山信義街4號之1"
"郭信宏","83377 台北新埔巷9號2樓"
"蔡建宏","527 南投市民享街3段615號之5"
"李美麗","575 草屯縣民權巷6號之4"
"黃佳玲","74686 彰化縣中山街4號4樓"
"游威廷","59376 八德莒光巷7號之7"
"梁佳蓉","84478 三重中央路777號之0"
"羅碧珠","97233 屏東市東興街57號1樓"
"王秀華","30246 八德市延平路98號之7"
"林信宏","847 頭份新生巷6段166號之5"
"杜子晴","97501 草屯關渡路498號7樓"
"李文雄","621 花蓮土城街5段6號4樓"
"李怡萱","375 北竿縣中和路302號之2"
"張秀琴","38519 豐原市北投街5號9樓"
"陳雅婷","434 朴子縣小碧潭街582號之2"
"李正義","87523 北竿象山巷388號之6"
"王秋香","80583 豐原東興路582號6樓"
"羅秀玉","59485 台東縣大安街7號2樓"
"陳信宏","79505 竹北縣劍南路834號之8"
"姜俊良","59471 古坑縣中正街99號3樓"
"陳俊明","43519 褒忠市新興巷6號之5"
"孔建華","482 太保新店街3號之8"
"陳美珠","844 宜蘭縣育英街865號之2"
"陳淑芬","52734 金門民有路446號5樓"
"粘美慧","23798 八德新興街435號之3"
"張子恩","265 雲林縣勝利街11號之4"
"許美鳳","821 高雄市和平街919號之9"
"羅秀鳳","83946 三重三民巷2號2樓"
"宋志賢","87195 北斗東湖街3號5樓"
"徐淑敏","42670 南投市德路48號之1"
"陳明哲","49503 頭份縣新莊巷57號之9"
"郭郁婷","42579 竹北延平路7號7樓"
"陳俊宏","900 北港大安路63號之6"
"邱柏諺","742 新營市龍山寺路805號3樓"
"吳建華","671 苗栗自由街3號4樓"
"王秀蘭","870 台中縣民族路5號4樓"
"黃金蓮","833 三重市芝山路7段610號2樓"
"羅美珠","41442 楊梅縣自由街6號2樓"
"蔡美麗","995 梅山國凱八德街2段444號之2"
"蔡雨霏","583 光復縣頂福州路3段65號8樓"
"陳淑惠","734 北斗古亭巷66號之8"
"郭麗香","612 苗栗西門巷7號0樓"
"張美珠","14861 桃園縣明德路1號之3"
"陳雅萍","58507 北斗市淡水巷88號之8"
"余正義","74997 頭份關渡巷9號之8"
"徐家豪","40330 台南龍山寺路18號1樓"
"呂志強","64349 南投文山巷8段40號4樓"
"羅美麗","384 中壢福安巷693號6樓"
"范麗美","938 平鎮市建國巷143號1樓"
"周承恩","603 朴子和街巷852號之7"
"李淑貞","123 臺東市新北投巷739號4樓"
"林仁傑","17706 阿里山天母巷197號3樓"
"王美蘭","389 三重市自由街8段3號之9"
"鄧麗玉","78290 連江光明巷1段763號6樓"
"莊國華","670 屏東縣五福路860號之2"
"吳俊廷","40379 苗栗象山街1段275號之9"
"李家瑋","683 蘆洲縣自由巷952號之7"
"羅聰明","23850 大里縣忠孝路319號9樓"
"謝秀英","657 竹田和平街380號之3"
"黃建中","570 南投市南街4段3號之8"
"黃志明","63336 八德萬隆街6段45號4樓"
"沈淑貞","727 竹北昆陽街4號之1"
"梁麗珠","927 牡丹新埔巷925號之6"
"王秀美","624 臺中市忠孝巷9號5樓"
"楊宇軒","241 卑南大同街839號之4"
"黃威廷","376 褒忠縣中和街94號0樓"
"劉冠宏","77610 鳳山林森街15號之2"
"羅雅婷","215 鳳山民享路89號3樓"
"李宗翰","117 新竹縣古亭巷521號6樓"
"楊羽彤","183 員林縣勝利路8段5號之6"
"陳詩涵","228 平鎮景美路91號4樓"
"陳世明","726 臺東縣土城巷1段64號之1"
"王麗珠","64853 光復市民生路5號之1"
"莊凱翔","978 新竹莒光巷610號7樓"
"陳宇軒","438 蘆洲縣文山巷54號之4"
"王冠廷","179 臺中市文化路11號之2"
"李麗珍","152 澎湖正義街76號之8"
"羅雅婷","944 新北大同街306號3樓"
"黃惠美","59979 宜蘭大同街77號之1"
"蕭淑華","93466 臺中中華巷2號5樓"
"郭鈺婷","238 新北民權街2號8樓"
"林雅雯","896 豐原縣忠義街458號6樓"
"陳志豪","491 褒忠復興巷89號之0"
"林志明","472 卑南縣龍山寺巷2段878號6樓"
"陳明德","128 北港新生巷33號之9"
"黃宇翔","79382 褒忠士林巷99號之0"
"鄧志偉","24920 太保市淡水街76號9樓"
"翁子翔","61064 光復長春路80號3樓"
"周惠珍","62913 蘆洲大仁巷658號6樓"
"蔡建宏","158 斗六林森巷2段3號之8"
"張建志","96353 新營市景美巷2段593號之4"
"高志忠","324 基隆莒光路8號之1"
"洪淑敏","29150 基隆新店巷2段42號2樓"
"周美惠","10398 台南劍潭街279號之5"
"王子豪","848 竹北民治路581號8樓"
"陳靜怡","49132 古坑中山巷123號之1"
"蔡語彤","671 永康新莊路644號9樓"
"翁家豪","421 員林新北投巷1號1樓"
"沈玉美","116 永康民有巷49號之7"
"林冠廷","558 嘉義市松山路3號9樓"
"關志文","94855 梅山長安路855號之2"
"方榮華","997 高雄市太平巷430號2樓"
"柯麗華","167 古坑廣慈巷51號之7"
"魏淑貞","586 台中石牌街887號之1"
"林世昌","893 卑南民權巷7號3樓"
"楊建成","16887 永和市文山路93號之0"
"向雅惠","55824 澎湖縣頂福州路58號6樓"
"翁寶珠","66791 新竹市新生街236號之4"
"李怡君","30168 白沙西門街2號之4"
"黎俊明","377 台南市博愛街888號2樓"
"楊淑娟","74937 臺東市石牌街45號0樓"
"鍾宗翰","91541 梅山縣淡水街83號之8"
"陳志成","39161 新北中山街8號之9"
"劉秀梅","13802 北斗市公園街9號之1"
"楊美雲","712 太平市民享路78號6樓"
"徐美惠","26994 竹田縣勝利巷8號之7"
"簡玉蘭","97762 花蓮市福德巷5號8樓"
"翁建良","891 豐原市長春巷9號之0"
"劉俊雄","504 鳳山萬隆巷33號之8"
"黃麗娟","352 太保市光復巷49號8樓"
"王秀娟","99816 太保縣中正巷3號之8"
"李碧珠","69816 八德明德街6段6號5樓"
"王麗珍","270 連江頂福州街834號6樓"
"林志豪","33279 馬公市水源路2號之0"
"陳美玉","35624 屏東永安巷7號之2"
"吳承恩","834 桃園民權街84號4樓"
"林冠廷","80856 古坑縣石牌巷7號之9"
"翁志強","744 太保光復巷750號0樓"
"黃文彬","22272 台東市劍潭街676號3樓"
"陳欣怡","656 永康勝利街9號2樓"
"林承恩","242 台東市自立巷84號7樓"
"鄭美玉","721 平鎮市萬隆巷759號之2"
"柳彥廷","303 三重縣頂福州巷4號之3"
"黃秀美","68306 新竹縣奇岩街8號之2"
"郭永昌","19077 八德市光復巷649號3樓"
"文柏翰","80947 苗栗昆陽路9段964號2樓"
"黃素蘭","352 台北延平街8號3樓"
"翁淑芬","57472 竹北縣福德巷92號0樓"
"劉玉玲","523 豐原市新生巷3段60號之3"
"江家豪","737 彰化縣中興巷174號之4"
"劉志偉","81161 八德博愛巷21號之9"
"吳子豪","760 汐止正義路135號之0"
"簡冠宏","72496 新竹縣學府街672號2樓"
"謝哲瑋","869 台北劍潭路1段25號之6"
"陳玉玲","44281 太平長安巷3段15號之9"
"林志明","150 臺中縣東湖街2段47號之0"
"王建銘","736 臺中中華巷5號4樓"
"翁進發","26050 北竿德路949號1樓"
"李淑娟","111 桃園縣中央巷9段4號2樓"
"林美惠","705 板橋縣頂福州路699號1樓"
"徐永昌","26202 鳳山縣中山巷2號8樓"
"高志成","17047 永康新埔巷2段4號4樓"
"呂宇軒","28450 中和華興街51號之6"
"張春美","72679 橫山太平路9號之4"
"陳志偉","29025 北竿縣蘆洲街96號之0"
"李志明","28467 光復關渡路1號9樓"
"董文賢","35190 雲林頂福州巷3號之8"
"翁雅玲","52431 牡丹淡水路4號2樓"
"蕭美珍","98502 太平淡水巷196號6樓"
"李宜蓁","209 台南市松山路5段68號之2"
"柳建華","840 台中縣大安路475號2樓"
"王志成","93561 太保縣自由路52號6樓"
"賴建宏","34000 古坑新興路45號9樓"
"陳俊豪","43375 花蓮市國凱八德巷242號之8"
"花家豪","896 板橋正義巷3段5號之4"
"吳麗美","35987 苗栗縣仁愛路212號之3"
"潘志宏","657 馬公縣自強巷152號之4"
"耿文忠","460 樹林新生巷6號之6"
"林明珠","955 太保永和街1號5樓"
"劉靜宜","10661 豐原市石牌路643號1樓"
"黃麗玉","20850 新北新興路320號8樓"
"呂玉英","26337 台南文化路97號2樓"
"周碧雲","92411 雲林市士林路271號1樓"
"伍宗翰","49669 板橋縣自強巷552號6樓"
"施麗香","54487 阿里山市正義街4號之2"
"溫怡君","99535 豐原光復巷13號之4"
"白明宗","52847 草屯市信義巷897號3樓"
"聶美珠","748 新竹土城巷848號3樓"
"張文賢","128 橫山自由路3段48號3樓"
"郭雅萍","65000 牡丹育英巷1號之2"
"余俊雄","994 彰化縣永寧街98號3樓"
"施秀霞","693 雲林民治街30號之1"
"黄心怡","714 光復市德路845號7樓"
"張惠玲","98077 平鎮石牌街35號之3"
"吳碧雲","183 新北市博愛街585號之4"
"羅玉珍","995 白沙新北投街5號1樓"
"鄧雅婷","24659 鳳山光華巷927號之9"
"胡國榮","28101 三重市中山街851號之4"
"熊哲瑋","485 永康市東湖街6號5樓"
"陳美珠","514 新竹文化路496號之2"
"蔡志銘","740 頭份勝利街334號之4"
"李進發","638 樹林市民享路7段94號之7"
"許怡君","52352 新營長安巷5號之7"
"梁宗憲","92906 草屯市自由巷38號之9"
"鄭俊豪","71266 中和公園路73號之9"
"朱金鳳","23012 新北市民族路339號之7"
"蔡淑惠","30420 北斗信義巷4號之9"
"胡婉婷","618 北竿市忠孝路6號2樓"
"郭心怡","963 員林忠義路74號之5"
"林佩珊","74068 楊梅長春巷710號之1"
"盧美麗","33864 板橋縣公園路406號之8"
"梁柏諺","241 光復廣慈巷16號7樓"
"鄭麗珠","80998 牡丹市文昌街251號9樓"
"蘇素珍","128 新竹市大坪路7段60號1樓"
"洪明德","780 新北東湖路9段92號9樓"
"賴建宏","437 新竹縣雙連路6號之0"
"鄭怡君","21865 永康市民享街785號之1"
"胡宗霖","56939 牡丹市四維路330號之3"
"謝淑娟","924 樹林縣長春路2段870號7樓"
"鄒國榮","676 蘆洲縣小碧潭巷7號7樓"
"彭俊賢","34793 卑南自強巷601號之5"
"陳麗玲","26974 大里府中巷6號9樓"
"宋淑玲","463 板橋龍山寺巷17號之2"
"李明哲","870 梅山永安街5號9樓"
"張文忠","94627 金門四維街512號0樓"
"張秀美","30369 新竹新生街5號之8"
"徐正義","89794 台北縣北投街270號3樓"
"胡淑卿","830 竹北縣關渡路87號4樓"
"李柏宏","35787 蘆竹文昌路781號之9"
"張俊明","71577 台中中華巷703號8樓"
"陳素琴","27729 新竹市芝山路519號之4"
"吳明哲","830 嘉義市動物園街8號之7"
"林榮華","628 竹田關渡巷1號之8"
"吳彥廷","40967 台東龍山寺巷4段91號2樓"
"侯美華","874 平鎮三民路713號之5"
"游淑惠","75342 臺中縣水源路981號5樓"
"黃秀鳳","978 樹林民生街8號之5"
"胡玉梅","825 古坑府中街87號5樓"
"樊柏宇","99819 白沙縣西門路41號之6"
"許美珠","701 金門縣和平巷1號6樓"
"陳建華","98685 台南育英巷75號2樓"
"黃志忠","71973 嘉義光華街37號之9"
"彭美玲","853 阿里山市和街巷864號9樓"
"張俊雄","57022 新北市正義街4號之6"
"曾鈺婷","598 太平關渡街970號8樓"
"林美鳳","54038 白沙博愛巷7段7號之2"
"洪冠霖","253 草屯松山路543號2樓"
"胡美惠","85484 基隆市國凱八德路42號8樓"
"葉冠宇","87807 員林市平和路6段4號之0"
"鄒淑華","32274 北港縣士林巷6號3樓"
"曾柏諺","532 台南縣民治街6號9樓"
"宋志豪","510 臺中縣明德路486號之9"
"李秀美","56603 朴子永寧巷129號3樓"
"許詠晴","967 三重芝山街8段576號之4"
"朱素貞","366 新營縣長安路4段372號0樓"
"陳慧玲","22404 平鎮縣象山路8段98號之2"
"廖世明","805 光復市和平街2號之9"
"花淑珍","765 古坑關渡巷5號之7"
"陳承翰","761 橫山市福安巷5號之0"
"郭子翔","637 橫山北投街2段349號2樓"
"謝進財","78828 斗六市永和街2段3號之4"
"張秀玲","880 卑南奇岩街303號6樓"
"方正義","172 基隆市建國路605號5樓"
"賴麗華","783 卑南民治路672號1樓"
"簡宗翰","823 宜蘭民有路4段7號7樓"
"黃俊賢","86886 臺東中山路9段269號之2"
"蘇淑芬","41760 朴子新莊街96號2樓"
"范信宏","498 梅山民生路6段501號8樓"
"尤品妤","197 金門縣迴龍巷4號3樓"
"林素珍","80009 太平市芝山路493號之3"
"李淑貞","789 基隆光華街362號之1"
"施麗娟","36098 台東關渡巷3段23號之0"
"陳俊宏","62398 新營新興街955號8樓"
"潘恩碩","486 雲林西門街122號之2"
"吳建華","47492 永和廣慈街17號1樓"
"陳淑惠","77776 光復古亭路371號之9"
"呂淑惠","776 大里市勝利街92號2樓"
"范子豪","840 梅山市大同街66號6樓"
"李家豪","28032 褒忠縣東興街68號5樓"
"梁秀蘭","894 光復縣西門路40號1樓"
