"丁淑娟"	"216 太保芝山路9號之3" 
"林玉蘭"	"30717 台北縣和平街4號6樓"
"林美玲"	"686 基隆文昌路83號之2"
"黃承恩"	"75038 汐止縣大同街5號之6"
"陳志成"	"698 屏東市土城路772號7樓"
"陳麗娟"	"30224 竹田大仁巷917號之3"
"朱義雄"	"16792 汐止市明德路68號之5"
"黃雅雯"	"56768 草屯市自由巷8段551號3樓"
"鄭志偉"	"642 橫山縣信義街1號之9"
"林秀蘭"	"871 新竹縣新莊巷5段9號7樓"
"王志忠"	"258 中和新北投路5號0樓"
"孫信宏"	"36251 花蓮府中路27號之2"
"張志雄"	"60159 平鎮育英巷850號之8"
"林怡君"	"114 楊梅大智路62號之6"
"姜金龍"	"40025 褒忠市平和路2段174號8樓"
"周俊雄"	"431 新竹縣勝利街9段765號之0"
"劉家豪"	"525 竹田市大同巷1號7樓"
"謝美珍"	"76480 三重三民巷96號7樓"
"詹明輝"	"415 永和市明德路2段9號0樓"
"林秀蘭"	"91963 員林市大安路4段741號之5"
"洪冠廷"	"82359 金門市文化巷85號之5"
"陳淑珍"	"45830 新北市延平巷139號6樓"
"林進興"	"58228 白沙縣府中巷1號7樓"
"蘇麗卿"	"82881 台中民族巷3段811號之6"
"陳志銘"	"604 板橋縣中山街26號3樓"
"蔡月英"	"87776 斗六縣紅樹林巷7段554號之8"
"邱冠宏"	"25487 太平縣博愛路4號之7"
"李宗霖"	"435 新竹縣興路8段44號之4"
"劉柏霖"	"638 新北市迴龍路4段2號之1"
"林秀鳳"	"69514 卑南縣中正巷15號之7"
"鄒秋香"	"47332 永康國凱八德路67號7樓"
"彭秀鳳"	"635 北港自由路7段5號1樓"
"江建良"	"79857 汐止縣永和街240號7樓"
"成雅婷"	"53402 連江劍潭街28號之7"
"洪美華"	"982 新營縣自立巷801號4樓"
"洪淑娟"	"531 桃園自由巷1號之0"
"姚玉鳳"	"92257 嘉義市奇岩街5段9號0樓"
"謝秀枝"	"415 宜蘭縣新北投巷66號之7"
"吳正義"	"44746 永康文山路14號6樓"
"林秀鳳"	"85565 竹田市五福街2段8號6樓"
"童麗華"	"71729 雲林光復巷2號之1"
"陳明輝"	"225 金門市西門街602號9樓"
"潘冠廷"	"85058 北港市關渡街7段235號之1"
"夏惠珍"	"55915 太平自立巷7號之8"
"葉志忠"	"99108 基隆昆陽路36號6樓"
"林秀英"	"223 八德縣劍南路609號8樓"
"羅冠霖"	"936 員林市劍南街4號之1"
"林淑惠"	"462 光復市博愛路8段382號之4"
"鍾麗雲"	"92684 關山縣太平巷159號之8"
"林秋月"	"387 新營縣民生街30號6樓"
"陳志偉"	"92539 彰化縣新生街8段69號1樓"
"張志成"	"39770 中壢縣林森路2段274號之4"
"張美雲"	"46330 基隆自由街73號之3"
"楊淑芬"	"329 平鎮市古亭路8號8樓"
"林秀英"	"993 花蓮縣動物園街3號6樓"
"張志成"	"52151 永康市大安路725號之4"
"郭雅雯"	"76352 嘉義市復興巷3號之4"
"蘇冠霖"	"586 中和縣仁愛巷7段381號1樓"
"陳秀枝"	"44607 南投大同街572號之8"
"林秋香"	"39346 連江光明街2段7號7樓"
"王美玉"	"467 永康市中山巷6號之6"
"洪進財"	"691 桃園民族路7段322號5樓"
"陳國榮"	"95133 彰化西門街9號0樓"
"李雅萍"	"485 台北縣和平路7號2樓"
"趙明宗"	"816 褒忠太平巷416號之3"
"林明輝"	"986 斗六縣育英街91號5樓"
"劉國雄"	"22838 八德市中興巷401號6樓"
"楊俊宇"	"432 花蓮芝山街382號之5"
"李欣怡"	"973 北港太平街59號之1"
"林秋香"	"68801 橫山市文化路740號之7"
"彭建志"	"41003 澎湖縣土城路517號8樓"
"徐冠霖"	"37949 彰化縣中興街9段945號1樓"
"陳文欽"	"40017 竹田長春街711號之0"
"林明輝"	"784 新營大橋頭巷3段2號2樓"
"李秀英"	"906 梅山公園巷9號之4"
"柯哲瑋"	"224 頭份民權路8段3號1樓"
"謝麗珠"	"782 太平劍南街39號7樓"
"張玉蘭"	"80477 台北縣自由街1號6樓"
"黃志強"	"70367 光復中華路5號之5"
"林美娟"	"50866 新營學府路25號9樓"
"游志強"	"484 永和文山巷7段391號之4"
"湯秀英"	"43319 阿里山松山街1號4樓"
"曾明珠"	"27964 大里縣平和街539號4樓"
"黃麗雪"	"20453 基隆文化街2段408號2樓"
"陳承恩"	"74956 台北大勇路1號之6"
"譚碧霞"	"646 大里水源巷8號1樓"
"侯家豪"	"550 橫山市石牌巷199號之4"
"林國榮"	"32843 臺東市芝山街569號之7"
"蕭俊宏"	"415 員林縣中華巷3段1號之6"
"林美惠"	"20755 新竹縣民享路918號9樓"
"孫永昌"	"943 花蓮中興巷8號9樓"
"吳俊佑"	"680 橫山芝山路497號3樓"
"鄭寶珠"	"35653 台中市德街98號之8"
"林怡婷"	"919 雲林育英巷6號0樓"
"黃冠宇"	"81167 馬公中正街685號之9"
"黃美玲"	"428 南投縣士林街14號之3"
"范美惠"	"31119 平鎮西門巷83號之0"
"石哲維"	"200 八德忠孝巷605號之3"
"王秀蘭"	"171 朴子永寧路40號之9"
"林美慧"	"425 豐原大仁街10號之5"
"蘇建銘"	"562 中和景美巷4號之4"
"洪月娥"	"392 八德正義路45號9樓"
"吳進財"	"921 大里縣大勇街917號5樓"
"黃志偉"	"62031 北港頂福州巷8段468號之4"
"陳俊良"	"355 大里市明德街577號3樓"
"丁美玉"	"81134 褒忠市建國街518號3樓"
"朱秀枝"	"835 三重芝山巷822號之4"
"葉文雄"	"489 中壢市文化街542號1樓"
"李美娟"	"10767 北斗自強巷1號之0"
"林美慧"	"885 鳳山縣長春街5段930號1樓"
"許俊宇"	"26738 樹林市國凱八德路19號之5"
"江凱翔"	"19791 南投市迴龍巷2段108號之7"
"林文雄"	"15461 光復林森街5號1樓"
"蘇建宏"	"164 太平縣勝利巷5號之4"
"陳世明"	"75449 卑南平和路3段463號8樓"
"劉碧雲"	"69231 新營五福街9號2樓"
"彭玉珍"	"43037 太保大同街8號之0"
"郭美麗"	"21080 高雄中山街65號之5"
"李淑芳"	"35375 員林市關渡路39號之7"
"林美玲"	"708 桃園文化街112號9樓"
"黃麗玉"	"314 竹北劍潭路747號之7"
"柯志偉"	"816 南投北投路48號之2"
"邱文傑"	"716 梅山市太平路528號之3"
"呂文華"	"10374 屏東縣新生巷5段50號之9"
"陳俊宏"	"720 新營市新莊路724號1樓"
"謝文龍"	"46616 新營公園街27號8樓"
"林建銘"	"881 馬公林森巷505號之2"
"吳宥蓁"	"19361 北斗東興巷3號5樓"
"許淑芬"	"93936 嘉義松山巷44號之5"
"林美玲"	"90626 樹林縣大橋頭巷6段7號之2"
"呂惠美"	"41524 苗栗迴龍街8段28號之0"
"曾文龍"	"694 阿里山北投巷2段789號7樓"
"黃秀枝"	"965 關山市大仁路1號之1"
"陳宜蓁"	"10495 白沙縣四維街452號9樓"
"陳素琴"	"401 桃園廣慈路6號之5"
"陳宗憲"	"82638 新竹劍南巷1號9樓"
"許志成"	"138 褒忠學府街177號之5"
"陳美雲"	"520 雲林縣育英街11號1樓"
"陳雅婷"	"220 蘆洲東興巷9段188號4樓"
"林美珍"	"401 桃園正義路49號8樓"
"黃怡君"	"487 中和縣林森巷2號之9"
"劉世明"	"88189 頭份劍南巷25號5樓"
"姚淑娟"	"305 八德市太平巷12號2樓"
"羅子翔"	"29442 連江長春巷272號3樓"
"陳明輝"	"616 太平市劍南巷63號之5"
"謝惠珍"	"903 台東縣關渡巷3號0樓"
"何素珠"	"187 基隆福德巷2號之0"
"賴建成"	"135 光復縣平和街40號之5"
"王淑芳"	"14063 雲林縣新興巷20號之7"
"林美珠"	"480 板橋光明路60號之5"
"林宗翰"	"26210 平鎮新莊路498號9樓"
"翁秀娟"	"74321 橫山文昌路665號6樓"
"張志明"	"274 關山永和路84號之7"
"張淑貞"	"910 阿里山育英路2段2號1樓"
"林秀琴"	"63825 台東蘆洲街6號之2"
"劉柏霖"	"315 新營縣成功街3段922號7樓"
"張美惠"	"694 北港大同路4號之2"
"李玉玲"	"30567 基隆天母路501號之2"
"黃麗娟"	"28201 新北縣民族路105號8樓"
"林美華"	"18195 頭份市長安巷5段41號3樓"
"王秀霞"	"715 員林縣學府街83號1樓"
"林正義"	"30627 宜蘭中和街4段267號5樓"
"李麗珠"	"941 汐止新店街56號之7"
"曹志強"	"64207 牡丹五福路1段30號5樓"
"葉建銘"	"25547 台中縣自由街6段22號之6"
"邱玉玲"	"502 高雄劍南路10號之1"
"廖秀珍"	"361 宜蘭市文化路389號之0"
"施明珠"	"75384 板橋市永寧街72號之4"
"曾美鳳"	"87710 樹林縣松山街51號之1"
"林美華"	"911 彰化縣雙連巷8段8號之3"
"李麗卿"	"742 褒忠市劍潭路1號之3"
"林志成"	"28758 太保文山巷277號之6"
"陳家榮"	"762 牡丹公園路5段1號8樓"
"葉寶珠"	"18734 朴子市自由巷8號之2"
"謝素貞"	"540 褒忠縣小碧潭街292號8樓"
"許志豪"	"456 屏東市華興街25號6樓"
"呂宇翔"	"95160 新營五福巷928號之4"
"陳秀玲"	"83269 阿里山縣大安巷885號9樓"
"張素貞"	"55086 雲林市迴龍路49號3樓"
"林美雲"	"141 台南市民有街58號之0"
"陳靜怡"	"835 平鎮新北投路624號2樓"
"吳佳穎"	"487 金門縣東興路4號之3"
"江俊賢"	"16762 南投仁愛路5號7樓"
"蘇秀珠"	"37717 梅山民權路5段23號8樓"
"謝婉婷"	"11835 南投東湖巷7段66號5樓"
"江淑慧"	"91233 台中縣天母路455號之0"
"邱苡晴"	"29929 員林龍山寺路867號2樓"
"王美華"	"872 中和長安路4號6樓"
"許金龍"	"301 斗六新興街345號之1"
"林美雲"	"391 褒忠正義路5號4樓"
"周宗霖"	"873 澎湖市中山路5號2樓"
"金榮華"	"12157 古坑學府街3號之8"
"范秀美"	"16991 臺東市文山巷9號之8"
"陳冠宇"	"308 新營市關渡路8段6號之9"
"唐家瑋"	"34880 馬公東湖路55號5樓"
"徐俊傑"	"909 台北縣紅樹林巷669號之8"
"雷美娟"	"218 汐止縣土城路786號之4"
"陳麗珍"	"290 新北縣永和街79號5樓"
"林勝雄"	"369 頭份廣慈路85號4樓"
"林美雲"	"80300 新竹縣廣慈巷96號之2"
"林博文"	"16492 桃園成功巷500號之4"
"莊文龍"	"95544 八德市自由路63號之7"
"李淑玲"	"609 苗栗市中華巷25號之1"
"林素蘭"	"69541 褒忠市仁愛路5號1樓"
"陳國雄"	"109 阿里山信義路10號之3"
"李凱翔"	"685 馬公大同巷6號0樓"
"張秀英"	"977 太平市關渡巷7號之2"
"顏淑芬"	"246 連江民有路848號之4"
"張宇翔"	"445 古坑縣正義路17號之0"
"林美鳳"	"66596 卑南市新埔街2號3樓"
"李永昌"	"32012 金門文山路75號之9"
"詹淑娟"	"776 永康市學府巷9號之2"
"林勝雄"	"48247 高雄市中和路7段542號之5"
"温志忠"	"23480 宜蘭縣雙連巷6號之4"
"吳國華"	"55575 金門延平路9號8樓"
"梁美蘭"	"914 古坑水源巷278號之6"
"張芸菲"	"98177 竹田市仁愛巷9號之8"
"陳怡君"	"40272 嘉義市自立路2號之4"
"李國雄"	"159 永康縣東湖巷1號之9"
"林美麗"	"63176 光復長春路89號之6"
"盧雅玲"	"774 斗六劍潭街4段9號之8"
"黃玉蘭"	"68339 臺中大勇巷27號之3"
"韓秀雲"	"375 太保市四維巷7段42號之1"
"楊秀蘭"	"80290 竹田大橋頭巷57號7樓"
"毛淑美"	"248 宜蘭民治巷859號之3"
"程承翰"	"783 褒忠中山路5號之0"
"羅國榮"	"475 北斗縣五福街4號之7"
"林美蘭"	"61846 卑南縣龍山寺街28號4樓"
"張宗翰"	"628 台北市大同巷165號4樓"
"林聰明"	"350 梅山文化巷7號之3"
"廖淑貞"	"79154 大里市忠義街22號5樓"
"陳信宏"	"827 臺中縣廣慈路8號6樓"
"李秀琴"	"56645 新營蘆洲街9段53號之0"
"許俊傑"	"62905 永和縣芝山巷4段8號之9"
"黃文賢"	"49063 高雄縣昆陽巷26號之7"
"陳志成"	"807 雲林市福德街6號之6"
"王秀梅"	"40107 澎湖大同街159號之0"
"張承恩"	"158 桃園縣民治巷7段333號1樓"
"温子睿"	"630 臺東市芝山路638號之7"
"林聰明"	"81713 永和縣光華街9號之0"
"林秀玲"	"969 朴子文化街2號1樓"
"陳冠宇"	"22746 台中信義巷3段1號4樓"
"洪俊佑"	"57265 臺東和平街220號之7"
"許思妤"	"84759 朴子中正街795號6樓"
"張金龍"	"773 台東府中路845號之2"
"蘇麗華"	"32446 台北天母巷6號1樓"
"林宇軒"	"211 北斗縣永和路504號1樓"
"林麗娟"	"55179 臺中大橋頭路8號之0"
"陳志宏"	"965 光復自強巷35號之5"
"林詩涵"	"608 古坑福德巷62號5樓"
"郭志誠"	"20931 樹林縣忠義巷8段32號1樓"
"張世明"	"209 汐止市萬隆巷9段836號之0"
"杜秀鳳"	"679 臺東自強巷3號7樓"
"黃靜宜"	"87584 澎湖育英巷256號4樓"
"黃美娟"	"268 竹田頂福州路7號6樓"
"劉俊男"	"52840 嘉義中央街2段1號1樓"
"黃俊宇"	"440 基隆縣廣慈巷844號之5"
"趙雅婷"	"985 宜蘭縣大安街2段7號之3"
"張心怡"	"31443 花蓮忠義巷5號3樓"
"林詩涵"	"92282 板橋民治巷6號4樓"
"王志文"	"417 關山市自立街69號之2"
"古志雄"	"33301 桃園關渡街97號6樓"
"連婉婷"	"656 永和市民族巷635號之8"
"許聰明"	"95363 金門復興巷6段183號之2"
"蔡冠霖"	"789 光復縣新埔路41號之8"
"鄭宗霖"	"323 北港東湖路344號之7"
"黃志豪"	"66921 新營縣自由巷7段2號之7"
"李俊宏"	"60026 新竹新生街9號之2"
"林家銘"	"329 臺中縣動物園巷973號8樓"
"林進興"	"503 八德新興巷1號之0"
"歐凱翔"	"57999 金門縣中山路1段787號7樓"
"鄭柏翰"	"551 中壢光華巷85號8樓"
"林秀美"	"78285 朴子四維巷3號7樓"
"廖雅玲"	"955 阿里山縣自立街80號之0"
"蘇惠美"	"67484 卑南縣西門路694號之7"
"陳淑娟"	"451 頭份市東湖路3號之4"
"林志遠"	"378 光復公園路2段149號之0"
"林淑芬"	"42745 蘆竹市北投巷72號2樓"
"周麗珠"	"93930 新竹縣大勇街89號6樓"
"林進興"	"504 苗栗三民路579號2樓"
"曹淑貞"	"65340 台南縣博愛街882號之1"
"林信宏"	"645 中和縣新生路17號之7"
"蕭淑慧"	"54865 彰化市水源路311號8樓"
"王子翔"	"95322 北斗大仁路70號之8"
"楊美慧"	"32473 竹田市建國巷9段3號之1"
"李家豪"	"40394 臺東市新生路2段292號之3"
"賴佩珊"	"461 高雄市文山街5號7樓"
"邱素蘭"	"901 太保西門街328號3樓"
"彭金蓮"	"91664 台南縣延平街8段528號7樓"
"林進興"	"748 員林古亭巷7號之6"
"吳建成"	"818 汐止縣新生路13號4樓"
"陳秀梅"	"289 苗栗市小碧潭巷398號8樓"
"林宸睿"	"244 臺東市永安路7號7樓"
"黃聰明"	"84803 北斗新北投街1段3號6樓"
"楊志宏"	"31611 新營市平和巷524號0樓"
"吳冠宇"	"353 汐止自由街46號之5"
"黃美玉"	"937 草屯縣民生街78號之2"
"楊美雲"	"143 斗六民權街4段9號7樓"
"孫志豪"	"29211 竹田市華興路869號5樓"
"林進財"	"27644 新營新莊路67號之8"
"張文正"	"43459 豐原正義巷502號9樓"
"林家豪"	"431 古坑三民街7號之9"
"賴政宏"	"356 桃園縣大同街8號1樓"
"蔡麗玲"	"95459 汐止小碧潭路2號5樓"
"林文傑"	"653 太平縣大智巷31號6樓"
"賴志賢"	"472 大里縣松山街5段701號之7"
"郭秀蘭"	"605 大里市芝山街379號4樓"
"胡雅婷"	"10551 新北公園巷4號之6"
"黃志明"	"41017 三重萬隆街7段18號1樓"
"林進財"	"42660 南投昆陽街44號3樓"
"林宜蓁"	"22341 板橋中山街588號8樓"
"陳正雄"	"37505 牡丹土城巷90號之2"
"廖淑敏"	"414 高雄林森路893號之6"
"黃俊銘"	"527 新竹迴龍巷4段85號6樓"
"李秀雲"	"943 北港迴龍街3號之7"
"陳文雄"	"31309 雲林縣紅樹林街87號之0"
"陳淑娟"	"277 蘆竹和街巷8號2樓"
"梁武雄"	"64332 桃園縣迴龍街9號8樓"
"李志明"	"61044 桃園興街43號之0"
"林鈺婷"	"15369 台中縣民富巷6號0樓"
"劉惠美"	"185 頭份光復街6號0樓"
"黃美英"	"391 楊梅市大橋頭巷68號5樓"
"侯美玲"	"495 馬公光明路80號之3"
"李雨霏"	"622 新竹縣華興路807號之6"
"黃俊佑"	"404 台北大橋頭街4號之0"
"陳俊傑"	"19520 板橋縣延平巷14號7樓"
"陳文雄"	"493 苗栗縣文昌路3號之9"
"孫志文"	"659 澎湖縣太平路63號之1"
"李美珠"	"78024 板橋松山路33號7樓"
"林雅惠"	"31057 光復明德路55號之1"
"鍾碧霞"	"85632 白沙自立路65號2樓"
"劉秀英"	"68780 三重文山路8段7號之6"
"黃秀美"	"472 褒忠市信義街395號之6"
"李淑芬"	"189 南投市中山街33號7樓"
"許彥廷"	"530 卑南縣東興路311號之7"
"黃冠宏"	"817 八德縣福德巷4號之6"
"王玉美"	"287 嘉義關渡路12號之5"
"呂淑芬"	"85805 連江市忠義巷458號之2"
"蘇宗翰"	"327 草屯市長安街6段643號2樓"
"林雅惠"	"42276 員林縣公園巷71號4樓"
"林素琴"	"474 台南市育英路8號之6"
"汪明宏"	"526 八德大仁路8號之4"
"黃宗翰"	"15602 三重縣北投巷80號之1"
"游素蘭"	"72557 蘆竹市民富巷2號7樓"
"蘇秀珠"	"497 北竿永和街7號2樓"
"陳俊廷"	"525 古坑石牌街70號8樓"
"彭家豪"	"647 竹北太平街3號4樓"
"陳志宏"	"28841 竹北市文化巷9號2樓"
"張國華"	"546 嘉義市公園街45號之1"
"林雅慧"	"504 卑南市民族街527號5樓"
"賴柏翰"	"743 北港市民有路89號之5"
"薛俊宏"	"912 永康中山巷9號1樓"
"黃正義"	"301 太保士林巷9號0樓"
"董秀鳳"	"19935 豐原新生巷233號之5"
"林俊宏"	"648 台東自由路5號之0"
"周美慧"	"733 台北莒光路9號0樓"
"朱碧珠"	"22737 卑南市古亭巷5段786號之8"
"李世明"	"844 朴子仁愛路760號6樓"
"劉凱翔"	"61392 基隆淡水巷876號8樓"
"林雅雯"	"494 嘉義古亭街5段5號之9"
"鄧俊宏"	"17545 大里育英路1號之2"
"康宗翰"	"628 宜蘭劍潭街158號3樓"
"孔文賢"	"51634 永康縣民權路67號1樓"
"陳芸菲"	"92802 金門縣信義巷7號3樓"
"江家宏"	"45060 大里德街267號4樓"
"黃志宏"	"506 鳳山市東興街352號4樓"
"林素珍"	"960 屏東永寧街274號之1"
"陳慧玲"	"43073 牡丹縣平和路312號之2"
"黃雅萍"	"307 台北縣天母街8號7樓"
"林雅雯"	"62660 桃園市和街街4段767號0樓"
"黃月娥"	"760 員林市廣慈路41號3樓"
"歐家瑋"	"406 新竹縣光華巷9號之2"
"蘇永昌"	"88612 基隆龍山寺街39號3樓"
"郭家銘"	"48279 基隆林森巷5段9號之5"
"許怡婷"	"374 新營長安路650號之4"
"林惠美"	"482 朴子興街579號之0"
"陳進發"	"834 豐原水源路196號5樓"
"宋心怡"	"920 白沙市文昌路62號9樓"
"潘美麗"	"619 中壢縣華興街902號9樓"
"林雅雯"	"768 楊梅市永寧巷4段5號2樓"
"劉俊宇"	"664 太平自強街2段77號之2"
"施碧雲"	"607 台東中興巷55號8樓"
"林柏宇"	"101 新營縣景美街4號1樓"
"高靜怡"	"549 阿里山市五福路34號1樓"
"李文傑"	"88279 古坑縣民富巷53號7樓"
"紀志忠"	"274 蘆洲縣大橋頭巷7號7樓"
"宋柏諺"	"23974 臺中市東興街32號之0"
"謝月娥"	"812 梅山新生路4號之7"
"陳志雄"	"384 古坑雙連巷3號之4"
"林靜怡"	"939 連江市永安路642號3樓"
"賴志偉"	"902 新北市民生巷43號之6"
"周建宏"	"643 梅山光復街6號6樓"
"許苡菲"	"769 草屯水源街5段982號之0"
"顏志強"	"878 楊梅縣長春路31號5樓"
"林志明"	"77900 頭份市平和路229號之7"
"吳明哲"	"80145 梅山縣文化路939號之9"
"陳麗雪"	"96578 竹田中山街6號之4"
"林麗珠"	"316 員林小碧潭巷15號3樓"
"黃宗翰"	"138 北港成功街5號之8"
"林麗娟"	"156 光復縣小碧潭巷91號5樓"
"楊家瑋"	"97846 高雄縣民治街53號之2"
"蕭秀蘭"	"322 新北市關渡街1段397號之4"
"王秀琴"	"824 高雄育英路22號之1"
"何惠美"	"53695 中和市民治巷964號之1"
"陳宗翰"	"985 北斗市新生路728號之5"
"蔡文正"	"707 汐止中央路2號9樓"
"宋宗霖"	"833 卑南縣民生巷8號7樓"
"蘇冠霖"	"438 新北縣三民路2段14號之9"
"何俊廷"	"274 永康縣大同路8段81號5樓"
"林麗玲"	"689 屏東市大橋頭街943號6樓"
"沈建宏"	"517 白沙自立街36號3樓"
"郭進興"	"13819 三重市土城街417號之3"
"謝素珍"	"125 白沙東湖路864號之4"
"蕭品睿"	"740 金門縣文昌路562號8樓"
"劉承翰"	"93529 白沙萬隆街22號9樓"
"蔡秀蘭"	"897 草屯市五福巷841號之6"
"陳明宗"	"55705 馬公市福德巷6號之0"
"黃怡君"	"314 中壢劍潭街682號8樓"
"宋宸睿"	"121 阿里山縣永安巷5段502號之5"
"林麗玲"	"815 中和縣景美巷39號之5"
"巫文章"	"679 屏東忠義街4段4號之0"
"郭宗霖"	"64468 馬公淡水巷41號7樓"
"劉淑玲"	"130 北港縣萬隆街6號5樓"
"劉柏宇"	"65404 大里象山路6段22號2樓"
"吳麗玲"	"986 太平市景美巷763號9樓"
"陸淑娟"	"435 連江天母巷8號5樓"
"張聰明"	"34703 阿里山民治街10號7樓"
"郭國榮"	"133 卑南市和平路8號之4"
"蘇素珍"	"726 梅山五福巷6號之6"
"林麗珠"	"244 屏東育英街2段36號之9"
"李美珠"	"375 連江縣大坪路5號之5"
"陳子豪"	"259 光復大智巷770號6樓"
"許美娟"	"825 高雄市光華巷808號4樓"
"許月英"	"343 斗六縣福安巷53號之3"
"林志宏"	"447 新營紅樹林街293號8樓"
"周淑娟"	"851 牡丹民有街2號6樓"
"張靜怡"	"824 樹林市仁愛路17號5樓"
"劉秀英"	"65415 新營市民享巷980號之2"
"劉俊明"	"474 汐止縣東興路504號0樓"
"林麗珠"	"614 板橋中山巷717號之0"
"吳文雄"	"68379 楊梅縣新生路7號之6"
"賴志強"	"52990 雲林永和街3段846號5樓"
"黄子晴"	"93382 台東忠孝街4號1樓"
"陳志宏"	"27093 桃園博愛巷7號3樓"
"傅美蘭"	"59866 竹田縣蘆洲街522號之1"
"林家豪"	"13691 高雄關渡路41號9樓"
"呂淑娟"	"247 蘆竹天母街4號7樓"
"柯嘉宏"	"904 員林博愛路258號2樓"
"汪冠廷"	"45364 北斗仁愛路2段55號之2"
"林麗華"	"837 蘆竹縣華興街4段5號6樓"
"倪秀美"	"100 鳳山大同街2段47號5樓"
"林志成"	"51829 三重奇岩路98號之8"
"黄志成"	"714 雲林縣平和街1段554號之7"
"謝冠廷"	"80054 卑南松山路71號之1"
"魏睿恩"	"47377 朴子縣民享街2號5樓"
"王志文"	"154 雲林縣府中街45號1樓"
"林秀雲"	"439 光復大仁街6段781號之8"
"吳志宏"	"58151 馬公昆陽巷851號3樓"
"湯明宏"	"563 太平縣劍南巷2段907號7樓"
"林麗雪"	"588 苗栗蘆洲街48號之0"
"詹淑娟"	"80565 南投頂福州街8號8樓"
"何勝雄"	"29329 梅山莒光路9號7樓"
"周明宏"	"64025 鳳山市民權街1號3樓"
"蔡秀珍"	"257 頭份市忠義路390號2樓"
"顏美珠"	"56564 新竹西門路564號之0"
"程子恩"	"72576 北港民權街352號5樓"
"許淑華"	"669 阿里山博愛路9號9樓"
"陳秀琴"	"50117 大里縣民治街7段899號1樓"
"徐承翰"	"119 梅山新埔街25號之8"
"林麗香"	"73647 梅山信義街8號5樓"
"曾明珠"	"439 三重縣新埔巷5段2號6樓"
"邱淑惠"	"862 苗栗中和街1號之6"
"蘇彥廷"	"159 屏東民富路41號之1"
"徐柏翰"	"879 桃園迴龍路2號8樓"
"闕建華"	"879 台南成功巷319號之8"
"張月娥"	"47557 梅山縣小碧潭街8段228號2樓"
"蕭秀玉"	"393 板橋淡水巷6段9號1樓"
"林淑娟"	"765 臺中景美巷317號之0"
"王冠廷"	"960 蘆竹縣雙連街4段404號之2"
"柯俊傑"	"36392 北港市自強街8號之1"
"劉雅雯"	"269 彰化文化巷5號之1"
"林金龍"	"25086 台中市民族巷950號之5"
"劉秀英"	"949 北港縣大勇巷5段1號4樓"
"羅佳蓉"	"754 雲林象山街33號之9"
"廖玉梅"	"381 台東新莊巷6段24號5樓"
"張雅玲"	"70817 桃園縣信義街26號8樓"
"林雅惠"	"98859 平鎮水源街4號之1"
"張宥辰"	"985 南投市大仁路1號之5"
"吳秀珍"	"807 高雄縣中山巷110號之9"
"柯勝雄"	"738 台北縣育英路7段6號之9"
"劉怡君"	"454 北斗蘆洲巷2號4樓"
"徐志文"	"121 彰化北投街4段97號之2"
"朱宇軒"	"728 基隆縣復興街9段464號1樓"
"劉淑玲"	"108 新竹市三民街9段8號之7"
"趙美玲"	"447 桃園縣天母巷3號之0"
"蔡淑玲"	"798 台南和街巷2段459號2樓"
"鄭寶珠"	"872 台北萬隆街1段394號之6"
"趙淑貞"	"505 連江市大智巷9號之7"
"林美鳳"	"46626 太保縣土城街7號6樓"
"柯婉婷"	"463 北竿縣昆陽街79號之9"
"王承恩"	"95918 北港市昆陽路321號4樓"
"林秀鳳"	"39238 新竹市大仁路8段81號6樓"
"劉志明"	"15628 桃園廣慈路65號之7"
"陳國雄"	"32369 草屯市國凱八德街716號0樓"
"徐志忠"	"802 頭份縣永安巷66號9樓"
"林志宏"	"390 北斗新莊街5號6樓"
"林俊傑"	"276 桃園和平路61號9樓"
"周淑娟"	"14533 嘉義縣東興街658號2樓"
"江宗霖"	"97179 豐原縣大勇街1號5樓"
"柯惠玲"	"26170 新竹長春巷989號7樓"
"許志宏"	"233 太平福安巷8段991號2樓"
"陳承翰"	"81609 板橋育英巷8段76號6樓"
"蕭家豪"	"31566 永和縣淡水街34號之5"
"鍾美珍"	"908 永康學府巷3段919號0樓"
"古建成"	"568 牡丹文化街844號之1"
"林怡君"	"272 臺東奇岩路94號3樓"
"陳柏諺"	"27879 馬公縣大勇巷65號之6"
"江碧霞"	"22152 關山平和街168號之1"
"楊冠霖"	"206 板橋新興巷413號5樓"
"柯承翰"	"93018 台南縣民有路70號7樓"
"李宜蓁"	"85945 新營興街7號2樓"
"彭佳蓉"	"73010 新北縣忠義巷34號9樓"
"方淑珍"	"614 台北永安街5段5號之2"
"黃秀琴"	"598 新竹縣文山巷2段8號之4"
"陳志宏"	"366 基隆縣關渡巷27號之3"
"賴月娥"	"592 苗栗市新埔巷6段1號0樓"
"葉美珠"	"848 桃園石牌巷50號之2"
"徐秀玲"	"76783 阿里山市博愛街228號1樓"
"張惠玲"	"31009 金門縣淡水街9段2號之0"
"柯明德"	"102 八德頂福州路5號之5"
"劉國華"	"908 北竿縣雙連巷1號8樓"
"吳淑美"	"816 鳳山文化巷436號之3"
"藍淑娟"	"57504 卑南市成功路963號之2"
"賴俊宏"	"386 朴子光明巷73號1樓"
"陳宜蓁"	"71055 花蓮縣士林路3段46號之2"
"劉家榮"	"47401 臺東松山街19號之2"
"林欣怡"	"529 太保民有路6段9號之9"
"葉俊宏"	"569 新北市民生路1段91號之1"
"林秋香"	"669 桃園市府中巷490號7樓"
"柯明德"	"90979 白沙北投巷3號4樓"
