"Ѓорги Велков","Крушевска 509
37695 Битола" 
"Др. Елизабета Андоновска","Булевар Свети Климент Охридски 538
49509 Битола"
"Проф. Маја Стефановска","Питу Гули 1б
75161 Скопје"
"Билјана Донева","Волгоградска 1б/9
84943 Ресен"
"Проф. Јасмина Цветковска","Женевска 81
13513 Тетово"
"Др. Емил Поповски","Тодор Александров 3в
09934 Македонска Каменица"
"Г-н Марко Мојсов","Булевар Гоце Делчев 3б/1
12765 Неготино"
"Проф. Марија Крстева","Волгоградска 0
88396 Македонски Брод"
"Душан Арсовски","Гоце Делчев 2б
30495 Скопје"
"Др. Марина Глигорова","Михаило Пупин 0в
28840 Кавадарци"
"Васил Димовски","Јане Сандански 2
42045 Крушево"
"Г-ца Софија Климовска","Свети Климент Охридски 175
68487 Кичево"
"Ана Велкова","Георги Димитров 4б
91034 Кратово"
"Г-ѓа Наташа Арсовска","Радовишка 5б
45226 Делчево"
"Др. Илија Коцев","Шарпланинска 2а/8
82115 Радовиш"
"Др. Коста Атанасов","Булевар Гоце Делчев 0б/4
49050 Ресен"
"Г-ца Билјана Арсовска","Востаничка 8в
06351 Битола"
"Г-ѓа Милена Дамјановска","Глигор Прличев 5б
49475 Валандово"
"Др. Ангела Андоновска","Орце Николов 429
94946 Македонска Каменица"
"Др. Марина Донева","Јане Сандански 1б/7
20959 Виница"
"Васил Заев","Никола Карев 5в
20563 Гевгелија"
"Г-н Душан Глигоров","Булевар Блаже Конески 2а/1
44209 Велес"
"Г-н Митко Иванов","Партизански одреди 010
75955 Охрид"
"Г-н Лука Чулев","Димитар Влахов 8б
62846 Струга"
"Г-ѓа Теодора Матевска","Гоце Делчев 076
01938 Македонска Каменица"
"Проф. Васка Донева","Волгоградска 4б
78421 Тетово"
"Проф. Роза Симоновска","Булевар Никола Карев 5а
65049 Гостивар"
"Проф. Снежана Митревска","Скупи 2а/5
71092 Богданци"
"Лилјана Дешановска","Булевар Никола Карев 2б/5
49610 Ресен"
"Др. Марина Младеновска","Перо Наков 4а/3
01410 Демир Капија"
"Др. Зоран Крстев","Перо Наков 34
73175 Македонски Брод"
"Софија Јовановска","Скупи 4б/3
33042 Кратово"
"Г-ца Милена Гавриловска","Кеј Македонија 4в
28255 Ресен"
"Борис Мусијановски","Пролетерска 215
25177 Крушево"
"Елизабета Михајловска","Христијан Тодоровски Карпош 1а
83791 Кавадарци"
"Др. Борис Глигоров","Востаничка 4в
18611 Струмица"
"Ана Ѓорѓиевска","Даме Груев 0а
68234 Виница"
"Сузана Стефановска","Трета македонска бригада 0б
79347 Кавадарци"
"Цвета Алексовска","Николај Коперник 2а/0
40983 Виница"
"Др. Марија Андоновска","Букурешка 0
40821 Богданци"
"Г-ѓа Виолета Лазова","Ленинградска 1б
81206 Виница"
"Г-н Васил Николов","Николај Коперник 8а
19835 Крушево"
"Проф. Симон Алексовски","Питу Гули 4б/4
13587 Тетово"
"Зоран Јанев","Кеј Димитар Влахов 95
45424 Кичево"
"Г-ца Мартина Гавриловска","Стоби 9в
19848 Кратово"
"Дејан Митревски","Јане Сандански 12
25864 Велес"
"Коста Марковски","Даме Груев 275
11912 Штип"
"Соња Цветковска","Зелезничка 4б
39050 Велес"
"Ана Василева","Булевар Цветан Димов 1б/7
36413 Битола"
"Др. Марија Гавриловска","Шарпланинска 863
01614 Виница"
"Проф. Снежана Атанасова","Самоилова 9б
26202 Валандово"
"Сашо Николов","Скупи 7б/2
95701 Богданци"
"Г-ѓа Нина Арсовска","Природна 1а/3
07203 Кочани"
"Проф. Јован Марковски","Природна 63
28224 Берово"
"Проф. Душан Пановски","Даме Груев 0в
72568 Крушево"
"Горан Стојановски","Булевар Александар Македонски 22
58923 Струмица"
"Сузана Дамјановска","Зелезничка 5
30171 Битола"
"Лилјана Андоновска","Букурешка 8а
15242 Пехчево"
"Слободан Апостолов","Самоилова 3б/7
38036 Тетово"
"Др. Марија Глигорова","Булевар Цветан Димов 81
36425 Прилеп"
"Др. Петар Христов","Булевар Гоце Делчев 5а
32782 Гевгелија"
"Момчило Иванов","Михаило Пупин 9в
55491 Македонски Брод"
"Антон Михајловски","Васил Главинов 461
64451 Ресен"
"Др. Елена Јанева","Кеј Македонија 9а/5
21885 Куманово"
"Оливера Тодоровска","Лазар Личеноски 9
33376 Пехчево"
"Г-н Доне Тодоровски","Димитар Влахов 5а/4
19829 Кичево"
"Проф. Кирил Стојановски","Орце Николов 3в
38802 Валандово"
"Др. Коста Крстески","Михаило Апостолски 1б/3
53666 Неготино"
"Петар Ѓорѓиевски","Бриселска 452
35521 Кочани"
"Др. Марија Матевска","Крушевска 0а/2
64694 Штип"
"Г-ѓа Ана Димовска","Лондонска 2б/9
52021 Куманово"
"Елена Андоновска","Георги Димитров 3б/4
76157 Пехчево"
"Дарија Велјанова","Булевар Цветан Димов 0а/1
70323 Тетово"
"Др. Јане Крстев","Маршал Тито 5б/7
41873 Делчево"
"Анета Гавриловска","Воденска 99
70217 Крива Паланка"
"Г-ѓа Роза Марковска","Шарпланинска 4б
15247 Берово"
"Катерина Николова","Македонија 6а/3
04537 Берово"
"Елена Николовска","Шарпланинска 8
28754 Струга"
"Г-ѓа Василка Шакири","Булевар Никола Карев 746
66030 Радовиш"
"Др. Марко Апостолов","Одбранбена 4в
21726 Пробиштип"
"Билјана Алексовска","Лазар Личеноски 4а/8
07694 Скопје"
"Г-ѓа Анета Спасова","Лазар Личеноски 7а/6
31891 Валандово"
"Др. Михаил Ѓоргиев","Лазар Личеноски 0в
36393 Делчево"
"Огнен Иванов","Булевар Свети Климент Охридски 36
07111 Дебар"
"Г-ца Виолета Василева","Булевар Блаже Конески 5а
89599 Демир Хисар"
"Г-ѓа Мирјана Петковска","Благој Давков 5б/2
97579 Скопје"
"Тијана Михајловска","Македонија 686
83904 Куманово"
"Надица Гроздановска","Јасминска 0а/4
59908 Демир Капија"
"Марко Арсовски","Партизански одреди 119
11935 Радовиш"
"Др. Марко Митревски","Букурешка 4а/8
71175 Кичево"
"Алексеј Матевски","Букурешка 4в
52322 Струмица"
"Иванка Младеновска","Ленинградска 7б
38956 Куманово"
"Г-ѓа Милена Шакири","Дојранска 0
91309 Тетово"
"Маја Ѓорѓиевска","Лазар Личеноски 4б/8
04364 Валандово"
"Трајан Христов","Маршал Тито 189
97649 Струмица"
"Кристина Ристовска","Јован Хаџи Константинов Џинот 5
25463 Делчево"
"Симона Михајловска","Булевар Цветан Димов 5а/4
52158 Демир Хисар"
"Жарко Шакири","Одбранбена 2
46858 Демир Хисар"
"Лука Глигоров","Бриселска 6а/7
76557 Куманово"
"Др. Марко Христов","Климент Охридски 7а/9
22969 Македонски Брод"
"Роза Крстеска","Дојранска 1б
42166 Пробиштип"
"Проф. Душан Ѓорѓиевски","Гоце Делчев 6а/3
06001 Струмица"
"Проф. Марина Гавриловска","Аристотел 1а/9
59884 Гевгелија"
"Проф. Снежана Гроздановска","Кирил Пејчиновиќ 2б/1
65677 Пехчево"
"Тодор Василев","Георги Димитров 3а
48109 Скопје"
"Павле Донев","Воденска 9
11045 Велес"
"Г-ца Емилија Цветковска","Питу Гули 2а
36313 Гостивар"
"Г-ѓа Билјана Арсовска","Тодор Александров 965
77167 Делчево"
"Др. Весна Крстеска","Партизански одреди 9в
85500 Неготино"
"Др. Марко Цветковски","Петар Поп Арсов 7б
32252 Кратово"
"Жарко Димовски","Букурешка 7б/7
44625 Скопје"
"Горан Поповски","Волгоградска 436
76929 Охрид"
"Александра Арсовска","Самоилова 8
21574 Кавадарци"
"Др. Оливера Спасовска","Дојранска 7а
78045 Дебар"
"Надица Атанасова","Волгоградска 9б
18463 Крушево"
"Др. Драган Василев","Васил Главинов 3а/4
65287 Прилеп"
"Благица Дурловска","Маршал Тито 2
55998 Македонски Брод"
"Проф. Маја Стојановска","Востаничка 80
64109 Валандово"
"Цвета Чулева","Рибарска 9б
64339 Кочани"
"Др. Мартина Андоновска","Николај Коперник 089
67503 Скопје"
"Стојан Димовски","Тодор Александров 5б/1
85970 Кавадарци"
"Билјана Ѓорѓиевска","Даме Груев 302
37484 Виница"
"Г-ѓа Лилјана Заева","Никола Вапцаров 7а
04859 Кичево"
"Драгана Климовска","Михаило Пупин 0а/7
72389 Охрид"
"Василка Донева","Пролетерска 9
62224 Струмица"
"Цветан Јанев","Стоби 453
48410 Пехчево"
"Крсте Јовчев","Михаило Апостолски 18
20141 Демир Хисар"
"Г-ца Благица Димовска","Радовишка 907
18549 Делчево"
"Ѓорги Јовановски","Дојранска 3б/8
91413 Штип"
"Др. Мартина Илиева","Трета македонска бригада 0б/3
81872 Берово"
"Проф. Даниел Донев","Волгоградска 16
84211 Демир Капија"
"Др. Кристина Гавриловска","Скупи 8а
91432 Свети Николе"
"Валентина Ристовска","Михаило Пупин 4в
03698 Гевгелија"
"Анита Ѓоргиева","Кеј Димитар Влахов 6а
73347 Куманово"
"Др. Слободан Симоновски","Славеј Планина 5а
30051 Ресен"
"Др. Марјан Атанасов","Самоилова 4б
16875 Охрид"
"Зоран Мартиновски","Трета македонска бригада 57
96699 Гостивар"
"Петре Тодоровски","Тодор Александров 0а
08231 Струга"
"Г-н Ристо Велјанов","Трета македонска бригада 3б
41348 Демир Капија"
"Др. Мартина Митревска","Булевар Свети Климент Охридски 0б
34595 Гостивар"
"Сашо Јанев","Никола Русински 4а/8
43631 Струга"
"Влатко Бојаџиев","Булевар Гоце Делчев 727
43940 Кратово"
"Проф. Соња Тодоровска","Димитар Влахов 4
97797 Свети Николе"
"Г-н Даниел Михајловски","Орце Николов 7в
97023 Крушево"
"Др. Драган Велков","Никола Русински 6б/3
30071 Гостивар"
"Томе Мусијановски","Аристотел 8б
12329 Дебар"
"Оливера Поповска","Булевар Цветан Димов 1
84001 Битола"
"Др. Даниел Петковски","Никола Русински 9в
06930 Кочани"
"Тихомир Михајловски","Маршал Тито 83
16401 Гостивар"
"Др. Марјан Дурловски","Рибарска 596
67481 Дебар"
"Др. Ана Матевска","Пролетерска 7б
83594 Виница"
"Софија Велкова","Трета македонска бригада 2а/0
18382 Тетово"
"Др. Лазар Стефановски","Рибарска 12
58207 Дебар"
"Андреј Петровски","Женевска 6б/3
02286 Гостивар"
"Наум Дешановски","Климент Охридски 0а
76102 Македонска Каменица"
"Проф. Даниел Ѓорѓиевски","Софиска 56
53824 Куманово"
"Г-ца Дарија Трајковска","Кирил Пејчиновиќ 6б/2
63663 Охрид"
"Атанас Петковски","Луј Пастер 4а/7
17150 Македонски Брод"
"Др. Атанас Митревски","Стоби 8
66465 Струга"
"Др. Марјан Зафировски","Тодор Александров 9б/8
93737 Демир Капија"
"Др. Слободан Цветковски","Михаило Апостолски 19
75095 Пехчево"
"Проф. Марија Иванова","Георги Димитров 1б
38041 Кичево"
"Проф. Јовче Димовски","Хелсинки 0б
22873 Кичево"
"Цветанка Лазаревска","Самоилова 886
93356 Охрид"
"Александра Глигорова","Варшавска 1в
33904 Крушево"
"Г-н Дејан Стефановски","Партизански одреди 46
81301 Дебар"
"Стефанија Митревска","Гоце Делчев 1б/3
72985 Гостивар"
"Др. Симона Георгиева","Перо Наков 6
56137 Демир Хисар"
"Г-н Лазар Илиев","Ленинградска 4а
69692 Свети Николе"
"Др. Марјан Петковски","Ленинградска 1
01299 Дебар"
"Проф. Соња Михајловска","Кирил Пејчиновиќ 2
74314 Битола"
"Марјан Стефановски","Булевар Цветан Димов 2б
43916 Охрид"
"Др. Ангела Атанасова","Климент Охридски 668
68982 Свети Николе"
"Дејан Лазов","Лондонска 7
12705 Кратово"
"Др. Огнен Андоновски","Тодор Александров 5а
60205 Струмица"
"Проф. Арсен Спасов","Булевар Гоце Делчев 2в
15860 Струга"
"Даница Мојсова","Јован Хаџи Константинов Џинот 4а/4
58863 Делчево"
"Лилјана Мартиновска","Зелезничка 4в
42755 Крушево"
"Горан Спасов","Булевар Никола Карев 0а
15723 Битола"
"Др. Маја Коцева","Шарпланинска 1в
57726 Струмица"
"Г-ѓа Магдалена Јовчева","Кеј Македонија 1б/3
23160 Пробиштип"
"Проф. Лазар Чулев","Ленинградска 507
71092 Гостивар"
"Г-ѓа Сузана Јанева","Скупи 153
82548 Демир Хисар"
"Г-ца Мирјана Петковска","Софиска 10
49910 Кратово"
"Кирил Мојсов","Питу Гули 6а/7
04523 Виница"
"Стефанија Чулева","Наум Охридски 0а
51138 Пробиштип"
"Г-ца Магдалена Мартиновска","Јане Сандански 3
68001 Велес"
"Дамјан Дешановски","Востаничка 23
52290 Штип"
"Г-ца Надица Јовчева","Кеј Димитар Влахов 5а
53678 Кичево"
"Др. Методи Ѓоргиев","Шарпланинска 2а
36504 Куманово"
"Г-ца Данче Јовановска","Перо Наков 6а/0
37478 Пехчево"
"Г-н Трајан Андоновски","Тодор Александров 2
60641 Тетово"
"Трајан Крстев","Лондонска 9а
96444 Гостивар"
"Г-н Слободан Дурловски","Едвард Кардељ 47
44483 Валандово"
"Г-ѓа Мирјана Арсовска","Климент Охридски 322
91860 Демир Капија"
"Др. Стефанија Крстева","Трета македонска бригада 4б
41534 Прилеп"
"Милена Алексовска","Самоилова 9в
23008 Неготино"
"Кристина Стојановска","Трета македонска бригада 9
12154 Пехчево"
"Г-ѓа Дарија Цветковска","Самоилова 6б/9
31546 Гостивар"
"Др. Методи Цветковски","Васил Главинов 6б
56525 Делчево"
"Димка Дамјановска","Луј Пастер 0
18253 Скопје"
"Др. Душан Поповски","Крушевска 7б
74800 Македонска Каменица"
"Г-н Сашо Илиев","Никола Вапцаров 8в
71378 Богданци"
"Проф. Оливера Трајковска","Дојранска 2б/8
28581 Куманово"
"Г-ѓа Соња Гроздановска","Природна 9
34406 Богданци"
"Дејан Иванов","Кеј Македонија 0б/7
97184 Струмица"
"Г-ѓа Маја Шакири","Лазар Личеноски 5а
83025 Струга"
"Г-н Михаил Стојановски","Васил Главинов 73
20303 Битола"
"Проф. Александар Чулев","Јане Сандански 2а
63578 Демир Хисар"
"Др. Милена Николова","Стоби 9в
51488 Делчево"
"Чедо Крстески","Ленинградска 3б/3
98942 Прилеп"
"Бранко Мусијановски","Виенска 5
24888 Куманово"
"Димка Матевска","Климент Охридски 95
38002 Демир Капија"
"Даница Симоновска","Михаило Апостолски 2в
63224 Валандово"
"Марјан Стојановски","Булевар Партизански одреди 7б
47323 Делчево"
"Г-ѓа Мирјана Крстеска","Славеј Планина 0в
62949 Радовиш"
"Др. Александар Коцев","Илинденска 6в
66944 Берово"
"Др. Никола Ѓоргиев","Крушевска 8б/1
71737 Делчево"
"Др. Антон Ѓорѓиевски","Женевска 6б
88343 Кичево"
"Др. Милена Тодоровска","Никола Русински 015
72512 Кичево"
"Симона Мартиновска","Крушевска 3а/3
55575 Демир Хисар"
"Игор Стефановски","Перо Наков 5
62202 Пробиштип"
"Доне Шакири","Стоби 8
31539 Демир Капија"
"Дарија Поповска","Орце Николов 66
03430 Пехчево"
"Г-ца Соња Поповска","Лондонска 87
82912 Тетово"
"Емилија Крстева","Кеј Македонија 964
41808 Крушево"
"Г-н Видое Андоновски","Димитар Влахов 1
58506 Ресен"
"Соња Дурловска","Македонија 9
81035 Битола"
"Г-ѓа Марина Шакири","Кеј Димитар Влахов 238
61182 Битола"
"Др. Мирјана Донева","Будимпештанска 6б
39508 Свети Николе"
"Г-н Трајан Ристовски","Волгоградска 1б
16472 Дебар"
"Елена Спасовска","Бриселска 5а/8
10799 Крушево"
"Игор Стојановски","Илинденска 173
22809 Куманово"
"Цвета Петковска","Никола Русински 7а/7
10053 Дебар"
"Проф. Јане Наумовски","Скупи 8в
02651 Свети Николе"
"Душан Апостолов","Ленинградска 5а/0
69479 Македонска Каменица"
"Христо Пановски","Шарпланинска 5б
01141 Битола"
"Сања Стефановска","Христијан Тодоровски Карпош 2б
72114 Дебар"
"Г-н Наум Арсовски","Виенска 4б/0
43485 Скопје"
"Др. Мирјана Стефановска","Едвард Кардељ 82
30653 Берово"
"Проф. Сузана Шакири","Гоце Делчев 3а
80773 Струга"
"Др. Ѓорче Марковски","Климент Охридски 5б
60731 Берово"
"Проф. Весна Алексовска","Николај Коперник 1
29261 Берово"
"Сузана Шакири","Македонија 71
93726 Неготино"
"Др. Маја Донева","Булевар Гоце Делчев 2б
16376 Пробиштип"
"Даница Матевска","Булевар Никола Карев 5б
31317 Охрид"
"Трајан Спасовски","Питу Гули 822
22492 Штип"
"Тања Илиева","Климент Охридски 6б/4
66031 Демир Капија"
"Г-ѓа Теодора Гроздановска","Женевска 5б
02271 Струга"
"Др. Митко Ѓорѓиевски","Јасминска 772
01810 Кочани"
"Г-н Гоце Јанев","Радовишка 5
18587 Кочани"
"Јасмина Алексовска","Глигор Прличев 0а
32308 Валандово"
"Васил Матевски","Гоце Делчев 2б
75158 Струмица"
"Методи Глигоров","Славеј Планина 4в
41860 Свети Николе"
"Г-ца Нина Донева","Востаничка 06
32981 Демир Капија"
"Марјан Алексовски","Васил Главинов 8
42154 Кратово"
"Г-н Драган Мартиновски","Наум Охридски 211
88071 Струмица"
"Др. Анита Ѓорѓиевска","Пролетерска 0б/0
37105 Неготино"
"Проф. Софија Донева","Самоилова 7б
09351 Ресен"
"Др. Митко Дурловски","Радовишка 7б
44803 Неготино"
"Др. Дарија Гроздановска","Лондонска 122
53724 Куманово"
"Валентина Арсовска","Николај Коперник 5б
70896 Свети Николе"
"Трајан Мојсов","Волгоградска 1в
28880 Пехчево"
"Јасмина Мартиновска","Самоилова 33
44690 Дебар"
"Проф. Цветан Крстески","Илинденска 661
79381 Куманово"
"Трајан Поповски","Никола Вапцаров 5б/4
80467 Ресен"
"Др. Јован Христов","Булевар Блаже Конески 32
18219 Штип"
"Атанас Глигоров","Климент Охридски 362
56184 Пехчево"
"Г-н Момчило Петровски","Никола Вапцаров 5а/6
20163 Дебар"
"Др. Митко Ристовски","Скупи 6а
24205 Валандово"
"Билјана Зафировска","Благој Давков 1б
27279 Скопје"
"Г-н Андреј Крстев","Никола Русински 4б/2
90792 Кочани"
"Др. Драгана Велјанова","Орце Николов 373
39225 Дебар"
"Маја Бојаџиева","Климент Охридски 0в
79900 Виница"
"Г-ѓа Теодора Крстеска","Никола Карев 2а/1
09651 Виница"
"Сања Стефановска","Будимпештанска 547
87062 Кичево"
"Др. Зоран Јовчев","Варшавска 1б
53222 Свети Николе"
"Коста Јовановски","Виенска 204
09476 Скопје"
"Др. Анита Иванова","Глигор Прличев 0
83109 Делчево"
"Др. Митко Симоновски","Македонија 1
20749 Штип"
"Г-ца Елена Стефановска","Востаничка 0б
16672 Дебар"
"Цвета Атанасова","Михаило Апостолски 6в
11731 Пробиштип"
"Др. Надица Арсовска","Скупи 0б
91656 Охрид"
"Јовче Петровски","Свети Климент Охридски 1
41107 Охрид"
"Г-н Дамјан Бојаџиев","Михаило Апостолски 0а/4
04812 Македонска Каменица"
"Катерина Христова","Гоце Делчев 4а
77505 Демир Хисар"
"Јане Ѓорѓиевски","Глигор Прличев 7
08228 Штип"
"Проф. Кузман Дешановски","Партизански одреди 4
37211 Охрид"
"Даниел Георгиев","Ибрахим Темо 6б/3
95996 Кавадарци"
"Др. Михаил Василев","Михаило Апостолски 40
13433 Кичево"
"Чедо Мојсов","Климент Охридски 7а/4
75084 Крива Паланка"
"Проф. Данче Јовановска","Македонија 612
52200 Прилеп"
"Игор Наумовски","Самоилова 1а/0
64505 Гостивар"
"Стефан Тодоровски","Пролетерска 6а/5
74627 Гостивар"
"Антон Митревски","Булевар Гоце Делчев 1б/3
23576 Куманово"
"Др. Васил Симоновски","Будимпештанска 1а/8
92703 Ресен"
"Тодор Иванов","Петар Поп Арсов 1в
65537 Пехчево"
"Г-н Јован Атанасов","Востаничка 2а
31944 Куманово"
"Г-ѓа Јована Апостолова","Благој Давков 961
58024 Македонска Каменица"
"Др. Михаил Василев","Никола Русински 2а/7
88531 Гостивар"
"Проф. Оливера Арсовска","Питу Гули 4б/3
54863 Струга"
"Проф. Даниел Коцев","Аристотел 068
71063 Македонска Каменица"
"Др. Видое Николовски","Стоби 5б
66721 Кочани"
"Г-ца Цветанка Велјанова","Николај Коперник 0б/1
79592 Виница"
"Игор Василев","Рибарска 7а
44756 Штип"
"Г-ца Даница Заева","Ленинградска 5в
60302 Штип"
"Марија Митревска","Булевар Александар Македонски 6
33148 Кратово"
"Проф. Маја Георгиева","Природна 55
81842 Крива Паланка"
"Томе Јовановски","Лазар Личеноски 62
37779 Ресен"
"Др. Михаил Георгиев","Аристотел 9а
10523 Кавадарци"
"Г-ѓа Иванка Дамјановска","Софиска 3в
00979 Виница"
"Ангела Бојаџиева","Будимпештанска 7б/2
44165 Виница"
"Борче Младеновски","Самоилова 4
94399 Демир Хисар"
"Проф. Петар Ѓорѓиевски","Јован Хаџи Константинов Џинот 9а
34547 Гостивар"
"Г-н Христо Марковски","Крушевска 8
41505 Велес"
"Лазар Марковски","Булевар Гоце Делчев 7в
05597 Куманово"
"Г-ца Дарија Георгиева","Маршал Тито 8б/0
73696 Виница"
"Др. Алексеј Велјанов","Бриселска 6б
11353 Гевгелија"
"Огнен Лазаревски","Даме Груев 9а
00856 Велес"
"Др. Михаил Зафировски","Булевар Цветан Димов 115
29399 Валандово"
"Тихомир Димитриев","Луј Пастер 9б/0
92596 Битола"
"Арсен Бојаџиев","Лондонска 4в
56043 Македонска Каменица"
"Цветанка Петковска","Едвард Кардељ 48
88752 Гостивар"
"Сашо Дамјановски","Петар Поп Арсов 2
66932 Пехчево"
"Г-ѓа Ангела Јовчева","Никола Карев 0
51799 Куманово"
"Горан Крстев","Одбранбена 8а
59649 Штип"
"Проф. Цвета Цветковска","Рибарска 407
54722 Прилеп"
"Г-ца Стефанија Матевска","Илинденска 3в
53793 Крива Паланка"
"Слободан Ѓоргиев","Булевар Партизански одреди 5в
55450 Кочани"
"Др. Михаил Петровски","Дојранска 9в
65378 Гостивар"
"Др. Арсен Димовски","Питу Гули 1а/3
33842 Кратово"
"Драгана Спасовска","Волгоградска 5в
23314 Демир Хисар"
"Стефанија Дурловска","Булевар Цветан Димов 5
24908 Прилеп"
"Г-н Драган Велјанов","Булевар Блаже Конески 205
91802 Демир Капија"
"Г-н Филип Наумовски","Стоби 655
34633 Струмица"
"Јован Ѓорѓиевски","Букурешка 1в
06937 Скопје"
"Крсте Алексовски","Николај Коперник 7б/0
44071 Куманово"
"Г-н Зоран Илиев","Самоилова 79
13690 Берово"
"Симона Заева","Маршал Тито 6
69810 Пробиштип"
"Др. Момчило Ѓоргиев","Јане Сандански 5б/6
87352 Богданци"
"Тања Михајловска","Тодор Александров 175
57620 Богданци"
"Др. Марија Дурловска","Тодор Александров 3а/1
99785 Дебар"
"Елизабета Климовска","Одбранбена 3
03512 Свети Николе"
"Проф. Стефанија Гавриловска","Христијан Тодоровски Карпош 4в
31534 Струмица"
"Јасмина Трајковска","Маршал Тито 1а/4
01961 Македонски Брод"
"Г-н Петре Христов","Ленинградска 7в
92801 Крива Паланка"
"Проф. Димитар Иванов","Булевар Свети Климент Охридски 088
85126 Берово"
"Петре Јовчев","Хелсинки 5б/3
27606 Дебар"
"Г-ца Сања Ѓоргиева","Булевар Свети Климент Охридски 6а
62478 Штип"
"Др. Надица Андоновска","Перо Наков 4б
88569 Охрид"
"Г-н Стојан Илиев","Зелезничка 1а
98365 Битола"
"Цвета Димитриева","Булевар Свети Климент Охридски 2а
53852 Охрид"
"Благица Крстева","Кеј Димитар Влахов 086
36800 Македонска Каменица"
"Г-н Кузман Младеновски","Благој Давков 7а/1
67745 Тетово"
"Др. Крсте Јанев","Дојранска 4а/6
42740 Радовиш"
"Др. Томе Димитриев","Питу Гули 527
47511 Куманово"
"Проф. Марко Матевски","Одбранбена 95
20690 Делчево"
"Борче Јанев","Скупи 3а
06132 Куманово"
"Јане Шакири","Свети Климент Охридски 1а/9
91678 Струга"
"Др. Надица Илиева","Никола Карев 9а/2
08566 Битола"
"Др. Даница Иванова","Никола Вапцаров 0а/1
32414 Гостивар"
"Г-н Благој Марковски","Глигор Прличев 5б
93811 Демир Капија"
"Проф. Лука Михајловски","Лондонска 6б/9
50703 Делчево"
"Проф. Дејан Младеновски","Даме Груев 7
30254 Кочани"
"Проф. Арсен Атанасов","Едвард Кардељ 7а/2
98536 Валандово"
"Валентина Младеновска","Самоилова 6б/3
81200 Битола"
"Др. Кузман Чулев","Будимпештанска 7а
25886 Делчево"
"Проф. Доне Коцев","Ибрахим Темо 4
82105 Скопје"
"Весна Марковска","Булевар Никола Карев 6
02647 Кратово"
"Др. Наум Ѓоргиев","Јане Сандански 5б/3
93710 Охрид"
"Влатко Крстев","Васил Главинов 11
32895 Прилеп"
"Г-ѓа Лилјана Велкова","Софиска 9в
80282 Делчево"
"Др. Васка Михајловска","Варшавска 426
13894 Демир Хисар"
"Г-ѓа Милена Мојсова","Будимпештанска 7б/6
67885 Скопје"
"Благица Матевска","Букурешка 4а/2
31964 Прилеп"
"Драгана Јовчева","Дојранска 636
87848 Прилеп"
"Др. Даниел Наумовски","Булевар Гоце Делчев 38
50622 Гостивар"
"Др. Петре Трајковски","Јован Хаџи Константинов Џинот 383
55274 Кратово"
"Др. Влатко Алексовски","Дојранска 8а/2
79174 Гостивар"
"Др. Наум Арсовски","Михаило Пупин 5а/4
21367 Демир Хисар"
"Г-ѓа Снежана Коцева","Даме Груев 9б/5
97874 Кочани"
"Др. Мирјана Велкова","Кеј Македонија 330
30402 Радовиш"
"Г-ѓа Невена Марковска","Рибарска 2
17762 Дебар"
"Трајан Цветковски","Стоби 1б
57232 Валандово"
"Сара Христова","Пролетерска 3а/7
87876 Крушево"
"Доне Димовски","Скупи 59
47996 Пробиштип"
"Др. Симон Марковски","Петар Поп Арсов 0в
06731 Прилеп"
"Томе Василев","Булевар Блаже Конески 72
38815 Гевгелија"
"Др. Дамјан Дамјановски","Јане Сандански 5в
54970 Демир Капија"
"Др. Наум Лазов","Славеј Планина 9б/6
98248 Штип"
"Г-ѓа Весна Спасовска","Климент Охридски 0
15681 Свети Николе"
"Проф. Дарија Илиева","Михаило Пупин 3в
90436 Ресен"
"Г-н Димитар Велков","Булевар Свети Климент Охридски 5а/4
68148 Битола"
"Проф. Сузана Стојановска","Кирил Пејчиновиќ 0б/4
32282 Струга"
"Проф. Симона Атанасова","Пролетерска 553
58674 Македонски Брод"
"Др. Томе Марковски","Климент Охридски 1б/5
28697 Демир Хисар"
"Драган Дурловски","Одбранбена 0а/6
55502 Демир Капија"
"Дарија Петковска","Скупи 8б
11542 Неготино"
"Г-ца Марија Пановска","Шарпланинска 3а/4
98496 Куманово"
"Др. Наум Марковски","Будимпештанска 4б/2
61792 Дебар"
"Билјана Шакири","Скупи 38
10701 Крива Паланка"
"Проф. Дарија Јанева","Пролетерска 6а
71276 Битола"
"Ана Шакири","Лазар Личеноски 5в
62241 Тетово"
"Г-ца Катерина Крстеска","Кеј Македонија 337
41333 Демир Капија"
"Емил Зафировски","Партизански одреди 396
08074 Македонска Каменица"
"Г-ѓа Васка Јовчева","Варшавска 407
29856 Валандово"
"Јане Марковски","Свети Климент Охридски 8а/9
98003 Струмица"
"Соња Митревска","Крушевска 8а/3
92766 Радовиш"
"Лука Гроздановски","Климент Охридски 00
02793 Пробиштип"
"Др. Невена Ѓорѓиевска","Георги Димитров 5
16327 Велес"
"Атанас Дурловски","Булевар Александар Македонски 61
29548 Битола"
"Г-н Цветан Пановски","Самоилова 8в
47109 Берово"
"Проф. Стефан Мартиновски","Наум Охридски 0б
44258 Скопје"
"Драгана Бојаџиева","Букурешка 2а/9
04975 Делчево"
"Г-н Атанас Атанасов","Зелезничка 2а/4
45177 Гевгелија"
"Г-ца Валентина Јовчева","Лондонска 8б
10316 Кочани"
"Г-ца Василка Матевска","Булевар Гоце Делчев 9а/4
07149 Неготино"
