"Adriana Almeida","Av Leal, 59
8518-401 Funchal" 
"Lara Mota","Largo Bianca Garcia, 5
7891-979 Castelo Branco"
"Salvador de Esteves","Av Batista, 90
3127-286 Miranda do Douro"
"Gil da Gomes","Avenida Paulo Barbosa, 1
2004-903 Tondela"
"Luís Ramos","Rua Goelas de Pau, 2
7631-441 Sintra"
"Noa Lima","Praça Alves, 16
2430-964 Guimarães"
"Erika Loureiro","Alameda de Lopes, 96
3535-544 Estremoz"
"Naiara Esteves","Largo Catarina Leal, 21
1413-651 Torres Vedras"
"Núria-Alícia Barbosa","Av Barbosa, 651
7288-732 Tomar"
"Lia-Daniela Costa","Rua Tavares, 61
2962-183 Marinha Grande"
"Joel Silva","Avenida Almeida, 1
8051-939 Serpa"
"Salvador Correia-Figueiredo","Travessa de Henriques, 16
5395-144 Elvas"
"Brian Leal","Largo Gabriela Branco, 378
2236-446 Anadia"
"Luísa Soares","Rua de Freitas, 9
9787-067 Porto Santo"
"William Oliveira-Pinto","Rua da Universidade, 37
7270-629 Vila Real de Santo António"
"Renato Mota","Travessa Valente, 47
9273-222 Seia"
"Jéssica Cunha","Alameda da Vitória, 5
6144-179 Santo Tirso"
"Joel Garcia","Praça Letícia Garcia, 5
8735-716 Tarouca"
"Francisca Mota","Av de Cruz, 98
4092-633 Évora"
"Lia-Petra Costa","Alameda de Moura, 60
7579-147 Lourosa"
"Santiago Leal","Av Sá, 2
8442-091 Vila Real de Santo António"
"Victória Martins","Alameda Beatriz Nascimento, 47
6391-311 Lixa"
"Rui Cruz-Tavares","Alameda Anita Antunes, 7
5400-762 Lagoa"
"Enzo Tavares","Alameda Martins, 5
9643-433 Peniche"
"Marta de Torres","Rua Ribeiro, 90
3255-173 Lagoa"
"Guilherme de Rodrigues","Praça de Correia, 12
8974-436 Espinho"
"Bianca Martins","Largo Mahatma Gandhi, 92
4352-291 Ponte de Sor"
"Renata Ramos","Rua Inês Silva, 44
1939-009 Figueira da Foz"
"Victória Gomes","Rua de Ramos, 28
7597-798 Lixa"
"Lisandro Cruz","Avenida Fernanda de Castro, 30
8233-303 Vila Nova de Santo André"
"Petra Pinto","Praça Cardoso, 68
7619-986 Portimão"
"Rui Marques-Rocha","Avenida Rita Nunes, 53
6770-746 Sintra"
"Vítor Miranda","Alameda Nuno Henriques, 77
6920-836 Santa Comba Dão"
"Melissa Vicente-Leal","Alameda das Musas, 91
3634-312 Vila Real de Santo António"
"Filipe Neves","Rua de Henriques, 5
2337-618 Anadia"
"Jéssica Rodrigues","Travessa Cristiano Rocha, 68
9153-013 Funchal"
"William Cardoso-Amorim","Travessa do Bolhão, 76
3499-673 Montijo"
"Leandro Matias","Alameda Fonseca, 93
4057-973 Barcelos"
"Eduardo Vicente","Avenida Bruno Faria, S/N
2437-944 Pinhel"
"Lisandro Esteves","Rua Pereira, 285
1169-326 Lisboa"
"Luísa-Luna Pinho","Rua Gaspar, S/N
9254-667 Serpa"
"Erica Cardoso","Travessa das Tágides, S/N
2081-794 Amora"
"Marcos Martins","Praça Leite, 78
3343-769 Câmara de Lobos"
"Juliana do Garcia","Praça Freitas, 697
7309-817 Montijo"
"Erika do Melo","Largo de José Régio, 75
6940-526 Torres Vedras"
"Yara Lourenço-Lopes","Praça Feia, 1
9656-261 Cantanhede"
"Filipa Baptista","Rua Matos, S/N
8031-243 Santarém"
"Salvador de Gomes","Largo de Pinheiro, 443
9755-859 Vila Real de Santo António"
"Márcio Garcia","Rua de Figueiredo, 3
2350-291 Miranda do Douro"
"Lisandro Henriques","Praça de Grijó, S/N
4656-007 Loures"
"Mariana Moura","Praça Ariana Lourenço, 292
5710-436 Moura"
"Jéssica Azevedo","Avenida Luca Machado, 29
9832-098 Vila do Conde"
"Sandro Pereira","Largo Noah Moreira, 97
9049-206 Paços de Ferreira"
"Denis Mota","Av Bruno Coelho, 25
6050-049 Sabugal"
"Jorge Moreira","Travessa Samuel Oliveira, 668
3728-195 Gandra"
"Camila Santos","Travessa de Moreira, 68
7974-567 Mangualde"
"Mariana Ferreira-Castro","Av Morais, 56
4390-442 Angra do Heroísmo"
"Kévim Pacheco","Avenida de Barbosa, 63
6375-918 Entroncamento"
"Yasmin Vieira","Avenida das Linhas de Torres, 12
6156-892 Mangualde"
"Lisandro Machado","Rua Martim Marques, 354
8138-763 Peso da Régua"
"Leonardo Baptista","Alameda de Marques, 98
2158-710 Gondomar"
"Joel Vieira-Fernandes","Rua Renata Marques, 41
3560-180 Angra do Heroísmo"
"Hugo Rocha","Av Bernardo Silva, 937
3323-206 Póvoa de Santa Iria"
"Vera Baptista","Largo das Sereias, 82
5885-583 Santarém"
"Eduarda-Érica Mota","Av Catarina Garcia, S/N
2064-872 Felgueiras"
"Constança-Petra Almeida","Largo de Ramos, 9
6218-182 Estremoz"
"Wilson Figueiredo","Travessa Prof. António José Saraiva, 77
3519-766 Ponta Delgada"
"Miriam Pinho","Av Almeida, 99
7368-718 Cantanhede"
"Patrícia Monteiro","Alameda Guerreiro, 16
1458-364 Santa Comba Dão"
"Lisandro Pacheco-Freitas","Avenida Simões, 36
3174-744 Barreiro"
"Nuno de Lima","Alameda de Loureiro, 18
8336-239 Braga"
"Renata Rocha","Rua das Pedras, 31
7895-729 Marco de Canaveses"
"Iara Figueiredo","Rua Petra Carneiro, 71
3737-066 Montijo"
"Sandro Nascimento","R. Maia, 16
4256-927 Gafanha da Nazaré"
"Ema Maia-Nogueira","R. Amorim, 21
2937-235 Ponte de Sor"
"Enzo Jesus","Largo do Passeio Alegre, S/N
3318-163 Santo Tirso"
"Letícia do Machado","R. Vera Pires, 27
4523-241 Gouveia"
"Eduarda Ferreira","Travessa Costa, 9
7614-078 Loulé"
"Ivo de Pinheiro","R. de Jesus, 8
5724-977 Guimarães"
"Lisandro de Guerreiro","Rua Larissa Rocha, 388
1012-164 Tondela"
"André Ribeiro","Travessa Faria, 5
7316-772 Póvoa de Varzim"
"Marcos Amorim","Alameda de Cláudio Carneiro, 68
1680-115 Tondela"
"Gabriela-Lara Lourenço","Avenida de João do Carmo, S/N
7596-972 Peso da Régua"
"Luana Pires","Largo de Machado, 349
7224-983 Santiago do Cacém"
"Benjamim Magalhães","Praça Tomé Neves, 91
3820-438 Vila Nova de Gaia"
"Fabiana Amorim","R. Ivo Abreu, S/N
9539-039 Macedo de Cavaleiros"
"Isabela Rodrigues","Rua de Sousa, S/N
9365-689 Caniço"
"Isabela Cardoso","Alameda de Pinto, 2
1105-369 Freamunde"
"Teresa Assunção","Largo Gabriel Guerreiro, 98
9262-082 Agualva-Cacém"
"Lorena Amaral","Alameda Eduardo Valente, 5
5903-874 Pinhel"
"Daniela-Mafalda Anjos","Alameda Andrade, 657
3509-545 Esposende"
"Pedro Martins","Alameda das Oliveiras, 237
1429-751 Lagoa"
"Mateus Amorim","Av de Ramos, 64
9555-713 Barcelos"
"Santiago do Reis","Avenida de Santa Helena, 411
3636-045 Marinha Grande"
"Patrícia Miranda","Travessa Oliveira, 300
5876-443 Alcobaça"
"Andreia Henriques","Travessa Álvaro Batista, 82
7475-052 Valbom"
"Márcio Amorim","Praça do Dr. Antunes Guimarães, 38
4502-368 Mêda"
"Pedro Monteiro-Morais","Praça Jesus, 20
6317-350 Chaves"
"Joaquim Castro","Rua Ana Araújo, 519
4127-178 Cartaxo"
"Lorena Anjos","R. de Pinheiro, 273
1938-984 Póvoa de Santa Iria"
"Filipa-Teresa Silva","Largo Jesus, 93
3911-751 Bragança"
"Emília Pacheco","Alameda de Pereira, 7
7991-248 Agualva-Cacém"
"Joel Brito","Praça Rodrigues, 183
9563-370 Leiria"
"Laura Azevedo","Rua da Conceição, 51
1207-661 Miranda do Douro"
"Íris Guerreiro","Praça Magalhães, 29
2254-129 Sacavém"
"Cláudio Mendes","Largo de Nogueira, S/N
8805-747 Entroncamento"
"Alexandre de Rocha","Alameda do Arrabalde, S/N
8944-664 Alcácer do Sal"
"Guilherme da Mendes","Largo dos Pinheiros, 7
6518-579 Portalegre"
"Mateus Guerreiro","Rua de Coelho, 76
9285-316 Rebordosa"
"Lorena Batista","Largo do Parque, S/N
5929-015 Lamego"
"Ivo Sousa","Rua Nunes, 691
5269-275 Fafe"
"Filipa Pinheiro-Gaspar","Largo Melo, 1
3038-461 Paços de Ferreira"
"Mara Andrade","R. Caetana Pinheiro, S/N
2551-820 Ermesinde"
"Daniela Mota","Avenida do Monte de S. João, 732
9271-613 Abrantes"
"Mara Henriques","Largo Joana Teixeira, 89
4503-013 Rebordosa"
"Inês Loureiro","Praça do Paço, 448
8506-896 Setúbal"
"Marta Moura","Avenida Silva, 3
9892-741 Anadia"
"Alice Ribeiro-Vaz","Avenida Alexandre Anjos, 90
9927-633 Covilhã"
"Kévim Monteiro","Largo Loureiro, 7
3673-939 Sines"
"Lorena Carvalho","Alameda Nascimento, 69
1345-442 Ovar"
"Lara Antunes-Martins","Av de S. Brás, 52
8853-942 Póvoa de Santa Iria"
"Brian Macedo","Travessa Anjos, 40
7403-707 Maia"
"Luís Magalhães","R. de Pereira, 41
7279-755 Gondomar"
"Benjamim Jesus","Rua Miriam Amorim, 160
2614-182 Ourém"
"Isabela Marques","Praça da Senhora da Luz, 75
9483-843 Torres Novas"
"Vera-Carminho Leite","Largo de Ribeiro, S/N
7230-787 Costa da Caparica"
"Carolina Carvalho","Alameda Maria de Lourdes Sá Teixeira, 78
8946-140 Caniço"
"Ângelo Mendes-Nunes","Av Bryan Assunção, 899
1616-410 Gandra"
"Márcio do Figueiredo","Praça de Marques, 33
8914-165 Porto Santo"
"Lorena Coelho","Avenida Rui Anjos, 36
9371-361 Seixal"
"Petra Magalhães","Alameda Simões, 9
7619-877 Queluz"
"Andreia de Macedo","Travessa de Monteiro, 554
5738-743 Caldas da Rainha"
"Simão Santos","Av de Bonjóia, 979
6675-677 Mangualde"
"Erica-Vera Fonseca","Alameda de Pereira, 87
6634-025 Vila Nova de Famalicão"
"Laura-Luana Ramos","Rua de Nascimento, 9
4978-212 Entroncamento"
"Ema Cunha","Largo Jorge Rodrigues, 15
9252-551 Miranda do Douro"
"Anita Sá","Praça Vasco Brito, 67
8388-386 Gondomar"
"Filipe Sousa","Travessa Petra Domingues, 174
2150-487 Mealhada"
"Irina-Nicole Monteiro","Alameda Fernando Pereira, 49
3150-792 Santo Tirso"
"Lorena Correia-Garcia","Largo das Garças, S/N
3621-896 Estarreja"
"Luísa Borges","Praça do Calhau, 50
2994-429 Beja"
"Gabriel Reis-Correia","Rua Barbosa, 97
3436-212 Gouveia"
"Sofia-Irina Freitas","Av Gabriela Domingues, 6
7786-720 Paredes"
"Daniela Mendes","Praça Manuel Soares, 524
2789-731 Fundão"
"Wilson Branco","Avenida Loureiro, 196
2779-375 Porto Santo"
"Joana Fernandes","Praça Matias Ribeiro, 8
9637-205 Santiago do Cacém"
"Larissa-Inês Magalhães","Rua de Coelho, 81
3216-655 Santana"
"Cristiano Rocha","Alameda do Tronco, 89
9770-675 Gandra"
"Nuno Fonseca","Praça Moreira, 60
5401-227 Lagos"
"Lorena Guerreiro","R. Artur Pereira, 1
4994-617 Mealhada"
"João Ferreira","Travessa Cunha, S/N
7840-284 Leiria"
"Gil Barros","Largo Mota, 2
1966-162 Agualva-Cacém"
"Jorge Teixeira","Av Lara Pinto, 345
1547-794 Agualva-Cacém"
"Luís Esteves","Av de Cruz, 419
9345-292 Mirandela"
"Ismael Soares","Rua Núria Torres, 786
6293-064 Coimbra"
"Andreia Mendes","Travessa da Vitória, 99
5257-716 Cantanhede"
"Irina Amorim","Alameda Nicole Freitas, 71
4087-414 Viana do Castelo"
"Nádia Neto","Rua Oliveira, 84
1076-985 Sabugal"
"Gil Loureiro","R. Valentim Matias, 80
6967-810 Vila Real de Santo António"
"Lorena Leal-Ramos","R. de Vasco da Gama, 390
2267-823 Reguengos de Monsaraz"
"Dinis Rodrigues","R. Santos, 78
1348-988 São Salvador de Lordelo"
"Fabiana Carvalho-Reis","R. Petra Guerreiro, S/N
4144-112 Leiria"
"Gabriela Nunes-Costa","Avenida de Esteves, S/N
5895-057 Santana"
"Lara Nascimento","Largo Santos, S/N
7539-241 Ourém"
"Filipa Gonçalves","R. Garcia, 519
3336-460 Gandra"
"Pilar Almeida","Avenida de Esteves, 29
5140-951 Mêda"
"Joana da Vicente","Praça Pires, 95
1837-090 Macedo de Cavaleiros"
"Joel Loureiro","Praça Vera Barros, S/N
4308-593 Guimarães"
"Pilar Correia","Avenida de Gonçalves, 45
2403-304 Amadora"
"Lorena Pinto","Av de Paiva, 70
5505-436 Alcácer do Sal"
"Daniela Cardoso","Praça de São Pedro, 945
7148-204 Santa Cruz"
"Renata Rodrigues","Av de Garcia, S/N
7836-879 Rio Tinto"
"Patrícia Leite","R. de Araújo, 83
8842-829 Marco de Canaveses"
"Valentina-Francisca Lima","Alameda Frederico Simões, 379
6064-489 Torres Novas"
"Luca Pinheiro","Av Borges, S/N
3784-267 Rio Tinto"
"Xavier Figueiredo","Largo de Melo, 32
5294-795 Ermesinde"
"Fabiana Melo","Avenida Lopes, 25
4884-679 Amadora"
"Helena do Abreu","Praça de Alves, 54
8668-250 Santa Maria da Feira"
"Nuno Machado","Alameda Abreu, 686
8703-142 Santa Comba Dão"
"Lorena Teixeira","Av de Santo Estêvão, 64
9190-710 Oliveira do Bairro"
"Gaspar do Anjos","Travessa do Trancão, S/N
1931-894 Tomar"
"Sara Lopes-Nogueira","Rua de Belém, 67
5640-570 Figueira da Foz"
"Sofia Gaspar","Travessa Pinheiro, 10
5968-152 Funchal"
"Luna Rodrigues","Rua Rodrigues, 410
4872-965 Lagoa"
"Jorge Baptista","R. Luna Freitas, 6
5445-875 Loures"
"Edgar Assunção","Av Noa Baptista, 18
2437-451 Rio Maior"
"Ismael Almeida","Travessa de Moura, 831
2511-996 Lagos"
"Nádia Gaspar","Av Pinheiro, S/N
5776-081 Freamunde"
"José Amorim","Largo da Agra do Amial, S/N
2536-656 Funchal"
"Lorena do Barros","Largo das Fontainhas, 95
7053-071 Funchal"
"Camila Macedo","Avenida Érica Gaspar, S/N
2707-713 Seia"
"Cristiano da Maia","Avenida Arquitecto Carlos Ramos, S/N
7003-287 Tarouca"
"Maria da Campos","R. de Azevedo, 32
8009-488 Gondomar"
"Mélanie Amorim","Av Azevedo, 70
3692-486 Torres Novas"
"Guilherme de Lopes","Alameda Coronel Vítor Alves, 46
8793-804 Évora"
"Victória Monteiro-Antunes","Alameda do Leal, 42
4188-633 Vila do Conde"
"Denis Loureiro","Alameda Reis, 483
9228-681 Fafe"
"Cristiano Coelho","Rua Hugo Mota, S/N
2547-038 Valbom"
"Victória Teixeira","Praça da Ilha dos Amores, 32
2015-008 Angra do Heroísmo"
"Lorena do Miranda","Avenida Matos, 58
5035-031 Oliveira de Azeméis"
"Noah Fernandes-Melo","Largo Yasmin Paiva, 25
5257-478 Paços de Ferreira"
"Duarte Torres","Rua Iara Azevedo, 38
3294-529 Câmara de Lobos"
"Pilar Melo","Praça dos Corvos, 39
6037-904 Rebordosa"
"Kévim Simões","Av de Araújo, 24
3685-752 Ponta Delgada"
"Violeta Pires","Praça Mendes, 544
2247-541 Costa da Caparica"
"Diogo Reis","Av de Marques Marinho, 1
9018-789 Lourosa"
"Fábio Barbosa","Travessa de Teixeira, S/N
5008-658 Barreiro"
"Brian Ribeiro","Travessa Joaquim Rocha, 99
4192-498 Peniche"
"Beatriz do Gonçalves","Avenida de Teófilo Braga, 926
7875-611 Amora"
"Lorena do Miranda","Rua Bruna Moura, 16
9061-484 Beja"
"Tomás Macedo-Freitas","Av de Matos, 21
9060-443 Castelo Branco"
"Nicole Antunes","Praça de Soares, 7
8395-531 Gandra"
"Marco Lourenço","Travessa Emília Fonseca, 73
5253-160 Alverca do Ribatejo"
"Xavier Pinto","Rua de Gonçalves, 44
7764-404 Vila Real"
"Leonor Barbosa","Av Luca Vaz, 8
6424-748 Vila Real"
"Miguel de Leal","Avenida de Sobre-o-Douro, 68
6538-294 Seia"
"Kelly Rodrigues","Praça de Ferreira, 308
7429-835 Leiria"
"Ana Melo","R. Antunes, 80
5693-447 Setúbal"
"Benjamim Anjos","Alameda Gomes, 1
3959-307 Vale de Cambra"
"Lorena-Nicole Sousa","Largo Castro, 8
7221-617 Sacavém"
"Rafaela Machado","Avenida de Monteiro, 35
6515-761 Caniço"
"Francisca Martins","Largo de Freitas, S/N
8726-004 Amarante"
"Bernardo Melo","Travessa Mara Macedo, 355
9348-076 Rebordosa"
"Martim Cruz","Largo Cristiano Leal, 98
4749-640 Montemor-o-Novo"
"Matias Vaz","Avenida Marco Carneiro, 5
9091-623 Mealhada"
"Salomé Lima","Avenida do Pinzaleiro, 729
2853-404 Aveiro"
"Gabriel Matos","Largo de Paiva, 35
2188-892 Ílhavo"
"Emília de Barbosa","Praça Miguel Branco, 41
5347-305 São Mamede de Infesta"
"Filipa Pinheiro","R. de Cunha, 28
6146-548 Guimarães"
"Lourenço Batista","Praça Matilde Bensaúde, 67
5787-569 Santa Maria da Feira"
"Adriana-Isabela Guerreiro","Alameda do Monte, 28
7637-483 Seixal"
"Luna Teixeira","Largo de Nunes, 43
8850-947 Santa Comba Dão"
"Andreia Amorim-Fernandes","Av Naiara Nogueira, 91
4593-969 Quarteira"
"Rafaela-Joana Garcia","Alameda Escuro, 37
4366-305 Sines"
"Mafalda Fonseca","Praça Cláudio Vieira, 23
8086-237 Albufeira"
"Vera-Sofia Barros","Av Gaspar, 82
1114-858 Torres Novas"
"Afonso Fernandes","Praça de Maceda, 366
8571-487 Guarda"
"Xavier Pinho","Rua Amália Rodrigues, 59
2328-416 Albufeira"
"Ismael Silva","Travessa de Amorim, 10
3232-773 Valpaços"
"Lourenço Cardoso","Alameda Leonardo Fernandes, 52
6191-621 Queluz"
"Matilde Machado","Largo Matilde Pinheiro, 75
7721-411 Marco de Canaveses"
"Marcos Oliveira","Largo Sandro Neto, 23
8213-564 Fafe"
"Beatriz Baptista","Avenida de Nunes, 90
1461-705 Miranda do Douro"
"Rafaela Anjos","R. de Morais, 615
6961-091 Tomar"
"Renato Azevedo","Avenida Anjos, 54
6653-713 Alverca do Ribatejo"
"Rúben Branco","Rua de Domingues, 457
3901-898 Lisboa"
"Jaime Pinto","Av de Coelho, 822
9535-292 Espinho"
"Mara de Castro","R. de Ramos, 24
4878-138 Alcobaça"
"Anita do Rodrigues","R. César Sá, 90
2959-585 Bragança"
"Lourenço Gomes-Mota","Largo Yara Ribeiro, 7
9669-945 Marinha Grande"
"Érica Paiva","Av Carvalho, 52
5313-329 Tavira"
"Carlota Simões","Rua de Camilo, S/N
3272-755 Ílhavo"
"Vitória Sá","Rua dos Pinheiros, 61
8796-883 Torres Vedras"
"Inês Castro","Travessa Amnistia Internacional, 94
2848-094 Viseu"
"Larissa Coelho-Sá","Av Cunha, 9
2717-180 Santa Maria da Feira"
"Constança Lourenço","R. Luísa Oliveira, S/N
3882-937 Sacavém"
"Rafaela Gomes-Freitas","Largo do Codeçal, S/N
6258-248 Agualva-Cacém"
"Mário Figueiredo","Largo Borges, 21
3641-420 Fiães"
"Miguel Mendes-Figueiredo","Av Carvalho, 80
7107-177 Póvoa de Varzim"
"Lourenço Matos","Av da Cruz, S/N
9895-579 Sintra"
"Nádia Teixeira","Avenida Azevedo, S/N
2389-494 Santana"
"Kelly Carvalho","Avenida Campos, 88
5667-449 Odivelas"
"William Antunes","R. dos Combatentes da Grande Guerra, 57
4748-668 Loulé"
"Erika Santos","Av Torres, 3
9950-536 Seia"
"António Soares","Av Letícia Assunção, S/N
1012-913 Estarreja"
"Catarina Neto","Praça Faria, 17
2259-095 Ponta Delgada"
"Sandro Fonseca","Rua Miriam Tavares, 25
6794-143 Montijo"
"Dinis Lima","Travessa de Marques, 691
3845-708 Cartaxo"
"Íris Freitas","Avenida de Sá, 4
3216-785 Coimbra"
"Lourenço Monteiro","Largo Amaral, S/N
9291-282 Fátima"
"Enzo do Teixeira","Travessa de Leal, 3
5457-059 Santa Cruz"
"Sérgio Marques","Travessa de Leal, 88
4464-261 Estremoz"
"Rafaela Batista","Travessa Jorge Tavares, 96
6326-657 Lagoa"
"Diana Nunes","Alameda da Boavista, 9
6416-822 Amadora"
"Carolina Figueiredo","R. Rocha, 13
5916-153 Valpaços"
"João Vieira","Avenida do Monte, 52
8488-474 Mirandela"
"Flor Ferreira","Rua de Valente, S/N
8276-287 Vila Nova de Foz Côa"
"Joel Mendes","Alameda Simão Mota, 301
9025-778 Olhão"
"Luna Fonseca","Rua Lorena Fonseca, 901
1850-566 Porto Santo"
"Lourenço Silva-Rodrigues","R. de Vieira, 59
5576-736 Torres Vedras"
"Nelson Matias","Largo de Azevedo, 79
4059-184 Silves"
"Mauro Branco","Travessa Benedita Neves, 282
5126-104 Estremoz"
"Teresa do Macedo","Praça Benedita Loureiro, S/N
7890-568 Fiães"
"Luna Miranda","Avenida Nascimento, 53
4279-342 Estarreja"
"Gaspar Macedo","Avenida Matias, 416
5909-378 Caniço"
"Victória Loureiro","Praça Figueiredo, 92
1316-196 Mangualde"
"Débora da Miranda","Avenida de Guerreiro, 618
3783-618 Amora"
"Eva Mota-Teixeira","Travessa Oliveira, S/N
1284-465 Portalegre"
"Joana Gaspar","Largo de Mota, 97
3449-162 Évora"
"Lourenço Vicente","Praça de D. João II, 66
3965-518 Ovar"
"Daniela Fonseca","Largo de Domingues, 43
3163-568 Amadora"
"Lisandro Antunes-Esteves","Rua Eva Miranda, 47
2658-550 Fátima"
"Catarina Vaz","R. Luciana Teixeira, S/N
8517-025 Serpa"
"Frederico Vicente","R. Bárbara Ribeiro, S/N
5988-909 Paços de Ferreira"
"Nelson Cruz","R. Moreira, 6
5177-214 Porto"
"Joaquim Alves-Figueiredo","R. Torres, 47
4384-334 Maia"
"Vasco Amorim","Largo Lara Morais, S/N
5524-914 São Mamede de Infesta"
"Eduardo Rodrigues","Avenida Tomás Carvalho, 55
2373-852 Mangualde"
"Helena Pinho","Rua Tavares, 5
4496-821 Almada"
"Luana Batista-Costa","Praça de Andrade, S/N
4728-906 Paredes"
"Caetana Matos","Praça Cunha, 419
3423-578 Horta"
"Tomás Santos-Nascimento","Largo Eduarda Rodrigues, 641
3914-285 Marco de Canaveses"
"Letícia-Iara Amaral","Alameda Pedro Neto, 42
8731-849 Horta"
"Mauro Baptista","Rua de Sousa, 34
9928-124 Esmoriz"
"Caetana-Carolina Cruz","Largo de Azevedo, S/N
2826-586 Fátima"
"Edgar Reis","Avenida do Pinzaleiro, 50
6023-545 Felgueiras"
"Cristiano da Leite","Av Brito, 611
2780-490 Leiria"
"Lorena Morais","R. Freitas, 728
5576-935 Olhão"
"Luana Faria-Almeida","Av de Públia Hortênsia, S/N
3716-893 Marinha Grande"
"Luana Faria","R. de Sidónio Pais, 37
4968-963 Póvoa de Varzim"
"Rafaela Amaral","Praça Júlia Nascimento, 7
7864-160 Ovar"
"Lorena Branco","Avenida Vera Leite, 3
6787-943 Leiria"
"Carolina Teixeira-Machado","Avenida Enzo Tavares, 15
6646-990 Lisboa"
"Mariana Teixeira","Travessa Luna Soares, 44
3148-285 Ponta Delgada"
"Petra Coelho","Rua Rodrigo Lima, 9
6038-311 Odivelas"
"Érica Vicente-Leite","Alameda Manuel Pinto de Azevedo Júnior, 565
4802-206 Fiães"
"Ricardo Barros","Alameda do Tijolo, 17
3692-401 Gafanha da Nazaré"
"Emma de Pires","Avenida de Camilo, 93
2987-793 Barreiro"
"Diego Leal","Avenida Ismael Figueiredo, S/N
5077-183 Portalegre"
"Luana Gonçalves","Praça Artur Batista, 272
5798-033 Beja"
"Teresa Ferreira","Rua de Fernandes, 67
7547-709 Fátima"
"Luna Baptista","R. Matos, 9
7410-301 Gondomar"
"Sebastião Lopes","Largo Filipa Brito, 61
8658-664 Quarteira"
"Victória Nunes-Reis","Alameda da Ilha do Ferro, 4
1538-128 Torres Vedras"
"Raquel Ferreira","Travessa Mota, 92
8411-171 Cartaxo"
"Íris Domingues","Avenida de Ribeiro, 71
8602-098 Fiães"
"Isabela Figueiredo","Av Gonçalves, 99
1666-147 Penafiel"
"Nádia de Tavares","Avenida Tristão da Silva, 55
9800-192 Praia da Vitória"
"Yasmin da Moreira","Av Matilde Cunha, 11
6478-280 Pombal"
"Luana Moreira","R. Nascimento, 9
2161-833 Sabugal"
"Joana Pinto","Av Cunha, 7
5547-660 Fiães"
"Adriana Costa","Largo José Reis, 3
6110-899 Faro"
"Raquel Coelho","Travessa Jaime Vaz, 642
5282-428 Gandra"
"Ariana Figueiredo","Alameda do Conde de Óbidos, 96
5604-478 Vila do Conde"
"Iara Vieira","Travessa de Amaral, 99
2881-658 São João da Madeira"
"Nicole de Sá","R. do Arboreto, 21
9256-259 Cantanhede"
"Marcos Maia","Praça Iara Domingues, S/N
4950-770 Ourém"
"Brian Cruz","R. de Ribeiro, 74
5605-365 Castelo Branco"
"Duarte Vaz","Avenida Faria, S/N
3308-104 Mealhada"
"Luana Pinho","Av de Baixo da Penha, S/N
3274-994 Maia"
"Marcos Costa","Avenida Machado, 19
5230-112 Figueira da Foz"
"Violeta Araújo","Praça Areeiro, 97
6159-368 Montijo"
"Frederico Antunes","Praça Caetana Gaspar, 3
6614-432 Tondela"
"Emma Ramos","Av Isabela Nascimento, 8
5990-195 Vendas Novas"
"Beatriz Monteiro","Rua de Pinto, 687
6535-893 Ribeira Grande"
"Luca Lopes-Santos","Rua Amaral, S/N
4713-372 Câmara de Lobos"
"Nádia Ferreira","Praça Rafael Carneiro, 25
9416-263 Elvas"
"José Domingues","Largo da Arrábida, 315
8491-201 Amadora"
"Melissa Soares","Av Sousa, S/N
5839-245 Matosinhos"
"Luana Pinto","Travessa Alice Matos, 55
1920-692 Vila Franca de Xira"
"Yasmin Loureiro","Alameda Mélanie Loureiro, 45
4650-491 Fiães"
"Brian Faria","Alameda Torres, S/N
9504-061 Caniço"
"Enzo Brito","Rua de Santa Helena, S/N
7270-617 Silves"
"Diana-Victória Silva","Av Fernandes, 6
4827-607 Oliveira do Bairro"
"Márcio Cardoso","R. Carneiro, 7
5228-604 Abrantes"
"Laura-Gabriela Ramos","Rua de Nascimento, S/N
9031-971 Macedo de Cavaleiros"
"Raquel de Lourenço","Praça do Molhe, 3
7239-074 Loures"
"Renato Torres","R. Pires, 6
3792-171 Anadia"
"Xavier Teixeira","Avenida da Torrinha, 464
2161-838 Tondela"
"Luana Ribeiro","Alameda Alexandre Mendes, 32
1282-491 Figueira da Foz"
"André Leite","Alameda do Roleto, 76
1488-050 Póvoa de Varzim"
"Nádia Leite-Alves","Alameda Neto, S/N
6604-109 Santa Comba Dão"
"Ivan Araújo","Alameda das Comunidades Portuguesas, S/N
5790-808 Amora"
"Constança Magalhães","Praça Assunção, 77
2476-497 Montijo"
"Cristiano Matias","Av Cunha, S/N
9507-627 Angra do Heroísmo"
"Núria Esteves-Pinheiro","Rua Anita Pinto, 73
9505-592 Setúbal"
"Artur Magalhães","Av Abreu, 49
8552-863 Vila Real de Santo António"
"Leandro Carneiro","Rua de Miranda, 36
4206-490 Porto"
"Pilar Cardoso","Rua de Paiva, 4
3322-752 Fátima"
"Luana Rocha-Pacheco","Travessa Mendes, S/N
1332-694 Vila Nova de Gaia"
"Helena Monteiro","Avenida Castro, 423
2993-966 Loures"
"Carminho Nogueira","Praça Campos, S/N
9714-971 Guimarães"
"Lisandro Monteiro","Praça Matias Costa, S/N
7291-158 Almada"
"Lia Vieira-Araújo","Av de Cunha, 92
1556-935 Ponta Delgada"
"Kevin Neves","Alameda Nair Miranda, 5
3734-047 Leiria"
"Filipe da Rocha","Avenida do Leal, 91
4753-195 Aveiro"
"Kelly-Rafaela Coelho","Largo de Azevedo, S/N
3545-927 Macedo de Cavaleiros"
