"Adam Bezák"	"Chorvátska 35
033 81 Oľšinkov" 
"Vasil Rišo"	"Pod agátmi 5
049 05 Stará Huta"
"Matej Beňuška"	"Kubačova 266
002 38 Borčice"
"Gustáv Dula"	"Rízlingová 9
816 28 Ladmovce"
"Veronika Rúfusová"	"Karadžičova 3
001 07 Ružindol"
"Miloslav Bednár"	"Tomášikova 845
995 29 Komárov"
"Silvester Kocur"	"Pečnianska 171
046 06 Horné Zahorany"
"Bohuš Mraz"	"Šancová 87
005 72 Liptovská Štiavnica"
"Vladimír Dancák"	"Nerudova 715
903 99 Krušetnica"
"Albína Juríková"	"Vlárska 334
077 98 Ivančiná"
"Oldrich Pavlov"	"Pri kríži 5
001 68 Rokytov"
"Michaela Mináčová"	"Kollárovo námestie 7
898 65 Tvrdomestice"
"Levoslav Pallo"	"Pri Starom háji 206
896 68 Muľa"
"Terézia Michalechová"	"Hany Meličkovej 87
981 87 Chocholná - Velčice"
"Alexej Duska"	"Goláňova 93
088 67 Orlov"
"Miloslav Forgáč"	"BzovIcka 6
973 46 Čierna Voda"
"Ladislava Knihová"	"Hany Meličkovej 882
062 29 Vtáčkovce"
"Martina Tomášiková"	"Stachanovská 4
060 57 Výčapy - Opatovce"
"Valentína Zachariášová"	"Podháj 8
991 13 Horný Lieskov"
"Alana Cigánová"	"Pri strelnici 787
826 38 Horný Vadičov"
"Ružena Králová"	"Podhorská 7
840 28 Želiezovce"
"Jaroslav Húska"	"Včelárska 3
998 12 Vyšný Hrabovec"
"Drahoslav Richtár"	"Devínska cesta - kam 34
839 68 Mojzesovo"
"Nathan Mináč"	"Žilinská 16
941 60 Čakanovce"
"Bruno Lacka"	"Tomášikova 5
991 54 Ľudovítová"
"Miloslav Rišo"	"Smrečianska 7
033 63 Banská Štiavnica"
"Alexia Drotárová"	"Tomášikova 28
001 48 Gemerský Sad"
"Pavol Labuda"	"Malinová 39
980 12 Číčov"
"Benjamín Straka"	"Vresová 808
002 91 Poriadie"
"Samuel Nôta"	"Bojnická 39
815 50 Rudník"
"Atila Masaryk"	"Vietnamská 7
869 99 Mikulášová"
"Miroslava Jurášová"	"Ľanová 7
856 63 Košariská"
"Šimon Dej"	"Geologická 25
866 17 Hliník nad Hronom"
"Ľudmila Tomková"	"Bajkalská 516
016 95 Kapušianske Kľačany"
"Margita Halušková"	"Smikova 85
063 42 Meliata"
"Miloslava Dušeková"	"Sartorisova 926
813 76 Suché"
"Lukáš Dočolomanský"	"Dunajská 66
811 09 Čerín"
"Ludolf Borík"	"Júlová 30
859 98 Turčianske Kľačany"
"Albín Hanek"	"Svoradova 34
950 90 Iža"
"Milada Valachová"	"Starhradská 18
065 90 Štefanovce"
"Dobromila Melicharová"	"Orenburská 93
941 42 Žitná - Radiša"
"Fedor Mistrík"	"Brančská 811
893 49 Nový Tekov"
"Maximilián Paulovič"	"Šalviová 783
006 40 Nemecká"
"Alexander Ryš"	"Búdkova cesta 331
906 63 Čierna Lehota"
"Libor Kuša"	"Stará vinárska 5
804 89 Širákov"
"Miloslava Ficová"	"Na kaštieli 8
909 37 Konská"
"Beáta Kúsová"	"Závodná 3
988 48 Vrícko"
"Ľudovít Macho"	"Nobelova 2
088 99 Lipovník"
"Ivan Ondrejko"	"Ormisova 1
824 73 Svrčinovec"
"Veronika Markovičová"	"Budovateľská 105
894 83 Čierny Balog"
"Vladimír Fraňa"	"Koprivnická 62
070 04 Moldava nad Bodvou"
"Ariel Borka"	"Uhrova 2
853 47 Vysoká"
"Ferdinand Polák"	"Pražská 22
086 12 Čakany"
"Dorota Turčoková"	"Cesta na Červený most 483
883 25 Bučany"
"Augustín Maco"	"Sartorisova 68
809 56 Čeľadice"
"Miloslava Karulová"	"Podkolibská 10
085 89 Brusnica"
"Tadeáš Bezák"	"Pankúchova 563
912 27 Kunerad"
"Anežka Rybníčeková"	"Soferove schody 73
083 39 Porúbka"
"Olympia Kráľovičová"	"Cikkerova 2
056 00 Nižná Slaná"
"Radovana Máčiková"	"Čapkova 597
044 97 Sopkovce"
"Ondrej Kubička"	"Plánky 7
960 59 Horný Bar"
"Bronislava Kunová"	"Šancová 44
832 38 Hnojné"
"Tadeáš Junas"	"Siedma 516
029 18 Nová Ves nad Žitavou"
"Jana Valušková"	"Ďurgalova 7
824 13 Bystričany"
"Olívia Lojková"	"Čalovská 83
051 98 Sása"
"Miloslava Martinovičová"	"Gallova 592
072 15 Mirkovce"
"Tichomír Klapko"	"Morava 878
813 45 Maškovce"
"Etela Zimová"	"Baštová 2
905 85 Jankovce"
"Adela Dubovská"	"Pri Suchom mlyne 1
011 86 Bodružal"
"Marián Janka"	"Kremencová 5
948 77 Kostolec"
"Róbert Škriniar"	"Slavín 774
047 98 Lesíček"
"Ela Štrbová"	"Alejová 6
864 65 Mládzovo"
"Henrich Pavlikovský"	"Senická 92
867 87 Iža"
"Lolita Cibulová"	"Riazanská 92
804 82 Maršová - Rašov"
"Angela Krúpová"	"Hanácka 304
037 87 Nevoľné"
"Miloslava Martinovičová"	"Jurovského 1
030 42 Selec"
"Jarolím Zubek"	"Rádiová 805
865 11 Petrovce nad Laborcom"
"Eulália Daňková"	"Rusovce 50
862 85 Slovenská Ľupča"
"Ambróz Ondrušek"	"Samova 56
825 66 Banský Studenec"
"Alex Gál"	"Leknová 626
061 91 Poľný Kesov"
"Dana Kerová"	"Lediny 70
910 06 Parihuzovce"
"Oxana Pauliková"	"Františka Schmuckera 54
890 21 Čalovec"
"Bibiána Hlaváčová"	"Úvozná 396
090 53 Drietoma"
"Alan Kočiš"	"Krivá 2
846 99 Čerín"
"Alexander Hučko"	"Kláštorská 11
870 99 Vrútky"
"Miloslava Ondrušková"	"Úvozná 89
876 98 Krná"
"Alana Lukáčová"	"Bullova 2
891 86 Turany nad Ondavou"
"Karol Jurčina"	"Boragová 423
977 36 Jasenov"
"Eugen Jánoš"	"Dražická 55
054 37 Drienica"
"Alžbeta Gavalierová"	"Oskorušová 20
005 85 Hažín"
"Vít Cesnak"	"Michalská 502
807 44 Rudlov"
"Lesana Jurčová"	"Struková 3
957 13 Kosihy nad Ipľom"
"Blažena Nižnanská"	"Komárnická 1
923 22 Seňa"
"Monika Kližanová"	"Drotárska cesta 39
982 09 Kalinkovo"
"Beňadik Ondrejkovič"	"Jasovská 9
816 47 Vojnatina"
"Miloslava Ondrášová"	"Trnavská cesta 663
831 41 Galanta"
"Alexandra Danková"	"Studená 50
908 98 Kovarce"
"Július Ondruš"	"Blatnická 935
819 89 Holice"
"Erika Roháčeková"	"Azovská 1
979 07 Koválovec"
"Petronela Bôriková"	"Koprivnická 149
944 35 Rožňava"
"Monika Húšeková"	"Kôstková 178
843 19 Kolačno"
"Estera Jurášová"	"Jungmannova 37
068 61 Kostolište"
"Radovan Baňo"	"Krížna 165
037 70 Kraľovany"
"Alica Kusová"	"Líščie nivy 1
063 17 Spišská Teplica"
"Eva Roháčeková"	"Račianska 2
079 33 Blatné Remety"
"Miloslava Šimíková"	"Inovecká 84
868 18 Vyšná Hutka"
"Anton Devečka DiS."	"Hollého 652
891 50 Dunajská Lužná"
"Dobromila Lajčiaková"	"Irisová 1
911 14 Baškovce"
"Blažej Duska"	"Tranovského 592
850 08 Malé Lednice"
"Ľubomíra Hanáková"	"Rozmarínová 31
826 27 Studienka"
"Elvíra Tatárová"	"Lediny 720
929 88 Roškovce"
"Jarmila Vicenová"	"Rastlinná 49
083 58 Dolná Lehota"
"Miloslava Porubjaková"	"Stredná 61
900 42 Podvysoká"
"Pankrác Drajna"	"Plachého 95
992 67 Trnavá Hora"
"Slavomír Rubík"	"Šulekova 40
859 83 Horné Dubové"
"Milota Martinková"	"Farebná 299
000 81 Hrochoť"
"Tatiana Kližanová"	"Dubová 746
015 31 Dolné Zelenice"
"Atila Hrdlička"	"Bosákova 90
061 09 Jabloň"
"Gabriela Borisová"	"Františka Schmuckera 128
864 87 Belince"
"Vasil Blažej"	"Štefana Králika 192
844 15 Dobrá Voda"
"Adela Hupková"	"Lachova 77
831 16 Zbojné"
"pán Libor Ďorko DSc."	"Ivana Blazeviča 39
973 93 Raslavice"
"Berta Martáňová"	"Uhrovecká 8
089 00 Ratnovce"
"Denisa Solejová"	"Pavla Horova 84
957 37 Prenčov"
"MVDr. Félix Krajčovič"	"Tajovského 6
841 85 Pribylina"
"Miloš Hanák"	"Devínska cesta - kam 29
067 66 Vojany"
"Tibor Pavlov"	"Ľubľanská 3
828 66 Rakytník"
"Bronislava Vasková"	"Škarniclova 63
968 93 Olšovany"
"Augustín Cesnak"	"Jačmenná 1
942 03 Krajné"
"Božena Hanková"	"Jastrabia 77
054 69 Kláštor pod Znievom"
"Radovan Krajíček"	"Klobučnícka 521
882 19 Habura"
"Kvetoslava Pelikánová"	"Zrinského 57
836 92 Mostová"
"Ludolf Huska"	"Metodova 30
993 52 Okres Košice II"
"Radoslav Hliník"	"Staroturský chodník 30
978 03 Fričkovce"
"Servác Krajčo"	"Kadnárova 158
868 10 Poruba"
"Miloš Rak"	"Lombardiniho 741
071 71 Lieskovec"
"Antónia Kurucová"	"Belinského 4
808 44 Slanská Huta"
"Leopolda Mrázková"	"Ulica Juraja Hronca 5
962 22 Dúbrava"
"Róbert Junas"	"Javorinská 3
948 03 Košická Belá"
"Xénia Poláková"	"Baničova 783
821 20 Ondavské Matiašovce"
"Gizela Boríková"	"Trajánova 3
066 65 Želmanovce"
"Valéria Mrázková"	"Gašparíkova 1
841 86 Moča"
"Eugen Novota"	"Rácova 3
857 25 Hrabičov"
"Ľubomír Gažo"	"Koziarka 609
087 58 Gemerský Jablonec"
"Jakub Ďurovský"	"Maková 163
897 32 Kolárovo"
"Miriama Dorková"	"Landauova 27
839 35 Slovenská Volová"
"Bohuslav Král"	"Uhrova 4
072 88 Krásna Lúka"
"Gertrúda Michálechová"	"Gallayova 53
968 38 Gemerský Jablonec"
"Bibiána Achbergerová"	"Podtatranského 3
056 36 Uzovský Šalgov"
"Timea Mrazeková"	"Sumbalova 371
863 16 Bánovce nad Bebravou"
"Irma Strnisková"	"Americké námestie 132
918 63 Radvaň nad Dunajom"
"Karolína Porubjaková"	"Kadnárova 8
853 94 Muľa"
"Elena Rybníčeková"	"Krížna 902
082 48 Olšovany"
"Adrián Klimo"	"Socháňova 403
804 75 Drábsko"
"Alexia Križanová"	"Olbrachtova 52
918 97 Tlmače"
"Miriama Filipová"	"Toplianska 36
093 95 Svidnička"
"Liana Dušeková"	"Mesačná 818
973 52 Dvorianky"
"Július Ihnačák"	"Pod Bôrikom 24
931 97 Vištuk"
"Ignác Lukáč"	"Bajkalská 39
979 17 Obyce"
"Svätopluk Kostrec"	"Romanova 12
846 89 Slavnica"
"Jolana Litvová"	"Kôstková 7
978 30 Havka"
"Aiko Hušťáková"	"Panenská 668
866 45 Prochot"
"Dagmara Adamová"	"Bodvianska 742
994 91 Studenec"
"Žigmund Bórik"	"Vrútocká 625
820 85 Brezovička"
"Saskia Lukšová"	"Baničova 27
927 39 Lipovec"
"Miriama Michálechová"	"Špitálska 34
051 15 Zlatno"
"Adela Fabušová"	"Inovecká 37
832 02 Veľopolie"
"MUDr. Slavomíra Nitrová"	"Slovinec 95
826 99 Gregorova Vieska"
"Arnold Bilka"	"Pri strelnici 6
853 71 Egreš"
"Dobromila Haláková CSc."	"Ladislava Dérera 3
859 23 Nemecká"
"Juraj Beňo"	"Koreňová 5
928 59 Bajč"
"Romana Kusková Th.D."	"Nitrianska 742
957 47 Forbasy"
"Malvína Plchová"	"Vŕbová 20
008 99 Revúca"
"Blažena Mišíková"	"Podniková 13
881 06 Tekovské Nemce"
"Zina Melicháreková"	"Varínska 7
877 96 Krížová Ves"
"Miriama Tomaňová"	"Nábělkova 1
081 46 Trenčín"
"Kornel Dubnička"	"Humenské námestie 955
893 51 Jakubova Voľa"
"Danica Urblíková"	"Vrútocká 696
822 08 Hrabské"
"Petronela Malinová"	"Filiálne nádražie 45
993 11 Háj"
"Viktor Žigo"	"Krivá 56
076 55 Svätý Peter"
"Sláva Dávidová"	"Na hriadkach 637
034 92 Štítnik"
"Barbara Mikulíková"	"Žiacka 742
842 44 Vyšná Pisaná"
"Svätopluk Rosa"	"Vysokohorská 304
981 44 Trenčianske Stankovce"
"Svetozár Romančík"	"Blatúchová 63
816 11 Breziny"
"Štefánia Janošeková"	"Stará vinárska 8
831 35 Jelšava"
"Miroslav Droppa"	"Komárnická 675
859 82 Liptovský Hrádok"
"Melichar Váska"	"Zámocká 19
934 77 Mičakovce"
"Bartolomej Kunka"	"Vlastenecké námestie 3
040 75 Oborín"
"Iľja Harvánek"	"Predstaničné námesti 860
887 32 Dobroslava"
"Ľuboslava Sámeľová"	"Gemerská 18
969 27 Priechod"
"Vojtech Dusík DiS."	"Krasovského 8
093 23 Soboš"
"Mgr. Bohdan Jurkovič"	"Vajnorská 883
066 51 Krásnovce"
"Marián Laca"	"Vŕbová 4
873 66 Pozdišovce"
"Júlia Ondrášová"	"Mudroňova 5
996 62 Poriadie"
"Vendelín Gašparovič"	"Pri Starom háji 176
076 82 Lipovec"
"Miroslav Hanko"	"Kuzmányho 790
914 81 Vyšné nad Hronom"
"Petra Melicherová"	"Longobardská 377
954 36 Piešťany"
"Štefánia Kočišová"	"Ilkovičova 4
814 15 Snežnica"
"Rastislav Kyseľa"	"Horárska 92
805 99 Banský Studenec"
"Matej Šimík"	"Karpatská 970
952 72 Bacúch"
"Martina Devečková"	"Belianska 955
058 49 Kladzany"
"Marta Dancáková"	"Marótyho 56
888 69 Šiba"
"Sergej Klimo"	"Vajnorská 8
044 37 Chocholná - Velčice"
"Lesana Šimová"	"Rajtákova 21
015 31 Liptovský Michal"
"Valentín Tomko"	"Soferove schody 44
816 96 Horňa"
"Miroslav Haščák"	"Požiarnická 4
079 22 Humenné"
"Michaela Kušková"	"Dostojevského rad 13
066 50 Mostová"
"Simona Klapková"	"Rubínová 402
063 59 Ľubovec"
"Prokop Slivka"	"Panónska cesta 3
984 00 Horná Mariková"
"Marína Bukovská"	"Pilárikova 259
867 19 Ubľa"
"Drahoslav Novotný"	"Pri dvore 9
972 22 Hrnčiarska Ves"
"Alexander Lajčák"	"Klimkovičova 2
917 97 Zlatá Idka"
"Jolana Cibulová"	"Blyskáčová 53
049 38 Ostrov"
"Mikuláš Rybár"	"Pekná cesta 234
872 79 Pusté Čemerné"
"Romana Melicheríková"	"Francúzskych partizá 1
000 43 Sása"
"Miroslav Janoška"	"Povraznícka 22
962 05 Dekýš"
"Barbara Mišíková"	"Varšavská 30
838 82 Rudno"
"Dionýz Bilka"	"Súťažná 7
915 85 Ďurďošík"
"Margaréta Ftoreková"	"Záhrady 9
939 69 Trpín"
"Klement Dora"	"Prešovská 98
085 74 Ždiar"
"Uršuľa Fašiangová"	"Sosnová 268
939 34 Šiatorská Bukovinka"
"Eugen Hagara"	"Rácova 4
837 41 Priechod"
"Agáta Skokanová"	"Košická 74
034 88 Ohradzany"
"Eugénia Machatová"	"Zvolenská 9
892 68 Fačkov"
"Matej Fraňa"	"Jesenná 24
858 61 Rudník"
"Miroslav Kučera"	"Učiteľská 932
072 08 Mýtne Ludany"
"Jolana Hubová"	"Teslova 6
058 01 Miloslavov"
"Lesia Bukovská"	"Révová 44
096 18 Kalinov"
"Klaudia Janošková"	"Medová 7
807 07 Hrkovce"
"Diana Bilková"	"Bodliaková 67
996 27 Kráľová pri Senci"
"Vlastimil Štefanko"	"Sudová 3
848 28 Barca"
"Jakub Paška"	"Anenská 3
889 30 Malé Hoste"
"Barbara Kerová"	"Jegeneš 91
897 94 Varhaňovce"
"Branislav Rusňák"	"Saratovská 961
809 49 Nižné Ružbachy"
"Eugen Ryška"	"Vajnorská 84
912 02 Matysová"
"Miroslav Lacko"	"Hviezdna 331
056 32 Kašov"
"Frederika Hečková"	"Jantárová 772
038 88 Lúky"
"Hubert Kubko"	"Broskyňová 75
946 18 Čučma"
"Magdaléna Nižnanská"	"Bodrocká 1
910 04 Kysucké Nové Mesto"
"Lucia Kotuličová"	"Irisová 684
898 39 Herľany"
"Jana Kotuličová"	"Svätovojtešská 8
937 41 Ochtiná"
"Dalibor Mrázka"	"Jurkovičova 272
940 00 Lada"
"Alan Jakúbek"	"Lazaretská 498
035 57 Šípkov"
"Vlasta Vojtková"	"Na pažiti 96
969 34 Prenčov"
"Božena Cesnaková"	"Čučoriedková 357
976 76 Klenová"
"Miroslav Lisický"	"Mariánska 416
002 86 Dolný Kalník"
"Bronislava Labudová"	"Plynárenská 4
852 49 Sekule"
"Olívia Dutková"	"Čárskeho 604
917 58 Nenince"
"Margita Šlivková"	"Semenárska 927
018 27 Perín - Chym"
"Oldrich Lipták"	"M. Hella 56
067 68 Nitrianska Blatnica"
"Vlasta Holičová"	"Pastierska 2
943 43 Bašovce"
"Vratko Kaliňák"	"Boragová 8
967 05 Pečovská Nová Ves"
"Samuel Zachar"	"Parenicová 56
821 93 Moravské Lieskové"
"Erik Ryš"	"Na Holom vrchu 215
890 05 Pataš"
"Leopolda Zúbeková"	"Popradská 2
994 05 Sielnica"
"Miroslav Valušek"	"Pekná cesta 85
998 08 Sucháň"
"Antónia Motyková"	"Šaldova 338
835 70 Nitrianska Streda"
"Dobroslava Krásnohorská"	"Dudvážska 6
922 51 Marianka"
"Berta Bartovičová"	"Ivánska cesta 597
895 20 Žehňa"
"Radoslava Kúsková"	"Pekná cesta 42
055 03 Fiľakovo"
"Ladislav Ďurovič"	"Spišská 861
045 34 Rimavské Janovce"
"Radúz Medvecký"	"Okružná 325
900 13 Polianka"
"Bronislava Bobulová"	"Prievozská 588
084 05 Veľký Šariš"
"Rastislav Lipko"	"Trinásta 229
815 32 Matiaška"
"Zlatko Borovský"	"Jazmínová 607
094 48 Dubnica nad Váhom"
"Miroslava Hilmerová"	"Pasienková 69
881 08 Priechod"
"Beňadik Ťažký"	"Hlbinná 8
026 61 Veterná Poruba"
"Eliška Dzurjaninová"	"Bystrého 654
920 40 Medzibrodie nad Oravou"
"Svätopluk Kôstka"	"Klobučnícka 27
070 31 Cerovo"
"Klaudia Pavúková"	"Vápenka 8
037 98 Madunice"
"Liliana Nôtová"	"Pri zvonici 84
923 25 Udavské"
"Blahoslav Marcinek"	"Strelkova 14
952 25 Vtáčkovce"
"Radovana Drajnová"	"Kvetná 51
820 36 Mikušovce"
"Nadežda Paluchová"	"Hurbanovo námestie 73
894 88 Malý Kamenec"
"Božena Krajčíová"	"Bellova 5
852 58 Bodza"
"Miroslava Mauréryová"	"Nová Bellova 5
073 71 Letanovce"
"René Tomaň"	"Kvačalova 28
804 43 Abrahámovce"
"Koloman Valíček"	"Bardejovská 7
811 91 Harakovce"
"Alexandra Klimeková"	"Macharova 55
072 09 Gelnica"
"Drahoslava Nižnanská"	"Kaméliová 81
002 13 Važec"
"Júlia Medvecká"	"M. Hella 2
937 08 Veľká Paka"
"Ela Plavecová"	"Čiližská 44
911 96 Lúčka"
"Svätopluk Mikulák"	"Vysokohorská 710
085 83 Holíč"
"Boris Hanak"	"Povraznícka 64
928 38 Krišovská Liesková"
"Miloslava Bobulová"	"Ľanová 2
999 39 Vyšný Kručov"
"Miroslava Mrazeková"	"Koreňová 27
011 06 Petrovce"
"Patrik Korčák"	"Bratislavská 21
872 50 Uňatín"
"Tobiáš Nálepka"	"Šaštínska 4
083 79 Pavľany"
"Adam Ihnačák"	"Bystrická 1
940 68 Uhrovské Podhradie"
"Radovana Kôstková"	"Čremchová 739
095 32 Ďurkovce"
"Karla Palúchová"	"Nad lomom 999
928 48 Ľubiša"
"Renáta Maková"	"Primaciálne námestie 102
876 08 Súdovce"
"Terézia Timková"	"Moyzesova 9
981 01 Jalšové"
"Lukáš Martin"	"Somolického 397
850 06 Chrťany"
"Boris Lojko"	"Vážska 6
060 70 Hrčeľ"
"Miroslava Šlivková"	"Bajkalská 349
807 91 Ďurčiná"
"Marta Kopová"	"Pilárikova 13
982 06 Mirkovce"
"Enna Hrianková"	"Švantnerova 88
860 91 Veľký Meder"
"Darina Líšková"	"Kaplinská 3
843 90 Ohrady"
"Monika Hladká Ph.D."	"Likavská 657
912 95 Šrobárová"
"Brigita Michalíková"	"Nové záhrady VII 90
046 79 Pobedim"
"Ivan Boriš"	"Viedenská cesta 3
015 28 Koš"
"Luna Jánošková"	"Námestie Martina Ben 5
934 58 Vlkovce"
"Hugo Holík"	"Boskovičova 16
957 96 Studienka"
"Adrián Cesnak"	"Hviezdoslavova 366
858 07 Klčov"
"Mojmír Hlaváčik"	"Žabotova 85
955 49 Poltár"
"Lujza Cigáňová"	"Oravská 84
954 68 Liptovský Ondrej"
"Tibor Makový"	"Bažantia 9
918 80 Turany nad Ondavou"
"Lujza Špilárová"	"Pri Dynamitke 12
852 71 Jankovce"
"Jozef Peško"	"Novohorská 2
095 86 Vyšná Polianka"
"Ing. arch. Jerguš Laco"	"Goláňova 6
957 77 Ondrašová"
"Stanislava Martinčeková"	"Múzejná 55
869 05 Petrova Ves"
"Eduard Daňa"	"Mlynarovičova 8
036 97 Jastrabie nad Topľou"
"Štefánia Lojová"	"Mandľová 3
858 05 Dlžín"
"Alexandra Malíšeková"	"Lenardova 3
090 58 Temeš"
"Mojmír Pika"	"Socháňova 61
083 15 Dlhá nad Oravou"
"Štefan Solej"	"Palkovičova 822
885 90 Uloža"
"pani Jaromíra Mrazková"	"Kamzík 112
853 59 Šíd"
"Radomír Lajčiak"	"Jesenského 24
099 50 Kráľovce"
"Alan Mlynár"	"Stará Černicová 42
002 72 Oreské"
"Marianna Roháčeková"	"Dohnányho 5
941 87 Dechtice"
"Peter Bošňák"	"Anenská 92
930 47 Dolná Ves"
"Zdenka Harvanová"	"Staré Grunty 73
021 21 Šuľa"
"Nataša Kusová"	"Záhradkárska 73
865 19 Turčiansky Ďur"
"Branislava Vlková"	"Kazanská 66
806 69 Beniakovce"
"Mojmír Timko"	"Hradné údolie 63
982 67 Hrašovík"
"Karla Stodolová"	"Hlohová 1
985 42 Ivachnová"
"Slavomír Mišík"	"Nad Gronárom 897
912 62 Hrnčiarske Zalužany"
"Albert Mikloš"	"Kozia 53
011 94 Okres Bratislava IV"
"Hilda Majdánová"	"Koreňová 133
929 11 Rohožník"
"Drahomíra Švábová"	"Horárska 505
071 34 Čavoj"
"Mário Rak"	"Ľubovníková 83
091 61 Hliník nad Hronom"
"Jana Hoštáková"	"Maková 7
010 59 Trhová Hradská"
"Marína Tatarková"	"Brezová 9
995 26 Trebušovce"
"Félix Pupák"	"Ostravská 1
806 25 Svit"
"Mojmír Čobrda"	"Pivoňková 40
077 98 Nižná Myšľa"
"Matej Rojko"	"Babuškova 4
036 49 Kašov"
"Izidor Dán"	"Murnice 658
873 87 Slepčany"
"Patrik Dora"	"Spätná cesta 12
036 81 Braväcovo"
"Jana Tomášeková"	"Sabinovská 782
087 20 Vysoká nad Uhom"
"Olympia Húšeková"	"Olbrachtova 1
916 30 Horná Strehová"
"Tamara Tomečeková"	"Ulica Pri vodnej nád 9
914 79 Nový Život"
"Gertrúda Šimková"	"Poludníková 12
018 28 Kosorín"
"Renáta Kunová"	"Žitná 4
006 91 Roštár"
"PhDr. Dušan Rusko"	"Nad lúčkami 6
082 98 Medzibrod"
"Monika Huttová"	"Sedlárska 7
979 49 Prievaly"
"Kristína Sklenáriková"	"Mudrochova 778
009 36 Strážne"
"Medard Daňa"	"Nad lomom 43
976 43 Rudlov"
"Jarmila Križanová"	"Dolnokorunská 2
043 98 Lipovce"
"Bohuš Roháček"	"Zvončeková 61
014 54 Veľký Ďur"
"Bohuš Holub"	"Markova 165
009 56 Lenartov"
"Valéria Kocková"	"Nové záhrady I 431
949 95 Vyšné Ladičkovce"
"Rebeka Tomášová"	"Primaciálne námestie 699
938 13 Rákoš"
"Petronela Húsková"	"Koľajná 10
976 05 Veľké Úľany"
"Paulína Rihová"	"Rascová 9
873 15 Nálepkovo"
"Monika Kotianová"	"Ormisova 8
800 32 Veľký Klíž"
"Hubert Kniha"	"Podhorská 75
024 65 Kráľovičove Kračany"
"Rozália Záborská"	"Kamenné námestie 458
821 86 Nižný Kručov"
"Emil Ondruško"	"Špieszova 44
001 86 Borová"
"Žofia Záborská"	"Svetlá 2
009 73 Dačov Lom"
"Danica Plekancová"	"Nad Gronárom 10
809 25 Myjava"
"Vratislav Repiský"	"Laténská 8
068 36 Kružlov"
"Ing. Ondrej Timka DSc."	"Havrania 235
864 22 Opoj"
"Alexia Masariková"	"Mraziarenská 49
936 17 Opatovce nad Nitrou"
"Prokop Mucha"	"Tolstého 4
065 89 Žitná - Radiša"
"Monika Krásnohorská"	"Mamateyova 815
880 59 Košťany nad Turcom"
"Blažena Krásnohorská"	"Mariánska 555
822 07 Lošonec"
"Zlatko Klapko"	"Starorímska 582
997 46 Naháč"
"Lea Kupová"	"Lazaretská 650
048 12 Varhaňovce"
"Medard Macek"	"Súkennícka 913
826 50 Ipeľské Úľany"
"Oxana Kundová"	"Kurucova 170
003 56 Haniska"
"Ida Balážová"	"Marótyho 41
951 35 Nesluša"
"Blažej Klepáč"	"Márie Medveďovej 4
838 86 Krásna Lúka"
"Jozef Hošták"	"Mudrochova 810
998 57 Vyšná Rybnica"
"Ladislava Tománeková"	"Teslova 615
047 52 Kačanov"
"Monika Pauliková"	"Wilsonova 65
812 53 Vajkovce"
"Rudolf Daňo"	"Hrušovská 9
899 53 Beharovce"
"Hugo Danko"	"Guothova 85
060 70 Lehota pod Vtáčnikom"
"Maximilián Danko"	"Pezinská 8
928 40 Veľký Kýr"
"Elisa Straková"	"Priečna 2
066 40 Bohdanovce"
"Peter Čaplovič"	"Šoltésovej 10
843 80 Nolčovo"
"Florián Chrappa"	"Levanduľová 958
066 14 Krškany"
"Ľubica Filipeková"	"M. Hella 516
927 55 Temeš"
"Zina Vydarená"	"Školská 8
092 11 Staškov"
"Sandra Palúchová"	"Vlčkova 786
859 41 Jelšovec"
"Mária Tomaníková"	"Slovienska 79
893 79 Slavošovce"
"Fridrich Ftorek"	"Gabčíkova 2
086 28 Ľutina"
"Xénia Vásková"	"Gunduličova 8
917 12 Cernina"
"Cyprián Magál"	"Malý Draždiak 3
986 78 Hromoš"
"Sebastián Klimáček"	"Laténská 7
092 54 Turová"
"Aleš Ondrejko"	"Homolova 49
957 48 Stará Lesná"
"Viera Kaniaková"	"Čmelíkova 3
828 54 Hradisko"
"Helena Samelová"	"Lykovcová 491
878 76 Lomnička"
"Sára Lajčiaková"	"Kafendova 697
915 55 Horné Srnie"
"Amália Sámeľová"	"Ružinovská 35
942 53 Ľudovítová"
"Mária Vrabcová"	"Pri trati 760
017 42 Rastislavice"
"Mária Masaríková"	"Zátišie 59
897 11 Palota"
"Alojz Barok"	"Botanická 55
836 96 Medzev"
"Vlastimil Paulik"	"Sladová 51
958 23 Hrlica"
"Vendelín Križan"	"Langsfeldova 101
087 13 Poľný Kesov"
"Sebastián Čobrda"	"Rajčianska 48
935 96 Báb"
"Frederik Ďutka"	"Bohrova 6
908 77 Želmanovce"
"Adela Lipková"	"Cukrová 6
098 54 Veľký Slivník"
"Karla Vrabcová"	"Varšavská 74
904 77 Vrútky"
"Bohuslava Kubková"	"Muchovo námestie 7
890 41 Kráľovičove Kračany"
"Mário Bartoš"	"Pod Kobylou 88
001 07 Turie"
"Elisa Šalajková"	"Jesenná 14
956 49 Soľ"
"MVDr. Vanda Ďurišová Ph.D."	"Rybárska brána 84
844 50 Rakovec nad Ondavou"
"Emanuel Holubka"	"Pri Starom háji 271
046 37 Zohor"
"Dobroslav Ťapák"	"Nad jazierkom 7
860 50 Senica"
"Sergej Sklenárik"	"Somolického 7
834 18 Selce"
"Agáta Korecová"	"Priemyselná 72
917 11 Štefanovičová"
"Martina Ďaďová"	"Ulica Karola Adlera 83
979 35 Naháč"
