"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829" 
"Florentin Stoica"	"Bulevardul Gheorghiu Nr. 853
Targu Lapus, 928465"
"Avram Popescu"	"Soseaua Bianca Oprea
Jimbolia, 636834"
"Marina Pop"	"Soseaua Eva Popa Nr. 672
Saveni, 103396"
"Ancuța Pușcașu"	"Soseaua Geta Dima
Tarnaveni, 533806"
"Arian Barbu"	"Intrarea Carolina Ababei Nr. 65 Bl. 66  Sc. 62 Ap. 390
Rucar, 209338"
"Cipriana Georgescu"	"Bulevardul Liana Voinea Nr. 14 Bl. 88  Sc. 86 Ap. 981
Fetesti-Gara, 847321"
"Stelian Tabacu"	"Bulevardul Despina Dima Nr. 965 Bl. 40  Sc. 41 Ap. 321
Resita, 303758"
"Timotei Dima"	"Drumul Ariana Tomescu Nr. 68
Branesti, 368049"
"Atena Niță"	"Aleea Oprea Nr. 764 Bl. 17  Sc. 90 Ap. 732
Siria, 307724"
"Costel Barbu"	"Drumul Stancu Nr. 55
Alba Iulia, 612081"
"Suzana Gheorghiu"	"Drumul Marin Nr. 77 Bl. 65  Sc. 48 Ap. 601
Gugesti, 928105"
"Decebal Florea"	"Bulevardul Diaconu
Sighetu Marmatiei, 406388"
"Marina Suciu"	"Drumul Eftimie
Campulung Moldovenesc, 539293"
"Andra Dochioiu"	"Aleea Tudosia Stancu Nr. 243
Negresti, 256276"
"Aurel Barbu"	"Soseaua Sorana Stănescu Nr. 962 Bl. 11  Sc. 29 Ap. 506
Cumpana, 546216"
"Andra Dima"	"Aleea Stoica
Pipera (Voluntari), 541756"
"Aleodor Ene"	"Drumul Popescu
Greci, 241370"
"Maxim Oprea"	"Bulevardul Eftimie
Fagaras, 926484"
"Titus Pop"	"Intrarea Dinu
Valea Mare (Negresti), 462397"
"Aurică Stoica"	"Bulevardul Dina Eftimie Nr. 444
Huedin, 556888"
"Olga Albu"	"Bulevardul Nistor Nr. 560
Toflea, 538385"
"Olivia Suciu"	"Soseaua Dobre Nr. 327
Paunesti, 552141"
"Marina Toma"	"Bulevardul Georgia Ioniță Nr. 798
Dorohoi, 910030"
"Violeta Toma"	"Bulevardul Voinea Nr. 41 Bl. 25  Sc. 84 Ap. 411
Mogosoaia, 976896"
"Floare Mazilescu"	"Aleea Gheorghiu Nr. 759
Odorheiu Secuiesc, 968116"
"Aglaia Nistor"	"Drumul Iulia Popa Nr. 76
Giroc, 518519"
"Zaharia Stoica"	"Bulevardul Jasmina Dumitrescu Nr. 602
Ploiesti, 456533"
"Janina Manole"	"Strada Nemeș Nr. 36 Bl. 46  Sc. 46 Ap. 212
Valea lui Mihai, 900118"
"Mircea Dobre"	"Bulevardul Eftimie Nr. 48
Rosiori de Vede, 804103"
"Teofil Ionescu"	"Bulevardul Preda Nr. 82 Bl. 46  Sc. 72 Ap. 154
Mizil, 980291"
"Luciana Suciu"	"Drumul Dobre Nr. 19
Toplita, 436808"
"Flora Nemeș"	"Strada Diaconescu Nr. 38
Urlati, 674796"
"Marinela Ardelean"	"Drumul Paulica Suciu
Sighetu Marmatiei, 414661"
"Voichița Ene"	"Bulevardul Toma
Pechea, 605067"
"Astrid Diaconu"	"Drumul Heracleea Pop Nr. 95
Valea lui Mihai, 232449"
"Delia Toma"	"Intrarea Marin Nr. 489
Urziceni, 830825"
"Loredana Diaconescu"	"Intrarea Gheorghe Preda Nr. 20 Bl. 78  Sc. 91 Ap. 348
Glina, 395651"
"Mădălin Dima"	"Strada Timea Nistor Nr. 88
Arbore, 230258"
"Clementina Dinu"	"Intrarea Marcel Stănescu Nr. 24 Bl. 77  Sc. 43 Ap. 491
Sebes, 574622"
"Anamaria Ene"	"Soseaua Mazilescu
Simleu Silvaniei, 425206"
"Daniela Dochioiu"	"Intrarea Nistor
Titu, 940285"
"Ada Voinea"	"Drumul Zaraza Voinea Nr. 64 Bl. 97  Sc. 93 Ap. 932
Caransebes, 891518"
"Marinela Dochioiu"	"Aleea Ardelean
Odorheiu Secuiesc, 203408"
"Camil Tabacu"	"Soseaua Pop
Targu Lapus, 401152"
"Marcela Manole"	"Soseaua Dominic Nistor Nr. 685
Uricani, 561044"
"Emanuel Diaconescu"	"Bulevardul Matei Marin Nr. 34
Apahida, 309324"
"Semenica Ioniță"	"Strada Rareș Gheorghiu Nr. 514
Medias, 939935"
"Sânziana Eftimie"	"Intrarea Mocanu Nr. 539
Targu Frumos, 870692"
"Ana Eftimie"	"Aleea Vlaicu Dumitrescu Nr. 274 Bl. 24  Sc. 40 Ap. 229
Baia Mare, 514444"
"Claudia Gheorghiu"	"Soseaua Crina Pop
Titu, 872013"
"Consuela Ene"	"Intrarea Dochioiu Nr. 423
Lipova, 105845"
"Inocențiu Marin"	"Bulevardul Nistor Nr. 595
Peretu, 555556"
"Marinela Dumitrescu"	"Strada Nemeș Nr. 655 Bl. 58  Sc. 13 Ap. 189
Glina, 718192"
"Nelu Dobre"	"Intrarea Natalia Nemeș Nr. 872 Bl. 28  Sc. 27 Ap. 907
Dej, 900289"
"Marian Dima"	"Intrarea Pușcașu
Petrila, 490637"
"Aura Nistor"	"Soseaua Albu Nr. 33
Borsa, 130162"
"Ilarion Voinea"	"Bulevardul Suciu Nr. 10
Pancota, 659862"
"Eremia Aanei"	"Strada Dochioiu
Diosig, 474123"
"Olimpian Voinea"	"Bulevardul Dumitrescu
Oituz, 497423"
"Arsenie Voinea"	"Strada Relu Stan Nr. 200 Bl. 67  Sc. 92 Ap. 874
Curcani, 645297"
"Robertina Niță"	"Soseaua Damian Albu Nr. 941 Bl. 39  Sc. 46 Ap. 175
Berceni, 382946"
"Alexe Oprea"	"Strada Costache Ardelean Nr. 137
Hunedoara, 545821"
"Marinela Ene"	"Soseaua Mihail Ionescu
Botosani, 622630"
"Horațiu Ene"	"Bulevardul Jan Ababei Nr. 360 Bl. 58  Sc. 60 Ap. 490
Cernavoda, 210223"
"Viorica Diaconu"	"Strada Stan Nr. 14
Targu Jiu, 398568"
"Blanduzia Stan"	"Soseaua Nemeș
Curcani, 110119"
"Agata Ionescu"	"Strada Dumitrescu Nr. 545
Boldesti-Scaeni, 483942"
"Aura Nemeș"	"Strada Lidia Ene
Techirghiol, 766824"
"Adelin Dobre"	"Aleea Voinea Nr. 698
Simleu Silvaniei, 796419"
"Leana Ababei"	"Strada Nemeș Nr. 747 Bl. 70  Sc. 83 Ap. 994
Simeria, 573697"
"Janeta Toma"	"Drumul Aurică Nistor
Lugoj, 962873"
"Marcheta Nistor"	"Bulevardul Sidonia Mocanu Nr. 93 Bl. 36  Sc. 16 Ap. 184
Busteni, 291740"
"Marinela Mazilescu"	"Aleea Aurelian Florea
Macin, 115502"
"Artemisa Popescu"	"Intrarea Marin Nr. 29
Caransebes, 624769"
"Cipriana Nemeș"	"Soseaua Romulus Tomescu Nr. 313 Bl. 96  Sc. 25 Ap. 427
Intorsura Buzaului, 766279"
"Ruxandra Marin"	"Strada Luiza Georgescu Nr. 242 Bl. 86  Sc. 80 Ap. 352
Glina, 377107"
"Agnos Niță"	"Strada Ardelean
Rovinari, 937389"
"Cristian Ene"	"Soseaua Luciana Pop
Deva, 432136"
"Viorica Ionescu"	"Aleea Stănescu Nr. 246 Bl. 36  Sc. 99 Ap. 176
Raducaneni, 704482"
"Vladimir Diaconu"	"Intrarea Mocanu Nr. 71
Cajvana, 514465"
"Mitică Dinu"	"Intrarea Florea
Simleu Silvaniei, 746151"
"Estera Voinea"	"Soseaua Dumitrescu
Chitila, 915667"
"Marinela Preda"	"Intrarea Dobre Nr. 681
Uricani, 882628"
"Anatolie Dima"	"Bulevardul Ștefan Manole Nr. 40 Bl. 94  Sc. 20 Ap. 551
Matca, 272235"
"Amza Stancu"	"Soseaua Ozana Dochioiu Nr. 229
Cajvana, 861367"
"Grațiana Dinu"	"Intrarea Raluca Georgescu Nr. 692 Bl. 89  Sc. 32 Ap. 714
Gilau, 785709"
"Andrada Popa"	"Intrarea Catinca Oprea Nr. 70
Fagetel (Remetea), 689025"
"Florian Aanei"	"Soseaua Dinu
Pecica, 567390"
"Iacob Cristea"	"Intrarea Niculiță Diaconescu
Hateg, 787784"
"Elisabeta Marin"	"Strada Aanei Nr. 99
Lugoj, 559118"
"Ștefana Georgescu"	"Intrarea Eftimie Nr. 30 Bl. 50  Sc. 65 Ap. 126
Moinesti, 722420"
"Anastasia Stănescu"	"Strada Mărioara Stănescu Nr. 26
Lipova, 157221"
"Marius Ionescu"	"Aleea Dumitrescu Nr. 536
Busteni, 111532"
"Emilia Dima"	"Drumul Ionescu Nr. 66
Sighisoara, 128623"
"Lucrețiu Aanei"	"Drumul Tabacu Nr. 325
Navodari, 924542"
"Adela Preda"	"Aleea Robertina Mazilescu Nr. 485 Bl. 83  Sc. 50 Ap. 905
Campulung, 969705"
"Marioara Suciu"	"Bulevardul David Pușcașu
Suceava, 517271"
"Martin Diaconescu"	"Intrarea Amedeu Voinea Nr. 23 Bl. 39  Sc. 23 Ap. 363
Deva, 444990"
"Tudora Nistor"	"Intrarea Diaconu
Intorsura Buzaului, 524127"
"Tiberiu Barbu"	"Bulevardul Bartolomeu Florea
Sebis, 450191"
"Octavia Eftimie"	"Bulevardul Ioniță Nr. 843
Mangalia, 383496"
"Simona Dima"	"Drumul Florea Nr. 570
Baraolt, 987403"
"Marius Ioniță"	"Soseaua Stancu
Petrosani, 777234"
"Pompilia Georgescu"	"Aleea Ioniță
Buzau, 919942"
"Voicu Manole"	"Soseaua Cosmina Dobre Nr. 142
Petrila, 732866"
"Nicoleta Gheorghiu"	"Drumul Astrid Marin Nr. 761 Bl. 16  Sc. 92 Ap. 586
Gugesti, 278744"
"Veronica Dobre"	"Drumul Aanei Nr. 141
Falticeni, 675970"
"Cantemir Nistor"	"Drumul Jana Barbu Nr. 776 Bl. 72  Sc. 85 Ap. 201
Falticeni, 119655"
"Larisa Dinu"	"Bulevardul Nistor Nr. 586 Bl. 55  Sc. 50 Ap. 366
Odobesti, 155198"
"Mărioara Aanei"	"Strada Florea Diaconu Nr. 932
Campulung, 623503"
"Paul Nistor"	"Strada Vlădelina Nistor Nr. 17
Valea Mare (Babeni), 706756"
"Aida Eftimie"	"Aleea Diaconescu Nr. 958
Ocna Mures, 784847"
"Marius Nistor"	"Aleea Stan Nr. 267 Bl. 42  Sc. 31 Ap. 126
Piatra-Neamt, 943385"
"Marinela Georgescu"	"Bulevardul Niță
Baia Mare, 676834"
"Corina Pop"	"Bulevardul Manole Nr. 217 Bl. 90  Sc. 95 Ap. 749
Salonta, 660363"
"Raluca Diaconescu"	"Drumul Pușcașu
Nasaud, 408482"
"Carmina Ioniță"	"Aleea Mocanu
Podu Iloaiei, 229400"
"Andreea Nistor"	"Aleea Dochioiu
Matca, 540550"
"Titus Oprea"	"Drumul Voinea Nr. 667
Baia Sprie, 655129"
"Gheorghiță Mazilescu"	"Bulevardul Popescu Nr. 803
Glina, 951507"
"Catinca Niță"	"Strada Stancu
Alexandria, 301358"
"Aglaia Ardelean"	"Intrarea Mazilescu Nr. 705
Valu lui Traian, 133308"
"Marta Dinu"	"Aleea Stoica Nr. 88
Dumbravita, 584733"
"Panait Dinu"	"Aleea Miruna Albu Nr. 94
Iernut, 653785"
"Eliana Dumitrescu"	"Intrarea Viorel Ababei
Huedin, 972197"
"Valentin Eftimie"	"Bulevardul Antonie Dobre Nr. 403
Gherla, 776260"
"Radu Stancu"	"Bulevardul Voicu Nistor
Seini, 197529"
"Zina Georgescu"	"Drumul Ardelean Nr. 533
Darabani, 963530"
"Nora Stancu"	"Bulevardul Mocanu
Zarnesti, 143134"
"Consuela Ardelean"	"Soseaua Dorian Aanei Nr. 347 Bl. 52  Sc. 15 Ap. 960
Magurele, 467885"
"Coralia Voinea"	"Aleea Ene
Zarnesti, 418315"
"Monalisa Stan"	"Soseaua Pop
Urlati, 888462"
"Marta Nistor"	"Soseaua Diaconu
Blaj, 913863"
"Heracleea Niță"	"Strada Stancu Nr. 221 Bl. 35  Sc. 21 Ap. 929
Otelu Rosu, 154048"
"Anghel Pop"	"Aleea Popescu Nr. 32
Sebis, 456059"
"Adonis Popa"	"Strada Venera Nistor Nr. 608
Tandarei, 226721"
"Eremia Diaconescu"	"Aleea Barbu
Fagaras, 340143"
"Iris Toma"	"Aleea Gheorghiu Nr. 37
Babadag, 603918"
"Catrinel Ardelean"	"Intrarea Preda Nr. 25 Bl. 78  Sc. 12 Ap. 169
Beclean, 640705"
"Isabela Ioniță"	"Strada Diaconescu
Alexandria, 687024"
"Dorel Nistor"	"Bulevardul Ababei Nr. 38
Timisoara, 840057"
"Georgiana Diaconu"	"Drumul Ardelean Nr. 455
Viseu de Sus, 114164"
"Martin Gheorghiu"	"Aleea Cecilia Manole
Barlad, 682672"
"Ianis Popescu"	"Soseaua Ionescu Nr. 41 Bl. 71  Sc. 97 Ap. 919
Vaslui, 507529"
"Dorin Stan"	"Strada Cristian Popa Nr. 191
Dragalina, 575625"
"Darius Florea"	"Drumul Diaconescu Nr. 969
Beclean, 995972"
"Aneta Marin"	"Drumul Alexandra Cristea
Focsani, 222364"
"Dimitrina Nistor"	"Soseaua Zaharia Dinu Nr. 961 Bl. 74  Sc. 51 Ap. 386
Plosca, 337153"
"Flavia Dumitrescu"	"Drumul Tudor
Rovinari, 926315"
"Codrina Cristea"	"Drumul Popa Nr. 742 Bl. 37  Sc. 89 Ap. 518
Calafat, 708241"
"Emanoil Tomescu"	"Soseaua Nicuță Suciu Nr. 45
Arad, 199587"
"Eftimie Voinea"	"Soseaua Aurel Popa Nr. 368
Falticeni, 267720"
"Martin Manole"	"Aleea Doriana Pop Nr. 36
Vaslui, 178465"
"Codrin Nistor"	"Strada Dinu
Videle, 165933"
"Agripina Dima"	"Drumul Iulia Gheorghiu Nr. 98
Sadova, 684365"
"Panagachie Tabacu"	"Intrarea Dora Mazilescu Nr. 27
Berceni, 515184"
"Cezar Popescu"	"Bulevardul Dima Nr. 580 Bl. 65  Sc. 15 Ap. 768
Sfantu Gheorghe, 728367"
"Daria Stancu"	"Drumul Florea Pușcașu Nr. 73 Bl. 96  Sc. 16 Ap. 587
Radauti, 913326"
"Silviana Ioniță"	"Soseaua Georgian Suciu Nr. 109 Bl. 92  Sc. 76 Ap. 822
Calafat, 135549"
"Mina Georgescu"	"Bulevardul Mocanu Nr. 760 Bl. 14  Sc. 25 Ap. 625
Resita, 172864"
"Mădălin Stancu"	"Aleea Ardelean Nr. 60 Bl. 93  Sc. 33 Ap. 108
Fetesti-Gara, 605504"
"Maia Pop"	"Aleea Lorin Ionescu Nr. 438 Bl. 74  Sc. 81 Ap. 802
Pogoanele, 238493"
"Matei Ardelean"	"Drumul Suciu Nr. 65 Bl. 16  Sc. 85 Ap. 701
Targu Ocna, 864531"
"Cedrin Diaconescu"	"Aleea Georgescu Nr. 21
Schela Cladovei, 521231"
"Lelia Ioniță"	"Soseaua Mocanu Nr. 20
Barlad, 274908"
"Avram Nemeș"	"Bulevardul Georgescu Nr. 79 Bl. 26  Sc. 56 Ap. 675
Fagetel (Remetea), 524198"
"Octaviana Tomescu"	"Soseaua Lavinia Ababei Nr. 37
Fagaras, 221223"
"Floriana Voinea"	"Strada Niță
Targu Secuiesc, 380146"
"Măriuca Ababei"	"Strada Manole
Filiasi, 527271"
"Alice Tudor"	"Strada Cristea Nr. 671
Focsani, 945992"
"Horațiu Dima"	"Intrarea Tabacu Nr. 85 Bl. 11  Sc. 85 Ap. 955
Petrila, 166620"
"Ladislau Georgescu"	"Soseaua Diaconescu
Husi, 221986"
"Matei Dochioiu"	"Intrarea Flavia Albu Nr. 95 Bl. 77  Sc. 17 Ap. 860
Caransebes, 203491"
"Aurelian Dima"	"Strada Saveta Stan
Straja, 760820"
"Florian Diaconu"	"Strada Stoica Nr. 68
Saveni, 765205"
"Remus Dobre"	"Strada Niță Nr. 21 Bl. 20  Sc. 55 Ap. 666
Barlad, 536087"
"Nicoară Oprea"	"Strada Gheorghiu Nr. 64 Bl. 99  Sc. 91 Ap. 851
Suceava, 556630"
"Lavinia Pop"	"Bulevardul Pop Nr. 953
Mioveni, 638017"
"Loredana Preda"	"Strada Ardelean Nr. 24
Giurgiu, 381490"
"Marian Tudor"	"Bulevardul Oprea Nr. 959
Domnesti, 997339"
"Florea Cristea"	"Intrarea Pop
Berceni, 564309"
"Ilarion Georgescu"	"Soseaua Ioniță Nr. 981 Bl. 68  Sc. 68 Ap. 351
Reghin, 545479"
"Matei Voinea"	"Aleea Popa
Vicovu de Sus, 147443"
"Aristide Popescu"	"Drumul Adriana Toma
Rodna, 987522"
"Corvin Diaconescu"	"Drumul Dobre Nr. 89
Buhusi, 208993"
"Adonis Mocanu"	"Aleea Ardelean
Giurgiu, 553164"
"Zina Toma"	"Aleea Olga Mazilescu Nr. 72
Brasov, 236476"
"Francisc Dima"	"Bulevardul Stancu Nr. 694 Bl. 78  Sc. 52 Ap. 950
Corund, 613202"
"Amanda Suciu"	"Intrarea Pușcașu Nr. 49
Urlati, 193868"
"Nadia Stan"	"Intrarea Anica Ionescu
Stei, 865738"
"Albertina Gheorghiu"	"Soseaua Albu Nr. 304
Cajvana, 194397"
"Rada Stan"	"Soseaua Fiona Stancu Nr. 60 Bl. 41  Sc. 55 Ap. 908
Toplita, 588467"
"Matei Voinea"	"Soseaua Rafila Pop Nr. 765 Bl. 82  Sc. 98 Ap. 147
Remetea, 862041"
"Eufrosina Pușcașu"	"Bulevardul Fiona Nemeș Nr. 548 Bl. 84  Sc. 16 Ap. 506
Navodari, 338057"
"Ladislau Nistor"	"Drumul Cristea Nr. 436 Bl. 85  Sc. 15 Ap. 880
Ploiesti, 279019"
"Mihai Oprea"	"Strada Pop
Sebis, 758554"
"Viorel Dochioiu"	"Intrarea Eftimie
Fagetel (Remetea), 559633"
"Oana Suciu"	"Strada Evanghelina Dobre
Bosanci, 144732"
"Silviana Dinu"	"Bulevardul Toma
Pecica, 770604"
"Tania Pușcașu"	"Strada Stancu
Moldova Veche, 194370"
"Sabina Niță"	"Soseaua Nicolae Dinu
Braila, 500788"
"Edmond Ardelean"	"Soseaua Suciu Nr. 50 Bl. 84  Sc. 98 Ap. 510
Darmanesti, 756846"
"Matilda Nemeș"	"Drumul Nemeș Nr. 92
Valea Caselor (Dragasani), 101429"
"Ancuța Eftimie"	"Bulevardul Marina Dochioiu Nr. 96
Sebis, 947866"
"Ionuț Dochioiu"	"Aleea Tomescu Nr. 628
Breaza de Sus, 229959"
"Aurora Ardelean"	"Strada Popescu Nr. 111
Valea lui Mihai, 699687"
"Vicenția Ioniță"	"Strada Ene
Lupeni, 120509"
"Romulus Popa"	"Drumul Dochioiu
Sacele, 395251"
"Niculiță Suciu"	"Aleea Tabacu Nr. 15
Valu lui Traian, 618643"
"Bebe Stan"	"Drumul Niță Nr. 374 Bl. 76  Sc. 37 Ap. 891
Viseu de Sus, 951150"
"Zamfira Tudor"	"Drumul Matei Mazilescu Nr. 34 Bl. 99  Sc. 17 Ap. 971
Blaj, 786146"
"Dorian Ioniță"	"Strada Georgescu
Moreni, 960390"
"Maxim Barbu"	"Intrarea Dinu Nr. 41
Otopeni, 330034"
"Ernest Ardelean"	"Intrarea Florea Nr. 269 Bl. 21  Sc. 26 Ap. 501
Tudora, 613227"
"Daniel Eftimie"	"Soseaua Voinea Nr. 296
Jimbolia, 855271"
"Antoniu Manole"	"Drumul Ababei
Santana, 890593"
"Grațiana Manole"	"Soseaua Dima
Slobozia, 878307"
"Ileana Dima"	"Intrarea Roxana Aanei Nr. 49 Bl. 46  Sc. 84 Ap. 843
Mizil, 581161"
"Sidonia Toma"	"Intrarea Stănescu
Campulung, 695414"
"Sabrina Ioniță"	"Bulevardul Costel Dumitrescu
Paunesti, 153954"
"Maxim Suciu"	"Drumul Niță
Baciu, 433641"
"Adonis Dobre"	"Drumul Nistor Nr. 92
Sandominic, 614510"
"Maxim Oprea"	"Bulevardul Diaconu
Oradea, 781382"
"Mircea Ene"	"Bulevardul Suciu
Dabuleni, 787877"
"Mărioara Tomescu"	"Aleea Ababei Nr. 41
Valea Mare (Babeni), 869075"
"Amalia Dinu"	"Soseaua Barbu
Raducaneni, 181416"
"Șerban Eftimie"	"Aleea Ababei
Baciu, 154393"
"Olga Dobre"	"Drumul Estera Mocanu
Baraolt, 682798"
"Narcisa Georgescu"	"Strada Caius Pușcașu
Siret, 120889"
"Tatiana Mocanu"	"Strada Teohari Dima
Fetesti, 203138"
"Mărioara Dochioiu"	"Drumul Nistor
Craiova, 153619"
"Clarisa Aanei"	"Drumul Nemeș Nr. 24 Bl. 54  Sc. 74 Ap. 382
Fagaras, 755551"
"Maximilian Aanei"	"Aleea Suciu Nr. 27 Bl. 94  Sc. 17 Ap. 644
Pitesti, 301782"
"Roberta Florea"	"Bulevardul Florian Aanei
Craiova, 472529"
"Floare Pușcașu"	"Soseaua Elena Nistor Nr. 88 Bl. 33  Sc. 87 Ap. 972
Galati, 669960"
"Despina Stan"	"Drumul Natalia Mocanu
Gheorgheni, 374445"
"Panait Nistor"	"Aleea Eremia Nistor Nr. 643
Bocsa, 587846"
"Atena Barbu"	"Soseaua Stănescu
Greci, 649752"
"Ivona Ardelean"	"Drumul Leana Cristea Nr. 82 Bl. 52  Sc. 89 Ap. 610
Tudora, 543129"
"Clementina Stancu"	"Strada Rozalia Diaconescu
Cluj-Napoca, 102879"
"Patricia Stoica"	"Strada Aura Ababei Nr. 185
Pantelimon, 519260"
"Virginia Pușcașu"	"Intrarea Stoica
Barlad, 563535"
"Maximilian Eftimie"	"Bulevardul Dumitrescu Nr. 152
Barbulesti, 727945"
"Filofteia Tudor"	"Aleea Viorica Tabacu
Ruscova, 512194"
"Sava Dumitrescu"	"Intrarea Nidia Popescu Nr. 68
Cornetu, 889531"
"Anghelina Ene"	"Strada Nistor Nr. 379
Mangalia, 154943"
"Ghenadie Tomescu"	"Strada Suciu Nr. 98 Bl. 32  Sc. 70 Ap. 603
Valu lui Traian, 117253"
"Zoe Georgescu"	"Intrarea Dinu Nr. 73
Jilava, 827809"
"Filip Ababei"	"Drumul Octavia Manole
Glina, 359964"
"Eugenia Georgescu"	"Strada Melania Tomescu Nr. 59
Dorohoi, 620954"
"Costache Georgescu"	"Intrarea Nidia Mocanu
Chisineu-Cris, 128851"
"Tudosia Tudor"	"Drumul Aanei
Victoria, 603388"
"Maximilian Ioniță"	"Drumul Pamela Stoica Nr. 30
Gaesti, 160107"
"Viorica Manole"	"Bulevardul Voinea
Galati, 117501"
"Andreea Ene"	"Bulevardul Mocanu Nr. 97
Miercurea-Ciuc, 396101"
"Iosefina Cristea"	"Soseaua Jasmina Mocanu
Branesti, 123359"
"Gică Nistor"	"Drumul Dumitrescu
Buhusi, 260343"
"Antim Pop"	"Intrarea Aanei Nr. 75 Bl. 99  Sc. 38 Ap. 399
Sabaoani, 399147"
"Dragoș Preda"	"Bulevardul Stoica
Tomesti, 163806"
"Ana Diaconu"	"Intrarea Tabacu Nr. 931
Braila, 638804"
"David Niță"	"Aleea Cristea
Plosca, 663630"
"Codruț Preda"	"Drumul Dobre Nr. 437 Bl. 32  Sc. 64 Ap. 775
Buftea, 601442"
"Maximilian Popa"	"Intrarea Tomescu Nr. 556 Bl. 39  Sc. 46 Ap. 501
Petrosani, 662425"
"Ruxandra Dinu"	"Drumul Lică Marin
Baia Mare, 296482"
"Simina Nistor"	"Strada Marin Nr. 502 Bl. 76  Sc. 69 Ap. 932
Otelu Rosu, 603261"
"Mihai Georgescu"	"Bulevardul Diaconescu Nr. 65 Bl. 89  Sc. 58 Ap. 507
Ploiesti, 751778"
"Costin Ioniță"	"Intrarea Nemeș Nr. 90
Podu Iloaiei, 438309"
"Silvia Niță"	"Aleea Pop Nr. 79 Bl. 38  Sc. 32 Ap. 580
Roseti, 602464"
"Codruța Ababei"	"Intrarea Aanei Nr. 78
Gilau, 998490"
"Axenia Tabacu"	"Drumul Diaconescu
Moreni, 783029"
"Minodora Dobre"	"Aleea Ieremia Voinea
Mogosoaia, 849929"
"Timea Ababei"	"Strada Manole Nr. 83 Bl. 68  Sc. 58 Ap. 606
Arbore, 768088"
"Maximilian Tabacu"	"Aleea Tomescu
Agnita, 549813"
"Ecaterina Suciu"	"Bulevardul Petronela Diaconu
Mogosoaia, 783108"
"Lavinia Dima"	"Drumul Aglaia Nistor Nr. 55
Ploiesti, 932845"
"Alexandru Tomescu"	"Intrarea Suciu Nr. 416 Bl. 84  Sc. 11 Ap. 897
Nasaud, 556839"
"Anica Mocanu"	"Drumul Petre Popa
Mogosoaia, 316271"
"Achim Dumitrescu"	"Intrarea Octavian Stan Nr. 83
Ovidiu, 868566"
"Carmen Dochioiu"	"Bulevardul Mircea Nistor Nr. 59 Bl. 88  Sc. 51 Ap. 615
Vatra Dornei, 462127"
"Todor Dochioiu"	"Drumul Tudor
Afumati, 382188"
"Relu Dobre"	"Drumul Ababei
Maieru, 926616"
"Marta Oprea"	"Bulevardul Eftimie Nr. 977
Campina, 709739"
"Melania Ioniță"	"Soseaua Oprea Nr. 41 Bl. 11  Sc. 77 Ap. 670
Pitesti, 955512"
"Avram Mazilescu"	"Bulevardul Suciu
Moisei, 749612"
"Dariana Dochioiu"	"Aleea Stancu Nr. 96
Voluntari, 620126"
"Florica Ene"	"Intrarea Florea Nr. 406
Toplita, 368991"
"Lorelei Nistor"	"Strada Eduard Nistor Nr. 648 Bl. 12  Sc. 36 Ap. 702
Nadlac, 427075"
"Ionuț Voinea"	"Soseaua Eftimie
Tandarei, 657942"
"Achim Pușcașu"	"Drumul Voinea
Oituz, 118236"
"Achim Tabacu"	"Strada Mocanu
Lipova, 412306"
"Anica Oprea"	"Aleea Marin Nr. 525 Bl. 75  Sc. 16 Ap. 158
Teius, 367468"
"Florentin Ardelean"	"Strada Raluca Popescu Nr. 44
Petrosani, 819290"
"Melania Marin"	"Intrarea Cristea Nr. 491
Ocna Mures, 202965"
"Arina Albu"	"Bulevardul Dinu Nr. 59
Peris, 536391"
"Todor Ionescu"	"Drumul Tudor Nr. 73
Barlad, 468053"
"Pătru Aanei"	"Soseaua Mazilescu
Brasov, 726681"
"Anabela Oprea"	"Strada Nemeș Nr. 33 Bl. 36  Sc. 30 Ap. 241
Toflea, 619955"
"Zamfira Pușcașu"	"Strada Ioniță Nr. 359 Bl. 62  Sc. 16 Ap. 904
Cluj-Napoca, 611522"
"Jeana Dima"	"Intrarea Dumitrescu Nr. 676
Hunedoara, 666714"
"Vera Ene"	"Soseaua Albu
Dragalina, 364811"
"Smaranda Diaconu"	"Strada Toma Nr. 999 Bl. 22  Sc. 87 Ap. 496
Cisnadie, 978775"
"Elvira Nemeș"	"Soseaua Romulus Marin Nr. 605 Bl. 20  Sc. 79 Ap. 697
Odobesti, 329433"
"Melina Ardelean"	"Aleea Mocanu Nr. 10 Bl. 12  Sc. 86 Ap. 795
Gilau, 399718"
"Zamfir Dima"	"Bulevardul Gheorghiu Nr. 71 Bl. 83  Sc. 37 Ap. 914
Sighisoara, 462569"
"Olimpian Mazilescu"	"Intrarea Cristea Nr. 59 Bl. 23  Sc. 26 Ap. 267
Seini, 371669"
"Lia Cristea"	"Aleea Florea
Orsova, 134038"
"Petruța Dobre"	"Drumul Zeno Nistor
Lunca Cetatuii, 928059"
"Ion Ionescu"	"Bulevardul Ene Nr. 69
Bragadiru, 893948"
"Luca Nistor"	"Drumul Dobre Nr. 62 Bl. 13  Sc. 87 Ap. 558
Vaslui, 507587"
"Nicu Ene"	"Bulevardul Manole Nr. 48 Bl. 32  Sc. 63 Ap. 898
Filiasi, 663569"
"Stan Ioniță"	"Strada Ardelean Nr. 573
Turda, 332069"
"Nechifor Nistor"	"Strada Tomescu Nr. 99 Bl. 58  Sc. 14 Ap. 212
Drobeta-Turnu Severin, 218394"
