"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa" 
"Stanisław Janduła"	"ulica Lawendowa 26
58-896 Radomsko"
"Maks Rozmiarek"	"ulica Rolnicza 81
99-617 Tarnobrzeg"
"Mateusz Froń"	"plac Kopernika 53/54
43-005 Tczew"
"Sandra Dorawa"	"al. Hutnicza 871
05-385 Będzin"
"pan Jakub Tereszkiewicz"	"pl. Konstytucji 3 Maja 24
18-895 Tarnobrzeg"
"Lidia Babiuch"	"pl. Lelewela 62
59-930 Kościan"
"Łukasz Owczarczak"	"pl. Rejtana 37
16-916 Bielsko-Biała"
"Janina Capiga"	"plac Ściegiennego 712
42-967 Czeladź"
"Marcel Ambrozik"	"al. Źródlana 62
26-050 Pruszcz Gdański"
"Kazimierz Zapadka"	"pl. Kilińskiego 710
83-946 Kraków"
"Stefan Bubel"	"aleja Konarskiego 82
97-168 Pruszcz Gdański"
"Maks Ruszel"	"plac Tysiąclecia 310
11-185 Sosnowiec"
"Arkadiusz Knapek"	"ul. Popiełuszki 08
11-510 Czeladź"
"Marcin Płocharczyk"	"pl. Wyspiańskiego 61/09
64-636 Skarżysko-Kamienna"
"Robert Kłoczko"	"plac Konarskiego 34
76-267 Kętrzyn"
"Wiktor Chalimoniuk"	"plac Wyspiańskiego 57
80-376 Świebodzice"
"pan Hubert Nieradko"	"pl. Ściegiennego 34
20-341 Jelenia Góra"
"Dariusz Wasiuk"	"plac Powstańców 165
21-685 Krotoszyn"
"Melania Fabiańczyk"	"ulica Chełmońskiego 41/53
95-843 Skierniewice"
"Szymon Wieczerzak"	"ulica Prosta 99
20-028 Czeladź"
"pani Sylwia Pyszczek"	"aleja Sikorskiego 05/86
45-567 Konin"
"Maks Stasica"	"aleja Browarna 00/57
86-757 Czechowice-Dziedzice"
"pan Borys Węgrzyniak"	"aleja Kościuszki 342
53-311 Radom"
"Sonia Madura"	"aleja Krasińskiego 12
42-865 Tarnobrzeg"
"Maciej Fura"	"aleja Piękna 083
88-788 Wałbrzych"
"Sebastian Kochel"	"al. Powstańców Wielkopolskich 61
64-485 Słupsk"
"Anita Kolek"	"ul. Grunwaldzka 32
45-577 Krosno"
"Alan Keler"	"al. Głogowa 20
70-276 Legnica"
"Marcel Krywult"	"pl. Drzymały 20/68
29-107 Lębork"
"Kornelia Dąbroś"	"ul. Wyspiańskiego 99
56-499 Tarnobrzeg"
"pani Anita Kochman"	"ulica Kościuszki 181
32-277 Nowa Ruda"
"Maks Trepka"	"aleja Władysława Łokietka 04/96
36-095 Lubliniec"
"Mariusz Trzmiel"	"al. Sucharskiego 38
73-169 Grodzisk Mazowiecki"
"Anna Maria Myszor"	"ulica Brzoskwiniowa 05/37
62-774 Toruń"
"pani Marianna Obuchowicz"	"al. Kielecka 073
08-132 Łaziska Górne"
"Emil Basista"	"aleja Głowackiego 338
70-896 Piaseczno"
"Mateusz Rudyk"	"al. Wróblewskiego 81
86-836 Ciechanów"
"Kajetan Żybura"	"ul. Krokusowa 88/24
18-433 Nowy Targ"
"Borys Maćczak"	"pl. Bema 49
80-322 Świdnik"
"Agnieszka Zyzik"	"plac Brzechwy 40
83-879 Brzeg"
"Kalina Kuzia"	"al. Prusa 03
59-085 Rybnik"
"Maks Śmieszek"	"al. Powstańców Śląskich 58/66
65-078 Inowrocław"
"Piotr Górnisiewicz"	"aleja Sikorskiego 125
66-178 Jarocin"
"Aniela Serzysko"	"al. Krasickiego 14/66
71-863 Bełchatów"
"pan Dawid Wojtczuk"	"ulica Maja 858
73-273 Nowa Sól"
"Urszula Łaś"	"aleja Dąbrowskiej 42/72
48-245 Chorzów"
"Błażej Halama"	"pl. Ściegiennego 24
80-689 Pabianice"
"Maurycy Chuchla"	"plac Stefana Batorego 98
46-674 Puławy"
"pan Jędrzej Matejczuk"	"al. Traugutta 82/34
10-227 Elbląg"
"Borys Gęsiarz"	"aleja Leśna 96
24-759 Kielce"
"Filip Jamroz"	"plac Popiełuszki 693
59-653 Lębork"
"Maksymilian Bryja"	"aleja Sucharskiego 170
28-458 Słupsk"
"pan Ernest Smorąg"	"ulica Okrężna 96/76
97-358 Wrocław"
"Radosław Stój"	"ulica Kazimierza Wielkiego 24/51
53-150 Oława"
"pani Apolonia Tyczka"	"al. Mickiewicza 926
30-368 Nowy Targ"
"Alan Białous"	"ul. Piłsudskiego 626
28-668 Kraśnik"
"Łukasz Mendyka"	"pl. Drzymały 686
10-350 Szczecinek"
"pan Rafał Kałwa"	"aleja Wyszyńskiego 59/03
21-533 Przemyśl"
"Albert Maleszka"	"al. Krasińskiego 09/80
36-020 Ełk"
"pan Przemysław Sobkiewicz"	"ulica Sawickiej 15
35-941 Bielsk Podlaski"
"pan Jeremi Ufniarz"	"ulica Tuwima 768
66-986 Pabianice"
"Maksymilian Danieluk"	"aleja Grzybowa 10/57
41-036 Świnoujście"
"Urszula Dziełak"	"al. Niepodległości 39/01
81-494 Białystok"
"Kornel Skup"	"pl. Mieszka I 263
63-365 Zielona Góra"
"pan Oskar Ligas"	"al. Niecała 28
56-982 Zgorzelec"
"Agnieszka Murat"	"ulica Stefana Batorego 53/89
23-008 Toruń"
"Mikołaj Jasina"	"ulica Broniewskiego 573
64-156 Lubliniec"
"Szymon Małota"	"pl. Kilińskiego 364
69-271 Piotrków Trybunalski"
"pani Tola Orszulik"	"plac Mieszka I 631
10-018 Brzeg"
"pan Paweł Malarczyk"	"pl. Maczka 97/70
37-915 Katowice"
"Marcelina Broś"	"ulica Błękitna 97/71
50-387 Bielsko-Biała"
"Maksymilian Domoń"	"pl. Szarych Szeregów 54/29
40-983 Bielsk Podlaski"
"Aleksander Zaniewicz"	"ul. Miłosza 904
63-446 Nowy Dwór Mazowiecki"
"Kornel Tylek"	"aleja Jaworowa 42
62-255 Kołobrzeg"
"Agnieszka Subocz"	"aleja Cegielniana 691
29-985 Nowy Targ"
"Agnieszka Gawłowicz"	"pl. Paderewskiego 31/07
30-737 Jaworzno"
"pan Miłosz Ostapiuk"	"al. Okrężna 50
95-977 Świętochłowice"
"pan Jeremi Marosz"	"plac Malczewskiego 06/46
53-627 Koło"
"Marcelina Dułak"	"ul. Zielona 91/00
65-390 Bełchatów"
"pan Marcin Kurant"	"ulica Wrzosowa 81
41-857 Wieluń"
"Dawid Kołata"	"plac Matejki 157
82-130 Chełm"
"Maksymilian Dzierżak"	"pl. Armii Krajowej 80/20
85-020 Ciechanów"
"Gaja Fidler"	"al. Dąbrowskiej 765
97-141 Bełchatów"
"Kajetan Skotarek"	"ul. Okulickiego 480
44-029 Wągrowiec"
"Konstanty Jarkiewicz"	"plac Jadwigi 969
81-037 Cieszyn"
"Franciszek Zbróg"	"pl. Bema 57
45-397 Wałbrzych"
"pan Filip Wyrostek"	"pl. Jadwigi 054
09-497 Nysa"
"Emil Księżak"	"pl. Wojska Polskiego 58/86
57-246 Ciechanów"
"Tadeusz Misiurek"	"al. Wypoczynkowa 00/73
18-467 Koło"
"pani Aurelia Poleszak"	"ul. Poznańska 926
82-139 Kędzierzyn-Koźle"
"pan Franciszek Borysewicz"	"al. Bema 906
48-068 Wieluń"
"Maksymilian Dębniak"	"ulica Staffa 42
34-972 Bełchatów"
"Arkadiusz Łudzik"	"plac Krasickiego 36/28
12-085 Police"
"Fryderyk Utrata"	"plac Staszica 25/41
60-914 Elbląg"
"Leon Goliszek"	"pl. Paderewskiego 919
91-896 Tarnów"
"Klara Szkoda"	"plac Hallera 72/44
72-657 Dąbrowa Górnicza"
"Sonia Pajdak"	"pl. Niepodległości 426
08-839 Olkusz"
"pan Marek Fita"	"ul. Niepodległości 260
38-060 Białystok"
"Ewelina Guzdek"	"al. Władysława Łokietka 93/29
64-571 Chełm"
"Tobiasz Ferdyn"	"ul. Kalinowa 30/30
08-743 Żary"
"Leonard Laszkiewicz"	"ulica Popiełuszki 93/79
93-833 Szczytno"
"Maksymilian Gawłowicz"	"pl. Waryńskiego 81
61-240 Szczecin"
"Natan Świć"	"ul. Staszica 26/91
38-613 Marki"
"Jerzy Adrian"	"aleja Skłodowskiej-Curie 69/08
32-389 Płońsk"
"Aurelia Hapka"	"al. Działkowa 74/00
89-078 Zgierz"
"Krystian Zbroszczyk"	"aleja Dobra 68
18-479 Pruszków"
"Nicole Kulczak"	"plac Świerczewskiego 97
51-797 Jarosław"
"Ewelina Katana"	"al. Rynek 332
03-296 Piekary Śląskie"
"pan Witold Warwas"	"ulica Żwirki i Wigury 087
64-346 Będzin"
"Mikołaj Gromala"	"ul. Wolności 516
48-192 Bielsko-Biała"
"Sandra Labus"	"ul. Baczyńskiego 31/45
88-754 Gliwice"
"Maksymilian Irzyk"	"plac Długosza 47/27
56-431 Świętochłowice"
"pan Sebastian Ciepłuch"	"aleja Kreta 29/39
21-302 Szczecin"
"Cezary Słysz"	"ulica Wiejska 13/49
90-036 Wrocław"
"Nela Kurach"	"aleja Długosza 141
36-563 Częstochowa"
"Jędrzej Rybus"	"aleja Daszyńskiego 915
95-879 Cieszyn"
"pan Michał Jarczyk"	"aleja Kruczkowskiego 42
90-402 Chrzanów"
"Julita Mysiak"	"ul. Wyzwolenia 91/50
70-632 Żory"
"pan Robert Lesisz"	"al. Krzywa 62/22
30-071 Ostrów Wielkopolski"
"pan Olgierd Węgier"	"aleja Władysława Jagiełły 43
91-454 Jawor"
"pani Nela Kunka"	"pl. Kilińskiego 183
83-088 Grodzisk Mazowiecki"
"Maksymilian Janke"	"al. Daszyńskiego 172
41-964 Bielawa"
"Dawid Kordys"	"ul. Perłowa 52
54-566 Śrem"
"pani Marianna Boba"	"ul. Mazurska 301
28-523 Kalisz"
"Przemysław Krüger"	"aleja Długosza 44
25-545 Jastrzębie-Zdrój"
"Grzegorz Banak"	"pl. Drzymały 41
38-494 Cieszyn"
"Daniel Jarosik"	"pl. Miłosza 910
99-534 Tczew"
"pani Marcelina Taciak"	"aleja Głowackiego 10
33-171 Radom"
"Damian Kiełbowicz"	"aleja Rajska 25
76-463 Gorlice"
"Norbert Klemczak"	"ul. Kolejowa 56/75
92-467 Włocławek"
"pan Franciszek Jambor"	"pl. Jadwigi 50
51-826 Białystok"
"Maksymilian Kordys"	"ul. Bema 366
15-223 Zabrze"
"Marianna Sobisz"	"plac Kruczkowskiego 56/00
74-893 Mława"
"pan Juliusz Słoka"	"al. Zielna 243
46-042 Jaworzno"
"Sylwia Oziębło"	"ulica Starowiejska 635
11-982 Tczew"
"Ada Kopik"	"ul. Srebrna 802
93-095 Środa Wielkopolska"
"Stefan Łaskawiec"	"pl. Powstańców 741
46-599 Pruszków"
"pani Marika Śledzik"	"ulica Cegielniana 87/04
85-439 Mielec"
"Adrian Ernst"	"ulica Mokra 39/32
64-628 Otwock"
"Dominik Wlaźlak"	"ulica Poniatowskiego 30
20-278 Brodnica"
"Ryszard Kilar"	"aleja Piłsudskiego 71/77
61-800 Płońsk"
"Maksymilian Litwińczuk"	"ul. Partyzantów 69/57
51-491 Nowy Dwór Mazowiecki"
"Daniel Bogumił"	"al. Olchowa 27/76
27-401 Jawor"
"Jan Kurzak"	"al. Szarych Szeregów 34
92-884 Ostrów Wielkopolski"
"Julita Mytnik"	"pl. Kościuszki 91
87-048 Bochnia"
"Sylwia Krzyżostaniak"	"aleja Jana Sobieskiego 499
48-874 Skierniewice"
"Fryderyk Kubina"	"pl. Drzymały 74/45
46-761 Dzierżoniów"
"pan Emil Szczechowicz"	"aleja Skargi 565
93-809 Radomsko"
"pan Józef Pakosz"	"al. Starowiejska 37/21
96-545 Opole"
"pani Anna Maria Kurzyna"	"aleja Wesoła 00/90
90-103 Gdańsk"
"Grzegorz Polasik"	"aleja Kazimierza Wielkiego 33/84
04-410 Kościan"
"Maksymilian Mały"	"al. Dworcowa 05
02-147 Gorlice"
"Marcel Butrym"	"ulica Wieniawskiego 64
78-567 Jarosław"
"Marek Dziczek"	"ul. Dobra 730
59-622 Kutno"
"Dawid Jędrys"	"ulica Ceglana 46
53-402 Świdnica"
"Tymon Dobrosz"	"ulica Wolności 90
35-681 Jarosław"
"pani Monika Markiel"	"plac Krasickiego 164
28-198 Szczecin"
"Gustaw Słoka"	"pl. Jana 143
33-692 Skierniewice"
"Miłosz Podsiedlik"	"aleja Wesoła 948
65-520 Bielawa"
"Fabian Tłuczek"	"ulica Staszica 38
70-018 Białystok"
"Tadeusz Szkatuła"	"al. Żabia 627
54-204 Kutno"
"Maksymilian Osada"	"ul. Maja 394
87-038 Dzierżoniów"
"Angelika Pyda"	"ulica Maja 91/90
16-072 Gdańsk"
"Witold Breś"	"ul. Wiązowa 67/05
76-096 Żory"
"Marcel Kornak"	"al. Staffa 06/45
44-184 Wieluń"
"pan Rafał Klęczar"	"ulica Traugutta 94
75-430 Środa Wielkopolska"
"Tymoteusz Ciećko"	"aleja Głowackiego 056
03-078 Gorzów Wielkopolski"
"Sara Rejmer"	"ulica Kościuszki 33
20-260 Skarżysko-Kamienna"
"Julian Przekop"	"pl. Kilińskiego 94
73-698 Malbork"
"Sara Zaguła"	"aleja Bolesława Krzywoustego 78
79-441 Włocławek"
"pan Bruno Machowiak"	"ulica Cegielniana 84
63-002 Oświęcim"
"Maksymilian Pietrak"	"aleja Kasztanowa 74
59-807 Krotoszyn"
"pan Ryszard Czenczek"	"pl. Wyspiańskiego 48/24
29-976 Cieszyn"
"Łukasz Mendak"	"pl. Lelewela 08/65
81-174 Śrem"
"Marika Syroka"	"ul. Powstańców Śląskich 76
98-803 Lubartów"
"Arkadiusz Kupaj"	"pl. Żwirki i Wigury 362
41-733 Słupsk"
"Filip Fydrych"	"al. Reja 58
29-109 Bydgoszcz"
"Józef Bernatek"	"pl. Kopernika 57/60
33-240 Zambrów"
"Ernest Glonek"	"pl. Powstańców 716
11-556 Środa Wielkopolska"
"pani Marianna Zach"	"pl. Witosa 729
70-979 Zielona Góra"
"Aniela Fiołka"	"pl. Baczyńskiego 026
32-739 Żary"
"Maksymilian Reiter"	"aleja Daszyńskiego 49/24
27-717 Dzierżoniów"
"Oliwier Drgas"	"aleja Jałowcowa 25
36-558 Ostróda"
"Olga Pazdan"	"aleja Królewska 683
44-437 Sanok"
"Ryszard Prochownik"	"plac Kazimierza Wielkiego 34/00
47-596 Nowa Ruda"
"Maurycy Ćwirko"	"al. Nałkowskiej 12/44
59-715 Bytom"
"Albert Lew"	"plac Kosynierów 366
44-277 Radomsko"
"Liwia Klupś"	"pl. Maczka 72/53
23-196 Łuków"
"Fryderyk Stwora"	"aleja Matejki 08
03-722 Warszawa"
"Julian Smagacz"	"ulica Rycerska 532
67-470 Lublin"
"pan Nikodem Fularczyk"	"ul. Boczna 757
57-399 Augustów"
"Maksymilian Smal"	"ulica Miarki 10
57-594 Chełm"
"pani Ewelina Sobolak"	"ul. Piekarska 609
46-675 Giżycko"
"Inga Mazanek"	"aleja Paderewskiego 20/76
79-147 Polkowice"
"Ewa Domek"	"pl. Nałkowskiej 90/09
44-919 Lębork"
"Maciej Dzieża"	"al. Szarych Szeregów 13/18
20-399 Leszno"
"pani Monika Gula"	"ulica Kosynierów 833
66-788 Żyrardów"
"Nicole Szaj"	"al. Miła 51/29
05-682 Żyrardów"
"Arkadiusz Koczy"	"pl. Żwirki i Wigury 157
84-167 Gdynia"
"Nataniel Krzyszczak"	"aleja Tylna 94/63
18-559 Mysłowice"
"Szymon Schubert"	"ul. Wyszyńskiego 27/77
07-966 Koszalin"
"Maksymilian Zaguła"	"plac Popiełuszki 18/11
50-628 Sosnowiec"
"Alan Jędrak"	"pl. Daszyńskiego 05/74
60-161 Ostróda"
"Konstanty Kiełbik"	"al. Krasickiego 79/15
74-599 Chełm"
"Anna Maria Wita"	"pl. Norwida 51/40
66-636 Skierniewice"
"pan Miłosz Potyrała"	"ul. Majowa 93/27
61-736 Wejherowo"
"pani Nicole Szkup"	"pl. Jana III Sobieskiego 60/89
86-131 Zamość"
"Apolonia Poreda"	"plac Staszica 78
96-164 Chorzów"
"Janina Kryszczuk"	"al. Norwida 256
18-352 Lębork"
"Julian Kapral"	"plac Prusa 18
66-221 Przemyśl"
"Sebastian Rzeźniczak"	"plac Kossaka 50
34-419 Świebodzice"
"Maksymilian Zdancewicz"	"aleja Ściegiennego 49/98
18-745 Gniezno"
"Dominik Kuliberda"	"plac Floriana 33/05
64-778 Łowicz"
"Tomasz Frycz"	"aleja Rybacka 40/58
37-851 Czerwionka-Leszczyny"
"pani Sylwia Jany"	"ulica Rataja 17
38-222 Gorlice"
"pan Artur Zimoląg"	"ul. Krasickiego 525
25-862 Goleniów"
"pan Tymoteusz Mały"	"aleja Niecała 781
97-292 Puławy"
"Ada Fikus"	"pl. Mickiewicza 83/67
54-032 Knurów"
"Bartek Korpal"	"pl. Orzeszkowej 93/08
15-134 Cieszyn"
"Jerzy Dyjas"	"ulica Świerczewskiego 66
02-496 Jasło"
"Aniela Uziębło"	"aleja Kilińskiego 189
11-650 Łomża"
"Malwina Buszko"	"al. Krasińskiego 780
32-444 Wrocław"
"pan Iwo Pietraś"	"ulica Truskawkowa 93/71
60-540 Radomsko"
"Kajetan Kowalak"	"plac Staffa 37/72
07-289 Bolesławiec"
"Olgierd Grygo"	"al. Lubelska 06/78
89-451 Przemyśl"
"Dagmara Mandrysz"	"ulica Żabia 17/19
80-974 Wrocław"
"Bartek Szaj"	"ulica Perłowa 381
21-963 Piaseczno"
"pani Sara Matyka"	"ulica Strumykowa 439
67-295 Brzeg"
"Mateusz Kempka"	"pl. Makuszyńskiego 25/29
34-197 Nowy Targ"
"Kalina Andreasik"	"ul. Głowackiego 087
48-140 Wrocław"
"Melania Barszczak"	"ul. Cyprysowa 09
41-180 Wągrowiec"
"Malwina Fac"	"aleja Młynarska 23/33
66-318 Bochnia"
"pani Ida Sajnóg"	"plac Waryńskiego 11
09-768 Starachowice"
"Ada Pieczarka"	"al. Wojska Polskiego 74/77
37-296 Elbląg"
"Tadeusz Pyrz"	"aleja Wysoka 149
73-368 Siedlce"
"Nikodem Michniak"	"pl. Piłsudskiego 44
18-662 Jastrzębie-Zdrój"
"pan Jan Łyjak"	"ulica Solidarności 411
64-034 Świętochłowice"
"Dawid Bany"	"plac Batalionów Chłopskich 73/08
51-573 Sanok"
"pani Justyna Połom"	"ul. Wyszyńskiego 866
13-089 Bochnia"
"Tymon Dycha"	"ulica Pułaskiego 36/44
48-596 Łódź"
"Juliusz Szlaga"	"ul. Wyszyńskiego 641
20-759 Piastów"
"Malwina Janc"	"al. Kołłątaja 492
76-119 Świdnik"
"Robert Jenek"	"pl. Prusa 02
39-336 Suwałki"
"pani Agnieszka Matla"	"ulica Słoneczna 20/77
73-923 Legionowo"
"pan Kamil Antoszczyk"	"aleja Wojciecha 135
92-474 Ostrów Wielkopolski"
"Antoni Basista"	"ulica Górna 68/54
90-859 Mielec"
"Ewa Gradek"	"aleja Kreta 612
16-732 Ciechanów"
"Ryszard Sinkiewicz"	"pl. Malczewskiego 79
88-555 Kętrzyn"
"Tomasz Kołton"	"ulica Koralowa 314
69-350 Krotoszyn"
"Patryk Aleksander"	"ul. Kościuszki 566
71-201 Kraśnik"
"pani Marika Pachla"	"pl. Skargi 48
93-898 Piekary Śląskie"
"Malwina Kolarczyk"	"pl. Kościuszki 146
47-330 Bydgoszcz"
"Leonard Jany"	"aleja Batalionów Chłopskich 33/64
28-621 Skierniewice"
"Aurelia Zębik"	"pl. Tysiąclecia 76/49
67-482 Świdnik"
"Juliusz Kalota"	"ulica Żwirowa 587
50-492 Chełm"
"Konrad Loska"	"ul. Średnia 894
66-649 Tarnowskie Góry"
"Sara Materek"	"aleja Jana Sobieskiego 915
10-739 Kluczbork"
"pan Kamil Majos"	"aleja Letniskowa 45/47
12-021 Koszalin"
"Filip Janiszek"	"ul. Wypoczynkowa 56
06-690 Szczecin"
"Ada Bittner"	"ulica Kaliska 904
81-725 Sandomierz"
"pan Oliwier Tutka"	"ulica Pałacowa 71/07
59-654 Czeladź"
"Malwina Kołton"	"aleja Bolesława Krzywoustego 24/46
15-765 Kalisz"
"Patryk Pielach"	"aleja Turystyczna 58
91-324 Chojnice"
"pan Oskar Młyńczyk"	"plac Kazimierza Wielkiego 065
47-241 Radomsko"
"pan Mariusz Bujas"	"pl. Korfantego 39
48-919 Rybnik"
"pan Nikodem Podpora"	"aleja Diamentowa 78/14
64-951 Katowice"
"pani Anastazja Gilewicz"	"ulica Wojska Polskiego 812
48-246 Zduńska Wola"
"pani Ida Brząkała"	"ul. Morska 67/05
17-326 Radom"
"Aurelia Niebudek"	"al. Kraszewskiego 83/22
30-565 Sanok"
"pan Ignacy Maszczyk"	"ul. Polna 56/15
81-136 Zakopane"
"Sara Błądek"	"plac Kazimierza Wielkiego 387
84-415 Kościerzyna"
"Malwina Kranc"	"aleja Widokowa 499
10-572 Środa Wielkopolska"
"Krystian Chojna"	"al. Korfantego 245
21-690 Wałcz"
"Andrzej Fleszar"	"pl. Wyszyńskiego 907
37-529 Świnoujście"
"Tadeusz Drozda"	"ulica Szymanowskiego 08
52-563 Mysłowice"
"Michał Wenda"	"al. Tysiąclecia 20/37
03-421 Bełchatów"
"Maciej Szeszko"	"plac Skargi 835
37-177 Bydgoszcz"
"Tymon Krzyśko"	"aleja Tulipanowa 65/87
90-255 Wyszków"
"Marika Kolka"	"plac Chełmońskiego 61
35-175 Kwidzyn"
"Sebastian Michalkiewicz"	"aleja Urocza 01/96
40-763 Sieradz"
"Ksawery Prokurat"	"aleja Starowiejska 15
92-586 Nowa Ruda"
"Malwina Miotke"	"pl. Kosynierów 53
93-317 Mielec"
"Anna Maria Morka"	"aleja Rynek 41/65
50-132 Będzin"
"Angelika Myrcha"	"ul. Wilcza 767
45-073 Kwidzyn"
"Jędrzej Szczap"	"aleja Drzymały 97/09
04-210 Chełm"
"Patryk Petrus"	"pl. Maja 55
36-675 Racibórz"
"pani Justyna Matura"	"aleja Sadowa 95
07-993 Reda"
"Karol Kopała"	"al. Korczaka 47/78
92-279 Sochaczew"
"Artur Warych"	"ulica Zbożowa 51
13-223 Kędzierzyn-Koźle"
"Eliza Rochowiak"	"ul. Staszica 64/62
31-469 Giżycko"
"pani Eliza Mazepa"	"ul. Prusa 074
47-908 Wałcz"
"Malwina Mirga"	"ulica Cmentarna 70
40-515 Gorlice"
"Hubert Wąsek"	"al. Złota 345
42-899 Biłgoraj"
"Gaja Jakubiuk"	"aleja Kochanowskiego 458
26-440 Ciechanów"
"Radosław Klinkosz"	"aleja Głowackiego 42
61-462 Ostróda"
"pani Marianna Bilik"	"ulica Nadbrzeżna 57
01-846 Oława"
"Krystyna Bobryk"	"ul. Głowackiego 330
82-616 Zielona Góra"
"pan Wojciech Tomaszkiewicz"	"aleja Klonowa 88
49-324 Września"
"Bianka Syldatk"	"pl. Żwirki i Wigury 50
72-060 Mikołów"
"Ewa Dyjas"	"pl. Miłosza 94/24
17-738 Kościan"
"pani Agnieszka Calik"	"ul. Rejtana 236
74-801 Świebodzice"
"Malwina Samoraj"	"ulica Kościelna 43/84
53-312 Bielsko-Biała"
"Iwo Andruszko"	"aleja Reja 23/49
03-419 Kraków"
"Roksana Madura"	"ulica Szymanowskiego 313
45-259 Myszków"
"Borys Dubel"	"plac Tysiąclecia 39/61
02-428 Siemianowice Śląskie"
"Kaja Krzyśków"	"al. Leszczynowa 00
27-980 Bielsko-Biała"
"Łukasz Dorobek"	"ulica Batalionów Chłopskich 374
50-714 Grodzisk Mazowiecki"
"Kornelia Kręcisz"	"aleja Cmentarna 24
77-616 Kołobrzeg"
"pani Julianna Kulisz"	"al. Browarna 850
50-228 Luboń"
"Łukasz Sromek"	"pl. Krasińskiego 377
87-218 Kraśnik"
"Cezary Walusiak"	"plac Waryńskiego 244
38-294 Płońsk"
"Malwina Wojtaszak"	"ulica Jadwigi 71
90-660 Jawor"
"Ksawery Janke"	"pl. Malczewskiego 911
72-358 Skawina"
"Anna Maria Dolega"	"ulica Kołłątaja 022
86-089 Jasło"
"Szymon Janiszek"	"pl. Jana Sobieskiego 93/06
33-518 Piaseczno"
"Sandra Lisoń"	"ulica Pogodna 17/44
17-547 Grudziądz"
"Błażej Waloszek"	"plac Broniewskiego 864
49-859 Bolesławiec"
"Konrad Sobiło"	"al. Jaworowa 00
87-439 Radom"
"Artur Kuba"	"ulica Konstytucji 3 Maja 281
42-096 Białogard"
"Tadeusz Mrózek"	"plac Staffa 503
65-822 Kluczbork"
"Ernest Krzykała"	"pl. Kościuszki 38/13
65-106 Zawiercie"
"Marcel Cherek"	"plac Wolności 827
41-304 Inowrocław"
"Cezary Botor"	"al. Matejki 72
01-679 Kościan"
"Julianna Kranc"	"ulica Słowianska 088
49-455 Olsztyn"
"Marcelina Pachowicz"	"ulica Kossaka 65
95-489 Ełk"
"pan Jędrzej Dudziec"	"aleja Cisowa 824
06-259 Płońsk"
"Aleksander Pezda"	"ulica Żeromskiego 27
07-088 Piła"
"Albert Rurarz"	"plac Kossaka 00/34
36-406 Swarzędz"
"Urszula Olko"	"plac Baczyńskiego 72/44
48-307 Biała Podlaska"
"Nataniel Kudra"	"ul. Solidarności 82/20
93-154 Poznań"
"pani Apolonia Ornat"	"pl. Jadwigi 22
15-868 Świdnik"
"Marcel Grzelec"	"ul. Strażacka 50
86-452 Nowa Ruda"
"Ida Namysł"	"ul. Bema 45/72
53-821 Jaworzno"
"Przemysław Dub"	"ul. Powstańców Śląskich 814
96-042 Koszalin"
"Daniel Szywała"	"aleja Urocza 33
01-754 Olsztyn"
"pan Konstanty Bartoś"	"al. Podwale 508
63-821 Gdynia"
"pani Malwina Drążyk"	"aleja Chełmońskiego 177
07-890 Płock"
"pan Norbert Tofil"	"pl. Wyzwolenia 94/54
32-324 Pruszków"
"Justyna Misiejuk"	"al. Słowackiego 02
25-514 Stargard Szczeciński"
"Krystian Stiller"	"al. Kalinowa 25
23-095 Pabianice"
"Damian Sołtysek"	"plac Sawickiej 608
58-710 Piastów"
"Marcel Honkisz"	"plac Kosynierów 191
45-613 Brzeg"
"pan Maurycy Herba"	"ulica Srebrna 585
86-233 Koło"
"pani Monika Patora"	"al. Krucza 266
58-240 Gniezno"
"Roksana Macheta"	"aleja Zbożowa 02
78-391 Zduńska Wola"
"pan Gustaw Usarek"	"plac Mieszka I 37
25-275 Suwałki"
"pani Sonia Misiuk"	"ul. Wybickiego 14/75
54-666 Świecie"
"Albert Bastek"	"plac Piłsudskiego 440
68-309 Biłgoraj"
"Kornelia Wielgat"	"ul. Jaskółcza 51/43
56-727 Rzeszów"
"Jędrzej Sot"	"plac Kochanowskiego 682
69-339 Środa Wielkopolska"
"Nicole Niećko"	"ulica Piastowska 34/50
53-392 Zielona Góra"
"Marcel Koss"	"aleja Maja 217
63-208 Toruń"
"pani Nicole Karpik"	"plac Władysława Jagiełły 12/01
35-117 Otwock"
"Artur Hallmann"	"al. Wierzbowa 96/57
31-776 Toruń"
"Norbert Pajda"	"aleja Wiślana 23/34
20-471 Siedlce"
"Tomasz Nicewicz"	"al. Kolejowa 112
66-384 Rybnik"
"Daniel Swatek"	"pl. Kościuszki 155
33-313 Ostrowiec Świętokrzyski"
"pan Gabriel Trepka"	"ul. Morcinka 00/28
97-886 Kłodzko"
"Tymoteusz Solarek"	"pl. Powstańców 20
34-518 Ełk"
"Agnieszka Piskor"	"plac Wojska Polskiego 423
73-781 Żagań"
"Sandra Karyś"	"ul. Klasztorna 01
49-917 Opole"
"Marcel Wojtalik"	"pl. Armii Krajowej 18/02
14-549 Września"
"Olgierd Drobik"	"ulica Kruczkowskiego 889
09-072 Cieszyn"
"Aurelia Owsiany"	"plac Kochanowskiego 63/10
56-147 Środa Wielkopolska"
"Dagmara Sędek"	"ul. Leśna 575
07-510 Racibórz"
"Stanisław Ropiak"	"al. Śląska 78
28-504 Kwidzyn"
