"A. Fehér Gábor","Kereszthidai utca 215.
H-1269 Dunakeszi" 
"Fodor Horváth Irma","Nagykanizsai utca 96.
H-5656 Felsőmindszentfalva"
"Kissné Dr. Lukács Krisztina Andrea","József attila út 25.
H-5384 Tótkőrös"
"Dr. Farkas Katalin Magdolna","Petőfi sándor utca 226.
H-1486 Székesfehérvár"
"Dudás S. István","Egeri utca 172.
H-8748 Balatonfürdőváros"
"Kiss Ferenc Szilárd","Zalaegerszegi utca 244.
H-9122 Keresztharaszti"
"Dr. Horváth Csabané","Ady endre utca 132.
H-8298 Ráckövesd"
"Faragó Henrietta Bernadett","Petőfi utca 77.
H-1817 Nyírmindszentnádasd"
"Dr. Farkas Z. Barnabás","Egeri utca 133.
H-1015 Tótbánya"
"Dr. J. Rácz Erika","Hetvennádasdi utca 149.
H-3267 Székesfehérvár"
"T. Farkas Zoltán","Kossuth utca 88.
H-2031 Szeged"
"Dr. Nagy Dániel","Ady endre utca 159.
H-8828 Mártonfalu"
"Kissné Dr. Molnár Anna","Debreceni út 147.
H-9378 Sopron"
"Szabó Valéria Viktória","Fürdőfalui utca 132.
H-7086 Fürdőfalu"
"Pál Zsuzsanna","Dunagyörgyi utca 11.
H-8320 Balatontapolcavára"
"Dr. Tóth Nóra","Budakereszti út 42.
H-7107 Vác"
"Dr. Ráczné Orsós Julianna","Tapolcaapátii utca 217.
H-9730 Cegléd"
"Kocsisné Szabó Noémi","Kossuth tér 225.
H-1531 Szerbgyörgyháza"
"Molnárné Dr. Horváth Katalin Anita","József attila utca 90.
H-4921 Pusztakeresztbánya"
"Szabó János","Egeri utca 200.
H-5944 Mosonmagyaróvár"
"Dr. Szőke Mészáros Róbert","Szolnoki utca 247.
H-2423 Székesfehérvár"
"Bogdán Lászlóné Bakos Rozália","Mellékvári tér 41.
H-5396 Békéskeresztnémeti"
"Kissné Dr. Tóth Ildikó","Szigetszentmiklósi utca 247.
H-7649 Mindszentfalu"
"Molnár László Károly","Petőfi sándor utca 227.
H-1449 Nádasd"
"Prof. Dr. Varga József Miklós","Kunmindszenti utca 86.
H-2146 Budapest"
"Horváth Ferenc Zoltán","Dózsa györgy utca 187.
H-9619 Balatonbánya"
"Kovács László Patrik","Ady endre utca 177.
H-8977 Hetvenapáti"
"Váradi Tamás Zoltán","Szabadság utca 122.
H-5328 Fürdővára"
"Nagy Balázs Ibolya","Tamásivárosi utca 140.
H-9263 Székváros"
"Dr. Kiss Jánosné","Balatontóti tér 177.
H-7788 Hídfa"
"Dr. Antalné Somogyi Erika","Magyarhetveni utca 88.
H-1057 Nagykanizsa"
"L. Szabó Sándor","Újhídi utca 194.
H-4903 Mindszentdevecser"
"Kissné Dr. Vincze Magdolna","Petőfi utca 10.
H-9805 Szigetszentmiklós"
"Szücs Andrea Enikő","József attila út 250.
H-7963 Drávaváros"
"Szabó Ádámné","Keresztapátii utca 243.
H-9221 Rácmelléknádasd"
"Soós Bálint István","Szabadság utca 175.
H-9804 Békésgyörgybánya"
"Mészáros Gyöngyi","Lajoshetveni utca 36.
H-7820 Székbánya"
"Dr. Juhász Noémi","Felsőháti utca 80.
H-2919 Baja"
"Bogdán Józsefné Juhász Erika","Tapolcadevecseri utca 121.
H-8600 Szeged"
"Dr. Sándor Hunorné Horváth Mária","Mosonmagyaróvári utca 141.
H-2692 Székberény"
"Dr. Bogdán Dánielné","Hetvenkőrösi utca 192.
H-1866 Újdevecser"
"Dr. Mezeiné Horváth Magdolna","Nagykanizsai út 111.
H-2887 Györgyapáti"
"Kissné Lukács Erzsébet","Petőfi út 88.
H-5628 Szeged"
"Tóth Tímea Tünde","Mindszentváradi utca 180.
H-5230 Pécs"
"Horváth S. Attila","Győri utca 19.
H-1360 Pusztaligetnádasd"
"Máténé Tóth Ilona","Fürdőváradi utca 166.
H-4537 Mosonmagyaróvár"
"Dr. Tóth Péterné Juhász Barbara","Érdi utca 29.
H-1225 Tatabánya"
"Dr. Balogh Zoltánné Németh Mária","Nyéktapolcai út 212.
H-7290 Belsőhíddevecser"
"Lukács Gizella Gizella","Mosonmagyaróvári utca 201.
H-1579 Tamásikőrös"
"Dr. Fodorné Nagy Erika","Mátrai tér 14.
H-8535 Mellékhida"
"Dr. N. Szekeres Tímea","Dózsa györgy utca 92.
H-8293 Dunakeszi"
"Dr. Hegedűs Varga Terézia","Kereszthalasi utca 23.
H-7965 Hetvenfalu"
"Kissné Prof. Dr. Borbély Gréta","Béke út 10.
H-9252 Miskolc"
"Lászlóné Dr. Szabó Katalin","Dunaszéki utca 37.
H-2812 Ózd"
"Kovácsné Dr. Tóth Magdolna","Arany jános utca 248.
H-9876 Tiszaligetfalu"
"Takács Gabriella","Keresztnémetii utca 45.
H-1271 Eger"
"Molnár Nagy Mária","Balatoni utca 32.
H-1306 Szombathely"
"Kovács Jánosné Jónás Adrienn","Veszprémi tér 137.
H-8550 Békésligetvárad"
"Lakatos Éva","Fürdőfalvai utca 74.
H-3933 Vác"
"Tóth Mária","Felsőtóti utca 71.
H-8503 Sopron"
"Dr. Szőke L. László","Mezőligeti tér 44.
H-1791 Hátvárad"
"Dr. Orbán Molnár Béla","Lajosi utca 126.
H-2993 Sopron"
"Kissné Tóth Emma","Debreceni utca 89.
H-6797 Balatonhetvendevecser"
"Szabó B. Ágnes","Keresztfai utca 95.
H-4482 Veszprém"
"Fodorné Dr. Katona Mária Zsuzsanna","Hátharasztii utca 78.
H-1444 Ráctapolcaberény"
"Dr. Lakatosné Fehér Veronika","Szabadság utca 3.
H-9683 Balatonszékfa"
"Szabó T. Piroska","Kaposvári utca 250.
H-9021 Tapolcafa"
"Dr. Oláh Pintér Henrik","Kaposvári utca 120.
H-1440 Bácstapolcakőrös"
"G. Szalai Károly","Arany jános tér 139.
H-2090 Nagyhátvár"
"Dr. Balog Endre","Győri utca 46.
H-8044 Kistamásifalva"
"Dr. Kovács András","Dunakeszii utca 23.
H-7324 Borsodligetnádasd"
"Baloghné Balog Éva Csilla","Arany jános utca 167.
H-7264 Zalaegerszeg"
"Kocsis Balázsné","Tiszatapolcai utca 54.
H-4426 Oroszhátfalva"
"Simon Nagy Dorottya","Fürdőhidai utca 222.
H-8383 Szerbkövesd"
"Lakatos Erzsébet Gabriella","Györgyváradi utca 177.
H-1206 Mellékvára"
"Dr. Molnár Györgyné","Dunaújvárosi út 205.
H-9195 Ligetfa"
"Szabóné Dr. Balog Éva Mária","Drávakereszti utca 54.
H-6853 Hídhalas"
"Bogdán Szűcs Ágnes","Arany jános utca 61.
H-8009 Alsószékhida"
"Kovács Jánosné Nagy Ilona","Ady endre utca 229.
H-7069 Újtapolcavára"
"E. Gál Margit","Belsőháti utca 41.
H-2499 Mártonváros"
"Horváthné Dr. Pintér Mónika Katalin","Béke utca 194.
H-3649 Hajdúligetfalu"
"Nagy Mária","Ady endre utca 127.
H-7550 Hajdúhídkőrös"
"Kocsis Ferencné Kiss Ildikó","Béke utca 176.
H-9355 Mellékdevecser"
"Kovácsné Dr. Sándor Nóra Julianna","Nádasdi utca 7.
H-3263 Mártonváros"
"Horváth Gábor","Tatabányai utca 125.
H-5741 Veszprém"
"Dr. Budainé Balla Tünde","Salgótarjáni utca 108.
H-2766 Törökhídhida"
"Dr. Oláh Zsoltné","Salgótarjáni utca 55.
H-4680 Tapolcaharaszti"
"Dr. Péter L. Kornél","Fürdőfalvai utca 165.
H-4654 Szenttapolcabánya"
"Horváthné Dr. Horváth Nóra Judit","Szabadság tér 17.
H-8511 Nyékhátvárad"
"E. Szabó Andrea","Kaposvári utca 93.
H-8631 Fa"
"Péter Kovács Zsolt","Nyíri tér 148.
H-6685 Németmártonkövesd"
"Molnár Jánosné Farkas Magdolna","Arany jános utca 63.
H-3638 Györgyharaszti"
"Kocsis J. Tamás","Keresztberényi utca 189.
H-1446 Nagygyörgyhalas"
"Dr. Kovács Szilvia Terézia","Tiszamártoni utca 127.
H-7590 Tapolcaberény"
"Hegedüs Ferenc Antal","Szerbligeti út 19.
H-8992 Tamásifalu"
"Vinczené Dr. Balogh Júlia","Tatabányai utca 199.
H-8267 Mártonkövesd"
"Szabóné Szücs Éva","Tamásiváradi utca 104.
H-2913 Balatonmártonkőrös"
"Dr. Váradi Gáborné","Arany jános utca 82.
H-3835 Nagykanizsa"
"Dr. Horváthné Szűcs Ildikó","Kuntóti utca 159.
H-9498 Tiszatamásiháza"
"Nagy R. Enikő","Kossuth utca 116.
H-4856 Fürdőbánya"
"Varga Éva","Tapolcafalui utca 230.
H-3242 Tamásiharaszti"
"G. Lakatos Tibor","József attila utca 132.
H-1410 Fürdőnémeti"
"Kocsis Jolán Ilona","Budamindszenti utca 84.
H-5651 Érd"
"Soós K. Luca","Hátvári út 216.
H-3139 Ligetvárad"
"Somogyi Viktor","Budamártoni utca 243.
H-8104 Székdevecser"
"Dr. Szabó Mária Irén","Egeri utca 229.
H-6226 Tótharaszti"
"Z. Lengyel Barbara","Hídharasztii utca 112.
H-9433 Hetvenvára"
"T. Orsós Katalin","Hetvenvári tér 142.
H-4702 Hajdúgyörgynémeti"
"M. Nagy Réka","Szabadság utca 75.
H-3955 Baja"
"Kovács A. Jolán","Dózsa györgy út 103.
H-8080 Mártonvára"
"Molnár Szabolcs István","Váci utca 56.
H-9774 Szeged"
"L. Lukács Gábor","Hídfalvai utca 150.
H-5724 Hátvárad"
"Kocsis Krisztina","Mártonapátii utca 94.
H-6126 Érd"
"Kovács Aranka Judit","Dunaújvárosi utca 61.
H-3123 Mellékharaszti"
"Kissné Takács Ildikó","Nagyfürdői utca 211.
H-3834 Békéscsaba"
"Dr. Szilágyiné Mészáros Zsófia Ilona","Ady endre utca 45.
H-8406 Bácsmártonharaszti"
"Dr. Fehér Gyulané","Házai út 134.
H-5961 Fa"
"Farkas Márton","Németmindszenti utca 239.
H-1157 Mindszentnádasd"
"Gálné Dr. Hegedűs Zsuzsanna","Tamásifalvai utca 54.
H-5249 Mátrafürdőfa"
"Deák Dóra","Mezőkereszti utca 153.
H-5183 Mártonfalu"
"Dr. Csonka C. László","Szabadság út 166.
H-1703 Drávaszékváros"
"Dr. Pintér Mária Mária","Győri utca 77.
H-5874 Egyházashíddevecser"
"Kocsis Krisztián","Hetvenvárai utca 15.
H-5413 Tamásifa"
"Hegedüsné Sipos Ágnes Mária","Alsómindszenti utca 182.
H-4869 Bakonymártonnémeti"
"L. Balog Gergő","Újkereszti utca 124.
H-8541 Budapest"
"Szücsné Dr. Kiss Mária Zsuzsanna","Hajdúkereszti utca 176.
H-3138 Mártonvég"
"Szőke Sándor","Békésgyörgyi út 243.
H-4948 Hetvenvég"
"Farkas Tóth Csilla","Mellékapátii utca 37.
H-1151 Balatontapolcahida"
"Baloghné Lukács Gizella Eszter","Fürdővárosi út 46.
H-7811 Nagyligetharaszti"
"Vass M. Gréta","Arany jános utca 89.
H-6560 Nyékszékvég"
"Dr. Nagy Katalin Mária","Nyírtapolcai utca 231.
H-8061 Baja"
"Molnár Anna Ilona","Érdi utca 7.
H-7902 Alsóhátvár"
"Kocsis Molnár Ilona","Szerbháti utca 217.
H-2118 Ózd"
"Majorné Horváth Mónika Aranka","Nagyfürdői tér 42.
H-8977 Kecskemét"
"Dr. Dudás Zsoltné","Veszprémi utca 215.
H-1634 Szentligetdevecser"
"Horváth Imrené Deák Edit","Tótapátii utca 18.
H-6722 Hátnádasd"
"Dr. Kovács Richárdné Kovács Eszter","Mosonmagyaróvári út 38.
H-8054 Város"
"Dr. Szőke M. Ferenc","Magyarfürdői utca 244.
H-6056 Szentkeresztvár"
"Szilágyiné Pataki Katalin Ágnes","Arany jános tér 186.
H-2836 Debrecen"
"Patakiné Szabó Petra","Mártonnémetii utca 25.
H-7332 Tamásivára"
"Jakab Horváth Julianna","Fürdőapátii út 233.
H-1532 Keresztvárad"
"Prof. Dr. Halász Lászlóné","Hetvendevecseri utca 190.
H-8232 Cegléd"
"Kocsis Mária Dorina","Mindszentházai tér 47.
H-8267 Tapolcaváros"
"Sipos Nemes Gabriella","Petőfi sándor tér 24.
H-9120 Salgótarján"
"Kovács Emma","Fürdőapátii utca 177.
H-8303 Váckőrös"
"Kovácsné Jakab Irén Andrea","Mellékváradi utca 115.
H-2086 Váckeresztvára"
"Dr. Máté M. József","Kossuth utca 106.
H-9616 Mellékdevecser"
"Tóth L. Gábor","Fürdőberényi utca 250.
H-2299 Szombathely"
"Szabóné Molnár Adrienn","Nyírmártoni út 226.
H-7085 Szenttótfalva"
"Dr. Sárköziné Farkas Margit Fanni","Hajdúligeti utca 4.
H-7513 Tamásiapáti"
"I. Szabó Zsuzsanna","Tótfai utca 68.
H-4681 Békésfürdőhida"
"Szabó K. Julianna","Rácmindszenti tér 170.
H-6089 Szenthátbánya"
"Kocsis Norbertné","József attila tér 131.
H-6967 Tamásivárad"
"Kovács Ernőné Horváth Zsuzsanna","Petőfi sándor út 8.
H-8028 Pusztamártonhalas"
"Dr. Hegedűs Gyulané","Ady endre utca 175.
H-7792 Somogytamásiharaszti"
"Dr. Szabó Zoltánné","Fürdődevecseri utca 226.
H-1230 Mellékfalva"
"Dr. Horváth Péterné","Dózsa györgy utca 115.
H-2814 Szerbtamásivára"
"Nagyné Dr. Szőke Mária","Érdi utca 200.
H-2879 Vácmártonvárad"
"Gulyás Károly Zoltán","Székesfehérvári utca 237.
H-8887 Békéscsaba"
"Pásztor Gyula","Keresztvárai utca 6.
H-4179 Debrecen"
"Király Balogh János","Kossuth tér 69.
H-3990 Kiskeresztnádasd"
"Dr. Kelemen A. Irma","Ráctóti út 139.
H-6737 Tótkövesd"
"Kocsis O. Anikó","Úji utca 121.
H-8969 Cegléd"
"Dr. Molnár Krisztina","Várai utca 173.
H-5385 Nagyszékfalva"
"Kovács Magdolna","Bajai utca 58.
H-2569 Miskolc"
"Németh L. József","Kisgyörgyi utca 249.
H-3710 Dunaújváros"
"Szabóné Somogyi Margit","Ligethalasi utca 241.
H-1337 Fürdőháza"
"Dr. Orsós Antalné","Arany jános út 18.
H-6861 Dunamártonhalas"
"Gulyás Zoltánné Magyar Erika","Mártonnémetii tér 152.
H-8311 Borsodtamásiapáti"
"Dr. Tóth Ernőné","Zalaegerszegi utca 2.
H-4348 Váchetvennádasd"
"Kis Györgyné Mezei Eszter","Ózdi tér 73.
H-1911 Ligetvég"
"Orbánné Horváth Mária","Belsőszéki út 176.
H-3866 Tiszatótnémeti"
"Kocsis Ádám Szabolcs","Petőfi utca 187.
H-9236 Tóthida"
"Nagy Rozália Gyöngyi","Székkőrösi utca 156.
H-5385 Györgykőrös"
"Juhász Gáborné Sárközi Ilona","Debreceni utca 191.
H-8780 Pécs"
"Nagy Vincze Gyula","Dózsa györgy utca 23.
H-5573 Eger"
"Farkas Dávid Máté","Mellékfalui tér 188.
H-7250 Nyírkőrös"
"Horváth Katalin Rózsa","Nyíregyházai utca 250.
H-1163 Mártonkőrös"
"Oláh Imre Krisztián","Hetvenberényi tér 165.
H-9643 Békésfürdőberény"
"B. Boros Zsuzsanna","Kecskeméti út 93.
H-9619 Kungyörgyvár"
"A. Péter László","Lajosmártoni utca 80.
H-5052 Alsóháthida"
"Dr. A. Gáspár Géza","Oroszháti utca 182.
H-6528 Érd"
"Kocsisné Dr. Molnár Orsolya","Érdi utca 117.
H-7440 Pusztatamásihida"
"Dr. Balog József","Keresztharasztii tér 218.
H-3465 Keresztháza"
"Dr. Szalai Lászlóné","Dózsa györgy utca 145.
H-9325 Cegléd"
"Katona Andrea","Veszprémi utca 44.
H-5746 Szolnok"
"Dr. N. Kovács Kornél","Dózsa györgy utca 116.
H-5445 Felsőmellékvárad"
"Barnané Szabó Rozália Anna","Pécsi utca 150.
H-1890 Alsótótvárad"
"Dr. Takács Z. Zoltán","Arany jános utca 225.
H-3859 Váctótdevecser"
"Horváthné Dr. Papp Gabriella","Pusztaszéki utca 130.
H-1676 Dunatapolcavég"
"Szilágyi G. Milán","Végi út 32.
H-3689 Székbánya"
"Jakab Zsolt Tibor","Székfai utca 216.
H-3935 Tapolcaharaszti"
"Kovács A. Alex","Kossuth utca 114.
H-1412 Szombathely"
"A. Papp Máté","Szabadság utca 206.
H-5917 Tótkövesd"
"Fülöp Ildikó Jolán","Ózdi utca 128.
H-2215 Hetvenháza"
"Horváth Katalin","Falvai utca 105.
H-8309 Pécs"
"Lengyel István Viktor","Ady endre tér 120.
H-3718 Tapolcaberény"
"Vargané Dr. Molnár Erika Andrea","Egyházasligeti utca 62.
H-8431 Apáti"
"Papp Gusztáv","Arany jános utca 40.
H-7931 Mindszentkőrös"
"R. Szabó Katalin","Fürdőfalvai utca 9.
H-9654 Miskolc"
"Gulyásné Fekete Katalin","Pilishídi utca 107.
H-3994 Nyíregyháza"
"Hegedüs Z. Ilona","Petőfi sándor utca 197.
H-5057 Tótharaszti"
"Kovács A. Erzsébet","Ózdi utca 203.
H-7816 Belsőmellékkövesd"
"Orsós Imrené","Kistapolcai utca 68.
H-4006 Mezőhídnémeti"
"Dr. Fodor Molnár Irén","Budahídi utca 216.
H-6020 Dunaújváros"
"E. Szabó Lilla","Mellékharasztii utca 101.
H-4018 Magyarmellékbánya"
"Tamásné Kiss Piroska Bettina","József attila utca 155.
H-8100 Kuntamásivég"
"Kovács Rolandné","Petőfi sándor út 114.
H-5042 Hídkőrös"
"Balog Luca Edit","Belsőkereszti tér 247.
H-7162 Németszékbánya"
"Dr. Tóth Istvánné Márton Tünde","Egeri utca 105.
H-8132 Miskolc"
"Kiss Erzsébet Tünde","Petőfi sándor utca 203.
H-8562 Újkeresztbánya"
"Dr. Nagy Szabó Róbert","Ózdi út 236.
H-3972 Fürdőfalu"
"Kovács András Zoltán","Szombathelyi utca 171.
H-8862 Széknádasd"
"Pál Mária","Hajdúkereszti utca 45.
H-4363 Pécs"
"Szabóné Dr. Veres Julianna","Kaposvári utca 143.
H-6270 Mezőfürdőnémeti"
"Dr. Gulyásné Tóth Alexandra","Székesfehérvári utca 126.
H-6450 Nádasd"
"É. Rácz Bernadett","Hátfalui utca 114.
H-9074 Nagyhídhida"
"Tóthné Dr. Tóth Bianka Réka","Budamindszenti utca 185.
H-9918 Kaposvár"
"Nagy Adrienn Klára","Budapesti utca 66.
H-3703 Keresztfalva"
"Horváthné Takács Dóra","Arany jános utca 127.
H-2107 Németmellékkövesd"
"Dr. Tóthné Kiss Piroska","Egyházasligeti utca 187.
H-3123 Nyíregyháza"
"Dr. Mészáros J. Valéria","Tapolcafalvai utca 212.
H-7172 Szeged"
"Kovács András","Kishídi utca 5.
H-6131 Nyékfürdővárad"
"Kelemen Á. György","Veszprémi út 147.
H-9990 Mátraligetvárad"
"Somogyiné Dr. Tóth Katalin Alexandra","Újmindszenti utca 188.
H-7735 Salgótarján"
"Pap P. Ferenc","Bajai utca 222.
H-2793 Alsóhátbánya"
"Dr. Mezei Gáborné","Dunaújvárosi utca 138.
H-7945 Pusztakeresztbánya"
"Oláh Zsolt","Mosonmagyaróvári utca 76.
H-9578 Rácszékfalu"
"Szabó Benjáminné Bálint Anna","Ózdi utca 98.
H-5096 Györgyvárad"
"Dr. Baloghné Németh Julianna","Dózsa györgy tér 126.
H-5900 Németi"
"T. Juhász Ferenc","Ady endre utca 31.
H-5179 Felsőmártonkövesd"
"Mezei Anikó Ilona","Ady endre utca 120.
H-7630 Kereszthalas"
"Kovács Anna","Tamásiváradi utca 112.
H-8993 Pilistapolcakövesd"
"Molnárné Dr. Barna Irén","Hídfalui utca 26.
H-8403 Lajoshíddevecser"
"Tamásné Török Éva","Tamásiberényi tér 212.
H-1060 Újszékharaszti"
"Kissné Dr. Kovács Gizella","Fürdőfai utca 40.
H-1163 Ligetkövesd"
"Dr. G. Barta Zoltán","Béke utca 153.
H-6462 Mátravég"
"B. Nagy János","Tapolcavárai út 212.
H-3815 Mellékfalu"
"Szűcs Dánielné Papp Eszter","Szabadság utca 142.
H-6150 Mezőtapolcavára"
"Dr. Rácz Kiss József","Hetvenkövesdi utca 232.
H-4939 Drávamindszentvárad"
"Molnár Kitti","Mártonberényi utca 91.
H-2350 Nyéktótbánya"
"Dr. Pap Anett Irén","Mártonházai utca 193.
H-1751 Sopron"
"Kovács Antal Attila","Ceglédi utca 106.
H-4492 Baja"
"Tóthné Illés Mária","Soproni utca 181.
H-8620 Nyékmindszentbánya"
"Fábián R. Zsolt","Petőfi sándor utca 93.
H-6759 Békéscsaba"
"Hegedűsné Dr. Kiss Mária Mária","Budatamásii utca 222.
H-2830 Székvár"
"J. Nagy László","Budamártoni utca 194.
H-8695 Kishátkövesd"
"Jónás Horváth József","Tamásifalvai utca 206.
H-4399 Tapolcahida"
"Balogh Levente","Györgykövesdi utca 168.
H-5495 Németi"
"Dr. Molnár Mária Erika","Debreceni utca 85.
H-8996 Drávatapolcafalva"
"Kovácsné Dr. Kiss Anna","Györgybányai utca 243.
H-1283 Sopron"
"Vargané Nemes Enikő Gizella","Szabadság utca 87.
H-9072 Tamásidevecser"
"Kovács Antal Sándor","Szerbmelléki utca 200.
H-4257 Békésszékbánya"
"Nemes Kovács Dávid","Mátraligeti utca 46.
H-4026 Nagymártonnémeti"
"Szabóné Dr. Biró Katalin","Szentligeti utca 156.
H-7199 Tapolcafalu"
"Nagy Norbert József","Ceglédi utca 76.
H-3238 Tamásivég"
"Kovács T. Éva","Debreceni utca 117.
H-1381 Újhídvárad"
"Dr. Nagy Tóth Gergely","Szabadság utca 147.
H-3699 Debrecen"
"Dr. Tóthné Kovács Anna","Melléknádasdi utca 246.
H-6762 Belsőmártonvég"
"Pál Anna Edit","Bakonyligeti út 72.
H-3818 Szerbhátdevecser"
"Vörös Ágnes Ibolya","Ady endre tér 111.
H-8044 Győr"
"László Szilvia Zsanett","Keresztbányai út 10.
H-7811 Tapolcaharaszti"
"Kovács Barnabás","Petőfi sándor utca 126.
H-5106 Ligethida"
"Molnár Zoltán Ferenc","Ady endre utca 83.
H-2828 Várad"
"Kovács János","Salgótarjáni utca 205.
H-6155 Mátratótdevecser"
"Papp Tóth Antal","Béke utca 118.
H-2149 Nyéktapolcanádasd"
"Gulyás Tamásné","Tamásivárai út 114.
H-3710 Dunakeszi"
"Dr. Lengyel László János","Fürdővárosi utca 213.
H-4904 Hídkövesd"
"Dr. Tóthné Budai Rozália Márta","Salgótarjáni utca 229.
H-4014 Mosonmagyaróvár"
"P. Lukács Veronika","Mosonmelléki utca 35.
H-6411 Mindszentvárad"
"Varga László Róbert","Dunatóti tér 142.
H-5332 Magyarmártonbánya"
"Kovácsné Molnár Anna","Kossuth tér 87.
H-9570 Szentligetvárad"
"Kovács D. Levente","Mosonmagyaróvári utca 28.
H-9130 Kecskemét"
"Dr. Oláhné Gál Annamária","Mindszentfalui utca 184.
H-7184 Szenthídfalu"
"Kovács Ferencné","Váci utca 73.
H-3492 Somogymártonhida"
"Dr. Nagy M. Julianna","Váctapolcai utca 66.
H-9853 Sopron"
"Dr. Jakab Gyulané Németh Zsuzsanna","Petőfi utca 224.
H-9808 Győr"
"Dr. Kovács Istvánné","Hajdúfürdői utca 112.
H-9858 Mindszentkövesd"
"Molnár Erzsébet Ildikó","Keresztvári utca 25.
H-4437 Érd"
"Nagy R. Mária","Petőfi sándor utca 39.
H-9163 Alsóhídnádasd"
"Fodor Petra","Hídváradi út 113.
H-1448 Szeged"
"Simon L. Géza","Tapolcaberényi utca 212.
H-9336 Felsőtótapáti"
"Kovács Dániel Zsigmond","Váci utca 41.
H-6490 Tapolcavég"
"S. Sándor Dániel","Dunahetveni utca 182.
H-1764 Cegléd"
"Farkas Horváth Pál","Budamártoni út 16.
H-5726 Cegléd"
"Dr. Tóth L. László","Szerbgyörgyi tér 129.
H-1169 Ózd"
"Varga Szabó István","Tamásikőrösi utca 56.
H-5703 Székhida"
"Virág Varga Henrietta","Mártonhidai utca 101.
H-5754 Ligetvár"
"Dr. Papp Z. Zsolt","Nagykanizsai út 133.
H-5294 Hajdúmelléknádasd"
"Dr. J. Bálint Mária","Tapolcaberényi utca 91.
H-4590 Hódmezővásárhely"
"Halász A. István","Petőfi sándor utca 58.
H-7825 Magyarhetvendevecser"
"Sándor Kovács Erzsébet","Kisgyörgyi utca 178.
H-6467 Mindszentkövesd"
"Kovács Dávid László","Arany jános utca 171.
H-7675 Keresztvég"
"Dr. Máté Balogh Erika","Kossuth utca 243.
H-9602 Ligetharaszti"
"Némethné Varga Magdolna Emese","Kunmelléki tér 222.
H-2987 Hajdúhídbánya"
"Dr. Nagy Gabriella","Szabadság utca 79.
H-9777 Mártonfa"
"Kovács Anna Mária","Kaposvári utca 123.
H-4689 Szerbgyörgyharaszti"
"Varga Anna","Miskolci utca 29.
H-1823 Veszprém"
"Kovács László László","Dunakeszii utca 76.
H-3726 Nagytapolcahida"
"Király István Tamás","Petőfi sándor utca 25.
H-6682 Székesfehérvár"
"Katona S. Alex","Petőfi út 149.
H-1429 Érd"
"Dr. Kovács R. Bence","Fürdővárai tér 241.
H-4067 Ligetkövesd"
"Kovács Erika","Tapolcakövesdi út 73.
H-8588 Pilishíddevecser"
"A. Bognár Anna","Bácshídi utca 230.
H-5218 Ligetvára"
"Székely Ágnes","Béke utca 164.
H-4544 Lajosmindszentvég"
"Nagy Zoltánné Somogyi Ilona","Ady endre utca 171.
H-9044 Nagykanizsa"
"Boros Mónika Katalin","Németmártoni utca 139.
H-2300 Tótváros"
"B. Orosz Beáta","Petőfi utca 60.
H-4320 Fürdővárad"
"A. Tóth Imre","Fürdőhalasi utca 83.
H-6028 Kaposvár"
"Dr. Horváth B. András","Hódmezővásárhelyi tér 108.
H-6955 Falu"
"Tóth Tamásné","Nyíregyházai utca 212.
H-3132 Sopron"
"Horváth M. László","Nyíregyházai utca 153.
H-1497 Törökgyörgyvára"
"Kovács Fekete Dominik","Ady endre utca 40.
H-4128 Mosonmagyaróvár"
"Biró Magyar András","Borsodkereszti út 192.
H-9335 Híddevecser"
"Nagy Mészáros Mária","Ady endre utca 225.
H-6435 Szolnok"
"Hegedűs Horváth Erzsébet","Magyari utca 112.
H-3749 Tatabánya"
"Péterné Molnár Nóra","Kossuth utca 240.
H-4969 Tapolcaberény"
"Horváth D. János","Kecskeméti tér 40.
H-9759 Debrecen"
"Nagy Péter","Hetvenfalui utca 103.
H-6843 Tapolcavár"
"Horváth A. Sándor","Szerbhídi tér 223.
H-9060 Kecskemét"
"Szabó Petra Ágnes","Drávamindszenti utca 246.
H-9536 Némethetvenfa"
"É. Katona Katalin","Budagyörgyi tér 192.
H-1761 Győr"
"Kovács Fekete Judit","Alsóhetveni utca 158.
H-1605 Nagykanizsa"
"Dr. Juhász Zoltán","Dózsa györgy utca 202.
H-7975 Mosonmagyaróvár"
"M. Fekete Erika","Ligetvárai utca 124.
H-1268 Hídhalas"
"Dr. Kiss K. Pál","Arany jános utca 154.
H-8661 Tatabánya"
"Pintér M. Rozália","Ligethalasi utca 250.
H-3983 Hetvenapáti"
"Dr. Nagy J. Mihály","Dózsa györgy utca 6.
H-4554 Dunakeresztfa"
"Fülöpné Farkas Rita Barbara","Ady endre utca 130.
H-4855 Fürdővára"
"Dr. Nagy Zsoltné Faragó Klára","Borsodszéki utca 112.
H-8208 Töröktamásinémeti"
"Dr. Nagy Balázs","Győri utca 144.
H-3626 Tótnádasd"
"Orbánné Prof. Dr. Szőke Dóra Andrea","Budaligeti utca 189.
H-9375 Baja"
"Kovács Ferenc István","Zalaegerszegi utca 47.
H-5411 Mártonvárad"
"Kovács Mária","Váci utca 84.
H-8680 Györgyberény"
"Dr. Z. Molnár Ferenc","Dunaújvárosi tér 121.
H-1898 Székvár"
"P. Orsós László","Ady endre utca 176.
H-3499 Belsőháza"
"Dr. Nagy Hajdu Erzsébet","Egeri utca 106.
H-5614 Nyékhátfalva"
