"A. Antal András"|"Törökligeti utca 40.
H-1287 Szeged" 
"Németh Piroska"|"Mindszentkövesdi utca 201.
H-4325 Tótfalu"
"Vörös Éva Rozália"|"Nagyhídi utca 219.
H-1592 Mártonapáti"
"Dr. B. Kovács Judit"|"Melléknémetii utca 16.
H-2754 Hídhalas"
"Jónás Juhász János"|"Némettapolcai utca 100.
H-7702 Debrecen"
"Dr. Kovács Lakatos Gyula"|"Oroszgyörgyi sétány 129.
H-2036 Tiszatótvár"
"Dr. Molnár Péterné"|"Ady endre utca 200.
H-2882 Nyírtapolcabánya"
"Dr. Tóth Péter"|"Soproni utca 106.
H-7832 Székdevecser"
"Dr. Somogyiné Nagy Csilla Alexandra"|"Petőfi utca 218.
H-8255 Fürdőfa"
"Molnár Z. Tamás"|"Szerbháti utca 166.
H-2499 Tamásinémeti"
"Farkas Enikő"|"Béke utca 197.
H-9129 Keresztvárad"
"Szabó P. Tibor"|"Pilistapolcai út 115.
H-9071 Vác"
"Dr. Varga Major Ilona"|"Ceglédi utca 242.
H-4409 Hódmezővásárhely"
"Major J. Erzsébet"|"Mindszenthidai utca 82.
H-3132 Borsodhídapáti"
"Jónás Árpádné"|"Veszprémi utca 95.
H-9336 Ligethida"
"Dr. Jónás Anna"|"Kossuth út 219.
H-8094 Szeged"
"Horváth E. Renáta"|"Hetvenfalui tér 226.
H-5726 Város"
"Hegedűs Halász Margit"|"Békési utca 68.
H-3972 Baja"
"Tóth Csabané"|"Somogymindszenti utca 2.
H-1829 Halas"
"Dr. Nagy Róbert"|"Hetvenkőrösi tér 57.
H-7472 Nagytótkőrös"
"Kovács László"|"Töröktóti utca 202.
H-1775 Miskolc"
"Varga Ibolya"|"Debreceni utca 243.
H-6401 Kisfürdőharaszti"
"Dr. Csonka Bodnár Sándor"|"Tiszakereszti utca 190.
H-2635 Oroszhetvenhalas"
"Németh Árpád Bence"|"Pusztatóti utca 14.
H-5095 Tatabánya"
"Jónásné Varga Ildikó"|"Hátberényi utca 154.
H-1337 Székesfehérvár"
"Dr. Nagy D. Rebeka"|"Békésmindszenti utca 12.
H-4577 Egyházashátapáti"
"Ráczné Dr. Szalai Ágnes Ágnes"|"Ligetvégi utca 180.
H-7958 Tiszatótvára"
"Dr. Molnár S. Réka"|"Kaposvári utca 202.
H-6426 Györgyfalu"
"L. Fekete Attila"|"Somogykereszti tér 56.
H-1706 Szombathely"
"Németh Áronné"|"Kossuth út 55.
H-7390 Lajostapolcaháza"
"Dr. E. Balogh Katalin"|"Balatonháti utca 206.
H-7716 Kunmártonbánya"
"Dr. Péter Budai Anna"|"Hetvenvárai tér 135.
H-4553 Veszprém"
"Simon Zoltánné"|"Nyíregyházai utca 154.
H-5545 Pécs"
"Dr. Németh K. Attila"|"Tótharasztii út 15.
H-3469 Magyartamásikövesd"
"K. Illés Anna"|"Kisligeti utca 112.
H-5699 Miskolc"
"Szalainé Dr. Szalai Lili"|"Győri utca 196.
H-8004 Bácsligetharaszti"
"Tóthné Orosz Eszter Éva"|"Bakonytapolcai út 175.
H-5056 Györgykőrös"
"Dr. Királyné Takács Anita"|"Mártonnémetii utca 103.
H-2019 Hídkövesd"
"Dr. Horváthné Tóth Zsófia"|"Petőfi utca 133.
H-4605 Hódmezővásárhely"
"Dr. Tóth Szilárdné"|"Székváradi utca 117.
H-3438 Tiszatótháza"
"Dr. K. Papp Györgyi"|"Szombathelyi utca 250.
H-5124 Mindszentharaszti"
"Dr. Balogh Bencené"|"József attila utca 3.
H-2753 Mellékberény"
"Magyar I. Péter"|"Mellékházai utca 74.
H-7270 Szolnok"
"Dr. Bogdán Csabané Juhász Noémi"|"Hetvenhidai utca 183.
H-7489 Tatabánya"
"K. Kiss Károly"|"József attila utca 83.
H-4648 Miskolc"
"Dr. Fehér László"|"Borsodháti út 26.
H-3561 Fürdőváros"
"S. Pásztor Annamária"|"Arany jános utca 19.
H-9385 Hetvenhida"
"Farkas Dávid"|"Béke utca 12.
H-5947 Zalaegerszeg"
"Szűcsné Dr. Bálint Ildikó"|"Mellékfalvai utca 131.
H-2877 Budafürdődevecser"
"Dr. Varga Adrienn Katalin"|"Kisligeti utca 167.
H-1031 Tótfalu"
"Baloghné Dr. Szabó Erzsébet"|"Szabadság utca 209.
H-6225 Kaposvár"
"Jakab Á. Tibor"|"Kossuth utca 39.
H-7017 Lajoskereszthida"
"Szabó I. Sára"|"Ady endre utca 8.
H-1646 Mezőszékhida"
"Dr. Nagy Ottóné"|"Érdi utca 62.
H-4746 Budapest"
"K. Molnár Teréz"|"Kecskeméti utca 58.
H-2417 Ráchetvenharaszti"
"Horváth J. József"|"Békéstapolcai út 248.
H-1251 Mátrakeresztvárad"
"Király Kinga"|"Tatabányai út 56.
H-2601 Nyíregyháza"
"Dr. Sipos B. Tamás"|"Arany jános út 85.
H-7314 Pilishetvennémeti"
"Juhász D. Attila"|"Szabadság utca 148.
H-5144 Szolnok"
"Dr. Horváthné Kovács Ilona"|"Mellékfai utca 80.
H-5927 Kaposvár"
"Szalai Bertalanné"|"Tapolcavárai utca 48.
H-7967 Egyházasmindszentvár"
"Lakatosné Varga Edit"|"Szenti utca 198.
H-1371 Mindszentdevecser"
"Lakatos Tóth Szilvia"|"Nagykanizsai tér 190.
H-6733 Ligetháza"
"Balogh Kovács Viktor"|"Petőfi sándor utca 147.
H-9913 Hídapáti"
"K. Orsós Jolán"|"Székesfehérvári utca 74.
H-1995 Nagyhídvárad"
"Szabó Farkas Zsolt"|"Fürdőbányai út 218.
H-2637 Tótharaszti"
"Oláhné Bognár Erzsébet"|"Mellékkövesdi utca 8.
H-3704 Fürdőnádasd"
"Simon Alexandra Erzsébet"|"Tapolcaharasztii utca 69.
H-6004 Pécs"
"Dr. Farkas Varga Zsigmond"|"Béke út 114.
H-6276 Hetvenvég"
"Prof. Dr. Szilágyi Annamária Etelka"|"Mátrakereszti út 178.
H-3442 Nagyhídhida"
"Juhász László András"|"Ózdi utca 73.
H-8860 Nyíregyháza"
"Nagy Péterné Takács Katalin"|"Dózsa györgy utca 94.
H-4306 Hódmezővásárhely"
"Sándor Lengyel Rozália"|"Tiszaháti utca 184.
H-7937 Békéscsaba"
"Dr. I. Szabó Ilona"|"Németháti út 128.
H-6834 Keresztdevecser"
"K. Pap Zsófia"|"Váci utca 153.
H-9699 Salgótarján"
"Simonné Dr. Fazekas Piroska"|"Dunahídi utca 128.
H-2080 Falva"
"Balogh Dénes Richárd"|"Ceglédi utca 216.
H-4181 Tapolcabánya"
"Dr. Tóth Katalin"|"Fürdődevecseri utca 38.
H-7966 Nagykanizsa"
"Nagy Réka Erzsébet"|"Petőfi sándor utca 204.
H-1266 Györgyfa"
"Tóth Rácz Margit"|"Petőfi sándor utca 212.
H-6298 Hátvég"
"Dr. Veres Zoltánné"|"Szegedi utca 180.
H-5988 Szenttapolcavég"
"Nagy Fülöp Norbert"|"Fürdőkőrösi utca 85.
H-1069 Hetvendevecser"
"Szilágyi R. Vivien"|"Mosontóti utca 1.
H-3670 Orosztamásihalas"
"Magyar V. Erzsébet"|"Békéscsabai utca 116.
H-5420 Ózd"
"K. Simon Mária"|"Belsőkereszti utca 239.
H-9880 Egyházastapolcahalas"
"Kovácsné Kovács Krisztina"|"Dózsa györgy utca 127.
H-1471 Hídfalu"
"Szabóné Tóth Boglárka"|"József attila utca 158.
H-8002 Szombathely"
"Molnárné Dr. Kovács Rózsa"|"Székhalasi utca 241.
H-8509 Szombathely"
"A. Kovács Dóra"|"Budapesti utca 184.
H-4433 Tótfalva"
"Kiss Molnár Ákos"|"Mártonfalui út 136.
H-3289 Václigetvár"
"Kiss Erzsébet"|"Váci tér 34.
H-3735 Salgótarján"
"Dr. Varga Csabané"|"Soproni tér 59.
H-8422 Vác"
"Kovács Gábor Balázs"|"Tapolcahalasi utca 13.
H-9211 Dunakeszi"
"Dr. Nagy Balázsné Nagy Ágnes"|"József attila utca 225.
H-6352 Mindszentfa"
"K. Tóth Mária"|"Béke utca 140.
H-2488 Székapáti"
"A. Mészáros Csilla"|"Székhalasi út 21.
H-9288 Szigetszentmiklós"
"V. Balog Erzsébet"|"Somogytóti út 244.
H-6986 Balatonfürdőbánya"
"Dr. Vargané Nagy Viktória"|"Soproni utca 22.
H-2138 Dunaújváros"
"Dr. Fazekas L. Zsófia"|"Petőfi sándor utca 36.
H-6221 Vác"
"Dr. Kovács Istvánné"|"Béke utca 134.
H-2606 Nyékmindszentvárad"
"Kissné Szabó Viktória"|"Mártonfai tér 55.
H-8333 Mindszentvég"
"Gál Dániel László"|"Széknádasdi utca 47.
H-3578 Magyartamásifalva"
"Dr. Kissné Bodnár Mária"|"Debreceni utca 162.
H-7721 Kismellékhalas"
"Tóthné Farkas Rozália Anna"|"Arany jános utca 169.
H-8228 Debrecen"
"K. Török Vivien"|"Kecskeméti utca 245.
H-7096 Pécs"
"Kis C. József"|"Salgótarjáni utca 21.
H-6857 Lajostótháza"
"Sándorné Hegedüs Tünde"|"Szigetszentmiklósi utca 18.
H-1275 Kecskemét"
"Dr. Kiss Tóth Péter"|"Kossuth utca 121.
H-5566 Lajosdevecser"
"Nagy Istvánné Horváth Mária"|"Tamásibányai utca 31.
H-7568 Dunaújváros"
"I. Orsós Iván"|"Tapolcaváradi utca 108.
H-3593 Bácskeresztfa"
"Takácsné Mészáros Erzsébet"|"Hetvenkövesdi út 228.
H-1088 Miskolc"
"Dr. Farkasné Juhász Veronika"|"Magyarkereszti tér 53.
H-3293 Hetvenkőrös"
"Molnárné Dr. Fekete Mónika Judit"|"Balatonmártoni tér 86.
H-5218 Fürdővára"
"Dr. Szücs Krisztiánné"|"Kecskeméti utca 211.
H-8849 Hetvenfalu"
"K. Varga Ildikó"|"Szigetszentmiklósi utca 83.
H-4951 Nyékhetvennádasd"
"Dr. Virágné Simon Dóra"|"Pilisligeti utca 12.
H-3478 Budahetvenfalu"
"Dr. Kovács Sándor"|"Bányai utca 41.
H-9084 Fürdővár"
"Dr. Simon Benjámin"|"Székházai utca 176.
H-6650 Pusztaszékfalva"
"Molnár Tamás"|"Pécsi utca 166.
H-4919 Szigetszentmiklós"
"Balogh K. Eszter"|"Mártonfalvai utca 59.
H-9650 Eger"
"Dr. Tóthné Balog Irén"|"Németszéki utca 109.
H-4101 Székharaszti"
"Dr. Horváth Tamás László"|"Borsodmártoni utca 183.
H-3129 Dunaújváros"
"G. Balla Erzsébet"|"Szolnoki utca 169.
H-9285 Fürdőfa"
"Dr. Horváthné Varga Erika"|"Hátkőrösi utca 185.
H-9788 Mártonvára"
"K. Varga Petra"|"Nyíregyházai utca 121.
H-9580 Mezőhátváros"
"Kovács Márta Jázmin"|"Nyíregyházai utca 172.
H-4704 Györgyváros"
"L. Hajdu Róbert"|"Szerbgyörgyi utca 242.
H-2724 Vác"
"T. Németh Ildikó"|"Dózsa györgy utca 149.
H-2854 Széknádasd"
"Kovács Kovács Viktor"|"Arany jános utca 61.
H-7270 Sopron"
"Szabóné Illés Ildikó"|"Kossuth utca 50.
H-4957 Vácfürdőfalva"
"Varga C. Krisztián"|"Alsóligeti utca 201.
H-2346 Hátnémeti"
"Virág Bernadett Viktória"|"Györgyfai tér 54.
H-5616 Érd"
"Dr. Király G. Zsolt"|"Ligethalasi utca 64.
H-5239 Pilistóthida"
"Dr. Bogdán Dóra"|"Felsőligeti utca 245.
H-2772 Magyarhetvenapáti"
"K. Vörös Tímea"|"Hátnádasdi utca 66.
H-5934 Szombathely"
"Budainé Kiss Hajnalka"|"Hódmezővásárhelyi utca 74.
H-3135 Szeged"
"Dr. R. Tóth László"|"Székvári út 176.
H-9168 Magyarhetvenhalas"
"I. Kovács Szilvia"|"Dózsa györgy utca 61.
H-5562 Szombathely"
"Dr. Törökné Fekete Rozália"|"Györgykövesdi utca 43.
H-8940 Újhátvárad"
"A. Szabó Béla"|"József attila utca 162.
H-5247 Tiszavég"
"Biró J. Martin"|"Ady endre utca 76.
H-3834 Miskolc"
"Dr. Nagyné Pap Gizella"|"Mosonmagyaróvári út 192.
H-6427 Pusztamártonvára"
"Balog Attila"|"Felsőszéki utca 120.
H-6716 Város"
"Tóth Nagy Márta"|"Lajosfürdői utca 62.
H-1187 Veszprém"
"Katona B. Ervin"|"Mártonberényi utca 105.
H-3807 Budapest"
"Horváth János Zoltán"|"Tiszaligeti utca 160.
H-3910 Lajosgyörgyapáti"
"Kis Tamás"|"Pusztafürdői utca 198.
H-4704 Győr"
"Sárköziné Tóth Tünde"|"Kunhetveni utca 144.
H-5267 Győr"
"V. Török Brigitta"|"Pilismindszenti utca 140.
H-7732 Mosonhetvenvára"
"Dr. Takácsné Kovács Erzsébet Erzsébet"|"Tótbányai út 166.
H-6075 Mártonhalas"
"Dr. Kovács Róbert"|"Tatabányai utca 112.
H-4220 Budamelléknémeti"
"Gulyás Ferencné Szűcs Katalin"|"Borsodkereszti utca 41.
H-1421 Bácshátkőrös"
"D. Varga István"|"Balatonhetveni utca 180.
H-1960 Tapolcavára"
"Dr. Bodnárné Kovács Gabriella"|"Törökszéki utca 117.
H-7048 Mosonmindszentbánya"
"Katona Kovács Gabriella"|"Drávai utca 126.
H-6215 Mosonmagyaróvár"
"Horváthné Dr. Horváth Eszter Erzsébet"|"Hátfai utca 216.
H-5710 Hátváros"
"Fehérné Nagy Anikó"|"Béke utca 1.
H-6174 Felsőligetnádasd"
"Gálné Dr. Mészáros Sára Erika"|"Hídvárai utca 56.
H-4549 Híddevecser"
"Szabó Gál Norbert"|"Mellékhidai utca 246.
H-8402 Érd"
"Sipos Zoltán Sándor"|"Ady endre tér 23.
H-9982 Békéscsaba"
"E. Lakatos Adrienn"|"Tamásivárosi utca 239.
H-2532 Győr"
"Dr. Kiss Richárdné"|"Kaposvári utca 113.
H-9627 Belsőgyörgynémeti"
"Dr. Jakabné Tamás Anna"|"Zalaegerszegi utca 155.
H-6683 Keresztvár"
"Tóth Mihályné"|"Borsodhetveni utca 220.
H-3212 Tiszamártonvára"
"Katona Ádám Máté"|"József attila utca 188.
H-5699 Györgykőrös"
"Nagy K. Erzsébet"|"Somogyi utca 187.
H-9804 Hetvenkőrös"
"S. Kiss István"|"Béke utca 231.
H-1380 Nyíregyháza"
"Feketené Borbély Mária"|"Ceglédi utca 94.
H-6948 Bakonytapolcabánya"
"Dr. Szabó Lajos János"|"Petőfi sándor utca 52.
H-2486 Veszprém"
"Dr. Fehérné Balogh Margit Ilona"|"Kossuth utca 4.
H-5038 Salgótarján"
"R. Szőke Zsuzsanna"|"Mosonmagyaróvári utca 231.
H-2026 Dunaújváros"
"Balogh Ákosné Nagy Anett"|"Béke utca 87.
H-9773 Békéshídvár"
"Szabó Géza János"|"Békéskereszti utca 43.
H-1944 Tapolcavárad"
"Orsósné Kovács Vivien"|"Tótbányai utca 75.
H-1475 Újhátdevecser"
"Katonané Takács Erzsébet"|"Tiszatamásii utca 49.
H-6966 Mátrahídberény"
"Varga Attila Dániel"|"Szerbtóti utca 35.
H-7331 Mindszentnémeti"
"Rácz János László"|"Pusztahídi utca 220.
H-7101 Egyházashídberény"
"Szőkené Dr. Németh Katalin"|"Arany jános utca 118.
H-9993 Mátrabánya"
"Prof. Dr. Horváth H. Noémi"|"Petőfi utca 146.
H-5532 Felsőhetvenhalas"
"Dr. Farkas Dezső"|"Végi utca 227.
H-1579 Oroszfürdőfa"
"Dr. Kovács Zsolt"|"Dózsa györgy utca 202.
H-6549 Vár"
"Horváth A. Viktória"|"Mellékapátii utca 91.
H-4253 Szenthídkövesd"
"Rácz Andrea"|"Györgyberényi utca 215.
H-5014 Fürdőharaszti"
"Dr. Nagy Jenőné"|"Miskolci utca 123.
H-8888 Hídvárad"
"Kelemen Erzsébet"|"Somogyfürdői út 53.
H-1397 Nyírmellékhida"
"Dr. Balla Bélané"|"Magyartamásii utca 92.
H-6731 Tamásinádasd"
"Dr. Papp J. Lajos"|"Kunfürdői utca 68.
H-3482 Budahídbánya"
"Papp Andrásné Németh Ibolya"|"Mosonmelléki utca 14.
H-7151 Nagykanizsa"
"Dr. Tóth Horváth András"|"Érdi utca 137.
H-4693 Keresztnémeti"
"Dr. Pálné Papp Judit"|"Kossuth utca 199.
H-5561 Kaposvár"
"Székely Varga Zsuzsanna"|"Szigetszentmiklósi utca 94.
H-2918 Bácsvárad"
"Dr. Szabóné Nagy Anikó Julianna"|"Hátdevecseri utca 99.
H-6342 Györgyvára"
"Bodnár Zsolt Attila"|"Mártonvárosi utca 19.
H-8282 Bakonykeresztháza"
"Dr. Szabó Attilané"|"Fai utca 116.
H-4998 Lajosligetharaszti"
"Kelemen J. József"|"Nyéktapolcai utca 100.
H-9540 Mellékkőrös"
"Lakatos Jakab Zsuzsanna"|"Hátvárai út 193.
H-1589 Baja"
"Z. Nagy Gyula"|"Pécsi tér 55.
H-1171 Hátfalu"
"Farkas Tiborné Kovács Marianna"|"Arany jános utca 60.
H-9901 Szombathely"
"Dr. Molnár Erika"|"Bajai utca 3.
H-2064 Székbánya"
"Tóth Kelemen Anita"|"Szigetszentmiklósi utca 200.
H-8509 Mindszentfalva"
"Juhász G. Dávid"|"Béke utca 120.
H-6619 Salgótarján"
"Nagy Balogh Ferenc"|"Arany jános utca 171.
H-7678 Keresztháza"
"Tóth M. Gergely"|"Bakonyhídi utca 240.
H-8008 Nagykanizsa"
"Dr. Lakatosné Gulyás Zsuzsanna Melinda"|"Györgynádasdi út 159.
H-8051 Tamásiberény"
"Kelemen Simon Anita"|"Magyarszéki utca 137.
H-6334 Győr"
"Dr. Szilágyi Novák János"|"Nyíregyházai tér 207.
H-6865 Mellékberény"
"Dr. Vargané Borbély Anita"|"Tamásivári utca 180.
H-9692 Nyíregyháza"
"Dr. Tóthné Nagy Erzsébet Mária"|"Szigetszentmiklósi utca 23.
H-5692 Mindszentdevecser"
"Horváthné Török Éva"|"Mindszentvári utca 18.
H-5130 Szombathely"
"Nagy Ilona Katalin"|"Petőfi út 213.
H-8944 Hídharaszti"
"Kovács Péter János"|"Belsőgyörgyi utca 16.
H-4373 Baja"
"Hajdu Martinné"|"Halasi út 119.
H-1034 Egyházastapolcahida"
"Dr. Horváthné Deák Erika"|"Hajdúszéki út 212.
H-2490 Ózd"
"Balázs A. Mária"|"Pilisligeti utca 40.
H-3304 Dunaújváros"
"Kelemenné Pap Margit"|"Arany jános utca 1.
H-2214 Cegléd"
"Dr. Pál Boros Ákos"|"Dózsa györgy utca 111.
H-9931 Mindszenthalas"
"Horváth Zsomborné Takács Andrea"|"Ceglédi utca 63.
H-8734 Mártonvára"
"Dr. Szabó Zoltán Sándor"|"Nyíregyházai utca 105.
H-6740 Mártonharaszti"
"Dr. Veres Fábián Réka"|"Szigetszentmiklósi sétány 93.
H-8161 Nyírhídhalas"
"M. Molnár Rita"|"Ceglédi utca 41.
H-7544 Nyírhídháza"
"Dr. Kissné Jónás Hanna"|"Töröki utca 220.
H-3975 Dunakeszi"
"Dr. Farkas Veronika"|"Petőfi sándor utca 234.
H-6089 Mellékhida"
"Dr. Fazekas Gabriella Magdolna"|"Hajdúligeti utca 178.
H-4066 Székhida"
"Kiss Fekete Andrea"|"Mátrahídi utca 155.
H-4439 Székfalu"
"Kerekes András"|"Váci utca 198.
H-7861 Hetvenfa"
"Dr. Balogh Tamásné"|"Kossuth utca 1.
H-7799 Szombathely"
"Dr. Hajdu G. Fanni"|"Hetvenvárosi út 189.
H-9880 Kereszthalas"
"Dr. Balázs Ferencné"|"Somogyszéki utca 80.
H-4320 Mellékváros"
"Szabóné Dudás Zsuzsanna Zsuzsanna"|"Szigetszentmiklósi út 41.
H-9244 Györgyvára"
"Boros Máté Kitti"|"Felsőkereszti utca 10.
H-8935 Kaposvár"
"J. Németh László"|"Arany jános utca 250.
H-4760 Ligetkőrös"
"A. Horváth Erika"|"Törökhídi utca 76.
H-2527 Tamásivára"
"Dr. Siposné Katona Erzsébet Erzsébet"|"Keresztváradi utca 140.
H-6592 Nyékvég"
"G. Balázs Péter"|"Mátramindszenti tér 163.
H-4023 Kereszthalas"
"Kerekes Julianna"|"Nagykanizsai utca 158.
H-6410 Hátnémeti"
"Dr. Varga A. János"|"Nagyháti utca 94.
H-6897 Nyíregyháza"
"Dr. Papp Tibor"|"Fürdőfai utca 153.
H-5367 Nagykanizsa"
"Dr. Orbánné Tóth Mária"|"Salgótarjáni tér 111.
H-5166 Hídfalva"
"Balogh Csonka László"|"Lajosmártoni tér 60.
H-5194 Fürdőfa"
"Farkas E. Éva"|"Ady endre utca 239.
H-1555 Fürdőváros"
"Dr. Németh Dánielné"|"Szigetszentmiklósi utca 115.
H-4521 Székvárad"
"Varga László"|"Mellékhidai utca 36.
H-6166 Szerbfürdőfa"
"T. Szekeres Éva"|"Petőfi utca 167.
H-5440 Kecskemét"
"Dr. Z. Barna István"|"József attila utca 150.
H-1226 Vácfürdőkövesd"
"Kerekes Mária"|"Apátii utca 107.
H-1736 Érd"
"Farkas Anna"|"Ceglédi utca 214.
H-7196 Békéscsaba"
"M. Fehér Marianna"|"Dunamelléki utca 219.
H-4970 Eger"
"Dr. J. Balogh Ferenc"|"Salgótarjáni út 24.
H-1972 Tapolcaharaszti"
"Dr. Vargané Molnár Terézia Krisztina"|"Mindszentfai utca 114.
H-2541 Balatonligetnémeti"
"Dr. Nagy Kovács Bálint"|"Egeri út 99.
H-4246 Györgykőrös"
"Dr. Nagy Csabané"|"Kaposvári utca 187.
H-6790 Győr"
"Dr. Kiss E. Jázmin"|"Mártonapátii utca 226.
H-3300 Pécs"
"Szabó Balázsné Nagy Zsuzsanna"|"Petőfi sándor utca 210.
H-2626 Székhalas"
"Z. Simon Csaba"|"Budapesti utca 130.
H-6222 Nagykanizsa"
"Kerekes Zsombor Ferenc"|"József attila utca 188.
H-8723 Hajdúszékfalu"
"Tóth Éva"|"Kossuth utca 83.
H-2861 Budatótfa"
"Horváth Lukács István"|"Székhidai utca 61.
H-9367 Mindszentvég"
"R. Kovács Klaudia"|"Ózdi köz 89.
H-3245 Székdevecser"
"Dr. Magyar Réka Anita"|"Szegedi utca 51.
H-1593 Miskolc"
"Molnár Géza Gábor"|"Mátrahetveni út 184.
H-9134 Hátkőrös"
"Sipos Marianna Éva"|"József attila utca 135.
H-4066 Debrecen"
"Kovács R. Margit"|"Hajdúi út 200.
H-6266 Tatabánya"
"Pintérné Dr. Balla Éva"|"Nyékfürdői utca 107.
H-8844 Pusztanádasd"
"M. Halász Renáta"|"Ligetvárosi utca 167.
H-8178 Mosonmagyaróvár"
"Király Gergőné"|"Ady endre út 222.
H-3856 Alsómellékharaszti"
"Dr. Varga Oláh Mónika"|"Hátfalvai utca 40.
H-3500 Tamásivég"
"Dr. M. Takács Sándor"|"Béke utca 113.
H-7438 Hódmezővásárhely"
"Szabóné Szabó Julianna"|"Nyíregyházai utca 37.
H-3063 Vác"
"Dr. Szekeres György Gergely"|"Keresztkőrösi utca 139.
H-2448 Székvég"
"B. Szabó Péter"|"Veszprémi utca 178.
H-1265 Ózd"
"Kissné Dr. Lakatos Katalin Mária"|"Dunakeszii utca 200.
H-9820 Budapest"
"Dr. Borosné Nagy Gabriella"|"Székvárai utca 185.
H-7515 Debrecen"
"Dr. Kovács Fehér Tibor"|"Béke utca 102.
H-7777 Tatabánya"
"Dr. E. Gáspár Anna"|"Pécsi utca 218.
H-5496 Nyíregyháza"
"Király Judit Anna"|"Nyíregyházai utca 165.
H-4535 Pécs"
"Prof. Dr. Deák Kovács Melinda"|"Székesfehérvári utca 5.
H-8001 Kövesd"
"Horváth Németh Gizella"|"Szentgyörgyi utca 45.
H-7633 Bánya"
"Dr. M. Török Noémi"|"Bányai tér 77.
H-6257 Mosonmártonháza"
"H. Horváth Mária"|"Kossuth utca 215.
H-1525 Kecskemét"
"Varga Bélané Molnár Mária"|"Szabadság utca 218.
H-6194 Békéscsaba"
"Dr. Halászné Kovács Melinda"|"Váci út 149.
H-1750 Györgyhalas"
"Bakos Magyar Anna"|"Petőfi sándor utca 147.
H-5511 Székesfehérvár"
"Kiss Erzsébet"|"Hídhalasi utca 101.
H-1017 Nagykanizsa"
"Balázs Gáborné Balogh Beáta"|"Szigetszentmiklósi utca 192.
H-8991 Hajdúmindszentberény"
"Király Józsefné Lengyel Erzsébet"|"Arany jános út 42.
H-1395 Székharaszti"
"Dr. Vargané Pap Zsuzsanna"|"Ráctamásii tér 174.
H-5361 Vác"
"Horváthné Kiss Hanna"|"Oroszfürdői utca 199.
H-1075 Baja"
"Horváth Erzsébet Mária"|"Tatabányai utca 250.
H-3270 Pécs"
"Vincze Máténé Tóth Piroska"|"Mindszentházai utca 215.
H-5396 Budapest"
"Pataki L. Gréta"|"Szerbháti tér 248.
H-2264 Pusztafürdővárad"
"Dr. Tóth Péterné"|"Dózsa györgy utca 142.
H-9761 Nagyszéknémeti"
"Dr. Lászlóné Fehér Terézia"|"Kaposvári utca 6.
H-8388 Felsőtapolcadevecser"
"Németh Balázsné"|"Györgyberényi utca 169.
H-9404 Szerbtamásinémeti"
"Molnár Ferencné"|"Arany jános utca 196.
H-4054 Ózd"
"Király Melinda"|"Váci tér 168.
H-9308 Pilisligetfalu"
"Dr. Fodor Tamásné"|"Dózsa györgy tér 118.
H-3208 Veszprém"
"Orsós Csonka Klára"|"József attila utca 83.
H-3128 Salgótarján"
"Dr. Szőke B. Bálint"|"József attila utca 223.
H-6804 Székesfehérvár"
"Kissné Pintér Ilona"|"Mártonkövesdi utca 211.
H-2508 Dunaújváros"
"Dr. Szabó Viktorné"|"Alsótapolcai utca 71.
H-1897 Zalaegerszeg"
"Simon Béla"|"Nyíregyházai utca 200.
H-2421 Fürdőhalas"
"Kovács Kovács Éva"|"Borsodi út 179.
H-2013 Szombathely"
"Dr. L. Papp Bence"|"Mosonligeti utca 206.
H-4568 Szolnok"
"T. Kovács Kristóf"|"Petőfi sándor tér 97.
H-5723 Zalaegerszeg"
"Kis Ilona"|"Petőfi tér 57.
H-6572 Hátkövesd"
"Kovács Boglárka"|"Újháti utca 189.
H-2710 Salgótarján"
"Biró Margit Zsuzsanna"|"Németmindszenti utca 146.
H-6407 Tapolcaapáti"
"Juhász Jakab Judit"|"Veszprémi tér 217.
H-4646 Belsőmindszentvárad"
"M. Farkas Emese"|"Béke utca 131.
H-8991 Nagykanizsa"
"Jakabné Farkas Enikő Erzsébet"|"Szabadság tér 158.
H-1267 Háza"
"Dr. D. Kis József"|"Hídházai utca 113.
H-1801 Budamellékbánya"
"Tóth R. Mónika"|"Szabadság utca 36.
H-1539 Borsodtapolcaharaszti"
"Oláh F. István"|"Fürdővégi utca 230.
H-7542 Miskolc"
"Bartané Kovács Edit"|"József attila utca 76.
H-4507 Békéscsaba"
"Kis Imre"|"Béke utca 52.
H-8532 Tatabánya"
"Dr. Szalainé Gál Erzsébet Mónika"|"Belsőtamásii utca 110.
H-1313 Keresztkövesd"
"Dr. Bogdán Kovács Attila"|"Pusztahetveni út 13.
H-9794 Györgyvára"
"Nagy Orsolya Krisztina"|"Mellékhalasi utca 132.
H-8315 Falva"
"T. Farkas Zsolt"|"Györgykőrösi út 57.
H-4160 Kecskemét"
"Takács K. Erika"|"Újháti tér 97.
H-9618 Mezőtapolcahida"
"Kelemen Z. Ádám"|"Felsőszéki tér 199.
H-8536 Sopron"
"Dr. Nagy S. János"|"Mellékváradi utca 249.
H-3187 Tamásihida"
"Tóth Mihályné Molnár Renáta"|"Béke utca 80.
H-6913 Tiszahetvenhalas"
"Varga Józsefné"|"Békésháti utca 95.
H-3233 Felsőhetvenhida"
"Kis K. Gábor"|"Hajdúi utca 217.
H-4812 Nagykanizsa"
"Horváth Gábor András"|"Újtóti utca 241.
H-2278 Mosonszékvár"
"Dr. Orbán Lakatos Károly"|"Hetvenhalasi utca 78.
H-3430 Székdevecser"
