"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya" 
"Tóth István Róbert"	"Tiszahídi tér 92.
H-7557 Györgyváros"
"Veresné Dr. Varga Katalin Rózsa"	"Zalaegerszegi út 37.
H-8578 Széknémeti"
"Nagyné Bodnár Szilvia"	"Tatabányai utca 239.
H-9036 Szentmindszentnémeti"
"Kiss Rozália Ágnes"	"Nyíri utca 122.
H-6014 Pécs"
"Dr. Pap Zsanett Anikó"	"Tamásihalasi utca 97.
H-6677 Tamásifalu"
"Kelemen I. Veronika"	"Keresztberényi utca 29.
H-1559 Budamindszentfalva"
"A. Nagy Irma"	"Mellékvárosi utca 132.
H-7895 Tiszanádasd"
"Dr. Bálint Krisztiánné"	"Mártonharasztii utca 14.
H-6059 Dunaújváros"
"Horváth G. Zoltán"	"Béke utca 132.
H-5907 Miskolc"
"Kiss Bogdán Gábor"	"Miskolci utca 142.
H-6116 Drávamellékharaszti"
"Dr. Balla M. Erzsébet"	"Petőfi sándor tér 131.
H-9663 Pécs"
"Molnár Molnár Ferenc"	"Kecskeméti utca 248.
H-8576 Salgótarján"
"Dr. Molnár Józsefné Szabó Aranka"	"Kungyörgyi utca 78.
H-7365 Bácsmártonváros"
"Kiss S. Zsolt"	"Fürdőváradi utca 134.
H-2153 Zalaegerszeg"
"Dr. Juhászné Tóth Klaudia"	"Szabadság utca 225.
H-2246 Cegléd"
"Juhászné Szabó Márta Csilla"	"Bácsgyörgyi utca 33.
H-5329 Borsodfa"
"Oláh Katalin Anna"	"Szentmelléki tér 36.
H-5436 Bakonyszékkőrös"
"Dr. Kocsis Mihályné"	"Arany jános utca 188.
H-3482 Bakonytamásikövesd"
"Tóth Tamás"	"Ady endre utca 45.
H-7136 Cegléd"
"Váradi Gáborné"	"Bakonymindszenti utca 47.
H-1935 Tatabánya"
"M. Lakatos Emma"	"Soproni utca 39.
H-8467 Haraszti"
"Molnárné Dr. Vincze Mária"	"Arany jános utca 147.
H-5697 Debrecen"
"Szabóné Dr. Kocsis Erzsébet"	"Györgyhalasi utca 176.
H-3849 Tapolcaapáti"
"Kiss Simon Gabriella"	"Petőfi sándor utca 14.
H-9153 Váchetvenháza"
"Feketené Dr. Orsós Anna"	"Keresztbányai utca 73.
H-3295 Szolnok"
"Szabó Ildikó Piroska"	"Mátratóti utca 20.
H-8727 Györgyvég"
"Tóth Rácz Ágnes"	"Tapolcavári utca 231.
H-4723 Nyíregyháza"
"Antal Rózsa"	"Tapolcaharasztii tér 122.
H-7952 Budapest"
"Dr. Faragó Tünde Mónika"	"Hajdúligeti utca 27.
H-4469 Egyházastótvár"
"Varga Jánosné Kovács Judit"	"Kereszthidai utca 196.
H-1036 Alsóhídapáti"
"Dr. Hegedűs L. Ildikó"	"Tapolcaházai tér 7.
H-7830 Szigetszentmiklós"
"Simonné Balogh Gyöngyi"	"Petőfi sándor utca 2.
H-7795 Sopron"
"Dr. Vargané Pintér Mária"	"Egyházastamásii utca 25.
H-6960 Békéscsaba"
"Kiss Szilvia Éva"	"Szolnoki utca 20.
H-8366 Szeged"
"Nagy Bertalan József"	"Mellékfai utca 44.
H-6413 Nyírhetvenhida"
"Takács P. Ádám"	"Nyírmelléki tér 163.
H-7357 Budaszékvár"
"Dr. Kisné Fekete Katalin Hajnalka"	"Szolnoki tér 216.
H-2357 Miskolc"
"Kis Krisztina Éva"	"Érdi tér 89.
H-7558 Dunakeszi"
"Kovács Illés Margit"	"Nyírmártoni utca 199.
H-5124 Hódmezővásárhely"
"Molnár Ibolya"	"Békésháti utca 51.
H-1845 Kövesd"
"Lukács Ilona Erika"	"Mellékvári utca 117.
H-9817 Felsőhetvenhida"
"Dr. Balog Éva Erzsébet"	"Kossuth utca 7.
H-7977 Fürdőharaszti"
"Dr. Katona Ibolya"	"Györgyharasztii utca 187.
H-3784 Fürdőhalas"
"Kiss Sándor Richárd"	"Dózsa györgy út 14.
H-1157 Szerbmindszenthida"
"J. Faragó János"	"Tamásivárai utca 69.
H-3716 Mosongyörgyapáti"
"Dr. Horváth L. János"	"Tatabányai tér 18.
H-2226 Szentfürdőkőrös"
"Dr. Molnárné Szekeres Anna"	"Salgótarjáni utca 229.
H-9428 Ligetnádasd"
"Farkas Roland Krisztián"	"Petőfi utca 191.
H-5864 Békéskeresztháza"
"Barta Sipos Éva"	"Budapesti utca 98.
H-5565 Mezőtótváros"
"Oláhné Nagy Katalin"	"Kossuth utca 238.
H-7689 Ligetdevecser"
"Dr. Kissné Bálint Nóra"	"Szabadság utca 132.
H-2912 Tamásivárad"
"Kiss Z. János"	"Arany jános utca 157.
H-4973 Mosonmagyaróvár"
"Dr. B. Gáspár Attila"	"Tatabányai utca 8.
H-9814 Töröktapolcaharaszti"
"Kiss Sándorné Máté Krisztina"	"Szegedi utca 15.
H-2429 Miskolc"
"Nagyné Farkas Nikoletta"	"Mosoni tér 168.
H-5195 Debrecen"
"Orsósné Dr. Horváth Katalin"	"Hetvenapátii utca 91.
H-4353 Mártonapáti"
"I. Molnár Csilla"	"Mindszentvárai utca 47.
H-8797 Mosonmagyaróvár"
"Nagy Zsolt"	"Mellékhalasi tér 78.
H-4911 Egyházasgyörgyvára"
"Dr. Tóth Gáborné"	"Nyírháti tér 75.
H-8849 Falu"
"Nagyné Nagy Vivien"	"Vári utca 4.
H-7233 Szolnok"
"Dr. Bodnár Gulyás Ferenc"	"Ady endre utca 12.
H-4493 Lajosmindszentapáti"
"Németh Adrienn"	"Ligetkőrösi tér 36.
H-1440 Baja"
"Fábián Nagy Erzsébet"	"Ligetapátii utca 116.
H-8452 Nyíregyháza"
"Kiss Takács Tibor"	"Petőfi utca 146.
H-5689 Szombathely"
"Varga Erik"	"Érdi tér 234.
H-1565 Orosztamásifa"
"Dr. Kovácsné Magyar Julianna Zsófia"	"Székfalui utca 136.
H-5563 Hídnádasd"
"Dr. Boros Kinga"	"Egeri utca 137.
H-6690 Kecskemét"
"Horváth A. Károly"	"Keresztházai utca 102.
H-7648 Mártonhida"
"Szőke Enikő"	"Tapolcafai utca 55.
H-2192 Debrecen"
"Orosz László Gyula"	"Petőfi utca 130.
H-8466 Vác"
"Takács Zsuzsanna"	"Szerbmindszenti utca 179.
H-5217 Kecskemét"
"Farkasné Szücs Beáta"	"Nagykanizsai utca 225.
H-4301 Mártonvár"
"Dr. Oláhné Farkas Réka"	"Ligetvárosi utca 246.
H-6013 Drávaligethida"
"Kiss Tóth Attila"	"Béke utca 219.
H-9303 Tatabánya"
"Horváthné Dr. Szabó Andrea"	"Mindszentkőrösi utca 236.
H-5991 Sopron"
"Dr. Bognár Tóth Margit"	"Dózsa györgy utca 174.
H-6421 Fürdőbánya"
"Pál Tóth Margit"	"Dunakeszii utca 90.
H-5817 Nyíregyháza"
"S. Molnár János"	"Miskolci út 131.
H-5184 Cegléd"
"Juhász Géza"	"Dunafürdői utca 76.
H-2664 Fa"
"Dr. Szabóné Bálint Teréz"	"Győri utca 130.
H-5509 Zalaegerszeg"
"M. Molnár Erika"	"Keresztberényi tér 241.
H-5527 Tamásiberény"
"Kiss Zsoltné Kiss Emese"	"Ráci utca 228.
H-2132 Szolnok"
"C. Nagy Ákos"	"Hídkőrösi utca 32.
H-3800 Balatonhídváros"
"Kiss Tóth Péter"	"Felsőháti utca 240.
H-5479 Hajdúligetvárad"
"Dr. Fehér Istvánné"	"Szolnoki tér 39.
H-9322 Békéscsaba"
"Lukácsné Horváth Nóra"	"Veszprémi tér 237.
H-1122 Győr"
"Dr. Németh Péter"	"Mártonfalvai utca 249.
H-5546 Székesfehérvár"
"Dr. Németh Zsombor Jenő"	"Nagykanizsai út 233.
H-6601 Tapolcafalu"
"Kovácsné Mészáros Julianna Anett"	"Kossuth utca 165.
H-3407 Szombathely"
"Dr. Kovácsné Kovács Éva"	"Tatabányai utca 135.
H-2276 Miskolc"
"Balogné Dr. Farkas Valéria"	"Mosonmagyaróvári utca 203.
H-6921 Hídvárad"
"Dr. Tóth Dánielné"	"Fürdőfalui utca 95.
H-3766 Mellékbánya"
"Dr. Mészáros I. Zsolt"	"Töröktapolcai utca 97.
H-3130 Baja"
"Kiss Z. Olivér"	"Bácsmelléki út 156.
H-4769 Balatontóthida"
"Prof. Dr. Fekete Kovács Ferenc"	"Érdi utca 242.
H-2629 Kunhetvenkőrös"
"Prof. Dr. M. Varga Dóra"	"Budapesti utca 43.
H-2882 Rácfürdőfalu"
"Tóth Kocsis Zsanett"	"Szabadság utca 42.
H-9166 Szombathely"
"Szabó Károly Attila"	"József attila út 98.
H-8845 Hátapáti"
"Török József"	"Ligetberényi utca 3.
H-7932 Keresztvára"
"Dr. Farkas Mária"	"Ady endre utca 82.
H-3503 Hídkövesd"
"Dr. K. Nagy Irén"	"Arany jános utca 96.
H-1959 Mindszentfa"
"Vassné Dr. Horváth Anett Mária"	"Hódmezővásárhelyi utca 44.
H-5458 Szigetszentmiklós"
"Dr. Gulyás Juhász László"	"Ligetvárai út 223.
H-9380 Vég"
"Kiss Zoltán Zsolt"	"Pilisfürdői utca 180.
H-4886 Mindszentháza"
"Sándorné Dr. Hegedűs Jolán"	"Béke utca 33.
H-8430 Szolnok"
"Dr. Fazekas A. Edit"	"Dunaújvárosi utca 176.
H-2722 Fürdőváros"
"Dr. Szabó Molnár János"	"Dunaújvárosi utca 145.
H-6818 Ligetvárad"
"Orsós Juhász Erika"	"Győri utca 181.
H-5535 Pusztahetvenhida"
"Dr. Váradi Ferencné"	"Mindszenthidai utca 64.
H-6737 Ráctótvárad"
"Tóth Krisztina"	"Zalaegerszegi utca 147.
H-5817 Hídfalva"
"Z. Kovács Gabriella"	"Dózsa györgy utca 55.
H-2233 Veszprém"
"Tóth I. Emma"	"Arany jános utca 49.
H-2940 Hódmezővásárhely"
"Dr. Szilágyi Zsuzsanna Diána"	"Béke utca 5.
H-2171 Rácmindszentfalva"
"Kiss Zsoltné"	"Váci utca 159.
H-3771 Debrecen"
"Gál Józsefné Faragó Beáta"	"Szombathelyi utca 67.
H-8862 Hátnádasd"
"Dr. Király Dánielné"	"Székbányai út 196.
H-4070 Szeged"
"Tóth Nagy Mihály"	"Borsodháti út 49.
H-2614 Baja"
"Nagy Á. István"	"Pilisligeti utca 232.
H-5949 Felsőhídfalva"
"Dr. Tóth I. Marcell"	"Dózsa györgy utca 238.
H-3711 Kuntapolcahida"
"Lakatos Gál József"	"Balatonhídi utca 103.
H-7026 Kövesd"
"Rácz Orsolya Erzsébet"	"Nyírmindszenti utca 222.
H-4367 Pilisfürdőváros"
"Dr. Kiss A. Gábor"	"Béke utca 82.
H-2621 Rácmindszentvég"
"Dr. Fekete Eszter Katalin"	"Törökfürdői utca 222.
H-1589 Bácskeresztvég"
"Kiss Zsomborné Kiss Terézia"	"Falvai utca 70.
H-2828 Szolnok"
"Dr. Papp Márta Gyöngyi"	"Dózsa györgy utca 230.
H-4473 Tapolcavárad"
"Dr. Szabó Tiborné"	"Györgyvárai tér 135.
H-5303 Nagymártonkövesd"
"Nagy Bálintné Kiss Katalin"	"Nagymindszenti utca 110.
H-7090 Ózd"
"Dr. Biró Zoltánné"	"Budapesti út 223.
H-9480 Mellékvárad"
"Horváth B. Imre"	"Mártonvári tér 112.
H-4926 Tamásikőrös"
"Kissné Kiss Marianna Margit"	"Érdi tér 142.
H-7769 Györgyvára"
"Prof. Dr. Kiss E. Gizella"	"Mindszentváradi utca 239.
H-7055 Szolnok"
"Dr. Balázs Péter Gyula"	"Dunaújvárosi utca 108.
H-3457 Érd"
"Szabó Simon Árpád"	"Lajosfürdői utca 157.
H-8103 Hetvenfalva"
"Kiss Zsófia Mária"	"Arany jános út 139.
H-8914 Nyéktótnádasd"
"Dr. Székely Biró Zoltán"	"Békéscsabai utca 125.
H-1064 Nagykeresztapáti"
"Dr. Kocsis Rolandné"	"Mártonkőrösi út 104.
H-6754 Tapolcafalva"
"M. Nagy Andrea"	"Bakonytapolcai utca 31.
H-6802 Szigetszentmiklós"
"Horváth Richárd Gergely"	"Keresztnádasdi utca 143.
H-4325 Hetvenváros"
"Lengyelné Kis Márta"	"Békési utca 175.
H-8230 Alsókőrös"
"Szőke Tóth Edit"	"Tamásiberényi utca 204.
H-6306 Pécs"
"Dr. Pappné Varga Virág"	"Kossuth utca 148.
H-1071 Zalaegerszeg"
"László A. János"	"Kossuth utca 232.
H-3068 Nyíregyháza"
"Nagy László"	"Budahetveni utca 98.
H-5790 Budamellékváros"
"Kiss Éva Eszter"	"Györgyvárosi utca 227.
H-4656 Keresztfalu"
"Lakatos Dezső Vince"	"Szabadság utca 130.
H-6769 Mátramártonnémeti"
"Dr. Tóth Andrásné Lengyel Ilona"	"Budapesti út 61.
H-1379 Mellékhida"
"Tóth Adrienn"	"Mátrai tér 244.
H-6740 Szigetszentmiklós"
"Dr. Orosz András Zoltán"	"Ligetvégi út 234.
H-6591 Szigetszentmiklós"
"Kovács Mihály Balázs"	"Drávagyörgyi utca 116.
H-1928 Mátrahídvár"
"Dr. Molnár Sándor Anna"	"Újmelléki utca 138.
H-9369 Mártonváros"
"Prof. Dr. Pintér M. Rozália"	"Kereszthalasi utca 250.
H-7685 Váctapolcaberény"
"Dr. Takács Ákosné Tóth Márta"	"Ligetvárai út 15.
H-8196 Tiszaligetkőrös"
"Dr. Farkas Erzsébet"	"Dózsa györgy út 89.
H-4705 Szolnok"
"Kissné Balogh Katalin"	"József attila út 153.
H-5496 Törökmártonvára"
"Dr. Balogh Károlyné"	"Dózsa györgy utca 188.
H-8560 Zalaegerszeg"
"Hegedüs Kovács László"	"Tapolcakőrösi utca 81.
H-2389 Ligetvég"
"B. Tóth Ágnes"	"Nagyfürdői utca 176.
H-1572 Mosonmagyaróvár"
"Dr. Bálint T. István"	"Mindszentvárosi utca 36.
H-2132 Budapest"
"Dr. Szabóné Nagy Andrea"	"Béke út 148.
H-3575 Ligetharaszti"
"Kovács P. Ádám"	"Mosonmagyaróvári utca 69.
H-6648 Szolnok"
"Prof. Dr. Tamás Ibolya"	"Borsodi utca 219.
H-8113 Székfa"
"Dr. Kiss E. Borbála"	"Ligetkövesdi utca 6.
H-9591 Törökmártonfalu"
"Dr. Simon Judit"	"Békésmindszenti út 82.
H-9755 Mindszenthalas"
"Kissné Dr. Balogh Éva"	"Váradi utca 99.
H-4664 Mindszentvárad"
"Varga Benedek Zoltán"	"Dunaligeti út 2.
H-9090 Némethídkövesd"
"Molnár Józsefné Molnár Melinda"	"Budatóti út 228.
H-5469 Borsodligetnádasd"
"Sipos Orsolya Anna"	"Fürdővégi utca 54.
H-3161 Veszprém"
"Dr. Varga Vivien Valéria"	"Bajai tér 222.
H-8792 Vác"
"Szabó Tóth Bianka"	"Ceglédi út 112.
H-7224 Rácszékháza"
"Németh Dominik István"	"Szabadság utca 80.
H-9673 Egyházasmártonvárad"
"Baloghné Dr. Németh Tímea"	"Mártonhalasi utca 80.
H-1441 Dunaújváros"
"Varga L. István"	"Dózsa györgy utca 249.
H-1974 Kecskemét"
"Nagyné Szabó Márta"	"Pilisháti utca 93.
H-3868 Békéscsaba"
"Kissné Dr. Budai Gabriella Dóra"	"Egeri utca 109.
H-1429 Mártonapáti"
"Kis Áron"	"Béke út 121.
H-5058 Fürdőbánya"
"Dr. Budainé Jónás Ilona Réka"	"Zalaegerszegi tér 63.
H-2041 Bácskeresztvárad"
"Kovács Szabó János"	"Nagyhídi utca 223.
H-2205 Kunhetvenvára"
"Vincze Erika"	"Hídvárosi utca 145.
H-5798 Pécs"
"I. Fülöp Ágnes"	"Tóthalasi utca 93.
H-3588 Györgyberény"
"Dr. Virágné Kiss Magdolna"	"Bajai utca 222.
H-1120 Hídfalu"
"Kiss N. Mátyás"	"Somogyhetveni út 135.
H-6665 Debrecen"
"P. Király Géza"	"Kossuth utca 38.
H-1882 Békéscsaba"
"Balázsné Illés Viktória Irén"	"Várai utca 82.
H-1560 Dunaújváros"
"Kissné Dr. Farkas Katalin"	"Székesfehérvári út 243.
H-3662 Tatabánya"
"Pappné Dr. Varga Mária"	"Kossuth utca 193.
H-9396 Borsodtamásikőrös"
"Szabó Judit Zsuzsanna"	"Bácsszéki utca 134.
H-3350 Szigetszentmiklós"
"Nagy Krisztina"	"Egyházasszéki utca 164.
H-8141 Tapolcakőrös"
"Dr. Nagy Tóth Ilona"	"Dózsa györgy utca 120.
H-2660 Város"
"Orbán Ibolya Mária"	"Harasztii utca 102.
H-5102 Hajdútapolcabánya"
"Dr. Fülöpné Papp Zsófia Katalin"	"Kaposvári utca 153.
H-4310 Györgyfa"
"Molnár Pál"	"Egeri utca 124.
H-2085 Kunligetfalu"
"Dr. I. Molnár Lajos"	"Dózsa györgy utca 135.
H-8911 Hídhalas"
"Nagy D. Zsolt"	"Szigetszentmiklósi utca 149.
H-6896 Székkőrös"
"Kissné Dr. Farkas Mária"	"József attila utca 116.
H-2410 Szigetszentmiklós"
"Tóth Kis Ágnes"	"Békésfürdői utca 45.
H-6121 Halas"
"Dr. Horváth G. József"	"Bajai utca 215.
H-9416 Mellékhida"
"Horváthné Prof. Dr. Somogyi Ilona"	"József attila tér 66.
H-4473 Mezőfürdőkőrös"
"Dr. Kovács Erika Ágnes"	"Zalaegerszegi utca 250.
H-5210 Baja"
"Dr. Fekete László"	"Kisligeti utca 36.
H-8764 Szolnok"
"Szabó Erzsébet Katalin"	"Szenttamásii út 45.
H-6732 Zalaegerszeg"
"Lakatos Edit Edina"	"Lajosmártoni út 27.
H-5113 Mindszenthalas"
"Szücs Mária Borbála"	"Hetvennémetii utca 50.
H-7965 Halas"
"Siposné Dr. Kovács Katalin"	"Petőfi utca 249.
H-5048 Salgótarján"
"Kissné Dr. Hegedűs Éva"	"Keresztkövesdi utca 175.
H-4471 Ózd"
"Dr. Papp Györgyné"	"Petőfi sándor utca 39.
H-6803 Hátváros"
"Nagy Csaba János"	"Petőfi sándor utca 153.
H-8719 Keresztfalva"
"G. Szabó Márta"	"Mindszentvégi utca 66.
H-9054 Somogytótfalva"
"Nagy Horváth Richárd"	"Hátváradi tér 169.
H-8496 Magyarligetberény"
"Dr. Szabó Bence"	"Ady endre utca 60.
H-9432 Sopron"
"Pap Horváth Kálmán"	"Fürdőfai út 99.
H-6779 Vác"
"Dr. Vörös Sándorné"	"Dózsa györgy utca 218.
H-2338 Mártonvár"
"Dr. Szabó Anna"	"Somogytamásii utca 130.
H-5706 Nagyhídváros"
"Fekete Anna Ildikó"	"Szenthetveni tér 208.
H-2412 Vára"
"Kissné Dr. Horváth Mária Júlia"	"József attila utca 232.
H-3541 Tamásikőrös"
"Horváth Zsuzsanna Ildikó"	"Ady endre tér 161.
H-6266 Szigetszentmiklós"
"Bakos Szabó Anett"	"Nyíregyházai utca 56.
H-4994 Miskolc"
"Hegedűs Z. Mária"	"Dózsa györgy tér 70.
H-3957 Veszprém"
"Dr. B. Kiss Csaba"	"Balatonhídi utca 239.
H-4978 Dunahátháza"
"Dr. E. Antal Edina"	"Nyíregyházai utca 244.
H-5973 Székesfehérvár"
"Horváth Gyula"	"Petőfi sándor utca 65.
H-6267 Nagykanizsa"
"L. Tóth Andrea"	"Mosonmagyaróvári utca 17.
H-6386 Mellékfalu"
"Szücsné Dr. Nagy Ágnes"	"Kaposvári utca 9.
H-8341 Nyékhídberény"
"Farkas D. János"	"Egeri utca 14.
H-7144 Szenttótvárad"
"Kissné Dr. Kiss Emese"	"Melléknémetii utca 246.
H-6845 Mátraszékvár"
"Dr. D. Papp Ferenc"	"Somogykereszti utca 172.
H-6764 Eger"
"Farkasné Novák Mónika Katalin"	"Hídvégi utca 228.
H-6974 Nagytapolcakövesd"
"Dr. Simon Mária"	"Keresztapátii utca 178.
H-9309 Fürdőharaszti"
"Bognár István"	"Szabadság tér 78.
H-5936 Borsodhida"
"Katona Miklós"	"Kaposvári utca 94.
H-3845 Salgótarján"
"Kovács Farkas Bettina"	"Nagymártoni út 182.
H-5158 Szeged"
"Magyar Gál Erzsébet"	"Alsótamásii utca 140.
H-2582 Ligetfalva"
"K. Bodnár Szabolcs"	"Németii utca 46.
H-6338 Újfürdővára"
"Kocsis Erika Anna"	"Székvári út 218.
H-5305 Budamellékapáti"
"Kissné Dr. Kovács Borbála Katalin"	"Szabadság utca 146.
H-6009 Fürdővég"
"Dr. Lukács Tamásné"	"Nyíregyházai utca 167.
H-1520 Fürdőberény"
"Dr. Lakatos Gyulané"	"Egyházasmelléki utca 151.
H-4180 Mindszentkőrös"
"Bakosné Orosz Julianna Csilla"	"Végi utca 133.
H-2099 Drávatamásibánya"
"Antal Tamásné Balla Hajnalka"	"Hátvárosi tér 196.
H-2498 Kunszéknádasd"
"Szalainé Dr. Dudás Klaudia"	"Bakonytapolcai tér 249.
H-8793 Salgótarján"
"Molnár Róbert"	"Nyékszéki út 224.
H-8899 Mindszentbánya"
"Dr. F. Németh Dávid"	"József attila utca 192.
H-4233 Mátraligetvár"
"Dr. Somogyi F. Margit"	"Miskolci utca 195.
H-6832 Somogyszéknémeti"
"Kovácsné Dr. Sipos Mária"	"Arany jános utca 62.
H-6810 Nyírvára"
"Kissné Dr. Szabó Dóra"	"Debreceni utca 64.
H-2634 Budapest"
"Nagy Kitti Krisztina"	"Tapolcafai tér 68.
H-4563 Hátapáti"
"Vörös Balogh Szilvia"	"Kossuth utca 181.
H-8967 Pusztakeresztharaszti"
"Kiss Sándorné"	"Újtóti sétány 114.
H-9961 Tamásinémeti"
"Dr. Kovács M. Éva"	"Debreceni utca 134.
H-3574 Pécs"
"Dr. A. Nagy Noémi"	"Bakonytapolcai utca 170.
H-5139 Ózd"
"Orosz Dánielné"	"Petőfi sándor út 122.
H-5424 Nyíregyháza"
"T. Szabó Judit"	"Székdevecseri utca 4.
H-7564 Budapest"
"Dr. Fodor K. Mónika"	"József attila utca 230.
H-3391 Tiszatapolcaváros"
"Csonka Szabó Levente"	"Házai utca 168.
H-5771 Tiszahátnádasd"
"Kissné Dr. Tóth Ilona"	"Bakonyligeti út 37.
H-7615 Ózd"
"Dr. Pap Tamásné"	"Kossuth utca 127.
H-1801 Békéscsaba"
"Kiss J. Valéria"	"Kisligeti utca 191.
H-6491 Magyarhídhalas"
"Simon R. Máté"	"Tapolcavárosi tér 123.
H-4511 Alsóhídnémeti"
"Tóth K. Gyöngyi"	"Veszprémi tér 3.
H-4615 Sopron"
"Dr. Tóth Roland"	"Mezőhídi utca 177.
H-6757 Budapest"
"Dr. Pataki Zsolt Hunor"	"Pilisligeti utca 97.
H-2134 Pusztatapolcavég"
"Prof. Dr. Varga Ferencné"	"Kossuth utca 211.
H-9855 Hídbánya"
"H. Kis Éva"	"Rácháti utca 78.
H-2096 Kuntótnémeti"
"Kiss László Vince"	"Ligetapátii utca 130.
H-5968 Mellékvárad"
"Kissné Dr. Tóth Krisztina Márta"	"Dózsa györgy út 165.
H-4522 Szigetszentmiklós"
"A. Szabó Csaba"	"Mosonszéki tér 246.
H-8249 Fürdővára"
"Prof. Dr. Mészáros Kiss Laura"	"Felsőtapolcai utca 242.
H-9917 Hídhalas"
"Dr. Kovács Tóth Tibor"	"Kecskeméti utca 240.
H-6321 Miskolc"
"Rácz Horváth Jolán"	"Miskolci utca 99.
H-6189 Győr"
"Varga Irén Katalin"	"Kecskeméti utca 51.
H-4379 Szeged"
"Gálné Dr. Horváth Mária"	"Petőfi utca 152.
H-5782 Nagyhetvenbánya"
"Tóth Mária"	"Béke út 95.
H-5647 Mindszentfa"
"Borosné Dr. Kis Terézia Klaudia"	"Kecskeméti utca 199.
H-5259 Budapest"
"Tóth Szabó Anna"	"Drávafürdői út 159.
H-5710 Drávagyörgynádasd"
"Kissné Kocsis Erika"	"Ady endre utca 129.
H-6504 Balatonmindszentfalva"
"Szabó A. István"	"Béke utca 217.
H-7768 Székfalu"
"Kerekesné Dr. Hajdu Margit Szilvia"	"Mellékhidai tér 221.
H-2646 Tamásiváros"
"Dr. Kovács Papp Attila"	"Szombathelyi út 11.
H-6190 Hátvár"
"Szabóné Dr. Kovács Ildikó Veronika"	"Fürdőváradi utca 138.
H-1617 Törökhídbánya"
"Dr. Török Balázs Renáta"	"Dózsa györgy tér 9.
H-5207 Kereszthida"
"Kovácsné Simon Ágnes"	"Fürdőkőrösi tér 8.
H-1620 Magyarszékvég"
"Varga Brigitta"	"Dunakeszii utca 89.
H-4677 Szentmindszentharaszti"
"Dr. Horváth Gáborné Oláh Dorottya"	"Kistapolcai tér 40.
H-2234 Zalaegerszeg"
"Borosné Pap Anna"	"Békésszéki tér 137.
H-3432 Györgyvég"
"Kissné Kovács Edina"	"Petőfi sándor utca 145.
H-5166 Nyíregyháza"
"Pappné Dr. Simon Mária"	"Hátberényi utca 235.
H-4103 Tatabánya"
"Simon János Tamás"	"Arany jános út 245.
H-8885 Cegléd"
"Molnárné Dr. Illés Valéria Viktória"	"Somogyhídi utca 135.
H-4056 Ligethalas"
"Takács Imre Imre"	"Hódmezővásárhelyi utca 121.
H-5480 Hátnádasd"
"Dr. Szalai Horváth Ilona"	"Hídvárai út 120.
H-1100 Tapolcakőrös"
"P. Illés Dániel"	"Devecseri utca 24.
H-6131 Salgótarján"
"Dr. E. Mészáros Veronika"	"Kungyörgyi utca 209.
H-1991 Mártonkövesd"
"Szabó Erzsébet Melinda"	"Dunamelléki utca 83.
H-3765 Pusztatapolcavár"
"Dr. Pataki Erika Anna"	"Hetvenházai utca 15.
H-8216 Mártonkőrös"
"Kissné Kovács Zsuzsanna"	"Szabadság utca 218.
H-7529 Felsőmártonberény"
"Szabóné Kiss Zsuzsanna"	"Egeri utca 1.
H-9021 Somogymindszentfalva"
"Dr. Balogh Péterné Molnár Zsuzsanna"	"Petőfi sándor utca 38.
H-1054 Pécs"
"Farkas Márta"	"Lajosszéki utca 49.
H-2616 Magyartapolcakőrös"
"Szabó Margit"	"Nyékkereszti utca 68.
H-2080 Szombathely"
"Fehér Erzsébet"	"Salgótarjáni utca 226.
H-6483 Tamásiváros"
"Dr. P. Fodor János"	"Váchídi sétány 169.
H-7519 Szolnok"
"Dr. Papné Lukács Ilona Viktória"	"Ligetfalui utca 121.
H-2630 Nagykanizsa"
"Kissné Dr. Balogh Ilona Veronika"	"Mindszentfai tér 129.
H-7483 Dunaújváros"
"Dr. Molnárné Lukács Julianna Margit"	"Kecskeméti utca 76.
H-8532 Belsőfürdőfa"
"Kissné Prof. Dr. Papp Erzsébet Ildikó"	"Bácstapolcai utca 22.
H-7592 Hátvárad"
"Dr. E. Mészáros Edit"	"József attila utca 66.
H-2686 Veszprém"
"Dr. Tóth Ágnes Judit"	"Ady endre utca 20.
H-8721 Salgótarján"
"Király Dorottya Erzsébet"	"Szolnoki út 50.
H-2702 Vár"
"Bakosné Török Erzsébet"	"Törökszéki utca 85.
H-4556 Ligethida"
"Dr. B. Illés Pál"	"Tapolcavári utca 170.
H-7293 Érd"
"Dr. Váradi Tamás"	"Kossuth utca 235.
H-4233 Hátvára"
"Dr. Németh Zsoltné Varga Vivien"	"Mosonhetveni utca 27.
H-6218 Váctapolcadevecser"
"Dr. Kovács Richárd Zsolt"	"Hetvennádasdi tér 62.
H-3785 Debrecen"
"Molnárné Kovács Anna Judit"	"Keresztfalui utca 205.
H-9813 Veszprém"
"Kissné Szabó Ildikó Barbara"	"Szentmártoni utca 191.
H-9416 Pécs"
"Molnár Miklós"	"Békéskereszti utca 10.
H-4161 Nyékgyörgyhida"
"Vincze Norbertné Németh Kitti"	"Somogyligeti utca 243.
H-1063 Nagykanizsa"
"Dr. Kovács A. Ádám"	"Szigetszentmiklósi utca 74.
H-2325 Ligethida"
"Dr. Nagy Katalin Rozália"	"Székfalvai utca 213.
H-3594 Újhátdevecser"
"Borosné Sándor Irén"	"Petőfi sándor utca 167.
H-4524 Melléknémeti"
