"Aaron Put"	"Petruspad 2
7650 Zerkegem" 
"Mathis Bollen"	"Emiellei 2
2172 Nieuwenrode"
"Laura Vandenbussche"	"Annadreef 86
8104
Gros-Fays"
"Jean Poppe Michiels"	"Mireilleboulevard 8
7427 Arendonk"
"Guido Claeys"	"Lisapad 679
5286 Calonne"
"Arthur Segers Adriaensen"	"Kennethlei 3
9846 Tourinnes-Saint-Lambert"
"Kristof De Baets"	"Johnweg 270
3503
Laforêt"
"Jacqueline Baetens"	"Stevesingel 6
8553 Leerbeek"
"Fleur Cuypers"	"Alibaan 20
6558
Thuillies"
"Willy Boeckx De Meyer"	"Andysteeg 981
6379 Clavier"
"Ludo Vanhove"	"Wardlaan 912
6615
Houtvenne"
"Kevin Ceulemans"	"Stevenstraat 44
4068
Eugies"
"Laura Verbrugghe"	"Ritalaan 512
9895 Helchteren"
"Kelly Dejonghe"	"Kurtstraat 73
9829 Maisières"
"Nicole De Ridder"	"Rogersteeg 940
8936 Beloeil"
"Luc Cools"	"Dominiquebaan 1
2727 Clabecq"
"Frank De Keyser"	"Renéhof 0
4530
Gutschoven"
"Björn Schepens"	"Sofiebaan 44
5234
Hansbeke"
"Patrick Vranckx"	"Tomsteeg 249
2490
Blaton"
"Bart Bonte De Laet"	"Jilldreef 09
1721
Tintange"
"Theodoor Smolders"	"Jenniferbaan 81
8362
Olmen"
"Tim Gielen"	"Johanstraat 13
2874 Hoogstraten"
"Laurence Lambert"	"Robertstraat 9
3749 Passendale"
"Dirk Verdonck"	"Kennystraat 3
4201 Stave"
"Anneleen Willems"	"Mariastraat 620
8879 Waret-l'Evêque"
"Francis Janssen"	"Birgitbaan 65
8569
Harzé"
"Maria Smolders"	"Mathiassteeg 234
2775 Pottes"
"Joris Dupont"	"Odettestraat 233
5283 Mechelen-Bovelingen"
"Martine Temmerman"	"Kimberlydreef 124
4402 Ramskapelle-Knokke-Heist"
"Wendy Vanderlinden"	"Kaspersteeg 9
6909 Oeselgem"
"Simonne Baeyens"	"Janstraat 7
1616 Varendonk"
"Arnold Van Hove"	"Janlei 51
2134
Baileux"
"Laurent Meert Mortier"	"Marijkebaan 59
3563
Tervuren"
"Veerle Verbruggen"	"Martinestraat 3
6989 Schellebelle"
"Loïc Staelens"	"Fatihahof 017
6989
Gourdinne"
"Rudi Lambrechts"	"Jessicalaan 0
2399
Blégny"
"Mustapha Pauwels"	"Henriring 465
5642
Marbehan"
"Marc Maes Willekens"	"Corneliapad 9
5701
Nothomb"
"Alex Govaerts"	"Véroniqueweg 6
1064
Viroinval"
"Lize Matthys"	"Elisalaan 6
6249 Fleurus"
"Esther Wauters"	"Mathispad 134
8395 Russeignies"
"Jacob Claes"	"Lodeweg 17
4330 Bellaire"
"Lea Dewaele"	"Mariapad 572
1233
Geetbets"
"Dylan Devriendt"	"Mohamedstraat 0
5351
Henri-Chapelle"
"Luc Lenaerts"	"Ingriddreef 331
7859 Waarschoot"
"Hilde Rosseel"	"Jeaninering 3
1331 Quevaucamps"
"Marc Van Baelen"	"Kennethbaan 79
5211
Villers-devant-Orval"
"Lars Claessens"	"Juliering 50
1104
Jurbise"
"Isabel Stevens"	"Peterlaan 51
3919
Middelburg"
"Julia D'Hondt"	"Mariaweg 45
6639 Gooik"
"Fien Hellemans"	"Guyring 6
5384
Kalmthout"
"Mustapha De Vos"	"Robertdreef 75
8846
Cras-Avernas"
"Lea Hendrickx"	"Simonesteeg 7
2671
Blaugies"
"Albert De Neve"	"Lukassteeg 19
1835 Hodeige"
"Marie Temmerman"	"Kimdreef 4
4087 Arbre"
"Marcel Verschueren"	"Wernerdreef 41
3584 Lauwe"
"Etienne Desmet Claes"	"Fridastraat 6
5787
Avekapelle"
"Sander Willems"	"Jennysingel 5
5010
Houthalen-Helchteren"
"Jozef Proost"	"Joëlledreef 020
8357 Chênée"
"Wim Gielen"	"Thierrydreef 939
2317 Kortijs"
"Joost Nuyts"	"Eddydreef 390
2533 Sint-Martens-Latem"
"Cécile Rosseel Dockx"	"Joséestraat 14
7550 Opont"
"Leen Jacobs"	"Juliensingel 4
5223
Porcheresse"
"Dominique De Keyser Moors"	"Catherinedreef 53
6678
Angleur"
"Steven Vanbrabant"	"Davidhof 3
2581
Laarne"
"Marina De Smet Moerman"	"Veroniquestraat 4
1499
Waremme"
"Ronny Vandekerckhove"	"Muratsingel 0
5949 Muizen"
"Lien Vanhoutte"	"Sophiesteeg 00
2753
Kermt"
"Nina Faes Baetens"	"Laurentboulevard 9
1606
Mesnil-Saint-Blaise"
"Steve Depuydt"	"Ronnylei 9
3255 Vaalbeek"
"Carine De Roeck"	"Jansteeg 426
8031 Soulme"
"Sam Lauwers Peeters"	"Carinesingel 29
5438 Meix-le-Tige"
"Leen Vandendriessche"	"Riaring 129
6368
Lochristi"
"Sarah Maes Nys"	"Paularing 13
1653 Nieuwpoort"
"André Jansen Lambrechts"	"Annitapad 4
4908
Vorst"
"Nina Vanhoutte"	"Ingering 52
6838 Werken"
"Sven Goossens"	"Martinehof 354
7715
Seilles"
"Raf De Backer"	"Milabaan 0
8280
Waasmont"
"Jan De Ridder"	"Jeannettepad 6
8872 Grimminge"
"Mathias Van Herck"	"Renéesteeg 761
2891
Hermalle-sous-Argenteau"
"Stefaan Hendrickx"	"Juliebaan 752
7913 Soignies"
"Daniël Van Praet"	"Marclaan 357
9209 Courrière"
"Lena Coppens"	"Lucienweg 9
9658
Ramillies-Offus"
"Amina De Laet"	"Ankedreef 596
4983
Voroux-Goreux"
"Katrien Devos"	"Guylei 826
7264
Kortessem"
"An Moerman"	"Hannelorepad 6
9016 Wijnegem"
"Patrick Coppens"	"Miekelaan 64
9527 Beaufays"
"Patrick Goossens"	"Koenstraat 4
2076 Kleine-Spouwen"
"Annie Devos"	"Martinehof 14
3605
Koekelare"
"Karel De Vos"	"Ludoboulevard 967
3314
Lessive"
"John Boon"	"Geertlaan 5
3222
Anzegem"
"Lutgart Aerts"	"Tonypad 7
6398
Gondregnies"
"Lena De Smedt"	"Guntherbaan 561
9890
Lamine"
"Jaak Van Landeghem"	"Bjornhof 5
4943
Ruddervoorde"
"Manon Segers"	"Elisabethstraat 9
1813 Thommen"
"Guillaume Borremans"	"Peterstraat 3
7772
Aineffe"
"Didier Huys Bogaerts"	"Carolineboulevard 735
8965
Fexhe-Slins"
"Dries Poppe"	"Patrickring 0
3246 Koninksem"
"Steven De Muynck"	"Mariepad 439
5861 Bertogne"
"Johan Heylen"	"Ludohof 046
7526 Maurage"
"Noah Vermeersch"	"Gustaafstraat 0
4081 Attenrode"
"Kristof Rombaut"	"Seppedreef 322
7068 Haasrode"
"Lennert Geudens"	"Angèlelei 1
9750 Oostwinkel"
"Annie Depoorter"	"Jarneboulevard 7
3294 Rognée"
"Luc Bervoets"	"Maartenpad 749
9218
Zedelgem"
"Mike Goethals"	"Christinedreef 73
8549
Gutschoven"
"Christiana Vanhove"	"Albertring 181
3127
Smuid"
"Vic Theys"	"Josephboulevard 3
3383
Vaulx"
"Hubert Dewulf"	"Veroniquering 2
9391 Leefdaal"
"Wim De Pauw"	"Silviadreef 6
1930
Smuid"
"Monique Van den Bosch"	"Stevenboulevard 3
7610
Berbroek"
"Tine Braem"	"Marielaan 22
8426 Rekem"
"Leo De Clercq"	"Charlottesteeg 7
7421 Brussegem"
"Karin Verlinden"	"Christophehof 53
9757
Chapelle-lez-Herlaimont"
"Diana Van Assche"	"Patrickstraat 246
4709
Sluizen"
"Hendrik De Clercq Mertens"	"Vanessabaan 207
3263
Bavegem"
"Sami Janssen"	"Jozeflaan 5
3246 Oudenaarde"
"Erik Schoofs"	"Ritastraat 44
9586 Waterland-Oudeman"
"Denise Huysmans"	"Ninaring 68
4266 Crombach"
"Hilde De Decker Van Damme"	"Renéstraat 34
3427 Hannêche"
"Paul Hermans"	"Juliettesteeg 535
8700
Beervelde"
"Geoffrey Nijs"	"Alfonssingel 582
4206 Ere"
"Leo Deckers David"	"Kellydreef 4
7276
Senzeille"
"Sofie Claeys"	"Tessaweg 169
3701
Carlsbourg"
"Luc Desmet"	"Sophialei 96
6432 Plombières"
"Nathalie Claes"	"Michelpad 413
8643 Wijtschate"
"Nicole Cornelis"	"Nickpad 47
2472
Goeferdinge"
"Sam Voet"	"Rosaring 809
1107
Grazen"
"Rita De Meyer"	"Stansteeg 634
8641 Torgny"
"Eric De Maeyer"	"Anbaan 529
7969 Huy"
"Catherine Vanneste"	"Naomilei 9
3216 Zele"
"Paul Diallo"	"Carmenlei 855
3986 Parike"
"Leo Van de Voorde"	"Xanderring 9
4025 Borgerhout"
"Martine Peeters Christiaens"	"Theresialei 306
2039 Weerde"
"Vince Van Looy"	"Noëldreef 16
3359
Saint-Aubin"
"Nicole De Block"	"Sophiebaan 1
9574 Eernegem"
"Willy Hermans"	"Petrusbaan 4
4249 Godveerdegem"
"Anke Dierckx"	"Gerardpad 7
5122
Baisieux"
"Bert Wauters"	"Jozefsteeg 640
7984
Lommel"
"Johan Nijs"	"Carmensingel 495
4999
Oisquercq"
"Godelieve Claeys"	"Jurgenbaan 13
3960 Mol"
"Silke Vandekerckhove"	"Thomasring 470
6779
Galmaarden"
"Leon Steyaert"	"Dirkdreef 959
3894 Bevercé"
"Gilberte Vereecken"	"Thierrysteeg 877
7302 Hodister"
"Jozef Claes"	"Lottelei 085
6115 Kelmis"
"Jelle Mariën"	"Martineboulevard 987
4953
Reppel"
"Marina Vermeulen"	"Robinhof 550
2202 Ramskapelle-Nieuwpoort"
"Annie Claes"	"Mariapad 59
6924
Cortil-Wodon"
"Jean-Pierre De Wilde"	"Godelieveweg 981
1937
Bekkevoort"
"Roger Van den Bergh"	"Julielei 759
7624
Sint-Laureins"
"Augusta Vandecasteele"	"Juliestraat 9
5239 Alle"
"Jo Deceuninck"	"Gerdadreef 6
5506
Wasmes"
"Leona Jansen"	"Veerlelei 0
7543 Wuustwezel"
"Filip Melis"	"Ilsedreef 358
3324 La Hestre"
"John Broeckx"	"Dennisring 68
6066 Rouvreux"
"Monique Bekaert"	"Koensingel 3
3272
Nerem"
"Marc Vandenberghe"	"Lucastraat 890
4367
Namêche"
"Brigitte Reynders Braem"	"Alinesteeg 6
7590 Lambusart"
"Karin Verhoeven"	"Felixlei 19
4215 Harsin"
"Koen Moerman"	"Marieweg 0
9831 Egem"
"Katrien Meersman"	"Ronypad 7
9393 Lombise"
"Hilda Jacobs"	"Hildahof 2
5659 Mechelen-aan-de-Maas"
"Leona Philips"	"Ericweg 1
9782
Saint-Denis"
"Tim Ceulemans"	"Juleshof 43
4890 Kanne"
"Stefaan Torfs"	"Cindylaan 45
7919
Grotenberge"
"Petra De Pauw"	"Chloëpad 43
5805 Plainevaux"
"Arno Heremans"	"Muratpad 5
5250 Nismes"
"Dominique Merckx"	"Evelinering 4
6647 Coutisse"
"Marc De Smet"	"Jefsteeg 47
3326 Dohan"
"Sonia Lammens"	"Juliestraat 7
2796
Genoelselderen"
"Simon Van de Velde"	"Philipweg 43
2652
Tarcienne"
"Jozef Poelmans"	"Dirkring 8
8706
Schelderode"
"Leonard Wauters"	"Ericweg 404
3199
Zellik"
"Robert Vanneste"	"Yolandalaan 985
6085
Ottignies"
"Sarah Cornelis"	"Pascaldreef 89
8104 Petit-Roeulx-lez-Nivelles"
"Jessy De Cuyper"	"Hugoboulevard 778
4007 Avelgem"
"Ingrid De Schepper"	"Marialei 85
1909
Ouwegem"
"Vincent Deckers"	"Lindasteeg 267
8607
Zuidschote"
"Annick Gevaert"	"Hildeboulevard 838
8074
Pussemange"
"Josephus Van Belle"	"Axeldreef 022
2255 Lillois-Witterzée"
"Maaike Mertens Devos"	"Adamhof 78
1551 Lot"
"Amira Bauwens"	"Mariastraat 33
8437 Zuienkerke"
"Leonie Hermans"	"Matsring 915
2099 Adegem"
"Lisa Matthys"	"Martineweg 4
1259
Geest-Gérompont-Petit-Rosière"
"Kristof Van den Broeck"	"Samhof 8
9915
Kelmis"
"Wim Bogaert"	"Hildastraat 66
9875
Rance"
"Jasmine De Roover"	"Nadiapad 248
2446
Sint-Joris-Winge"
"Rita Buelens"	"Célinedreef 741
3015
Beerse"
"Anton De Schepper"	"Guillaumepad 68
4498
Wierde"
"Johan Cox"	"Alicehof 8
4911
Mont"
"Wendy De Laet Lenaerts"	"Sylviepad 30
7190
Le Roeulx"
"Ruben Verstraete"	"Bartring 44
7666 Rance"
"Leonie Vandewalle"	"Samuellaan 680
9757 Thimister-Clermont"
"Emiel Aerts"	"Sonjabaan 5
6824 Sint-Amandsberg"
"Ghislain Van Hecke"	"Lisastraat 2
1768 Wervik"
"Jean Van Loon"	"Quintensingel 6
4088
Bikschote"
"Maria De Maeyer"	"Marie-Rosepad 1
6894 Beselare"
"Martine Moens Pauwels"	"Nathalieweg 1
7834
Comblain-au-Pont"
"Willy Vermeiren"	"Martinestraat 95
6776
Wansin"
"Hendrik Verelst"	"Sofiasteeg 6
2425 Kleine-Brogel"
"Hannah Verheyden"	"Dirksteeg 4
9585
Suarlée"
"Leon Tanghe"	"Felixsingel 822
8922 Sint-Rijkers"
"Leopold Declercq Coppens"	"Yveshof 4
6616
Waterloo"
"Estelle Huys"	"Jozefboulevard 293
4478 Casteau"
"Leen Loos"	"Mohamedsteeg 33
7804 Wodecq"
"Adam Van Parys"	"Josephadreef 91
6916 Gerdingen"
"Bart Wouters Van Assche"	"Josianering 95
4439
Romershoven"
"Ismail De Pauw"	"Koenboulevard 5
9890
Ville-en-Hesbaye"
"Rita Wuyts"	"Magdalenaboulevard 2
9449
Walhorn"
"David Lauwers"	"Bartlei 08
8682
Esplechin"
"Rita Tanghe"	"Ilsebaan 88
8802
Faymonville"
"Jelle De Ridder"	"Mohamedstraat 14
6667 Coutisse"
"Leopold Peeters"	"Mariehof 59
5515
Hoepertingen"
"Linda Goossens Cuypers"	"Karenring 4
7493 Waha"
"Milan Stevens"	"Filiphof 530
5040 Bellegem"
"Pierre Verhaegen"	"Loresingel 1
9992 Meer"
"Ingrid Van Gorp"	"Rosahof 09
1576 Dworp"
"Jessica De Wachter"	"Jurgenring 2
9030 Binkom"
"Marc De Laet"	"Maartenboulevard 1
5927
Adegem"
"Yves Holvoet Mariën"	"Lunaboulevard 9
9529
Leugnies"
"Carlos Declerck"	"Claudinering 207
7255
Büllingen"
"Silvia Vandenbussche"	"Lisettehof 449
8347
Gourdinne"
"Liam Van de Voorde"	"Mehmetsingel 1
6497 Mohiville"
"Magda Claeys"	"Guidolaan 4
6090 Polleur"
"Lieven Janssens"	"Gittelei 25
4674
Lasne"
"Nele Peeters"	"Joëlboulevard 8
8709 Biercée"
"Pierre De Sutter"	"Maaikering 840
4194
Wanzele"
"Eva Martens"	"Hubertring 90
1916 Trognée"
"Hassan De Vuyst"	"Janring 74
6083 Molenbaix"
"Alain De Bock"	"Timlaan 7
2826 Morhet"
"Marie Vleugels"	"Ibrahimlaan 76
7273
Rosières"
"Jan Smeets"	"Janlaan 2
5763
Baelen"
"Lien De Cock"	"Tommystraat 9
6355 Lambusart"
"Roeland Heylen Vanderheyden"	"Hannesteeg 159
8625 Louveigné"
"Kirsten Smeets Callens"	"Marcellaan 01
2494 Wichelen"
"Eline Lauwers"	"Jonassingel 781
1114 Roclenge-sur-Geer"
"Sarah Moons"	"Koenlei 955
5964 Corroy-le-Château"
"Evelien Janssens"	"Louisadreef 1
1673 Ensival"
"Joanna Hellemans"	"Cynthiadreef 4
9403
Forges"
"Tommy Geudens"	"Marleensteeg 0
6682 Chercq"
"Kurt De Bruyne"	"Elsdreef 73
7589 Moha"
"Willy De Waele"	"Nathaliedreef 09
6908 Brecht"
"Lien Dupont"	"Jeanboulevard 311
3080 Halle-Booienhoven"
"Gilles Janssens"	"Annicksingel 1
8898
Beerlegem"
"Gilles Jacobs Van den Berghe"	"Raouldreef 18
7138 Maffle"
"Youssef Demeyer"	"Racheldreef 78
8912 Eeklo"
"Brenda Nijs"	"Guntherlaan 0
5464
Orsmaal-Gussenhoven"
"Robert Vandenberghe De Vos"	"Liampad 2
1903 Mariembourg"
"Emiel Verbeke Mortier"	"Sophiedreef 987
6255 Merlemont"
"Joachim Luyten"	"Dieterdreef 492
7547 Ostiches"
"Paul Daniels"	"Karinlaan 1
5815
Baulers"
"Myriam Meert Aerts"	"Edmondstraat 832
6418 Buzenol"
"Lien Leemans"	"Geertlei 603
8538 Dampremy"
"Monica Hellemans"	"Idastraat 46
7347
Heffen"
"Gilles De Witte"	"Marclei 705
8800 Zepperen"
"Finn Galle"	"Axelweg 1
4630
Bovigny"
"Evelien Neyens"	"Jorenhof 9
5387
Tiegem"
"Martine Dierickx"	"Hendriklaan 8
7100
Huise"
"Liliane Smets"	"Warredreef 26
3490 Rozebeke"
"Bart Verhoeven"	"Emiledreef 775
8561
Koningshooikt"
"Cindy Thijs"	"Alexandersingel 332
9533
Noirefontaine"
"Noël Cools"	"Ronnybaan 4
8356 Ingooigem"
"Lies Engels"	"Mariabaan 9
7837 Bailièvre"
"Ahmed Smets"	"Fienlaan 858
9826
Champlon"
"Maria Ahmed"	"Saidboulevard 0
5233 Bilstain"
"Wouter Verwimp"	"Kensteeg 212
4412 Bavikhove"
"Monika Verheyen"	"Manuellei 01
1615
Arc-Wattripont"
"Robert Willems"	"Kimberlybaan 8
8211
Gembes"
"Henri Baeyens"	"Carolinering 09
1378
Watermaal-Bosvoorde"
"Margaretha Laenen De Baere"	"Alfonsbaan 02
2808
Zepperen"
"Henri Vandenberghe"	"Oliviaring 076
9591 Geel"
"Michelle Maes"	"Miekestraat 94
5306 Sint-Genesius-Rode"
"Liesbeth Aerts"	"Lienpad 83
1243 Fraipont"
"Lien Singh"	"Fatimaboulevard 4
5345 Sint-Amandsberg"
"Danny Rombaut"	"Alicesingel 441
4384
Oudergem"
"Roger De Bruyn"	"Johannessingel 68
4067
Paliseul"
"Mathis De Vos"	"Ilsering 64
4251 Teralfene"
"Rani Driesen Buelens"	"Raphaëlhof 5
7129
Aisemont"
"Marina Desmedt"	"Martinelaan 99
1145
Kerkom-bij-Sint-Truiden"
"Kurt Vanhoutte"	"Jelleweg 78
4368 Sart-lez-Spa"
"Louis Mortier"	"Emiliapad 665
6264 Grandville"
"Fleur Aerts"	"Guidoweg 83
4930
Bilstain"
"Liesbeth Geens"	"Jozefpad 261
1164 Westrozebeke"
"Rebecca Goossens Janssens"	"Georgessingel 320
2663 Soignies"
"Sofie Willems"	"Jaaksingel 3
3996
Grune"
"Linda Braem"	"Fabiennelaan 578
3894
Vissenaken"
"Johnny Verheyen"	"Albertstraat 72
6502
Zichen-Zussen-Bolder"
"Monique Jacobs"	"Johandreef 4
8880 Lamain"
"Christof Van den Broeck"	"Hubertdreef 30
3134 Leugnies"
"Arne Engelen"	"Mathiashof 63
7474 Bettincourt"
"Liliane Vermeulen Vandekerckhove"	"Ellyboulevard 193
7195
Mariembourg"
"Rudi Wouters"	"Christianesteeg 632
5561
Sainte-Ode"
"Liesbeth Vervoort"	"Hannesteeg 4
6279
Thirimont"
"Eva De Vos"	"Michaëlboulevard 039
4000 Bovenistier"
"Christine Geerts"	"Anneboulevard 29
5866 Lillois-Witterzée"
"Marie Van Damme"	"Auguststeeg 691
2079
Bulskamp"
"Theo Bogaert"	"Marnixpad 4
4078 Kerkom"
"Mats Pauwels"	"Björnbaan 8
8528 Marche-les-Dames"
"Ben Beyens"	"Daanbaan 7
5221 Riemst"
"Hilde Timmermans"	"Maximstraat 29
9351
Rotselaar"
"Karine Roose"	"Lisettedreef 5
5314 Sint-Lenaarts"
"Henri Dewulf"	"Marleenlaan 11
8402 Corroy-le-Grand"
"Lieselot Lemmens"	"Mielbaan 8
9188 Poupehan"
"Eva Verbrugghe"	"Pieterboulevard 287
1586
Robertville"
"Merel Smets"	"Cindypad 145
5850 Voorde"
"Noëlla De Meyer"	"Walterdreef 7
1924 Hoelbeek"
"Bram D'hondt Moens"	"Hugostraat 1
9049 Merkem"
"Werner Moonen"	"Christelhof 598
5639
Ninove"
"Cédric Goethals"	"Eliselaan 465
3051
Beveren-Leie"
"Julie De Neve"	"Oscarsingel 020
7258
Bonlez"
"Isabelle Vandenbussche David"	"Alainsteeg 2
4434 Zoutleeuw"
"Mario Van Hoof"	"Michielpad 775
5306
Bovenistier"
"Lieselot Rutten"	"Raymondweg 8
5998
Havré"
"Bram Van de Velde"	"Daanring 07
3299 Attenrode"
"Karen Galle"	"Johnstraat 623
8400 Vellereille-le-Sec"
"Gerda Van Looveren"	"Bjornhof 058
7507
Libin"
"Rune Van de Velde Van Acker"	"Sabinedreef 6
9273
Bekegem"
"Tom Van den Broeck"	"Stijnring 58
8435
Vladslo"
"Noah De Meyer"	"Kirstendreef 402
9337
Breendonk"
"Nathalie Huyghe"	"Stevenlaan 705
2349
Ganshoren"
"Erik Peeters"	"Alainring 0
5499
Beringen"
"Alfons Lenaerts"	"Germainestraat 979
3438 Olne"
"Lieve Andries"	"Rosalaan 863
7528
Pittem"
"Sigrid Dierckx"	"Kimberlydreef 15
8718 Spy"
"Arthur Mortier"	"Peggydreef 288
2527
Galmaarden"
"Anne-Marie Verbeke"	"Michaelpad 123
1142
Thirimont"
"Steven Desmet"	"Elliesingel 34
6266 Helkijn"
"Magda Meert"	"Hugosteeg 33
6761 Durbuy"
"José Joos"	"Willydreef 30
7379 Mesen"
"Eveline Lauwers"	"Marlieshof 343
7383 Soheit-Tinlot"
"Pieter-Jan Verlinden"	"Frederikdreef 317
8871 Overijse"
"Madeleine Van den Bossche"	"Irènelaan 2
9133 Ambly"
"Lieve Claes Willekens"	"Emielweg 600
7030 Strombeek-Bever"
"Ahmed Theunis"	"Mariastraat 9
3989 Coutisse"
"Joannes De Schutter De Clercq"	"Virginieweg 84
2200 Ormeignies"
"Angelo Rombaut"	"Johnnypad 02
1874 Schorisse"
"Jo Put Lippens"	"Gilberthof 097
7129
Huissignies"
"Noor Janssens De Clerck"	"Lucstraat 947
3628 Overhespen"
"Liliana Demeyere"	"Elspad 55
1074
Ruien"
"Robbe Carlier"	"Astridboulevard 3
6899
Louette-Saint-Pierre"
"Zita Maes"	"Pietersingel 21
9729
Filot"
"Emiel Janssens"	"Michelsingel 495
3826 Ardooie"
"Lieve De Bock"	"Benpad 21
8162
Ramskapelle-Knokke-Heist"
"Josée Van den Bergh"	"Floorweg 40
7962
Diksmuide"
"Leona Simons"	"Matthewsingel 117
6373
Fauvillers"
"Jacques Desmet"	"Joeristeeg 4
5177
Graty"
"Louise Peeters"	"Stijnsteeg 229
4781 Custinne"
"Kim Ooms"	"Marie-Christinepad 56
1509 Graide"
"Tinne Decock"	"Hannespad 97
7849
Zwevezele"
"Marc Heymans"	"Andréhof 690
8855 Rotem"
"Alina Geudens"	"Nielshof 810
5727
Sint-Antelinks"
"Maria Wauters"	"Michaelhof 77
5143 Bombaye"
"Lieve Jacobs"	"Anitasteeg 8
9447 Woubrechtegem"
"Freddy Vlaeminck"	"Françoisdreef 66
9633 Papignies"
"Jana Roosen"	"Martinsteeg 016
5698 Embourg"
"Rudi Dhondt"	"Lisalaan 1
6556
Odeur"
"Marie-Thérèse Smets"	"Emielbaan 244
6616 Vierset-Barse"
"Bart De Cock"	"Gretaring 834
4612 Fraire"
"Iris Van Goethem"	"Brittbaan 008
5093
Roselies"
"Lynn Baeyens"	"Thomassingel 93
3857 Evegnée"
"Kathleen De Backer"	"Dimitrisingel 2
3217
Brunehaut"
"Nico Willems"	"Sienlei 8
7424
Koekelare"
"Lieve Mertens"	"Gilbertring 050
8732 Anlier"
"Jean-Pierre Moerman"	"Alilaan 8
9291
Testelt"
"Willem Celis"	"Ahmedstraat 61
6402
Knokke"
"Simon Hermans"	"Fatimapad 7
4083
Schaltin"
"Sylvie Callens"	"Kevinstraat 548
8063 Vaux-et-Borset"
"Marie Smet"	"Kimberlystraat 1
3170
Fosse"
"Tibo Maes"	"Julienneboulevard 177
2091
Strombeek-Bever"
"Youssef De Wilde"	"Inelaan 7
3602 Lommersweiler"
"Marnix Polfliet"	"Jozefdreef 2
9119
Opprebais"
"Bilal Pattyn Hanssens"	"Leenweg 69
9059 Zwalm"
"Lieve Smets"	"Wernersteeg 4
6423
Zele"
"Katrien Mertens"	"Stefaanlei 0
7779 Hulshout"
"Vincent Smets"	"Freddyhof 939
8278
Soignies"
"Els Van Laere"	"Steflaan 210
4308
Runkelen"
"Erna Dierick"	"Frankweg 2
3469
Russeignies"
"Caroline Willekens"	"Karelpad 332
3567 Veldwezelt"
"Frank Schepers"	"Oscarsteeg 174
2071
Anderlues"
"Bram De Leeuw"	"Didierhof 3
6281
Gosselies"
"Laura Willems"	"Ingridbaan 672
8108
Grandglise"
"Kurt Hanssens"	"Godelievestraat 922
7987 Gooik"
"Lieven D'Hondt"	"Rubensteeg 616
4457
Helkijn"
"Martha Borremans"	"Geertpad 1
7608 Membach"
"Luc Somers Mortier"	"Tommyweg 2
7668 Assesse"
"Nelly Coppens"	"Odettestraat 1
3709
Roborst"
"Alicia De Coninck"	"Stefanieweg 90
4992
Cras-Avernas"
"Kris Temmerman"	"Célinesteeg 4
7365
Linter"
"Nathan Wouters"	"Johanlaan 93
4417 Mullem"
"Henricus Hellemans Vercruysse"	"Robertweg 25
4802
Ruisbroek"
"Malika Van Genechten"	"Daniëlpad 0
7234
Spouwen"
"Catharina Peeters"	"Sabinestraat 14
5098
Webbekom"
"Lieze De Witte"	"Dannystraat 982
4803 Ehein"
"Mona Sterckx"	"Andreasingel 8
3307 Lettelingen"
"Dorine De Leeuw"	"Daniëlring 76
5653
Knokke"
"Elien Janssen"	"Benoitboulevard 57
8860 Thon"
"Lien De Smedt"	"Kimstraat 230
9186
Wannebecq"
"Koenraad Huybrechts"	"Ingelei 40
2657 Hermée"
"Raphaël Vanneste"	"Paulhof 983
4879
Houffalize"
"Laura Maes"	"Eddyweg 2
5167
Zuidschote"
"Chantal Jacobs"	"Svensingel 3
1780
Lommel"
"Krista D'Hondt"	"Lienlaan 4
3603 Dolembreux"
"Lieze Verbeke"	"Dannybaan 5
5007
Opheylissem"
"Norbert Verhelst"	"Tomboulevard 65
3204 Bierbeek"
"Carl Dillen"	"Kimdreef 137
2233
Horebeke"
"Lander Peeters"	"Sabrinadreef 538
9281
Oostduinkerke"
"Monique Peeters"	"Liesbetring 98
7384 De Panne"
"Alice Deprez"	"Tomasstraat 256
9838 Sint-Amands"
"Ilyas Vermeersch"	"Michèlestraat 666
2879
Impe"
"Willy Huysmans"	"Laurentbaan 02
5502 Membruggen"
"Maurits Devolder"	"Patrickhof 28
5783 Stokrooie"
"David Malfait"	"Willempad 71
9746 Avernas-le-Bauduin"
"Liliane Blomme Meert"	"Nancylei 4
1798
La Hulpe"
"Sarah De Coninck"	"Emmasteeg 525
2717 Rossignol"
"Thomas Verheyden"	"Nathaliehof 104
5628 Pont-à-Celles"
"Lieven De Baere Vandenbussche"	"Willyhof 778
3558 Hornu"
"Bart Marien"	"Patrickdreef 1
7304 Modave"
"Denise Demeulenaere"	"Alexanderhof 766
6141 Noville-les-Bois"
"Fabienne Smeets"	"Lievestraat 1
2706 Harsin"
"Frederik Van Assche"	"Maxlei 66
1761 Vielsalm"
"Ellen Tanghe"	"Bernadettestraat 6
6108
Nouvelles"
"Magdalena Pauwels"	"Davidsteeg 3
1954 Hautrage"
"Liliane De Pauw"	"Xavierdreef 1
9768 Wezeren"
"Noël Voet"	"Jonathanhof 199
1696
Seny"
"Ellen Verbist"	"Rosalialaan 49
1204 La Hestre"
"Laurens Boonen"	"Marcpad 2
4657
Attert"
"Rita Thijs"	"Miekelaan 0
7729
Edegem"
"Leen Verhaegen"	"Gerritlaan 206
3567 Mere"
"Wendy Verhoeven"	"Davidlei 994
5582 Mesnil-Saint-Blaise"
