"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn" 
"Kenneth Eliassen","Sivertsenstykket 98, 9781 Berg"
"Andreas-Einar Berge","Bakkeplassen 076, 7127 Magnusstad"
"Leif Arnesen","Thomassenmoen 1, 1658 Bjørgby"
"Gerd-Line Svendsen","Svendsenstien 3, 9291 Ahmed"
"Tonje Larsen","Nilsenhaugen 7E, 3780 Bakken"
"Mona-Anna Jensen","Pedersenhavna 01, 6668 Madsen"
"Marius Nguyen","Amundsentjernet 1, 6073 Tveit"
"Stein Berg","Fredriksenkroken 30, 8243 Johnsen"
"Nora Berge","Bakketunet 8, 7187 Emilås"
"May Ali","Danielsenjordet 47, 3976 Edvardsen"
"Kenneth Madsen-Holm","Ødegårdbråten 7, 7302 Andresen"
"Stig Haug","Petterseneggen 5, 2168 Alfdal"
"Laila Andresen","Sivertsenskogen 8, 1308 Franknes"
"Alf-Simen Lie","Næssberget 789, 9348 Andersøy"
"Einar Sandvik","Hagenhagen 6, 4798 Helgeborg"
"Sigrid Eliassen","Fredriksenhavna 7, 2171 Mikkelsen"
"Roar-Daniel Tveit","Andreassenholtet 71A, 4664 Pettersen"
"Liv Sivertsen","Knudsenberget 374, 2896 Erlinghelle"
"Thomas Olsen","Kristoffersengropa 6, 7464 Unnimark"
"Terje Gulbrandsen-Myklebust","Isaksenhøgda 8, 8607 Olsen"
"Kenneth Mikkelsen","Henriksenvika 597, 7483 Moen"
"Johan Rønning","Holmstien 87C, 2378 Knudsen"
"Alf Halvorsen","Berntsenstranda 49, 3681 Holm"
"Anne Paulsen","Martinsenrøa 7, 1092 Vegarddal"
"Cecilie Berge","Simonsentoppen 3, 8925 Thomassen"
"Marit-Astrid Johannessen","Johansenmyra 2, 4944 Olehelle"
"Maren Solberg","Eidehavna 5, 2291 Myklebust"
"Tobias-Dag Andreassen","Bergelunden 9, 2605 Holm"
"Prof. Thor Sandvik","Myklebustkollen 843, 5313 Hauge"
"Astrid-Synnøve Martinsen","Alihaugen 12, 2793 Asbjørnvåg"
"Kenneth-Finn Bakken","Jakobsenvika 086, 5870 Cathrineås"
"Per Knutsen","Kristensenrøa 99, 7134 Kristofferbø"
"Eli-Marte Vik","Madseneggen 17, 7298 Tangen"
"Roar Christensen","Edvardsenbakken 8B, 4529 Larsvær"
"Leif Sørensen","Myhrestien 4, 5661 Henrikvær"
"Ruth Karlsen","Larsenmarka 5, 2071 Edvardsen"
"Lars Danielsen","Haugmoen 2, 8548 Moen"
"Andrea Andresen","Larsenjordet 57E, 8746 Larsen"
"Trond-Håkon Myklebust","Holmkollen 4, 3368 Tonjevær"
"Prof. Thomas Helland","Andersenhaugen 7, 0909 Gulbrandsen"
"Kenneth-Finn Mathisen","Iversengrenda 843, 5621 Engen"
"Stein Kristensen","Ahmedmyra 6, 2987 Anetteodden"
"Gerd Jensen-Myklebust","Paulsenrøa 48, 9629 Adrianeid"
"Rune Sæther","Ødegårdvika 11B, 5711 Ellenhamn"
"Sander Berge","Bergehavna 7, 2671 Hansen"
"Rita Andresen","Moenhagen 7, 2835 Toneø"
"Olav Andersen","Aasenstranda 7, 6955 Geirhamn"
"Siri-Gerd Danielsen","Andreassentoppen 8, 5812 Tangen"
"Gunnar Strøm","Gundersenhaugen 4, 3640 Bjørgfoss"
"Dr. Sondre Evensen","Nygårdfaret 8, 0292 Ragnhildsjøen"
"Kenneth-Håkon Eliassen","Antonsenkroken 73, 6288 Henriksen"
"Rolf Thorsen","Strømvollen 94, 3011 Kristensen"
"Karin Berg","Myhrestranda 94C, 3777 Jørgendal"
"Leif-Jonas Olsen","Lienåsen 41, 3631 Evensen"
"Jenny Lunde-Berg","Christensenhavna 53, 3070 Camillahamn"
"Jonas-Ole Dahl","Næsslunden 9, 2517 Bakke"
"Karin Mikkelsen","Jenssengropa 34, 8194 Kirstengrunn"
"Kåre Edvardsen","Solbergstykket 9, 6897 Tommark"
"Stine Ahmed","Myhreeggen 3G, 7780 Marieø"
"Bjørg Jacobsen","Kristoffersenkroken 79F, 1602 Næss"
"Kenneth-John Tangen","Henriksenjordet 22, 3610 Julievær"
"Asbjørn Jensen","Antonsengata 1D, 2832 Engen"
"Håkon Kristoffersen","Fredriksengjerdet 3, 2252 Egilbø"
"Unni Sørensen","Sørensenkollen 91, 7771 Hagen"
"Marius Sæther","Lundebakken 8, 4218 Pålfoss"
"Alexander Bakken","Andreassenåsen 579, 8808 Thorsen"
"Rita Larsen","Solbergvika 13, 1790 Monaås"
"Jan Paulsen","Andreassenbakken 119, 4677 Joakimsand"
"Julie-Linn Haug","Nielsenlyngen 7, 0509 Cathrinevær"
"Roy Lund","Hansenkollen 9, 4052 Pettersen"
"Kenneth-Marius Larsen","Christensenkollen 2C, 7534 Jakobsen"
"Hans Kristoffersen","Andersentunet 65, 7340 Solveigsand"
"Håkon Jørgensen","Solbergspranget 7, 6867 Johansen"
"Dr. Olav Kristensen","Edvardsenstykket 31, 0422 Engen"
"Thea Karlsen","Bergvollen 8D, 9923 Eriksen"
"Randi Hagen","Myklebusttoppen 2, 0511 Malinbø"
"Britt Tangen","Lundspranget 30F, 1824 Simonsen"
"Magnus Myklebust","Thorsenhagen 4, 8662 Ali"
"Irene-Julie Gundersen","Gundersenstranda 266, 3730 Eliassen"
"Nils Jakobsen","Amundsengrenda 02, 0113 Abrahamsen"
"Kim Ahmed","Paulsenhavna 4, 5665 Karinfjell"
"Kim Bakken","Olseneggen 224, 7124 Arnesen"
"Eli Nygård","Pettersenbakken 9, 6628 Juliegrunn"
"Jens Paulsen","Larsengjerdet 4H, 8702 Haug"
"Simen-Finn Christensen","Sandvikgropa 98A, 8937 Olsen"
"Silje Kristoffersen","Martinsenstranda 4, 8141 Ingerfoss"
"Hilde Jacobsen","Andersenmoen 6, 0057 Ahmed"
"Andreas Rønning","Martinsengjerdet 8, 6509 Hannedal"
"Dr. Rune Eriksen","Aasengata 3, 1028 Sigurdodden"
"Erik Lunde","Moenstykket 2, 2789 Bøe"
"Kim Fredriksen","Bakkenhavna 45, 9940 Einarberg"
"Kirsten Johansen","Nielsenbakken 506, 9320 Roarø"
"Martin Eliassen","Amundsenekra 5, 3690 Jonasgrunn"
"Martine-Anna Bakke","Hagenmarka 2, 5183 Lie"
"Tor Martinsen","Kristiansengjerdet 9, 0494 Annevik"
"Kjersti Rønning","Knudsenstien 931, 0176 Gundersen"
"Heidi Isaksen","Gundersenhøgda 7, 1965 Sandvik"
"Kenneth Johansen-Haugland","Jensenmarka 4E, 1396 Bjørnhamn"
"Tommy Bakken","Sivertsenengen 247, 1976 Martinmark"
"Else-Sofie Edvardsen","Ahmedeggen 5F, 5375 Anettestrand"
"Kim Halvorsen","Hagenskrenten 2A, 3609 Næss"
"Ruth Haugen","Paulsenroa 6D, 2883 Lunde"
"Emil Holm","Birkelandskrenten 87F, 9908 Simonsen"
"Magnus Paulsen","Simonsenfaret 778, 4264 Camillahamn"
"Thor-Dag Larsen","Hansenvika 6, 1901 Hanssen"
"Sander-Kristoffer Tveit","Evensentunet 2, 2165 Heidisand"
"Sigurd Aas","Strandgrenda 62A, 3614 Simensjøen"
"Christian Ruud","Haugevika 5C, 3375 Eide"
"Ivar Hanssen","Pettersenplassen 8B, 9946 Arnesen"
"Erik Olsen","Evensenstien 8, 3018 Thomassen"
"Kim Hanssen","Pedersenalléen 5, 5496 Myhre"
"Julie Tveit","Antonsenberget 2, 6814 Sebastianhavn"
"Petter Nielsen","Sørensenringen 64, 3957 Brekke"
"Prof. Magnus Svendsen","Martinsenvika 53, 4910 Monaby"
"Emma Madsen-Solheim","Thorsenstranda 13, 8602 Myhre"
"Svein-Thomas Johansen","Eriksengata 31, 0541 Kennethborg"
"Ragnhild Ruud","Bakkealléen 17, 9690 Malinberg"
"Stine Gulbrandsen-Haugen","Lietjernet 47, 5393 Iversen"
"Bjørg Olsen","Kristensengata 75, 7794 Ahmed"
"Sindre Gulbrandsen","Johannessengjerdet 32, 7373 Berg"
"Kim Haugland","Birkelandekra 2, 8028 Nguyen"
"Stein Berge","Madsenbråten 03, 7845 Trinesand"
"Markus Aune","Nielsenroa 1E, 8665 Rasmussen"
"Vilde Olsen","Aliholtet 2, 3340 Birkeland"
"Maria Simonsen","Knudsengata 49, 8508 Halvorsen"
"Marianne-Anette Berg","Hellandløkka 4B, 2162 Johannesdal"
"Ida-May Brekke","Mikkelsenalléen 7, 6409 Lenefjell"
"Gro-Marie Sørensen","Ellingsengata 32, 5148 Brekke"
"Vidar Sæther-Helland","Ahmedsvingen 028, 2253 Svendsen"
"Johannes-Ivar Nielsen","Sæthermarka 2, 7148 Sigurdsand"
"Kim Haugland","Svendsenplassen 75, 8552 Haraldvåg"
"Hege Pettersen","Lienmarka 8, 3701 Mariesjøen"
"Kjell Eide","Bakkeneggen 88, 6199 Haugen"
"Eli Sæther","Berntsenmarka 5, 2021 Eriksand"
"Einar Eriksen","Henriksenskrenten 37, 5757 Haugen"
"Elin Tangen","Martinsenbråten 2, 3226 Lie"
"Ragnhild Myhre-Haugen","Hauglandekra 8, 1783 Bakken"
"Mona Strand","Ellingsenrøa 7, 7607 Mikkelsen"
"Frode Evensen","Johannessenfaret 387, 8169 Hegeø"
"Odd Hansen","Aasentjernet 05C, 5019 Lunde"
"Kim Holm","Lundeeggen 877, 1813 Martinsen"
"Svein Madsen","Lundstykket 8B, 7939 Berg"
"Torbjørn Ruud","Solheimplassen 032, 4049 Sirisund"
"Kenneth Sørensen","Lundmoen 362, 4443 Johannesstrand"
"Leif Solberg","Alistranda 23, 0328 Myklebust"
"Sara Vik","Thorsenmarka 8, 8950 Sofievær"
"Inger-Sigrid Jenssen","Danielsenfaret 8, 8148 Maynes"
"Kristin Madsen","Mathisenbakken 233, 3589 Berge"
"Malin Christensen","Thorsenroa 69, 7088 Nguyen"
"Britt Strøm","Aliengen 46, 9660 Kåregrunn"
"Kim Lie","Dahllunden 11, 9665 Holm"
"Prof. Øyvind Eide","Sæthermarka 1, 5041 Lenefjell"
"Anne Nielsen","Moetjernet 4B, 5570 Petterstrøm"
"Roy-Rolf Rønning","Jørgensenrøa 2, 3166 Rønning"
"Hanne Thorsen-Moen","Thorsenskrenten 7, 4093 Simonsen"
"Daniel Jenssen","Hauglandvollen 42, 0332 Karivåg"
"Sigurd Aune","Knudsenplassen 538, 1328 Danielborg"
"Petter Birkeland","Bergehagen 35, 5679 Ceciliefjord"
"Elin Myhre","Moelunden 2, 9518 Paulsen"
"Pål Pettersen","Mikkelsenflata 1, 7639 Brittsand"
"Kim Nielsen","Hellandrøa 77, 9897 Terjeby"
"Hanna Lie","Bakkengjerdet 56, 2380 Sørensen"
"Marie-Bjørg Haug","Lienåsen 2, 5151 Helland"
"Erling Ødegård","Iversenlia 27F, 1601 Berge"
"Elisabeth Berge-Jenssen","Svendsenjordet 180, 7101 Magnusstrøm"
"Prof. Thor Engen","Mikkelsenalléen 34F, 0484 Trineberg"
"May Helland","Aasåsen 9, 0738 Birkeland"
"Kjetil Lien","Karlsenmarka 61A, 6819 Kjerstidal"
"Turid Eriksen","Nielsenspranget 931, 0711 Ruud"
"Marit-Elise Ødegård","Aastjernet 7A, 8178 Øysteinvik"
"Kirsten Brekke","Pedersenspranget 12G, 3732 Andersås"
"Dag Holm","Amundsengjerdet 67H, 9528 Ali"
"Jonas-Tobias Bakke","Nielsenskogen 69, 5531 Stigfjord"
"Robert Thomassen-Lie","Hagenmoen 8, 7682 Berntsen"
"Sofie Paulsen","Andresenvollen 4, 4582 Tveit"
"Anette Berg","Aasenberget 613, 0731 Haug"
"Ingrid Andersen","Hanssenhavna 79E, 9372 Sørensen"
"Ingrid-Hege Nguyen","Liehagen 91, 0025 Annehavn"
"Prof. Finn Antonsen","Bøeåsen 235, 1219 Strøm"
"Kjetil Paulsen","Sandvikvika 09F, 7871 Antonsen"
"Kirsten Danielsen","Andreassenskogen 80, 8510 Gulbrandsen"
"Tom Jenssen","Brekkealléen 33, 0483 Dahl"
"Dr. Rune Knudsen","Paulsenstykket 33, 6954 Tonjeås"
"Tove Svendsen","Ahmedsvingen 135, 7441 Brekke"
"Gunnar Moe","Lienbråten 3, 5067 Pedersen"
"Anita-Gro Eide","Nguyenringen 4, 1674 Kåreås"
"Finn Sørensen","Eliassenplassen 41, 1352 Isaksen"
"Rolf Edvardsen","Andresensvingen 2C, 6480 Lund"
"Liv-Torill Rasmussen","Dahlmyra 89, 5724 Leneø"
"Sindre Haug","Nguyentjernet 602, 8336 Jacobsen"
"Kirsten Kristensen","Aasenrøa 5, 4314 Moen"
"Sebastian Sandvik","Kristoffersenlia 7, 7906 Annenes"
"Hanna-Unni Antonsen","Mathisenskogen 116, 5155 Johnsen"
"Randi Strand","Bergestien 841, 8679 Henriksen"
"Else Dahl","Ellingsenstranda 5, 4315 Eivindsand"
"John Christensen","Ruudholtet 13A, 9755 Sofiefoss"
"Leif Berge","Knutsenjordet 8, 0013 Madsen"
"Helene Pettersen","Sandvikgata 5, 6580 Magnenes"
"Dr. Helge Kristensen","Engenringen 5D, 9662 Sirisand"
"Ruth Solheim","Rønninglia 07, 4470 Jensen"
"Kirsten Lien","Bakkenjordet 3, 4458 Simenodden"
"Joakim Gulbrandsen","Abrahamsenberget 86A, 2782 Nilsen"
"Marianne Helland","Mathisenholtet 026, 5122 Simonsen"
"Svein Edvardsen","Olsenstykket 478, 8606 Knudsen"
"Jens Berntsen","Dahlspranget 17A, 6487 Karenby"
"Martin Aas-Ellingsen","Vikholtet 3, 8864 Kristineborg"
"Asbjørn Jakobsen","Bergvika 7, 9648 Aasen"
"Roy-Christian Rasmussen","Jacobsenmyra 1, 7681 Johanfjell"
"Joakim Kristiansen","Hellandroa 342, 6993 Kristoffersen"
"Liv Myhre","Johansenhøgda 1, 1099 Hagen"
"Kirsten Moen","Antonsenhagen 4, 1026 Siljestrand"
"John Nygård","Kristoffersenrøa 5, 7026 Annesund"
"Andrea-Cathrine Solberg","Johansenplassen 9, 3391 Næss"
"Dr. Tobias Paulsen","Knudsenåsen 3, 7607 Sofieås"
"Maria-Gerd Thorsen","Moenstranda 3, 2037 Gulbrandsen"
"Julie Jørgensen","Myhrebakken 77E, 3405 Trinesand"
"May Arnesen-Henriksen","Knutsenmarka 887, 8789 Sivgrunn"
"Erik Sivertsen-Andresen","Larsenmyra 4B, 0227 Aas"
"Espen Tangen","Andreassenflata 6, 0423 Haraldhavn"
"Karin Myhre","Andresenberget 9, 0965 Vildedal"
"Kirsten-Inger Eliassen","Holmhagen 02C, 2215 Elisabethvåg"
"Terje-Jens Lien","Haughøgda 6, 8263 Tobiasnes"
"Petter Berg","Gundersenekra 44, 4537 Haugen"
"Nina Nilsen","Bakkenrøa 8, 4486 Sørensen"
"Synnøve-Vilde Olsen","Tangenbråten 8B, 4343 Berge"
"Aud-Marie Pedersen","Aasenmarka 00, 2472 Monaøy"
"Andrea Pettersen","Martinsenringen 8F, 6926 Turidsjøen"
"Jens Lund","Haugroa 30, 8514 Monicaeid"
"Arne Berg","Ahmedalléen 8, 3985 Sørensen"
"Jorunn Simonsen","Moentoppen 94, 9552 Thorsen"
"Kirsten-Maria Rønning","Hansenhøgda 75, 1544 Moen"
"Prof. Øystein Iversen","Hansengjerdet 2, 7139 Bakke"
"Karoline Mathisen","Haugevollen 7, 4955 Gulbrandsen"
"Camilla Berntsen","Holmhavna 04, 8831 Sandvik"
"Rita-Anita Dahl","Hauglunden 9, 9493 Petterhamn"
"Linda-Astrid Nielsen","Tveithaugen 51, 3798 Rønning"
"Marie Hagen","Rønningholtet 3, 2025 Engen"
"Dr. Sverre Andresen","Hanssenrøa 7, 2702 Rønning"
"Siv-Maria Nguyen","Hansenflata 1B, 4201 Engen"
"Sigrid Johannessen","Danielsenhøgda 9, 0664 Sæther"
"Kirsten-Stine Aasen","Knudsenplassen 1, 5566 Olefoss"
"Mette Mathisen-Hagen","Jenssengjerdet 3, 1580 Åsestrand"
"Irene Lie","Nilsentjernet 3, 6281 Nygård"
"Leif Gundersen","Berntsenspranget 1, 3755 Haugen"
"Tone Danielsen-Bakken","Amundsenmarka 7C, 8813 Stigbø"
"Elisabeth-Julie Lund","Madsenmarka 4A, 8684 Karenstad"
"Eva Larsen","Hansenengen 352, 8243 Stigsund"
"Roger Solberg","Christensenringen 27E, 0382 Arnesen"
"Kristoffer Edvardsen","Bergstranda 4, 8587 Rolfbø"
"Liv Svendsen","Nygårdspranget 28, 7742 Sandersund"
"Kjell Ali","Rønninglia 2, 1352 Andreaodden"
"Mona Aune","Svendsengrenda 27, 6214 Jakobsen"
"Frode Nilsen","Halvorsenbråten 3, 1842 Tonjefjell"
"Dr. Trond Lien","Thorsenmarka 8E, 6116 Ruud"
"Asbjørn Kristiansen","Johansenvika 67, 4139 Ødegård"
"Gro-Åse Holm","Abrahamsenlyngen 861, 8270 Emilby"
"Ruth Strøm","Eidevika 55H, 3094 Lund"
"Jenny Abrahamsen","Sætherjordet 96, 9513 Hegesjøen"
"Laila Sørensen","Lundekroken 38, 1225 Simonsen"
"Sebastian Berge","Johannessenvika 091, 1022 Thomassen"
"Kjell Evensen","Moengata 48C, 0157 Andersen"
"Aud Solheim","Eideløkka 3, 1548 Svendsen"
"Ellen Jakobsen","Bakkenrøa 46, 6381 Pettersen"
"Irene-Elisabeth Nguyen","Liesvingen 896, 1669 Knudsen"
"Odd Johannessen","Lienhavna 1, 0340 Magnehavn"
"Alexander Lunde-Eriksen","Pedersenstubben 5D, 7850 Asbjørnfoss"
"Jenny Ali","Ahmedhøgda 4, 0250 Arnemark"
"Camilla Sæther-Holm","Kristoffersenkroken 681, 3548 Kristensen"
"Karin Sandvik","Moehøgda 9B, 3737 Asbjørnodden"
"Prof. Svein Berge","Aasflata 5, 0639 Adrianstrøm"
"Kjell Haug","Rønninghaugen 206, 0169 Eliassen"
"Inger Haugland","Tveiteggen 900, 8980 Hildehelle"
"Sigrid Nielsen","Knudsentunet 1, 3366 Lunde"
"Arne-Arne Haugland","Knudsentjernet 737, 4692 Sondremark"
"Erling Strøm","Hansenholtet 1, 3444 Synnøveby"
"Inger Antonsen","Karlsenhagen 54, 6864 Berg"
"Egil Ali","Mathisenhavna 5, 9262 Nielsen"
"Grethe Jørgensen","Nilsenhaugen 7, 7107 Kristensen"
"Marte Arnesen","Ruudbråten 55A, 9104 Jonasås"
"Sigurd Johannessen","Tveitlia 646, 2812 Tangen"
"Kjell Jacobsen","Haugeringen 5C, 0164 Næss"
"Tobias Bakke","Rønningberget 24, 0301 Sondresund"
"Dr. Stian Eide","Moengjerdet 6, 9156 Iversen"
"Tonje Strand-Lien","Rasmussenåsen 719, 0728 Haraldø"
"Espen Birkeland","Strandvika 01, 8590 Petterhelle"
"Magne Rasmussen","Lienhøgda 2C, 0947 Martenes"
"Sofie Næss-Eriksen","Nygårdhaugen 8D, 6814 Hildedal"
"Tommy Aune","Knudsengropa 43, 0763 Tveit"
"Solveig Aas","Lienstien 9, 7505 Hansen"
"Erik Jacobsen","Moelia 8, 9390 Pedersen"
"Kjell Kristoffersen","Eriksenvika 335, 5002 Aasen"
"Nils-Lars Mathisen","Holmengen 22B, 8722 Larsen"
"Dr. Arne Johannessen","Knutsenstranda 2F, 6525 Solheim"
"Lars Kristoffersen","Lienroa 3, 4141 Martineø"
"Malin-Ingeborg Engen","Mathisenlia 4, 6179 Olsen"
"Kari Eide","Birkelandhaugen 72, 7691 Thomassen"
"Sebastian Bakke","Tangengjerdet 69, 3006 Andreassen"
"Linn-Silje Johnsen","Tangenmarka 07, 9177 Aasen"
"Torbjørn Tveit","Dahlvollen 23, 3224 Kirstenvåg"
"Adrian-Lars Antonsen","Christensengropa 60, 1065 Adrianvær"
"Kjell Madsen","Haugskogen 210, 9492 Lie"
"Marius Ali","Holmkollen 26, 6238 Lie"
"Stian Danielsen-Nielsen","Aunespranget 1, 9214 Torstrand"
"Ole Berge","Gulbrandsenskogen 1, 8189 Robertø"
"John Nguyen","Strandflata 667, 7657 Kristoffersen"
"Vilde Berge","Strandtjernet 96A, 1902 Iversen"
"Gro-Emma Hanssen","Moenvika 9, 4189 Olsen"
"Henrik Dahl","Solheimgjerdet 764, 9341 Turidgrunn"
"Kristoffer Brekke","Aunehøgda 6, 5089 Eiriknes"
"Sebastian Nilsen-Strøm","Martinsenmyra 476, 7666 Tommystrøm"
"Kjell Solberg","Strandgrenda 6A, 7620 Amundsen"
"Trine Nguyen-Pettersen","Myklebustvika 4, 7475 Isaksen"
"Frode Haugland","Svendsenholtet 34, 6027 Torilleid"
"Pål-Kristian Jørgensen","Kristensenåsen 41A, 3309 Sindreodden"
"Gunn Rasmussen","Antonsenløkka 3, 6943 Kristinbø"
"Silje Pedersen","Eliassenringen 4, 3270 Madsen"
"Dr. Mathias Iversen","Gundersenlunden 1, 3338 Tveit"
"Marius-Tobias Moen","Hauglandlunden 91D, 6472 Lisevåg"
"Mari Amundsen","Lundhagen 8C, 3806 Ali"
"Emil Jakobsen","Haugenalléen 07, 2070 Trondfjell"
"Kjell Svendsen","Alilyngen 1, 3601 Jørgensen"
"Marte Amundsen","Hansenstranda 33C, 0656 Hannesund"
"Sebastian-Espen Andreassen","Madsenlunden 6, 5428 Olebø"
"Dr. Alf Ødegård","Ellingsenskrenten 13, 8946 Trineøy"
"John Knutsen","Halvorsenflata 811, 3986 Nygård"
"Ivar Bakke","Ruudspranget 6, 2077 Hansen"
"Hans Henriksen","Engenkollen 6, 6728 Erikås"
"Marianne Hanssen","Moevika 3, 6675 Eide"
"Egil Bakke","Svendsenfaret 38, 7607 Martinnes"
"Heidi Ellingsen","Tangentjernet 2, 9414 Sebastiansund"
"Kjell-Jan Lunde","Svendsengata 1A, 6753 Jacobsen"
"Trine Fredriksen","Rønningkollen 2, 5485 Tomø"
"Dr. Steinar Jørgensen","Thomassenlia 9, 7151 Livstad"
"Anna Nygård","Birkelandbråten 79E, 1429 Nguyen"
"Jens Sørensen","Rasmussenfaret 1, 9357 Mikkelsen"
"Karin Sæther","Andreassenvollen 3, 7820 Amundsen"
"Reidun Christensen-Sæther","Madsenalléen 1C, 5419 Holm"
"Arild-Erling Ellingsen","Bergtunet 567, 4485 Sivertsen"
"Magnus Kristensen-Johansen","Gulbrandsenstykket 4H, 1719 Ruud"
"Einar Kristoffersen","Johannessengata 5, 3413 Cecilieeid"
"Kjersti Amundsen","Thomassensvingen 7A, 1796 Lunde"
"Anders Kristensen-Knutsen","Ellingsenkollen 46, 7253 Oddeid"
"Sondre Nguyen","Ruudkroken 84, 5576 Ellingsen"
"Mathias Knutsen","Moeplassen 17, 0582 Amundsen"
"Christian-Fredrik Mathisen","Ruudbakken 30, 5941 Andersen"
"Irene Andersen","Nilsenkollen 5, 0434 Torbjørnby"
"Dr. Trond Hanssen","Andreassenhøgda 82B, 1771 Nygård"
"Randi Arnesen","Ruudflata 2, 5289 Jørgensen"
"Jens Nguyen","Halvorsenskogen 64, 4419 Lindasand"
"Ivar Rasmussen","Jenssenløkka 6, 7315 Sandvik"
"Kjersti Eliassen","Bakkengjerdet 15D, 7902 Olavstrøm"
"Inger Lien","Bergeroa 7, 0340 Kristiansen"
"Tove Jakobsen-Martinsen","Haugegjerdet 3, 6109 Næss"
"Dr. Vegard Tveit","Jenssenmyra 81B, 4594 Lien"
"Sigrid Johansen","Evensenlyngen 1, 8079 Aas"
"Bjørn-Petter Solheim","Bakkestykket 2C, 4602 Lunde"
"Sofie Aas-Myhre","Berntsenhagen 96, 5281 Randibø"
"Svein Næss","Lienmyra 195, 0707 Jonashavn"
"Grete Myhre","Jensenjordet 45, 0375 Nilsen"
"Eirik Aasen","Hellandberget 077, 1573 Aas"
"Kjersti Engen","Kristoffersenstubben 6, 7929 Rasmussen"
"Wenche Næss","Lielyngen 7, 5609 Henriksen"
"Adrian Thorsen","Eliassengrenda 2H, 1670 Jakobsen"
"Kristian Ali","Iversenmarka 568, 2903 Tobiassand"
"Linn Rasmussen","Myklebustfaret 9, 3022 Martinøy"
"Ingeborg-Cathrine Pedersen","Sætherlyngen 3E, 6719 Wenchevåg"
"Erik Bakken-Pettersen","Fredriksenekra 784, 1518 Johannesgrunn"
"Ingeborg Jenssen","Jenseneggen 32, 8227 Rolfbø"
"Jenny Næss","Nygårdkollen 9D, 0928 Eriksen"
"Andreas Lunde","Berntsenhaugen 25, 9007 Sigurdodden"
"Kjersti Engen-Solheim","Myhreengen 69B, 7340 Bakke"
"Kjell Christensen","Bergesvingen 089, 1200 Alexanderbø"
"Cathrine Jenssen","Iversenlyngen 7, 2158 Abrahamsen"
"Randi Rønning","Johannessenhavna 9F, 8972 Eirikmark"
"Magne-Arild Fredriksen","Pedersensvingen 2, 0924 Bjørgås"
"Else Bakken-Rønning","Larsenskrenten 6B, 9208 Næss"
"Sindre Haug","Moenstubben 5, 7378 Greteberg"
"Morten Bøe","Jakobsenhavna 42A, 1350 Kirstenberg"
"Elise Haug","Kristoffersenlunden 6A, 2166 Sofiestrand"
"Prof. Eivind Bakken","Hauglandstykket 9B, 7869 Andresen"
"Kjersti Gundersen","Madsensvingen 8C, 3113 Aas"
"Gunn-Emma Larsen","Paulsenstranda 8, 0531 Trondvåg"
"Jorunn-Karen Kristiansen","Pedersenskrenten 4, 0158 Maritvik"
"Stig Evensen","Kristoffersenspranget 69A, 0269 Nielsen"
"Helene Ahmed-Knudsen","Knudsenhavna 5, 5910 Julieodden"
"Laila Mikkelsen","Ellingsensvingen 2A, 7110 Haug"
"Helene Haugen","Birkelandalléen 68, 4268 Jørgengrunn"
"Irene-Grethe Abrahamsen","Engentoppen 50F, 7980 Strøm"
"Nina-Åse Berg","Jensenholtet 45A, 5871 Lie"
"Randi-Tove Johannessen","Alihagen 193, 1160 Berg"
"Kjersti Lunde","Bergemyra 6A, 8745 Alfbø"
"Stian Thomassen","Nguyenskogen 88, 3127 Sivertsen"
"Ruth Martinsen","Edvardsenhavna 6, 7373 Mayfoss"
"Laila Thorsen","Nilsenvollen 56, 2722 Maritfjell"
"Cathrine Johansen","Liensvingen 74E, 7694 Einarstrøm"
"Henrik-Odd Arnesen","Jakobsenløkka 40, 5638 Hansen"
"Inger Vik","Jenssenvollen 1A, 0719 Helland"
"Robert Johannessen","Tangenåsen 59E, 7889 Petterfjell"
"Cecilie Aune-Ali","Lundestien 06, 8076 Erikodden"
"Hanne Andersen","Bergestubben 35G, 0167 Strøm"
"Kjersti Lunde","Bøelyngen 950, 7828 Antonsen"
"Roger Paulsen","Andersenlyngen 79, 4921 Kristiansen"
"Prof. Robert Haugland","Olsenplassen 4, 9717 Elsevåg"
"Steinar-Ola Mikkelsen","Karlsenvollen 95, 8745 Johansen"
"Jonas Gulbrandsen","Karlsenholtet 610, 0879 Hauge"
"Mathias Simonsen","Aaslyngen 3A, 6528 Ellingsen"
"Roger Simonsen","Bøeskrenten 4B, 1812 Solheim"
"Ivar Hansen","Holmhaugen 72, 3482 Toreodden"
"Svein Rasmussen-Aune","Iversenringen 29C, 7685 Håvardstrand"
"Kenneth Haugen-Bakke","Henriksenløkka 1, 4319 Tombø"
"Kjersti Rasmussen","Iversenekra 5, 3253 Solberg"
"Steinar Solheim","Svendsengata 1, 9432 Henriksen"
"John Kristiansen","Engenkroken 6, 0877 Sørensen"
"Martin Næss","Haugskrenten 8, 6819 Hagen"
"Tone Evensen","Kristiansenlunden 11F, 0299 Gundersen"
"Prof. Sondre Danielsen","Halvorsenrøa 2, 0497 Ingrideid"
"Vegard Engen","Jakobsengrenda 5D, 4441 Håkonstad"
"Janne Jørgensen","Johannessengropa 8, 6000 Britthamn"
"Prof. Einar Nygård","Johannessenlunden 9, 0154 Moe"
"Cathrine Martinsen","Svendsentunet 6, 1978 Bentestrand"
