"Aage Bach","Skindergade 267
5243 Vestbjerg" 
"Hr Yngve Andresen","Landlyst Allé 998
6289 Rude"
"Tina Andersen","Kongelundsvej 34
6390 Roslev"
"Univ.Prof. Lene Christensen","Ætna Allé 41
8728 Kværndrup"
"Bent Clausen","Herslevstræde 7
3301 Snekkersten"
"Univ.Prof. Sigrid Rasmussen","Hagested Allé 809
7404 Nykøbing M"
"Tage Olsen","Fiskedamsvej 953
3153 Snedsted"
"Prof. Ditte Henriksen","Slotsfogedstræde 641
2289 Vejle Øst"
"Victoria Lind-Schou","Ny Kongens Allé 47
3104 Engesvang"
"William Søndergaard","Vestermarksgade 24
9869 Vadum"
"Maren Christoffersen","Elba Allé 1
5642 Nykøbing F"
"Hr Åbjørn Gregersen","Ystadvej 97
5929 Outrup"
"Hans Møller-Koch","Førslevgade 875
3721 Morud"
"Yngve Nissen","Ahornsvej 5
4932 Haarby"
"Stina Henriksen","Frederikssundsvej 52
6983 Brovst"
"Naja Simonsen-Jacobsen","Skjulhøjgade 67
8914 Nykøbing M"
"Henry Mogensen-Mogensen","Frederiksgade 35
3802 Nørreballe"
"Dr. Jack Schou","Serbiens Allé 869
8488 Vestervig"
"Prof. Carlo Larsen","Mag Allé 9
6542 Frederiksberg"
"Minna Krogh","Bjergmarksvej 936
9419 Borup"
"Ragnhild Thorsen","Augustavej 92
4600 Skagen"
"Hr Ørni Jensen","Slutterigade 59
8452 Sæby"
"Sam Andreasen-Ravn","Trøjborggade 84
7388 Asperup"
"Dr. Kirstine Danielsen","Jagtvej 8
6958 Stakroge"
"Vivian Andersen","Gunløgsgade 6
5739 Bylderup-Bov"
"Peder Kristensen-Mathiasen","Agerlandsvej 171
5444 Suldrup"
"Sebastian Kjær-Andersen","Mullerup Allé 4
7863 Brørup"
"Dr. Connie Frederiksen","Scharlingsstræde 681
5741 København"
"Gitte Mortensen","Bordeauxvej 4
4599 Hornslet"
"Niels Nielsen-Schultz","Gåsebæksvej 201
1897 Sjællands Odde"
"Dagmar Toft","Pragtstjernevej 5
1804 Havdrup"
"Hugo Friis","Bjørneklovej 8
2805 Martofte"
"Marcus Hansen","Valby Kirkevej 182
8319 Thisted"
"Lona Frederiksen","Harboørestræde 5
1901 Kruså"
"Filippa Thygesen","Georginevej 22
4506 Børkop"
"Jonna Schmidt-Petersen","Amagerbrostræde 61
7396 Gadstrup"
"Dr. Mia Clausen","Havdrupvej 5
8054 Christiansfeld"
"Jack Jepsen-Jensen","Langelinie Allé 398
3099 Broager"
"Dr. Mark Petersen","Roshage Allé 19
2030 Egtved"
"Hr Bjarne Nissen","Sæbygade 46
6669 Vestervig"
"Tina Carlsen","Armeniens Allé 1
8815 Snertinge"
"Hugo Hansen","Ourøgade 951
3266 Sørvad"
"Malou Poulsen","Guldbergsgade 80
3758 Allingåbro"
"Prof. Carlo Clausen","Sakskøbing Allé 381
6393 Gudhjem"
"Univ.Prof. Jan Ravn","Omøstræde 952
5258 Holeby"
"Stig Thygesen","Obdamsgade 22
6251 Dianalund"
"Richardt Jespersen","Finlandsvej 84
5273 Herning"
"Olivia Bech","Kærsangervej 798
9239 Bredebro"
"Ib Jacobsen","Artillerivej 6
4356 Vesterborg"
"Prof. Laust Nissen","Sankt Jørgensgade 30
1007 Spenstrup"
"Georg Lund","Kirsteinsstræde 386
8003 Jyllinge"
"Hugo Iversen","Fruebjergvej 267
9534 Møldrup"
"Tobias Bech","Lundedalsvej 81
5160 Esbjerg"
"Beth Knudsen","Hjertensfrydsvej 167
7713 Egå"
"Stefan Hermansen","Langebrovej 144
2170 Vanløse"
"Marlene Hermansen-Danielsen","Gitterstræde 159
4013 Augustenborg"
"Bente Karlsen-Madsen","Vestermarksvej 6
1372 Eskebjerg"
"Dr. Laust Poulsen","Romsdalsstræde 657
3575 Nørager"
"Birgitte Bruun","Tyrolsvej 59
4113 Fårevejle"
"Hr Mikkel Dahl","Arendalsvej 659
4716 Mårslet"
"Prof. Nils Winther","Marbjerggade 20
4977 Sønder Omme"
"Hugo Jacobsen","Straussgade 131
6687 Gudhjem"
"Hr Mik Thorsen","Blåmejsevej 46
8589 Sønder Stenderup"
"Daniel Jacobsen","Kildevældsgade 193
7369 Højslev"
"Ernst Christensen","Øster Søvej 6
5964 Bagenkop"
"Sigrid Nørgaard-Mathiesen","Heldbogade 42
1120 Millinge"
"Andrea Lind","Derbystræde 43
5411 Sønder Omme"
"Univ.Prof. Viola Friis","Spartavej 87
7059 Rødovre"
"Univ.Prof. Helle Jørgensen","Stenmaglevej 41
5120 Viuf"
"Dr. Tina Paulsen","Nørre Voldvej 44
7926 Odense"
"Inge Nielsen","Antonivej 3
9251 Egå"
"Hugo Jakobsen","Vatnavej 89
3665 Rødvig Stevns"
"Dr. Benjamin Hermansen","Thorups Allé 752
4632 Bryrup"
"Emil Laursen","Risbyholmvej 592
9054 Jyllinge"
"Dr. Vagn Brandt","Blankavej 84
3000 Blåvand"
"Jan Bech","Bjelkesstræde 30
7134 Vejen"
"Agnete Paulsen","Ungarns Allé 996
9493 Kerteminde"
"Jim Jessen-Møller","Valby Kirkevej 417
2169 Jordrup"
"Jim Ravn","Rigavej 720
8215 Brovst"
"Dr. Sussie Christoffersen","Vatnagade 216
7608 Uldum"
"Pia Johansen","Amalie Skramsvej 5
9638 Bækmarksbro"
"Hugo Larsen","Pladehalsgade 58
9782 Frørup"
"Erna Gregersen","Jægergade 4
7843 Farsø"
"Ronnie Clausen","Pommerns Allé 3
3367 Ebberup"
"Hr Ronni Christiansen","Rødding Allé 92
8058 Brønshøj"
"Borris Paulsen","Ulriksdal Allé 198
8899 Hampen"
"Laura Hansen","Bordeauxvej 348
3993 Nimtofte"
"Dr. Sarah Jakobsen","Margretheholmsvej 15
4817 Klippinge"
"Bjarne Skov","Verdisgade 330
6884 Mariager"
"Sofia Iversen","Sydhavnsvej 6
9989 Skørping"
"Johannes Nielsen","Holsteinsvej 9
2277 Dragør"
"Ib Johnsen","Vånings Allé 89
8722 Ølgod"
"Dr. Anders Olesen","Husumstræde 63
4226 Vejstrup"
"Nadia Hansen","Tirsbækstræde 879
1856 Skærbæk"
"Dr. Jan Krogh","Dunkerque Allé 67
9156 Terndrup"
"Laura Hermansen","Mirabellegade 398
2699 Bryrup"
"Paulina Lauridsen","Folevadsvej 5
8799 Allingåbro"
"Jannie Hermansen","Rismosegade 31
1003 Arden"
"Majken Nørgaard-Christiansen","Rødkløvervej 3
5197 Nyrup"
"Mik Svendsen","Haldager Allé 18
8344 Gedsted"
"Odette Brandt","Horsensvej 692
9428 Lemming"
"Ib Mortensen","Hellestedgade 7
6605 Malling"
"Univ.Prof. Ragnhild Clausen","Ulriksdalgade 519
1834 Karby"
"Alex Klausen","Borgergade 24
4722 Frederiksberg"
"Prof. Kurt Olesen","Haderslev Allé 427
5098 Køge"
"Stig Jørgensen","Parosgade 76
2969 Karlslunde"
"Grethe Nørgaard","Bredahlsgade 92
1640 Bække"
"Prof. Carsten Schultz","Stokrose Allé 605
5968 Viborg"
"Univ.Prof. Alex Bach","Toldbodvej 86
2233 Greve"
"Dr. Signe Frandsen","Gyldenløvesvej 6
2412 Martofte"
"Olfert Ravn","Bevtoftstræde 2
9187 Munke Bjergby"
"Ib Steffensen","Saabyesstræde 225
7310 Tikøb"
"Pia Poulsen","Kaliforniensgade 31
1741 Kolding"
"Troels Kjær","Trekløvervej 17
6040 Vallensbæk Strand"
"Otto Petersen-Schmidt","Yderlandsgade 865
6596 Vallensbæk Strand"
"Mathias Iversen","Dannebrogsvej 711
2618 Jystrup"
"Dr. Alf Paulsen","Tingskiftegade 22
8338 Jerslev"
"Dr. Margit Schultz","Asylgade 126
4873 Bækmarksbro"
"Olga Clausen","Wagnersvej 2
8079 Tikøb"
"Dr. George Hermansen","Hyldebærgade 8
3440 Holeby"
"Abelone Andreasen","Portugalsgade 6
5814 Tappernøje"
"Ib Vestergaard-Jeppesen","Gårdfæstegade 6
7804 Horsens"
"Mathias Pedersen-Kristoffersen","Ceylonvej 891
5503 Skælskør"
"Timmy Nilsson","Nokken Strandstræde 9
4816 Jerslev"
"Prof. Daniella Klausen","Gernersgade 45
4965 Farum"
"Gyda Brandt","Florsgade 149
7824 Rude"
"Marlene Schultz","Todesgade 7
6021 Nykøbing M"
"Keld Thygesen","Hendonvej 25
6915 Pandrup"
"Clavs Thomsen-Sørensen","Studsgaardsvej 5
4209 Virum"
"Jean Olsen","Bellis Allé 22
5576 Risskov"
"Daniel Laursen-Johansen","Livjægergade 5
6089 Rønde"
"Iben Johansen-Kjær","Hemsedalsgade 233
4385 Jerslev"
"Tina Krogh","Frilands Allé 809
5637 Sommersted"
"Svenning Madsen","Vestrevej 9
1107 Bagenkop"
"Einer Olesen","Øresundsvej 94
5640 Ikast"
"Dr. Nanna Kjær","Raunstrupgade 5
4273 Ribe"
"Fru Edith Steffensen","Våningsvej 336
4546 Græsted"
"Univ.Prof. Line Bach","Kalkbrænderihavnsgade 51
3827 Nimtofte"
"Freddy Bertelsen","Molbechsgade 920
5843 Nysted"
"Univ.Prof. Sille Holm","Thorastræde 96
1258 Højby"
"Lena Holst","Pilevej 34
9977 Vordingborg"
"Iben Sørensen","Hørtoftestræde 6
8998 Skødstrup"
"Prof. Hannah Møller","Slutteristræde 1
8006 Lintrup"
"Tom Olesen","Skensvedvej 58
5305 Vester Skerninge"
"Thomas Christensen-Lund","Rysensteensvej 4
7850 Viby J"
"Univ.Prof. Inger Vestergaard","Nøragerstræde 251
1591 Lejre"
"Frank Frandsen","Bykildevej 75
9639 Gudhjem"
"Robin Schultz-Jensen","Nørre Voldvej 69
8753 Farum"
"Univ.Prof. Karen Karlsen","Indiagade 4
7976 Brønshøj"
"Gunnar Kristensen","Bellisvej 308
3038 Ørbæk"
"Jonas Andresen","Spiræastræde 3
8031 Samsø"
"Ida Nissen","Dybbølsvej 74
1768 Føllenslev"
"Tommy Vestergaard","Siamgade 41
8822 Vallensbæk Strand"
"Elna Christiansen","Tomatvej 8
4579 Gram"
"Mikkel Nørgaard","Brolægger Allé 61
8647 Farsø"
"Otto Rasmussen","Horserødgade 623
3781 Karup"
"Prof. Ulrike Lind","Hanstholmvej 11
5676 Sakskøbing"
"Henriette Mortensen","Nygårdsvej 7
2251 Stenløse"
"Freddy Dahl","Harrestrupvej 9
5439 Værløse"
"Bo Nissen","Meklenborggade 67
4306 Janderup"
"Dr. Winnie Madsen","Lyshøj Allé 4
3633 Blommenslyst"
"Ida Ravn","Delfinvej 236
7606 Fårup"
"Univ.Prof. Maria Andreasen","Brygger Allé 2
8814 Rødby"
"Sarah Kristiansen","Milanogade 299
9465 Silkeborg"
"Mie Andresen-Lauritsen","Nygårds Allé 73
2042 Thyborøn"
"Elin Lind","Lybækvej 24
1980 Sæby"
"Univ.Prof. Sofie Poulsen","Faksingevej 273
4085 Give"
"Yda Brandt","Næstvedvej 35
8706 Videbæk"
"Nina Henriksen","Rørmosevej 144
2592 Mårslet"
"Dennis Rasmussen","Valby Kirkevej 7
1174 Nykøbing M"
"Prof. Regitse Jepsen","Gislinge Allé 64
3711 Brande"
"Inga Hansen","Egestræde 848
3580 Dronningmølle"
"John Lauritsen","Ringholmvej 89
6177 Hørsholm"
"Victoria Andreasen","Hørsholmsstræde 653
7109 Uldum"
"Julius Jensen","Farvergade 702
8272 Assens"
"Ronni Carlsen","Turesensgade 5
5205 Stouby"
"Ulf Østergaard","Ørne Allé 91
9926 Mariager"
"Simon Hermansen","Skydebanestræde 46
5585 Vonge"
"Louise Dahl","Rubikonvej 9
4805 Holme-Olstrup"
"Dr. Sara Mikkelsen","Jyllingegade 761
6736 Broager"
"Ragner Ravn","Reventlowsgade 45
9368 Søndersø"
"Inga Hansen","Rødkildevej 7
6474 Vrå"
"Bob Toft","Nybo Allé 81
2963 Hadsten"
"Kristina Toft","James Grievegade 4
8712 Dalmose"
"Michelle Gregersen","Syvensgade 5
2652 Skibby"
"Yrsa Andreasen","Søfort Allé 45
8835 Taastrup"
"Hr Adam Christoffersen","Utterslev Allé 125
7109 Skanderborg"
"Dr. Naja Bruun","Novembervej 433
7530 Kjellerup"
"Ritt Christoffersen","Gernersvej 9
9034 Måløv"
"Caroline Sørensen","Hobrogade 13
5314 Fakse Ladeplads"
"Ulrike Clausen","Petersborggade 9
2289 Broager"
"Inga Mikkelsen","Edel Sauntes Allé 840
3672 Nibe"
"Univ.Prof. Tobias Kristoffersen","Artillerivej 82
3557 Brenderup"
"Jon Mathiesen-Møller","Hamletsgade 131
3720 Nakskov"
"Prof. Martin Koch","Genuagade 4
7370 Rødby"
"Fru Elna Dahl","Lautrupsvej 78
3132 Skibby"
"Mikael Frandsen","Tycho Brahesvej 336
2242 Sporup"
"Prof. Laus Rasmussen","Oldenborgvej 73
5080 Herlev"
"Timmy Møller-Thomsen","Bogensegade 18
4565 Sørvad"
"Silas Mikkelsen","Møllegårdsstræde 8
6057 Vejen"
"Patrick Koch","Gerdasgade 6
9620 Hjortshøj"
"Inga Sørensen","Birkholmgade 321
1033 Farum"
"Annemette Thygesen","Mitchellsstræde 1
5147 Sorring"
"Stine Jørgensen-Iversen","Ballumstræde 436
3965 Søllested"
"Oscar Lauridsen","Jollegade 77
4518 Ølstykke"
"Jon Olesen-Bach","Geysersvej 181
9223 Stubbekøbing"
"Prof. Mia Rasmussen","Elværks Allé 1
3876 Grenaa"
"Sørine Schou","Capri Allé 74
8951 Hammel"
"Fru Dorthe Hansen","Floras Allé 9
2163 Sakskøbing"
"Fru Jenny Knudsen","Lybækgade 26
4743 Esbjerg"
"Benedicte Poulsen","Vangsgade 8
2602 Helsingør"
"Inga Vestergaard","Sundbygårdsvej 42
9860 Mørke"
"Mia Olesen","Kjeldsgårdsvej 7
1595 Skævinge"
"Dagmar Jepsen-Schou","Japan Allé 940
5162 Gislinge"
"Ragner Mikkelsen","Berggreensvej 50
9724 Birkerød"
"Mik Iversen-Rasmussen","Gåsebæksvej 8
8463 Spøttrup"
"Univ.Prof. Mik Johansen","Ny Kongensvej 77
5521 Nordborg"
"Hans Ravn-Møller","Søren Norbysvej 35
2769 Sorring"
"Rikke Jespersen","Åbakke Allé 2
5670 Sønderborg"
"Birte Jacobsen","Valnøddevej 345
1471 Stensved"
"Lea Olesen","Küchlersvej 8
5211 Broby"
"Inge Frederiksen","Panumsstræde 80
4960 Hedehusene"
"Univ.Prof. Ursula Bech","Lagervej 6
9706 Stege"
"Jeppe Madsen","Bordeauxvej 333
7588 Svinninge"
"Univ.Prof. Gert Østergaard","Gårdfæstevej 69
1372 Odense"
"Oscar Schou-Jeppesen","Humlebækgade 543
7602 Grindsted"
"Carina Olesen","Hollandsvej 6
4565 Dronningmølle"
"Inge Mathiasen","Borgerstræde 954
8964 Rønne"
"Olfert Krogh","Markskiftevej 15
8232 Lystrup"
"Birger Hansen","Brolæggergade 8
9526 Asperup"
"Nikolaj Jessen","Fussingsvej 38
8538 Bindslev"
"Inge Kjeldsen-Schou","Hamletsvej 1
5113 Øster Ulslev"
"Zelma Lassen-Henriksen","Galionsgade 7
7401 Skødstrup"
"Berta Koch","Rådmands Allé 158
3396 Hårlev"
"Boris Thorsen","Kleinsstræde 4
4178 Arden"
"Fru Justina Lauritsen","Holmbladsvej 4
9417 Glejbjerg"
"Malou Jessen","Hjertensfrydsgade 386
3389 Esbjerg"
"Paulina Johnsen-Kristiansen","Abildgaardsgade 498
1288 Sulsted"
"Marianne Mathiasen","Fuglsangvej 1
9380 Barrit"
"Maja Mathiasen","Islevhusgade 814
8428 Marslev"
"Curt Møller","Pindosvej 208
6425 Bylderup-Bov"
"Inge Kjær","Venøvej 35
1467 Viuf"
"Oliver Sørensen","Eliasvej 365
2357 Bækmarksbro"
"Dr. Tilde Thygesen","Rubinolavej 9
4061 Viborg"
"Åge Schou","Borthigsgade 47
2047 Måløv"
"Dennis Eriksen","Hellebækvej 137
6503 Jægerspris"
"Benny Mathiasen","Livornovej 12
6497 Bording"
"Minna Laursen","Fredenshøj Allé 8
4267 Kværndrup"
"Prof. Ritt Bertelsen","Søfortgade 58
1487 Boeslunde"
"Bent Olesen-Henriksen","Elbavej 332
8985 Gistrup"
"Randi Holst","Bellmansgade 539
5310 Auning"
"Inge Poulsen","Hørhusvej 34
1953 Beder"
"Dr. Sigrid Schmidt","Sankt Jørgens Allé 331
1937 Herlev"
"Helen Jeppesen","Grevingestræde 737
2257 Gistrup"
"Aage Christiansen","Sølvvej 4
7562 Sakskøbing"
"Olfert Jepsen-Dahl","Sparresholmgade 2
7209 Bandholm"
"Benny Christoffersen","Stampesvej 857
4435 Bogense"
"Henrik Holm-Møller","Tyborønstræde 69
6422 Sydals"
"Jarl Iversen","Toldskrivervej 31
7107 Eskebjerg"
"Dr. Nadia Kristoffersen","Pasteursgade 2
8313 Grevinge"
"Andreas Steffensen-Mikkelsen","Mag Allé 752
3626 Ølsted"
"Inge Rasmussen","Kanonbådsgade 854
4221 Fejø"
"Doris Ravn","Støbegodsvej 5
6783 Tarm"
"Prof. Nicolaj Steffensen","Lysefjordsvej 1
4001 Dybvad"
"Albert Jensen","Hare Allé 5
7025 Oksbøl"
"Hr Gustav Dam","Vindruevej 9
2783 Skårup"
"Louise Kjær-Nielsen","Peitersgade 969
6650 Stoholm"
"Jeppe Gregersen","Aldersro Allé 690
7082 Sunds"
"Frode Krogh","Lauravej 1
1285 Allingåbro"
"Fru Nanni Møller","Philip De Langesvej 31
5905 Kerteminde"
"Mette Schou","Stavanger Allé 806
4338 Karby"
"Ingelise Jakobsen","Lidemarksstræde 35
6376 Fredericia"
"Marcus Andersen","Flyhangarvej 3
3894 Esbjerg"
"Gerda Kristensen-Schmidt","Drechsels Allé 98
4690 Ølstykke"
"Univ.Prof. Palle Kristoffersen","Bjergmarks Allé 105
9426 Otterup"
"Univ.Prof. Tanja Larsen","Bardenflethsgade 84
6297 Sabro"
"Stephan Thorsen","Ravnsborg Allé 4
6077 Rørvig"
"Zelma Holm","Lønstrupgade 3
5704 Hirtshals"
"Dr. Maja Winther","Ramundsvej 34
8792 Vejby"
"Jasmin Lauritsen-Danielsen","Vangehusgade 1
4696 Birkerød"
"Kenny Andresen","Hessensgade 26
4440 Henne"
"Ingelise Overgaard-Lauritsen","Manø Allé 70
1997 Nørager"
"Univ.Prof. Nanna Knudsen","Trøjborggade 97
9660 Tønder"
"Emily Kristiansen-Bach","Delfin Allé 9
3841 Ålsgårde"
"Minna Karlsen-Nørgaard","Dublinstræde 5
5894 Videbæk"
"Kirstin Jeppesen","Lille Kirke Allé 637
7439 Sønder Stenderup"
"Jasmin Danielsen-Karlsen","Arendalsstræde 83
7910 Skærbæk"
"Daniel Jepsen","Primulavej 31
6580 Stenstrup"
"Nina Østergaard","Vestermarks Allé 8
4854 Vemmelev"
"Aage Petersen","Skanderborggade 588
7534 Billund"
"Margit Dam","Ceylon Allé 80
6975 Pandrup"
"Inger Knudsen","Boserupvej 77
3268 Nørre Asmindrup"
"Caroline Frederiksen","Oldenborgvej 661
4258 Vemb"
"Matthias Johnsen-Jacobsen","Kuhlausvej 46
2684 Trige"
"Univ.Prof. Nicolai Poulsen","Allersstræde 77
3858 Nysted"
"Mille Lauritsen","Præstøgade 6
7294 Guldborg"
"Casper Jespersen-Krogh","Dybendalsgade 87
3451 Støvring"
"Else Christensen","Pasteursvej 9
4640 Bedsted Thy"
"Prof. Lene Berg","Mellemtoftegade 6
6152 Broager"
"Prof. Emilie Schmidt","Tåstrupvej 67
7124 Nysted"
"Dr. Anders Knudsen","Romsø Allé 29
3371 Århus"
"Inger Madsen","Trapsstræde 763
1877 Øster Assels"
"Annette Berg","Takkelads Allé 95
2371 Greve Strand"
"Morten Danielsen","Landgildegade 987
4042 Fårvang"
"Prof. Gunner Gregersen","Marmor Allé 510
9579 Tisvildeleje"
"Prof. Freja Danielsen","Danshøjvej 292
8287 Gedved"
"Fru Jacqueline Kristoffersen","Amsterdam Allé 60
7218 Munkebo"
"Tine Poulsen","Lyshøj Allé 13
9169 Vadum"
"Sonja Svendsen","Høgholtvej 50
5372 Vils"
"Ragnhild Winther-Mikkelsen","Sognefjordsgade 419
3178 Hørsholm"
"Prof. Arne Brandt","Reinettevej 262
2845 Bolderslev"
"Inger Toft","Højstrupgade 4
5944 Mårslet"
"Ludvig Hansen-Schou","Carl Nielsensgade 6
5250 Ølstykke"
"Georg Lund-Rasmussen","Knuthenborggade 549
8447 Løgstør"
"Prof. Ellen Lauritsen","Stubbeløbgade 19
4482 Haslev"
"Leonora Larsen","Tomsgårdsgade 9
5578 Espergærde"
"Dr. Janne Jessen","Haraldsted Allé 848
4369 Branderup"
"Catrine Olsen-Winther","Australiens Allé 8
3316 Vallensbæk Strand"
"Øivind Thorsen","Jollestræde 163
2785 Søby Ærø"
"Helge Svendsen","Geislersgade 3
4719 Tinglev"
"Tom Dam","Brombærgade 6
8075 Bindslev"
"Ingrid Andersen","Støbegodsstræde 8
2142 Dalby"
"Ebbe Nilsson-Petersen","Musvågegade 5
8104 Køge"
"Filippa Petersen","Kongovej 3
6407 Vemmelev"
"Karl Overgaard","Engelstedsvej 50
7722 Kværndrup"
"Jenny Lauridsen","Søfortvej 7
3401 Tilst"
"Nikolaj Bertelsen","Hornbækgade 9
1547 Viby Sjælland"
"Mikael Lund","Næsbyholmvej 719
4190 Ribe"
"Laust Simonsen","Østervej 23
4621 Dianalund"
"Sine Møller","Gimlesgade 6
4471 Aakirkeby"
"Univ.Prof. Ida Simonsen","Vestre Allé 998
8525 Helsinge"
"Ingrid Christensen","Strandenvej 3
5707 Højbjerg"
"Weena Johansen","Ørne Allé 3
8274 Brovst"
"Kim Søndergaard","Baldersvej 937
4216 Glumsø"
"Jack Ravn","Freundsvej 65
6771 Brovst"
"André Madsen","Hemsedalsgade 627
5866 Aabybro"
"Laust Paulsen-Bach","Vedbækvej 1
7858 Brønshøj"
"Nadia Christensen","Dybendalsgade 12
4875 Sejerø"
"Hr Ronny Dahl","Visbygade 36
4634 Dalby"
"Gustav Iversen","Bavnager Allé 341
5706 Janderup"
"Ron Møller","Hollandsstræde 86
3104 Faaborg"
"Irma Krogh","Karensgade 870
5740 Anholt"
"Ørni Nilsson-Lauritsen","Vester Søvej 22
3829 Lintrup"
"Univ.Prof. William Kristoffersen","Pilestræde 10
3844 Taastrup"
"Prof. Bobby Hansen","Kongemarksvej 63
6360 Ørsted"
"Tommy Jensen","Bisiddergade 282
3197 Sjællands Odde"
"Benny Knudsen","Gaunøgade 72
6013 Juelsminde"
"Åse Mikkelsen","Øster Farimagsstræde 670
4695 Svenstrup"
"Univ.Prof. Gunnar Clausen","Vennemindevej 7
3406 Jystrup"
"Michelle Bach","Kejservej 78
8229 Ørsted"
"Karen Holm-Lund","Leifsvej 4
6233 Faaborg"
"Irma Thorsen","Isafjordsgade 541
2069 Fejø"
"Sophie Winther","Ålekistegade 2
6229 Rungsted Kyst"
"Sille Steffensen","Larsbjørnsgade 963
7493 Viby Sjælland"
"Odette Kristoffersen","Engskiftegade 99
2100 Ørbæk"
"Georg Thygesen-Nørgaard","Breslaugade 89
5841 Give"
"Univ.Prof. Lotte Mathiesen","Lille Søndervoldvej 26
5718 Bogø By"
"Caroline Mogensen","Anneberg Allé 40
3655 Aulum"
"Dr. Benedicte Hansen","Ramløsevej 872
7068 Svinninge"
"Jenny Bech","Nyrnberggade 83
8383 Christiansfeld"
"Paul Bruun-Thygesen","Skyggelundsgade 4
1908 Klippinge"
"Irma Toft","Havre Allé 1
6493 Them"
"Merethe Sørensen","Stadfeldts Allé 318
7661 Nakskov"
"Kåre Johnsen","Helsinkivej 385
2797 Stege"
"Prof. Philip Jespersen","Røsåvej 99
8499 Hejnsvig"
"Prof. Benedicte Koch","Emdrup Enggade 7
8982 Henne"
"Maja Nissen","Mellemfortsvej 649
6686 Hvidovre"
"Hr Alf Poulsen","Bogenæsvej 80
2807 Klampenborg"
"Ulrik Svendsen","Dronninglundvej 20
2083 Gørding"
"Dr. Esben Møller","Risagerstræde 32
9598 Nærum"
"Aksel Christiansen-Holm","Nøragergade 74
1261 Stakroge"
"Isabella Hermansen-Dahl","Magstræde 42
1220 Knebel"
"Olivia Knudsen","Høffdingsvej 41
8313 Nørre Nebel"
"Elna Friis","Milano Allé 81
9886 Klippinge"
"Univ.Prof. Mette Skov","Hørdumsvej 624
6640 Glumsø"
"Tom Mogensen","Præstemarksgade 882
6400 Nørreballe"
"Alex Lind","Metrogade 33
7377 Højby"
"Andrea Steffensen-Knudsen","Soltoftegade 789
4701 Gadstrup"
"Herbert Poulsen","Borgskrivervej 27
6032 Mårslet"
"Ronni Kristoffersen","Gilbjergvej 7
5263 Kvistgård"
"Ragna Winther","Slotsfogedvej 2
9154 Skærbæk"
"Isabella Jensen","Lupin Allé 4
1578 Holsted"
"Jenny Søndergaard","Spangbergsvej 7
3572 Rødkærsbro"
"Bitten Kristiansen","Mysundevej 37
7448 Fanø"
"Dr. Line Thorsen","Eskjærgade 599
3026 Højer"
"Fru Elisabeth Schultz","Hardenbergvej 8
2813 Hasselager"
"Heidi Jeppesen-Mikkelsen","Hauservej 6
6728 Ølsted"
"Prof. Christine Mogensen","Holtegade 2
7338 Søllested"
"Aksel Østergaard-Johansen","Hammerensstræde 7
6145 Vordingborg"
"Prof. Berit Jeppesen","Oldermandsgade 8
5095 Kirke Eskilstrup"
"Tilde Bruun","Pommernsvej 69
4265 Gentofte"
"Isabella Larsen","Ætnagade 1
6768 Børkop"
"Sussanne Nørgaard","Leifsgade 911
7298 Føllenslev"
"Prof. August Østergaard","Nybrovej 436
7022 Bagenkop"
"Natasja Henriksen","Rubikonvej 94
1837 Assens"
"Prof. Tage Jepsen","Grøndals Parkgade 84
4740 Fredericia"
"Sofie Friis","Holbergsvej 4
1950 Stakroge"
"Benthe Steffensen","Bjerregårds Sidevej 14
3755 Nordborg"
"Jean Laursen","Blåmejsegade 3
1559 Terndrup"
"Jasmin Andersen","Oliefabriksvej 5
2593 Thyborøn"
"Janni Dam","Rodosvej 56
2756 Skodsborg"
"Isabella Lauridsen","Spartastræde 1
6194 Vils"
"Johnnie Laursen","Molbechsgade 564
8795 Gudme"
"Kirstine Lind","Krausesvej 687
3805 Ryomgård"
"Johanne Christiansen","Ravennagade 11
5612 Nørre Alslev"
"Karl Christoffersen","Nebraskastræde 40
8301 Svinninge"
"Martin Mortensen","Tølløsevej 11
9780 Skodsborg"
"Ulrik Lund","Hvidkildegade 89
6639 Vejers Strand"
"Christine Olesen","Faksevej 911
9590 Hornslet"
"Helge Vestergaard","Færgehavnsgade 37
4685 Hadsund"
"Christopher Dam","Forbindelsesvej 8
6112 Vejby"
"Isabella Schultz","Ragnhildvej 810
3582 Ringsted"
"Karen Olsen","Baldersvej 717
6157 Jyderup"
"Ruth Hansen","Clausholm Allé 213
2149 Hornbæk"
"André Jensen","Stenmaglevej 616
6284 Rudkøbing"
"Kasper Rasmussen","Herholdtsgade 8
9403 Sæby"
"Olga Schultz","Laplandsgade 97
7015 Morud"
"Kirsten Simonsen","Nordborgvej 15
7451 Hedehusene"
"Filippa Schmidt","Havregade 8
7832 Præstø"
"Sten Johansen","Lille Colbjørnsensgade 1
1445 Frederiksberg"
"Prof. Irma Dam","Cypernsvej 147
4972 Egernsund"
"Ivan Christoffersen","Lundevangsstræde 91
7425 Vejle"
"Ingrid Mikkelsen","Guldstjernevej 92
9072 Skælskør"
"Prof. Xenia Berg","Uplandsvej 9
7556 Hanstholm"
"Hr Børge Pedersen","Morgendugstræde 591
7352 Glostrup"
"Søs Skov","Arsenalgade 27
8616 Gadbjerg"
"Michael Kristensen-Jacobsen","Valhalsgade 6
6544 Brønderslev"
"Emma Sørensen","Store Regnevej 24
3241 Jystrup"
