"Aage Christiansen"	"Vognmagervej 581
9515 Flemming" 
"Prof. Verner Jensen"	"Brydesvej 57
4468 Errindlev"
"Ane Svendsen-Dahl"	"Vester Sø Allé 58
8598 Toreby"
"Michala Iversen"	"Sundholmsvej 57
5576 Ugerløse"
"Hr Frode Jespersen"	"Amalie Skramsgade 6
1169 Esbjerg"
"Prof. Åge Bach"	"Rostgaards Allé 137
6582 Værløse"
"Prof. Bodil Christoffersen"	"Hamletsvej 55
8999 Trige"
"Liva Nilsson"	"Weimargade 545
4599 Sandved"
"Gitte Jørgensen"	"Vester Søvej 6
9506 Fuglebjerg"
"Ronja Skov-Christiansen"	"Læssøesgade 2
6216 Tjæreborg"
"Yannick Kristiansen"	"Thyregodsvej 94
3933 Tim"
"Richard Andersen"	"Krogerupvej 519
4566 Spjald"
"Katrine Brandt"	"Æginavej 42
4559 Hvide Sande"
"Trine Kristoffersen"	"Landfogedgade 24
4133 Jyderup"
"Hr Frode Larsen"	"Eskildstrupstræde 164
1106 Munke Bjergby"
"Patricia Lund"	"Jernbanegade 545
4274 Jystrup"
"Univ.Prof. Stina Thorsen"	"Eliasgade 6
6486 Stubbekøbing"
"Holger Nørgaard"	"Florsvej 75
5376 Nibe"
"Sussanne Klausen"	"Glentevej 64
4855 Mørkøv"
"Christopher Holm-Steffensen"	"Amagerfælledvej 58
8895 Bjerringbro"
"Hr Simon Friis"	"Provstevej 3
4025 Trige"
"Ofelia Poulsen"	"Løvetandsvej 54
5647 Skamby"
"Herdis Sørensen"	"Larslejsstræde 63
3509 Harboøre"
"Univ.Prof. Jimmy Paulsen"	"Holte Allé 4
1790 Aalestrup"
"Hr Gert Hermansen"	"Helgesens Allé 1
7048 Sønder Stenderup"
"Ziggy Friis"	"Kaalundsvej 5
9363 Sabro"
"Dr. Ingelise Olsen"	"Drejervej 6
7543 Rude"
"Univ.Prof. Asta Søndergaard"	"Hveensgade 9
9194 Regstrup"
"Yrsa Søndergaard"	"Gyldenlak Allé 57
3193 Børkop"
"Mia Iversen"	"Tranevej 336
2259 Asnæs"
"Prof. Jack Bach"	"Vilhelm Thomsensgade 5
6994 Ejby"
"Jack Johansen"	"Fafners Allé 74
6209 Christiansfeld"
"Inger Jepsen"	"Lønstrupgade 9
8730 Dronningmølle"
"Benny Ravn"	"Manø Allé 83
5564 Fanø"
"Hr Gunner Overgaard"	"Bartholinsvej 8
1520 Rødovre"
"Emil Karlsen"	"Borgbjergsgade 3
9169 Brabrand"
"Hr Jørgen Kristoffersen"	"Tårnhusstræde 59
6560 Vejby"
"Dr. Josefine Kristensen"	"Enveloppegade 1
2712 Harpelunde"
"Ziggy Johnsen"	"Kornblomstgade 915
4582 Lundby"
"Dr. Pia Kjeldsen"	"Helsingborg Allé 5
4688 Slagelse"
"Prof. Adam Winther"	"Ehlers Allé 2
6969 Brovst"
"Sonja Bach"	"Wittenbergvej 8
3963 Bryrup"
"Carl Bruun"	"Siljanvej 3
6436 Stenløse"
"Jenny Brandt"	"Moldaugade 6
6938 Allingåbro"
"Hr Helge Jakobsen"	"Hornemans Allé 28
1287 Kalvehave"
"Sonja Jørgensen-Lind"	"Javavej 8
9965 Hovborg"
"Prof. Bøje Friis"	"Ærtebjergvej 889
4917 Saltum"
"Univ.Prof. Frederik Schmidt"	"Delosstræde 785
8179 Vodskov"
"Jean Lauridsen-Mathiasen"	"Stavanger Allé 50
9646 Aars"
"Paula Koch"	"Lyshøjvej 2
9643 Løgumkloster"
"Amanda Sørensen"	"Skovstjernevej 784
8447 Vodskov"
"David Kristiansen"	"Lille Isted Allé 33
1681 Løsning"
"Leonora Thomsen"	"Nordborgvej 14
7352 Svaneke"
"Julius Andresen"	"Høsterkøbgade 1
2613 Holstebro"
"Hr Herman Jespersen"	"Høyensgade 1
9823 Dronninglund"
"Camilla Bertelsen-Kjeldsen"	"Ulvefodgade 400
9422 Viborg"
"Jesper Bach"	"Indiagade 19
6380 Taastrup"
"Ivan Jørgensen"	"Tryggevældevej 26
1559 Bramming"
"Britt Eriksen-Laursen"	"Astrupvej 800
1169 Vallensbæk"
"Fru Zahra Jensen"	"Agerlandsvej 7
3701 Nexø"
"Søs Steffensen"	"Gråbrødregade 60
8610 Gislinge"
"Zacharias Søndergaard-Østergaard"	"Tustrupgade 23
3961 Haderup"
"Beth Johnsen"	"Esrom Allé 93
5196 Sandved"
"Bo Svendsen"	"Stenrosevej 18
9250 Sjølund"
"Hr Hjalte Holm"	"Gyrstingestræde 9
1308 Hasle"
"Emma Jessen-Bach"	"Vangsåvej 8
4811 Føllenslev"
"Frederikke Frederiksen"	"Blågårdsstræde 8
6725 Hjerm"
"Curt Kristiansen"	"Langkær Allé 334
6881 Fakse Ladeplads"
"Kenneth Holm"	"Badensvej 273
9728 Hedensted"
"Hjalte Bach"	"Gudenåvej 424
1720 Brøndby"
"Werner Kjeldsen"	"Langø Allé 8
5156 Glesborg"
"Hr Magnus Friis"	"Gilbjerggade 788
4395 Dannemare"
"Åse Pedersen-Schmidt"	"Øster Farimagsstræde 486
9114 Ørsted"
"Simon Bertelsen"	"Ølandsgade 498
3671 Randers"
"Hr Iver Mathiesen"	"Firkløver Allé 1
3591 Helsinge"
"Mathilde Frandsen"	"Norgesvej 62
6198 Kongerslev"
"Jannie Brandt-Klausen"	"Vangehusgade 3
7245 Værløse"
"Nina Nørgaard"	"Solrød Allé 554
9862 Bagenkop"
"Jonas Frederiksen"	"Hindbærvej 895
6194 Glamsbjerg"
"Uffe Bertelsen"	"Tåstrupstræde 96
2337 Vodskov"
"Alma Frederiksen"	"Gransangergade 35
8224 Jerup"
"Nanna Østergaard"	"Kleinsvej 2
4520 Ålbæk"
"Fru Clara Dam"	"Gadstrupvej 7
9941 Broager"
"Clara Frandsen"	"Delfingade 210
4382 Gram"
"Hr Jarl Mathiasen"	"Rostgaards Allé 912
1861 Horsens"
"Fru Regitse Kristoffersen"	"Korinth Allé 135
6297 Bylderup-Bov"
"Dr. Jacqueline Møller"	"Magdelonevej 77
9517 Holeby"
"Margit Vestergaard"	"Manøvej 82
5869 Skårup"
"Univ.Prof. Steve Nilsson"	"Vejrøvej 4
3090 Glejbjerg"
"Regitze Andersen"	"Stenderupvej 618
3964 Højby"
"Fru Ella Johansen"	"Dovrevej 4
2679 Høng"
"Patrick Hermansen"	"Limfjordsgade 82
9905 Marslev"
"Hjalte Jacobsen"	"Raffinaderigade 523
7625 Hadsten"
"Berit Carlsen-Frandsen"	"Saabyesvej 935
6598 Skjern"
"Hr Jimmy Berg"	"Ålholmvej 96
6023 Melby"
"Dr. Poul Clausen"	"Ribevej 658
8561 Ålsgårde"
"Niels Petersen"	"Mozarts Allé 750
7597 Svinninge"
"Dr. Mik Andresen"	"Fredensstræde 6
1775 Fuglebjerg"
"Villads Henriksen"	"Tersløsestræde 349
2256 Vandel"
"Prof. Maria Olsen"	"Kirkegårdsvej 38
7055 Melby"
"Dr. Frode Poulsen"	"Amerika Allé 1
1316 Langeskov"
"Dr. Anette Eriksen"	"Stemanns Allé 7
4613 Løgstrup"
"Solvej Berg"	"Badstuevej 157
2214 Beder"
"Johanne Thorsen"	"Sorgenfri Allé 4
3858 Gram"
"Hr Joachim Jensen"	"Gammel Køge Landegade 66
3825 Saltum"
"Nikolaj Schou"	"Windsor Allé 33
2058 Bramming"
"Kenneth Lauridsen"	"Gerbrandsgade 71
5528 Søndersø"
"Henriette Lassen"	"Kjærstrupgade 44
6650 Tørring"
"Ebbe Kjeldsen-Dam"	"Ringholmstræde 188
9637 Aalborg"
"Torben Danielsen"	"Sundbygårdsgade 5
3325 Lystrup"
"Paw Clausen"	"Tullinsgade 521
1102 Hovedgård"
"Ditte Thorsen"	"Fredensborggade 548
2203 Kværndrup"
"Lena Andresen-Schmidt"	"Reersøvej 944
9717 Snedsted"
"Noah Eriksen"	"Havsgårdsvej 21
6800 Brønshøj"
"Hr Joachim Overgaard"	"Castbergsvej 75
8275 Gørløse"
"Rune Carlsen-Bruun"	"Frederiksborgvej 36
8258 Nibe"
"Prof. Karlo Eriksen"	"Morgendugstræde 10
7043 Askeby"
"Stine Johnsen"	"Solitudegade 699
8739 Grevinge"
"Lea Danielsen"	"Tømrervej 1
6298 Løkken"
"Marlene Andreasen"	"Reventlowsgade 73
8321 Thyholm"
"Randi Christoffersen"	"Østrigsgade 4
8444 Snekkersten"
"Åge Olsen"	"Linnésstræde 787
2638 Birkerød"
"Kent Holst"	"Emdrup Kær Allé 2
5012 Holbæk"
"Dr. Signe Steffensen"	"Gåseurtvej 4
9762 Ryslinge"
"Hr Johnnie Holm"	"Søndervangs Allé 10
2086 Brønderslev"
"Dagmar Dam"	"Nørregade 6
8437 Svenstrup"
"Fru Dorthe Kjeldsen"	"Sokkelundsstræde 36
4609 Skals"
"Helge Jakobsen"	"Trangravs Allé 2
8542 Løgstør"
"Prof. Josefine Ravn"	"Lavendelvej 9
9318 Asnæs"
"Filippa Bruun"	"Ahrenkildesstræde 70
2017 Engesvang"
"Weena Jakobsen"	"Langkærgade 2
7680 Rødovre"
"Alberte Danielsen-Overgaard"	"Gefionsvej 42
8668 Gedsted"
"Univ.Prof. Jimmy Bech"	"Tersløsestræde 58
5761 Frøstrup"
"Boris Johansen"	"Lobeliavej 67
4795 Sjølund"
"Hr Jonathan Hermansen"	"Arne Jacobsensstræde 4
7918 Skagen"
"Vera Bach"	"Herjedalvej 391
7929 Brenderup"
"Univ.Prof. Inge Knudsen"	"Dronning Dagmars Allé 6
2094 Munkebo"
"Finn Nørgaard"	"Vangs Allé 41
1103 Vejers Strand"
"Nikolai Lassen"	"Ottiliastræde 29
8270 Nyrup"
"Yngve Steffensen"	"Rørsangergade 761
8524 Brenderup"
"Arne Østergaard"	"Knivholtvej 33
5036 Fakse Ladeplads"
"Mads Johnsen"	"Mikkel Skovsgade 194
9427 Vonge"
"Bertram Toft"	"Hendonvej 70
2465 Branderup"
"Hanne Mortensen"	"Southamptonvej 556
5809 Kettinge"
"Hr Kasper Winther"	"Lyngviggade 66
7457 Nørager"
"Dr. Marcus Skov"	"Klintevej 559
8755 Gråsten"
"Kristian Mathiesen"	"Rebslagergade 82
9614 Skodsborg"
"Univ.Prof. Vivian Schmidt"	"Marstalsvej 9
7840 Kongerslev"
"René Østergaard"	"Højdevangs Allé 7
5907 Skørping"
"Jan Winther"	"Stockholmsvej 8
1551 Humlebæk"
"Winnie Schou"	"Lille Theklagade 8
8222 Sakskøbing"
"Christine Steffensen-Nissen"	"Etonstræde 69
5724 Bogø By"
"Paulina Nissen"	"Refshalestræde 63
7775 Skørping"
"Prof. Hanne Nielsen"	"Brorsonsgade 2
5598 Mern"
"Hr Kenn Bertelsen"	"Egevej 48
1440 Gudbjerg"
"Univ.Prof. Poul Paulsen"	"Vendersgade 65
1993 Bryrup"
"Herbert Nilsson-Petersen"	"Vestbanevej 4
5774 Hørsholm"
"Bitten Lund"	"Kronprinsessestræde 2
3865 Tommerup"
"Katcha Bruun"	"Lemnosvej 677
7163 Løgstrup"
"Torben Brandt-Jessen"	"Rosenvængetsgade 250
6149 Hovborg"
"Bodil Paulsen"	"Gåsebæksgade 94
7883 Hvidovre"
"Univ.Prof. Cirkeline Paulsen"	"Bryggerigade 323
1002 Augustenborg"
"Paw Dahl"	"Judithsgade 7
9768 Give"
"Laura Dam"	"Tømrergade 708
1661 Bække"
"Hr Klavs Friis"	"Mellemtoftegade 52
9921 Anholt"
"Stina Olsen"	"Willums Allé 133
7321 Lynge"
"Joachim Carlsen-Gregersen"	"Jollevej 488
8748 Sæby"
"Univ.Prof. Paw Jakobsen"	"Ravnsborg Tvær Allé 521
1338 Bække"
"Ella Olsen"	"Solsikkevej 55
4383 Vejle"
"James Petersen"	"Tølløsegade 49
8815 Frederiksberg"
"Pernille Schmidt"	"Overskousgade 53
8116 Svendborg"
"Minna Ravn"	"Sandbjergstræde 9
4842 Frederikssund"
"Arne Overgaard"	"Hjertensfrydsvej 1
4011 Gelsted"
"Rune Mortensen"	"Tårnblæservej 7
7912 Østbirk"
"Hr Kåre Jakobsen"	"Snertingestræde 129
3475 Sæby"
"Pia Thorsen"	"Cæciliagade 900
5719 Klippinge"
"Univ.Prof. Mia Bruun"	"Storegårdsgade 5
4517 Viuf"
"Benny Nielsen"	"Odins Tværvej 279
1764 Tjæreborg"
"Yannick Mortensen"	"Retortgade 61
8455 Almind"
"Univ.Prof. Vivian Johansen"	"Kapsel Allé 27
3122 Harpelunde"
"Karl Vestergaard"	"Bergthorasgade 9
3151 Them"
"Prof. Christine Skov"	"Åkandevej 909
1398 Christiansfeld"
"Benedikte Koch"	"Bangsbovej 38
4567 Nykøbing F"
"Fru Xenia Møller"	"Dannevirkegade 79
4733 Sakskøbing"
"Hr Lasse Mikkelsen"	"Ebertsstræde 696
8104 Rudkøbing"
"Birthe Rasmussen"	"Helikonsgade 90
1208 Søborg"
"Zacharias Kjeldsen"	"Sibbernsgade 696
3613 Bjert"
"Dr. Doris Jessen"	"Koldingvej 4
7680 Løgstrup"
"Kaspar Brandt"	"Tulipanvej 7
6405 Spøttrup"
"Keld Schmidt"	"Gislingevej 3
4163 Saltum"
"Casper Berg-Kristensen"	"Oehlenschlægersgade 2
3258 Søllested"
"Katja Winther"	"Jægervej 54
3165 Hemmet"
"Univ.Prof. Pernille Jørgensen"	"Windsorgade 1
8664 Nexø"
"John Lauridsen"	"Southampton Allé 4
6203 Nykøbing F"
"Hr Laus Andresen"	"Grønnehavevej 9
9197 Trustrup"
"Mik Kristiansen"	"Cumberlands Allé 30
2613 Them"
"Prof. Xenia Carlsen"	"Bristolvej 56
9529 Brønshøj"
"Hr Arne Karlsen"	"Bjergmarksgade 9
8855 Sejerø"
"Prof. Oliver Jensen"	"Børglumgade 3
8926 Lintrup"
"Prof. Silje Kjær"	"Fuglefængervej 3
2418 Brønderslev"
"Majken Kjeldsen"	"Parmastræde 757
6170 Gilleleje"
"Bitten Koch"	"Lauravej 65
6778 Hørsholm"
"Fru Zelma Dam"	"Skaffergade 3
6661 Kastrup"
"Ane Nilsson"	"Schacksgade 9
4160 Vig"
"Hr Mads Sørensen"	"Fensmarkvej 7
1448 Bredebro"
"Hanne Jensen"	"Slotsgade 885
1676 Ejby"
"Nete Brandt"	"Landfogedvej 2
6028 Thyborøn"
"Øivind Winther-Friis"	"Løngangvej 3
1331 Lemming"
"Prof. Ron Paulsen"	"Bergensgade 46
7600 Rødkærsbro"
"Prof. Bent Thomsen"	"Emdrup Mosevej 8
1768 Kibæk"
"Prof. Beth Thorsen"	"Vangsstræde 5
6674 Fredensborg"
"Tina Christiansen"	"Anneke Allé 105
2056 Gram"
"Ken Søndergaard-Nørgaard"	"Astrupvej 86
2075 Føvling"
"Emilie Nørgaard"	"Valkendorfsgade 51
5804 Højslev"
"Hr Malthe Lassen"	"Katrinedalsgade 5
8619 Århus"
"Kenneth Møller"	"Skovløbergade 9
3818 Hanstholm"
"Elin Jacobsen"	"Monradsstræde 2
6421 Brande"
"Erna Bruun"	"Ny Blegdamsvej 494
7290 Vesløs"
"Andrea Karlsen"	"Lobeliagade 721
6227 Tinglev"
"Jenny Paulsen-Brandt"	"Rørsangergade 225
4571 Låsby"
"Johnnie Simonsen-Olesen"	"Voldmesterstræde 7
9283 Dronninglund"
"Bo Knudsen"	"Folke Bernadottesvej 57
8513 Skanderborg"
"Alvin Sørensen-Gregersen"	"Borthigsgade 713
8856 Thyholm"
"Anne Henriksen"	"Klingseyvej 786
6160 Ørum Djurs"
"Hr Malthe Mathiesen"	"Dalslandsgade 51
5464 Klarup"
"Boe Henriksen"	"Hannemannsvej 975
6725 Gadstrup"
"Charlotte Bruun"	"Tyborønvej 24
5075 Gedved"
"Lærke Bertelsen"	"Sturlasvej 420
4599 Gørding"
"Allan Henriksen"	"Kul Allé 4
5637 Fårvang"
"Sten Nissen"	"Frederikssundsgade 188
8250 Asperup"
"Prof. Ditte Larsen"	"Grønager Allé 414
5261 Hadsund"
"Robin Christiansen"	"Frederikssundsstræde 6
2062 Risskov"
"Sebastian Nørgaard"	"Vigerslev Allé 881
2720 Assens"
"Prof. Sabine Søndergaard"	"Øresundsmotorenvej 789
7937 Rømø"
"Hr Michael Gregersen"	"Siciliensvej 243
7158 Nykøbing Sj"
"Malthe Lassen"	"Magdelonevej 10
4875 Harndrup"
"Dr. Ib Simonsen"	"Brolæggervej 977
5913 Idestrup"
"Mads Steffensen-Andreasen"	"Murciagade 74
5094 Ølgod"
"Sonny Svendsen"	"Lyonvej 6
4671 Holstebro"
"Dr. Simon Skov"	"Beldringegade 70
4548 Dianalund"
"Benedicte Karlsen-Nissen"	"Stevns Allé 873
4829 Nordborg"
"Dr. Zenia Rasmussen"	"Tjørnestræde 569
9400 Sønder Omme"
"Solvej Lauritsen"	"Højsagergade 43
9142 Lille Skensved"
"Ane Schultz"	"Hestemøllestræde 4
9122 Egtved"
"Hr Mik Kristiansen"	"Skyttegårdvej 7
3114 Helsingør"
"Paw Frandsen-Kjær"	"Holbækvej 1
9760 Mørkøv"
"Jonna Mathiasen"	"Vævervej 9
7615 Karup"
"Dr. Sille Rasmussen"	"Hvidkløvervej 5
1746 Ærøskøbing"
"Fru Alberte Klausen"	"Gearhalsgade 692
3894 Rørvig"
"Jarl Schmidt"	"Tromsøstræde 37
9976 Nørre Asmindrup"
"Sussie Schou-Steffensen"	"Enveloppevej 2
8787 Tørring"
"Hr Pete Lund"	"Kurlandsvej 4
7536 Nørre Nebel"
"Weena Paulsen"	"Gimlesstræde 1
2835 Videbæk"
"Dr. Anton Holm"	"Mysundegade 123
1637 Dannemare"
"Hr Niels Mogensen"	"Tulipan Allé 994
2582 Billund"
"Karla Eriksen"	"Formosavej 34
4768 Blåvand"
"Prof. Yrsa Lauritsen"	"Stenosvej 4
2356 Hesselager"
"Christian Holm-Bech"	"Tjørnevej 40
8881 Strøby"
"Jack Jessen"	"Asnæsvej 386
5328 Ebeltoft"
"Univ.Prof. Jacqueline Thygesen"	"Rosbæks Allé 76
9144 Borre"
"Dr. Alberte Henriksen"	"Guldagergade 935
7565 Grevinge"
"Beth Jacobsen"	"Dannebrogsvej 882
3285 Brønderslev"
"Tim Olsen-Bertelsen"	"Knivholtstræde 57
9659 Hadsten"
"Emma Petersen"	"Hovgaardsgade 9
3153 Oure"
"Hr Palle Andresen"	"Væbnergade 577
1571 Søndersø"
"Kenneth Larsen"	"Marathongade 797
1468 Gilleleje"
"Prof. Richard Madsen"	"Amager Strandstræde 2
5516 Kastrup"
"Prof. Patrick Nielsen"	"Valkyrievej 20
9765 Hagersten"
"Asta Jacobsen-Kjær"	"Vestmannastræde 91
6581 Hornslet"
"Verner Frandsen-Sørensen"	"Spinderivej 80
4057 Nykøbing M"
"Bent Paulsen"	"Ugle Allé 672
1208 Torrig"
"Hr Adam Dahl"	"Bangsbovej 435
8941 Bylderup-Bov"
"Christian Hansen-Bruun"	"Hirsevej 8
1975 Bogense"
"Christopher Larsen"	"Thyvej 61
3482 Vesterborg"
"Hr Pete Gregersen"	"Langagergade 350
1217 Kirke Eskilstrup"
"George Pedersen-Mathiesen"	"Trojagade 7
6751 Morud"
"Randi Vestergaard"	"Elsdyrsvej 18
3068 Valby"
"Univ.Prof. Zahra Schultz"	"Søndrevej 94
8323 Skælskør"
"Christine Karlsen"	"Nordfeldstræde 722
8016 Rungsted Kyst"
"Univ.Prof. Elsebeth Jeppesen"	"Saxhøjgade 42
2706 Trige"
"Rita Frandsen"	"Dybbøls Allé 43
9754 Them"
"Dr. Karl Schultz"	"Kompagnigade 97
5181 Martofte"
"Inger Jepsen"	"Albaniens Allé 90
8188 Hadsten"
"Fru Agnes Mathiesen"	"Sundkrogsgade 6
4319 Glejbjerg"
"Hr Ragnar Kjær"	"Bomhusvej 38
7960 Vejstrup"
"Stig Knudsen"	"Bækkeskovvej 14
9613 Fjerritslev"
"Natasja Pedersen"	"Veras Allé 11
8521 Bagenkop"
"Troels Berg"	"Hejre Allé 1
5096 Kolding"
"Simon Søndergaard"	"Egilsgade 185
1674 Askeby"
"Ulf Lauridsen"	"Hjortdalsstræde 19
1334 Gistrup"
"Prof. Sonja Andresen"	"Elbagade 3
8553 Silkeborg"
"Jesper Thomsen"	"Kongelundsgade 893
9805 Fjerritslev"
"Dr. Christoffer Eriksen"	"Mikkel Skovsvej 26
8547 Randbøl"
"Thomas Kristiansen-Jakobsen"	"Kanslergade 94
4528 Anholt"
"Hr Robert Jessen"	"Mikkel Skovsvej 4
6687 Hundslund"
"Fru Zehnia Klausen"	"Pladehalsgade 48
7585 Engesvang"
"Gertrud Olsen-Lund"	"Florasgade 792
3986 Balle"
"Kenn Mathiasen"	"Klubiensgade 7
6929 Tikøb"
"Lucas Mathiasen"	"Tovelillestræde 35
8731 Saltum"
"Ludvig Johansen"	"Murerstræde 83
8580 Vojens"
"Anette Andersen-Jepsen"	"Meinungsstræde 74
6981 Vorbasse"
"Hr Elias Mortensen"	"Letlandsgade 59
6958 Rødekro"
"Hr Klaus Koch"	"Røsåvej 67
3408 Brenderup"
"Lasse Jespersen"	"Degnemosevej 8
2657 Greve Strand"
"Hr Robin Frederiksen"	"Fælledvej 3
6345 Sjølund"
"Univ.Prof. Vagn Carlsen"	"Hammelstrupvej 9
5088 Sørvad"
"Michala Karlsen-Toft"	"Fruebjergvej 34
2105 Store Fuglede"
"Winni Møller"	"Syriensvej 4
4636 Balle"
"Carina Kristensen"	"Pakhusvej 950
7605 Nærum"
"Ragna Sørensen"	"Perlestikkervej 6
4275 Hemmet"
"Karin Jespersen"	"Gyldenlak Allé 7
6990 Hesselager"
"Prof. Marius Ravn"	"Spartagade 24
5480 Gistrup"
"Lennarth Olesen"	"Rovsingsvej 2
9953 Charlottenlund"
"Jesper Hermansen"	"Fyensvej 595
9672 Broager"
"Hr Ron Overgaard"	"Vigerslev Godsgade 588
1904 Them"
"Jean Olsen-Kjær"	"Boldhusvej 217
7228 Snekkersten"
"Mathilde Bruun"	"Nordre Fasanvej 6
1195 Frederiksværk"
"Grete Olesen"	"Kejservej 852
9379 Aulum"
"Jens Thygesen"	"Gammel Kongegade 40
4748 Nysted"
"Zenia Carlsen"	"Harrestrup Allé 6
9757 Karby"
"Fru Rosa Nielsen"	"Hardangervej 9
6320 Havdrup"
"Claus Jakobsen-Nielsen"	"Ny Adelgade 9
4825 Asperup"
"Britt Karlsen"	"Pakkeri Allé 667
9497 Kettinge"
"Univ.Prof. Bertram Pedersen"	"Todesgade 949
3020 Vejle Øst"
"Hr Ronni Laursen"	"Nygårdsgade 7
6663 Gedsted"
"Prof. Yngve Mathiasen"	"Nordre Digegade 1
9652 Sejerø"
"Fru Clara Frandsen"	"Pladehalsvej 446
6238 Pandrup"
"Prof. Gitte Sørensen"	"Mølle Allé 41
2365 Gadbjerg"
"Ron Poulsen"	"Brynhildestræde 889
9038 Fredensborg"
"Joachim Koch"	"Bristolvej 32
1226 Sønderborg"
"Louise Overgaard"	"Rosenvængetsgade 61
2176 Vemmelev"
"Gertrud Lassen"	"Bjørneklostræde 28
4640 Stenlille"
"Dr. Jytte Brandt"	"Vordingborgvej 935
6831 Jerup"
"Dagny Hansen"	"Ribe Allé 205
9574 Tranekær"
"Hr Rune Brandt"	"Mutzuvej 91
9639 Sejerø"
"Carlo Laursen"	"Dybendalsstræde 1
7953 Mern"
"Univ.Prof. Olivia Mathiasen"	"Gjorslevgade 9
3761 Saltum"
"Dr. Daniella Christoffersen"	"Vigerslevvej 24
3295 Dannemare"
"Prof. Gerda Dam"	"Østre Tegl Allé 214
3521 Toftlund"
"Fru Stine Dam"	"Haraldstedvej 24
2997 Jyderup"
"Dennis Ravn"	"Gåse Allé 494
9434 Sørvad"
"Dr. Sigrid Brandt"	"Byglandsstræde 5
4497 Grenaa"
"Katrine Klausen"	"Ny Blegdamsgade 2
1319 Vallensbæk"
"Vera Bertelsen"	"Hannemannsstræde 74
6424 Bevtoft"
"Hr Rune Jespersen"	"Engvej 8
6194 Hårlev"
"Richardt Jensen"	"Valborgvej 4
3870 Gentofte"
"Prof. Ingelise Kristensen"	"Tuelandsvej 72
6329 Kirke Hyllinge"
"Emma Jensen"	"Hvedegade 5
8505 Skive"
"Fru Maiken Henriksen"	"Greisvej 47
4366 Langebæk"
"Bruno Bach"	"Fussingsvej 921
6966 Ulfborg"
"Ane Mathiesen"	"Søndre Fasanvej 9
3876 Tylstrup"
"Univ.Prof. Thomas Mathiesen"	"Emdrupgårdsvej 9
8837 Hadsten"
"Michelle Schultz"	"Reinette Allé 9
4250 Samsø"
"Kristian Hermansen"	"Utterslevvej 82
7155 Solrød Strand"
"Hr Rune Poulsen"	"Klosterrisgade 109
5308 Hørning"
"Dr. Nicoline Henriksen"	"Trelleborgstræde 7
4574 Samsø"
"Dr. Jack Laursen"	"Enveloppegade 3
5558 Vig"
"Leif Hansen"	"Skovharegade 78
1219 Vedbæk"
"Dr. Sophie Holm"	"Kildebrønde Allé 48
7131 Sjølund"
"Winni Danielsen-Holm"	"Færgehavnsgade 38
5913 Ølstykke"
"Amanda Kristiansen"	"Cylindervej 20
4734 Græsted"
"Odette Thorsen"	"Horsensgade 7
7761 Rødding"
"Carl Jessen-Christiansen"	"Rysensteensgade 555
3669 Marstal"
"Dennis Bertelsen"	"Pernillegade 8
3148 Stenstrup"
"Hr Silas Østergaard"	"Soltoftevej 77
6950 Outrup"
"Prof. Johannes Sørensen"	"Tornebuskestræde 902
9213 Langeskov"
"Carsten Gregersen"	"Ceylongade 303
2989 Vamdrup"
"Prof. Karina Frederiksen"	"Cæciliavej 3
7715 Tilst"
"Irma Mikkelsen-Schmidt"	"Vindebrogade 5
8167 Skodsborg"
"Hugo Koch"	"Hindegade 5
7451 Jægerspris"
"Lea Christiansen"	"Ekvipagemestergade 99
3112 Ullerslev"
"Univ.Prof. Mia Holm"	"Stubbeløbstræde 4
4686 Gislinge"
"Paw Schmidt"	"Degnemosevej 2
2845 Gadbjerg"
"Univ.Prof. Karen Krogh"	"Irisgade 2
6393 Søborg"
"Hr Steve Jespersen"	"Bymosevej 895
1388 Lynge"
"Cirkeline Jepsen"	"Gamle Vasbyvej 95
7321 Klippinge"
"Sys Mikkelsen"	"Nordrupvej 9
2499 Horslunde"
"Yan Schultz"	"Thurebyholmvej 276
6046 Hvide Sande"
"Sarah Thorsen-Holm"	"Strynøgade 199
8568 Charlottenlund"
"Dr. Ronni Hansen"	"Bymosegade 1
1501 Branderup"
"Dr. Randi Nielsen"	"Ørnevej 7
9556 Møldrup"
"Dr. Sanne Hansen"	"Havsgårdsstræde 462
8629 Mårslet"
"Ofelia Bech-Lauritsen"	"Fiolgade 92
6582 Gislinge"
"Natasha Holst"	"Støvnæsvej 2
4871 Nykøbing Sj"
"Hr Steven Nissen"	"Stampesvej 961
4027 Outrup"
"Jannie Johansen"	"Hørhusvej 983
2112 Jerslev"
"Univ.Prof. Tanja Bertelsen"	"Sonnerupvej 1
8074 Langå"
"Holger Bruun-Hansen"	"Händelsvej 6
7591 Stege"
"Stig Andresen"	"Møllegade 4
7273 Helsinge"
"Jimmy Andersen"	"Portlandsstræde 94
7267 Solrød Strand"
"Erna Koch"	"Rindbygade 618
2726 Aars"
"Fru Bettina Simonsen"	"Jordbærvej 35
1323 Balle"
"Dr. Gustav Olsen"	"Stubmøllegade 42
4283 Arden"
"Christina Schultz"	"Kæragergade 342
1433 Nykøbing M"
"Hr Stig Christensen"	"Helsingørmotorengade 8
2417 Helsinge"
"Zahra Jørgensen"	"Nysøgade 219
4261 Sønder Omme"
"Fru Rita Iversen"	"Skotterupvej 75
4785 Kvistgård"
"Margrethe Krogh"	"Rialtostræde 39
7003 Rynkeby"
"Annette Rasmussen"	"Damager Allé 757
9654 Vemmelev"
