"Aage Dahl"|"Jeppes Allé 29
9602 Risskov" 
"Dr. Winni Østergaard"|"Hjørringvej 434
1552 Hejls"
"Prof. Nick Olesen"|"Wibrandtsgade 585
9357 Birkerød"
"Ronni Lauridsen"|"Thygade 7
4945 Hedehusene"
"Bent Krogh-Mathiesen"|"Lejrevej 1
5958 Slagelse"
"James Jeppesen-Kristensen"|"Brobergsvej 2
9045 Ejstrupholm"
"Ruben Mortensen-Christensen"|"Ebertsstræde 113
2523 Karise"
"Oscar Bruun-Christoffersen"|"Valby Kirkestræde 3
1314 Them"
"Univ.Prof. Daniel Lauritsen"|"Sognefjordsvej 23
3280 Thisted"
"Mik Bach"|"Ehlersgade 2
8403 Bjæverskov"
"Mike Henriksen"|"Antonivej 3
2532 Broager"
"Anne Kjær"|"Brammingegade 684
8834 Vejers Strand"
"Ib Kristiansen"|"Horserød Allé 989
2152 Farsø"
"Kristian Mikkelsen"|"Jægervej 69
7198 Store Heddinge"
"Laura Kristensen"|"Lundedalsvej 192
6406 Vejers Strand"
"Ulla Clausen"|"Adelgade 620
1869 Glamsbjerg"
"Univ.Prof. Dagny Nilsson"|"Ørhagegade 1
1243 Holbæk"
"Natasja Hansen"|"Hans Bogbindersstræde 22
1080 Øster Vrå"
"Odette Thygesen"|"Brammingegade 47
8753 Billum"
"Mik Dam"|"Timiansvej 723
5055 Fakse"
"Univ.Prof. Mike Pedersen"|"Rosmarinvej 9
9280 Kolind"
"Christine Koch-Johansen"|"Delfingade 738
9962 Hovborg"
"Osvald Brandt"|"Glænøgade 80
3580 Fejø"
"Bo Mogensen-Lauritsen"|"Vestergade 533
8511 Hornbæk"
"Fru Yrsa Danielsen"|"Solsikkevej 7
5565 Vig"
"Prof. Jano Olesen"|"Horsekildevej 391
6189 Risskov"
"Prof. Karina Danielsen"|"Lædervej 842
1624 Skals"
"Morten Winther"|"Hovmålvej 157
2662 Stege"
"Timmy Nilsson"|"Gammel Jernbanevej 716
8403 Hjørring"
"Mik Madsen"|"Arresøstræde 6
4542 Vils"
"Helle Hermansen"|"Vesterfælled Allé 21
7911 Bindslev"
"Univ.Prof. Claus Lund"|"Herlufsholmvej 2
1987 Ørbæk"
"Yvonne Skov"|"Bavnehøj Allé 4
5180 Sørvad"
"Clavs Nørgaard"|"Derbyvej 6
7666 Arden"
"Ellen Toft"|"Vedbækgade 869
4878 Vissenbjerg"
"Lea Lund"|"Næsbyholmstræde 44
3423 Kvistgård"
"Dr. Åse Hansen"|"Krimsvej 872
8338 Gilleleje"
"Joakim Petersen"|"Strindbergs Allé 2
3292 Vorbasse"
"Ella Nielsen-Jespersen"|"Rosbæksvej 87
4851 Fredericia"
"Mik Nielsen"|"Teglholm Tværvej 324
8985 Mørkøv"
"Poul Carlsen"|"Dalmosevej 89
4086 Klampenborg"
"Patrick Mikkelsen-Møller"|"Skaffervej 198
5394 Gislev"
"Univ.Prof. Tina Knudsen"|"Ahlmannsvej 101
1316 Stokkemarke"
"Jarl Olesen"|"Overn Oven Vandetgade 8
2853 Ullerslev"
"Selma Madsen"|"Hvedevej 696
4559 Kirke Såby"
"Tobias Christensen-Steffensen"|"Kattegatvej 3
2472 Rungsted Kyst"
"Ulrik Klausen"|"Godsbanegade 7
4576 Them"
"Dr. Joan Holst"|"Store Kongensstræde 8
9586 Smørum"
"Prof. Nora Poulsen"|"Remisegade 712
3559 Ålsgårde"
"Mikael Andersen-Knudsen"|"Valhalsvej 5
9245 Vils"
"Birger Steffensen-Schultz"|"Hessensgade 246
8347 Ferritslev Fyn"
"Hr Sebastian Rasmussen"|"Istedgade 7
2506 Kværndrup"
"Øjvind Paulsen-Bertelsen"|"Hovmestergade 828
2038 Hundslund"
"Ofelia Jensen-Danielsen"|"Vognmagergade 824
7380 Øster Ulslev"
"Nikolai Paulsen"|"Lyngholmvej 9
3705 Rønde"
"Hr Verner Kjeldsen"|"Wiinbladsvej 62
1198 Malling"
"Dr. Anette Jessen"|"Suhmsvej 1
4930 Broby"
"Univ.Prof. Maria Dam"|"Kuglegårdsgade 95
8875 Højer"
"Jim Jepsen-Bech"|"Århusgade 2
1899 Ølgod"
"Mikael Lassen"|"Tullinsvej 6
5507 Lintrup"
"Univ.Prof. Ronny Vestergaard"|"Løngangstræde 736
3637 Skårup"
"Frede Pedersen"|"Bratskovgade 898
4884 Gislinge"
"Jimmy Thomsen"|"Kurlandsstræde 1
3953 Nørresundby"
"Prof. Olga Andresen"|"Vildandestræde 53
3704 Ruds Vedby"
"Britta Andersen"|"Skelmosevej 21
7384 Vipperød"
"Prof. Anne Jespersen"|"Sydløbsvej 627
3874 Rødkærsbro"
"Prof. Kirstine Møller"|"Griffenfeldsgade 146
9762 Hejnsvig"
"Nora Lassen"|"Otto Bachesstræde 6
4433 Aalestrup"
"Anton Andreasen"|"Rostgaardsgade 6
4273 Marslev"
"Mikael Nilsson"|"Østerbrogade 79
6605 Thyholm"
"Bob Kristensen"|"Slotsfogedvej 6
7767 Ringe"
"Zelma Iversen"|"Thorupsvej 914
9621 Ejstrupholm"
"Sine Olsen"|"Bangsbovej 2
1513 Vandel"
"Frank Kristensen-Christiansen"|"Søren Norbysvej 97
9990 Svaneke"
"Robin Bruun"|"Læderstræde 59
7014 Gilleleje"
"Prof. Herdis Paulsen"|"Overskousvej 1
9802 Kruså"
"Prof. René Klausen"|"Syvensgade 14
8665 Fur"
"Josefine Mathiesen"|"Børskovvej 5
3832 Aalestrup"
"Cecilie Karlsen-Madsen"|"Stæregade 263
4720 Nibe"
"Mike Skov"|"Rismosevej 194
1545 Brædstrup"
"Torben Hansen-Kristoffersen"|"Schacksstræde 13
9851 Vallensbæk Strand"
"Yasmin Andresen"|"Stavangergade 323
1457 Vestervig"
"Holger Jørgensen-Andresen"|"Vesterfælledvej 703
4706 Skørping"
"Tilde Bertelsen-Knudsen"|"Lille Kongensvej 1
6308 Klampenborg"
"Margit Petersen"|"Sallingvej 697
5131 Tureby"
"Univ.Prof. Cirkeline Eriksen"|"Købmagergade 77
2788 Strøby"
"Dr. Casper Jacobsen"|"Syvensvej 170
6208 Hundslund"
"Jean Schultz"|"Krimsgade 4
5303 Assens"
"Gundhild Kjær"|"Bryggerigade 686
8777 Karise"
"Mikkel Friis"|"Bornholms Allé 3
6786 Ørbæk"
"Øivind Bruun"|"Spanteloftgade 7
2140 Ørsted"
"Otto Henriksen"|"Leifs Allé 802
8914 Odder"
"Marius Lund"|"Grysgårdsvej 3
3623 Fejø"
"Cecilie Christensen-Jessen"|"Lindgreensvej 47
3042 Karup"
"Zehnia Nørgaard"|"Luganogade 98
7875 Brande"
"Winnie Bach"|"C.F. Møllersgade 10
2508 Gørlev"
"Fru Patricia Lund"|"Vester Voldvej 709
3099 Tranekær"
"Jon Brandt"|"Rahbeks Allé 124
4978 Øster Ulslev"
"Univ.Prof. Bettina Bruun"|"Peter Ipsensvej 92
8673 Helsinge"
"Mikkel Holm"|"Hovmålvej 5
9733 Gram"
"Dr. Michael Andreasen"|"Emdrup Enggade 3
4948 Vipperød"
"Dr. Elna Svendsen"|"Vesterhavsgade 5
6414 Sporup"
"Univ.Prof. Michael Danielsen"|"Glostergade 33
6384 Blåvand"
"Dr. Alexander Andresen"|"Lundeborgvej 53
3303 Nimtofte"
"Hr Sonny Nørgaard"|"Kulvej 56
4065 Holeby"
"Josephine Kristiansen"|"Dønnerupstræde 200
5401 Kvistgård"
"Benjamin Østergaard-Klausen"|"Siljangade 6
2127 Rødding"
"Hr Henrik Simonsen"|"Hallinsvej 25
2116 Ryslinge"
"Zara Kristensen"|"Øresundsvej 2
9945 Anholt"
"Mikkel Lauritsen"|"Ribestræde 50
9062 Harpelunde"
"Hjalte Christensen"|"Krogagervej 5
4533 Outrup"
"Ragna Schultz"|"Tingvej 291
3670 Ørsted"
"Peter Toft"|"Fajancegade 496
8047 Mesinge"
"Bertram Nissen"|"Lundsfrydvej 35
3312 Ryslinge"
"Prof. Christina Simonsen"|"Ørholmgade 3
9339 Hurup Thy"
"Jano Larsen-Frederiksen"|"Glænøgade 570
7179 Haslev"
"Univ.Prof. Jasmin Olsen"|"Gudenågade 1
7219 Lemvig"
"Sam Holm"|"Toftøjevej 8
4278 Dianalund"
"Christoffer Hansen"|"Monradsvej 524
2363 Gudhjem"
"Mikkel Mortensen"|"Digegade 3
5857 Langeskov"
"Britta Knudsen"|"Nattergalestræde 90
4605 Herfølge"
"Univ.Prof. Ella Kjeldsen"|"Bernstorffsstræde 6
9694 Østermarie"
"Nick Krogh"|"Rismose Allé 35
7745 Kalvehave"
"Univ.Prof. Jørgen Lund"|"Engdalsstræde 8
2169 Brovst"
"Dr. Karl Carlsen"|"Engelstedsstræde 747
1270 Rødby"
"Carl Mortensen"|"Store Kannikegade 8
8033 Læsø"
"Dr. Agnes Bech"|"Lille Kirkevej 754
8850 Juelsminde"
"Sussanne Rasmussen"|"Dovrevej 30
4528 Bording"
"Prof. Ove Ravn"|"Lundsfrydvej 8
5654 Hanstholm"
"Mikkel Møller"|"Løvetandsvej 70
7436 Slagelse"
"Johannes Bertelsen-Thorsen"|"Thygade 97
6049 Ulstrup"
"Fru Rita Thorsen"|"Valhøjgade 615
4049 Stoholm"
"Hr Marius Christensen"|"Helgesensgade 131
3459 Hadsten"
"Sten Klausen"|"Cypernsvej 8
1613 Hundested"
"Britta Toft"|"Broagerstræde 91
2099 Klarup"
"Werner Klausen"|"Vindebrogade 497
4864 Rødding"
"Anette Møller"|"Donauvej 452
3872 Fakse"
"Tom Skov-Frandsen"|"Stenderup Allé 6
7274 Eskebjerg"
"Gertrud Olsen-Jessen"|"Ålekistevej 8
5797 Branderup"
"Mikkel Pedersen"|"Timiansvej 412
1695 Årre"
"Ditte Pedersen"|"Mælkeenvej 713
1337 Bramming"
"Iben Lauritsen"|"Bogfinke Allé 5
7324 Nexø"
"Prof. Kirstine Mikkelsen"|"Kjærstrupvej 3
1133 Regstrup"
"Dan Gregersen-Mikkelsen"|"Kulvej 397
7673 Stenløse"
"Prof. Mathilde Søndergaard"|"Glentegade 991
6172 Otterup"
"Peter Karlsen-Thomsen"|"Kampmannsvej 80
6968 Hovedgård"
"Dr. Anders Jørgensen"|"Jerichausvej 728
9103 Nykøbing F"
"Dr. Steve Skov"|"Lynæs Allé 479
5089 Gislev"
"Niels Frandsen-Laursen"|"Marbjergstræde 7
3371 Videbæk"
"Mikkel Petersen"|"Frederiksgårdsgade 620
5603 Ryslinge"
"Bruno Pedersen-Madsen"|"Emdrup Mosestræde 629
5577 Them"
"Fru Sandra Holst"|"Sumatra Allé 8
4135 Veksø Sjælland"
"Paul Jensen"|"Volosvej 63
7176 Morud"
"Univ.Prof. Philip Søndergaard"|"Gavlhusvej 515
4864 Næstved"
"Åge Mathiesen"|"Tirsbæk Allé 638
2719 Nørre Nebel"
"Gitte Christensen"|"Sværte Allé 1
3645 Store Fuglede"
"Mike Johansen"|"Romsdalsgade 6
4829 Rønne"
"Prof. Sonja Jeppesen"|"Palnatokesgade 427
5311 Nørre Nebel"
"Tim Skov"|"Oldfuxstræde 29
6847 Strøby"
"Mille Krogh"|"Nordfeld Allé 2
1708 Juelsminde"
"Zelma Kristoffersen-Holm"|"Stratford Allé 5
3253 Herlufmagle"
"Univ.Prof. Alma Petersen"|"Gyritevej 7
6842 Kjellerup"
"Ludvig Paulsen-Koch"|"Schubertsstræde 8
7612 Gandrup"
"Esmarelda Andreasen"|"Parnasvej 74
1629 Kvistgård"
"Bo Olsen"|"Snertingegade 316
2781 Spjald"
"Prof. Agnes Jeppesen"|"Milosvej 18
5583 Balle"
"Oskar Hermansen-Johnsen"|"Krogerupgade 31
3436 Blokhus"
"Fru Mette Jacobsen"|"Kløverbladsvej 3
1546 Tureby"
"Sys Petersen"|"Møgeltøndervej 522
4333 Fjenneslev"
"Mimi Madsen-Christiansen"|"Vogtervej 49
3994 Farum"
"Winnie Mathiasen"|"Scandiastræde 1
9771 Humble"
"Hr Jarl Søndergaard"|"Bavnagervej 662
7787 Ringe"
"Tonny Hermansen"|"Wiedeweltsgade 1
6389 Fårvang"
"Kristine Steffensen"|"Hørsholmsvej 559
5724 Dalby"
"Tom Laursen-Jepsen"|"Karlstads Allé 3
5239 Nibe"
"Silas Paulsen"|"Sparresholmvej 583
6801 Aars"
"Prof. Zehnia Paulsen"|"Rosmarinvej 41
7689 Sunds"
"Peter Carlsen"|"Slejpnersgade 16
6170 Kruså"
"Frede Schmidt"|"Uralvej 298
6557 Erslev"
"Mimi Mogensen"|"Æblegade 63
2574 Hadsten"
"Sussanne Klausen-Nielsen"|"Indiavej 39
5018 Vamdrup"
"Sandra Kristiansen-Henriksen"|"Overskousstræde 46
3695 Aabenraa"
"Dr. Christian Larsen"|"Carlsgade 1
2362 Eskebjerg"
"Nora Olesen-Larsen"|"Thingvallavej 46
3453 Dalmose"
"Tommy Thomsen"|"Søndre Allé 2
7390 Hesselager"
"Alvin Schmidt"|"Lybækgade 6
4211 Helsinge"
"Oscar Iversen"|"Stenkløvervej 82
6216 Bagenkop"
"Univ.Prof. Erling Krogh"|"Nyropsvej 29
6452 Snertinge"
"Ditte Vestergaard"|"Mårumvej 874
3106 Glostrup"
"Minna Vestergaard"|"Svanemøllevej 56
7397 Ishøj"
"Maja Jespersen"|"Glumsø Allé 996
7454 Bjert"
"Esben Iversen"|"Røde Mellem Allé 197
2124 Fredensborg"
"Finn Olsen"|"Øster Sø Allé 4
5106 Bagenkop"
"Ragnar Jørgensen-Jensen"|"Hyttehusgade 94
3734 Ølgod"
"Nicolai Skov"|"Heisesvej 81
4843 Almind"
"Borris Jakobsen"|"Sundbyvesterstræde 769
5602 Rask Mølle"
"Hr Carl Gregersen"|"Ryesstræde 83
1801 Trustrup"
"Julius Thygesen"|"Kålagergade 65
8994 Hanstholm"
"Prof. Yan Jessen"|"Ørevadsgade 90
1689 Køge"
"Mogens Jespersen"|"Ribegade 345
2779 Flemming"
"Ruben Jacobsen-Steffensen"|"Nordmarksvej 613
1066 Flemming"
"Sara Kjær-Poulsen"|"Langebrogade 616
4286 Stege"
"Georg Simonsen"|"Fortunvej 611
6837 Frederiksberg"
"Helge Mikkelsen-Holm"|"Marmorvej 769
2163 Havdrup"
"Prof. Peter Kristoffersen"|"Sejlklubvej 115
5136 Hjørring"
"Albert Jessen"|"Højdegade 35
6314 Søby Ærø"
"Troels Andreasen"|"Theisstræde 7
5779 Branderup"
"Stine Mathiesen"|"Heklas Allé 43
3646 Malling"
"Sandra Berg"|"Dybbølsvej 291
1599 Stenløse"
"Mogens Lund"|"Kvægtorvsgade 3
5327 Vemb"
"Dr. Esben Overgaard"|"Øresunds Allé 7
9814 Aalestrup"
"Gert Berg"|"Dronningens Tværvej 66
9996 Nærum"
"Prof. Nicklas Nissen"|"Himmerlandsvej 37
3786 Ørum Djurs"
"Thomas Jepsen"|"Krusågade 7
1205 Løkken"
"Joakim Jakobsen"|"Bøllemosegårdsgade 47
9377 Torrig"
"Nicoline Bech"|"Søndervig Allé 934
9671 Blokhus"
"Åse Lassen"|"Stadilvej 665
4915 Gilleleje"
"Christopher Jeppesen"|"Englandsstræde 1
4764 Bylderup-Bov"
"Vagn Dahl"|"Oxfordgade 579
8174 Støvring"
"Morten Hansen-Vestergaard"|"Letlands Allé 572
6296 Nørresundby"
"Freja Lauritsen-Thorsen"|"Marskensgade 535
8452 Frederikssund"
"Michael Christiansen"|"Hornemansgade 990
8278 Århus"
"James Dam"|"Lundeborg Allé 121
9802 Roslev"
"Kurt Lauritsen"|"Ramløsegade 825
1402 Give"
"Einar Andersen"|"Lønganggade 1
1215 Sandved"
"Ingelise Thomsen-Dahl"|"Ulvsundgade 94
4353 Nørre Asmindrup"
"Nick Kristensen"|"Tyborøngade 539
7999 Dalmose"
"Boe Christiansen"|"Uffes Allé 245
6125 Gandrup"
"Sabine Andreasen"|"Brysselvej 30
1268 Gørlev"
"Morten Krogh"|"Timiansvej 953
4979 Sorring"
"Odette Holst-Poulsen"|"Stubbeløbstræde 1
7584 Sakskøbing"
"Mikkel Holst"|"Rosenlundsstræde 88
7236 Suldrup"
"Hr Carsten Knudsen"|"Messinavej 4
9660 Brædstrup"
"Mads Bach-Nilsson"|"Flinterupvej 3
4453 Kibæk"
"Silje Henriksen-Jepsen"|"Kjeldsgårdsgade 30
7902 Jerslev"
"Benthe Olsen"|"Hessensgade 311
6201 Tårs"
"Univ.Prof. Victoria Olesen"|"Veronagade 17
9406 Århus"
"Tonny Berg-Christoffersen"|"Jægersprisgade 2
8301 Søby Ærø"
"Univ.Prof. Werner Klausen"|"Svankærvej 94
9190 Hornbæk"
"Nadia Carlsen-Jakobsen"|"Dublinvej 75
4183 Holstebro"
"Joan Kristensen"|"Dønnerupgade 69
4715 Vordingborg"
"Iver Mathiesen-Lauritsen"|"Åløkkevej 3
1066 Knebel"
"Aksel Kristiansen"|"Fajancegade 640
5356 Kalundborg"
"Karlo Klausen"|"Dieselgade 91
2991 Øster Assels"
"Dr. Emil Mortensen"|"Samsøstræde 828
8324 Harndrup"
"Erna Lund-Jepsen"|"Skudehavnsgade 7
9041 Stenløse"
"Ane Brandt-Ravn"|"Keldsøvej 865
1776 Rungsted Kyst"
"Patrick Paulsen"|"Verasgade 6
6813 Herfølge"
"Carsten Nilsson"|"Trepkas Allé 951
8450 Ballerup"
"Nadia Jeppesen"|"Emdrup Mosevej 41
2542 Fakse"
"Herdis Bech"|"Vallekildevej 387
1932 Løgumkloster"
"Zelma Olesen"|"Krusemyntevej 20
4946 Tranbjerg J"
"Mikael Lauritsen"|"Gefions Allé 58
1399 Barrit"
"Karl Dam"|"Dybendalsgade 7
7364 Askeby"
"Univ.Prof. Ragnhild Berg"|"Fyrbødergade 8
8378 Vadum"
"Univ.Prof. David Koch"|"Stenstræde 5
5150 Hornslet"
"Zehnia Christiansen-Bertelsen"|"Lille Kirkevej 4
6679 Fakse Ladeplads"
"Hr Ib Andersen"|"Amalievej 84
3618 Vinderup"
"Prof. Margit Bertelsen"|"Bomsluttervej 32
8479 Mern"
"Nadia Madsen"|"Ægirs Allé 306
9778 Skævinge"
"Prof. Amalie Kristiansen"|"Castbergsvej 870
2168 Brønshøj"
"Janni Knudsen"|"Farvervej 4
6121 Dianalund"
"Merete Hansen"|"Skotterupstræde 919
2363 Tørring"
"John Bech"|"Nordre Frihavnsgade 82
9398 Gadstrup"
"Verner Hermansen"|"Primulavej 1
8638 Løgumkloster"
"Jacqueline Christiansen-Schou"|"Svendborggade 56
7003 Nykøbing F"
"Solveig Hermansen"|"Provstegade 13
3223 Ansager"
"Thea Schultz-Brandt"|"Statholderstræde 741
5951 Rask Mølle"
"Rasmus Jespersen"|"Bispevej 449
1469 Nørre Aaby"
"Nana Ravn"|"Vildandegade 245
7767 Gørløse"
"Bøje Holm"|"Serbiensgade 6
9094 Vamdrup"
"Niels Carlsen"|"Sandhusvej 60
3392 Skjern"
"Univ.Prof. Nicoline Mathiesen"|"Backersgade 916
2702 Borup"
"Hjalte Svendsen"|"Zinnsvej 54
1099 Munke Bjergby"
"Prof. Zelma Danielsen"|"Thors Allé 176
6811 Skodsborg"
"Ronny Bach"|"Mysundegade 64
2438 Kalvehave"
"Dr. Kåre Bach"|"Dalbygade 329
8684 Vesløs"
"Univ.Prof. Steen Christiansen"|"Bogtrykkerstræde 3
1709 Bække"
"Prof. Ruben Henriksen"|"Damager Allé 3
1853 Ry"
"Nana Toft"|"Vagtmestergade 762
8685 Frederikssund"
"Finn Paulsen"|"Tartinisvej 21
3324 Lunderskov"
"Mette Sørensen"|"Tordenskjoldsvej 631
7327 Vester Skerninge"
"Tommy Nielsen"|"Hvidtjørnevej 72
7754 Solrød Strand"
"Dr. Øystein Mathiesen"|"Hareskovstræde 716
1825 Jordrup"
"Kasper Thorsen"|"Provstestræde 3
9326 Rødovre"
"Yvonne Andresen"|"Nokken Hovednvej 1
8613 Bramming"
"Tina Sørensen"|"Kastanie Allé 38
6205 Egå"
"Odeline Frederiksen"|"Kongsdalstræde 5
4651 Bækmarksbro"
"Michala Skov"|"Uralvej 16
7065 Tilst"
"Nanna Iversen-Knudsen"|"Saabyesvej 11
6300 Kirke Såby"
"Dr. Oda Kristensen"|"Hyacintvej 457
9148 Middelfart"
"Oscar Toft"|"Birkagervej 704
1674 Odder"
"Isabella Knudsen"|"Kapelvej 91
9668 Maribo"
"Prof. Åge Koch"|"Holbækmotorenstræde 81
5463 Hesselager"
"Univ.Prof. André Lauridsen"|"Sonnerupstræde 605
3778 Rømø"
"Gunnar Iversen"|"Tingvej 646
3546 Pandrup"
"Bo Johnsen"|"Rosenlundsvej 16
9685 Tikøb"
"Nete Jakobsen"|"Jansvej 64
2408 Fakse"
"Michala Thygesen"|"Vestre Kirkegårdsgade 48
5075 Viby J"
"Nanna Lund"|"Magdelone Allé 512
5830 Rynkeby"
"Hr Osvald Jakobsen"|"Nystedvej 3
8585 Ferritslev Fyn"
"Fru Tammy Danielsen"|"Gearhalsvej 9
1239 Holme-Olstrup"
"Bo Søndergaard"|"Rådmandsgade 803
4132 Fårevejle"
"Prof. Katcha Larsen"|"Tyttebærvej 624
8808 Virum"
"Villads Nielsen"|"Aggersborggade 45
2447 Langeskov"
"Univ.Prof. Casper Schmidt"|"Heils Allé 488
8971 Vestervig"
"Sten Madsen"|"Helikons Allé 69
7812 Hirtshals"
"Åge Ravn"|"Tibirke Allé 5
8486 Gedved"
"Dorte Clausen"|"Venø Allé 96
9740 Sjællands Odde"
"Nanni Madsen"|"Broagervej 944
8441 Hvide Sande"
"Herbert Petersen"|"Edelsmindevej 26
2994 Barrit"
"Prof. Sarah Lund"|"Amagerfælledvej 9
7045 Gedser"
"Jenny Clausen"|"Klaksvigsstræde 116
4529 Vadum"
"Tanja Lund-Dam"|"Fortunvej 6
6046 Mørkøv"
"Jim Skov"|"Bohlendachvej 717
3812 Vandel"
"Univ.Prof. Werner Bech"|"Højsagergade 811
2491 Fredericia"
"Justina Kristensen"|"Ulvefodgade 2
6788 Langå"
"Joakim Nissen-Kristiansen"|"Hjelmsgade 6
7730 Spøttrup"
"Tina Paulsen-Berg"|"Katholmgade 9
7344 Jerup"
"Nanni Mathiasen"|"Majrosegade 520
3817 Them"
"Bertram Søndergaard"|"Agnetevej 7
4889 Skamby"
"Danny Toft"|"Odensevej 8
7728 Aalborg"
"Univ.Prof. Johanne Gregersen"|"Pæongade 6
4984 Ålsgårde"
"Ludvig Pedersen"|"Hedegaardsgade 582
6348 Aalestrup"
"Prof. Adam Dahl"|"Etonvej 695
1866 Fuglebjerg"
"Daniella Olesen"|"Skodsborg Allé 313
1308 Korsør"
"Dr. Bente Johansen"|"Tudsemindegade 2
8420 Ulfborg"
"Paw Johansen-Koch"|"Lyon Allé 10
8908 Gelsted"
"Uffe Jeppesen"|"Østersøgade 7
4035 Ølgod"
"Nanni Mogensen"|"Aarestrupsstræde 7
8466 Østbirk"
"Karina Kjeldsen"|"Vingårdvej 4
6254 Ringsted"
"Hr Jimmy Lauritsen"|"Langøstræde 2
1448 Gedved"
"Univ.Prof. Richard Mikkelsen"|"Kongstedvej 2
2953 Gråsten"
"Hr Christoffer Brandt"|"Trepkas Allé 5
4888 Nørre Snede"
"Isabella Holm"|"Bispegade 1
2097 Samsø"
"Sofia Vestergaard-Overgaard"|"Pragtstjernevej 57
5315 Branderup"
"Dr. Tim Skov"|"Bavnehøjvej 8
9492 Slagelse"
"Nanna Bach"|"Montagehalsvej 477
2966 Rødkærsbro"
"Dr. Marie Møller"|"Paradisæblevej 404
1329 Henne"
"Nanni Paulsen-Sørensen"|"Lundbyesvej 288
3969 Padborg"
"Sandra Holst"|"Thorshavnsgade 35
4088 Vejen"
"Jacob Skov"|"Roselillevej 5
3670 Holsted"
"Dr. Sarah Sørensen"|"Bornholmsvej 7
9846 Hundested"
"Justina Hansen-Olsen"|"Kongebrogade 7
4404 Gjern"
"Simon Kristoffersen"|"Martha Allé 24
6132 Balle"
"Lasse Mathiesen"|"Tværagervej 5
7386 Vesløs"
"Jonathan Jørgensen"|"Valdemarsvej 6
6660 Gadbjerg"
"Sara Jessen"|"Trangravsvej 540
7341 Bryrup"
"Tammy Clausen"|"Albaniensstræde 40
6830 Taastrup"
"Nanni Rasmussen"|"Tjærebystræde 613
4885 Stubbekøbing"
"Yan Clausen-Johansen"|"Krogerup Allé 1
7802 Borre"
"Jørgen Frederiksen-Schultz"|"Hjelmsvej 602
4741 Tylstrup"
"Matthias Holst"|"Søndervangsgade 311
4340 Anholt"
"Ron Thorsen"|"Kornskyldgade 649
9525 Ikast"
"Tommy Lund"|"Englandsvej 6
2031 Jyllinge"
"Bøje Madsen-Kristiansen"|"Harrestrupvej 13
9989 Padborg"
"Dr. Esben Koch"|"Radisevej 917
7879 Stensved"
"Fru Ella Paulsen"|"Bogholdervej 24
3183 Valby"
"Nikolaj Christoffersen"|"Gislingegade 46
5965 Bagsværd"
"Nanni Skov"|"Børglumvej 6
2980 Roskilde"
"Prof. Rasmus Christoffersen"|"Hammerensstræde 270
8229 Tarm"
"Kim Nilsson"|"Sixtusgade 9
6705 Hillerød"
"Ulrike Johansen"|"Grenåvej 15
7495 Tikøb"
"Olga Friis-Friis"|"Bjerregårds Sidegade 2
1349 Dragør"
"Dorthe Pedersen-Holst"|"Arabiensgade 75
4330 Bevtoft"
"Daniella Dahl"|"Dronning Elisabethsgade 70
8551 Juelsminde"
"Laura Sørensen"|"Rosenvængetsstræde 860
6453 Jelling"
"Gertrud Jessen"|"Øster Søgade 64
4287 Dragør"
"Amalie Kristiansen"|"Puggaardsgade 828
1047 Knebel"
"Nanni Thorsen"|"Antonivej 62
4448 Frederikssund"
"Prof. Mikkel Lund"|"Solrød Allé 98
5987 Henne"
"Klavs Krogh"|"Kvintusgade 29
5403 Idestrup"
"Univ.Prof. Yda Sørensen"|"Kurlandsgade 3
8061 Tappernøje"
"Univ.Prof. Sara Bruun"|"Refsnæsgade 671
7025 Thyholm"
"Danny Bertelsen"|"Hjortøvej 920
5024 Kjellerup"
"Fru Jacqueline Kristoffersen"|"Kirkebjergvej 7
4887 Nørre Snede"
"Clara Knudsen"|"Lyonstræde 502
2455 Odense"
"Per Skov-Holm"|"Højsagervej 564
3536 Them"
"Nina Christiansen-Danielsen"|"Møllegårdsvej 466
7159 Rude"
"Natasja Koch"|"Ramundsvej 7
7212 Herlev"
"Timmy Gregersen-Christoffersen"|"Dalslands Allé 2
4592 Assens"
"Fru Esmarelda Frederiksen"|"Danneskiold-Samsøesstræde 754
7115 Dalmose"
"Jean Steffensen"|"Turesensstræde 742
1695 Hirtshals"
"Kirstine Mathiasen"|"Holstebrogade 39
8156 Snedsted"
"Hannah Frandsen"|"Nørre Søgade 4
9086 Haderup"
"Dr. Gunner Krogh"|"Dronning Dagmarsvej 8
8088 Nørre Snede"
"Nils Bach"|"Krimsvej 33
7127 Hårlev"
"Christine Bruun"|"Vilhelm Thomsensvej 77
5564 Haarby"
"Laurits Knudsen"|"Lundbyesgade 102
1079 Årre"
"Nete Mathiesen"|"Tranehavevej 185
2921 Store Merløse"
"Christian Kristiansen-Brandt"|"Wiedeweltsgade 5
7975 Vojens"
"Mie Mathiasen"|"Dybensgade 6
2745 Lynge"
"Eric Jacobsen"|"Travemünde Allé 65
9848 Hørsholm"
"Jarl Johansen"|"Spangbergsvej 6
9733 Fjenneslev"
"Jacqueline Møller"|"Ringstedgade 506
4540 Daugård"
"Finn Schultz"|"Kongogade 6
4413 Gedsted"
"Mogens Gregersen-Toft"|"Bellisvej 82
1318 Kjellerup"
"Univ.Prof. Jakob Steffensen"|"Hendongade 86
4910 Dronningmølle"
"Boe Karlsen"|"Lærkestræde 444
5540 Sorring"
"Nete Paulsen"|"Helgolandsvej 44
9147 Skødstrup"
