"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე" 
"ვალენტინა ნებიერიძე"	"ხმელნიცკის ქ. 96, ფოთი"
"ხატია კუბლაშვილი"	"კეცხოველი ნიკოს ქ. 64, გურჯაანი"
"ნადეჯდა დავითაძე"	"ლიბანის ქ. 68, სენაკი"
"ვალერიან ბეჟანიძე"	"იაშვილი პაოლოს ქ. 41, თელავი"
"ლუბა შელია"	"ფასანაურის ქ. 81, ვანი"
"გივი ჩინჩალაძე"	"ხვიჩია იპოლიტეს ქ. 90, თეთრიწყარო"
"სალომე ფერაძე"	"არდაზიანის ქ. 80, სოხუმი"
"ასლან კობაიძე"	"მოსე ხონელის ქ. 08, ცაგერი"
"მაია თოფურია"	"ბეღლეთის ქ. 10, მცხეთა"
"თორნიკე ჭეიშვილი"	"წყალსადენის ქ. 12, დუშეთი"
"ზურაბ საჯაია"	"ნათაძის ქ. 40, ოჩამჩირე"
"ციური ჩუბინიძე"	"სკოლის ქ. 81, ზუგდიდი"
"პაატა ჩაჩანიძე"	"კახიანის ქ. 50, ვანი"
"ვერა ჭინჭარაული"	"უშაკოვის ქ. 82, ფოთი"
"ლუდმილა ბახტაძე"	"ოცხელების ქ. 11, რუსთავი"
"აკაკი კახაძე"	"ახმეტის ქ. 17, წყალტუბო"
"ლუიზა მამალაძე"	"გურჯაანის ქ. 95, ახალციხე"
"ნანი ბენიძე"	"შურდულის ქ. 88, სოხუმი"
"ნონა მამულაშვილი"	"ბაქრაძე დიმიტრის ქ. 51, ახალქალაქი"
"კონსტანტინე ჯაიანი"	"დ. ყიფიანის ქ. 26, ტყვარჩელი"
"ზაქარია კვირკველია"	"ახუთის ქ. 18, გუდაუთა"
"მურთაზ ცეცხლაძე"	"ხევისუბნის ქ. 19, ახმეტა"
"სერგო ალანია"	"ლესია უკრაინკას ქ. 16, ოზურგეთი"
"ნაზი ფირცხალავა"	"ენგურჰესის ქ. 93, ახმეტა"
"ლუდმილა ბეჟანიშვილი"	"ხეჩუაშვილის ქ. 59, ბორჯომი"
"ქეთინო ფხაკაძე"	"იბრაჰიმ ისპაჰანელის ქ. 41, ლაგოდეხი"
"ლანა აბაშიძე"	"მარიჯანის ქ. 87, ლანჩხუთი"
"ზვიად პავლიაშვილი"	"ბახმაროს ქ. 54, რუსთავი"
"მირიან დარბაიძე"	"ქარელის ქ. 24, ტყვარჩელი"
"ელიზა ახობაძე"	"ტყავის ქ. 89, მარტვილი"
"ჯონი ლობჟანიძე"	"დირსიჭალას ქ. 72, სენაკი"
"ავთანდილ ქორიძე"	"გუთნის ქ. 57, ცხინვალი"
"ცირა ჭინჭარაული"	"მოლითის ქ. 64, ბორჯომი"
"ირაკლი ქევხიშვილი"	"მაჩხაანის ქ. 53, ბაღდათი"
"ლუდმილა ბეჟანიძე"	"მრევლიშვილის ქ. 19, ყვარელი"
"გოგიტა გუმბერიძე"	"ქუთაისის ქ. 76, ბორჯომი"
"გიგა ბუჩუკური"	"წაღვერის ქ. 89, თერჯოლა"
"ნადია მღებრიშვილი"	"შანშიაშვილის ქ. 78, ყვარელი"
"ავთანდილ როსტიაშვილი"	"ნიაბის ქ. 19, ტყიბული"
"ნიკა ფოფხაძე"	"იოსებიძის ქ. 14, წნორი"
"გალინა კაციტაძე"	"ფაღავა ირაკლის ქ. 81, ხაშური"
"ვაჟა რობაქიძე"	"ტურგენევის ქ. 76, საჩხერე"
"იზოლდა ვარდოსანიძე"	"აბასთუმანის ქ. 58, ზუგდიდი"
"მაგდა მაზმიშვილი"	"ზეკარის ქ. 50, თელავი"
"ლუდმილა გორგაძე"	"საბადურის ქ. 32, ცაგერი"
"თამარ სამხარაძე"	"მიშველაძე არჩილის ქ. 39, ონი"
"ლელა კერესელიძე"	"ვანის ქ. 35, ცაგერი"
"მზია ბაკურაძე"	"ჩოლოყაშვილი ქაიხოსროს ქ. 52, ცხინვალი"
"ზაურ ნადირაშვილი"	"გივიშვილის ქ. 81, მცხეთა"
"ვეფხვია ხურციძე"	"ვაზიანის ქ. 60, ჯვარი"
"ეთერ მერებაშვილი"	"ტაბიძე ტიციანის ქ. 56, ცაგერი"
"იაგო გიორგობიანი"	"ჭოპორტის ქ. 94, ზესტაფონი"
"ვანო ხვედელიძე"	"ერისთავი თორნიკეს ქ. 39, ყვარელი"
"ლუბა გოგუაძე"	"ოფრეთის ქ. 59, თელავი"
"ლუდმილა ვაშაკიძე"	"ჟღენტის ქ. 77, ბაღდათი"
"როზა კევლიშვილი"	"ოძელაშვილის ქ. 02, ლანჩხუთი"
"ლამზირა აბესაძე"	"ალადაშვილის ქ. 84, ახალციხე"
"ბონდო გაფრინდაშვილი"	"ნანეიშვილი ვლადიმერის ქ. 43, ხონი"
"ნაზი გობეჯიშვილი"	"ჩიტაძის ქ. 78, ახალციხე"
"ჟუჟუნა ჯანელიძე"	"კერესელიძე არჩილის ქ. 16, ბათუმი"
"ეკა ტაკიძე"	"მელიქიშვილის ქ. 30, ხობი"
"ვაჟა რეხვიაშვილი"	"გიორგაძის ქ. 30, ონი"
"ნანი ფიფია"	"ქიქოძე გერონტის ქ. 36, ახალქალაქი"
"დიანა ქანთარია"	"ორთაჭალის ქ. 74, გორი"
"ლუდმილა კვინიკაძე"	"ბოცვაძის ქ. 03, გურჯაანი"
"გივი ჭითანავა"	"ვირსალაძის ქ. 67, კასპი"
"როინ კაკაურიძე"	"ჭრებალოს ქ. 81, ტყიბული"
"ირინე ბარბაქაძე"	"ზუბალაშვილების ქ. 31, ლაგოდეხი"
"ედუარდ ჯანაშია"	"ნიზამის ქ. 31, წნორი"
"უშანგი ლომაძე"	"ჩაილურის ქ. 46, ოჩამჩირე"
"ჯემალ გოგალაძე"	"მაჩაბელი ივანეს ქ. 54, ვალე"
"ეთერ ბერიანიძე"	"კანდელაკის ქ. 43, სენაკი"
"მაკა წიქარიშვილი"	"ტარიელის ქ. 83, ქარელი"
"ნუცა კალანდია"	"ბარალეთის ქ. 67, ბაღდათი"
"ლუდმილა მიქავა"	"კობერიძის ქ. 30, წყალტუბო"
"მიხეილ გორგილაძე"	"კვანტალიანის ქ. 33, თელავი"
"ბექა გველესიანი"	"თაბუკაშვილი რეზოს ქ. 36, რუსთავი"
"ივანე კოპაძე"	"ახალუბნის ქ. 96, ბაღდათი"
"მიხეილ ბერულავა"	"კელაპტრიშვილი ომარის ქ. 43, მცხეთა"
"ზვიად ხეცურიანი"	"ღრმაღელეს ქ. 24, წალენჯიხა"
"აზა ქევხიშვილი"	"ვარდისუბნის ქ. 93, თეთრიწყარო"
"იოსებ ცხადაძე"	"სადმელის ქ. 20, აბაშა"
"მირიან შუბითიძე"	"ახალდაბის ქ. 53, ტყიბული"
"ციური ოქრუაშვილი"	"ტელეგრაფის ქ. 20, ცაგერი"
"ლუდმილა ქუთათელაძე"	"ბენაშვილის ქ. 72, გაგრა"
"ჯონი კვაჭაძე"	"ზუგდიდის ქ. 39, ვანი"
"ზურაბ კერესელიძე"	"ზედაუბნის ქ. 18, ხაშური"
"თორნიკე არველაძე"	"ცემის ქ. 40, ჯვარი"
"ამირან ბაკურაძე"	"სამურზაყანოს ქ. 11, ფოთი"
"ავთანდილ ფიცხელაური"	"კრწანისის ქ. 63, ბათუმი"
"რევაზ არველაძე"	"ორბეთის ქ. 36, ცაგერი"
"დავით ჯანელიძე"	"საგარეჯოს ქ. 04, ქუთაისი"
"ნუგზარ სულაბერიძე"	"ხვანჭკარის ქ. 44, ნინოწმინდა"
"ნუნუ ქარდავა"	"თამარაშენის ქ. 87, ვალე"
"ლუდმილა შავაძე"	"გომარეთის ქ. 90, ცხინვალი"
"ოთარ კაჭარავა"	"აბესაძე გიას ქ. 23, ჯვარი"
"ომარ მარგველაშვილი"	"8 მარტის ქ. 13, ვალე"
"რატი ხვიჩია"	"ჩერქეზიშვილის ქ. 16, რუსთავი"
"ლამზირა კვირკველია"	"მეტეხის ქ. 96, თბილისი"
"ელზა კვაჭაძე"	"ვარდევანის ქ. 32, თეთრიწყარო"
"ქეთევან ნადირაძე"	"დიუმა ალექსანდრეს ქ. 63, ოზურგეთი"
"თამუნა მოსიაშვილი"	"მირზაანის ქ. 91, სენაკი"
"გოდერძი ალადაშვილი"	"გალაქტიონ ტაბიძის ქ. 63, გარდაბანი"
"ლევან ჯაიანი"	"ზუგდიდის ქ. 51, დუშეთი"
"ლუდმილა შარაშიძე"	"მეტეხის ქ. 14, სოხუმი"
"მეგი მაღრაძე"	"ახტალის ქ. 95, ახალქალაქი"
"გიგა დავითაძე"	"თერგის ქ. 50, აბაშა"
"ალექსანდრე აფციაური"	"კოფცოვის ქ. 74, რუსთავი"
"ელიზა ნეფარიძე"	"მნათობის ქ. 47, ზესტაფონი"
"ნუნუ მელქაძე"	"ზეკარის ქ. 00, საგარეჯო"
"როზა ღვინიაშვილი"	"არარატის ქ. 41, ონი"
"რიმა მეგრელიშვილი"	"იყალთოს ქ. 93, ახალციხე"
"იამზე დევიძე"	"ჩაიკოვსკის ქ. 45, სამტრედია"
"ნიკოლოზ მეფარიშვილი"	"კავსაძის ქ. 15, სენაკი"
"ლუდმილა ხაჩატურიანი"	"კარგარეთელის ქ. 19, გალი"
"დიმიტრი სოფრომაძე"	"დუშეთის ქ. 18, ცაგერი"
"ფიქრია ალანია"	"საბადურის ქ. 54, ახმეტა"
"ირინა გაბედავა"	"ბაღნარის ქ. 74, აბაშა"
"ჯულიეტა გაფრინდაშვილი"	"სარაჯიშვილი დავითის ქ. 55, ახალი ათონი"
"არჩილ სამხარაძე"	"მოსიძე ვახტანგის ქ. 33, ხობი"
"ასმათ წიკლაური"	"ვასაძის ქ. 00, ქარელი"
"ნადეჯდა გოგოხია"	"მუკუზანის ქ. 29, ჯვარი"
"სოფიო ჯაფარიძე"	"ახტალის ქ. 62, ცხინვალი"
"ქეთო სეხნიაშვილი"	"ციხისძირის ქ. 29, წყალტუბო"
"ლუიზა ირემაძე"	"ორბეთის ქ. 01, ცხინვალი"
"ქეთო ჩუბინიძე"	"ჯაბაურის ქ. 59, ბორჯომი"
"ლამარა გულიაშვილი"	"დ. ყიფიანის ქ. 75, დედოფლისწყარო"
"მადონა გოგსაძე"	"აბანოს ქ. 04, გალი"
"მედიკო მჭედლიშვილი"	"მეტეხის ქ. 74, მცხეთა"
"ვახტანგ ხარჩილავა"	"მუხაძის ქ. 12, ცაგერი"
"მარინა შეყილაძე"	"ოჟიოს ქ. 50, გაგრა"
"იზა გოგია"	"ტატიშვილი ერეკლეს ქ. 02, მარნეული"
"გოგი ბიბილაშვილი"	"შროშის ქ. 95, ბაღდათი"
"გურამ ჩხეიძე"	"იდუმალას ქ. 45, წნორი"
"ლუიზა ლატარია"	"გელათის ქ. 96, კასპი"
"გვანცა კაკულია"	"ბოდბის ქ. 90, ცაგერი"
"ვასილ მღებრიშვილი"	"ხოშარაულის ქ. 71, გუდაუთა"
"ბორის კვირკველია"	"მარგიანი რევაზის ქ. 30, თეთრიწყარო"
"ლიანა ხიმშიაშვილი"	"ციხისძირის ქ. 04, გორი"
"ალა თოლორდავა"	"გრუზინსკი პეტრეს ქ. 16, წალკა"
"ჯონი დავითაშვილი"	"პუშკინი ალექსანდრეს ქ. 41, ზესტაფონი"
"გენადი კაკაბაძე"	"ახმეტის ქ. 20, ლანჩხუთი"
"შორენა ქობულაძე"	"რაზიკაშვილის ქ. 48, მარტვილი"
"თათია ცანავა"	"თელეთის ქ. 12, გორი"
"ლუიზა ნეფარიძე"	"ბიჭვინთის ქ. 95, თელავი"
"ზურაბ იმერლიშვილი"	"ტრიკოტაჟის ქ. 70, გუდაუთა"
"ბიძინა მაზმიშვილი"	"ბაგინეთის ქ. 61, ახალციხე"
"ალექსანდრე კოპალიანი"	"ოსიაურის ქ. 70, ოზურგეთი"
"ჯონი ჟღენტი"	"ჯამბულის ქ. 25, მარნეული"
"გენადი პაპუაშვილი"	"იპოლიტე-ივანოვის ქ. 86, თეთრიწყარო"
"ჯონი გაჯიევი"	"რაჭის ქ. 17, ცხინვალი"
"ხათუნა ყიფიანი"	"ჟღენტის ქ. 07, ტყიბული"
"ანა ფერაძე"	"სოხუმის ქ. 59, მარნეული"
"ნათელა ჩაჩუა"	"ცაგარელი არჩილის ქ. 85, ახალქალაქი"
"ლუიზა ნიკოლაიშვილი"	"შევჩენკო ტარასის ქ. 38, ზუგდიდი"
"თორნიკე ხიზანიშვილი"	"ბჟოლეთის ქ. 65, სენაკი"
"ნაზიკო გიორგაძე"	"იორის ქ. 85, ახალქალაქი"
"ლამზირა ტაკიძე"	"ლ. ელიავას ქ. 84, ხობი"
"ზაზა შალამბერიძე"	"არსენალის ქ. 71, ოჩამჩირე"
"ეკა ვარდოსანიძე"	"კისისხევის ქ. 31, აბაშა"
"ნანა ხარაბაძე"	"სანდრო ეულის ქ. 49, ონი"
"ბიძინა სხირტლაძე"	"ხაბეიშვილის ქ. 06, წყალტუბო"
"ზინა სალუქვაძე"	"გუმათის ქ. 65, ლაგოდეხი"
"დათო ხვიჩია"	"ნიორაძის ქ. 21, თელავი"
"ლუიზა სამუშია"	"შატბერაშვილის ქ. 69, ბაღდათი"
"ჯონი კვირიკაშვილი"	"მამასახლისოვის ქ. 07, აბაშა"
"ნუგზარ პაპიაშვილი"	"ფიფიას ქ. 82, ოზურგეთი"
"ბესარიონ მეგრელიშვილი"	"300 არაგველის ქ. 17, ლაგოდეხი"
"ვერიკო ანთაძე"	"ჭალადიდის ქ. 78, დუშეთი"
"თამილა ჭითანავა"	"გოგოლის ქ. 18, თერჯოლა"
"მანანა ტყეშელაშვილი"	"რაჭის ქ. 16, თერჯოლა"
"მაყვალა გოგიძე"	"ასკანის ქ. 70, გორი"
"ედუარდ ლობჟანიძე"	"ბაქრაძე დიმიტრის ქ. 93, ვანი"
"კლარა წიქარიშვილი"	"ბორბალოს ქ. 24, სოხუმი"
"ლუიზა სვანიძე"	"ქუთაისის ქ. 08, წალენჯიხა"
"ნანული ფარცვანია"	"იორის ქ. 11, ბათუმი"
"ლეილა დიასამიძე"	"ეფრემ მცირის ქ. 27, ზესტაფონი"
"გიგა დემეტრაშვილი"	"გორგასლის ქ. 83, ჭიათურა"
"მერი მაზმიშვილი"	"ახუნდოვის ქ. 90, წნორი"
"დიმიტრი პაპუაშვილი"	"აბაშიძე ირაკლის ქ. 89, საჩხერე"
"ზაურ ლომიძე"	"მარი ნიკოს ქ. 53, ნინოწმინდა"
"იზოლდა ცირეკიძე"	"ლიკანის ქ. 74, თერჯოლა"
"ელისო ალიევა"	"დვირის ქ. 13, გორი"
"კარლო გველესიანი"	"ტეტელაშვილის ქ. 15, ლაგოდეხი"
"ლუიზა შენგელია"	"წულაძის ქ. 70, ქარელი"
"არტურ ქორიძე"	"საქარის ქ. 43, კასპი"
"უშანგი ადეიშვილი"	"შავსოფელის ქ. 90, ცხინვალი"
"გოგიტა ალადაშვილი"	"შროშის ქ. 09, თეთრიწყარო"
"ანნა ლეჟავა"	"ზაზიშვილი გიგოს ქ. 76, ოჩამჩირე"
"თამარ ჟვანია"	"მესხიშვილი ალექსის ქ. 72, წყალტუბო"
"ბელა ჭუმბურიძე"	"პეტრიწის ქ. 31, ახმეტა"
"მარი ტაკიძე"	"მინდელის ქ. 79, სენაკი"
"გოდერძი ცირეკიძე"	"ნიზამის ქ. 10, ტყვარჩელი"
"თამარა კაკაურიძე"	"ჩოჩუას ქ. 09, ლანჩხუთი"
"მაგდა აბაშიძე"	"მინდელის ქ. 64, სენაკი"
"თემურ წიკლაური"	"წაღვერის ქ. 12, მცხეთა"
"გიგლა ხაჩატურიანი"	"პოლიტკოვსკაიას ქ. 34, ბაღდათი"
"არმენ დვალიშვილი"	"ნიორაძის ქ. 65, კასპი"
"გოგიტა მინდიაშვილი"	"ბეთლემის ქ. 49, წნორი"
"ჯუმბერ მეფარიშვილი"	"ნოსირის ქ. 19, თელავი"
"ზურაბ ფეიქრიშვილი"	"ხევძმარის ქ. 24, თელავი"
"დიმიტრი ვარდოსანიძე"	"ჩოხატაურის ქ. 82, გალი"
"გიგა ჩიხლაძე"	"დარკვეთის ქ. 50, ლაგოდეხი"
"ვეფხვია თურმანიძე"	"ჯამბულის ქ. 99, გუდაუთა"
"მაგდა ბრეგაძე"	"შატილის ქ. 58, ახალი ათონი"
"კახაბერ ქობულაძე"	"ბერძენიშვილის ქ. 91, ბოლნისი"
"ბიძინა აბდულაევი"	"არაგვისპირელი შიოს ქ. 40, ტყიბული"
"სერგო მეგრელიშვილი"	"გონაშვილი ჰამლეტის ქ. 91, გუდაუთა"
"ოთარ ჟორჟოლიანი"	"საჭილაოს ქ. 32, გაგრა"
"ევგენია ფიფია"	"ხევსურეთის ქ. 93, გორი"
"რობერტ კერესელიძე"	"მთაწმინდის ქ. 22, ქობულეთი"
"როინ ხორავა"	"კოტეტიშვილი ვახტანგის ქ. 51, ქუთაისი"
"მედეა ფუტკარაძე"	"მოსულიშვილის ქ. 62, ახალციხე"
"მირიან გულიაშვილი"	"კობახიძის ქ. 00, ახალციხე"
"მაგდა ბრეგვაძე"	"პეტრე იბერის ქ. 75, ოზურგეთი"
"გივი ბასილაძე"	"დარკვეთის ქ. 23, ჭიათურა"
"მურმან მჭედლიშვილი"	"ლებარდეს ქ. 28, თეთრიწყარო"
"ირინა ონიანი"	"შხეფის ქ. 53, თბილისი"
"ნელი ჩხარტიშვილი"	"ჯიქიას ქ. 12, ლანჩხუთი"
"ვარდო გობეჯიშვილი"	"ბარნოვის ქ. 27, ხაშური"
"მარინა გაბუნია"	"ჯამბულის ქ. 42, ონი"
"მალხაზ გრძელიშვილი"	"ხევძმარის ქ. 88, მარნეული"
"ჯონი ისაევი"	"დგებუაძის ქ. 50, ახმეტა"
"ედუარდ ლომაძე"	"წალკის ქ. 83, ახმეტა"
"მაგდა გოგიჩაშვილი"	"კონსტიტუციის ქ. 01, ონი"
"ვანო ფარტენაძე"	"სამტრედიის ქ. 88, გალი"
"მალხაზ ბერაძე"	"ბჟოლეთის ქ. 95, ნინოწმინდა"
"იოსებ პეტროსიანი"	"მინდელაურის ქ. 50, ქუთაისი"
"იაგო გუჯაბიძე"	"თვალჭრელიძის ქ. 53, ბათუმი"
"დათო გულუა"	"ტაშირის ქ. 03, ცაგერი"
"ალა ყურაშვილი"	"კურსების ქ. 26, ბოლნისი"
"გია ჯაიანი"	"ჭავჭავაძე ალექსანდრეს ქ. 44, ლანჩხუთი"
"ზაირა გურეშიძე"	"აგლაძე რაფიელის ქ. 77, წალენჯიხა"
"დავით ნადირაძე"	"ვირსალაძის ქ. 59, ვანი"
"მაგდა გუმბერიძე"	"მინდელაურის ქ. 20, სამტრედია"
"ჯონი მაისურაძე"	"შილდის ქ. 30, წალენჯიხა"
"ვიქტორ ონიანი"	"კელაპტრიშვილი ომარის ქ. 03, წალენჯიხა"
"გიორგი ხიზანიშვილი"	"უზნაძე დიმიტრის ქ. 14, ცხინვალი"
"მარიამ ბეგიაშვილი"	"ალვანის ქ. 12, სოხუმი"
"ლანა ბასილაშვილი"	"უშაკოვის ქ. 50, დედოფლისწყარო"
"ზურაბ ლორთქიფანიძე"	"მოლოკოვის ქ. 33, ზესტაფონი"
"თენგიზ დარბაიძე"	"სენაკის ქ. 41, მარტვილი"
"ლიკა გოგოხია"	"გომბორის ქ. 84, წნორი"
"ლიანა ბეჟანიძე"	"ერევნის ქ. 22, ახმეტა"
"მაგდა მამალაძე"	"შორაპნის ქ. 64, ქობულეთი"
"ჟუჟუნა ქურდაძე"	"მიცკევიჩის ქ. 18, ბოლნისი"
"იური დევიძე"	"ეკალაძის ქ. 21, კასპი"
"მარო ბრეგაძე"	"უწერის ქ. 71, ნინოწმინდა"
"ლელა ქართველიშვილი"	"ზაზიშვილი გიგოს ქ. 76, ტყვარჩელი"
"ფატი გაგნიძე"	"ტიხონოვის ქ. 38, ნინოწმინდა"
"დიმიტრი ვალიევი"	"ზანდუკელი მიხეილის ქ. 97, სიღნაღი"
"გოგიტა ყურაშვილი"	"ივერიის ქ. 48, თეთრიწყარო"
"დავით აბაშიძე"	"ხოშარაულის ქ. 11, კასპი"
"სოფია დოლიძე"	"შევჩენკო ტარასის ქ. 22, სენაკი"
"მაგდა მინდიაშვილი"	"კელაპტრიშვილი ომარის ქ. 36, ტყვარჩელი"
"ვიოლეტა ღურწკაია"	"ტოლენჯის ქ. 67, ახალი ათონი"
"ლანა ნიკოლაიშვილი"	"კაკაბაძე პოლიკარპეს ქ. 35, ოჩამჩირე"
"ლელა ბასილაშვილი"	"ალვანის ქ. 51, თელავი"
"ტარიელ კალანდაძე"	"ათონელის ქ. 56, წალენჯიხა"
"თენგიზ რუხაძე"	"მარიჯანის ქ. 57, ახალციხე"
"სულიკო ნუცუბიძე"	"სარკინეთის ქ. 99, სენაკი"
"ნოდარ კუხიანიძე"	"ნიშნიანიძის ქ. 49, ხაშური"
"ჯონი კაცაძე"	"ცემის ქ. 46, ქარელი"
"გოგი ხარაიშვილი"	"ვარდევანის ქ. 47, ახალი ათონი"
"მაგდა ქუთათელაძე"	"სტურუას ქ. 35, ლაგოდეხი"
"ლალი ქავთარაძე"	"აწყურის ქ. 74, სენაკი"
"ჯაბა გოგიტიძე"	"ხორნაბუჯის ქ. 82, ახალი ათონი"
"ნიკოლოზ ბუჩუკური"	"დოღუმბარის ქ. 61, ხობი"
"ოთარ დევაძე"	"კისისხევის ქ. 05, გორი"
"ზვიად ალიევი"	"სააკაძის ქ. 01, სამტრედია"
"გვანცა ვალიევი"	"სევანის ქ. 45, რუსთავი"
"ფატი კუპატაძე"	"დგებუაძის ქ. 34, ონი"
"ელისო მოსიაშვილი"	"უზნაძის ქ. 99, ტყიბული"
"სოფია ლეჟავა"	"ბერიკაშვილის ქ. 62, ფოთი"
"მაგდა ჭეიშვილი"	"მირზაანის ქ. 49, ქობულეთი"
"კახა ბიგვავა"	"ნიკოლაძე ნიკოს ქ. 74, ტყიბული"
"ნანა სილაგაძე"	"მარუაშვილი გიორგის ქ. 08, მცხეთა"
"შოთა ცინცაძე"	"ჯამბულის ქ. 47, ცაგერი"
"ლალი ჩხიკვაძე"	"ახვლედიანის ქ. 56, წყალტუბო"
"ასლან ფარცვანია"	"ჩახრუხაძის ქ. 35, ბაღდათი"
"ნაზიბროლა ბერულავა"	"ოდესის ქ. 59, წნორი"
"მანანა ქანთარია"	"სავანელის ქ. 95, წალკა"
"სოფია ცერცვაძე"	"ახვლედიანი გიორგის ქ. 26, ხონი"
"ლიანა გაბაიძე"	"წინანდლის ქ. 53, გორი"
"მადონა კუჭავა"	"ბალადინის ქ. 73, ჭიათურა"
"ომარ გუმბერიძე"	"ტყვარჩელის ქ. 82, ოჩამჩირე"
"ვაჟა გაბრიჭიძე"	"ტყიბულის ქ. 02, ვალე"
"მაგდა სვანიძე"	"8 მარტის ქ. 44, თელავი"
"რამაზ მესხი"	"ვასაძის ქ. 73, გუდაუთა"
"რუსუდან კუხიანიძე"	"მარტვილის ქ. 16, ჭიათურა"
"გოგიტა ბოჭორიშვილი"	"მარჯანიშვილი კოტეს ქ. 22, ვანი"
"ჯულიეტა ჭითანავა"	"იფნის ქ. 22, სიღნაღი"
"ბორის ბიგვავა"	"კონდოლის ქ. 09, ქობულეთი"
"გოგი მანაგაძე"	"სურგულაძის ქ. 25, გალი"
"მადონა მახარაძე"	"ქუთათელაძის ქ. 41, ფოთი"
"რატი ვასაძე"	"ლიკანის ქ. 86, ახალქალაქი"
"ბადრი ჯიქია"	"ბოდბის ქ. 00, წალკა"
"დავით ყიფშიძე"	"ბალადინის ქ. 21, ბაღდათი"
"თეონა მაჩიტიძე"	"მიცკევიჩის ქ. 21, დმანისი"
"ალექს ნაცვლიშვილი"	"კეცხოველი ნიკოს ქ. 58, ცხინვალი"
"სვეტლანა ჟღენტი"	"ინტერნატის ქ. 59, ვანი"
"ჯაბა პაპავა"	"კუპრაძის ქ. 89, სიღნაღი"
"მურთაზ ჯანიაშვილი"	"ხორავა აკაკის ქ. 48, ზუგდიდი"
"ომარ გოგიძე"	"ნიორაძის ქ. 28, ლანჩხუთი"
"მადონა ჯოხაძე"	"ლორთქიფანიძის ქ. 45, ვალე"
"თეიმურაზ ქობულაძე"	"გუდარეხის ქ. 22, ქობულეთი"
"ლამზირა კანდელაკი"	"ფარავნის ქ. 87, მარტვილი"
"იაგო გობეჯიშვილი"	"ონის ქ. 76, ბაღდათი"
"პავლე მათიაშვილი"	"გიორგაძის ქ. 80, წალკა"
"ვიქტორ შავაძე"	"ტოლენჯის ქ. 56, ვალე"
"სვეტლანა ცომაია"	"უზნაძის ქ. 23, ახმეტა"
"მურმან კოპალიანი"	"ლიახვის ქ. 83, ახალქალაქი"
"ნაზიბროლა შამათავა"	"ალმასიანის ქ. 28, ჭიათურა"
"ფიქრია ხეცურიანი"	"ერევნის ქ. 41, ხონი"
"მაია ფირცხალავა"	"გეგუთის ქ. 86, ცხინვალი"
"ნათელა ადეიშვილი"	"აბაშის ქ. 03, ოჩამჩირე"
"ამირან ცარციძე"	"გომარეთის ქ. 39, ყვარელი"
"ხატია მარგველაშვილი"	"ბალადინის ქ. 13, ონი"
"ბორის რეხვიაშვილი"	"ქუთაისის ქ. 88, წალენჯიხა"
"პაატა შუბითიძე"	"ფასანაურის ქ. 06, თელავი"
"ნაზიბროლა გელაძე"	"გამრეკელის ქ. 52, ოზურგეთი"
"ლიანა ილურიძე"	"ბალადინის ქ. 92, ახალციხე"
"ჯემალ შარიქაძე"	"ართვინის ქ. 66, წნორი"
"როლანდ კობაიძე"	"მარუაშვილი გიორგის ქ. 18, ახალი ათონი"
"მაია ძიძიგური"	"ნადიკვარის ქ. 08, თბილისი"
"სიმონ წურწუმია"	"ჩაქვის ქ. 80, თერჯოლა"
"ასმათ გაჩეჩილაძე"	"ჯამბულის ქ. 49, ჯვარი"
"შოთა მანაგაძე"	"კრწანისის ქ. 43, ჯვარი"
"ელიზა ჭანტურია"	"ყიფიანის ქ. 95, მარტვილი"
"გოდერძი გაბუნია"	"ჯ. კახიძის ქ. 34, მცხეთა"
"ბადრი ხარაზიშვილი"	"დაისის ქ. 10, სამტრედია"
"ელისო ხიზანიშვილი"	"წიწამურის ქ. 84, გალი"
"ნადეჯდა კვირკველია"	"იალბუზის ქ. 27, ხაშური"
"თამარ ნაჭყებია"	"ფარავნის ქ. 05, სენაკი"
"მაია ხაჩიძე"	"მარჯანიშვილი კოტეს ქ. 82, ახალი ათონი"
"გიორგი უგრეხელიძე"	"ლეჩხუმის ქ. 14, ჯვარი"
"ნაზიბროლა გოგინაშვილი"	"ხონის ქ. 25, წყალტუბო"
"ბადრი რობაქიძე"	"მამრაძის ქ. 15, ონი"
"მერაბ შელია"	"ნიაბის ქ. 12, ვანი"
"რუსუდან ვალიევი"	"ლეჩხუმის ქ. 46, ახალი ათონი"
"პაატა ხვიჩია"	"გურიის ქ. 92, საჩხერე"
"მედიკო ნებიერიძე"	"გვაზაურის ქ. 06, დმანისი"
"ზვიად წიკლაური"	"რადიანი შალვას ქ. 11, საგარეჯო"
"ილია წიკლაური"	"კაკლიანის ქ. 72, მარტვილი"
"მაკა ბეგიაშვილი"	"მიროტაძის ქ. 62, აბაშა"
"ია გუმბერიძე"	"ბალანჩივაძე მელიტონის ქ. 07, ოჩამჩირე"
"ივანე მაღლაკელიძე"	"ბენაშვილის ქ. 05, ონი"
"ლეილა ბარბაქაძე"	"ონიაშვილის ქ. 35, გუდაუთა"
"მერაბ ქაჯაია"	"მ. ლებანიძის ქ. 20, მცხეთა"
"ია სირბილაძე"	"პისარევის ქ. 02, დმანისი"
"ივანე გოგიტიძე"	"მიტინგის ქ. 52, ვანი"
