"ავთანდილ დალაქიშვილი","თვალჭრელიძის ქ. 25, ჭიათურა" 
"ირაკლი ბიბილაშვილი","ჭაბუკიანი ვახტანგის ქ. 37, ახმეტა"
"აკაკი გრძელიშვილი","ნიზამის ქ. 87, სამტრედია"
"ტარიელ კაჭარავა","ჩახრუხაძის ქ. 28, ოზურგეთი"
"ასმათ კვინიკაძე","საარბრჯუკენის ქ. 24, სიღნაღი"
"ვლადიმერ გეგეშიძე","ბარამიძე ალექსანდრეს ქ. 76, ამბროლაური"
"გია კევლიშვილი","ფანასკერტელ-ციციშვილის ქ. 86, ბოლნისი"
"ემა არაბული","ჩეჩელაშვილის ქ. 58, ახმეტა"
"ხვიჩა ბერიანიძე","ზაქარიაძე სერგოს ქ. 22, ონი"
"კლარა მეგრელიშვილი","სამტრედიის ქ. 64, ახალქალაქი"
"ემა კალანდაძე","შროშის ქ. 81, წალენჯიხა"
"გენადი კუპრეიშვილი","გუდაურის ქ. 22, დმანისი"
"მარინე ღონღაძე","ბესიკის ქ. 86, საჩხერე"
"ცირა გოგიაშვილი","ზიარის ქ. 74, ბაღდათი"
"თეიმურაზ ქორიძე","შერვაშიძის ქ. 24, დედოფლისწყარო"
"სოფიო ფოფხაძე","აბაშიძე ჰეიდარის ქ. 32, აბაშა"
"მამუკა კიკვაძე","ინტერნატის ქ. 76, ფოთი"
"დალი ლიპარტელიანი","კანდელაკის ქ. 29, დედოფლისწყარო"
"ზვიად გელაშვილი","ახმეტელის ქ. 33, ფოთი"
"კლარა ცეცხლაძე","წუწუნავას ქ. 61, გუდაუთა"
"იზა ხოზრევანიძე","ბოლნისის ქ. 68, ზესტაფონი"
"ლალი წურწუმია","ლარეხის ქ. 28, გურჯაანი"
"თათია ინასარიძე","მაღალაშვილის ქ. 88, კასპი"
"ბელა გულიაშვილი","ხონის ქ. 42, ახმეტა"
"რუსუდან ქაჯაია","დაბახანას ქ. 72, ჭიათურა"
"ილია რუხაძე","არველაძის ქ. 86, ტყიბული"
"ნუკრი სირაძე","აწყურის ქ. 76, აბაშა"
"ვაჟა თაბაგარი","გრანელი ტერენტის ქ. 87, თელავი"
"შალვა ბარბაქაძე","ბააზოვის ქ. 55, სამტრედია"
"კობა ალიევი","ტყავის ქ. 95, ცაგერი"
"ბონდო მუშკუდიანი","კლდიაშვილის ქ. 37, მარტვილი"
"თინათინ ცხადაძე","ურეკის ქ. 01, თერჯოლა"
"ლალი გუჯაბიძე","აბაშიძის ქ. 92, საგარეჯო"
"გულიკო ძნელაძე","მელაანის ქ. 06, ხაშური"
"ვერა სამხარაძე","ლიუბოვსკის ქ. 35, კასპი"
"თამუნა გელაშვილი","სამღებროს ქ. 72, აბაშა"
"იური პაპუაშვილი","გოგოლაურის ქ. 26, ლანჩხუთი"
"გენადი მიქელაძე","ჩარგლის ქ. 39, ვანი"
"მარინა აფციაური","ყიფშიძის ქ. 27, გურჯაანი"
"კობა გოცირიძე","ოჩამჩირის ქ. 56, წალკა"
"ბადრი რეხვიაშვილი","საიათნოვას ქ. 49, თეთრიწყარო"
"ხათუნა ღვინჯილია","დოესის ქ. 29, მარტვილი"
"არტურ ქობალია","მანიჯაშვილი კახას ქ. 28, ქარელი"
"ბადრი ჩაფიძე","ჟონეთის ქ. 04, გორი"
"ჟენია ჩაკვეტაძე","ბოროდინოს ქ. 69, ზესტაფონი"
"მანანა მჟავანაძე","მცხეთის ქ. 87, სიღნაღი"
"ლუბა მჟავანაძე","საგარეჯოს ქ. 41, სოხუმი"
"ელზა ხორავა","ვეძათხევის ქ. 32, ჯვარი"
"ნუკრი ნარიმანიძე","საიათნოვას ქ. 76, ხაშური"
"კობა გურეშიძე","ორპირის ქ. 81, ხობი"
"მარიამ პავლიაშვილი","სოღანლუღის ქ. 94, გორი"
"ვასილ ხმალაძე","კაკლიანის ქ. 30, მარნეული"
"აკაკი ხარაზიშვილი","კერესელიძე არჩილის ქ. 28, ჯვარი"
"ანნა გოგსაძე","ზეინკლის ქ. 74, ლანჩხუთი"
"რიმა ქუთათელაძე","თეძმის ქ. 53, ტყიბული"
"დავით გორგილაძე","ფანჯიკიძის ქ. 59, ტყიბული"
"რევაზ მჟავანაძე","სუმბატაშვილ-იუჟინსკის ქ. 04, ბორჯომი"
"გრიგოლ მაღრაძე","ფილიას ქ. 16, ონი"
"სოსო მგელაძე","წერონისის ქ. 39, გურჯაანი"
"კობა ვაშაკიძე","კელაპტრიშვილი ომარის ქ. 97, ბაღდათი"
"სოსო მიმინოშვილი","გრიშაშვილის ქ. 12, დედოფლისწყარო"
"მერაბ ბიგვავა","ივერიის ქ. 50, ლანჩხუთი"
"ტარიელ ბერიშვილი","კოკინაკის ქ. 70, ბოლნისი"
"არტურ ვაშაკიძე","მარტვილის ქ. 58, ონი"
"რობერტ გაჯიევი","ტყვიავის ქ. 20, ქუთაისი"
"ანა აფციაური","აბდუშელიშვილი მალხაზის ქ. 01, ცხინვალი"
"თემურ გოგინაშვილი","ერისთავი კონსტანტინეს ქ. 78, თერჯოლა"
"როზა ნარიმანიძე","ევდოშვილის ქ. 63, ზუგდიდი"
"რობერტ ირემაშვილი","სააკაძის ქ. 03, თერჯოლა"
"კობა კაკულია","ჯ. კახიძის ქ. 76, ვალე"
"რუსუდან ბეგიაშვილი","ყიფიანის ქ. 96, ახალი ათონი"
"გივი დვალიშვილი","იაშვილი პაოლოს ქ. 35, ნინოწმინდა"
"ნაზიკო კიკნაძე","ხიდისთავის ქ. 03, წნორი"
"ალექს კუხიანიძე","ავლევის ქ. 50, თბილისი"
"მეგი ლაბაძე","ბუაჩიძე თენგიზის ქ. 27, ბაღდათი"
"ჟანა შელია","ვაზისუბნის ქ. 61, ოჩამჩირე"
"იზა საჯაია","ბაღდათის ქ. 79, ქობულეთი"
"მარინე ნიქაბაძე","ხარფუხის ქ. 67, გაგრა"
"თამილა მელიქიშვილი","ახუთის ქ. 73, ჯვარი"
"კობა კვანტალიანი","არარატის ქ. 80, თეთრიწყარო"
"აკაკი მუშკუდიანი","ზურაბიშვილი ავლიპის ქ. 21, ბოლნისი"
"რამაზ გორგილაძე","ზვარეთის ქ. 05, ონი"
"ოლღა ხარაბაძე","ასხინის ქ. 36, ხობი"
"დათო ფერაძე","აგლაძე რაფიელის ქ. 66, ახალი ათონი"
"ვერიკო კაპანაძე","ლ. ელიავას ქ. 01, გარდაბანი"
"პეტრე ელიზბარაშვილი","ნოსირის ქ. 10, დუშეთი"
"ჯულიეტა თოდუა","კვალეთის ქ. 29, ზესტაფონი"
"მალხაზ ცირეკიძე","თევდორე მღვდლის ქ. 80, წალენჯიხა"
"ნათია ჩაჩანიძე","სააკაძის ქ. 53, მარნეული"
"კობა ნადირაშვილი","კურნატოვსკის ქ. 16, დუშეთი"
"ოლია ჩიხლაძე","უზნაძე დიმიტრის ქ. 17, ბოლნისი"
"როინ ხარატიშვილი","ინტერნატის ქ. 86, ტყვარჩელი"
"შაქრო მჟავანაძე","ჩოხატაურის ქ. 78, ლაგოდეხი"
"თამილა რობაქიძე","ალიხანიანის ქ. 41, თეთრიწყარო"
"ვალერი ცინცაძე","ქურდიანი არჩილის ქ. 22, გარდაბანი"
"ალექს ჭიჭინაძე","ჯვარედინის ქ. 00, ქუთაისი"
"ელგუჯა შაინიძე","ალადაშვილის ქ. 49, ტყიბული"
"ნუცა შარაშიძე","ახალარსენალის ქ. 16, ნინოწმინდა"
"კონსტანტინე ლატარია","ლაღიძე მიტროფანეს ქ. 58, ჭიათურა"
"კობა ნიქაბაძე","სალხინოს ქ. 85, თბილისი"
"ბექა თედორაძე","ბეთლემის ქ. 13, ხონი"
"მინდია მელქაძე","უშაკოვის ქ. 67, გალი"
"ვასილ ფანცულაია","მანგლისის ქ. 01, ქარელი"
"აიდა ბერუაშვილი","ალვანის ქ. 69, ზესტაფონი"
"თათია მუსტაფაევა","ანჯაფარიძე ვერიკოს ქ. 29, ქუთაისი"
"ჟანა პეტრიაშვილი","ტყის ქ. 22, აბაშა"
"ევგენია ლაცაბიძე","ოჩამჩირის ქ. 37, წალკა"
"ფიქრია სვანიძე","ოჩამჩირის ქ. 05, დუშეთი"
"იური მერებაშვილი","სამამულო ომის გმირების ქ. 67, ოჩამჩირე"
"კობა რუხაძე","ჭონქაძე დანიელის ქ. 98, ზესტაფონი"
"ქეთო ადუაშვილი","დეკაბრისტების ქ. 54, ვალე"
"გიორგი ჭინჭარაული","წინამძღვრიშვილის ქ. 19, ტყიბული"
"ბონდო მამალაძე","დუტუ მეგრელის ქ. 78, ხონი"
"მამუკა გოგალაძე","ფაღავა ირაკლის ქ. 03, გორი"
"ნიკა გულიაშვილი","ბედიის ქ. 45, ლანჩხუთი"
"ნატალია პაპიძე","ჭიჭინაძე ზაქარიას ქ. 30, ცაგერი"
"მურმან ღვინიაშვილი","მ. ლებანიძის ქ. 22, ჭიათურა"
"ტატიანა გაბუნია","თაყაიშვილი სესილიას ქ. 32, ქობულეთი"
"ნათია მამულაშვილი","ისნის ქ. 92, ხონი"
"კობა ჩინჩალაძე","ალიხანიანის ქ. 25, სენაკი"
"ილია ქირია","ვეძინის ქ. 99, მარნეული"
"ლია პაპიძე","დედოფლისწყაროს ქ. 81, ნინოწმინდა"
"ელმირა შუკაკიძე","თორაძის ქ. 70, მცხეთა"
"ვანო შეყილაძე","ჩხიკვაძის ქ. 32, დუშეთი"
"თეონა ნაბიევი","მცხეთის ქ. 59, კასპი"
"მამუკა რუხაძე","ცემის ქ. 06, გარდაბანი"
"მალხაზ ნიჟარაძე","სიღნაღის ქ. 01, მარტვილი"
"მარიკა გაბელია","კოტე ხიმშიაშვილის ქ. 77, გალი"
"ანზორ ჯალაღონია","დადიანი ცოტნეს ქ. 48, აბაშა"
"კონსტანტინე ბლიაძე","ატენის ქ. 27, მცხეთა"
"ალექსანდრე პაპიძე","ბათუმის ქ. 38, ტყიბული"
"ნაირა მარგველაშვილი","მიჩურინის ქ. 13, ფოთი"
"მეგი შარიქაძე","ნოვოროსისკის ქ. 90, ბორჯომი"
"მარინე კერესელიძე","ენგურის ქ. 93, ლანჩხუთი"
"ფიქრია გურეშიძე","გრანელი ტერენტის ქ. 42, ვანი"
"რომან ბასილაშვილი","ბაქრაძე დავითის ქ. 78, გარდაბანი"
"სოსო ქაჯაია","თეძმის ქ. 56, რუსთავი"
"გიგლა კობახიძე","მანიჯაშვილი კახას ქ. 63, გუდაუთა"
"ირმა გოგოხია","ცხვედაძის ქ. 30, მცხეთა"
"კონსტანტინე გოგიაშვილი","ჟორესის ქ. 33, დმანისი"
"ზურაბ ლომიძე","რიწის ქ. 66, ბორჯომი"
"თინა ჟორჟოლიანი","სევანის ქ. 21, ცაგერი"
"ნინო შენგელია","ლესელიძის ქ. 75, ბათუმი"
"თამარ მანაგაძე","ლეჩხუმის ქ. 15, გალი"
"ამირან ჭელიძე","ბექა ოპიზარის ქ. 60, წალენჯიხა"
"ელმირა შათირიშვილი","ცაბაძე გიორგის ქ. 92, ხონი"
"მარინე ნადირაძე","ლამის ქ. 64, ცაგერი"
"თამაზ ასათიანი","საადის ქ. 33, მარნეული"
"არჩილ ბასილაშვილი","ჩუბინიძის ქ. 78, სენაკი"
"კონსტანტინე გოგინაშვილი","ოსეთის ქ. 13, გუდაუთა"
"ლილი ლომსაძე","სიონის ქ. 71, ახალქალაქი"
"კარლო ხურციძე","სათემოს ქ. 85, ჯვარი"
"ოლია კვაჭაძე","როსტომაშვილის ქ. 49, თერჯოლა"
"სუსანა ბიწაძე","აბუსერიძე-ტბელის ქ. 96, ბორჯომი"
"ლაშა გრძელიშვილი","ნაქერალას ქ. 63, ცაგერი"
"თინათინ გეგეშიძე","ბარათაშვილის ქ. 17, ქუთაისი"
"გოდერძი ნაცვლიშვილი","იერუსალიმის ქ. 38, დუშეთი"
"თამარა კვირკველია","ნოვოროსისკის ქ. 99, დმანისი"
"შაქრო არველაძე","ბუხაიძის ქ. 42, გურჯაანი"
"კონსტანტინე დალაქიშვილი","კოდორის ქ. 33, მარნეული"
"გოგა ბალიაშვილი","ქსნის ქ. 70, ყვარელი"
"მირიან ჯანჯღავა","გვაზაურის ქ. 02, გაგრა"
"ჯონი ჯიბლაძე","ფოსტის ქ. 88, ბორჯომი"
"ლიზა მერებაშვილი","ამირანაშვილი პეტრეს ქ. 71, წალკა"
"გიგა სიხარულიძე","შერვაშიძის ქ. 21, მარტვილი"
"ნათია ჩაფიძე","კოდალოს ქ. 12, ახალი ათონი"
"ჟუჟუნა რამიშვილი","გოგიბერიძის ქ. 26, ზესტაფონი"
"მინდია მოდებაძე","ტაბიძე ტიციანის ქ. 66, აბაშა"
"ბიძინა ახალაძე","ლამისყანის ქ. 95, გუდაუთა"
"კონსტანტინე იაშვილი","ტანძიის ქ. 83, დედოფლისწყარო"
"იზა დალაქიშვილი","მეგრელაძის ქ. 02, ოჩამჩირე"
"ვენერა კუხიანიძე","ჭიათურის ქ. 24, სოხუმი"
"გოგა შონია","გუმათის ქ. 22, ოჩამჩირე"
"რობერტ ნატროშვილი","კიშინიოვის ქ. 34, თეთრიწყარო"
"ირმა ფუტკარაძე","ლესია უკრაინკას ქ. 71, ჭიათურა"
"თამარი ნუცუბიძე","ვორონინის ქ. 33, ვანი"
"ლენა მიქავა","საირმის ქ. 19, ქობულეთი"
"სოფიკო ბექაური","ნიორაძის ქ. 61, მარნეული"
"ლალი გაგნიძე","ლებარდეს ქ. 45, წყალტუბო"
"კონსტანტინე კუპრეიშვილი","სარკინეთის ქ. 49, ახალციხე"
"იოსებ ინასარიძე","ვაზიანის ქ. 48, ყვარელი"
"თამაზ გვასალია","სამურზაყანოს ქ. 43, ოზურგეთი"
"ჟენია კვერნაძე","შავსოფელის ქ. 01, საგარეჯო"
"ნაზი კოპაძე","ხოშარაულის ქ. 20, ახალციხე"
"რიტა გრძელიშვილი","ონის ქ. 98, ოზურგეთი"
"ნადია ჯანელიძე","თოფურიას ქ. 68, ბაღდათი"
"ნაზიკო გაგუა","ზვარეთის ქ. 13, საგარეჯო"
"მამუკა ჯანიაშვილი","მეველეს ქ. 50, დედოფლისწყარო"
"კობა კოხრეიძე","პაიჭაძის ქ. 00, ჯვარი"
"კონსტანტინე პაპუაშვილი","ართვინის ქ. 04, ფოთი"
"გოგიტა ბახტაძე","ხვანჭკარის ქ. 76, ონი"
"ბორის ტაკიძე","კიშინიოვის ქ. 43, ტყვარჩელი"
"გოდერძი დალაქიშვილი","უმიკაშვილის ქ. 23, ახალციხე"
"ნანი ხაჭაპურიძე","დელისის ქ. 96, ზესტაფონი"
"იოსებ სარალიძე","ადიგენის ქ. 47, წნორი"
"გვანცა ქაჯაია","ხოშარაულის ქ. 17, ქობულეთი"
"ზურაბ ავალიანი","პასტერის ქ. 52, სოხუმი"
"არჩილ თედორაძე","მეჯვრისხევის ქ. 51, ცხინვალი"
"გოდერძი გაგნიძე","ტატიშვილის ქ. 83, მცხეთა"
"კონსტანტინე ჟღენტი","ნადირაძე კოლაუს ქ. 53, ბათუმი"
"ირაკლი მიქელაძე","ახუნდოვის ქ. 83, სენაკი"
"ვენერა ხაჩატურიანი","მეჯვრისხევის ქ. 99, ზუგდიდი"
"რიტა ავალიანი","ქობულეთის ქ. 08, ონი"
"თორნიკე გოგოხია","ცხრა ძმის ქ. 16, ბორჯომი"
"ნანული მჭედლიშვილი","სამგორის ქ. 58, ლაგოდეხი"
"ფატი ფიფია","ზოვრეთის ქ. 11, გუდაუთა"
"თამთა კაპანაძე","ახვლედიანის ქ. 04, ხაშური"
"ხატია ბიწაძე","აგლაძე რაფიელის ქ. 46, გაგრა"
"ციცინო ჩხარტიშვილი","ახტალის ქ. 63, ვალე"
"კონსტანტინე ტყემალაძე","ტაბიძე ტიციანის ქ. 54, ბოლნისი"
"რუსუდან მეგრელიშვილი","ხაჩატურიანის ქ. 72, ქუთაისი"
"კახაბერ ჩხეიძე","ფირდოუსის ქ. 73, გაგრა"
"ანა ინასარიძე","მაცესტის ქ. 45, ვალე"
"კონსტანტინე სვანიძე","სუნდუკიანის ქ. 60, ლანჩხუთი"
"ციური ოქროპირიძე","გიორგი ბრწყინვალის ქ. 87, საგარეჯო"
"კახაბერ კალანდია","ტირიფონის ქ. 63, ქობულეთი"
"ჟანა კვირიკაშვილი","დიდხევის ქ. 76, წნორი"
"გოჩა ჩხეიძე","ჟინვალის ქ. 46, ბორჯომი"
"ელისო რუხაძე","ქვიშხეთის ქ. 22, ცაგერი"
"კონსტანტინე ფერაძე","ისნის ქ. 61, ბორჯომი"
"ზვიად ჯავახიშვილი","ვარდისუბნის ქ. 75, სიღნაღი"
"რიტა ცანავა","დოლიძის ქ. 95, ხაშური"
"ალა ღურწკაია","ლებარდეს ქ. 35, თეთრიწყარო"
"ომარ გოგიაშვილი","მარუაშვილი გიორგის ქ. 44, ნინოწმინდა"
"მარინე პატარაია","ირგვლივის ქ. 01, ონი"
"ციალა ირემაშვილი","კოდალოს ქ. 41, ახალი ათონი"
"გოგი კიკვაძე","ბესიკის ქ. 87, ლაგოდეხი"
"ზვიად კილაძე","დუშეთის ქ. 26, ხაშური"
"ლანა ფეიქრიშვილი","ნიორაძის ქ. 53, ვანი"
"კონსტანტინე ქარცივაძე","წურწუმიას ქ. 33, ყვარელი"
"ზაზა გოგიჩაიშვილი","ორხევის ქ. 99, წალკა"
"ვალენტინა ჩაფიძე","ქედის ქ. 39, სამტრედია"
"ლამარა ჯოხაძე","იდუმალას ქ. 38, ქობულეთი"
"დემურ კობაიძე","ჩეხოვის ქ. 56, გორი"
"არმენ ქორიძე","ოძელაშვილის ქ. 64, ცხინვალი"
"ვახტანგ როგავა","ქუმსიაშვილის ქ. 60, სიღნაღი"
"ნატო წიქარიშვილი","ლომონოსოვის ქ. 95, სენაკი"
"აკაკი შელია","გომის ქ. 64, ახმეტა"
"ვერა შენგელია","წალკის ქ. 35, ტყიბული"
"კონსტანტინე ქუთათელაძე","ფალიაშვილის ქ. 26, ბაღდათი"
"ციური სარქისიანი","სტურუას ქ. 09, ბოლნისი"
"ვაჟა ტურაშვილი","ბააზოვის ქ. 49, დედოფლისწყარო"
"სოფიკო ხუციშვილი","ვასაძის ქ. 07, ონი"
"ნუგზარ დვალიშვილი","წრომის ქ. 25, თბილისი"
"ია ლოლაძე","გონაშვილი ჰამლეტის ქ. 79, ქუთაისი"
"ჯულიეტა ყიფიანი","მუხაძის ქ. 59, გარდაბანი"
"ნაზი უგრეხელიძე","ნუცუბიძის ქ. 56, ქობულეთი"
"რუსუდან რობაქიძე","მამასახლისოვის ქ. 32, ამბროლაური"
"გოდერძი ბუჩუკური","მელაანის ქ. 15, რუსთავი"
"კონსტანტინე შონია","მიროტაძის ქ. 26, ბოლნისი"
"ნუგზარ ყიფიანი","ზანდუკელი მიხეილის ქ. 93, საგარეჯო"
"მურმან ტყებუჩავა","ტიბაანის ქ. 04, ტყვარჩელი"
"ბიძინა კვაჭაძე","გიორგაძის ქ. 43, ვანი"
"ბესიკ კალანდია","თეკლათის ქ. 21, წალკა"
"შოთა ჩიხლაძე","ვაშლოვანის ქ. 90, ყვარელი"
"სოფიკო თევზაძე","ჩოლოყაშვილი ქაიხოსროს ქ. 14, გუდაუთა"
"სვეტლანა მათიაშვილი","ლ. ელიავას ქ. 54, ონი"
"არმენ გაჩეჩილაძე","გუთნის ქ. 06, ახალციხე"
"თათია გაჯიევი","ბექა ოპიზარის ქ. 60, წალკა"
"კონსტანტინე შუკაკიძე","შროშის ქ. 66, ახალი ათონი"
"ეკა მაღრაძე","ჯანაშვილის ქ. 38, ონი"
"სოსო გოგიაშვილი","ჭიაურელი მიხეილის ქ. 99, ბოლნისი"
"მინდია კახაძე","შირაქის ქ. 62, სენაკი"
"რევაზ ვარშანიძე","ტყავის ქ. 42, ქობულეთი"
"ნუნუ ვეკუა","კობახიძის ქ. 56, მარტვილი"
"ჯუმბერ ხარშილაძე","ავლაბრის ქ. 38, წალკა"
"კობა ხარებავა","ძეგამის ქ. 97, სიღნაღი"
"მარინა გოგიჩაშვილი","კუპრაძის ქ. 14, ახალქალაქი"
"ამირან ვარდოსანიძე","ფანასკერტელ-ციციშვილის ქ. 06, გაგრა"
"კონსტანტინე ცარციძე","ტუსკიას ქ. 43, ონი"
"თენგიზ ბარამიძე","აწყურის ქ. 77, მცხეთა"
"იაგო ჩაკვეტაძე","ჭრებალოს ქ. 46, მცხეთა"
"მარგალიტა ალიევი","დიუმა ალექსანდრეს ქ. 35, ყვარელი"
"მერი ჟორჟოლიანი","ჭონქაძე დანიელის ქ. 43, დუშეთი"
"ანნა შარიქაძე","თუმანიანის ქ. 24, ხაშური"
"შაქრო მინდიაშვილი","მიჩურინის ქ. 86, სენაკი"
"თენგიზ ლომიძე","მარტვილის ქ. 22, ქობულეთი"
"ხათუნა საჯაია","ხაბეიშვილის ქ. 52, დუშეთი"
"ვალენტინა სილაგაძე","მაღაროს ქ. 08, წალენჯიხა"
"ლალი კაკულია","ზოვრეთის ქ. 75, ლანჩხუთი"
"მარინე ჩაჩუა","გრანელი ტერენტის ქ. 22, საგარეჯო"
"სოფიკო ბექაური","უზნაძის ქ. 01, მარტვილი"
"ბორის ჩაჩანიძე","ედისის ქ. 15, თეთრიწყარო"
"ტარიელ ჭიღლაძე","სამამულო ომის გმირების ქ. 77, ქობულეთი"
"სოფიო არაბული","სამგორის ქ. 07, მარნეული"
"ელმირა ქევხიშვილი","შირაქის ქ. 87, გარდაბანი"
"მერაბ კაკაურიძე","გაბაშვილი ეკატერინეს ქ. 31, ოზურგეთი"
"მეგი კოპაძე","მანავის ქ. 52, სამტრედია"
"გულნარა სულაბერიძე","ზედამზის ქ. 54, გარდაბანი"
"ლალი ლაბაძე","ახვლედიანი გიორგის ქ. 71, ჭიათურა"
"ბიძინა ღვინიაშვილი","ნოვოროსისკის ქ. 73, გორი"
"არჩილ ფარცვანია","ბეჟანიშვილი ეკას ქ. 44, ამბროლაური"
"ვლადიმერ გაჩეჩილაძე","ჩუბინაშვილი გიორგის ქ. 03, საგარეჯო"
"ქეთევან ჭანტურიძე","რიონჰესის ქ. 13, ოზურგეთი"
"თათია ჭინჭარაული","პუშკინი ალექსანდრეს ქ. 52, ოჩამჩირე"
"გვანცა ქურდაძე","წყალსადენის ქ. 27, ამბროლაური"
"კონსტანტინე ფხაკაძე","ტყვარჩელის ქ. 84, ნინოწმინდა"
"ვლადიმერ გოგოლაძე","უზნაძე დიმიტრის ქ. 29, ცხინვალი"
"გენადი დევიძე","ბარათაშვილის ქ. 41, ბათუმი"
"ლალი მაღლაკელიძე","აფანასიევის ქ. 69, ოზურგეთი"
"ანა ხიზანიშვილი","ბეჟანიშვილი ეკას ქ. 81, ახალი ათონი"
"ლია ქირია","უიარაღოს ქ. 73, ვანი"
"ტარიელ ქევხიშვილი","ბულაჩაურის ქ. 38, ბორჯომი"
"ლალი ალიევა","მიჩურინის ქ. 73, ოზურგეთი"
"თამარი მიქავა","ჰოსპიტალის ქ. 91, ბათუმი"
"ევგენია ლომსაძე","ნიკოლაძე ნიკოს ქ. 11, ხობი"
"ელგუჯა ასანიძე","კედია სპირიდონის ქ. 90, სამტრედია"
"ბადრი გაბუნია","იზაშვილის ქ. 95, სოხუმი"
"კობა ხვედელიძე","კურსკის ქ. 42, საჩხერე"
"ლალი სიხარულიძე","ენგურის ქ. 50, სამტრედია"
"კონსტანტინე ტყეშელაშვილი","ტყეკულტურის ქ. 45, ახალციხე"
"შაქრო ჭაღალიძე","ვანის ქ. 57, ახალქალაქი"
"ემზარ მუსტაფაევა","ოსეთის ქ. 15, ცხინვალი"
"სიმონ სულაბერიძე","ვერჰარნის ქ. 34, ტყიბული"
"ასლან ჭინჭარაული","უნივერსიტეტის ქ. 49, გარდაბანი"
"აკაკი კაციტაძე","წურწუმიას ქ. 22, გაგრა"
"ედუარდ ელიზბარაშვილი","არმაზის ქ. 19, ლაგოდეხი"
"ირინა ილურიძე","ბოტანიკურის ქ. 88, წალენჯიხა"
"გოდერძი კობერიძე","საქარის ქ. 65, წალენჯიხა"
"ლალი ურუშაძე","ხაბეიშვილის ქ. 77, ლაგოდეხი"
"დალი ბერიძე","ლამის ქ. 68, ხობი"
"ჯემალ კირკიტაძე","ფიროსმანის ქ. 82, საგარეჯო"
"ლარისა ხაჩიძე","ვასაძის ქ. 18, წალკა"
"ნოდარ კიკვაძე","კოჯრის ქ. 97, ბორჯომი"
"იზოლდა ბერიძე","ტაბახმელას ქ. 39, გალი"
"ირინა კალანდია","აბანოს ქ. 76, წალენჯიხა"
"რეზო თავაძე","შხეფის ქ. 67, ხონი"
"პეტრე ჩიქოვანი","წურწუმიას ქ. 72, ხობი"
"ნუცა ლობჟანიძე","ხაბეიშვილის ქ. 41, რუსთავი"
"ლამარა ბლიაძე","ხონის ქ. 99, წალკა"
"ელგუჯა მეფარიშვილი","წინანდლის ქ. 30, თელავი"
"ნონა რაზმაძე","გუმბრის ქ. 70, თეთრიწყარო"
"გულიკო ფანცულაია","რკინის ქ. 28, ჯვარი"
"ოლია გაგნიძე","მანავის ქ. 78, თელავი"
"ელენე კიკნაძე","მეველეს ქ. 17, ახალქალაქი"
"ლაშა ბერუაშვილი","ლომონოსოვის ქ. 12, ახმეტა"
"ნანული მოდებაძე","ზეკარის ქ. 97, თერჯოლა"
"ლენა ქურდაძე","კავსაძის ქ. 78, მარტვილი"
"იოსებ ბალიაშვილი","ტიბაანის ქ. 67, ხობი"
"ლამარა გაბუნია","კაპანაძის ქ. 95, თერჯოლა"
"გვანცა მუსტაფაევი","ტატიშვილი ერეკლეს ქ. 16, თერჯოლა"
"ვახტანგ გოგუა","ხერხეულიძეების ქ. 52, ტყიბული"
"ციური სალუქვაძე","რკინიგზის ქ. 89, ტყიბული"
"შაქრო მეფარიშვილი","სალხინოს ქ. 46, სამტრედია"
"ელგუჯა ხოზრევანიძე","ნანეიშვილი ვიქტორის ქ. 48, ზესტაფონი"
"მერი შეყილაძე","კიკეთის ქ. 16, ოზურგეთი"
"მარინა აფციაური","გიორგი ბრწყინვალის ქ. 04, ონი"
"ლია კუჭუხიძე","ჭოროხის ქ. 25, წალენჯიხა"
"შორენა გოგიაშვილი","სარაჯიშვილი პეტრეს ქ. 99, დმანისი"
"ლამარა გურული","მარუხის გმირების ქ. 62, გუდაუთა"
"ბორის მაღრაძე","ბევრეთის ქ. 02, ტყვარჩელი"
"ტატიანა ოქრუაშვილი","არმაზის ქ. 31, ტყიბული"
"ზოია თოდუა","რადიანი შალვას ქ. 45, გორი"
"გიული ჟღენტი","ბუღეულის ქ. 02, ოჩამჩირე"
"დიანა დავითაძე","ყიფიანის ქ. 26, მარტვილი"
"ვალერიან გაგნიძე","ტოლსტონოგოვის ქ. 70, სენაკი"
"ციალა საჯაია","კასპის ქ. 67, სენაკი"
"ელენე ქართველიშვილი","მამკოდის ქ. 77, წყალტუბო"
"ჯემალ დემეტრაშვილი","გამრეკელის ქ. 94, თელავი"
"ლამარა მუსაევა","უჯარმის ქ. 95, მცხეთა"
"ზაურ დიასამიძე","ღრმაღელეს ქ. 47, ხობი"
"მეგი მუშკუდიანი","ტაშკენტის ქ. 82, ახალქალაქი"
"ირინე ჯიშკარიანი","აბოვიანის ქ. 65, ოჩამჩირე"
"ალექს გაჯიევი","ბოლნისის ქ. 49, მარტვილი"
"ნიკა ლაგვილავა","ხვამლის ქ. 88, სამტრედია"
"მერი ხარჩილავა","დობროლიუბოვის ქ. 93, დუშეთი"
"ზაქარია გოგიშვილი","შილდის ქ. 44, ახმეტა"
"სონია დემეტრაშვილი","გოგჩის ქ. 97, გარდაბანი"
"თეიმურაზ კუჭავა","ბზიფის ქ. 97, სოხუმი"
"ლამარა მჭედლიძე","სამამულო ომის გმირების ქ. 92, აბაშა"
