ავთანდილ ელიზბარაშვი18 
პავლე ქურდაძე       5  
კარლო გაჩეჩილაძე    3  
შოთა ყურაშვილი      9  
მედეა სხირტლაძე     18 
ვალენტინა ტყეშელაშვი7  
ბექა კონცელიძე      2  
იზოლდა მოდებაძე     10 
თამილა ბეგიაშვილი   5  
ნარგიზა ადეიშვილი   2
იამზე ხიზანიშვილი   12 
გია ჯავახიშვილი     1  
ირინა ხატიაშვილი    10 
ირაკლი მეგრელიშვილი 13 
ბესიკ დვალი         20 
ვალერიან რამიშვილი  3  
ემზარ დიასამიძე     5  
ომარ დევაძე         8  
ნოდარ ბარამიძე      16 
მაია კინწურაშვილი   12
იამზე ხურციძე       0  
ნარგიზა ხაჭაპურიძე  15 
ნათია ფუტკარაძე     16 
ოლღა ქარცივაძე      2  
რომან კახიძე        8  
ბექა ახალაძე        1  
მალხაზ პაპიძე       20 
ირაკლი ფიცხელაური   3  
ამირან ხარაიშვილი   1  
ნუნუ გუჯაბიძე       1
ივანე გვაზავა       11 
ლარისა სანიკიძე     14 
ჯემალ კაპანაძე      2  
ლუდმილა ტყეშელაშვილი19 
იოსებ მღებრიშვილი   2  
დალი გოგიჩაიშვილი   8  
ოლია გაჯიევა        3  
ვახტანგ კილაძე      17 
ხატია ცირეკიძე      19 
დოდო მარგველაშვილი  5
ივანე დვალი         10 
ნატალია მაზმიშვილი  12 
გიგა კირვალიძე      17 
მადონა პაპავა       8  
ირმა ღვინჯილია      17 
ლევან ბარბაქაძე     11 
ელისო მჭედლიძე      15 
ია წიკლაური         19 
ნადეჯდა პაპიაშვილი  18 
ნადეჯდა იმერლიშვილი 9
ივანე ვასაძე        9  
ოთარ არველაძე       13 
შოთა ცეცხლაძე       15 
ნათია მეტრეველი     10 
ანჟელა ღონღაძე      14 
ევგენია ხარშილაძე   12 
ნოდარ თურმანიძე     11 
მარია კაზარიანი     14 
სოფიკო მიმინოშვილი  0  
გიული პაპიაშვილი    19
ივანე ზარანდია      8  
ივანე მუსტაფაევი    4  
უჩა ახალაია         0  
სოსო ბლიაძე         15 
ასმათ კვინიკაძე     18 
ჟუჟუნა ბერულავა     12 
ვალერიან ცაავა      6  
დავით გვენეტაძე     15 
ლანა ბუკია          19 
ლეილა ალიევა        3
ივანე თაბაგარი      14 
ასლან გოგალაძე      3  
ფატიმა ხარაზიშვილი  17 
ვალენტინა შათირიშვილ0  
ვერიკო ქანთარია     19 
ჯულიეტა ბიწაძე      20 
ევგენია დავითაძე    16 
ციცინო გიორგაძე     3  
ფატიმა გაფრინდაშვილი19 
მურმან ნატროშვილი   1
ივანე კვირკველია    20 
რამაზ გოგალაძე      3  
ზურაბ ჩუბინიძე      11 
ლევან ჩუბინიძე      10 
ნატო სამუშია        11 
გელა გურეშიძე       0  
დათო ილურიძე        11 
სალომე ღურწკაია     16 
მარო დანელია        10 
არჩილ ჯოჯუა         16
ივანე მგალობლიშვილი 20 
ნელი არველაძე       4  
ზვიად ჯანჯღავა      3  
ნატო ხოზრევანიძე    2  
გულიკო ფხალაძე      12 
რუსუდან ქარდავა     11 
გულნარა ფიფია       4  
მარია კევლიშვილი    6  
ხვიჩა მელიქიძე      5  
მურმან შალამბერიძე  8
ივანე მეგრელიშვილი  8  
ვენერა მაჭავარიანი  8  
კარლო ფხაკაძე       18 
თამარი ვარშანიძე    15 
შალვა ჭინჭარაული    1  
ელენა ლორთქიფანიძე  3  
ასლან პატარაია      7  
იური დავითაძე       5  
სოსო ყურაშვილი      4  
თამაზ კაჭარავა      5
ივანე მოსიაშვილი    10 
ციალა გოგოლაძე      15 
ჯუმბერ ჭელიძე       15 
ლამარა ქამადაძე     9  
კახაბერ ისაევი      6  
ხვიჩა დვალიშვილი    1  
იური გეგეშიძე       6  
კარინე წიკლაური     7  
რატი ძიძიგური       15 
მეგი გოგიშვილი      11
ივანე ნუცუბიძე      12 
ელისო გვენეტაძე     4  
ჟანა ლობჟანიძე      1  
ვენერა ქავთარაძე    16 
ასლან პეტრიაშვილი   6  
გოდერძი ჩხეიძე      2  
გოჩა კვინიკაძე      10 
მამუკა გაჩეჩილაძე   4  
ლიანა აბრამიშვილი   18 
მურმან ბრეგაძე      20
იზა კაპანაძე        18 
დათო გოგიძე         14 
ბადრი ნეფარიძე      3  
არტურ კალანდია      3  
სონია კიკნაძე       15 
ვაჟა ტყეშელაშვილი   17 
ფატი პაპავა         17 
თამაზ ჯიქია         17 
როზა თევზაძე        10 
თამარა ჭეიშვილი     8
იზა კაციტაძე        6  
დავით ჩადუნელი      18 
სოფიო გუმბერიძე     3  
გუგული ქაჯაია       2  
ზაურ გაჯიევი        3  
არმენ გაგნიძე       18 
ვალენტინა ჩხარტიშვილ16 
ნოდარ აბაშიძე       4  
მურმან მაზმიშვილი   11 
როინ კიკვაძე        13
იზა სიმონიშვილი     7  
სერგო გოგია         17 
სოსო ძიძიგური       20 
მურთაზ მამალაძე     17 
მადონა მანაგაძე     8  
მედეა კვირკველია    20 
მამუკა ბერიშვილი    6  
შორენა გაჯიევა      6  
ქეთევან კუხიანიძე   3  
სოფიკო შონია        15
იზა ქუთათელაძე      7  
მაყვალა ჭკადუა      10 
თორნიკე არაბული     18 
ქეთინო სიმონიშვილი  16 
პაატა სიმონიშვილი   4  
რატი ტყეშელაშვილი   12 
კახაბერ ხოზრევანიძე 8  
ასლან ფოფხაძე       11 
ლიკა ჯანიაშვილი     13 
გოგიტა სიმონიშვილი  11
იზა წულუკიძე        1  
შაქრო ქარცივაძე     20 
ნაზი ბეგიაშვილი     12 
ლიზა წურწუმია       10 
მთვარისა მიმინოშვილი7  
რობერტ გოცირიძე     0  
გოგა ბერუაშვილი     17 
დიმიტრი გორგილაძე   10 
მერი ბოკუჩავა       7  
როინ ზარქუა         14
იზოლდა ბიბილაშვილი  17 
მეგი ალიევა         2  
გოდერძი ხარებავა    7  
იური ქურდაძე        18 
ხვიჩა ცომაია        11 
ნაზიბროლა პაპავა    0  
თამარ ადამია        17 
ირმა ქობულაძე       19 
ვალენტინა გელაშვილი 17 
ვარდო კაკაურიძე     5
იზოლდა ვალიევი      10 
ლეილა დავითაშვილი   13 
ირინე ჩაჩუა         12 
მარიკა კვერნაძე     16 
სიმონ მახათაძე      2  
მურთაზ გოგიაშვილი   19 
ინგა კაკაბაძე       8  
თათია ჭკადუა        4  
ვახტანგ ბერიანიძე   1  
გენადი მელიქიშვილი  19
იზოლდა ირემაძე      9  
ზაზა ანდღულაძე      7  
სულიკო ფიფია        10 
დარეჯან ლაბაძე      0  
ნუგზარ ტყემალაძე    4  
ალექს ლობჯანიძე     5  
ზაზა ლეჟავა         11 
მაკა წურწუმია       9  
ბექა ინასარიძე      1  
ლელა ცხადაძე        5
იზოლდა კილაძე       5  
დიანა შათირიშვილი   0  
ვანო ჩუბინიძე       17 
თამილა ღურწკაია     4  
კლარა გოგიჩაშვილი   9  
ევგენია თოდუა       3  
თამთა კოპაძე        2  
ჟუჟუნა ჯღარკავა     0  
მანანა ჯანაშია      2  
დავით მუსტაფაევი    1
იზოლდა ტურაშვილი    9  
მაია ბრეგვაძე       6  
ინგა ჯავახიშვილი    10 
შორენა კობერიძე     7  
ნიკოლოზ ლორთქიფანიძე2  
ემა თურმანიძე       13 
ბესარიონ ადამია     15 
სოსო მუმლაძე        14 
უშანგი ჭითანავა     8  
ოლია კაპანაძე       15
იზოლდა შაინიძე      4  
ანიკო თაბაგარი      7  
უჩა მესხი           8  
კარლო ნებიერიძე     18 
მინდია ხვედელიძე    18 
ნაზიკო გოგინაშვილი  3  
თამუნა წულუკიძე     18 
მიხეილ ტყებუჩავა    14 
აკაკი მელაძე        6  
ნაზი კერესელიძე     11
იზოლდა ჩაკვეტაძე    19 
გურამ მჭედლიძე      18 
ფიქრია ტყებუჩავა    17 
ელზა ქორიძე         14 
მამუკა კარაპეტიანი  12 
იოსებ ქარდავა       10 
ბელა მახარაშვილი    19 
კარინე მამალაძე     0  
ლიდა ფხაკაძე        6  
თეონა ნადირაშვილი   0
იზოლდა ჯღარკავა     0  
ლიდა ქობალია        4  
ნუგზარ ლობჯანიძე    7  
თეონა არველაძე      7  
ქეთევან კონცელიძე   19 
ნადეჯდა გაგუა       12 
ნიკოლოზ ბერულავა    3  
რევაზ დარბაიძე      8  
ჯონი ყოლბაია        8  
დიანა ბოჭორიშვილი   14
ილია ბაქრაძე        19 
ზვიად შუკაკიძე      8  
გოგიტა ნატროშვილი   7  
ვაჟა ალანია         9  
ნადეჯდა მელიქიძე    10 
დალი ილურიძე        5  
ბიძინა ბასილაშვილი  17 
ნუცა წიკლაური       5  
მაკა მერებაშვილი    14 
მაია ბეჟანიძე       6
ილია გოცირიძე       12 
ნესტან კვინიკაძე    12 
გოგი რობაქიძე       17 
მირიან აბულაძე      6  
რეზო ჩოხელი         1  
ნიკა ჩაფიძე         3  
გენადი ქამადაძე     8  
მთვარისა ფიფია      9  
იზოლდა ჭითანავა     3  
ლუდმილა ბერულავა    18
ილია ელიზბარაშვილი  16 
არჩილ ვაშაყმაძე     9  
დარეჯან დავითაძე    0  
ციური მიქავა        0  
ვაჟა სანიკიძე       20 
ლამზირა კილაძე      19 
ლიდა სიმონიშვილი    5  
ანიკო თედორაძე      15 
ვალენტინა მუსაევა   16 
შალვა ხალვაში       13
ილია იმნაძე         20 
სოფია კილაძე        3  
ლამზირა მუმლაძე     19 
კობა ალიევი         12 
იაგო წულაია         19 
გიორგი ფიფია        17 
ბესარიონ ნარიმანიძე 1  
ჯონი ხარაზიშვილი    12 
ჟანა ცომაია         15 
ვლადიმერ მოსიაშვილი 6
ილია კუბლაშვილი     7  
ვაჟა გურგენიძე      14 
ჟენია ფუტკარაძე     14 
თინა ბასილაშვილი    13 
ლარისა ქუთათელაძე   18 
მამუკა კუბლაშვილი   8  
ელგუჯა ჯანელიძე     19 
გოგიტა კუხიანიძე    13 
კონსტანტინე მარგველა10 
არჩილ ზარიძე        9
ილია კუპრეიშვილი    7  
ტარიელ მელიქიშვილი  20 
გივი კუჭუხიძე       3  
ლუბა კირთაძე        10 
იზოლდა ქარდავა      20 
ნაირა ჟორჟოლიანი    13 
იური დუმბაძე        0  
მერი იობიძე         12 
ზაზა ნიჟარაძე       12 
ვაჟა კვერნაძე       0
ილია ქანთარია       2  
არმენ ჯაიანი        3  
ნოდარ დუმბაძე       16 
ნათია რევაზიშვილი   4  
კონსტანტინე ალანია  0  
ხვიჩა ჭუმბურიძე     11 
ნუკრი სიჭინავა      4  
დალი სამუშია        0  
შორენა გოგიჩაიშვილი 7  
რატი ზურაბაშვილი    17
ინგა ბუკია          3  
ოლია კალანდაძე      12 
შალვა მიქელაძე      19 
აიდა ნუცუბიძე       12 
პეტრე ზარანდია      6  
ბიძინა ფანცულაია    1  
ზვიად მუსაევი       16 
როინ როსტიაშვილი    2  
გოგიტა ხვედელიძე    15 
მალხაზ ბიგვავა      4
ინგა მანაგაძე       3  
ნადია ხარშილაძე     11 
მთვარისა ფუტკარაძე  6  
გალინა ჩიქოვანი     12 
ჟანა დოლიძე         19 
ნიკოლოზ ჩიხლაძე     11 
ასლან ვეკუა         12 
ზურაბ აბაშიძე       19 
სოსო მერაბიშვილი    8  
ციური უგრეხელიძე    4
ინგა ფუტკარაძე      2  
ქეთევან ჭიღლაძე     4  
ნუცა კუპატაძე       17 
ლია ქათამაძე        6  
ლანა სიხარულიძე     6  
დემურ ქობალია       2  
ჯონი ლომთაძე        8  
შორენა ნაკაშიძე     13 
აიდა გოგიჩაიშვილი   14 
ზაქარია კაცაძე      4
ინგა ქევხიშვილი     9  
ლევან ღვინჯილია     2  
ილია ქაჯაია         17 
მარინე ვასაძე       10 
მერაბ კვარაცხელია   12 
თემურ გრძელიშვილი   4  
ოთარ კობერიძე       6  
გელა ქობულაძე       20 
უშანგი ჭანტურიძე    6  
ვანო ძნელაძე        0
ინგა ჩხიკვაძე       18 
სიმონ შეყილაძე      17 
ლალი დარბაიძე       10 
ბექა ღარიბაშვილი    18 
ბესარიონ ტურაშვილი  9  
რევაზ დავითაშვილი   10 
ოთარ ანდღულაძე      15 
რატი ბლიაძე         5  
თორნიკე მინდიაშვილი 8  
ლარისა თურმანიძე    12
ინგა ხარატიშვილი    12 
ამირან ალიევი       13 
მარინე ჭინჭარაული   8  
თორნიკე ძნელაძე     3  
ჯონი დოლიძე         19 
იამზე ბალიაშვილი    16 
ვიოლეტა ბოლქვაძე    6  
არტურ დალაქიშვილი   12 
ანა მამულაშვილი     8  
თინათინ ძიძიგური    6
ინეზა აბაშიძე       15 
პეტრე მეგრელიშვილი  13 
რუსუდან ჩხიკვაძე    10 
როინ ზარანდია       12 
აზა კეკელიძე        14 
ცირა ტაკიძე         7  
რიმა ტალახაძე       4  
ნინო რუხაძე         12 
ზინა ელბაქიძე       8  
მინდია ლეჟავა       11
ინეზა ბენდელიანი    11 
ივანე ასანიძე       17 
ოლღა ტყებუჩავა      5  
მარინე ბარამიძე     7  
ანა კუპრაშვილი      7  
მარო ბერულავა       2  
გრიგოლ მუსტაფაევი   18 
ზაქარია კირკიტაძე   20 
ანჟელა მამულაძე     0  
გოჩა მუსაევა        5
ინეზა გრძელიშვილი   4  
კობა ბალიაშვილი     15 
ამირან შეყილაძე     7  
ევგენია ნებიერიძე   15 
თამაზ ნაბიევი       5  
ომარ გველესიანი     7  
გუგული პაპავა       4  
ნოდარ ლაბაძე        12 
მარია ღვინჯილია     16 
ლუბა ანდღულაძე      17
ინეზა ზურაბაშვილი   1  
ლარისა ილურიძე      6  
თენგიზ კუჭავა       9  
ციური ტყეშელაშვილი  5  
ია კუჭუხიძე         5  
ვალერი გიორგაძე     19 
როინ ავალიანი       11 
რობერტ ბერულავა     17 
იური თოლორდავა      17 
ტარიელ როგავა       4
ინეზა იმნაძე        19 
ლიკა ქავთარაძე      17 
ლანა ნაცვლიშვილი    8  
ვარდო ღამბაშიძე     7  
გიგლა ქარდავა       10 
ნათია ხოზრევანიძე   15 
მირანდა ფანცულაია   18 
ბექა შუბითიძე       6  
ირინა მეგრელიშვილი  14 
სულიკო ბეჟანიშვილი  12
ინეზა ლაბაძე        17 
დალი ხარშილაძე      10 
თამარი ჩხაიძე       12 
მადონა ტაბატაძე     7  
ლუიზა ღურწკაია      2  
ლამარა ჯანჯღავა     2  
დემურ ჭეიშვილი      1  
ზვიად კობახიძე      15 
ოთარ დარბაიძე       5  
მედიკო ქანთარია     20
ინეზა მეგრელიშვილი  3  
ლელა პაპიაშვილი     11 
მადონა აბრამიშვილი  6  
სერგო ძნელაძე       12 
რეზო არაბული        1  
სულიკო ზარქუა       5  
ირმა ბერუაშვილი     4  
რიტა პაპუაშვილი     2  
ირაკლი გორგაძე      18 
სოფიო ბეგიაშვილი    10
ინეზა ტალახაძე      17 
რუსუდან ცინცაძე     7  
ჯემალ ნატროშვილი    18 
თემურ ძნელაძე       13 
ვარდო ჩიქოვანი      8  
ვალერი მაჩიტიძე     15 
ნუკრი ლაგვილავა     12 
სონია წიქარიშვილი   2  
გოჩა ალიევა         9  
თამარ ადუაშვილი     8
ინეზა ხიმშიაშვილი   0  
თამარ გრძელიშვილი   18 
ფიქრია ფიფია        17 
ნათელა ნაკაშიძე     16 
ომარ ნებიერიძე      8  
ლანა კაპანაძე       4  
თინა ფერაძე         13 
კარინე ხატიაშვილი   4  
ვანო კაცაძე         11 
ლაშა ჭაღალიძე       13
იოსებ აბესაძე       6  
ავთანდილ მიქელაძე   12 
ევგენია კობერიძე    12 
ბესიკ კალანდაძე     4  
ჯაბა ფხაკაძე        18 
გიორგი ცაავა        12 
მირანდა ჯალაღონია   10 
გიული პაპიაშვილი    8  
ხათუნა ხორავა       6  
მერი კოპალიანი      13
იოსებ არაბიძე       9  
ზინა ლეჟავა         1  
ვანო გაჯიევი        16 
მარიამ კუპრეიშვილი  20 
ციცინო ხმალაძე      15 
ელგუჯა ჭუმბურიძე    4  
მარგალიტა ტაკიძე    10 
ემა ალიევი          12 
შაქრო გიგაური       18 
პაატა გაჩეჩილაძე    10
იოსებ არაბული       11 
გვანცა მამალაძე     15 
დიმიტრი იმნაძე      4  
თენგიზ მჭედლიშვილი  16 
ნაზი კახაძე         11 
მამუკა ქარცივაძე    16 
იზოლდა ქავთარაძე    20 
კობა გრიგორიანი     12 
რიმა ფხალაძე        12 
არმენ ხარებავა      19
იოსებ ბეჟანიშვილი   2  
ბიძინა დემეტრაშვილი 10 
ნაზი იაშვილი        8  
თეონა ლომიძე        19 
ხათუნა დარბაიძე     2  
ანი ხურციძე         13 
იოსებ კარაპეტიანი   18 
ელენე გაჯიევა       10 
აკაკი სულაბერიძე    17 
ვასილ მელქაძე       2
იოსებ გოგუა         5  
ბორის სურმანიძე     10 
ვარდო მჟავანაძე     18 
პავლე ლომთაძე       14 
ჟანა სარქისიანი     5  
ლარისა ბერაია       0  
თეა ლაცაბიძე        1  
ტარიელ ბერიშვილი    9  
მარინა ჭიჭინაძე     4  
თეიმურაზ კიკნაძე    17
იოსებ კანდელაკი     14 
ალექსანდრე გოგიჩაშვი14 
უშანგი ცეცხლაძე     4  
კარინე სალუქვაძე    6  
დალი ბერუაშვილი     6  
კარლო რობაქიძე      15 
ვეფხვია კირკიტაძე   13 
მირიან ლომიძე       0  
ნადია კირთაძე       4  
მარი ტაბატაძე       2
იოსებ კერესელიძე    10 
სოსო გაგუა          20 
ბორის ქარდავა       2  
თეიმურაზ ქორიძე     12 
დათო გოგია          11 
ბონდო გვასალია      9  
სუსანა კიკნაძე      14 
ლიკა ჯიშკარიანი     7  
მარია ბეჟანიშვილი   11 
რობერტ ნატროშვილი   10
იოსებ კობახიძე      11 
ლალი კილაძე         4  
ლია გუმბერიძე       11 
თემურ გვასალია      6  
ნაზიკო მაჭავარიანი  7  
ელზა ბასილაძე       15 
ნადია ჭკადუა        15 
რამაზ გოგია         13 
რევაზ მგალობლიშვილი 16 
ირაკლი ზარანდია     5
იოსებ კურტანიძე     11 
კლარა ბიწაძე        13 
ჟენია მახათაძე      1  
ნანული ტყემალაძე    10 
თამარი ჯიშკარიანი   15 
კახა მესხი          20 
ვალენტინა ცეცხლაძე  10 
აიდა მელიქიშვილი    7  
რევაზ უგრეხელიძე    7  
გია ლოლაძე          20
იოსებ პაპიაშვილი    12 
შორენა სამხარაძე    3  
დიმიტრი ფეიქრიშვილი 14 
რიტა მჟავანაძე      8  
რატი ვასაძე         1  
გოგიტა სამუშია      10 
მურთაზ გოგოხია      20 
ასლან კუპატაძე      12 
ვიქტორ თოლორდავა    0  
კარინე მინდიაშვილი  2
იოსებ ჭკადუა        19 
კახა მუსაევი        7  
უჩა თავაძე          1  
ლეილა გოგიჩაშვილი   20 
ვანო რაზმაძე        13 
თენგიზ იაშვილი      16 
ცირა წიკლაური       0  
ნოდარ გოგიტიძე      3  
გიორგი ძიძიგური     9  
მადონა შელია        5
ირაკლი კარაპეტიანი  2  
სიმონ შარაშიძე      6  
იური შველიძე        19 
ბადრი მჭედლიშვილი   16 
პაატა ბენდელიანი    14 
ოთარ თაბაგარი       7  
ლელა ხარაიშვილი     10 
მურთაზ ზედგინიძე    8  
ნაზიბროლა წულუკიძე  6  
ნიკა მამულაძე       16
ირაკლი ფხალაძე      20 
გულიკო დავითაშვილი  18 
როინ ბარბაქაძე      12 
ეკატერინე მესხი     7  
ინგა წურწუმია       3  
ნანული ზედგინიძე    14 
მამუკა ჯიშკარიანი   15 
მედიკო ბასილაძე     20 
ელენა ჯიქია         5  
ტატიანა ჭელიძე      0
ირაკლი ჭანტურია     2  
ვიქტორ დალაქიშვილი  12 
ელმირა ალადაშვილი   12 
ნიკოლოზ ჭაღალიძე    0  
დოდო პაპავა         14 
ბონდო ლურსმანაშვილი 17 
ოთარ ხარაზიშვილი    6  
დარეჯან ვეკუა       15 
ნაირა ლომაძე        17 
მამუკა ღამბაშიძე    4
ირინა მახარაძე      7  
ნაზიბროლა ქობალია   4  
ვერიკო ტაკიძე       5  
მაკა ჩაჩანიძე       9  
გულიკო ნიკოლაიშვილი 10 
ნადეჯდა კირვალიძე   8  
მირანდა ჩაფიძე      4  
ნატო ცეცხლაძე       15 
ნატალია მახარაძე    6  
ლევან წულაია        19
ირინა ქამადაძე      4  
ჟანა გაბრიჭიძე      1  
რატი ოქროპირიძე     1  
მურთაზ ქირია        11 
რობერტ ყოლბაია      15 
ალა წულუკიძე        0  
ლუბა ჭეიშვილი       3  
არმენ ხარჩილავა     3  
ციური საჯაია        6  
დათო კოხრეიძე       18
ირინა ხარშილაძე     14 
ილია ცანავა         5  
დარეჯან კუბლაშვილი  18 
ჯუმბერ ანდღულაძე    18 
ელენა გორგილაძე     19 
ნესტან ბლიაძე       0  
მარგალიტა შელია     3  
ირმა ხარშილაძე      2  
გვანცა კუპრეიშვილი  13 
თეონა წულაია        3
ირინა ჯაიანი        15 
ნათია ჩაკვეტაძე     15 
გოგიტა კიკნაძე      2  
კონსტანტინე ჭინჭარაუ9  
ოთარ დევაძე         6  
ლამზირა კევლიშვილი  6  
რიმა ჭანტურიძე      4  
გოჩა გოგუა          8  
თამარა კუპატაძე     19 
ვაჟა არჩვაძე        7
ირინე აბრამიშვილი   1  
გიგლა კიკვაძე       9  
ომარ გაგნიძე        10 
ოთარ მერებაშვილი    13 
ედუარდ გორგილაძე    8  
ნუნუ მაჩიტიძე       6  
ზოია მელქაძე        17 
ფატიმა ჯიბლაძე      3  
აიდა გორგაძე        10 
მარგალიტა გაბედავა  13
ირინე ბერულავა      3  
ჯაბა ქევხიშვილი     7  
ნორა ბუცხრიკიძე     5  
ნაზი გრძელიშვილი    16 
მამუკა კვინიკაძე    1  
გოგი კაცაძე         17 
ემა თაბაგარი        4  
კახაბერ ხაჭაპურიძე  2  
ვახტანგ არველაძე    8  
შაქრო მახარაშვილი   17
ირინე გულიაშვილი    7  
არმენ კაკაბაძე      8  
იაგო ლომაძე         17 
ანიკო ჭეიშვილი      16 
გიული თოდუა         9  
ლელა სამხარაძე      17 
ცირა ბეჟანიშვილი    10 
გულიკო ფანცულაია    19 
ციური ბერულავა      19 
კლარა გვასალია      16
ირინე ლეჟავა        7  
ლაშა ცეცხლაძე       9  
მინდია ყიფშიძე      12 
ჯაბა პაპაშვილი      6  
მაკა ტყეშელაშვილი   2  
სოფიკო ადეიშვილი    5  
როინ ხატიაშვილი     7  
ნიკოლოზ ილურიძე     17 
მედიკო შუკაკიძე     7  
გიგა ფერაძე         15
ირინე ტყემალაძე     18 
ვაჟა ბერულავა       6  
თამარი ბენიძე       1  
ირინე მჭედლიშვილი   7  
ირინე ქათამაძე      0  
უჩა ბოკუჩავა        18 
დოდო ნადირაძე       1  
ლიდა მუსაევი        4  
ირმა სულაბერიძე     13 
ეთერ კაკაურიძე      0
ირმა ვეკუა          3  
მარგალიტა კვარაცხელი7  
კარინე ვარშანიძე    4  
ბორის შეყილაძე      12 
ლუდმილა ბრეგაძე     11 
ლარისა ხალვაში      5  
კლარა ხარშილაძე     15 
მეგი დიასამიძე      0  
ქრისტინე გულიაშვილი 19 
გრიგოლ შაინიძე      4
ირმა ვეკუა          9  
ალექსანდრე ტაკიძე   18 
გიორგი სამხარაძე    11 
არჩილ ნადირაშვილი   12 
ირმა ჭელიძე         16 
ვასილ კაციტაძე      4  
ანი ბურდული         0  
ლუიზა ხეცურიანი     6  
ფატი ჭანტურია       16 
ვახტანგ ზოიძე       0
ირმა ქორიძე         20 
ლილი ღონღაძე        8  
ვალენტინა მაჭავარიან15 
ლანა სიხარულიძე     18 
სვეტლანა კოპაძე     11 
ავთანდილ ღონღაძე    3  
ვალერი ლომაძე       13 
ცირა რობაქიძე       2  
ანა აბდულაევი       20 
შალვა ხუციშვილი     3
ირმა ყოლბაია        1  
ირმა შენგელია       17 
ნუგზარ ძიძიგური     2  
გივი გოგსაძე        16 
თინა ანდღულაძე      2  
ნანა გიორგაძე       5  
ლილი შათირიშვილი    18 
ნუკრი აბდულაევი     19 
ევგენია ბერძენიშვილი10 
გულიკო ჭელიძე       7
ირმა ძიძიგური       20 
ჯემალ რევაზიშვილი   20 
ჟუჟუნა მჭედლიძე     6  
გოჩა ბიბილაშვილი    6  
ქრისტინე ჟორჟოლიანი 4  
უშანგი გაჯიევი      3  
ტარიელ ხიმშიაშვილი  7  
ანნა ნაკაშიძე       4  
რუსუდან სვანიძე     14 
პაატა ბეჟანიშვილი   20
ირმა ხორავა         18 
ვალერი ხარჩილავა    5  
ლევან კახიძე        6  
დავით ხარშილაძე     15 
ლიდა ზარიძე         10 
ციცინო ვალიევა      8  
გოგი კონცელიძე      15 
გია ჭიჭინაძე        1  
ზოია ქორიძე         20 
ციური შათირიშვილი   2
იური გაფრინდაშვილი  12 
არმენ ხვიჩია        15 
ანი ნოზაძე          1  
ელენა ბახტაძე       1  
ნარგიზა მელქაძე     4  
გულიკო აბდულაევი    20 
თეა ბიბილაშვილი     11 
მაკა ავალიანი       19 
ანი თურმანიძე       7  
მედიკო პატარაია     12
იური გაჩეჩილაძე     5  
ლამარა თოლორდავა    18 
ნათელა მანაგაძე     4  
ელენე ისაევი        7  
უშანგი კირკიტაძე    7  
ვეფხვია ვალიევა     7  
ნორა ბოლქვაძე       5  
გელა კუჭავა         16 
თამარ მარგველაშვილი 8  
ანი ვარშანიძე       19
იური გოგოლაძე       12 
გრიგოლ ფუტკარაძე    0  
თამაზ გოგიშვილი     14 
ნიკოლოზ ავალიანი    9  
მზია მელქაძე        6  
ანი ქურდაძე         17 
ვაჟა როსტიაშვილი    10 
გოგა ისაევი         0  
გოგიტა იმერლიშვილი  11 
ვიოლეტა გოგუაძე     6
იური მერაბიშვილი    4  
იოსებ ჭკადუა        3  
ლუბა ქობულაძე       7  
მეგი ფიფია          14 
მედეა ჯალაღონია     14 
მაია თევზაძე        9  
მარგალიტა მელაძე    13 
მეგი ჯოხაძე         8  
გოგი ჭუმბურიძე      10 
ჯუმბერ ადამია       8
იური მოსიაშვილი     1  
მარო კანდელაკი      17 
მერაბ ზარანდია      0  
ალექსანდრე არჩვაძე  16 
ციური ქობულაძე      19 
არმენ გოგუაძე       5  
ზურაბ წულაია        6  
იური სეხნიაშვილი    11 
თემურ ჭკადუა        19 
ირინე დვალიშვილი    12
იური ნიკოლეიშვილი   18 
ციალა მიქელაძე      13 
ნონა ზოიძე          15 
რეზო გურგენიძე      19 
რობერტ ბარამიძე     2  
მთვარისა ხეცურიანი  20 
გენადი ბერიანიძე    20 
ნაზიბროლა გაბაიძე   7  
გოგიტა ზურაბაშვილი  20 
ხათუნა შეყილაძე     13
იური ხუციშვილი      14 
ლეილა შუკაკიძე      11 
ლალი ოთარაშვილი     4  
მედიკო შანიძე       17 
შაქრო წიკლაური      3  
თამარა ბაკურაძე     0  
პაატა ხურცილავა     13 
ბექა ნიკოლეიშვილი   9  
ნაზი ზოიძე          2  
მიხეილ წერეთელი     20
კარინე ქუთათელაძე   8  
ნუნუ ოთარაშვილი     19 
ნუგზარ ტაკიძე       9  
მარი არველაძე       0  
ემა შათირიშვილი     0  
გოგიტა გაბელია      0  
ქეთინო ჯანიაშვილი   6  
ანი დავითაძე        17 
ტარიელ რევაზიშვილი  7  
იზოლდა დევაძე       13
კარინე ჩუბინიძე     3  
სერგო ჩიხლაძე       15 
ოლია კაკაბაძე       4  
იზოლდა სარალიძე     14 
მინდია დავითაძე     7  
ლამზირა ბასილაძე    8  
თორნიკე თოლორდავა   17 
ედუარდ მეფარიშვილი  16 
მარინე ქურდაძე      4  
კახაბერ კიკნაძე     12
კარინე წულაია       8  
ანჟელა ზოიძე        8  
ია თევზაძე          11 
ბელა ფიცხელაური     3  
ხათუნა გოგინაშვილი  19 
გულიკო არჩვაძე      16 
ეკა ხარაზიშვილი     2  
პაატა იობიძე        15 
რუსუდან აბაშიძე     13 
