"Aada Andersson"	"Hannukselankuja 91
81292 Kivijärvi" 
"Elina Lehtonen"	"Kolukatu 76
25280 Hausjärvi"
"Erik Sutinen"	"Ilmattarenkuja 366
30055 Pelkosenniemi"
"Kerttu Järvinen-Kantola"	"Mannerheiminpolku 795
96357 Pihtipudas"
"Juhani Luukkonen"	"Katajaharjunkatu 55
78050 Aura"
"Seppo Tanskanen"	"Katajaharjunkatu 59
36358 Puumala"
"Maria Lehtinen-Lehtinen"	"Franzéninkuja 31
71957 Karvia"
"Laura Tiainen-Nevalainen"	"Iltaruskonkuja 971
21957 Siilinjärvi"
"Eetu Oinonen-Rautiainen"	"Biologinkuja 2
83727 Juva"
"Jaakko Turunen"	"Fredrikinpolku 8
83147 Oulu"
"Tapani Oksanen"	"Benktantie 788
21906 Karstula"
"Topias Nieminen"	"Versokuja 8
88983 Nokia"
"Aino Eronen-Paavola"	"Neulapadonbulevardi 327
55107 Luoto"
"Antero Korpela"	"Ylä-Fallin tie 82
34264 Juuka"
"Helena Tiihonen-Kinnunen"	"Tuomarinkylänkuja 6
54102 Turku"
"Sanna Repo"	"Ilveskuja 60
66647 Suonenjoki"
"Kaarina Kukkonen"	"Betleheminkuja 028
58940 Vihti"
"Laura Valkama"	"Maanmittarinbulevardi 8
14113 Kokkola"
"Aino Aaltonen"	"Runoilijankuja 109
76806 Sodankylä"
"Satu Niemi"	"Haakoninlahdenbulevardi 502
29949 Varkaus"
"Rasmus Pitkänen-Salmi"	"Rukokatu 00
88539 Lohja"
"Marjatta Martikainen"	"Louhikkobulevardi 9
01464 Joutsa"
"Väinö Koivisto-Rinne"	"Runoilijanbulevardi 1
44307 Karstula"
"Anneli Riikonen"	"Willebrandinkatu 1
28028 Lohja"
"Esa Laiho"	"Edelfeltinkatu 563
54731 Paimio"
"Julius Andersson"	"Sahaajanpolku 73
31996 Kuhmoinen"
"Helena Oikarinen"	"Chydeniuksenbulevardi 6
30623 Pyhäranta"
"Laura Ylinen-Hiltunen"	"Fallkullantie 0
36168 Masku"
"Elisabet Mikkola"	"Kimalaisbulevardi 757
44878 Keitele"
"Teemu Soini"	"Benktankatu 08
15324 Säkylä"
"Janne Ruuskanen"	"Dagmarinbulevardi 0
15121 Somero"
"Pasi Aalto"	"Adolf Lindforsin polku 50
62227 Merikarvia"
"Pentti Helin"	"Nikontie 5
81190 Sottunga"
"Susanna Heinonen"	"Gadolinintie 266
35290 Jämsä"
"Petteri Savolainen"	"Jänkäkuja 3
46004 Mustasaari"
"Marjut Partanen"	"Gustav Pauligin bulevardi 3
47763 Veteli"
"Jaakko Rantala"	"Gadolininkuja 42
75643 Raasepori"
"Lauri Heiskanen"	"Ilmattarenkatu 018
77375 Savitaipale"
"Elisabeth Heiskanen-Huttunen"	"Maasälväntie 2
08409 Saltvik"
"Pekka Kanerva"	"Elimäenkatu 114
58968 Raahe"
"Irene Laiho"	"Rapolantie 417
01353 Uurainen"
"Riitta Laitinen"	"Nelikkokuja 8
34168 Lieto"
"Katja Karvinen-Rautiainen"	"Fallinbulevardi 06
25076 Forssa"
"Anna Kettunen"	"Fabianinkuja 9
58572 Eurajoki"
"Anja Aalto"	"Puuskakuja 647
90587 Kittilä"
"Tuomo Koivisto-Jääskeläinen"	"Böstaksenpolku 0
19571 Kumlinge"
"Ilari Salmela-Anttila"	"Pohjolankatu 55
34947 Lumijoki"
"Lauri Lappalainen"	"Haravakatu 8
10055 Haapavesi"
"Jussi Kurki"	"Saanatunturinkatu 42
55508 Parkano"
"Johanna Uusitalo"	"Tahtikuja 1
88600 Rautavaara"
"Kalevi Hokkanen-Harju"	"Haakoninlahdenkuja 0
40417 Enonkoski"
"Ilona Nykänen-Kivelä"	"Ahvenkoskenbulevardi 587
50619 Liminka"
"Tuomo Rautio"	"Bysantinbulevardi 15
26867 Haapavesi"
"Mika Hautala"	"Elisabeth Kochin kuja 378
53726 Ylöjärvi"
"Marjukka Ruotsalainen"	"Bertha Pauligin katu 19
52791 Ii"
"Irja Kankaanpää"	"Veropellonkatu 975
98700 Finström"
"Julia Mäntylä"	"Damaskuksenkuja 130
23497 Kolari"
"Lauri Luoma"	"Elonkuja 4
60981 Liperi"
"Helvi Lahti"	"Iltatähdenbulevardi 165
60218 Pieksämäki"
"Petteri Riihimäki"	"Purjetuulenbulevardi 8
50989 Mäntyharju"
"Laura Männistö"	"Dosentinpolku 026
74599 Merijärvi"
"Susanna Ahola"	"Porkkalanpolku 589
16916 Joutsa"
"Peter Salo"	"Saparonkatu 4
57651 Lappeenranta"
"Susanna Pietilä-Määttä"	"Betonipolku 4
43335 Hammarland"
"Eeva Pajunen"	"Pyörökivenkuja 91
15118 Lappajärvi"
"Erkki Räisänen"	"Ylipalontie 6
07800 Maarianhamina"
"Heikki Kari"	"Katajaharjuntie 62
15934 Pietarsaari"
"Lauri Repo"	"Jätkäsaarenpolku 620
95185 Liminka"
"Harri Tuominen"	"Jännekuja 093
49682 Sievi"
"Kirsti Lindholm"	"Orvokkikuja 87
43858 Perho"
"Christina Laitinen"	"Eerik Pyhän kuja 1
25404 Juva"
"Johanna Riihimäki"	"Puusepänbulevardi 110
43258 Föglö"
"Aurora Nykänen-Tiainen"	"Zaidanpolku 66
09228 Föglö"
"Emilia Jokinen"	"Ostoskatu 20
84731 Lahti"
"Olavi Seppälä-Peltola"	"Aidasmäentie 505
96578 Lahti"
"Juhani Anttila"	"Salamatie 077
13226 Siikalatva"
"Ilari Kemppainen"	"Kilpolanbulevardi 2
24092 Sottunga"
"Lauri Salmela"	"Haakoninlahdenkuja 215
17658 Mäntsälä"
"Jukka Liimatainen"	"Haapapolku 88
96071 Tampere"
"Raimo Väisänen"	"Kimalaistie 897
73230 Saltvik"
"Petteri Jokela-Keränen"	"Kiitäjänkuja 07
00097 Kivijärvi"
"Liisa Keinänen-Kilpeläinen"	"Bertel Jungin bulevardi 21
72813 Suomussalmi"
"Veikko Venäläinen"	"Kolvikatu 730
09283 Sysmä"
"Oona Pirinen"	"Bysantinkatu 84
16488 Tammela"
"Kari Marttinen"	"Willebrandinkatu 695
79409 Joensuu"
"Anni Kurki-Elo"	"Wäinö Aaltosen katu 169
73951 Säkylä"
"Maaria Heikkinen"	"Elonbulevardi 25
28839 Loviisa"
"Lauri Turpeinen"	"Salakkabulevardi 35
64203 Loimaa"
"Päivi Keränen"	"Uunisepänkuja 701
45395 Tuusula"
"Seija Suominen"	"Franzéninkatu 98
54136 Rautavaara"
"Seija Anttila"	"Fastbölenkuja 73
36987 Kaskinen"
"Petteri Matikainen"	"Fallkullantie 936
00027 Isojoki"
"Elina Mäkinen"	"Vesalanbulevardi 3
24411 Liminka"
"Johannes Korhonen"	"Ilotulituskatu 435
16089 Vaasa"
"Matias Ikonen"	"Maapadontie 6
43746 Isojoki"
"Teemu Sipilä"	"Rapakivenkatu 978
37543 Maarianhamina"
"Janne Lahtinen"	"Tyynylaavankuja 169
40863 Siikalatva"
"Lea Hirvonen"	"Yrjönbulevardi 16
21671 Rantasalmi"
"Aleksanteri Pajunen-Leppänen"	"Ilotulituskuja 901
15449 Helsinki"
"Riitta Peltola"	"Agnetanpolku 52
84362 Mustasaari"
"Kyllikki Anttila"	"Haapabulevardi 9
11008 Toholampi"
"Vilma Heiskanen"	"Freesenkatu 807
25678 Kökar"
"Tuula Saarinen-Keinänen"	"Uskalikonbulevardi 97
07932 Urjala"
"Juhani Mononen"	"Louhenbulevardi 0
61326 Alavieska"
"Jenna Lindgren"	"Gunnel Nymanin katu 77
95903 Sysmä"
"Olavi Laakso"	"Urkurinbulevardi 859
35693 Orimattila"
"Kaarina Hyttinen"	"Granfeltinbulevardi 887
11707 Karvia"
"Lea Jaakkola"	"Eljaksenkatu 9
52761 Lemland"
"Ilona Juntunen-Mäkinen"	"Urputie 7
79826 Rantasalmi"
"Hillevi Pääkkönen"	"Maapadonkuja 41
21001 Vieremä"
"Pekka Sirviö"	"Otermankuja 4
54847 Kangasala"
"Johannes Raatikainen"	"Biologintie 4
02694 Ylivieska"
"Helena Leppänen"	"Eljaksentie 93
44452 Tervola"
"Kristian Jokinen"	"Nervanderinkatu 419
58407 Sottunga"
"Jaana Matikainen"	"Haahkabulevardi 869
12957 Isojoki"
"Allan Markkanen-Kemppainen"	"Cygnaeuksenkuja 1
36006 Siikalatva"
"Tapio Kuosmanen-Kuusisto"	"Elonbulevardi 23
71934 Ruovesi"
"Lea Laaksonen"	"Castrénintie 43
09095 Nurmijärvi"
"Anne Karppinen"	"Taimistonbulevardi 089
94049 Valkeakoski"
"Juhani Antikainen"	"Niitynperänkatu 7
95576 Valtimo"
"Sari Leinonen"	"Järkälebulevardi 98
22275 Kitee"
"Harri Auvinen-Vuori"	"Neulapadontie 040
17571 Myrskylä"
"Kari Lehtinen"	"Haapakuja 27
33333 Reisjärvi"
"Johannes Haapala"	"Edelfeltinkuja 8
84471 Enonkoski"
"Ensio Hirvonen"	"Ilmattarenpolku 9
86568 Kittilä"
"Tuula Keinänen"	"Jägerhorninkuja 37
25244 Isojoki"
"Raija Johansson"	"Sahaajanbulevardi 036
89012 Liminka"
"Lea Lampinen-Savolainen"	"Ilvesbulevardi 02
89264 Urjala"
"Antero Heikkilä"	"Tukkisillankatu 87
13911 Ilomantsi"
"Laura Lehto"	"Ahvenkoskenkatu 189
92506 Lemi"
"Ritva Lindholm"	"Poikasaartentie 78
72578 Suomussalmi"
"Irmeli Nevalainen"	"Santerlankuja 28
22444 Siuntio"
"Sanna Rinne-Manninen"	"Nikontie 08
54036 Kuusamo"
"Veijo Kyllönen"	"Orvokkikuja 7
03971 Jokioinen"
"Jyrki Karjalainen"	"Maasälvänpolku 542
45310 Sastamala"
"Juhani Männistö-Kuronen"	"Jyväbulevardi 048
12258 Lappajärvi"
"Olavi Ollila"	"Döbelnintie 13
90461 Nakkila"
"Leena Aalto-Haapala"	"Louhentie 422
19762 Tohmajärvi"
"Juhani Kähkönen"	"Yrttimaankuja 3
51631 Kurikka"
"Matias Väänänen"	"Kukkaniitynkuja 97
85575 Föglö"
"Suvi Lahtinen"	"Ilomäenkatu 2
92227 Ylivieska"
"Elina Salminen"	"Jänkätie 36
51509 Hamina"
"Mikael Mustonen-Aaltonen"	"Gunillankatu 43
22514 Tammela"
"Kristiina Mäkinen-Turpeinen"	"Uunilinnunbulevardi 991
35224 Miehikkälä"
"Tuula Kukkonen"	"Cygnaeuksenbulevardi 173
57333 Siilinjärvi"
"Marjatta Salonen"	"Malminkartanonbulevardi 41
94152 Posio"
"Eemeli Kaikkonen"	"Saparonbulevardi 61
21643 Padasjoki"
"Leena Asikainen"	"Orisaarenkuja 3
65096 Eura"
"Teuvo Kähkönen-Ruotsalainen"	"Osmontie 98
40593 Isokyrö"
"Marketta Virta-Airaksinen"	"Fallpakankatu 4
94528 Sipoo"
"Kauko Sirviö"	"Pohjolantie 3
96635 Rovaniemi"
"Sisko Antikainen"	"Niemitie 987
76401 Vimpeli"
"Leila Mäkelä"	"Puroniitynkatu 1
27302 Karvia"
"Tomi Järvinen"	"Salakkapolku 1
31363 Naantali"
"Viljo Virta"	"Jägerhornintie 4
48450 Kannonkoski"
"Matias Karjalainen-Karppinen"	"Rapolanbulevardi 9
50806 Lemi"
"Tuomo Ruotsalainen"	"Fahlanderin puistobulevardi 5
69199 Urjala"
"Leena Järvinen"	"Betleheminpolku 600
99490 Laukaa"
"Annikki Nurmi-Virtanen"	"Nikonpolku 75
09784 Pyhäranta"
"Kalevi Alatalo"	"Usvabulevardi 947
01841 Merijärvi"
"Eeva Tarvainen"	"Edelfeltinpolku 4
88191 Muurame"
"Antero Nurmi-Savolainen"	"Haahkakatu 7
68068 Sonkajärvi"
"Mirjam Luoma-Hakala"	"Ylätuvanbulevardi 75
09749 Laitila"
"Edvard Pohjola-Jaakkola"	"Kolutie 62
73246 Joroinen"
"Anne Nurmi"	"Tuomarinkylänkatu 78
57698 Kuhmo"
"Maria Hautamäki"	"Rukoushuoneenpolku 2
95125 Parkano"
"Anneli Mäntylä"	"Poikasaartentie 5
16408 Lumijoki"
"Leena Järvinen"	"Rukkilanpolku 19
53185 Keminmaa"
"Helmi Hänninen"	"Iltaruskontie 78
76603 Kempele"
"Kullervo Manninen-Laitinen"	"Maasälvänkuja 655
05259 Viitasaari"
"Yrjö Salonen-Peltonen"	"Wallininbulevardi 449
46506 Rääkkylä"
"Antti Luoma"	"Verkkobulevardi 651
51448 Liperi"
"Kaija Sillanpää"	"Rapolanbulevardi 200
40582 Kinnula"
"Anneli Luukkonen"	"Maasalonpolku 589
32916 Kaskinen"
"Pia Koskinen-Heikkilä"	"Vesalantie 126
97788 Kuopio"
"Erkki Kumpulainen"	"Ehrensvärdintie 16
24912 Kotka"
"Johannes Järvenpää"	"Böstaksenkatu 269
74239 Ylitornio"
"Leena Ketola-Salonen"	"Niitynperäntie 22
50456 Muurame"
"Eero Lassila-Nissinen"	"Eino Leinon katu 86
66222 Riihimäki"
"Mikael Hakkarainen"	"Maanmittarinkatu 06
55272 Finström"
"Kristian Lehtinen-Asikainen"	"Maanmittarintie 2
41414 Huittinen"
"Pirkko Ahonen"	"Taimistonbulevardi 962
35629 Hyrynsalmi"
"Kalevi Heikkinen"	"Ehrensvärdintie 5
02806 Jämsä"
"Eeva Liukkonen"	"Verkkobulevardi 1
83946 Honkajoki"
"Ville Laakkonen"	"Uussillantie 9
14910 Rautavaara"
"Irmeli Savolainen"	"Sahaajanbulevardi 708
01680 Siikajoki"
"Hannele Karlsson"	"Orisaarenbulevardi 24
60594 Nurmijärvi"
"Leena Koski"	"Kimalaiskuja 4
74358 Leppävirta"
"Maarit Saarinen"	"Maanmittarintie 4
51873 Saltvik"
"Teuvo Heino"	"Werner Wirénin katu 98
71090 Tammela"
"Eemeli Laitinen"	"Gotlannintie 65
01475 Huittinen"
"Hanna Hirvonen"	"Rukkilankatu 739
36610 Lemi"
"Eero Hänninen"	"Uudenkaupungintie 9
34114 Eura"
"Tapio Karvinen-Turunen"	"Veräjämäentie 925
04849 Nurmijärvi"
"Hannele Mäkinen"	"Castrénintie 522
90165 Kouvola"
"Liisa Pulkkinen"	"Böstaksenpolku 718
55509 Pello"
"Marjatta Sillanpää"	"Bertha Pauligin polku 26
76364 Kemi"
"Leena Laine"	"Versokatu 313
96633 Punkalaidun"
"Marjaana Nieminen"	"Ylätuvanbulevardi 9
73009 Ilomantsi"
"Tapio Immonen"	"Bertha Pauligin polku 60
97988 Kinnula"
"Tapani Ojala"	"Otermantie 161
94375 Helsinki"
"Kristian Halonen-Keskitalo"	"Dagmarinkatu 557
17187 Siikalatva"
"Mikael Miettinen"	"Maasalonpolku 32
53355 Lapinlahti"
"Marja Kallio"	"Birger Kaipiaisen tie 168
47921 Kyyjärvi"
"Maija Ahonen"	"Kimalaispolku 295
27311 Raisio"
"Raili Puhakka"	"Uussillankatu 7
05598 Luoto"
"Kirsti Mikkonen"	"Haahkapolku 453
51775 Ypäjä"
"Leena Mikkola-Tikkanen"	"Mamsellimyllynkuja 679
99498 Mustasaari"
"Päivi Suominen-Salminen"	"Fagottipolku 607
47867 Pedersören kunta"
"Tarja Peltonen"	"Niemipolku 388
12018 Hattula"
"Timo Laakso-Lehtinen"	"Chydeniuksentie 49
11132 Kajaani"
"Arto Hietanen"	"Walentin Chorellin bulevardi 9
18025 Nokia"
"Valtteri Alanen"	"Döbelnintie 734
41450 Vantaa"
"Johanna Salminen"	"Dunckerinkatu 791
55394 Teuva"
"Tapio Laaksonen"	"Willebrandintie 10
41553 Laitila"
"Pia Aro-Kärkkäinen"	"Fastbölentie 3
01693 Laitila"
"Aleksi Mikkonen"	"Iltatähdenkuja 43
50877 Ilmajoki"
"Leena Mäkelä-Tikka"	"Vaakalinnunkatu 4
50615 Eurajoki"
"Iiris Turunen-Karjalainen"	"Maanmittarintie 03
67816 Vantaa"
"Arja Ollikainen"	"Porekuja 003
21947 Kangasala"
"Satu Kallio"	"Kolvikatu 74
40858 Merikarvia"
"Juha Nyman"	"Ilveskuja 17
84808 Kemijärvi"
"Petteri Lindroos-Hautala"	"Nordenskiöldinpolku 68
72973 Halsua"
"Katriina Pulkkinen"	"Lepolankuja 78
44377 Toholampi"
"Kirsti Saarinen-Jansson"	"Ilvespolku 58
08125 Lempäälä"
"Olavi Vesterinen-Virta"	"Fallkullanpolku 3
08276 Urjala"
"Pasi Matikainen"	"Nervanderinpolku 76
54731 Kangasniemi"
"Leena Paavilainen"	"Rapolankuja 80
59215 Varkaus"
"Niilo Pasanen-Virtanen"	"Döbelnintie 370
15212 Ilomantsi"
"Juhani Laaksonen-Räisänen"	"Kolutie 19
85200 Pedersören kunta"
"Marika Timonen"	"Versotie 49
35905 Rauma"
"Ari Laitinen"	"Yhteiskouluntie 032
43521 Sievi"
"Pirkko Heikkinen"	"Rapakivenkatu 61
77422 Pielavesi"
"Erik Pekkala"	"Döbelninkatu 2
93820 Asikkala"
"Tuulikki Lahti"	"Jyväbulevardi 550
17276 Jokioinen"
"Markku Valtonen-Riikonen"	"Birger Kaipiaisen katu 2
24951 Leppävirta"
"Katariina Rantala-Syrjälä"	"Ahdekaunokintie 3
89079 Alajärvi"
"Leena Rantanen-Heikkilä"	"Uskalikontie 64
99832 Kustavi"
"Matilda Kangas"	"Laurinniityntie 615
59860 Pihtipudas"
"Marjatta Toivonen"	"Dagmarintie 363
48301 Enonkoski"
"Tuula Partanen-Sillanpää"	"Yrjö-Koskisen katu 44
09203 Kristiinankaupunki"
"Johanna Hämäläinen"	"Ahvenkoskenkuja 38
09350 Pyhtää"
"Ville Soininen"	"Oravatie 152
11984 Tyrnävä"
"Matti Tarvainen-Koskinen"	"Usvakatu 39
88480 Pirkkala"
"Ilmari Hirvonen"	"Vellikellontie 7
66704 Vieremä"
"Ritva Ruuskanen"	"Mannerheiminpolku 61
19332 Ilmajoki"
"Paula Leino-Viitanen"	"Salavapolku 0
41943 Sastamala"
"Leena Rytkönen-Lehtonen"	"Pyörökivenpolku 415
71544 Uusikaupunki"
"Kristian Eloranta"	"Maanmittarinpolku 6
56050 Kuopio"
"Kaarina Eronen"	"Maakatu 922
94122 Kihniö"
"Sakari Aro"	"Iltaruskonbulevardi 400
31348 Ruovesi"
"Ari Virta"	"Santerlantie 3
35912 Saltvik"
"Tapani Saarela"	"Yrttimaanbulevardi 75
49077 Espoo"
"Valtteri Kinnunen-Mustonen"	"Ilomäentie 129
20428 Loimaa"
"Jorma Vuorinen"	"Cygnaeuksenkatu 4
22868 Kaskinen"
"Margit Manninen"	"Gunillanpolku 7
50651 Veteli"
"Jan Viitanen"	"Saparontie 165
76577 Alavieska"
"Leena Saarinen"	"Kukkaniityntie 89
35945 Tammela"
"Iida Laukkanen-Ylinen"	"Ehrensvärdintie 505
63346 Savonlinna"
"Seppo Rissanen-Lähteenmäki"	"Nervanderinpolku 242
67533 Vehmaa"
"Elina Ylitalo"	"Wallininkuja 46
98009 Siuntio"
"Veikko Peltola"	"Sadebulevardi 69
68333 Ilmajoki"
"Erkki Rajala"	"Tahtibulevardi 941
34212 Sastamala"
"Pia Heikkilä-Niemi"	"Gustav Pauligin tie 2
39333 Kajaani"
"Juhani Haataja"	"Winqvistinkuja 48
89757 Pelkosenniemi"
"Antero Lehtola"	"Wecksellinbulevardi 1
79308 Kirkkonummi"
"Robert Huuskonen"	"Rukobulevardi 31
34909 Nakkila"
"Leena Salo"	"Wecksellinkatu 2
65076 Hartola"
"Maria Salmela"	"Kilpolanpolku 24
21484 Ilomantsi"
"Pekka Gustafsson"	"Saanatunturintie 253
31275 Joroinen"
"Elias Nissinen"	"Aidasmäentie 8
97582 Närpiö"
"Timo Harju"	"Bertel Jungin bulevardi 41
07826 Eckerö"
"Antero Juntunen"	"Maanmittarinpolku 70
44314 Mäntsälä"
"Eija Mäntylä"	"Granfeltintie 65
57837 Lemland"
"Jussi Mäkinen"	"Rantavarastonbulevardi 861
66921 Honkajoki"
"Tanja Uusitalo"	"Jyväpolku 80
09495 Brändö"
"Kari Paananen"	"Lentokapteenin polku 72
66325 Kauhava"
"Leena Tolonen"	"Eerik Pyhän kuja 830
54219 Iitti"
"Aaro Nieminen"	"Nelikkokatu 11
56235 Sulkava"
"Petri Virta-Suhonen"	"Urkurinpolku 4
20034 Heinola"
"Anniina Heiskanen"	"Walentin Chorellin tie 50
71042 Sauvo"
"Jukka Kärki"	"Ilmattarenkuja 042
62742 Savonlinna"
"Mikael Nieminen"	"Ida Ekmanin polku 108
18092 Juupajoki"
"Eija Ylitalo"	"Freesenpolku 318
24666 Karkkila"
"Ilmari Koskinen"	"Cygnaeuksenkatu 745
30704 Vöyri"
"Anita Räty"	"Oravabulevardi 290
12830 Oulainen"
"Aleksanteri Eklund"	"Lentokapteenin tie 6
73978 Paltamo"
"Leevi Laakso"	"Benktanpolku 50
83796 Pello"
"Aulikki Jansson-Nyman"	"Santerlanbulevardi 614
77378 Närpiö"
"Harri Nylund"	"Degermosantie 1
77130 Harjavalta"
"Aapo Mäkinen"	"Betonibulevardi 255
06353 Salla"
"Anniina Niemelä"	"Veropellonpolku 6
05298 Polvijärvi"
"Päivi Paavola"	"Bysantinkuja 044
64586 Laihia"
"Alisa Koskinen"	"Agricolanpolku 534
56463 Miehikkälä"
"Armas Simonen"	"Jägerhorninkatu 790
09738 Eurajoki"
"Virpi Lehtinen"	"Maasälväntie 3
47354 Eckerö"
"Juhani Hiltunen"	"Ahdekaunokinbulevardi 5
92036 Luhanka"
"Leevi Luoma-Rantala"	"Graniittikuja 00
08329 Järvenpää"
"Maarit Jääskeläinen"	"Agnetanbulevardi 619
08881 Simo"
"Tuula Heinonen"	"Ilotulitustie 183
26086 Kaavi"
"Tuomo Väisänen"	"Mamsellimyllynkatu 418
37899 Jomala"
"Kyllikki Hyvärinen"	"Bengalintie 3
51366 Kruunupyy"
"Kaarlo Rissanen"	"Ylipalonpolku 5
27297 Jyväskylä"
"Maria Huuskonen"	"Graniittitie 161
28527 Hyvinkää"
"Annikki Laukkanen"	"Iltaruskontie 2
26017 Mynämäki"
"Maria Parviainen"	"Adolf Lindforsin tie 0
62978 Korsnäs"
"Ulla Härkönen"	"Kimalaiskuja 561
44622 Siuntio"
"Leevi Parviainen"	"Kolvikatu 8
50965 Outokumpu"
"Kati Luoma"	"Rantavarastontie 832
77975 Suomussalmi"
"Maria Heinonen-Ylitalo"	"Poretie 747
89618 Pyhäranta"
"Eetu Haapala"	"Katajaharjunkuja 8
24769 Sulkava"
"Sinikka Lappalainen"	"Veräjämäenpolku 9
63155 Hyvinkää"
"Niina Ruotsalainen-Pulkkinen"	"Bergankatu 6
29717 Teuva"
"Kristian Lampinen-Perälä"	"Niitynperäntie 54
52855 Siuntio"
"Helena Laakkonen"	"Kolubulevardi 6
30829 Hailuoto"
"Helena Salo"	"Tahtikatu 716
17063 Tuusniemi"
"Inkeri Salomaa"	"Tuomarinkylänbulevardi 5
40767 Vesilahti"
"Leila Härkönen"	"Elontie 091
85413 Nurmes"
"Timo Nuutinen"	"Lepolantie 61
59671 Harjavalta"
"Ari Penttinen"	"Runonlaulajanbulevardi 9
47796 Kokkola"
"Eveliina Aalto"	"Gotlannintie 49
63659 Urjala"
"Hannele Johansson"	"Uudenkaupunginpolku 2
57405 Suomussalmi"
"Maria Tuominen"	"Niitynperänpolku 5
03135 Keitele"
"Ilmari Hiltunen"	"Dosentintie 28
15851 Kangasala"
"Rasmus Eskelinen"	"Gunnel Nymanin katu 065
89239 Hyvinkää"
"Tuula Honkanen-Miettinen"	"Disankatu 42
18904 Jämsä"
"Sofia Luukkonen"	"Tuulilasinbulevardi 882
58824 Muurame"
"Leila Niskanen"	"Ylä-Fallin tie 609
32656 Heinola"
"Juha Luoma"	"Haravakatu 92
03199 Kemiönsaari"
"Anni Uusitalo"	"Rukoushuoneentie 299
54415 Ruovesi"
"Oona Jokinen"	"Laurinniitynkatu 6
91519 Mänttä-Vilppula"
"Johanna Leinonen-Marttinen"	"Laurinniitynbulevardi 52
16671 Rautjärvi"
"Kari Mikkola"	"Ieskuja 0
25803 Saltvik"
"Maria Mäki"	"Uskalikontie 09
26919 Kuhmo"
"Jorma Uusitalo"	"Rapolankuja 941
20698 Nurmes"
"Veikko Nurminen-Mäkinen"	"Malminkartanontie 18
54017 Kuopio"
"Vilhelmiina Martikainen"	"Ilmattarenkatu 36
89105 Kokemäki"
"Leo Anttila"	"Veräjämäenbulevardi 432
36005 Mustasaari"
"Kaarina Hyvärinen-Laukkanen"	"Biologintie 7
95623 Pyhtää"
"Maria Kallio"	"Maatullinpolku 77
31830 Haapajärvi"
"Anton Laukkanen"	"Lautamiehenkuja 61
39931 Kontiolahti"
"Juhani Heinonen"	"Bysantintie 96
70191 Utsjoki"
"Sirpa Tikkanen-Moilanen"	"Haaksitie 489
17506 Säkylä"
"Veera Hämäläinen-Leinonen"	"Tuulilasinbulevardi 130
30910 Sulkava"
"Juha Lehtinen"	"Freesenkuja 17
45834 Uurainen"
"Jussi Holopainen"	"Fallinkatu 2
53535 Jomala"
"Terttu Jussila"	"Walentin Chorellin kuja 5
04013 Siikajoki"
"Leo Elo"	"Laurinniitynkatu 31
14313 Halsua"
"Henrik Lehto"	"Hankasuonbulevardi 492
43824 Mustasaari"
"Samuel Johansson-Laine"	"Haagan pappilantie 920
49381 Luoto"
"Tellervo Koskela"	"Fahlanderin puistotie 82
55156 Keminmaa"
"Johanna Riihimäki"	"Porkkalanbulevardi 4
59805 Vimpeli"
"Anna Kuusela"	"Yläkaskentie 846
05035 Nakkila"
"Markku Sallinen-Mäkelä"	"Orvokkipolku 7
53151 Pelkosenniemi"
"Laura Ahola"	"Otermanbulevardi 048
96024 Kuortane"
"Lotta Kärki"	"Edelfeltinkuja 5
43274 Iisalmi"
"Maarit Luoma-Palomäki"	"Benktankuja 264
54714 Sonkajärvi"
"Leo Koivisto"	"Iltaruskonkatu 22
61691 Pälkäne"
"Aaro Pirinen"	"Puuskabulevardi 0
36877 Tohmajärvi"
"Juhani Koistinen-Salomaa"	"Kuhankeittäjänbulevardi 6
72981 Pälkäne"
"Juhani Hyttinen"	"Dunckerinkatu 7
84271 Pukkila"
"Orvokki Koivunen"	"Yläkaskentie 599
48966 Pyhäranta"
"Maarit Koskela"	"Orastie 4
46476 Kolari"
"Samuel Toivonen"	"Ilveskatu 93
89047 Pietarsaari"
"Veikko Kumpulainen"	"Hankasuonkatu 58
36831 Pieksämäki"
"Hanna Lassila-Kivinen"	"Chydeniuksenkatu 18
94474 Kangasniemi"
"Markus Karppinen"	"Ormusbulevardi 85
18745 Pöytyä"
"Leo Miettinen"	"Taimistonkatu 29
54928 Ypäjä"
"Sanna Viljanen"	"Ylä-Fallin bulevardi 767
07255 Inkoo"
"Anneli Moilanen"	"Laajasalonpolku 49
51904 Muonio"
"Antero Lindholm"	"Orapihlajatie 128
16008 Tyrnävä"
"Elisabet Karttunen-Juntunen"	"Rukkilankatu 843
03247 Pieksämäki"
"Jouko Mäkinen"	"Ylipalontie 0
84917 Virolahti"
"Sofia Sutinen"	"Bertha Pauligin tie 372
77795 Kuusamo"
"Sakari Koskinen-Kokkonen"	"Poretie 350
21151 Lapinjärvi"
"Anna Leskinen"	"Oraspolku 6
75486 Lapinjärvi"
"Anna Niiranen-Holopainen"	"Ostostie 952
77251 Nurmijärvi"
"Leo Salonen"	"Fallpakankuja 94
98304 Kuopio"
"Maria Hartikainen"	"Laurinniitynbulevardi 78
88399 Ikaalinen"
"Martti Eskelinen"	"Puroniitynbulevardi 466
43922 Pukkila"
"Olavi Viitanen-Mattila"	"Jännetie 062
03478 Sysmä"
"Maria Rauhala"	"Porkkalanpolku 0
29141 Sastamala"
"Ilmari Lehtonen"	"Disanpolku 8
94940 Rautavaara"
