"அகண்டலன் உத்பலா","34 அகிரா
மாலேகான்-970035" 
"ஆகர்ணா,","193 உலகொளி ரீனா
ஜம்சேத்பூர் 702584"
"ராஜீவ்","479 கடலிறை
ரூர்கேலா 111893"
"ஏழிசைத்தென்றல்","88/492 ரக்ஷினி
கோலாப்பூர் 990899"
"உஜேஷ்","1123 பரணி
கோயம்புத்தூர் 427073"
"தனக்கோட்டி","35/0108 சங்கமித்ரை பாக்யஸ்ரீ
தில்லி 297339"
"சங்கீதா எழிலிசை","9 ஸ்ரீலேகா கண்ணம்மா
ஜலந்தர் 542751"
"ஸ்திரிரத்னா","64/58 தனஸ்ரீ சஞ்சு
நெல்லூர் 845530"
"கனல்மொழி யாழின்","057 வசந்தி
அவுரங்கபாத் 235440"
"ராஜேஷ்வரி","28/9430 பகுமான்யன் உட்கர்ஷ்
அமராவதி 104393"
"எழிலி கதிர்ச்செல்வி","5532 சத்யா
நான்தேட் 229640"
"ஹரிஷ்","63/8373 கதிரேசன் ஸுமா
அலிகார் 243188"
"எழிற்செல்வி நம்பியூரான்","47/3504 எல்லி
ராமகுண்டம் 851754"
"ஸ்டீபன் ஒளிவாணி","33/287 ஏகா இசைவளன்
காரைக்குடி-256693"
"வசனா இசைமறை","142 எமில்டா சஃபியா
புனே-552653"
"தனக்கோட்டி","41/7863 ஷர்வானி
காரைக்குடி 788128"
"உதயபரிதி","87 மணிப்பவளன்
ஆம்பூர்-098191"
"ராஜ்குமார் ரக்ஷனா","583 மணியெழில்
திருச்சிராப்பள்ளி 662780"
"யாழின்","03/72 கனியமுது
நெய்வேலி-924531"
"சங்கன் மணிச்சுடர்","67 இசைநேயம் எழிலரசி
ரூர்கேலா 859059"
"மணிரத்ணம்","40/61 ஏழிசைக்குமரி எழிற்கண்
பாட்னா 449138"
"எழிற்குவளை","12 தங்கராஐ;
புதுச்சேரி 166802"
"வண்டமிழ் சந்திர","89/679 வண்டார்குழலி
காரைக்குடி-874820"
"கடற்கோமகள் ஆதவன்","74 பத்ருஹரி இசையமுது
குவாலியர்-549162"
"கனிமதி","3 சங்குப்பூவழகி ஸன்யுக்தா
தாவண்கரே 508057"
"தனலட்சுமி அக்னிகா","0 தணிகைவேலன் ஆதித்தா
வேலூர் 773851"
"ராஜகுரு","64 உமையம்மை
வாரங்கல்-098578"
"ஷ்னேகல் நம்பெருமாள்","858 அகிரா பதுமனார்
உதயப்பூர் 841176"
"உதியஞ்சேரல்","82 நர்மதா ரம்யா
கயா 775256"
"ராஜசேகர்","2 ஷஸ்வத் தனபாக்கியம்
நாகர்கோவில்-031330"
"யூதிகா","84/4989 உமையாள் கடலரசன்
அலிகார் 527671"
"இசைச்செல்வம் நாகதேவி","55 பகுதானன் யோகாநந்தன்
வதோதரா 008974"
"இசையரசு","25 ஸரயூ
கோயம்புத்தூர்-722366"
"சசிகலா","6 பாக்யஸ்ரீ இந்துவதனி
ஜல்கான்-840712"
"பகுப்ரியன் அகிலேஷ்வரி","79 யூவரானி
திருப்பூர் 566607"
"தனலட்சுமி ராணி","80/52 நங்கை ராஜகுமாரி
நான்தேட்-062479"
"அகலிகை","92/8253 ஆடற்செல்வி
திண்டுக்கல்-779150"
"அங்கால","2686 வடிவேலன்
அகமத்நகர் 397770"
"மணிமொழியன் எழிலேந்தி","97/9252 வள்ளுவன்
ஆசன்சோல்-470143"
"தங்கமகன்","001 பத்ரி கடம்பா
ஈரோடு-206801"
"யூகேஷ் ரனித்தா","24/11 ஏகசந்திரா ரஜினி
கோர்பா 321986"
"கதிரவன்","76/1056 ஹர்ஷிதா தங்கம்மா
கோயம்புத்தூர் 681810"
"இசைமுரசு","70 ஹரிதா
ஜல்கான் 761584"
"கண்மணி ரகசியா","3515 மணவழகி மகிழ்வதனி
வதோதரா-758892"
"இந்திவார் ஷதா","9876 உலகிறை ஹரி
நாகப்பட்டினம்-711519"
"தனஸ்ரீ ஒளிமுகம்","34/03 யூசுப் நந்தா
கோலாப்பூர்-330599"
"நர்மதா","756 இடைக்காடர்
ஜாம்நகர்-887180"
"எழிலம்மை","199 நம்பெருமாள்
புவனேசுவர்-825638"
"ஏலா","92/73 அக்ஷா
குவஹாத்தி 249519"
"ஸத்யா அகிலா","710 சங்குமாலை ஐயனாரப்பன்
ஸ்ரீநகர் 946118"
"பத்ராயணர் பகுபாலன்","21/067 எழிற்குவளை
பெல்காம் 935652"
"ஸ்ரீலேகா வமகேஷி","008 தங்கவேலு ஏக்ராம்
குவாலியர் 950782"
"ஆதிமொழி","9 ஆதித்தா அசிரா
கும்பகோணம்-481367"
"ஆதிநாதன்","0684 பகவத்
சண்டிகர்-839248"
"ஆண்ட்ரு நந்தினி","4/5 தனுப்பிரியா சத்யமூர்த்தி
கடலூர்-967992"
"தனஸ்ரீ கடற்கோமகள்","04/1784 இந்து பரணி
தூத்துக்குடி-436850"
"உதியஞ்சேரல்","382 ஏழிசைச்செல்வி
சாங்கலி 172994"
"நம்பெருமாள் நவிதா","2534 ஹரிஷ்
திருவனந்தபுரம் 771723"
"தனுப்பிரியா ஷோபன்","28/6314 ஒட்டக்கூத்தர் மணிமகள்
மீரட் 846000"
"இசைவாணி","94/47 பத்மினி
ஐதராபாத் 008924"
"சஜனி","3/6 வழுதி நப்பசலையார்
குவஹாத்தி-187472"
"இக்பால் கதிரேசன்","16 ஷாமினி ஸ்திரிரத்னா
ஈரோடு 374386"
"மஞ்சரி அக்னேயி","133 வண்டார்குழலி உஜாகர்
திருப்பூர் 739674"
"உதியஞ்சேரல் இந்திரநீல்","3 ஐயப்பன்
வதோதரா 824192"
"சசிகாந்த்","8/3 தங்கத்தமிழன் அங்கணன்
ஜலந்தர்-275873"
"தனஸ்ரீ","76/385 அக்னிகா ஆடற்கொடி
கோயம்புத்தூர் 052819"
"மணிமொழி கண்ணப்பன்","76/29 மணி
கோயம்புத்தூர்-015430"
"தக்ஷேஷ் ராஜ்குமார்","25/033 ஷக்தி
பிரோசாபாத்-096332"
"ஷ்யாமல் ஷாமினி","3 யோகேஷ் வாணன்
துர்காபூர்-460559"
"நன்மொழியன்","6 ஏழிசைக்கதிர் யூகேந்திரன்
திருவண்ணாமலை 950898"
"வாசுதேவன் கணைக்கால்","05/1665 ஷாமினி மணியன்செல்வம்
மதுரை-174577"
"தனக்கோட்டி சஞ்ஜோக்","5/9 ராதா
தூத்துக்குடி 027212"
"ஆடலரசு ராசாத்தி","47/42 இசைமறை
இராஜபாளையம், விருதுநகர் மாவட்டம்-349428"
"கண்ணதாசன்","75/16 எழில்மதி பத்ராகன்
சேலம் 286225"
"தங்கமகன்","0221 அகரமுதல்வன்
ராய்ப்பூர் 418246"
"தனஸ்ரீ","789 உபாஸனா
கடலூர்-372379"
"கனல்மொழி","26 பகீரதன் வருனேஷ்
குல்பர்கா 162300"
"தணிகைவேலன்","59 சங்கவை யோகராணி
நாகப்பட்டினம்-833623"
"ஏழிசைக்கனல் யோகாநந்தன்","50/8310 ஏறுநடை
இந்தோர் 561071"
"வடிவேற்கரசன் நச்சினார்க்கினியன்","32/73 சசிகாந்த் மகிழினி
காஞ்சிபுரம் 158237"
"உமயாள்","01/771 நப்பசலையார் ஏழிசைநாயகி
ஆம்பூர் 279912"
"நயன்தாரா ரகு","8319 ஷஷாங்க்
நான்தேட்-414410"
"உபதேஷ்","57/556 வள்ளல்
மீரட் 026327"
"மணிச்சுடர்","5166 ஸ்ராவனி
கடலூர்-099253"
"ஆதிமகள்","3593 ஷாந்தலா
குடியாத்தம் 634207"
"தனித்தமிழ்","54/136 ஆதிமூர்த்தி கஜ்ரி
கோயம்புத்தூர் 994239"
"தனபாக்கியம்","7319 ஹிரண்யா
மதுரை 540425"
"மஞ்சரி ஸரயூ","3/4 கனல்மொழி மங்கை
ஜாம்நகர் 828559"
"தங்கராஐ;","23/9917 ராகவ் அஜய்
ரூர்கேலா-657656"
"ஷசி","86 ரஞ்சிதம் சத்தியலிங்கம்
அமராவதி 278328"
"ஆண்ட்ரு","69 மணிமாறன்
லக்னோ-947844"
"அங்கயர்க்கண்ணி உபதேஷ்","3 உலக இசைச்செல்வம்
ஈரோடு-503743"
"ஸ்ராவந்தி","50/8102 பகவதி
கான்பூர் 751201"
"ஏழிசைக்கனல்","99/039 நக்கீரர் ரத்தினம்
ஜோத்பூர் 744203"
"சசிதரன்","73 தங்கமதி அகலிகை
தன்பாத் 259824"
"தனுப்பிரியா ஷதாக்ஷி","22/2402 சஃபியா
வாணியம்பாடி 591452"
"ஹம்சவானி தனக்கோட்டி","8/8 நம்மாழ்வார்
அம்ரித்சர் 890759"
"எழிலன்","26/3817 பசுபதி ஸ்ரீநிதி
திருநெல்வேலி-453560"
"ஸ்வப்நில்","22 ஆனந்த
கோழிக்கோடு-457002"
"உன்னத் இந்திரா","54 உஜேஷ் பவளமல்லி
கோரக்பூர்-040731"
"இசையரசி","78/8797 பகுபாலன் உத்தர்
காரைக்குடி 780354"
"அக்தர்","1 ராபர்ட் ஏழிசைப்பாவை
அகமத்நகர்-297767"
"சங்கெழில்","3 தணிகைச்செல்வி பகலவன்
ஜல்கான்-585425"
"உன்மைமொழி","8/4 அக்ஷயா
கான்பூர்-602800"
"ஷ்யாம் நர்மதா","1/3 கனகா
ராஜ்கோட்-421147"
"தனுப்பிரியா","60 உபதேஷ்
சாங்கலி 221648"
"ஏழிசைக்கொடி எழிற்கதிர்","5724 வர்ஷா நம்பெருமாள்
சேலம் 946548"
"இந்திரநீல்","87/912 தங்கமணி
ராஞ்சி 134365"
"பவளமல்லி ஆசிரா","14/993 வாசு அகில்
பிகானேர் 002196"
"கஐலட்சுமி அஜந்தா","234 ஆதிகேசவன்
சண்டிகர் 050136"
"உலகநங்கை நந்தினி","265 ராஜேஷ்வரி ஊர்வசி
திருப்பூர் 604040"
"இசையரசி","704 சங்குமணி
மதுரா-300911"
"கணையாழி","46/19 நம்பி ஸ்ரீசிவநாராயணன்
மதுரை-264198"
"தங்கதுரை","8/6 கதிர்ச்செல்வி ஏழிசைக்கனல்
தூத்துக்குடி 234699"
"ஸ்ரீதர் ஸ்னேஹல்","5 யூகேஷ்
கண்ணூர்-640506"
"தனுஷா அங்கதன்","8 பத்ராயணர் வாஞ்சினாதன்
சேலம்-470585"
"இந்துமதி நங்கை","85/2805 வஞ்சிமகள்
பிரோசாபாத்-562193"
"ஸுரபி","105 கண்மணி
விஜயவாடா-292250"
"மணிப்பவளன் ஆதித்தமிழ்","97/7047 மணிப்பவளம்
விஜயவாடா 263938"
"உட்கர்ஷ் ஆடலரசி","89/565 அக்னிகுமாரன் வழுதி
கோயம்புத்தூர் 877074"
"தங்கத்தமிழ்","460 வதனா உதயன்
மும்பை பெருநகர்-365305"
"உமை","92/592 ஆதிமொழி பகவதி
பொள்ளாச்சி 114098"
"வடிவேற்கரசன்","38 உதயன்
மொரதாபாத் 438574"
"மணிமுகில்","92/6519 தணிகைத்தம்பி
ஈரோடு 230666"
"ஊர்வசி","05 தனுஷ்கா
ஈரோடு-335685"
"தனுஷா","9 யாழ்மொழி
வாரணாசி-832412"
"இக்பால்","5 சக்கரவர்த்தி ஐயம்பெருமான்
ஆக்ரா-855924"
"எழினி","6 தன்வி மணி
ஜலந்தர்-337631"
"ஹரிஷ்","35/513 ஸரஸ்வதி
சேலம் 612998"
"சங்காரம் ஆதிமூர்த்தி","23/59 தனுப்பிரியா ஏந்தல்
அவுரங்கபாத் 141643"
"ஸ்ரீகமா ஷாஷினி,","82 அகவன்
கொல்லம்-871209"
"ஏழிசைக்கலை எழிற்கதிர்","5 மணிமலை கணையாழி
ஜம்சேத்பூர் 513508"
"பத்ராகன் ஆதிகுணா","61 பத்ருஹரி தணிகைமுருகு
உதயப்பூர் 951684"
"பனிமலர்","72 யாழைப்போல் இசையேந்தல்
மதுரை 033453"
"ஸ்திரிரத்னா","45/4656 இசைவளவன்
கோட்டா-546719"
"தனுஷ்கா அகோரா","61 ஏந்திசை உயிரோவியம்
சென்னை-146457"
"ஆட்டனத்தி","77 ஹிரண்யா ஆனந்தசாகரன்
நெய்வேலி 965148"
"கணேஷ் உன்மேஷ்","57 கனிமதி யோகலிங்கம்
காரைக்குடி 983686"
"எட்டப்பன் ஷலின்","79/829 பகவதி வண்டமிழ்
கரக்பூர் 964666"
"இசக்கிமுத்து சத்யராஐ;","21/8096 கண்ணையன் கதிர்ச்செல்வி
கோயம்புத்தூர் 153644"
"மணிப்பவளம்","045 ரஞ்சிதம் தங்கவேலன்
ரூர்கேலா 453642"
"அகவொளி","2 அகற்கண்ணன் வசுமதி
நெய்வேலி 448009"
"ஒளிவாணி","681 ஆதித்தா உதர்
மும்பை பெருநகர்-792190"
"சஃபியா அங்கணன்","779 யோகராணி
ஜெய்ப்பூர்-011680"
"வளவன் ஸ்ரீபிரசாத்","1/9 ஹம்ரிஷ் தன்வி
அகோலா-952010"
"தனுஷ்கா வாஞ்சினாதன்","6/7 இதயா
திருவனந்தபுரம் 361142"
"இசைவேந்தன் ஒளி","7639 ராஜவேலு
குண்டூர் 240395"
"இசைக்கோ","8/3 யோகலட்சுமி
திருச்சிராப்பள்ளி-258137"
"கதிர்மாமணி","24 யாழரசி தங்கக்கதிர்
ராஞ்சி 307602"
"சஞ்சய்","788 ஷதாக்ஷி
ஓசூர் 881194"
"பசந்த் ஷரினி","09/43 மணிமாறன்
குல்பர்கா 498000"
"அச்சலா","96/412 யாழரசன் யோஸ்னிதா
ஜான்சி-214230"
"ஷானவாஸ் ஸ்ரீநிவாசன்","35/1181 வடிவேற்கரசன் மணிமுகில்
அகமத்நகர்-634895"
"இசையாளன் பரணி","30/446 ஸ்ரீகா
குண்டூர்-900877"
"ஒட்டக்கூத்தன்","46 உபாஸனா
பாவ்நகர்-792842"
"தனுஷ்ரி","1/5 கணியன்
பாவ்நகர் 810653"
"நன்மணி","176 நாகமதி
தாவண்கரே 899868"
"பவழமொழி எழில்மன்னன்","74 ஆனந்தசாகரன் தணிகைமுருகன்
கோயம்புத்தூர் 233673"
"மணிமுகில்","96/793 தங்கமுத்து ஒட்டக்கூத்தன்
ஜம்மு 615408"
"வள்ளுவர் எழிலழகன்","6 உத்தவ் யோகராணி
கயா 191176"
"இசைச்செல்வன்","62 ஷிகா
சண்டிகர்-366760"
"இசையமுது ரகுபதி","18/23 கண்ணிமை சசிகுமார்
அகமத்நகர் 382878"
"ஸ்ரீகலா","17/380 உதயவன்
குண்டூர் 440906"
"அகல்","14/1174 ரமணி
பொள்ளாச்சி 534369"
"யூகேஷ்","6/9 ஸ்ரீநிதி
மதுரை-549958"
"தனுஷ்ரி","29/46 நாகம்மை
வதோதரா-512704"
"சத்யவிரதன்","86/94 எழிலழகன் நாகமதி
மீரட்-773306"
"ஒள்ளறிவன் உத்தவ்","19/08 மகிழரசன் பதிரன்
குண்டூர்-054527"
"எழிலம்மை கங்கைகொண்டான்","78/83 மணிவண்ணன் ஸரளா
கோயம்புத்தூர் 799740"
"எழிற்குவளை","10/684 யூகேந்திரன்
இந்தோர்-388588"
"கண்ணிமை","175 ரஞ்சனா
ராமகுண்டம் 067829"
"எரிதழல்","3584 ஹரிதாஸ்
ஜம்மு 847549"
"ஷோபன்","32 இசைநேயம்
காரைக்குடி-377292"
"ஸ்வப்நில்","92/0236 உதியஞ்சேரல்
பிகானேர் 711259"
"இந்துவதனி கதிர்மாமணி","08 மஞ்சனா ஏழிசைக்குமரன்
கயா-350050"
"தன்சி இசைக்கலை","24/4020 உதியஞ்சேரல்
சென்னை 852849"
"ஆத்மஜா,","89 கண்மணி
சோலாப்பூர்-405306"
"எரிதழல் ரட்சகா","19/230 கடலரசி
அஜ்மீர்-039301"
"ஆதவன்","0225 பத்ரநிதி தக்ஷேஷ்
போபால்-848501"
"ஆதித்தா ஆஞ்சல்","2992 ஆதி
புனே 620750"
"நன்மணி ஷபீர்","67/33 தங்கக்கதிர்
பரேலி-172665"
"யோகாநந்தன்","77/2129 எழிற்பாவியன்
விஜயவாடா 001296"
"பரிமளம் ஷர்வானி","1/4 ஆசிரா வனிதா
ஈரோடு 752402"
"யாழ்ப்பாணன் ஹன்யா","08 ஏழிசைதேவி இசக்கிமுத்து
கும்பகோணம்-569005"
"ஆதர்ஷா","9 சசிகலா ஆண்டர்ஸன்
தில்லி 287004"
"தன்சி","24 ராஜகுமாரி பஞ்சாமிர்தம்
ஜெய்ப்பூர்-653994"
"ரகுவரன் பவளக்கொடி","64 சகுண்
மாலேகான்-003268"
"ஹஸினா","919 நன்னாடன் பல்லவி
குடியாத்தம் 616070"
"மணிகண்டன்","40 நாதவேணி
சென்னை-211138"
"ரஞ்சிதம்","2476 சகீனா பன்னீர்
திருச்சிராப்பள்ளி-897855"
"ஸரஸ்வதி","28/63 ஹர்ஷிதா ஸகஸ்ரா
கொல்லம் 784001"
"அகற்குறி","14/96 சஞ்ஜோக் பரிமளம்
புவனேசுவர் 351193"
"ராஜகுரு யோகலிங்கம்","82/95 ஷஷி
மைசூர்-771812"
"வஞ்சி","4690 சந்தனு
மங்களூர்-443704"
"உமையாள் ஏழிசைக்குமரன்","10/8550 உத்கர்ஷா
மதுரா 522901"
"தன்மானம் மங்கையர்க்கரசி","86/82 சங்கு நம்பியூரான்
மதுரை-220625"
"இசைமணி அகழ்மேனி","1411 மகிழ்நன் யாழின்
பாவ்நகர்-416941"
"மணிமொழி","07/03 எழிலகன் ரகு
காரைக்குடி-029366"
"தணிகைமணி இசைக்கோ","7079 ரஜினி
தன்பாத் 556138"
"பகீரதன் ராமசாமி","50/506 ஆதிநாதன் வடிவேற்கரசன்
ஜம்மு-512924"
"இசைநேயம்","15/905 ஏழிசைமணி
பெல்காம் 160672"
"ஆடற்செல்வி நம்பிள்ளை","04/830 ஏழிசைக்கனல்
பரேலி 221646"
"அக்னேயி","63 ஆதி சஃபியா
ஜெய்ப்பூர் 632068"
"இசைக்கலைவாணன்","75/37 ஸ்ரீசிவநாராயணன்
பரேலி-624835"
"பசந்த்","56/884 ராஜவேலு
ஜாம்நகர் 155099"
"தன்மானம் ரம்ஜான்","02/756 கண்ணகி
மதுரை-373789"
"நந்தன் யஷ்வந்த்","52/5720 ஏந்திழை
ராய்ப்பூர் 562173"
"நாகம்மாள் ஸத்வரி","15 சசிகலா யோகாநந்தன்
சாங்கலி-242459"
"ஏகசிந்த் பசுபதி","0891 ஆசிரா அக்னேயி
நெய்வேலி-205285"
"அகுல், ஸுமா","12/98 சதிகா
லூதியானா-750819"
"ஊர்வசி ஹேமலதா","82/3883 கணேஷ் இந்திராக்ஷி
ஜபல்பூர் 235693"
"தணிகையரசு","228 கதிர்க்குமரி
குண்டூர்-236533"
"கடலிறை தணிகைச்செல்வன்","4953 உமை இசைவளவன்
கான்பூர்-261081"
"அக்ஷயா","85/4430 அங்கையர்க்கரசி
கோட்டா 498998"
"தங்கதுரை பாக்யஸ்ரீ","126 அஜய்
உதயப்பூர் 742006"
"தன்மானம்","10/31 மணிமேகலை நன்மணி
கோரக்பூர் 432905"
"இசைக்கோ","553 எழிலன்பன்
மாலேகான் 163566"
"ஆக்னேயா ஹரிதா","11 வளவன் ஏழிசைக்கலை
புதுச்சேரி 856995"
"ஆதித்தி","4252 ஏழிசைக்கலை
பொள்ளாச்சி-034928"
"அகிலா","2 ஷசி ஹாசினி
அம்ரித்சர்-047971"
"எழிலம்மை","97/91 ரஞ்சனா சத்யராஐ;
ஆக்ரா-993264"
"மணிரத்ணம்","9/8 கடம்பன் நக்கீரர்
மும்பை பெருநகர் 226903"
"மணவாளன்","25/0496 ராஜா ஏகாபரனா
ராய்ப்பூர்-541550"
"பகுபுத்ரன்","86 ராஜா
அலிகார் 682651"
"கனகவள்ளி","647 ஷோபன்
திருநெல்வேலி 208176"
"தன்மானம்","94/07 கணியன் ஸ்துதி
புதுக்கோட்டை 787509"
"அச்சலா","33 பகவத்
மைசூர் 780098"
"எமில்டா எழில்மன்னன்","455 மகிழ்கோ ரகுபதி
சோலாப்பூர்-046356"
"அக்ரூர்,","0/3 கணேஷ்
கோயம்புத்தூர்-206289"
"ரமேஷ்","31/3561 ஹஸிதா எழிலி
பாவ்நகர் 618184"
"அங்கவை ஒளிவேந்தன்","6/6 அச்சுதானந்தன்
மதுரை 885458"
"ஷ்வேதங்க்","6/7 நன்மொழி சஞ்ஜோக்
மொரதாபாத்-348007"
"ஸ்ரீநிதி","24 இசைமாமணி கனல்
மும்பை பெருநகர் 449101"
"ஏழிசைக்கனி","0465 மணியரசன் ராணி
சாங்கலி 037207"
"ஹன்சா","46/73 வணங்காமுடி
பொகாரோ-527673"
"தன்வி","3 தனுஷா ஸகஸ்ரா
திருவண்ணாமலை-299860"
"ஹலிமா ஆண்டாள்","51 ஆடலரசு
அகோலா-345015"
"தங்கத்தமிழ் யேகம்மை","79 வருணி ஸ்மிருதி
தன்பாத் 296871"
"ஆதிமறை","9/5 ஸுபத்திரை
சென்னை-890174"
"இந்திரா எழில்மணி","10/325 தணி;சேரன் ஐயப்பன்
அகோலா 792133"
"ஏழிசைப்புதல்வி","94/846 பத்மா
வாரங்கல் 358022"
"எழிற்கோமகன்","3 வருனிதா
உஜ்ஜைன் 957766"
"இசக்கிமுத்து ரமணி","10/203 தன்வி உண்மையொளி
கோரக்பூர் 791425"
"இடைக்காடர்","26/407 ராஜவேலு ஹரினி
ஜலந்தர் 112613"
"மணிமொழி","31/763 நம்பெருமான்
லூதியானா 426476"
"தன்வி","80/4581 கண்ணதாசன்
காஜுவாகா 459476"
"ஷியாம் ஸ்ரீதேவி","21/209 ஷாஹ்னா மணி
குமாரபாளையம்-706322"
"இசைச்செல்வி ஸ்ரீசிவநாராயணன்","04/385 யோகலிங்கம்
வாணியம்பாடி 847844"
"வஞ்சிக்கொடி இக்ஷிதா","76/52 ஆதவன்
அம்ரித்சர் 311908"
"ஹஸ்னா பவதா","148 ஸ்ரீகமா ஆதிகேசவன்
திருவனந்தபுரம் 087574"
"ராசாத்தி ஆண்டர்ஸன்","133 இக்ஷிதா
ரூர்கேலா 087132"
"மணிக்கொடி","97 அச்சலா ஹம்ரிஷ்
ஜலந்தர்-508996"
"பகுபலி சதிஷ்வரன்","3416 தங்கேஷ்வரன்
சிவகாசி-444544"
"ஏழிசைக்கதிர் ஷரணி","23/45 ஹர்ஷிதா நன்னெறியன்
கோழிக்கோடு-027791"
"கனியமுது","4397 பகுமித்ரன் எழில்மலை
திருவண்ணாமலை 206243"
"நக்கீரன்","39 சங்கவி ஆண்டாள்
வேலூர் 184035"
"ராபர்ட்","12 ஹரிகரண்
நாகப்பட்டினம்-145731"
"இக்ஷூ, உன்மேஷ்","35/0079 தன்வி
மங்களூர் 342024"
"மணிரத்ணம் நந்திதா","57/957 ஷந்தோஷி
உதயப்பூர்-748425"
"இந்துகா","652 உமாமகேஷ்வரி
உஜ்ஜைன் 937829"
"பாக்யஸ்ரீ","86 யோகராணி
ஜான்சி 035048"
"எமில்டா","9/2 ரக்ஷினி ஏழிசைக்கனி
பாட்னா 040774"
"ஷஷி","4 ஸ்ரீதர்
ஹுப்ளி-தர்வாத்-075198"
"ஒளிஒவியம்","4/8 சத்யவிரதன்
வாணியம்பாடி-666198"
"உன்னதி","37/3975 ஏகா
பாட்னா 915892"
"நக்கீரன்","4694 ஸ்ரீலேகா ஒளியன்
காஜுவாகா-710036"
"தங்கவேலன் ஆதர்ஷ்","78/5296 அங்கவை
ஜம்சேத்பூர் 718584"
"சகுந்தன்","11/9348 மணியன் இசைச்செல்வம்
மதுரை 807287"
"இசையாளன் அங்கையர்க்கரசி","45 ஷாலினி அங்கயர்க்கண்ணி
திருச்சிராப்பள்ளி 028301"
"பத்ருஹரி சசிகுமார்","3 ஸ்ராவனி ஏகா
சிலிகுரி 372203"
"இசைநேயம்","84/0466 ஹரிஹரன் எரிதழல்
வதோதரா-708467"
"ஷர்மிதா","53/4209 மஞ்சரி
நாக்பூர் 514003"
"ஷ்யாமல்","41/11 இசைமுதல்வன்
ஆசன்சோல் 219557"
"ஆதித்யா","75/17 அக்ஷரா
சென்னை 449598"
"பத்மநாபன் சங்கன்","117 ஒட்டக்கூத்தர் மங்கை
ஹுப்ளி-தர்வாத்-156643"
"நக்கீரன்","7521 மணியரசன் பசந்த்
காஜுவாகா 157790"
"யாழ்ப்பாணன் ரித்திகா","486 அகல்விழி
நான்தேட்-144558"
"நறுமலர் மணிமொழி","42/298 உதயன் அகிரா
ஆக்ரா-812041"
"இதயா","7823 அகலிகை இந்துவதனி
தஞ்சாவூர்-138431"
"உபமன்யூ","74/124 எழிலாம்பல் அச்சலா
ஜபல்பூர் 668395"
"மணவழகி","02/5800 பகவந்த்
கோலாப்பூர் 546037"
"ஸ்ரீதர்","919 தனஸ்ரீ எரியீட்டி
ரூர்கேலா 782904"
"யாழ்மொழி","74/14 அகவொளி
பிலாய்-140390"
"ஏழிசைக்குமரி","4 உத்கர்ஷா ஒளியவன்
கரக்பூர்-147510"
"உதயச்சல்","14 ரீனா
ராமகுண்டம்-599633"
"நக்கீரர் வாஞ்சினாதன்","0240 எழிற்கோ ஸ்ரீராம்
சேலம்-283314"
"நம்பிள்ளை","5 வசுதா
ஆசன்சோல்-539623"
"கடர் ஷாஷினி,","58/37 ஸுப்ரீத் தங்கச்சுடர்
நெல்லூர்-748239"
"பகுபாலன் நாதவேணி","69/8803 எழிலரசி
ஜெய்ப்பூர் 324158"
"ஆதி","7770 ராஜவேலு இசைச்செல்வன்
திருநெல்வேலி 004042"
"உலகமதி தன்மானம்","28/35 பவதா
திருநெல்வேலி-512932"
"யோகவல்லி","6/5 பத்மபிரியா நவ்யா
கரூர் (கரூர் மாவட்டம்) 947531"
"தனுஷ்ரி","6/2 நாகமணி ஸ்ரீலக்ஷ்மி
திருச்சிராப்பள்ளி-290795"
"ரஞ்சினி அக்மல்,","48/1430 எழில்மகள் ஹரி
நாகப்பட்டினம்-092274"
"நடவரசன் இசைமறை","8442 கண்மணி
உஜ்ஜைன் 046372"
"நக்கீரர்","2/9 சங்கமித்ரை தங்கமகள்
ராஜமுந்திரி 363298"
"இசையழகன் ராதா","1 இசைச்செல்வன்
அமராவதி-122041"
"ஷாலிகா சந்தனம்","8567 உட்கர்ஷ்
நான்தேட் 615468"
"தமயந்தி ஸத்யா","85/21 வர்ஷா
பிரோசாபாத் 824566"
"ஒளி ஆஞ்சல்","27/4727 ஷதாக்ஷி
சென்னை 453077"
"ஸஹிரா","53/482 மணியரசி யோகேஷ்
கரூர் (கரூர் மாவட்டம்)-077544"
"ஆதிகுணா","61/9744 எழிலரசன் வண்டார்குழலி
காஞ்சிபுரம்-310666"
"நாச்சியார்","77/164 ஆண்ட்ரு பல்லவி
மைசூர் 930935"
"அகிரா வர்ஷா","33/2487 இசைவாணன் உத்தர்
கரூர் (கரூர் மாவட்டம்) 973798"
"வாஞ்சினாதன் சங்கமித்ரை","4/1 ஏழிசை
ஈரோடு 785522"
"நக்கீரர்","3 உதித்
கோழிக்கோடு 791582"
"கண்மதியன் மகிணன்","65/9099 எழில்மணி
லக்னோ 650139"
"தங்கம்மா","78 கதிர்ச்செல்வி
கண்ணூர் 966003"
"உமையாள்","3/2 தங்கம்
உதயப்பூர் 311325"
"இக்பால் மணிமுகில்","73/00 ஷஷி
காரைக்குடி-159024"
"அங்கால","059 எழிற்குமரன்
திண்டுக்கல் 600595"
"கண்ணப்பன் ஹன்ஷிகா","6 ஆடலரசி சஜீத்
குவஹாத்தி-493270"
"சக்தி","13 ஹன்சா
புதுச்சேரி-396728"
"ஷாலிகா","3/8 தணிகைமுருகன் வல்லவன்
குடியாத்தம் 718471"
"ஷதாக்ஷி","36 எல்லி
ஜோத்பூர்-786083"
"நச்சினார்க்கினியன்","55/882 உலகோவியம் இசைவளவன்
பிகானேர்-311667"
