"Adam Beránek","Boušova 359
711 78 Liberec" 
"Václav Sedláček","Brixiho 43
723 36 Heřmanův Městec"
"Blanka Sýkorová","Nýdecká 37
324 25 Třemošnice"
"Karolína Petrová","Vršovka 9
406 45 Nové Sedlo"
"Kryštof Šimek","Za Stadionem 4
613 19 Zdice"
"Johana Fialová","Hněvkovského 39
182 51 Velká Bystřice"
"Kamil Stejskal","Na Letné 9
529 25 Černovice"
"Věra Králová","Na Pomezí 6
179 11 Luhačovice"
"Veronika Šťastná","Za Arielem 1
676 53 Hořovice"
"Dobroslav Procházka","Musílkova 9
299 26 Trhové Sviny"
"Vít Horák","Severní Viii 3
247 88 Sadská"
"Martin Jaroš","Kalská 266
747 38 Týniště nad Orlicí"
"Olivie Sýkorová","Panenská 931
536 17 Slavonice"
"Leoš Bednář","Slatiňanská 40
185 99 České Budějovice"
"Květa Brožová","Za Arielem 7
655 61 Spálené Poříčí"
"Ladislav Pavlík","Pod Průsekem 785
698 88 Horní Benešov"
"Jaroslava Bartošová","Josefa Houdka 7
587 91 Nová Paka"
"Věra Kadlecová","Budčická 701
679 72 Fryšták"
"Kryštof Pavlíček","Slivenecká 3
486 84 Železná Ruda"
"Jiří Fiala","Mongolská 2
603 91 Žirovnice"
"Drahomíra Růžičková","Verdunská 172
637 20 Žebrák"
"Mahulena Marešová","Křížkovského 81
748 74 Rokytnice v Orlických horách"
"Břetislav Pavlíček","V Nížinách 58
482 26 Frýdlant nad Ostravicí"
"Roman Vacek","Purkyňova 2
292 21 Ledvice"
"Květa Dostálová","Chotovická 10
290 13 Pohořelice"
"Mahulena Jelínková","K Otočce 454
521 74 Ronov nad Doubravou"
"František Jaroš","Malešovská 376
322 58 Dašice"
"Vratislav Müller","Vokrojova 4
435 84 Chřibská"
"Františka Doležalová","K Matěji 483
503 95 Vidnava"
"Jan Janda","Jírova 4
244 44 Hranice (okres Cheb)"
"Bořivoj Kříž","Před Rybníkem 1
140 94 Lipník nad Bečvou"
"Martin Mareš","Na Pomezí 402
184 07 Tanvald"
"Ivan Moravec","Klímova 760
496 72 Chropyně"
"Hubert Kubíček","Horní Chaloupky 807
515 45 Hradec Králové"
"Květa Horáčková","Nábřeží Kapitána Jaroše 26
483 11 Kunovice"
"Tomáš Malý","Bořetínská 22
322 71 Řevnice"
"Michal Čech","Lešenská 264
282 30 Pečky"
"Jaroslava Petrová","Dřítenská 488
794 36 Bochov"
"Blahoslav Vlček","Na Pěšině 124
633 61 Lázně Kynžvart"
"Miroslav Dostál","Svojsíkova 782
665 85 Nová Bystřice"
"Petr Doležal","Ke Břvům 31
306 71 Sobotka"
"Vlasta Jelínková","Do Zahrádek Ii 637
614 38 Bystřice nad Pernštejnem"
"Daniel Marek","Hvězdonická 207
754 45 Strážnice"
"Daniel Němeček","Jiřinková 6
250 45 Nýrsko"
"Květa Machová","Svornosti 256
658 22 Lysá nad Labem"
"Libuše Šmídová","Mladoboleslavská 88
435 95 Ledvice"
"Radoslav Malý","Jugoslávská 55
530 07 Králův Dvůr"
"Otýlie Ježková","Vlašimská 52
363 31 Abertamy"
"Marta Králová","Moravská 6
742 50 Poběžovice"
"Dominik Dostál","U Waltrovky 55
393 53 Veltrusy"
"Veronika Malá","Petřínská 2
645 60 Kdyně"
"Vítězslav Kraus","U Waltrovky 8
339 74 Jablonné v Podještědí"
"Drahomíra Nováková","Drahanská 62
759 62 Kunštát"
"Bohumil Jaroš","Izraelská 632
281 66 Zruč nad Sázavou"
"Květa Novotná","Jiřinková 2
677 77 Loučná pod Klínovcem"
"Monika Sedláková","Kosmonoská 321
491 25 Sobotka"
"Mikuláš Bednář","Pelclova 3
616 87 Bílovec"
"Miroslav Staněk","Průškova 54
247 64 Spálené Poříčí"
"Pavla Pešková","Kadaňská 44
166 54 Javorník"
"Antonín Vaněk","Uljanovská 11
314 00 Podivín"
"Ondřej Doležal","Suchdolská 97
155 64 Olomouc"
"Šárka Štěpánková","Komenského Nám. 775
517 69 Bystřice"
"Agáta Tůmová","Opočínská 82
487 26 Česká Skalice"
"Lada Čermáková","Grammova 9
346 45 Jesenice (okres Rakovník)"
"Květa Němcová","Novákovo Náměstí 3
344 53 Proseč"
"Štěpánka Horváthová CSc.","Závrchy 7
158 65 Chlumec nad Cidlinou"
"Pavel Hruška","Mírová 64
208 51 Luby"
"Lada Svobodová","Malešovská 514
479 75 Lázně Kynžvart"
"Dagmar Žáková Th.D.","Semická 897
301 55 Přeštice"
"Apolena Slavíková","Pyšelská 33
365 61 Kostelec nad Černými lesy"
"Elena Pešková","Lovčenská 42
546 05 Veselí nad Lužnicí"
"Martina Havlíčková","Čerpadlová 1
575 06 Janské Lázně"
"Johana Beránková","Kunratická 545
674 03 Přebuz"
"Miloslav Černý","Záblatská 882
216 74 Staré Město (okres Uherské Hradiště)"
"Květoslava Bartošová","Poslední 954
520 58 Děčín"
"Zdenka Novotná","K Betáni 93
729 08 Volary"
"Zbyněk Musil","Havlíčkova 91
788 39 Brandýs nad Orlicí"
"Antonín Malý DSc.","Ke Strašnické 5
209 61 Zbýšov"
"Růžena Tůmová","Přípřežní 3
221 72 Úvaly"
"Radovan Jelínek","U Mlýnského Rybníka 486
239 67 Bystřice pod Hostýnem"
"Roman Havlíček","K Šedivce 71
511 03 Janov"
"Alexandra Čermáková","Doubická 3
285 35 Libochovice"
"Lýdie Jarošová","Rokytnická 294
337 20 Hořice"
"Jaroslav Beránek","Jírova 83
733 72 Nejdek"
"Květoslava Beránková","Vršovka 175
143 04 Český Brod"
"Květa Králová","Dolní Chaloupky 6
513 29 Choceň"
"Alice Valentová","Hvězdonická 1
419 98 Nové Město nad Metují"
"Stanislav Stejskal","V Padolině 25
761 70 Praha"
"Ester Bláhová","Chládkova 99
259 01 Rudná"
"Helena Benešová","Lešenská 3
135 94 Janské Lázně"
"Daniel Soukup","Na Vartě 1
336 60 Vidnava"
"Jonáš Růžička","Náměstí Hrdinů 76
296 20 Neveklov"
"Monika Říhová","Doubická 37
315 46 Mšeno"
"Vendula Vávrová","U Vlachovky 54
103 86 Osečná"
"Květoslava Fišerová","Nad Rokytkou 274
160 74 Třešť"
"Radomír Kratochvíl","Za Křížem 8
306 79 Mikulov"
"Stanislav Černý","U Podjezdu 8
731 63 Dačice"
"Eva Dostálová","Stroupežnického 2
396 05 Velká Bystřice"
"Marie Říhová","K Betáni 9
573 84 Česká Skalice"
"Anděla Jarošová","Heydukova 9
583 54 Hrádek nad Nisou"
"Vlasta Krausová","Javornická 778
454 13 Úpice"
"David Beran","Ivančická 8
281 91 Bělá nad Radbuzou"
"Pavlína Marková","Hradecká 118
246 66 Ledeč nad Sázavou"
"Dita Šimková","Na Laurové 2
503 83 Abertamy"
"Květoslava Havlíčková","K Lipám 924
655 53 Dobrovice"
"Luděk Pokorný","Spojovací 79
126 44 Rotava"
"Jaroslava Němcová","Horní Chaloupky 83
409 38 Plánice"
"Michael Fišer","Za Arielem 79
699 23 Úterý"
"Jaromír Havel","Jižní 755
197 68 Petřvald"
"Denisa Ševčíková","Vokrojova 655
286 80 Bystřice nad Pernštejnem"
"Klára Janečková","Teplická 1
556 22 Choceň"
"Alexander Král","Souběžná 454
412 47 Prostějov"
"Danuše Lišková","U Smíchovského Hřbitova 84
778 35 Radnice"
"Simona Machová","Višňová 9
544 85 Uhlířské Janovice"
"Květoslava Kadlecová","Na Strži 55
371 70 Nové Hrady"
"Karolína Kubíčková","Sulická 12
108 62 Police nad Metují"
"Zdeňka Krausová","Na Lázeňce 165
563 76 Chyše"
"Mahulena Slavíková","Opavská 42
642 15 Horní Jelení"
"Kristýna Horáková","U Hřiště 47
259 61 Vrbno pod Pradědem"
"Jonáš Ježek","Škrétova 53
575 25 Mýto"
"Petr Pavlík","Moravanská 63
375 71 Mýto"
"Iveta Pokorná","V Lipách 3
135 35 Kaplice"
"Štěpán Růžička","Budapešťská 100
548 10 Nový Knín"
"Ferdinand Kovář","Konžská 953
205 23 Dačice"
"Květoslava Nováková","Thurnova 529
752 32 Kamenický Šenov"
"Denis Havel","Na Spojce 125
204 02 Jablonec nad Nisou"
"Jaromír Dvořák","Družná 4
241 46 Poběžovice"
"Alena Kopecká DSc.","Ševčíkova 8
238 85 Hostinné"
"Ester Dvořáková","Jižní 6
777 62 Smržovka"
"Emilie Benešová","Onšovecká 750
568 57 Vimperk"
"Nina Horáková","Doubravínova 46
731 18 Smiřice"
"Slavomír Moravec","Vlasákova 61
448 57 Pilníkov"
"Ludmila Pavlíková","Moravská 835
339 19 Rokytnice v Orlických horách"
"Svatoslav Pokorný","Všejanská 3
223 68 Loučná pod Klínovcem"
"Květoslava Němečková","Čerpadlová 86
122 73 Loučná pod Klínovcem"
"Emil Havel","Lánovská 4
671 66 Velké Pavlovice"
"Albert Polák","Vlašimská 4
729 03 Podbořany"
"Vanda Pokorná","Liškova 499
325 42 Břidličná"
"Hana Tichá","Pavlova 5
780 50 Černošice"
"Šimon Dušek","Na Letné 26
685 63 Brušperk"
"Jarmila Marková","Pohořelec 6
420 96 Hlinsko"
"Bořivoj Janda","Klouzková 381
205 66 Mnichovo Hradiště"
"Robin Čermák","Thurnova 89
558 97 Borovany"
"Božena Tůmová","Ke Břvům 6
193 49 Šluknov"
"Květoslava Petrová","Liškova 568
346 80 Klobouky u Brna"
"Nela Blažková","Moravská 7
272 71 Vejprty"
"Mgr. Viktor Šimek","V Padolině 473
773 82 Žirovnice"
"Agáta Marková","Vašátkova 54
269 97 Kostelec na Hané"
"Vratislav Soukup","Ke Hrázi 91
774 69 Konice"
"Jaroslav Zeman","U Nového Dvora 1
379 34 Králíky"
"Františka Říhová","Doubická 6
666 45 Borovany"
"Matěj Vaněk","Na Kuthence 5
454 50 Police nad Metují"
"Karolína Růžičková","Nedvědovo Náměstí 890
286 19 Liberec"
"Otýlie Růžičková","Šárovo Kolo 4
222 38 Nasavrky"
"Květoslava Stejskalová","Za Arielem 116
746 52 Bechyně"
"Vendula Procházková","Zálesí 995
387 45 Ostrava"
"Blažena Brožová","Nábřeží Ludvíka Svobody 26
752 28 Lázně Bohdaneč"
"Bořivoj Veselý","Semická 991
528 62 Nová Včelnice"
"Antonín Macháček","Kralupská 6
231 48 Abertamy"
"Dalibor Kratochvíl","Višňová 841
122 66 Olomouc"
"Miroslav Hájek","V Hájkách 6
711 47 Plánice"
"Radek Staněk","Slatiňanská 55
190 41 Velké Bílovice"
"Lenka Kopecká","Horní Stromky 88
292 84 Janovice nad Úhlavou"
"Ludmila Machová","Mezi Lysinami 55
277 37 Protivín"
"Květoslava Tůmová","Hvězdonická 6
240 92 Budyně nad Ohří"
"Stanislav Stejskal","Olympijská 8
384 31 Karolinka"
"Adam Strnad","Bratří Čapků 9
796 40 Holýšov"
"Stanislav Černý","Kalská 985
212 47 Králův Dvůr"
"Libuše Dostálová","Ke Březině 9
600 69 Plumlov"
"Růžena Čermáková","Jindřicha Plachty 906
754 44 Nové Hrady"
"Šárka Žáková","Súdánská 916
206 43 Oslavany"
"Šimon Dušek","Sulická 415
670 33 Bohušovice nad Ohří"
"Václav Šťastný","K Prelátům 33
719 47 Hronov"
"Aleš Ježek","Podle Náhonu 7
282 18 Město Albrechtice"
"Květoslava Valentová","Rudoltická 498
540 65 Šlapanice"
"Sára Blažková","Na Příčné Mezi 6
170 28 Liberec"
"Markéta Vacková","Veronské Nám. 650
506 22 Blatná"
"Jonáš Jelínek","Moravanů 921
432 22 Švihov"
"Vladislav Horváth","Dobrošovská 64
405 43 Mimoň"
"Michal Havlíček","U Podjezdu 57
268 46 Šenov"
"Jonáš Horváth","Nad Zámečkem 448
415 49 Miroslav"
"Karolína Horáčková","Za Křížem 960
768 50 Planá nad Lužnicí"
"Gabriela Blažková","Jablonecká 60
579 67 Chotěboř"
"Ludmila Kolářová","Žofie Podlipské 443
731 13 Boží Dar"
"Květoslava Vávrová","Augustova 521
200 32 Uhlířské Janovice"
"Emil Horáček","Na Staré Vinici 636
301 26 Červená Řečice"
"Františka Horáková","Nad Zavážkou 51
614 46 Bojkovice"
"Zora Marešová","Klouzková 355
523 08 Králův Dvůr"
"Naděžda Růžičková","Jihovýchodní I 5
252 29 Nové Město pod Smrkem"
"Lýdie Petrová","Medlovská 16
201 19 Proseč"
"Elena Zemanová","V Lipách 111
186 08 Nejdek"
"Marie Šťastná","Štychova 738
648 05 Plzeň"
"Miloslav Šimek","Nad Mostem 974
655 66 Moravské Budějovice"
"Nikola Beranová","Purkyňova 59
114 91 Hrob"
"Lada Horváthová","Pirinská 281
635 39 Žirovnice"
"Bc. Jiří Novotný","Na Křivce 66
737 38 Janov"
"Dobroslav Mach","Nad Krocínkou 399
479 06 Hora Svaté Kateřiny"
"Patricie Beranová","Mírová 117
368 74 Přimda"
"Vlasta Kašparová","Zbynická 35
788 79 Libušín"
"Radek Müller","Na Nivách 2
236 41 Kamenice nad Lipou"
"Otakar Pavlík","Bajkalská 978
729 77 Blšany"
"Zora Černá","Do Zahrádek Ii 55
582 34 Brušperk"
"Tomáš Kovář","Vraňanská 54
471 18 Jablonec nad Jizerou"
"Ctirad Mach","Za Křížem 7
661 25 Mikulov"
"Lada Kolářová","Podle Náhonu 3
434 22 Sedlice"
"Alice Tomanová","Doubravická 1
383 02 Luby"
"Daniela Havlíčková","Josefa Houdka 7
156 20 Strmilov"
"Štěpánka Stejskalová","Opletalova 656
458 94 Jiříkov"
"Miroslav Tůma","U Vlachovky 8
257 34 Přerov"
"Anna Kašparová","Nad Rohatci 5
480 93 Týnec nad Labem"
"Milada Dostálová","Estonská 815
563 12 Horažďovice"
"Věra Němcová","Na Kozinci 78
221 37 Strmilov"
"Štěpánka Musilová","Na Náspu 38
650 81 Počátky"
"Radka Konečná","Nad Rokytkou 3
212 34 Světlá nad Sázavou"
"Lada Machová Th.D.","Nábřeží Ludvíka Svobody 7
135 61 Černovice"
"Adéla Čechová","Podohradská 1
463 68 Luhačovice"
"Richard Soukup Th.D.","Rýmařovská 48
772 68 Žlutice"
"Ferdinand Kašpar","Sádovská 778
621 36 Dolní Bousov"
"Oldřich Sedlák","Jeruzalémská 7
573 47 Kamenice nad Lipou"
"Horymír Veselý","Vlašimská 78
775 94 Netolice"
"Robin Bartoš","V Hájkách 7
371 72 Kdyně"
"Ctirad Slavík","Opavská 6
402 39 Bučovice"
"Olga Lišková","Nám. Republiky 78
659 29 Hora Svaté Kateřiny"
"Robert Beránek DiS.","Svatoplukova 5
624 90 Kopidlno"
"Lada Müllerová","Výhledské Nám. 17
390 52 Oloví"
"Leona Hájková","Na Cikánce 9
472 70 Rovensko pod Troskami"
"Ing. Václav Vávra","Snopkova 885
732 88 Mašťov"
"Ester Tomanová","Do Zahrádek Ii 81
663 13 Újezd u Brna"
"Vasyl Fišer","Na Cikánce 6
314 64 Šenov"
"Milada Beránková","Bazovského 7
716 18 Kosmonosy"
"Jan Prokop","Slatiňanská 166
182 40 Neveklov"
"Emil Blažek DiS.","Žižkova 635
766 84 Vidnava"
"Klaudie Ježková","Františka Černého 6
538 50 Praha"
"Vlasta Kučerová","V Padolině 4
711 26 Přerov"
"Lada Sedláková CSc.","Kazín 38
287 93 Stráž pod Ralskem"
"Erik Vítek","Pikovická 530
285 95 Hluk"
"Adéla Pešková","Nad Košinkou 6
207 57 Horní Benešov"
"Daniel Musil","Jižní 6
111 89 Oslavany"
"Alžběta Staňková","Podléšková 3
766 68 Lázně Bělohrad"
"Boleslav Žák","Mílovská 5
149 24 Brušperk"
"Anežka Horváthová","Mukařovského 601
408 23 Soběslav"
"Lenka Pešková","Nábřeží Ludvíka Svobody 35
635 32 Kaplice"
"Pavla Hájková","Průškova 75
519 61 Jesenice (okres Rakovník)"
"Bohumil Mašek","Kosmonoská 283
542 29 Hořovice"
"Lada Strnadová","U Nového Dvora 922
144 06 Teplice nad Metují"
"Jakub Marek","Vlčická 554
214 32 Javorník"
"Vasyl Strnad","Na Šubě 5
152 01 Raspenava"
"Ladislava Dušková","Palackého 745
139 78 Krásná Hora nad Vltavou"
"Gabriela Bláhová","Kalská 5
210 06 Hrádek nad Nisou"
"Marie Burešová","Moravanská 181
195 79 Manětín"
"Roman Bednář","Kosmonoská 8
457 52 Bochov"
"Danuše Soukupová","Šůrova 3
701 41 Lysá nad Labem"
"Gabriela Říhová","Pikovická 593
317 53 Kostelec nad Labem"
"Emilie Holubová","Komenského 6
752 81 Adamov"
"Ladislav Dušek","Lešovská 250
587 62 Meziboří"
"Mikuláš Vávra","Na Poustkách 7
704 38 Strážov"
"Agáta Benešová","Lánovská 43
377 35 Pilníkov"
"Viktorie Čermáková","Malešovská 965
721 20 Loket"
"Antonín Horáček","Dolní Chaloupky 845
319 52 Mirošov"
"Marcel Kratochvíl","U Dobešky 619
694 01 Zruč nad Sázavou"
"Jiří Kraus","Okrová 342
771 19 Meziboří"
"Blanka Hrušková","Hasičská 81
109 97 Brtnice"
"Vasyl Matoušek","Na Špitálce 2
772 71 Ledvice"
"Petra Hrušková","Na Vartě 604
408 60 Švihov"
"Ladislav Dušek","Onšovecká 8
215 22 Rovensko pod Troskami"
"Miroslava Vítková","V Zátiší 82
649 49 Janov"
"Nikol Bednářová","Mládkova 287
302 66 Hostinné"
"Julie Křížová","Dobrošovská 672
670 18 Ledvice"
"Agáta Růžičková","Kremnická 9
125 51 Jihlava"
"Ctibor Tichý","Šárovo Kolo 7
447 54 Olešnice"
"Felix Novotný","Klecanská 4
326 21 Týniště nad Orlicí"
"Magdalena Sedláková","Nad Lávkou 228
215 63 Volyně"
"Radek Kubíček","U Dobešky 73
253 58 Dačice"
"Teodor Pokorný","Tichonická 60
398 95 Strmilov"
"Ladislav Macháček","Poleradská 238
457 29 Přelouč"
"Marek Liška","Sulická 96
657 04 Mnichovo Hradiště"
"David Pavlíček","U Staré Pošty 29
729 88 Oloví"
"Eliška Stejskalová","Slatiňanská 765
334 44 Stráž nad Nežárkou"
"Vanda Vávrová","Podohradská 950
335 53 Tanvald"
"Nora Mašková","Machovická 27
514 09 Dobříš"
"Dita Tichá","U Waltrovky 523
364 68 Chlumec"
"Karel Matějka","Nad Vernerákem 3
516 61 Hostouň"
"Štěpánka Matějková","Rašínská 18
372 89 Duchcov"
"Šárka Němečková","Nad Popelkou 798
660 59 Smečno"
"Ladislav Marek","Na Kozinci 26
676 99 Žebrák"
"Lenka Růžičková","Na Cikánce 3
572 10 Unhošť"
"Samuel Šťastný","Na Svahu 2
209 54 Hradec nad Moravicí"
"Filip Toman","Plzeňská 65
472 86 Březnice"
"Dobroslav Marek","Augustova 49
205 13 Velvary"
"Soňa Říhová","Durychova 7
526 85 Blšany"
"Klement Mach","Za Stadionem 6
114 22 Slavkov u Brna"
"Leoš Janda","Výtoňská 9
213 18 Morkovice-Slížany"
"Albert Soukup","V Tehovičkách 35
309 72 Slavonice"
"Dominik Říha","K Šedivce 9
713 92 Mladá Vožice"
"Ladislav Matějka","Vlasákova 913
471 52 Město Touškov"
"Vilém Pavlíček","Juarézova 65
501 48 Bezdružice"
"Hynek Fišer","Podléšková 41
623 47 Kaznějov"
"Žofie Zemanová","Mládkova 7
137 89 Rožmitál pod Třemšínem"
"Norbert Soukup CSc.","V Zátiší 352
296 15 Kynšperk nad Ohří"
"Jaroslav Žák","Nad Lávkou 32
691 03 Hrotovice"
"Drahoslav Stejskal","Na Kozinci 3
749 45 Vimperk"
"Jozef Kubíček","Boršov 845
292 26 Úsov"
"Miroslav Prokop","Dejvická 80
431 64 Solnice"
"Michaela Kopecká","Drahanská 2
576 31 Náměšť nad Oslavou"
"Ladislav Müller","Sámova 6
382 84 Jílové u Prahy"
"Michal Slavík","Lánovská 5
286 61 Postoloprty"
"Mahulena Dušková","Josefa Houdka 816
640 44 Kostelec nad Labem"
"Ivana Bártová","Vyhlídkova 31
763 60 Libáň"
"Jitka Tůmová","Kodicilova 191
322 75 Hrob"
"Ludmila Soukupová","Machuldova 2
756 72 Valašské Klobouky"
"Mikuláš Kříž","Josefa Houdka 29
305 12 Konice"
"Ester Šmídová","Kostková 24
533 79 Zubří"
"Blahoslav Moravec","Ke Břvům 129
369 51 Hrádek nad Nisou"
"Ludmila Burešová","Plynární 6
621 95 Hrochův Týnec"
"Ladislav Růžička","Trytova 9
119 17 Lázně Kynžvart"
"Jana Fialová Ph.D.","U Waltrovky 56
436 75 Ústí nad Labem"
"Linda Bártová","Lešenská 5
267 10 Rychvald"
"Boleslav Brož","Kodaňská 614
647 98 Rudná"
"Andrea Čechová","Branišovská 343
245 12 České Velenice"
"Štěpánka Burešová","Višňová 1
491 78 Výsluní"
"Eliška Dostálová","V Tehovičkách 50
289 50 Třemošná"
"Julie Lišková","Vratislavova 6
605 82 Krásná Hora nad Vltavou"
"Jindřich Říha","Úpská 2
495 47 Přeštice"
"Růžena Čechová","Pikovická 3
382 46 Oloví"
"Ladislav Strnad","Pod Kesnerkou 86
174 81 Nejdek"
"Emilie Sedláková","Onšovecká 132
643 57 Jesenice (okres Rakovník)"
"Matouš Jaroš","Petřínská 944
609 97 Planá nad Lužnicí"
"Šárka Tůmová","Nad Šancemi 15
647 79 Hořovice"
"Jiřina Vaňková","Na Šafránce 12
387 39 Frýdlant nad Ostravicí"
"Růžena Tůmová","Chládkova 704
432 95 Postoloprty"
"Zbyněk Malý","V Závitu 44
194 90 Vidnava"
"Helena Křížová","Křimická 76
243 54 Mikulov"
"Luboš Moravec","Maltézské Náměstí 83
773 74 Holýšov"
"Eliška Kratochvílová","Tovární 24
209 18 Libčice nad Vltavou"
"Ladislav Sýkora","Nad Strouhou 39
536 63 Přerov"
"Bedřich Fiala","Náměstí Hrdinů 5
613 75 Velký Šenov"
"Drahoslav Čech","U Dobešky 6
675 11 Týn nad Vltavou"
"Slavěna Havlíčková","Na Náspu 98
746 16 Liběchov"
"Ludvík Král","Branišovská 4
175 03 Česká Kamenice"
"Jindřiška Fišerová","Bachova 64
330 30 Město Albrechtice"
"Dorota Poláková","Všejanská 897
492 00 Vítkov"
"Zdeňka Kolářová","Heineho 69
466 70 Fulnek"
"Olivie Horváthová","Hvězdonická 6
722 70 Velké Hamry"
"Roman Blažek","Jablonecká 52
610 65 Hrušovany nad Jevišovkou"
"Ladislav Toman","Sádovská 29
616 82 Mirotice"
"Ludmila Burešová","Pajerova 3
773 16 Napajedla"
"Radka Blažková","Pod Čertovou Skalou 6
775 23 Rychnov u Jablonce nad Nisou"
"Andrea Strnadová","Vizovická 51
566 11 Dobřichovice"
"Boleslav Hrubý","Moravanská 831
259 97 Planá nad Lužnicí"
"Kamil Horáček","Hněvkovského 317
503 78 Volary"
"Nina Kašparová","Panenská 4
708 14 Skuteč"
"Marie Sedláčková","Izraelská 6
707 58 Odolena Voda"
"Sabina Pospíšilová","U Podjezdu 47
143 31 Plumlov"
"Vladimír Bureš","Mochovská 37
340 74 Hora Svaté Kateřiny"
"Ladislav Šmíd","K Vidouli 159
605 82 Olešnice"
"Dušan Staněk","Mírová 591
755 06 Janské Lázně"
"Stanislava Jelínková","Do Zahrádek Ii 87
758 82 Stochov"
"František Musil","Klouzková 76
669 22 Bystřice nad Pernštejnem"
"Artur Musil","Mazancova 57
123 20 Vysoké Veselí"
"Samuel Bednář","Nám. Republiky 747
302 62 Brno"
"Věra Kučerová","Vlčická 65
754 83 Veselí nad Lužnicí"
"Kristýna Vacková","Brixiho 2
430 87 Černošín"
"Milena Benešová","Kloboukova 81
457 54 Horní Planá"
"Jaroslava Kašparová","Na Staré Vinici 34
525 61 Štramberk"
"Ladislav Šťastný","Ostrovského 7
363 49 Vodňany"
"Vasyl Marek","Olympijská 614
394 03 Rovensko pod Troskami"
"Hedvika Žáková","Žofie Podlipské 10
423 08 Počátky"
"Pavla Burešová","Paťanka 6
700 83 Česká Kamenice"
"Jaroslava Bartošová","K Dýmači 424
385 11 Březová"
"Vladislav Urban","Ke Břvům 59
676 86 Odry"
"Oto Liška","Kunratická 489
317 45 Nové Hrady"
"Štefan Staněk","Nad Rokytkou 92
595 11 Český Dub"
"Radek Janda","Vídeňská 328
601 83 Postoloprty"
"Josef Kašpar","Spojovací 5
691 64 Tanvald"
"Ladislava Bláhová","Cerhenická 69
433 86 Rožďalovice"
"PhDr. Sára Moravcová DiS.","Sitteho 989
178 71 Bystré"
"Mojmír Kašpar","V Hájkách 675
265 61 Úterý"
"Šimon Urban","Na Šafránce 52
307 67 Liberec"
"Jarmila Urbanová","Prusíkova 503
503 95 Rokytnice v Orlických horách"
"Růžena Štěpánková DSc.","Svornosti 28
445 86 Česká Skalice"
"Jozef Pokorný","Pobřežní 6
247 13 Radnice"
"Simona Černá","Náměstí I. P. Pavlova 572
431 23 Rudolfov"
"Alžběta Vlčková","Na Zahrádkách 926
769 99 Úterý"
"Nikola Mašková","Jindřicha Plachty 12
762 92 Janovice nad Úhlavou"
"Ladislava Horáková","Štychova 129
560 16 Ivančice"
"Marcela Růžičková","Čerpadlová 4
670 03 Bučovice"
"Alois Kučera DSc.","Vršovka 738
383 76 Třemošná"
"Helena Kolářová","Hněvkovského 6
536 35 Andělská Hora"
"Mária Beranová","Kukelská 776
454 27 Tišnov"
"Edita Horáčková","Nad Zavážkou 608
294 52 Hoštka"
"Blažena Němečková","Pod Průsekem 248
698 77 Chabařovice"
"Dobroslav Mašek","Lehárova 74
402 25 Smiřice"
"Vojtěch Valenta","Chládkova 783
357 41 Žlutice"
"Věra Fišerová","Moravanů 344
128 98 Rychnov u Jablonce nad Nisou"
"Ladislava Jelínková","Sulická 570
365 61 Jáchymov"
"Ilona Marešová","Dělnická 79
658 56 Nové Město nad Metují"
"Radek Beneš","U Nové Dálnice 8
662 10 Lázně Kynžvart"
"Ondřej Sedlák","Na Topolce 8
694 82 Nalžovské Hory"
"Evelína Ševčíková","Kalská 3
780 10 Unhošť"
"Otýlie Sedláková","Pod Srázem 566
478 20 Plánice"
"Vlasta Kratochvíl","Svatoplukova 772
406 82 Sázava"
"Zdeněk Mašek","U Nových Domů I 2
593 95 Uhlířské Janovice"
"Miloš Beránek","Jeruzalémská 5
146 33 Stárkov"
"Dita Tomanová","Súdánská 747
688 59 Nová Paka"
"Ladislava Matoušková","U Společenské Zahrady 11
573 30 Habry"
"Stanislava Šimková","Pod Výšinkou 720
443 83 Teplice"
"Drahoslav Valenta","U Nového Dvora 8
759 02 Hluk"
"Arnošt Čermák","Nad Rokytkou 7
679 21 Lučany nad Nisou"
"Vilma Dušková","Smolenská 7
421 70 Hořovice"
"Johana Němcová","Fügnerovo Náměstí 330
286 51 Mimoň"
"Ladislav Bartoš","Lebeděvova 73
413 97 Jemnice"
"Bohumila Horáčková","Výhledské Nám. 76
382 36 Duchcov"
"Lukáš Soukup Th.D.","Čelakovského Sady 21
736 98 Kostelec na Hané"
"Radim Vaněk","K Vodě 571
547 04 Sedlčany"
"Ladislava Matějková","Jugoslávská 4
591 36 Horažďovice"
"Ema Křížová","Na Pomezí 4
559 72 Kaznějov"
"Dana Švecová Ph.D.","Svornosti 220
612 42 Mirovice"
"Anna Němečková","Podlešínská 43
711 44 Rovensko pod Troskami"
"Otakar Matoušek","U Štěpu 6
385 93 Rotava"
"Zdislava Horváthová","Josefa Šimůnka 39
130 10 Prostějov"
"Štěpánka Beranová","V Brůdku 39
587 70 Hroznětín"
"Šimon Stejskal","Tichonická 2
774 13 Žulová"
"Monika Marešová","V Padolině 9
571 84 Bochov"
"Přemysl Mareš","Budčická 628
542 77 Králíky"
"Ladislava Čermáková","Slatiňanská 378
589 61 Český Brod"
"Kryštof Tůma","V Nížinách 711
283 69 Nýřany"
"Jonáš Bednář","Nad Košinkou 606
400 63 Dolní Bousov"
"Tereza Staňková","Rokytnická 919
473 40 Železná Ruda"
"Nikola Vaňková","Za Arielem 91
517 00 Chropyně"
